Orthogroup	opisthorchis_viverrini	schistosoma_curassoni
OG0001163	T265_07853	SCUR1_76610.1
OG0001164	T265_12833	SCUR1_81050.5, SCUR1_81050.3, SCUR1_81050.4, SCUR1_81050.2, SCUR1_81050.1
OG0001165	T265_08213	SCUR1_57710.2, SCUR1_57710.4, SCUR1_57710.5, SCUR1_57710.1, SCUR1_57710.3
OG0001166	T265_05263, T265_09404	SCUR1_11000.1, SCUR1_11000.2, SCUR1_11000.3
OG0001167	T265_08105	SCUR1_35850.3, SCUR1_35850.9, SCUR1_35850.1, SCUR1_35850.10, SCUR1_35850.2, SCUR1_35850.4, SCUR1_35850.5, SCUR1_35850.6, SCUR1_35850.11, SCUR1_35850.7, SCUR1_35850.8
OG0001168	T265_15277	SCUR1_12700.3, SCUR1_12700.1, SCUR1_12700.5, SCUR1_12700.2, SCUR1_12700.6, SCUR1_12700.7, SCUR1_12700.4
OG0001169	T265_08843, T265_16294	SCUR1_50160.1
OG0001170	T265_01846	SCUR1_11340.2, SCUR1_11340.7, SCUR1_11340.4, SCUR1_11340.1, SCUR1_11340.6, SCUR1_11340.3, SCUR1_11340.5
OG0001171	T265_10087, T265_11342	SCUR1_15570.1
OG0001172	T265_08932, T265_15849	SCUR1_60360.1, SCUR1_60360.2, SCUR1_60360.3
OG0001173	T265_14048, T265_14047	SCUR1_1600.2, SCUR1_1600.1, SCUR1_1600.3, SCUR1_1570.2, SCUR1_1570.1, SCUR1_1570.3
OG0001174	T265_12676	SCUR1_9700.1
OG0001175	T265_01290	SCUR1_52090.1
OG0001176	T265_00168	SCUR1_72610.1, SCUR1_72610.2
OG0001177	T265_09629	SCUR1_24810.1, SCUR1_24810.2, SCUR1_24810.3, SCUR1_24800.1
OG0001178	T265_13363	SCUR1_2480.1, SCUR1_2470.1
OG0001179	T265_05221	SCUR1_91930.1
OG0001180	T265_13220	SCUR1_9310.1
OG0001181	T265_11423	SCUR1_57750.2, SCUR1_57750.1
OG0001183	T265_02454	SCUR1_11050.2, SCUR1_11050.1, SCUR1_11050.3
OG0001184	T265_00213	SCUR1_3500.2, SCUR1_3500.4, SCUR1_3500.1, SCUR1_3500.3
OG0001185	T265_04552	SCUR1_10660.1
OG0001186	T265_12678	SCUR1_4910.1
OG0001187	T265_02980	SCUR1_31280.1, SCUR1_31280.2, SCUR1_31280.3, SCUR1_31280.4, SCUR1_31280.5
OG0001188	T265_15159	SCUR1_7810.2, SCUR1_7810.3, SCUR1_7810.1
OG0001189	T265_00193	SCUR1_14440.1
OG0001190	T265_11824	SCUR1_36320.1
OG0001191	T265_07275	SCUR1_6920.1
OG0001192	T265_07070	SCUR1_42880.1
OG0001193	T265_15398, T265_11656, T265_03245, T265_13788	SCUR1_81820.1
OG0001194	T265_06139, T265_06140	SCUR1_6420.1, SCUR1_6420.2, SCUR1_6420.3, SCUR1_6420.4
OG0001197	T265_11253	SCUR1_22020.1
OG0001202	T265_05149	SCUR1_13550.1
OG0001203	T265_05114	SCUR1_1290.1
OG0001203	T265_07810	SCUR1_81110.1
OG0001204	T265_10589	SCUR1_66290.1
OG0001205	T265_10082	SCUR1_36520.1, SCUR1_36520.2
OG0001207	T265_11953	SCUR1_15030.1
OG0001208	T265_11311	SCUR1_38260.1
OG0001209	T265_08686	SCUR1_48770.1
OG0001210	T265_04627	SCUR1_91810.1, SCUR1_91810.2, SCUR1_91810.3, SCUR1_91810.4, SCUR1_91810.5
OG0001211	T265_10917	SCUR1_17530.1, SCUR1_17530.2
OG0001212	T265_05206	SCUR1_24490.1, SCUR1_24480.1, SCUR1_24480.2, SCUR1_24480.3, SCUR1_24480.4, SCUR1_24480.5, SCUR1_24500.1
OG0001213	T265_03062	SCUR1_6750.4, SCUR1_6750.3, SCUR1_6750.6, SCUR1_6750.1, SCUR1_6750.5, SCUR1_6750.2
OG0001214	T265_01374	SCUR1_28530.1
OG0001215	T265_09785	SCUR1_63670.1
OG0001216	T265_01025	SCUR1_26710.16, SCUR1_26710.15, SCUR1_26710.13, SCUR1_26710.14, SCUR1_26710.10, SCUR1_26710.4, SCUR1_26710.3, SCUR1_26710.6, SCUR1_26710.2, SCUR1_26710.7, SCUR1_26710.9, SCUR1_26710.1, SCUR1_26710.11, SCUR1_26710.12, SCUR1_26710.5, SCUR1_26710.8
OG0001217	T265_15227	SCUR1_72240.1, SCUR1_72240.5, SCUR1_72240.6, SCUR1_72240.4, SCUR1_72240.7, SCUR1_72240.3, SCUR1_72240.2
OG0001218	T265_03088	SCUR1_12580.1, SCUR1_12580.2, SCUR1_12580.4, SCUR1_12580.3
OG0001219	T265_06431	SCUR1_1090.4, SCUR1_1090.5, SCUR1_1090.1, SCUR1_1090.2, SCUR1_1090.3, SCUR1_1090.6
OG0001220	T265_12016, T265_12232	SCUR1_93500.1, SCUR1_93500.2
OG0001221	T265_15143	SCUR1_62360.4, SCUR1_62360.5, SCUR1_62360.1, SCUR1_62360.2, SCUR1_62360.3
OG0001222	T265_02622	SCUR1_98560.1, SCUR1_98560.2, SCUR1_98560.4, SCUR1_98560.8, SCUR1_98560.9, SCUR1_98560.3, SCUR1_98560.5, SCUR1_98560.6, SCUR1_98560.7
OG0001223	T265_00721	SCUR1_32800.2, SCUR1_32800.1, SCUR1_32800.3
OG0001224	T265_14840	SCUR1_81320.1, SCUR1_81320.3, SCUR1_81320.2
OG0001225	T265_15456	SCUR1_58810.1
OG0001226	T265_12558	SCUR1_46200.2, SCUR1_46200.5, SCUR1_46200.1, SCUR1_46200.7, SCUR1_46200.3, SCUR1_46200.4, SCUR1_46200.8, SCUR1_46200.6
OG0001227	T265_08672	SCUR1_61810.2, SCUR1_61810.1, SCUR1_61810.3
OG0001229	T265_13483	SCUR1_30460.1, SCUR1_30460.2, SCUR1_30460.3, SCUR1_30460.4, SCUR1_30460.6, SCUR1_30460.5, SCUR1_30460.7, SCUR1_30460.8
OG0001230	T265_06173	SCUR1_16880.1, SCUR1_16880.2, SCUR1_16880.3, SCUR1_16880.5, SCUR1_16880.4
OG0001231	T265_11984	SCUR1_39700.1
OG0001233	T265_12818	SCUR1_5940.1
OG0001234	T265_09478	SCUR1_44320.1, SCUR1_44320.2, SCUR1_44320.3, SCUR1_44320.4, SCUR1_44320.5
OG0001235	T265_03531	SCUR1_28940.1, SCUR1_28930.1
OG0001236	T265_13174	SCUR1_63390.2, SCUR1_63390.3, SCUR1_63390.1, SCUR1_63390.4
OG0001237	T265_13308	SCUR1_26660.1, SCUR1_26600.1
OG0001238	T265_01675	SCUR1_82840.2, SCUR1_82840.3, SCUR1_82840.4, SCUR1_82840.6, SCUR1_82840.7, SCUR1_82840.8, SCUR1_82840.1, SCUR1_82840.5
OG0001239	T265_03082	SCUR1_12600.1, SCUR1_12600.2, SCUR1_12600.5, SCUR1_12600.3, SCUR1_12600.4, SCUR1_12600.6
OG0001240	T265_08224	SCUR1_54070.1, SCUR1_54070.2, SCUR1_54070.3
OG0001241	T265_00540	SCUR1_59550.1
OG0001241	T265_00343	SCUR1_73780.1
OG0001242	T265_00140, T265_06857	SCUR1_95130.1, SCUR1_95130.2
OG0001243	T265_14770	SCUR1_6740.1
OG0001244	T265_13277	SCUR1_88380.1
OG0001245	T265_14234	SCUR1_12260.3, SCUR1_12270.1, SCUR1_12260.2, SCUR1_12260.1
OG0001246	T265_02606	SCUR1_33190.1
OG0001247	T265_04001	SCUR1_37440.1
OG0001248	T265_13129	SCUR1_5680.5, SCUR1_5680.3, SCUR1_5680.1, SCUR1_5680.2, SCUR1_5680.4
OG0001249	T265_06475	SCUR1_36210.3, SCUR1_36210.1, SCUR1_36210.2
OG0001250	T265_08176	SCUR1_1880.2, SCUR1_1880.1
OG0001251	T265_12979	SCUR1_76770.3, SCUR1_76770.1, SCUR1_76770.2
OG0001252	T265_02686	SCUR1_51860.1, SCUR1_51860.2, SCUR1_51860.3, SCUR1_51860.4, SCUR1_51860.5, SCUR1_51860.7, SCUR1_51860.8, SCUR1_51860.6
OG0001253	T265_13874	SCUR1_54890.5, SCUR1_54890.7, SCUR1_54890.2, SCUR1_54890.3, SCUR1_54890.1, SCUR1_54890.4, SCUR1_54890.6
OG0001254	T265_11321	SCUR1_32860.1, SCUR1_32870.1
OG0001255	T265_13521	SCUR1_29020.1, SCUR1_29020.2, SCUR1_29020.3
OG0001256	T265_02816	SCUR1_48470.10, SCUR1_48470.9, SCUR1_48470.2, SCUR1_48470.3, SCUR1_48470.4, SCUR1_48470.1, SCUR1_48470.6, SCUR1_48470.8, SCUR1_48470.7, SCUR1_48470.5
OG0001257	T265_11892, T265_16136	SCUR1_26940.4, SCUR1_26940.5, SCUR1_26940.6, SCUR1_26940.2, SCUR1_26940.3, SCUR1_26940.1
OG0001258	T265_13130	SCUR1_76150.3, SCUR1_76150.4, SCUR1_76150.1, SCUR1_76150.2
OG0001259	T265_09345, T265_09949, T265_09950	SCUR1_59410.1, SCUR1_59410.2
OG0001260	T265_14449, T265_07985, T265_15945	SCUR1_1380.1, SCUR1_1380.2
OG0001261	T265_14931	SCUR1_45620.5, SCUR1_45620.3, SCUR1_45620.2, SCUR1_45620.4, SCUR1_45620.1
OG0001262	T265_09952	SCUR1_81870.1
OG0001263	T265_04153	SCUR1_88520.1, SCUR1_88530.1
OG0001264	T265_03602	SCUR1_53910.1
OG0001265	T265_14950	SCUR1_60830.1
OG0001266	T265_01368	SCUR1_69780.1
OG0001267	T265_02946	SCUR1_53200.2, SCUR1_53200.3, SCUR1_53200.1, SCUR1_53200.4
OG0001268	T265_10920	SCUR1_7820.1, SCUR1_7820.2
OG0001269	T265_04251	SCUR1_23570.1, SCUR1_23570.2, SCUR1_23570.3, SCUR1_23570.4, SCUR1_23570.5, SCUR1_23570.6, SCUR1_23570.7
OG0001270	T265_15549	SCUR1_87610.1, SCUR1_87610.2, SCUR1_87610.3, SCUR1_87610.4, SCUR1_87610.5, SCUR1_87610.6, SCUR1_87610.7, SCUR1_87610.8
OG0001271	T265_01405	SCUR1_64800.4, SCUR1_64800.5, SCUR1_64800.2, SCUR1_64800.3, SCUR1_64800.6, SCUR1_64800.1
OG0001272	T265_09223	SCUR1_79610.3, SCUR1_79610.1, SCUR1_79610.2, SCUR1_79610.5, SCUR1_79610.6, SCUR1_79610.4
OG0001273	T265_12104	SCUR1_72980.3, SCUR1_72980.1, SCUR1_72980.2
OG0001275	T265_07335, T265_10840, T265_11809	SCUR1_54440.5, SCUR1_54440.3, SCUR1_54440.4, SCUR1_54440.1, SCUR1_54440.2
OG0001276	T265_00611	SCUR1_64290.6, SCUR1_64290.1, SCUR1_64290.2, SCUR1_64290.3, SCUR1_64290.4, SCUR1_64290.5, SCUR1_64290.7, SCUR1_64290.8
OG0001277	T265_00220	SCUR1_3130.1
OG0001278	T265_01837	SCUR1_89490.2, SCUR1_89490.1, SCUR1_89490.3, SCUR1_89490.4, SCUR1_89490.5
OG0001281	T265_03870, T265_13351	SCUR1_77740.1, SCUR1_77660.1, SCUR1_77690.1, SCUR1_77720.1, SCUR1_77730.1
OG0001288	T265_04400	SCUR1_92740.1, SCUR1_92730.1
OG0001289	T265_07802	SCUR1_29610.1, SCUR1_29610.2
OG0001290	T265_06266	SCUR1_4970.1, SCUR1_4980.1
OG0001291	T265_02085	SCUR1_6910.1
OG0001292	T265_15256	SCUR1_7000.1, SCUR1_7010.1
OG0001293	T265_08598, T265_02864	SCUR1_55480.1, SCUR1_55490.1
OG0001294	T265_10701, T265_16370	SCUR1_32260.1, SCUR1_32260.2
OG0001295	T265_09730	SCUR1_31850.1
OG0001296	T265_08476	SCUR1_7370.1, SCUR1_7370.2, SCUR1_7370.3
OG0001297	T265_04571	SCUR1_14060.1
OG0001298	T265_07619	SCUR1_36400.4, SCUR1_36400.1, SCUR1_36400.3, SCUR1_36400.2
OG0001300	T265_08424	SCUR1_6010.2, SCUR1_6010.3, SCUR1_6010.1
OG0001301	T265_00039	SCUR1_54500.1
OG0001302	T265_12500	SCUR1_2290.1
OG0001303	T265_10770	SCUR1_31820.2, SCUR1_31820.1, SCUR1_31820.5, SCUR1_31820.6, SCUR1_31820.7, SCUR1_31820.8, SCUR1_31820.3, SCUR1_31820.4
OG0001304	T265_03829	SCUR1_87290.4, SCUR1_87290.2, SCUR1_87290.5, SCUR1_87290.6, SCUR1_87290.3, SCUR1_87290.7, SCUR1_87290.9, SCUR1_87290.8, SCUR1_87290.1
OG0001305	T265_07987	SCUR1_1410.1, SCUR1_1410.2, SCUR1_1410.3
OG0001306	T265_00541	SCUR1_61440.1, SCUR1_61440.2
OG0001307	T265_01195	SCUR1_80600.1
OG0001307	T265_01660	SCUR1_80620.1
OG0001309	T265_13784	SCUR1_73320.1, SCUR1_82630.1, SCUR1_73320.2, SCUR1_73320.3, SCUR1_82630.2, SCUR1_82630.3
OG0001310	T265_05987	SCUR1_27500.1
OG0001311	T265_11912	SCUR1_44310.1
OG0001312	T265_09660, T265_12061	SCUR1_31570.1
OG0001313	T265_13569, T265_16167	SCUR1_41970.1, SCUR1_41970.2
OG0001314	T265_04550	SCUR1_10510.1, SCUR1_10510.3, SCUR1_10510.2
OG0001315	T265_13138	SCUR1_31520.1
OG0001316	T265_04509	SCUR1_35230.1
OG0001317	T265_09060	SCUR1_14940.1
OG0001318	T265_13991	SCUR1_680.1
OG0001319	T265_06528	SCUR1_39740.1
OG0001320	T265_08464	SCUR1_63420.1, SCUR1_63420.2, SCUR1_63420.3, SCUR1_63420.4, SCUR1_63420.5
OG0001322	T265_03302	SCUR1_47840.2, SCUR1_47840.4, SCUR1_47840.1, SCUR1_47840.3
OG0001323	T265_12486	SCUR1_810.3, SCUR1_810.4, SCUR1_810.1, SCUR1_810.2
OG0001324	T265_14768	SCUR1_96570.2, SCUR1_96570.1
OG0001325	T265_13829	SCUR1_94730.1
OG0001326	T265_12747	SCUR1_53770.2, SCUR1_53770.1, SCUR1_53770.5, SCUR1_53770.3, SCUR1_53770.4
OG0001327	T265_04765	SCUR1_89800.1, SCUR1_89800.2, SCUR1_89800.3, SCUR1_89800.4, SCUR1_89800.5, SCUR1_89800.6, SCUR1_89800.7
OG0001328	T265_08521, T265_16151	SCUR1_4500.3, SCUR1_4500.1, SCUR1_4500.4, SCUR1_4500.2
OG0001329	T265_08470	SCUR1_6270.1
OG0001330	T265_02990	SCUR1_30920.1
OG0001331	T265_13007	SCUR1_48270.1
OG0001332	T265_10139	SCUR1_59120.1
OG0001332	T265_00767	SCUR1_71210.1
OG0001333	T265_03325	SCUR1_64050.10, SCUR1_64050.8, SCUR1_64050.9, SCUR1_64050.4, SCUR1_64050.2, SCUR1_64050.1, SCUR1_64050.3, SCUR1_64050.5, SCUR1_64050.7, SCUR1_64050.6
OG0001334	T265_06833	SCUR1_1450.1, SCUR1_1450.2, SCUR1_1450.3, SCUR1_1450.4
OG0001335	T265_08232	SCUR1_30760.3, SCUR1_30760.1, SCUR1_30760.2
OG0001336	T265_08608, T265_14629	SCUR1_46420.1, SCUR1_100480.1, SCUR1_95450.1, SCUR1_100500.3, SCUR1_46440.2, SCUR1_100500.1, SCUR1_100500.2, SCUR1_46440.1, SCUR1_95460.1
OG0001338	T265_14448	SCUR1_37310.5, SCUR1_37310.3, SCUR1_37310.8, SCUR1_37310.4, SCUR1_37310.1, SCUR1_37310.12, SCUR1_37310.9, SCUR1_37310.10, SCUR1_37310.7, SCUR1_37310.11, SCUR1_37310.2, SCUR1_37310.6
OG0001339	T265_15348	SCUR1_11240.1
OG0001340	T265_10344	SCUR1_9420.1, SCUR1_9410.1
OG0001341	T265_12020	SCUR1_76330.1
OG0001342	T265_14230	SCUR1_52430.1
OG0001343	T265_13062	SCUR1_71220.1
OG0001344	T265_10971	SCUR1_76390.1, SCUR1_76390.2, SCUR1_76390.3
OG0001345	T265_01513	SCUR1_42500.1
OG0001346	T265_14870	SCUR1_14700.1, SCUR1_14700.2
OG0001347	T265_13036	SCUR1_34000.1, SCUR1_34000.2, SCUR1_34000.3, SCUR1_34000.4, SCUR1_34000.5, SCUR1_34000.6
OG0001348	T265_01495	SCUR1_36050.1, SCUR1_36050.2, SCUR1_36050.3, SCUR1_36050.4
OG0001350	T265_14606	SCUR1_31160.1, SCUR1_31160.3, SCUR1_31160.2, SCUR1_31160.4
OG0001351	T265_13461	SCUR1_23540.1, SCUR1_23540.4, SCUR1_23540.2, SCUR1_23540.3
OG0001352	T265_05586	SCUR1_23790.1, SCUR1_23790.2, SCUR1_23790.3, SCUR1_23790.4
OG0001353	T265_04201	SCUR1_62540.1
OG0001354	T265_07793	SCUR1_64450.1
OG0001355	T265_14810, T265_10683	SCUR1_59470.1
OG0001356	T265_02268, T265_01960	SCUR1_71420.1, SCUR1_71420.2
OG0001357	T265_02597, T265_15181	SCUR1_39610.1, SCUR1_39610.2
OG0001361	T265_09022	SCUR1_28640.1, SCUR1_28640.4, SCUR1_28640.5, SCUR1_28640.3, SCUR1_28640.2
OG0001362	T265_07497	SCUR1_30600.1, SCUR1_30600.2
OG0001363	T265_13550	SCUR1_93550.2, SCUR1_93550.1, SCUR1_93550.3, SCUR1_93550.4
OG0001364	T265_11114	SCUR1_84030.1, SCUR1_84030.2
OG0001365	T265_06976, T265_16366	SCUR1_77420.1
OG0001366	T265_09080	SCUR1_53310.1, SCUR1_53310.2, SCUR1_53310.3
OG0001367	T265_06622	SCUR1_94060.12, SCUR1_94060.7, SCUR1_94060.2, SCUR1_94060.3, SCUR1_94060.9, SCUR1_94060.8, SCUR1_94060.11, SCUR1_94060.10, SCUR1_94060.4, SCUR1_94060.5, SCUR1_94060.6, SCUR1_94060.1
OG0001368	T265_00192	SCUR1_17960.1
OG0001369	T265_01904, T265_15996	SCUR1_88010.1, SCUR1_88010.2
OG0001370	T265_14639	SCUR1_58470.1, SCUR1_58470.2, SCUR1_58470.3, SCUR1_58470.4
OG0001371	T265_04340	SCUR1_36580.1, SCUR1_36580.2
OG0001372	T265_07978, T265_16138	SCUR1_37360.4, SCUR1_37360.1, SCUR1_37360.3, SCUR1_37360.2
OG0001373	T265_00255	SCUR1_2280.1
OG0001374	T265_12908	SCUR1_60710.1
OG0001376	T265_03803	SCUR1_85740.2, SCUR1_85740.1
OG0001377	T265_11911	SCUR1_62150.1, SCUR1_62150.3, SCUR1_62150.2
OG0001378	T265_12257	SCUR1_3220.1
OG0001379	T265_00091	SCUR1_69370.1, SCUR1_69370.2, SCUR1_69370.3, SCUR1_69370.4
OG0001380	T265_12561	SCUR1_59190.1
OG0001381	T265_12544, T265_00449	SCUR1_72490.2, SCUR1_72490.3, SCUR1_72490.6, SCUR1_72490.4, SCUR1_72490.5, SCUR1_72490.1
OG0001383	T265_11947	SCUR1_4090.1, SCUR1_4090.2
OG0001384	T265_09759	SCUR1_86550.3, SCUR1_86550.2, SCUR1_86550.1
OG0001385	T265_01081	SCUR1_23190.1, SCUR1_23180.1
OG0001386	T265_07152	SCUR1_44290.2, SCUR1_44290.1, SCUR1_44290.3, SCUR1_44290.4
OG0001387	T265_14769	SCUR1_85640.1, SCUR1_96580.1
OG0001388	T265_14723, T265_14724	SCUR1_11510.1, SCUR1_11510.2, SCUR1_11510.3
OG0001389	T265_12521	SCUR1_46030.2, SCUR1_46030.1, SCUR1_100270.1
OG0001390	T265_02614	SCUR1_39980.1, SCUR1_39980.2
OG0001391	T265_01912	SCUR1_34760.4, SCUR1_34760.2, SCUR1_34760.3, SCUR1_34760.1, SCUR1_34760.6, SCUR1_34760.5
OG0001392	T265_10877	SCUR1_12680.1, SCUR1_12680.3, SCUR1_12680.2, SCUR1_12680.4, SCUR1_12680.5, SCUR1_12680.6
OG0001393	T265_06210, T265_06211	SCUR1_16270.1, SCUR1_16260.1
OG0001394	T265_00453	SCUR1_75650.1, SCUR1_75650.2
OG0001395	T265_05397	SCUR1_25600.1
OG0001396	T265_04051	SCUR1_47890.1, SCUR1_47900.1
OG0001397	T265_05166	SCUR1_98330.1, SCUR1_98330.2, SCUR1_98330.3, SCUR1_98330.4, SCUR1_62220.3, SCUR1_62220.2, SCUR1_62220.4, SCUR1_62220.1, SCUR1_62220.5, SCUR1_98340.1
OG0001398	T265_14744	SCUR1_11270.3, SCUR1_11270.1, SCUR1_11270.2
OG0001399	T265_07384	SCUR1_98540.4, SCUR1_98540.2, SCUR1_98540.1, SCUR1_98540.3
OG0001400	T265_13928	SCUR1_80820.2, SCUR1_80820.1, SCUR1_80820.4, SCUR1_80820.3
OG0001401	T265_02697	SCUR1_50690.2, SCUR1_50690.3, SCUR1_50690.5, SCUR1_50690.4, SCUR1_50690.1
OG0001402	T265_07539, T265_03846	SCUR1_25960.3, SCUR1_25960.1, SCUR1_25960.2
OG0001403	T265_11145	SCUR1_55090.3, SCUR1_55090.4, SCUR1_55090.1, SCUR1_55090.2
OG0001404	T265_08776	SCUR1_19580.3, SCUR1_19580.4, SCUR1_19580.1, SCUR1_19580.2
OG0001405	T265_06509, T265_12170	SCUR1_33550.1
OG0001406	T265_02953	SCUR1_97150.2, SCUR1_97150.1
OG0001408	T265_01105	SCUR1_24240.1, SCUR1_24220.1, SCUR1_24220.2
OG0001410	T265_01911	SCUR1_35150.1, SCUR1_35140.1
OG0001411	T265_09016	SCUR1_28610.1
OG0001412	T265_15135, T265_15134	SCUR1_28720.3, SCUR1_28720.1, SCUR1_28720.2, SCUR1_28720.5, SCUR1_28720.4, SCUR1_28720.6
OG0001413	T265_15458	SCUR1_92930.2, SCUR1_92930.4, SCUR1_92930.1, SCUR1_92930.3, SCUR1_92930.6, SCUR1_92930.7, SCUR1_92930.8, SCUR1_92930.5
OG0001414	T265_06660	SCUR1_4310.1
OG0001415	T265_12583	SCUR1_31300.3, SCUR1_31300.2, SCUR1_31300.1, SCUR1_31300.4, SCUR1_31300.5, SCUR1_31300.6
OG0001416	T265_15557	SCUR1_14630.1
OG0001417	T265_01847	SCUR1_12450.1
OG0001418	T265_05264	SCUR1_230.6, SCUR1_230.3, SCUR1_230.4, SCUR1_230.5, SCUR1_230.1, SCUR1_230.2
OG0001419	T265_10451	SCUR1_65990.2, SCUR1_65990.1
OG0001420	T265_16318	SCUR1_81570.1, SCUR1_81570.2
OG0001421	T265_06472	SCUR1_36950.3, SCUR1_36950.1, SCUR1_36950.8, SCUR1_36950.2, SCUR1_36950.6, SCUR1_36950.4, SCUR1_36950.7, SCUR1_36950.5
OG0001422	T265_11255	SCUR1_74310.2, SCUR1_74310.1, SCUR1_74310.3
OG0001423	T265_04431	SCUR1_11180.10, SCUR1_11180.8, SCUR1_11180.9, SCUR1_11180.7, SCUR1_11180.1, SCUR1_11180.2, SCUR1_11180.4, SCUR1_11180.5, SCUR1_11180.6, SCUR1_11180.3
OG0001424	T265_03034	SCUR1_9280.1
OG0001425	T265_07510	SCUR1_25420.5, SCUR1_25420.1, SCUR1_25420.4, SCUR1_25420.3, SCUR1_25420.2
OG0001426	T265_14581	SCUR1_6220.1
OG0001427	T265_05041	SCUR1_25970.1
OG0001428	T265_02928	SCUR1_2410.1
OG0001429	T265_12422	SCUR1_53030.2, SCUR1_53030.1, SCUR1_53030.3
OG0001431	T265_01123	SCUR1_65130.1, SCUR1_65130.2, SCUR1_65130.3, SCUR1_65130.4
OG0001432	T265_10509	SCUR1_21800.1
OG0001433	T265_15424	SCUR1_20460.3, SCUR1_20460.4, SCUR1_20460.1, SCUR1_98650.1, SCUR1_20460.2
OG0001434	T265_04812	SCUR1_93780.1
OG0001435	T265_14120	SCUR1_76700.2, SCUR1_76700.1
OG0001436	T265_10576	SCUR1_77110.1, SCUR1_77110.2, SCUR1_77110.3
OG0001437	T265_12582	SCUR1_50070.1, SCUR1_54650.1
OG0001438	T265_03681	SCUR1_18960.1
OG0001439	T265_02218	SCUR1_75120.1, SCUR1_75120.2
OG0001440	T265_02878	SCUR1_37500.1, SCUR1_37500.2, SCUR1_37500.3
OG0001441	T265_07339	SCUR1_88810.1
OG0001443	T265_09543	SCUR1_19460.1
OG0001444	T265_13620	SCUR1_71950.1
OG0001445	T265_09117	SCUR1_72930.1
OG0001453	T265_00365	SCUR1_52310.1
OG0001454	T265_02228	SCUR1_81830.5, SCUR1_81830.7, SCUR1_81830.3, SCUR1_81830.6, SCUR1_81830.1, SCUR1_81830.4, SCUR1_81830.2
OG0001455	T265_11649	SCUR1_94850.1, SCUR1_94850.2, SCUR1_94850.3, SCUR1_94850.4, SCUR1_94850.5
OG0001456	T265_05111	SCUR1_68110.1
OG0001457	T265_04536	SCUR1_5270.1, SCUR1_5270.3, SCUR1_5270.6, SCUR1_5270.2, SCUR1_5270.4, SCUR1_5270.5
OG0001458	T265_04521	SCUR1_30160.1
OG0001459	T265_15689	SCUR1_57270.1, SCUR1_57270.2, SCUR1_57270.3, SCUR1_57260.1
OG0001460	T265_14339	SCUR1_36230.3, SCUR1_36230.4, SCUR1_36230.1, SCUR1_36230.6, SCUR1_36240.1, SCUR1_36230.2, SCUR1_36230.5, SCUR1_36230.7
OG0001461	T265_06464	SCUR1_28350.1
OG0001462	T265_07001	SCUR1_57680.2, SCUR1_57680.1
OG0001463	T265_05105	SCUR1_59440.1, SCUR1_59430.1, SCUR1_59430.2
OG0001464	T265_09082	SCUR1_53280.5, SCUR1_53280.8, SCUR1_53280.3, SCUR1_53280.6, SCUR1_53280.7, SCUR1_53280.1, SCUR1_53280.2, SCUR1_53280.4
OG0001465	T265_07647	SCUR1_74570.1, SCUR1_74570.7, SCUR1_74570.2, SCUR1_74570.3, SCUR1_74570.5, SCUR1_74570.4, SCUR1_74570.6, SCUR1_74570.8, SCUR1_74570.9, SCUR1_74570.11, SCUR1_74570.10
OG0001466	T265_14982	SCUR1_5030.1
OG0001467	T265_00617	SCUR1_62800.1
OG0001468	T265_06819	SCUR1_4620.5, SCUR1_4620.3, SCUR1_4620.4, SCUR1_4620.1, SCUR1_4620.2
OG0001469	T265_01693	SCUR1_81430.3, SCUR1_81430.4, SCUR1_81430.5, SCUR1_81430.10, SCUR1_81430.6, SCUR1_81430.7, SCUR1_81430.9, SCUR1_81430.8, SCUR1_81430.2, SCUR1_81430.1
OG0001470	T265_14595, T265_15746	SCUR1_64440.3, SCUR1_64440.5, SCUR1_64440.6, SCUR1_64440.7, SCUR1_64440.1, SCUR1_64440.2, SCUR1_64440.4, SCUR1_64440.8
OG0001471	T265_15237	SCUR1_60380.1
OG0001472	T265_08050	SCUR1_64340.1
OG0001473	T265_00769	SCUR1_73270.1, SCUR1_73270.2
OG0001474	T265_11473	SCUR1_40630.3, SCUR1_40630.1, SCUR1_40630.4, SCUR1_40630.5, SCUR1_40630.6, SCUR1_40630.2
OG0001475	T265_14342	SCUR1_54560.1
OG0001476	T265_05560	SCUR1_8370.1
OG0001477	T265_06773	SCUR1_55940.1
OG0001478	T265_00873	SCUR1_21840.6, SCUR1_21840.4, SCUR1_21840.3, SCUR1_21840.5, SCUR1_21840.1, SCUR1_21840.8, SCUR1_21840.7, SCUR1_21840.2, SCUR1_21840.9
OG0001479	T265_08475	SCUR1_9430.1
OG0001480	T265_01604	SCUR1_10800.1, SCUR1_10800.2, SCUR1_10800.3, SCUR1_10800.5, SCUR1_10800.4
OG0001481	T265_14626, T265_14628, T265_14627	SCUR1_47700.3, SCUR1_47700.1, SCUR1_47700.2
OG0001482	T265_05352	SCUR1_90880.3, SCUR1_90880.7, SCUR1_90880.8, SCUR1_90880.5, SCUR1_90880.9, SCUR1_90880.1, SCUR1_90880.4, SCUR1_90880.2, SCUR1_90880.6
OG0001483	T265_01269, T265_01266	SCUR1_70880.1
OG0001484	T265_10296	SCUR1_22700.4, SCUR1_22700.1, SCUR1_22700.2, SCUR1_22700.3
OG0001485	T265_10549	SCUR1_33990.1
