Orthogroup	schistosoma_turkestanicum	opisthorchis_viverrini
OG0001494	STRK1_26330.1, STRK1_26330.2, STRK1_26330.3	T265_14892, T265_09586
OG0001495	STRK1_7370.1	T265_06435
OG0001496	STRK1_73590.1	T265_01743
OG0001497	STRK1_35420.1	T265_02802
OG0001498	STRK1_42280.1, STRK1_42270.1, STRK1_42270.2	T265_03502
OG0001499	STRK1_58560.1	T265_01557
OG0001501	STRK1_93650.1	T265_04822
OG0001502	STRK1_103250.1, STRK1_110.1, STRK1_130.1	T265_16258
OG0001503	STRK1_51900.1, STRK1_51900.2	T265_05097, T265_12399
OG0001504	STRK1_63940.1	T265_03352
OG0001505	STRK1_94340.1	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141
OG0001506	STRK1_5390.1	T265_13987
OG0001507	STRK1_46570.1, STRK1_46570.3, STRK1_46570.2	T265_01301
OG0001508	STRK1_28600.1	T265_14041
OG0001509	STRK1_75970.1, STRK1_74480.1	T265_09841, T265_15907
OG0001510	STRK1_41890.1	T265_10677
OG0001511	STRK1_31920.1	T265_10772
OG0001512	STRK1_69410.1	T265_05456
OG0001513	STRK1_5200.1	T265_14406
OG0001514	STRK1_1130.1, STRK1_1130.2	T265_02478
OG0001515	STRK1_1730.1, STRK1_8770.1	T265_03047, T265_13123
OG0001516	STRK1_18040.1	T265_07259
OG0001517	STRK1_25210.1, STRK1_25230.1, STRK1_25230.2	T265_05985
OG0001518	STRK1_75800.1	T265_01746
OG0001519	STRK1_73460.1	T265_08195
OG0001520	STRK1_12380.1, STRK1_12380.3, STRK1_12380.2, STRK1_12380.4	T265_06489
OG0001521	STRK1_48330.1	T265_01208, T265_16307
OG0001522	STRK1_9290.1	T265_14252
OG0001523	STRK1_50640.1, STRK1_50640.2	T265_11980
OG0001524	STRK1_79570.1	T265_02241
OG0001525	STRK1_34990.1, STRK1_34990.2	T265_08346
OG0001526	STRK1_47150.1, STRK1_47150.2	T265_00835
OG0001527	STRK1_85710.1, STRK1_85700.1, STRK1_85720.1	T265_12883
OG0001528	STRK1_41000.1, STRK1_41000.2	T265_08066
OG0001529	STRK1_93510.1, STRK1_93510.2	T265_12570
OG0001530	STRK1_44640.1, STRK1_44650.1, STRK1_44630.1	T265_09171
OG0001531	STRK1_98650.1, STRK1_98650.2	T265_04383
OG0001533	STRK1_56370.1, STRK1_56370.2	T265_09632
OG0001534	STRK1_75680.1, STRK1_75680.2	T265_02002
OG0001537	STRK1_820.1	T265_07231, T265_07233
OG0001538	STRK1_88150.1, STRK1_88150.2, STRK1_88150.3	T265_04172
OG0001539	STRK1_1000.1, STRK1_1000.2, STRK1_1000.3	T265_03334
OG0001540	STRK1_41410.1, STRK1_41410.2	T265_04996
OG0001541	STRK1_96640.1, STRK1_103870.1, STRK1_81260.1, STRK1_102310.1	T265_13925
OG0001542	STRK1_51050.1	T265_07214
OG0001543	STRK1_41910.1, STRK1_41910.2	T265_07128
OG0001544	STRK1_7990.1	T265_12018
OG0001547	STRK1_42450.1, STRK1_42450.2	T265_04460
OG0001554	STRK1_29300.1	T265_03627
OG0001555	STRK1_75770.1	T265_12003
OG0001556	STRK1_31530.3, STRK1_31530.4, STRK1_31530.1, STRK1_31530.2	T265_05427
OG0001557	STRK1_39230.1, STRK1_39230.2	T265_02616
OG0001558	STRK1_77800.1	T265_05296
OG0001560	STRK1_64310.1	T265_03153
OG0001561	STRK1_43690.1	T265_00466
OG0001562	STRK1_74430.1	T265_07195, T265_14225, T265_14226, T265_14228
OG0001563	STRK1_40200.1, STRK1_40180.1, STRK1_95010.1, STRK1_95020.1	T265_08071
OG0001564	STRK1_50300.1, STRK1_50250.1	T265_09439, T265_09367, T265_15503
OG0001565	STRK1_62010.1	T265_13020, T265_13021
OG0001566	STRK1_64410.1	T265_01168
OG0001567	STRK1_74690.1, STRK1_74690.2	T265_11351
OG0001568	STRK1_78010.1, STRK1_78010.2	T265_08844
OG0001569	STRK1_20650.1, STRK1_20650.2	T265_08597, T265_06165
OG0001570	STRK1_68760.1	T265_14294, T265_15779
OG0001571	STRK1_5920.1	T265_06223, T265_06225
OG0001572	STRK1_64400.1, STRK1_64400.2	T265_08929
OG0001573	STRK1_26250.1	T265_14303
OG0001574	STRK1_36460.1, STRK1_36460.2	T265_11245
OG0001575	STRK1_11000.1	T265_01850
OG0001576	STRK1_106850.1, STRK1_108170.1, STRK1_87670.1, STRK1_87670.2	T265_05959
OG0001577	STRK1_100980.1	T265_10560
OG0001578	STRK1_54270.1	T265_03834
OG0001579	STRK1_14200.1	T265_00891, T265_12293
OG0001580	STRK1_41520.1	T265_11044, T265_11046
OG0001581	STRK1_76260.1	T265_13097
OG0001582	STRK1_53870.1	T265_00284
OG0001583	STRK1_41710.1	T265_07844
OG0001584	STRK1_35700.1	T265_13141, T265_00101, T265_14080
OG0001585	STRK1_35170.1	T265_13043
OG0001586	STRK1_4160.1, STRK1_4160.2	T265_08001
OG0001587	STRK1_3980.1	T265_00980
OG0001588	STRK1_59270.1	T265_09362
OG0001590	STRK1_67540.1	T265_05785
OG0001591	STRK1_108660.1, STRK1_90670.1	T265_02753
OG0001592	STRK1_2120.1, STRK1_2120.2, STRK1_2120.3, STRK1_2150.1	T265_07090, T265_10582
OG0001593	STRK1_60600.1, STRK1_60600.2	T265_05613
OG0001594	STRK1_31130.1	T265_10080
OG0001595	STRK1_63310.1	T265_11438
OG0001596	STRK1_77970.1, STRK1_77970.2	T265_05252, T265_13230
OG0001597	STRK1_71580.1, STRK1_71580.2	T265_02935
OG0001598	STRK1_43360.1	T265_00351
OG0001599	STRK1_67920.1	T265_10881
OG0001600	STRK1_29910.1, STRK1_29910.2	T265_08507
OG0001601	STRK1_62790.1	T265_12251, T265_13640
OG0001602	STRK1_11740.1, STRK1_11740.2	T265_06910
OG0001604	STRK1_24290.1, STRK1_24280.1, STRK1_104820.1	T265_10406
OG0001605	STRK1_2880.1	T265_09891
OG0001606	STRK1_100090.1, STRK1_21330.1, STRK1_21330.2, STRK1_99380.1, STRK1_102480.1	T265_10728
OG0001607	STRK1_68060.1	T265_15554
OG0001608	STRK1_51970.1	T265_08088
OG0001609	STRK1_106150.1, STRK1_106150.2, STRK1_69460.1, STRK1_69470.1	T265_02340
OG0001610	STRK1_93100.2	T265_05234
OG0001610	STRK1_28140.1	T265_14531
OG0001611	STRK1_61480.1	T265_01454
OG0001612	STRK1_910.1	T265_06824
OG0001613	STRK1_75410.1, STRK1_75410.2	T265_02844
OG0001614	STRK1_38380.1, STRK1_38380.2, STRK1_104090.1	T265_06438, T265_00023, T265_08537
OG0001615	STRK1_38390.1	T265_08538
OG0001617	STRK1_47960.1, STRK1_47960.2	T265_01771, T265_12207
OG0001618	STRK1_41270.1	T265_02608
OG0001619	STRK1_45970.1	T265_00098
OG0001620	STRK1_35020.1, STRK1_35020.2	T265_07578, T265_07576
OG0001621	STRK1_250.1	T265_11273
OG0001622	STRK1_53040.1, STRK1_107340.1, STRK1_53060.1, STRK1_81900.1, STRK1_81930.1, STRK1_81950.1, STRK1_81950.2, STRK1_81950.3	T265_12340, T265_16297
OG0001623	STRK1_7290.1	T265_00228, T265_08047
OG0001624	STRK1_39210.1	T265_09187
OG0001626	STRK1_31440.1	T265_11931
OG0001627	STRK1_70580.1, STRK1_70580.2	T265_02191
OG0001628	STRK1_14770.1, STRK1_14770.2	T265_05566
OG0001629	STRK1_1590.1	T265_01797
OG0001630	STRK1_8650.1, STRK1_8650.2	T265_02099
OG0001631	STRK1_86880.1	T265_03790
OG0001632	STRK1_65030.1	T265_14353
OG0001633	STRK1_101650.1, STRK1_97200.1, STRK1_107820.1, STRK1_90810.1	T265_10187
OG0001634	STRK1_85060.1	T265_00567
OG0001635	STRK1_6760.3, STRK1_6760.2, STRK1_6760.1	T265_06410, T265_15946
OG0001636	STRK1_74280.1, STRK1_74270.1	T265_05447
OG0001637	STRK1_55760.1	T265_08784
OG0001638	STRK1_102600.1, STRK1_102600.2	T265_05557
OG0001640	STRK1_18840.1, STRK1_108140.1, STRK1_18850.1	T265_06192
OG0001641	STRK1_85320.1	T265_13439
OG0001642	STRK1_43650.1, STRK1_43650.2	T265_11396
OG0001643	STRK1_57690.1, STRK1_95450.1	T265_09518
OG0001644	STRK1_50170.1, STRK1_50170.2, STRK1_50170.3	T265_04914
OG0001645	STRK1_93300.1	T265_10635
OG0001646	STRK1_53570.1, STRK1_53570.2	T265_09167
OG0001647	STRK1_98150.1, STRK1_41820.1	T265_04701
OG0001648	STRK1_77890.1	T265_01727
OG0001649	STRK1_11310.1, STRK1_11310.2	T265_04939
OG0001650	STRK1_71760.1, STRK1_71760.2, STRK1_71760.3, STRK1_71760.4, STRK1_71760.5	T265_07849
OG0001652	STRK1_69400.1, STRK1_69400.2, STRK1_69400.5, STRK1_69400.6, STRK1_69400.7, STRK1_69400.3, STRK1_69400.4	T265_14643
OG0001653	STRK1_10030.1, STRK1_10030.4, STRK1_10030.2, STRK1_10030.3	T265_12692
OG0001655	STRK1_66140.1	T265_08873
OG0001656	STRK1_84730.1	T265_01416
OG0001657	STRK1_34770.1	T265_02579
OG0001659	STRK1_35880.1	T265_05197
OG0001661	STRK1_100780.1, STRK1_52790.1	T265_08837, T265_12365
OG0001668	STRK1_27040.1	T265_09738
OG0001670	STRK1_28360.1	T265_14718
OG0001670	STRK1_28310.1	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981
OG0001671	STRK1_29740.1, STRK1_29740.2	T265_14634
OG0001672	STRK1_36500.1, STRK1_36500.2	T265_00750
OG0001673	STRK1_60910.1	T265_01379
OG0001675	STRK1_64620.1	T265_12874
OG0001676	STRK1_10170.1	T265_01615
OG0001677	STRK1_85500.1	T265_05762
OG0001680	STRK1_27080.1, STRK1_27080.2	T265_09371
OG0001681	STRK1_3720.3, STRK1_3720.1, STRK1_3720.2	T265_12663, T265_16018
OG0001682	STRK1_14060.1	T265_15158
OG0001683	STRK1_22770.1, STRK1_22780.1, STRK1_80400.1, STRK1_106070.1, STRK1_22750.1, STRK1_106080.1	T265_09590, T265_14893, T265_03749
OG0001684	STRK1_36590.1, STRK1_36600.1	T265_09014
OG0001685	STRK1_4390.1, STRK1_4410.1	T265_15090
OG0001686	STRK1_80170.1, STRK1_90850.1	T265_09608, T265_15908
OG0001687	STRK1_53610.1, STRK1_53510.1, STRK1_53550.1, STRK1_53560.1	T265_07419
OG0001688	STRK1_20700.1	T265_07388
OG0001689	STRK1_97950.1, STRK1_20290.1, STRK1_89600.1, STRK1_19880.1	T265_15368
OG0001690	STRK1_35130.1	T265_04514
OG0001691	STRK1_8440.1	T265_03200
OG0001692	STRK1_76090.1, STRK1_76090.2, STRK1_76090.3, STRK1_76090.4, STRK1_76090.5	T265_13395
OG0001694	STRK1_80330.1, STRK1_80330.2	T265_02240
OG0001695	STRK1_31910.1	T265_10771
OG0001696	STRK1_40910.1	T265_09913
OG0001697	STRK1_90200.1	T265_05671
OG0001698	STRK1_72410.1	T265_05919
OG0001699	STRK1_60870.1, STRK1_60870.2	T265_08126
OG0001700	STRK1_4510.1	T265_09892
OG0001701	STRK1_105400.1, STRK1_81410.6, STRK1_81410.7, STRK1_81400.2, STRK1_81410.2, STRK1_81410.3, STRK1_81410.5, STRK1_81410.1, STRK1_81420.1, STRK1_81420.2, STRK1_81410.4	T265_03185
OG0001702	STRK1_42350.1	T265_01458
OG0001703	STRK1_36200.1, STRK1_36210.1	T265_14685
OG0001704	STRK1_2740.1, STRK1_2740.2	T265_10332
OG0001705	STRK1_25780.1	T265_06950
OG0001706	STRK1_31780.1	T265_00105
OG0001707	STRK1_62220.1	T265_01410
OG0001708	STRK1_102710.1, STRK1_91130.1, STRK1_97450.1	T265_02720
OG0001709	STRK1_30310.1	T265_13976
OG0001710	STRK1_83750.1	T265_05358
OG0001711	STRK1_91840.1	T265_05328
OG0001712	STRK1_39710.1	T265_14005
OG0001713	STRK1_55610.1	T265_08885
OG0001714	STRK1_98130.1, STRK1_55600.1, STRK1_55600.2, STRK1_55600.3, STRK1_101760.1, STRK1_55590.1, STRK1_110810.1, STRK1_98120.1, STRK1_110800.1, STRK1_55620.1, STRK1_98950.1	T265_14693
OG0001715	STRK1_22240.1	T265_03710
OG0001716	STRK1_68210.1, STRK1_110710.1, STRK1_68220.1	T265_12518
OG0001717	STRK1_37040.1	T265_02968
OG0001718	STRK1_4610.1	T265_09214
OG0001719	STRK1_40370.1, STRK1_40370.2	T265_04478
OG0001720	STRK1_11010.1	T265_12689, T265_01853
OG0001721	STRK1_53200.1, STRK1_97580.1	T265_01466
OG0001722	STRK1_10450.1, STRK1_10450.2, STRK1_10440.1, STRK1_10430.1	T265_10430, T265_16265
OG0001723	STRK1_10230.1, STRK1_10230.2	T265_12870
OG0001724	STRK1_70340.1	T265_04056
OG0001725	STRK1_68850.1	T265_09161
OG0001726	STRK1_30590.1	T265_12576
OG0001726	STRK1_80000.1	T265_01638
OG0001727	STRK1_85340.1	T265_10361
OG0001728	STRK1_58570.1, STRK1_58570.2, STRK1_58570.3	T265_03905
OG0001729	STRK1_10050.1	T265_01004
OG0001731	STRK1_29200.1	T265_11635
OG0001732	STRK1_50910.1	T265_02819
OG0001733	STRK1_57830.1, STRK1_104790.1	T265_03326
OG0001734	STRK1_89730.2, STRK1_89730.1, STRK1_89730.3, STRK1_89730.4, STRK1_102590.1	T265_07463
OG0001735	STRK1_26430.1	T265_07057, T265_07056
OG0001736	STRK1_14100.1	T265_14980
OG0001737	STRK1_98320.1, STRK1_89130.1, STRK1_102570.1, STRK1_89140.1	T265_05187
OG0001738	STRK1_39740.1	T265_04467
OG0001739	STRK1_39280.1	T265_09719
OG0001740	STRK1_48640.1	T265_02848
OG0001741	STRK1_15700.3, STRK1_15700.1, STRK1_15700.5, STRK1_15700.6, STRK1_15700.4, STRK1_15700.2	T265_09400
OG0001742	STRK1_47970.1	T265_01766
OG0001744	STRK1_66340.1	T265_10654, T265_12595
OG0001745	STRK1_97790.1, STRK1_27430.1, STRK1_27430.2	T265_05962
OG0001746	STRK1_80370.1, STRK1_80370.2	T265_12992
OG0001747	STRK1_3580.1	T265_08419
OG0001748	STRK1_56440.1	T265_02528
OG0001749	STRK1_26340.1	T265_05162, T265_13920
OG0001750	STRK1_16080.1, STRK1_16080.2, STRK1_16070.2, STRK1_16070.1, STRK1_16070.3	T265_14641, T265_08679
OG0001751	STRK1_26220.1	T265_03745
OG0001752	STRK1_9630.1, STRK1_9630.2	T265_08775
OG0001754	STRK1_57620.1	T265_14140
OG0001755	STRK1_16170.1, STRK1_16170.2, STRK1_16170.3, STRK1_16170.4	T265_08222, T265_10918
OG0001756	STRK1_49060.1, STRK1_49060.2	T265_02705
OG0001757	STRK1_50420.2, STRK1_50420.1, STRK1_50420.3	T265_00117
OG0001758	STRK1_82650.1	T265_08429, T265_16089, T265_08430
OG0001759	STRK1_65980.1	T265_14874
OG0001760	STRK1_61210.1	T265_13963
OG0001761	STRK1_79240.1, STRK1_79260.1, STRK1_79230.1, STRK1_79220.1	T265_11120
OG0001762	STRK1_90460.1	T265_08963, T265_16323, T265_08964
OG0001763	STRK1_32630.1	T265_11384
OG0001764	STRK1_14990.1	T265_04595
OG0001765	STRK1_65860.1	T265_00502
OG0001766	STRK1_35430.1, STRK1_35430.2	T265_14565
OG0001767	STRK1_16230.1	T265_04548
OG0001768	STRK1_83760.1, STRK1_83760.2, STRK1_110440.1, STRK1_90860.1, STRK1_83770.1	T265_10297
OG0001769	STRK1_17500.1	T265_03947
OG0001770	STRK1_34820.1	T265_08230
OG0001771	STRK1_47100.1	T265_13913
OG0001772	STRK1_86290.1	T265_07572
OG0001773	STRK1_64050.1, STRK1_64050.2	T265_00534
OG0001774	STRK1_6360.1	T265_06888
OG0001775	STRK1_2700.1	T265_09040
OG0001776	STRK1_93390.1	T265_11140
OG0001777	STRK1_15300.1	T265_03011
OG0001778	STRK1_86620.1, STRK1_86620.2, STRK1_109070.1	T265_09376
OG0001780	STRK1_26980.1	T265_06467
OG0001781	STRK1_93160.1, STRK1_93160.2	T265_13075
OG0001782	STRK1_63020.1, STRK1_63020.2, STRK1_63020.4, STRK1_63020.5, STRK1_63020.3	T265_03902
OG0001783	STRK1_29320.1, STRK1_29320.2	T265_03631
OG0001784	STRK1_37370.5, STRK1_37370.4, STRK1_37370.2, STRK1_37370.1, STRK1_37370.3	T265_04098, T265_15912
OG0001785	STRK1_105890.2, STRK1_105890.1, STRK1_106430.1, STRK1_21420.1, STRK1_21410.1, STRK1_21410.2, STRK1_21410.3, STRK1_21410.4	T265_07505
OG0001786	STRK1_63570.1, STRK1_63570.2	T265_02513
OG0001787	STRK1_21400.1, STRK1_21400.2, STRK1_102650.1	T265_13198
OG0001789	STRK1_20850.1, STRK1_20860.1, STRK1_20860.2	T265_06187
OG0001790	STRK1_38530.1, STRK1_38530.2	T265_13300
OG0001791	STRK1_89370.1, STRK1_89500.1	T265_08401, T265_08403
OG0001792	STRK1_73220.1	T265_00418
OG0001793	STRK1_87500.1, STRK1_87500.2	T265_07358
OG0001794	STRK1_65870.1, STRK1_65870.2	T265_10719
OG0001801	STRK1_5320.1	T265_04593
OG0001803	STRK1_38700.1	T265_09341
OG0001804	STRK1_34180.1	T265_12618
OG0001805	STRK1_40060.1, STRK1_108740.1	T265_13514, T265_13513
OG0001806	STRK1_92380.1, STRK1_92370.1	T265_07409
OG0001807	STRK1_5310.1	T265_11444
OG0001808	STRK1_3840.1	T265_10905
OG0001809	STRK1_34400.1	T265_13772
OG0001810	STRK1_90340.1	T265_07900
OG0001812	STRK1_74210.1, STRK1_74210.2, STRK1_74210.3, STRK1_74210.4	T265_14122
OG0001813	STRK1_10900.1, STRK1_10910.1	T265_09076
OG0001814	STRK1_108280.1	T265_10976
OG0001815	STRK1_45430.1	T265_06116
OG0001816	STRK1_45240.1, STRK1_45250.1	T265_15353
OG0001817	STRK1_28470.1	T265_13431
OG0001818	STRK1_49720.1, STRK1_49720.2	T265_12286, T265_06859, T265_15980
OG0001819	STRK1_18000.1, STRK1_18000.2, STRK1_18000.3	T265_02288
OG0001820	STRK1_55380.1	T265_04186
OG0001821	STRK1_56560.1	T265_03362
OG0001822	STRK1_92000.1, STRK1_77350.1	T265_11066, T265_04529
OG0001823	STRK1_19350.1	T265_11105
OG0001825	STRK1_52600.1	T265_02352
OG0001826	STRK1_15420.1	T265_00277
OG0001827	STRK1_74950.1	T265_02155, T265_12935
OG0001828	STRK1_47230.2, STRK1_47230.4, STRK1_47230.1, STRK1_47230.3	T265_01213
OG0001829	STRK1_23790.1	T265_11088
OG0001829	STRK1_25930.1, STRK1_25940.1, STRK1_25940.2	T265_11086
OG0001830	STRK1_55870.1, STRK1_103100.1	T265_15921
OG0001831	STRK1_58970.3, STRK1_58970.1, STRK1_58970.2	T265_03336
OG0001834	STRK1_75710.1	T265_00004
OG0001835	STRK1_14430.1	T265_06643, T265_14089
OG0001836	STRK1_17280.1	T265_14559
OG0001837	STRK1_79550.1	T265_08769
OG0001838	STRK1_26200.1, STRK1_26200.2	T265_03743
OG0001839	STRK1_51460.1	T265_12526
OG0001840	STRK1_32930.1, STRK1_32930.2, STRK1_32930.3	T265_13580
OG0001841	STRK1_14750.1, STRK1_14750.2	T265_07181
OG0001842	STRK1_90950.1	T265_15657
OG0001843	STRK1_106240.1, STRK1_39750.1	T265_04469, T265_13561
OG0001845	STRK1_94510.1	T265_14549
OG0001846	STRK1_25870.1	T265_10397
OG0001847	STRK1_6440.1	T265_11864
OG0001848	STRK1_3270.1	T265_14403, T265_14401, T265_07830
OG0001849	STRK1_61800.1	T265_00607
OG0001850	STRK1_71550.1	T265_00010
OG0001851	STRK1_47220.1	T265_01360
OG0001852	STRK1_36550.1, STRK1_36550.2	T265_05433
OG0001853	STRK1_16650.1, STRK1_16650.2	T265_02922, T265_11897
OG0001854	STRK1_90730.1	T265_09648
OG0001855	STRK1_69380.1, STRK1_69380.2, STRK1_69380.3, STRK1_69380.4, STRK1_69380.5	T265_00165
OG0001856	STRK1_73400.1	T265_10021
OG0001857	STRK1_72820.1	T265_04055
OG0001858	STRK1_42380.1, STRK1_42380.2, STRK1_42380.3	T265_02220, T265_04712
OG0001859	STRK1_12430.1, STRK1_108870.1, STRK1_12420.1	T265_06498
OG0001860	STRK1_25660.3, STRK1_25660.1, STRK1_25660.2	T265_03438, T265_03772, T265_13321
OG0001861	STRK1_71910.1	T265_01225
OG0001862	STRK1_15850.1, STRK1_15850.2	T265_10909
OG0001863	STRK1_25710.1, STRK1_35840.1	T265_01043, T265_01044
OG0001864	STRK1_72100.1, STRK1_72100.2	T265_01749
OG0001866	STRK1_86440.1	T265_09747
OG0001867	STRK1_49680.1	T265_13218, T265_13219
OG0001868	STRK1_17460.1	T265_04412
OG0001869	STRK1_18800.1, STRK1_18750.1	T265_05535
OG0001870	STRK1_52460.1	T265_00132
OG0001871	STRK1_40960.1, STRK1_97480.1	T265_13828
OG0001872	STRK1_80020.1	T265_03393
OG0001873	STRK1_34810.1	T265_08992
OG0001874	STRK1_21780.1, STRK1_21780.2, STRK1_21780.3	T265_03234, T265_13196
OG0001875	STRK1_88070.1	T265_15589, T265_15590, T265_11880, T265_11881
OG0001876	STRK1_20500.1	T265_03702
OG0001877	STRK1_13680.1	T265_10265, T265_14142
OG0001879	STRK1_26350.1	T265_05975
OG0001880	STRK1_17700.1	T265_15623, T265_15873
OG0001881	STRK1_57350.1	T265_09881, T265_16342
OG0001882	STRK1_75620.1	T265_02934
OG0001883	STRK1_16930.1	T265_00246
OG0001884	STRK1_88080.1	T265_08008, T265_16260
OG0001885	STRK1_8480.1, STRK1_102660.1	T265_03198
OG0001886	STRK1_70490.1, STRK1_70520.1	T265_10249
OG0001887	STRK1_111220.1	T265_05895, T265_07671
OG0001888	STRK1_64530.1	T265_14220
OG0001889	STRK1_81670.1	T265_11606
OG0001890	STRK1_45700.1	T265_08599
OG0001891	STRK1_88910.1, STRK1_88920.1, STRK1_89800.1	T265_01391
OG0001892	STRK1_76330.1	T265_15428
OG0001893	STRK1_34950.1, STRK1_34950.2, STRK1_34950.3	T265_09740
OG0001894	STRK1_79310.1, STRK1_79310.2, STRK1_79310.3, STRK1_79310.4	T265_12840
OG0001895	STRK1_42600.1, STRK1_42600.2, STRK1_42650.1	T265_11728
OG0001896	STRK1_29160.1, STRK1_29160.2	T265_09000
OG0001897	STRK1_72470.1	T265_13908
OG0001898	STRK1_56070.1	T265_04800
OG0001899	STRK1_28480.1, STRK1_28480.2	T265_03996
OG0001900	STRK1_73790.1, STRK1_73790.2	T265_05713
OG0001901	STRK1_29790.1, STRK1_29790.2	T265_07537
OG0001902	STRK1_28500.1	T265_03661, T265_11899
OG0001903	STRK1_81870.1	T265_06552, T265_06554
OG0001904	STRK1_11500.1	T265_10321
OG0001905	STRK1_104070.1, STRK1_56210.2, STRK1_56200.1, STRK1_56200.2, STRK1_56210.1, STRK1_53590.1	T265_06569
OG0001906	STRK1_36580.2, STRK1_36580.1, STRK1_36580.3	T265_13479
OG0001907	STRK1_6270.1	T265_14805
OG0001908	STRK1_62080.1, STRK1_62090.1	T265_04923
OG0001909	STRK1_93170.1	T265_08757
OG0001910	STRK1_28890.1	T265_11579
OG0001911	STRK1_47770.1, STRK1_47770.2	T265_08739, T265_08740
OG0001912	STRK1_76490.1, STRK1_76490.2, STRK1_76490.3	T265_05946
OG0001913	STRK1_71560.1	T265_02936
OG0001914	STRK1_60010.1	T265_04183
OG0001915	STRK1_80790.1	T265_15891, T265_01652, T265_12174
OG0001916	STRK1_6160.1	T265_06670
OG0001917	STRK1_12730.1, STRK1_12730.2, STRK1_12730.4, STRK1_12730.3	T265_14049
OG0001918	STRK1_43990.1, STRK1_43990.2	T265_00471
OG0001919	STRK1_66110.1, STRK1_66110.2	T265_02504
OG0001920	STRK1_100410.1, STRK1_12580.1, STRK1_12580.2, STRK1_12590.1	T265_08481
OG0001921	STRK1_38000.1	T265_06125
OG0001922	STRK1_102080.1	T265_14503
OG0001923	STRK1_15570.1	T265_07276
OG0001924	STRK1_48810.5, STRK1_48810.6, STRK1_48810.7, STRK1_48810.1, STRK1_48810.2, STRK1_48810.3, STRK1_48810.4	T265_02681
OG0001925	STRK1_20340.1, STRK1_20340.2	T265_00852
OG0001926	STRK1_34130.1	T265_02868
OG0001927	STRK1_80850.1, STRK1_80850.2	T265_08673
OG0001929	STRK1_70270.1, STRK1_70270.2, STRK1_70270.3	T265_16131, T265_00819
OG0001932	STRK1_61990.1	T265_11747
OG0001941	STRK1_87790.1	T265_02631
OG0001943	STRK1_13300.1, STRK1_13300.3, STRK1_13300.2, STRK1_13300.4	T265_12963
OG0001944	STRK1_66250.1	T265_01438
OG0001945	STRK1_92480.1, STRK1_92480.2	T265_02757, T265_11309
OG0001946	STRK1_29760.3, STRK1_29760.4, STRK1_29760.1, STRK1_29760.2, STRK1_29760.5	T265_08642
OG0001947	STRK1_37240.2, STRK1_37240.1	T265_15378
OG0001948	STRK1_87890.1	T265_09604
OG0001949	STRK1_90360.1	T265_10788
OG0001950	STRK1_81210.1	T265_14356
OG0001951	STRK1_5790.1, STRK1_5790.2, STRK1_5790.3, STRK1_5790.4	T265_02488
OG0001952	STRK1_43440.1, STRK1_43440.2	T265_01274
OG0001953	STRK1_31500.1	T265_07588
OG0001954	STRK1_4450.1	T265_05594, T265_10324, T265_10323
OG0001955	STRK1_15370.1	T265_04533
OG0001956	STRK1_75910.1, STRK1_75910.2	T265_00329
OG0001957	STRK1_4590.1, STRK1_4590.2, STRK1_4590.4, STRK1_4590.3	T265_16364
OG0001958	STRK1_63180.1, STRK1_63180.2, STRK1_63180.3, STRK1_63180.4, STRK1_63180.5, STRK1_63180.7, STRK1_63180.8, STRK1_63180.6	T265_12587
OG0001959	STRK1_29460.1	T265_12030
OG0001960	STRK1_36730.1, STRK1_36730.2, STRK1_36730.3, STRK1_36730.4	T265_03563
OG0001961	STRK1_66370.1, STRK1_66380.1	T265_04189
OG0001962	STRK1_19080.1, STRK1_19080.2	T265_02258
OG0001963	STRK1_26880.1, STRK1_26880.2	T265_07542
OG0001964	STRK1_88000.1, STRK1_87980.1	T265_02635
OG0001965	STRK1_81330.1, STRK1_81330.2	T265_15738, T265_09470, T265_16302
OG0001966	STRK1_7060.1	T265_11898
OG0001967	STRK1_92780.1, STRK1_92780.2	T265_11018
OG0001968	STRK1_32200.1	T265_12615
OG0001969	STRK1_98290.1, STRK1_30280.1	T265_15599, T265_11986
OG0001970	STRK1_33610.1, STRK1_33610.2	T265_06534
OG0001972	STRK1_62890.1, STRK1_62890.2, STRK1_62890.3	T265_06716
OG0001973	STRK1_78890.1	T265_10631
OG0001974	STRK1_45210.1	T265_03306
OG0001975	STRK1_49290.1, STRK1_49290.2, STRK1_49290.3, STRK1_49290.4	T265_08820
OG0001978	STRK1_77150.1	T265_02840
OG0001979	STRK1_52570.1, STRK1_52570.2	T265_00134
OG0001980	STRK1_61260.1	T265_00639
OG0001981	STRK1_37230.1	T265_14563
OG0001982	STRK1_35660.1, STRK1_103410.1	T265_05804
OG0001983	STRK1_81340.1, STRK1_105420.1, STRK1_81340.2	T265_16272, T265_10525
OG0001984	STRK1_87560.1, STRK1_105350.1, STRK1_40520.1	T265_13337
OG0001985	STRK1_28620.1	T265_05014
OG0001986	STRK1_47290.5, STRK1_47290.2, STRK1_47290.1, STRK1_47290.4, STRK1_47290.3	T265_13071
OG0001987	STRK1_28660.1	T265_11477
OG0001988	STRK1_56990.1, STRK1_56980.1, STRK1_56980.2	T265_00178
OG0001989	STRK1_9860.1	T265_00999
OG0001990	STRK1_49580.1, STRK1_99370.1	T265_14644
OG0001991	STRK1_102090.1, STRK1_107370.1	T265_09212
