Orthogroup	schistosoma_turkestanicum	fasciola_gigantica
OG0001180	STRK1_8870.1, STRK1_8870.2	FGIG_09159, FGIG_11284
OG0001181	STRK1_55860.1	FGIG_09440
OG0001182	STRK1_30780.1, STRK1_30780.2, STRK1_30780.3, STRK1_30780.4, STRK1_30780.5, STRK1_30780.6	FGIG_09577, FGIG_12267
OG0001183	STRK1_10350.1	FGIG_09838
OG0001184	STRK1_16620.1	FGIG_09947
OG0001185	STRK1_9990.1	FGIG_10786
OG0001186	STRK1_99770.1, STRK1_6620.1, STRK1_6620.2	FGIG_10879
OG0001187	STRK1_32380.1	FGIG_11096
OG0001188	STRK1_13020.1, STRK1_13020.2	FGIG_11471
OG0001189	STRK1_5250.1	FGIG_12652, FGIG_11638
OG0001190	STRK1_30970.1	FGIG_11792
OG0001191	STRK1_15580.1	FGIG_11901
OG0001192	STRK1_41090.1	FGIG_12164, FGIG_12599
OG0001193	STRK1_80430.1, STRK1_80430.2, STRK1_80430.3, STRK1_80430.5, STRK1_80430.6, STRK1_80430.7, STRK1_80430.10, STRK1_80430.8, STRK1_80430.9, STRK1_80430.4	FGIG_12177
OG0001194	STRK1_6210.5, STRK1_6210.1, STRK1_6210.2, STRK1_6210.3, STRK1_6210.4	FGIG_12597
OG0001202	STRK1_11710.1, STRK1_11710.2	FGIG_00092, FGIG_00091, FGIG_00090
OG0001203	STRK1_78910.1	FGIG_01145
OG0001204	STRK1_63100.1	FGIG_00416
OG0001205	STRK1_31110.1, STRK1_31120.1	FGIG_00431, FGIG_00433
OG0001206	STRK1_101600.1, STRK1_26990.1, STRK1_2190.1, STRK1_43960.1	FGIG_00521
OG0001207	STRK1_4730.1, STRK1_4730.2, STRK1_4730.3	FGIG_00624
OG0001208	STRK1_32960.1	FGIG_00768, FGIG_10999, FGIG_08146
OG0001209	STRK1_50490.1	FGIG_00773
OG0001210	STRK1_94820.1	FGIG_00783
OG0001211	STRK1_13600.1	FGIG_00866
OG0001211	STRK1_13610.1	FGIG_00867
OG0001212	STRK1_24080.1	FGIG_00887, FGIG_00886
OG0001213	STRK1_6260.1	FGIG_00940
OG0001214	STRK1_27100.1	FGIG_00963
OG0001215	STRK1_63740.1, STRK1_63740.2	FGIG_00989
OG0001216	STRK1_26060.1, STRK1_26060.2	FGIG_01139
OG0001217	STRK1_71800.1	FGIG_01201, FGIG_09525
OG0001218	STRK1_7840.3, STRK1_7840.1, STRK1_7840.2	FGIG_01297
OG0001219	STRK1_670.1, STRK1_670.2, STRK1_670.3	FGIG_01301
OG0001220	STRK1_90770.1	FGIG_01568
OG0001221	STRK1_59500.1	FGIG_01627
OG0001222	STRK1_89240.1	FGIG_01806
OG0001224	STRK1_80060.1	FGIG_11675, FGIG_01980, FGIG_11674
OG0001225	STRK1_57450.1, STRK1_57450.2	FGIG_11699, FGIG_02205
OG0001226	STRK1_44010.1, STRK1_44020.1, STRK1_44000.1	FGIG_02402, FGIG_02403
OG0001227	STRK1_65420.1, STRK1_65420.2	FGIG_02427, FGIG_10207
OG0001228	STRK1_42440.1	FGIG_04742, FGIG_05551, FGIG_02693, FGIG_12115, FGIG_02692
OG0001229	STRK1_29500.1, STRK1_29500.2, STRK1_29500.3	FGIG_02875
OG0001230	STRK1_14280.1	FGIG_02882
OG0001231	STRK1_37880.1, STRK1_37880.2, STRK1_37880.3	FGIG_02962
OG0001232	STRK1_78820.1, STRK1_105280.1, STRK1_78830.1	FGIG_03290, FGIG_10388
OG0001233	STRK1_3540.1	FGIG_03583
OG0001234	STRK1_41970.1, STRK1_41970.3, STRK1_41970.2, STRK1_100850.1	FGIG_03890
OG0001235	STRK1_37000.1, STRK1_37020.1, STRK1_37010.1, STRK1_37030.1	FGIG_05015, FGIG_04167
OG0001236	STRK1_63980.1	FGIG_04255, FGIG_04254
OG0001237	STRK1_26100.1, STRK1_26170.1	FGIG_04341
OG0001238	STRK1_94050.1	FGIG_04821, FGIG_10088
OG0001239	STRK1_7860.1	FGIG_04854
OG0001240	STRK1_46050.1	FGIG_05002
OG0001241	STRK1_105360.1	FGIG_05887
OG0001241	STRK1_73670.1	FGIG_05099
OG0001242	STRK1_54180.1	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130
OG0001243	STRK1_6240.1	FGIG_08567, FGIG_05341
OG0001244	STRK1_86560.1, STRK1_86560.2, STRK1_86560.3	FGIG_05347
OG0001245	STRK1_7660.1, STRK1_7670.1, STRK1_7670.2	FGIG_05932
OG0001246	STRK1_34350.1	FGIG_06383
OG0001247	STRK1_33780.1	FGIG_06416
OG0001248	STRK1_3300.1	FGIG_06917
OG0001249	STRK1_30870.1, STRK1_30870.2, STRK1_30870.3	FGIG_06968
OG0001250	STRK1_1570.1	FGIG_06989
OG0001251	STRK1_74520.1	FGIG_07285
OG0001252	STRK1_106310.1, STRK1_46280.1	FGIG_07384
OG0001253	STRK1_48630.1	FGIG_07753, FGIG_07752
OG0001254	STRK1_34050.1, STRK1_34040.1	FGIG_12494, FGIG_07899, FGIG_07901
OG0001255	STRK1_36940.1, STRK1_36940.3, STRK1_36940.5, STRK1_36940.2, STRK1_36940.4	FGIG_07955
OG0001256	STRK1_50900.1, STRK1_50890.1	FGIG_10216, FGIG_08072, FGIG_08073
OG0001257	STRK1_25790.1	FGIG_10494, FGIG_08198
OG0001258	STRK1_71070.1, STRK1_71070.3, STRK1_71070.2	FGIG_08259
OG0001259	STRK1_57540.1, STRK1_57540.2	FGIG_08281
OG0001260	STRK1_890.1	FGIG_08501, FGIG_08502
OG0001261	STRK1_43280.1	FGIG_08782
OG0001262	STRK1_80480.1	FGIG_08945
OG0001263	STRK1_86670.3, STRK1_86670.1, STRK1_86670.2, STRK1_86680.1	FGIG_09513
OG0001264	STRK1_51760.2, STRK1_51760.1, STRK1_51760.3	FGIG_09786
OG0001265	STRK1_60190.1	FGIG_09796
OG0001266	STRK1_68390.1	FGIG_09988
OG0001267	STRK1_107010.1, STRK1_47540.1, STRK1_47540.2	FGIG_10603
OG0001268	STRK1_13010.1	FGIG_11001, FGIG_10608
OG0001269	STRK1_22200.1	FGIG_10908
OG0001270	STRK1_85300.1	FGIG_10957
OG0001271	STRK1_62150.1	FGIG_11008, FGIG_12544
OG0001272	STRK1_78050.1, STRK1_78050.2	FGIG_11520, FGIG_12609, FGIG_11091
OG0001273	STRK1_75060.1	FGIG_11191
OG0001274	STRK1_66350.1	FGIG_11229, FGIG_11228
OG0001275	STRK1_48060.1	FGIG_11389, FGIG_11949
OG0001276	STRK1_58460.1	FGIG_11574
OG0001277	STRK1_16770.1	FGIG_11601, FGIG_12005
OG0001278	STRK1_85240.1	FGIG_11618
OG0001279	STRK1_35920.1, STRK1_35920.2	FGIG_12224, FGIG_12521
OG0001288	STRK1_90450.1	FGIG_00192
OG0001289	STRK1_30350.1	FGIG_00210
OG0001290	STRK1_6690.1, STRK1_6690.2	FGIG_07230, FGIG_00515
OG0001292	STRK1_15450.1, STRK1_15460.1	FGIG_00943
OG0001293	STRK1_96940.1	FGIG_01034, FGIG_10755
OG0001294	STRK1_31600.1	FGIG_01093
OG0001295	STRK1_31890.1	FGIG_01383
OG0001296	STRK1_7250.1	FGIG_01523
OG0001297	STRK1_11250.1	FGIG_01649
OG0001298	STRK1_31060.1, STRK1_31060.2	FGIG_10329, FGIG_01668
OG0001299	STRK1_34000.1	FGIG_01809
OG0001300	STRK1_3590.1	FGIG_01863, FGIG_01865, FGIG_01864
OG0001301	STRK1_48300.1	FGIG_02298
OG0001302	STRK1_17800.1, STRK1_17800.2	FGIG_02339, FGIG_12266
OG0001303	STRK1_31900.1	FGIG_02649
OG0001304	STRK1_101310.1, STRK1_87600.1, STRK1_87600.2	FGIG_02940
OG0001305	STRK1_860.1	FGIG_03115
OG0001306	STRK1_60730.1, STRK1_60730.2	FGIG_03213, FGIG_11624
OG0001307	STRK1_79970.1, STRK1_79970.2	FGIG_12121
OG0001307	STRK1_79960.1, STRK1_79960.2	FGIG_08402, FGIG_03373
OG0001308	STRK1_90800.1	FGIG_03675
OG0001309	STRK1_75370.1, STRK1_75370.2	FGIG_03882
OG0001310	STRK1_25250.1, STRK1_25270.1, STRK1_107960.1	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922
OG0001311	STRK1_41960.1, STRK1_41960.2	FGIG_04205
OG0001312	STRK1_32130.1	FGIG_04608
OG0001313	STRK1_41840.1, STRK1_41830.1, STRK1_41850.1, STRK1_41860.1	FGIG_04711, FGIG_10967, FGIG_04712
OG0001314	STRK1_9850.1	FGIG_04857
OG0001315	STRK1_32170.1	FGIG_04966
OG0001316	STRK1_82350.1, STRK1_82340.1	FGIG_05223, FGIG_05224
OG0001317	STRK1_4790.1, STRK1_4790.2, STRK1_4790.3	FGIG_05230, FGIG_05743
OG0001318	STRK1_210.1, STRK1_210.2	FGIG_05261
OG0001319	STRK1_37910.1	FGIG_05871
OG0001320	STRK1_63990.1	FGIG_06118
OG0001321	STRK1_19570.1, STRK1_19550.2, STRK1_19550.1, STRK1_19560.1, STRK1_14150.1, STRK1_14140.1	FGIG_06378, FGIG_10936, FGIG_10722
OG0001322	STRK1_45660.1, STRK1_104780.1	FGIG_06556
OG0001323	STRK1_390.1, STRK1_390.2	FGIG_06678
OG0001324	STRK1_98350.1, STRK1_98350.2	FGIG_06702
OG0001325	STRK1_92310.1	FGIG_06784
OG0001326	STRK1_51640.1	FGIG_07026, FGIG_12565
OG0001327	STRK1_100050.1, STRK1_87200.1	FGIG_07236
OG0001328	STRK1_15750.1	FGIG_12496, FGIG_07303, FGIG_07304
OG0001329	STRK1_5810.2, STRK1_5810.5, STRK1_5810.1, STRK1_5810.4, STRK1_5810.3	FGIG_07431
OG0001330	STRK1_29080.1	FGIG_07580
OG0001331	STRK1_51100.1	FGIG_07615
OG0001332	STRK1_57110.2, STRK1_57110.1	FGIG_07793
OG0001332	STRK1_108580.1	FGIG_08065
OG0001333	STRK1_58690.1	FGIG_08087
OG0001334	STRK1_940.1	FGIG_08335
OG0001335	STRK1_29220.1, STRK1_29220.2	FGIG_08507
OG0001336	STRK1_108820.1, STRK1_21520.1, STRK1_44470.1, STRK1_44450.1, STRK1_44440.1, STRK1_44480.1, STRK1_101050.1	FGIG_08559
OG0001337	STRK1_51740.1	FGIG_08711
OG0001338	STRK1_27960.1, STRK1_27960.2	FGIG_08777
OG0001339	STRK1_10570.1	FGIG_09242
OG0001340	STRK1_9010.1	FGIG_09253
OG0001341	STRK1_70900.2, STRK1_70900.1, STRK1_70900.3	FGIG_09384
OG0001342	STRK1_46830.1	FGIG_12225, FGIG_09592, FGIG_09591
OG0001343	STRK1_69840.1, STRK1_69840.2	FGIG_09648
OG0001344	STRK1_74140.1	FGIG_10334, FGIG_09779
OG0001345	STRK1_37400.1, STRK1_37400.2	FGIG_09899, FGIG_10090
OG0001346	STRK1_5040.1	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885
OG0001347	STRK1_35110.1	FGIG_10057, FGIG_12464
OG0001348	STRK1_30760.1, STRK1_30770.1	FGIG_10100
OG0001349	STRK1_4500.1	FGIG_11879, FGIG_10164
OG0001350	STRK1_32520.1, STRK1_32520.2	FGIG_10314
OG0001351	STRK1_102860.1, STRK1_105640.1, STRK1_22250.1	FGIG_10576
OG0001352	STRK1_22390.1, STRK1_22390.2	FGIG_10691
OG0001353	STRK1_99950.1, STRK1_59340.1, STRK1_59340.3, STRK1_59340.2	FGIG_10836, FGIG_11746
OG0001354	STRK1_61770.1, STRK1_61700.1, STRK1_61710.1	FGIG_11409
OG0001355	STRK1_44260.1, STRK1_101750.1, STRK1_44270.1	FGIG_11782
OG0001356	STRK1_69890.1	FGIG_11865
OG0001357	STRK1_37830.1, STRK1_37830.2, STRK1_37830.3, STRK1_37830.4	FGIG_12082
OG0001358	STRK1_87550.1, STRK1_87550.2	FGIG_12429, FGIG_12515
OG0001361	STRK1_27210.1, STRK1_27220.1	FGIG_00002
OG0001362	STRK1_29380.1, STRK1_29380.2	FGIG_10224
OG0001363	STRK1_94590.1, STRK1_90740.1, STRK1_90740.3, STRK1_90740.2	FGIG_00681
OG0001364	STRK1_103220.1, STRK1_82320.1	FGIG_02461, FGIG_00701
OG0001365	STRK1_72630.1	FGIG_00793
OG0001366	STRK1_47660.3, STRK1_47660.2, STRK1_47660.1	FGIG_00825
OG0001367	STRK1_93040.1	FGIG_00899
OG0001368	STRK1_4250.1	FGIG_01072
OG0001369	STRK1_85650.1, STRK1_85650.2	FGIG_01293, FGIG_11775
OG0001370	STRK1_55430.1, STRK1_55440.1, STRK1_55420.1	FGIG_01407
OG0001371	STRK1_31210.1	FGIG_01436, FGIG_03554, FGIG_05993
OG0001372	STRK1_27920.1	FGIG_01881
OG0001374	STRK1_60090.1	FGIG_01999
OG0001375	STRK1_73870.1, STRK1_73870.2	FGIG_02028
OG0001376	STRK1_55280.1, STRK1_83980.1, STRK1_83980.2	FGIG_02276
OG0001377	STRK1_59780.1, STRK1_59780.2	FGIG_02347
OG0001378	STRK1_16860.1	FGIG_02822, FGIG_02481
OG0001379	STRK1_67940.1	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106
OG0001380	STRK1_57030.1, STRK1_57030.2	FGIG_02638
OG0001381	STRK1_71590.1	FGIG_02642, FGIG_12629
OG0001382	STRK1_26090.1	FGIG_02925
OG0001383	STRK1_16120.1	FGIG_03190
OG0001384	STRK1_84640.1	FGIG_03272
OG0001385	STRK1_99740.1, STRK1_21890.1, STRK1_104990.1, STRK1_21920.1	FGIG_03311, FGIG_03310
OG0001386	STRK1_39770.1, STRK1_39790.1, STRK1_39800.1	FGIG_03534
OG0001387	STRK1_108060.1	FGIG_03668
OG0001388	STRK1_10820.1	FGIG_07823, FGIG_03697
OG0001389	STRK1_43860.1, STRK1_43860.2	FGIG_03992
OG0001390	STRK1_38100.1, STRK1_38120.1, STRK1_38090.1	FGIG_04023
OG0001391	STRK1_35550.1	FGIG_04025, FGIG_06537
OG0001392	STRK1_7920.1	FGIG_04113
OG0001393	STRK1_14800.1, STRK1_14810.1, STRK1_14810.2, STRK1_14810.3	FGIG_04241
OG0001394	STRK1_100110.1, STRK1_76170.1	FGIG_04248
OG0001395	STRK1_22490.1, STRK1_22490.2	FGIG_12176
OG0001396	STRK1_45870.1, STRK1_45880.1, STRK1_45880.2	FGIG_04364
OG0001397	STRK1_59650.1, STRK1_59650.2	FGIG_04602
OG0001398	STRK1_10600.1	FGIG_04627
OG0001399	STRK1_89220.1	FGIG_04632, FGIG_05593
OG0001400	STRK1_97090.1, STRK1_105050.1	FGIG_04740
OG0001401	STRK1_96390.1, STRK1_54410.1	FGIG_05531, FGIG_04791
OG0001402	STRK1_26890.1	FGIG_04917
OG0001403	STRK1_98040.1, STRK1_54600.1	FGIG_05254, FGIG_05255
OG0001404	STRK1_17820.1, STRK1_17820.8, STRK1_17820.9, STRK1_17820.6, STRK1_17820.5, STRK1_17820.2, STRK1_17820.3, STRK1_17820.7, STRK1_17820.4	FGIG_05319
OG0001405	STRK1_34700.4, STRK1_34700.6, STRK1_34700.1, STRK1_34700.2, STRK1_34700.3, STRK1_34700.5	FGIG_05965
OG0001406	STRK1_36650.1	FGIG_06203
OG0001408	STRK1_24960.1, STRK1_24940.1	FGIG_06264, FGIG_07363
OG0001409	STRK1_49570.1	FGIG_06287, FGIG_09995
OG0001410	STRK1_35930.1	FGIG_06538
OG0001411	STRK1_27190.1	FGIG_06544
OG0001412	STRK1_27290.1	FGIG_06774
OG0001413	STRK1_90290.1, STRK1_90290.2	FGIG_06924
OG0001414	STRK1_15960.1	FGIG_07348
OG0001415	STRK1_32360.1, STRK1_32360.2	FGIG_07500
OG0001416	STRK1_5120.1, STRK1_5120.2	FGIG_07696
OG0001417	STRK1_13190.1	FGIG_07741, FGIG_12559
OG0001418	STRK1_91360.1	FGIG_07825
OG0001419	STRK1_62820.1	FGIG_07870, FGIG_10679
OG0001420	STRK1_80240.1, STRK1_80240.2	FGIG_07881
OG0001421	STRK1_28270.1	FGIG_07907
OG0001422	STRK1_70820.1	FGIG_08355
OG0001423	STRK1_10530.1	FGIG_08436
OG0001424	STRK1_8820.1	FGIG_09248, FGIG_12263, FGIG_08684
OG0001425	STRK1_22670.1, STRK1_22670.2, STRK1_22670.3, STRK1_22670.4, STRK1_22670.5, STRK1_22670.6	FGIG_08864
OG0001426	STRK1_5770.1, STRK1_90570.1	FGIG_09477
OG0001427	STRK1_26900.1	FGIG_09959, FGIG_09960, FGIG_09551
OG0001428	STRK1_17540.1	FGIG_09685
OG0001429	STRK1_47360.1	FGIG_09736
OG0001430	STRK1_54760.1, STRK1_54750.1	FGIG_09780, FGIG_09781
OG0001431	STRK1_62540.1, STRK1_62540.2, STRK1_62540.3, STRK1_62540.4, STRK1_62540.5	FGIG_09903
OG0001432	STRK1_105570.1, STRK1_105580.1, STRK1_20610.1	FGIG_10624, FGIG_10046
OG0001433	STRK1_101710.1, STRK1_104940.1	FGIG_10236
OG0001434	STRK1_93350.1	FGIG_10315
OG0001435	STRK1_73840.1, STRK1_73840.2, STRK1_73840.3, STRK1_73840.4	FGIG_10602
OG0001436	STRK1_74830.1	FGIG_10675
OG0001437	STRK1_110490.1, STRK1_49140.1, STRK1_48130.1	FGIG_11037
OG0001438	STRK1_105840.1, STRK1_13340.1	FGIG_12188, FGIG_11078
OG0001439	STRK1_73520.1, STRK1_73520.3, STRK1_73520.2, STRK1_73520.4	FGIG_11413
OG0001440	STRK1_33710.1, STRK1_33710.2, STRK1_33710.3	FGIG_11566, FGIG_11647
OG0001441	STRK1_88750.1, STRK1_88750.2, STRK1_88750.3, STRK1_88590.1, STRK1_88600.1	FGIG_11575
OG0001443	STRK1_1800.1	FGIG_12392
OG0001454	STRK1_80440.1	FGIG_00100
OG0001455	STRK1_90500.1	FGIG_00375
OG0001456	STRK1_102150.1, STRK1_67470.1, STRK1_66620.1, STRK1_66630.1, STRK1_66660.1	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394
OG0001457	STRK1_15390.1	FGIG_00527
OG0001458	STRK1_29810.2, STRK1_29810.4, STRK1_29810.1, STRK1_29810.3	FGIG_00598
OG0001459	STRK1_56830.1	FGIG_00625
OG0001460	STRK1_30880.1	FGIG_00746
OG0001461	STRK1_26650.1, STRK1_26650.2	FGIG_00812
OG0001462	STRK1_56150.1, STRK1_56150.2, STRK1_56150.3, STRK1_56150.4	FGIG_00838
OG0001463	STRK1_57580.1, STRK1_57570.1, STRK1_99760.1, STRK1_98190.1, STRK1_98180.1	FGIG_00845, FGIG_00847, FGIG_00842
OG0001464	STRK1_47630.1, STRK1_47610.1	FGIG_01002, FGIG_01001
OG0001465	STRK1_72070.1, STRK1_72070.2	FGIG_01084, FGIG_01085, FGIG_01083
OG0001466	STRK1_6740.1, STRK1_6740.2, STRK1_6740.3, STRK1_6740.4, STRK1_6740.5, STRK1_6740.6	FGIG_01468
OG0001467	STRK1_63200.3, STRK1_63200.5, STRK1_63200.6, STRK1_63200.1, STRK1_63200.2, STRK1_63200.4	FGIG_01527
OG0001468	STRK1_15650.1	FGIG_01678
OG0001469	STRK1_80110.1	FGIG_02035
OG0001470	STRK1_61780.1, STRK1_61740.1	FGIG_02478
OG0001471	STRK1_61380.1, STRK1_61370.1, STRK1_61390.1	FGIG_02485
OG0001472	STRK1_61680.1, STRK1_61690.1, STRK1_111360.1	FGIG_02729
OG0001473	STRK1_75330.1	FGIG_02731
OG0001474	STRK1_106530.2, STRK1_106530.4, STRK1_106530.6, STRK1_106530.7, STRK1_106530.1, STRK1_106530.8, STRK1_106530.9, STRK1_106530.5, STRK1_106530.3	FGIG_03047
OG0001475	STRK1_48250.3, STRK1_48250.1, STRK1_48250.4, STRK1_48250.5, STRK1_48250.2	FGIG_03100
OG0001476	STRK1_12490.1	FGIG_03317, FGIG_03318, FGIG_03319
OG0001477	STRK1_53700.1, STRK1_53700.2, STRK1_53700.3, STRK1_53700.4, STRK1_53700.5	FGIG_05669, FGIG_03473
OG0001478	STRK1_20580.1, STRK1_20580.2	FGIG_03510
OG0001479	STRK1_9000.1	FGIG_03824, FGIG_03823
OG0001480	STRK1_10120.1	FGIG_03902, FGIG_09394
OG0001481	STRK1_45590.1, STRK1_45600.1	FGIG_03954
OG0001482	STRK1_89840.1, STRK1_89840.2	FGIG_03987, FGIG_03989
OG0001483	STRK1_69490.1, STRK1_69490.2	FGIG_04016, FGIG_04017
OG0001484	STRK1_21560.1, STRK1_21560.2	FGIG_04029
OG0001485	STRK1_35100.1, STRK1_35100.2	FGIG_04100
OG0001486	STRK1_47170.1, STRK1_47170.2	FGIG_04199
OG0001487	STRK1_24250.1, STRK1_24250.2, STRK1_24250.3	FGIG_04338
OG0001488	STRK1_30750.1	FGIG_10101
OG0001488	STRK1_93010.1	FGIG_04424, FGIG_09377
OG0001489	STRK1_22720.1	FGIG_04514
OG0001490	STRK1_32140.1	FGIG_04737
OG0001491	STRK1_3240.1, STRK1_3240.2	FGIG_04881
OG0001492	STRK1_50790.1	FGIG_05028
OG0001493	STRK1_43880.1, STRK1_43880.2, STRK1_97930.1	FGIG_05082
OG0001494	STRK1_26330.1, STRK1_26330.2, STRK1_26330.3	FGIG_05163
OG0001495	STRK1_7370.1	FGIG_05214
OG0001496	STRK1_73590.1	FGIG_05312
OG0001497	STRK1_35420.1	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298
OG0001498	STRK1_42280.1, STRK1_42270.1, STRK1_42270.2	FGIG_05326
OG0001499	STRK1_58560.1	FGIG_05475
OG0001500	STRK1_62940.2, STRK1_62940.1, STRK1_62940.4, STRK1_62940.3	FGIG_05484
OG0001501	STRK1_93650.1	FGIG_05719
OG0001502	STRK1_108690.1, STRK1_103250.1, STRK1_110.1, STRK1_130.1	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911
OG0001503	STRK1_51900.1, STRK1_51900.2	FGIG_05914, FGIG_05913, FGIG_12549
OG0001504	STRK1_63940.1	FGIG_06003
OG0001505	STRK1_94340.1	FGIG_06009, FGIG_06008, FGIG_11726
OG0001506	STRK1_5390.1	FGIG_11884, FGIG_06191
OG0001507	STRK1_46570.1, STRK1_46570.3, STRK1_46570.2	FGIG_06422
OG0001508	STRK1_28600.1	FGIG_06515
OG0001509	STRK1_75970.1, STRK1_74480.1	FGIG_08725, FGIG_06689, FGIG_11470
OG0001510	STRK1_41890.1	FGIG_06710
OG0001510	STRK1_41680.1	FGIG_09309
OG0001511	STRK1_31920.1	FGIG_07488
OG0001512	STRK1_69410.1	FGIG_07543, FGIG_08646
OG0001513	STRK1_5200.1	FGIG_07584
OG0001514	STRK1_1130.1, STRK1_1130.2	FGIG_11472, FGIG_07598
OG0001515	STRK1_1730.1, STRK1_8770.1	FGIG_07783
OG0001516	STRK1_18060.1	FGIG_08344
OG0001516	STRK1_18040.1	FGIG_08392
OG0001517	STRK1_25210.1, STRK1_25230.1, STRK1_25230.2	FGIG_08150
OG0001518	STRK1_75800.1	FGIG_08552, FGIG_08418
OG0001519	STRK1_73460.1	FGIG_08498
OG0001520	STRK1_12380.1, STRK1_12380.3, STRK1_12380.2, STRK1_12380.4	FGIG_08941
OG0001521	STRK1_48330.1	FGIG_09187
OG0001522	STRK1_9290.1	FGIG_09207
OG0001523	STRK1_50640.1, STRK1_50640.2	FGIG_09296
OG0001524	STRK1_79570.1	FGIG_09430
OG0001525	STRK1_34990.1, STRK1_34990.2	FGIG_10654, FGIG_09632
OG0001526	STRK1_47150.1, STRK1_47150.2	FGIG_09633
OG0001527	STRK1_85710.1, STRK1_85700.1, STRK1_85720.1	FGIG_09634
OG0001528	STRK1_41000.1, STRK1_41000.2	FGIG_09818, FGIG_10180
OG0001529	STRK1_93510.1, STRK1_93510.2	FGIG_09837
OG0001530	STRK1_44640.1, STRK1_44650.1, STRK1_44630.1	FGIG_09879
OG0001531	STRK1_98650.1, STRK1_98650.2	FGIG_10103
OG0001532	STRK1_17150.1	FGIG_10146, FGIG_10147
OG0001533	STRK1_56370.1, STRK1_56370.2	FGIG_10179
OG0001534	STRK1_75680.1, STRK1_75680.2	FGIG_10287
OG0001536	STRK1_18970.1, STRK1_18990.1	FGIG_10698
OG0001537	STRK1_820.1	FGIG_11105
OG0001538	STRK1_88150.1, STRK1_88150.2, STRK1_88150.3	FGIG_11361
OG0001539	STRK1_1000.1, STRK1_1000.2, STRK1_1000.3	FGIG_11593
OG0001540	STRK1_41410.1, STRK1_41410.2	FGIG_11704
OG0001541	STRK1_96640.1, STRK1_103870.1, STRK1_81260.1, STRK1_102310.1	FGIG_11817
OG0001542	STRK1_51050.1	FGIG_11924
OG0001543	STRK1_41910.1, STRK1_41910.2	FGIG_11936
OG0001544	STRK1_7990.1	FGIG_12130, FGIG_12131
OG0001554	STRK1_29300.1	FGIG_07971, FGIG_07969
OG0001555	STRK1_75770.1	FGIG_00531, FGIG_00530, FGIG_00127
OG0001556	STRK1_31530.3, STRK1_31530.4, STRK1_31530.1, STRK1_31530.2	FGIG_00492
OG0001557	STRK1_39230.1, STRK1_39230.2	FGIG_00563
OG0001558	STRK1_77800.1	FGIG_00593
OG0001560	STRK1_64310.1	FGIG_00841
OG0001561	STRK1_43690.1	FGIG_00934, FGIG_03387
OG0001562	STRK1_74430.1	FGIG_01022
OG0001563	STRK1_40200.1, STRK1_40180.1, STRK1_95010.1, STRK1_95020.1	FGIG_01149
OG0001564	STRK1_50300.1, STRK1_50250.1	FGIG_12337, FGIG_01165, FGIG_01166
OG0001565	STRK1_62010.1	FGIG_01252
OG0001566	STRK1_64410.1	FGIG_01332, FGIG_01331
OG0001567	STRK1_74690.1, STRK1_74690.2	FGIG_01351, FGIG_02042
OG0001568	STRK1_78010.1, STRK1_78010.2	FGIG_01381, FGIG_10926
OG0001569	STRK1_20650.1, STRK1_20650.2	FGIG_01430
OG0001570	STRK1_68760.1	FGIG_01497
OG0001571	STRK1_190.1	FGIG_08212
OG0001571	STRK1_5920.1	FGIG_01541
OG0001572	STRK1_64400.1, STRK1_64400.2	FGIG_01643
OG0001573	STRK1_26250.1	FGIG_01771
OG0001574	STRK1_36460.1, STRK1_36460.2	FGIG_01776
OG0001575	STRK1_11000.1	FGIG_01819
OG0001576	STRK1_106850.1, STRK1_108170.1, STRK1_87670.1, STRK1_87670.2	FGIG_01874, FGIG_01873
OG0001577	STRK1_100980.1	FGIG_02105
OG0001578	STRK1_54270.1	FGIG_02177
OG0001579	STRK1_14200.1	FGIG_02212
OG0001580	STRK1_41520.1	FGIG_02237
OG0001581	STRK1_76260.1	FGIG_02435
OG0001582	STRK1_53870.1	FGIG_02459
OG0001583	STRK1_41710.1	FGIG_02462
OG0001584	STRK1_35700.1	FGIG_02509, FGIG_02508
OG0001585	STRK1_35170.1	FGIG_02700
OG0001586	STRK1_4160.1, STRK1_4160.2	FGIG_02757
OG0001587	STRK1_3980.1	FGIG_02789, FGIG_08846
OG0001588	STRK1_59270.1	FGIG_03013
OG0001589	STRK1_35310.1	FGIG_03031
OG0001590	STRK1_67540.1	FGIG_03074
OG0001591	STRK1_108660.1, STRK1_90670.1	FGIG_03110
OG0001592	STRK1_2120.1, STRK1_2120.2, STRK1_2120.3, STRK1_2150.1	FGIG_03254
OG0001593	STRK1_60600.1, STRK1_60600.2	FGIG_03389
OG0001594	STRK1_31130.1	FGIG_03404
OG0001595	STRK1_63310.1	FGIG_03681
OG0001596	STRK1_77970.1, STRK1_77970.2	FGIG_03686
OG0001597	STRK1_71580.1, STRK1_71580.2	FGIG_03710
OG0001598	STRK1_43360.1	FGIG_03711
OG0001599	STRK1_67920.1	FGIG_03826
OG0001600	STRK1_29910.1, STRK1_29910.2	FGIG_03860
