Orthogroup	schistosoma_turkestanicum	schistosoma_curassoni
OG0001148	STRK1_68560.1	SCUR1_69890.1, SCUR1_97380.1, SCUR1_97380.2, SCUR1_97380.3, SCUR1_97380.4
OG0001149	STRK1_72440.3, STRK1_72440.1, STRK1_72440.2	SCUR1_77570.9, SCUR1_77570.2, SCUR1_77570.6, SCUR1_77570.8, SCUR1_77570.1, SCUR1_77570.7, SCUR1_77570.5, SCUR1_77570.3, SCUR1_77570.4
OG0001150	STRK1_46460.1, STRK1_46460.2	SCUR1_52000.1
OG0001151	STRK1_86700.1, STRK1_86710.1, STRK1_86690.1	SCUR1_88540.3, SCUR1_88540.4, SCUR1_88540.2, SCUR1_88540.5, SCUR1_88540.1, SCUR1_100410.1
OG0001152	STRK1_8150.1	SCUR1_12920.1, SCUR1_12920.6, SCUR1_12920.11, SCUR1_12920.4, SCUR1_12920.5, SCUR1_12920.8, SCUR1_12920.9, SCUR1_12920.10, SCUR1_12920.7, SCUR1_12920.2, SCUR1_12920.3
OG0001153	STRK1_67380.1	SCUR1_68550.1
OG0001154	STRK1_40000.1, STRK1_40000.2	SCUR1_44120.4, SCUR1_44120.8, SCUR1_44120.7, SCUR1_44120.3, SCUR1_44120.1, SCUR1_44120.5, SCUR1_44120.2, SCUR1_44120.6
OG0001155	STRK1_50810.1, STRK1_50810.2, STRK1_50810.3	SCUR1_48540.1
OG0001156	STRK1_7380.1	SCUR1_7510.1, SCUR1_7510.2
OG0001157	STRK1_63160.1	SCUR1_62730.1
OG0001158	STRK1_37410.1	SCUR1_42520.5, SCUR1_42520.6, SCUR1_42520.4, SCUR1_42520.1, SCUR1_42520.2, SCUR1_42520.3, SCUR1_42520.7
OG0001159	STRK1_89470.1	SCUR1_90830.1
OG0001160	STRK1_19660.1	SCUR1_19840.1, SCUR1_19840.2
OG0001161	STRK1_63340.1	SCUR1_65390.4, SCUR1_65390.1, SCUR1_65390.2, SCUR1_65390.3
OG0001162	STRK1_36130.1	SCUR1_35840.1, SCUR1_35840.2, SCUR1_35840.3, SCUR1_35840.5, SCUR1_35840.4
OG0001163	STRK1_73930.3, STRK1_73930.1, STRK1_73930.2	SCUR1_76610.1
OG0001164	STRK1_78790.1	SCUR1_81050.5, SCUR1_81050.3, SCUR1_81050.4, SCUR1_81050.2, SCUR1_81050.1
OG0001165	STRK1_56170.1, STRK1_56170.2	SCUR1_57710.2, SCUR1_57710.4, SCUR1_57710.5, SCUR1_57710.1, SCUR1_57710.3
OG0001166	STRK1_10340.1	SCUR1_11000.1, SCUR1_11000.2, SCUR1_11000.3
OG0001167	STRK1_36140.1	SCUR1_35850.3, SCUR1_35850.9, SCUR1_35850.1, SCUR1_35850.10, SCUR1_35850.2, SCUR1_35850.4, SCUR1_35850.5, SCUR1_35850.6, SCUR1_35850.11, SCUR1_35850.7, SCUR1_35850.8
OG0001168	STRK1_7940.1, STRK1_7940.3, STRK1_7940.2, STRK1_7940.4	SCUR1_12700.3, SCUR1_12700.1, SCUR1_12700.5, SCUR1_12700.2, SCUR1_12700.6, SCUR1_12700.7, SCUR1_12700.4
OG0001169	STRK1_49080.1	SCUR1_50160.1
OG0001170	STRK1_10670.1	SCUR1_11340.2, SCUR1_11340.7, SCUR1_11340.4, SCUR1_11340.1, SCUR1_11340.6, SCUR1_11340.3, SCUR1_11340.5
OG0001171	STRK1_2820.1	SCUR1_15570.1
OG0001172	STRK1_61410.1, STRK1_61410.2	SCUR1_60360.1, SCUR1_60360.2, SCUR1_60360.3
OG0001173	STRK1_1170.1	SCUR1_1600.2, SCUR1_1600.1, SCUR1_1600.3, SCUR1_1570.2, SCUR1_1570.1, SCUR1_1570.3
OG0001174	STRK1_103690.1, STRK1_103690.2, STRK1_9210.1	SCUR1_9700.1
OG0001175	STRK1_46530.1	SCUR1_52090.1
OG0001176	STRK1_71450.1, STRK1_71450.2	SCUR1_72610.1, SCUR1_72610.2
OG0001177	STRK1_23480.1	SCUR1_24810.1, SCUR1_24810.2, SCUR1_24810.3, SCUR1_24800.1
OG0001178	STRK1_17480.1	SCUR1_2480.1
OG0001178	STRK1_17490.1	SCUR1_2470.1
OG0001179	STRK1_94960.1, STRK1_94960.2	SCUR1_91930.1
OG0001180	STRK1_8870.1, STRK1_8870.2	SCUR1_9310.1
OG0001181	STRK1_55860.1	SCUR1_57750.2
OG0001182	STRK1_30780.1, STRK1_30780.2, STRK1_30780.3, STRK1_30780.4, STRK1_30780.5, STRK1_30780.6	SCUR1_36110.1
OG0001183	STRK1_10350.1	SCUR1_11050.2, SCUR1_11050.1, SCUR1_11050.3
OG0001184	STRK1_16620.1	SCUR1_3500.2, SCUR1_3500.4, SCUR1_3500.1, SCUR1_3500.3
OG0001185	STRK1_9990.1	SCUR1_10660.1
OG0001186	STRK1_99770.1, STRK1_6620.1, STRK1_6620.2	SCUR1_4910.1
OG0001187	STRK1_32380.1	SCUR1_31280.1, SCUR1_31280.2, SCUR1_31280.3, SCUR1_31280.4, SCUR1_31280.5
OG0001188	STRK1_13020.1, STRK1_13020.2	SCUR1_7810.2, SCUR1_7810.3, SCUR1_7810.1
OG0001189	STRK1_5250.1	SCUR1_14440.1
OG0001190	STRK1_30970.1	SCUR1_36320.1
OG0001191	STRK1_15580.1	SCUR1_6920.1
OG0001192	STRK1_41090.1	SCUR1_42880.1
OG0001193	STRK1_80430.1, STRK1_80430.2, STRK1_80430.3, STRK1_80430.5, STRK1_80430.6, STRK1_80430.7, STRK1_80430.10, STRK1_80430.8, STRK1_80430.9, STRK1_80430.4	SCUR1_81820.1
OG0001194	STRK1_6210.5, STRK1_6210.1, STRK1_6210.2, STRK1_6210.3, STRK1_6210.4	SCUR1_6420.1, SCUR1_6420.2, SCUR1_6420.3, SCUR1_6420.4
OG0001197	STRK1_20220.1, STRK1_106790.1, STRK1_108430.1	SCUR1_22020.1
OG0001198	STRK1_105190.1	SCUR1_81510.1, SCUR1_81510.2, SCUR1_81510.3
OG0001199	STRK1_76810.1, STRK1_76820.1, STRK1_76830.1	SCUR1_79170.1, SCUR1_79200.1
OG0001199	STRK1_96800.1	SCUR1_79410.1, SCUR1_79190.1
OG0001202	STRK1_11710.1, STRK1_11710.2	SCUR1_13550.1
OG0001203	STRK1_78910.1	SCUR1_81110.1
OG0001204	STRK1_63100.1	SCUR1_66290.1
OG0001205	STRK1_31110.1, STRK1_31120.1	SCUR1_36520.1, SCUR1_36520.2
OG0001206	STRK1_101600.1, STRK1_26990.1, STRK1_2190.1, STRK1_43960.1	SCUR1_58290.1, SCUR1_3260.1, SCUR1_39110.1, SCUR1_9380.1
OG0001207	STRK1_4730.1, STRK1_4730.2, STRK1_4730.3	SCUR1_15030.1
OG0001208	STRK1_32960.1	SCUR1_38260.1
OG0001209	STRK1_50490.1	SCUR1_48770.1
OG0001210	STRK1_94820.1	SCUR1_91810.1, SCUR1_91810.2, SCUR1_91810.3, SCUR1_91810.4, SCUR1_91810.5
OG0001211	STRK1_13600.1	SCUR1_17530.1, SCUR1_17530.2
OG0001212	STRK1_24080.1	SCUR1_24490.1, SCUR1_24480.1, SCUR1_24480.2, SCUR1_24480.3, SCUR1_24480.4, SCUR1_24480.5, SCUR1_24500.1
OG0001213	STRK1_6260.1	SCUR1_6750.4, SCUR1_6750.3, SCUR1_6750.6, SCUR1_6750.1, SCUR1_6750.5, SCUR1_6750.2
OG0001214	STRK1_27100.1	SCUR1_28530.1
OG0001215	STRK1_63740.1, STRK1_63740.2	SCUR1_63670.1
OG0001216	STRK1_26060.1, STRK1_26060.2	SCUR1_26710.16, SCUR1_26710.15, SCUR1_26710.13, SCUR1_26710.14, SCUR1_26710.10, SCUR1_26710.4, SCUR1_26710.3, SCUR1_26710.6, SCUR1_26710.2, SCUR1_26710.7, SCUR1_26710.9, SCUR1_26710.1, SCUR1_26710.11, SCUR1_26710.12, SCUR1_26710.5, SCUR1_26710.8
OG0001217	STRK1_71800.1	SCUR1_72240.1, SCUR1_72240.5, SCUR1_72240.6, SCUR1_72240.4, SCUR1_72240.7, SCUR1_72240.3, SCUR1_72240.2
OG0001218	STRK1_7840.3, STRK1_7840.1, STRK1_7840.2	SCUR1_12580.1, SCUR1_12580.2, SCUR1_12580.4, SCUR1_12580.3
OG0001219	STRK1_670.1, STRK1_670.2, STRK1_670.3	SCUR1_1090.4, SCUR1_1090.5, SCUR1_1090.1, SCUR1_1090.2, SCUR1_1090.3, SCUR1_1090.6
OG0001220	STRK1_90770.1	SCUR1_93500.1, SCUR1_93500.2
OG0001221	STRK1_59500.1	SCUR1_62360.4, SCUR1_62360.5, SCUR1_62360.1, SCUR1_62360.2, SCUR1_62360.3
OG0001222	STRK1_89240.1	SCUR1_98560.1, SCUR1_98560.2, SCUR1_98560.4, SCUR1_98560.8, SCUR1_98560.9, SCUR1_98560.3, SCUR1_98560.5, SCUR1_98560.6, SCUR1_98560.7
OG0001224	STRK1_80060.1	SCUR1_81320.1, SCUR1_81320.3, SCUR1_81320.2
OG0001225	STRK1_57450.1, STRK1_57450.2	SCUR1_58810.1
OG0001226	STRK1_44010.1, STRK1_44020.1, STRK1_44000.1	SCUR1_46200.2, SCUR1_46200.5, SCUR1_46200.1, SCUR1_46200.7, SCUR1_46200.3, SCUR1_46200.4, SCUR1_46200.8, SCUR1_46200.6
OG0001227	STRK1_65420.1, STRK1_65420.2	SCUR1_61810.2, SCUR1_61810.1, SCUR1_61810.3
OG0001228	STRK1_42440.1	SCUR1_45150.1, SCUR1_45150.2
OG0001229	STRK1_29500.1, STRK1_29500.2, STRK1_29500.3	SCUR1_30460.1, SCUR1_30460.2, SCUR1_30460.3, SCUR1_30460.4, SCUR1_30460.6, SCUR1_30460.5, SCUR1_30460.7, SCUR1_30460.8
OG0001230	STRK1_14280.1	SCUR1_16880.1, SCUR1_16880.2, SCUR1_16880.3, SCUR1_16880.5, SCUR1_16880.4
OG0001231	STRK1_37880.1, STRK1_37880.2, STRK1_37880.3	SCUR1_39700.1
OG0001233	STRK1_3540.1	SCUR1_5940.1
OG0001234	STRK1_41970.1, STRK1_41970.3, STRK1_41970.2, STRK1_100850.1	SCUR1_44320.1, SCUR1_44320.2, SCUR1_44320.3, SCUR1_44320.4, SCUR1_44320.5
OG0001235	STRK1_37000.1, STRK1_37020.1	SCUR1_28940.1
OG0001235	STRK1_37010.1, STRK1_37030.1	SCUR1_28930.1
OG0001236	STRK1_63980.1	SCUR1_63390.2, SCUR1_63390.3, SCUR1_63390.1, SCUR1_63390.4
OG0001237	STRK1_26100.1	SCUR1_26660.1
OG0001237	STRK1_26170.1	SCUR1_26600.1
OG0001238	STRK1_94050.1	SCUR1_82840.2, SCUR1_82840.3, SCUR1_82840.4, SCUR1_82840.6, SCUR1_82840.7, SCUR1_82840.8, SCUR1_82840.1, SCUR1_82840.5
OG0001239	STRK1_7860.1	SCUR1_12600.1, SCUR1_12600.2, SCUR1_12600.5, SCUR1_12600.3, SCUR1_12600.4, SCUR1_12600.6
OG0001240	STRK1_46050.1	SCUR1_54070.1, SCUR1_54070.2, SCUR1_54070.3
OG0001241	STRK1_105360.1	SCUR1_59550.1
OG0001241	STRK1_73670.1	SCUR1_73780.1
OG0001242	STRK1_54180.1	SCUR1_95130.1, SCUR1_95130.2
OG0001243	STRK1_6240.1	SCUR1_6740.1
OG0001244	STRK1_86560.1, STRK1_86560.2, STRK1_86560.3	SCUR1_88380.1
OG0001245	STRK1_7670.1, STRK1_7670.2	SCUR1_12260.3, SCUR1_12270.1, SCUR1_12260.2, SCUR1_12260.1
OG0001246	STRK1_34350.1	SCUR1_33190.1
OG0001247	STRK1_33780.1	SCUR1_37440.1
OG0001248	STRK1_3300.1	SCUR1_5680.5, SCUR1_5680.3, SCUR1_5680.1, SCUR1_5680.2, SCUR1_5680.4
OG0001249	STRK1_30870.1, STRK1_30870.2, STRK1_30870.3	SCUR1_36210.3, SCUR1_36210.1, SCUR1_36210.2
OG0001250	STRK1_1570.1	SCUR1_1880.2, SCUR1_1880.1
OG0001251	STRK1_74520.1	SCUR1_76770.3, SCUR1_76770.1, SCUR1_76770.2
OG0001252	STRK1_46280.1	SCUR1_51860.1, SCUR1_51860.2, SCUR1_51860.3, SCUR1_51860.4, SCUR1_51860.5, SCUR1_51860.7, SCUR1_51860.8, SCUR1_51860.6
OG0001253	STRK1_48630.1	SCUR1_54890.5, SCUR1_54890.7, SCUR1_54890.2, SCUR1_54890.3, SCUR1_54890.1, SCUR1_54890.4, SCUR1_54890.6
OG0001254	STRK1_34050.1	SCUR1_32860.1, SCUR1_32870.1
OG0001255	STRK1_36940.1, STRK1_36940.3, STRK1_36940.5, STRK1_36940.2, STRK1_36940.4	SCUR1_29020.1, SCUR1_29020.2, SCUR1_29020.3
OG0001256	STRK1_50900.1, STRK1_50890.1	SCUR1_48470.10, SCUR1_48470.9, SCUR1_48470.2, SCUR1_48470.3, SCUR1_48470.4, SCUR1_48470.1, SCUR1_48470.6, SCUR1_48470.8, SCUR1_48470.7, SCUR1_48470.5
OG0001257	STRK1_25790.1	SCUR1_26940.4, SCUR1_26940.5, SCUR1_26940.6, SCUR1_26940.2, SCUR1_26940.3, SCUR1_26940.1
OG0001258	STRK1_71070.1, STRK1_71070.3, STRK1_71070.2	SCUR1_76150.3, SCUR1_76150.4, SCUR1_76150.1, SCUR1_76150.2
OG0001259	STRK1_57540.1, STRK1_57540.2	SCUR1_59410.1, SCUR1_59410.2
OG0001260	STRK1_890.1	SCUR1_1380.1, SCUR1_1380.2
OG0001261	STRK1_43280.1	SCUR1_45620.5, SCUR1_45620.3, SCUR1_45620.2, SCUR1_45620.4, SCUR1_45620.1
OG0001262	STRK1_80480.1	SCUR1_81870.1
OG0001263	STRK1_86670.3, STRK1_86670.1, STRK1_86670.2	SCUR1_88520.1
OG0001263	STRK1_86680.1	SCUR1_88530.1
OG0001264	STRK1_51760.2, STRK1_51760.1, STRK1_51760.3	SCUR1_53910.1
OG0001265	STRK1_60190.1	SCUR1_60830.1
OG0001266	STRK1_68390.1	SCUR1_69780.1
OG0001267	STRK1_107010.1, STRK1_47540.1, STRK1_47540.2	SCUR1_53200.2, SCUR1_53200.3, SCUR1_53200.1, SCUR1_53200.4
OG0001268	STRK1_86520.1	SCUR1_88320.1
OG0001268	STRK1_13010.1	SCUR1_7820.1, SCUR1_7820.2
OG0001269	STRK1_22200.1	SCUR1_23570.1, SCUR1_23570.2, SCUR1_23570.3, SCUR1_23570.4, SCUR1_23570.5, SCUR1_23570.6, SCUR1_23570.7
OG0001270	STRK1_85300.1	SCUR1_87610.1, SCUR1_87610.2, SCUR1_87610.3, SCUR1_87610.4, SCUR1_87610.5, SCUR1_87610.6, SCUR1_87610.7, SCUR1_87610.8
OG0001271	STRK1_62150.1	SCUR1_64800.4, SCUR1_64800.5, SCUR1_64800.2, SCUR1_64800.3, SCUR1_64800.6, SCUR1_64800.1
OG0001272	STRK1_78050.1, STRK1_78050.2	SCUR1_79610.3, SCUR1_79610.1, SCUR1_79610.2, SCUR1_79610.5, SCUR1_79610.6, SCUR1_79610.4
OG0001273	STRK1_75060.1	SCUR1_72980.3, SCUR1_72980.1, SCUR1_72980.2
OG0001274	STRK1_66350.1	SCUR1_67890.2, SCUR1_67890.3, SCUR1_67890.1, SCUR1_67890.4
OG0001275	STRK1_48060.1	SCUR1_54440.5, SCUR1_54440.3, SCUR1_54440.4, SCUR1_54440.1, SCUR1_54440.2
OG0001276	STRK1_58460.1	SCUR1_64290.6, SCUR1_64290.1, SCUR1_64290.2, SCUR1_64290.3, SCUR1_64290.4, SCUR1_64290.5, SCUR1_64290.7, SCUR1_64290.8
OG0001277	STRK1_16770.1	SCUR1_3130.1
OG0001278	STRK1_85240.1	SCUR1_89490.2, SCUR1_89490.1, SCUR1_89490.3, SCUR1_89490.4, SCUR1_89490.5
OG0001279	STRK1_35920.1, STRK1_35920.2	SCUR1_35130.1
OG0001280	STRK1_46170.1, STRK1_46170.2	SCUR1_51720.1
OG0001281	STRK1_72360.1	SCUR1_77740.1, SCUR1_77660.1, SCUR1_77690.1, SCUR1_77720.1, SCUR1_77730.1
OG0001282	STRK1_90890.1	SCUR1_93340.6, SCUR1_93340.1, SCUR1_93340.2, SCUR1_93340.3, SCUR1_93340.4, SCUR1_93340.5
OG0001283	STRK1_36260.1	SCUR1_97350.1, SCUR1_97350.2, SCUR1_97350.3, SCUR1_35660.1
OG0001284	STRK1_4070.1	SCUR1_17750.3, SCUR1_17750.4, SCUR1_17750.5, SCUR1_17750.1, SCUR1_17750.2
OG0001285	STRK1_102720.1	SCUR1_98720.1, SCUR1_95260.1, SCUR1_98710.1
OG0001286	STRK1_86160.1	SCUR1_89640.1, SCUR1_87740.7, SCUR1_87740.3, SCUR1_87740.1, SCUR1_87740.8, SCUR1_87740.4, SCUR1_87740.10, SCUR1_87740.2, SCUR1_87740.9, SCUR1_87740.5, SCUR1_87740.6
OG0001288	STRK1_90450.1	SCUR1_92740.1, SCUR1_92730.1
OG0001289	STRK1_30350.1	SCUR1_29610.1, SCUR1_29610.2
OG0001290	STRK1_6690.1, STRK1_6690.2	SCUR1_4980.1
OG0001292	STRK1_15450.1, STRK1_15460.1	SCUR1_7000.1, SCUR1_7010.1
OG0001293	STRK1_96940.1	SCUR1_55480.1, SCUR1_55490.1
OG0001294	STRK1_31600.1	SCUR1_32260.1, SCUR1_32260.2
OG0001295	STRK1_31890.1	SCUR1_31850.1
OG0001296	STRK1_7250.1	SCUR1_7370.1, SCUR1_7370.2, SCUR1_7370.3
OG0001297	STRK1_11250.1	SCUR1_14060.1
OG0001298	STRK1_31060.2	SCUR1_36400.2
OG0001299	STRK1_34000.1	SCUR1_32810.5, SCUR1_32810.2, SCUR1_32810.1, SCUR1_32810.4, SCUR1_32810.3
OG0001300	STRK1_3590.1	SCUR1_6010.2, SCUR1_6010.3, SCUR1_6010.1
OG0001301	STRK1_48300.1	SCUR1_54500.1
OG0001302	STRK1_17800.1, STRK1_17800.2	SCUR1_2290.1
OG0001303	STRK1_31900.1	SCUR1_31820.2, SCUR1_31820.1, SCUR1_31820.5, SCUR1_31820.6, SCUR1_31820.7, SCUR1_31820.8, SCUR1_31820.3, SCUR1_31820.4
OG0001304	STRK1_101310.1, STRK1_87600.1, STRK1_87600.2	SCUR1_87290.4, SCUR1_87290.2, SCUR1_87290.5, SCUR1_87290.6, SCUR1_87290.3, SCUR1_87290.7, SCUR1_87290.9, SCUR1_87290.8, SCUR1_87290.1
OG0001305	STRK1_860.1	SCUR1_1410.1, SCUR1_1410.2, SCUR1_1410.3
OG0001306	STRK1_60730.1, STRK1_60730.2	SCUR1_61440.1, SCUR1_61440.2
OG0001307	STRK1_79970.1, STRK1_79970.2	SCUR1_80600.1
OG0001307	STRK1_79960.1, STRK1_79960.2	SCUR1_80620.1
OG0001308	STRK1_90800.1	SCUR1_93470.1
OG0001309	STRK1_75370.1, STRK1_75370.2	SCUR1_73320.1, SCUR1_82630.1, SCUR1_73320.2, SCUR1_73320.3, SCUR1_82630.2, SCUR1_82630.3
OG0001310	STRK1_25250.1, STRK1_25270.1, STRK1_107960.1	SCUR1_27500.1
OG0001311	STRK1_41960.1, STRK1_41960.2	SCUR1_44310.1
OG0001312	STRK1_32130.1	SCUR1_31570.1
OG0001313	STRK1_41840.1, STRK1_41830.1, STRK1_41850.1, STRK1_41860.1	SCUR1_41970.1, SCUR1_41970.2
OG0001314	STRK1_9850.1	SCUR1_10510.1, SCUR1_10510.3, SCUR1_10510.2
OG0001315	STRK1_32170.1	SCUR1_31520.1
OG0001316	STRK1_36010.1	SCUR1_35230.1
OG0001316	STRK1_82350.1, STRK1_82340.1	SCUR1_84040.1
OG0001317	STRK1_4790.1, STRK1_4790.2, STRK1_4790.3	SCUR1_14940.1
OG0001319	STRK1_37910.1	SCUR1_39740.1
OG0001320	STRK1_63990.1	SCUR1_63420.1, SCUR1_63420.2, SCUR1_63420.3, SCUR1_63420.4, SCUR1_63420.5
OG0001321	STRK1_97730.1, STRK1_105850.1	SCUR1_19940.1, SCUR1_19910.1, SCUR1_98410.1, SCUR1_98410.2
OG0001322	STRK1_45660.1, STRK1_104780.1	SCUR1_47840.2, SCUR1_47840.4, SCUR1_47840.1, SCUR1_47840.3
OG0001323	STRK1_390.1, STRK1_390.2	SCUR1_810.3, SCUR1_810.4, SCUR1_810.1, SCUR1_810.2
OG0001324	STRK1_98350.1, STRK1_98350.2	SCUR1_96570.2, SCUR1_96570.1
OG0001325	STRK1_92310.1	SCUR1_94730.1
OG0001326	STRK1_51640.1	SCUR1_53770.2, SCUR1_53770.1, SCUR1_53770.5, SCUR1_53770.3, SCUR1_53770.4
OG0001327	STRK1_100050.1, STRK1_87200.1	SCUR1_89800.1, SCUR1_89800.2, SCUR1_89800.3, SCUR1_89800.4, SCUR1_89800.5, SCUR1_89800.6, SCUR1_89800.7
OG0001328	STRK1_15750.1	SCUR1_4500.3, SCUR1_4500.1, SCUR1_4500.4, SCUR1_4500.2
OG0001329	STRK1_5810.2, STRK1_5810.5, STRK1_5810.1, STRK1_5810.4, STRK1_5810.3	SCUR1_6270.1
OG0001330	STRK1_29080.1	SCUR1_30920.1
OG0001331	STRK1_51100.1	SCUR1_48270.1
OG0001332	STRK1_57110.2, STRK1_57110.1	SCUR1_59120.1
OG0001332	STRK1_108580.1	SCUR1_71210.1
OG0001333	STRK1_58690.1	SCUR1_64050.10, SCUR1_64050.8, SCUR1_64050.9, SCUR1_64050.4, SCUR1_64050.2, SCUR1_64050.1, SCUR1_64050.3, SCUR1_64050.5, SCUR1_64050.7, SCUR1_64050.6
OG0001334	STRK1_940.1	SCUR1_1450.1, SCUR1_1450.2, SCUR1_1450.3, SCUR1_1450.4
OG0001335	STRK1_29220.1, STRK1_29220.2	SCUR1_30760.3, SCUR1_30760.1, SCUR1_30760.2
OG0001336	STRK1_44450.1, STRK1_44440.1, STRK1_44480.1	SCUR1_46420.1, SCUR1_100480.1, SCUR1_95450.1, SCUR1_100500.3, SCUR1_46440.2, SCUR1_100500.1, SCUR1_100500.2, SCUR1_46440.1
OG0001336	STRK1_101050.1	SCUR1_95460.1
OG0001337	STRK1_51740.1	SCUR1_53890.1
OG0001338	STRK1_27960.1, STRK1_27960.2	SCUR1_37310.5, SCUR1_37310.3, SCUR1_37310.8, SCUR1_37310.4, SCUR1_37310.1, SCUR1_37310.12, SCUR1_37310.9, SCUR1_37310.10, SCUR1_37310.7, SCUR1_37310.11, SCUR1_37310.2, SCUR1_37310.6
OG0001339	STRK1_10570.1	SCUR1_11240.1
OG0001340	STRK1_9010.1	SCUR1_9420.1, SCUR1_9410.1
OG0001341	STRK1_70900.2, STRK1_70900.1, STRK1_70900.3	SCUR1_76330.1
OG0001342	STRK1_46830.1	SCUR1_52430.1
OG0001343	STRK1_69840.1, STRK1_69840.2	SCUR1_71220.1
OG0001344	STRK1_74140.1	SCUR1_76390.1, SCUR1_76390.2, SCUR1_76390.3
OG0001345	STRK1_37400.1, STRK1_37400.2	SCUR1_42500.1
OG0001346	STRK1_5040.1	SCUR1_14700.1, SCUR1_14700.2
OG0001347	STRK1_35110.1	SCUR1_34000.1, SCUR1_34000.2, SCUR1_34000.3, SCUR1_34000.4, SCUR1_34000.5, SCUR1_34000.6
OG0001348	STRK1_30760.1, STRK1_30770.1	SCUR1_36050.1, SCUR1_36050.2, SCUR1_36050.3, SCUR1_36050.4
OG0001349	STRK1_4500.1	SCUR1_15310.4, SCUR1_15310.3, SCUR1_15310.1, SCUR1_15310.2
OG0001350	STRK1_32520.1, STRK1_32520.2	SCUR1_31160.1, SCUR1_31160.3, SCUR1_31160.2, SCUR1_31160.4
OG0001351	STRK1_102860.1, STRK1_105640.1, STRK1_22250.1	SCUR1_23540.1, SCUR1_23540.4, SCUR1_23540.2, SCUR1_23540.3
OG0001352	STRK1_22390.1, STRK1_22390.2	SCUR1_23790.1, SCUR1_23790.2, SCUR1_23790.3, SCUR1_23790.4
OG0001353	STRK1_99950.1, STRK1_59340.1, STRK1_59340.3, STRK1_59340.2	SCUR1_62540.1
OG0001354	STRK1_61770.1, STRK1_61700.1, STRK1_61710.1	SCUR1_64450.1
OG0001355	STRK1_44260.1, STRK1_101750.1, STRK1_44270.1	SCUR1_59470.1
OG0001356	STRK1_69890.1	SCUR1_71420.1, SCUR1_71420.2
OG0001357	STRK1_37830.1, STRK1_37830.2, STRK1_37830.3, STRK1_37830.4	SCUR1_39610.1, SCUR1_39610.2
OG0001358	STRK1_87550.1, STRK1_87550.2	SCUR1_87350.1, SCUR1_87350.2, SCUR1_87350.3
OG0001359	STRK1_70660.1	SCUR1_72090.1
OG0001361	STRK1_27210.1, STRK1_27220.1	SCUR1_28640.1, SCUR1_28640.4, SCUR1_28640.5, SCUR1_28640.3, SCUR1_28640.2
OG0001362	STRK1_29380.1, STRK1_29380.2	SCUR1_30600.1, SCUR1_30600.2
OG0001363	STRK1_94590.1, STRK1_90740.1, STRK1_90740.3, STRK1_90740.2	SCUR1_93550.2, SCUR1_93550.1, SCUR1_93550.3, SCUR1_93550.4
OG0001364	STRK1_103220.1, STRK1_82320.1	SCUR1_84030.1, SCUR1_84030.2
OG0001365	STRK1_72630.1	SCUR1_77420.1
OG0001366	STRK1_47660.3, STRK1_47660.2, STRK1_47660.1	SCUR1_53310.1, SCUR1_53310.2, SCUR1_53310.3
OG0001367	STRK1_93040.1	SCUR1_94060.12, SCUR1_94060.7, SCUR1_94060.2, SCUR1_94060.3, SCUR1_94060.9, SCUR1_94060.8, SCUR1_94060.11, SCUR1_94060.10, SCUR1_94060.4, SCUR1_94060.5, SCUR1_94060.6, SCUR1_94060.1
OG0001368	STRK1_4250.1	SCUR1_17960.1
OG0001369	STRK1_85650.1, STRK1_85650.2	SCUR1_88010.1, SCUR1_88010.2
OG0001370	STRK1_55430.1, STRK1_55440.1, STRK1_55420.1	SCUR1_58470.1, SCUR1_58470.2, SCUR1_58470.3, SCUR1_58470.4
OG0001371	STRK1_31210.1	SCUR1_36580.1, SCUR1_36580.2
OG0001372	STRK1_27920.1	SCUR1_37360.4, SCUR1_37360.1, SCUR1_37360.3, SCUR1_37360.2
OG0001374	STRK1_60090.1	SCUR1_60710.1
OG0001375	STRK1_73870.1, STRK1_73870.2	SCUR1_76670.1, SCUR1_76670.2
OG0001376	STRK1_55280.1, STRK1_83980.1, STRK1_83980.2, STRK1_110470.1	SCUR1_85740.2, SCUR1_85740.1
OG0001377	STRK1_59780.1, STRK1_59780.2	SCUR1_62150.1, SCUR1_62150.3, SCUR1_62150.2
OG0001378	STRK1_16860.1	SCUR1_3220.1
OG0001379	STRK1_67940.1	SCUR1_69370.1, SCUR1_69370.2, SCUR1_69370.3, SCUR1_69370.4
OG0001380	STRK1_57030.1, STRK1_57030.2	SCUR1_59190.1
OG0001381	STRK1_71590.1	SCUR1_72490.2, SCUR1_72490.3, SCUR1_72490.6, SCUR1_72490.4, SCUR1_72490.5, SCUR1_72490.1
OG0001382	STRK1_26090.1	SCUR1_26680.1, SCUR1_26680.2, SCUR1_26680.4, SCUR1_26680.3
OG0001383	STRK1_16120.1	SCUR1_4090.1, SCUR1_4090.2
OG0001384	STRK1_84640.1	SCUR1_86550.3, SCUR1_86550.2, SCUR1_86550.1
OG0001385	STRK1_99740.1, STRK1_21890.1, STRK1_104990.1, STRK1_21920.1	SCUR1_23190.1, SCUR1_23180.1
OG0001386	STRK1_39770.1, STRK1_39790.1, STRK1_39800.1	SCUR1_44290.2, SCUR1_44290.1, SCUR1_44290.3, SCUR1_44290.4
OG0001387	STRK1_108060.1	SCUR1_85640.1, SCUR1_96580.1
OG0001388	STRK1_10820.1	SCUR1_11510.1, SCUR1_11510.2, SCUR1_11510.3
