Orthogroup	schistosoma_rodhaini	schistosoma_curassoni
OG0000469	SRDH2_4070.10, SRDH2_4070.13, SRDH2_4070.15, SRDH2_4070.2, SRDH2_4070.3, SRDH2_4070.4, SRDH2_4070.8, SRDH2_4070.19, SRDH2_4070.20, SRDH2_4070.6, SRDH2_4070.7, SRDH2_4070.9, SRDH2_4070.1, SRDH2_4070.12, SRDH2_4070.14, SRDH2_4070.5, SRDH2_4070.16, SRDH2_4070.17, SRDH2_4070.11, SRDH2_4070.18	SCUR1_3980.1, SCUR1_3980.2, SCUR1_3980.3, SCUR1_3980.4, SCUR1_3980.5, SCUR1_3980.6, SCUR1_3980.7, SCUR1_3980.8, SCUR1_3980.9
OG0000470	SRDH2_52300.10, SRDH2_52300.4, SRDH2_52300.3, SRDH2_52300.1, SRDH2_52300.2, SRDH2_52300.5, SRDH2_52300.7, SRDH2_52300.8, SRDH2_52300.9, SRDH2_52300.6, SRDH2_52300.11	SCUR1_51270.3, SCUR1_51270.1, SCUR1_51270.4, SCUR1_51270.2, SCUR1_51270.5
OG0000471	SRDH2_91310.9, SRDH2_91310.8, SRDH2_91310.1, SRDH2_91310.7, SRDH2_91310.2, SRDH2_91310.6, SRDH2_91310.3, SRDH2_91310.4, SRDH2_91310.5	SCUR1_87210.1
OG0000472	SRDH2_37940.1	SCUR1_37170.3, SCUR1_37170.5, SCUR1_37170.6, SCUR1_37170.2, SCUR1_37170.4, SCUR1_37170.1
OG0000473	SRDH2_5050.3, SRDH2_5050.2, SRDH2_5050.4, SRDH2_5050.1	SCUR1_5000.3, SCUR1_5000.4, SCUR1_5000.2, SCUR1_5000.7, SCUR1_5000.8, SCUR1_5000.1, SCUR1_5000.5, SCUR1_5000.6
OG0000474	SRDH2_21030.1	SCUR1_20610.1
OG0000475	SRDH2_65440.5, SRDH2_65440.13, SRDH2_65440.8, SRDH2_65440.9, SRDH2_65440.1, SRDH2_65440.10, SRDH2_65440.12, SRDH2_65440.11, SRDH2_65440.7, SRDH2_65440.6, SRDH2_65440.2, SRDH2_65440.3, SRDH2_65440.4	SCUR1_63700.1
OG0000476	SRDH2_22870.1	SCUR1_19710.12, SCUR1_19710.10, SCUR1_19710.3, SCUR1_19710.4, SCUR1_19710.6, SCUR1_19710.5, SCUR1_19710.8, SCUR1_19710.11, SCUR1_19710.7, SCUR1_19710.1, SCUR1_19710.9, SCUR1_19710.2
OG0000477	SRDH2_46150.12, SRDH2_46150.9, SRDH2_46150.11, SRDH2_46150.15, SRDH2_46150.14, SRDH2_46150.16, SRDH2_46150.10, SRDH2_46150.5, SRDH2_46150.7, SRDH2_46150.2, SRDH2_46150.4, SRDH2_46150.1, SRDH2_46150.3, SRDH2_46150.6, SRDH2_46150.8, SRDH2_46150.13	SCUR1_45780.1
OG0000478	SRDH2_6490.13, SRDH2_6490.2, SRDH2_6490.9, SRDH2_6490.10, SRDH2_6490.14, SRDH2_6490.8, SRDH2_6490.7, SRDH2_6490.1, SRDH2_6490.6, SRDH2_6490.11, SRDH2_6490.12, SRDH2_6490.15, SRDH2_6490.3, SRDH2_6490.4, SRDH2_6490.5	SCUR1_6360.3
OG0000479	SRDH2_36940.4, SRDH2_36940.5, SRDH2_36940.1, SRDH2_36940.2, SRDH2_36940.3, SRDH2_36940.6	SCUR1_31590.9, SCUR1_31590.8, SCUR1_31590.2, SCUR1_31590.5, SCUR1_31590.6, SCUR1_31590.4, SCUR1_31590.1, SCUR1_31590.7, SCUR1_31590.3
OG0000480	SRDH2_67600.1	SCUR1_63950.1
OG0000481	SRDH2_67500.1, SRDH2_67500.2, SRDH2_67500.3, SRDH2_67500.4, SRDH2_67500.5, SRDH2_67500.6	SCUR1_64880.1, SCUR1_64880.2, SCUR1_64880.3, SCUR1_64880.4, SCUR1_64880.5
OG0000483	SRDH2_58470.1, SRDH2_58470.2, SRDH2_58470.3	SCUR1_160.3, SCUR1_160.1, SCUR1_160.2, SCUR1_160.4, SCUR1_160.5, SCUR1_160.6, SCUR1_98890.1
OG0000484	SRDH2_99680.1	SCUR1_100170.5, SCUR1_100170.1, SCUR1_100170.3, SCUR1_100170.4, SCUR1_100170.2, SCUR1_96520.1
OG0000485	SRDH2_12680.4, SRDH2_12680.5, SRDH2_12680.2, SRDH2_12680.3, SRDH2_12680.7, SRDH2_12680.1, SRDH2_12680.6	SCUR1_13590.1
OG0000487	SRDH2_6250.2, SRDH2_6250.3, SRDH2_6250.1	SCUR1_6150.1
OG0000487	SRDH2_18620.1	SCUR1_18140.1
OG0000488	SRDH2_88750.1	SCUR1_84660.1
OG0000488	SRDH2_82710.1, SRDH2_88760.1, SRDH2_88760.4, SRDH2_95880.1, SRDH2_95880.2, SRDH2_88760.2, SRDH2_88760.3	SCUR1_84650.1
OG0000489	SRDH2_56960.2, SRDH2_56960.5, SRDH2_56960.1, SRDH2_56960.8, SRDH2_56960.6, SRDH2_56960.3, SRDH2_56960.4, SRDH2_56960.7, SRDH2_56960.9	SCUR1_57120.1, SCUR1_57120.2, SCUR1_57120.4, SCUR1_57120.3, SCUR1_57120.5, SCUR1_57120.6
OG0000490	SRDH2_70160.1	SCUR1_67700.1, SCUR1_67710.1
OG0000491	SRDH2_30640.1	SCUR1_30200.1, SCUR1_30200.3, SCUR1_30200.2, SCUR1_30200.4
OG0000492	SRDH2_64090.5, SRDH2_64090.1, SRDH2_64090.3, SRDH2_64090.4, SRDH2_64090.2	SCUR1_62390.1, SCUR1_62390.2
OG0000493	SRDH2_48240.1	SCUR1_47550.1, SCUR1_47540.1
OG0000493	SRDH2_29380.1	SCUR1_29080.2, SCUR1_29080.1
OG0000495	SRDH2_3220.1, SRDH2_3220.2, SRDH2_3220.3, SRDH2_3220.4, SRDH2_3220.5, SRDH2_3220.6	SCUR1_3080.2, SCUR1_3080.3, SCUR1_3080.4, SCUR1_3080.5, SCUR1_3080.6, SCUR1_3080.1
OG0000496	SRDH2_37150.1, SRDH2_37150.3, SRDH2_37150.2	SCUR1_38000.4, SCUR1_38000.3, SCUR1_38000.1, SCUR1_38000.2, SCUR1_38000.5, SCUR1_38000.6, SCUR1_38000.7
OG0000497	SRDH2_5540.1, SRDH2_5550.1, SRDH2_5550.2	SCUR1_5510.12, SCUR1_5510.7, SCUR1_5520.7, SCUR1_5510.13, SCUR1_5510.15, SCUR1_5520.1, SCUR1_5510.8, SCUR1_5520.6, SCUR1_5510.1, SCUR1_5510.6, SCUR1_5520.4, SCUR1_5520.5, SCUR1_5510.10, SCUR1_5510.5, SCUR1_5510.2, SCUR1_5510.3, SCUR1_5520.3, SCUR1_5510.9, SCUR1_5510.11, SCUR1_5510.14, SCUR1_5510.4, SCUR1_5520.2
OG0000498	SRDH2_25560.1, SRDH2_25560.2	SCUR1_25180.1
OG0000498	SRDH2_27590.1, SRDH2_27590.2	SCUR1_27180.1
OG0000499	SRDH2_75010.1, SRDH2_75010.2, SRDH2_75010.3	SCUR1_69910.1
OG0000500	SRDH2_19600.1	SCUR1_19170.4, SCUR1_19170.1, SCUR1_19170.3, SCUR1_19170.6, SCUR1_19170.14, SCUR1_19170.11, SCUR1_19170.16, SCUR1_19170.7, SCUR1_19170.18, SCUR1_19170.9, SCUR1_19170.15, SCUR1_19170.13, SCUR1_19170.2, SCUR1_19170.5, SCUR1_19170.8, SCUR1_19170.12, SCUR1_19170.17, SCUR1_19170.10
OG0000501	SRDH2_26320.1, SRDH2_26320.12, SRDH2_26320.10, SRDH2_26320.11, SRDH2_26320.14, SRDH2_26320.3, SRDH2_26320.5, SRDH2_26320.6, SRDH2_26320.4, SRDH2_26320.8, SRDH2_26320.2, SRDH2_26320.7, SRDH2_26320.9, SRDH2_26320.13	SCUR1_25840.1, SCUR1_25840.3, SCUR1_25840.2, SCUR1_25840.4
OG0000502	SRDH2_33170.1	SCUR1_35710.1, SCUR1_35710.2, SCUR1_35710.4, SCUR1_35710.3
OG0000503	SRDH2_3890.1	SCUR1_3760.1, SCUR1_3770.1
OG0000504	SRDH2_47660.3, SRDH2_47660.4, SRDH2_47660.5, SRDH2_47660.2, SRDH2_47660.1	SCUR1_98280.5, SCUR1_98280.1, SCUR1_98280.4, SCUR1_98280.6, SCUR1_98280.2, SCUR1_98280.3, SCUR1_98280.7
OG0000505	SRDH2_41400.1, SRDH2_41400.10, SRDH2_41400.11, SRDH2_41400.12, SRDH2_41400.13, SRDH2_41400.3, SRDH2_41400.4, SRDH2_41400.7, SRDH2_41400.8, SRDH2_41400.9, SRDH2_41400.5, SRDH2_41400.2, SRDH2_41400.6	SCUR1_41260.1
OG0000506	SRDH2_9620.1, SRDH2_101740.1	SCUR1_9260.1
OG0000507	SRDH2_31620.7, SRDH2_31620.9, SRDH2_31620.14, SRDH2_31620.1, SRDH2_31620.10, SRDH2_31620.15, SRDH2_31620.5, SRDH2_31620.6, SRDH2_31620.2, SRDH2_31620.8, SRDH2_31620.13, SRDH2_31620.3, SRDH2_31620.4, SRDH2_31620.11, SRDH2_31620.12	SCUR1_31270.1
OG0000508	SRDH2_15710.7, SRDH2_15710.1, SRDH2_15710.5, SRDH2_15710.6, SRDH2_15710.2, SRDH2_15710.3, SRDH2_15710.4, SRDH2_15710.8, SRDH2_15710.9	SCUR1_15190.2, SCUR1_15190.5, SCUR1_15190.1, SCUR1_15190.4, SCUR1_15190.6, SCUR1_15190.3
OG0000509	SRDH2_50240.1	SCUR1_49520.1
OG0000509	SRDH2_52020.1	SCUR1_50980.1, SCUR1_50980.2
OG0000510	SRDH2_80780.1	SCUR1_78290.1, SCUR1_78280.1
OG0000510	SRDH2_80800.1, SRDH2_80800.2, SRDH2_80800.6, SRDH2_80800.4, SRDH2_80800.3, SRDH2_80800.7, SRDH2_80800.5	SCUR1_78310.1
OG0000511	SRDH2_73140.1, SRDH2_73130.2, SRDH2_73100.1, SRDH2_73130.1, SRDH2_73160.1, SRDH2_73120.1, SRDH2_73120.2	SCUR1_71830.1, SCUR1_71820.1, SCUR1_71800.1
OG0000512	SRDH2_52510.11, SRDH2_52510.12, SRDH2_52510.3, SRDH2_52510.7, SRDH2_52510.8, SRDH2_52510.10, SRDH2_52510.5, SRDH2_52510.1, SRDH2_52510.13, SRDH2_52510.4, SRDH2_52510.6, SRDH2_52510.9, SRDH2_52510.2	SCUR1_51490.1
OG0000513	SRDH2_68910.11, SRDH2_68910.10, SRDH2_68910.9, SRDH2_68910.1, SRDH2_68910.3, SRDH2_68910.4, SRDH2_68910.5, SRDH2_68910.6, SRDH2_68910.8, SRDH2_68910.2, SRDH2_68910.7	SCUR1_66840.1
OG0000514	SRDH2_46160.1, SRDH2_46160.3, SRDH2_46160.2, SRDH2_46160.4	SCUR1_96290.12, SCUR1_96290.7, SCUR1_96290.1, SCUR1_96290.3, SCUR1_96290.6
OG0000515	SRDH2_12440.1	SCUR1_14800.4, SCUR1_14800.2, SCUR1_14800.1, SCUR1_14800.3
OG0000516	SRDH2_64790.1, SRDH2_64790.2	SCUR1_63090.1
OG0000517	SRDH2_26340.12, SRDH2_26340.13, SRDH2_26340.14, SRDH2_26340.1, SRDH2_26340.10, SRDH2_26340.2, SRDH2_26340.4, SRDH2_26340.5, SRDH2_26340.6, SRDH2_26340.3, SRDH2_26340.7, SRDH2_26340.9, SRDH2_26340.8, SRDH2_26340.11	SCUR1_25870.6, SCUR1_25870.8, SCUR1_25870.1, SCUR1_25870.4, SCUR1_25870.7, SCUR1_25870.5, SCUR1_25870.2, SCUR1_25870.3
OG0000521	SRDH2_73990.1	SCUR1_70920.2, SCUR1_70920.1, SCUR1_70920.4, SCUR1_70920.3
OG0000522	SRDH2_56850.1	SCUR1_98980.1, SCUR1_91180.1, SCUR1_91200.1, SCUR1_98990.1
OG0000523	SRDH2_78970.1, SRDH2_78970.14, SRDH2_78970.5, SRDH2_78970.7, SRDH2_78970.2, SRDH2_78970.4, SRDH2_78970.9, SRDH2_78970.15, SRDH2_78970.3, SRDH2_78970.6, SRDH2_78970.8, SRDH2_78970.16, SRDH2_78970.10, SRDH2_78970.11, SRDH2_78970.12, SRDH2_78970.13	SCUR1_76420.1
OG0000524	SRDH2_14430.1, SRDH2_14430.2, SRDH2_14430.3	SCUR1_12560.1, SCUR1_12560.5, SCUR1_12560.3, SCUR1_12560.4, SCUR1_12560.2
OG0000525	SRDH2_51550.1	SCUR1_50590.5, SCUR1_50590.6, SCUR1_50590.4, SCUR1_50590.3, SCUR1_50590.1, SCUR1_50590.2
OG0000526	SRDH2_17390.4, SRDH2_17390.5, SRDH2_17390.1, SRDH2_17390.2, SRDH2_17390.3, SRDH2_17390.7, SRDH2_17390.6	SCUR1_16920.7, SCUR1_16920.1, SCUR1_16920.2, SCUR1_16920.3, SCUR1_16920.4, SCUR1_16920.6, SCUR1_16920.8, SCUR1_16920.5
OG0000527	SRDH2_19480.10, SRDH2_19480.11, SRDH2_19480.3, SRDH2_19480.4, SRDH2_19480.5, SRDH2_19480.7, SRDH2_19480.6, SRDH2_19480.8, SRDH2_19480.9, SRDH2_19480.1, SRDH2_19480.2	SCUR1_19070.1
OG0000528	SRDH2_36450.19, SRDH2_36450.11, SRDH2_36450.3, SRDH2_36450.4, SRDH2_36450.1, SRDH2_36450.10, SRDH2_36450.2, SRDH2_36450.5, SRDH2_36450.6, SRDH2_36450.8, SRDH2_36450.9, SRDH2_36450.12, SRDH2_36450.13, SRDH2_36450.7, SRDH2_36450.17, SRDH2_36450.18, SRDH2_36450.20, SRDH2_36450.16, SRDH2_36450.14, SRDH2_36450.15	SCUR1_32210.1, SCUR1_32210.2, SCUR1_32210.3
OG0000529	SRDH2_16190.1	SCUR1_15730.1
OG0000529	SRDH2_25910.1	SCUR1_25430.1
OG0000530	SRDH2_96420.1	SCUR1_91800.2, SCUR1_91800.1
OG0000530	SRDH2_99210.1	SCUR1_94420.1
OG0000530	SRDH2_99220.1	SCUR1_94430.1
OG0000531	SRDH2_79680.3, SRDH2_79680.1, SRDH2_79680.4, SRDH2_79680.2	SCUR1_77150.1, SCUR1_77150.2, SCUR1_77150.3, SCUR1_77150.4, SCUR1_77150.6, SCUR1_77150.7, SCUR1_77150.8, SCUR1_77150.5, SCUR1_77150.9
OG0000532	SRDH2_5000.7, SRDH2_5000.4, SRDH2_5000.5, SRDH2_5000.3, SRDH2_5000.2, SRDH2_5000.6, SRDH2_5000.8, SRDH2_5000.1	SCUR1_4960.4, SCUR1_4960.6, SCUR1_4960.3, SCUR1_4960.1, SCUR1_4960.5, SCUR1_4960.2
OG0000533	SRDH2_19650.11, SRDH2_19650.2, SRDH2_19650.3, SRDH2_19650.4, SRDH2_19650.7, SRDH2_19650.5, SRDH2_19650.6, SRDH2_19650.10, SRDH2_19650.8, SRDH2_19650.9, SRDH2_19650.1	SCUR1_19240.1, SCUR1_19240.2, SCUR1_19240.3
OG0000534	SRDH2_74790.1	SCUR1_70170.1
OG0000535	SRDH2_60400.1	SCUR1_58740.4, SCUR1_58740.2, SCUR1_58740.3, SCUR1_58740.5, SCUR1_58740.6, SCUR1_58740.9, SCUR1_58740.1
OG0000535	SRDH2_60440.1	SCUR1_58740.10
OG0000537	SRDH2_54400.3, SRDH2_54400.17, SRDH2_54400.1, SRDH2_54400.7, SRDH2_54400.14, SRDH2_54400.11, SRDH2_54400.6, SRDH2_54400.8, SRDH2_54400.15, SRDH2_54400.16, SRDH2_54400.10, SRDH2_54400.18, SRDH2_54400.5, SRDH2_54400.4, SRDH2_54400.9, SRDH2_54400.2, SRDH2_54400.13, SRDH2_54400.12	SCUR1_53460.1
OG0000538	SRDH2_95610.1, SRDH2_101360.1, SRDH2_101360.2, SRDH2_95640.1, SRDH2_95630.1, SRDH2_71940.2, SRDH2_71940.4, SRDH2_71940.3, SRDH2_71940.1, SRDH2_57040.1, SRDH2_71970.1	SCUR1_84600.1, SCUR1_84630.1, SCUR1_91100.1, SCUR1_91110.1, SCUR1_84610.1, SCUR1_91110.2, SCUR1_91120.1
OG0000539	SRDH2_47540.1, SRDH2_47540.2, SRDH2_47540.3	SCUR1_46870.3, SCUR1_46870.7, SCUR1_46870.5, SCUR1_46870.2, SCUR1_46870.1, SCUR1_46870.4, SCUR1_46870.6, SCUR1_46870.8
OG0000540	SRDH2_5770.4, SRDH2_5770.5, SRDH2_5770.1, SRDH2_5770.3, SRDH2_5770.2, SRDH2_5770.6, SRDH2_5770.8, SRDH2_5770.11, SRDH2_5770.7, SRDH2_5770.10, SRDH2_5770.12, SRDH2_5770.9	SCUR1_5720.1, SCUR1_5720.2, SCUR1_5720.3, SCUR1_5720.5, SCUR1_5720.6, SCUR1_5720.7, SCUR1_5720.8, SCUR1_5720.9, SCUR1_5720.4
OG0000541	SRDH2_29190.6, SRDH2_29190.7, SRDH2_29190.1, SRDH2_29190.3, SRDH2_29190.4, SRDH2_29190.2, SRDH2_29190.5	SCUR1_28910.1
OG0000542	SRDH2_90210.1	SCUR1_85890.1, SCUR1_85890.2, SCUR1_85890.3, SCUR1_85890.4
OG0000543	SRDH2_15640.1, SRDH2_15640.2	SCUR1_15120.1
OG0000544	SRDH2_81940.6, SRDH2_81940.9, SRDH2_81940.1, SRDH2_81940.10, SRDH2_81940.2, SRDH2_81940.4, SRDH2_81940.5, SRDH2_81940.7, SRDH2_81940.8, SRDH2_81940.11, SRDH2_81940.3	SCUR1_79250.1, SCUR1_79250.2, SCUR1_79250.3, SCUR1_79250.4, SCUR1_79250.5, SCUR1_79250.6
OG0000545	SRDH2_47320.1	SCUR1_46650.1
OG0000545	SRDH2_71540.1	SCUR1_69030.1
OG0000546	SRDH2_29920.4, SRDH2_29920.6, SRDH2_29920.7	SCUR1_29570.5, SCUR1_29570.7, SCUR1_29570.2, SCUR1_29570.3
OG0000547	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10	SCUR1_87400.6, SCUR1_87400.1, SCUR1_87400.2, SCUR1_87400.7, SCUR1_87400.5, SCUR1_87400.3, SCUR1_87400.4
OG0000548	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2	SCUR1_29670.1, SCUR1_29670.2
OG0000549	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3	SCUR1_10970.4, SCUR1_10970.5, SCUR1_10970.1, SCUR1_10970.2, SCUR1_10970.3
OG0000550	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6	SCUR1_18680.1
OG0000550	SRDH2_19140.1, SRDH2_19140.2	SCUR1_18670.1
OG0000551	SRDH2_66230.1, SRDH2_39430.1	SCUR1_28010.1
OG0000552	SRDH2_5570.2	SCUR1_5540.2
OG0000552	SRDH2_5570.1	SCUR1_5540.1
OG0000552	SRDH2_5570.1	SCUR1_5540.3
OG0000552	SRDH2_88960.1	SCUR1_85080.1
OG0000553	SRDH2_97900.2, SRDH2_97900.1, SRDH2_97900.3	SCUR1_93220.1
OG0000554	SRDH2_11470.1, SRDH2_11470.2, SRDH2_11470.3	SCUR1_11100.3, SCUR1_11100.1, SCUR1_11100.2, SCUR1_11100.4
OG0000555	SRDH2_43820.1, SRDH2_43820.2, SRDH2_43820.3	SCUR1_43710.3, SCUR1_43710.1, SCUR1_43710.4, SCUR1_43710.2
OG0000556	SRDH2_66370.20, SRDH2_66370.1, SRDH2_66370.10, SRDH2_66370.11, SRDH2_66370.12, SRDH2_66370.13, SRDH2_66370.14, SRDH2_66370.15, SRDH2_66370.2, SRDH2_66370.3, SRDH2_66370.4, SRDH2_66370.5, SRDH2_66370.6, SRDH2_66370.7, SRDH2_66370.8, SRDH2_66370.9, SRDH2_66370.18, SRDH2_66370.16, SRDH2_66370.21, SRDH2_66370.22, SRDH2_66370.19, SRDH2_66370.17, SRDH2_66370.23, SRDH2_66370.26, SRDH2_66370.25, SRDH2_66370.27, SRDH2_66370.24	SCUR1_65620.1
OG0000557	SRDH2_37240.3, SRDH2_37240.1, SRDH2_37240.7, SRDH2_37240.8, SRDH2_37240.2, SRDH2_37240.5, SRDH2_37240.6, SRDH2_37240.9, SRDH2_37240.4	SCUR1_37930.2, SCUR1_37930.3, SCUR1_37930.6, SCUR1_37930.1, SCUR1_37930.5, SCUR1_37930.7, SCUR1_37930.4
OG0000558	SRDH2_18270.14, SRDH2_18270.9, SRDH2_18270.12, SRDH2_18270.13, SRDH2_18270.5, SRDH2_18270.1, SRDH2_18270.2, SRDH2_18270.3, SRDH2_18270.8, SRDH2_18270.6, SRDH2_18270.10, SRDH2_18270.11, SRDH2_18270.4, SRDH2_18270.7	SCUR1_17760.1
OG0000559	SRDH2_83450.3, SRDH2_83450.9, SRDH2_83450.1, SRDH2_83450.2, SRDH2_83450.4, SRDH2_83450.5, SRDH2_83450.6, SRDH2_83450.7, SRDH2_83450.8	SCUR1_81090.1, SCUR1_81090.2
OG0000560	SRDH2_99630.1, SRDH2_99630.4, SRDH2_99630.7, SRDH2_99630.8, SRDH2_99630.2, SRDH2_99630.6, SRDH2_99630.3, SRDH2_99630.5	SCUR1_94860.1, SCUR1_94860.2, SCUR1_94860.3, SCUR1_94860.4, SCUR1_94860.5, SCUR1_94860.6, SCUR1_94860.8, SCUR1_94860.7, SCUR1_94860.9
OG0000561	SRDH2_98330.1	SCUR1_93670.1
OG0000561	SRDH2_98340.1, SRDH2_98340.2, SRDH2_98340.3, SRDH2_98340.4	SCUR1_93680.1
OG0000562	SRDH2_87420.1	SCUR1_83680.1, SCUR1_100190.1, SCUR1_100190.2, SCUR1_100190.3, SCUR1_100190.4
OG0000563	SRDH2_20470.1, SRDH2_20470.2, SRDH2_20470.3, SRDH2_20470.4, SRDH2_20470.6, SRDH2_20470.5, SRDH2_20470.7, SRDH2_20470.8	SCUR1_21150.4, SCUR1_21150.5, SCUR1_21150.1, SCUR1_21150.2, SCUR1_21150.6, SCUR1_21150.3
OG0000564	SRDH2_42280.14, SRDH2_42280.8, SRDH2_42280.11, SRDH2_42280.1, SRDH2_42280.2, SRDH2_42280.12, SRDH2_42280.13, SRDH2_42280.4, SRDH2_42280.10, SRDH2_42280.5, SRDH2_42280.6, SRDH2_42280.3, SRDH2_42280.9, SRDH2_42280.7	SCUR1_42150.2, SCUR1_42150.1, SCUR1_42150.3
OG0000565	SRDH2_3520.1	SCUR1_3420.1, SCUR1_3420.4, SCUR1_3420.5, SCUR1_3420.2, SCUR1_3420.3
OG0000566	SRDH2_84510.1, SRDH2_84510.2, SRDH2_84510.3, SRDH2_84510.4, SRDH2_84510.5, SRDH2_84510.6	SCUR1_81380.3, SCUR1_81380.4, SCUR1_81380.1, SCUR1_81380.2
OG0000567	SRDH2_66280.5, SRDH2_66280.2, SRDH2_66280.1, SRDH2_66280.4, SRDH2_66280.3	SCUR1_65530.1, SCUR1_65530.3, SCUR1_65530.4, SCUR1_65530.2
OG0000568	SRDH2_58250.1	SCUR1_56880.1
OG0000568	SRDH2_69110.1	SCUR1_66650.1
OG0000568	SRDH2_69110.2	SCUR1_66650.1
OG0000568	SRDH2_32530.1	SCUR1_35090.1
OG0000569	SRDH2_9940.1	SCUR1_9560.1
OG0000570	SRDH2_14970.1	SCUR1_13100.1
OG0000571	SRDH2_9210.8, SRDH2_9210.6, SRDH2_9210.11, SRDH2_9210.7, SRDH2_9210.9, SRDH2_9210.12, SRDH2_9210.1, SRDH2_9210.10, SRDH2_9210.2, SRDH2_9210.3, SRDH2_9210.4, SRDH2_9210.5	SCUR1_8830.1, SCUR1_8830.6, SCUR1_8830.7, SCUR1_8830.2, SCUR1_8830.3, SCUR1_8830.4, SCUR1_8830.5
OG0000572	SRDH2_60950.1	SCUR1_59220.6, SCUR1_59220.3, SCUR1_59220.2, SCUR1_59220.1, SCUR1_59220.4, SCUR1_59220.5, SCUR1_59220.7
OG0000574	SRDH2_3030.2, SRDH2_3030.1	SCUR1_2850.1, SCUR1_2850.5, SCUR1_2850.3, SCUR1_2850.2, SCUR1_2850.6, SCUR1_2850.4
OG0000574	SRDH2_3010.1	SCUR1_2880.1
OG0000575	SRDH2_97790.1	SCUR1_93110.2, SCUR1_93110.3, SCUR1_93110.1, SCUR1_97470.2, SCUR1_97470.3, SCUR1_97470.1, SCUR1_97470.4, SCUR1_97470.5
OG0000576	SRDH2_44390.5, SRDH2_44390.3, SRDH2_44390.18, SRDH2_44390.16, SRDH2_44390.6, SRDH2_44390.1, SRDH2_44390.11, SRDH2_44390.7, SRDH2_44390.17, SRDH2_44390.10, SRDH2_44390.9, SRDH2_44390.15	SCUR1_44270.7, SCUR1_44270.2, SCUR1_44270.3, SCUR1_44270.1, SCUR1_44270.8, SCUR1_44270.4, SCUR1_44270.5
OG0000577	SRDH2_53000.1, SRDH2_53000.4, SRDH2_53000.6, SRDH2_53000.10, SRDH2_53000.2, SRDH2_53000.5, SRDH2_53000.8, SRDH2_53000.9, SRDH2_53000.3, SRDH2_53000.7, SRDH2_53000.13, SRDH2_53000.12, SRDH2_53000.11, SRDH2_53000.16, SRDH2_53000.14, SRDH2_53000.15	SCUR1_53070.1
OG0000579	SRDH2_77380.1, SRDH2_100180.1	SCUR1_74870.1
OG0000579	SRDH2_100160.1, SRDH2_100140.1	SCUR1_74900.1, SCUR1_74920.1
OG0000579	SRDH2_77420.1, SRDH2_77410.1	SCUR1_74880.1, SCUR1_74890.1, SCUR1_74940.1
OG0000580	SRDH2_39350.3, SRDH2_39350.1, SRDH2_39350.2	SCUR1_39390.2, SCUR1_39390.1, SCUR1_39390.3, SCUR1_39390.4
OG0000580	SRDH2_36230.1, SRDH2_36230.4, SRDH2_36230.2, SRDH2_36230.3	SCUR1_32440.1
OG0000581	SRDH2_62630.1	SCUR1_60990.1
OG0000582	SRDH2_85320.1	SCUR1_82190.1
OG0000582	SRDH2_85340.1	SCUR1_82200.1
OG0000582	SRDH2_85360.1	SCUR1_82210.1
OG0000583	SRDH2_62260.6, SRDH2_62260.2, SRDH2_62260.3, SRDH2_62260.8, SRDH2_62260.10, SRDH2_62260.11, SRDH2_62260.13, SRDH2_62260.7, SRDH2_62260.5, SRDH2_62260.1, SRDH2_62260.14, SRDH2_62260.4, SRDH2_62260.9, SRDH2_62260.12	SCUR1_60530.1, SCUR1_60530.2
OG0000584	SRDH2_28870.1	SCUR1_28550.1
OG0000585	SRDH2_5950.2, SRDH2_5950.4, SRDH2_5950.5, SRDH2_5950.6, SRDH2_5950.7, SRDH2_5950.8, SRDH2_5950.9, SRDH2_5950.1, SRDH2_5950.3	SCUR1_5900.1
OG0000586	SRDH2_31400.1, SRDH2_31400.2, SRDH2_31400.5, SRDH2_31400.3, SRDH2_31400.4, SRDH2_31400.7, SRDH2_31400.6, SRDH2_31400.8	SCUR1_31040.6, SCUR1_31040.1, SCUR1_31040.8, SCUR1_31040.11, SCUR1_31040.12, SCUR1_31040.5, SCUR1_31040.7, SCUR1_31040.9, SCUR1_31040.2, SCUR1_31040.3, SCUR1_31040.4, SCUR1_31040.10
OG0000587	SRDH2_67310.1	SCUR1_64760.1
OG0000588	SRDH2_21890.1, SRDH2_21910.1	SCUR1_22490.4, SCUR1_22490.6, SCUR1_22490.5, SCUR1_22490.7, SCUR1_22490.1, SCUR1_22490.2, SCUR1_22490.9, SCUR1_22490.8, SCUR1_22490.3
OG0000589	SRDH2_55920.2, SRDH2_55920.3, SRDH2_55920.1	SCUR1_54910.1
