Orthogroup	schistosoma_rodhaini	fasciola_gigantica
OG0000437	SRDH2_3210.1, SRDH2_3210.11, SRDH2_3210.3, SRDH2_3210.8, SRDH2_3210.9, SRDH2_3210.2, SRDH2_3210.7, SRDH2_3210.10, SRDH2_3210.6, SRDH2_3210.4, SRDH2_3210.5	FGIG_04672
OG0000438	SRDH2_65210.4, SRDH2_65210.7, SRDH2_65210.6, SRDH2_65210.8, SRDH2_65210.9, SRDH2_65210.1, SRDH2_65210.5, SRDH2_65210.2, SRDH2_65210.3	FGIG_04722
OG0000439	SRDH2_86960.5, SRDH2_86960.3, SRDH2_86960.7, SRDH2_86960.10, SRDH2_86960.11, SRDH2_86960.13, SRDH2_86960.2, SRDH2_86960.8, SRDH2_86960.9, SRDH2_86960.4, SRDH2_86960.1, SRDH2_86960.12, SRDH2_86960.6, SRDH2_86960.14	FGIG_05052
OG0000440	SRDH2_93830.1, SRDH2_93850.1, SRDH2_93850.2, SRDH2_93850.3, SRDH2_93840.1, SRDH2_93820.1	FGIG_05435
OG0000441	SRDH2_9330.7, SRDH2_9330.2, SRDH2_9330.6, SRDH2_9330.1, SRDH2_9330.3, SRDH2_9330.4, SRDH2_9330.5, SRDH2_9330.8, SRDH2_9330.9	FGIG_06666
OG0000441	SRDH2_13430.3, SRDH2_13430.2, SRDH2_13430.1	FGIG_10681, FGIG_09295
OG0000442	SRDH2_33820.6, SRDH2_33820.8, SRDH2_33820.9, SRDH2_33820.4, SRDH2_33820.5, SRDH2_33820.3, SRDH2_33820.1, SRDH2_33820.7, SRDH2_33820.2	FGIG_06753
OG0000443	SRDH2_5800.2, SRDH2_5800.3, SRDH2_5800.4, SRDH2_5800.1	FGIG_07760
OG0000444	SRDH2_74510.3, SRDH2_74510.2, SRDH2_74510.4, SRDH2_74510.7, SRDH2_74510.5, SRDH2_74510.6, SRDH2_74510.1, SRDH2_74510.8	FGIG_09462, FGIG_11910, FGIG_09471
OG0000445	SRDH2_66130.1, SRDH2_66130.2, SRDH2_66130.3, SRDH2_66130.4, SRDH2_66130.10, SRDH2_66130.5, SRDH2_66130.6, SRDH2_66130.8, SRDH2_66130.11, SRDH2_66130.7, SRDH2_66130.9	FGIG_11201
OG0000447	SRDH2_56940.7, SRDH2_56940.4, SRDH2_56940.1, SRDH2_56940.11, SRDH2_56940.2, SRDH2_56940.5, SRDH2_56940.13, SRDH2_56940.3, SRDH2_56940.8, SRDH2_56940.6, SRDH2_56940.12, SRDH2_56940.10, SRDH2_56940.9	FGIG_00135
OG0000448	SRDH2_37090.1	FGIG_00556
OG0000449	SRDH2_58900.3, SRDH2_58900.6, SRDH2_58900.4, SRDH2_58900.5, SRDH2_58900.1, SRDH2_58900.2	FGIG_00826
OG0000450	SRDH2_25210.7, SRDH2_25210.1, SRDH2_25210.5, SRDH2_25210.3, SRDH2_25210.2, SRDH2_25210.4, SRDH2_25210.8, SRDH2_25210.6	FGIG_01291, FGIG_04679
OG0000451	SRDH2_89250.13, SRDH2_89250.14, SRDH2_89250.18, SRDH2_89250.21, SRDH2_89250.19, SRDH2_89250.12, SRDH2_89250.15, SRDH2_89250.20, SRDH2_89250.1, SRDH2_89250.2, SRDH2_89250.3, SRDH2_89250.4, SRDH2_89250.5, SRDH2_89250.6, SRDH2_89250.7, SRDH2_89250.8, SRDH2_89250.9, SRDH2_89250.10, SRDH2_89250.11, SRDH2_89250.16, SRDH2_89250.17	FGIG_01553
OG0000452	SRDH2_39570.11, SRDH2_39570.13, SRDH2_39570.4, SRDH2_39570.7, SRDH2_39570.10, SRDH2_39570.5, SRDH2_39570.8, SRDH2_39570.9, SRDH2_39570.3, SRDH2_39570.1, SRDH2_39570.2, SRDH2_39570.12, SRDH2_39570.14, SRDH2_39570.6	FGIG_03230
OG0000454	SRDH2_71690.1	FGIG_06158
OG0000454	SRDH2_86470.1, SRDH2_73670.1	FGIG_09647
OG0000455	SRDH2_64700.1, SRDH2_14370.5, SRDH2_14370.4, SRDH2_14370.1, SRDH2_14370.3, SRDH2_14370.2, SRDH2_14370.7, SRDH2_14370.6	FGIG_06485
OG0000456	SRDH2_74720.1	FGIG_08883
OG0000457	SRDH2_29000.1, SRDH2_29000.2, SRDH2_29000.4, SRDH2_29000.5, SRDH2_29000.6, SRDH2_29000.7, SRDH2_29000.3, SRDH2_29000.8	FGIG_08921
OG0000458	SRDH2_38280.1	FGIG_09209
OG0000459	SRDH2_9770.1	FGIG_09431
OG0000464	SRDH2_13360.2, SRDH2_13360.5, SRDH2_13360.6, SRDH2_13360.4, SRDH2_13360.3, SRDH2_13360.1, SRDH2_13360.7	FGIG_00328, FGIG_00327
OG0000465	SRDH2_77670.7, SRDH2_77670.2, SRDH2_77670.5, SRDH2_77670.1, SRDH2_77670.6, SRDH2_77670.8, SRDH2_77670.3, SRDH2_77670.4	FGIG_00532
OG0000466	SRDH2_52790.8, SRDH2_52790.4, SRDH2_52790.7, SRDH2_52790.12, SRDH2_52790.14, SRDH2_52790.5, SRDH2_52790.6, SRDH2_52790.10, SRDH2_52790.1, SRDH2_52790.13, SRDH2_52790.9, SRDH2_52790.2, SRDH2_52790.3, SRDH2_52790.11	FGIG_01561, FGIG_03877, FGIG_01560, FGIG_01559
OG0000467	SRDH2_37890.1	FGIG_02474, FGIG_02706, FGIG_02707, FGIG_02708, FGIG_02710, FGIG_02709
OG0000468	SRDH2_74970.8, SRDH2_74970.7, SRDH2_74970.5, SRDH2_74970.2, SRDH2_74970.4, SRDH2_74970.6, SRDH2_74970.1, SRDH2_74970.3	FGIG_02572
OG0000469	SRDH2_4070.10, SRDH2_4070.13, SRDH2_4070.15, SRDH2_4070.2, SRDH2_4070.3, SRDH2_4070.4, SRDH2_4070.8, SRDH2_4070.19, SRDH2_4070.20, SRDH2_4070.6, SRDH2_4070.7, SRDH2_4070.9, SRDH2_4070.1, SRDH2_4070.12, SRDH2_4070.14, SRDH2_4070.5, SRDH2_4070.16, SRDH2_4070.17, SRDH2_4070.11, SRDH2_4070.18	FGIG_03009
OG0000470	SRDH2_52300.10, SRDH2_52300.4, SRDH2_52300.3, SRDH2_52300.1, SRDH2_52300.2, SRDH2_52300.5, SRDH2_52300.7, SRDH2_52300.8, SRDH2_52300.9, SRDH2_52300.6, SRDH2_52300.11	FGIG_04092
OG0000471	SRDH2_91310.9, SRDH2_91310.8, SRDH2_91310.1, SRDH2_91310.7, SRDH2_91310.2, SRDH2_91310.6, SRDH2_91310.3, SRDH2_91310.4, SRDH2_91310.5	FGIG_05330, FGIG_05331
OG0000472	SRDH2_37940.1	FGIG_10508, FGIG_06143
OG0000473	SRDH2_5050.3, SRDH2_5050.2, SRDH2_5050.4, SRDH2_5050.1	FGIG_06411, FGIG_12123, FGIG_06410
OG0000474	SRDH2_46460.1, SRDH2_46460.2	FGIG_07254
OG0000475	SRDH2_65440.5, SRDH2_65440.13, SRDH2_65440.8, SRDH2_65440.9, SRDH2_65440.1, SRDH2_65440.10, SRDH2_65440.12, SRDH2_65440.11, SRDH2_65440.7, SRDH2_65440.6, SRDH2_65440.2, SRDH2_65440.3, SRDH2_65440.4	FGIG_07645
OG0000476	SRDH2_22870.1	FGIG_08382, FGIG_08383
OG0000477	SRDH2_46150.12, SRDH2_46150.9, SRDH2_46150.11, SRDH2_46150.15, SRDH2_46150.14, SRDH2_46150.16, SRDH2_46150.10, SRDH2_46150.5, SRDH2_46150.7, SRDH2_46150.2, SRDH2_46150.4, SRDH2_46150.1, SRDH2_46150.3, SRDH2_46150.6, SRDH2_46150.8, SRDH2_46150.13	FGIG_08447, FGIG_12672
OG0000478	SRDH2_6490.13, SRDH2_6490.2, SRDH2_6490.9, SRDH2_6490.10, SRDH2_6490.14, SRDH2_6490.8, SRDH2_6490.7, SRDH2_6490.1, SRDH2_6490.6, SRDH2_6490.11, SRDH2_6490.12, SRDH2_6490.15, SRDH2_6490.3, SRDH2_6490.4, SRDH2_6490.5	FGIG_10674
OG0000479	SRDH2_36940.4, SRDH2_36940.5, SRDH2_36940.1, SRDH2_36940.2, SRDH2_36940.3, SRDH2_36940.6	FGIG_09169
OG0000480	SRDH2_67600.1	FGIG_09555
OG0000481	SRDH2_67500.1, SRDH2_67500.2, SRDH2_67500.3, SRDH2_67500.4, SRDH2_67500.5, SRDH2_67500.6	FGIG_11554, FGIG_10028
OG0000482	SRDH2_10190.10, SRDH2_10190.4, SRDH2_10190.5, SRDH2_10190.9, SRDH2_10190.8, SRDH2_10190.2, SRDH2_10190.3, SRDH2_10190.7, SRDH2_10190.1, SRDH2_10190.6	FGIG_10421
OG0000483	SRDH2_58470.1, SRDH2_58470.2, SRDH2_58470.3	FGIG_11522, FGIG_10429
OG0000484	SRDH2_99680.1	FGIG_10469, FGIG_11973
OG0000485	SRDH2_12680.4, SRDH2_12680.5, SRDH2_12680.2, SRDH2_12680.3, SRDH2_12680.7, SRDH2_12680.1, SRDH2_12680.6	FGIG_10899
OG0000490	SRDH2_70160.1	FGIG_00244
OG0000491	SRDH2_30640.1	FGIG_01361
OG0000492	SRDH2_64090.5, SRDH2_64090.1, SRDH2_64090.3, SRDH2_64090.4, SRDH2_64090.2	FGIG_01399, FGIG_01400
OG0000493	SRDH2_48240.1	FGIG_10535, FGIG_02574, FGIG_02575
OG0000493	SRDH2_29380.1	FGIG_02106
OG0000494	SRDH2_81040.1	FGIG_02261, FGIG_09004
OG0000495	SRDH2_3220.1, SRDH2_3220.2, SRDH2_3220.3, SRDH2_3220.4, SRDH2_3220.5, SRDH2_3220.6	FGIG_02597, FGIG_02595
OG0000496	SRDH2_37150.1, SRDH2_37150.3, SRDH2_37150.2	FGIG_02657
OG0000497	SRDH2_5540.1, SRDH2_5550.1, SRDH2_5550.2	FGIG_03046
OG0000498	SRDH2_25560.1, SRDH2_25560.2	FGIG_08610
OG0000498	SRDH2_27590.1, SRDH2_27590.2	FGIG_06356, FGIG_06355, FGIG_09764
OG0000499	SRDH2_75010.1, SRDH2_75010.2, SRDH2_75010.3	FGIG_03308, FGIG_03309
OG0000500	SRDH2_19600.1	FGIG_05535
OG0000501	SRDH2_26320.1, SRDH2_26320.12, SRDH2_26320.10, SRDH2_26320.11, SRDH2_26320.14, SRDH2_26320.3, SRDH2_26320.5, SRDH2_26320.6, SRDH2_26320.4, SRDH2_26320.8, SRDH2_26320.2, SRDH2_26320.7, SRDH2_26320.9, SRDH2_26320.13	FGIG_05786
OG0000502	SRDH2_33170.1	FGIG_12630, FGIG_06672, FGIG_05947, FGIG_05868, FGIG_09687
OG0000503	SRDH2_3890.1	FGIG_06020
OG0000504	SRDH2_47660.3, SRDH2_47660.4, SRDH2_47660.5, SRDH2_47660.2, SRDH2_47660.1	FGIG_06236
OG0000505	SRDH2_41400.1, SRDH2_41400.10, SRDH2_41400.11, SRDH2_41400.12, SRDH2_41400.13, SRDH2_41400.3, SRDH2_41400.4, SRDH2_41400.7, SRDH2_41400.8, SRDH2_41400.9, SRDH2_41400.5, SRDH2_41400.2, SRDH2_41400.6	FGIG_06258
OG0000506	SRDH2_9620.1, SRDH2_101740.1	FGIG_07761
OG0000507	SRDH2_31620.7, SRDH2_31620.9, SRDH2_31620.14, SRDH2_31620.1, SRDH2_31620.10, SRDH2_31620.15, SRDH2_31620.5, SRDH2_31620.6, SRDH2_31620.2, SRDH2_31620.8, SRDH2_31620.13, SRDH2_31620.3, SRDH2_31620.4, SRDH2_31620.11, SRDH2_31620.12	FGIG_08020, FGIG_08019
OG0000508	SRDH2_15710.7, SRDH2_15710.1, SRDH2_15710.5, SRDH2_15710.6, SRDH2_15710.2, SRDH2_15710.3, SRDH2_15710.4, SRDH2_15710.8, SRDH2_15710.9	FGIG_09651
OG0000509	SRDH2_50240.1, SRDH2_52020.1	FGIG_11147, FGIG_09900
OG0000510	SRDH2_80780.1, SRDH2_80800.1, SRDH2_80800.2, SRDH2_80800.6, SRDH2_80800.4, SRDH2_80800.3, SRDH2_80800.7, SRDH2_80800.5	FGIG_09919, FGIG_09920
OG0000511	SRDH2_73140.1, SRDH2_73130.2, SRDH2_73100.1, SRDH2_73130.1, SRDH2_73160.1, SRDH2_73120.1, SRDH2_73120.2	FGIG_10110
OG0000512	SRDH2_52510.11, SRDH2_52510.12, SRDH2_52510.3, SRDH2_52510.7, SRDH2_52510.8, SRDH2_52510.10, SRDH2_52510.5, SRDH2_52510.1, SRDH2_52510.13, SRDH2_52510.4, SRDH2_52510.6, SRDH2_52510.9, SRDH2_52510.2	FGIG_10635
OG0000513	SRDH2_68910.11, SRDH2_68910.10, SRDH2_68910.9, SRDH2_68910.1, SRDH2_68910.3, SRDH2_68910.4, SRDH2_68910.5, SRDH2_68910.6, SRDH2_68910.8, SRDH2_68910.2, SRDH2_68910.7	FGIG_11295, FGIG_10901
OG0000514	SRDH2_46160.1, SRDH2_46160.3, SRDH2_46160.2, SRDH2_46160.4	FGIG_11731
OG0000515	SRDH2_12440.1	FGIG_11760, FGIG_11877
OG0000516	SRDH2_64790.1, SRDH2_64790.2	FGIG_11912, FGIG_11911
OG0000517	SRDH2_26340.12, SRDH2_26340.13, SRDH2_26340.14, SRDH2_26340.1, SRDH2_26340.10, SRDH2_26340.2, SRDH2_26340.4, SRDH2_26340.5, SRDH2_26340.6, SRDH2_26340.3, SRDH2_26340.7, SRDH2_26340.9, SRDH2_26340.8, SRDH2_26340.11	FGIG_11937
OG0000521	SRDH2_73990.1	FGIG_00188
OG0000522	SRDH2_56850.1	FGIG_00655
OG0000523	SRDH2_78970.1, SRDH2_78970.14, SRDH2_78970.5, SRDH2_78970.7, SRDH2_78970.2, SRDH2_78970.4, SRDH2_78970.9, SRDH2_78970.15, SRDH2_78970.3, SRDH2_78970.6, SRDH2_78970.8, SRDH2_78970.16, SRDH2_78970.10, SRDH2_78970.11, SRDH2_78970.12, SRDH2_78970.13	FGIG_00791
OG0000524	SRDH2_14430.1, SRDH2_14430.2, SRDH2_14430.3	FGIG_00872, FGIG_04807
OG0000525	SRDH2_51550.1	FGIG_03698
OG0000526	SRDH2_17390.4, SRDH2_17390.5, SRDH2_17390.1, SRDH2_17390.2, SRDH2_17390.3, SRDH2_17390.7, SRDH2_17390.6	FGIG_03947, FGIG_03948, FGIG_03949, FGIG_03950
OG0000527	SRDH2_19480.10, SRDH2_19480.11, SRDH2_19480.3, SRDH2_19480.4, SRDH2_19480.5, SRDH2_19480.7, SRDH2_19480.6, SRDH2_19480.8, SRDH2_19480.9, SRDH2_19480.1, SRDH2_19480.2	FGIG_04305, FGIG_04306
OG0000528	SRDH2_36450.19, SRDH2_36450.11, SRDH2_36450.3, SRDH2_36450.4, SRDH2_36450.1, SRDH2_36450.10, SRDH2_36450.2, SRDH2_36450.5, SRDH2_36450.6, SRDH2_36450.8, SRDH2_36450.9, SRDH2_36450.12, SRDH2_36450.13, SRDH2_36450.7, SRDH2_36450.17, SRDH2_36450.18, SRDH2_36450.20, SRDH2_36450.16, SRDH2_36450.14, SRDH2_36450.15	FGIG_05456, FGIG_05455
OG0000529	SRDH2_16190.1	FGIG_05544
OG0000529	SRDH2_25910.1	FGIG_08863
OG0000530	SRDH2_99210.1, SRDH2_99230.1, SRDH2_99220.1	FGIG_05770
OG0000531	SRDH2_79680.3, SRDH2_79680.1, SRDH2_79680.4, SRDH2_79680.2	FGIG_05789, FGIG_10492, FGIG_10493
OG0000532	SRDH2_140.1, SRDH2_140.2, SRDH2_140.3, SRDH2_140.4, SRDH2_140.5, SRDH2_5000.7, SRDH2_5000.4, SRDH2_5000.5, SRDH2_5000.3, SRDH2_5000.2, SRDH2_5000.6, SRDH2_5000.8, SRDH2_5000.1	FGIG_07231
OG0000533	SRDH2_19650.11, SRDH2_19650.2, SRDH2_19650.3, SRDH2_19650.4, SRDH2_19650.7, SRDH2_19650.5, SRDH2_19650.6, SRDH2_19650.10, SRDH2_19650.8, SRDH2_19650.9, SRDH2_19650.1	FGIG_07562
OG0000534	SRDH2_74790.1	FGIG_13988, FGIG_07681
OG0000535	SRDH2_60400.1, SRDH2_60440.1	FGIG_12466, FGIG_08126, FGIG_08125
OG0000536	SRDH2_66490.11, SRDH2_66490.13, SRDH2_66490.6, SRDH2_66490.5, SRDH2_66490.7, SRDH2_66490.10, SRDH2_66490.9, SRDH2_66490.1, SRDH2_66490.12, SRDH2_66490.2, SRDH2_66490.3, SRDH2_66490.4, SRDH2_66490.8	FGIG_08935, FGIG_08934
OG0000537	SRDH2_54400.3, SRDH2_54400.17, SRDH2_54400.1, SRDH2_54400.7, SRDH2_54400.14, SRDH2_54400.11, SRDH2_54400.6, SRDH2_54400.8, SRDH2_54400.15, SRDH2_54400.16, SRDH2_54400.10, SRDH2_54400.18, SRDH2_54400.5, SRDH2_54400.4, SRDH2_54400.9, SRDH2_54400.2, SRDH2_54400.13, SRDH2_54400.12	FGIG_12232, FGIG_12182
OG0000539	SRDH2_47540.1, SRDH2_47540.2, SRDH2_47540.3	FGIG_00008
OG0000540	SRDH2_5770.4, SRDH2_5770.5, SRDH2_5770.1, SRDH2_5770.3, SRDH2_5770.2, SRDH2_5770.6, SRDH2_5770.8, SRDH2_5770.11, SRDH2_5770.7, SRDH2_5770.10, SRDH2_5770.12, SRDH2_5770.9	FGIG_00485, FGIG_00487
OG0000541	SRDH2_29190.6, SRDH2_29190.7, SRDH2_29190.1, SRDH2_29190.3, SRDH2_29190.4, SRDH2_29190.2, SRDH2_29190.5	FGIG_00810
OG0000542	SRDH2_90210.1	FGIG_00859
OG0000543	SRDH2_15640.1, SRDH2_15640.2	FGIG_01118
OG0000544	SRDH2_81940.6, SRDH2_81940.9, SRDH2_81940.1, SRDH2_81940.10, SRDH2_81940.2, SRDH2_81940.4, SRDH2_81940.5, SRDH2_81940.7, SRDH2_81940.8, SRDH2_81940.11, SRDH2_81940.3	FGIG_01478, FGIG_01480
OG0000545	SRDH2_47320.1	FGIG_02161
OG0000545	SRDH2_71540.1	FGIG_04734
OG0000546	SRDH2_29920.1, SRDH2_29920.3, SRDH2_29920.2, SRDH2_29920.5, SRDH2_29920.4, SRDH2_29920.6, SRDH2_29920.7	FGIG_02171
OG0000547	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10	FGIG_02243
OG0000548	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2	FGIG_02293
OG0000549	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3	FGIG_02503
OG0000550	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6, SRDH2_19140.1, SRDH2_19140.2	FGIG_02524, FGIG_04548
OG0000551	SRDH2_66230.1	FGIG_11586
OG0000552	SRDH2_5570.2, SRDH2_5570.1	FGIG_03044
OG0000552	SRDH2_88960.1	FGIG_10688
OG0000553	SRDH2_97900.2, SRDH2_97900.1, SRDH2_97900.3, SRDH2_97900.4, SRDH2_97900.5, SRDH2_97900.6	FGIG_06277, FGIG_03255
OG0000554	SRDH2_11470.1, SRDH2_11470.2, SRDH2_11470.3	FGIG_03594, FGIG_03593, FGIG_09273
OG0000555	SRDH2_43820.1, SRDH2_43820.2, SRDH2_43820.3	FGIG_06696, FGIG_03633, FGIG_07782
OG0000556	SRDH2_66370.20, SRDH2_66370.1, SRDH2_66370.10, SRDH2_66370.11, SRDH2_66370.12, SRDH2_66370.13, SRDH2_66370.14, SRDH2_66370.15, SRDH2_66370.2, SRDH2_66370.3, SRDH2_66370.4, SRDH2_66370.5, SRDH2_66370.6, SRDH2_66370.7, SRDH2_66370.8, SRDH2_66370.9, SRDH2_66370.18, SRDH2_66370.16, SRDH2_66370.21, SRDH2_66370.22, SRDH2_66370.19, SRDH2_66370.17, SRDH2_66370.23, SRDH2_66370.26, SRDH2_66370.25, SRDH2_66370.27, SRDH2_66370.24	FGIG_04270
OG0000557	SRDH2_37240.3, SRDH2_37240.1, SRDH2_37240.7, SRDH2_37240.8, SRDH2_37240.2, SRDH2_37240.5, SRDH2_37240.6, SRDH2_37240.9, SRDH2_37240.4	FGIG_04408
OG0000558	SRDH2_18270.14, SRDH2_18270.9, SRDH2_18270.12, SRDH2_18270.13, SRDH2_18270.5, SRDH2_18270.1, SRDH2_18270.2, SRDH2_18270.3, SRDH2_18270.8, SRDH2_18270.6, SRDH2_18270.10, SRDH2_18270.11, SRDH2_18270.4, SRDH2_18270.7	FGIG_04989
OG0000559	SRDH2_83450.3, SRDH2_83450.9, SRDH2_83450.1, SRDH2_83450.2, SRDH2_83450.4, SRDH2_83450.5, SRDH2_83450.6, SRDH2_83450.7, SRDH2_83450.8	FGIG_05022, FGIG_05024, FGIG_05023
OG0000560	SRDH2_99630.1, SRDH2_99630.4, SRDH2_99630.7, SRDH2_99630.8, SRDH2_99630.2, SRDH2_99630.6, SRDH2_99630.3, SRDH2_99630.5	FGIG_05328
OG0000561	SRDH2_98330.1	FGIG_05533
OG0000562	SRDH2_87420.1	FGIG_05555, FGIG_05553
OG0000563	SRDH2_20470.1, SRDH2_20470.2, SRDH2_20470.3, SRDH2_20470.4, SRDH2_20470.6, SRDH2_20470.5, SRDH2_20470.7, SRDH2_20470.8	FGIG_06026
OG0000564	SRDH2_42280.14, SRDH2_42280.8, SRDH2_42280.11, SRDH2_42280.1, SRDH2_42280.2, SRDH2_42280.12, SRDH2_42280.13, SRDH2_42280.4, SRDH2_42280.10, SRDH2_42280.5, SRDH2_42280.6, SRDH2_42280.3, SRDH2_42280.9, SRDH2_42280.7	FGIG_06399, FGIG_10134
OG0000565	SRDH2_3520.1	FGIG_06423
OG0000566	SRDH2_84510.1, SRDH2_84510.2, SRDH2_84510.3, SRDH2_84510.4, SRDH2_84510.5, SRDH2_84510.6	FGIG_06842
OG0000567	SRDH2_66280.5, SRDH2_66280.2, SRDH2_66280.1, SRDH2_66280.4, SRDH2_66280.3	FGIG_07651
OG0000568	SRDH2_58250.1	FGIG_08587
OG0000568	SRDH2_69110.1, SRDH2_69110.2	FGIG_08255
OG0000568	SRDH2_32530.1	FGIG_08984
OG0000569	SRDH2_9940.1	FGIG_08518
OG0000570	SRDH2_14970.1	FGIG_11175, FGIG_11174, FGIG_08779
OG0000571	SRDH2_9210.8, SRDH2_9210.6, SRDH2_9210.11, SRDH2_9210.7, SRDH2_9210.9, SRDH2_9210.12, SRDH2_9210.1, SRDH2_9210.10, SRDH2_9210.2, SRDH2_9210.3, SRDH2_9210.4, SRDH2_9210.5	FGIG_09381, FGIG_08972
OG0000572	SRDH2_60950.1	FGIG_10316
OG0000574	SRDH2_3030.2, SRDH2_3030.1, SRDH2_3010.1	FGIG_11179, FGIG_10756
OG0000575	SRDH2_97790.1	FGIG_10778
OG0000576	SRDH2_44390.12, SRDH2_44390.13, SRDH2_44390.4, SRDH2_44390.2, SRDH2_44390.8, SRDH2_44390.14, SRDH2_44390.5, SRDH2_44390.3, SRDH2_44390.18, SRDH2_44390.16, SRDH2_44390.6, SRDH2_44390.1, SRDH2_44390.11, SRDH2_44390.7, SRDH2_44390.17, SRDH2_44390.10, SRDH2_44390.9, SRDH2_44390.15	FGIG_11079
OG0000580	SRDH2_39350.3, SRDH2_39350.1, SRDH2_39350.2	FGIG_01348
OG0000580	SRDH2_36230.1, SRDH2_36230.4, SRDH2_36230.2, SRDH2_36230.3	FGIG_06846
OG0000581	SRDH2_62630.1	FGIG_01599, FGIG_01600, FGIG_01602
OG0000582	SRDH2_85320.1, SRDH2_85340.1	FGIG_08180, FGIG_01623, FGIG_12483, FGIG_04914
OG0000582	SRDH2_85360.1	FGIG_04913
OG0000583	SRDH2_62260.6, SRDH2_62260.2, SRDH2_62260.3, SRDH2_62260.8, SRDH2_62260.10, SRDH2_62260.11, SRDH2_62260.13, SRDH2_62260.7, SRDH2_62260.5, SRDH2_62260.1, SRDH2_62260.14, SRDH2_62260.4, SRDH2_62260.9, SRDH2_62260.12	FGIG_01854
OG0000584	SRDH2_28870.1	FGIG_02128
OG0000585	SRDH2_5950.2, SRDH2_5950.4, SRDH2_5950.5, SRDH2_5950.6, SRDH2_5950.7, SRDH2_5950.8, SRDH2_5950.9, SRDH2_5950.1, SRDH2_5950.3	FGIG_03970
OG0000586	SRDH2_31400.1, SRDH2_31400.2, SRDH2_31400.5, SRDH2_31400.3, SRDH2_31400.4, SRDH2_31400.7, SRDH2_31400.6, SRDH2_31400.8	FGIG_04310
OG0000588	SRDH2_21890.1, SRDH2_21910.1	FGIG_04873, FGIG_04872
OG0000589	SRDH2_55920.2, SRDH2_55920.3, SRDH2_55920.1	FGIG_05822
OG0000590	SRDH2_29560.1	FGIG_06108
OG0000590	SRDH2_40800.1	FGIG_09604
OG0000591	SRDH2_3530.12, SRDH2_3530.4, SRDH2_3530.1, SRDH2_3530.11, SRDH2_3530.3, SRDH2_3530.6, SRDH2_3530.8, SRDH2_3530.13, SRDH2_3530.14, SRDH2_3530.2, SRDH2_3530.5, SRDH2_3530.7, SRDH2_3530.9, SRDH2_3530.10	FGIG_07049
OG0000592	SRDH2_31230.1, SRDH2_31230.7, SRDH2_31230.8, SRDH2_31230.2, SRDH2_31230.3, SRDH2_31230.6, SRDH2_31230.4, SRDH2_31230.5	FGIG_07330
OG0000593	SRDH2_36740.1	FGIG_07487
OG0000594	SRDH2_50120.4, SRDH2_50120.10, SRDH2_50120.8, SRDH2_50120.3, SRDH2_50120.9, SRDH2_50120.7, SRDH2_50120.6, SRDH2_50120.5, SRDH2_50120.1, SRDH2_50120.11, SRDH2_50120.2	FGIG_09951
OG0000595	SRDH2_48500.1, SRDH2_48500.2	FGIG_10443
OG0000598	SRDH2_14800.1	FGIG_00058
OG0000599	SRDH2_64220.10, SRDH2_64220.4, SRDH2_64220.3, SRDH2_64220.9, SRDH2_64220.6, SRDH2_64220.1, SRDH2_64220.5, SRDH2_64220.2, SRDH2_64220.7, SRDH2_64220.8, SRDH2_64220.11, SRDH2_64220.12	FGIG_00310
OG0000600	SRDH2_68440.2, SRDH2_68440.1	FGIG_00415
OG0000601	SRDH2_98250.1	FGIG_00679, FGIG_00677
OG0000601	SRDH2_41220.1, SRDH2_41210.2, SRDH2_41210.3, SRDH2_41210.4, SRDH2_41210.1	FGIG_06993, FGIG_06994
OG0000602	SRDH2_15670.8, SRDH2_15670.5, SRDH2_15670.2, SRDH2_15670.9, SRDH2_15670.3, SRDH2_15670.10, SRDH2_15670.11, SRDH2_15670.4, SRDH2_15670.1, SRDH2_15670.6, SRDH2_15670.7	FGIG_07880, FGIG_00906
OG0000603	SRDH2_51390.12, SRDH2_51390.10, SRDH2_51390.7, SRDH2_51390.13, SRDH2_51390.9, SRDH2_51390.8, SRDH2_51390.1, SRDH2_51390.2, SRDH2_51390.3, SRDH2_51390.11, SRDH2_51390.5, SRDH2_51390.6, SRDH2_51390.4	FGIG_01276
OG0000604	SRDH2_39550.10, SRDH2_39550.11, SRDH2_39550.15, SRDH2_39550.1, SRDH2_39550.9, SRDH2_39550.13, SRDH2_39550.12, SRDH2_39550.4, SRDH2_39550.5, SRDH2_39550.2, SRDH2_39550.14, SRDH2_39550.3, SRDH2_39550.6, SRDH2_39550.7, SRDH2_39550.8	FGIG_01861
