Orthogroup	schistosoma_rodhaini	schistosoma_bovis
OG0000900	SRDH2_3690.1, SRDH2_3690.2	SBOV2_3650.1, SBOV2_3660.1
OG0000901	SRDH2_64150.1	SBOV2_62100.2, SBOV2_62100.3, SBOV2_62100.1
OG0000902	SRDH2_56170.1	SBOV2_50420.1, SBOV2_50420.2, SBOV2_50420.3, SBOV2_50420.4, SBOV2_50420.5
OG0000903	SRDH2_15940.2, SRDH2_15940.4, SRDH2_15940.1, SRDH2_15940.3, SRDH2_15940.5, SRDH2_15940.6	SBOV2_15040.4, SBOV2_15040.5, SBOV2_15040.8, SBOV2_15040.1, SBOV2_15040.2, SBOV2_15040.3, SBOV2_15040.6, SBOV2_15040.7, SBOV2_15040.9
OG0000904	SRDH2_5180.1	SBOV2_5100.2, SBOV2_5100.3, SBOV2_5100.4, SBOV2_5100.6, SBOV2_5100.5, SBOV2_5100.7, SBOV2_5100.8, SBOV2_5100.1
OG0000905	SRDH2_80830.6, SRDH2_80830.2, SRDH2_80830.4, SRDH2_80830.5, SRDH2_80830.1, SRDH2_80830.3	SBOV2_77950.1
OG0000906	SRDH2_65490.15, SRDH2_65490.17, SRDH2_65490.18, SRDH2_65490.5, SRDH2_65490.1, SRDH2_65490.10, SRDH2_65490.12, SRDH2_65490.13, SRDH2_65490.14, SRDH2_65490.16, SRDH2_65490.6, SRDH2_65490.9, SRDH2_65490.11, SRDH2_65490.2, SRDH2_65490.3, SRDH2_65490.4, SRDH2_65490.7, SRDH2_65490.8	SBOV2_63400.5, SBOV2_63400.1, SBOV2_63400.6, SBOV2_63400.2, SBOV2_63400.3, SBOV2_63400.4
OG0000907	SRDH2_76380.1	SBOV2_73690.1
OG0000908	SRDH2_27040.1	SBOV2_40930.1
OG0000910	SRDH2_8380.1, SRDH2_8380.2, SRDH2_8370.1	SBOV2_7260.1, SBOV2_7260.2, SBOV2_7260.3, SBOV2_7260.4, SBOV2_7260.7, SBOV2_7260.5, SBOV2_7260.6, SBOV2_7260.8
OG0000911	SRDH2_59810.8, SRDH2_59810.3, SRDH2_59810.9, SRDH2_59810.1, SRDH2_59810.10, SRDH2_59810.11, SRDH2_59810.2, SRDH2_59810.7, SRDH2_59810.6, SRDH2_59810.12, SRDH2_59810.4, SRDH2_59810.5	SBOV2_57680.1
OG0000912	SRDH2_6520.5, SRDH2_6520.8, SRDH2_6520.1, SRDH2_6520.6, SRDH2_6520.2, SRDH2_6520.3, SRDH2_6520.4, SRDH2_6520.7, SRDH2_6520.9, SRDH2_6520.10	SBOV2_6370.1
OG0000913	SRDH2_37070.1	SBOV2_36170.1, SBOV2_36170.2
OG0000914	SRDH2_38680.1	SBOV2_29180.2, SBOV2_29180.3, SBOV2_29180.1, SBOV2_29180.4, SBOV2_29180.5
OG0000915	SRDH2_29900.1, SRDH2_29900.6, SRDH2_29900.7, SRDH2_29900.2, SRDH2_29900.3, SRDH2_29900.4, SRDH2_29900.5	SBOV2_38070.3, SBOV2_38070.1, SBOV2_38070.2
OG0000916	SRDH2_39820.1, SRDH2_39820.2, SRDH2_39820.3, SRDH2_39820.4	SBOV2_28150.1
OG0000917	SRDH2_86710.2, SRDH2_86710.4, SRDH2_86710.1, SRDH2_86710.3, SRDH2_86710.5	SBOV2_83410.1, SBOV2_83410.2, SBOV2_83410.3, SBOV2_83410.4
OG0000918	SRDH2_27120.1, SRDH2_27120.3, SRDH2_27120.4, SRDH2_27120.2	SBOV2_40830.1, SBOV2_40830.3, SBOV2_40830.5, SBOV2_40830.6, SBOV2_40830.7, SBOV2_40830.2, SBOV2_40830.4, SBOV2_40830.8
OG0000919	SRDH2_86880.1, SRDH2_86880.2, SRDH2_86880.3, SRDH2_86880.5, SRDH2_86880.6, SRDH2_86880.7, SRDH2_86880.8, SRDH2_86880.4	SBOV2_83650.1
OG0000921	SRDH2_43720.1	SBOV2_42700.1, SBOV2_42700.2, SBOV2_42700.5, SBOV2_42700.4, SBOV2_42700.3
OG0000922	SRDH2_6940.1	SBOV2_6780.1, SBOV2_6780.3, SBOV2_6780.2
OG0000923	SRDH2_41800.1	SBOV2_26340.1
OG0000923	SRDH2_96520.1	SBOV2_92160.1, SBOV2_92160.2, SBOV2_92160.3, SBOV2_92160.4
OG0000925	SRDH2_16890.1, SRDH2_16880.1, SRDH2_16880.2	SBOV2_15960.1
OG0000926	SRDH2_27410.1	SBOV2_40520.1, SBOV2_40520.2, SBOV2_40520.3, SBOV2_40520.4, SBOV2_40530.1, SBOV2_40530.3, SBOV2_40530.2, SBOV2_40530.4
OG0000927	SRDH2_20140.3, SRDH2_20140.2, SRDH2_20140.8, SRDH2_20140.1, SRDH2_20140.4, SRDH2_20140.6, SRDH2_20140.13, SRDH2_20140.12, SRDH2_20140.7, SRDH2_20140.9, SRDH2_20140.10, SRDH2_20140.5, SRDH2_20140.11	SBOV2_19180.1
OG0000928	SRDH2_36310.1, SRDH2_36310.2, SRDH2_36310.3, SRDH2_36310.4	SBOV2_35360.1, SBOV2_35370.1
OG0000929	SRDH2_67280.3, SRDH2_67280.5, SRDH2_67280.6, SRDH2_67280.7, SRDH2_67280.8, SRDH2_67280.1, SRDH2_67280.2, SRDH2_67280.4	SBOV2_64470.1, SBOV2_64470.3, SBOV2_64470.2
OG0000930	SRDH2_42700.4, SRDH2_42700.2, SRDH2_42700.3, SRDH2_42700.1	SBOV2_41570.6, SBOV2_41570.5, SBOV2_41570.1, SBOV2_41570.2, SBOV2_41570.3, SBOV2_41570.4
OG0000931	SRDH2_74260.1, SRDH2_74260.3, SRDH2_74260.2, SRDH2_74260.5, SRDH2_74260.6, SRDH2_74260.7, SRDH2_74260.4, SRDH2_100270.1	SBOV2_70760.2, SBOV2_70760.1
OG0000932	SRDH2_1170.1, SRDH2_1170.2, SRDH2_1170.3	SBOV2_1170.1, SBOV2_1170.2, SBOV2_1170.4, SBOV2_1170.3
OG0000933	SRDH2_39920.14, SRDH2_39920.15, SRDH2_39920.12, SRDH2_39920.1, SRDH2_39920.3, SRDH2_39920.4, SRDH2_39920.8, SRDH2_39920.2, SRDH2_39920.10, SRDH2_39920.11, SRDH2_39920.6, SRDH2_39920.7, SRDH2_39920.9, SRDH2_39920.13, SRDH2_39920.16, SRDH2_39920.5	SBOV2_28040.1
OG0000934	SRDH2_10520.3, SRDH2_10520.10, SRDH2_10520.1, SRDH2_10520.15, SRDH2_10520.12, SRDH2_10520.9, SRDH2_10520.11, SRDH2_10520.8, SRDH2_10520.7, SRDH2_10520.2, SRDH2_10520.5, SRDH2_10520.4, SRDH2_10520.6, SRDH2_10520.14, SRDH2_10520.13	SBOV2_9940.3, SBOV2_9940.1, SBOV2_9940.4, SBOV2_9940.2
OG0000935	SRDH2_67920.5, SRDH2_67920.4, SRDH2_67920.6, SRDH2_67920.1, SRDH2_67920.2, SRDH2_67920.7, SRDH2_67920.3	SBOV2_63760.1, SBOV2_63770.1
OG0000936	SRDH2_97320.6, SRDH2_97320.3, SRDH2_97320.1, SRDH2_97320.2, SRDH2_97320.7, SRDH2_97320.5, SRDH2_97320.4	SBOV2_92970.1, SBOV2_92970.3, SBOV2_92970.2
OG0000937	SRDH2_55210.8, SRDH2_55210.1, SRDH2_55210.2, SRDH2_55210.3, SRDH2_55210.5, SRDH2_55210.4, SRDH2_55210.6, SRDH2_55210.7	SBOV2_51350.3, SBOV2_51350.1, SBOV2_51350.2, SBOV2_51350.4, SBOV2_51350.5
OG0000938	SRDH2_61350.5, SRDH2_61350.1, SRDH2_61350.2, SRDH2_61350.6, SRDH2_61350.8, SRDH2_61350.9, SRDH2_61350.10, SRDH2_61350.3, SRDH2_61350.7, SRDH2_61350.4	SBOV2_59300.1, SBOV2_59300.2
OG0000939	SRDH2_89450.1	SBOV2_86150.3, SBOV2_86150.1, SBOV2_86150.2
OG0000940	SRDH2_5830.2, SRDH2_5830.1, SRDH2_5830.3, SRDH2_5830.4	SBOV2_5760.1, SBOV2_5760.2, SBOV2_5760.3, SBOV2_5760.4
OG0000941	SRDH2_36490.2, SRDH2_36490.3, SRDH2_36490.7, SRDH2_36490.15, SRDH2_36490.12, SRDH2_36490.11, SRDH2_36490.1, SRDH2_36490.13, SRDH2_36490.8, SRDH2_36490.10, SRDH2_36490.9, SRDH2_36490.14	SBOV2_35550.1
OG0000942	SRDH2_16480.1, SRDH2_16480.8, SRDH2_16480.7, SRDH2_16480.9, SRDH2_16480.2, SRDH2_16480.3, SRDH2_16480.6, SRDH2_16480.11, SRDH2_16480.5, SRDH2_16480.4, SRDH2_16480.10	SBOV2_15580.4, SBOV2_15580.3, SBOV2_15580.7, SBOV2_15580.2, SBOV2_15580.5, SBOV2_15580.1, SBOV2_15580.6
OG0000943	SRDH2_29110.5, SRDH2_29110.3, SRDH2_29110.1, SRDH2_29110.4, SRDH2_29110.2, SRDH2_29110.6	SBOV2_38880.1, SBOV2_38880.2
OG0000944	SRDH2_59330.1, SRDH2_59340.3, SRDH2_59340.4, SRDH2_59340.8, SRDH2_59340.1, SRDH2_59340.2, SRDH2_59340.5, SRDH2_59340.6, SRDH2_59340.7, SRDH2_59340.9	SBOV2_57480.1, SBOV2_57480.3, SBOV2_57480.4, SBOV2_57480.2
OG0000945	SRDH2_11710.1, SRDH2_11710.2, SRDH2_11710.3, SRDH2_11710.5, SRDH2_11710.6, SRDH2_11710.8, SRDH2_11710.4, SRDH2_11710.7, SRDH2_11710.9	SBOV2_11120.1, SBOV2_11120.2, SBOV2_11120.3, SBOV2_11120.4, SBOV2_11120.7, SBOV2_11120.8, SBOV2_11120.5, SBOV2_11120.6
OG0000946	SRDH2_9010.10, SRDH2_9010.7, SRDH2_9010.5, SRDH2_9010.3, SRDH2_9010.4, SRDH2_9010.6, SRDH2_9010.9, SRDH2_9010.1, SRDH2_9010.2, SRDH2_9010.8	SBOV2_8580.7, SBOV2_8580.5, SBOV2_8580.6, SBOV2_8580.3, SBOV2_8580.4, SBOV2_8580.8, SBOV2_8580.1, SBOV2_8580.2, SBOV2_8580.9
OG0000947	SRDH2_38980.1	SBOV2_28890.1, SBOV2_28890.2, SBOV2_28890.3, SBOV2_28890.4, SBOV2_28890.5, SBOV2_28890.6, SBOV2_28890.7
OG0000948	SRDH2_83870.1, SRDH2_83870.2	SBOV2_80830.1, SBOV2_80830.2, SBOV2_80830.3, SBOV2_80830.4
OG0000949	SRDH2_16640.1	SBOV2_15750.1
OG0000950	SRDH2_52730.1, SRDH2_52730.3, SRDH2_52730.2, SRDH2_52730.5, SRDH2_52730.6, SRDH2_52730.4	SBOV2_52270.1
OG0000952	SRDH2_29860.1	SBOV2_38110.8, SBOV2_38110.1, SBOV2_38110.2, SBOV2_38110.3, SBOV2_38110.4, SBOV2_38110.5, SBOV2_38110.6, SBOV2_38110.7, SBOV2_38110.9
OG0000953	SRDH2_64250.6, SRDH2_64250.1, SRDH2_64250.10, SRDH2_64250.11, SRDH2_64250.12, SRDH2_64250.13, SRDH2_64250.2, SRDH2_64250.3, SRDH2_64250.4, SRDH2_64250.8, SRDH2_64250.9, SRDH2_64250.5, SRDH2_64250.7	SBOV2_62230.1, SBOV2_62230.2, SBOV2_62230.3
OG0000954	SRDH2_82630.2, SRDH2_82630.4	SBOV2_79630.1, SBOV2_79630.2
OG0000955	SRDH2_14480.1	SBOV2_12310.3, SBOV2_12310.4, SBOV2_12310.5, SBOV2_12310.1, SBOV2_12310.2, SBOV2_12310.6, SBOV2_12310.7
OG0000958	SRDH2_12890.1, SRDH2_12890.2	SBOV2_13390.1, SBOV2_13390.2
OG0000959	SRDH2_71400.1, SRDH2_71400.2, SRDH2_71400.3, SRDH2_71400.4	SBOV2_69340.7, SBOV2_69340.1, SBOV2_69340.2, SBOV2_69340.3, SBOV2_69340.4, SBOV2_69340.5, SBOV2_69340.6, SBOV2_69340.8
OG0000960	SRDH2_99950.1, SRDH2_99950.2, SRDH2_99950.3, SRDH2_99940.1	SBOV2_22080.1
OG0000961	SRDH2_39040.3, SRDH2_39040.1, SRDH2_39040.2	SBOV2_28860.1, SBOV2_28860.2, SBOV2_28860.4, SBOV2_28860.5, SBOV2_28860.3
OG0000962	SRDH2_76360.1, SRDH2_76360.2, SRDH2_76360.3, SRDH2_76360.4, SRDH2_76360.5, SRDH2_76360.6	SBOV2_73670.1
OG0000963	SRDH2_2530.2, SRDH2_2530.3, SRDH2_2530.6, SRDH2_2530.8, SRDH2_2530.7, SRDH2_2530.1, SRDH2_2530.5, SRDH2_2530.4	SBOV2_2500.1, SBOV2_2500.3, SBOV2_2500.4, SBOV2_2500.6, SBOV2_2500.2, SBOV2_2500.5, SBOV2_2500.7
OG0000964	SRDH2_40900.1	SBOV2_27150.3, SBOV2_27150.1, SBOV2_27150.2, SBOV2_27150.4
OG0000965	SRDH2_65000.4, SRDH2_65000.5, SRDH2_65000.1, SRDH2_65000.2, SRDH2_65000.3	SBOV2_62970.1, SBOV2_62970.2
OG0000966	SRDH2_33780.1	SBOV2_31460.1, SBOV2_31460.2, SBOV2_31460.3
OG0000966	SRDH2_49790.1, SRDH2_49790.2	SBOV2_48420.2, SBOV2_48420.3, SBOV2_48420.1
OG0000967	SRDH2_32970.2, SRDH2_32970.6, SRDH2_32970.1, SRDH2_32970.3, SRDH2_32970.4, SRDH2_32970.5, SRDH2_32970.7, SRDH2_32970.8	SBOV2_32250.1, SBOV2_32250.2
OG0000968	SRDH2_2950.6, SRDH2_2950.9, SRDH2_2950.12, SRDH2_2950.10, SRDH2_2950.1, SRDH2_2950.11, SRDH2_2950.2, SRDH2_2950.3, SRDH2_2950.4, SRDH2_2950.5, SRDH2_2950.8, SRDH2_2950.7	SBOV2_2890.3, SBOV2_2890.4, SBOV2_2890.5, SBOV2_2890.1, SBOV2_2890.2, SBOV2_2890.6
OG0000969	SRDH2_83760.1	SBOV2_80720.1
OG0000970	SRDH2_72100.2, SRDH2_72100.1	SBOV2_68960.1, SBOV2_68950.1
OG0000971	SRDH2_1940.5, SRDH2_1940.2, SRDH2_1940.4, SRDH2_1940.3, SRDH2_1940.9, SRDH2_1940.1, SRDH2_1940.10, SRDH2_1940.11, SRDH2_1940.6, SRDH2_1940.7, SRDH2_1940.8, SRDH2_1940.12, SRDH2_1940.13	SBOV2_1930.1
OG0000972	SRDH2_6180.1, SRDH2_6180.2, SRDH2_6180.3	SBOV2_6050.1, SBOV2_6050.2, SBOV2_6050.3, SBOV2_6050.4, SBOV2_6050.5
OG0000974	SRDH2_56610.1	SBOV2_50060.4, SBOV2_50060.3, SBOV2_50060.1, SBOV2_50060.2
OG0000975	SRDH2_6010.1, SRDH2_5990.1, SRDH2_6030.1, SRDH2_6020.1, SRDH2_5980.1	SBOV2_5910.5, SBOV2_5910.1, SBOV2_5910.2, SBOV2_5910.3, SBOV2_5910.4
OG0000976	SRDH2_10640.1	SBOV2_10060.3
OG0000977	SRDH2_13910.10, SRDH2_13910.11, SRDH2_13910.12, SRDH2_13910.5, SRDH2_13910.9, SRDH2_13910.13, SRDH2_13910.7, SRDH2_13910.4, SRDH2_13910.6, SRDH2_13910.1, SRDH2_13910.14, SRDH2_13910.15, SRDH2_13910.17, SRDH2_13910.2, SRDH2_13910.3, SRDH2_13910.8, SRDH2_13910.16	SBOV2_11850.2, SBOV2_11850.1
OG0000978	SRDH2_21300.1	SBOV2_20320.1
OG0000979	SRDH2_75470.5, SRDH2_75470.7, SRDH2_75470.10, SRDH2_75470.8, SRDH2_75470.9, SRDH2_75470.4, SRDH2_75470.6, SRDH2_75470.1, SRDH2_75470.2, SRDH2_75470.3	SBOV2_72860.2, SBOV2_72860.1, SBOV2_72860.3
OG0000980	SRDH2_53980.2, SRDH2_53980.5, SRDH2_53980.6, SRDH2_53980.9, SRDH2_53980.7, SRDH2_53980.8, SRDH2_53980.1, SRDH2_53980.4, SRDH2_53980.3	SBOV2_53490.1, SBOV2_53490.2, SBOV2_53490.3
OG0000982	SRDH2_68000.1, SRDH2_68000.2, SRDH2_68000.3, SRDH2_68000.4	SBOV2_63840.4, SBOV2_63840.1, SBOV2_63840.3, SBOV2_63840.2
OG0000983	SRDH2_16110.1, SRDH2_16110.6, SRDH2_16110.7, SRDH2_16110.5, SRDH2_16110.3, SRDH2_16110.4, SRDH2_16110.2	SBOV2_15220.1
OG0000984	SRDH2_32420.1	SBOV2_32840.4, SBOV2_32840.6, SBOV2_32840.5, SBOV2_32840.3, SBOV2_32840.1, SBOV2_32840.2
OG0000985	SRDH2_16620.1	SBOV2_15730.2, SBOV2_15730.3, SBOV2_15730.9, SBOV2_15730.1, SBOV2_15730.10, SBOV2_15730.4, SBOV2_15730.5, SBOV2_15730.6, SBOV2_15730.7, SBOV2_15730.8
OG0000986	SRDH2_72850.1	SBOV2_72030.5, SBOV2_72030.2, SBOV2_72030.3, SBOV2_72030.1, SBOV2_72030.4
OG0000987	SRDH2_85670.1	SBOV2_82510.1, SBOV2_82510.2, SBOV2_82510.3, SBOV2_82510.4
OG0000988	SRDH2_56970.1, SRDH2_56970.2, SRDH2_56980.1	SBOV2_56170.1, SBOV2_56170.2, SBOV2_56170.4, SBOV2_56170.3, SBOV2_56170.7, SBOV2_56170.8, SBOV2_56170.5, SBOV2_56170.6, SBOV2_56160.1
OG0000989	SRDH2_52370.4, SRDH2_52370.6, SRDH2_52370.7, SRDH2_52370.5, SRDH2_52370.3, SRDH2_52370.9, SRDH2_52370.1, SRDH2_52370.2, SRDH2_52370.8	SBOV2_54140.3, SBOV2_54140.1, SBOV2_54140.2
OG0000990	SRDH2_4810.12, SRDH2_4810.13, SRDH2_4810.7, SRDH2_4810.10, SRDH2_4810.9, SRDH2_4810.11, SRDH2_4810.8, SRDH2_4810.5, SRDH2_4810.6, SRDH2_4810.1, SRDH2_4810.2, SRDH2_4810.3, SRDH2_4810.4	SBOV2_4760.1
OG0000991	SRDH2_60450.1	SBOV2_58340.15, SBOV2_58340.11, SBOV2_58340.10, SBOV2_58340.3, SBOV2_58340.8, SBOV2_58340.16, SBOV2_58340.9, SBOV2_58340.2, SBOV2_58340.17, SBOV2_58340.1, SBOV2_58340.6, SBOV2_58340.12, SBOV2_58340.13, SBOV2_58340.4, SBOV2_58340.14, SBOV2_58340.5, SBOV2_58340.7
OG0000992	SRDH2_44520.4, SRDH2_44520.6, SRDH2_44520.5, SRDH2_44520.7, SRDH2_44520.2, SRDH2_44520.1, SRDH2_44520.3	SBOV2_43520.1
OG0000993	SRDH2_80080.1	SBOV2_77160.2, SBOV2_77160.3, SBOV2_77160.1
OG0000994	SRDH2_35840.1, SRDH2_35840.2	SBOV2_33740.2, SBOV2_33740.3, SBOV2_33740.4, SBOV2_33740.1, SBOV2_33740.9, SBOV2_33740.8, SBOV2_33740.5, SBOV2_33740.6, SBOV2_33740.7
OG0000995	SRDH2_82470.1	SBOV2_79480.1, SBOV2_79480.2, SBOV2_79480.4
OG0000996	SRDH2_68120.2, SRDH2_68120.3, SRDH2_68120.4, SRDH2_68120.5, SRDH2_68120.6, SRDH2_68120.9, SRDH2_68120.7, SRDH2_68120.1, SRDH2_68120.8	SBOV2_63980.1, SBOV2_63980.2, SBOV2_63980.3, SBOV2_63980.4, SBOV2_63980.5
OG0000997	SRDH2_91650.1	SBOV2_89340.10, SBOV2_89340.7, SBOV2_89340.8, SBOV2_89340.9, SBOV2_89340.1, SBOV2_89340.2, SBOV2_89340.3, SBOV2_89340.4, SBOV2_89340.5, SBOV2_89340.6
OG0000998	SRDH2_56420.1, SRDH2_56420.10, SRDH2_56420.11, SRDH2_56420.2, SRDH2_56420.3, SRDH2_56420.8, SRDH2_56420.9, SRDH2_56420.5, SRDH2_56420.7, SRDH2_56420.4, SRDH2_56420.12, SRDH2_56420.13, SRDH2_56420.6	SBOV2_55040.1
OG0000999	SRDH2_31730.5, SRDH2_31730.8, SRDH2_31730.4, SRDH2_31730.6, SRDH2_31730.7, SRDH2_31730.9, SRDH2_31730.1, SRDH2_31730.2, SRDH2_31730.3	SBOV2_29820.1, SBOV2_29820.2, SBOV2_29820.3, SBOV2_29820.5, SBOV2_29820.4
OG0001000	SRDH2_7160.2, SRDH2_7160.3, SRDH2_7160.5, SRDH2_7160.4, SRDH2_7160.1	SBOV2_7000.2, SBOV2_7000.1
OG0001003	SRDH2_36370.1, SRDH2_36370.2, SRDH2_102150.2, SRDH2_102150.4, SRDH2_102150.5, SRDH2_102150.1, SRDH2_102150.3	SBOV2_35430.1
OG0001004	SRDH2_16240.1	SBOV2_15340.1, SBOV2_15340.11, SBOV2_15340.12, SBOV2_15340.13, SBOV2_15340.2, SBOV2_15340.3, SBOV2_15340.4, SBOV2_15340.5, SBOV2_15340.6, SBOV2_15340.7, SBOV2_15340.8, SBOV2_15340.9, SBOV2_15340.10
OG0001005	SRDH2_4680.1, SRDH2_4680.2, SRDH2_4680.3, SRDH2_4680.4, SRDH2_4680.5, SRDH2_4680.6	SBOV2_4660.1, SBOV2_4660.2, SBOV2_4660.3, SBOV2_4660.4, SBOV2_4660.5, SBOV2_4660.6
OG0001006	SRDH2_96500.1, SRDH2_96510.1, SRDH2_83670.1, SRDH2_83680.1, SRDH2_83660.1	SBOV2_80680.1
OG0001007	SRDH2_61050.1, SRDH2_61060.1	SBOV2_58980.1, SBOV2_59000.1
OG0001008	SRDH2_61030.1, SRDH2_61030.2	SBOV2_58970.1
OG0001009	SRDH2_90810.1	SBOV2_87130.3, SBOV2_87130.4, SBOV2_87130.1, SBOV2_87130.2
OG0001010	SRDH2_61850.1, SRDH2_61850.2	SBOV2_59860.4, SBOV2_59860.5, SBOV2_59860.6, SBOV2_59860.2, SBOV2_59860.3, SBOV2_59860.1, SBOV2_59860.7
OG0001012	SRDH2_5230.3, SRDH2_5230.4, SRDH2_5230.6, SRDH2_5230.7, SRDH2_5230.5, SRDH2_5230.8, SRDH2_5230.1, SRDH2_5230.2	SBOV2_5140.2, SBOV2_5140.3, SBOV2_5140.4, SBOV2_5140.5, SBOV2_5140.7, SBOV2_5140.1, SBOV2_5140.6
OG0001013	SRDH2_12990.1	SBOV2_13510.2, SBOV2_13510.3, SBOV2_13510.4, SBOV2_13510.1
OG0001014	SRDH2_4110.1, SRDH2_4110.2	SBOV2_4070.1
OG0001015	SRDH2_38530.1, SRDH2_38530.2	SBOV2_29360.2, SBOV2_29360.3, SBOV2_29360.4, SBOV2_29360.1
OG0001016	SRDH2_37310.1, SRDH2_37310.5, SRDH2_37310.7, SRDH2_37310.8, SRDH2_37310.4, SRDH2_37310.6, SRDH2_37310.3, SRDH2_37310.10, SRDH2_37310.2, SRDH2_37310.11, SRDH2_37310.9	SBOV2_30010.1, SBOV2_30010.2
OG0001017	SRDH2_16090.1, SRDH2_16090.2, SRDH2_16090.3, SRDH2_16090.4, SRDH2_16090.5	SBOV2_15200.1, SBOV2_15200.2, SBOV2_15200.3
OG0001018	SRDH2_30100.1, SRDH2_30100.2, SRDH2_30100.3, SRDH2_30100.4	SBOV2_37900.3, SBOV2_37900.1, SBOV2_37900.2
OG0001019	SRDH2_42510.1, SRDH2_42510.2, SRDH2_42510.3, SRDH2_42510.4, SRDH2_42510.5, SRDH2_42510.6, SRDH2_42510.7, SRDH2_42510.9, SRDH2_42510.8	SBOV2_25690.1
OG0001020	SRDH2_11240.10, SRDH2_11240.9, SRDH2_11240.8, SRDH2_11240.3, SRDH2_11240.6, SRDH2_11240.2, SRDH2_11240.1, SRDH2_11240.7, SRDH2_11240.5, SRDH2_11240.4	SBOV2_10640.1, SBOV2_10640.2, SBOV2_10640.3
OG0001021	SRDH2_29850.1	SBOV2_38130.2, SBOV2_38130.4, SBOV2_38130.5, SBOV2_38130.3, SBOV2_38130.1
OG0001022	SRDH2_21470.1, SRDH2_21470.5, SRDH2_21470.2, SRDH2_21470.3, SRDH2_21470.4	SBOV2_20480.3, SBOV2_20480.2, SBOV2_20480.1
OG0001023	SRDH2_64620.1, SRDH2_64620.3, SRDH2_64620.2	SBOV2_62660.1
OG0001024	SRDH2_80190.1, SRDH2_80200.1, SRDH2_80210.1, SRDH2_80210.2	SBOV2_77300.1, SBOV2_77300.3, SBOV2_77300.5, SBOV2_77300.6, SBOV2_77300.2, SBOV2_77300.4, SBOV2_77300.7, SBOV2_77300.8
OG0001025	SRDH2_91250.2, SRDH2_91250.3, SRDH2_91250.1	SBOV2_87560.1, SBOV2_87560.2, SBOV2_87560.3
OG0001026	SRDH2_50380.1	SBOV2_48960.1
OG0001027	SRDH2_950.1	SBOV2_1010.1, SBOV2_1010.3, SBOV2_1010.4, SBOV2_1010.5, SBOV2_1010.2
OG0001028	SRDH2_56670.1	SBOV2_49990.3, SBOV2_49990.2, SBOV2_49990.1
OG0001029	SRDH2_50580.3, SRDH2_50580.4, SRDH2_50580.1, SRDH2_50580.5, SRDH2_50580.6, SRDH2_50580.2	SBOV2_49160.1, SBOV2_49160.2, SBOV2_49160.3, SBOV2_49160.4
OG0001031	SRDH2_72440.1	SBOV2_69950.1
OG0001032	SRDH2_68150.1, SRDH2_68150.2, SRDH2_68150.3, SRDH2_68150.4, SRDH2_68150.5, SRDH2_68150.6, SRDH2_68150.7	SBOV2_64010.1
OG0001034	SRDH2_54960.1, SRDH2_54960.2, SRDH2_54970.1	SBOV2_51550.1, SBOV2_51560.1, SBOV2_51560.2, SBOV2_51560.3
OG0001035	SRDH2_55590.1, SRDH2_55570.1, SRDH2_55610.1	SBOV2_51010.1
OG0001036	SRDH2_17920.10, SRDH2_17920.13, SRDH2_17920.14, SRDH2_17920.11, SRDH2_17920.4, SRDH2_17920.6, SRDH2_17920.3, SRDH2_17920.5, SRDH2_17920.9, SRDH2_17920.1, SRDH2_17920.7, SRDH2_17920.8, SRDH2_17920.12, SRDH2_17920.2	SBOV2_16940.1, SBOV2_16940.2, SBOV2_16940.3
OG0001037	SRDH2_21490.1, SRDH2_21490.2, SRDH2_21490.3	SBOV2_20510.3, SBOV2_20510.1, SBOV2_20510.2
OG0001038	SRDH2_1620.1	SBOV2_1590.3, SBOV2_1590.1, SBOV2_1590.2, SBOV2_1590.4
OG0001039	SRDH2_27750.1, SRDH2_27750.2, SRDH2_27750.6, SRDH2_27750.3, SRDH2_27750.4, SRDH2_27750.5	SBOV2_40240.1, SBOV2_40240.2
OG0001040	SRDH2_84000.1	SBOV2_80980.11, SBOV2_80980.6, SBOV2_80980.1, SBOV2_80980.5, SBOV2_80980.3, SBOV2_80980.2, SBOV2_80980.4, SBOV2_80980.8, SBOV2_80980.10, SBOV2_80980.9, SBOV2_80980.7
OG0001042	SRDH2_13800.1	SBOV2_11720.1
OG0001043	SRDH2_49150.1, SRDH2_49150.3, SRDH2_49150.6, SRDH2_49150.5, SRDH2_49150.2, SRDH2_49150.4	SBOV2_47790.6, SBOV2_47790.1, SBOV2_47790.3, SBOV2_47790.2, SBOV2_47790.5, SBOV2_47790.4
OG0001044	SRDH2_68690.1, SRDH2_68690.2	SBOV2_66980.1, SBOV2_66980.2
OG0001045	SRDH2_69210.1	SBOV2_66530.7, SBOV2_66530.3, SBOV2_66530.6, SBOV2_66530.4, SBOV2_66530.5, SBOV2_66530.1, SBOV2_66530.2
OG0001046	SRDH2_52050.1, SRDH2_52050.3, SRDH2_52050.2	SBOV2_54450.8, SBOV2_54450.1, SBOV2_54450.2, SBOV2_54450.5, SBOV2_54450.4, SBOV2_54450.3, SBOV2_54450.6, SBOV2_54450.7
OG0001047	SRDH2_99120.1	SBOV2_94750.1
OG0001048	SRDH2_80130.10, SRDH2_80130.8, SRDH2_80130.9, SRDH2_80130.4, SRDH2_80130.3, SRDH2_80130.1, SRDH2_80130.7	SBOV2_77220.2, SBOV2_77220.3, SBOV2_77220.7, SBOV2_77220.6, SBOV2_77220.1, SBOV2_77220.8
