Orthogroup	s.mekongi	fasciola_hepatica
OG0000888	KAK4470877.1, KAK4470878.1	FhHiC23_g3221.t1
OG0000890	KAK4473603.1	FhHiC23_g13982.t1
OG0000891	KAK4473846.1	FhHiC23_g5460.t1
OG0000892	KAK4469720.1	FhHiC23_g1375.t1
OG0000894	KAK4468755.1	FhHiC23_g4413.t1
OG0000895	KAK4472632.1	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2
OG0000896	KAK4475362.1	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3
OG0000897	KAK4476316.1	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2
OG0000898	KAK4470204.1	FhHiC23_g2752.t1
OG0000899	KAK4474583.1	FhHiC23_g11385.t1
OG0000900	KAK4475641.1	FhHiC23_g12918.t1, FhHiC23_g13771.t1
OG0000901	KAK4471706.1	FhHiC23_g7940.t1, FhHiC23_g7940.t2
OG0000902	KAK4469829.1	FhHiC23_g393.t1
OG0000903	KAK4475319.1	FhHiC23_g10751.t1
OG0000904	KAK4475874.1	FhHiC23_g12793.t1, FhHiC23_g12793.t2
OG0000905	KAK4470893.1	FhHiC23_g1090.t1, FhHiC23_g1090.t2
OG0000906	KAK4471295.1	FhHiC23_g7197.t1, FhHiC23_g7197.t2
OG0000907	KAK4470463.1	FhHiC23_g2389.t5, FhHiC23_g2389.t1, FhHiC23_g2389.t2, FhHiC23_g2389.t3, FhHiC23_g2389.t4
OG0000910	KAK4476130.1	FhHiC23_g12643.t1, FhHiC23_g12643.t2
OG0000911	KAK4471170.1	FhHiC23_g6963.t1
OG0000912	KAK4475973.1	FhHiC23_g11622.t1
OG0000913	KAK4472644.1	FhHiC23_g10414.t5, FhHiC23_g10414.t4, FhHiC23_g10414.t1, FhHiC23_g10414.t2, FhHiC23_g10414.t3, FhHiC23_g8600.t1, FhHiC23_g8600.t2, FhHiC23_g4451.t1, FhHiC23_g4451.t2
OG0000914	KAK4473816.1	FhHiC23_g5784.t1, FhHiC23_g5784.t2
OG0000915	KAK4472417.1	FhHiC23_g6538.t1
OG0000916	KAK4473712.1	FhHiC23_g5150.t2, FhHiC23_g5150.t1
OG0000917	KAK4468177.1	FhHiC23_g3879.t3, FhHiC23_g3879.t1, FhHiC23_g3879.t2
OG0000918	KAK4472957.1	FhHiC23_g10495.t2, FhHiC23_g10495.t1
OG0000919	KAK4468191.1	FhHiC23_g3732.t1, FhHiC23_g3732.t2
OG0000920	KAK4467644.1	FhHiC23_g10067.t2, FhHiC23_g10067.t1, FhHiC23_g10067.t3
OG0000921	KAK4473570.1	FhHiC23_g14388.t2, FhHiC23_g14388.t1
OG0000923	KAK4467730.1	FhHiC23_g9137.t1
OG0000925	KAK4474818.1	FhHiC23_g11612.t1, FhHiC23_g11612.t2
OG0000926	KAK4472929.1	FhHiC23_g9543.t1, FhHiC23_g9543.t2
OG0000927	KAK4475055.1	FhHiC23_g15558.t1
OG0000928	KAK4474205.1	FhHiC23_g5523.t1, FhHiC23_g5523.t2
OG0000929	KAK4471201.1	FhHiC23_g7701.t1, FhHiC23_g7701.t2
OG0000930	KAK4473473.1	FhHiC23_g13968.t1
OG0000931	KAK4470219.1	FhHiC23_g824.t1, FhHiC23_g821.t1, FhHiC23_g821.t2
OG0000932	KAK4476123.1	FhHiC23_g12855.t2, FhHiC23_g12855.t1, FhHiC23_g12855.t3
OG0000933	KAK4473701.1	FhHiC23_g5801.t1
OG0000934	KAK4476302.1	FhHiC23_g11672.t2, FhHiC23_g11672.t1
OG0000935	KAK4471482.1	FhHiC23_g7749.t1
OG0000936	KAK4467944.1	FhHiC23_g9655.t1
OG0000937	KAK4469907.1	FhHiC23_g3159.t1
OG0000938	KAK4471997.1	FhHiC23_g6779.t1, FhHiC23_g6778.t1
OG0000939	KAK4468842.1	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3
OG0000940	KAK4475887.1	FhHiC23_g12811.t1
OG0000941	KAK4472578.1	FhHiC23_g6008.t1
OG0000942	KAK4474779.1	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1
OG0000943	KAK4472800.1	FhHiC23_g5257.t1
OG0000944	KAK4471183.1	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1
OG0000945	KAK4474600.1	FhHiC23_g11090.t1
OG0000946	KAK4476224.1	FhHiC23_g13160.t1
OG0000947	KAK4473782.1	FhHiC23_g6472.t1
OG0000948	KAK4468000.1	FhHiC23_g3632.t1
OG0000949	KAK4474797.1, KAK4474796.1	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1
OG0000950	KAK4469335.1	FhHiC23_g737.t1, FhHiC23_g737.t2
OG0000951	KAK4467725.1, KAK4467726.1	FhHiC23_g9154.t1
OG0000952	KAK4472413.1	FhHiC23_g4678.t1
OG0000953	KAK4471693.1	FhHiC23_g8364.t1
OG0000955	KAK4474643.1	FhHiC23_g11409.t1
OG0000958	KAK4475258.1	FhHiC23_g15702.t1
OG0000959	KAK4470133.1	FhHiC23_g2492.t1
OG0000960	KAK4475503.1	FhHiC23_g2806.t1
OG0000961	KAK4473786.1	FhHiC23_g4805.t1
OG0000962	KAK4470465.1	FhHiC23_g2574.t1
OG0000963	KAK4475528.1	FhHiC23_g13194.t1
OG0000964	KAK4473624.1	FhHiC23_g14820.t2, FhHiC23_g14820.t3, FhHiC23_g14820.t1
OG0000965	KAK4471425.1	FhHiC23_g7683.t1
OG0000966	KAK4474035.1	FhHiC23_g5905.t1
OG0000966	KAK4469278.1	FhHiC23_g520.t1
OG0000967	KAK4474115.1	FhHiC23_g6329.t1, FhHiC23_g6329.t2
OG0000968	KAK4475563.1, KAK4475566.1	FhHiC23_g13188.t1
OG0000969	KAK4468356.1, KAK4468355.1	FhHiC23_g1464.t1
OG0000969	KAK4468357.1	FhHiC23_g4027.t1, FhHiC23_g4027.t2
OG0000970	KAK4470288.1	FhHiC23_g2215.t1
OG0000971	KAK4475069.1	FhHiC23_g11579.t1
OG0000972	KAK4475919.1	FhHiC23_g10701.t1, FhHiC23_g10701.t2
OG0000973	KAK4473078.1, KAK4473073.1, KAK4473076.1, KAK4473077.1	FhHiC23_g10383.t1
OG0000974	KAK4469802.1	FhHiC23_g1435.t1
OG0000975	KAK4475902.1	FhHiC23_g13353.t1, FhHiC23_g13353.t2
OG0000976	KAK4476301.1	FhHiC23_g12582.t1, FhHiC23_g12582.t3
OG0000977	KAK4474438.1	FhHiC23_g11079.t1
OG0000978	KAK4475351.1	FhHiC23_g15261.t1, FhHiC23_g15261.t2
OG0000979	KAK4467504.1	FhHiC23_g2647.t1
OG0000980	KAK4469712.1	FhHiC23_g1379.t1
OG0000981	KAK4467302.1	FhHiC23_g5114.t1
OG0000982	KAK4471784.1	FhHiC23_g8063.t1, FhHiC23_g8063.t3, FhHiC23_g8063.t2
OG0000983	KAK4475242.1	FhHiC23_g14957.t1
OG0000984	KAK4474162.1	FhHiC23_g5012.t1, FhHiC23_g5012.t2
OG0000985	KAK4474794.1	FhHiC23_g11530.t1
OG0000986	KAK4470291.1	FhHiC23_g2637.t4, FhHiC23_g2637.t1, FhHiC23_g2637.t2, FhHiC23_g2637.t3
OG0000987	KAK4468141.1	FhHiC23_g3839.t2, FhHiC23_g3839.t1
OG0000988	KAK4469766.1	FhHiC23_g345.t2, FhHiC23_g345.t1
OG0000988	KAK4469767.1	FhHiC23_g344.t1, FhHiC23_g344.t2
OG0000989	KAK4469139.1	FhHiC23_g741.t1
OG0000990	KAK4475767.1, KAK4467314.1	FhHiC23_g13484.t1
OG0000991	KAK4472089.1	FhHiC23_g7930.t1, FhHiC23_g7930.t2, FhHiC23_g7930.t4, FhHiC23_g7930.t3, FhHiC23_g7930.t5
OG0000992	KAK4472362.1	FhHiC23_g13877.t1, FhHiC23_g13879.t1, FhHiC23_g13877.t2
OG0000993	KAK4470814.1	FhHiC23_g2786.t1
OG0000994	KAK4472179.1, KAK4472284.1	FhHiC23_g5011.t1, FhHiC23_g5011.t2
OG0000995	KAK4470067.1	FhHiC23_g3242.t1
OG0000996	KAK4471910.1	FhHiC23_g7052.t1, FhHiC23_g7052.t2
OG0000997	KAK4468590.1	FhHiC23_g16655.t1
OG0000998	KAK4469022.1	FhHiC23_g433.t1, FhHiC23_g433.t2
OG0000999	KAK4473903.1	FhHiC23_g6595.t1
OG0001000	KAK4476027.1	FhHiC23_g10629.t1, FhHiC23_g10629.t2
OG0001009	KAK4468774.1	FhHiC23_g15862.t1
OG0001010	KAK4471864.1	FhHiC23_g7211.t1
OG0001011	KAK4473707.1	FhHiC23_g4725.t1
OG0001012	KAK4475869.1	FhHiC23_g12412.t1
OG0001013	KAK4467552.1, KAK4467336.1, KAK4476126.1	FhHiC23_g11782.t1
OG0001014	KAK4475686.1	FhHiC23_g12609.t1, FhHiC23_g12609.t2, FhHiC23_g12609.t3
OG0001015	KAK4473951.1	FhHiC23_g14738.t1, FhHiC23_g14738.t2
OG0001016	KAK4473870.1	FhHiC23_g4790.t1
OG0001017	KAK4475241.1	FhHiC23_g15044.t1
OG0001018	KAK4472436.1	FhHiC23_g5842.t2, FhHiC23_g5842.t1, FhHiC23_g5841.t1
OG0001019	KAK4473453.1	FhHiC23_g14549.t1
OG0001020	KAK4474384.1	FhHiC23_g12011.t1
OG0001021	KAK4472739.1	FhHiC23_g5322.t2, FhHiC23_g5322.t3, FhHiC23_g5322.t4, FhHiC23_g5322.t1
OG0001022	KAK4475364.1	FhHiC23_g14964.t1, FhHiC23_g14964.t2
OG0001023	KAK4471384.1	FhHiC23_g6790.t1
OG0001024	KAK4470827.1	FhHiC23_g2930.t1
OG0001025	KAK4468679.1	FhHiC23_g4334.t1, FhHiC23_g4334.t2
OG0001026	KAK4469225.1	FhHiC23_g2021.t1
OG0001027	KAK4474354.1	FhHiC23_g13410.t2, FhHiC23_g13410.t1
OG0001028	KAK4469796.1	FhHiC23_g1259.t1
OG0001029	KAK4469208.1	FhHiC23_g3446.t1, FhHiC23_g1127.t1
OG0001030	KAK4472814.1	FhHiC23_g6107.t1, FhHiC23_g6107.t2
OG0001031	KAK4470821.1	FhHiC23_g1039.t1
OG0001032	KAK4471932.1	FhHiC23_g7054.t1
OG0001033	KAK4470208.1	FhHiC23_g2445.t2, FhHiC23_g2445.t1
OG0001034	KAK4469007.1, KAK4469010.1	FhHiC23_g2105.t1
OG0001036	KAK4474919.1	FhHiC23_g11613.t1
OG0001037	KAK4475368.1	FhHiC23_g15057.t1, FhHiC23_g15057.t3, FhHiC23_g15202.t1, FhHiC23_g15202.t2
OG0001038	KAK4474755.1	FhHiC23_g13415.t2, FhHiC23_g13415.t1, FhHiC23_g13415.t3
OG0001039	KAK4473079.1	FhHiC23_g9256.t1
OG0001040	KAK4468300.1	FhHiC23_g4241.t1, FhHiC23_g4241.t2
OG0001041	KAK4467710.1	FhHiC23_g9008.t1, FhHiC23_g9008.t2, FhHiC23_g9008.t3
OG0001042	KAK4474426.1	FhHiC23_g13435.t1, FhHiC23_g13436.t1
OG0001043	KAK4469557.1	FhHiC23_g993.t1
OG0001044	KAK4471581.1	FhHiC23_g7412.t1
OG0001045	KAK4471626.1	FhHiC23_g8415.t1
OG0001046	KAK4469663.1	FhHiC23_g81.t1
OG0001047	KAK4467816.1	FhHiC23_g9855.t1, FhHiC23_g9855.t2
OG0001048	KAK4470819.1	FhHiC23_g282.t1, FhHiC23_g282.t2
OG0001049	KAK4469820.1	FhHiC23_g1405.t4, FhHiC23_g1405.t1, FhHiC23_g1405.t2, FhHiC23_g1405.t3
OG0001050	KAK4471737.1	FhHiC23_g6799.t1
OG0001051	KAK4468758.1	FhHiC23_g16833.t1
OG0001052	KAK4469823.1	FhHiC23_g798.t1
OG0001053	KAK4471433.1	FhHiC23_g8610.t1
OG0001054	KAK4474485.1, KAK4474484.1	FhHiC23_g12139.t1
OG0001055	KAK4473796.1	FhHiC23_g6311.t1
OG0001056	KAK4471152.1	FhHiC23_g8018.t1, FhHiC23_g8018.t2
OG0001057	KAK4468746.1	FhHiC23_g16676.t1, FhHiC23_g16676.t2
OG0001058	KAK4471917.1, KAK4471918.1	FhHiC23_g7616.t1
OG0001059	KAK4474872.1	FhHiC23_g15619.t1, FhHiC23_g15619.t2
OG0001060	KAK4471301.1	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1
OG0001061	KAK4474418.1, KAK4467307.1, KAK4474419.1	FhHiC23_g10637.t1
OG0001068	KAK4470504.1	FhHiC23_g1453.t1
OG0001070	KAK4471390.1	FhHiC23_g10636.t1, FhHiC23_g7712.t1
OG0001070	KAK4470698.1	FhHiC23_g2817.t2, FhHiC23_g2817.t1
OG0001071	KAK4471223.1, KAK4471222.1	FhHiC23_g8249.t1, FhHiC23_g8249.t2
OG0001072	KAK4473457.1	FhHiC23_g14078.t1
OG0001073	KAK4474855.1	FhHiC23_g15794.t1
OG0001074	KAK4473040.1	FhHiC23_g9712.t1
OG0001075	KAK4471794.1	FhHiC23_g7537.t1
OG0001076	KAK4469186.1	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2
OG0001077	KAK4469392.1, KAK4469391.1	FhHiC23_g2069.t1
OG0001078	KAK4471959.1	FhHiC23_g7897.t2, FhHiC23_g7897.t1
OG0001079	KAK4470324.1	FhHiC23_g2694.t1, FhHiC23_g2693.t1
OG0001079	KAK4470554.1	FhHiC23_g1658.t1
OG0001080	KAK4470619.1	FhHiC23_g1174.t1
OG0001081	KAK4472280.1, KAK4472281.1	FhHiC23_g5306.t1
OG0001082	KAK4469312.1	FhHiC23_g2343.t1
OG0001083	KAK4467695.1	FhHiC23_g9161.t1, FhHiC23_g9161.t2
OG0001084	KAK4475334.1	FhHiC23_g15642.t1
OG0001085	KAK4467681.1	FhHiC23_g9501.t1
OG0001086	KAK4470175.1	FhHiC23_g3370.t1
OG0001087	KAK4469641.1	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1
OG0001087	KAK4474021.1	FhHiC23_g6106.t1
OG0001088	KAK4473163.1	FhHiC23_g10196.t1, FhHiC23_g10197.t1
OG0001089	KAK4471220.1	FhHiC23_g7786.t1
OG0001090	KAK4467837.1	FhHiC23_g9487.t1
OG0001091	KAK4469323.1	FhHiC23_g1119.t1
OG0001092	KAK4470091.1	FhHiC23_g2498.t1, FhHiC23_g2498.t2
OG0001093	KAK4468335.1	FhHiC23_g4232.t1
OG0001094	KAK4473987.1	FhHiC23_g14498.t1, FhHiC23_g14498.t2
OG0001095	KAK4469671.1	FhHiC23_g2076.t1
OG0001096	KAK4475079.1	FhHiC23_g11191.t1
OG0001097	KAK4471387.1	FhHiC23_g8335.t1, FhHiC23_g8335.t2, FhHiC23_g15754.t1
OG0001098	KAK4472593.1	FhHiC23_g5515.t2, FhHiC23_g5515.t1
OG0001099	KAK4468772.1	FhHiC23_g4375.t1, FhHiC23_g4375.t2, FhHiC23_g4375.t3
OG0001099	KAK4468783.1	FhHiC23_g4376.t2, FhHiC23_g4376.t1
OG0001100	KAK4471534.1	FhHiC23_g8517.t1, FhHiC23_g8517.t2
OG0001101	KAK4469623.1	FhHiC23_g1166.t1
OG0001102	KAK4471719.1	FhHiC23_g8118.t1, FhHiC23_g8119.t1
OG0001103	KAK4467708.1	FhHiC23_g9426.t1
OG0001104	KAK4471723.1	FhHiC23_g7807.t1
OG0001105	KAK4472587.1	FhHiC23_g5722.t1
OG0001106	KAK4471497.1	FhHiC23_g8470.t1, FhHiC23_g8469.t1
OG0001107	KAK4469144.1, KAK4469142.1	FhHiC23_g2353.t1
OG0001108	KAK4472830.1	FhHiC23_g5315.t1, FhHiC23_g5315.t2
OG0001110	KAK4475672.1	FhHiC23_g12675.t1, FhHiC23_g12675.t3, FhHiC23_g12675.t2
OG0001111	KAK4469284.1	FhHiC23_g704.t1, FhHiC23_g704.t2
OG0001112	KAK4467791.1, KAK4467789.1, KAK4467788.1	FhHiC23_g9029.t1, FhHiC23_g9029.t2
OG0001113	KAK4476086.1, KAK4476087.1	FhHiC23_g13268.t1, FhHiC23_g13268.t2
OG0001114	KAK4476057.1	FhHiC23_g12455.t1, FhHiC23_g12454.t1
OG0001115	KAK4467699.1	FhHiC23_g9413.t1
OG0001116	KAK4468369.1	FhHiC23_g3848.t1, FhHiC23_g3848.t2
OG0001117	KAK4475302.1	FhHiC23_g15056.t1
OG0001118	KAK4470222.1	FhHiC23_g858.t1
OG0001119	KAK4471218.1	FhHiC23_g7613.t1
OG0001120	KAK4472630.1, KAK4472629.1	FhHiC23_g6514.t1, FhHiC23_g6513.t1
OG0001121	KAK4467341.1	FhHiC23_g1269.t1
OG0001122	KAK4470945.1	FhHiC23_g1505.t1
OG0001123	KAK4468721.1	FhHiC23_g16262.t1
OG0001124	KAK4473908.1	FhHiC23_g4816.t1, FhHiC23_g4816.t2
OG0001125	KAK4475252.1, KAK4475264.1	FhHiC23_g15067.t1, FhHiC23_g15283.t1
OG0001126	KAK4476304.1	FhHiC23_g15149.t1
OG0001127	KAK4473667.1	FhHiC23_g5403.t3
OG0001129	KAK4473879.1, KAK4473880.1	FhHiC23_g5851.t1, FhHiC23_g5851.t2
OG0001130	KAK4467488.1, KAK4467490.1, KAK4474435.1	FhHiC23_g11767.t1
OG0001131	KAK4470638.1, KAK4470637.1	FhHiC23_g1578.t1, FhHiC23_g904.t1
OG0001132	KAK4468209.1	FhHiC23_g4204.t1
OG0001133	KAK4474780.1	FhHiC23_g12862.t1, FhHiC23_g12866.t1
OG0001134	KAK4471240.1	FhHiC23_g7886.t2, FhHiC23_g7886.t1
OG0001135	KAK4472564.1	FhHiC23_g5147.t1, FhHiC23_g5147.t3, FhHiC23_g5147.t2, FhHiC23_g13641.t1
OG0001136	KAK4473309.1	FhHiC23_g9049.t1, FhHiC23_g9049.t3, FhHiC23_g9049.t2, FhHiC23_g9048.t1
OG0001137	KAK4469354.1	FhHiC23_g1813.t1, FhHiC23_g4293.t1
OG0001138	KAK4474983.1	FhHiC23_g15520.t1, FhHiC23_g15520.t2
OG0001139	KAK4473852.1	FhHiC23_g5718.t1
OG0001140	KAK4469259.1	FhHiC23_g241.t1, FhHiC23_g241.t2
OG0001141	KAK4470986.1	FhHiC23_g1076.t1, FhHiC23_g1076.t2, FhHiC23_g1075.t1
OG0001142	KAK4474696.1, KAK4474694.1	FhHiC23_g11870.t1
OG0001143	KAK4471679.1	FhHiC23_g7415.t1
OG0001144	KAK4474042.1	FhHiC23_g5155.t1
OG0001145	KAK4471255.1	FhHiC23_g7658.t3
OG0001146	KAK4475726.1	FhHiC23_g13278.t1
OG0001147	KAK4474241.1	FhHiC23_g12808.t1
OG0001148	KAK4470683.1	FhHiC23_g381.t1
OG0001149	KAK4470825.1	FhHiC23_g1224.t1, FhHiC23_g1224.t2
OG0001150	KAK4469715.1	FhHiC23_g1835.t2, FhHiC23_g1835.t1
OG0001151	KAK4468560.1	FhHiC23_g16662.t1, FhHiC23_g16661.t1
OG0001152	KAK4467419.1, KAK4474691.1	FhHiC23_g10976.t1
OG0001153	KAK4471271.1	FhHiC23_g6756.t1
OG0001155	KAK4469552.1	FhHiC23_g990.t1
OG0001156	KAK4467253.1, KAK4470111.1, KAK4475961.1	FhHiC23_g13609.t1
OG0001157	KAK4471675.1	FhHiC23_g7566.t1, FhHiC23_g7566.t2
OG0001158	KAK4473471.1	FhHiC23_g13969.t1, FhHiC23_g13969.t2, FhHiC23_g13969.t3
OG0001159	KAK4468670.1	FhHiC23_g15933.t1
OG0001160	KAK4475388.1	FhHiC23_g15448.t1
OG0001161	KAK4471498.1, KAK4471267.1, KAK4471268.1	FhHiC23_g8332.t1, FhHiC23_g8332.t2
OG0001162	KAK4474084.1	FhHiC23_g14256.t1
OG0001163	KAK4470411.1	FhHiC23_g2468.t1, FhHiC23_g2468.t2
OG0001164	KAK4468217.1	FhHiC23_g3712.t1
OG0001165	KAK4467564.1, KAK4467567.1	FhHiC23_g7780.t1, FhHiC23_g7779.t1
OG0001166	KAK4474416.1	FhHiC23_g10639.t2, FhHiC23_g10639.t1
OG0001167	KAK4474085.1	FhHiC23_g8877.t2, FhHiC23_g8877.t1
OG0001168	KAK4467300.1, KAK4474652.1	FhHiC23_g10761.t1
OG0001169	KAK4469395.1	FhHiC23_g1122.t1
OG0001170	KAK4474599.1	FhHiC23_g11438.t1, FhHiC23_g11438.t2
OG0001171	KAK4475235.1	FhHiC23_g15069.t1, FhHiC23_g15069.t2
OG0001172	KAK4471888.1	FhHiC23_g4510.t1, FhHiC23_g4510.t2
OG0001173	KAK4474895.1	FhHiC23_g12817.t1, FhHiC23_g12817.t2
OG0001174	KAK4474366.1	FhHiC23_g12471.t1, FhHiC23_g12471.t2
OG0001176	KAK4470589.1	FhHiC23_g2663.t2, FhHiC23_g2663.t1, FhHiC23_g2663.t3
OG0001177	KAK4473187.1	FhHiC23_g9740.t1
OG0001178	KAK4475543.1, KAK4475541.1	FhHiC23_g13729.t1
OG0001179	KAK4467736.1, KAK4467737.1	FhHiC23_g9508.t1, FhHiC23_g9508.t2
OG0001180	KAK4476155.1	FhHiC23_g13376.t1
OG0001181	KAK4471120.1	FhHiC23_g7599.t1
OG0001182	KAK4474056.1	FhHiC23_g13909.t1
OG0001183	KAK4474411.1	FhHiC23_g10990.t1
OG0001184	KAK4475631.1, KAK4476071.1	FhHiC23_g12651.t1
OG0001185	KAK4476220.1	FhHiC23_g13085.t1, FhHiC23_g13087.t2, FhHiC23_g13087.t1, FhHiC23_g4259.t1, FhHiC23_g4260.t1
OG0001186	KAK4475791.1, KAK4467365.1	FhHiC23_g13509.t1, FhHiC23_g13509.t2
OG0001187	KAK4472654.1	FhHiC23_g368.t1, FhHiC23_g5631.t1, FhHiC23_g5631.t2
OG0001188	KAK4476107.1	FhHiC23_g13489.t2, FhHiC23_g13489.t1, FhHiC23_g13489.t3
OG0001189	KAK4474589.1	FhHiC23_g10719.t1
OG0001190	KAK4474039.1	FhHiC23_g6596.t1
OG0001191	KAK4476037.1	FhHiC23_g10688.t1
OG0001192	KAK4473508.1	FhHiC23_g14600.t1
OG0001193	KAK4468256.1, KAK4468257.1	FhHiC23_g3600.t1, FhHiC23_g3599.t1
OG0001194	KAK4476093.1	FhHiC23_g13585.t1, FhHiC23_g13585.t3, FhHiC23_g13585.t2
OG0001197	KAK4475434.1	FhHiC23_g15701.t1
OG0001202	KAK4474738.1	FhHiC23_g11630.t1, FhHiC23_g11630.t2
OG0001203	KAK4474544.1	FhHiC23_g12753.t1
OG0001203	KAK4468110.1	FhHiC23_g4036.t1
OG0001204	KAK4471653.1	FhHiC23_g7557.t1, FhHiC23_g7557.t2
OG0001205	KAK4474018.1, KAK4474017.1	FhHiC23_g5338.t1
OG0001207	KAK4475278.1	FhHiC23_g15577.t1, FhHiC23_g15577.t2
OG0001208	KAK4473921.1, KAK4473920.1	FhHiC23_g14632.t2, FhHiC23_g14632.t1
OG0001210	KAK4467724.1	FhHiC23_g10098.t1
OG0001211	KAK4474925.1	FhHiC23_g10684.t1
OG0001212	KAK4473153.1	FhHiC23_g6150.t1
OG0001213	KAK4476051.1	FhHiC23_g11965.t1
OG0001214	KAK4472906.1	FhHiC23_g6213.t1, FhHiC23_g6213.t2
OG0001215	KAK4471303.1	FhHiC23_g8433.t1
OG0001216	KAK4472954.1	FhHiC23_g10346.t1
OG0001217	KAK4470315.1	FhHiC23_g435.t1
OG0001218	KAK4474639.1	FhHiC23_g11418.t1
OG0001219	KAK4476080.1	FhHiC23_g12821.t1, FhHiC23_g12821.t2
OG0001220	KAK4467635.1	FhHiC23_g10412.t1
OG0001221	KAK4471716.1	FhHiC23_g7442.t1
OG0001222	KAK4468493.1	FhHiC23_g16560.t1
OG0001223	KAK4472509.1	FhHiC23_g4936.t1, FhHiC23_g4935.t1, FhHiC23_g4935.t2
OG0001224	KAK4468309.1	FhHiC23_g4210.t1
OG0001225	KAK4472086.1	FhHiC23_g7081.t1
OG0001226	KAK4469416.1	FhHiC23_g206.t1
OG0001227	KAK4471789.1	FhHiC23_g7001.t1
OG0001228	KAK4472331.1	FhHiC23_g14129.t1, FhHiC23_g14102.t1, FhHiC23_g14100.t1, FhHiC23_g14134.t1, FhHiC23_g14108.t1, FhHiC23_g14109.t1, FhHiC23_g14115.t1, FhHiC23_g14126.t1, FhHiC23_g14131.t1, FhHiC23_g14123.t1, FhHiC23_g14127.t1, FhHiC23_g14132.t1, FhHiC23_g4499.t1, FhHiC23_g14125.t1, FhHiC23_g4498.t1, FhHiC23_g14122.t1, FhHiC23_g14124.t1, FhHiC23_g14118.t1, FhHiC23_g14130.t1
OG0001229	KAK4472410.1	FhHiC23_g5603.t1, FhHiC23_g5603.t2
OG0001230	KAK4474860.1	FhHiC23_g15009.t1
OG0001231	KAK4473724.1	FhHiC23_g5551.t1, FhHiC23_g5551.t2
OG0001232	KAK4468184.1	FhHiC23_g4104.t1
OG0001233	KAK4475904.1	FhHiC23_g13620.t1, FhHiC23_g13619.t1, FhHiC23_g13620.t2
OG0001234	KAK4472481.1, KAK4472579.1, KAK4472471.1	FhHiC23_g14590.t1
OG0001235	KAK4472813.1, KAK4472812.1	FhHiC23_g6098.t1, FhHiC23_g6102.t1, FhHiC23_g6102.t2
OG0001236	KAK4471432.1	FhHiC23_g7637.t2, FhHiC23_g7637.t1
OG0001237	KAK4472962.1	FhHiC23_g10491.t1
OG0001238	KAK4468030.1	FhHiC23_g3520.t1
OG0001239	KAK4474642.1	FhHiC23_g11410.t1, FhHiC23_g11410.t2
OG0001240	KAK4469937.1	FhHiC23_g178.t1, FhHiC23_g178.t2
OG0001241	KAK4472005.1	FhHiC23_g8237.t1
OG0001241	KAK4470468.1	FhHiC23_g3364.t1
OG0001242	KAK4469975.1	FhHiC23_g2164.t1, FhHiC23_g415.t1, FhHiC23_g11.t1, FhHiC23_g417.t1, FhHiC23_g416.t1
OG0001243	KAK4476064.1	FhHiC23_g12197.t1, FhHiC23_g12197.t2, FhHiC23_g12197.t3
OG0001244	KAK4468578.1	FhHiC23_g4409.t1, FhHiC23_g8199.t1
OG0001245	KAK4474456.1, KAK4474453.1, KAK4474454.1	FhHiC23_g11312.t1, FhHiC23_g11312.t4, FhHiC23_g11312.t3, FhHiC23_g11312.t2
OG0001246	KAK4472369.1	FhHiC23_g6259.t1, FhHiC23_g6258.t1
OG0001247	KAK4473847.1	FhHiC23_g5459.t1
OG0001248	KAK4467435.1, KAK4475814.1	FhHiC23_g13056.t1, FhHiC23_g13057.t1
OG0001249	KAK4474050.1	FhHiC23_g5900.t1
OG0001250	KAK4475174.1, KAK4475185.1	FhHiC23_g11255.t1
OG0001251	KAK4470393.1	FhHiC23_g378.t1, FhHiC23_g378.t2, FhHiC23_g378.t3
OG0001252	KAK4469959.1	FhHiC23_g1624.t1, FhHiC23_g1624.t2
OG0001253	KAK4469853.1	FhHiC23_g850.t1, FhHiC23_g850.t2
OG0001254	KAK4472504.1, KAK4472506.1	FhHiC23_g5448.t2, FhHiC23_g5448.t1, FhHiC23_g5448.t3, FhHiC23_g5448.t4
OG0001256	KAK4469560.1	FhHiC23_g3312.t1
OG0001258	KAK4470450.1	FhHiC23_g774.t1
OG0001259	KAK4472020.1	FhHiC23_g7609.t2, FhHiC23_g4602.t3, FhHiC23_g4602.t1, FhHiC23_g4602.t2, FhHiC23_g7609.t1, FhHiC23_g4602.t4
OG0001260	KAK4474629.1	FhHiC23_g12509.t1, FhHiC23_g12509.t2, FhHiC23_g12508.t2, FhHiC23_g12508.t1
OG0001261	KAK4473580.1	FhHiC23_g14561.t1
