Orthogroup	s.mekongi	schistosoma_guineensis
OG0000952	KAK4472413.1	SGUI1_29260.1
OG0000953	KAK4471693.1	SGUI1_63110.2, SGUI1_63110.3, SGUI1_63110.1
OG0000954	KAK4470079.1	SGUI1_81070.1
OG0000955	KAK4474643.1	SGUI1_11640.1, SGUI1_11640.2
OG0000958	KAK4475258.1	SGUI1_12990.1
OG0000959	KAK4470133.1	SGUI1_70240.1, SGUI1_70240.2, SGUI1_70240.3, SGUI1_70240.4, SGUI1_70240.5, SGUI1_70240.6, SGUI1_70240.7
OG0000960	KAK4475503.1	SGUI1_22290.1, SGUI1_22290.4, SGUI1_22290.3, SGUI1_22290.5, SGUI1_22290.2
OG0000961	KAK4473786.1	SGUI1_38760.1, SGUI1_38760.2
OG0000962	KAK4470465.1	SGUI1_74920.1
OG0000963	KAK4475528.1	SGUI1_2520.1
OG0000964	KAK4473624.1	SGUI1_40630.1
OG0000965	KAK4471425.1	SGUI1_63830.9, SGUI1_63830.7, SGUI1_63830.8, SGUI1_63830.4, SGUI1_63830.5, SGUI1_63830.6, SGUI1_63830.3, SGUI1_63830.1, SGUI1_63830.2
OG0000966	KAK4474035.1	SGUI1_36100.1, SGUI1_36100.2, SGUI1_36100.3, SGUI1_36100.4
OG0000966	KAK4469278.1	SGUI1_49100.1
OG0000967	KAK4474115.1	SGUI1_35250.1
OG0000968	KAK4475563.1, KAK4475566.1	SGUI1_2760.1, SGUI1_2780.1
OG0000969	KAK4468356.1, KAK4468355.1	SGUI1_81750.1
OG0000969	KAK4468357.1	SGUI1_81740.2, SGUI1_81740.4, SGUI1_81740.1, SGUI1_81740.3
OG0000970	KAK4470288.1	SGUI1_69920.1
OG0000971	KAK4475069.1	SGUI1_1930.1
OG0000973	KAK4473078.1	SGUI1_23750.1
OG0000973	KAK4473076.1, KAK4473077.1	SGUI1_23760.1, SGUI1_23770.1, SGUI1_23770.2, SGUI1_23770.3, SGUI1_23770.4, SGUI1_23770.5
OG0000974	KAK4469802.1	SGUI1_55770.4, SGUI1_55770.1, SGUI1_55770.2, SGUI1_55770.3
OG0000975	KAK4475902.1	SGUI1_5560.1, SGUI1_5570.1
OG0000976	KAK4476301.1	SGUI1_9520.1, SGUI1_9520.2
OG0000977	KAK4474438.1	SGUI1_11110.1
OG0000978	KAK4475351.1	SGUI1_19870.1
OG0000979	KAK4467504.1	SGUI1_73980.4, SGUI1_73980.3, SGUI1_73980.2, SGUI1_73980.1
OG0000980	KAK4469712.1	SGUI1_52200.4, SGUI1_52200.6, SGUI1_52200.2, SGUI1_52200.5, SGUI1_52200.3, SGUI1_52200.1
OG0000981	KAK4467302.1	SGUI1_40050.2, SGUI1_40050.6, SGUI1_40050.4, SGUI1_40050.5, SGUI1_40050.3, SGUI1_40050.1
OG0000982	KAK4471784.1	SGUI1_64770.5, SGUI1_64770.2, SGUI1_64770.3, SGUI1_64770.6, SGUI1_64770.7, SGUI1_64770.1, SGUI1_64770.4
OG0000983	KAK4475242.1	SGUI1_15280.1
OG0000984	KAK4474162.1	SGUI1_34650.2, SGUI1_34650.6, SGUI1_34650.3, SGUI1_34650.1, SGUI1_34650.4, SGUI1_34650.5
OG0000985	KAK4474794.1	SGUI1_15750.4, SGUI1_15750.5, SGUI1_15750.6, SGUI1_15750.1, SGUI1_15750.2, SGUI1_15750.3
OG0000986	KAK4470291.1	SGUI1_73070.2, SGUI1_73070.3, SGUI1_73070.4, SGUI1_73070.5, SGUI1_73070.1
OG0000987	KAK4468141.1	SGUI1_83820.1, SGUI1_83820.2, SGUI1_83820.3, SGUI1_83820.4, SGUI1_83820.5, SGUI1_83820.7, SGUI1_83820.8, SGUI1_83820.6
OG0000988	KAK4469766.1, KAK4469767.1	SGUI1_57380.1, SGUI1_57380.3, SGUI1_57380.2, SGUI1_57380.4
OG0000989	KAK4469139.1	SGUI1_51540.1
OG0000990	KAK4475767.1, KAK4467314.1	SGUI1_4520.1
OG0000991	KAK4472089.1	SGUI1_59170.1
OG0000992	KAK4472362.1	SGUI1_44280.1
OG0000993	KAK4470814.1	SGUI1_78560.2, SGUI1_78560.1, SGUI1_78560.3
OG0000994	KAK4472179.1, KAK4472284.1	SGUI1_33690.1, SGUI1_33690.2
OG0000995	KAK4470067.1	SGUI1_80930.1, SGUI1_80930.2, SGUI1_80930.3, SGUI1_80930.4
OG0000996	KAK4471910.1	SGUI1_64900.8, SGUI1_64900.5, SGUI1_64900.6, SGUI1_64900.7, SGUI1_64900.4, SGUI1_64900.3, SGUI1_64900.1, SGUI1_64900.2
OG0000997	KAK4468590.1	SGUI1_89190.6, SGUI1_89190.3, SGUI1_89190.1, SGUI1_89190.2, SGUI1_89190.4, SGUI1_89190.5, SGUI1_89190.7, SGUI1_89190.8, SGUI1_89190.9
OG0000998	KAK4469022.1	SGUI1_55980.1
OG0001003	KAK4474199.1	SGUI1_32470.1, SGUI1_32470.2
OG0001005	KAK4467346.1, KAK4475757.1	SGUI1_4460.1, SGUI1_4460.2, SGUI1_4460.3
OG0001006	KAK4468352.1, KAK4468353.1	SGUI1_81790.1
OG0001007	KAK4472027.1	SGUI1_59870.8, SGUI1_59870.9, SGUI1_59870.1, SGUI1_59870.3, SGUI1_59870.4, SGUI1_59870.7, SGUI1_59870.6, SGUI1_59870.2, SGUI1_59870.5
OG0001008	KAK4472028.1	SGUI1_59860.3, SGUI1_59860.2, SGUI1_59860.1
OG0001009	KAK4468774.1	SGUI1_88380.7, SGUI1_88380.5, SGUI1_88380.6, SGUI1_88380.2, SGUI1_88380.3, SGUI1_88380.1, SGUI1_88380.4
OG0001010	KAK4471864.1	SGUI1_60710.1, SGUI1_60710.2, SGUI1_60710.4, SGUI1_60710.5, SGUI1_60710.6, SGUI1_60710.3, SGUI1_60710.7
OG0001012	KAK4475869.1	SGUI1_4850.1
OG0001013	KAK4467552.1, KAK4467336.1, KAK4476126.1	SGUI1_13210.1
OG0001014	KAK4475686.1	SGUI1_3990.1, SGUI1_3990.2, SGUI1_3990.3, SGUI1_3990.5, SGUI1_3990.4
OG0001015	KAK4473951.1	SGUI1_38200.1, SGUI1_38220.1, SGUI1_38250.1
OG0001016	KAK4473870.1	SGUI1_37560.1
OG0001017	KAK4475241.1	SGUI1_15250.1
OG0001018	KAK4472436.1	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1, SGUI1_29470.4, SGUI1_29470.5
OG0001019	KAK4473453.1	SGUI1_42210.1
OG0001020	KAK4474384.1	SGUI1_10040.1
OG0001021	KAK4472739.1	SGUI1_29250.1
OG0001022	KAK4475364.1	SGUI1_19720.1
OG0001023	KAK4471384.1	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3
OG0001024	KAK4470827.1	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9
OG0001025	KAK4468679.1	SGUI1_88800.1
OG0001026	KAK4469225.1	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3
OG0001027	KAK4474354.1	SGUI1_960.1
OG0001028	KAK4469796.1	SGUI1_55870.2, SGUI1_55870.1, SGUI1_55870.3, SGUI1_55870.4
OG0001029	KAK4469208.1	SGUI1_49860.1, SGUI1_49860.2, SGUI1_49860.3, SGUI1_49860.4, SGUI1_49860.5
OG0001030	KAK4472814.1	SGUI1_28540.1
OG0001031	KAK4470821.1	SGUI1_70910.1
OG0001032	KAK4471932.1	SGUI1_64920.1, SGUI1_64920.2, SGUI1_64920.4, SGUI1_64920.3, SGUI1_64920.5, SGUI1_64920.6
OG0001033	KAK4470208.1	SGUI1_72390.1, SGUI1_72390.10, SGUI1_72390.11, SGUI1_72390.2, SGUI1_72390.5, SGUI1_72390.7, SGUI1_72390.8, SGUI1_72390.9, SGUI1_72390.3, SGUI1_72390.4, SGUI1_72390.6
OG0001034	KAK4469007.1, KAK4469010.1	SGUI1_54280.1, SGUI1_54290.1
OG0001036	KAK4474919.1	SGUI1_17050.1, SGUI1_16970.7
OG0001037	KAK4475368.1	SGUI1_19680.5, SGUI1_19680.2, SGUI1_19680.4, SGUI1_19680.6, SGUI1_19680.1, SGUI1_19680.3
OG0001038	KAK4474755.1	SGUI1_1530.1
OG0001039	KAK4473079.1	SGUI1_27080.1, SGUI1_27080.2, SGUI1_27080.3, SGUI1_27080.4, SGUI1_27080.5
OG0001040	KAK4468300.1	SGUI1_81480.1
OG0001041	KAK4467710.1	SGUI1_94590.3, SGUI1_94590.2, SGUI1_94590.1
OG0001042	KAK4474426.1	SGUI1_10980.1
OG0001043	KAK4469557.1	SGUI1_48390.2, SGUI1_48390.1, SGUI1_48390.3, SGUI1_48390.4
OG0001044	KAK4471581.1	SGUI1_67840.1, SGUI1_67840.8, SGUI1_67840.7, SGUI1_67840.4, SGUI1_67840.6, SGUI1_67840.2, SGUI1_67840.3, SGUI1_67840.5
OG0001045	KAK4471626.1	SGUI1_67360.4, SGUI1_67360.3, SGUI1_67360.1, SGUI1_67360.2
OG0001046	KAK4469663.1	SGUI1_51150.3, SGUI1_51150.1, SGUI1_51150.2, SGUI1_51150.5, SGUI1_51150.6, SGUI1_51150.4
OG0001047	KAK4467816.1	SGUI1_96080.1, SGUI1_96080.2, SGUI1_96080.3
OG0001048	KAK4470819.1	SGUI1_78640.1
OG0001049	KAK4469820.1	SGUI1_55490.1, SGUI1_55490.2
OG0001050	KAK4471737.1	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5
OG0001051	KAK4468758.1	SGUI1_88230.3, SGUI1_88230.1, SGUI1_88230.10, SGUI1_88230.11, SGUI1_88230.12, SGUI1_88230.2, SGUI1_88230.4, SGUI1_88230.5, SGUI1_88230.6, SGUI1_88230.7, SGUI1_88230.8, SGUI1_88230.9
OG0001052	KAK4469823.1	SGUI1_55460.1
OG0001053	KAK4471433.1	SGUI1_63900.1
OG0001054	KAK4474485.1, KAK4474484.1	SGUI1_10730.1
OG0001055	KAK4473796.1	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7
OG0001056	KAK4471152.1	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8, SGUI1_58320.3, SGUI1_58320.2
OG0001057	KAK4468746.1	SGUI1_88070.1, SGUI1_88070.2
OG0001058	KAK4471917.1, KAK4471918.1	SGUI1_61330.1
OG0001059	KAK4474872.1	SGUI1_16600.1
OG0001060	KAK4471301.1	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5
OG0001061	KAK4474418.1, KAK4467307.1, KAK4474419.1	SGUI1_10190.1
OG0001062	KAK4469297.1	SGUI1_48930.1, SGUI1_48930.6, SGUI1_48930.2, SGUI1_48930.3, SGUI1_48930.4, SGUI1_48930.5
OG0001064	KAK4469625.1	SGUI1_47740.1, SGUI1_47740.2, SGUI1_47740.3
OG0001065	KAK4472778.1	SGUI1_28770.1
OG0001065	KAK4472745.1	SGUI1_28780.1
OG0001065	KAK4472746.1	SGUI1_28790.1
OG0001066	KAK4476315.1	SGUI1_9320.1
OG0001068	KAK4470504.1	SGUI1_76300.1
OG0001070	KAK4471390.1	SGUI1_63540.1
OG0001070	KAK4470698.1	SGUI1_76740.1
OG0001071	KAK4471222.1	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2
OG0001072	KAK4473457.1	SGUI1_42250.2, SGUI1_42250.3, SGUI1_42250.1, SGUI1_42250.4, SGUI1_42250.5
OG0001073	KAK4474855.1	SGUI1_16430.1
OG0001074	KAK4473040.1	SGUI1_27250.1
OG0001075	KAK4471794.1	SGUI1_62320.1
OG0001076	KAK4469186.1	SGUI1_46350.1, SGUI1_46350.2, SGUI1_46350.3, SGUI1_46350.4
OG0001077	KAK4469392.1, KAK4469391.1	SGUI1_50230.1
OG0001078	KAK4471959.1	SGUI1_61700.1
OG0001079	KAK4470554.1	SGUI1_75780.1
OG0001080	KAK4470619.1	SGUI1_74120.2, SGUI1_74120.1, SGUI1_74120.3, SGUI1_74120.4
OG0001081	KAK4472281.1	SGUI1_33730.1, SGUI1_33730.2
OG0001082	KAK4469312.1	SGUI1_48700.1, SGUI1_48700.3, SGUI1_48700.2, SGUI1_48700.4
OG0001083	KAK4467695.1	SGUI1_94740.4, SGUI1_94740.3, SGUI1_94740.1, SGUI1_94740.2
OG0001084	KAK4475334.1	SGUI1_20020.1
OG0001085	KAK4467681.1	SGUI1_95660.1, SGUI1_95660.2
OG0001086	KAK4470175.1	SGUI1_72080.1
OG0001087	KAK4469641.1	SGUI1_51440.1
OG0001087	KAK4474021.1	SGUI1_36250.1
OG0001088	KAK4473163.1	SGUI1_24320.1, SGUI1_24320.3, SGUI1_24320.5, SGUI1_24320.2, SGUI1_24320.4
OG0001089	KAK4471220.1	SGUI1_65540.1
OG0001090	KAK4467837.1	SGUI1_96390.1, SGUI1_96390.2, SGUI1_96390.3, SGUI1_96390.4
OG0001091	KAK4469323.1	SGUI1_48590.1, SGUI1_48590.2
OG0001092	KAK4470091.1	SGUI1_70070.1, SGUI1_70070.4, SGUI1_70070.2, SGUI1_70070.3
OG0001093	KAK4468335.1	SGUI1_81940.2, SGUI1_81940.3, SGUI1_81940.1, SGUI1_81940.5, SGUI1_81940.4
OG0001094	KAK4473987.1	SGUI1_36550.1
OG0001095	KAK4469671.1	SGUI1_51080.1, SGUI1_51080.2, SGUI1_51080.3, SGUI1_51080.4
OG0001096	KAK4475079.1	SGUI1_19060.2, SGUI1_19060.4, SGUI1_19060.3, SGUI1_19060.7, SGUI1_19060.1, SGUI1_19060.8, SGUI1_19060.5, SGUI1_19060.6
OG0001097	KAK4471387.1	SGUI1_69680.1
OG0001098	KAK4472593.1	SGUI1_31710.6, SGUI1_31710.1, SGUI1_31710.2, SGUI1_31710.4, SGUI1_31710.5, SGUI1_31710.7, SGUI1_31710.3
OG0001099	KAK4468772.1	SGUI1_92720.1
OG0001099	KAK4468783.1	SGUI1_92710.1, SGUI1_92710.2
OG0001100	KAK4471534.1	SGUI1_68380.1, SGUI1_68380.2, SGUI1_68380.3
OG0001101	KAK4469623.1	SGUI1_45800.1
OG0001102	KAK4471719.1	SGUI1_62880.5
OG0001103	KAK4467708.1	SGUI1_94610.1, SGUI1_94610.2, SGUI1_94610.3, SGUI1_94610.4
OG0001104	KAK4471723.1	SGUI1_62850.6, SGUI1_62850.7, SGUI1_62850.2, SGUI1_62850.3, SGUI1_62850.4, SGUI1_62850.1, SGUI1_62850.5
OG0001105	KAK4472587.1	SGUI1_31800.1
OG0001106	KAK4471497.1	SGUI1_68850.2, SGUI1_68850.1, SGUI1_68850.3, SGUI1_68850.4, SGUI1_68850.5, SGUI1_68850.6, SGUI1_68850.7
OG0001107	KAK4469144.1, KAK4469142.1	SGUI1_51580.1
OG0001108	KAK4472830.1	SGUI1_28280.1
OG0001110	KAK4475672.1	SGUI1_3910.1
OG0001111	KAK4469284.1	SGUI1_49050.1, SGUI1_49050.4, SGUI1_49050.3, SGUI1_49050.7, SGUI1_49050.9, SGUI1_49050.2, SGUI1_49050.5, SGUI1_49050.6, SGUI1_49050.8, SGUI1_49050.10
OG0001112	KAK4467791.1	SGUI1_95850.2, SGUI1_95850.1
OG0001112	KAK4467789.1, KAK4467788.1	SGUI1_95830.1, SGUI1_95840.1
OG0001113	KAK4476086.1, KAK4476087.1	SGUI1_7290.1, SGUI1_7290.2
OG0001114	KAK4476057.1	SGUI1_6310.4, SGUI1_6310.5, SGUI1_6310.1
OG0001115	KAK4467699.1	SGUI1_94700.4, SGUI1_94700.5, SGUI1_94700.1, SGUI1_94700.3, SGUI1_94700.2
OG0001116	KAK4468369.1	SGUI1_81450.1
OG0001117	KAK4475302.1	SGUI1_14920.1, SGUI1_14920.2
OG0001118	KAK4470222.1	SGUI1_71710.1, SGUI1_71700.1
OG0001119	KAK4471218.1	SGUI1_65520.3, SGUI1_65520.1, SGUI1_65520.2
OG0001120	KAK4472630.1, KAK4472629.1	SGUI1_31380.1
OG0001121	KAK4467341.1	SGUI1_56980.1
OG0001122	KAK4470945.1	SGUI1_79880.1, SGUI1_79880.2, SGUI1_79880.3
OG0001123	KAK4468721.1	SGUI1_90880.1, SGUI1_90880.2
OG0001124	KAK4473908.1	SGUI1_37790.3, SGUI1_37790.4, SGUI1_37790.1, SGUI1_37790.2
OG0001125	KAK4475252.1, KAK4475264.1	SGUI1_13150.1, SGUI1_13190.1
OG0001127	KAK4473667.1	SGUI1_40100.1, SGUI1_40100.3, SGUI1_40100.4, SGUI1_40100.5, SGUI1_40100.6, SGUI1_40100.7, SGUI1_40100.2
OG0001128	KAK4470681.1	SGUI1_76590.13, SGUI1_76590.7, SGUI1_76590.12, SGUI1_76590.5, SGUI1_76590.8, SGUI1_76590.11, SGUI1_76590.1, SGUI1_76590.4, SGUI1_76590.2, SGUI1_76590.10, SGUI1_76590.6, SGUI1_76590.9, SGUI1_76590.3
OG0001129	KAK4473880.1	SGUI1_37470.1
OG0001130	KAK4467488.1, KAK4467490.1, KAK4474435.1	SGUI1_11090.1, SGUI1_11090.2
OG0001131	KAK4470638.1	SGUI1_74290.1
OG0001131	KAK4470637.1	SGUI1_74280.1
OG0001132	KAK4468209.1	SGUI1_83650.1
OG0001133	KAK4474780.1	SGUI1_15620.1
OG0001134	KAK4471240.1	SGUI1_65710.1, SGUI1_65710.2, SGUI1_65710.3, SGUI1_65710.4
OG0001135	KAK4472564.1	SGUI1_34260.1
OG0001136	KAK4473309.1	SGUI1_96770.1, SGUI1_23330.1
OG0001137	KAK4469354.1	SGUI1_53700.1, SGUI1_53700.2, SGUI1_53700.4, SGUI1_53700.3, SGUI1_53700.5
OG0001138	KAK4474983.1	SGUI1_20180.2, SGUI1_20180.3, SGUI1_20180.4, SGUI1_20180.6, SGUI1_20180.1, SGUI1_20180.5
OG0001139	KAK4473852.1	SGUI1_37200.2, SGUI1_37200.3, SGUI1_37200.5, SGUI1_37200.4, SGUI1_37200.1
OG0001140	KAK4469259.1	SGUI1_46280.1, SGUI1_46280.2
OG0001141	KAK4470986.1	SGUI1_80290.1, SGUI1_80300.1, SGUI1_80280.1
OG0001142	KAK4474696.1, KAK4474694.1	SGUI1_12150.1, SGUI1_12150.2
OG0001143	KAK4471679.1	SGUI1_63210.1
OG0001144	KAK4474042.1	SGUI1_36030.2, SGUI1_36030.4, SGUI1_36030.5, SGUI1_36030.6, SGUI1_36030.7, SGUI1_36030.3, SGUI1_36030.1
OG0001145	KAK4471255.1	SGUI1_65890.7, SGUI1_65890.2, SGUI1_65890.3, SGUI1_65890.1, SGUI1_65890.4, SGUI1_65890.5, SGUI1_65890.6
OG0001146	KAK4475726.1	SGUI1_4250.1
OG0001147	KAK4474241.1	SGUI1_7190.1
OG0001148	KAK4470683.1	SGUI1_70950.2, SGUI1_70950.1, SGUI1_70950.8, SGUI1_70950.4, SGUI1_70950.6, SGUI1_70950.7, SGUI1_70950.5, SGUI1_70950.3
OG0001149	KAK4470825.1	SGUI1_78650.1
OG0001150	KAK4469715.1	SGUI1_52170.1, SGUI1_52170.2
OG0001151	KAK4468560.1	SGUI1_90180.3, SGUI1_90180.4, SGUI1_90180.2, SGUI1_90180.1
OG0001152	KAK4467419.1, KAK4474691.1	SGUI1_11930.1
OG0001153	KAK4471271.1	SGUI1_69480.2, SGUI1_69480.1
OG0001154	KAK4472675.1	SGUI1_43950.1
OG0001155	KAK4469552.1	SGUI1_48460.4, SGUI1_48460.6, SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8
OG0001156	KAK4467253.1	SGUI1_97080.1, SGUI1_97080.2, SGUI1_97080.3, SGUI1_97100.1, SGUI1_97090.1
OG0001156	KAK4470111.1, KAK4475961.1	SGUI1_7130.1
OG0001157	KAK4471675.1	SGUI1_63240.1
OG0001158	KAK4473471.1	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4
OG0001159	KAK4468670.1	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4
OG0001160	KAK4475388.1	SGUI1_19460.1, SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3
OG0001161	KAK4471498.1	SGUI1_68840.1
OG0001161	KAK4471267.1, KAK4471268.1	SGUI1_66030.1
OG0001162	KAK4474084.1	SGUI1_35590.1
OG0001163	KAK4470411.1	SGUI1_77630.1
OG0001164	KAK4468217.1	SGUI1_82300.1
OG0001165	KAK4467564.1, KAK4467567.1	SGUI1_58060.1
OG0001166	KAK4474416.1	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5
OG0001167	KAK4474085.1	SGUI1_35580.1
OG0001168	KAK4467300.1, KAK4474652.1	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4
OG0001169	KAK4469395.1	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4
OG0001170	KAK4474599.1	SGUI1_10500.1, SGUI1_10490.1
OG0001171	KAK4475235.1	SGUI1_15200.1
OG0001172	KAK4471888.1	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1
OG0001173	KAK4474895.1	SGUI1_1750.2, SGUI1_1750.1
OG0001174	KAK4474366.1	SGUI1_9050.1
OG0001176	KAK4470589.1	SGUI1_73720.1
OG0001177	KAK4473187.1	SGUI1_24540.1, SGUI1_24540.2, SGUI1_24540.3
OG0001178	KAK4475543.1	SGUI1_2620.1
OG0001178	KAK4475541.1	SGUI1_2610.1
OG0001179	KAK4467736.1, KAK4467737.1	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4
OG0001180	KAK4476155.1	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4
OG0001181	KAK4471120.1	SGUI1_58100.1
OG0001182	KAK4474056.1	SGUI1_35850.1
OG0001183	KAK4474411.1	SGUI1_10200.1, SGUI1_10200.2, SGUI1_10200.6, SGUI1_10200.3, SGUI1_10200.5, SGUI1_10200.4
OG0001184	KAK4475631.1, KAK4476071.1	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3
OG0001185	KAK4476220.1	SGUI1_9880.1
OG0001186	KAK4475791.1, KAK4467365.1	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4
OG0001187	KAK4472654.1	SGUI1_31090.1
OG0001188	KAK4476107.1	SGUI1_7400.1
OG0001189	KAK4474589.1	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4, SGUI1_14100.7, SGUI1_14100.2, SGUI1_14100.6
OG0001190	KAK4474039.1	SGUI1_36060.1, SGUI1_36060.2
OG0001191	KAK4476037.1	SGUI1_6630.1
OG0001192	KAK4473508.1	SGUI1_42760.2, SGUI1_42760.3, SGUI1_42760.1
OG0001193	KAK4468256.1, KAK4468257.1	SGUI1_83160.1
OG0001194	KAK4476093.1	SGUI1_6140.1
OG0001197	KAK4475434.1	SGUI1_21650.1, SGUI1_21650.2
OG0001198	KAK4468283.1	SGUI1_82880.3, SGUI1_82880.4, SGUI1_82880.1, SGUI1_82880.2
OG0001202	KAK4474738.1	SGUI1_12770.1, SGUI1_12740.1
OG0001203	KAK4474544.1	SGUI1_1340.1
OG0001203	KAK4468110.1	SGUI1_82410.1
OG0001204	KAK4471653.1	SGUI1_66970.2, SGUI1_66970.3, SGUI1_66970.4, SGUI1_66970.1
OG0001205	KAK4474018.1, KAK4474017.1	SGUI1_36270.1
OG0001206	KAK4471064.1	SGUI1_96170.1, SGUI1_16260.1, SGUI1_19980.1, SGUI1_78670.1
OG0001207	KAK4475278.1	SGUI1_14710.1, SGUI1_14710.3, SGUI1_14710.2, SGUI1_14710.4, SGUI1_14710.5
OG0001208	KAK4473921.1, KAK4473920.1	SGUI1_37960.1
OG0001210	KAK4467724.1	SGUI1_93460.1
OG0001212	KAK4473153.1	SGUI1_24200.1, SGUI1_24200.2, SGUI1_24200.3
OG0001213	KAK4476051.1	SGUI1_6460.2, SGUI1_6460.4, SGUI1_6460.1, SGUI1_6460.3
OG0001214	KAK4472906.1	SGUI1_28140.1, SGUI1_28140.2, SGUI1_28140.3
OG0001215	KAK4471303.1	SGUI1_64230.1
OG0001216	KAK4472954.1	SGUI1_26480.1
OG0001217	KAK4470315.1	SGUI1_73320.2, SGUI1_73320.1, SGUI1_73320.3, SGUI1_73320.7, SGUI1_73320.6, SGUI1_73320.4, SGUI1_73320.5
OG0001218	KAK4474639.1	SGUI1_11610.1, SGUI1_11610.2
OG0001219	KAK4476080.1	SGUI1_1180.1, SGUI1_1180.3, SGUI1_1180.2, SGUI1_1180.4
OG0001220	KAK4467635.1	SGUI1_95190.1
OG0001221	KAK4471716.1	SGUI1_62910.4, SGUI1_62910.2, SGUI1_62910.1, SGUI1_62910.3
OG0001222	KAK4468493.1	SGUI1_92280.1, SGUI1_92280.3, SGUI1_92280.2, SGUI1_92280.4
OG0001223	KAK4472509.1	SGUI1_32500.3, SGUI1_32500.1, SGUI1_32500.2
OG0001224	KAK4468309.1	SGUI1_82670.4, SGUI1_82670.6, SGUI1_82670.1, SGUI1_82670.2, SGUI1_82670.5, SGUI1_82670.3
OG0001225	KAK4472086.1	SGUI1_59200.1
OG0001226	KAK4469416.1	SGUI1_46050.2, SGUI1_46050.4, SGUI1_46050.5, SGUI1_46050.3, SGUI1_46050.1
OG0001227	KAK4471789.1	SGUI1_62340.1
OG0001228	KAK4472331.1	SGUI1_44950.1, SGUI1_44950.2
OG0001229	KAK4472410.1	SGUI1_30290.1
OG0001230	KAK4474860.1	SGUI1_16490.6, SGUI1_16490.3, SGUI1_16490.1, SGUI1_16490.2, SGUI1_16490.4, SGUI1_16490.5
OG0001231	KAK4473724.1	SGUI1_39440.2, SGUI1_39440.5, SGUI1_39440.1, SGUI1_39440.3, SGUI1_39440.4
OG0001232	KAK4468184.1	SGUI1_82340.1, SGUI1_82330.1
OG0001233	KAK4475904.1	SGUI1_5550.1, SGUI1_5550.2
OG0001234	KAK4472481.1, KAK4472579.1, KAK4472471.1	SGUI1_44170.1
OG0001235	KAK4472813.1	SGUI1_28530.1
OG0001235	KAK4472812.1	SGUI1_28520.1
OG0001236	KAK4471432.1	SGUI1_63890.1
OG0001237	KAK4472962.1	SGUI1_26440.1
OG0001238	KAK4468030.1	SGUI1_84240.1
OG0001239	KAK4474642.1	SGUI1_11630.1
OG0001240	KAK4469937.1	SGUI1_54270.3, SGUI1_54270.1, SGUI1_54270.2, SGUI1_54270.4
OG0001241	KAK4472005.1	SGUI1_60090.1
OG0001241	KAK4470468.1	SGUI1_74870.1
OG0001242	KAK4469975.1	SGUI1_56590.1, SGUI1_56590.2, SGUI1_56590.3
OG0001243	KAK4476064.1	SGUI1_6450.7, SGUI1_6450.3, SGUI1_6450.2, SGUI1_6450.5, SGUI1_6450.1, SGUI1_6450.4, SGUI1_6450.6, SGUI1_6450.8
OG0001244	KAK4468578.1	SGUI1_90030.1
