Orthogroup	s.mekongi	schmidtea_mediterranea
OG0001578	KAK4469733.1	h1SMcT0003020.4, h1SMcT0003020.3, h1SMcT0003020.5, h1SMcT0003020.6
OG0001579	KAK4474867.1	h1SMcT0010551.1
OG0001580	KAK4473439.1	h1SMcT0021337.1, h1SMcT0021337.2
OG0001581	KAK4470867.1	h1SMcT0008604.4, h1SMcT0008604.7, h1SMcT0008604.3, h1SMcT0008604.2, h1SMcT0008604.1, h1SMcT0008604.5
OG0001582	KAK4469986.1	h1SMcT0013798.1, h1SMcT0013798.2
OG0001588	KAK4471682.1	h1SMcT0012021.1, h1SMcT0012021.2, h1SMcT0014683.1
OG0001589	KAK4472272.1	h1SMcT0018334.3, h1SMcT0018334.1, h1SMcT0018334.2
OG0001590	KAK4470391.1	h1SMcT0016705.1, h1SMcT0016705.2
OG0001592	KAK4475159.1	h1SMcT0016376.1, h1SMcT0016376.2
OG0001593	KAK4471969.1	h1SMcT0014525.1
OG0001595	KAK4471263.1	h1SMcT0004004.1, h1SMcT0011696.3
OG0001596	KAK4471007.1, KAK4471006.1	h1SMcT0020657.1, h1SMcT0020657.2
OG0001597	KAK4470575.1	h1SMcT0005317.1, h1SMcT0005317.2, h1SMcT0005317.4, h1SMcT0005317.3
OG0001598	KAK4469123.1	h1SMcT0017652.1
OG0001599	KAK4470370.1	h1SMcT0006535.1, h1SMcT0006580.1
OG0001600	KAK4472472.1	h1SMcT0001572.1, h1SMcT0001572.2
OG0001601	KAK4471351.1	h1SMcT0006626.1
OG0001602	KAK4474735.1	h1SMcT0012475.2, h1SMcT0012475.3, h1SMcT0012475.4, h1SMcT0000699.4, h1SMcT0000699.2, h1SMcT0000699.1, h1SMcT0000699.3, h1SMcT0000699.5, h1SMcT0006969.1, h1SMcT0019456.1
OG0001606	KAK4473367.1	h1SMcT0004111.2, h1SMcT0004111.3, h1SMcT0004111.1
OG0001607	KAK4470705.1	h1SMcT0001333.2, h1SMcT0001333.1, h1SMcT0001333.3
OG0001608	KAK4469157.1	h1SMcT0019002.1
OG0001610	KAK4473963.1	h1SMcT0001133.1, h1SMcT0001133.2, h1SMcT0012922.1
OG0001611	KAK4471878.1	h1SMcT0013941.1, h1SMcT0013941.2, h1SMcT0013941.3
OG0001612	KAK4474674.1	h1SMcT0001592.1, h1SMcT0004919.1, h1SMcT0001590.1, h1SMcT0001590.2, h1SMcT0001590.3
OG0001613	KAK4470649.1	h1SMcT0006904.1, h1SMcT0006904.2, h1SMcT0019166.1, h1SMcT0006559.1, h1SMcT0019019.1, h1SMcT0009343.1, h1SMcT0009343.2, h1SMcT0015213.1, h1SMcT0003392.1, h1SMcT0007271.1
OG0001614	KAK4473674.1	h1SMcT0018858.1, h1SMcT0018858.2
OG0001615	KAK4473673.1	h1SMcT0021119.1
OG0001616	KAK4476267.1	h1SMcT0006305.1, h1SMcT0021522.1
OG0001619	KAK4469895.1	h1SMcT0013335.1
OG0001620	KAK4472293.1	h1SMcT0020514.4, h1SMcT0020514.5, h1SMcT0020514.6, h1SMcT0020516.1, h1SMcT0020514.1, h1SMcT0020514.2, h1SMcT0020632.1, h1SMcT0020514.3, h1SMcT0020519.1
OG0001622	KAK4468112.1	h1SMcT0004565.1
OG0001623	KAK4475954.1	h1SMcT0021134.1
OG0001626	KAK4472240.1	h1SMcT0020664.1
OG0001627	KAK4470285.1	h1SMcT0006211.1, h1SMcT0006211.2
OG0001628	KAK4474805.1	h1SMcT0019709.1, h1SMcT0019709.4
OG0001629	KAK4475152.1	h1SMcT0011452.1, h1SMcT0011452.2
OG0001630	KAK4476208.1	h1SMcT0011252.1
OG0001631	KAK4468541.1	h1SMcT0007603.1
OG0001632	KAK4471598.1	h1SMcT0010514.1
OG0001633	KAK4467624.1	h1SMcT0002014.5, h1SMcT0002014.6, h1SMcT0002014.3, h1SMcT0002014.1, h1SMcT0002014.2, h1SMcT0002014.4
OG0001634	KAK4468718.1	h1SMcT0021810.2, h1SMcT0021810.1, h1SMcT0021810.3
OG0001635	KAK4475804.1, KAK4475805.1	h1SMcT0002693.1, h1SMcT0002693.2, h1SMcT0015943.1
OG0001636	KAK4470372.1	h1SMcT0013635.1
OG0001637	KAK4471172.1	h1SMcT0011724.1
OG0001639	KAK4474837.1, KAK4474838.1	h1SMcT0015128.1
OG0001640	KAK4474986.1	h1SMcT0003502.4, h1SMcT0003502.3, h1SMcT0003502.1, h1SMcT0003502.2
OG0001641	KAK4468595.1	h1SMcT0021693.1
OG0001642	KAK4469018.1	h1SMcT0007955.1
OG0001643	KAK4472002.1	h1SMcT0000482.1, h1SMcT0000482.2
OG0001644	KAK4469279.1	h1SMcT0008832.1
OG0001645	KAK4467665.1	h1SMcT0016250.1, h1SMcT0016250.2, h1SMcT0016250.3, h1SMcT0016250.4
OG0001646	KAK4469988.1	h1SMcT0004929.1, h1SMcT0004929.2
OG0001648	KAK4471000.1	h1SMcT0019063.4, h1SMcT0019063.5, h1SMcT0017672.3, h1SMcT0017672.4, h1SMcT0017672.2, h1SMcT0017672.1
OG0001649	KAK4474518.1	h1SMcT0013727.1, h1SMcT0013727.2, h1SMcT0013729.1, h1SMcT0013729.4, h1SMcT0013729.2, h1SMcT0013729.3
OG0001651	KAK4475239.1	h1SMcT0010863.1, h1SMcT0010863.2
OG0001653	KAK4475931.1	h1SMcT0001479.1, h1SMcT0001479.2, h1SMcT0001479.3, h1SMcT0001479.4
OG0001655	KAK4471560.1	h1SMcT0005253.1
OG0001656	KAK4468765.1	h1SMcT0021826.1, h1SMcT0021826.2
OG0001657	KAK4472325.1	h1SMcT0012718.1
OG0001671	KAK4472488.1	h1SMcT0010251.1
OG0001672	KAK4472742.1	h1SMcT0016081.3, h1SMcT0016081.1, h1SMcT0016081.2
OG0001673	KAK4471952.1	h1SMcT0019728.1, h1SMcT0004485.1, h1SMcT0004485.4, h1SMcT0004485.2, h1SMcT0004485.3
OG0001675	KAK4471637.1	h1SMcT0005280.1, h1SMcT0005279.1, h1SMcT0005279.2
OG0001676	KAK4474386.1	h1SMcT0001921.1
OG0001677	KAK4468654.1	h1SMcT0016893.2
OG0001678	KAK4471141.1	h1SMcT0000851.1
OG0001679	KAK4475050.1, KAK4475048.1	h1SMcT0020429.5, h1SMcT0020429.6, h1SMcT0020429.2, h1SMcT0020429.1, h1SMcT0020429.3, h1SMcT0020429.4
OG0001680	KAK4472908.1	h1SMcT0000730.1
OG0001681	KAK4475126.1	h1SMcT0014199.1, h1SMcT0014199.2, h1SMcT0014199.3
OG0001682	KAK4474882.1	h1SMcT0020485.1, h1SMcT0020485.2
OG0001687	KAK4469989.1	h1SMcT0016944.2, h1SMcT0016944.1, h1SMcT0016944.4, h1SMcT0016944.9, h1SMcT0016944.5, h1SMcT0016944.6, h1SMcT0016944.7, h1SMcT0016944.8, h1SMcT0016944.3
OG0001688	KAK4475439.1	h1SMcT0015247.5, h1SMcT0015247.4, h1SMcT0015247.3
OG0001689	KAK4475407.1, KAK4475411.1	h1SMcT0002487.1
OG0001690	KAK4472283.1	h1SMcT0009279.3, h1SMcT0009279.4, h1SMcT0009279.1, h1SMcT0009279.2
OG0001691	KAK4474679.1	h1SMcT0016928.1, h1SMcT0016928.2, h1SMcT0016928.3
OG0001694	KAK4468266.1	h1SMcT0020178.1, h1SMcT0020178.2
OG0001697	KAK4467703.1	h1SMcT0022488.1
OG0001699	KAK4471814.1	h1SMcT0012548.1
OG0001700	KAK4475303.1	h1SMcT0003410.1
OG0001702	KAK4474190.1	h1SMcT0017051.2, h1SMcT0017051.3, h1SMcT0017051.4, h1SMcT0015306.1, h1SMcT0015306.6, h1SMcT0015306.2, h1SMcT0015306.7, h1SMcT0015306.5, h1SMcT0015306.4
OG0001703	KAK4474095.1	h1SMcT0007280.1, h1SMcT0007280.2
OG0001704	KAK4475225.1	h1SMcT0015605.1
OG0001707	KAK4471214.1	h1SMcT0020760.1
OG0001708	KAK4467777.1	h1SMcT0021084.7, h1SMcT0021084.6, h1SMcT0021084.1, h1SMcT0021084.2, h1SMcT0021084.5, h1SMcT0021084.3, h1SMcT0021084.4
OG0001710	KAK4468896.1	h1SMcT0011023.1, h1SMcT0011023.2, h1SMcT0011023.3
OG0001711	KAK4467741.1	h1SMcT0010492.1, h1SMcT0010492.2
OG0001712	KAK4473397.1	h1SMcT0012477.1, h1SMcT0012477.2
OG0001713	KAK4471106.1	h1SMcT0001773.1
OG0001714	KAK4471104.1	h1SMcT0002980.7, h1SMcT0002980.1, h1SMcT0002980.2, h1SMcT0002980.4, h1SMcT0002980.6, h1SMcT0002980.5, h1SMcT0002980.3
OG0001715	KAK4473301.1	h1SMcT0008469.1, h1SMcT0008469.2, h1SMcT0008469.3, h1SMcT0008469.4, h1SMcT0008469.5
OG0001717	KAK4472811.1	h1SMcT0008155.3, h1SMcT0008155.4, h1SMcT0008155.2, h1SMcT0008155.5, h1SMcT0008155.1, h1SMcT0008155.6
OG0001718	KAK4475292.1	h1SMcT0007968.1
OG0001720	KAK4474489.1	h1SMcT0011139.1, h1SMcT0006364.1, h1SMcT0019514.1, h1SMcT0019514.3, h1SMcT0019514.2, h1SMcT0019514.4
OG0001721	KAK4469753.1, KAK4469756.1	h1SMcT0022008.1, h1SMcT0022008.2
OG0001722	KAK4474408.1	h1SMcT0009778.1
OG0001724	KAK4470267.1	h1SMcT0009947.1, h1SMcT0009947.2
OG0001725	KAK4470124.1	h1SMcT0001865.2
OG0001726	KAK4474075.1	h1SMcT0019260.1
OG0001726	KAK4468354.1	h1SMcT0022247.1, h1SMcT0012356.1, h1SMcT0012356.2, h1SMcT0012356.3, h1SMcT0012356.4
OG0001727	KAK4468593.1	h1SMcT0017294.1
OG0001728	KAK4471793.1	h1SMcT0013659.2, h1SMcT0013659.1, h1SMcT0013659.3, h1SMcT0013659.4
OG0001729	KAK4475934.1	h1SMcT0008021.1, h1SMcT0005984.1, h1SMcT0005984.2, h1SMcT0005984.3, h1SMcT0005984.4, h1SMcT0022620.1
OG0001730	KAK4475220.1	h1SMcT0011395.1
OG0001731	KAK4472709.1	h1SMcT0019144.1
OG0001732	KAK4469561.1	h1SMcT0001016.1
OG0001733	KAK4471822.1	h1SMcT0006755.1
OG0001734	KAK4468884.1	h1SMcT0000991.2, h1SMcT0000991.6, h1SMcT0000991.4, h1SMcT0000991.8, h1SMcT0000991.5, h1SMcT0000991.3, h1SMcT0000991.1, h1SMcT0000991.7
OG0001736	KAK4474877.1	h1SMcT0018349.1, h1SMcT0018349.2
OG0001738	KAK4473402.1	h1SMcT0021483.1, h1SMcT0022809.1
OG0001739	KAK4473001.1, KAK4473011.1	h1SMcT0013839.1, h1SMcT0013839.2
OG0001741	KAK4475742.1, KAK4467456.1	h1SMcT0005296.1, h1SMcT0005291.1, h1SMcT0005291.2, h1SMcT0005291.3
OG0001744	KAK4471501.1	h1SMcT0005035.1
OG0001745	KAK4472806.1	h1SMcT0013160.1, h1SMcT0013160.2
OG0001746	KAK4468263.1	h1SMcT0004010.1
OG0001747	KAK4475909.1	h1SMcT0009037.1, h1SMcT0009037.2
OG0001748	KAK4472108.1	h1SMcT0001235.1, h1SMcT0001235.2
OG0001750	KAK4475699.1	h1SMcT0019885.1, h1SMcT0019885.2, h1SMcT0019885.5, h1SMcT0019885.3, h1SMcT0019885.4
OG0001751	KAK4472971.1	h1SMcT0021739.2, h1SMcT0004886.1, h1SMcT0004886.2
OG0001752	KAK4476299.1	h1SMcT0005183.1
OG0001753	KAK4474597.1	h1SMcT0013782.1
OG0001754	KAK4472010.1	h1SMcT0000935.1
OG0001755	KAK4475689.1	h1SMcT0004449.2
OG0001756	KAK4469397.1	h1SMcT0005974.1, h1SMcT0005974.2
OG0001758	KAK4468062.1	h1SMcT0016619.1, h1SMcT0016619.2
OG0001759	KAK4471546.1	h1SMcT0021839.1, h1SMcT0021839.2, h1SMcT0021839.3, h1SMcT0020798.1, h1SMcT0020798.2, h1SMcT0004514.1, h1SMcT0004514.2, h1SMcT0004514.3
OG0001760	KAK4471578.1	h1SMcT0009739.2
OG0001761	KAK4467949.1, KAK4468183.1	h1SMcT0015220.1
OG0001762	KAK4467819.1	h1SMcT0018473.1
OG0001763	KAK4472682.1	h1SMcT0014031.2, h1SMcT0014031.1, h1SMcT0014031.3, h1SMcT0014031.4
OG0001764	KAK4474785.1	h1SMcT0009805.2, h1SMcT0009805.4, h1SMcT0009805.1, h1SMcT0009805.3
OG0001766	KAK4474197.1	h1SMcT0019075.1, h1SMcT0019075.2
OG0001768	KAK4468897.1	h1SMcT0013683.1, h1SMcT0013683.2
OG0001769	KAK4475540.1	h1SMcT0020309.1, h1SMcT0020309.2
OG0001770	KAK4472315.1	h1SMcT0021515.2, h1SMcT0021515.1, h1SMcT0021515.3
OG0001771	KAK4469467.1	h1SMcT0007797.6, h1SMcT0007797.3, h1SMcT0007797.4, h1SMcT0007797.2, h1SMcT0007797.5
OG0001772	KAK4468517.1	h1SMcT0002778.2, h1SMcT0002778.1, h1SMcT0002778.3
OG0001773	KAK4471437.1	h1SMcT0008613.1, h1SMcT0008563.4, h1SMcT0008565.2, h1SMcT0008563.1, h1SMcT0022781.1, h1SMcT0008563.2, h1SMcT0022781.2, h1SMcT0008563.3
OG0001774	KAK4476044.1	h1SMcT0003104.4
OG0001775	KAK4475222.1	h1SMcT0001715.1, h1SMcT0001715.2
OG0001776	KAK4467656.1	h1SMcT0017707.1
OG0001777	KAK4474215.1, KAK4474211.1, KAK4474212.1	h1SMcT0000525.1, h1SMcT0000525.2
OG0001778	KAK4468568.1	h1SMcT0016706.1, h1SMcT0016706.2, h1SMcT0016706.4, h1SMcT0016706.3
OG0001779	KAK4473304.1	h1SMcT0004257.1, h1SMcT0004257.2
OG0001780	KAK4472870.1	h1SMcT0015555.16, h1SMcT0015555.9, h1SMcT0015555.19, h1SMcT0015555.1, h1SMcT0015555.15, h1SMcT0015555.18, h1SMcT0015555.21, h1SMcT0015555.22, h1SMcT0015555.2, h1SMcT0015555.4, h1SMcT0015555.5, h1SMcT0015555.7, h1SMcT0015555.8, h1SMcT0015555.12, h1SMcT0015555.13, h1SMcT0015555.14, h1SMcT0015555.17, h1SMcT0015555.3, h1SMcT0015555.6, h1SMcT0015555.11, h1SMcT0015555.20, h1SMcT0015555.10
OG0001781	KAK4467680.1	h1SMcT0015529.1
OG0001782	KAK4471070.1	h1SMcT0002334.1, h1SMcT0002331.2, h1SMcT0002331.6, h1SMcT0002331.4, h1SMcT0002331.8, h1SMcT0002331.3, h1SMcT0002331.5
OG0001783	KAK4472722.1	h1SMcT0009033.1
OG0001784	KAK4473465.1	h1SMcT0010892.1
OG0001785	KAK4473376.1	h1SMcT0010242.1
OG0001786	KAK4471290.1	h1SMcT0011297.1
OG0001787	KAK4473373.1	h1SMcT0020085.1
OG0001788	KAK4470422.1	h1SMcT0001318.1
OG0001790	KAK4473652.1	h1SMcT0002945.1, h1SMcT0002945.2
OG0001791	KAK4468701.1, KAK4470158.1	h1SMcT0000906.3, h1SMcT0000906.1, h1SMcT0000906.2, h1SMcT0000904.4, h1SMcT0000904.1, h1SMcT0000904.2, h1SMcT0000904.3
OG0001792	KAK4470845.1	h1SMcT0020582.1, h1SMcT0020950.1, h1SMcT0020950.2, h1SMcT0021364.5, h1SMcT0021364.2, h1SMcT0021364.3, h1SMcT0021364.1, h1SMcT0021364.4
OG0001793	KAK4468939.1	h1SMcT0011149.2, h1SMcT0003445.1, h1SMcT0003445.2, h1SMcT0003445.4, h1SMcT0003445.3, h1SMcT0003445.5
OG0001794	KAK4471539.1	h1SMcT0011293.1, h1SMcT0011295.1, h1SMcT0011295.2
OG0001795	KAK4469403.1	h1SMcT0015697.1, h1SMcT0017684.1, h1SMcT0017684.2
OG0001801	KAK4474541.1	h1SMcT0014180.1, h1SMcT0014180.2, h1SMcT0014180.3
OG0001802	KAK4473993.1	h1SMcT0020134.1
OG0001803	KAK4473637.1, KAK4473636.1	h1SMcT0011732.3, h1SMcT0011284.1, h1SMcT0011284.2
OG0001804	KAK4472388.1	h1SMcT0016489.1
OG0001805	KAK4472728.1	h1SMcT0022212.1
OG0001807	KAK4474591.1	h1SMcT0008513.2, h1SMcT0008514.6, h1SMcT0008514.1, h1SMcT0008514.3, h1SMcT0008513.3, h1SMcT0008514.2, h1SMcT0008514.4, h1SMcT0008514.5
OG0001808	KAK4475115.1	h1SMcT0001448.1
OG0001809	KAK4472364.1	h1SMcT0014733.1, h1SMcT0014733.2
OG0001810	KAK4467749.1	h1SMcT0018180.5, h1SMcT0018180.1, h1SMcT0018180.4, h1SMcT0018180.2, h1SMcT0018180.3
OG0001811	KAK4476221.1	h1SMcT0007807.1, h1SMcT0007807.2
OG0001812	KAK4470365.1	h1SMcT0004905.1, h1SMcT0004905.2
OG0001813	KAK4474479.1	h1SMcT0001706.1
OG0001816	KAK4469095.1	h1SMcT0017125.1, h1SMcT0017193.1
OG0001817	KAK4473773.1	h1SMcT0022407.1
OG0001819	KAK4475051.1	h1SMcT0014745.1, h1SMcT0014745.7, h1SMcT0014745.2, h1SMcT0014745.3, h1SMcT0014745.4, h1SMcT0014745.5, h1SMcT0014745.6, h1SMcT0014745.8
OG0001820	KAK4471907.1	h1SMcT0013890.1, h1SMcT0002328.1, h1SMcT0014749.1, h1SMcT0014749.2, h1SMcT0014749.3, h1SMcT0014749.4, h1SMcT0004897.1, h1SMcT0004897.2
OG0001821	KAK4467978.1	h1SMcT0014590.1, h1SMcT0020570.1
OG0001821	KAK4471167.1	h1SMcT0003463.1, h1SMcT0003463.2, h1SMcT0014038.1
OG0001822	KAK4467887.1	h1SMcT0021165.1, h1SMcT0021165.2, h1SMcT0021166.1, h1SMcT0021165.4, h1SMcT0021165.6, h1SMcT0021165.5, h1SMcT0021165.7, h1SMcT0021165.8, h1SMcT0017497.1, h1SMcT0017497.2
OG0001826	KAK4475849.1	h1SMcT0002813.1, h1SMcT0002813.2
OG0001827	KAK4470784.1	h1SMcT0000035.1
OG0001828	KAK4469508.1	h1SMcT0000446.1
OG0001829	KAK4473132.1	h1SMcT0011896.1, h1SMcT0022194.1
OG0001830	KAK4471134.1	h1SMcT0021986.1
OG0001831	KAK4471442.1	h1SMcT0014333.5, h1SMcT0014333.6, h1SMcT0014333.2, h1SMcT0014333.4, h1SMcT0014333.1, h1SMcT0014333.3
OG0001833	KAK4468153.1	h1SMcT0001085.1
OG0001834	KAK4470481.1	h1SMcT0020592.1, h1SMcT0010290.1, h1SMcT0010290.2
OG0001835	KAK4474848.1	h1SMcT0005658.1, h1SMcT0013373.1
OG0001837	KAK4468362.1	h1SMcT0010048.1
OG0001838	KAK4472969.1	h1SMcT0010619.1
OG0001839	KAK4469356.1	h1SMcT0002713.1
OG0001840	KAK4473925.1	h1SMcT0022135.1, h1SMcT0022135.2
OG0001841	KAK4474803.1	h1SMcT0020217.1, h1SMcT0020217.2
OG0001844	KAK4474950.1	h1SMcT0007947.1
OG0001845	KAK4467647.1	h1SMcT0011119.1
OG0001847	KAK4475768.1	h1SMcT0015481.1, h1SMcT0015481.2
OG0001848	KAK4467434.1, KAK4475817.1	h1SMcT0016599.3, h1SMcT0016599.1, h1SMcT0016599.2
OG0001849	KAK4472068.1	h1SMcT0016402.1, h1SMcT0018050.1, h1SMcT0018050.5, h1SMcT0018050.3, h1SMcT0018050.4, h1SMcT0018050.2
OG0001850	KAK4470579.1	h1SMcT0017635.1
OG0001851	KAK4469509.1	h1SMcT0022124.2, h1SMcT0022124.1, h1SMcT0022124.3
OG0001852	KAK4472766.1	h1SMcT0002547.3, h1SMcT0002547.1, h1SMcT0002547.2
OG0001856	KAK4470532.1	h1SMcT0011763.1, h1SMcT0011763.2
OG0001857	KAK4470721.1	h1SMcT0022370.1, h1SMcT0022370.2, h1SMcT0022370.3
OG0001859	KAK4475995.1	h1SMcT0007644.1, h1SMcT0007700.1
OG0001862	KAK4475729.1	h1SMcT0011003.1
OG0001864	KAK4470331.1	h1SMcT0000735.1
OG0001865	KAK4476033.1	h1SMcT0017268.1, h1SMcT0017268.2, h1SMcT0017268.3, h1SMcT0017268.4
OG0001868	KAK4475545.1	h1SMcT0005126.1, h1SMcT0005126.2, h1SMcT0006712.1, h1SMcT0006712.2, h1SMcT0016692.2, h1SMcT0019911.1, h1SMcT0014112.1, h1SMcT0004938.1, h1SMcT0004938.2
OG0001869	KAK4474991.1	h1SMcT0018355.1, h1SMcT0018356.1
OG0001870	KAK4469657.1	h1SMcT0021764.1, h1SMcT0021764.2
OG0001871	KAK4473524.1, KAK4473525.1	h1SMcT0005423.1
OG0001873	KAK4472319.1	h1SMcT0012972.1
OG0001874	KAK4472231.1, KAK4473351.1, KAK4473350.1, KAK4473349.1	h1SMcT0004093.1, h1SMcT0004093.2, h1SMcT0002132.1, h1SMcT0004097.1, h1SMcT0004097.2, h1SMcT0004097.3, h1SMcT0004097.4, h1SMcT0004097.5
OG0001875	KAK4468707.1	h1SMcT0020940.1, h1SMcT0020757.3, h1SMcT0020757.1, h1SMcT0020757.2, h1SMcT0020756.1, h1SMcT0020756.2, h1SMcT0020753.1
OG0001877	KAK4474918.1	h1SMcT0021188.1
OG0001878	KAK4469747.1, KAK4468993.1	h1SMcT0005777.1
OG0001879	KAK4472985.1	h1SMcT0013918.1
OG0001880	KAK4475074.1	h1SMcT0003397.1, h1SMcT0003397.2
OG0001881	KAK4472071.1	h1SMcT0014323.1
OG0001882	KAK4470668.1	h1SMcT0016927.3, h1SMcT0016927.7, h1SMcT0016927.2, h1SMcT0016927.5, h1SMcT0016927.6, h1SMcT0016927.4, h1SMcT0014119.1
OG0001883	KAK4475612.1	h1SMcT0000544.5, h1SMcT0000544.1, h1SMcT0000544.2, h1SMcT0000544.6, h1SMcT0000544.3, h1SMcT0000544.4
OG0001884	KAK4468708.1	h1SMcT0010874.1
OG0001886	KAK4470275.1	h1SMcT0016397.3, h1SMcT0016397.2, h1SMcT0016397.1
OG0001887	KAK4471695.1	h1SMcT0001259.1
OG0001888	KAK4471374.1	h1SMcT0005027.1, h1SMcT0005027.2
OG0001889	KAK4468130.1	h1SMcT0006874.1, h1SMcT0006874.2
OG0001890	KAK4469633.1	h1SMcT0016426.2, h1SMcT0016426.1, h1SMcT0016426.3
OG0001892	KAK4470873.1	h1SMcT0022597.1
OG0001894	KAK4467988.1	h1SMcT0016737.2, h1SMcT0016737.1, h1SMcT0016737.3
OG0001895	KAK4473815.1	h1SMcT0021501.1, h1SMcT0021501.2
OG0001896	KAK4472703.1	h1SMcT0016281.2, h1SMcT0016281.1, h1SMcT0016281.3
OG0001897	KAK4470818.1	h1SMcT0006287.1
OG0001898	KAK4471151.1	h1SMcT0002007.1, h1SMcT0002007.2, h1SMcT0002007.3, h1SMcT0002007.4
OG0001899	KAK4473774.1	h1SMcT0008938.1, h1SMcT0013904.1, h1SMcT0013904.2
OG0001900	KAK4467407.1, KAK4470453.1	h1SMcT0018011.3, h1SMcT0018011.1, h1SMcT0018011.2
OG0001901	KAK4472483.1	h1SMcT0000743.1, h1SMcT0000743.2
OG0001903	KAK4468115.1	h1SMcT0021286.1
OG0001907	KAK4476050.1	h1SMcT0001963.1, h1SMcT0001963.2
OG0001909	KAK4467679.1	h1SMcT0003517.1, h1SMcT0003517.2
OG0001910	KAK4473962.1	h1SMcT0022818.1, h1SMcT0009008.1, h1SMcT0009008.3, h1SMcT0009008.2, h1SMcT0009008.4, h1SMcT0009008.5
OG0001911	KAK4469345.1	h1SMcT0022326.1
OG0001912	KAK4470997.1	h1SMcT0010295.1
OG0001913	KAK4470578.1	h1SMcT0017208.1
OG0001914	KAK4471900.1	h1SMcT0011941.1, h1SMcT0011881.1, h1SMcT0011881.2, h1SMcT0011881.3, h1SMcT0011881.4
OG0001915	KAK4468220.1	h1SMcT0011169.1
OG0001916	KAK4475422.1	h1SMcT0010024.1
OG0001917	KAK4476132.1	h1SMcT0001874.1, h1SMcT0001870.1, h1SMcT0001870.2
OG0001918	KAK4469426.1	h1SMcT0001785.5, h1SMcT0001785.1, h1SMcT0001785.3, h1SMcT0001785.4, h1SMcT0001785.2
OG0001919	KAK4471565.1	h1SMcT0006757.1
OG0001921	KAK4473711.1	h1SMcT0011809.1, h1SMcT0011809.2, h1SMcT0011809.3, h1SMcT0022731.1
OG0001922	KAK4471100.1	h1SMcT0004051.1
OG0001924	KAK4469867.1	h1SMcT0017174.1, h1SMcT0017174.2
OG0001925	KAK4475453.1	h1SMcT0001466.3, h1SMcT0001466.2, h1SMcT0001466.1, h1SMcT0001464.1, h1SMcT0001464.2
OG0001927	KAK4475823.1	h1SMcT0022233.1
OG0001929	KAK4470263.1	h1SMcT0015623.1, h1SMcT0007255.1, h1SMcT0007255.2, h1SMcT0007255.3
OG0001930	KAK4472476.1	h1SMcT0015155.1
OG0001932	KAK4471196.1	h1SMcT0007506.1, h1SMcT0011130.1, h1SMcT0011130.2, h1SMcT0003858.3, h1SMcT0006060.1
OG0001934	KAK4473488.1	h1SMcT0008665.1
OG0001941	KAK4468689.1	h1SMcT0007878.1, h1SMcT0007878.2, h1SMcT0007878.3
OG0001942	KAK4473117.1	h1SMcT0008062.1
OG0001943	KAK4475127.1	h1SMcT0010455.1, h1SMcT0010455.2
OG0001944	KAK4471518.1	h1SMcT0010813.2, h1SMcT0010813.1, h1SMcT0010813.4, h1SMcT0010813.5, h1SMcT0010813.6, h1SMcT0010813.3
OG0001945	KAK4467852.1	h1SMcT0020652.1, h1SMcT0020652.5, h1SMcT0020652.2, h1SMcT0020652.3, h1SMcT0020652.4, h1SMcT0020652.6
OG0001946	KAK4472486.1	h1SMcT0021096.5, h1SMcT0021096.4, h1SMcT0021096.6, h1SMcT0021096.3, h1SMcT0021096.2, h1SMcT0021096.1
OG0001947	KAK4473449.1	h1SMcT0011014.1
OG0001948	KAK4467243.1	h1SMcT0008416.1, h1SMcT0008416.2
OG0001949	KAK4467747.1	h1SMcT0010843.1, h1SMcT0010843.3, h1SMcT0010843.4, h1SMcT0010843.2
OG0001950	KAK4468166.1	h1SMcT0018799.1
OG0001951	KAK4476106.1	h1SMcT0019278.1
OG0001952	KAK4469665.1	h1SMcT0007722.1, h1SMcT0007722.2, h1SMcT0007722.3
OG0001953	KAK4474207.1	h1SMcT0012123.1
OG0001954	KAK4475309.1	h1SMcT0021952.1, h1SMcT0013746.1, h1SMcT0021292.1
OG0001955	KAK4475856.1	h1SMcT0006475.1, h1SMcT0006475.2
OG0001956	KAK4470495.1	h1SMcT0001404.1, h1SMcT0009669.4, h1SMcT0009669.2, h1SMcT0009669.3
OG0001957	KAK4475293.1	h1SMcT0013668.1
OG0001958	KAK4471673.1	h1SMcT0003488.1, h1SMcT0003488.4, h1SMcT0003488.5, h1SMcT0003488.2, h1SMcT0003488.3, h1SMcT0003488.6
OG0001959	KAK4472737.1	h1SMcT0018025.1, h1SMcT0021282.1, h1SMcT0018024.1, h1SMcT0018024.2
OG0001960	KAK4472754.1	h1SMcT0003235.1, h1SMcT0009022.2, h1SMcT0009022.3, h1SMcT0009022.1, h1SMcT0009022.4
OG0001961	KAK4471504.1	h1SMcT0010420.1, h1SMcT0010420.2, h1SMcT0001264.2, h1SMcT0001264.1, h1SMcT0001264.3, h1SMcT0012558.1
OG0001962	KAK4475333.1	h1SMcT0008254.1, h1SMcT0008254.2, h1SMcT0019824.1, h1SMcT0019824.2
OG0001963	KAK4472859.1	h1SMcT0011203.1, h1SMcT0011203.2
OG0001966	KAK4476007.1	h1SMcT0001175.4, h1SMcT0001175.5, h1SMcT0001175.6, h1SMcT0001175.2, h1SMcT0001175.1, h1SMcT0001175.3, h1SMcT0001089.1, h1SMcT0013315.1, h1SMcT0011742.1, h1SMcT0019933.1
