Orthogroup	s.mekongi	fasciola_gigantica
OG0001273	KAK4470612.1	FGIG_11191
OG0001274	KAK4471502.1	FGIG_11229, FGIG_11228
OG0001275	KAK4469887.1	FGIG_11389, FGIG_11949
OG0001276	KAK4471898.1	FGIG_11574
OG0001277	KAK4475596.1	FGIG_11601, FGIG_12005
OG0001278	KAK4468621.1	FGIG_11618
OG0001279	KAK4474150.1	FGIG_12224, FGIG_12521
OG0001288	KAK4467620.1	FGIG_00192
OG0001289	KAK4472424.1	FGIG_00210
OG0001290	KAK4475785.1	FGIG_07230, FGIG_00515
OG0001291	KAK4476039.1	FGIG_00674
OG0001292	KAK4476023.1	FGIG_00943
OG0001293	KAK4469805.1	FGIG_01034, FGIG_10755
OG0001294	KAK4472567.1	FGIG_01093
OG0001295	KAK4472604.1	FGIG_01383
OG0001296	KAK4475956.1, KAK4475955.1	FGIG_01523
OG0001297	KAK4474512.1	FGIG_01649
OG0001298	KAK4474031.1	FGIG_10329, FGIG_01668
OG0001300	KAK4475917.1	FGIG_01863, FGIG_01865, FGIG_01864
OG0001301	KAK4469880.1	FGIG_02298
OG0001302	KAK4475526.1	FGIG_02339, FGIG_12266
OG0001303	KAK4472605.1, KAK4472606.1	FGIG_02649
OG0001304	KAK4468665.1	FGIG_02940
OG0001305	KAK4474662.1	FGIG_03115
OG0001306	KAK4471984.1	FGIG_03213, FGIG_11624
OG0001307	KAK4468348.1	FGIG_12121
OG0001307	KAK4468345.1	FGIG_08402, FGIG_03373
OG0001308	KAK4467630.1	FGIG_03675
OG0001309	KAK4470646.1	FGIG_03882
OG0001310	KAK4473092.1	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922
OG0001311	KAK4472492.1	FGIG_04205
OG0001312	KAK4472637.1	FGIG_04608
OG0001313	KAK4472134.1, KAK4473418.1	FGIG_04711, FGIG_10967, FGIG_04712
OG0001314	KAK4476271.1	FGIG_04857
OG0001315	KAK4472633.1	FGIG_04966
OG0001317	KAK4475271.1	FGIG_05230, FGIG_05743
OG0001318	KAK4475775.1	FGIG_05261
OG0001319	KAK4473722.1	FGIG_05871
OG0001320	KAK4471435.1	FGIG_06118
OG0001321	KAK4475382.1	FGIG_06378, FGIG_10936, FGIG_10722
OG0001322	KAK4469624.1	FGIG_06556
OG0001323	KAK4474405.1	FGIG_06678
OG0001324	KAK4468826.1	FGIG_06702
OG0001325	KAK4467845.1	FGIG_06784
OG0001326	KAK4469191.1	FGIG_07026, FGIG_12565
OG0001327	KAK4468417.1	FGIG_07236
OG0001328	KAK4467516.1, KAK4475737.1, KAK4467405.1	FGIG_12496, FGIG_07303, FGIG_07304
OG0001330	KAK4472695.1	FGIG_07580
OG0001331	KAK4469579.1	FGIG_07615
OG0001332	KAK4472042.1	FGIG_07793
OG0001332	KAK4470197.1	FGIG_08065
OG0001333	KAK4471477.1	FGIG_08087
OG0001334	KAK4474703.1	FGIG_08335
OG0001335	KAK4472711.1	FGIG_08507
OG0001336	KAK4469248.1	FGIG_08559
OG0001337	KAK4469179.1	FGIG_08711
OG0001338	KAK4473835.1	FGIG_08777
OG0001339	KAK4474554.1	FGIG_09242
OG0001340	KAK4476161.1, KAK4476160.1	FGIG_09253
OG0001341	KAK4470433.1	FGIG_09384
OG0001342	KAK4469498.1	FGIG_12225, FGIG_09592, FGIG_09591
OG0001343	KAK4470199.1, KAK4470200.1	FGIG_09648
OG0001344	KAK4470426.1	FGIG_10334, FGIG_09779
OG0001345	KAK4473469.1	FGIG_09899, FGIG_10090
OG0001346	KAK4474563.1	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885
OG0001347	KAK4472285.1	FGIG_10057, FGIG_12464
OG0001348	KAK4474058.1	FGIG_10100
OG0001349	KAK4475304.1	FGIG_11879, FGIG_10164
OG0001350	KAK4472671.1	FGIG_10314
OG0001351	KAK4473300.1	FGIG_10576
OG0001352	KAK4473285.1	FGIG_10691
OG0001353	KAK4471694.1	FGIG_10836, FGIG_11746
OG0001354	KAK4471128.1	FGIG_11409
OG0001355	KAK4472013.1	FGIG_11782
OG0001356	KAK4470235.1	FGIG_11865
OG0001357	KAK4473732.1	FGIG_12082
OG0001358	KAK4468661.1	FGIG_12429, FGIG_12515
OG0001361	KAK4472834.1	FGIG_00002
OG0001362	KAK4472727.1	FGIG_10224
OG0001363	KAK4467637.1	FGIG_00681
OG0001364	KAK4468089.1	FGIG_02461, FGIG_00701
OG0001365	KAK4470803.1	FGIG_00793
OG0001367	KAK4467781.1	FGIG_00899
OG0001368	KAK4475327.1	FGIG_01072
OG0001369	KAK4468924.1	FGIG_01293, FGIG_11775
OG0001370	KAK4471090.1	FGIG_01407
OG0001371	KAK4474011.1	FGIG_01436, FGIG_03554, FGIG_05993
OG0001372	KAK4473839.1	FGIG_01881
OG0001373	KAK4475524.1	FGIG_01981
OG0001374	KAK4471908.1	FGIG_01999
OG0001375	KAK4470400.1	FGIG_02028
OG0001376	KAK4468841.1	FGIG_02276
OG0001377	KAK4471750.1	FGIG_02347
OG0001378	KAK4475624.1	FGIG_02822, FGIG_02481
OG0001379	KAK4470300.1	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106
OG0001380	KAK4472050.1	FGIG_02638
OG0001381	KAK4470574.1	FGIG_02642, FGIG_12629
OG0001382	KAK4472961.1	FGIG_02925
OG0001383	KAK4467561.1, KAK4467562.1, KAK4475694.1	FGIG_03190
OG0001384	KAK4467390.1	FGIG_03272
OG0001385	KAK4473334.1	FGIG_03311, FGIG_03310
OG0001387	KAK4468825.1	FGIG_03668
OG0001388	KAK4474533.1	FGIG_07823, FGIG_03697
OG0001389	KAK4469569.1	FGIG_03992
OG0001390	KAK4473695.1, KAK4467327.1	FGIG_04023
OG0001391	KAK4474184.1	FGIG_04025, FGIG_06537
OG0001392	KAK4467529.1, KAK4467530.1, KAK4474649.1	FGIG_04113
OG0001393	KAK4474810.1	FGIG_04241
OG0001394	KAK4470691.1	FGIG_04248
OG0001395	KAK4468666.1	FGIG_04272
OG0001395	KAK4473275.1	FGIG_12176
OG0001397	KAK4471735.1	FGIG_04602
OG0001398	KAK4474558.1	FGIG_04627
OG0001399	KAK4468491.1	FGIG_04632, FGIG_05593
OG0001400	KAK4468320.1	FGIG_04740
OG0001401	KAK4469444.1	FGIG_05531, FGIG_04791
OG0001402	KAK4472860.1	FGIG_04917
OG0001403	KAK4469835.1	FGIG_05254, FGIG_05255
OG0001404	KAK4475068.1	FGIG_05319
OG0001405	KAK4472330.1	FGIG_05965
OG0001406	KAK4472773.1	FGIG_06203
OG0001407	KAK4467966.1	FGIG_06207, FGIG_06209, FGIG_06206, FGIG_06208
OG0001408	KAK4473060.1	FGIG_06264, FGIG_07363
OG0001409	KAK4469219.1, KAK4469220.1	FGIG_06287, FGIG_09995
OG0001410	KAK4474146.1, KAK4474145.1	FGIG_06538
OG0001411	KAK4472836.1	FGIG_06544
OG0001412	KAK4472825.1, KAK4472824.1	FGIG_06774
OG0001413	KAK4467707.1	FGIG_06924
OG0001414	KAK4475715.1	FGIG_07348
OG0001415	KAK4472656.1	FGIG_07500
OG0001416	KAK4474571.1	FGIG_07696
OG0001417	KAK4474476.1	FGIG_07741, FGIG_12559
OG0001418	KAK4475658.1	FGIG_07825
OG0001420	KAK4468277.1	FGIG_07881
OG0001421	KAK4473975.1	FGIG_07907
OG0001422	KAK4470355.1	FGIG_08355
OG0001423	KAK4474401.1	FGIG_08436
OG0001424	KAK4475978.1	FGIG_09248, FGIG_12263, FGIG_08684
OG0001425	KAK4473253.1	FGIG_08864
OG0001426	KAK4476100.1	FGIG_09477
OG0001427	KAK4472853.1	FGIG_09959, FGIG_09960, FGIG_09551
OG0001428	KAK4475537.1	FGIG_09685
OG0001429	KAK4469523.1	FGIG_09736
OG0001430	KAK4469826.1, KAK4469827.1	FGIG_09780, FGIG_09781
OG0001431	KAK4471244.1	FGIG_09903
OG0001432	KAK4475480.1	FGIG_10624, FGIG_10046
OG0001433	KAK4475337.1	FGIG_10236
OG0001434	KAK4467660.1	FGIG_10315
OG0001435	KAK4470399.1	FGIG_10602
OG0001436	KAK4470775.1	FGIG_10675
OG0001437	KAK4469296.1, KAK4469385.1	FGIG_11037
OG0001438	KAK4475129.1	FGIG_12188, FGIG_11078
OG0001439	KAK4470521.1	FGIG_11413
OG0001440	KAK4473854.1	FGIG_11566, FGIG_11647
OG0001441	KAK4468453.1, KAK4468533.1, KAK4468536.1	FGIG_11575
OG0001442	KAK4471727.1	FGIG_12309
OG0001443	KAK4475081.1	FGIG_12392
OG0001454	KAK4468255.1	FGIG_00100
OG0001455	KAK4467822.1	FGIG_00375
OG0001456	KAK4471721.1, KAK4471036.1, KAK4471732.1	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394
OG0001457	KAK4475852.1	FGIG_00527
OG0001458	KAK4472480.1	FGIG_00598
OG0001459	KAK4471159.1	FGIG_00625
OG0001460	KAK4474046.1	FGIG_00746
OG0001461	KAK4472865.1	FGIG_00812
OG0001462	KAK4467568.1	FGIG_00838
OG0001463	KAK4472017.1	FGIG_00845, FGIG_00847, FGIG_00842
OG0001464	KAK4469332.1	FGIG_01002, FGIG_01001
OG0001465	KAK4470015.1, KAK4470333.1	FGIG_01084, FGIG_01085, FGIG_01083
OG0001466	KAK4475780.1, KAK4475777.1, KAK4467227.1	FGIG_01468
OG0001467	KAK4471670.1	FGIG_01527
OG0001468	KAK4475755.1	FGIG_01678
OG0001469	KAK4468293.1	FGIG_02035
OG0001470	KAK4471118.1	FGIG_02478
OG0001471	KAK4471762.1, KAK4471761.1	FGIG_02485
OG0001472	KAK4471954.1	FGIG_02729
OG0001473	KAK4470641.1	FGIG_02731
OG0001474	KAK4473644.1	FGIG_03047
OG0001475	KAK4469874.1	FGIG_03100
OG0001476	KAK4476002.1	FGIG_03317, FGIG_03318, FGIG_03319
OG0001477	KAK4469033.1	FGIG_05669, FGIG_03473
OG0001478	KAK4475476.1	FGIG_03510
OG0001479	KAK4476159.1	FGIG_03824, FGIG_03823
OG0001480	KAK4475942.1	FGIG_03902, FGIG_09394
OG0001481	KAK4469635.1, KAK4469636.1	FGIG_03954
OG0001482	KAK4468865.1	FGIG_03987, FGIG_03989
OG0001483	KAK4470165.1	FGIG_04016, FGIG_04017
OG0001484	KAK4473387.1	FGIG_04029
OG0001485	KAK4472286.1	FGIG_04100
OG0001486	KAK4469506.1	FGIG_04199
OG0001487	KAK4473164.1	FGIG_04338
OG0001488	KAK4474060.1	FGIG_10101
OG0001488	KAK4467784.1	FGIG_04424, FGIG_09377
OG0001489	KAK4473243.1	FGIG_04514
OG0001490	KAK4472636.1	FGIG_04737
OG0001491	KAK4467448.1, KAK4475818.1	FGIG_04881
OG0001492	KAK4469550.1	FGIG_05028
OG0001493	KAK4469536.1	FGIG_05082
OG0001494	KAK4472983.1	FGIG_05163
OG0001495	KAK4475962.1	FGIG_05214
OG0001496	KAK4470511.1	FGIG_05312
OG0001497	KAK4474198.1	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298
OG0001498	KAK4473400.1	FGIG_05326
OG0001499	KAK4471805.1	FGIG_05475
OG0001500	KAK4471363.1	FGIG_05484
OG0001501	KAK4467925.1	FGIG_05719
OG0001502	KAK4475834.1	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911
OG0001503	KAK4469162.1	FGIG_05914, FGIG_05913, FGIG_12549
OG0001504	KAK4471426.1	FGIG_06003
OG0001505	KAK4467674.1	FGIG_06009, FGIG_06008, FGIG_11726
OG0001506	KAK4474547.1	FGIG_11884, FGIG_06191
OG0001507	KAK4469704.1	FGIG_06422
OG0001508	KAK4473780.1	FGIG_06515
OG0001509	KAK4470670.1	FGIG_08725, FGIG_06689, FGIG_11470
OG0001510	KAK4473423.1	FGIG_06710, FGIG_09309
OG0001511	KAK4472609.1	FGIG_07488
OG0001512	KAK4470155.1, KAK4470156.1	FGIG_07543, FGIG_08646
OG0001513	KAK4474579.1	FGIG_07584
OG0001514	KAK4474937.1	FGIG_11472, FGIG_07598
OG0001515	KAK4476213.1	FGIG_07783
OG0001516	KAK4475046.1	FGIG_08392
OG0001517	KAK4473097.1	FGIG_08150
OG0001518	KAK4470507.1	FGIG_08552, FGIG_08418
OG0001519	KAK4470526.1	FGIG_08498
OG0001520	KAK4475990.1	FGIG_08941
OG0001521	KAK4469850.1	FGIG_09187
OG0001522	KAK4474373.1	FGIG_09207
OG0001523	KAK4469319.1	FGIG_09296
OG0001524	KAK4468358.1, KAK4468304.1	FGIG_09430
OG0001525	KAK4472296.1	FGIG_10654, FGIG_09632
OG0001526	KAK4469504.1	FGIG_09633
OG0001527	KAK4468587.1	FGIG_09634
OG0001528	KAK4473520.1	FGIG_09818, FGIG_10180
OG0001529	KAK4472072.1	FGIG_09837
OG0001530	KAK4469900.1	FGIG_09879
OG0001531	KAK4474840.1, KAK4474842.1	FGIG_10103
OG0001532	KAK4475577.1	FGIG_10146, FGIG_10147
OG0001533	KAK4472100.1	FGIG_10179
OG0001534	KAK4470485.1	FGIG_10287
OG0001535	KAK4468789.1	FGIG_10930, FGIG_10298
OG0001536	KAK4475341.1	FGIG_10698
OG0001537	KAK4474598.1	FGIG_11105
OG0001538	KAK4468775.1	FGIG_11361
OG0001539	KAK4474777.1	FGIG_11593
OG0001540	KAK4473765.1	FGIG_11704
OG0001541	KAK4468168.1	FGIG_11817
OG0001542	KAK4469573.1	FGIG_11924
OG0001543	KAK4468017.1	FGIG_11936
OG0001544	KAK4474656.1	FGIG_12130, FGIG_12131
OG0001554	KAK4472720.1	FGIG_07971, FGIG_07969
OG0001555	KAK4470510.1	FGIG_00531, FGIG_00530, FGIG_00127
OG0001556	KAK4474204.1	FGIG_00492
OG0001557	KAK4472960.1	FGIG_00563
OG0001558	KAK4467369.1	FGIG_00593
OG0001560	KAK4471393.1	FGIG_00841
OG0001561	KAK4469503.1, KAK4469493.1	FGIG_00934, FGIG_03387
OG0001562	KAK4470382.1, KAK4470383.1, KAK4470380.1	FGIG_01022
OG0001563	KAK4472898.1	FGIG_01149
OG0001564	KAK4468971.1	FGIG_12337, FGIG_01165, FGIG_01166
OG0001565	KAK4471199.1	FGIG_01252
OG0001566	KAK4471382.1	FGIG_01332, FGIG_01331
OG0001567	KAK4470759.1	FGIG_01351, FGIG_02042
OG0001568	KAK4467482.1	FGIG_01381, FGIG_10926
OG0001569	KAK4475458.1	FGIG_01430
OG0001570	KAK4470472.1	FGIG_01497
OG0001571	KAK4475792.1	FGIG_08212
OG0001571	KAK4475974.1	FGIG_01541
OG0001572	KAK4471383.1	FGIG_01643
OG0001573	KAK4472974.1	FGIG_01771
OG0001574	KAK4474125.1	FGIG_01776
OG0001575	KAK4474487.1, KAK4467524.1	FGIG_01819
OG0001576	KAK4468675.1	FGIG_01874, FGIG_01873
OG0001577	KAK4472784.1	FGIG_02105
OG0001578	KAK4469733.1	FGIG_02177
OG0001579	KAK4474867.1	FGIG_02212
OG0001580	KAK4473439.1	FGIG_02237
OG0001581	KAK4470867.1	FGIG_02435
OG0001582	KAK4469986.1	FGIG_02459
OG0001583	KAK4467501.1	FGIG_02462
OG0001584	KAK4474170.1	FGIG_02509, FGIG_02508
OG0001585	KAK4473664.1	FGIG_02700
OG0001586	KAK4474962.1	FGIG_02757
OG0001587	KAK4475140.1	FGIG_02789, FGIG_08846
OG0001588	KAK4471682.1	FGIG_03013
OG0001589	KAK4472272.1	FGIG_03031
OG0001590	KAK4470391.1	FGIG_03074
OG0001591	KAK4467880.1	FGIG_03110
OG0001592	KAK4475159.1	FGIG_03254
OG0001593	KAK4471969.1	FGIG_03389
OG0001594	KAK4474020.1	FGIG_03404
OG0001595	KAK4471263.1	FGIG_03681
OG0001596	KAK4471007.1, KAK4471006.1	FGIG_03686
OG0001597	KAK4470575.1	FGIG_03710
OG0001598	KAK4469123.1	FGIG_03711
OG0001599	KAK4470370.1	FGIG_03826
OG0001600	KAK4472472.1	FGIG_03860
OG0001601	KAK4471351.1	FGIG_04047
OG0001602	KAK4474735.1	FGIG_04252
OG0001603	KAK4469483.1	FGIG_04384
OG0001604	KAK4473169.1	FGIG_04790
OG0001606	KAK4473367.1	FGIG_09218, FGIG_09219, FGIG_05027
OG0001607	KAK4470705.1	FGIG_05053, FGIG_08672
OG0001608	KAK4469157.1	FGIG_05065
OG0001610	KAK4473963.1	FGIG_08349, FGIG_05093
OG0001611	KAK4471878.1	FGIG_05457
OG0001612	KAK4474674.1	FGIG_05464
OG0001613	KAK4470649.1	FGIG_05500
OG0001614	KAK4473674.1	FGIG_05538, FGIG_05540
OG0001615	KAK4473673.1	FGIG_05541
OG0001616	KAK4476267.1	FGIG_05680
OG0001617	KAK4469909.1	FGIG_05780
OG0001619	KAK4469895.1	FGIG_05824
OG0001620	KAK4472293.1	FGIG_06091
OG0001621	KAK4475743.1	FGIG_06135
OG0001622	KAK4468112.1	FGIG_06211, FGIG_06210
OG0001623	KAK4475954.1	FGIG_06565
OG0001624	KAK4472927.1	FGIG_07374, FGIG_06649
OG0001625	KAK4471687.1, KAK4471689.1, KAK4471690.1	FGIG_11741, FGIG_06687
OG0001626	KAK4472240.1	FGIG_06845
OG0001627	KAK4470285.1	FGIG_06856
OG0001628	KAK4474805.1	FGIG_06970
OG0001629	KAK4475152.1	FGIG_07009
OG0001630	KAK4476208.1	FGIG_07208
OG0001631	KAK4468541.1	FGIG_07316
OG0001632	KAK4471598.1	FGIG_07391
OG0001633	KAK4467624.1	FGIG_07448
OG0001634	KAK4468718.1	FGIG_07519
OG0001635	KAK4475804.1, KAK4475805.1	FGIG_07538, FGIG_07539
OG0001636	KAK4470372.1	FGIG_07566
OG0001637	KAK4471172.1	FGIG_07660
OG0001639	KAK4474837.1, KAK4474838.1	FGIG_08142
OG0001640	KAK4474986.1	FGIG_08389
OG0001641	KAK4468595.1	FGIG_08605
OG0001643	KAK4472002.1	FGIG_08854
OG0001644	KAK4469279.1	FGIG_09142
OG0001645	KAK4467665.1	FGIG_09151, FGIG_10352
OG0001646	KAK4469988.1	FGIG_09195
OG0001647	KAK4473419.1	FGIG_09206
OG0001648	KAK4471000.1	FGIG_09300
OG0001649	KAK4474518.1	FGIG_09378
OG0001650	KAK4470319.1	FGIG_10424, FGIG_12069
OG0001651	KAK4475239.1	FGIG_10542
OG0001652	KAK4470154.1	FGIG_10655
OG0001653	KAK4475931.1	FGIG_10856
OG0001654	KAK4468635.1	FGIG_11347
OG0001655	KAK4471560.1	FGIG_11826
OG0001656	KAK4468765.1	FGIG_12138
OG0001657	KAK4472325.1	FGIG_12273
OG0001668	KAK4472995.1	FGIG_00343, FGIG_00341, FGIG_00342
OG0001669	KAK4472585.1	FGIG_00345
OG0001670	KAK4473978.1	FGIG_00362, FGIG_09303, FGIG_09302
OG0001671	KAK4472488.1	FGIG_00386
OG0001672	KAK4472742.1	FGIG_00594
OG0001673	KAK4471952.1	FGIG_00782
OG0001675	KAK4471637.1	FGIG_01158
OG0001676	KAK4474386.1	FGIG_01424
OG0001677	KAK4468654.1	FGIG_01587
OG0001678	KAK4471141.1	FGIG_01613
OG0001679	KAK4475050.1, KAK4475048.1	FGIG_01636
OG0001680	KAK4472908.1	FGIG_01674, FGIG_09657, FGIG_01673
OG0001681	KAK4475126.1	FGIG_10397, FGIG_01757
OG0001682	KAK4474882.1	FGIG_01772
OG0001683	KAK4473241.1	FGIG_09870, FGIG_01860, FGIG_09138, FGIG_09869
OG0001684	KAK4472759.1	FGIG_06953, FGIG_02137
OG0001685	KAK4474323.1, KAK4475314.1	FGIG_02286
OG0001686	KAK4468284.1	FGIG_02332
OG0001687	KAK4469989.1	FGIG_02344
OG0001688	KAK4475439.1	FGIG_02355, FGIG_02354
OG0001689	KAK4475407.1, KAK4475411.1	FGIG_02361
OG0001690	KAK4472283.1	FGIG_02412
OG0001691	KAK4474679.1	FGIG_02430
OG0001692	KAK4470682.1	FGIG_02603
OG0001693	KAK4468270.1	FGIG_02612
OG0001694	KAK4468266.1	FGIG_02613
OG0001695	KAK4472607.1	FGIG_02650
OG0001696	KAK4473531.1	FGIG_02668
OG0001697	KAK4467703.1	FGIG_02799
OG0001698	KAK4470822.1	FGIG_02827
OG0001699	KAK4471814.1	FGIG_08442, FGIG_12071, FGIG_02860
OG0001700	KAK4475303.1	FGIG_02948
OG0001701	KAK4467316.1	FGIG_02954
OG0001702	KAK4474190.1	FGIG_03036
OG0001703	KAK4474095.1	FGIG_03206
OG0001704	KAK4475225.1	FGIG_03262
OG0001705	KAK4473177.1, KAK4472217.1	FGIG_03312
OG0001706	KAK4472590.1	FGIG_03334
OG0001707	KAK4471214.1	FGIG_03346, FGIG_11546
OG0001708	KAK4467777.1	FGIG_07923, FGIG_03395
OG0001709	KAK4472429.1	FGIG_03643
OG0001710	KAK4468896.1	FGIG_03672
OG0001711	KAK4467741.1	FGIG_03723, FGIG_09584, FGIG_05732, FGIG_12458
OG0001712	KAK4473397.1	FGIG_04007
OG0001713	KAK4471106.1	FGIG_04033
OG0001714	KAK4471104.1	FGIG_04034
OG0001715	KAK4473301.1	FGIG_04340
OG0001716	KAK4470062.1	FGIG_04933, FGIG_04367
OG0001717	KAK4472811.1	FGIG_04529
OG0001718	KAK4475292.1	FGIG_04552
OG0001719	KAK4473579.1	FGIG_04710, FGIG_04709
OG0001720	KAK4474489.1	FGIG_04866, FGIG_06080
OG0001721	KAK4469753.1, KAK4469756.1	FGIG_04876
OG0001722	KAK4474408.1	FGIG_04965, FGIG_10318
OG0001723	KAK4474388.1	FGIG_05019
OG0001724	KAK4470267.1	FGIG_05138, FGIG_11352
OG0001725	KAK4470124.1	FGIG_05235
OG0001726	KAK4474075.1	FGIG_08225, FGIG_11396
OG0001726	KAK4468354.1	FGIG_05249
OG0001727	KAK4468593.1	FGIG_05253
OG0001728	KAK4471793.1	FGIG_05390
OG0001729	KAK4475934.1	FGIG_05422
OG0001730	KAK4475220.1	FGIG_05448
OG0001731	KAK4472709.1	FGIG_05472
OG0001732	KAK4469561.1	FGIG_05692
OG0001733	KAK4471822.1	FGIG_05918
OG0001734	KAK4468884.1	FGIG_05951, FGIG_07347
OG0001735	KAK4472994.1	FGIG_06068
OG0001736	KAK4474877.1	FGIG_06248, FGIG_09628
OG0001737	KAK4468482.1	FGIG_06314
OG0001738	KAK4473402.1	FGIG_06451, FGIG_06452
OG0001739	KAK4473001.1, KAK4473011.1	FGIG_06589
OG0001740	KAK4469854.1	FGIG_06601
OG0001741	KAK4475742.1, KAK4467456.1	FGIG_06645
OG0001742	KAK4469913.1	FGIG_06724
OG0001743	KAK4468437.1	FGIG_06750
OG0001744	KAK4471501.1	FGIG_06776
OG0001745	KAK4472806.1	FGIG_10942, FGIG_06817
OG0001746	KAK4468263.1	FGIG_07007, FGIG_11346
OG0001747	KAK4475909.1	FGIG_10446, FGIG_07087
OG0001748	KAK4472108.1	FGIG_07196
OG0001749	KAK4472984.1	FGIG_07207
OG0001750	KAK4475699.1	FGIG_07290, FGIG_11354
OG0001751	KAK4472971.1	FGIG_07350
OG0001752	KAK4476299.1	FGIG_07833, FGIG_07832, FGIG_07400
OG0001753	KAK4474597.1	FGIG_07740
OG0001754	KAK4472010.1	FGIG_07797, FGIG_07796
OG0001755	KAK4475689.1	FGIG_07829
OG0001756	KAK4469397.1	FGIG_08210
OG0001758	KAK4468062.1	FGIG_12341, FGIG_08329
OG0001759	KAK4471546.1	FGIG_12373, FGIG_08557, FGIG_11928
OG0001760	KAK4471578.1	FGIG_08695, FGIG_08696, FGIG_08694
OG0001761	KAK4467949.1, KAK4468183.1	FGIG_12460, FGIG_09474, FGIG_09475, FGIG_08736
OG0001762	KAK4467819.1	FGIG_08880, FGIG_11962
OG0001763	KAK4472682.1	FGIG_08936
OG0001764	KAK4474785.1	FGIG_09029, FGIG_09028
OG0001765	KAK4471538.1	FGIG_09205
OG0001766	KAK4474197.1	FGIG_09234
OG0001767	KAK4475684.1, KAK4467389.1, KAK4475683.1	FGIG_12380, FGIG_09314
OG0001768	KAK4468897.1	FGIG_09327
OG0001769	KAK4475540.1	FGIG_09331
OG0001770	KAK4472315.1	FGIG_09332
OG0001771	KAK4469467.1	FGIG_09366
OG0001772	KAK4468517.1	FGIG_09813
OG0001773	KAK4471437.1	FGIG_09836
OG0001774	KAK4476044.1	FGIG_09938
OG0001775	KAK4475222.1	FGIG_10075
OG0001776	KAK4467656.1	FGIG_10105
OG0001777	KAK4474215.1, KAK4474211.1, KAK4474212.1	FGIG_10186
OG0001778	KAK4468568.1	FGIG_10398
OG0001779	KAK4473304.1	FGIG_10521
OG0001780	KAK4472870.1	FGIG_10677
OG0001781	KAK4467680.1	FGIG_10803, FGIG_11244
OG0001782	KAK4471070.1	FGIG_10806
OG0001783	KAK4472722.1	FGIG_10960
OG0001784	KAK4473465.1	FGIG_11263
OG0001785	KAK4473376.1	FGIG_11277
OG0001786	KAK4471290.1	FGIG_11466
OG0001787	KAK4473373.1	FGIG_11743
OG0001788	KAK4470422.1	FGIG_11918
OG0001789	KAK4475490.1	FGIG_12472
OG0001790	KAK4473652.1	FGIG_12557
OG0001801	KAK4474541.1	FGIG_00130
OG0001802	KAK4473993.1	FGIG_00149
OG0001803	KAK4473637.1, KAK4473636.1	FGIG_00286
OG0001804	KAK4472388.1	FGIG_00398
OG0001805	KAK4472728.1	FGIG_00507, FGIG_00508
OG0001806	KAK4467839.1	FGIG_00525
OG0001807	KAK4474591.1	FGIG_00587
OG0001808	KAK4475115.1	FGIG_00700
OG0001809	KAK4472364.1	FGIG_00729
OG0001810	KAK4467749.1	FGIG_00762
OG0001811	KAK4476221.1	FGIG_00833
OG0001812	KAK4470365.1	FGIG_00836
OG0001813	KAK4474479.1	FGIG_00936
OG0001814	KAK4470457.1	FGIG_00962
OG0001815	KAK4469120.1, KAK4469121.1	FGIG_01073, FGIG_01074
OG0001816	KAK4469095.1	FGIG_01170
OG0001817	KAK4473773.1	FGIG_01315
OG0001818	KAK4469237.1	FGIG_01476
OG0001819	KAK4475051.1	FGIG_01638
OG0001820	KAK4471907.1	FGIG_01817, FGIG_01816
OG0001821	KAK4467978.1	FGIG_01822
OG0001821	KAK4471167.1	FGIG_03077
OG0001822	KAK4467887.1	FGIG_01856, FGIG_12355
OG0001823	KAK4475370.1	FGIG_02236, FGIG_05411
OG0001824	KAK4475313.1	FGIG_02287
OG0001825	KAK4469644.1	FGIG_02531
OG0001826	KAK4475849.1	FGIG_02634
OG0001827	KAK4470784.1	FGIG_02803, FGIG_12147, FGIG_11771, FGIG_12499
OG0001828	KAK4469508.1	FGIG_02847
OG0001829	KAK4473132.1	FGIG_02872
OG0001830	KAK4471134.1	FGIG_02879, FGIG_12693
OG0001831	KAK4471442.1	FGIG_02881
OG0001832	KAK4468142.1	FGIG_02973
OG0001833	KAK4468153.1	FGIG_02974
OG0001834	KAK4470481.1	FGIG_02991
OG0001835	KAK4474848.1	FGIG_11589, FGIG_03039
OG0001836	KAK4475561.1	FGIG_03199
OG0001837	KAK4468362.1	FGIG_03271
OG0001838	KAK4472969.1	FGIG_03289
OG0001839	KAK4469356.1	FGIG_03331
OG0001840	KAK4473925.1	FGIG_03379
OG0001841	KAK4474803.1	FGIG_03429
OG0001842	KAK4467763.1	FGIG_03482, FGIG_12479
OG0001843	KAK4473403.1	FGIG_03549
OG0001844	KAK4474950.1	FGIG_03580
OG0001845	KAK4467647.1	FGIG_03666
OG0001846	KAK4472936.1	FGIG_11334, FGIG_03780, FGIG_03781
OG0001847	KAK4475768.1	FGIG_03848
OG0001848	KAK4467434.1, KAK4475817.1	FGIG_04380
OG0001849	KAK4472068.1	FGIG_04452
OG0001850	KAK4470579.1	FGIG_04633
