Orthogroup	s.mekongi	opisthorchis_viverrini
OG0001271	KAK4471210.1	T265_01405
OG0001272	KAK4470053.1	T265_09223
OG0001273	KAK4470612.1	T265_12104
OG0001275	KAK4469887.1	T265_07335, T265_10840, T265_11809
OG0001276	KAK4471898.1	T265_00611
OG0001277	KAK4475596.1	T265_00220
OG0001278	KAK4468621.1	T265_01837
OG0001281	KAK4470688.1, KAK4470830.1, KAK4470831.1	T265_03870, T265_13351
OG0001288	KAK4467620.1	T265_04400
OG0001289	KAK4472424.1	T265_07802
OG0001290	KAK4475785.1	T265_06266
OG0001291	KAK4476039.1	T265_02085
OG0001292	KAK4476023.1	T265_15256
OG0001293	KAK4469805.1	T265_08598, T265_02864
OG0001294	KAK4472567.1	T265_10701, T265_16370
OG0001295	KAK4472604.1	T265_09730
OG0001296	KAK4475956.1, KAK4475955.1	T265_08476
OG0001297	KAK4474512.1	T265_04571
OG0001298	KAK4474031.1	T265_07619
OG0001300	KAK4475917.1	T265_08424
OG0001301	KAK4469880.1	T265_00039
OG0001302	KAK4475526.1	T265_12500
OG0001303	KAK4472605.1, KAK4472606.1	T265_10770
OG0001304	KAK4468665.1	T265_03829
OG0001305	KAK4474662.1	T265_07987
OG0001306	KAK4471984.1	T265_00541
OG0001307	KAK4468348.1	T265_01195
OG0001307	KAK4468345.1	T265_01660
OG0001309	KAK4470646.1	T265_13784
OG0001310	KAK4473092.1	T265_05987
OG0001311	KAK4472492.1	T265_11912
OG0001312	KAK4472637.1	T265_09660, T265_12061
OG0001313	KAK4472134.1, KAK4473418.1	T265_13569, T265_16167
OG0001314	KAK4476271.1	T265_04550
OG0001315	KAK4472633.1	T265_13138
OG0001316	KAK4474142.1	T265_04509
OG0001317	KAK4475271.1	T265_09060
OG0001318	KAK4475775.1	T265_13991
OG0001319	KAK4473722.1	T265_06528
OG0001320	KAK4471435.1	T265_08464
OG0001321	KAK4475382.1	T265_00915
OG0001322	KAK4469624.1	T265_03302
OG0001323	KAK4474405.1	T265_12486
OG0001324	KAK4468826.1	T265_14768
OG0001325	KAK4467845.1	T265_13829
OG0001326	KAK4469191.1	T265_12747
OG0001327	KAK4468417.1	T265_04765
OG0001328	KAK4467516.1, KAK4475737.1, KAK4467405.1	T265_08521, T265_16151
OG0001330	KAK4472695.1	T265_02990
OG0001331	KAK4469579.1	T265_13007
OG0001332	KAK4472042.1	T265_10139
OG0001332	KAK4470197.1	T265_00767
OG0001333	KAK4471477.1	T265_03325
OG0001334	KAK4474703.1	T265_06833
OG0001335	KAK4472711.1	T265_08232
OG0001336	KAK4469248.1	T265_08608, T265_14629
OG0001338	KAK4473835.1	T265_14448
OG0001339	KAK4474554.1	T265_15348
OG0001340	KAK4476161.1, KAK4476160.1	T265_10344
OG0001341	KAK4470433.1	T265_12020
OG0001342	KAK4469498.1	T265_14230
OG0001343	KAK4470199.1, KAK4470200.1	T265_13062
OG0001344	KAK4470426.1	T265_10971
OG0001345	KAK4473469.1	T265_01513
OG0001346	KAK4474563.1	T265_14870
OG0001347	KAK4472285.1	T265_13036
OG0001348	KAK4474058.1	T265_01495
OG0001350	KAK4472671.1	T265_14606
OG0001351	KAK4473300.1	T265_13461
OG0001352	KAK4473285.1	T265_05586
OG0001353	KAK4471694.1	T265_04201
OG0001354	KAK4471128.1	T265_07793
OG0001355	KAK4472013.1	T265_14810, T265_10683
OG0001356	KAK4470235.1	T265_02268, T265_01960
OG0001357	KAK4473732.1	T265_02597, T265_15181
OG0001361	KAK4472834.1	T265_09022
OG0001362	KAK4472727.1	T265_07497
OG0001363	KAK4467637.1	T265_13550
OG0001364	KAK4468089.1	T265_11114
OG0001365	KAK4470803.1	T265_06976, T265_16366
OG0001367	KAK4467781.1	T265_06622
OG0001368	KAK4475327.1	T265_00192
OG0001369	KAK4468924.1	T265_01904, T265_15996
OG0001370	KAK4471090.1	T265_14639
OG0001371	KAK4474011.1	T265_04340
OG0001372	KAK4473839.1	T265_07978, T265_16138
OG0001373	KAK4475524.1	T265_00255
OG0001374	KAK4471908.1	T265_12908
OG0001376	KAK4468841.1	T265_03803
OG0001377	KAK4471750.1	T265_11911
OG0001378	KAK4475624.1	T265_12257
OG0001379	KAK4470300.1	T265_00091
OG0001380	KAK4472050.1	T265_12561
OG0001381	KAK4470574.1	T265_12544, T265_00449
OG0001383	KAK4467561.1, KAK4467562.1, KAK4475694.1	T265_11947
OG0001384	KAK4467390.1	T265_09759
OG0001385	KAK4473334.1	T265_01081
OG0001387	KAK4468825.1	T265_14769
OG0001388	KAK4474533.1	T265_14723, T265_14724
OG0001389	KAK4469569.1	T265_12521
OG0001390	KAK4473695.1, KAK4467327.1	T265_02614
OG0001391	KAK4474184.1	T265_01912
OG0001392	KAK4467529.1, KAK4467530.1, KAK4474649.1	T265_10877
OG0001393	KAK4474810.1	T265_06210, T265_06211
OG0001394	KAK4470691.1	T265_00453
OG0001395	KAK4473275.1	T265_05397
OG0001397	KAK4471735.1	T265_05166
OG0001398	KAK4474558.1	T265_14744
OG0001399	KAK4468491.1	T265_07384
OG0001400	KAK4468320.1	T265_13928
OG0001401	KAK4469444.1	T265_02697
OG0001402	KAK4472860.1	T265_07539, T265_03846
OG0001403	KAK4469835.1	T265_11145
OG0001404	KAK4475068.1	T265_08776
OG0001405	KAK4472330.1	T265_06509, T265_12170
OG0001406	KAK4472773.1	T265_02953
OG0001407	KAK4467966.1	T265_15532, T265_15533
OG0001408	KAK4473060.1	T265_01105
OG0001410	KAK4474146.1, KAK4474145.1	T265_01911
OG0001411	KAK4472836.1	T265_09016
OG0001412	KAK4472825.1, KAK4472824.1	T265_15135, T265_15134
OG0001413	KAK4467707.1	T265_15458
OG0001414	KAK4475715.1	T265_06660
OG0001415	KAK4472656.1	T265_12583
OG0001416	KAK4474571.1	T265_15557
OG0001417	KAK4474476.1	T265_01847
OG0001418	KAK4475658.1	T265_05264
OG0001420	KAK4468277.1	T265_16318
OG0001421	KAK4473975.1	T265_06472
OG0001422	KAK4470355.1	T265_11255
OG0001423	KAK4474401.1	T265_04431
OG0001424	KAK4475978.1	T265_03034
OG0001425	KAK4473253.1	T265_07510
OG0001426	KAK4476100.1	T265_14581
OG0001427	KAK4472853.1	T265_05041
OG0001428	KAK4475537.1	T265_02928
OG0001429	KAK4469523.1	T265_12422
OG0001431	KAK4471244.1	T265_01123
OG0001432	KAK4475480.1	T265_10509
OG0001433	KAK4475337.1	T265_15424
OG0001434	KAK4467660.1	T265_04812
OG0001435	KAK4470399.1	T265_14120
OG0001436	KAK4470775.1	T265_10576
OG0001437	KAK4469296.1, KAK4469385.1	T265_12582
OG0001438	KAK4475129.1	T265_03681
OG0001439	KAK4470521.1	T265_02218
OG0001440	KAK4473854.1	T265_02878
OG0001441	KAK4468453.1, KAK4468533.1, KAK4468536.1	T265_07339
OG0001443	KAK4475081.1	T265_09543
OG0001444	KAK4470278.1	T265_13620
OG0001445	KAK4470607.1	T265_09117
OG0001454	KAK4468255.1	T265_02228
OG0001455	KAK4467822.1	T265_11649
OG0001456	KAK4471721.1, KAK4471036.1, KAK4471732.1	T265_05111
OG0001457	KAK4475852.1	T265_04536
OG0001458	KAK4472480.1	T265_04521
OG0001459	KAK4471159.1	T265_15689
OG0001460	KAK4474046.1	T265_14339
OG0001461	KAK4472865.1	T265_06464
OG0001462	KAK4467568.1	T265_07001
OG0001463	KAK4472017.1	T265_03664, T265_08711, T265_05105
OG0001464	KAK4469332.1	T265_09082
OG0001465	KAK4470015.1, KAK4470333.1	T265_07647
OG0001466	KAK4475780.1, KAK4475777.1, KAK4467227.1	T265_14982
OG0001467	KAK4471670.1	T265_00617
OG0001468	KAK4475755.1	T265_06819
OG0001469	KAK4468293.1	T265_01693
OG0001470	KAK4471118.1	T265_14595, T265_15746
OG0001471	KAK4471762.1, KAK4471761.1	T265_15237
OG0001472	KAK4471954.1	T265_08050
OG0001473	KAK4470641.1	T265_00769
OG0001474	KAK4473644.1	T265_11473
OG0001475	KAK4469874.1	T265_14342
OG0001476	KAK4476002.1	T265_05560
OG0001477	KAK4469033.1	T265_06773
OG0001478	KAK4475476.1	T265_00873
OG0001479	KAK4476159.1	T265_08475
OG0001480	KAK4475942.1	T265_01604
OG0001481	KAK4469635.1, KAK4469636.1	T265_14626, T265_14628, T265_14627
OG0001482	KAK4468865.1	T265_05352
OG0001483	KAK4470165.1	T265_01269, T265_01266
OG0001484	KAK4473387.1	T265_10296
OG0001485	KAK4472286.1	T265_10549
OG0001486	KAK4469506.1	T265_02851
OG0001487	KAK4473164.1	T265_09627, T265_15615
OG0001488	KAK4474060.1	T265_01494
OG0001488	KAK4467784.1	T265_04399, T265_08966
OG0001489	KAK4473243.1	T265_05991
OG0001490	KAK4472636.1	T265_13139
OG0001491	KAK4467448.1, KAK4475818.1	T265_07832
OG0001492	KAK4469550.1	T265_04063, T265_04062
OG0001493	KAK4469536.1	T265_03979
OG0001494	KAK4472983.1	T265_14892, T265_09586
OG0001495	KAK4475962.1	T265_06435
OG0001496	KAK4470511.1	T265_01743
OG0001497	KAK4474198.1	T265_02802
OG0001498	KAK4473400.1	T265_03502
OG0001499	KAK4471805.1	T265_01557
OG0001501	KAK4467925.1	T265_04822
OG0001502	KAK4475834.1	T265_16258
OG0001503	KAK4469162.1	T265_05097, T265_12399
OG0001504	KAK4471426.1	T265_03352
OG0001505	KAK4467674.1	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141
OG0001506	KAK4474547.1	T265_13987
OG0001507	KAK4469704.1	T265_01301
OG0001508	KAK4473780.1	T265_14041
OG0001509	KAK4470670.1	T265_09841, T265_15907
OG0001510	KAK4473423.1	T265_10677
OG0001511	KAK4472609.1	T265_10772
OG0001512	KAK4470155.1, KAK4470156.1	T265_05456
OG0001513	KAK4474579.1	T265_14406
OG0001514	KAK4474937.1	T265_02478
OG0001515	KAK4476213.1	T265_03047, T265_13123
OG0001516	KAK4475046.1	T265_07259
OG0001517	KAK4473097.1	T265_05985
OG0001518	KAK4470507.1	T265_01746
OG0001519	KAK4470526.1	T265_08195
OG0001520	KAK4475990.1	T265_06489
OG0001521	KAK4469850.1	T265_01208, T265_16307
OG0001522	KAK4474373.1	T265_14252
OG0001523	KAK4469319.1	T265_11980
OG0001524	KAK4468358.1, KAK4468304.1	T265_02241
OG0001525	KAK4472296.1	T265_08346
OG0001526	KAK4469504.1	T265_00835
OG0001527	KAK4468587.1	T265_12883
OG0001528	KAK4473520.1	T265_08066
OG0001529	KAK4472072.1	T265_12570
OG0001530	KAK4469900.1	T265_09171
OG0001531	KAK4474840.1, KAK4474842.1	T265_04383
OG0001533	KAK4472100.1	T265_09632
OG0001534	KAK4470485.1	T265_02002
OG0001535	KAK4468789.1	T265_00031
OG0001537	KAK4474598.1	T265_07231, T265_07233
OG0001538	KAK4468775.1	T265_04172
OG0001539	KAK4474777.1	T265_03334
OG0001540	KAK4473765.1	T265_04996
OG0001541	KAK4468168.1	T265_13925
OG0001542	KAK4469573.1	T265_07214
OG0001543	KAK4468017.1	T265_07128
OG0001544	KAK4474656.1	T265_12018
OG0001546	KAK4474025.1	T265_03376
OG0001547	KAK4472298.1	T265_04460
OG0001554	KAK4472720.1	T265_03627
OG0001555	KAK4470510.1	T265_12003
OG0001556	KAK4474204.1	T265_05427
OG0001557	KAK4472960.1	T265_02616
OG0001558	KAK4467369.1	T265_05296
OG0001560	KAK4471393.1	T265_03153
OG0001561	KAK4469503.1, KAK4469493.1	T265_00466
OG0001562	KAK4470382.1, KAK4470383.1, KAK4470380.1	T265_07195, T265_14225, T265_14226, T265_14228
OG0001563	KAK4472898.1	T265_08071
OG0001564	KAK4468971.1	T265_09439, T265_09367, T265_15503
OG0001565	KAK4471199.1	T265_13020, T265_13021
OG0001566	KAK4471382.1	T265_01168
OG0001567	KAK4470759.1	T265_11351
OG0001568	KAK4467482.1	T265_08844
OG0001569	KAK4475458.1	T265_08597, T265_06165
OG0001570	KAK4470472.1	T265_14294, T265_15779
OG0001571	KAK4475974.1	T265_06223, T265_06225
OG0001572	KAK4471383.1	T265_08929
OG0001573	KAK4472974.1	T265_14303
OG0001574	KAK4474125.1	T265_11245
OG0001575	KAK4474487.1, KAK4467524.1	T265_01850
OG0001576	KAK4468675.1	T265_05959
OG0001577	KAK4472784.1	T265_10560
OG0001578	KAK4469733.1	T265_03834
OG0001579	KAK4474867.1	T265_00891, T265_12293
OG0001580	KAK4473439.1	T265_11044, T265_11046
OG0001581	KAK4470867.1	T265_13097
OG0001582	KAK4469986.1	T265_00284
OG0001583	KAK4467501.1	T265_07844
OG0001584	KAK4474170.1	T265_13141, T265_00101, T265_14080
OG0001585	KAK4473664.1	T265_13043
OG0001586	KAK4474962.1	T265_08001
OG0001587	KAK4475140.1	T265_00980
OG0001588	KAK4471682.1	T265_09362
OG0001590	KAK4470391.1	T265_05785
OG0001591	KAK4467880.1	T265_02753
OG0001592	KAK4475159.1	T265_07090, T265_10582
OG0001593	KAK4471969.1	T265_05613
OG0001594	KAK4474020.1	T265_10080
OG0001595	KAK4471263.1	T265_11438
OG0001596	KAK4471007.1, KAK4471006.1	T265_05252, T265_13230
OG0001597	KAK4470575.1	T265_02935
OG0001598	KAK4469123.1	T265_00351
OG0001599	KAK4470370.1	T265_10881
OG0001600	KAK4472472.1	T265_08507
OG0001601	KAK4471351.1	T265_12251, T265_13640
OG0001602	KAK4474735.1	T265_06910
OG0001604	KAK4473169.1	T265_10406
OG0001606	KAK4473367.1	T265_10728
OG0001607	KAK4470705.1	T265_15554
OG0001608	KAK4469157.1	T265_08088
OG0001610	KAK4473963.1	T265_14531
OG0001611	KAK4471878.1	T265_01454
OG0001612	KAK4474674.1	T265_06824
OG0001613	KAK4470649.1	T265_02844
OG0001614	KAK4473674.1	T265_06438, T265_00023, T265_08537
OG0001615	KAK4473673.1	T265_08538
OG0001617	KAK4469909.1	T265_01771, T265_12207
OG0001619	KAK4469895.1	T265_00098
OG0001620	KAK4472293.1	T265_07578, T265_07576
OG0001621	KAK4475743.1	T265_11273
OG0001622	KAK4468112.1	T265_12340, T265_16297
OG0001623	KAK4475954.1	T265_00228, T265_08047
OG0001624	KAK4472927.1	T265_09187
OG0001626	KAK4472240.1	T265_11931
OG0001627	KAK4470285.1	T265_02191
OG0001628	KAK4474805.1	T265_05566
OG0001629	KAK4475152.1	T265_01797
OG0001630	KAK4476208.1	T265_02099
OG0001631	KAK4468541.1	T265_03790
OG0001632	KAK4471598.1	T265_14353
OG0001633	KAK4467624.1	T265_10187
OG0001634	KAK4468718.1	T265_00567
OG0001635	KAK4475804.1, KAK4475805.1	T265_06410, T265_15946
OG0001636	KAK4470372.1	T265_05447
OG0001637	KAK4471172.1	T265_08784
OG0001640	KAK4474986.1	T265_06192
OG0001641	KAK4468595.1	T265_13439
OG0001642	KAK4469018.1	T265_11396
OG0001643	KAK4472002.1	T265_09518
OG0001644	KAK4469279.1	T265_04914
OG0001645	KAK4467665.1	T265_10635
OG0001646	KAK4469988.1	T265_09167
OG0001647	KAK4473419.1	T265_04701
OG0001648	KAK4471000.1	T265_01727
OG0001649	KAK4474518.1	T265_04939
OG0001650	KAK4470319.1	T265_07849
OG0001652	KAK4470154.1	T265_14643
OG0001653	KAK4475931.1	T265_12692
OG0001655	KAK4471560.1	T265_08873
OG0001656	KAK4468765.1	T265_01416
OG0001657	KAK4472325.1	T265_02579
OG0001659	KAK4467371.1, KAK4467374.1, KAK4474153.1	T265_05197
OG0001668	KAK4472995.1	T265_09738
OG0001669	KAK4472585.1	T265_14607
OG0001670	KAK4473978.1	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981
OG0001671	KAK4472488.1	T265_14634
OG0001672	KAK4472742.1	T265_00750
OG0001673	KAK4471952.1	T265_01379
OG0001675	KAK4471637.1	T265_12874
OG0001676	KAK4474386.1	T265_01615
OG0001677	KAK4468654.1	T265_05762
OG0001680	KAK4472908.1	T265_09371
OG0001681	KAK4475126.1	T265_12663, T265_16018
OG0001682	KAK4474882.1	T265_15158
OG0001683	KAK4473241.1	T265_09590, T265_14893, T265_03749
OG0001684	KAK4472759.1	T265_09014
OG0001685	KAK4474323.1, KAK4475314.1	T265_15090
OG0001686	KAK4468284.1	T265_09608, T265_15908
OG0001687	KAK4469989.1	T265_07419
OG0001688	KAK4475439.1	T265_07388
OG0001689	KAK4475407.1, KAK4475411.1	T265_15368
OG0001690	KAK4472283.1	T265_04514
OG0001691	KAK4474679.1	T265_03200
OG0001692	KAK4470682.1	T265_13395
OG0001694	KAK4468266.1	T265_02240
OG0001695	KAK4472607.1	T265_10771
OG0001696	KAK4473531.1	T265_09913
OG0001697	KAK4467703.1	T265_05671
OG0001698	KAK4470822.1	T265_05919
OG0001699	KAK4471814.1	T265_08126
OG0001700	KAK4475303.1	T265_09892
OG0001701	KAK4467316.1	T265_03185
OG0001702	KAK4474190.1	T265_01458
OG0001703	KAK4474095.1	T265_14685
OG0001704	KAK4475225.1	T265_10332
OG0001705	KAK4473177.1, KAK4472217.1	T265_06950
OG0001706	KAK4472590.1	T265_00105
OG0001707	KAK4471214.1	T265_01410
OG0001708	KAK4467777.1	T265_02720
OG0001709	KAK4472429.1	T265_13976
OG0001710	KAK4468896.1	T265_05358
OG0001711	KAK4467741.1	T265_05328
OG0001712	KAK4473397.1	T265_14005
OG0001713	KAK4471106.1	T265_08885
OG0001714	KAK4471104.1	T265_14693
OG0001715	KAK4473301.1	T265_03710
OG0001716	KAK4470062.1	T265_12518
OG0001717	KAK4472811.1	T265_02968
OG0001718	KAK4475292.1	T265_09214
OG0001719	KAK4473579.1	T265_04478
OG0001720	KAK4474489.1	T265_12689, T265_01853
OG0001721	KAK4469753.1, KAK4469756.1	T265_01466
OG0001722	KAK4474408.1	T265_10430, T265_16265
OG0001723	KAK4474388.1	T265_12870
OG0001724	KAK4470267.1	T265_04056
OG0001725	KAK4470124.1	T265_09161
OG0001726	KAK4474075.1	T265_12576
OG0001726	KAK4468354.1	T265_01638
OG0001727	KAK4468593.1	T265_10361
OG0001728	KAK4471793.1	T265_03905
OG0001729	KAK4475934.1	T265_01004
OG0001731	KAK4472709.1	T265_11635
OG0001732	KAK4469561.1	T265_02819
OG0001733	KAK4471822.1	T265_03326
OG0001734	KAK4468884.1	T265_07463
OG0001735	KAK4472994.1	T265_07057, T265_07056
OG0001736	KAK4474877.1	T265_14980
OG0001737	KAK4468482.1	T265_05187
OG0001738	KAK4473402.1	T265_04467
OG0001739	KAK4473001.1, KAK4473011.1	T265_09719
OG0001740	KAK4469854.1	T265_02848
OG0001741	KAK4475742.1, KAK4467456.1	T265_09400
OG0001742	KAK4469913.1	T265_01766
OG0001744	KAK4471501.1	T265_10654, T265_12595
OG0001745	KAK4472806.1	T265_05962
OG0001746	KAK4468263.1	T265_12992
OG0001747	KAK4475909.1	T265_08419
OG0001748	KAK4472108.1	T265_02528
OG0001749	KAK4472984.1	T265_05162, T265_13920
OG0001750	KAK4475699.1	T265_14641, T265_08679
OG0001751	KAK4472971.1	T265_03745
OG0001752	KAK4476299.1	T265_08775
OG0001754	KAK4472010.1	T265_14140
OG0001755	KAK4475689.1	T265_08222, T265_10918
OG0001756	KAK4469397.1	T265_02705
OG0001758	KAK4468062.1	T265_08429, T265_16089, T265_08430
OG0001759	KAK4471546.1	T265_14874
OG0001760	KAK4471578.1	T265_13963
OG0001761	KAK4467949.1, KAK4468183.1	T265_11120
OG0001762	KAK4467819.1	T265_08963, T265_16323, T265_08964
OG0001763	KAK4472682.1	T265_11384
OG0001764	KAK4474785.1	T265_04595
OG0001765	KAK4471538.1	T265_00502
OG0001766	KAK4474197.1	T265_14565
OG0001767	KAK4475684.1, KAK4467389.1, KAK4475683.1	T265_04548
OG0001768	KAK4468897.1	T265_10297
OG0001769	KAK4475540.1	T265_03947
OG0001770	KAK4472315.1	T265_08230
OG0001771	KAK4469467.1	T265_13913
OG0001772	KAK4468517.1	T265_07572
OG0001773	KAK4471437.1	T265_00534
OG0001774	KAK4476044.1	T265_06888
OG0001775	KAK4475222.1	T265_09040
OG0001776	KAK4467656.1	T265_11140
OG0001777	KAK4474215.1, KAK4474211.1, KAK4474212.1	T265_03011
OG0001778	KAK4468568.1	T265_09376
OG0001780	KAK4472870.1	T265_06467
OG0001781	KAK4467680.1	T265_13075
OG0001782	KAK4471070.1	T265_03902
OG0001783	KAK4472722.1	T265_03631
OG0001784	KAK4473465.1	T265_04098, T265_15912
OG0001785	KAK4473376.1	T265_07505
OG0001786	KAK4471290.1	T265_02513
OG0001787	KAK4473373.1	T265_13198
OG0001789	KAK4475490.1	T265_06187
OG0001790	KAK4473652.1	T265_13300
OG0001791	KAK4468701.1, KAK4470158.1	T265_08401, T265_08403
OG0001792	KAK4470845.1	T265_00418
OG0001793	KAK4468939.1	T265_07358
OG0001794	KAK4471539.1	T265_10719
OG0001801	KAK4474541.1	T265_04593
OG0001803	KAK4473637.1, KAK4473636.1	T265_09341
OG0001804	KAK4472388.1	T265_12618
OG0001805	KAK4472728.1	T265_13514, T265_13513
OG0001806	KAK4467839.1	T265_07409
OG0001807	KAK4474591.1	T265_11444
OG0001808	KAK4475115.1	T265_10905
OG0001809	KAK4472364.1	T265_13772
OG0001810	KAK4467749.1	T265_07900
OG0001812	KAK4470365.1	T265_14122
OG0001813	KAK4474479.1	T265_09076
OG0001814	KAK4470457.1	T265_10976
OG0001815	KAK4469120.1, KAK4469121.1	T265_06116
OG0001816	KAK4469095.1	T265_15353
OG0001817	KAK4473773.1	T265_13431
OG0001818	KAK4469237.1	T265_12286, T265_06859, T265_15980
OG0001819	KAK4475051.1	T265_02288
OG0001820	KAK4471907.1	T265_04186
OG0001821	KAK4467978.1	T265_09614
OG0001821	KAK4471167.1	T265_03362
OG0001822	KAK4467887.1	T265_11066, T265_04529
OG0001823	KAK4475370.1	T265_11105
OG0001825	KAK4469644.1	T265_02352
OG0001826	KAK4475849.1	T265_00277
OG0001827	KAK4470784.1	T265_02155, T265_12935
OG0001828	KAK4469508.1	T265_01213
OG0001829	KAK4473132.1	T265_11088
OG0001830	KAK4471134.1	T265_15921
OG0001831	KAK4471442.1	T265_03336
OG0001834	KAK4470481.1	T265_00004
OG0001835	KAK4474848.1	T265_06643, T265_14089
OG0001836	KAK4475561.1	T265_14559
OG0001837	KAK4468362.1	T265_08769
OG0001838	KAK4472969.1	T265_03743
OG0001839	KAK4469356.1	T265_12526
OG0001840	KAK4473925.1	T265_13580
OG0001841	KAK4474803.1	T265_07181
OG0001842	KAK4467763.1	T265_15657
OG0001843	KAK4473403.1	T265_04469, T265_13561
OG0001844	KAK4474950.1	T265_03040
OG0001845	KAK4467647.1	T265_14549
OG0001846	KAK4472936.1	T265_10397
OG0001847	KAK4475768.1	T265_11864
OG0001848	KAK4467434.1, KAK4475817.1	T265_14403, T265_14401, T265_07830
OG0001849	KAK4472068.1	T265_00607
OG0001850	KAK4470579.1	T265_00010
OG0001851	KAK4469509.1	T265_01360
OG0001852	KAK4472766.1	T265_05433
OG0001853	KAK4475630.1	T265_02922, T265_11897
OG0001854	KAK4467874.1	T265_09648
OG0001855	KAK4470152.1	T265_00165
OG0001856	KAK4470532.1	T265_10021
OG0001857	KAK4470721.1	T265_04055
OG0001858	KAK4472246.1	T265_02220, T265_04712
OG0001859	KAK4475995.1	T265_06498
OG0001861	KAK4470351.1	T265_01225
OG0001862	KAK4475729.1	T265_10909
OG0001863	KAK4472919.1, KAK4472918.1, KAK4472203.1	T265_01043, T265_01044
OG0001864	KAK4470331.1	T265_01749
OG0001866	KAK4468647.1	T265_09747
OG0001867	KAK4469233.1	T265_13218, T265_13219
OG0001868	KAK4475545.1	T265_04412
OG0001869	KAK4474991.1	T265_05535
OG0001870	KAK4469657.1	T265_00132
OG0001871	KAK4473524.1, KAK4473525.1	T265_13828
OG0001872	KAK4468296.1	T265_03393
OG0001873	KAK4472319.1	T265_08992
OG0001874	KAK4472231.1, KAK4473351.1, KAK4473350.1, KAK4473349.1	T265_03234, T265_13196
OG0001875	KAK4468707.1	T265_15589, T265_15590, T265_11880, T265_11881
OG0001876	KAK4475467.1	T265_03702
OG0001877	KAK4474918.1	T265_10265, T265_14142
OG0001879	KAK4472985.1	T265_05975
OG0001880	KAK4475074.1	T265_15623, T265_15873
OG0001881	KAK4472071.1	T265_09881, T265_16342
OG0001882	KAK4470668.1	T265_02934
OG0001883	KAK4475612.1	T265_00246
OG0001884	KAK4468708.1	T265_08008, T265_16260
OG0001885	KAK4474684.1	T265_03198
OG0001886	KAK4470275.1	T265_10249
OG0001887	KAK4471695.1	T265_05895, T265_07671
OG0001888	KAK4471374.1	T265_14220
OG0001889	KAK4468130.1	T265_11606
OG0001890	KAK4469633.1	T265_08599
OG0001891	KAK4475263.1	T265_01391
OG0001892	KAK4470873.1	T265_15428
OG0001893	KAK4472302.1	T265_09740
OG0001894	KAK4467988.1	T265_12840
OG0001895	KAK4473815.1	T265_11728
OG0001896	KAK4472703.1	T265_09000
OG0001897	KAK4470818.1	T265_13908
OG0001898	KAK4471151.1	T265_04800
OG0001899	KAK4473774.1	T265_03996
OG0001900	KAK4467407.1, KAK4470453.1	T265_05713
OG0001901	KAK4472483.1	T265_07537
OG0001903	KAK4468115.1	T265_06552, T265_06554
OG0001904	KAK4475265.1	T265_10321
OG0001905	KAK4472113.1	T265_06569
OG0001906	KAK4472762.1	T265_13479
OG0001907	KAK4476050.1	T265_14805
OG0001908	KAK4471205.1	T265_04923
OG0001909	KAK4467679.1	T265_08757
OG0001910	KAK4473962.1	T265_11579
OG0001911	KAK4469345.1	T265_08739, T265_08740
OG0001912	KAK4470997.1	T265_05946
OG0001913	KAK4470578.1	T265_02936
OG0001914	KAK4471900.1	T265_04183
OG0001915	KAK4468220.1	T265_15891, T265_01652, T265_12174
OG0001916	KAK4475422.1	T265_06670
OG0001917	KAK4476132.1	T265_14049
OG0001918	KAK4469426.1	T265_00471
OG0001919	KAK4471565.1	T265_02504
OG0001921	KAK4473711.1	T265_06125
OG0001922	KAK4471100.1	T265_14503
OG0001923	KAK4476038.1	T265_07276
OG0001924	KAK4469867.1	T265_02681
OG0001925	KAK4475453.1	T265_00852
OG0001926	KAK4472393.1	T265_02868
OG0001927	KAK4475823.1	T265_08673
OG0001929	KAK4470263.1	T265_16131, T265_00819
OG0001932	KAK4471196.1	T265_11747
OG0001941	KAK4468689.1	T265_02631
OG0001943	KAK4475127.1	T265_12963
OG0001944	KAK4471518.1	T265_01438
OG0001945	KAK4467852.1	T265_02757, T265_11309
OG0001946	KAK4472486.1	T265_08642
OG0001947	KAK4473449.1	T265_15378
OG0001948	KAK4467243.1	T265_09604
OG0001949	KAK4467747.1	T265_10788
OG0001950	KAK4468166.1	T265_14356
OG0001951	KAK4476106.1	T265_02488
OG0001952	KAK4469665.1	T265_01274
OG0001953	KAK4474207.1	T265_07588
OG0001954	KAK4475309.1	T265_05594, T265_10324, T265_10323
OG0001955	KAK4475856.1	T265_04533
OG0001956	KAK4470495.1	T265_00329
OG0001957	KAK4475293.1	T265_16364
OG0001958	KAK4471673.1	T265_12587
OG0001959	KAK4472737.1	T265_12030
OG0001960	KAK4472754.1	T265_03563
OG0001961	KAK4471504.1	T265_04189
OG0001962	KAK4475333.1	T265_02258
OG0001963	KAK4472859.1	T265_07542
OG0001964	KAK4468700.1	T265_02635
OG0001966	KAK4476007.1	T265_11898
OG0001967	KAK4467803.1	T265_11018
OG0001968	KAK4472641.1	T265_12615
OG0001969	KAK4472435.1	T265_15599, T265_11986
OG0001970	KAK4473864.1	T265_06534
OG0001973	KAK4468131.1	T265_10631
OG0001974	KAK4469098.1	T265_03306
OG0001975	KAK4469194.1	T265_08820
OG0001978	KAK4470934.1	T265_02840
OG0001979	KAK4469647.1	T265_00134
