Orthogroup	s.mekongi	schistosoma_curassoni
OG0000493	KAK4472786.1, KAK4472785.1	SCUR1_29080.2, SCUR1_29080.1
OG0000495	KAK4475594.1	SCUR1_3080.2, SCUR1_3080.3, SCUR1_3080.4, SCUR1_3080.5, SCUR1_3080.6, SCUR1_3080.1
OG0000496	KAK4473897.1	SCUR1_38000.4, SCUR1_38000.3, SCUR1_38000.1, SCUR1_38000.2, SCUR1_38000.5, SCUR1_38000.6, SCUR1_38000.7
OG0000497	KAK4475832.1	SCUR1_5510.12, SCUR1_5510.7, SCUR1_5520.7, SCUR1_5510.13, SCUR1_5510.15, SCUR1_5520.1, SCUR1_5510.8, SCUR1_5520.6, SCUR1_5510.1, SCUR1_5510.6, SCUR1_5520.4, SCUR1_5520.5, SCUR1_5510.10, SCUR1_5510.5, SCUR1_5510.2, SCUR1_5510.3, SCUR1_5520.3, SCUR1_5510.9, SCUR1_5510.11, SCUR1_5510.14, SCUR1_5510.4, SCUR1_5520.2
OG0000498	KAK4473225.1	SCUR1_25180.1
OG0000498	KAK4472209.1	SCUR1_27180.1
OG0000499	KAK4470653.1	SCUR1_69910.1
OG0000500	KAK4475112.1	SCUR1_19170.4, SCUR1_19170.1, SCUR1_19170.3, SCUR1_19170.6, SCUR1_19170.14, SCUR1_19170.11, SCUR1_19170.16, SCUR1_19170.7, SCUR1_19170.18, SCUR1_19170.9, SCUR1_19170.15, SCUR1_19170.13, SCUR1_19170.2, SCUR1_19170.5, SCUR1_19170.8, SCUR1_19170.12, SCUR1_19170.17, SCUR1_19170.10
OG0000501	KAK4472851.1	SCUR1_25840.1, SCUR1_25840.3, SCUR1_25840.2, SCUR1_25840.4
OG0000502	KAK4474193.1, KAK4474094.1	SCUR1_35710.1, SCUR1_35710.2, SCUR1_35710.4, SCUR1_35710.3
OG0000503	KAK4475659.1	SCUR1_3760.1, SCUR1_3770.1
OG0000504	KAK4469069.1	SCUR1_98280.5, SCUR1_98280.1, SCUR1_98280.4, SCUR1_98280.6, SCUR1_98280.2, SCUR1_98280.3, SCUR1_98280.7
OG0000505	KAK4473033.1	SCUR1_41260.1
OG0000506	KAK4475979.1, KAK4475980.1	SCUR1_9260.1
OG0000507	KAK4472652.1	SCUR1_31270.1
OG0000508	KAK4475295.1	SCUR1_15190.2, SCUR1_15190.5, SCUR1_15190.1, SCUR1_15190.4, SCUR1_15190.6, SCUR1_15190.3
OG0000509	KAK4469240.1	SCUR1_49520.1
OG0000509	KAK4469667.1	SCUR1_50980.1, SCUR1_50980.2
OG0000510	KAK4470887.1	SCUR1_78290.1, SCUR1_78280.1
OG0000510	KAK4470889.1	SCUR1_78310.1
OG0000512	KAK4469151.1	SCUR1_51490.1
OG0000514	KAK4469103.1	SCUR1_96290.2, SCUR1_96290.5, SCUR1_96290.9, SCUR1_96290.8, SCUR1_96290.10, SCUR1_96290.11, SCUR1_96290.13, SCUR1_96290.4, SCUR1_96290.12, SCUR1_96290.7, SCUR1_96290.1, SCUR1_96290.3, SCUR1_96290.6
OG0000515	KAK4474608.1	SCUR1_14800.4, SCUR1_14800.2, SCUR1_14800.1, SCUR1_14800.3
OG0000516	KAK4471404.1, KAK4471405.1	SCUR1_63090.1
OG0000517	KAK4472849.1	SCUR1_25870.6, SCUR1_25870.8, SCUR1_25870.1, SCUR1_25870.4, SCUR1_25870.7, SCUR1_25870.5, SCUR1_25870.2, SCUR1_25870.3
OG0000521	KAK4470167.1	SCUR1_70920.2, SCUR1_70920.1, SCUR1_70920.4, SCUR1_70920.3
OG0000522	KAK4469781.1	SCUR1_98980.1, SCUR1_91180.1, SCUR1_91200.1, SCUR1_98990.1
OG0000523	KAK4470425.1	SCUR1_76420.1
OG0000524	KAK4474637.1, KAK4467261.1	SCUR1_12560.1, SCUR1_12560.5, SCUR1_12560.3, SCUR1_12560.4, SCUR1_12560.2
OG0000525	KAK4469434.1	SCUR1_50590.5, SCUR1_50590.6, SCUR1_50590.4, SCUR1_50590.3, SCUR1_50590.1, SCUR1_50590.2
OG0000526	KAK4474864.1	SCUR1_16920.7, SCUR1_16920.1, SCUR1_16920.2, SCUR1_16920.3, SCUR1_16920.4, SCUR1_16920.6, SCUR1_16920.8, SCUR1_16920.5
OG0000527	KAK4475122.1	SCUR1_19070.1
OG0000528	KAK4472573.1	SCUR1_32210.1, SCUR1_32210.2, SCUR1_32210.3
OG0000529	KAK4475249.1	SCUR1_15730.1
OG0000529	KAK4473254.1	SCUR1_25430.3, SCUR1_25430.2
OG0000530	KAK4467723.1	SCUR1_91800.2, SCUR1_91800.1
OG0000530	KAK4467863.1, KAK4467865.1	SCUR1_94420.1, SCUR1_94430.1
OG0000531	KAK4470778.1	SCUR1_77150.1, SCUR1_77150.2, SCUR1_77150.3, SCUR1_77150.4, SCUR1_77150.6, SCUR1_77150.7, SCUR1_77150.8, SCUR1_77150.5, SCUR1_77150.9
OG0000532	KAK4467382.1, KAK4475786.1	SCUR1_4960.4, SCUR1_4960.6, SCUR1_4960.3, SCUR1_4960.1, SCUR1_4960.5, SCUR1_4960.2
OG0000533	KAK4475105.1	SCUR1_19240.1, SCUR1_19240.2, SCUR1_19240.3
OG0000534	KAK4470412.1	SCUR1_70170.1
OG0000535	KAK4472091.1	SCUR1_58740.4, SCUR1_58740.2, SCUR1_58740.3, SCUR1_58740.5, SCUR1_58740.6, SCUR1_58740.9, SCUR1_58740.1, SCUR1_58740.7, SCUR1_58740.8, SCUR1_58740.10
OG0000536	KAK4471326.1	SCUR1_97210.2, SCUR1_97210.1, SCUR1_65740.1
OG0000537	KAK4469348.1	SCUR1_53460.1
OG0000538	KAK4475760.1, KAK4475761.1	SCUR1_84600.1, SCUR1_84630.1, SCUR1_91100.1, SCUR1_91110.1, SCUR1_84610.1, SCUR1_91110.2, SCUR1_91120.1
OG0000539	KAK4469058.1	SCUR1_46870.3, SCUR1_46870.7, SCUR1_46870.5, SCUR1_46870.2, SCUR1_46870.1, SCUR1_46870.4, SCUR1_46870.6, SCUR1_46870.8
OG0000540	KAK4475879.1	SCUR1_5720.1, SCUR1_5720.2, SCUR1_5720.3, SCUR1_5720.5, SCUR1_5720.6, SCUR1_5720.7, SCUR1_5720.8, SCUR1_5720.9, SCUR1_5720.4
OG0000541	KAK4472810.1	SCUR1_28910.1
OG0000542	KAK4468792.1	SCUR1_85890.1, SCUR1_85890.2, SCUR1_85890.3, SCUR1_85890.4
OG0000543	KAK4475287.1	SCUR1_15120.1
OG0000544	KAK4470987.1	SCUR1_99030.1, SCUR1_99040.1, SCUR1_99030.2, SCUR1_79250.1, SCUR1_79250.2, SCUR1_79250.3, SCUR1_79250.4, SCUR1_79250.5, SCUR1_79250.6
OG0000545	KAK4469836.1	SCUR1_46650.1
OG0000545	KAK4470093.1	SCUR1_69030.1
OG0000546	KAK4472420.1	SCUR1_29570.8, SCUR1_29570.6, SCUR1_29570.4, SCUR1_29570.1
OG0000547	KAK4468655.1	SCUR1_87400.6, SCUR1_87400.1, SCUR1_87400.2, SCUR1_87400.7, SCUR1_87400.5, SCUR1_87400.3, SCUR1_87400.4
OG0000548	KAK4472431.1	SCUR1_29670.1, SCUR1_29670.2
OG0000549	KAK4474391.1	SCUR1_10970.4, SCUR1_10970.5, SCUR1_10970.1, SCUR1_10970.2, SCUR1_10970.3
OG0000550	KAK4475158.1	SCUR1_18680.1, SCUR1_18670.1
OG0000551	KAK4469308.1, KAK4469305.1, KAK4469306.1, KAK4471274.1, KAK4473748.1	SCUR1_28010.1
OG0000552	KAK4475830.1	SCUR1_5540.2, SCUR1_5540.1, SCUR1_5540.3
OG0000553	KAK4467767.1	SCUR1_93220.1
OG0000554	KAK4474414.1	SCUR1_11100.3, SCUR1_11100.1, SCUR1_11100.2, SCUR1_11100.4
OG0000555	KAK4467388.1	SCUR1_43710.3, SCUR1_43710.1, SCUR1_43710.4, SCUR1_43710.2
OG0000556	KAK4471444.1	SCUR1_65620.1
OG0000557	KAK4473888.1	SCUR1_37930.2, SCUR1_37930.3, SCUR1_37930.6, SCUR1_37930.1, SCUR1_37930.5, SCUR1_37930.7, SCUR1_37930.4
OG0000558	KAK4474954.1	SCUR1_17760.1
OG0000559	KAK4468120.1	SCUR1_81090.1, SCUR1_81090.2
OG0000560	KAK4467821.1	SCUR1_94860.1, SCUR1_94860.2, SCUR1_94860.3, SCUR1_94860.4, SCUR1_94860.5, SCUR1_94860.6, SCUR1_94860.8, SCUR1_94860.7, SCUR1_94860.9
OG0000561	KAK4467648.1	SCUR1_93670.1
OG0000561	KAK4467649.1	SCUR1_93680.1
OG0000562	KAK4468116.1	SCUR1_83680.1, SCUR1_100190.1, SCUR1_100190.2, SCUR1_100190.3, SCUR1_100190.4
OG0000563	KAK4475031.1	SCUR1_21150.4, SCUR1_21150.5, SCUR1_21150.1, SCUR1_21150.2, SCUR1_21150.6, SCUR1_21150.3
OG0000564	KAK4473434.1	SCUR1_42150.2, SCUR1_42150.1, SCUR1_42150.3
OG0000565	KAK4476074.1	SCUR1_3420.1, SCUR1_3420.4, SCUR1_3420.5, SCUR1_3420.2, SCUR1_3420.3
OG0000566	KAK4468294.1	SCUR1_81380.3, SCUR1_81380.4, SCUR1_81380.1, SCUR1_81380.2
OG0000567	KAK4471280.1	SCUR1_65530.1, SCUR1_65530.3, SCUR1_65530.4, SCUR1_65530.2
OG0000568	KAK4469792.1	SCUR1_56880.1
OG0000568	KAK4471616.1	SCUR1_66650.1
OG0000568	KAK4467372.1, KAK4467373.1	SCUR1_35090.1
OG0000569	KAK4476174.1	SCUR1_9560.1
OG0000570	KAK4474697.1, KAK4474698.1	SCUR1_13100.1
OG0000571	KAK4476242.1	SCUR1_8830.1, SCUR1_8830.6, SCUR1_8830.7, SCUR1_8830.2, SCUR1_8830.3, SCUR1_8830.4, SCUR1_8830.5
OG0000572	KAK4472053.1	SCUR1_59220.6, SCUR1_59220.3, SCUR1_59220.2, SCUR1_59220.1, SCUR1_59220.4, SCUR1_59220.5, SCUR1_59220.7
OG0000574	KAK4475572.1	SCUR1_2880.1
OG0000575	KAK4467778.1	SCUR1_93110.2, SCUR1_93110.3, SCUR1_93110.1, SCUR1_97470.2, SCUR1_97470.3, SCUR1_97470.1, SCUR1_97470.4, SCUR1_97470.5
OG0000576	KAK4472513.1	SCUR1_44270.7, SCUR1_44270.2, SCUR1_44270.3, SCUR1_44270.1, SCUR1_44270.8, SCUR1_44270.4, SCUR1_44270.5, SCUR1_44270.6
OG0000577	KAK4469529.1, KAK4469528.1	SCUR1_53070.1
OG0000580	KAK4472241.1	SCUR1_32440.1
OG0000581	KAK4471936.1, KAK4471935.1	SCUR1_60990.1
OG0000582	KAK4468214.1	SCUR1_82190.1
OG0000582	KAK4468215.1	SCUR1_82200.1
OG0000582	KAK4468216.1	SCUR1_82210.1
OG0000583	KAK4471891.1	SCUR1_60530.1, SCUR1_60530.2
OG0000584	KAK4472904.1	SCUR1_28550.1
OG0000585	KAK4475899.1	SCUR1_5900.1
OG0000586	KAK4472683.1	SCUR1_31040.6, SCUR1_31040.1, SCUR1_31040.8, SCUR1_31040.11, SCUR1_31040.12, SCUR1_31040.5, SCUR1_31040.7, SCUR1_31040.9, SCUR1_31040.2, SCUR1_31040.3, SCUR1_31040.4, SCUR1_31040.10
OG0000587	KAK4471204.1	SCUR1_64760.1
OG0000588	KAK4475516.1, KAK4475517.1	SCUR1_22490.4, SCUR1_22490.6, SCUR1_22490.5, SCUR1_22490.7, SCUR1_22490.1, SCUR1_22490.2, SCUR1_22490.9, SCUR1_22490.8, SCUR1_22490.3
OG0000589	KAK4469851.1	SCUR1_54910.1
OG0000590	KAK4472757.1	SCUR1_97370.1
OG0000590	KAK4472757.1	SCUR1_97370.2
OG0000590	KAK4473633.1	SCUR1_40720.7
OG0000591	KAK4467269.1, KAK4476072.1	SCUR1_3430.1
OG0000592	KAK4472704.1	SCUR1_30850.1
OG0000593	KAK4472608.1	SCUR1_31810.1
OG0000594	KAK4469251.1	SCUR1_49370.2, SCUR1_49370.3, SCUR1_49370.5, SCUR1_49370.6, SCUR1_49370.7, SCUR1_49370.4, SCUR1_49370.1
OG0000595	KAK4469621.1	SCUR1_47820.8, SCUR1_47820.3, SCUR1_47820.7, SCUR1_47820.5, SCUR1_47820.6, SCUR1_47820.9, SCUR1_47820.2, SCUR1_47820.1, SCUR1_47820.4
OG0000597	KAK4467412.1	SCUR1_95420.1, SCUR1_57200.1, SCUR1_57200.6, SCUR1_57200.3, SCUR1_57200.4, SCUR1_57200.2, SCUR1_57200.5, SCUR1_57370.1
OG0000598	KAK4474284.1	SCUR1_12940.6, SCUR1_12940.3, SCUR1_12940.4, SCUR1_12940.5, SCUR1_12940.1, SCUR1_12940.2
OG0000599	KAK4471696.1	SCUR1_62520.7, SCUR1_62520.2, SCUR1_62520.6, SCUR1_62520.1, SCUR1_62520.4, SCUR1_62520.3, SCUR1_62520.5
OG0000600	KAK4471566.1	SCUR1_100020.1, SCUR1_100010.1, SCUR1_100330.2, SCUR1_100330.1, SCUR1_100330.3, SCUR1_100330.4
OG0000601	KAK4467638.1	SCUR1_93570.1
OG0000601	KAK4473596.1	SCUR1_41110.1
OG0000602	KAK4475290.1	SCUR1_15150.6, SCUR1_15150.1, SCUR1_15150.2, SCUR1_15150.4, SCUR1_15150.5, SCUR1_15150.3
OG0000603	KAK4469417.1	SCUR1_50400.1, SCUR1_50400.2, SCUR1_50400.3, SCUR1_50400.4
OG0000604	KAK4473735.1	SCUR1_39560.1
OG0000605	KAK4473042.1	SCUR1_27570.1
OG0000605	KAK4473095.1, KAK4475169.1	SCUR1_27530.1
OG0000606	KAK4467525.1	SCUR1_5340.1
OG0000606	KAK4475857.1	SCUR1_5340.1
OG0000607	KAK4472677.1	SCUR1_31100.1
OG0000608	KAK4469449.1	SCUR1_50770.3, SCUR1_50770.4, SCUR1_50770.1, SCUR1_50770.2
OG0000609	KAK4473088.1	SCUR1_27440.2, SCUR1_27440.3, SCUR1_27440.5, SCUR1_27440.4, SCUR1_27440.1, SCUR1_27440.6
OG0000610	KAK4467550.1	SCUR1_28320.1
OG0000610	KAK4473384.1	SCUR1_22730.1, SCUR1_22730.2
OG0000611	KAK4473544.1	SCUR1_43320.2, SCUR1_43320.1
OG0000611	KAK4473545.1	SCUR1_43340.1, SCUR1_43330.1
OG0000612	KAK4476245.1	SCUR1_8780.2, SCUR1_8780.1, SCUR1_8780.3
OG0000613	KAK4473830.1	SCUR1_37250.2, SCUR1_37250.4, SCUR1_37250.6, SCUR1_37250.3, SCUR1_37250.5, SCUR1_37250.7, SCUR1_37250.1
OG0000614	KAK4473739.1	SCUR1_44430.3, SCUR1_44430.4, SCUR1_44430.2, SCUR1_44430.1
OG0000615	KAK4467492.1, KAK4474712.1	SCUR1_13270.1, SCUR1_13270.5, SCUR1_13270.6, SCUR1_13270.3, SCUR1_13270.2, SCUR1_13270.4
OG0000617	KAK4468298.1	SCUR1_80350.1
OG0000618	KAK4474007.1	SCUR1_36610.4, SCUR1_36610.5, SCUR1_36610.1, SCUR1_36610.6, SCUR1_36610.7, SCUR1_36610.2, SCUR1_36610.3
OG0000619	KAK4475871.1	SCUR1_600.1
OG0000620	KAK4475311.1	SCUR1_15360.1
OG0000620	KAK4469019.1	SCUR1_45740.1
OG0000621	KAK4472466.1	SCUR1_30010.5, SCUR1_30010.1, SCUR1_30010.2, SCUR1_30010.3, SCUR1_30010.4
OG0000622	KAK4470587.1	SCUR1_72600.1
OG0000623	KAK4474699.1	SCUR1_13080.1, SCUR1_13090.10, SCUR1_13090.5, SCUR1_13090.3, SCUR1_13090.4, SCUR1_13090.2, SCUR1_13090.8, SCUR1_13090.1, SCUR1_13090.11, SCUR1_13090.6, SCUR1_13090.7, SCUR1_13090.9
OG0000624	KAK4472788.1	SCUR1_29060.1, SCUR1_29060.2, SCUR1_29060.3
OG0000626	KAK4469865.1	SCUR1_54770.1, SCUR1_54770.2
OG0000628	KAK4471942.1	SCUR1_100750.1, SCUR1_61060.4, SCUR1_61060.1, SCUR1_61060.2, SCUR1_61060.3, SCUR1_100750.2, SCUR1_100750.3
OG0000629	KAK4473779.1	SCUR1_38980.1
OG0000630	KAK4472088.1	SCUR1_58790.1
OG0000631	KAK4471440.1	SCUR1_65660.1
OG0000631	KAK4471947.1	SCUR1_100730.1, SCUR1_61080.1
OG0000632	KAK4467549.1, KAK4474720.1	SCUR1_13390.1
OG0000633	KAK4469491.1	SCUR1_52530.1, SCUR1_52530.2
OG0000636	KAK4467759.1	SCUR1_93290.3, SCUR1_93290.1, SCUR1_93290.2, SCUR1_93290.4, SCUR1_93290.6, SCUR1_93290.5, SCUR1_93290.7
OG0000637	KAK4469224.1	SCUR1_97250.2, SCUR1_97250.1, SCUR1_97250.3
OG0000638	KAK4471472.1	SCUR1_64010.1
OG0000639	KAK4471799.1	SCUR1_61730.3, SCUR1_61730.1, SCUR1_61730.2
OG0000640	KAK4468114.1	SCUR1_84480.1, SCUR1_83740.1, SCUR1_83780.1, SCUR1_95430.1
OG0000641	KAK4476055.1	SCUR1_6620.1
OG0000641	KAK4467404.1, KAK4475738.1	SCUR1_4510.1
OG0000643	KAK4469713.1	SCUR1_52030.1
OG0000643	KAK4469714.1	SCUR1_52010.1, SCUR1_52010.2
OG0000644	KAK4467799.1	SCUR1_98210.1, SCUR1_94200.3, SCUR1_94200.4, SCUR1_94200.1, SCUR1_94200.2
OG0000645	KAK4476259.1, KAK4476258.1	SCUR1_10400.1, SCUR1_10390.1
OG0000646	KAK4476243.1	SCUR1_8820.1, SCUR1_8810.1
OG0000647	KAK4471769.1	SCUR1_61960.7, SCUR1_61960.1, SCUR1_61960.2, SCUR1_61960.8, SCUR1_61960.4, SCUR1_61960.3, SCUR1_61960.5, SCUR1_61960.6
OG0000648	KAK4468712.1	SCUR1_90740.1, SCUR1_90730.1, SCUR1_96980.11, SCUR1_90750.1, SCUR1_96980.2, SCUR1_96980.3, SCUR1_96980.4, SCUR1_96980.7, SCUR1_90770.1, SCUR1_96980.10, SCUR1_96980.1, SCUR1_96980.5, SCUR1_96980.6, SCUR1_96980.8, SCUR1_96980.9, SCUR1_99180.3, SCUR1_99180.8, SCUR1_99180.9, SCUR1_99180.1, SCUR1_99180.4, SCUR1_99180.5, SCUR1_99180.6, SCUR1_99180.7, SCUR1_90710.1, SCUR1_99180.2
OG0000649	KAK4471824.1	SCUR1_97590.1, SCUR1_59780.1
OG0000650	KAK4470771.1, KAK4470770.1, KAK4470769.1	SCUR1_77070.1, SCUR1_77070.4, SCUR1_77070.2, SCUR1_77070.3
OG0000651	KAK4473422.1	SCUR1_41940.5, SCUR1_41940.2, SCUR1_41940.9, SCUR1_41940.1, SCUR1_41940.7, SCUR1_41940.8, SCUR1_41940.10, SCUR1_41940.6, SCUR1_41940.11, SCUR1_41940.3, SCUR1_41940.4
OG0000652	KAK4473663.1	SCUR1_40340.1
OG0000653	KAK4473617.1	SCUR1_40890.1, SCUR1_40910.1
OG0000654	KAK4472538.1	SCUR1_58160.3, SCUR1_58160.4, SCUR1_58160.1, SCUR1_58160.2
OG0000655	KAK4467993.1	SCUR1_80400.1, SCUR1_80400.2, SCUR1_80400.3, SCUR1_80400.4, SCUR1_80400.6, SCUR1_80400.8, SCUR1_80400.9, SCUR1_80400.10, SCUR1_80400.11, SCUR1_80400.5, SCUR1_80400.7
OG0000656	KAK4470547.1	SCUR1_74780.1
OG0000657	KAK4468518.1	SCUR1_88920.1, SCUR1_88920.2, SCUR1_88920.3
OG0000659	KAK4473415.1	SCUR1_41920.2, SCUR1_41920.1, SCUR1_41920.3, SCUR1_41920.4
OG0000662	KAK4469693.1	SCUR1_52240.13, SCUR1_52240.4, SCUR1_52240.5, SCUR1_52240.6, SCUR1_52240.7, SCUR1_52240.8, SCUR1_52240.1, SCUR1_52240.10, SCUR1_52240.9, SCUR1_52240.11, SCUR1_52240.12, SCUR1_52240.3, SCUR1_52240.2
OG0000663	KAK4473924.1	SCUR1_38280.1
OG0000664	KAK4467553.1	SCUR1_12470.4, SCUR1_12470.2, SCUR1_12470.5, SCUR1_12470.1, SCUR1_12470.3
OG0000665	KAK4470314.1	SCUR1_72230.1, SCUR1_72230.2
OG0000666	KAK4471800.1	SCUR1_61720.1, SCUR1_61720.2, SCUR1_61720.3, SCUR1_61720.4, SCUR1_61720.5
OG0000667	KAK4475968.1	SCUR1_6180.1, SCUR1_6180.2, SCUR1_6180.3, SCUR1_6180.4
OG0000668	KAK4469499.1	SCUR1_52420.1
OG0000669	KAK4471524.1	SCUR1_67600.3, SCUR1_67600.4, SCUR1_67600.5, SCUR1_67600.1, SCUR1_67600.2, SCUR1_67600.6
OG0000670	KAK4474037.1	SCUR1_44770.5, SCUR1_44770.6, SCUR1_44770.1, SCUR1_44770.2, SCUR1_44770.3, SCUR1_44770.4
OG0000671	KAK4470732.1	SCUR1_76030.4, SCUR1_76030.5, SCUR1_76030.6, SCUR1_76030.1, SCUR1_76030.2, SCUR1_76030.3, SCUR1_76030.7
OG0000672	KAK4472427.1	SCUR1_44360.4, SCUR1_44360.5, SCUR1_44360.1, SCUR1_44360.2, SCUR1_44360.3
OG0000673	KAK4474792.1, KAK4474791.1	SCUR1_16130.7, SCUR1_16130.1, SCUR1_16130.3, SCUR1_16130.4, SCUR1_16130.2, SCUR1_16130.5, SCUR1_16130.6
OG0000674	KAK4470823.1	SCUR1_77580.1
OG0000675	KAK4470214.1, KAK4470213.1	SCUR1_71380.6, SCUR1_71380.2, SCUR1_71380.3, SCUR1_71380.4, SCUR1_71380.5, SCUR1_71380.7, SCUR1_71380.1
OG0000676	KAK4467996.1	SCUR1_80430.1, SCUR1_80430.2
OG0000677	KAK4475848.1	SCUR1_5230.1
OG0000678	KAK4474196.1	SCUR1_34640.1
OG0000679	KAK4470237.1	SCUR1_71440.1, SCUR1_71440.3, SCUR1_71440.2
OG0000680	KAK4474863.1	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5
OG0000681	KAK4474159.1	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9
OG0000682	KAK4473529.1	SCUR1_43170.4, SCUR1_43170.6, SCUR1_43170.10, SCUR1_43170.2, SCUR1_43170.8, SCUR1_43170.7, SCUR1_43170.9, SCUR1_43170.1, SCUR1_43170.5, SCUR1_43170.3
OG0000683	KAK4469834.1	SCUR1_55100.1, SCUR1_55100.2, SCUR1_55100.3, SCUR1_55100.4
OG0000683	KAK4471596.1	SCUR1_66850.1
OG0000684	KAK4468121.1	SCUR1_98310.1, SCUR1_98310.2, SCUR1_98310.3, SCUR1_98310.4
OG0000685	KAK4470335.1	SCUR1_74560.1, SCUR1_74560.2, SCUR1_74560.3, SCUR1_74560.5, SCUR1_74560.6, SCUR1_74560.4
OG0000686	KAK4471839.1	SCUR1_59910.2, SCUR1_59910.4, SCUR1_59910.1, SCUR1_59910.3
OG0000687	KAK4472948.1	SCUR1_26830.2, SCUR1_26830.1, SCUR1_26830.7, SCUR1_26830.4, SCUR1_26830.5, SCUR1_26830.6, SCUR1_26830.3
OG0000688	KAK4475845.1	SCUR1_630.1, SCUR1_630.2, SCUR1_630.3
OG0000689	KAK4475573.1	SCUR1_2870.1, SCUR1_2860.1
OG0000690	KAK4473380.1	SCUR1_22770.1
OG0000692	KAK4474881.1	SCUR1_17070.3, SCUR1_17070.1, SCUR1_17070.2
OG0000695	KAK4467842.1	SCUR1_94700.1
OG0000695	KAK4473537.1	SCUR1_45600.1, SCUR1_45600.2, SCUR1_45600.3
OG0000696	KAK4475838.1	SCUR1_5470.1, SCUR1_5470.2
OG0000697	KAK4473658.1	SCUR1_40410.1, SCUR1_40410.6, SCUR1_40410.7, SCUR1_40410.4, SCUR1_40410.3, SCUR1_40410.5, SCUR1_40410.2
OG0000698	KAK4475322.1	SCUR1_18010.4, SCUR1_18010.1, SCUR1_18010.2, SCUR1_18010.3
OG0000699	KAK4472379.1	SCUR1_33080.1
OG0000700	KAK4473015.1	SCUR1_23880.1, SCUR1_23890.1
OG0000701	KAK4471911.1	SCUR1_60720.2, SCUR1_60720.1, SCUR1_60720.3
OG0000702	KAK4468836.1	SCUR1_85710.2, SCUR1_85710.7, SCUR1_85710.5, SCUR1_85710.1, SCUR1_85710.3, SCUR1_85710.4, SCUR1_85710.6
OG0000703	KAK4475702.1	SCUR1_190.1, SCUR1_190.2
OG0000704	KAK4469568.1	SCUR1_48380.1
OG0000705	KAK4475920.1	SCUR1_6090.5, SCUR1_6100.1, SCUR1_6090.1, SCUR1_6090.4, SCUR1_6090.2, SCUR1_6100.2, SCUR1_6090.3, SCUR1_6100.3
OG0000706	KAK4473560.1	SCUR1_43500.1
OG0000706	KAK4469683.1	SCUR1_52330.1
OG0000707	KAK4467706.1	SCUR1_92940.3, SCUR1_92940.1, SCUR1_92940.2, SCUR1_92940.4
OG0000708	KAK4473844.1	SCUR1_37410.1
OG0000709	KAK4473581.1	SCUR1_43780.1, SCUR1_43780.2
OG0000710	KAK4476143.1	SCUR1_7890.1, SCUR1_7900.1
OG0000711	KAK4470475.1	SCUR1_73710.7, SCUR1_73710.4, SCUR1_73710.2, SCUR1_73710.3, SCUR1_73710.5, SCUR1_73710.1, SCUR1_73710.6
OG0000712	KAK4469473.1	SCUR1_52710.2, SCUR1_52710.1, SCUR1_52710.3, SCUR1_52710.5, SCUR1_52710.6, SCUR1_52710.4, SCUR1_52710.7
OG0000713	KAK4470169.1	SCUR1_70950.1
OG0000714	KAK4469311.1	SCUR1_46350.1, SCUR1_46350.2, SCUR1_46310.2, SCUR1_46310.1
OG0000715	KAK4473080.1	SCUR1_27370.1, SCUR1_27370.2, SCUR1_27370.3, SCUR1_27370.4, SCUR1_27370.5, SCUR1_27370.6, SCUR1_27370.7
OG0000716	KAK4474488.1	SCUR1_11750.5, SCUR1_11750.4, SCUR1_11750.1, SCUR1_11750.3, SCUR1_11750.2
OG0000717	KAK4472067.1	SCUR1_58920.3, SCUR1_58920.4, SCUR1_58920.7, SCUR1_58920.9, SCUR1_58920.1, SCUR1_58920.2, SCUR1_58920.8, SCUR1_58920.11, SCUR1_58920.12, SCUR1_58920.10, SCUR1_58920.5, SCUR1_58920.6
OG0000718	KAK4470744.1	SCUR1_74010.1, SCUR1_74010.3, SCUR1_74010.4, SCUR1_74010.2
OG0000719	KAK4469833.1	SCUR1_55110.1, SCUR1_55110.3, SCUR1_55110.2, SCUR1_55110.4
OG0000721	KAK4469698.1	SCUR1_45870.4, SCUR1_45870.6, SCUR1_45870.5, SCUR1_45870.1, SCUR1_45870.2, SCUR1_45870.3, SCUR1_45870.7
OG0000722	KAK4475859.1	SCUR1_5370.5, SCUR1_5370.7, SCUR1_5370.4, SCUR1_5370.3, SCUR1_5370.2, SCUR1_5370.6, SCUR1_5370.1
OG0000723	KAK4470731.1	SCUR1_76020.1
OG0000724	KAK4473416.1	SCUR1_41990.4, SCUR1_41990.6, SCUR1_41990.1, SCUR1_41990.2, SCUR1_41990.3, SCUR1_41990.5, SCUR1_41990.7, SCUR1_41990.8
OG0000725	KAK4470428.1	SCUR1_76380.2, SCUR1_76380.1, SCUR1_76380.3, SCUR1_76380.4, SCUR1_76380.5
OG0000726	KAK4472444.1	SCUR1_29780.2, SCUR1_29780.3, SCUR1_29780.4, SCUR1_29780.1
OG0000726	KAK4472445.1	SCUR1_29790.1, SCUR1_29790.4, SCUR1_29790.2, SCUR1_29790.3
