Orthogroup	s.mekongi	schistosoma_haematobium
OG0000648	KAK4468712.1	SHAE2_97430.1, SHAE2_97410.1
OG0000649	KAK4471824.1	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3
OG0000650	KAK4470771.1, KAK4470770.1, KAK4470769.1	SHAE2_82120.1
OG0000651	KAK4473422.1	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5
OG0000652	KAK4473663.1	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9
OG0000653	KAK4473617.1	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2
OG0000654	KAK4472538.1	SHAE2_62100.1
OG0000655	KAK4467993.1	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8
OG0000656	KAK4470547.1	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6
OG0000657	KAK4468518.1	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5
OG0000659	KAK4473415.1	SHAE2_44630.4, SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6
OG0000662	KAK4469693.1	SHAE2_55530.7, SHAE2_55530.1, SHAE2_55530.3, SHAE2_55530.2, SHAE2_55530.4, SHAE2_55530.5, SHAE2_55530.6
OG0000663	KAK4473924.1	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5
OG0000664	KAK4467553.1	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2
OG0000665	KAK4470314.1	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2
OG0000666	KAK4471800.1	SHAE2_65920.2, SHAE2_65920.1, SHAE2_65920.3, SHAE2_65920.4
OG0000667	KAK4475968.1	SHAE2_6720.1
OG0000668	KAK4469499.1	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3
OG0000669	KAK4471524.1	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8
OG0000670	KAK4474037.1	SHAE2_47450.1, SHAE2_47450.2
OG0000671	KAK4470732.1	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5
OG0000672	KAK4472427.1	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1
OG0000673	KAK4474792.1, KAK4474791.1	SHAE2_18160.1
OG0000674	KAK4470823.1	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7
OG0000675	KAK4470214.1, KAK4470213.1	SHAE2_76490.1
OG0000676	KAK4467996.1	SHAE2_86060.1
OG0000677	KAK4475848.1	SHAE2_5740.1
OG0000678	KAK4474196.1	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6
OG0000679	KAK4470237.1	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7
OG0000680	KAK4474863.1	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6
OG0000681	KAK4474159.1	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3
OG0000682	KAK4473529.1	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3
OG0000683	KAK4469834.1	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3
OG0000683	KAK4471596.1	SHAE2_71530.2, SHAE2_71530.1
OG0000684	KAK4468121.1	SHAE2_89870.1
OG0000685	KAK4470335.1	SHAE2_79720.1, SHAE2_79720.2
OG0000686	KAK4471839.1	SHAE2_64060.7, SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6, SHAE2_64060.2, SHAE2_64060.8
OG0000687	KAK4472948.1	SHAE2_29090.1
OG0000688	KAK4475845.1	SHAE2_910.3, SHAE2_910.6, SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7
OG0000689	KAK4475573.1	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3
OG0000690	KAK4473380.1	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5
OG0000692	KAK4474881.1	SHAE2_19230.3, SHAE2_19230.1, SHAE2_19230.2
OG0000695	KAK4467842.1	SHAE2_101610.1
OG0000695	KAK4473537.1	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4
OG0000696	KAK4475838.1	SHAE2_5960.2, SHAE2_5960.6, SHAE2_5960.3, SHAE2_5960.4, SHAE2_5960.5, SHAE2_5960.7, SHAE2_5960.1
OG0000697	KAK4473658.1	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1
OG0000698	KAK4475322.1	SHAE2_20210.1
OG0000699	KAK4472379.1	SHAE2_35900.1
OG0000700	KAK4473015.1	SHAE2_26400.1, SHAE2_26410.1
OG0000701	KAK4471911.1	SHAE2_64920.2, SHAE2_64920.4, SHAE2_64920.5, SHAE2_64920.3, SHAE2_64920.6, SHAE2_64920.1
OG0000702	KAK4468836.1	SHAE2_92210.5, SHAE2_92210.7, SHAE2_92210.1, SHAE2_92210.2, SHAE2_92210.4, SHAE2_92210.3, SHAE2_92210.8, SHAE2_92210.6
OG0000703	KAK4475702.1	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3
OG0000704	KAK4469568.1	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8
OG0000705	KAK4475920.1	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6
OG0000706	KAK4473560.1	SHAE2_46200.1
OG0000706	KAK4469683.1	SHAE2_55630.3, SHAE2_55630.4, SHAE2_55630.1, SHAE2_55630.2
OG0000707	KAK4467706.1	SHAE2_99610.1
OG0000708	KAK4473844.1	SHAE2_40130.1
OG0000709	KAK4473581.1	SHAE2_46460.1
OG0000710	KAK4476143.1	SHAE2_8540.1, SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5
OG0000711	KAK4470475.1	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8
OG0000712	KAK4469473.1	SHAE2_55980.6, SHAE2_55980.2, SHAE2_55980.4, SHAE2_55980.3, SHAE2_55980.8, SHAE2_55980.1, SHAE2_55980.7, SHAE2_55980.5
OG0000713	KAK4470169.1	SHAE2_76050.1, SHAE2_76050.2, SHAE2_76050.4, SHAE2_76050.8, SHAE2_76050.3, SHAE2_76050.5, SHAE2_76050.7, SHAE2_76050.6, SHAE2_76050.9
OG0000714	KAK4469311.1	SHAE2_48630.1, SHAE2_49500.7, SHAE2_48630.2, SHAE2_49500.8, SHAE2_49500.9, SHAE2_49500.3, SHAE2_49500.5, SHAE2_49500.6, SHAE2_49500.2, SHAE2_49500.1, SHAE2_49500.4
OG0000715	KAK4473080.1	SHAE2_29620.2, SHAE2_29620.1, SHAE2_29620.3, SHAE2_29620.6, SHAE2_29620.7, SHAE2_29620.8, SHAE2_29620.9, SHAE2_29620.4, SHAE2_29620.10, SHAE2_29620.5
OG0000716	KAK4474488.1	SHAE2_13580.3, SHAE2_13580.2, SHAE2_13580.1, SHAE2_13580.5, SHAE2_13580.4
OG0000717	KAK4472067.1	SHAE2_62980.1
OG0000718	KAK4470744.1	SHAE2_79230.4, SHAE2_79230.2, SHAE2_79230.3, SHAE2_79230.1, SHAE2_79230.5, SHAE2_79230.6, SHAE2_79230.7, SHAE2_79230.8
OG0000719	KAK4469833.1	SHAE2_58310.4, SHAE2_58310.6, SHAE2_58310.1, SHAE2_58310.3, SHAE2_58310.5, SHAE2_58310.2
OG0000721	KAK4469698.1	SHAE2_49250.1
OG0000722	KAK4475859.1	SHAE2_5860.2, SHAE2_5860.3, SHAE2_5860.1, SHAE2_5860.4
OG0000723	KAK4470731.1	SHAE2_81080.7, SHAE2_81080.2, SHAE2_81080.4, SHAE2_81080.5, SHAE2_81080.1, SHAE2_81080.8, SHAE2_81080.6, SHAE2_81080.3, SHAE2_81080.9
OG0000724	KAK4473416.1	SHAE2_44700.1, SHAE2_44700.3, SHAE2_44700.4, SHAE2_44700.2, SHAE2_44700.5, SHAE2_44700.6
OG0000725	KAK4470428.1	SHAE2_81420.9, SHAE2_81420.10, SHAE2_81420.3, SHAE2_81420.2, SHAE2_81420.8, SHAE2_81420.1, SHAE2_81420.5, SHAE2_81420.6, SHAE2_81420.7, SHAE2_81420.4, SHAE2_81420.11
OG0000726	KAK4472444.1	SHAE2_32100.1
OG0000726	KAK4472445.1	SHAE2_32110.1
OG0000727	KAK4473799.1	SHAE2_41680.1
OG0000728	KAK4469556.1	SHAE2_51660.2, SHAE2_51660.1, SHAE2_51660.8, SHAE2_51660.7, SHAE2_51660.6, SHAE2_51660.3, SHAE2_51660.4, SHAE2_51660.5
OG0000729	KAK4476249.1	SHAE2_10680.7, SHAE2_10680.1, SHAE2_10680.8, SHAE2_10680.10, SHAE2_10680.9, SHAE2_10680.5, SHAE2_10680.6, SHAE2_10680.4, SHAE2_10680.3, SHAE2_10680.2
OG0000730	KAK4471836.1	SHAE2_64100.4, SHAE2_64100.3, SHAE2_64100.2, SHAE2_64100.1
OG0000731	KAK4470693.1	SHAE2_80720.1, SHAE2_80720.5, SHAE2_80720.3, SHAE2_80720.2, SHAE2_80720.4
OG0000733	KAK4475569.1	SHAE2_3370.3, SHAE2_3370.1, SHAE2_3370.2, SHAE2_97590.1
OG0000736	KAK4470813.1	SHAE2_82540.1
OG0000737	KAK4474370.1	SHAE2_11710.8, SHAE2_11710.6, SHAE2_11710.7, SHAE2_11710.11, SHAE2_11710.3, SHAE2_11710.2, SHAE2_11710.1, SHAE2_11710.5, SHAE2_11710.4, SHAE2_11710.10, SHAE2_11710.9
OG0000738	KAK4470138.1	SHAE2_74240.1
OG0000739	KAK4469782.1	SHAE2_73900.1
OG0000740	KAK4475982.1	SHAE2_10220.1, SHAE2_10220.2
OG0000741	KAK4468185.1	SHAE2_89630.1, SHAE2_89630.2, SHAE2_89630.3, SHAE2_89630.4, SHAE2_89630.5, SHAE2_89630.6, SHAE2_89630.7, SHAE2_89630.10, SHAE2_89630.9, SHAE2_89630.8
OG0000743	KAK4475498.1	SHAE2_24740.3, SHAE2_24740.4, SHAE2_24740.1, SHAE2_24740.2
OG0000744	KAK4474236.1, KAK4467355.1, KAK4475639.1	SHAE2_4120.1
OG0000745	KAK4473918.1	SHAE2_40970.6, SHAE2_40970.2, SHAE2_40970.3, SHAE2_40970.5, SHAE2_40970.1, SHAE2_40970.7, SHAE2_40970.4
OG0000746	KAK4471896.1	SHAE2_64800.1
OG0000748	KAK4470051.1, KAK4467349.1, KAK4470183.1	SHAE2_74660.1
OG0000749	KAK4470073.1	SHAE2_74040.10, SHAE2_74040.9, SHAE2_74040.5, SHAE2_74040.11, SHAE2_74040.6, SHAE2_74040.7, SHAE2_74040.1, SHAE2_74040.3, SHAE2_74040.4, SHAE2_74040.8, SHAE2_74040.12, SHAE2_74040.2
OG0000750	KAK4470486.1	SHAE2_78820.2, SHAE2_78820.4, SHAE2_78820.3, SHAE2_78820.1
OG0000751	KAK4475833.1, KAK4475835.1	SHAE2_5990.1
OG0000751	KAK4475538.1	SHAE2_2890.1, SHAE2_2800.1
OG0000752	KAK4467935.1	SHAE2_98130.2, SHAE2_98130.3, SHAE2_98130.1
OG0000752	KAK4467930.1	SHAE2_102390.1
OG0000754	KAK4469412.1	SHAE2_53610.1, SHAE2_53610.2
OG0000756	KAK4473770.1	SHAE2_41950.5, SHAE2_41950.9, SHAE2_41950.6, SHAE2_41950.1, SHAE2_41950.3, SHAE2_41950.2, SHAE2_41950.4, SHAE2_41950.7, SHAE2_41950.8, SHAE2_41950.10
OG0000757	KAK4469488.1	SHAE2_55830.3, SHAE2_55830.4, SHAE2_55830.5, SHAE2_55830.7, SHAE2_55830.8, SHAE2_55830.11, SHAE2_55830.10, SHAE2_55830.9, SHAE2_55830.6, SHAE2_55830.1, SHAE2_55830.2
OG0000758	KAK4474262.1	SHAE2_10710.4, SHAE2_10710.1
OG0000759	KAK4469520.1	SHAE2_56250.6, SHAE2_56250.5, SHAE2_56250.3, SHAE2_56250.1, SHAE2_56250.2, SHAE2_56250.4
OG0000760	KAK4470881.1	SHAE2_83220.1
OG0000761	KAK4469193.1	SHAE2_56940.1, SHAE2_56940.2, SHAE2_56940.3, SHAE2_56940.4
OG0000762	KAK4468368.1	SHAE2_86300.1
OG0000762	KAK4468720.1	SHAE2_92630.1
OG0000763	KAK4475061.1	SHAE2_23590.10, SHAE2_23590.2, SHAE2_23590.6, SHAE2_23590.7, SHAE2_23590.8, SHAE2_23590.1, SHAE2_23590.11, SHAE2_23590.4, SHAE2_23590.9, SHAE2_23590.3, SHAE2_23590.5
OG0000764	KAK4476235.1	SHAE2_10840.1, SHAE2_10840.3, SHAE2_10840.2, SHAE2_10840.5, SHAE2_10840.4
OG0000765	KAK4469518.1	SHAE2_56230.1
OG0000765	KAK4469519.1	SHAE2_56240.1, SHAE2_56240.3, SHAE2_56240.2
OG0000766	KAK4471386.1	SHAE2_67440.1
OG0000767	KAK4471235.1	SHAE2_69550.4, SHAE2_69550.3, SHAE2_69550.1, SHAE2_69550.2
OG0000768	KAK4473678.1	SHAE2_42930.1
OG0000769	KAK4475312.1	SHAE2_2470.1, SHAE2_2470.2
OG0000770	KAK4474961.1	SHAE2_20050.1, SHAE2_20050.2, SHAE2_20050.3, SHAE2_20050.5, SHAE2_20050.6, SHAE2_20050.4
OG0000771	KAK4470996.1	SHAE2_84360.1, SHAE2_84360.2, SHAE2_84390.1, SHAE2_84400.1
OG0000772	KAK4474852.1	SHAE2_18860.1, SHAE2_18940.1, SHAE2_18920.1, SHAE2_18850.1
OG0000773	KAK4473279.1	SHAE2_28010.1, SHAE2_28010.2, SHAE2_28010.3
OG0000774	KAK4475493.1	SHAE2_50420.2, SHAE2_50420.5, SHAE2_50420.1, SHAE2_50420.3, SHAE2_50420.4, SHAE2_50420.6, SHAE2_50420.7
OG0000775	KAK4469163.1	SHAE2_54950.1
OG0000776	KAK4469675.1	SHAE2_49230.1, SHAE2_49230.2
OG0000776	KAK4469755.1	SHAE2_60210.1
OG0000777	KAK4469700.1	SHAE2_55490.2, SHAE2_55490.1, SHAE2_55490.3, SHAE2_55490.4, SHAE2_55490.5, SHAE2_55490.6
OG0000778	KAK4473368.1	SHAE2_25120.2, SHAE2_25120.1
OG0000779	KAK4467285.1, KAK4467284.1, KAK4475645.1, KAK4467283.1, KAK4467511.1	SHAE2_4230.1, SHAE2_4230.3, SHAE2_4230.2
OG0000780	KAK4475273.1	SHAE2_16740.1
OG0000781	KAK4474552.1	SHAE2_13090.1
OG0000781	KAK4476024.1	SHAE2_630.1, SHAE2_630.2, SHAE2_630.3
OG0000782	KAK4472624.1	SHAE2_33920.1
OG0000783	KAK4469441.1	SHAE2_53890.1
OG0000784	KAK4472638.1	SHAE2_33840.4, SHAE2_33840.7, SHAE2_33840.6, SHAE2_33840.8, SHAE2_33840.1, SHAE2_33840.2, SHAE2_33840.3, SHAE2_33840.5
OG0000785	KAK4472075.1, KAK4472076.1	SHAE2_62880.1, SHAE2_62880.3, SHAE2_62880.5, SHAE2_62880.6, SHAE2_62880.2, SHAE2_62880.4
OG0000786	KAK4473618.1	SHAE2_43660.7, SHAE2_43660.6, SHAE2_43660.8, SHAE2_43660.4, SHAE2_43660.5, SHAE2_43660.2, SHAE2_43660.3, SHAE2_43660.1
OG0000787	KAK4467917.1, KAK4467919.1	SHAE2_98280.1, SHAE2_98280.2
OG0000787	KAK4472011.1	SHAE2_63630.2, SHAE2_63630.1
OG0000788	KAK4474750.1	SHAE2_15340.1, SHAE2_15340.3, SHAE2_15340.9, SHAE2_15340.2, SHAE2_15340.6, SHAE2_15340.7, SHAE2_15340.5, SHAE2_15340.4, SHAE2_15340.8
OG0000789	KAK4473257.1	SHAE2_27810.1
OG0000789	KAK4473256.1	SHAE2_27800.1, SHAE2_27800.2, SHAE2_27800.3, SHAE2_27800.4
OG0000790	KAK4473741.1	SHAE2_42270.1, SHAE2_42270.3, SHAE2_42270.4, SHAE2_42270.5, SHAE2_42270.2, SHAE2_42270.6
OG0000791	KAK4473509.1	SHAE2_45580.3, SHAE2_45580.1, SHAE2_45580.2
OG0000792	KAK4469047.1, KAK4475816.1	SHAE2_6160.1, SHAE2_6160.2
OG0000793	KAK4472249.1	SHAE2_37000.6, SHAE2_37000.8, SHAE2_37000.7, SHAE2_37000.2, SHAE2_37000.1, SHAE2_37000.3, SHAE2_37000.4, SHAE2_37000.5
OG0000794	KAK4474355.1	SHAE2_11930.1
OG0000795	KAK4467676.1	SHAE2_100770.1
OG0000796	KAK4474757.1	SHAE2_17760.1
OG0000797	KAK4475035.1	SHAE2_23330.3, SHAE2_23330.1, SHAE2_23330.2
OG0000798	KAK4475964.1	SHAE2_1610.2, SHAE2_1610.1, SHAE2_1610.3
OG0000799	KAK4471638.1	SHAE2_71050.1, SHAE2_71050.2, SHAE2_71050.3, SHAE2_71050.4, SHAE2_71050.5, SHAE2_71050.6, SHAE2_71050.7, SHAE2_71050.8
OG0000800	KAK4476179.1	SHAE2_11860.2, SHAE2_11860.5, SHAE2_11860.4, SHAE2_11860.3, SHAE2_11860.1
OG0000801	KAK4475245.1	SHAE2_17670.1, SHAE2_17670.3, SHAE2_17670.2, SHAE2_17670.4
OG0000802	KAK4470576.1	SHAE2_77750.1
OG0000802	KAK4472112.1	SHAE2_62560.1
OG0000803	KAK4470919.1	SHAE2_83610.1, SHAE2_83610.2
OG0000804	KAK4473168.1	SHAE2_44230.4, SHAE2_44230.2, SHAE2_44230.3, SHAE2_44230.6, SHAE2_44230.5, SHAE2_44230.1
OG0000805	KAK4474013.1	SHAE2_39300.5, SHAE2_39300.6, SHAE2_39300.1, SHAE2_39300.4, SHAE2_39300.2, SHAE2_39300.3
OG0000806	KAK4470608.1	SHAE2_78160.1, SHAE2_78160.2, SHAE2_78160.3
OG0000807	KAK4473307.1, KAK4474358.1	SHAE2_103460.2, SHAE2_103460.1
OG0000808	KAK4467771.1	SHAE2_98840.1
OG0000808	KAK4467779.1	SHAE2_98850.1, SHAE2_98850.2
OG0000809	KAK4468611.1	SHAE2_96350.1, SHAE2_96360.1
OG0000810	KAK4473212.1	SHAE2_27390.1, SHAE2_27390.2, SHAE2_27390.3
OG0000811	KAK4474417.1	SHAE2_12850.1, SHAE2_12850.2, SHAE2_12850.3, SHAE2_12850.4, SHAE2_12850.5, SHAE2_12850.6
OG0000812	KAK4474440.1	SHAE2_13870.1, SHAE2_13870.2, SHAE2_13870.5, SHAE2_13870.6, SHAE2_13870.7, SHAE2_13870.9, SHAE2_13870.8, SHAE2_13870.3, SHAE2_13870.4
OG0000813	KAK4468852.1	SHAE2_91820.3, SHAE2_91820.5, SHAE2_91820.1, SHAE2_91820.2, SHAE2_91820.4
OG0000814	KAK4471430.1	SHAE2_67620.1, SHAE2_67650.3, SHAE2_67650.1, SHAE2_67650.2
OG0000815	KAK4472012.1	SHAE2_63610.1
OG0000816	KAK4468020.1	SHAE2_103250.1
OG0000817	KAK4468677.1	SHAE2_93780.1, SHAE2_93780.2, SHAE2_93780.3, SHAE2_93780.5, SHAE2_93780.6, SHAE2_93780.4
OG0000818	KAK4474538.1	SHAE2_13320.1
OG0000819	KAK4471251.1	SHAE2_69700.1, SHAE2_69700.2, SHAE2_69700.4, SHAE2_69700.3
OG0000820	KAK4467442.1	SHAE2_89890.1
OG0000821	KAK4469272.1	SHAE2_52370.7, SHAE2_52370.10, SHAE2_52370.6, SHAE2_52370.8, SHAE2_52370.1, SHAE2_52370.11, SHAE2_52370.5, SHAE2_52370.9, SHAE2_52370.3, SHAE2_52370.4, SHAE2_52370.12, SHAE2_52370.13, SHAE2_52370.2
OG0000822	KAK4470476.1	SHAE2_78940.1
OG0000823	KAK4467478.1	SHAE2_56640.1
OG0000823	KAK4467922.1	SHAE2_98200.1, SHAE2_98230.1
OG0000824	KAK4475591.1	SHAE2_3630.3, SHAE2_3630.2, SHAE2_3630.1
OG0000825	KAK4470419.1, KAK4470420.1, KAK4470421.1	SHAE2_81540.1, SHAE2_81540.2, SHAE2_81550.1, SHAE2_81530.1
OG0000827	KAK4470549.1	SHAE2_79890.1
OG0000827	KAK4470028.1, KAK4470550.1	SHAE2_79880.1, SHAE2_79880.2
OG0000829	KAK4475182.1	SHAE2_20640.1, SHAE2_20640.2, SHAE2_20640.5, SHAE2_20640.3, SHAE2_20640.4
OG0000830	KAK4469293.1	SHAE2_52150.6, SHAE2_52150.7, SHAE2_52150.2, SHAE2_52150.4, SHAE2_52150.1, SHAE2_52150.3, SHAE2_52150.5
OG0000831	KAK4473480.1	SHAE2_45320.1, SHAE2_45320.2, SHAE2_45320.3, SHAE2_45320.4, SHAE2_45320.5, SHAE2_45320.6
OG0000832	KAK4471871.1	SHAE2_64400.7, SHAE2_64400.8, SHAE2_64400.2, SHAE2_64400.3, SHAE2_64400.4, SHAE2_64400.1
OG0000833	KAK4472353.1	SHAE2_36180.4, SHAE2_36180.1, SHAE2_36180.2, SHAE2_36180.3
OG0000835	KAK4473919.1	SHAE2_40980.3, SHAE2_40980.1, SHAE2_40980.2, SHAE2_40980.4
OG0000836	KAK4473858.1	SHAE2_40290.1
OG0000837	KAK4472239.1	SHAE2_34640.3, SHAE2_34640.2, SHAE2_34640.5, SHAE2_34640.4, SHAE2_34640.1
OG0000839	KAK4473818.1	SHAE2_41460.10, SHAE2_41460.9, SHAE2_41460.2, SHAE2_41460.1, SHAE2_41460.4, SHAE2_41460.3, SHAE2_41460.5, SHAE2_41460.7, SHAE2_41460.6, SHAE2_41460.8
OG0000840	KAK4470970.1, KAK4470978.1	SHAE2_74760.4, SHAE2_74760.6, SHAE2_74760.5, SHAE2_74760.2, SHAE2_74760.1, SHAE2_74760.3
OG0000841	KAK4475007.1	SHAE2_22960.7, SHAE2_22960.3, SHAE2_22960.2, SHAE2_22960.6, SHAE2_22960.1, SHAE2_22960.5, SHAE2_22960.9, SHAE2_22960.8, SHAE2_22960.10, SHAE2_22960.4
OG0000842	KAK4471617.1	SHAE2_71320.2, SHAE2_71320.4, SHAE2_71320.1, SHAE2_71320.3
OG0000843	KAK4468285.1	SHAE2_86730.2, SHAE2_86730.1
OG0000844	KAK4475850.1	SHAE2_5760.1, SHAE2_5760.2, SHAE2_5760.4, SHAE2_5760.5, SHAE2_5760.3, SHAE2_5760.6
OG0000845	KAK4468551.1, KAK4467252.1	SHAE2_95250.1, SHAE2_95250.2
OG0000846	KAK4474858.1	SHAE2_19010.1
OG0000847	KAK4476036.1	SHAE2_1530.1
OG0000848	KAK4474163.1	SHAE2_37610.3, SHAE2_37610.1, SHAE2_37610.5, SHAE2_37610.6, SHAE2_37610.2, SHAE2_37610.9, SHAE2_37610.11, SHAE2_37610.4, SHAE2_37610.7, SHAE2_37610.10, SHAE2_37610.12, SHAE2_37610.8
OG0000849	KAK4473756.1	SHAE2_42110.1, SHAE2_42110.3, SHAE2_42110.4, SHAE2_42110.7, SHAE2_42110.8, SHAE2_42110.2, SHAE2_42110.5, SHAE2_42110.6, SHAE2_42110.9, SHAE2_42110.11, SHAE2_42110.10, SHAE2_42110.12
OG0000850	KAK4473025.1	SHAE2_29600.4, SHAE2_29600.5, SHAE2_29600.6, SHAE2_29600.7, SHAE2_29600.8, SHAE2_29600.3, SHAE2_29600.1, SHAE2_29600.2
OG0000851	KAK4468610.1	SHAE2_96370.1, SHAE2_96370.2, SHAE2_96370.3, SHAE2_96370.5, SHAE2_96370.6, SHAE2_96370.4
OG0000852	KAK4474383.1	SHAE2_12680.8, SHAE2_12680.2, SHAE2_12680.3, SHAE2_12680.1, SHAE2_12680.5, SHAE2_12680.6, SHAE2_12680.7, SHAE2_12680.9, SHAE2_12680.4
OG0000853	KAK4468234.1	SHAE2_87270.4, SHAE2_87270.3, SHAE2_87270.1, SHAE2_87270.2
OG0000854	KAK4473859.1	SHAE2_40330.1, SHAE2_40340.1
OG0000855	KAK4467325.1	SHAE2_57770.1, SHAE2_57770.3, SHAE2_57770.2, SHAE2_57770.5, SHAE2_57770.6, SHAE2_57770.4
OG0000856	KAK4475581.1	SHAE2_3490.1, SHAE2_3490.12, SHAE2_3490.2, SHAE2_3490.4, SHAE2_3490.5, SHAE2_3490.7, SHAE2_3490.10, SHAE2_3490.13, SHAE2_3490.14, SHAE2_3490.6, SHAE2_3490.3, SHAE2_3490.9, SHAE2_3490.11, SHAE2_3490.8
OG0000857	KAK4467572.1, KAK4475703.1	SHAE2_4720.3, SHAE2_4720.4, SHAE2_4720.1, SHAE2_4720.2, SHAE2_4720.5
OG0000858	KAK4467344.1, KAK4467343.1, KAK4475741.1	SHAE2_5100.4, SHAE2_5100.1, SHAE2_5100.7, SHAE2_5100.6, SHAE2_5100.2, SHAE2_5100.3, SHAE2_5100.8, SHAE2_5100.5
OG0000859	KAK4469232.1	SHAE2_52760.1, SHAE2_52760.4, SHAE2_52760.3, SHAE2_52760.2
OG0000860	KAK4471825.1	SHAE2_63890.1
OG0000860	KAK4471718.1	SHAE2_66610.2, SHAE2_66610.1
OG0000862	KAK4472465.1	SHAE2_32280.1, SHAE2_32280.2, SHAE2_32280.3, SHAE2_32280.4
OG0000863	KAK4476011.1	SHAE2_7890.1, SHAE2_7890.2
OG0000864	KAK4473645.1	SHAE2_43260.1
