Orthogroup	s.mekongi	schistosoma_mattheei
OG0000878	KAK4475183.1	SMTH1_20380.1, SMTH1_20380.2
OG0000879	KAK4471099.1	SMTH1_64910.1
OG0000880	KAK4470966.1	SMTH1_88590.1
OG0000881	KAK4475745.1	SMTH1_5240.1
OG0000881	KAK4468637.1	SMTH1_100740.1
OG0000882	KAK4475447.1	SMTH1_24510.1
OG0000882	KAK4473671.1	SMTH1_44720.1
OG0000883	KAK4473672.1	SMTH1_44710.4, SMTH1_44710.1, SMTH1_44710.2, SMTH1_44710.3, SMTH1_44710.5, SMTH1_44710.6
OG0000884	KAK4473737.1	SMTH1_43810.1, SMTH1_43810.2, SMTH1_43810.3, SMTH1_43790.1
OG0000885	KAK4474352.1	SMTH1_102750.1, SMTH1_102750.2
OG0000886	KAK4470894.1	SMTH1_78130.5, SMTH1_78130.3, SMTH1_78130.1, SMTH1_78130.2, SMTH1_78130.4
OG0000887	KAK4475063.1	SMTH1_21650.1, SMTH1_21650.2, SMTH1_21650.3, SMTH1_21650.4
OG0000888	KAK4470877.1	SMTH1_87560.1
OG0000888	KAK4470878.1	SMTH1_87600.1, SMTH1_87580.1
OG0000890	KAK4473603.1	SMTH1_45630.1
OG0000891	KAK4473846.1	SMTH1_41350.1
OG0000892	KAK4469720.1	SMTH1_57940.2, SMTH1_57940.1, SMTH1_57940.3
OG0000894	KAK4468755.1	SMTH1_97380.1
OG0000895	KAK4472632.1	SMTH1_49020.1
OG0000896	KAK4475362.1	SMTH1_23230.1, SMTH1_23240.1, SMTH1_23250.1
OG0000897	KAK4476316.1	SMTH1_11390.1, SMTH1_11400.1
OG0000898	KAK4470204.1	SMTH1_80190.1, SMTH1_80190.2, SMTH1_80190.3, SMTH1_80190.4, SMTH1_80190.5, SMTH1_80190.6
OG0000899	KAK4474583.1	SMTH1_16070.1
OG0000900	KAK4475641.1	SMTH1_4180.1, SMTH1_4190.1
OG0000901	KAK4471706.1	SMTH1_69630.7, SMTH1_69630.8, SMTH1_69630.5, SMTH1_69630.6, SMTH1_69630.10, SMTH1_69630.11, SMTH1_69630.9, SMTH1_69630.1, SMTH1_69630.2, SMTH1_69630.3, SMTH1_69630.4
OG0000902	KAK4469829.1	SMTH1_61360.1, SMTH1_61360.2, SMTH1_61360.3, SMTH1_61360.4, SMTH1_61360.5, SMTH1_61360.7, SMTH1_61360.6
OG0000903	KAK4475319.1	SMTH1_17150.1, SMTH1_17150.2
OG0000904	KAK4475874.1	SMTH1_5860.3, SMTH1_5860.1, SMTH1_5860.2, SMTH1_5860.4, SMTH1_5860.5
OG0000905	KAK4470893.1	SMTH1_87750.3, SMTH1_87750.1, SMTH1_87750.5, SMTH1_87750.4, SMTH1_87750.6, SMTH1_87750.2
OG0000906	KAK4471295.1	SMTH1_71090.1, SMTH1_71090.3, SMTH1_71090.2
OG0000907	KAK4470463.1	SMTH1_82970.4, SMTH1_82970.2, SMTH1_82970.1, SMTH1_82970.3
OG0000908	KAK4472964.1	SMTH1_29470.3, SMTH1_29470.2, SMTH1_29470.1
OG0000908	KAK4472965.1	SMTH1_29460.1
OG0000910	KAK4476130.1	SMTH1_9280.1, SMTH1_9280.3, SMTH1_9280.2
OG0000911	KAK4471170.1	SMTH1_64690.2, SMTH1_64690.3, SMTH1_64690.4, SMTH1_64690.5, SMTH1_64690.1
OG0000912	KAK4475973.1	SMTH1_7390.1
OG0000913	KAK4472644.1	SMTH1_34950.1, SMTH1_34960.1, SMTH1_34970.1
OG0000914	KAK4473816.1	SMTH1_42710.1, SMTH1_42700.1
OG0000915	KAK4472417.1	SMTH1_32780.1, SMTH1_32780.3, SMTH1_32780.4, SMTH1_32780.2
OG0000916	KAK4473712.1	SMTH1_44110.1
OG0000917	KAK4468177.1	SMTH1_93310.1
OG0000918	KAK4472957.1	SMTH1_29590.1
OG0000919	KAK4468191.1	SMTH1_93560.1, SMTH1_93560.2
OG0000921	KAK4473570.1	SMTH1_48450.1, SMTH1_48450.6, SMTH1_48450.5, SMTH1_48450.4, SMTH1_48450.2, SMTH1_48450.3
OG0000923	KAK4467730.1	SMTH1_103410.1, SMTH1_103410.2, SMTH1_103410.4, SMTH1_103410.3
OG0000925	KAK4474818.1	SMTH1_18200.1
OG0000926	KAK4472929.1	SMTH1_29910.1
OG0000927	KAK4475055.1	SMTH1_21740.13, SMTH1_21740.6, SMTH1_21740.1, SMTH1_21740.10, SMTH1_21740.11, SMTH1_21740.2, SMTH1_21740.3, SMTH1_21740.4, SMTH1_21740.7, SMTH1_21740.8, SMTH1_21740.9, SMTH1_21740.12, SMTH1_21740.5
OG0000928	KAK4474205.1	SMTH1_35830.3, SMTH1_35830.4, SMTH1_35830.5, SMTH1_35830.6, SMTH1_35830.7, SMTH1_35830.8, SMTH1_35830.1, SMTH1_35830.2, SMTH1_35840.4, SMTH1_35840.2, SMTH1_35840.5, SMTH1_35840.1, SMTH1_35840.3
OG0000929	KAK4471201.1	SMTH1_72160.1, SMTH1_72160.2
OG0000930	KAK4473473.1	SMTH1_47240.1, SMTH1_47240.2, SMTH1_47240.3, SMTH1_47240.4, SMTH1_47240.7, SMTH1_47240.5, SMTH1_47240.6
OG0000931	KAK4470219.1	SMTH1_79480.1
OG0000932	KAK4476123.1	SMTH1_1330.1, SMTH1_1330.3, SMTH1_1330.4, SMTH1_1330.5, SMTH1_1330.6, SMTH1_1330.7, SMTH1_1330.8, SMTH1_1330.2
OG0000933	KAK4473701.1	SMTH1_44220.1, SMTH1_44220.2, SMTH1_44230.1
OG0000934	KAK4476302.1	SMTH1_11480.1
OG0000935	KAK4471482.1	SMTH1_71490.1
OG0000936	KAK4467944.1	SMTH1_104360.5, SMTH1_104360.1, SMTH1_104360.3, SMTH1_104360.4, SMTH1_104360.2
OG0000937	KAK4469907.1	SMTH1_60440.1
OG0000938	KAK4471997.1	SMTH1_66390.1, SMTH1_66380.1
OG0000939	KAK4468842.1	SMTH1_96500.5, SMTH1_96500.1, SMTH1_96500.2, SMTH1_96500.3, SMTH1_96500.4
OG0000940	KAK4475887.1	SMTH1_6600.1, SMTH1_6620.1, SMTH1_6610.1
OG0000941	KAK4472578.1	SMTH1_35630.1
OG0000942	KAK4474779.1	SMTH1_17740.1
OG0000943	KAK4472800.1	SMTH1_31860.3, SMTH1_31860.1, SMTH1_31860.2
OG0000944	KAK4471183.1	SMTH1_64370.1
OG0000945	KAK4474600.1	SMTH1_12670.5, SMTH1_12670.1, SMTH1_12670.2, SMTH1_12670.3, SMTH1_12670.4, SMTH1_12670.6
OG0000946	KAK4476224.1	SMTH1_9880.1
OG0000947	KAK4473782.1	SMTH1_43100.1, SMTH1_43090.1
OG0000948	KAK4468000.1	SMTH1_90130.1
OG0000949	KAK4474797.1, KAK4474796.1	SMTH1_17930.1, SMTH1_17940.1, SMTH1_17910.1, SMTH1_17920.1
OG0000950	KAK4469335.1	SMTH1_59450.1, SMTH1_59450.3, SMTH1_59450.2, SMTH1_59450.4
OG0000951	KAK4467725.1, KAK4467726.1	SMTH1_103360.4, SMTH1_103360.2, SMTH1_103360.1, SMTH1_103360.3
OG0000952	KAK4472413.1	SMTH1_32740.3, SMTH1_32740.4, SMTH1_32740.1, SMTH1_32740.2
OG0000953	KAK4471693.1	SMTH1_69740.1
OG0000955	KAK4474643.1	SMTH1_14020.1, SMTH1_14020.3, SMTH1_14020.4, SMTH1_14020.5, SMTH1_14020.2
OG0000958	KAK4475258.1	SMTH1_15260.1, SMTH1_15260.2, SMTH1_15260.3, SMTH1_15260.4
OG0000959	KAK4470133.1	SMTH1_77500.2, SMTH1_77500.4, SMTH1_77500.1, SMTH1_77500.3
OG0000960	KAK4475503.1	SMTH1_25080.3, SMTH1_25080.4, SMTH1_25080.5, SMTH1_25080.2, SMTH1_25080.7, SMTH1_25080.1, SMTH1_25080.6
OG0000961	KAK4473786.1	SMTH1_43140.1, SMTH1_43140.3, SMTH1_43140.4, SMTH1_43140.2, SMTH1_43140.5
OG0000962	KAK4470465.1	SMTH1_82940.7, SMTH1_82940.4, SMTH1_82940.5, SMTH1_82940.6, SMTH1_82940.1, SMTH1_82940.3, SMTH1_82940.2, SMTH1_82940.8, SMTH1_82940.9
OG0000963	KAK4475528.1	SMTH1_2920.1, SMTH1_2930.1
OG0000964	KAK4473624.1	SMTH1_45390.2, SMTH1_45390.5, SMTH1_45390.1, SMTH1_45390.3, SMTH1_45390.4, SMTH1_45390.6
OG0000965	KAK4471425.1	SMTH1_70530.1
OG0000966	KAK4474035.1	SMTH1_40110.1
OG0000966	KAK4469278.1	SMTH1_54810.1
OG0000967	KAK4474115.1	SMTH1_39020.1
OG0000968	KAK4475563.1, KAK4475566.1	SMTH1_3390.1
OG0000969	KAK4468356.1, KAK4468355.1	SMTH1_90270.2, SMTH1_90270.1
OG0000969	KAK4468357.1	SMTH1_90260.1, SMTH1_90250.1
OG0000970	KAK4470288.1	SMTH1_77140.1
OG0000971	KAK4475069.1	SMTH1_2360.1, SMTH1_2360.2
OG0000972	KAK4475919.1	SMTH1_7000.1, SMTH1_7010.1, SMTH1_7020.1, SMTH1_6980.1
OG0000973	KAK4473078.1	SMTH1_26720.1
OG0000973	KAK4473076.1, KAK4473077.1	SMTH1_26750.4, SMTH1_26750.2, SMTH1_26740.1, SMTH1_26750.1, SMTH1_26750.3
OG0000974	KAK4469802.1	SMTH1_61730.5, SMTH1_61730.3, SMTH1_61730.4, SMTH1_61730.2, SMTH1_61730.6, SMTH1_61730.1
OG0000975	KAK4475902.1	SMTH1_6810.3, SMTH1_6810.2, SMTH1_6810.1, SMTH1_6820.1
OG0000976	KAK4476301.1	SMTH1_11590.1, SMTH1_11590.2, SMTH1_11590.3
OG0000977	KAK4474438.1	SMTH1_13460.1
OG0000978	KAK4475351.1	SMTH1_23090.1, SMTH1_23090.2, SMTH1_23090.3, SMTH1_23090.4, SMTH1_23090.5
OG0000979	KAK4467504.1	SMTH1_81990.1
OG0000980	KAK4469712.1	SMTH1_58020.5, SMTH1_58020.2, SMTH1_58020.1, SMTH1_58020.3, SMTH1_58020.4
OG0000981	KAK4467302.1	SMTH1_44690.1, SMTH1_44680.1
OG0000982	KAK4471784.1	SMTH1_71550.1, SMTH1_71560.1
OG0000983	KAK4475242.1	SMTH1_17360.1
OG0000984	KAK4474162.1	SMTH1_38640.1
OG0000985	KAK4474794.1	SMTH1_17890.1, SMTH1_17890.4, SMTH1_17890.2, SMTH1_17890.3, SMTH1_17890.5, SMTH1_17890.6
OG0000986	KAK4470291.1	SMTH1_81000.1, SMTH1_81000.4, SMTH1_81000.2, SMTH1_81000.3
OG0000987	KAK4468141.1	SMTH1_92490.1
OG0000988	KAK4469766.1, KAK4469767.1	SMTH1_63410.1, SMTH1_63410.2, SMTH1_63410.3
OG0000989	KAK4469139.1	SMTH1_57360.3, SMTH1_57360.5, SMTH1_57360.1, SMTH1_57360.2, SMTH1_57360.4
OG0000990	KAK4475767.1, KAK4467314.1	SMTH1_5440.2, SMTH1_5440.4, SMTH1_5440.7, SMTH1_5440.1, SMTH1_5440.5, SMTH1_5440.3, SMTH1_5440.6
OG0000991	KAK4472089.1	SMTH1_65330.1
OG0000992	KAK4472362.1	SMTH1_49270.1, SMTH1_49270.3, SMTH1_49270.4, SMTH1_49270.2
OG0000993	KAK4470814.1	SMTH1_86860.3, SMTH1_86860.4, SMTH1_86860.1, SMTH1_86860.2
OG0000994	KAK4472179.1, KAK4472284.1	SMTH1_37680.1, SMTH1_37690.1, SMTH1_37670.1
OG0000995	KAK4470067.1	SMTH1_89450.2, SMTH1_89450.4, SMTH1_89450.3, SMTH1_89450.1
OG0000996	KAK4471910.1	SMTH1_71700.1, SMTH1_71700.2, SMTH1_71700.3, SMTH1_71690.1
OG0000997	KAK4468590.1	SMTH1_98510.1, SMTH1_98510.2
OG0000998	KAK4469022.1	SMTH1_61950.1, SMTH1_61940.1
OG0000999	KAK4473903.1	SMTH1_41880.1, SMTH1_41880.2
OG0001000	KAK4476027.1	SMTH1_8090.1
OG0001003	KAK4474199.1	SMTH1_35770.2, SMTH1_35770.1, SMTH1_35770.3
OG0001005	KAK4467346.1, KAK4475757.1	SMTH1_5320.1, SMTH1_5320.2, SMTH1_5320.3, SMTH1_5320.4, SMTH1_5320.5, SMTH1_5320.6
OG0001006	KAK4468352.1, KAK4468353.1	SMTH1_90300.1, SMTH1_90310.1
OG0001007	KAK4472027.1	SMTH1_65980.1, SMTH1_66010.1, SMTH1_66010.4, SMTH1_66010.2, SMTH1_66010.3, SMTH1_65990.1
OG0001008	KAK4472028.1	SMTH1_65970.2, SMTH1_65970.1, SMTH1_65970.3, SMTH1_65970.4
OG0001009	KAK4468774.1	SMTH1_97630.3, SMTH1_97630.4, SMTH1_97630.1, SMTH1_97630.2
OG0001010	KAK4471864.1	SMTH1_67040.1, SMTH1_67040.2, SMTH1_67040.3
OG0001011	KAK4473707.1	SMTH1_44170.1, SMTH1_44170.3, SMTH1_44170.4
OG0001012	KAK4475869.1	SMTH1_5900.2, SMTH1_5900.5, SMTH1_5900.7, SMTH1_5900.1, SMTH1_5900.3, SMTH1_5900.6, SMTH1_5900.4
OG0001013	KAK4467552.1, KAK4467336.1, KAK4476126.1	SMTH1_15380.7, SMTH1_15380.5, SMTH1_15380.6, SMTH1_15380.1, SMTH1_15380.3, SMTH1_15380.4, SMTH1_15380.2
OG0001014	KAK4475686.1	SMTH1_4630.1
OG0001015	KAK4473951.1	SMTH1_41580.1, SMTH1_107080.1, SMTH1_42450.1, SMTH1_107090.1, SMTH1_42500.1
OG0001016	KAK4473870.1	SMTH1_41660.1, SMTH1_41660.2, SMTH1_41660.3, SMTH1_41660.4
OG0001017	KAK4475241.1	SMTH1_17340.1, SMTH1_17340.2
OG0001018	KAK4472436.1	SMTH1_32980.3, SMTH1_32980.1, SMTH1_32980.2
OG0001019	KAK4473453.1	SMTH1_47000.2, SMTH1_47000.1, SMTH1_47000.3
OG0001020	KAK4474384.1	SMTH1_12230.1, SMTH1_12230.2, SMTH1_12230.4, SMTH1_12230.3
OG0001021	KAK4472739.1	SMTH1_32710.1, SMTH1_32720.1
OG0001022	KAK4475364.1	SMTH1_23290.1, SMTH1_23280.1
OG0001023	KAK4471384.1	SMTH1_70160.1
OG0001024	KAK4470827.1	SMTH1_87000.1, SMTH1_87010.1
OG0001025	KAK4468679.1	SMTH1_98100.2, SMTH1_98100.3, SMTH1_98100.4, SMTH1_98100.1, SMTH1_98100.6, SMTH1_98100.5, SMTH1_98100.7
OG0001026	KAK4469225.1	SMTH1_55480.1, SMTH1_55480.2, SMTH1_55480.4, SMTH1_55480.5, SMTH1_55480.3
OG0001027	KAK4474354.1	SMTH1_1130.1
OG0001028	KAK4469796.1	SMTH1_61610.3, SMTH1_61610.4, SMTH1_61610.2, SMTH1_61610.1
OG0001029	KAK4469208.1	SMTH1_55700.1, SMTH1_55710.1, SMTH1_55720.1
OG0001030	KAK4472814.1	SMTH1_32020.1
OG0001031	KAK4470821.1	SMTH1_78340.1
OG0001032	KAK4471932.1	SMTH1_71720.1, SMTH1_71720.2, SMTH1_71720.3, SMTH1_71720.4
OG0001033	KAK4470208.1	SMTH1_80220.1, SMTH1_80220.4, SMTH1_80220.2, SMTH1_80220.3
OG0001034	KAK4469007.1, KAK4469010.1	SMTH1_60210.2, SMTH1_60230.1, SMTH1_60210.3, SMTH1_60210.4, SMTH1_60230.2, SMTH1_60210.1
OG0001036	KAK4474919.1	SMTH1_19290.1
OG0001037	KAK4475368.1	SMTH1_23340.2, SMTH1_23340.3, SMTH1_23340.4, SMTH1_23340.1
OG0001038	KAK4474755.1	SMTH1_1910.2, SMTH1_1910.1, SMTH1_1910.3, SMTH1_1910.4
OG0001039	KAK4473079.1	SMTH1_30230.1
OG0001040	KAK4468300.1	SMTH1_89990.1
OG0001041	KAK4467710.1	SMTH1_104630.1
OG0001042	KAK4474426.1	SMTH1_13300.1
OG0001043	KAK4469557.1	SMTH1_54080.1, SMTH1_54080.2
OG0001044	KAK4471581.1	SMTH1_74880.1, SMTH1_74890.1
OG0001045	KAK4471626.1	SMTH1_74390.1
OG0001046	KAK4469663.1	SMTH1_56990.1, SMTH1_56990.4, SMTH1_56990.2, SMTH1_56990.3
OG0001047	KAK4467816.1	SMTH1_106250.1, SMTH1_106260.1, SMTH1_106240.1
OG0001048	KAK4470819.1	SMTH1_86920.1, SMTH1_86920.2, SMTH1_86920.3
OG0001049	KAK4469820.1	SMTH1_61440.4, SMTH1_61440.3, SMTH1_61440.1, SMTH1_61440.2
OG0001050	KAK4471737.1	SMTH1_69290.1, SMTH1_69300.1
OG0001051	KAK4468758.1	SMTH1_97490.1, SMTH1_97490.2, SMTH1_97490.3, SMTH1_97490.4, SMTH1_97490.5, SMTH1_97490.6, SMTH1_97490.7
OG0001052	KAK4469823.1	SMTH1_61410.1
OG0001053	KAK4471433.1	SMTH1_70640.1, SMTH1_70640.2, SMTH1_70640.6, SMTH1_70640.5, SMTH1_70640.4, SMTH1_70640.3
OG0001054	KAK4474485.1, KAK4474484.1	SMTH1_13000.1, SMTH1_13010.1, SMTH1_13020.1
OG0001055	KAK4473796.1	SMTH1_42980.1, SMTH1_42970.1
OG0001056	KAK4471152.1	SMTH1_64330.1
OG0001057	KAK4468746.1	SMTH1_97290.1
OG0001058	KAK4471917.1, KAK4471918.1	SMTH1_67710.1, SMTH1_67700.2, SMTH1_67700.1
OG0001059	KAK4474872.1	SMTH1_18780.2, SMTH1_18780.3, SMTH1_18780.1
OG0001060	KAK4471301.1	SMTH1_71030.1
OG0001061	KAK4474418.1, KAK4467307.1, KAK4474419.1	SMTH1_12400.1
OG0001062	KAK4469297.1	SMTH1_54650.3, SMTH1_54650.5, SMTH1_54650.6, SMTH1_54650.2, SMTH1_54650.1, SMTH1_54650.4
OG0001064	KAK4469625.1	SMTH1_53280.1
OG0001065	KAK4472778.1	SMTH1_32280.1
OG0001065	KAK4472745.1	SMTH1_32290.1
OG0001065	KAK4472746.1	SMTH1_32310.1
OG0001066	KAK4476315.1	SMTH1_11380.10, SMTH1_11380.4, SMTH1_11380.1, SMTH1_11380.11, SMTH1_11380.3, SMTH1_11380.6, SMTH1_11380.7, SMTH1_11380.8, SMTH1_11380.2, SMTH1_11380.5, SMTH1_11380.9
OG0001068	KAK4470504.1	SMTH1_84390.1, SMTH1_84390.2
OG0001070	KAK4471390.1	SMTH1_70220.1
OG0001070	KAK4470698.1	SMTH1_84890.1
OG0001071	KAK4471222.1	SMTH1_72460.1, SMTH1_72460.2
OG0001072	KAK4473457.1	SMTH1_47050.1, SMTH1_47050.3, SMTH1_47050.2, SMTH1_47050.4, SMTH1_47050.5
OG0001073	KAK4474855.1	SMTH1_18600.1
OG0001074	KAK4473040.1	SMTH1_30480.1, SMTH1_30470.1
OG0001075	KAK4471794.1	SMTH1_68790.1
OG0001076	KAK4469186.1	SMTH1_51730.3, SMTH1_51730.4, SMTH1_51730.1, SMTH1_51730.2
OG0001077	KAK4469392.1, KAK4469391.1	SMTH1_56070.1
OG0001078	KAK4471959.1	SMTH1_68150.1, SMTH1_68160.1
OG0001079	KAK4470554.1	SMTH1_83760.1, SMTH1_83760.2, SMTH1_83760.3, SMTH1_83760.4
OG0001080	KAK4470619.1	SMTH1_82140.1, SMTH1_82140.3, SMTH1_82140.2, SMTH1_82140.5, SMTH1_82140.4, SMTH1_82140.6
OG0001081	KAK4472281.1	SMTH1_37740.1
OG0001082	KAK4469312.1	SMTH1_54390.1
OG0001083	KAK4467695.1	SMTH1_104790.3, SMTH1_104790.2, SMTH1_104790.1
OG0001084	KAK4475334.1	SMTH1_22900.3, SMTH1_22900.1, SMTH1_22900.5, SMTH1_22900.2, SMTH1_22900.4
OG0001085	KAK4467681.1	SMTH1_105790.1, SMTH1_105790.2
OG0001086	KAK4470175.1	SMTH1_79850.1, SMTH1_79840.1
OG0001087	KAK4469641.1	SMTH1_57240.1
OG0001087	KAK4474021.1	SMTH1_40250.1
OG0001088	KAK4473163.1	SMTH1_26180.1, SMTH1_26190.1, SMTH1_27310.1
OG0001089	KAK4471220.1	SMTH1_72440.1, SMTH1_72440.2, SMTH1_72440.3, SMTH1_72440.4
OG0001090	KAK4467837.1	SMTH1_106930.1, SMTH1_106930.2
OG0001091	KAK4469323.1	SMTH1_54280.1
OG0001092	KAK4470091.1	SMTH1_77340.1
OG0001093	KAK4468335.1	SMTH1_90540.1
OG0001094	KAK4473987.1	SMTH1_40550.1, SMTH1_40550.3, SMTH1_40550.4, SMTH1_40550.2
OG0001095	KAK4469671.1	SMTH1_56910.1
OG0001096	KAK4475079.1	SMTH1_21480.1, SMTH1_21480.3, SMTH1_21480.2
OG0001097	KAK4471387.1	SMTH1_76930.1
OG0001098	KAK4472593.1	SMTH1_35460.2, SMTH1_35460.1
OG0001099	KAK4468783.1	SMTH1_102560.1
OG0001100	KAK4471534.1	SMTH1_75560.1, SMTH1_75550.1
OG0001101	KAK4469623.1	SMTH1_51090.1, SMTH1_51120.1
OG0001102	KAK4471719.1	SMTH1_69510.1, SMTH1_69510.2, SMTH1_69510.3
OG0001103	KAK4467708.1	SMTH1_104660.3, SMTH1_104660.4, SMTH1_104660.1, SMTH1_104660.2
OG0001104	KAK4471723.1	SMTH1_69480.1, SMTH1_69490.1
OG0001105	KAK4472587.1	SMTH1_35550.1, SMTH1_35550.2, SMTH1_35550.3, SMTH1_35550.4, SMTH1_35550.5
OG0001106	KAK4471497.1	SMTH1_76080.1
OG0001107	KAK4469144.1, KAK4469142.1	SMTH1_57390.6, SMTH1_57390.3, SMTH1_57390.4, SMTH1_57390.5, SMTH1_57390.1, SMTH1_57390.2
OG0001108	KAK4472830.1	SMTH1_31690.2, SMTH1_31690.5, SMTH1_31690.3, SMTH1_31690.4, SMTH1_31690.1
OG0001110	KAK4475672.1	SMTH1_4460.1, SMTH1_4470.1
OG0001111	KAK4469284.1	SMTH1_54760.1, SMTH1_54760.2, SMTH1_54760.3
OG0001112	KAK4467791.1	SMTH1_106020.1
OG0001112	KAK4467789.1, KAK4467788.1	SMTH1_105990.1, SMTH1_106010.1
OG0001113	KAK4476086.1, KAK4476087.1	SMTH1_8860.1
OG0001114	KAK4476057.1	SMTH1_7600.2
OG0001115	KAK4467699.1	SMTH1_104760.4, SMTH1_104760.2, SMTH1_104760.1, SMTH1_104760.3
OG0001116	KAK4468369.1	SMTH1_89960.1
OG0001117	KAK4475302.1	SMTH1_16930.1, SMTH1_16930.2, SMTH1_16930.3, SMTH1_16930.4, SMTH1_16930.5, SMTH1_16930.6
OG0001118	KAK4470222.1	SMTH1_79420.1, SMTH1_79430.1, SMTH1_79440.1
OG0001119	KAK4471218.1	SMTH1_72420.1, SMTH1_72420.2
OG0001120	KAK4472630.1, KAK4472629.1	SMTH1_35120.1
OG0001121	KAK4467341.1	SMTH1_62930.1
OG0001122	KAK4470945.1	SMTH1_88330.1, SMTH1_88330.2, SMTH1_88330.3, SMTH1_88330.4, SMTH1_88330.5
OG0001123	KAK4468721.1	SMTH1_100420.1, SMTH1_100420.2, SMTH1_100420.3, SMTH1_100420.4
OG0001124	KAK4473908.1	SMTH1_41910.5, SMTH1_41910.1, SMTH1_41910.2, SMTH1_41910.3, SMTH1_41910.4
OG0001125	KAK4475252.1, KAK4475264.1	SMTH1_15350.1, SMTH1_15350.3, SMTH1_15330.1, SMTH1_15350.2
OG0001126	KAK4476304.1	SMTH1_11430.1, SMTH1_11430.3, SMTH1_11430.4, SMTH1_11430.2
OG0001127	KAK4473667.1	SMTH1_44750.1, SMTH1_44740.1
OG0001128	KAK4470681.1	SMTH1_84700.1
OG0001129	KAK4473880.1	SMTH1_41080.1, SMTH1_41070.1, SMTH1_41070.2
OG0001130	KAK4467488.1, KAK4467490.1, KAK4474435.1	SMTH1_13420.1, SMTH1_13410.1
OG0001131	KAK4470637.1	SMTH1_82340.1
OG0001132	KAK4468209.1	SMTH1_92280.1, SMTH1_92290.1
OG0001133	KAK4474780.1	SMTH1_17750.2, SMTH1_17750.1
OG0001134	KAK4471240.1	SMTH1_72650.1, SMTH1_72650.3, SMTH1_72650.2, SMTH1_72650.4
OG0001135	KAK4472564.1	SMTH1_38220.1
OG0001136	KAK4473309.1	SMTH1_26280.1
OG0001137	KAK4469354.1	SMTH1_59630.1, SMTH1_59640.1
OG0001138	KAK4474983.1	SMTH1_22690.1, SMTH1_22690.2
OG0001139	KAK4473852.1	SMTH1_41440.1, SMTH1_41440.2
OG0001140	KAK4469259.1	SMTH1_51640.1, SMTH1_51640.2, SMTH1_51640.3
OG0001141	KAK4470986.1	SMTH1_88810.1, SMTH1_88850.1, SMTH1_88820.1, SMTH1_88820.3, SMTH1_88820.2, SMTH1_88840.1
OG0001142	KAK4474696.1, KAK4474694.1	SMTH1_14560.1, SMTH1_14540.3, SMTH1_14540.2, SMTH1_14540.1
OG0001143	KAK4471679.1	SMTH1_69880.1, SMTH1_69890.1
OG0001144	KAK4474042.1	SMTH1_40040.1
OG0001145	KAK4471255.1	SMTH1_72810.1, SMTH1_72810.2, SMTH1_72810.3, SMTH1_72810.4, SMTH1_72810.5, SMTH1_72810.6, SMTH1_72810.7
OG0001146	KAK4475726.1	SMTH1_5060.1, SMTH1_5060.2, SMTH1_5060.3, SMTH1_5060.4
OG0001147	KAK4474241.1	SMTH1_8750.1, SMTH1_8750.2, SMTH1_8750.3, SMTH1_8750.4
OG0001148	KAK4470683.1	SMTH1_78420.1
OG0001149	KAK4470825.1	SMTH1_86930.1
OG0001150	KAK4469715.1	SMTH1_57990.1
OG0001151	KAK4468560.1	SMTH1_99610.1
OG0001152	KAK4467419.1, KAK4474691.1	SMTH1_14330.1, SMTH1_14330.2, SMTH1_14330.3, SMTH1_14330.4, SMTH1_14330.5, SMTH1_14330.6
OG0001153	KAK4471271.1	SMTH1_76750.1
OG0001154	KAK4472675.1	SMTH1_48970.1
OG0001155	KAK4469552.1	SMTH1_54160.1, SMTH1_54160.2, SMTH1_54160.3
OG0001156	KAK4470111.1, KAK4475961.1	SMTH1_8690.1, SMTH1_107530.1
OG0001157	KAK4471675.1	SMTH1_69920.1
OG0001158	KAK4473471.1	SMTH1_47230.1, SMTH1_47230.2
OG0001159	KAK4468670.1	SMTH1_102330.1
OG0001160	KAK4475388.1	SMTH1_23540.2, SMTH1_23540.1, SMTH1_23540.3, SMTH1_23540.4
OG0001161	KAK4471498.1	SMTH1_76070.1
OG0001161	KAK4471267.1, KAK4471268.1	SMTH1_72930.1
OG0001162	KAK4474084.1	SMTH1_39590.1
OG0001163	KAK4470411.1	SMTH1_85880.1
OG0001164	KAK4468217.1	SMTH1_90900.1
OG0001165	KAK4467564.1, KAK4467567.1	SMTH1_64020.2, SMTH1_64020.3, SMTH1_64020.4, SMTH1_64020.1
OG0001166	KAK4474416.1	SMTH1_12370.1, SMTH1_12370.3, SMTH1_12370.2, SMTH1_12370.4, SMTH1_12370.5
OG0001167	KAK4474085.1	SMTH1_39580.1
OG0001168	KAK4467300.1, KAK4474652.1	SMTH1_14110.1
OG0001169	KAK4469395.1	SMTH1_56100.1
OG0001170	KAK4474599.1	SMTH1_12690.1, SMTH1_12680.1
OG0001171	KAK4475235.1	SMTH1_17290.1
OG0001172	KAK4471888.1	SMTH1_67260.1, SMTH1_67260.2
OG0001173	KAK4474895.1	SMTH1_2150.2, SMTH1_2150.3, SMTH1_2150.5, SMTH1_2150.6, SMTH1_2150.7, SMTH1_2150.8, SMTH1_2150.4, SMTH1_2150.1
OG0001174	KAK4474366.1	SMTH1_11060.1
OG0001176	KAK4470589.1	SMTH1_81680.1
OG0001177	KAK4473187.1	SMTH1_27540.1
OG0001178	KAK4475543.1	SMTH1_3090.1
OG0001178	KAK4475541.1	SMTH1_3070.1, SMTH1_3080.1
