Orthogroup	s.mekongi	schistosoma_mansoni
OG0001468	KAK4475755.1	Smp_241470.1
OG0001469	KAK4468293.1	Smp_150560.1
OG0001470	KAK4471118.1	Smp_132550.1
OG0001471	KAK4471762.1, KAK4471761.1	Smp_029070.1
OG0001472	KAK4471954.1	Smp_144370.1
OG0001473	KAK4470641.1	Smp_008830.1
OG0001474	KAK4473644.1	Smp_247270.1
OG0001475	KAK4469874.1	Smp_311650.1
OG0001476	KAK4476002.1	Smp_174230.1
OG0001477	KAK4469033.1	Smp_105200.1
OG0001478	KAK4475476.1	Smp_345630.1, Smp_345630.2
OG0001479	KAK4476159.1	Smp_305050.1, Smp_305060.1
OG0001480	KAK4475942.1	Smp_172810.1
OG0001481	KAK4469635.1, KAK4469636.1	Smp_310510.1, Smp_310510.2, Smp_310520.1
OG0001482	KAK4468865.1	Smp_164010.1
OG0001483	KAK4470165.1	Smp_341560.1
OG0001484	KAK4473387.1	Smp_099160.1
OG0001485	KAK4472286.1	Smp_172420.1
OG0001486	KAK4469506.1	Smp_148460.1
OG0001487	KAK4473164.1	Smp_129550.1, Smp_129580.1
OG0001488	KAK4474060.1	Smp_132750.1
OG0001488	KAK4467784.1	Smp_005790.1
OG0001489	KAK4473243.1	Smp_003340.1
OG0001490	KAK4472636.1	Smp_246460.1
OG0001491	KAK4467448.1, KAK4475818.1	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1
OG0001492	KAK4469550.1	Smp_161220.1
OG0001493	KAK4469536.1	Smp_210300.1
OG0001494	KAK4472983.1	Smp_181040.1
OG0001495	KAK4475962.1	Smp_019680.1
OG0001496	KAK4470511.1	Smp_334250.1
OG0001497	KAK4474198.1	Smp_098760.1
OG0001498	KAK4473400.1	Smp_320530.1
OG0001499	KAK4471805.1	Smp_199800.1
OG0001500	KAK4471363.1	Smp_138330.1
OG0001501	KAK4467925.1	Smp_130260.1
OG0001502	KAK4475834.1	Smp_244820.1, Smp_244820.2
OG0001503	KAK4469162.1	Smp_154880.1
OG0001504	KAK4471426.1	Smp_092810.1
OG0001505	KAK4467674.1	Smp_127770.1
OG0001506	KAK4474547.1	Smp_132090.1
OG0001507	KAK4469704.1	Smp_130020.1
OG0001508	KAK4473780.1	Smp_054800.1
OG0001509	KAK4470670.1	Smp_153930.1
OG0001510	KAK4473423.1	Smp_065580.1
OG0001511	KAK4472609.1	Smp_006590.1
OG0001512	KAK4470155.1, KAK4470156.1	Smp_092320.1
OG0001513	KAK4474579.1	Smp_241410.1
OG0001514	KAK4474937.1	Smp_340970.1
OG0001515	KAK4476213.1	Smp_347370.1, Smp_021370.1
OG0001516	KAK4475046.1	Smp_143780.1
OG0001517	KAK4473097.1	Smp_097790.1, Smp_097790.2
OG0001518	KAK4470507.1	Smp_153870.1, Smp_153870.2
OG0001519	KAK4470526.1	Smp_150850.1
OG0001520	KAK4475990.1	Smp_012030.1
OG0001521	KAK4469850.1	Smp_245950.1
OG0001522	KAK4474373.1	Smp_345770.1
OG0001523	KAK4469319.1	Smp_171270.1
OG0001524	KAK4468358.1, KAK4468304.1	Smp_247650.1
OG0001525	KAK4472296.1	Smp_136160.1
OG0001526	KAK4469504.1	Smp_344110.1
OG0001527	KAK4468587.1	Smp_156160.1
OG0001528	KAK4473520.1	Smp_152060.1
OG0001529	KAK4472072.1	Smp_104520.1
OG0001530	KAK4469900.1	Smp_133590.1, Smp_133590.2, Smp_133590.3
OG0001531	KAK4474840.1, KAK4474842.1	Smp_323830.2, Smp_323830.1
OG0001532	KAK4475577.1	Smp_164820.1, Smp_322070.1
OG0001533	KAK4472100.1	Smp_047720.1
OG0001534	KAK4470485.1	Smp_156630.1
OG0001535	KAK4468789.1	Smp_123320.1
OG0001536	KAK4475341.1	Smp_149530.1
OG0001537	KAK4474598.1	Smp_133900.1, Smp_133890.1
OG0001538	KAK4468775.1	Smp_078240.1
OG0001539	KAK4474777.1	Smp_156990.1
OG0001540	KAK4473765.1	Smp_088460.1
OG0001541	KAK4468168.1	Smp_039160.1
OG0001542	KAK4469573.1	Smp_179010.1
OG0001543	KAK4468017.1	Smp_321255.1
OG0001544	KAK4474656.1	Smp_135990.1
OG0001545	KAK4469077.1	Smp_016510.1
OG0001546	KAK4474025.1	Smp_346820.1, Smp_335570.1
OG0001547	KAK4472298.1	Smp_345370.1
OG0001548	KAK4468448.1	Smp_317540.1
OG0001549	KAK4473526.1	Smp_154610.1
OG0001554	KAK4472720.1	Smp_129020.1
OG0001555	KAK4470510.1	Smp_138810.1, Smp_153890.1
OG0001556	KAK4474204.1	Smp_140440.1
OG0001557	KAK4472960.1	Smp_161380.1
OG0001558	KAK4467369.1	Smp_053900.1
OG0001559	KAK4469451.1	Smp_245730.1, Smp_245740.1
OG0001560	KAK4471393.1	Smp_013080.1
OG0001561	KAK4469503.1, KAK4469493.1	Smp_310170.1
OG0001562	KAK4470382.1, KAK4470383.1, KAK4470380.1	Smp_342970.1
OG0001563	KAK4472898.1	Smp_005390.1
OG0001564	KAK4468971.1	Smp_310760.1, Smp_310750.1
OG0001565	KAK4471199.1	Smp_026930.1
OG0001566	KAK4471382.1	Smp_210660.1
OG0001567	KAK4470759.1	Smp_169670.1
OG0001568	KAK4467482.1	Smp_090140.1
OG0001569	KAK4475458.1	Smp_136510.1, Smp_136510.2
OG0001570	KAK4470472.1	Smp_312440.1, Smp_312460.1
OG0001571	KAK4475792.1	Smp_015630.1
OG0001571	KAK4475974.1	Smp_096480.1
OG0001572	KAK4471383.1	Smp_127490.1
OG0001573	KAK4472974.1	Smp_333140.1
OG0001574	KAK4474125.1	Smp_005160.1, Smp_005160.2
OG0001576	KAK4468675.1	Smp_138880.1
OG0001577	KAK4472784.1	Smp_133120.1
OG0001578	KAK4469733.1	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3
OG0001579	KAK4474867.1	Smp_267110.1
OG0001580	KAK4473439.1	Smp_166370.1
OG0001581	KAK4470867.1	Smp_151490.1, Smp_151490.2
OG0001582	KAK4469986.1	Smp_021920.1
OG0001583	KAK4467501.1	Smp_170570.1
OG0001584	KAK4474170.1	Smp_139470.1
OG0001585	KAK4473664.1	Smp_049580.1
OG0001586	KAK4474962.1	Smp_015390.1
OG0001587	KAK4475140.1	Smp_161080.1, Smp_161080.2
OG0001588	KAK4471682.1	Smp_085080.1
OG0001589	KAK4472272.1	Smp_150420.1
OG0001590	KAK4470391.1	Smp_142210.1
OG0001591	KAK4467880.1	Smp_332360.1
OG0001592	KAK4475159.1	Smp_210520.1, Smp_210520.2
OG0001593	KAK4471969.1	Smp_162600.1
OG0001594	KAK4474020.1	Smp_127600.1
OG0001595	KAK4471263.1	Smp_300810.1
OG0001596	KAK4471007.1, KAK4471006.1	Smp_038080.1
OG0001597	KAK4470575.1	Smp_027430.1
OG0001598	KAK4469123.1	Smp_001410.1
OG0001599	KAK4470370.1	Smp_087010.1
OG0001600	KAK4472472.1	Smp_093220.1
OG0001601	KAK4471351.1	Smp_246360.1
OG0001602	KAK4474735.1	Smp_153640.1
OG0001603	KAK4469483.1	Smp_048830.1
OG0001604	KAK4473169.1	Smp_332680.1
OG0001606	KAK4473367.1	Smp_241980.1
OG0001607	KAK4470705.1	Smp_150680.1
OG0001608	KAK4469157.1	Smp_082670.1
OG0001610	KAK4473963.1	Smp_008260.1
OG0001611	KAK4471878.1	Smp_137950.1, Smp_137950.2
OG0001612	KAK4474674.1	Smp_021540.1
OG0001613	KAK4470649.1	Smp_008710.1
OG0001614	KAK4473674.1	Smp_148650.1
OG0001615	KAK4473673.1	Smp_049500.1
OG0001616	KAK4476267.1	Smp_212900.1
OG0001617	KAK4469909.1	Smp_047540.2, Smp_047540.1
OG0001619	KAK4469895.1	Smp_147560.1
OG0001620	KAK4472293.1	Smp_136180.1
OG0001621	KAK4475743.1	Smp_015690.1
OG0001622	KAK4468112.1	Smp_143970.1
OG0001623	KAK4475954.1	Smp_127280.1
OG0001624	KAK4472927.1	Smp_161370.1
OG0001625	KAK4471690.1	Smp_308480.1, Smp_308480.2, Smp_308470.1, Smp_308470.2
OG0001626	KAK4472240.1	Smp_033710.1
OG0001627	KAK4470285.1	Smp_149950.1
OG0001628	KAK4474805.1	Smp_038030.1
OG0001629	KAK4475152.1	Smp_188430.1
OG0001631	KAK4468541.1	Smp_024900.1
OG0001632	KAK4471598.1	Smp_122370.1
OG0001633	KAK4467624.1	Smp_210370.1
OG0001634	KAK4468718.1	Smp_172220.1
OG0001635	KAK4475804.1, KAK4475805.1	Smp_138610.1
OG0001636	KAK4470372.1	Smp_145180.1
OG0001637	KAK4471172.1	Smp_105680.1
OG0001639	KAK4474837.1	Smp_323820.1, Smp_323800.1, Smp_060210.1
OG0001639	KAK4474838.1	Smp_060220.1
OG0001640	KAK4474986.1	Smp_155030.1
OG0001641	KAK4468595.1	Smp_087520.2, Smp_087520.1
OG0001642	KAK4469018.1	Smp_346030.1, Smp_346030.2
OG0001643	KAK4472002.1	Smp_121800.1, Smp_121800.2
OG0001644	KAK4469279.1	Smp_157320.1
OG0001645	KAK4467665.1	Smp_196880.1, Smp_196880.2
OG0001646	KAK4469988.1	Smp_096520.1
OG0001647	KAK4473419.1	Smp_157540.1
OG0001648	KAK4471000.1	Smp_150300.2, Smp_150300.1, Smp_150300.3
OG0001649	KAK4474518.1	Smp_163310.1
OG0001650	KAK4470319.1	Smp_104870.1
OG0001651	KAK4475239.1	Smp_343560.1
OG0001652	KAK4470154.1	Smp_103530.1
OG0001653	KAK4475931.1	Smp_170060.1
OG0001654	KAK4468635.1	Smp_036720.1
OG0001655	KAK4471560.1	Smp_167630.1, Smp_167630.2
OG0001656	KAK4468765.1	Smp_158140.1
OG0001657	KAK4472325.1	Smp_093540.1
OG0001659	KAK4467371.1, KAK4467374.1, KAK4474153.1	Smp_078540.1, Smp_309610.1, Smp_319390.1
OG0001662	KAK4475831.1	Smp_159510.1, Smp_159510.2
OG0001668	KAK4472995.1	Smp_035260.1
OG0001669	KAK4472585.1	Smp_034090.1
OG0001670	KAK4473978.1	Smp_045200.1
OG0001671	KAK4472488.1	Smp_165980.1
OG0001672	KAK4472742.1	Smp_085150.1
OG0001673	KAK4471952.1	Smp_007550.1
OG0001675	KAK4471637.1	Smp_030330.1
OG0001676	KAK4474386.1	Smp_103100.1
OG0001677	KAK4468654.1	Smp_169930.2, Smp_169930.1
OG0001678	KAK4471141.1	Smp_210200.1
OG0001679	KAK4475050.1, KAK4475048.1	Smp_143760.1
OG0001680	KAK4472908.1	Smp_035190.1
OG0001681	KAK4475126.1	Smp_170170.1
OG0001682	KAK4474882.1	Smp_347960.1
OG0001683	KAK4473241.1	Smp_337440.1
OG0001684	KAK4472759.1	Smp_346160.1, Smp_328240.1
OG0001685	KAK4474323.1	Smp_244390.1
OG0001685	KAK4475314.1	Smp_135250.1
OG0001686	KAK4468284.1	Smp_173240.1
OG0001687	KAK4469989.1	Smp_311790.1, Smp_311780.1
OG0001688	KAK4475439.1	Smp_026540.1
OG0001689	KAK4475407.1	Smp_345190.1
OG0001689	KAK4475411.1	Smp_131580.1
OG0001690	KAK4472283.1	Smp_246690.1
OG0001691	KAK4474679.1	Smp_157100.1
OG0001692	KAK4470682.1	Smp_126460.1
OG0001693	KAK4468270.1	Smp_153300.1
OG0001694	KAK4468266.1	Smp_153350.1
OG0001695	KAK4472607.1	Smp_006630.1
OG0001696	KAK4473531.1	Smp_149640.1
OG0001697	KAK4467703.1	Smp_057430.1
OG0001698	KAK4470822.1	Smp_041750.1
OG0001699	KAK4471814.1	Smp_346310.1
OG0001700	KAK4475303.1	Smp_306140.3, Smp_306140.1, Smp_306140.2
OG0001701	KAK4467316.1	Smp_013210.1, Smp_129310.1
OG0001702	KAK4474190.1	Smp_131800.1
OG0001703	KAK4474095.1	Smp_027970.1
OG0001704	KAK4475225.1	Smp_135280.1
OG0001705	KAK4473177.1, KAK4472217.1	Smp_124340.1
OG0001706	KAK4472590.1	Smp_140590.1
OG0001707	KAK4471214.1	Smp_309430.1
OG0001708	KAK4467777.1	Smp_332300.1
OG0001709	KAK4472429.1	Smp_101820.1
OG0001710	KAK4468896.1	Smp_336280.1
OG0001711	KAK4467741.1	Smp_127810.2, Smp_127810.1
OG0001712	KAK4473397.1	Smp_181160.1
OG0001713	KAK4471106.1	Smp_098920.1
OG0001714	KAK4471104.1	Smp_316660.1, Smp_316660.2
OG0001715	KAK4473301.1	Smp_130980.1
OG0001716	KAK4470062.1	Smp_142090.1
OG0001717	KAK4472811.1	Smp_020370.1
OG0001718	KAK4475292.1	Smp_350020.1, Smp_341720.1
OG0001719	KAK4473579.1	Smp_125050.1
OG0001720	KAK4474489.1	Smp_066760.1
OG0001721	KAK4469753.1	Smp_032800.1
OG0001721	KAK4469756.1	Smp_032820.1
OG0001722	KAK4474408.1	Smp_143070.1, Smp_143070.2
OG0001723	KAK4474388.1	Smp_165470.1
OG0001724	KAK4470267.1	Smp_334100.1
OG0001725	KAK4470124.1	Smp_026030.1
OG0001726	KAK4474075.1	Smp_097490.1
OG0001726	KAK4468354.1	Smp_212780.1
OG0001727	KAK4468593.1	Smp_315490.1, Smp_315480.1
OG0001728	KAK4471793.1	Smp_313810.1, Smp_341280.1
OG0001729	KAK4475934.1	Smp_244630.2, Smp_244630.1
OG0001730	KAK4475220.1	Smp_333240.1
OG0001731	KAK4472709.1	Smp_012720.1
OG0001732	KAK4469561.1	Smp_310620.1
OG0001733	KAK4471822.1	Smp_150470.1
OG0001734	KAK4468884.1	Smp_164130.1
OG0001735	KAK4472994.1	Smp_176010.1
OG0001736	KAK4474877.1	Smp_267140.2, Smp_267140.1
OG0001737	KAK4468482.1	Smp_009400.1
OG0001738	KAK4473402.1	Smp_159160.1
OG0001739	KAK4473001.1, KAK4473011.1	Smp_072370.1
OG0001740	KAK4469854.1	Smp_140760.1
OG0001741	KAK4475742.1, KAK4467456.1	Smp_007630.1, Smp_007630.2
OG0001742	KAK4469913.1	Smp_211100.1
OG0001743	KAK4468437.1	Smp_156750.1
OG0001744	KAK4471501.1	Smp_099930.1
OG0001745	KAK4472806.1	Smp_133270.1
OG0001746	KAK4468263.1	Smp_058050.1, Smp_058050.2
OG0001747	KAK4475909.1	Smp_245100.1
OG0001748	KAK4472108.1	Smp_029370.1
OG0001749	KAK4472984.1	Smp_181050.1
OG0001750	KAK4475699.1	Smp_139090.1
OG0001751	KAK4472971.1	Smp_103160.1
OG0001752	KAK4476299.1	Smp_101970.1
OG0001753	KAK4474597.1	Smp_155480.1
OG0001754	KAK4472010.1	Smp_194730.1
OG0001755	KAK4475689.1	Smp_085240.1
OG0001756	KAK4469397.1	Smp_129630.1
OG0001758	KAK4468062.1	Smp_143920.3, Smp_143920.1, Smp_143920.2
OG0001759	KAK4471546.1	Smp_083990.1
OG0001760	KAK4471578.1	Smp_000300.1
OG0001761	KAK4467949.1, KAK4468183.1	Smp_329130.1, Smp_171490.1
OG0001762	KAK4467819.1	Smp_346390.1
OG0001763	KAK4472682.1	Smp_120920.1
OG0001764	KAK4474785.1	Smp_151310.1
OG0001765	KAK4471538.1	Smp_019040.1
OG0001766	KAK4474197.1	Smp_176410.2, Smp_176410.1
OG0001767	KAK4475684.1, KAK4467389.1, KAK4475683.1	Smp_031050.1
OG0001768	KAK4468897.1	Smp_331170.2, Smp_331170.1
OG0001769	KAK4475540.1	Smp_125930.1
OG0001770	KAK4472315.1	Smp_136110.1
OG0001771	KAK4469467.1	Smp_049000.1
OG0001772	KAK4468517.1	Smp_172530.1
OG0001773	KAK4471437.1	Smp_084380.1
OG0001774	KAK4476044.1	Smp_139980.1
OG0001775	KAK4475222.1	Smp_130410.1
OG0001776	KAK4467656.1	Smp_166660.1, Smp_166660.2
OG0001777	KAK4474215.1, KAK4474211.1, KAK4474212.1	Smp_104720.1
OG0001778	KAK4468568.1	Smp_154270.1, Smp_154270.2
OG0001779	KAK4473304.1	Smp_347280.1
OG0001780	KAK4472870.1	Smp_035310.1
OG0001781	KAK4467680.1	Smp_213810.1
OG0001782	KAK4471070.1	Smp_030000.1
OG0001783	KAK4472722.1	Smp_012860.1
OG0001784	KAK4473465.1	Smp_122030.1
OG0001785	KAK4473376.1	Smp_346470.1
OG0001786	KAK4471290.1	Smp_156270.1
OG0001787	KAK4473373.1	Smp_099310.1, Smp_099310.2
OG0001788	KAK4470422.1	Smp_113630.1
OG0001789	KAK4475490.1	Smp_176080.1
OG0001790	KAK4473652.1	Smp_059810.1
OG0001791	KAK4468701.1	Smp_163970.1
OG0001791	KAK4470158.1	Smp_172590.1
OG0001792	KAK4470845.1	Smp_080100.1
OG0001793	KAK4468939.1	Smp_149420.1
OG0001794	KAK4471539.1	Smp_019030.1
OG0001795	KAK4469403.1	Smp_310980.1, Smp_310980.2
OG0001801	KAK4474541.1	Smp_340310.1
OG0001802	KAK4473993.1	Smp_341860.1
OG0001803	KAK4473636.1	Smp_060660.1
OG0001804	KAK4472388.1	Smp_056930.1
OG0001805	KAK4472728.1	Smp_143260.1, Smp_143260.2
OG0001806	KAK4467839.1	Smp_315780.1, Smp_315780.2
OG0001807	KAK4474591.1	Smp_018160.1
OG0001808	KAK4475115.1	Smp_306810.1
OG0001809	KAK4472364.1	Smp_126020.1
OG0001810	KAK4467749.1	Smp_340650.1, Smp_340650.2
OG0001811	KAK4476221.1	Smp_322730.1
OG0001812	KAK4470365.1	Smp_244230.1
OG0001813	KAK4474479.1	Smp_333090.1
OG0001814	KAK4470457.1	Smp_024660.1
OG0001815	KAK4469120.1, KAK4469121.1	Smp_124660.1
OG0001816	KAK4469095.1	Smp_131030.1
OG0001817	KAK4473773.1	Smp_054600.1
OG0001818	KAK4469237.1	Smp_046810.1
OG0001819	KAK4475051.1	Smp_039670.1, Smp_039670.2
OG0001820	KAK4471907.1	Smp_018360.1
OG0001821	KAK4467978.1	Smp_165490.1
OG0001821	KAK4471167.1	Smp_030710.1
OG0001822	KAK4467887.1	Smp_127940.1
OG0001823	KAK4475370.1	Smp_163790.1
OG0001824	KAK4475313.1	Smp_135240.1
OG0001825	KAK4469644.1	Smp_247360.1
OG0001826	KAK4475849.1	Smp_166550.1
OG0001827	KAK4470784.1	Smp_213070.1, Smp_213060.1
OG0001828	KAK4469508.1	Smp_049140.1, Smp_049140.2, Smp_049140.3
OG0001829	KAK4473132.1	Smp_120700.1
OG0001830	KAK4471134.1	Smp_159910.1
OG0001831	KAK4471442.1	Smp_197480.1
OG0001832	KAK4468142.1	Smp_337380.1
OG0001833	KAK4468153.1	Smp_243500.1, Smp_333450.1
OG0001834	KAK4470481.1	Smp_156670.1
OG0001835	KAK4474848.1	Smp_099030.1, Smp_099030.2
OG0001836	KAK4475561.1	Smp_304090.1, Smp_304090.2, Smp_322130.1
OG0001837	KAK4468362.1	Smp_136280.1, Smp_136280.3, Smp_136280.2
OG0001838	KAK4472969.1	Smp_085830.1, Smp_085830.2
OG0001839	KAK4469356.1	Smp_099630.1
OG0001840	KAK4473925.1	Smp_142640.1, Smp_142640.3, Smp_142640.2
OG0001841	KAK4474803.1	Smp_142770.1
OG0001842	KAK4467763.1	Smp_144750.1
OG0001843	KAK4473403.1	Smp_159150.1
OG0001844	KAK4474950.1	Smp_180180.1, Smp_316540.1
OG0001845	KAK4467647.1	Smp_134530.1
OG0001846	KAK4472936.1	Smp_306640.1
OG0001847	KAK4475768.1	Smp_134370.1
OG0001848	KAK4467434.1, KAK4475817.1	Smp_158730.1
OG0001849	KAK4472068.1	Smp_214060.1
OG0001850	KAK4470579.1	Smp_137040.1
OG0001851	KAK4469509.1	Smp_049150.1
OG0001852	KAK4472766.1	Smp_094870.1
OG0001853	KAK4475630.1	Smp_171620.2, Smp_171620.1, Smp_028190.1
OG0001854	KAK4467874.1	Smp_335950.1, Smp_332370.1, Smp_331960.1
OG0001855	KAK4470152.1	Smp_179930.1
OG0001856	KAK4470532.1	Smp_150890.1
OG0001857	KAK4470721.1	Smp_174630.1
OG0001858	KAK4472246.1	Smp_342620.1, Smp_342620.2
OG0001859	KAK4475995.1	Smp_011980.1
OG0001861	KAK4470351.1	Smp_145310.1
OG0001862	KAK4475729.1	Smp_304320.1
OG0001863	KAK4472203.1	Smp_325900.1, Smp_324100.1
OG0001864	KAK4470331.1	Smp_042990.1
OG0001865	KAK4476033.1	Smp_244970.1
OG0001866	KAK4468647.1	Smp_247980.2, Smp_247980.1
OG0001867	KAK4469233.1	Smp_147330.1
OG0001869	KAK4474991.1	Smp_155050.1
OG0001870	KAK4469657.1	Smp_164540.1
OG0001871	KAK4473524.1, KAK4473525.1	Smp_152130.1
OG0001872	KAK4468296.1	Smp_150590.1, Smp_340880.1, Smp_340880.2
OG0001873	KAK4472319.1	Smp_115290.1
OG0001874	KAK4473349.1	Smp_158430.1
OG0001875	KAK4468707.1	Smp_168730.1
OG0001876	KAK4475467.1	Smp_333400.2, Smp_333400.1, Smp_333400.3
OG0001877	KAK4474918.1	Smp_084140.1
OG0001878	KAK4469747.1, KAK4468993.1	Smp_343340.1
OG0001879	KAK4472985.1	Smp_175950.1
OG0001880	KAK4475074.1	Smp_076050.1
OG0001881	KAK4472071.1	Smp_180520.1
OG0001882	KAK4470668.1	Smp_344930.1, Smp_344930.2
OG0001883	KAK4475612.1	Smp_028360.1
OG0001884	KAK4468708.1	Smp_080700.1
OG0001885	KAK4474684.1	Smp_157140.1
OG0001886	KAK4470275.1	Smp_344270.1
OG0001887	KAK4471695.1	Smp_105910.1
OG0001888	KAK4471374.1	Smp_138500.1
OG0001889	KAK4468130.1	Smp_344720.1
OG0001890	KAK4469633.1	Smp_128210.2, Smp_128210.1
OG0001891	KAK4475263.1	Smp_317620.1, Smp_131380.1, Smp_164040.1
OG0001892	KAK4470873.1	Smp_055200.1, Smp_055200.2
OG0001893	KAK4472302.1	Smp_303770.1, Smp_318850.1
OG0001894	KAK4467988.1	Smp_154530.1
OG0001895	KAK4473815.1	Smp_166290.1
OG0001896	KAK4472703.1	Smp_012670.1
OG0001897	KAK4470818.1	Smp_144920.1
OG0001898	KAK4471151.1	Smp_311360.1, Smp_311360.2, Smp_311360.3
OG0001899	KAK4473774.1	Smp_054610.1
OG0001900	KAK4467407.1, KAK4470453.1	Smp_211020.1, Smp_211020.2
OG0001901	KAK4472483.1	Smp_165960.1
OG0001903	KAK4468115.1	Smp_040080.1, Smp_040080.2
OG0001904	KAK4475265.1	Smp_058170.1
OG0001905	KAK4472113.1	Smp_343200.1
OG0001906	KAK4472762.1	Smp_172780.1
OG0001907	KAK4476050.1	Smp_343350.1
OG0001908	KAK4471205.1	Smp_134720.1, Smp_309500.1, Smp_309510.1, Smp_350060.1, Smp_335880.1
OG0001909	KAK4467679.1	Smp_213800.1
OG0001910	KAK4473962.1	Smp_071150.1
OG0001911	KAK4469345.1	Smp_060900.1
OG0001912	KAK4470997.1	Smp_150280.1
OG0001913	KAK4470578.1	Smp_027450.1
OG0001914	KAK4471900.1	Smp_018280.1
OG0001915	KAK4468220.1	Smp_146720.1
OG0001916	KAK4475422.1	Smp_162900.1, Smp_162900.2
OG0001917	KAK4476132.1	Smp_145620.1
OG0001918	KAK4469426.1	Smp_017230.1
OG0001919	KAK4471565.1	Smp_000130.1
OG0001921	KAK4473711.1	Smp_048240.1
OG0001922	KAK4471100.1	Smp_098980.1
OG0001923	KAK4476038.1	Smp_332950.1
OG0001924	KAK4469867.1	Smp_340680.1
OG0001925	KAK4475453.1	Smp_340520.1, Smp_340520.2, Smp_327820.1, Smp_348910.1
OG0001926	KAK4472393.1	Smp_056990.1
OG0001927	KAK4475823.1	Smp_048540.1
OG0001929	KAK4470263.1	Smp_045560.1
OG0001930	KAK4472476.1	Smp_081140.1
OG0001931	KAK4472761.1	Smp_172790.1
OG0001932	KAK4471196.1	Smp_213390.1
OG0001933	KAK4473276.1	Smp_162060.1
OG0001934	KAK4473488.1	Smp_331720.1
OG0001935	KAK4474444.1	Smp_162510.1, Smp_162510.2
OG0001936	KAK4474486.1	Smp_047330.1
OG0001937	KAK4474951.1	Smp_146440.1, Smp_130620.1
OG0001941	KAK4468689.1	Smp_141770.1
OG0001942	KAK4473117.1	Smp_035620.1
OG0001943	KAK4475127.1	Smp_324060.1, Smp_306730.1, Smp_306740.1, Smp_306750.1, Smp_324080.1
OG0001944	KAK4471518.1	Smp_100120.1
OG0001945	KAK4467852.1	Smp_343310.1
OG0001946	KAK4472486.1	Smp_246260.1
OG0001947	KAK4473449.1	Smp_103950.1
OG0001948	KAK4467243.1	Smp_147140.1
OG0001949	KAK4467747.1	Smp_140020.1
OG0001950	KAK4468166.1	Smp_039180.1
OG0001951	KAK4476106.1	Smp_207000.1
OG0001952	KAK4469665.1	Smp_122780.1
OG0001953	KAK4474207.1	Smp_337580.1
OG0001954	KAK4475309.1	Smp_024140.1
OG0001955	KAK4475856.1	Smp_246880.1
OG0001956	KAK4470495.1	Smp_153810.1
OG0001957	KAK4475293.1	Smp_179380.1
OG0001958	KAK4471673.1	Smp_010110.1
OG0001959	KAK4472737.1	Smp_071550.1
OG0001960	KAK4472754.1	Smp_020040.1
OG0001961	KAK4471504.1	Smp_337010.1
OG0001962	KAK4475333.1	Smp_149500.1, Smp_149500.2
OG0001963	KAK4472859.1	Smp_079410.1
OG0001966	KAK4476007.1	Smp_171870.1
OG0001967	KAK4467803.1	Smp_345970.1, Smp_345970.2
OG0001968	KAK4472641.1	Smp_246470.1
OG0001969	KAK4472435.1	Smp_140800.1
OG0001970	KAK4473864.1	Smp_083710.1
OG0001971	KAK4471883.1	Smp_137930.1
OG0001973	KAK4468131.1	Smp_205760.1
OG0001974	KAK4469098.1	Smp_247400.1
OG0001975	KAK4469194.1	Smp_124390.1
OG0001976	KAK4475685.1, KAK4467563.1	Smp_031100.1, Smp_303540.1
OG0001977	KAK4468424.1	Smp_128000.1
OG0001978	KAK4470934.1	Smp_247420.1, Smp_247420.2
OG0001979	KAK4469647.1	Smp_156410.1
OG0001980	KAK4471771.1	Smp_129430.1
OG0001981	KAK4473448.1	Smp_320120.1, Smp_180200.1
OG0001982	KAK4474172.1	Smp_094890.1, Smp_094890.2
OG0001983	KAK4468169.1	Smp_343630.1
OG0001984	KAK4468662.1	Smp_169980.1
OG0001985	KAK4473778.1, KAK4473777.1	Smp_151420.1
OG0001986	KAK4469517.1	Smp_173880.1
OG0001987	KAK4473793.1	Smp_165030.1
OG0001988	KAK4472054.1	Smp_167500.1
OG0001990	KAK4469221.1	Smp_156720.1, Smp_156720.2
OG0001991	KAK4475289.1	Smp_345070.1, Smp_345070.2
OG0001992	KAK4469618.1	Smp_128110.1
OG0001993	KAK4470345.1	Smp_042810.1
OG0001994	KAK4475356.1	Smp_245470.1
OG0001995	KAK4467750.1	Smp_140030.1
OG0001996	KAK4468134.1	Smp_069880.1
OG0001996	KAK4468135.1	Smp_069870.1
OG0001997	KAK4476254.1	Smp_337290.1
OG0001998	KAK4468442.1	Smp_016600.1
OG0001999	KAK4469209.1	Smp_245680.1
OG0002000	KAK4476201.1, KAK4476200.1	Smp_347640.1
OG0002001	KAK4474623.1, KAK4474622.1, KAK4467249.1, KAK4467304.1, KAK4474624.1	Smp_305490.1
OG0002002	KAK4474063.1	Smp_301670.1
OG0002003	KAK4469214.1	Smp_176290.1
OG0002004	KAK4475748.1, KAK4475740.1	Smp_007660.1, Smp_007660.2
OG0002005	KAK4469029.1	Smp_104600.1
OG0002006	KAK4470357.1	Smp_042630.1
OG0002007	KAK4471377.1	Smp_001095.1, Smp_001090.1
OG0002008	KAK4471781.1, KAK4471782.1	Smp_246610.1
OG0002009	KAK4472290.1	Smp_136210.1
OG0002010	KAK4469957.1, KAK4469956.1	Smp_045230.1
OG0002011	KAK4470524.1	Smp_150840.1
