Orthogroup	s.mekongi	schistosoma_rodhaini
OG0000848	KAK4474163.1	SRDH2_32410.3, SRDH2_32410.4, SRDH2_32410.6, SRDH2_32410.2, SRDH2_32410.5, SRDH2_32410.1
OG0000849	KAK4473756.1	SRDH2_39300.3, SRDH2_39300.1, SRDH2_39300.4, SRDH2_39300.2
OG0000850	KAK4473025.1	SRDH2_27730.8, SRDH2_27730.9, SRDH2_27730.2, SRDH2_27730.4, SRDH2_27730.5, SRDH2_27730.10, SRDH2_27730.1, SRDH2_27730.11, SRDH2_27730.3, SRDH2_27730.6, SRDH2_27730.7
OG0000851	KAK4468610.1	SRDH2_91860.13, SRDH2_91860.3, SRDH2_91860.4, SRDH2_91860.7, SRDH2_91860.11, SRDH2_91860.12, SRDH2_91860.2, SRDH2_91860.9, SRDH2_91860.1, SRDH2_91860.10, SRDH2_91860.6, SRDH2_91860.8, SRDH2_91860.5
OG0000852	KAK4474383.1	SRDH2_11230.3, SRDH2_11230.1, SRDH2_11230.2, SRDH2_11230.4
OG0000853	KAK4468234.1	SRDH2_85100.1, SRDH2_85100.5, SRDH2_85100.3, SRDH2_85100.4, SRDH2_85100.2
OG0000854	KAK4473859.1	SRDH2_37580.1, SRDH2_37570.1
OG0000855	KAK4467325.1	SRDH2_55520.1, SRDH2_55520.4, SRDH2_55520.5, SRDH2_55520.3, SRDH2_55520.2
OG0000856	KAK4475581.1	SRDH2_3090.1, SRDH2_3090.2
OG0000857	KAK4467572.1, KAK4475703.1	SRDH2_4250.8, SRDH2_4250.1, SRDH2_4250.2, SRDH2_4250.5, SRDH2_4250.6, SRDH2_4250.4, SRDH2_4250.7, SRDH2_4250.9, SRDH2_4250.3
OG0000858	KAK4467344.1, KAK4467343.1, KAK4475741.1	SRDH2_4610.3, SRDH2_4610.2, SRDH2_4610.1, SRDH2_4610.4
OG0000859	KAK4469232.1	SRDH2_50320.1
OG0000860	KAK4471825.1	SRDH2_61480.1
OG0000860	KAK4471718.1	SRDH2_64020.2, SRDH2_64020.1
OG0000862	KAK4472465.1	SRDH2_30410.3, SRDH2_30410.1, SRDH2_30410.5, SRDH2_30410.2, SRDH2_30410.4, SRDH2_30410.6, SRDH2_30410.7
OG0000863	KAK4476011.1	SRDH2_7510.3, SRDH2_7510.6, SRDH2_7510.1, SRDH2_7510.4, SRDH2_7510.5
OG0000864	KAK4473645.1	SRDH2_95800.3, SRDH2_95800.4, SRDH2_95800.5, SRDH2_95800.1, SRDH2_95840.4, SRDH2_95840.2, SRDH2_95840.5, SRDH2_95800.2, SRDH2_95840.3, SRDH2_95840.1
OG0000865	KAK4472356.1	SRDH2_35160.4, SRDH2_35160.6, SRDH2_35160.2, SRDH2_35160.5, SRDH2_35160.1, SRDH2_35160.7, SRDH2_35160.3
OG0000866	KAK4475812.1	SRDH2_690.1
OG0000868	KAK4467317.1, KAK4467483.1, KAK4471001.1	SRDH2_82120.1, SRDH2_81990.1, SRDH2_82100.1
OG0000869	KAK4468576.1	SRDH2_93430.1
OG0000870	KAK4474365.1	SRDH2_940.1, SRDH2_940.3, SRDH2_940.4, SRDH2_940.5, SRDH2_940.2, SRDH2_940.6, SRDH2_940.7, SRDH2_940.8
OG0000871	KAK4472823.1	SRDH2_29030.1
OG0000872	KAK4475688.1	SRDH2_4140.1
OG0000873	KAK4468855.1	SRDH2_13370.1, SRDH2_88780.1
OG0000874	KAK4473534.1	SRDH2_43350.6, SRDH2_43350.1, SRDH2_43350.2, SRDH2_43350.3, SRDH2_43350.4, SRDH2_43350.5
OG0000875	KAK4471728.1	SRDH2_63950.1
OG0000876	KAK4473295.1	SRDH2_24180.1
OG0000877	KAK4476016.1	SRDH2_7440.7, SRDH2_7440.5, SRDH2_7440.6, SRDH2_7440.3, SRDH2_7440.4, SRDH2_7440.1, SRDH2_7440.2
OG0000878	KAK4475183.1	SRDH2_18910.5, SRDH2_18910.2, SRDH2_18910.4, SRDH2_18910.1, SRDH2_18910.11, SRDH2_18910.12, SRDH2_18910.3, SRDH2_18910.10, SRDH2_18910.6, SRDH2_18910.7, SRDH2_18910.8, SRDH2_18910.9
OG0000879	KAK4471099.1	SRDH2_60000.1, SRDH2_60000.2, SRDH2_60000.3, SRDH2_60150.1, SRDH2_59960.1, SRDH2_60140.1, SRDH2_59970.1, SRDH2_59990.1, SRDH2_59980.1
OG0000880	KAK4470966.1	SRDH2_81580.1
OG0000881	KAK4475745.1	SRDH2_4630.1, SRDH2_4630.2, SRDH2_4630.3, SRDH2_4630.4
OG0000881	KAK4468637.1	SRDH2_92010.1
OG0000882	KAK4475447.1	SRDH2_22570.1
OG0000882	KAK4473671.1	SRDH2_40290.1, SRDH2_40290.2
OG0000883	KAK4473672.1	SRDH2_40280.1
OG0000884	KAK4473737.1	SRDH2_39530.4, SRDH2_39530.3, SRDH2_39530.1, SRDH2_39530.2
OG0000885	KAK4474352.1	SRDH2_170.1, SRDH2_170.2
OG0000886	KAK4470894.1	SRDH2_71820.3, SRDH2_71820.4, SRDH2_71820.1, SRDH2_71820.2
OG0000887	KAK4475063.1	SRDH2_20070.1
OG0000888	KAK4470877.1	SRDH2_80640.1, SRDH2_80640.2, SRDH2_80640.3
OG0000888	KAK4470878.1	SRDH2_80660.2, SRDH2_80660.1, SRDH2_80660.3
OG0000890	KAK4473603.1	SRDH2_41160.3, SRDH2_41160.1, SRDH2_41160.2, SRDH2_41160.5, SRDH2_41160.4
OG0000891	KAK4473846.1	SRDH2_37700.1
OG0000892	KAK4469720.1	SRDH2_54060.5, SRDH2_54060.7, SRDH2_54060.1, SRDH2_54060.3, SRDH2_54060.4, SRDH2_54060.9, SRDH2_54060.2, SRDH2_54060.6, SRDH2_54060.8, SRDH2_54060.10
OG0000894	KAK4468755.1	SRDH2_90570.1
OG0000895	KAK4472632.1	SRDH2_44270.1
OG0000896	KAK4475362.1	SRDH2_21440.1
OG0000897	KAK4476316.1	SRDH2_10430.8, SRDH2_10430.14, SRDH2_10430.15, SRDH2_10430.16, SRDH2_10430.12, SRDH2_10430.13, SRDH2_10430.2, SRDH2_10430.17, SRDH2_10430.6, SRDH2_10430.1, SRDH2_10430.7, SRDH2_10430.3, SRDH2_10430.4, SRDH2_10430.10, SRDH2_10430.9, SRDH2_10430.11, SRDH2_10430.5
OG0000898	KAK4470204.1	SRDH2_73620.1
OG0000899	KAK4474583.1	SRDH2_13500.6, SRDH2_13500.4, SRDH2_13500.8, SRDH2_13500.7, SRDH2_13500.5, SRDH2_13500.12, SRDH2_13500.9, SRDH2_13500.13, SRDH2_13500.10, SRDH2_13500.11, SRDH2_13500.2, SRDH2_13500.1, SRDH2_13500.3
OG0000900	KAK4475641.1	SRDH2_3690.1, SRDH2_3690.2
OG0000901	KAK4471706.1	SRDH2_64150.1
OG0000902	KAK4469829.1	SRDH2_56170.1
OG0000903	KAK4475319.1	SRDH2_15940.2, SRDH2_15940.4, SRDH2_15940.1, SRDH2_15940.3, SRDH2_15940.5, SRDH2_15940.6
OG0000904	KAK4475874.1	SRDH2_5180.1
OG0000905	KAK4470893.1	SRDH2_80830.6, SRDH2_80830.2, SRDH2_80830.4, SRDH2_80830.5, SRDH2_80830.1, SRDH2_80830.3
OG0000906	KAK4471295.1	SRDH2_65490.15, SRDH2_65490.17, SRDH2_65490.18, SRDH2_65490.5, SRDH2_65490.1, SRDH2_65490.10, SRDH2_65490.12, SRDH2_65490.13, SRDH2_65490.14, SRDH2_65490.16, SRDH2_65490.6, SRDH2_65490.9, SRDH2_65490.11, SRDH2_65490.2, SRDH2_65490.3, SRDH2_65490.4, SRDH2_65490.7, SRDH2_65490.8
OG0000907	KAK4470463.1	SRDH2_76380.1
OG0000908	KAK4472964.1	SRDH2_27040.1
OG0000910	KAK4476130.1	SRDH2_8380.1, SRDH2_8380.2, SRDH2_8370.1
OG0000911	KAK4471170.1	SRDH2_59810.8, SRDH2_59810.3, SRDH2_59810.9, SRDH2_59810.1, SRDH2_59810.10, SRDH2_59810.11, SRDH2_59810.2, SRDH2_59810.7, SRDH2_59810.6, SRDH2_59810.12, SRDH2_59810.4, SRDH2_59810.5
OG0000912	KAK4475973.1	SRDH2_6520.5, SRDH2_6520.8, SRDH2_6520.1, SRDH2_6520.6, SRDH2_6520.2, SRDH2_6520.3, SRDH2_6520.4, SRDH2_6520.7, SRDH2_6520.9, SRDH2_6520.10
OG0000913	KAK4472644.1	SRDH2_37070.1
OG0000914	KAK4473816.1	SRDH2_38680.1
OG0000915	KAK4472417.1	SRDH2_29900.1, SRDH2_29900.6, SRDH2_29900.7, SRDH2_29900.2, SRDH2_29900.3, SRDH2_29900.4, SRDH2_29900.5
OG0000916	KAK4473712.1	SRDH2_39820.1, SRDH2_39820.2, SRDH2_39820.3, SRDH2_39820.4
OG0000917	KAK4468177.1	SRDH2_86710.2, SRDH2_86710.4, SRDH2_86710.1, SRDH2_86710.3, SRDH2_86710.5
OG0000918	KAK4472957.1	SRDH2_27120.1, SRDH2_27120.3, SRDH2_27120.4, SRDH2_27120.2
OG0000919	KAK4468191.1	SRDH2_86880.1, SRDH2_86880.2, SRDH2_86880.3, SRDH2_86880.5, SRDH2_86880.6, SRDH2_86880.7, SRDH2_86880.8, SRDH2_86880.4
OG0000920	KAK4467644.1	SRDH2_98290.1
OG0000921	KAK4473570.1	SRDH2_43720.1
OG0000923	KAK4473354.1	SRDH2_41800.1
OG0000923	KAK4467730.1	SRDH2_96520.1
OG0000925	KAK4474818.1	SRDH2_16890.1, SRDH2_16880.1, SRDH2_16880.2
OG0000926	KAK4472929.1	SRDH2_27410.1
OG0000927	KAK4475055.1	SRDH2_20140.3, SRDH2_20140.2, SRDH2_20140.8, SRDH2_20140.1, SRDH2_20140.4, SRDH2_20140.6, SRDH2_20140.13, SRDH2_20140.12, SRDH2_20140.7, SRDH2_20140.9, SRDH2_20140.10, SRDH2_20140.5, SRDH2_20140.11
OG0000928	KAK4474205.1	SRDH2_36310.1, SRDH2_36310.2, SRDH2_36310.3, SRDH2_36310.4
OG0000929	KAK4471201.1	SRDH2_67280.3, SRDH2_67280.5, SRDH2_67280.6, SRDH2_67280.7, SRDH2_67280.8, SRDH2_67280.1, SRDH2_67280.2, SRDH2_67280.4
OG0000930	KAK4473473.1	SRDH2_42700.4, SRDH2_42700.2, SRDH2_42700.3, SRDH2_42700.1
OG0000931	KAK4470219.1	SRDH2_74260.1, SRDH2_74260.3, SRDH2_74260.2, SRDH2_74260.5, SRDH2_74260.6, SRDH2_74260.7, SRDH2_74260.4, SRDH2_100270.1
OG0000932	KAK4476123.1	SRDH2_1170.1, SRDH2_1170.2, SRDH2_1170.3
OG0000933	KAK4473701.1	SRDH2_39920.14, SRDH2_39920.15, SRDH2_39920.12, SRDH2_39920.1, SRDH2_39920.3, SRDH2_39920.4, SRDH2_39920.8, SRDH2_39920.2, SRDH2_39920.10, SRDH2_39920.11, SRDH2_39920.6, SRDH2_39920.7, SRDH2_39920.9, SRDH2_39920.13, SRDH2_39920.16, SRDH2_39920.5
OG0000934	KAK4476302.1	SRDH2_10520.3, SRDH2_10520.10, SRDH2_10520.1, SRDH2_10520.15, SRDH2_10520.12, SRDH2_10520.9, SRDH2_10520.11, SRDH2_10520.8, SRDH2_10520.7, SRDH2_10520.2, SRDH2_10520.5, SRDH2_10520.4, SRDH2_10520.6, SRDH2_10520.14, SRDH2_10520.13
OG0000935	KAK4471482.1	SRDH2_67920.5, SRDH2_67920.4, SRDH2_67920.6, SRDH2_67920.1, SRDH2_67920.2, SRDH2_67920.7, SRDH2_67920.3
OG0000936	KAK4467944.1	SRDH2_97320.6, SRDH2_97320.3, SRDH2_97320.1, SRDH2_97320.2, SRDH2_97320.7, SRDH2_97320.5, SRDH2_97320.4
OG0000937	KAK4469907.1	SRDH2_55210.8, SRDH2_55210.1, SRDH2_55210.2, SRDH2_55210.3, SRDH2_55210.5, SRDH2_55210.4, SRDH2_55210.6, SRDH2_55210.7
OG0000938	KAK4471997.1	SRDH2_61350.5, SRDH2_61350.1, SRDH2_61350.2, SRDH2_61350.6, SRDH2_61350.8, SRDH2_61350.9, SRDH2_61350.10, SRDH2_61350.3, SRDH2_61350.7, SRDH2_61350.4
OG0000939	KAK4468842.1	SRDH2_89450.1
OG0000940	KAK4475887.1	SRDH2_5830.2, SRDH2_5830.1, SRDH2_5830.3, SRDH2_5830.4
OG0000941	KAK4472578.1	SRDH2_36490.2, SRDH2_36490.3, SRDH2_36490.7, SRDH2_36490.15, SRDH2_36490.12, SRDH2_36490.11, SRDH2_36490.1, SRDH2_36490.13, SRDH2_36490.8, SRDH2_36490.10, SRDH2_36490.9, SRDH2_36490.14
OG0000942	KAK4474779.1	SRDH2_16480.1, SRDH2_16480.8, SRDH2_16480.7, SRDH2_16480.9, SRDH2_16480.2, SRDH2_16480.3, SRDH2_16480.6, SRDH2_16480.11, SRDH2_16480.5, SRDH2_16480.4, SRDH2_16480.10
OG0000943	KAK4472800.1	SRDH2_29110.5, SRDH2_29110.3, SRDH2_29110.1, SRDH2_29110.4, SRDH2_29110.2, SRDH2_29110.6
OG0000944	KAK4471183.1	SRDH2_59330.1, SRDH2_59340.3, SRDH2_59340.4, SRDH2_59340.8, SRDH2_59340.1, SRDH2_59340.2, SRDH2_59340.5, SRDH2_59340.6, SRDH2_59340.7, SRDH2_59340.9
OG0000945	KAK4474600.1	SRDH2_11710.1, SRDH2_11710.2, SRDH2_11710.3, SRDH2_11710.5, SRDH2_11710.6, SRDH2_11710.8, SRDH2_11710.4, SRDH2_11710.7, SRDH2_11710.9
OG0000946	KAK4476224.1	SRDH2_9010.10, SRDH2_9010.7, SRDH2_9010.5, SRDH2_9010.3, SRDH2_9010.4, SRDH2_9010.6, SRDH2_9010.9, SRDH2_9010.1, SRDH2_9010.2, SRDH2_9010.8
OG0000947	KAK4473782.1	SRDH2_38980.1
OG0000948	KAK4468000.1	SRDH2_83870.1, SRDH2_83870.2
OG0000949	KAK4474797.1, KAK4474796.1	SRDH2_16640.1
OG0000950	KAK4469335.1	SRDH2_52730.1, SRDH2_52730.3, SRDH2_52730.2, SRDH2_52730.5, SRDH2_52730.6, SRDH2_52730.4
OG0000951	KAK4467725.1, KAK4467726.1	SRDH2_96450.2, SRDH2_96450.4, SRDH2_96450.1, SRDH2_96450.5, SRDH2_96450.6, SRDH2_96450.3
OG0000952	KAK4472413.1	SRDH2_29860.1
OG0000953	KAK4471693.1	SRDH2_64250.6, SRDH2_64250.1, SRDH2_64250.10, SRDH2_64250.11, SRDH2_64250.12, SRDH2_64250.13, SRDH2_64250.2, SRDH2_64250.3, SRDH2_64250.4, SRDH2_64250.8, SRDH2_64250.9, SRDH2_64250.5, SRDH2_64250.7
OG0000954	KAK4470079.1	SRDH2_82630.2, SRDH2_82630.4
OG0000955	KAK4474643.1	SRDH2_14480.1
OG0000958	KAK4475258.1	SRDH2_12890.1, SRDH2_12890.2
OG0000959	KAK4470133.1	SRDH2_71400.1, SRDH2_71400.2, SRDH2_71400.3, SRDH2_71400.4
OG0000960	KAK4475503.1	SRDH2_99950.1, SRDH2_99950.2, SRDH2_99950.3, SRDH2_99940.1, SRDH2_82700.1
OG0000961	KAK4473786.1	SRDH2_39040.3, SRDH2_39040.1, SRDH2_39040.2
OG0000962	KAK4470465.1	SRDH2_76360.1, SRDH2_76360.2, SRDH2_76360.3, SRDH2_76360.4, SRDH2_76360.5, SRDH2_76360.6
OG0000963	KAK4475528.1	SRDH2_2530.2, SRDH2_2530.3, SRDH2_2530.6, SRDH2_2530.8, SRDH2_2530.7, SRDH2_2530.1, SRDH2_2530.5, SRDH2_2530.4
OG0000964	KAK4473624.1	SRDH2_40900.1
OG0000965	KAK4471425.1	SRDH2_65000.4, SRDH2_65000.5, SRDH2_65000.1, SRDH2_65000.2, SRDH2_65000.3
OG0000966	KAK4474035.1	SRDH2_33780.1
OG0000966	KAK4469278.1	SRDH2_49790.1, SRDH2_49790.2
OG0000967	KAK4474115.1	SRDH2_32970.2, SRDH2_32970.6, SRDH2_32970.1, SRDH2_32970.3, SRDH2_32970.4, SRDH2_32970.5, SRDH2_32970.7, SRDH2_32970.8
OG0000968	KAK4475563.1, KAK4475566.1	SRDH2_2950.6, SRDH2_2950.9, SRDH2_2950.12, SRDH2_2950.10, SRDH2_2950.1, SRDH2_2950.11, SRDH2_2950.2, SRDH2_2950.3, SRDH2_2950.4, SRDH2_2950.5, SRDH2_2950.8, SRDH2_2950.7
OG0000969	KAK4468356.1, KAK4468355.1	SRDH2_83750.2, SRDH2_83750.1
OG0000969	KAK4468357.1	SRDH2_83760.1
OG0000970	KAK4470288.1	SRDH2_72100.2, SRDH2_72100.1
OG0000971	KAK4475069.1	SRDH2_1940.5, SRDH2_1940.2, SRDH2_1940.4, SRDH2_1940.3, SRDH2_1940.9, SRDH2_1940.1, SRDH2_1940.10, SRDH2_1940.11, SRDH2_1940.6, SRDH2_1940.7, SRDH2_1940.8, SRDH2_1940.12, SRDH2_1940.13
OG0000972	KAK4475919.1	SRDH2_6180.1, SRDH2_6180.2, SRDH2_6180.3
OG0000973	KAK4473073.1	SRDH2_24510.1
OG0000973	KAK4473076.1, KAK4473077.1	SRDH2_24500.1
OG0000974	KAK4469802.1	SRDH2_56610.1
OG0000975	KAK4475902.1	SRDH2_6010.1, SRDH2_5990.1, SRDH2_6030.1, SRDH2_6020.1, SRDH2_5980.1
OG0000976	KAK4476301.1	SRDH2_10640.1
OG0000977	KAK4474438.1	SRDH2_13910.10, SRDH2_13910.11, SRDH2_13910.12, SRDH2_13910.5, SRDH2_13910.9, SRDH2_13910.13, SRDH2_13910.7, SRDH2_13910.4, SRDH2_13910.6, SRDH2_13910.1, SRDH2_13910.14, SRDH2_13910.15, SRDH2_13910.17, SRDH2_13910.2, SRDH2_13910.3, SRDH2_13910.8, SRDH2_13910.16
OG0000978	KAK4475351.1	SRDH2_21300.1
OG0000979	KAK4467504.1	SRDH2_75470.5, SRDH2_75470.7, SRDH2_75470.10, SRDH2_75470.8, SRDH2_75470.9, SRDH2_75470.4, SRDH2_75470.6, SRDH2_75470.1, SRDH2_75470.2, SRDH2_75470.3
OG0000980	KAK4469712.1	SRDH2_53980.2, SRDH2_53980.5, SRDH2_53980.6, SRDH2_53980.9, SRDH2_53980.7, SRDH2_53980.8, SRDH2_53980.1, SRDH2_53980.4, SRDH2_53980.3
OG0000981	KAK4467302.1	SRDH2_40240.9, SRDH2_40240.1, SRDH2_40240.5, SRDH2_40240.7, SRDH2_40240.4, SRDH2_40240.8, SRDH2_40240.3, SRDH2_40240.2, SRDH2_40240.6
OG0000982	KAK4471784.1	SRDH2_68000.1, SRDH2_68000.2, SRDH2_68000.3, SRDH2_68000.4
OG0000983	KAK4475242.1	SRDH2_16110.1, SRDH2_16110.6, SRDH2_16110.7, SRDH2_16110.5, SRDH2_16110.3, SRDH2_16110.4, SRDH2_16110.2
OG0000984	KAK4474162.1	SRDH2_32420.1
OG0000985	KAK4474794.1	SRDH2_16620.1
OG0000986	KAK4470291.1	SRDH2_72850.1
OG0000987	KAK4468141.1	SRDH2_85670.1
OG0000988	KAK4469766.1, KAK4469767.1	SRDH2_56970.1, SRDH2_56970.2, SRDH2_56980.1
OG0000989	KAK4469139.1	SRDH2_52370.4, SRDH2_52370.6, SRDH2_52370.7, SRDH2_52370.5, SRDH2_52370.3, SRDH2_52370.9, SRDH2_52370.1, SRDH2_52370.2, SRDH2_52370.8
OG0000990	KAK4475767.1, KAK4467314.1	SRDH2_4810.12, SRDH2_4810.13, SRDH2_4810.7, SRDH2_4810.10, SRDH2_4810.9, SRDH2_4810.11, SRDH2_4810.8, SRDH2_4810.5, SRDH2_4810.6, SRDH2_4810.1, SRDH2_4810.2, SRDH2_4810.3, SRDH2_4810.4
OG0000991	KAK4472089.1	SRDH2_60450.1
OG0000992	KAK4472362.1	SRDH2_44520.4, SRDH2_44520.6, SRDH2_44520.5, SRDH2_44520.7, SRDH2_44520.2, SRDH2_44520.1, SRDH2_44520.3
OG0000993	KAK4470814.1	SRDH2_80080.1
OG0000994	KAK4472179.1, KAK4472284.1	SRDH2_35840.1, SRDH2_35840.2
OG0000995	KAK4470067.1	SRDH2_82470.1
OG0000996	KAK4471910.1	SRDH2_68120.2, SRDH2_68120.3, SRDH2_68120.4, SRDH2_68120.5, SRDH2_68120.6, SRDH2_68120.9, SRDH2_68120.7, SRDH2_68120.1, SRDH2_68120.8
OG0000997	KAK4468590.1	SRDH2_91650.1
OG0000998	KAK4469022.1	SRDH2_56420.1, SRDH2_56420.10, SRDH2_56420.11, SRDH2_56420.2, SRDH2_56420.3, SRDH2_56420.8, SRDH2_56420.9, SRDH2_56420.5, SRDH2_56420.7, SRDH2_56420.4, SRDH2_56420.12, SRDH2_56420.13, SRDH2_56420.6
OG0000999	KAK4473903.1	SRDH2_31730.5, SRDH2_31730.8, SRDH2_31730.4, SRDH2_31730.6, SRDH2_31730.7, SRDH2_31730.9, SRDH2_31730.1, SRDH2_31730.2, SRDH2_31730.3
OG0001000	KAK4476027.1	SRDH2_7160.2, SRDH2_7160.3, SRDH2_7160.5, SRDH2_7160.4, SRDH2_7160.1
OG0001003	KAK4474199.1	SRDH2_36370.1, SRDH2_36370.2, SRDH2_102150.2, SRDH2_102150.4, SRDH2_102150.5, SRDH2_102150.1, SRDH2_102150.3
OG0001005	KAK4467346.1, KAK4475757.1	SRDH2_4680.1, SRDH2_4680.2, SRDH2_4680.3, SRDH2_4680.4, SRDH2_4680.5, SRDH2_4680.6
OG0001006	KAK4468352.1, KAK4468353.1	SRDH2_96500.1, SRDH2_96510.1, SRDH2_83670.1, SRDH2_83680.1, SRDH2_83660.1, SRDH2_83720.1, SRDH2_83730.1
OG0001007	KAK4472027.1	SRDH2_61050.1, SRDH2_61060.1
OG0001008	KAK4472028.1	SRDH2_61030.1, SRDH2_61030.2
OG0001009	KAK4468774.1	SRDH2_90810.1
OG0001010	KAK4471864.1	SRDH2_61850.1, SRDH2_61850.2
OG0001012	KAK4475869.1	SRDH2_5230.3, SRDH2_5230.4, SRDH2_5230.6, SRDH2_5230.7, SRDH2_5230.5, SRDH2_5230.8, SRDH2_5230.1, SRDH2_5230.2
OG0001013	KAK4467552.1, KAK4467336.1, KAK4476126.1	SRDH2_12990.1
OG0001014	KAK4475686.1	SRDH2_4110.1, SRDH2_4110.2
OG0001015	KAK4473951.1	SRDH2_38530.1, SRDH2_38530.2
OG0001016	KAK4473870.1	SRDH2_37310.1, SRDH2_37310.5, SRDH2_37310.7, SRDH2_37310.8, SRDH2_37310.4, SRDH2_37310.6, SRDH2_37310.3, SRDH2_37310.10, SRDH2_37310.2, SRDH2_37310.11, SRDH2_37310.9
OG0001017	KAK4475241.1	SRDH2_16090.1, SRDH2_16090.2, SRDH2_16090.3, SRDH2_16090.4, SRDH2_16090.5
OG0001018	KAK4472436.1	SRDH2_30100.1, SRDH2_30100.2, SRDH2_30100.3, SRDH2_30100.4
OG0001019	KAK4473453.1	SRDH2_42510.1, SRDH2_42510.2, SRDH2_42510.3, SRDH2_42510.4, SRDH2_42510.5, SRDH2_42510.6, SRDH2_42510.7, SRDH2_42510.9, SRDH2_42510.8
OG0001020	KAK4474384.1	SRDH2_11240.10, SRDH2_11240.9, SRDH2_11240.8, SRDH2_11240.3, SRDH2_11240.6, SRDH2_11240.2, SRDH2_11240.1, SRDH2_11240.7, SRDH2_11240.5, SRDH2_11240.4
OG0001021	KAK4472739.1	SRDH2_29850.1
OG0001022	KAK4475364.1	SRDH2_21470.1, SRDH2_21470.5, SRDH2_21470.2, SRDH2_21470.3, SRDH2_21470.4
OG0001023	KAK4471384.1	SRDH2_64620.1, SRDH2_64620.3, SRDH2_64620.2
OG0001024	KAK4470827.1	SRDH2_80190.1, SRDH2_80200.1, SRDH2_80210.1, SRDH2_80210.2
OG0001025	KAK4468679.1	SRDH2_91250.2, SRDH2_91250.3, SRDH2_91250.1
OG0001026	KAK4469225.1	SRDH2_50380.1
OG0001027	KAK4474354.1	SRDH2_950.1
OG0001028	KAK4469796.1	SRDH2_56670.1
OG0001029	KAK4469208.1	SRDH2_50580.3, SRDH2_50580.4, SRDH2_50580.1, SRDH2_50580.5, SRDH2_50580.6, SRDH2_50580.2
OG0001030	KAK4472814.1	SRDH2_29240.8, SRDH2_29240.12, SRDH2_29240.1, SRDH2_29240.14, SRDH2_29240.7, SRDH2_29240.10, SRDH2_29240.5, SRDH2_29240.9, SRDH2_29240.4, SRDH2_29240.11, SRDH2_29240.2, SRDH2_29240.6, SRDH2_29240.3, SRDH2_29240.13
OG0001031	KAK4470821.1	SRDH2_72440.1
OG0001032	KAK4471932.1	SRDH2_68150.1, SRDH2_68150.2, SRDH2_68150.3, SRDH2_68150.4, SRDH2_68150.5, SRDH2_68150.6, SRDH2_68150.7
OG0001034	KAK4469007.1, KAK4469010.1	SRDH2_54960.1, SRDH2_54960.2, SRDH2_54970.1
OG0001036	KAK4474919.1	SRDH2_17920.10, SRDH2_17920.13, SRDH2_17920.14, SRDH2_17920.11, SRDH2_17920.4, SRDH2_17920.6, SRDH2_17920.3, SRDH2_17920.5, SRDH2_17920.9, SRDH2_17920.1, SRDH2_17920.7, SRDH2_17920.8, SRDH2_17920.12, SRDH2_17920.2
OG0001037	KAK4475368.1	SRDH2_21490.1, SRDH2_21490.2, SRDH2_21490.3
OG0001038	KAK4474755.1	SRDH2_1620.1
OG0001039	KAK4473079.1	SRDH2_27750.1, SRDH2_27750.2, SRDH2_27750.6, SRDH2_27750.3, SRDH2_27750.4, SRDH2_27750.5
OG0001040	KAK4468300.1	SRDH2_84000.1
OG0001041	KAK4467710.1	SRDH2_97580.3, SRDH2_97580.6, SRDH2_97580.1, SRDH2_97580.5, SRDH2_97580.2, SRDH2_97580.4
OG0001042	KAK4474426.1	SRDH2_13800.1
OG0001043	KAK4469557.1	SRDH2_49150.1, SRDH2_49150.3, SRDH2_49150.6, SRDH2_49150.5, SRDH2_49150.2, SRDH2_49150.4
OG0001044	KAK4471581.1	SRDH2_68690.1, SRDH2_68690.2
OG0001045	KAK4471626.1	SRDH2_69210.1
OG0001046	KAK4469663.1	SRDH2_52050.1, SRDH2_52050.3, SRDH2_52050.2
OG0001047	KAK4467816.1	SRDH2_99120.1
OG0001048	KAK4470819.1	SRDH2_80130.10, SRDH2_80130.8, SRDH2_80130.9, SRDH2_80130.4, SRDH2_80130.3, SRDH2_80130.1, SRDH2_80130.7
OG0001049	KAK4469820.1	SRDH2_56260.1
OG0001050	KAK4471737.1	SRDH2_63870.4, SRDH2_63870.3, SRDH2_63870.2, SRDH2_63870.6, SRDH2_63870.5, SRDH2_63870.1, SRDH2_63870.7
OG0001051	KAK4468758.1	SRDH2_90640.1
OG0001053	KAK4471433.1	SRDH2_65130.2, SRDH2_65130.4, SRDH2_65130.5, SRDH2_65130.6, SRDH2_65130.1, SRDH2_65130.3, SRDH2_65130.8, SRDH2_65130.9, SRDH2_65130.7
OG0001054	KAK4474485.1, KAK4474484.1	SRDH2_12170.1, SRDH2_12170.2, SRDH2_11910.1, SRDH2_11910.2
OG0001055	KAK4473796.1	SRDH2_38900.1
OG0001056	KAK4471152.1	SRDH2_59300.2, SRDH2_59300.1, SRDH2_59300.3
OG0001057	KAK4468746.1	SRDH2_89850.6, SRDH2_89850.8, SRDH2_89850.4, SRDH2_89850.3, SRDH2_89850.5, SRDH2_89850.2, SRDH2_89850.7, SRDH2_89850.1
OG0001058	KAK4471917.1, KAK4471918.1	SRDH2_62480.1, SRDH2_62480.2
OG0001059	KAK4474872.1	SRDH2_17460.1, SRDH2_17460.2, SRDH2_17460.3, SRDH2_17460.4, SRDH2_17460.5, SRDH2_17460.8, SRDH2_17460.9, SRDH2_17460.7, SRDH2_17460.6
