Orthogroup	s.mekongi	schistosoma_japonicum
OG0000932	KAK4476123.1	EWB00_008012.1, EWB00_008012.2
OG0000933	KAK4473701.1	EWB00_004597
OG0000934	KAK4476302.1	EWB00_009195.1, EWB00_009195.2
OG0000935	KAK4471482.1	EWB00_008912
OG0000936	KAK4467944.1	EWB00_004757.1, EWB00_004757.2
OG0000937	KAK4469907.1	EWB00_008129.1, EWB00_008129.2
OG0000938	KAK4471997.1	EWB00_011164
OG0000939	KAK4468842.1	EWB00_005274
OG0000940	KAK4475887.1	EWB00_002044
OG0000941	KAK4472578.1	EWB00_007844
OG0000942	KAK4474779.1	EWB00_003098, EWB00_003099
OG0000943	KAK4472800.1	EWB00_000645
OG0000944	KAK4471183.1	EWB00_010860.1, EWB00_010860.2
OG0000945	KAK4474600.1	EWB00_004193.4, EWB00_004193.2, EWB00_004193.3, EWB00_004193.5, EWB00_004193.1
OG0000946	KAK4476224.1	EWB00_005652, EWB00_003083, EWB00_003088
OG0000947	KAK4473782.1	EWB00_009525
OG0000948	KAK4468000.1	EWB00_000140.1, EWB00_000140.3, EWB00_000140.2
OG0000949	KAK4474797.1	EWB00_003119, EWB00_010161.4, EWB00_010161.1, EWB00_010161.2, EWB00_010161.3
OG0000949	KAK4474796.1	EWB00_003117
OG0000950	KAK4469335.1	EWB00_005407
OG0000951	KAK4467725.1, KAK4467726.1	EWB00_000581.1, EWB00_000581.2
OG0000952	KAK4472413.1	EWB00_006066
OG0000953	KAK4471693.1	EWB00_005901.1, EWB00_005901.4, EWB00_005901.2, EWB00_005901.3
OG0000954	KAK4470079.1	EWB00_003498.1, EWB00_003498.2, EWB00_003498.3
OG0000955	KAK4474643.1	EWB00_007686.3, EWB00_007686.4, EWB00_007686.1, EWB00_007686.2
OG0000958	KAK4475258.1	EWB00_002301.1, EWB00_002301.4, EWB00_002301.3, EWB00_002301.2
OG0000959	KAK4470133.1	EWB00_001614
OG0000960	KAK4475503.1	EWB00_005748.1, EWB00_005748.2
OG0000961	KAK4473786.1	EWB00_009526
OG0000962	KAK4470465.1	EWB00_007245
OG0000963	KAK4475528.1	EWB00_007898.1, EWB00_007898.2
OG0000964	KAK4473624.1	EWB00_007811
OG0000965	KAK4471425.1	EWB00_007102.3, EWB00_007102.1, EWB00_007102.2
OG0000966	KAK4474035.1	EWB00_004292
OG0000966	KAK4469278.1	EWB00_008737.2, EWB00_008737.1
OG0000967	KAK4474115.1	EWB00_006834.1, EWB00_006834.5, EWB00_006834.7, EWB00_006834.2, EWB00_006834.3, EWB00_006834.6, EWB00_006834.4
OG0000968	KAK4475563.1, KAK4475566.1	EWB00_007585
OG0000969	KAK4468357.1	EWB00_004989
OG0000970	KAK4470288.1	EWB00_000530.1, EWB00_000530.2, EWB00_000530.3
OG0000971	KAK4475069.1	EWB00_008797
OG0000973	KAK4473078.1	EWB00_001146
OG0000973	KAK4473073.1	EWB00_001142
OG0000973	KAK4473076.1, KAK4473077.1	EWB00_001144
OG0000974	KAK4469802.1	EWB00_003797
OG0000975	KAK4475902.1	EWB00_010836
OG0000976	KAK4476301.1	EWB00_009194.1, EWB00_009194.2
OG0000977	KAK4474438.1	EWB00_008954
OG0000978	KAK4475351.1	EWB00_006429.1, EWB00_006429.2
OG0000979	KAK4467504.1	EWB00_003435.1, EWB00_003435.3, EWB00_003435.2
OG0000980	KAK4469712.1	EWB00_003545.3, EWB00_003545.1, EWB00_003545.2
OG0000981	KAK4467302.1	EWB00_003939
OG0000982	KAK4471784.1	EWB00_005588
OG0000983	KAK4475242.1	EWB00_001638, EWB00_009926, EWB00_009927
OG0000984	KAK4474162.1	EWB00_008168
OG0000985	KAK4474794.1	EWB00_003115.1, EWB00_003115.2
OG0000986	KAK4470291.1	EWB00_006598
OG0000987	KAK4468141.1	EWB00_001667.1, EWB00_001667.2, EWB00_001667.3
OG0000988	KAK4469766.1	EWB00_005167
OG0000989	KAK4469139.1	EWB00_007224
OG0000990	KAK4475767.1, KAK4467314.1	EWB00_009083.1, EWB00_009083.2, EWB00_009083.3
OG0000991	KAK4472089.1	EWB00_005269, EWB00_005270
OG0000992	KAK4472362.1	EWB00_000009
OG0000993	KAK4470814.1	EWB00_007390.1, EWB00_007390.2
OG0000994	KAK4472179.1, KAK4472284.1	EWB00_001747
OG0000995	KAK4470067.1	EWB00_003486.1, EWB00_003486.2
OG0000996	KAK4471910.1	EWB00_004706
OG0000997	KAK4468590.1	EWB00_001985.1, EWB00_001985.3, EWB00_001985.4, EWB00_001985.5, EWB00_001985.6, EWB00_001985.7, EWB00_001985.2
OG0000998	KAK4469022.1	EWB00_008388.3, EWB00_008388.4, EWB00_008388.1, EWB00_008388.2, EWB00_008388.5
OG0000999	KAK4473903.1	EWB00_007695.1, EWB00_007695.2
OG0001000	KAK4476027.1	EWB00_007782
OG0001003	KAK4474199.1	EWB00_003403
OG0001005	KAK4467346.1, KAK4475757.1	EWB00_000102
OG0001006	KAK4468352.1, KAK4468353.1	EWB00_008832, EWB00_008833
OG0001007	KAK4472027.1	EWB00_003196
OG0001009	KAK4468774.1	EWB00_000320.1, EWB00_000320.2
OG0001010	KAK4471864.1	EWB00_011274
OG0001011	KAK4473707.1	EWB00_004592.3
OG0001011	KAK4473707.1	EWB00_004592.6
OG0001012	KAK4475869.1	EWB00_008270.1, EWB00_008270.2
OG0001013	KAK4467552.1, KAK4467336.1, KAK4476126.1	EWB00_004156.4, EWB00_004156.3, EWB00_004156.2, EWB00_004156.1
OG0001014	KAK4475686.1	EWB00_009023, EWB00_009024
OG0001015	KAK4473951.1	EWB00_004382
OG0001016	KAK4473870.1	EWB00_007712.1, EWB00_007712.2
OG0001017	KAK4475241.1	EWB00_004820.1, EWB00_004820.3, EWB00_004820.2
OG0001018	KAK4472436.1	EWB00_006039.1, EWB00_006039.2
OG0001019	KAK4473453.1	EWB00_003231
OG0001020	KAK4474384.1	EWB00_005535.1, EWB00_005535.2
OG0001021	KAK4472739.1	EWB00_007945.1, EWB00_007945.2
OG0001022	KAK4475364.1	EWB00_006135
OG0001023	KAK4471384.1	EWB00_003959
OG0001024	KAK4470827.1	EWB00_007402
OG0001025	KAK4468679.1	EWB00_003052.1, EWB00_003052.3, EWB00_003052.2
OG0001026	KAK4469225.1	EWB00_007606.1, EWB00_007606.2
OG0001027	KAK4474354.1	EWB00_005674.1, EWB00_005674.2, EWB00_005674.3, EWB00_005674.4
OG0001028	KAK4469796.1	EWB00_003804.4, EWB00_003804.1, EWB00_003804.3, EWB00_003804.5, EWB00_003804.2
OG0001029	KAK4469208.1	EWB00_003609.1, EWB00_003609.2
OG0001030	KAK4472814.1	EWB00_003286.1, EWB00_003286.2
OG0001031	KAK4470821.1	EWB00_008134
OG0001032	KAK4471932.1	EWB00_004704.1, EWB00_004704.2, EWB00_004704.3
OG0001033	KAK4470208.1	EWB00_002756.1, EWB00_002756.2
OG0001034	KAK4469007.1, KAK4469010.1	EWB00_001199.1, EWB00_001199.2
OG0001036	KAK4474919.1	EWB00_006516
OG0001037	KAK4475368.1	EWB00_006132
OG0001038	KAK4474755.1	EWB00_005626.1, EWB00_005626.2
OG0001039	KAK4473079.1	EWB00_001147.1, EWB00_001147.2
OG0001040	KAK4468300.1	EWB00_000155
OG0001041	KAK4467710.1	EWB00_003034
OG0001042	KAK4474426.1	EWB00_002194.6, EWB00_002194.2, EWB00_002194.1, EWB00_002194.3, EWB00_002194.4, EWB00_002194.5
OG0001043	KAK4469557.1	EWB00_010705
OG0001044	KAK4471581.1	EWB00_005778
OG0001045	KAK4471626.1	EWB00_009843
OG0001046	KAK4469663.1	EWB00_006779
OG0001047	KAK4467816.1	EWB00_006678
OG0001048	KAK4470819.1	EWB00_007395.2, EWB00_007395.1, EWB00_007395.3
OG0001049	KAK4469820.1	EWB00_002207
OG0001050	KAK4471737.1	EWB00_007741
OG0001051	KAK4468758.1	EWB00_000734
OG0001052	KAK4469823.1	EWB00_002209.2
OG0001053	KAK4471433.1	EWB00_009221.2, EWB00_009221.3, EWB00_009221.1, EWB00_009222, EWB00_009221.4
OG0001054	KAK4474485.1, KAK4474484.1	EWB00_008451.1, EWB00_008451.2
OG0001055	KAK4473796.1	EWB00_009534.1, EWB00_009534.3, EWB00_009534.2, EWB00_009534.4
OG0001056	KAK4471152.1	EWB00_010129, EWB00_005571
OG0001057	KAK4468746.1	EWB00_005060.1, EWB00_005060.2, EWB00_005060.4, EWB00_005060.3
OG0001058	KAK4471917.1, KAK4471918.1	EWB00_011337
OG0001059	KAK4474872.1	EWB00_000080.1, EWB00_000080.3, EWB00_000080.2
OG0001060	KAK4471301.1	EWB00_010427.1, EWB00_010427.2
OG0001061	KAK4474418.1, KAK4467307.1, KAK4474419.1	EWB00_005550, EWB00_005551, EWB00_011072
OG0001062	KAK4469297.1	EWB00_004749
OG0001063	KAK4468124.1	EWB00_004477
OG0001063	KAK4468123.1, KAK4468122.1	EWB00_004481
OG0001064	KAK4469625.1	EWB00_010816.1, EWB00_010816.2, EWB00_010816.3, EWB00_010816.4
OG0001065	KAK4472778.1	EWB00_009928
OG0001065	KAK4472745.1	EWB00_007939
OG0001065	KAK4472746.1	EWB00_007937
OG0001068	KAK4470504.1	EWB00_009751.1, EWB00_009751.2
OG0001070	KAK4471390.1	EWB00_007136
OG0001070	KAK4470698.1	EWB00_010978.2
OG0001071	KAK4471223.1, KAK4471222.1	EWB00_000924.2, EWB00_000924.1, EWB00_000924.3
OG0001072	KAK4473457.1	EWB00_003227
OG0001073	KAK4474855.1	EWB00_007640
OG0001074	KAK4473040.1	EWB00_007010
OG0001075	KAK4471794.1	EWB00_004024.4, EWB00_004024.2, EWB00_004024.3, EWB00_004024.6, EWB00_004024.5, EWB00_004024.1
OG0001076	KAK4469186.1	EWB00_004053.3, EWB00_004053.1, EWB00_004053.2
OG0001077	KAK4469392.1, KAK4469391.1	EWB00_005346
OG0001078	KAK4471959.1	EWB00_011119, EWB00_011121
OG0001079	KAK4470324.1	EWB00_001188.1, EWB00_001188.2, EWB00_001188.3
OG0001079	KAK4470554.1	EWB00_004521
OG0001080	KAK4470619.1	EWB00_010921.1, EWB00_010921.3, EWB00_010921.2
OG0001081	KAK4472280.1	EWB00_001753
OG0001081	KAK4472281.1	EWB00_001752, EWB00_001750.1, EWB00_001750.3, EWB00_001750.2
OG0001082	KAK4469312.1	EWB00_008077
OG0001083	KAK4467695.1	EWB00_011190
OG0001084	KAK4475334.1	EWB00_006446.4, EWB00_006446.2, EWB00_006446.1, EWB00_006446.3
OG0001085	KAK4467681.1	EWB00_005838.2, EWB00_005838.1, EWB00_005838.3, EWB00_005838.4
OG0001086	KAK4470175.1	EWB00_007352
OG0001087	KAK4469641.1	EWB00_005325
OG0001087	KAK4474021.1	EWB00_004308
OG0001088	KAK4473163.1	EWB00_001106
OG0001089	KAK4471220.1	EWB00_000922.1, EWB00_000922.2
OG0001090	KAK4467837.1	EWB00_006648.1, EWB00_006648.2, EWB00_006648.3
OG0001091	KAK4469323.1	EWB00_005418.1, EWB00_005418.2, EWB00_005418.3
OG0001092	KAK4470091.1	EWB00_008685.1, EWB00_008685.2
OG0001093	KAK4468335.1	EWB00_009235.1, EWB00_009235.2
OG0001094	KAK4473987.1	EWB00_004337
OG0001095	KAK4469671.1	EWB00_006786
OG0001096	KAK4475079.1	EWB00_010365
OG0001097	KAK4471387.1	EWB00_010092, EWB00_010091
OG0001098	KAK4472593.1	EWB00_011219.5, EWB00_011219.2, EWB00_011219.4, EWB00_011219.1, EWB00_011219.3
OG0001099	KAK4468772.1	EWB00_000378
OG0001099	KAK4468783.1	EWB00_000377.1, EWB00_000377.2, EWB00_000377.3
OG0001100	KAK4471534.1	EWB00_006265
OG0001101	KAK4469623.1	EWB00_003637.1, EWB00_003637.2
OG0001102	KAK4471719.1	EWB00_007726.1, EWB00_007726.3, EWB00_007726.4, EWB00_007726.2
OG0001103	KAK4467708.1	EWB00_003032.1, EWB00_003032.2, EWB00_003032.3
OG0001104	KAK4471723.1	EWB00_007728.1, EWB00_007728.3, EWB00_007728.2
OG0001105	KAK4472587.1	EWB00_011214.1, EWB00_011214.2
OG0001106	KAK4471497.1	EWB00_008927
OG0001107	KAK4469144.1, KAK4469142.1	EWB00_007219.2, EWB00_007219.4, EWB00_007219.3, EWB00_007219.1
OG0001108	KAK4472830.1	EWB00_001932, EWB00_003300
OG0001110	KAK4475672.1	EWB00_009040.1, EWB00_009040.2
OG0001111	KAK4469284.1	EWB00_008730
OG0001112	KAK4467791.1	EWB00_004791.1, EWB00_004791.2
OG0001112	KAK4467789.1	EWB00_004792
OG0001112	KAK4467788.1	EWB00_004793
OG0001113	KAK4476086.1, KAK4476087.1	EWB00_004451.2, EWB00_004451.1, EWB00_004451.3
OG0001114	KAK4476057.1	EWB00_003819.1, EWB00_003819.2
OG0001115	KAK4467699.1	EWB00_008941
OG0001116	KAK4468369.1	EWB00_004405
OG0001117	KAK4475302.1	EWB00_002363
OG0001118	KAK4470222.1	EWB00_002739.1, EWB00_002739.2
OG0001119	KAK4471218.1	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3
OG0001120	KAK4472630.1, KAK4472629.1	EWB00_002578
OG0001121	KAK4467341.1	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3
OG0001122	KAK4470945.1	EWB00_002290, EWB00_002289
OG0001123	KAK4468721.1	EWB00_005079
OG0001124	KAK4473908.1	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9
OG0001125	KAK4475252.1, KAK4475264.1	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308
OG0001127	KAK4473667.1	EWB00_003937.1, EWB00_003937.2
OG0001128	KAK4470681.1	EWB00_010960
OG0001129	KAK4473879.1	EWB00_009126
OG0001130	KAK4467488.1, KAK4467490.1, KAK4474435.1	EWB00_008952
OG0001131	KAK4470638.1	EWB00_011067
OG0001131	KAK4470637.1	EWB00_010938, EWB00_010102, EWB00_011237
OG0001132	KAK4468209.1	EWB00_004513.1, EWB00_004513.2
OG0001133	KAK4474780.1	EWB00_003100.2
OG0001134	KAK4471240.1	EWB00_010505
OG0001135	KAK4472564.1	EWB00_007857
OG0001136	KAK4473309.1	EWB00_007074
OG0001137	KAK4469354.1	EWB00_005385
OG0001138	KAK4474983.1	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1
OG0001139	KAK4473852.1	EWB00_001288
OG0001140	KAK4469259.1	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4
OG0001141	KAK4470986.1	EWB00_010581
OG0001142	KAK4474696.1	EWB00_010000
OG0001142	KAK4474694.1	EWB00_009996, EWB00_009998
OG0001143	KAK4471679.1	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3
OG0001144	KAK4474042.1	EWB00_004285
OG0001145	KAK4471255.1	EWB00_010489
OG0001146	KAK4475726.1	EWB00_004856.1, EWB00_004856.2
OG0001147	KAK4474241.1	EWB00_002095
OG0001148	KAK4470683.1	EWB00_000968
OG0001149	KAK4470825.1	EWB00_007400
OG0001150	KAK4469715.1	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4
OG0001151	KAK4468560.1	EWB00_001919.1, EWB00_001919.2
OG0001153	KAK4471271.1	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5
OG0001154	KAK4472675.1	EWB00_000030, EWB00_000029
OG0001155	KAK4469552.1	EWB00_010700
OG0001156	KAK4470111.1, KAK4475961.1	EWB00_008591
OG0001157	KAK4471675.1	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3
OG0001158	KAK4473471.1	EWB00_002800
OG0001159	KAK4468670.1	EWB00_006018, EWB00_004960
OG0001160	KAK4475388.1	EWB00_005699
OG0001161	KAK4471498.1	EWB00_008928
OG0001161	KAK4471267.1, KAK4471268.1	EWB00_010476.1, EWB00_010476.2, EWB00_010476.3
OG0001162	KAK4474084.1	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2
OG0001163	KAK4470411.1	EWB00_002010
OG0001164	KAK4468217.1	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2
OG0001165	KAK4467564.1, KAK4467567.1	EWB00_011222.1, EWB00_011222.2
OG0001166	KAK4474416.1	EWB00_011074
OG0001167	KAK4474085.1	EWB00_006863
OG0001168	KAK4467300.1, KAK4474652.1	EWB00_007693
OG0001169	KAK4469395.1	EWB00_005343
OG0001170	KAK4474599.1	EWB00_004194
OG0001171	KAK4475235.1	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2
OG0001172	KAK4471888.1	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2
OG0001173	KAK4474895.1	EWB00_003842
OG0001176	KAK4470589.1	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2
OG0001177	KAK4473187.1	EWB00_001130.1, EWB00_001130.2
OG0001178	KAK4475543.1	EWB00_007871
OG0001178	KAK4475541.1	EWB00_007868, EWB00_007870
OG0001179	KAK4467736.1, KAK4467737.1	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5
OG0001180	KAK4476155.1	EWB00_009514, EWB00_002566
OG0001181	KAK4471120.1	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2
OG0001182	KAK4474056.1	EWB00_004268.3, EWB00_004268.4, EWB00_004268.5, EWB00_004268.6, EWB00_004268.1, EWB00_004268.2, EWB00_004268.7
OG0001183	KAK4474411.1	EWB00_011081.1, EWB00_011081.2
OG0001184	KAK4475631.1, KAK4476071.1	EWB00_000876
OG0001186	KAK4475791.1, KAK4467365.1	EWB00_006349
OG0001187	KAK4472654.1	EWB00_004626.1, EWB00_004626.2
OG0001188	KAK4476107.1	EWB00_004444, EWB00_005813, EWB00_004077
OG0001189	KAK4474589.1	EWB00_004208
OG0001190	KAK4474039.1	EWB00_004289.1, EWB00_004289.2, EWB00_004289.3
OG0001191	KAK4476037.1	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6
OG0001192	KAK4473508.1	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3
OG0001193	KAK4468256.1, KAK4468257.1	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3
OG0001194	KAK4476093.1	EWB00_009245.1, EWB00_009245.2
OG0001197	KAK4475434.1	EWB00_005828.1, EWB00_005828.2
OG0001198	KAK4468283.1	EWB00_001493.1, EWB00_001493.2
OG0001199	KAK4470044.1	EWB00_010565
OG0001199	KAK4470046.1, KAK4470981.1, KAK4470980.1	EWB00_003335, EWB00_003349, EWB00_010566
OG0001202	KAK4474738.1	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5
OG0001203	KAK4474544.1	EWB00_005655
OG0001203	KAK4468110.1	EWB00_006758
OG0001204	KAK4471653.1	EWB00_009801
OG0001205	KAK4474018.1, KAK4474017.1	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3
OG0001207	KAK4475278.1	EWB00_002323.1, EWB00_002323.2, EWB00_002323.3
OG0001208	KAK4473921.1	EWB00_003148
OG0001208	KAK4473920.1	EWB00_003150
OG0001210	KAK4467724.1	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4
OG0001211	KAK4474925.1	EWB00_006527.4, EWB00_006527.1, EWB00_006527.2, EWB00_006527.3
OG0001212	KAK4473153.1	EWB00_001093
OG0001213	KAK4476051.1	EWB00_008528
OG0001214	KAK4472906.1	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4
OG0001215	KAK4471303.1	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4
OG0001216	KAK4472954.1	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3
OG0001217	KAK4470315.1	EWB00_006632.3, EWB00_006632.1, EWB00_006632.2
OG0001218	KAK4474639.1	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2
OG0001219	KAK4476080.1	EWB00_008004.1, EWB00_008004.2
OG0001220	KAK4467635.1	EWB00_001424
OG0001221	KAK4471716.1	EWB00_007723.1, EWB00_007723.2
OG0001222	KAK4468493.1	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2
OG0001223	KAK4472509.1	EWB00_005965
OG0001224	KAK4468309.1	EWB00_003782.1, EWB00_003782.2
OG0001225	KAK4472086.1	EWB00_005264
OG0001226	KAK4469416.1	EWB00_000188
OG0001227	KAK4471789.1	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2
OG0001228	KAK4472331.1	EWB00_009722.2, EWB00_009722.1, EWB00_010025, EWB00_004885
OG0001229	KAK4472410.1	EWB00_006070
OG0001230	KAK4474860.1	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4
OG0001231	KAK4473724.1	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8
OG0001232	KAK4468184.1	EWB00_006765.1, EWB00_006765.2
OG0001233	KAK4475904.1	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8
OG0001234	KAK4472481.1, KAK4472579.1, KAK4472471.1	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4
OG0001235	KAK4472813.1	EWB00_003285
OG0001235	KAK4472812.1	EWB00_003283
OG0001236	KAK4471432.1	EWB00_009224, EWB00_009223
OG0001237	KAK4472962.1	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2
OG0001238	KAK4468030.1	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2
OG0001239	KAK4474642.1	EWB00_007685
OG0001240	KAK4469937.1	EWB00_007766.1, EWB00_007766.2
OG0001241	KAK4472005.1	EWB00_003870
OG0001241	KAK4470468.1	EWB00_008223
OG0001242	KAK4469975.1	EWB00_007827
OG0001244	KAK4468578.1	EWB00_001945
OG0001245	KAK4474453.1, KAK4474454.1	EWB00_008323
OG0001246	KAK4472369.1	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2
OG0001247	KAK4473847.1	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2
OG0001248	KAK4467435.1, KAK4475814.1	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2
OG0001249	KAK4474050.1	EWB00_004277
OG0001250	KAK4475174.1	EWB00_004654.2, EWB00_004654.4, EWB00_004654.3, EWB00_004654.1
OG0001250	KAK4475185.1	EWB00_004653
OG0001251	KAK4470393.1	EWB00_001412.1, EWB00_001412.2
OG0001252	KAK4469959.1	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1
OG0001253	KAK4469853.1	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2
OG0001254	KAK4472504.1	EWB00_005971
OG0001254	KAK4472506.1	EWB00_005970
OG0001255	KAK4472793.1	EWB00_000639.1, EWB00_000639.2
OG0001256	KAK4469560.1	EWB00_010707
OG0001258	KAK4470450.1	EWB00_007264
OG0001259	KAK4472020.1	EWB00_003857
OG0001260	KAK4474629.1	EWB00_005642.1, EWB00_005642.2
OG0001261	KAK4473580.1	EWB00_004737
OG0001262	KAK4468252.1	EWB00_008791
OG0001263	KAK4468562.1	EWB00_001923.1, EWB00_001923.2
OG0001263	KAK4468561.1	EWB00_001920
OG0001265	KAK4471920.1	EWB00_011339
OG0001266	KAK4470747.1	EWB00_000975.2, EWB00_000975.1, EWB00_000975.3
OG0001267	KAK4469544.1	EWB00_010689.1, EWB00_010689.2
OG0001268	KAK4468580.1	EWB00_001949
OG0001268	KAK4476115.1	EWB00_000426
OG0001269	KAK4473303.1	EWB00_007070.1, EWB00_007070.3, EWB00_007070.2
OG0001270	KAK4468598.1	EWB00_001976
OG0001271	KAK4471210.1	EWB00_000909
OG0001272	KAK4470053.1	EWB00_007476.1, EWB00_007476.2
OG0001273	KAK4470612.1	EWB00_003439.1, EWB00_003439.2
OG0001274	KAK4471502.1	EWB00_008932
OG0001275	KAK4469887.1	EWB00_002146.1, EWB00_002146.2, EWB00_002146.3
OG0001276	KAK4471898.1	EWB00_004707.1, EWB00_004707.2, EWB00_004707.3
OG0001277	KAK4475596.1	EWB00_007325.1, EWB00_007325.2
OG0001278	KAK4468621.1	EWB00_000340.1, EWB00_000340.2, EWB00_000340.3
OG0001279	KAK4474150.1	EWB00_008361
OG0001280	KAK4469925.1	EWB00_007757
OG0001281	KAK4470830.1, KAK4470831.1	EWB00_001210, EWB00_001209, EWB00_001211
OG0001282	KAK4467754.1	EWB00_000576.1, EWB00_000576.2, EWB00_000576.3, EWB00_000576.4, EWB00_000576.5
OG0001283	KAK4474099.1	EWB00_006849
OG0001284	KAK4474955.1	EWB00_006559.1, EWB00_006559.2
OG0001285	KAK4475824.1	EWB00_010229.1, EWB00_010229.2
OG0001288	KAK4467620.1	EWB00_009423.1, EWB00_009423.2, EWB00_009423.3
OG0001289	KAK4472424.1	EWB00_006051.1, EWB00_006051.2, EWB00_006051.3
OG0001290	KAK4475785.1	EWB00_006343
OG0001291	KAK4476039.1	EWB00_007770
OG0001292	KAK4476023.1	EWB00_007784.1, EWB00_007784.2
OG0001293	KAK4469805.1	EWB00_003795
OG0001294	KAK4472567.1	EWB00_007854.1, EWB00_007854.3, EWB00_007854.2
OG0001295	KAK4472604.1	EWB00_008156.4, EWB00_008156.1, EWB00_008156.5, EWB00_008156.6, EWB00_008156.3, EWB00_008156.2
OG0001296	KAK4475956.1, KAK4475955.1	EWB00_008597
OG0001297	KAK4474512.1	EWB00_003697
OG0001298	KAK4474031.1	EWB00_004298.2, EWB00_004298.3, EWB00_004298.1
OG0001300	KAK4475917.1	EWB00_009240
OG0001301	KAK4469880.1	EWB00_002152.1, EWB00_002152.2, EWB00_002152.3, EWB00_002152.4
OG0001302	KAK4475526.1	EWB00_007901.1, EWB00_007901.2, EWB00_007901.3
OG0001303	KAK4472605.1, KAK4472606.1	EWB00_008157.2, EWB00_008157.1
OG0001304	KAK4468665.1	EWB00_004457.2, EWB00_004457.1, EWB00_004457.3, EWB00_004457.4
OG0001305	KAK4474662.1	EWB00_005639
OG0001306	KAK4471984.1	EWB00_011148
OG0001307	KAK4468348.1	EWB00_008828.1, EWB00_008828.2, EWB00_008828.3, EWB00_008828.5, EWB00_008828.6, EWB00_008828.4
OG0001307	KAK4468345.1	EWB00_008823.3, EWB00_008823.1, EWB00_008823.2
OG0001308	KAK4467630.1	EWB00_001421
OG0001309	KAK4470646.1	EWB00_011058.1, EWB00_011058.2
OG0001310	KAK4473092.1	EWB00_010881.1, EWB00_010881.2
OG0001311	KAK4472492.1	EWB00_004898
OG0001312	KAK4472637.1	EWB00_002585.1, EWB00_002585.3, EWB00_002585.4, EWB00_002585.2
OG0001313	KAK4472134.1, KAK4473418.1	EWB00_008761
OG0001315	KAK4472633.1	EWB00_002581
OG0001316	KAK4474142.1	EWB00_008370
OG0001317	KAK4475271.1	EWB00_002314.1, EWB00_002314.2, EWB00_002314.3, EWB00_002314.4, EWB00_002314.5
OG0001318	KAK4475775.1	EWB00_010224
