Orthogroup	schistosoma_mattheei	schistosoma_mansoni
OG0000641	SMTH1_7640.1	Smp_174920.1
OG0000641	SMTH1_5190.2, SMTH1_5190.3, SMTH1_5190.1, SMTH1_5190.4	Smp_007690.1
OG0000642	SMTH1_68800.1	Smp_145980.1
OG0000643	SMTH1_58010.1	Smp_045420.1
OG0000643	SMTH1_58000.1	Smp_045410.1, Smp_045410.2
OG0000644	SMTH1_106090.1	Smp_170550.1, Smp_170550.2
OG0000645	SMTH1_11730.1, SMTH1_11710.1	Smp_132850.1, Smp_210550.2
OG0000646	SMTH1_10090.1	Smp_011660.2
OG0000646	SMTH1_10080.1	Smp_011660.3
OG0000647	SMTH1_69000.1	Smp_129420.1
OG0000648	SMTH1_102260.1, SMTH1_102260.2, SMTH1_102270.1	Smp_214260.1
OG0000649	SMTH1_66530.1, SMTH1_66530.2, SMTH1_66530.3	Smp_247230.1
OG0000650	SMTH1_86400.1, SMTH1_86400.5, SMTH1_86400.3, SMTH1_86400.2, SMTH1_86400.4	Smp_042340.1
OG0000651	SMTH1_46600.1, SMTH1_46590.3, SMTH1_46590.1, SMTH1_46590.2, SMTH1_46590.4	Smp_302650.1
OG0000652	SMTH1_44810.1	Smp_049600.1
OG0000653	SMTH1_45460.1, SMTH1_45460.2, SMTH1_45460.3, SMTH1_45470.1	Smp_306290.1, Smp_306300.1
OG0000654	SMTH1_64570.1	Smp_331710.1
OG0000655	SMTH1_90060.1, SMTH1_90060.2, SMTH1_90060.3, SMTH1_90060.4	Smp_314360.1, Smp_332750.1, Smp_316680.1, Smp_316680.2, Smp_101230.1
OG0000656	SMTH1_83840.4, SMTH1_83840.1, SMTH1_83840.2, SMTH1_83840.3	Smp_043150.1
OG0000657	SMTH1_100120.1	Smp_082280.1
OG0000659	SMTH1_46560.1	Smp_157510.1
OG0000662	SMTH1_58250.1	Smp_130100.1
OG0000663	SMTH1_42170.1, SMTH1_42170.6, SMTH1_42170.7, SMTH1_42170.5, SMTH1_42170.4, SMTH1_42170.3, SMTH1_42170.2	Smp_343540.1
OG0000664	SMTH1_13880.1	Smp_157740.1
OG0000665	SMTH1_81270.4, SMTH1_81270.1, SMTH1_81270.2, SMTH1_81270.3, SMTH1_81270.5, SMTH1_81270.7, SMTH1_81270.6	Smp_334140.1
OG0000666	SMTH1_68710.1, SMTH1_68700.1	Smp_145890.1
OG0000667	SMTH1_7120.1, SMTH1_7120.2	Smp_006320.1, Smp_006320.2
OG0000668	SMTH1_58460.1, SMTH1_58460.2, SMTH1_58460.3	Smp_014780.1
OG0000669	SMTH1_75690.1, SMTH1_75710.1, SMTH1_75710.2, SMTH1_75710.3, SMTH1_75700.1	Smp_177120.1
OG0000670	SMTH1_49660.1, SMTH1_49660.2	Smp_340760.1
OG0000671	SMTH1_85240.1, SMTH1_85230.1	Smp_169530.1
OG0000672	SMTH1_49200.1	Smp_245600.1, Smp_245600.2
OG0000673	SMTH1_17870.7, SMTH1_17870.6, SMTH1_17870.4, SMTH1_17870.3, SMTH1_17870.2, SMTH1_17870.1, SMTH1_17870.5	Smp_173730.1
OG0000674	SMTH1_86940.1	Smp_041760.1
OG0000675	SMTH1_80320.1	Smp_089180.1
OG0000676	SMTH1_90120.1	Smp_129950.1, Smp_129950.2
OG0000677	SMTH1_5990.1, SMTH1_5980.1	Smp_304500.1
OG0000678	SMTH1_38270.2, SMTH1_38270.1, SMTH1_38270.3	Smp_341660.1
OG0000679	SMTH1_80420.1, SMTH1_80410.1	Smp_089240.1
OG0000680	SMTH1_18680.1	Smp_096640.1, Smp_096640.2
OG0000681	SMTH1_38670.1, SMTH1_38680.1, SMTH1_38690.1	Smp_139540.1
OG0000682	SMTH1_47890.1	Smp_310140.1
OG0000683	SMTH1_61300.1	Smp_028730.1
OG0000683	SMTH1_74680.1	Smp_000510.1
OG0000684	SMTH1_93730.1	Smp_210150.1
OG0000685	SMTH1_83650.1, SMTH1_83650.2, SMTH1_83650.6, SMTH1_83650.7, SMTH1_83650.8, SMTH1_83650.3, SMTH1_83650.5, SMTH1_83650.4	Smp_145410.1, Smp_145410.2
OG0000686	SMTH1_66800.1, SMTH1_66800.2, SMTH1_66800.3, SMTH1_66800.4, SMTH1_66800.5, SMTH1_66800.6	Smp_166830.1
OG0000687	SMTH1_29670.1	Smp_169260.2, Smp_169260.1
OG0000688	SMTH1_730.2, SMTH1_730.4, SMTH1_730.1, SMTH1_730.3, SMTH1_730.5, SMTH1_730.6	Smp_244830.1
OG0000689	SMTH1_3490.7, SMTH1_3490.1, SMTH1_3490.8, SMTH1_3490.3, SMTH1_3490.5, SMTH1_3490.4, SMTH1_3490.6, SMTH1_3490.2	Smp_169580.1
OG0000690	SMTH1_25250.2, SMTH1_25250.4, SMTH1_25250.1, SMTH1_25250.3	Smp_176620.1
OG0000691	SMTH1_11300.1, SMTH1_89680.1, SMTH1_79000.1, SMTH1_50160.1, SMTH1_54540.1, SMTH1_91410.1, SMTH1_107840.1, SMTH1_107840.2, SMTH1_67510.1, SMTH1_77070.1, SMTH1_3210.1, SMTH1_107830.1, SMTH1_3220.1, SMTH1_42540.1	Smp_201940.1, Smp_205780.1
OG0000692	SMTH1_18870.1, SMTH1_18870.2, SMTH1_18870.3, SMTH1_18870.5, SMTH1_18870.4	Smp_341180.1, Smp_341180.2
OG0000695	SMTH1_106850.1	Smp_126480.1
OG0000695	SMTH1_50710.1	Smp_078690.1
OG0000696	SMTH1_6200.4, SMTH1_6200.5, SMTH1_6200.3, SMTH1_6200.2, SMTH1_6200.1, SMTH1_6200.6	Smp_302850.1
OG0000697	SMTH1_44870.1	Smp_148720.1
OG0000698	SMTH1_19950.1, SMTH1_19950.2, SMTH1_19950.3	Smp_015220.1, Smp_015220.2
OG0000699	SMTH1_36690.1	Smp_008490.1
OG0000699	SMTH1_51240.1	Smp_157950.1
OG0000700	SMTH1_31270.1	Smp_349610.1
OG0000700	SMTH1_26570.1	Smp_319400.1
OG0000700	SMTH1_26580.1	Smp_092150.1
OG0000700	SMTH1_26590.1	Smp_151640.1
OG0000701	SMTH1_67640.1, SMTH1_67640.4, SMTH1_67640.3, SMTH1_67640.5, SMTH1_67640.6, SMTH1_67640.2	Smp_132270.1
OG0000702	SMTH1_96450.1, SMTH1_96450.2	Smp_123060.1
OG0000703	SMTH1_110.1, SMTH1_110.2, SMTH1_110.3, SMTH1_110.4	Smp_123720.1
OG0000704	SMTH1_53940.1	Smp_072110.1
OG0000705	SMTH1_7030.1	Smp_347680.1
OG0000706	SMTH1_48320.1	Smp_104670.1
OG0000706	SMTH1_58350.1	Smp_014660.1
OG0000707	SMTH1_104690.1, SMTH1_104690.2	Smp_152960.1
OG0000708	SMTH1_41320.1, SMTH1_41320.2	Smp_041060.1
OG0000709	SMTH1_48660.1, SMTH1_48660.2	Smp_198940.1
OG0000710	SMTH1_9110.1	Smp_346720.1
OG0000711	SMTH1_82820.1, SMTH1_82820.2	Smp_334200.1
OG0000712	SMTH1_58770.1	Smp_148370.1
OG0000713	SMTH1_79750.1, SMTH1_79750.2, SMTH1_79750.3, SMTH1_79750.4, SMTH1_79750.6, SMTH1_79750.7, SMTH1_79750.5	Smp_312660.1
OG0000714	SMTH1_51560.3, SMTH1_51560.2, SMTH1_51560.1, SMTH1_107880.1, SMTH1_107880.2, SMTH1_107780.1, SMTH1_51570.1	Smp_196150.1, Smp_196150.2
OG0000715	SMTH1_30250.1	Smp_076950.1
OG0000716	SMTH1_13090.1, SMTH1_13080.1	Smp_244580.1
OG0000717	SMTH1_65500.1, SMTH1_65490.1	Smp_311920.1, Smp_346240.1
OG0000718	SMTH1_83100.1	Smp_135560.1
OG0000719	SMTH1_61310.1	Smp_137650.1
OG0000720	SMTH1_85480.1, SMTH1_85480.2, SMTH1_85480.5, SMTH1_85480.4, SMTH1_85480.3	Smp_213520.1
OG0000721	SMTH1_51020.1	Smp_122800.1
OG0000722	SMTH1_6100.6, SMTH1_6100.3, SMTH1_6100.2, SMTH1_6100.5, SMTH1_6100.1, SMTH1_6100.4	Smp_166610.1
OG0000723	SMTH1_85220.2, SMTH1_85220.3, SMTH1_85220.5, SMTH1_85220.4, SMTH1_85220.1	Smp_169520.1
OG0000724	SMTH1_46650.1, SMTH1_46650.5, SMTH1_46650.2, SMTH1_46650.3, SMTH1_46650.4, SMTH1_46650.6	Smp_157560.1
OG0000725	SMTH1_85630.3, SMTH1_85630.1, SMTH1_85630.6, SMTH1_85630.4, SMTH1_85630.5, SMTH1_85630.2	Smp_155780.1
OG0000726	SMTH1_107640.1	Smp_175570.1
OG0000726	SMTH1_33060.1	Smp_097240.1
OG0000727	SMTH1_42930.1, SMTH1_42940.1	Smp_079700.1
OG0000728	SMTH1_54100.8, SMTH1_54100.7, SMTH1_54100.1, SMTH1_54100.2, SMTH1_54100.4, SMTH1_54100.5, SMTH1_54100.6, SMTH1_54100.3	Smp_071960.1
OG0000729	SMTH1_10010.1, SMTH1_10000.1	Smp_128370.1
OG0000730	SMTH1_66840.1	Smp_074070.1
OG0000731	SMTH1_84850.4, SMTH1_84850.2, SMTH1_84850.1, SMTH1_84850.3, SMTH1_84850.5	Smp_347040.1
OG0000732	SMTH1_4060.1	Smp_343150.1
OG0000733	SMTH1_3420.3, SMTH1_3420.4	Smp_169150.2
OG0000736	SMTH1_86850.2, SMTH1_86850.1	Smp_144940.1
OG0000737	SMTH1_11110.1, SMTH1_11100.1	Smp_305100.1, Smp_305110.1
OG0000738	SMTH1_77440.1, SMTH1_77440.2	Smp_205270.1
OG0000738	SMTH1_77430.1	Smp_346410.1
OG0000739	SMTH1_63120.1	Smp_094380.1
OG0000740	SMTH1_9510.2, SMTH1_9510.3, SMTH1_9510.1, SMTH1_9510.6, SMTH1_9510.4, SMTH1_9510.5	Smp_093920.1
OG0000741	SMTH1_93450.1, SMTH1_93450.2	Smp_129260.1
OG0000742	SMTH1_60240.1, SMTH1_66660.1	Smp_112480.1
OG0000743	SMTH1_25030.4, SMTH1_25030.1, SMTH1_25030.2, SMTH1_25030.3, SMTH1_25030.6, SMTH1_25030.5	Smp_150340.1
OG0000744	SMTH1_4160.1, SMTH1_4160.3, SMTH1_4160.4, SMTH1_4160.5, SMTH1_4160.2	Smp_171640.1
OG0000745	SMTH1_42080.1, SMTH1_42080.3, SMTH1_42080.2, SMTH1_42080.5, SMTH1_42080.4	Smp_142600.1
OG0000746	SMTH1_67520.1, SMTH1_67520.2	Smp_018250.1, Smp_018250.2
OG0000747	SMTH1_47760.1	Smp_344430.1, Smp_344430.2
OG0000748	SMTH1_77920.1	Smp_053220.1
OG0000749	SMTH1_77210.1	Smp_213300.1, Smp_213300.2
OG0000750	SMTH1_82710.1	Smp_306910.1
OG0000751	SMTH1_6240.1	Smp_159490.1
OG0000751	SMTH1_3050.1, SMTH1_3050.3, SMTH1_3050.2, SMTH1_3010.1, SMTH1_3050.4	Smp_057620.1
OG0000752	SMTH1_102980.1	Smp_015020.1
OG0000752	SMTH1_103060.3, SMTH1_103060.1, SMTH1_103060.2	Smp_130300.1
OG0000753	SMTH1_92010.1	Smp_334530.1
OG0000754	SMTH1_56270.1	Smp_123040.1
OG0000755	SMTH1_83910.1, SMTH1_83910.2, SMTH1_83910.3, SMTH1_83910.4, SMTH1_83910.5, SMTH1_83910.7, SMTH1_83910.8, SMTH1_83910.6	Smp_145510.1, Smp_145510.2
OG0000756	SMTH1_43260.5, SMTH1_43260.1, SMTH1_43260.4, SMTH1_43260.2, SMTH1_43260.3, SMTH1_43260.7, SMTH1_43260.6	Smp_344380.1
OG0000757	SMTH1_58620.1	Smp_148250.1
OG0000758	SMTH1_10040.2	Smp_190020.2
OG0000759	SMTH1_59090.1, SMTH1_59080.1	Smp_135460.1
OG0000760	SMTH1_87640.1	Smp_056640.1
OG0000761	SMTH1_59860.2, SMTH1_59860.3, SMTH1_59860.1, SMTH1_59860.4, SMTH1_59860.5	Smp_175340.1
OG0000762	SMTH1_89850.1	Smp_136300.1
OG0000762	SMTH1_96950.1	Smp_172200.1
OG0000763	SMTH1_21680.1, SMTH1_21680.2, SMTH1_21680.3, SMTH1_21680.4	Smp_038140.1, Smp_038140.2
OG0000764	SMTH1_10180.3, SMTH1_10180.1, SMTH1_10180.2, SMTH1_10180.4, SMTH1_10180.5, SMTH1_10180.6	Smp_128420.1, Smp_128420.2
OG0000765	SMTH1_59060.1	Smp_094420.1
OG0000765	SMTH1_59070.2, SMTH1_59070.1	Smp_024520.1
OG0000766	SMTH1_70180.1	Smp_127460.1, Smp_127460.2
OG0000767	SMTH1_72600.1, SMTH1_72600.3, SMTH1_72600.4, SMTH1_72600.2	Smp_243680.1
OG0000768	SMTH1_44560.3, SMTH1_44560.2, SMTH1_44560.1, SMTH1_44560.4, SMTH1_44560.5, SMTH1_44560.6	Smp_049390.1
OG0000769	SMTH1_2600.1	Smp_343570.1
OG0000770	SMTH1_19780.1	Smp_130580.1
OG0000771	SMTH1_88940.1	Smp_198020.1
OG0000771	SMTH1_88970.1, SMTH1_88970.2, SMTH1_88940.2	Smp_312560.1, Smp_316120.1, Smp_316130.1
OG0000772	SMTH1_18570.1	Smp_306350.1, Smp_099090.1, Smp_333000.1
OG0000773	SMTH1_28520.1, SMTH1_28520.3, SMTH1_28520.10, SMTH1_28520.6, SMTH1_28520.8, SMTH1_28520.12, SMTH1_28520.5, SMTH1_28520.9, SMTH1_28520.11, SMTH1_28520.4, SMTH1_28520.7, SMTH1_28520.2	Smp_162030.1, Smp_162030.2
OG0000774	SMTH1_52570.1, SMTH1_52570.2, SMTH1_52580.1	Smp_131070.1, Smp_131070.2, Smp_131070.3
OG0000775	SMTH1_57640.1	Smp_167020.1
OG0000776	SMTH1_51040.1	Smp_001360.1
OG0000776	SMTH1_62890.1, SMTH1_62890.2	Smp_032810.1
OG0000777	SMTH1_58200.1	Smp_130070.2, Smp_130070.3, Smp_130070.4, Smp_130070.1
OG0000778	SMTH1_25480.1, SMTH1_25470.1	Smp_306370.1
OG0000779	SMTH1_4240.1, SMTH1_4250.1	Smp_171600.1
OG0000780	SMTH1_16610.1, SMTH1_16610.3, SMTH1_16610.4, SMTH1_16610.5, SMTH1_16610.2, SMTH1_16610.6, SMTH1_16610.7, SMTH1_16610.8	Smp_146830.1, Smp_146830.3, Smp_146830.2
OG0000781	SMTH1_12540.1	Smp_143130.1
OG0000781	SMTH1_510.1, SMTH1_500.1	Smp_048560.2
OG0000782	SMTH1_35180.1	Smp_161680.1
OG0000783	SMTH1_56560.1, SMTH1_56570.1	Smp_337480.1, Smp_337480.2
OG0000784	SMTH1_35080.1, SMTH1_35070.1	Smp_094340.1
OG0000785	SMTH1_65420.1	Smp_194420.1
OG0000786	SMTH1_45450.3, SMTH1_45450.4, SMTH1_45450.1, SMTH1_45450.2	Smp_247200.1
OG0000787	SMTH1_103200.3, SMTH1_103200.1, SMTH1_103200.2	Smp_300570.1
OG0000787	SMTH1_66240.1	Smp_121920.1, Smp_121920.2
OG0000788	SMTH1_15130.2, SMTH1_15130.1, SMTH1_15130.3	Smp_058360.1
OG0000789	SMTH1_28270.1	Smp_123840.1
OG0000789	SMTH1_28250.1	Smp_123860.1
OG0000790	SMTH1_43750.1	Smp_247160.2, Smp_247160.1
OG0000791	SMTH1_47620.1	Smp_343700.1, Smp_343700.2
OG0000792	SMTH1_6460.2, SMTH1_6460.3, SMTH1_6460.5, SMTH1_6460.1, SMTH1_6460.4, SMTH1_6460.6	Smp_158720.1
OG0000793	SMTH1_37990.1	Smp_140330.1
OG0000794	SMTH1_11410.1, SMTH1_11410.2, SMTH1_11410.3, SMTH1_11410.8, SMTH1_11410.4, SMTH1_11410.7, SMTH1_11410.5, SMTH1_11410.6	Smp_335080.1, Smp_334400.1, Smp_159110.1
OG0000795	SMTH1_105730.1	Smp_125340.1, Smp_125340.2
OG0000796	SMTH1_17520.1	Smp_151200.1, Smp_151210.1
OG0000796	SMTH1_17510.1	Smp_333180.1
OG0000797	SMTH1_21980.3, SMTH1_21980.2, SMTH1_21980.5, SMTH1_21980.6, SMTH1_21980.4, SMTH1_21980.1	Smp_039820.1
OG0000798	SMTH1_40700.1, SMTH1_1540.1, SMTH1_1540.4, SMTH1_1540.2, SMTH1_1540.3	Smp_341650.1
OG0000799	SMTH1_74240.1	Smp_030320.1
OG0000800	SMTH1_11290.1, SMTH1_11280.1	Smp_244710.1
OG0000801	SMTH1_17420.1, SMTH1_17420.2, SMTH1_17420.3, SMTH1_17420.4	Smp_020550.1, Smp_020550.3, Smp_020550.2
OG0000802	SMTH1_81570.1	Smp_137020.1
OG0000802	SMTH1_65130.1	Smp_340590.1
OG0000803	SMTH1_88060.5, SMTH1_88040.1, SMTH1_88040.2, SMTH1_88040.3, SMTH1_88040.6, SMTH1_88060.3, SMTH1_88060.8, SMTH1_88060.9, SMTH1_88040.4, SMTH1_88040.5, SMTH1_88060.1, SMTH1_88060.2, SMTH1_88060.4, SMTH1_88060.6, SMTH1_88060.7	Smp_212940.1
OG0000804	SMTH1_46010.1, SMTH1_46020.1	Smp_332620.1
OG0000805	SMTH1_40300.3, SMTH1_40300.4, SMTH1_40300.2, SMTH1_40300.1, SMTH1_40300.5	Smp_010280.1
OG0000806	SMTH1_82030.1, SMTH1_82030.2, SMTH1_82030.4, SMTH1_82030.5, SMTH1_82030.6, SMTH1_82030.8, SMTH1_82030.3, SMTH1_82030.7	Smp_127030.1
OG0000807	SMTH1_11020.1, SMTH1_11020.2	Smp_304360.1
OG0000808	SMTH1_103790.1	Smp_010690.1
OG0000808	SMTH1_103800.1	Smp_127830.1
OG0000809	SMTH1_100870.1, SMTH1_100870.2, SMTH1_100870.3	Smp_173330.1
OG0000810	SMTH1_27760.1	Smp_003670.1, Smp_003670.2
OG0000811	SMTH1_12380.1, SMTH1_12380.2, SMTH1_12380.3, SMTH1_12380.4	Smp_178750.1
OG0000812	SMTH1_13480.1, SMTH1_13480.2, SMTH1_13480.3, SMTH1_13480.4, SMTH1_13480.5, SMTH1_13480.6, SMTH1_13480.7, SMTH1_13480.8, SMTH1_13480.9	Smp_017750.1
OG0000813	SMTH1_95930.1	Smp_179270.1
OG0000814	SMTH1_70610.1	Smp_150230.1, Smp_150230.2
OG0000815	SMTH1_66210.1, SMTH1_66210.2	Smp_307960.1
OG0000816	SMTH1_93040.1, SMTH1_93040.2, SMTH1_93040.3, SMTH1_93040.4	Smp_304140.1, Smp_314620.1
OG0000817	SMTH1_98120.1, SMTH1_98120.2, SMTH1_98120.3, SMTH1_98120.4	Smp_030860.1
OG0000818	SMTH1_12800.1, SMTH1_12800.2, SMTH1_12800.3, SMTH1_12800.4	Smp_346810.1, Smp_177290.1
OG0000819	SMTH1_72750.2, SMTH1_72750.3, SMTH1_72750.1, SMTH1_72750.6, SMTH1_72750.7, SMTH1_72750.4, SMTH1_72750.5	Smp_002600.1, Smp_002600.2
OG0000820	SMTH1_93740.1	Smp_040130.1
OG0000820	SMTH1_30910.1	Smp_173280.1
OG0000821	SMTH1_54930.1	Smp_310830.1, Smp_310820.1
OG0000822	SMTH1_82810.8, SMTH1_82810.1, SMTH1_82810.4, SMTH1_82810.2, SMTH1_82810.3, SMTH1_82810.7, SMTH1_82810.5, SMTH1_82810.6	Smp_064020.1
OG0000823	SMTH1_59480.1	Smp_082810.1
OG0000823	SMTH1_103140.1	Smp_130230.1
OG0000823	SMTH1_103150.1	Smp_062300.1, Smp_062300.2
OG0000824	SMTH1_3700.1	Smp_028670.1
OG0000825	SMTH1_85800.1, SMTH1_85800.2, SMTH1_85800.3, SMTH1_85740.1	Smp_145290.1, Smp_307840.1, Smp_313560.1
OG0000826	SMTH1_61500.1, SMTH1_61500.2, SMTH1_61500.3	Smp_155630.1
OG0000827	SMTH1_83820.1	Smp_202690.1
OG0000827	SMTH1_83810.1	Smp_043120.1
OG0000828	SMTH1_100640.1, SMTH1_100650.1	Smp_159290.1, Smp_345050.1, Smp_078490.1, Smp_139450.1, Smp_193680.1, Smp_002630.1
OG0000829	SMTH1_20390.4, SMTH1_20390.6, SMTH1_20390.5, SMTH1_20390.2, SMTH1_20390.1, SMTH1_20390.3, SMTH1_20390.7	Smp_075280.1, Smp_075280.2
OG0000830	SMTH1_54680.1, SMTH1_54690.1	Smp_157410.1
OG0000831	SMTH1_47320.1, SMTH1_47320.2	Smp_040350.1
OG0000832	SMTH1_67120.3, SMTH1_67120.5, SMTH1_67120.7, SMTH1_67120.2, SMTH1_67120.4, SMTH1_67120.6, SMTH1_67120.1	Smp_029240.1
OG0000833	SMTH1_37000.1	Smp_196700.1
OG0000834	SMTH1_54470.2, SMTH1_54470.3, SMTH1_54470.1, SMTH1_54470.4	Smp_171150.1
OG0000835	SMTH1_42090.1, SMTH1_42100.1	Smp_310870.1
OG0000836	SMTH1_41490.2, SMTH1_41490.1, SMTH1_41490.3, SMTH1_41490.4	Smp_083770.1
OG0000837	SMTH1_35910.1, SMTH1_35920.1	Smp_140390.1
OG0000838	SMTH1_43440.1	Smp_213910.1
OG0000839	SMTH1_42660.1, SMTH1_42660.2, SMTH1_42660.3	Smp_071140.1
OG0000840	SMTH1_78030.1, SMTH1_78030.2	Smp_345540.1
OG0000841	SMTH1_22410.1	Smp_032510.1
OG0000842	SMTH1_74480.1	Smp_179810.1
OG0000843	SMTH1_91460.1, SMTH1_91460.2, SMTH1_91460.3	Smp_150510.1
OG0000844	SMTH1_6020.1	Smp_166560.1, Smp_166560.2
OG0000845	SMTH1_99700.4, SMTH1_99700.6, SMTH1_99700.5, SMTH1_99700.2, SMTH1_99700.3, SMTH1_99700.1	Smp_141460.1
OG0000846	SMTH1_18630.7, SMTH1_18630.1, SMTH1_18630.2, SMTH1_18630.8, SMTH1_18630.4, SMTH1_18630.5, SMTH1_18630.3, SMTH1_18630.6	Smp_341400.1
OG0000847	SMTH1_1440.1	Smp_056360.1
OG0000848	SMTH1_38620.1	Smp_343320.1
OG0000849	SMTH1_43510.1, SMTH1_43520.1, SMTH1_43500.1	Smp_196290.1
OG0000850	SMTH1_30210.1	Smp_163620.1
OG0000851	SMTH1_100880.1	Smp_173320.2, Smp_173320.1
OG0000852	SMTH1_12220.1, SMTH1_12210.1	Smp_193440.1
OG0000853	SMTH1_91960.3, SMTH1_91960.1, SMTH1_91960.2	Smp_043670.2, Smp_043670.1
OG0000854	SMTH1_41500.1, SMTH1_41500.2, SMTH1_41500.3, SMTH1_41500.4	Smp_345740.1
OG0000855	SMTH1_60720.1, SMTH1_60720.3, SMTH1_60720.4, SMTH1_60720.5, SMTH1_60720.2, SMTH1_60720.7, SMTH1_60720.6	Smp_147670.1
OG0000856	SMTH1_3560.3, SMTH1_3560.4, SMTH1_3560.1, SMTH1_3560.2	Smp_164880.1, Smp_327030.1
OG0000857	SMTH1_4810.1	Smp_139100.1, Smp_139100.3
OG0000858	SMTH1_5220.1	Smp_007650.1
OG0000860	SMTH1_66540.1	Smp_150500.1
OG0000860	SMTH1_69520.1	Smp_181470.1
OG0000861	SMTH1_13040.6, SMTH1_13040.4, SMTH1_13040.1, SMTH1_13040.10, SMTH1_13040.11, SMTH1_13040.9, SMTH1_13040.8, SMTH1_13040.3, SMTH1_13040.5, SMTH1_13040.7, SMTH1_13040.2	Smp_333080.1
OG0000862	SMTH1_33240.4, SMTH1_33240.1, SMTH1_33240.2, SMTH1_33240.3	Smp_098320.1, Smp_098320.2
OG0000863	SMTH1_8360.1, SMTH1_8350.1, SMTH1_8340.1	Smp_350030.1
OG0000864	SMTH1_44970.2, SMTH1_44970.5, SMTH1_44970.4, SMTH1_44970.1, SMTH1_44970.3	Smp_302460.1, Smp_059790.1
OG0000865	SMTH1_36960.1	Smp_007180.1, Smp_007180.2
OG0000866	SMTH1_860.1, SMTH1_54890.1, SMTH1_760.2, SMTH1_760.1	Smp_244800.1
OG0000867	SMTH1_8210.1, SMTH1_8210.2, SMTH1_8210.5, SMTH1_8210.6, SMTH1_8210.3, SMTH1_8210.4, SMTH1_8210.7	Smp_322570.1
OG0000868	SMTH1_89010.1, SMTH1_89040.1	Smp_302810.1, Smp_314020.1
OG0000869	SMTH1_99130.1	Smp_063090.1
OG0000870	SMTH1_1120.1, SMTH1_1120.2	Smp_015840.1
OG0000871	SMTH1_31750.1, SMTH1_31750.2, SMTH1_31750.3	Smp_034940.1
OG0000872	SMTH1_4660.1, SMTH1_4670.1	Smp_139030.1
OG0000873	SMTH1_95870.1	Smp_162310.1
OG0000874	SMTH1_47980.1	Smp_051530.1, Smp_051530.2
OG0000875	SMTH1_69390.1, SMTH1_69390.2, SMTH1_69390.3	Smp_160600.2, Smp_160600.1
OG0000876	SMTH1_26410.1	Smp_171020.1
OG0000877	SMTH1_8260.1, SMTH1_8260.3, SMTH1_8260.2	Smp_171860.1
OG0000878	SMTH1_20380.1, SMTH1_20380.2	Smp_341200.1, Smp_341200.2
OG0000879	SMTH1_64910.1	Smp_333470.1, Smp_335800.1, Smp_307800.1, Smp_350500.1, Smp_350500.2, Smp_325630.1, Smp_138000.1, Smp_325620.1, Smp_325610.1
OG0000880	SMTH1_88590.1	Smp_055720.1
OG0000881	SMTH1_5240.1	Smp_126260.1
OG0000881	SMTH1_100740.1	Smp_214000.1
OG0000882	SMTH1_24510.1	Smp_333390.1, Smp_333390.2
OG0000882	SMTH1_44720.1	Smp_148670.1
OG0000883	SMTH1_44710.4, SMTH1_44710.1, SMTH1_44710.2, SMTH1_44710.3, SMTH1_44710.5, SMTH1_44710.6	Smp_148660.1
OG0000884	SMTH1_43810.1, SMTH1_43810.2, SMTH1_43810.3, SMTH1_43790.1	Smp_171790.1
OG0000886	SMTH1_78130.5, SMTH1_78130.3, SMTH1_78130.1, SMTH1_78130.2, SMTH1_78130.4	Smp_085290.1
OG0000887	SMTH1_21650.1, SMTH1_21650.2, SMTH1_21650.3, SMTH1_21650.4	Smp_157920.1
OG0000888	SMTH1_87560.1	Smp_247480.1
OG0000888	SMTH1_87600.1, SMTH1_87580.1	Smp_055240.1
OG0000889	SMTH1_30720.3, SMTH1_30720.4, SMTH1_30720.1, SMTH1_30720.2, SMTH1_30720.5	Smp_167330.1
OG0000890	SMTH1_45630.1	Smp_172060.1
OG0000891	SMTH1_41350.1	Smp_144570.1
OG0000892	SMTH1_57940.2, SMTH1_57940.1, SMTH1_57940.3	Smp_045360.1
OG0000894	SMTH1_97380.1	Smp_165000.1
OG0000895	SMTH1_49020.1	Smp_155330.1
OG0000896	SMTH1_23230.1, SMTH1_23240.1, SMTH1_23250.1	Smp_307090.1
OG0000897	SMTH1_11390.1, SMTH1_11400.1	Smp_159120.1, Smp_159130.1
OG0000898	SMTH1_80190.1, SMTH1_80190.2, SMTH1_80190.3, SMTH1_80190.4, SMTH1_80190.5, SMTH1_80190.6	Smp_213760.1
OG0000899	SMTH1_16070.1	Smp_132180.1
OG0000900	SMTH1_4180.1, SMTH1_4190.1	Smp_304260.1, Smp_304250.1
OG0000901	SMTH1_69630.7, SMTH1_69630.8, SMTH1_69630.5, SMTH1_69630.6, SMTH1_69630.10, SMTH1_69630.11, SMTH1_69630.9, SMTH1_69630.1, SMTH1_69630.2, SMTH1_69630.3, SMTH1_69630.4	Smp_181390.1
OG0000902	SMTH1_61360.1, SMTH1_61360.2, SMTH1_61360.3, SMTH1_61360.4, SMTH1_61360.5, SMTH1_61360.7, SMTH1_61360.6	Smp_194520.1
OG0000903	SMTH1_17150.1, SMTH1_17150.2	Smp_135270.1
OG0000904	SMTH1_5860.3, SMTH1_5860.1, SMTH1_5860.2, SMTH1_5860.4, SMTH1_5860.5	Smp_331780.1
OG0000905	SMTH1_87750.3, SMTH1_87750.1, SMTH1_87750.5, SMTH1_87750.4, SMTH1_87750.6, SMTH1_87750.2	Smp_180790.1
