Orthogroup	schistosoma_mattheei	schistosoma_bovis
OG0000290	SMTH1_30310.1	SBOV2_40180.2
OG0000290	SMTH1_24730.2, SMTH1_24730.1	SBOV2_21760.1, SBOV2_21760.3
OG0000291	SMTH1_19940.1, SMTH1_19940.2, SMTH1_19940.7, SMTH1_19940.8, SMTH1_19940.3, SMTH1_19940.4, SMTH1_19940.5, SMTH1_19940.6, SMTH1_19940.9	SBOV2_17500.6, SBOV2_17500.1, SBOV2_17500.3, SBOV2_17500.5, SBOV2_17500.7, SBOV2_17500.2, SBOV2_17500.4, SBOV2_17500.8
OG0000292	SMTH1_38130.6, SMTH1_38130.8, SMTH1_38130.1, SMTH1_38130.2, SMTH1_38130.3, SMTH1_38130.7, SMTH1_38130.4, SMTH1_38130.5	SBOV2_33310.1
OG0000293	SMTH1_31010.1	SBOV2_39630.1
OG0000293	SMTH1_67390.1	SBOV2_60200.1
OG0000293	SMTH1_53020.1	SBOV2_46880.1
OG0000294	SMTH1_4420.1, SMTH1_4420.2	SBOV2_3910.7, SBOV2_3910.5, SBOV2_3910.6, SBOV2_3910.1, SBOV2_3910.3, SBOV2_3910.8, SBOV2_3910.9
OG0000295	SMTH1_95970.1, SMTH1_95980.1	SBOV2_85690.1, SBOV2_85680.1
OG0000295	SMTH1_95940.1, SMTH1_95950.1	SBOV2_85660.1, SBOV2_85670.1
OG0000295	SMTH1_95990.1, SMTH1_96010.1, SMTH1_96010.2	SBOV2_85710.1
OG0000296	SMTH1_10470.1, SMTH1_10480.1	SBOV2_96850.3, SBOV2_96850.1, SBOV2_96860.1, SBOV2_96850.2
OG0000298	SMTH1_48290.1	SBOV2_42540.1, SBOV2_42540.2
OG0000298	SMTH1_49580.1, SMTH1_49580.2, SMTH1_49580.3	SBOV2_43790.1, SBOV2_43800.1
OG0000299	SMTH1_66860.1, SMTH1_66870.1	SBOV2_59670.1
OG0000300	SMTH1_12620.1	SBOV2_11080.1, SBOV2_11080.2, SBOV2_11080.3, SBOV2_11080.4, SBOV2_11080.5
OG0000301	SMTH1_86600.2, SMTH1_86600.4, SMTH1_86600.3, SMTH1_86600.1, SMTH1_86600.5, SMTH1_86600.6	SBOV2_76920.2, SBOV2_76920.1, SBOV2_76920.3
OG0000302	SMTH1_65460.4, SMTH1_65460.6, SMTH1_65460.7	SBOV2_58560.8, SBOV2_58560.9, SBOV2_58560.1, SBOV2_58560.4
OG0000303	SMTH1_16450.1	SBOV2_14450.7, SBOV2_14450.9, SBOV2_14450.6, SBOV2_14450.1, SBOV2_14450.8, SBOV2_14450.4, SBOV2_14450.5, SBOV2_14450.2, SBOV2_14450.3
OG0000304	SMTH1_14160.5, SMTH1_14160.1, SMTH1_14160.3, SMTH1_14160.6, SMTH1_14160.7, SMTH1_14160.2, SMTH1_14160.10, SMTH1_14160.8, SMTH1_14160.4, SMTH1_14160.9	SBOV2_12430.1
OG0000305	SMTH1_57660.1, SMTH1_57660.4	SBOV2_53840.1
OG0000306	SMTH1_8790.8, SMTH1_8790.9, SMTH1_8790.7, SMTH1_8790.4, SMTH1_8790.6, SMTH1_8790.1, SMTH1_8790.2, SMTH1_8790.3, SMTH1_8790.5	SBOV2_7710.1
OG0000307	SMTH1_7590.1, SMTH1_7590.2	SBOV2_6560.1
OG0000307	SMTH1_101160.3, SMTH1_101160.2, SMTH1_101160.1	SBOV2_90170.1
OG0000308	SMTH1_34470.1, SMTH1_34480.1	SBOV2_36580.1
OG0000308	SMTH1_670.1, SMTH1_680.1, SMTH1_680.2, SMTH1_680.4, SMTH1_680.5, SMTH1_680.3	SBOV2_630.1, SBOV2_620.1, SBOV2_620.2, SBOV2_610.1, SBOV2_610.2, SBOV2_610.3, SBOV2_610.4, SBOV2_610.5, SBOV2_610.6
OG0000310	SMTH1_42520.1, SMTH1_42530.1	SBOV2_29320.1
OG0000310	SMTH1_42460.1, SMTH1_42480.1	SBOV2_29340.1, SBOV2_29330.3, SBOV2_29330.2, SBOV2_29330.4, SBOV2_29330.1, SBOV2_29330.5
OG0000311	SMTH1_20780.1	SBOV2_18260.2, SBOV2_18260.4, SBOV2_18260.1, SBOV2_18260.3
OG0000312	SMTH1_36340.1	SBOV2_34940.10, SBOV2_34940.2
OG0000312	SMTH1_36340.4, SMTH1_36340.6, SMTH1_36340.7, SMTH1_36340.3, SMTH1_36340.5, SMTH1_36340.2	SBOV2_34940.8, SBOV2_34940.3, SBOV2_34940.4, SBOV2_34940.6, SBOV2_34940.7, SBOV2_34940.1, SBOV2_34940.11, SBOV2_34940.5, SBOV2_34940.9
OG0000313	SMTH1_16510.8, SMTH1_16510.9, SMTH1_16510.1, SMTH1_16510.2, SMTH1_16510.3, SMTH1_16510.4, SMTH1_16510.5, SMTH1_16510.10, SMTH1_16510.6, SMTH1_16510.7	SBOV2_14500.1, SBOV2_14500.3, SBOV2_14500.4, SBOV2_14500.5, SBOV2_14500.7, SBOV2_14500.8, SBOV2_14500.9, SBOV2_14500.2, SBOV2_14500.6
OG0000314	SMTH1_41640.3, SMTH1_41640.4, SMTH1_41640.8, SMTH1_41640.5, SMTH1_41640.2, SMTH1_41640.6, SMTH1_41640.1, SMTH1_41640.7	SBOV2_30030.1, SBOV2_30030.2
OG0000315	SMTH1_37060.1	SBOV2_34340.1
OG0000315	SMTH1_72180.1	SBOV2_64490.1
OG0000316	SMTH1_20150.1, SMTH1_20150.2, SMTH1_20150.5, SMTH1_20150.9, SMTH1_20150.3, SMTH1_20150.4, SMTH1_20150.6, SMTH1_20150.7, SMTH1_20150.8	SBOV2_17660.1
OG0000317	SMTH1_1590.3, SMTH1_1590.4, SMTH1_1590.1, SMTH1_1590.2, SMTH1_1590.5	SBOV2_1370.2, SBOV2_1370.3, SBOV2_1370.5, SBOV2_1370.1, SBOV2_1370.4, SBOV2_1370.6, SBOV2_1370.7, SBOV2_1370.8
OG0000318	SMTH1_54910.1, SMTH1_54910.4, SMTH1_54910.6, SMTH1_54910.3, SMTH1_54910.5, SMTH1_54910.2	SBOV2_48490.1
OG0000319	SMTH1_38170.1	SBOV2_33280.7, SBOV2_33280.1, SBOV2_33280.3, SBOV2_33280.2, SBOV2_33280.4, SBOV2_33280.5, SBOV2_33280.6, SBOV2_33280.8
OG0000320	SMTH1_22490.1	SBOV2_19820.1
OG0000320	SMTH1_32830.1, SMTH1_32830.2	SBOV2_38020.1
OG0000320	SMTH1_61810.1	SBOV2_50160.1
OG0000321	SMTH1_41480.4, SMTH1_41480.2, SMTH1_41480.1, SMTH1_41480.3	SBOV2_30310.2, SBOV2_30310.3, SBOV2_30310.1, SBOV2_30310.4
OG0000322	SMTH1_30840.1, SMTH1_30840.3, SMTH1_30840.4, SMTH1_30840.5, SMTH1_30840.6, SMTH1_30840.7, SMTH1_30840.2	SBOV2_39740.1, SBOV2_39740.4, SBOV2_39740.5, SBOV2_39740.7, SBOV2_39740.8, SBOV2_39740.3, SBOV2_39740.6
OG0000323	SMTH1_1990.1, SMTH1_1990.2	SBOV2_1680.1, SBOV2_1680.2, SBOV2_1680.3
OG0000324	SMTH1_55310.1	SBOV2_48810.10, SBOV2_48810.7, SBOV2_48810.11, SBOV2_48810.9, SBOV2_48810.2, SBOV2_48810.8, SBOV2_48810.3, SBOV2_48810.1, SBOV2_48810.4, SBOV2_48810.5, SBOV2_48810.6, SBOV2_48810.12, SBOV2_48810.13, SBOV2_48810.14, SBOV2_48810.15
OG0000325	SMTH1_89560.7	SBOV2_79610.7
OG0000326	SMTH1_66040.1	SBOV2_59020.1, SBOV2_59020.4, SBOV2_59020.3, SBOV2_59020.7, SBOV2_59020.2, SBOV2_59020.5, SBOV2_59020.6
OG0000327	SMTH1_78160.1, SMTH1_78170.1	SBOV2_69860.2, SBOV2_69860.3, SBOV2_69870.1, SBOV2_69870.2, SBOV2_69870.5, SBOV2_69870.6, SBOV2_69870.3, SBOV2_69870.4, SBOV2_69860.1
OG0000328	SMTH1_31580.2, SMTH1_31580.3, SMTH1_31580.5, SMTH1_31580.6, SMTH1_31580.1, SMTH1_31580.4	SBOV2_39100.1
OG0000329	SMTH1_16110.1	SBOV2_14150.1, SBOV2_14150.2, SBOV2_14150.5, SBOV2_14150.3, SBOV2_14150.8, SBOV2_14150.9
OG0000329	SMTH1_16100.1	SBOV2_14150.7, SBOV2_14150.6, SBOV2_14150.4
OG0000332	SMTH1_73490.1, SMTH1_73490.2	SBOV2_65730.1
OG0000333	SMTH1_7130.7, SMTH1_7130.8, SMTH1_7130.3, SMTH1_7130.6, SMTH1_7130.1, SMTH1_7130.4, SMTH1_7130.5, SMTH1_7130.2	SBOV2_6170.4, SBOV2_6170.3, SBOV2_6170.6, SBOV2_6170.1, SBOV2_6170.2, SBOV2_6170.5
OG0000334	SMTH1_82920.7, SMTH1_82920.5, SMTH1_82920.6, SMTH1_82920.8, SMTH1_82920.4	SBOV2_73650.1
OG0000335	SMTH1_2830.1	SBOV2_2440.4, SBOV2_2440.6, SBOV2_2440.3, SBOV2_2440.2, SBOV2_2440.1, SBOV2_2440.5, SBOV2_2440.7, SBOV2_2440.8
OG0000336	SMTH1_5100.1	SBOV2_4460.1
OG0000336	SMTH1_19830.2, SMTH1_19830.4, SMTH1_19830.1, SMTH1_19830.3	SBOV2_17400.1
OG0000337	SMTH1_59710.1	SBOV2_52000.1
OG0000337	SMTH1_39720.1	SBOV2_31830.2, SBOV2_31830.5, SBOV2_31830.4, SBOV2_31830.3, SBOV2_31830.1
OG0000339	SMTH1_33830.1	SBOV2_37090.1, SBOV2_37090.2, SBOV2_37100.1
OG0000340	SMTH1_106510.2	SBOV2_94970.1
OG0000340	SMTH1_106510.1	SBOV2_94970.3
OG0000340	SMTH1_106510.4	SBOV2_94970.2
OG0000341	SMTH1_107240.2, SMTH1_61890.2, SMTH1_61890.4, SMTH1_30430.1	SBOV2_49860.1
OG0000342	SMTH1_20830.1	SBOV2_18300.1
OG0000342	SMTH1_5410.1, SMTH1_5410.2	SBOV2_4730.1
OG0000342	SMTH1_21160.1	SBOV2_18580.1
OG0000343	SMTH1_36260.2, SMTH1_36260.4, SMTH1_36260.6, SMTH1_36260.9, SMTH1_36260.3, SMTH1_36260.7, SMTH1_36260.8, SMTH1_36260.5	SBOV2_35000.6, SBOV2_35000.7, SBOV2_35000.3
OG0000344	SMTH1_6920.5, SMTH1_6920.6, SMTH1_6920.7, SMTH1_6920.1, SMTH1_6920.2, SMTH1_6920.3, SMTH1_6920.4	SBOV2_5990.1, SBOV2_5990.2, SBOV2_5990.3, SBOV2_5990.4
OG0000345	SMTH1_62600.4	SBOV2_55690.2, SBOV2_55690.1
OG0000346	SMTH1_31360.1	SBOV2_39290.1
OG0000346	SMTH1_103110.1, SMTH1_103100.1	SBOV2_91740.1, SBOV2_91740.2, SBOV2_91740.3
OG0000347	SMTH1_33790.8, SMTH1_33790.5, SMTH1_33790.6, SMTH1_33790.2, SMTH1_33790.4, SMTH1_33790.7, SMTH1_33790.1, SMTH1_33790.3	SBOV2_37150.3, SBOV2_37150.1, SBOV2_37150.4, SBOV2_37150.5, SBOV2_37150.6, SBOV2_37150.2
OG0000348	SMTH1_6500.7, SMTH1_6500.1, SMTH1_6500.2, SMTH1_6500.3, SMTH1_6500.4, SMTH1_6500.5, SMTH1_6500.6	SBOV2_5660.4, SBOV2_5660.3, SBOV2_5660.5, SBOV2_5660.8, SBOV2_5660.1, SBOV2_5660.6
OG0000349	SMTH1_1010.9, SMTH1_1010.10, SMTH1_1010.2, SMTH1_1010.4, SMTH1_1010.7, SMTH1_1010.8, SMTH1_1010.6, SMTH1_1010.1, SMTH1_1010.3, SMTH1_1010.5	SBOV2_890.13, SBOV2_890.15, SBOV2_890.10, SBOV2_890.14, SBOV2_890.11, SBOV2_890.12, SBOV2_890.1, SBOV2_890.17, SBOV2_890.8, SBOV2_890.2, SBOV2_890.7, SBOV2_890.6, SBOV2_890.5, SBOV2_890.9, SBOV2_890.16, SBOV2_890.3, SBOV2_890.4
OG0000350	SMTH1_42850.4, SMTH1_42850.1, SMTH1_42850.3, SMTH1_42850.2	SBOV2_29060.13, SBOV2_29060.16, SBOV2_29060.17
OG0000352	SMTH1_38940.1	SBOV2_32600.3, SBOV2_32600.4, SBOV2_32600.9
OG0000353	SMTH1_78670.1	SBOV2_70190.1
OG0000354	SMTH1_3510.1, SMTH1_3510.2	SBOV2_3000.1
OG0000355	SMTH1_8920.1, SMTH1_8900.1	SBOV2_7560.4, SBOV2_7600.1, SBOV2_7560.2, SBOV2_7560.3, SBOV2_7560.1, SBOV2_7560.6, SBOV2_7560.7, SBOV2_7560.9, SBOV2_7560.5
OG0000355	SMTH1_8910.1	SBOV2_54750.1
OG0000356	SMTH1_7740.1	SBOV2_6680.2, SBOV2_6680.1, SBOV2_6680.4, SBOV2_6680.7, SBOV2_6680.8, SBOV2_6680.10, SBOV2_6680.3, SBOV2_6680.6, SBOV2_6680.9
OG0000357	SMTH1_47600.10	SBOV2_41910.15
OG0000357	SMTH1_47600.10	SBOV2_41910.2
OG0000357	SMTH1_47600.2	SBOV2_41910.1
OG0000357	SMTH1_47600.3	SBOV2_41910.1
OG0000357	SMTH1_47600.4	SBOV2_41910.1
OG0000357	SMTH1_47600.5	SBOV2_41910.1
OG0000358	SMTH1_71990.1, SMTH1_72000.1, SMTH1_72010.1, SMTH1_72020.1	SBOV2_64300.1
OG0000358	SMTH1_71980.1, SMTH1_71980.2	SBOV2_64290.1
OG0000359	SMTH1_17650.3, SMTH1_17650.1, SMTH1_17650.2, SMTH1_17650.5, SMTH1_17650.4, SMTH1_17650.6	SBOV2_15500.9, SBOV2_15500.4, SBOV2_15500.3, SBOV2_15500.5, SBOV2_15500.1, SBOV2_15500.2, SBOV2_15500.7, SBOV2_15500.8, SBOV2_15500.6
OG0000360	SMTH1_21770.1, SMTH1_21770.2, SMTH1_21770.3, SMTH1_21770.4	SBOV2_19210.1, SBOV2_19210.6, SBOV2_19210.3, SBOV2_19210.5, SBOV2_19210.4, SBOV2_19210.2
OG0000361	SMTH1_54790.1, SMTH1_54790.2	SBOV2_48400.2, SBOV2_48400.3, SBOV2_48400.4, SBOV2_48400.5, SBOV2_48400.1, SBOV2_48400.6, SBOV2_48400.7, SBOV2_48400.8
OG0000362	SMTH1_69310.1, SMTH1_69310.2, SMTH1_69310.3	SBOV2_61850.2, SBOV2_61850.1, SBOV2_61850.5, SBOV2_61850.3, SBOV2_61850.4, SBOV2_61850.6
OG0000363	SMTH1_47960.1, SMTH1_47970.1	SBOV2_42250.3, SBOV2_42250.7, SBOV2_42250.2, SBOV2_42250.4, SBOV2_42250.6, SBOV2_42250.1, SBOV2_42250.5
OG0000364	SMTH1_28870.1	SBOV2_25590.3, SBOV2_25590.5, SBOV2_25590.1, SBOV2_25590.2, SBOV2_25590.4
OG0000365	SMTH1_65030.1	SBOV2_57990.1
OG0000365	SMTH1_65020.1	SBOV2_58000.5, SBOV2_58000.7, SBOV2_58000.6
OG0000365	SMTH1_65040.1	SBOV2_58000.1, SBOV2_58000.3, SBOV2_58000.4, SBOV2_58000.2
OG0000366	SMTH1_55270.1, SMTH1_55270.2, SMTH1_55270.3	SBOV2_48780.6, SBOV2_48780.7, SBOV2_48780.12, SBOV2_48780.1, SBOV2_48780.10, SBOV2_48780.8, SBOV2_48780.3, SBOV2_48780.4, SBOV2_48780.9, SBOV2_48780.2, SBOV2_48780.11, SBOV2_48780.5, SBOV2_48780.13, SBOV2_48780.14, SBOV2_48780.15
OG0000367	SMTH1_35390.4, SMTH1_35390.8, SMTH1_35390.6, SMTH1_35390.2, SMTH1_35390.7, SMTH1_35390.1, SMTH1_35390.5, SMTH1_35390.3	SBOV2_35770.8, SBOV2_35770.10, SBOV2_35770.7, SBOV2_35770.5, SBOV2_35770.4, SBOV2_35770.1, SBOV2_35770.3, SBOV2_35770.2, SBOV2_35770.6, SBOV2_35770.11, SBOV2_35770.9, SBOV2_35770.12, SBOV2_35770.13
OG0000368	SMTH1_21080.1	SBOV2_18520.14, SBOV2_18520.2, SBOV2_18520.3, SBOV2_18520.12, SBOV2_18520.8, SBOV2_18520.5, SBOV2_18520.13, SBOV2_18520.11, SBOV2_18520.7, SBOV2_18520.9, SBOV2_18520.1, SBOV2_18520.6, SBOV2_18520.10, SBOV2_18520.4
OG0000369	SMTH1_4230.1, SMTH1_4230.2, SMTH1_4230.3, SMTH1_4230.4, SMTH1_4230.5, SMTH1_4230.7, SMTH1_4230.6	SBOV2_3720.1, SBOV2_3720.11, SBOV2_3720.3, SBOV2_3720.14, SBOV2_3720.5, SBOV2_3720.7, SBOV2_3720.2, SBOV2_3720.10, SBOV2_3720.12, SBOV2_3720.13, SBOV2_3720.4, SBOV2_3720.8, SBOV2_3720.9, SBOV2_3720.6
OG0000370	SMTH1_44190.1	SBOV2_28060.1
OG0000372	SMTH1_11090.1	SBOV2_9640.1, SBOV2_9640.2
OG0000372	SMTH1_11070.1	SBOV2_9620.2, SBOV2_9620.3
OG0000373	SMTH1_14340.2, SMTH1_14340.4, SMTH1_14340.1, SMTH1_14340.5, SMTH1_14340.3	SBOV2_12600.8, SBOV2_12600.2, SBOV2_12600.7, SBOV2_12600.1
OG0000374	SMTH1_46330.3, SMTH1_46330.4, SMTH1_46330.1, SMTH1_46330.2	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3
OG0000375	SMTH1_5170.1	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7
OG0000376	SMTH1_67410.1	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4
OG0000377	SMTH1_57780.1, SMTH1_57780.2, SMTH1_57780.4, SMTH1_57780.5, SMTH1_57780.3	SBOV2_53730.3, SBOV2_53730.2, SBOV2_53730.1
OG0000378	SMTH1_27170.1	SBOV2_23960.1, SBOV2_23960.2
OG0000380	SMTH1_23950.1	SBOV2_21070.1
OG0000381	SMTH1_59220.1	SBOV2_52480.5, SBOV2_52480.1, SBOV2_52480.4, SBOV2_52480.2, SBOV2_52480.3, SBOV2_52480.7
OG0000381	SMTH1_59230.1	SBOV2_52470.1
OG0000382	SMTH1_99460.1, SMTH1_99560.1	SBOV2_88420.1, SBOV2_88430.1, SBOV2_88440.1
OG0000383	SMTH1_42210.1	SBOV2_29570.1, SBOV2_29570.2
OG0000384	SMTH1_35510.1, SMTH1_35510.2, SMTH1_35510.5, SMTH1_35510.6, SMTH1_35510.7	SBOV2_35660.1
OG0000384	SMTH1_35510.3, SMTH1_35510.4	SBOV2_35690.1
OG0000385	SMTH1_69230.1	SBOV2_61800.1
OG0000385	SMTH1_69250.1, SMTH1_69260.1	SBOV2_61810.1, SBOV2_61820.1
OG0000386	SMTH1_23310.1, SMTH1_23310.2, SMTH1_23310.3, SMTH1_23320.1	SBOV2_20490.1, SBOV2_20490.2
OG0000388	SMTH1_100000.11	SBOV2_88060.4
OG0000388	SMTH1_100000.6, SMTH1_100000.7, SMTH1_100000.8, SMTH1_100000.4, SMTH1_100000.5, SMTH1_100000.9, SMTH1_100000.1, SMTH1_100000.2, SMTH1_100000.3, SMTH1_100000.10	SBOV2_88060.1, SBOV2_88060.2, SBOV2_88060.6, SBOV2_88060.7, SBOV2_88060.3, SBOV2_88060.5
OG0000389	SMTH1_81830.1, SMTH1_81830.2	SBOV2_72750.4, SBOV2_72750.9, SBOV2_72750.7, SBOV2_72750.2, SBOV2_72750.8, SBOV2_72750.3, SBOV2_72750.1, SBOV2_72750.5, SBOV2_72750.6
OG0000390	SMTH1_92330.1, SMTH1_92330.2	SBOV2_82360.1
OG0000391	SMTH1_15480.1, SMTH1_15480.2, SMTH1_15480.3	SBOV2_13620.1, SBOV2_13620.2, SBOV2_13620.4, SBOV2_13620.3, SBOV2_13620.5
OG0000392	SMTH1_68620.1	SBOV2_61300.1, SBOV2_61300.3
OG0000393	SMTH1_50810.1	SBOV2_44880.2, SBOV2_44880.5, SBOV2_44880.8, SBOV2_44880.1, SBOV2_44880.3, SBOV2_44880.4, SBOV2_44880.6, SBOV2_44880.7
OG0000394	SMTH1_67930.1	SBOV2_60700.1, SBOV2_60700.3, SBOV2_60700.2, SBOV2_60700.7, SBOV2_60700.4, SBOV2_60700.5, SBOV2_60700.6
OG0000395	SMTH1_88450.1	SBOV2_78590.1
OG0000396	SMTH1_5130.2, SMTH1_5130.4, SMTH1_5130.1, SMTH1_5130.6, SMTH1_5130.3, SMTH1_5130.5	SBOV2_4480.3, SBOV2_4480.5, SBOV2_4480.1, SBOV2_4480.2, SBOV2_4480.4, SBOV2_4480.6, SBOV2_4480.7
OG0000397	SMTH1_88170.1, SMTH1_88170.11, SMTH1_88170.13, SMTH1_88170.14, SMTH1_88170.15, SMTH1_88170.16, SMTH1_88170.2, SMTH1_88170.3, SMTH1_88170.4, SMTH1_88170.5, SMTH1_88170.6, SMTH1_88170.7, SMTH1_88170.8, SMTH1_88170.9, SMTH1_88170.10, SMTH1_88170.12	SBOV2_78330.1, SBOV2_78330.2, SBOV2_78330.3, SBOV2_78330.4, SBOV2_78330.6, SBOV2_78330.5
OG0000398	SMTH1_21850.1	SBOV2_19290.1
OG0000398	SMTH1_24970.1	SBOV2_21960.1
OG0000398	SMTH1_24900.1	SBOV2_21920.1
OG0000399	SMTH1_31160.3	SBOV2_39470.1, SBOV2_39460.1
OG0000399	SMTH1_31150.1	SBOV2_39480.1
OG0000400	SMTH1_50760.1, SMTH1_50760.2	SBOV2_44810.1
OG0000400	SMTH1_49700.1	SBOV2_43910.1
OG0000401	SMTH1_105110.1	SBOV2_93690.1
OG0000402	SMTH1_12630.2, SMTH1_12630.3, SMTH1_12630.1, SMTH1_12630.4, SMTH1_12630.5	SBOV2_11090.2, SBOV2_11090.3, SBOV2_11090.6, SBOV2_11090.5, SBOV2_11090.1, SBOV2_11090.4
OG0000403	SMTH1_3790.5, SMTH1_3790.1, SMTH1_3790.6, SMTH1_3790.2, SMTH1_3790.3, SMTH1_3790.4	SBOV2_3240.1, SBOV2_3240.2, SBOV2_3240.4, SBOV2_3240.5, SBOV2_3240.6, SBOV2_3240.3, SBOV2_3240.7, SBOV2_3240.8
OG0000404	SMTH1_90030.1	SBOV2_80930.1, SBOV2_80930.2
OG0000404	SMTH1_90020.1, SMTH1_90010.1	SBOV2_80950.1, SBOV2_80940.1
OG0000405	SMTH1_41730.1	SBOV2_29930.3, SBOV2_29930.5
OG0000406	SMTH1_42780.1	SBOV2_29100.2, SBOV2_29100.5, SBOV2_29100.1, SBOV2_29100.3, SBOV2_29100.6, SBOV2_29100.7, SBOV2_29100.4
OG0000407	SMTH1_69330.1, SMTH1_69330.5	SBOV2_61870.1
OG0000408	SMTH1_29370.1	SBOV2_41040.3
OG0000409	SMTH1_97800.1	SBOV2_87270.11, SBOV2_87270.1, SBOV2_87270.5, SBOV2_87270.9, SBOV2_87270.2, SBOV2_87270.4, SBOV2_87270.10, SBOV2_87270.6, SBOV2_87270.8, SBOV2_87270.3, SBOV2_87270.7
OG0000410	SMTH1_76710.1, SMTH1_76700.1	SBOV2_68580.2, SBOV2_68580.1, SBOV2_68580.3, SBOV2_68580.4
OG0000411	SMTH1_30070.1	SBOV2_40390.1
OG0000413	SMTH1_67760.1, SMTH1_67760.10, SMTH1_67760.2, SMTH1_67760.4, SMTH1_67760.7, SMTH1_67760.8, SMTH1_67760.9, SMTH1_67760.3, SMTH1_67760.5, SMTH1_67760.6	SBOV2_60530.1, SBOV2_60530.2
OG0000414	SMTH1_12080.1, SMTH1_12080.2	SBOV2_10550.1, SBOV2_10550.8, SBOV2_10550.2, SBOV2_10550.5, SBOV2_10550.7, SBOV2_10550.6, SBOV2_10550.3, SBOV2_10550.4
OG0000415	SMTH1_34180.1, SMTH1_34170.1	SBOV2_36830.2, SBOV2_36830.1, SBOV2_36830.6, SBOV2_36830.3, SBOV2_36830.4, SBOV2_36830.5
OG0000416	SMTH1_97050.1	SBOV2_86620.1
OG0000416	SMTH1_101360.1	SBOV2_90360.1
OG0000416	SMTH1_97040.1	SBOV2_86610.1
OG0000417	SMTH1_58150.1	SBOV2_53390.1, SBOV2_53390.2
OG0000418	SMTH1_104750.3, SMTH1_104750.4, SMTH1_104750.1, SMTH1_104750.2	SBOV2_93300.10, SBOV2_93300.5, SBOV2_93300.6, SBOV2_93300.9, SBOV2_93300.1, SBOV2_93300.2, SBOV2_93300.3, SBOV2_93300.4, SBOV2_93300.7, SBOV2_93300.8
OG0000419	SMTH1_6970.1	SBOV2_6030.13, SBOV2_6030.1, SBOV2_6030.10, SBOV2_6030.2, SBOV2_6030.3, SBOV2_6030.4, SBOV2_6030.6, SBOV2_6030.7, SBOV2_6030.8, SBOV2_6030.9, SBOV2_6030.12, SBOV2_6030.11, SBOV2_6030.5
OG0000420	SMTH1_50910.3, SMTH1_50910.4, SMTH1_50910.2, SMTH1_50910.5, SMTH1_50910.7, SMTH1_50910.1, SMTH1_50910.6	SBOV2_44980.1
OG0000421	SMTH1_74720.1	SBOV2_66820.1, SBOV2_66820.2, SBOV2_66820.5, SBOV2_66820.6
OG0000421	SMTH1_74710.1	SBOV2_66820.3, SBOV2_66820.4, SBOV2_66820.7
OG0000422	SMTH1_55980.5	SBOV2_49390.3
OG0000422	SMTH1_55980.4	SBOV2_49390.5
OG0000422	SMTH1_55980.2, SMTH1_55980.1, SMTH1_55980.6, SMTH1_55980.3, SMTH1_55980.7	SBOV2_49390.1, SBOV2_49390.6
OG0000423	SMTH1_41940.1	SBOV2_29750.1
OG0000425	SMTH1_32700.1, SMTH1_32700.2, SMTH1_32700.3	SBOV2_38140.3, SBOV2_38140.1, SBOV2_38140.4, SBOV2_38140.2
OG0000426	SMTH1_60610.2	SBOV2_51190.2, SBOV2_51190.3
OG0000426	SMTH1_60610.1	SBOV2_51190.1, SBOV2_51180.1
OG0000426	SMTH1_60590.1	SBOV2_51210.1
OG0000427	SMTH1_59330.1, SMTH1_59330.2, SMTH1_59340.1	SBOV2_52380.1
OG0000428	SMTH1_46920.1, SMTH1_46920.2, SMTH1_46920.3	SBOV2_25750.6, SBOV2_25750.7, SBOV2_25750.2, SBOV2_25750.5, SBOV2_25750.3, SBOV2_25750.1, SBOV2_25750.4
OG0000429	SMTH1_103190.1	SBOV2_91660.1
OG0000429	SMTH1_50270.1, SMTH1_50260.1	SBOV2_44500.1
OG0000430	SMTH1_35890.9	SBOV2_35310.3
OG0000431	SMTH1_54770.1, SMTH1_54770.2, SMTH1_54770.3	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5
OG0000432	SMTH1_104350.1	SBOV2_92960.1, SBOV2_92960.4, SBOV2_92960.6, SBOV2_92960.2, SBOV2_92960.3, SBOV2_92960.5
OG0000433	SMTH1_44860.1	SBOV2_27580.6
OG0000434	SMTH1_103770.1	SBOV2_92450.1, SBOV2_92450.3, SBOV2_92450.5, SBOV2_92450.4, SBOV2_92450.7, SBOV2_92450.6, SBOV2_92450.2
OG0000435	SMTH1_60860.5, SMTH1_60860.1, SMTH1_60860.6, SMTH1_60860.3, SMTH1_60860.4, SMTH1_60860.2	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8
OG0000436	SMTH1_28360.1	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3
