Orthogroup	schistosoma_mattheei	s.mekongi
OG0000630	SMTH1_65340.1	KAK4472088.1
OG0000631	SMTH1_73250.1	KAK4471440.1
OG0000631	SMTH1_68000.1, SMTH1_68010.1	KAK4471947.1
OG0000632	SMTH1_14850.1, SMTH1_14860.1	KAK4467549.1, KAK4474720.1
OG0000633	SMTH1_58580.10, SMTH1_58580.1, SMTH1_58580.13, SMTH1_58580.14, SMTH1_58580.2, SMTH1_58580.3, SMTH1_58580.5, SMTH1_58580.6, SMTH1_58580.7, SMTH1_58580.8, SMTH1_58580.9, SMTH1_58580.4, SMTH1_58580.11, SMTH1_58580.12	KAK4469491.1
OG0000636	SMTH1_105070.3, SMTH1_105070.6, SMTH1_105070.8, SMTH1_105070.2, SMTH1_105070.1, SMTH1_105070.4, SMTH1_105070.9, SMTH1_105070.7, SMTH1_105070.5	KAK4467759.1
OG0000637	SMTH1_55490.3, SMTH1_55490.1, SMTH1_55490.5, SMTH1_55490.2, SMTH1_55490.4	KAK4469224.1
OG0000638	SMTH1_71410.1	KAK4471472.1
OG0000639	SMTH1_68720.5, SMTH1_68720.1, SMTH1_68720.2, SMTH1_68720.3, SMTH1_68720.4	KAK4471799.1
OG0000640	SMTH1_95010.1, SMTH1_93890.6, SMTH1_93890.1, SMTH1_93890.2, SMTH1_93890.3, SMTH1_93890.4, SMTH1_93890.5, SMTH1_93920.1, SMTH1_93960.1, SMTH1_93860.3, SMTH1_93860.1, SMTH1_93860.2, SMTH1_93860.4, SMTH1_93860.5, SMTH1_93860.6, SMTH1_93860.7, SMTH1_93870.1, SMTH1_93860.8	KAK4468114.1
OG0000641	SMTH1_7640.1	KAK4476055.1
OG0000641	SMTH1_5190.2, SMTH1_5190.3, SMTH1_5190.1, SMTH1_5190.4	KAK4467404.1, KAK4475738.1
OG0000643	SMTH1_58010.1	KAK4469713.1
OG0000643	SMTH1_58000.1	KAK4469714.1
OG0000644	SMTH1_106090.1	KAK4467799.1
OG0000645	SMTH1_11730.1, SMTH1_11710.1	KAK4476259.1, KAK4476258.1
OG0000646	SMTH1_10090.1, SMTH1_10080.1	KAK4476243.1
OG0000647	SMTH1_69000.1	KAK4471769.1
OG0000648	SMTH1_102260.1, SMTH1_102260.2, SMTH1_102270.1	KAK4468712.1
OG0000649	SMTH1_66530.1, SMTH1_66530.2, SMTH1_66530.3	KAK4471824.1
OG0000650	SMTH1_86400.1, SMTH1_86400.5, SMTH1_86400.3, SMTH1_86400.2, SMTH1_86400.4	KAK4470771.1, KAK4470770.1, KAK4470769.1
OG0000651	SMTH1_46600.1, SMTH1_46590.3, SMTH1_46590.1, SMTH1_46590.2, SMTH1_46590.4	KAK4473422.1
OG0000652	SMTH1_44810.1	KAK4473663.1
OG0000653	SMTH1_45460.1, SMTH1_45460.2, SMTH1_45460.3, SMTH1_45470.1	KAK4473617.1
OG0000654	SMTH1_64570.1	KAK4472538.1
OG0000655	SMTH1_90060.1, SMTH1_90060.2, SMTH1_90060.3, SMTH1_90060.4	KAK4467993.1
OG0000656	SMTH1_83840.4, SMTH1_83840.1, SMTH1_83840.2, SMTH1_83840.3	KAK4470547.1
OG0000657	SMTH1_100120.1	KAK4468518.1
OG0000659	SMTH1_46560.1	KAK4473415.1
OG0000662	SMTH1_58250.1	KAK4469693.1
OG0000663	SMTH1_42170.1, SMTH1_42170.6, SMTH1_42170.7, SMTH1_42170.5, SMTH1_42170.4, SMTH1_42170.3, SMTH1_42170.2	KAK4473924.1
OG0000664	SMTH1_13880.1	KAK4467553.1
OG0000665	SMTH1_81270.4, SMTH1_81270.1, SMTH1_81270.2, SMTH1_81270.3, SMTH1_81270.5, SMTH1_81270.7, SMTH1_81270.6	KAK4470314.1
OG0000666	SMTH1_68710.1, SMTH1_68700.1	KAK4471800.1
OG0000667	SMTH1_7120.1, SMTH1_7120.2	KAK4475968.1
OG0000668	SMTH1_58460.1, SMTH1_58460.2, SMTH1_58460.3	KAK4469499.1
OG0000669	SMTH1_75690.1, SMTH1_75710.1, SMTH1_75710.2, SMTH1_75710.3, SMTH1_75700.1	KAK4471524.1
OG0000670	SMTH1_49660.1, SMTH1_49660.2	KAK4474037.1
OG0000671	SMTH1_85240.1, SMTH1_85230.1	KAK4470732.1
OG0000672	SMTH1_49200.1	KAK4472427.1
OG0000673	SMTH1_17870.7, SMTH1_17870.6, SMTH1_17870.4, SMTH1_17870.3, SMTH1_17870.2, SMTH1_17870.1, SMTH1_17870.5	KAK4474792.1, KAK4474791.1
OG0000674	SMTH1_86940.1	KAK4470823.1
OG0000675	SMTH1_80320.1	KAK4470214.1, KAK4470213.1
OG0000676	SMTH1_90120.1	KAK4467996.1
OG0000677	SMTH1_5990.1, SMTH1_5980.1	KAK4475848.1
OG0000678	SMTH1_38270.2, SMTH1_38270.1, SMTH1_38270.3	KAK4474196.1
OG0000679	SMTH1_80420.1, SMTH1_80410.1	KAK4470237.1
OG0000680	SMTH1_18680.1	KAK4474863.1
OG0000681	SMTH1_38670.1, SMTH1_38680.1, SMTH1_38690.1	KAK4474159.1
OG0000682	SMTH1_47890.1	KAK4473529.1
OG0000683	SMTH1_61300.1	KAK4469834.1
OG0000683	SMTH1_74680.1	KAK4471596.1
OG0000684	SMTH1_93730.1	KAK4468121.1
OG0000685	SMTH1_83650.1, SMTH1_83650.2, SMTH1_83650.6, SMTH1_83650.7, SMTH1_83650.8, SMTH1_83650.3, SMTH1_83650.5, SMTH1_83650.4	KAK4470335.1
OG0000686	SMTH1_66800.1, SMTH1_66800.2, SMTH1_66800.3, SMTH1_66800.4, SMTH1_66800.5, SMTH1_66800.6	KAK4471839.1
OG0000687	SMTH1_29670.1	KAK4472948.1
OG0000688	SMTH1_730.2, SMTH1_730.4, SMTH1_730.1, SMTH1_730.3, SMTH1_730.5, SMTH1_730.6	KAK4475845.1
OG0000689	SMTH1_3490.7, SMTH1_3490.1, SMTH1_3490.8, SMTH1_3490.3, SMTH1_3490.5, SMTH1_3490.4, SMTH1_3490.6, SMTH1_3490.2	KAK4475573.1
OG0000690	SMTH1_25250.2, SMTH1_25250.4, SMTH1_25250.1, SMTH1_25250.3	KAK4473380.1
OG0000692	SMTH1_18870.1, SMTH1_18870.2, SMTH1_18870.3, SMTH1_18870.5, SMTH1_18870.4	KAK4474881.1
OG0000695	SMTH1_106850.1	KAK4467842.1
OG0000695	SMTH1_50710.1	KAK4473537.1
OG0000696	SMTH1_6200.4, SMTH1_6200.5, SMTH1_6200.3, SMTH1_6200.2, SMTH1_6200.1, SMTH1_6200.6	KAK4475838.1
OG0000697	SMTH1_44870.1	KAK4473658.1
OG0000698	SMTH1_19950.1, SMTH1_19950.2, SMTH1_19950.3	KAK4475322.1
OG0000699	SMTH1_36690.1	KAK4472379.1
OG0000700	SMTH1_26580.1, SMTH1_26590.1	KAK4473015.1
OG0000701	SMTH1_67640.1, SMTH1_67640.4, SMTH1_67640.3, SMTH1_67640.5, SMTH1_67640.6, SMTH1_67640.2	KAK4471911.1
OG0000702	SMTH1_96450.1, SMTH1_96450.2	KAK4468836.1
OG0000703	SMTH1_110.1, SMTH1_110.2, SMTH1_110.3, SMTH1_110.4	KAK4475702.1
OG0000704	SMTH1_53940.1	KAK4469568.1
OG0000705	SMTH1_7030.1	KAK4475920.1
OG0000706	SMTH1_48320.1	KAK4473560.1
OG0000706	SMTH1_58350.1	KAK4469683.1
OG0000707	SMTH1_104690.1, SMTH1_104690.2	KAK4467706.1
OG0000708	SMTH1_41320.1, SMTH1_41320.2	KAK4473844.1
OG0000709	SMTH1_48660.1, SMTH1_48660.2	KAK4473581.1
OG0000710	SMTH1_9090.1, SMTH1_9100.1, SMTH1_9110.1	KAK4476143.1
OG0000711	SMTH1_82820.1, SMTH1_82820.2	KAK4470475.1
OG0000712	SMTH1_58770.1	KAK4469473.1
OG0000713	SMTH1_79750.1, SMTH1_79750.2, SMTH1_79750.3, SMTH1_79750.4, SMTH1_79750.6, SMTH1_79750.7, SMTH1_79750.5	KAK4470169.1
OG0000714	SMTH1_51560.3, SMTH1_51560.2, SMTH1_51560.1, SMTH1_107880.1, SMTH1_107880.2, SMTH1_107780.1, SMTH1_51570.1	KAK4469311.1
OG0000715	SMTH1_30250.1	KAK4473080.1
OG0000716	SMTH1_13090.1, SMTH1_13080.1	KAK4474488.1
OG0000717	SMTH1_65500.1, SMTH1_65490.1	KAK4472067.1
OG0000718	SMTH1_83100.1	KAK4470744.1
OG0000719	SMTH1_61310.1	KAK4469833.1
OG0000721	SMTH1_51020.1	KAK4469698.1
OG0000722	SMTH1_6100.6, SMTH1_6100.3, SMTH1_6100.2, SMTH1_6100.5, SMTH1_6100.1, SMTH1_6100.4	KAK4475859.1
OG0000723	SMTH1_85220.2, SMTH1_85220.3, SMTH1_85220.5, SMTH1_85220.4, SMTH1_85220.1	KAK4470731.1
OG0000724	SMTH1_46650.1, SMTH1_46650.5, SMTH1_46650.2, SMTH1_46650.3, SMTH1_46650.4, SMTH1_46650.6	KAK4473416.1
OG0000725	SMTH1_85630.3, SMTH1_85630.1, SMTH1_85630.6, SMTH1_85630.4, SMTH1_85630.5, SMTH1_85630.2	KAK4470428.1
OG0000726	SMTH1_107640.1	KAK4472444.1
OG0000726	SMTH1_33060.1	KAK4472445.1
OG0000727	SMTH1_42930.1, SMTH1_42940.1	KAK4473799.1
OG0000728	SMTH1_54100.8, SMTH1_54100.7, SMTH1_54100.1, SMTH1_54100.2, SMTH1_54100.4, SMTH1_54100.5, SMTH1_54100.6, SMTH1_54100.3	KAK4469556.1
OG0000729	SMTH1_10010.1, SMTH1_10000.1	KAK4476249.1
OG0000730	SMTH1_66840.1	KAK4471836.1
OG0000731	SMTH1_84850.4, SMTH1_84850.2, SMTH1_84850.1, SMTH1_84850.3, SMTH1_84850.5	KAK4470693.1
OG0000732	SMTH1_4060.1	KAK4475629.1
OG0000733	SMTH1_3420.1, SMTH1_3420.2, SMTH1_3420.3, SMTH1_3420.4, SMTH1_102070.1	KAK4475569.1
OG0000736	SMTH1_86850.2, SMTH1_86850.1	KAK4470813.1
OG0000737	SMTH1_11110.1, SMTH1_11100.1	KAK4474370.1
OG0000738	SMTH1_77430.1	KAK4470138.1
OG0000739	SMTH1_63120.1	KAK4469782.1
OG0000740	SMTH1_9510.2, SMTH1_9510.3, SMTH1_9510.1, SMTH1_9510.6, SMTH1_9510.4, SMTH1_9510.5	KAK4475982.1
OG0000741	SMTH1_93450.1, SMTH1_93450.2	KAK4468185.1
OG0000743	SMTH1_25030.4, SMTH1_25030.1, SMTH1_25030.2, SMTH1_25030.3, SMTH1_25030.6, SMTH1_25030.5	KAK4475498.1
OG0000744	SMTH1_4160.1, SMTH1_4160.3, SMTH1_4160.4, SMTH1_4160.5, SMTH1_4160.2	KAK4474236.1, KAK4467355.1, KAK4475639.1
OG0000745	SMTH1_42080.1, SMTH1_42080.3, SMTH1_42080.2, SMTH1_42080.5, SMTH1_42080.4	KAK4473918.1
OG0000746	SMTH1_67520.1, SMTH1_67520.2	KAK4471896.1
OG0000748	SMTH1_77920.1	KAK4470051.1, KAK4467349.1, KAK4470183.1
OG0000749	SMTH1_77210.1	KAK4470073.1
OG0000750	SMTH1_82710.1	KAK4470486.1
OG0000751	SMTH1_6240.1	KAK4475833.1, KAK4475835.1
OG0000751	SMTH1_3050.1, SMTH1_3050.3, SMTH1_3050.2, SMTH1_3010.1, SMTH1_3050.4	KAK4475538.1
OG0000752	SMTH1_102980.1	KAK4467935.1
OG0000752	SMTH1_103060.3, SMTH1_103060.1, SMTH1_103060.2	KAK4467930.1
OG0000754	SMTH1_56270.1	KAK4469412.1
OG0000756	SMTH1_43260.5, SMTH1_43260.1, SMTH1_43260.4, SMTH1_43260.2, SMTH1_43260.3, SMTH1_43260.7, SMTH1_43260.6	KAK4473770.1
OG0000757	SMTH1_58620.1	KAK4469488.1
OG0000759	SMTH1_59090.1, SMTH1_59080.1	KAK4469520.1
OG0000760	SMTH1_87640.1	KAK4470881.1
OG0000761	SMTH1_59860.2, SMTH1_59860.3, SMTH1_59860.1, SMTH1_59860.4, SMTH1_59860.5	KAK4469193.1
OG0000762	SMTH1_89850.1	KAK4468368.1
OG0000762	SMTH1_96950.1	KAK4468720.1
OG0000763	SMTH1_21680.1, SMTH1_21680.2, SMTH1_21680.3, SMTH1_21680.4	KAK4475061.1
OG0000764	SMTH1_10180.3, SMTH1_10180.1, SMTH1_10180.2, SMTH1_10180.4, SMTH1_10180.5, SMTH1_10180.6	KAK4476235.1
OG0000765	SMTH1_59060.1	KAK4469518.1
OG0000765	SMTH1_59070.2, SMTH1_59070.1	KAK4469519.1
OG0000766	SMTH1_70180.1	KAK4471386.1
OG0000767	SMTH1_72600.1, SMTH1_72600.3, SMTH1_72600.4, SMTH1_72600.2	KAK4471235.1
OG0000768	SMTH1_44560.3, SMTH1_44560.2, SMTH1_44560.1, SMTH1_44560.4, SMTH1_44560.5, SMTH1_44560.6	KAK4473678.1
OG0000769	SMTH1_2600.1	KAK4475312.1
OG0000770	SMTH1_19780.1	KAK4474961.1
OG0000771	SMTH1_88940.1, SMTH1_88970.1, SMTH1_88970.2, SMTH1_88940.2	KAK4470996.1
OG0000772	SMTH1_18570.1	KAK4474852.1
OG0000773	SMTH1_28520.1, SMTH1_28520.3, SMTH1_28520.10, SMTH1_28520.6, SMTH1_28520.8, SMTH1_28520.12, SMTH1_28520.5, SMTH1_28520.9, SMTH1_28520.11, SMTH1_28520.4, SMTH1_28520.7, SMTH1_28520.2	KAK4473279.1
OG0000774	SMTH1_52570.1, SMTH1_52570.2, SMTH1_52580.1	KAK4475493.1
OG0000775	SMTH1_57640.1	KAK4469163.1
OG0000776	SMTH1_51040.1	KAK4469675.1
OG0000776	SMTH1_62890.1, SMTH1_62890.2	KAK4469755.1
OG0000777	SMTH1_58200.1, SMTH1_58210.1	KAK4469700.1
OG0000778	SMTH1_25480.1, SMTH1_25470.1	KAK4473368.1
OG0000779	SMTH1_4240.1, SMTH1_4250.1	KAK4467285.1, KAK4467284.1, KAK4475645.1, KAK4467283.1, KAK4467511.1
OG0000780	SMTH1_16610.1, SMTH1_16610.3, SMTH1_16610.4, SMTH1_16610.5, SMTH1_16610.2, SMTH1_16610.6, SMTH1_16610.7, SMTH1_16610.8	KAK4475273.1
OG0000781	SMTH1_12540.1	KAK4474552.1
OG0000781	SMTH1_510.1, SMTH1_500.1	KAK4476024.1
OG0000782	SMTH1_35180.1	KAK4472624.1
OG0000783	SMTH1_56560.1, SMTH1_56570.1	KAK4469441.1
OG0000784	SMTH1_35080.1, SMTH1_35070.1	KAK4472638.1
OG0000785	SMTH1_65420.1	KAK4472075.1, KAK4472076.1
OG0000786	SMTH1_45450.3, SMTH1_45450.4, SMTH1_45450.1, SMTH1_45450.2	KAK4473618.1
OG0000787	SMTH1_103200.3, SMTH1_103200.1, SMTH1_103200.2	KAK4467917.1, KAK4467919.1
OG0000787	SMTH1_66240.1	KAK4472011.1
OG0000788	SMTH1_15130.2, SMTH1_15130.1, SMTH1_15130.3	KAK4474750.1
OG0000789	SMTH1_28270.1	KAK4473257.1
OG0000789	SMTH1_28250.1	KAK4473256.1
OG0000790	SMTH1_43750.1	KAK4473741.1
OG0000791	SMTH1_47620.1	KAK4473509.1
OG0000792	SMTH1_6460.2, SMTH1_6460.3, SMTH1_6460.5, SMTH1_6460.1, SMTH1_6460.4, SMTH1_6460.6	KAK4469047.1, KAK4475816.1
OG0000793	SMTH1_37990.1	KAK4472249.1
OG0000794	SMTH1_11410.1, SMTH1_11410.2, SMTH1_11410.3, SMTH1_11410.8, SMTH1_11410.4, SMTH1_11410.7, SMTH1_11410.5, SMTH1_11410.6	KAK4474355.1
OG0000795	SMTH1_105730.1	KAK4467676.1
OG0000796	SMTH1_17510.1	KAK4474757.1
OG0000797	SMTH1_21980.3, SMTH1_21980.2, SMTH1_21980.5, SMTH1_21980.6, SMTH1_21980.4, SMTH1_21980.1	KAK4475035.1
OG0000798	SMTH1_40700.1, SMTH1_1540.1, SMTH1_1540.4, SMTH1_1540.2, SMTH1_1540.3	KAK4475964.1
OG0000799	SMTH1_74240.1	KAK4471638.1
OG0000800	SMTH1_11290.1, SMTH1_11280.1	KAK4476179.1
OG0000801	SMTH1_17420.1, SMTH1_17420.2, SMTH1_17420.3, SMTH1_17420.4	KAK4475245.1
OG0000802	SMTH1_81570.1	KAK4470576.1
OG0000802	SMTH1_65130.1	KAK4472112.1
OG0000803	SMTH1_88060.5, SMTH1_88040.1, SMTH1_88040.2, SMTH1_88040.3, SMTH1_88040.6, SMTH1_88060.3, SMTH1_88060.8, SMTH1_88060.9, SMTH1_88040.4, SMTH1_88040.5, SMTH1_88060.1, SMTH1_88060.2, SMTH1_88060.4, SMTH1_88060.6, SMTH1_88060.7	KAK4470919.1
OG0000804	SMTH1_46010.1, SMTH1_46020.1	KAK4473168.1
OG0000805	SMTH1_40300.3, SMTH1_40300.4, SMTH1_40300.2, SMTH1_40300.1, SMTH1_40300.5	KAK4474013.1
OG0000806	SMTH1_82030.1, SMTH1_82030.2, SMTH1_82030.4, SMTH1_82030.5, SMTH1_82030.6, SMTH1_82030.8, SMTH1_82030.3, SMTH1_82030.7	KAK4470608.1
OG0000807	SMTH1_11020.1, SMTH1_11020.2	KAK4473307.1, KAK4474358.1
OG0000808	SMTH1_103790.1	KAK4467771.1
OG0000808	SMTH1_103800.1	KAK4467779.1
OG0000809	SMTH1_100870.1, SMTH1_100870.2, SMTH1_100870.3	KAK4468611.1
OG0000810	SMTH1_27760.1	KAK4473212.1
OG0000811	SMTH1_12380.1, SMTH1_12380.2, SMTH1_12380.3, SMTH1_12380.4	KAK4474417.1
OG0000812	SMTH1_13480.1, SMTH1_13480.2, SMTH1_13480.3, SMTH1_13480.4, SMTH1_13480.5, SMTH1_13480.6, SMTH1_13480.7, SMTH1_13480.8, SMTH1_13480.9	KAK4474440.1
OG0000813	SMTH1_95930.1	KAK4468852.1
OG0000814	SMTH1_70610.1	KAK4471430.1
OG0000815	SMTH1_66210.1, SMTH1_66210.2	KAK4472012.1
OG0000816	SMTH1_93040.1, SMTH1_93040.2, SMTH1_93040.3, SMTH1_93040.4	KAK4468020.1
OG0000817	SMTH1_98120.1, SMTH1_98120.2, SMTH1_98120.3, SMTH1_98120.4	KAK4468677.1
OG0000818	SMTH1_12800.1, SMTH1_12800.2, SMTH1_12800.3, SMTH1_12800.4	KAK4474538.1
OG0000819	SMTH1_72750.2, SMTH1_72750.3, SMTH1_72750.1, SMTH1_72750.6, SMTH1_72750.7, SMTH1_72750.4, SMTH1_72750.5	KAK4471251.1
OG0000820	SMTH1_93740.1	KAK4467442.1
OG0000821	SMTH1_54930.1	KAK4469272.1
OG0000822	SMTH1_82810.8, SMTH1_82810.1, SMTH1_82810.4, SMTH1_82810.2, SMTH1_82810.3, SMTH1_82810.7, SMTH1_82810.5, SMTH1_82810.6	KAK4470476.1
OG0000823	SMTH1_59480.1	KAK4467478.1
OG0000823	SMTH1_103140.1, SMTH1_103150.1	KAK4467922.1
OG0000824	SMTH1_3700.1	KAK4475591.1
OG0000825	SMTH1_85800.1, SMTH1_85800.2, SMTH1_85800.3, SMTH1_85740.1	KAK4470419.1, KAK4470420.1, KAK4470421.1
OG0000827	SMTH1_83820.1	KAK4470549.1
OG0000827	SMTH1_83810.1	KAK4470028.1, KAK4470550.1
OG0000828	SMTH1_100640.1, SMTH1_100650.1	KAK4468383.1
OG0000829	SMTH1_20390.4, SMTH1_20390.6, SMTH1_20390.5, SMTH1_20390.2, SMTH1_20390.1, SMTH1_20390.3, SMTH1_20390.7	KAK4475182.1
OG0000830	SMTH1_54680.1, SMTH1_54690.1	KAK4469293.1
OG0000831	SMTH1_47320.1, SMTH1_47320.2	KAK4473480.1
OG0000832	SMTH1_67120.3, SMTH1_67120.5, SMTH1_67120.7, SMTH1_67120.2, SMTH1_67120.4, SMTH1_67120.6, SMTH1_67120.1	KAK4471871.1
OG0000833	SMTH1_37000.1	KAK4472353.1
OG0000835	SMTH1_42090.1, SMTH1_42100.1	KAK4473919.1
OG0000836	SMTH1_41490.2, SMTH1_41490.1, SMTH1_41490.3, SMTH1_41490.4	KAK4473858.1
OG0000837	SMTH1_35910.1, SMTH1_35920.1	KAK4472239.1
OG0000839	SMTH1_42660.1, SMTH1_42660.2, SMTH1_42660.3	KAK4473818.1
OG0000840	SMTH1_78030.1, SMTH1_78030.2	KAK4470970.1, KAK4470978.1
OG0000841	SMTH1_22410.1	KAK4475007.1
OG0000842	SMTH1_74480.1	KAK4471617.1
OG0000843	SMTH1_91460.1, SMTH1_91460.2, SMTH1_91460.3	KAK4468285.1
OG0000844	SMTH1_6020.1	KAK4475850.1
OG0000845	SMTH1_99700.4, SMTH1_99700.6, SMTH1_99700.5, SMTH1_99700.2, SMTH1_99700.3, SMTH1_99700.1	KAK4468551.1, KAK4467252.1
OG0000846	SMTH1_18630.7, SMTH1_18630.1, SMTH1_18630.2, SMTH1_18630.8, SMTH1_18630.4, SMTH1_18630.5, SMTH1_18630.3, SMTH1_18630.6	KAK4474858.1
OG0000847	SMTH1_1440.1	KAK4476036.1
OG0000848	SMTH1_38620.1	KAK4474163.1
OG0000849	SMTH1_43510.1, SMTH1_43520.1, SMTH1_43500.1	KAK4473756.1
OG0000850	SMTH1_30210.1	KAK4473025.1
OG0000851	SMTH1_100880.1	KAK4468610.1
OG0000852	SMTH1_12220.1, SMTH1_12210.1	KAK4474383.1
OG0000853	SMTH1_91960.3, SMTH1_91960.1, SMTH1_91960.2	KAK4468234.1
OG0000854	SMTH1_41500.1, SMTH1_41500.2, SMTH1_41500.3, SMTH1_41500.4	KAK4473859.1
OG0000855	SMTH1_60720.1, SMTH1_60720.3, SMTH1_60720.4, SMTH1_60720.5, SMTH1_60720.2, SMTH1_60720.7, SMTH1_60720.6	KAK4467325.1
OG0000856	SMTH1_3560.3, SMTH1_3560.4, SMTH1_3560.1, SMTH1_3560.2	KAK4475581.1
OG0000857	SMTH1_4810.1	KAK4467572.1, KAK4475703.1
OG0000858	SMTH1_5220.1	KAK4467344.1, KAK4467343.1, KAK4475741.1
OG0000859	SMTH1_55410.1	KAK4469232.1
OG0000860	SMTH1_66540.1	KAK4471825.1
OG0000860	SMTH1_69520.1	KAK4471718.1
OG0000862	SMTH1_33240.4, SMTH1_33240.1, SMTH1_33240.2, SMTH1_33240.3	KAK4472465.1
OG0000863	SMTH1_8360.1, SMTH1_8350.1	KAK4476011.1
OG0000864	SMTH1_44970.2, SMTH1_44970.5, SMTH1_44970.4, SMTH1_44970.1, SMTH1_44970.3	KAK4473645.1
OG0000865	SMTH1_36960.1	KAK4472356.1
OG0000866	SMTH1_860.1, SMTH1_54890.1, SMTH1_760.2, SMTH1_760.1	KAK4475812.1
OG0000868	SMTH1_88980.1, SMTH1_89010.1, SMTH1_89040.1	KAK4467317.1, KAK4467483.1, KAK4471001.1
OG0000869	SMTH1_99130.1	KAK4468576.1
OG0000870	SMTH1_1120.1, SMTH1_1120.2	KAK4474365.1
OG0000871	SMTH1_31750.1, SMTH1_31750.2, SMTH1_31750.3	KAK4472823.1
OG0000872	SMTH1_4660.1, SMTH1_4670.1	KAK4475688.1
OG0000873	SMTH1_95870.1	KAK4468855.1
OG0000874	SMTH1_47980.1	KAK4473534.1
OG0000875	SMTH1_69390.1, SMTH1_69390.2, SMTH1_69390.3	KAK4471728.1
OG0000876	SMTH1_26410.1	KAK4473295.1
OG0000877	SMTH1_8260.1, SMTH1_8260.3, SMTH1_8260.2	KAK4476016.1
OG0000878	SMTH1_20380.1, SMTH1_20380.2	KAK4475183.1
OG0000879	SMTH1_64910.1	KAK4471099.1
OG0000880	SMTH1_88590.1	KAK4470966.1
OG0000881	SMTH1_5240.1	KAK4475745.1
OG0000881	SMTH1_100740.1	KAK4468637.1
OG0000882	SMTH1_24510.1	KAK4475447.1
OG0000882	SMTH1_44720.1	KAK4473671.1
OG0000883	SMTH1_44710.4, SMTH1_44710.1, SMTH1_44710.2, SMTH1_44710.3, SMTH1_44710.5, SMTH1_44710.6	KAK4473672.1
OG0000884	SMTH1_43810.1, SMTH1_43810.2, SMTH1_43810.3, SMTH1_43790.1	KAK4473737.1
OG0000885	SMTH1_102750.1, SMTH1_102750.2	KAK4474352.1
OG0000886	SMTH1_78130.5, SMTH1_78130.3, SMTH1_78130.1, SMTH1_78130.2, SMTH1_78130.4	KAK4470894.1
OG0000887	SMTH1_21650.1, SMTH1_21650.2, SMTH1_21650.3, SMTH1_21650.4	KAK4475063.1
OG0000888	SMTH1_87560.1	KAK4470877.1
OG0000888	SMTH1_87600.1, SMTH1_87580.1	KAK4470878.1
OG0000890	SMTH1_45630.1	KAK4473603.1
OG0000891	SMTH1_41350.1	KAK4473846.1
OG0000892	SMTH1_57940.2, SMTH1_57940.1, SMTH1_57940.3	KAK4469720.1
OG0000894	SMTH1_97380.1	KAK4468755.1
OG0000895	SMTH1_49020.1	KAK4472632.1
OG0000896	SMTH1_23230.1, SMTH1_23240.1, SMTH1_23250.1	KAK4475362.1
OG0000897	SMTH1_11390.1, SMTH1_11400.1	KAK4476316.1
OG0000898	SMTH1_80190.1, SMTH1_80190.2, SMTH1_80190.3, SMTH1_80190.4, SMTH1_80190.5, SMTH1_80190.6	KAK4470204.1
OG0000899	SMTH1_16070.1	KAK4474583.1
OG0000900	SMTH1_4180.1, SMTH1_4190.1	KAK4475641.1
OG0000901	SMTH1_69630.7, SMTH1_69630.8, SMTH1_69630.5, SMTH1_69630.6, SMTH1_69630.10, SMTH1_69630.11, SMTH1_69630.9, SMTH1_69630.1, SMTH1_69630.2, SMTH1_69630.3, SMTH1_69630.4	KAK4471706.1
OG0000902	SMTH1_61360.1, SMTH1_61360.2, SMTH1_61360.3, SMTH1_61360.4, SMTH1_61360.5, SMTH1_61360.7, SMTH1_61360.6	KAK4469829.1
OG0000903	SMTH1_17150.1, SMTH1_17150.2	KAK4475319.1
OG0000904	SMTH1_5860.3, SMTH1_5860.1, SMTH1_5860.2, SMTH1_5860.4, SMTH1_5860.5	KAK4475874.1
OG0000905	SMTH1_87750.3, SMTH1_87750.1, SMTH1_87750.5, SMTH1_87750.4, SMTH1_87750.6, SMTH1_87750.2	KAK4470893.1
OG0000906	SMTH1_71090.1, SMTH1_71090.3, SMTH1_71090.2	KAK4471295.1
OG0000907	SMTH1_82970.4, SMTH1_82970.2, SMTH1_82970.1, SMTH1_82970.3	KAK4470463.1
OG0000908	SMTH1_29470.3, SMTH1_29470.2, SMTH1_29470.1	KAK4472964.1
OG0000908	SMTH1_29460.1	KAK4472965.1
OG0000910	SMTH1_9280.1, SMTH1_9280.3, SMTH1_9280.2	KAK4476130.1
OG0000911	SMTH1_64690.2, SMTH1_64690.3, SMTH1_64690.4, SMTH1_64690.5, SMTH1_64690.1	KAK4471170.1
OG0000912	SMTH1_7390.1	KAK4475973.1
OG0000913	SMTH1_34950.1, SMTH1_34960.1, SMTH1_34970.1	KAK4472644.1
OG0000914	SMTH1_42710.1, SMTH1_42700.1	KAK4473816.1
OG0000915	SMTH1_32780.1, SMTH1_32780.3, SMTH1_32780.4, SMTH1_32780.2	KAK4472417.1
OG0000916	SMTH1_44110.1	KAK4473712.1
OG0000917	SMTH1_93310.1	KAK4468177.1
OG0000918	SMTH1_29590.1	KAK4472957.1
OG0000919	SMTH1_93560.1, SMTH1_93560.2	KAK4468191.1
OG0000921	SMTH1_48450.1, SMTH1_48450.6, SMTH1_48450.5, SMTH1_48450.4, SMTH1_48450.2, SMTH1_48450.3	KAK4473570.1
OG0000923	SMTH1_103410.1, SMTH1_103410.2, SMTH1_103410.4, SMTH1_103410.3	KAK4467730.1
OG0000925	SMTH1_18200.1	KAK4474818.1
