Orthogroup	schistosoma_mattheei	schistosoma_spindale
OG0001067	SMTH1_105810.1, SMTH1_105820.1	SSPN1_91820.1
OG0001068	SMTH1_84390.1, SMTH1_84390.2	SSPN1_73020.1
OG0001070	SMTH1_70220.1	SSPN1_61020.1, SSPN1_61020.2, SSPN1_61020.3
OG0001070	SMTH1_84890.1	SSPN1_73450.1
OG0001071	SMTH1_72460.1, SMTH1_72460.2	SSPN1_59460.1, SSPN1_59460.2
OG0001072	SMTH1_47050.1, SMTH1_47050.3, SMTH1_47050.2, SMTH1_47050.4, SMTH1_47050.5	SSPN1_40950.1, SSPN1_40950.2
OG0001073	SMTH1_18600.1	SSPN1_13920.1
OG0001074	SMTH1_30480.1, SMTH1_30470.1	SSPN1_26440.2, SSPN1_26440.3, SSPN1_26440.4, SSPN1_26440.1
OG0001075	SMTH1_68790.1	SSPN1_62290.1
OG0001076	SMTH1_51730.3, SMTH1_51730.4, SMTH1_51730.1, SMTH1_51730.2	SSPN1_44890.1, SSPN1_44890.3, SSPN1_44890.2, SSPN1_44890.4
OG0001077	SMTH1_56070.1	SSPN1_48470.1
OG0001078	SMTH1_68150.1, SMTH1_68160.1	SSPN1_62940.1
OG0001079	SMTH1_83760.1, SMTH1_83760.2, SMTH1_83760.3, SMTH1_83760.4	SSPN1_72520.1
OG0001080	SMTH1_82140.1, SMTH1_82140.3, SMTH1_82140.2, SMTH1_82140.5, SMTH1_82140.4, SMTH1_82140.6	SSPN1_70950.4, SSPN1_70950.1, SSPN1_70950.3, SSPN1_70950.2, SSPN1_70950.5
OG0001081	SMTH1_37740.1	SSPN1_36990.1
OG0001082	SMTH1_54390.1	SSPN1_47080.1, SSPN1_47080.2, SSPN1_47080.3
OG0001083	SMTH1_104790.3, SMTH1_104790.2, SMTH1_104790.1	SSPN1_90830.2, SSPN1_90830.3, SSPN1_90830.1, SSPN1_90830.4
OG0001084	SMTH1_22900.4	SSPN1_10240.2, SSPN1_10240.3
OG0001085	SMTH1_105790.1, SMTH1_105790.2	SSPN1_91810.1, SSPN1_91810.2
OG0001086	SMTH1_79850.1, SMTH1_79840.1	SSPN1_68970.1
OG0001087	SMTH1_57240.1	SSPN1_49580.1
OG0001087	SMTH1_40250.1	SSPN1_34600.1
OG0001088	SMTH1_27310.1	SSPN1_23640.1, SSPN1_23640.2, SSPN1_23640.3
OG0001089	SMTH1_72440.1, SMTH1_72440.2, SMTH1_72440.3, SMTH1_72440.4	SSPN1_59480.1
OG0001090	SMTH1_106930.1, SMTH1_106930.2	SSPN1_92530.1
OG0001091	SMTH1_54280.1	SSPN1_46970.1
OG0001092	SMTH1_77340.1	SSPN1_67080.1, SSPN1_67080.2, SSPN1_67080.3, SSPN1_67080.4, SSPN1_67080.5
OG0001093	SMTH1_90540.1	SSPN1_78400.1
OG0001094	SMTH1_40550.1, SMTH1_40550.3, SMTH1_40550.4, SMTH1_40550.2	SSPN1_34310.1, SSPN1_34310.2, SSPN1_34310.3
OG0001095	SMTH1_56910.1	SSPN1_49300.1
OG0001096	SMTH1_21480.1, SMTH1_21480.3, SMTH1_21480.2	SSPN1_12310.1, SSPN1_12310.2
OG0001097	SMTH1_76930.1	SSPN1_66810.2, SSPN1_66810.3, SSPN1_66810.1, SSPN1_66810.4
OG0001098	SMTH1_35460.2, SMTH1_35460.1	SSPN1_38930.1, SSPN1_38930.5, SSPN1_38930.6, SSPN1_38930.3, SSPN1_38930.2, SSPN1_38930.4
OG0001099	SMTH1_102560.1	SSPN1_88880.1, SSPN1_88880.2
OG0001100	SMTH1_75560.1, SMTH1_75550.1	SSPN1_60390.6, SSPN1_60390.2, SSPN1_60390.1, SSPN1_60390.3, SSPN1_60390.4, SSPN1_60390.5
OG0001101	SMTH1_51090.1, SMTH1_51120.1	SSPN1_44370.1
OG0001102	SMTH1_69510.4, SMTH1_69510.1, SMTH1_69510.2, SMTH1_69510.3	SSPN1_61720.1
OG0001103	SMTH1_104660.3, SMTH1_104660.4, SMTH1_104660.1, SMTH1_104660.2	SSPN1_90710.1
OG0001104	SMTH1_69480.1, SMTH1_69490.1	SSPN1_61740.1
OG0001105	SMTH1_35550.1, SMTH1_35550.2, SMTH1_35550.3, SMTH1_35550.4, SMTH1_35550.5	SSPN1_38860.1
OG0001106	SMTH1_76080.1	SSPN1_66010.2, SSPN1_66010.1, SSPN1_66010.3
OG0001107	SMTH1_57390.6, SMTH1_57390.3, SMTH1_57390.4, SMTH1_57390.5, SMTH1_57390.1, SMTH1_57390.2	SSPN1_49710.1
OG0001108	SMTH1_31690.5, SMTH1_31690.3, SMTH1_31690.4, SMTH1_31690.1	SSPN1_27500.5, SSPN1_27500.1, SSPN1_27500.2, SSPN1_27500.3, SSPN1_27500.7, SSPN1_27500.4, SSPN1_27500.6
OG0001109	SMTH1_37800.1	SSPN1_36930.1
OG0001110	SMTH1_4460.1, SMTH1_4470.1	SSPN1_3840.1
OG0001111	SMTH1_54760.1, SMTH1_54760.2, SMTH1_54760.3	SSPN1_47400.2, SSPN1_47400.3, SSPN1_47400.5, SSPN1_47400.6, SSPN1_47400.4, SSPN1_47400.1
OG0001112	SMTH1_106020.1	SSPN1_91980.1
OG0001112	SMTH1_105990.1, SMTH1_106010.1	SSPN1_91970.2, SSPN1_91960.1, SSPN1_91970.1
OG0001113	SMTH1_8860.1	SSPN1_7720.1
OG0001114	SMTH1_7600.5	SSPN1_6590.4
OG0001114	SMTH1_7600.2	SSPN1_6590.1, SSPN1_6590.2
OG0001115	SMTH1_104760.4, SMTH1_104760.2, SMTH1_104760.1, SMTH1_104760.3	SSPN1_90800.1, SSPN1_90800.2
OG0001116	SMTH1_89960.1	SSPN1_78840.1, SSPN1_78840.2
OG0001117	SMTH1_16930.1, SMTH1_16930.2, SMTH1_16930.3, SMTH1_16930.4, SMTH1_16930.5, SMTH1_16930.6	SSPN1_15410.1
OG0001119	SMTH1_72420.1, SMTH1_72420.2	SSPN1_59500.1
OG0001120	SMTH1_35120.1	SSPN1_30500.1
OG0001121	SMTH1_62930.1	SSPN1_54770.4, SSPN1_54770.2, SSPN1_54770.1, SSPN1_54770.3
OG0001122	SMTH1_88330.1, SMTH1_88330.2, SMTH1_88330.3, SMTH1_88330.4, SMTH1_88330.5	SSPN1_76450.1, SSPN1_76450.2, SSPN1_76450.3
OG0001123	SMTH1_100420.1, SMTH1_100420.2, SMTH1_100420.3, SMTH1_100420.4	SSPN1_87200.1, SSPN1_87200.2, SSPN1_87200.3
OG0001124	SMTH1_41910.5, SMTH1_41910.1, SMTH1_41910.2, SMTH1_41910.3, SMTH1_41910.4	SSPN1_33080.1
OG0001125	SMTH1_15350.1, SMTH1_15350.3, SMTH1_15330.1, SMTH1_15350.2	SSPN1_18290.1, SSPN1_18260.2, SSPN1_18260.1, SSPN1_18260.3
OG0001126	SMTH1_11430.1, SMTH1_11430.3, SMTH1_11430.4, SMTH1_11430.2	SSPN1_20330.3, SSPN1_20330.5, SSPN1_20330.1, SSPN1_20330.2, SSPN1_20330.4
OG0001127	SMTH1_44750.1, SMTH1_44740.1	SSPN1_30820.1
OG0001128	SMTH1_84700.1	SSPN1_73290.1
OG0001129	SMTH1_41070.1, SMTH1_41070.2	SSPN1_33410.1, SSPN1_33410.4, SSPN1_33410.6, SSPN1_33410.7, SSPN1_33410.8, SSPN1_33410.2, SSPN1_33410.3, SSPN1_33410.5
OG0001130	SMTH1_13420.1, SMTH1_13410.1	SSPN1_16590.1
OG0001131	SMTH1_82340.1	SSPN1_71110.1
OG0001132	SMTH1_92280.1, SMTH1_92290.1	SSPN1_80070.1, SSPN1_80070.2
OG0001133	SMTH1_106920.1	SSPN1_92540.1
OG0001133	SMTH1_17750.2, SMTH1_17750.1	SSPN1_14700.2, SSPN1_14700.3, SSPN1_14700.4, SSPN1_14700.1
OG0001134	SMTH1_72650.1, SMTH1_72650.3, SMTH1_72650.2, SMTH1_72650.4	SSPN1_59300.1
OG0001135	SMTH1_38220.1	SSPN1_36490.2, SSPN1_36490.5, SSPN1_36490.6, SSPN1_36490.1, SSPN1_36490.3, SSPN1_36490.4
OG0001136	SMTH1_26280.1	SSPN1_22820.3, SSPN1_22820.4, SSPN1_22820.2, SSPN1_22820.1, SSPN1_22820.6, SSPN1_22820.5, SSPN1_22820.7, SSPN1_22820.8
OG0001137	SMTH1_59640.1	SSPN1_51740.1, SSPN1_51740.2, SSPN1_51740.3
OG0001138	SMTH1_22690.1, SMTH1_22690.2	SSPN1_10400.2, SSPN1_10400.4, SSPN1_10400.1, SSPN1_10400.3
OG0001139	SMTH1_41440.1, SMTH1_41440.2	SSPN1_33660.1
OG0001140	SMTH1_51640.1, SMTH1_51640.2, SMTH1_51640.3	SSPN1_44800.1, SSPN1_44800.2
OG0001141	SMTH1_88810.1, SMTH1_88850.1, SMTH1_88820.1, SMTH1_88820.3, SMTH1_88820.2, SMTH1_88840.1	SSPN1_76870.1, SSPN1_76860.1, SSPN1_76860.2
OG0001142	SMTH1_14560.1, SMTH1_14540.3, SMTH1_14540.2, SMTH1_14540.1	SSPN1_17610.1, SSPN1_17610.2
OG0001143	SMTH1_69880.1, SMTH1_69890.1	SSPN1_61310.1, SSPN1_18650.1
OG0001144	SMTH1_40040.1	SSPN1_34800.1, SSPN1_34800.2
OG0001145	SMTH1_72810.1, SMTH1_72810.2, SMTH1_72810.3, SMTH1_72810.4, SMTH1_72810.5, SMTH1_72810.6, SMTH1_72810.7	SSPN1_59160.1, SSPN1_59160.2, SSPN1_59160.3
OG0001146	SMTH1_5060.1, SMTH1_5060.2, SMTH1_5060.3, SMTH1_5060.4	SSPN1_4290.1
OG0001147	SMTH1_8750.1, SMTH1_8750.2, SMTH1_8750.3, SMTH1_8750.4	SSPN1_7620.1
OG0001148	SMTH1_78420.1	SSPN1_67890.1
OG0001149	SMTH1_86930.1	SSPN1_75270.1
OG0001150	SMTH1_57990.1	SSPN1_50300.1, SSPN1_50300.2, SSPN1_50300.3
OG0001151	SMTH1_99610.1	SSPN1_86290.1, SSPN1_86290.2
OG0001152	SMTH1_14330.1, SMTH1_14330.2, SMTH1_14330.3, SMTH1_14330.4, SMTH1_14330.5, SMTH1_14330.6	SSPN1_17410.1, SSPN1_17410.8, SSPN1_17410.4, SSPN1_17410.7, SSPN1_17410.3, SSPN1_17410.5, SSPN1_17410.6, SSPN1_17410.2
OG0001153	SMTH1_76750.1	SSPN1_66610.1
OG0001154	SMTH1_48970.1	SSPN1_42550.1, SSPN1_42540.1
OG0001155	SMTH1_54160.1, SMTH1_54160.2, SMTH1_54160.3	SSPN1_46900.1
OG0001156	SMTH1_8690.1, SMTH1_107530.1	SSPN1_7560.1, SSPN1_7560.2, SSPN1_7560.3
OG0001157	SMTH1_69920.1	SSPN1_61280.1
OG0001158	SMTH1_47230.1, SMTH1_47230.2	SSPN1_41080.1, SSPN1_41080.2, SSPN1_41080.3, SSPN1_41080.4, SSPN1_41080.5
OG0001159	SMTH1_102330.1	SSPN1_88730.1, SSPN1_88730.2
OG0001160	SMTH1_23540.2, SMTH1_23540.1, SMTH1_23540.3, SMTH1_23540.4	SSPN1_9360.1
OG0001161	SMTH1_76070.1	SSPN1_66000.1
OG0001161	SMTH1_72930.1	SSPN1_59050.1
OG0001162	SMTH1_39590.1	SSPN1_35200.1
OG0001164	SMTH1_90900.1	SSPN1_77790.1
OG0001165	SMTH1_64020.2, SMTH1_64020.3, SMTH1_64020.4, SMTH1_64020.1	SSPN1_55600.1
OG0001166	SMTH1_12370.1, SMTH1_12370.3, SMTH1_12370.2, SMTH1_12370.4, SMTH1_12370.5	SSPN1_19510.1, SSPN1_19510.2, SSPN1_19510.3, SSPN1_19510.4, SSPN1_19510.5
OG0001167	SMTH1_39580.1	SSPN1_35210.1
OG0001168	SMTH1_14110.1	SSPN1_17210.7, SSPN1_17210.1, SSPN1_17210.6, SSPN1_17210.5, SSPN1_17210.3, SSPN1_17210.2, SSPN1_17210.4
OG0001169	SMTH1_56100.1	SSPN1_48500.2, SSPN1_48500.1, SSPN1_48500.5, SSPN1_48500.4, SSPN1_48500.3
OG0001170	SMTH1_12690.1, SMTH1_12680.1	SSPN1_19180.1, SSPN1_19180.3, SSPN1_19180.4, SSPN1_19180.5, SSPN1_19180.7, SSPN1_19180.2, SSPN1_19180.6
OG0001171	SMTH1_17290.1	SSPN1_15120.1, SSPN1_15120.2, SSPN1_15120.3
OG0001172	SMTH1_67260.1, SMTH1_67260.2	SSPN1_63750.1, SSPN1_63750.2
OG0001173	SMTH1_2150.2, SMTH1_2150.3, SMTH1_2150.5, SMTH1_2150.6, SMTH1_2150.7, SMTH1_2150.8, SMTH1_2150.4, SMTH1_2150.1	SSPN1_100.1, SSPN1_1690.1, SSPN1_1690.3, SSPN1_1690.2
OG0001174	SMTH1_11060.1	SSPN1_20640.1
OG0001175	SMTH1_58060.1, SMTH1_58070.1	SSPN1_50380.1, SSPN1_50380.2, SSPN1_50380.3
OG0001176	SMTH1_81680.1	SSPN1_70550.1
OG0001177	SMTH1_27540.1	SSPN1_23860.1, SSPN1_23860.2
OG0001178	SMTH1_3090.1	SSPN1_2570.1
OG0001178	SMTH1_3070.1, SMTH1_3080.1	SSPN1_2560.1
OG0001179	SMTH1_103490.1, SMTH1_103490.2	SSPN1_89690.1
OG0001180	SMTH1_10610.1, SMTH1_10610.3, SMTH1_10610.4, SMTH1_10610.2	SSPN1_21490.1
OG0001181	SMTH1_64050.1	SSPN1_55580.1, SSPN1_55580.4
OG0001182	SMTH1_39850.3, SMTH1_39850.2, SMTH1_39850.1, SMTH1_39850.4	SSPN1_34960.1, SSPN1_34960.2
OG0001183	SMTH1_12410.1	SSPN1_19470.5, SSPN1_19470.4, SSPN1_19470.10, SSPN1_19470.7, SSPN1_19470.8, SSPN1_19470.1, SSPN1_19470.2, SSPN1_19470.6, SSPN1_19470.9, SSPN1_19470.3
OG0001184	SMTH1_4090.1, SMTH1_4090.2	SSPN1_3420.1
OG0001185	SMTH1_12000.1, SMTH1_12000.3, SMTH1_12000.2	SSPN1_19840.1, SSPN1_19840.3, SSPN1_19840.4, SSPN1_19840.2, SSPN1_19840.5
OG0001186	SMTH1_5660.1	SSPN1_4780.1
OG0001187	SMTH1_34790.1, SMTH1_34790.2, SMTH1_34790.3	SSPN1_30210.1, SSPN1_30210.3, SSPN1_30210.2, SSPN1_30210.5, SSPN1_30210.4
OG0001188	SMTH1_9000.2, SMTH1_9000.3, SMTH1_9000.1	SSPN1_7860.1, SSPN1_7850.2, SSPN1_7850.4, SSPN1_7850.1, SSPN1_7850.3
OG0001189	SMTH1_16050.1, SMTH1_16060.1	SSPN1_16220.2, SSPN1_16220.4, SSPN1_16220.3, SSPN1_16220.1, SSPN1_16220.5
OG0001190	SMTH1_40060.1, SMTH1_40060.2, SMTH1_40060.3	SSPN1_34770.1
OG0001191	SMTH1_7990.1	SSPN1_6970.1, SSPN1_6970.2, SSPN1_6970.3
OG0001192	SMTH1_47610.1	SSPN1_41430.1
OG0001193	SMTH1_91730.1	SSPN1_79590.1
OG0001194	SMTH1_7420.1	SSPN1_6400.1
OG0001197	SMTH1_24380.1, SMTH1_24380.7, SMTH1_24380.6, SMTH1_24380.2, SMTH1_24380.3, SMTH1_24380.4, SMTH1_24380.5	SSPN1_21390.6, SSPN1_21390.3, SSPN1_21390.4, SSPN1_21390.5, SSPN1_21390.1, SSPN1_21390.2
OG0001198	SMTH1_91480.1, SMTH1_91480.2, SMTH1_91480.3, SMTH1_91480.4	SSPN1_79300.1, SSPN1_79300.2, SSPN1_79300.3, SSPN1_79300.4
OG0001199	SMTH1_88750.1	SSPN1_76810.1
OG0001202	SMTH1_15040.1, SMTH1_15040.2, SMTH1_15040.3, SMTH1_15040.4	SSPN1_18010.1, SSPN1_18010.2, SSPN1_18010.3
OG0001203	SMTH1_1630.1, SMTH1_1630.2	SSPN1_1320.1
OG0001203	SMTH1_91030.1	SSPN1_77670.1
OG0001204	SMTH1_74050.3, SMTH1_74050.4, SMTH1_74050.1, SMTH1_74050.2	SSPN1_58190.1
OG0001205	SMTH1_40270.1, SMTH1_40270.2, SMTH1_40270.3, SMTH1_40270.4	SSPN1_34580.1, SSPN1_34580.2, SSPN1_34580.3
OG0001207	SMTH1_16670.1	SSPN1_15640.4, SSPN1_15640.1, SSPN1_15640.2, SSPN1_15640.3
OG0001208	SMTH1_42150.1, SMTH1_42150.2, SMTH1_42150.4, SMTH1_42150.5, SMTH1_42150.6, SMTH1_42150.3	SSPN1_32890.1, SSPN1_32890.2, SSPN1_32890.3
OG0001209	SMTH1_54460.1	SSPN1_47150.3, SSPN1_47150.2, SSPN1_47150.4, SSPN1_47150.5, SSPN1_47150.1, SSPN1_47150.6
OG0001210	SMTH1_103350.1	SSPN1_89550.1
OG0001211	SMTH1_19420.1	SSPN1_13250.1
OG0001212	SMTH1_27180.1	SSPN1_23550.1, SSPN1_23550.2
OG0001213	SMTH1_7790.1, SMTH1_7800.1	SSPN1_6770.1, SSPN1_6770.2
OG0001214	SMTH1_31530.1, SMTH1_31530.2, SMTH1_31530.3	SSPN1_27350.1
OG0001215	SMTH1_71010.1, SMTH1_71010.2, SMTH1_71010.3	SSPN1_65540.1, SSPN1_65540.4, SSPN1_65540.2, SSPN1_65540.3
OG0001216	SMTH1_29540.2, SMTH1_29540.1	SSPN1_25630.1, SSPN1_25630.2
OG0001217	SMTH1_81280.3, SMTH1_81280.2, SMTH1_81280.4, SMTH1_81280.1	SSPN1_70170.1
OG0001218	SMTH1_13990.1, SMTH1_13990.2, SMTH1_13990.3, SMTH1_13990.4	SSPN1_17100.5, SSPN1_17100.1, SSPN1_17100.2, SSPN1_17100.3, SSPN1_17100.4
OG0001219	SMTH1_1370.1, SMTH1_1370.2, SMTH1_1370.3	SSPN1_270.1
OG0001220	SMTH1_105270.1, SMTH1_105270.2, SMTH1_105270.3, SMTH1_105270.4, SMTH1_105270.5, SMTH1_105270.6	SSPN1_91320.1, SSPN1_91320.2, SSPN1_91320.3, SSPN1_91320.5, SSPN1_91320.4
OG0001221	SMTH1_69540.1	SSPN1_61690.1, SSPN1_61690.6, SSPN1_61690.2, SSPN1_61690.4, SSPN1_61690.3, SSPN1_61690.7
OG0001222	SMTH1_101990.1	SSPN1_88500.1
OG0001223	SMTH1_36350.3, SMTH1_36350.4, SMTH1_36350.2, SMTH1_36350.1	SSPN1_38180.2, SSPN1_38180.1, SSPN1_38180.3, SSPN1_38180.4
OG0001225	SMTH1_65360.1	SSPN1_56890.1, SSPN1_56890.2, SSPN1_56890.3
OG0001226	SMTH1_51420.1, SMTH1_51420.6, SMTH1_51420.3, SMTH1_51420.5, SMTH1_51420.2, SMTH1_51420.4	SSPN1_44590.1
OG0001227	SMTH1_68810.1, SMTH1_68810.2, SMTH1_68810.4, SMTH1_68810.3	SSPN1_62260.1
OG0001228	SMTH1_50030.5, SMTH1_50030.2, SMTH1_50030.3, SMTH1_50030.1, SMTH1_50030.4	SSPN1_43490.1
OG0001229	SMTH1_33820.1, SMTH1_33820.2, SMTH1_33820.3, SMTH1_33820.4	SSPN1_29430.1
OG0001230	SMTH1_18650.1, SMTH1_18660.1	SSPN1_13860.1
OG0001231	SMTH1_43970.1, SMTH1_43970.4, SMTH1_43970.2, SMTH1_43970.3	SSPN1_31470.1
OG0001232	SMTH1_90960.1	SSPN1_77750.1
OG0001233	SMTH1_6830.3, SMTH1_6830.4, SMTH1_6830.5, SMTH1_6830.1, SMTH1_6830.2	SSPN1_5830.1
OG0001234	SMTH1_49170.1, SMTH1_49170.2, SMTH1_49170.3	SSPN1_42750.1, SSPN1_42750.2
OG0001235	SMTH1_32000.1	SSPN1_27760.1
OG0001235	SMTH1_31990.1	SSPN1_27750.2, SSPN1_27750.1, SSPN1_27750.3
OG0001236	SMTH1_70630.1	SSPN1_60660.1, SSPN1_60660.2
OG0001237	SMTH1_29480.1	SSPN1_25590.1
OG0001237	SMTH1_29430.1, SMTH1_29430.2, SMTH1_29430.4, SMTH1_29430.3	SSPN1_25560.1
OG0001238	SMTH1_92940.2, SMTH1_92940.5, SMTH1_92940.1, SMTH1_92940.4, SMTH1_92940.3	SSPN1_80670.1, SSPN1_80670.2
OG0001239	SMTH1_14010.1, SMTH1_14010.2, SMTH1_14010.3, SMTH1_14010.4, SMTH1_14010.5, SMTH1_14010.6	SSPN1_17130.1, SSPN1_17130.2, SSPN1_17130.3
OG0001240	SMTH1_60200.1	SSPN1_52240.1, SSPN1_52240.2
OG0001241	SMTH1_66290.1	SSPN1_64570.1
OG0001241	SMTH1_82900.1	SSPN1_71690.1
OG0001242	SMTH1_62530.1	SSPN1_54380.1
OG0001243	SMTH1_7760.1, SMTH1_7770.1	SSPN1_6720.1
OG0001244	SMTH1_99430.1, SMTH1_99430.3, SMTH1_99430.2	SSPN1_86430.1
OG0001245	SMTH1_13590.1	SSPN1_16750.4, SSPN1_16750.2, SSPN1_16750.3, SSPN1_16750.1, SSPN1_16750.5, SSPN1_16750.6
OG0001245	SMTH1_13580.1	SSPN1_16760.1
OG0001247	SMTH1_41360.1	SSPN1_33710.1
OG0001248	SMTH1_6470.1, SMTH1_6480.1	SSPN1_5550.1, SSPN1_5550.2
OG0001249	SMTH1_39940.1, SMTH1_39940.2	SSPN1_34860.2, SSPN1_34860.3, SSPN1_34860.1, SSPN1_34860.4
OG0001250	SMTH1_2480.1	SSPN1_1970.1, SSPN1_1970.2
OG0001250	SMTH1_2490.2, SMTH1_2490.1	SSPN1_1980.1
OG0001251	SMTH1_86050.1	SSPN1_74510.1
OG0001252	SMTH1_57860.1, SMTH1_57860.2, SMTH1_57860.3, SMTH1_57860.4	SSPN1_50170.2, SSPN1_50170.1
OG0001253	SMTH1_61070.1	SSPN1_53060.1
OG0001254	SMTH1_36430.1	SSPN1_38120.1
OG0001255	SMTH1_32120.1, SMTH1_32120.2, SMTH1_32120.4, SMTH1_32120.5, SMTH1_32120.6, SMTH1_32120.3	SSPN1_27850.5, SSPN1_27850.6, SSPN1_27850.1, SSPN1_27850.2, SSPN1_27850.3, SSPN1_27850.4
OG0001256	SMTH1_54060.1	SSPN1_46810.3, SSPN1_46810.1, SSPN1_46810.2
OG0001257	SMTH1_29820.7, SMTH1_29820.2, SMTH1_29820.3, SMTH1_29820.5, SMTH1_29820.1, SMTH1_29820.8, SMTH1_29820.9, SMTH1_29820.10, SMTH1_29820.6, SMTH1_29820.4	SSPN1_25860.1, SSPN1_25860.3, SSPN1_25860.2
OG0001258	SMTH1_85330.3	SSPN1_73910.1
OG0001259	SMTH1_66130.1, SMTH1_66130.2, SMTH1_66130.4, SMTH1_66130.3, SMTH1_66130.5	SSPN1_64700.1, SSPN1_64700.2
OG0001260	SMTH1_1800.1, SMTH1_1800.3, SMTH1_1800.2	SSPN1_1410.1, SSPN1_1410.3, SSPN1_1410.2, SSPN1_1410.4
OG0001261	SMTH1_50740.1	SSPN1_44010.3, SSPN1_44010.4, SSPN1_44010.1, SSPN1_44010.5, SSPN1_44010.2
OG0001262	SMTH1_91800.1, SMTH1_91800.2	SSPN1_79630.1, SSPN1_79630.4, SSPN1_79630.3, SSPN1_79630.2
OG0001263	SMTH1_99590.1, SMTH1_99590.2	SSPN1_86310.1
OG0001263	SMTH1_99600.1	SSPN1_86300.1
OG0001264	SMTH1_60050.6, SMTH1_60050.1, SMTH1_60050.2, SMTH1_60050.3, SMTH1_60050.4, SMTH1_60050.5, SMTH1_60050.8, SMTH1_60050.7	SSPN1_52090.5, SSPN1_52090.6, SSPN1_52090.8, SSPN1_52090.3, SSPN1_52090.4, SSPN1_52090.2, SSPN1_52090.1, SSPN1_52090.7
OG0001265	SMTH1_67730.1, SMTH1_67730.2, SMTH1_67730.3	SSPN1_63280.4, SSPN1_63280.3, SSPN1_63280.1, SSPN1_63280.2
OG0001266	SMTH1_78190.1, SMTH1_78200.1	SSPN1_67780.1
OG0001267	SMTH1_59320.3, SMTH1_59320.2, SMTH1_59320.1	SSPN1_51480.10, SSPN1_51480.11, SSPN1_51480.9, SSPN1_51480.7
OG0001268	SMTH1_99380.1	SSPN1_86470.1
OG0001268	SMTH1_9010.1, SMTH1_9010.2	SSPN1_7880.1
OG0001269	SMTH1_26250.1, SMTH1_26250.2, SMTH1_26250.3	SSPN1_22860.2, SSPN1_22860.1
OG0001270	SMTH1_98610.1, SMTH1_98610.2	SSPN1_87160.2, SSPN1_87160.3, SSPN1_87160.5, SSPN1_87160.1, SSPN1_87160.4, SSPN1_87160.6, SSPN1_87160.7
OG0001271	SMTH1_72320.1, SMTH1_72310.1	SSPN1_59570.6, SSPN1_59570.1, SSPN1_59570.2, SSPN1_59570.3, SSPN1_59570.4, SSPN1_59570.5, SSPN1_59570.7
OG0001272	SMTH1_89260.1, SMTH1_89260.2, SMTH1_89260.3	SSPN1_77260.1, SSPN1_77260.2, SSPN1_77260.3, SSPN1_77260.4
OG0001273	SMTH1_82060.2, SMTH1_82060.1, SMTH1_82060.3	SSPN1_70880.2, SSPN1_70880.1, SSPN1_70880.3
OG0001274	SMTH1_76040.1, SMTH1_76040.2	SSPN1_65960.1
OG0001275	SMTH1_60570.3, SMTH1_60570.1, SMTH1_60570.2	SSPN1_52610.1
OG0001276	SMTH1_71680.1, SMTH1_71680.2, SMTH1_71680.3	SSPN1_60110.1
OG0001277	SMTH1_3780.1	SSPN1_3110.3, SSPN1_3110.1, SSPN1_3110.2
OG0001278	SMTH1_100800.1, SMTH1_100800.2	SSPN1_87460.1, SSPN1_87460.3, SSPN1_87460.2
OG0001279	SMTH1_38810.1, SMTH1_38810.2, SMTH1_38810.3, SMTH1_38810.4, SMTH1_38810.5	SSPN1_35950.1
OG0001280	SMTH1_57720.1, SMTH1_57720.2, SMTH1_57720.3, SMTH1_57720.4	SSPN1_50050.3, SSPN1_50050.4, SSPN1_50050.5, SSPN1_50050.1, SSPN1_50050.2
OG0001281	SMTH1_87070.1, SMTH1_87050.1	SSPN1_75420.1, SSPN1_75360.1, SSPN1_75370.1
OG0001282	SMTH1_105130.2, SMTH1_105130.1, SMTH1_105130.3, SMTH1_105130.4, SMTH1_105130.5, SMTH1_105130.6, SMTH1_105130.7	SSPN1_91160.4, SSPN1_91160.1, SSPN1_91160.2, SSPN1_91160.3
OG0001283	SMTH1_39440.1, SMTH1_39440.2	SSPN1_35350.3, SSPN1_35350.5, SSPN1_35350.4, SSPN1_35350.9, SSPN1_35350.1, SSPN1_35350.10, SSPN1_35350.7, SSPN1_35350.2, SSPN1_35350.6, SSPN1_35350.8
OG0001284	SMTH1_19680.2	SSPN1_10580.2
OG0001285	SMTH1_810.1, SMTH1_780.1, SMTH1_770.1, SMTH1_18280.1	SSPN1_1000.1
OG0001286	SMTH1_98750.1	SSPN1_87030.2, SSPN1_87030.1, SSPN1_87030.3, SSPN1_87030.4
OG0001288	SMTH1_104420.1, SMTH1_104420.2, SMTH1_104420.3, SMTH1_104420.4, SMTH1_104420.5, SMTH1_104420.6, SMTH1_104420.7, SMTH1_104420.8	SSPN1_90510.1
OG0001289	SMTH1_32840.7, SMTH1_32840.2, SMTH1_32840.8, SMTH1_32840.4, SMTH1_32840.5, SMTH1_32840.6, SMTH1_32840.3, SMTH1_32840.1	SSPN1_28540.1
OG0001290	SMTH1_5720.1	SSPN1_4850.1
OG0001291	SMTH1_7980.1	SSPN1_6960.3, SSPN1_6960.5, SSPN1_6960.1, SSPN1_6960.4, SSPN1_6960.2
OG0001292	SMTH1_8110.1, SMTH1_8110.2	SSPN1_7090.1, SSPN1_7100.1
OG0001293	SMTH1_61750.1, SMTH1_61770.3, SMTH1_61770.1, SMTH1_61770.2	SSPN1_53580.1, SSPN1_53590.1
OG0001294	SMTH1_35740.1, SMTH1_35730.1	SSPN1_38670.1
