Orthogroup	schistosoma_curassoni	fasciola_gigantica
OG0000589	SCUR1_54910.1	FGIG_05822
OG0000590	SCUR1_97370.3, SCUR1_97370.1, SCUR1_97370.2, SCUR1_97370.4	FGIG_06108
OG0000590	SCUR1_40720.6, SCUR1_40720.1	FGIG_09604
OG0000591	SCUR1_3430.1	FGIG_07049
OG0000592	SCUR1_30850.1	FGIG_07330
OG0000593	SCUR1_31810.1	FGIG_07487
OG0000594	SCUR1_49370.2, SCUR1_49370.3, SCUR1_49370.5, SCUR1_49370.6, SCUR1_49370.7, SCUR1_49370.4, SCUR1_49370.1	FGIG_09951
OG0000595	SCUR1_47820.8, SCUR1_47820.3, SCUR1_47820.7, SCUR1_47820.5, SCUR1_47820.6, SCUR1_47820.9, SCUR1_47820.2, SCUR1_47820.1, SCUR1_47820.4	FGIG_10443
OG0000598	SCUR1_12940.6, SCUR1_12940.3, SCUR1_12940.4, SCUR1_12940.5, SCUR1_12940.1, SCUR1_12940.2	FGIG_00058
OG0000599	SCUR1_62520.7, SCUR1_62520.2, SCUR1_62520.6, SCUR1_62520.1, SCUR1_62520.4, SCUR1_62520.3, SCUR1_62520.5	FGIG_00310
OG0000600	SCUR1_100020.1, SCUR1_100010.1, SCUR1_100330.2, SCUR1_100330.1, SCUR1_100330.3, SCUR1_100330.4	FGIG_00415
OG0000601	SCUR1_93570.1	FGIG_00679, FGIG_00677
OG0000601	SCUR1_41110.1	FGIG_06993, FGIG_06994
OG0000602	SCUR1_15150.6, SCUR1_15150.1, SCUR1_15150.2, SCUR1_15150.4, SCUR1_15150.5, SCUR1_15150.3	FGIG_07880, FGIG_00906
OG0000603	SCUR1_50400.1, SCUR1_50400.2, SCUR1_50400.3, SCUR1_50400.4	FGIG_01276
OG0000604	SCUR1_39560.1	FGIG_01861
OG0000605	SCUR1_27570.1, SCUR1_27530.1	FGIG_04127, FGIG_05340, FGIG_08932, FGIG_04128, FGIG_06075, FGIG_02168, FGIG_09785, FGIG_11355, FGIG_08151
OG0000606	SCUR1_5340.1	FGIG_11978
OG0000607	SCUR1_31100.1	FGIG_02390
OG0000608	SCUR1_50770.3, SCUR1_50770.4, SCUR1_50770.1, SCUR1_50770.2	FGIG_12153, FGIG_02513
OG0000609	SCUR1_27440.2, SCUR1_27440.3, SCUR1_27440.5, SCUR1_27440.4, SCUR1_27440.1, SCUR1_27440.6	FGIG_03553
OG0000610	SCUR1_28320.1	FGIG_06791
OG0000610	SCUR1_22730.1, SCUR1_22730.2	FGIG_04026
OG0000611	SCUR1_43320.2, SCUR1_43320.1, SCUR1_43340.1, SCUR1_43330.1	FGIG_04031, FGIG_04611, FGIG_04610
OG0000612	SCUR1_8780.2, SCUR1_8780.1, SCUR1_8780.3	FGIG_05075, FGIG_07356
OG0000613	SCUR1_37250.2, SCUR1_37250.4, SCUR1_37250.6, SCUR1_37250.3, SCUR1_37250.5, SCUR1_37250.7, SCUR1_37250.1	FGIG_05297
OG0000614	SCUR1_44430.3, SCUR1_44430.4, SCUR1_44430.2, SCUR1_44430.1	FGIG_07551, FGIG_05357, FGIG_05708
OG0000615	SCUR1_13270.1, SCUR1_13270.5, SCUR1_13270.6, SCUR1_13270.3, SCUR1_13270.2, SCUR1_13270.4	FGIG_05820
OG0000617	SCUR1_80350.1	FGIG_06140
OG0000618	SCUR1_36610.4, SCUR1_36610.5, SCUR1_36610.1, SCUR1_36610.6, SCUR1_36610.7, SCUR1_36610.2, SCUR1_36610.3	FGIG_06230
OG0000619	SCUR1_600.1	FGIG_06508
OG0000620	SCUR1_15360.1	FGIG_06888
OG0000620	SCUR1_45740.1	FGIG_07590
OG0000621	SCUR1_30010.5, SCUR1_30010.1, SCUR1_30010.2, SCUR1_30010.3, SCUR1_30010.4	FGIG_08191
OG0000622	SCUR1_72600.1	FGIG_08378
OG0000623	SCUR1_13080.1, SCUR1_13090.10, SCUR1_13090.5, SCUR1_13090.3, SCUR1_13090.4, SCUR1_13090.2, SCUR1_13090.8, SCUR1_13090.1, SCUR1_13090.11, SCUR1_13090.6, SCUR1_13090.7, SCUR1_13090.9	FGIG_08778
OG0000624	SCUR1_29060.1, SCUR1_29060.2, SCUR1_29060.3	FGIG_09639
OG0000625	SCUR1_37660.2, SCUR1_37660.1	FGIG_12467, FGIG_09809
OG0000626	SCUR1_54770.1, SCUR1_54770.2	FGIG_10065
OG0000627	SCUR1_11970.5, SCUR1_11970.2, SCUR1_11970.3, SCUR1_11970.1, SCUR1_11970.4	FGIG_10215, FGIG_11735
OG0000628	SCUR1_100750.1, SCUR1_61060.4, SCUR1_61060.1, SCUR1_61060.2, SCUR1_61060.3, SCUR1_100750.2, SCUR1_100750.3	FGIG_10311
OG0000629	SCUR1_38980.1	FGIG_11102, FGIG_11404, FGIG_11103
OG0000630	SCUR1_58790.1	FGIG_11115
OG0000631	SCUR1_65660.1, SCUR1_100730.1, SCUR1_61080.1	FGIG_11204
OG0000632	SCUR1_13390.1	FGIG_11309
OG0000633	SCUR1_52530.1, SCUR1_52530.2	FGIG_11961, FGIG_11512
OG0000636	SCUR1_93290.3, SCUR1_93290.1, SCUR1_93290.2, SCUR1_93290.4, SCUR1_93290.6, SCUR1_93290.5, SCUR1_93290.7	FGIG_00195, FGIG_00194
OG0000637	SCUR1_97250.2, SCUR1_97250.1, SCUR1_97250.3	FGIG_00401, FGIG_09972
OG0000638	SCUR1_64010.1	FGIG_00444, FGIG_00445
OG0000639	SCUR1_61730.3, SCUR1_61730.1, SCUR1_61730.2	FGIG_12024, FGIG_00548
OG0000640	SCUR1_84480.1, SCUR1_83740.1, SCUR1_83780.1, SCUR1_95430.1	FGIG_07362, FGIG_01307
OG0000641	SCUR1_6620.1	FGIG_10155
OG0000641	SCUR1_4510.1	FGIG_06676
OG0000642	SCUR1_61800.10, SCUR1_61800.2, SCUR1_61800.4, SCUR1_61800.3, SCUR1_61800.7, SCUR1_61800.8, SCUR1_61800.9, SCUR1_61800.5, SCUR1_61800.1, SCUR1_61800.6	FGIG_01513
OG0000643	SCUR1_52030.1	FGIG_07634
OG0000643	SCUR1_52010.1, SCUR1_52010.2	FGIG_01520
OG0000644	SCUR1_98210.1, SCUR1_94200.3, SCUR1_94200.4, SCUR1_94200.1, SCUR1_94200.2	FGIG_02755
OG0000645	SCUR1_10400.1, SCUR1_10390.1	FGIG_03205, FGIG_03204
OG0000646	SCUR1_8820.1, SCUR1_8810.1	FGIG_06464, FGIG_04063
OG0000647	SCUR1_61960.7, SCUR1_61960.1, SCUR1_61960.2, SCUR1_61960.8, SCUR1_61960.4, SCUR1_61960.3, SCUR1_61960.5, SCUR1_61960.6	FGIG_04352
OG0000648	SCUR1_90740.1, SCUR1_90730.1, SCUR1_96980.11, SCUR1_90750.1, SCUR1_96980.2, SCUR1_96980.3, SCUR1_96980.4, SCUR1_96980.7, SCUR1_90770.1, SCUR1_96980.10, SCUR1_96980.1, SCUR1_96980.5, SCUR1_96980.6, SCUR1_96980.8, SCUR1_96980.9, SCUR1_99180.3, SCUR1_99180.8, SCUR1_99180.9, SCUR1_99180.1, SCUR1_99180.4, SCUR1_99180.5, SCUR1_99180.6, SCUR1_99180.7, SCUR1_90710.1, SCUR1_99180.2	FGIG_04810
OG0000649	SCUR1_97590.1, SCUR1_59780.1	FGIG_12167, FGIG_04864
OG0000650	SCUR1_77070.1, SCUR1_77070.4, SCUR1_77070.2, SCUR1_77070.3	FGIG_05802
OG0000651	SCUR1_41940.5, SCUR1_41940.2, SCUR1_41940.9, SCUR1_41940.1, SCUR1_41940.7, SCUR1_41940.8, SCUR1_41940.10, SCUR1_41940.6, SCUR1_41940.11, SCUR1_41940.3, SCUR1_41940.4	FGIG_06711
OG0000652	SCUR1_40340.1	FGIG_07451, FGIG_11251
OG0000653	SCUR1_40890.1, SCUR1_40910.1	FGIG_08008
OG0000654	SCUR1_58160.3, SCUR1_58160.4, SCUR1_58160.1, SCUR1_58160.2	FGIG_08135
OG0000655	SCUR1_80400.1, SCUR1_80400.2, SCUR1_80400.3, SCUR1_80400.4, SCUR1_80400.6, SCUR1_80400.8, SCUR1_80400.9, SCUR1_80400.10, SCUR1_80400.11, SCUR1_80400.5, SCUR1_80400.7	FGIG_08460
OG0000656	SCUR1_74780.1	FGIG_11331
OG0000657	SCUR1_88920.1, SCUR1_88920.2, SCUR1_88920.3	FGIG_12016
OG0000663	SCUR1_38280.1	FGIG_00042
OG0000664	SCUR1_12470.4, SCUR1_12470.2, SCUR1_12470.5, SCUR1_12470.1, SCUR1_12470.3	FGIG_00049
OG0000665	SCUR1_72230.1, SCUR1_72230.2	FGIG_00160, FGIG_00161
OG0000666	SCUR1_61720.1, SCUR1_61720.2, SCUR1_61720.3, SCUR1_61720.4, SCUR1_61720.5	FGIG_00549
OG0000667	SCUR1_6180.1, SCUR1_6180.2, SCUR1_6180.3, SCUR1_6180.4	FGIG_01542
OG0000668	SCUR1_52420.1	FGIG_01730, FGIG_09027
OG0000669	SCUR1_67600.3, SCUR1_67600.4, SCUR1_67600.5, SCUR1_67600.1, SCUR1_67600.2, SCUR1_67600.6	FGIG_01837
OG0000671	SCUR1_76030.4, SCUR1_76030.5, SCUR1_76030.6, SCUR1_76030.1, SCUR1_76030.2, SCUR1_76030.3, SCUR1_76030.7	FGIG_08408, FGIG_02086
OG0000672	SCUR1_44360.4, SCUR1_44360.5, SCUR1_44360.1, SCUR1_44360.2, SCUR1_44360.3	FGIG_02238
OG0000673	SCUR1_16130.7, SCUR1_16130.1, SCUR1_16130.3, SCUR1_16130.4, SCUR1_16130.2, SCUR1_16130.5, SCUR1_16130.6	FGIG_09403, FGIG_02862, FGIG_11262
OG0000674	SCUR1_77580.1	FGIG_03748
OG0000675	SCUR1_71380.6, SCUR1_71380.2, SCUR1_71380.3, SCUR1_71380.4, SCUR1_71380.5, SCUR1_71380.7, SCUR1_71380.1	FGIG_04836
OG0000676	SCUR1_80430.1, SCUR1_80430.2	FGIG_04981
OG0000677	SCUR1_5230.1	FGIG_08608, FGIG_05149
OG0000678	SCUR1_34640.1	FGIG_05212, FGIG_08440
OG0000679	SCUR1_71440.1, SCUR1_71440.3, SCUR1_71440.2	FGIG_05421
OG0000680	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5	FGIG_06325
OG0000681	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9	FGIG_07672, FGIG_07674, FGIG_07673
OG0000682	SCUR1_43170.4, SCUR1_43170.6, SCUR1_43170.10, SCUR1_43170.2, SCUR1_43170.8, SCUR1_43170.7, SCUR1_43170.9, SCUR1_43170.1, SCUR1_43170.5, SCUR1_43170.3	FGIG_08671, FGIG_10440
OG0000683	SCUR1_55100.1, SCUR1_55100.2, SCUR1_55100.3, SCUR1_55100.4	FGIG_08868
OG0000683	SCUR1_66850.1	FGIG_11508
OG0000684	SCUR1_98310.1, SCUR1_98310.2, SCUR1_98310.3, SCUR1_98310.4	FGIG_09603
OG0000685	SCUR1_74560.1, SCUR1_74560.2, SCUR1_74560.3, SCUR1_74560.5, SCUR1_74560.6, SCUR1_74560.4	FGIG_10349
OG0000686	SCUR1_59910.2, SCUR1_59910.4, SCUR1_59910.1, SCUR1_59910.3	FGIG_10794
OG0000687	SCUR1_26830.2, SCUR1_26830.1, SCUR1_26830.7, SCUR1_26830.4, SCUR1_26830.5, SCUR1_26830.6, SCUR1_26830.3	FGIG_10988
OG0000688	SCUR1_630.1, SCUR1_630.2, SCUR1_630.3	FGIG_11395
OG0000689	SCUR1_2870.1, SCUR1_2860.1	FGIG_11959, FGIG_11996, FGIG_12497
OG0000695	SCUR1_94700.1	FGIG_01172
OG0000695	SCUR1_45600.1, SCUR1_45600.2, SCUR1_45600.3	FGIG_00165
OG0000696	SCUR1_5470.1, SCUR1_5470.2	FGIG_00322
OG0000697	SCUR1_40410.1, SCUR1_40410.6, SCUR1_40410.7, SCUR1_40410.4, SCUR1_40410.3, SCUR1_40410.5, SCUR1_40410.2	FGIG_00451
OG0000698	SCUR1_18010.4, SCUR1_18010.1, SCUR1_18010.2, SCUR1_18010.3	FGIG_00723
OG0000699	SCUR1_33080.1	FGIG_00957
OG0000699	SCUR1_46010.2, SCUR1_46010.1, SCUR1_46010.3	FGIG_08660
OG0000700	SCUR1_28310.1, SCUR1_23870.1, SCUR1_23880.1, SCUR1_23890.1	FGIG_01249
OG0000701	SCUR1_60720.2, SCUR1_60720.1, SCUR1_60720.3	FGIG_01998
OG0000702	SCUR1_85710.2, SCUR1_85710.7, SCUR1_85710.5, SCUR1_85710.1, SCUR1_85710.3, SCUR1_85710.4, SCUR1_85710.6	FGIG_02188
OG0000703	SCUR1_190.1, SCUR1_190.2	FGIG_02284, FGIG_02283, FGIG_09761, FGIG_07532, FGIG_07531, FGIG_06144
OG0000704	SCUR1_48380.1	FGIG_02296
OG0000705	SCUR1_6090.5, SCUR1_6100.1, SCUR1_6090.1, SCUR1_6090.4, SCUR1_6090.2, SCUR1_6100.2, SCUR1_6090.3, SCUR1_6100.3	FGIG_02537, FGIG_04858
OG0000706	SCUR1_43500.1	FGIG_03088
OG0000706	SCUR1_52330.1	FGIG_06242
OG0000707	SCUR1_92940.3, SCUR1_92940.1, SCUR1_92940.2, SCUR1_92940.4	FGIG_03479, FGIG_13999
OG0000708	SCUR1_37410.1	FGIG_03513, FGIG_05397
OG0000709	SCUR1_43780.1, SCUR1_43780.2	FGIG_03634
OG0000710	SCUR1_7890.1, SCUR1_7900.1	FGIG_04123
OG0000711	SCUR1_73710.7, SCUR1_73710.4, SCUR1_73710.2, SCUR1_73710.3, SCUR1_73710.5, SCUR1_73710.1, SCUR1_73710.6	FGIG_04685
OG0000712	SCUR1_52710.2, SCUR1_52710.1, SCUR1_52710.3, SCUR1_52710.5, SCUR1_52710.6, SCUR1_52710.4, SCUR1_52710.7	FGIG_04717
OG0000713	SCUR1_70950.1	FGIG_04850
OG0000714	SCUR1_46350.1, SCUR1_46350.2, SCUR1_46310.2, SCUR1_46310.1	FGIG_09522, FGIG_05276
OG0000715	SCUR1_27370.1, SCUR1_27370.2, SCUR1_27370.3, SCUR1_27370.4, SCUR1_27370.5, SCUR1_27370.6, SCUR1_27370.7	FGIG_05565
OG0000716	SCUR1_11750.5, SCUR1_11750.4, SCUR1_11750.1, SCUR1_11750.3, SCUR1_11750.2	FGIG_06079, FGIG_11256
OG0000717	SCUR1_58920.3, SCUR1_58920.4, SCUR1_58920.7, SCUR1_58920.9, SCUR1_58920.1, SCUR1_58920.2, SCUR1_58920.8, SCUR1_58920.11, SCUR1_58920.12, SCUR1_58920.10, SCUR1_58920.5, SCUR1_58920.6	FGIG_06905, FGIG_06906
OG0000718	SCUR1_74010.1, SCUR1_74010.3, SCUR1_74010.4, SCUR1_74010.2	FGIG_07103
OG0000719	SCUR1_55110.1, SCUR1_55110.3, SCUR1_55110.2, SCUR1_55110.4	FGIG_07183
OG0000720	SCUR1_76300.6, SCUR1_76300.7, SCUR1_76300.2, SCUR1_76300.9, SCUR1_76300.10, SCUR1_76300.8, SCUR1_76300.5, SCUR1_76300.3, SCUR1_76300.4, SCUR1_76300.1	FGIG_07280
OG0000721	SCUR1_45870.4, SCUR1_45870.6, SCUR1_45870.5, SCUR1_45870.1, SCUR1_45870.2, SCUR1_45870.3, SCUR1_45870.7	FGIG_07460
OG0000722	SCUR1_5370.5, SCUR1_5370.7, SCUR1_5370.4, SCUR1_5370.3, SCUR1_5370.2, SCUR1_5370.6, SCUR1_5370.1	FGIG_07693, FGIG_07988
OG0000723	SCUR1_76020.1	FGIG_08409
OG0000724	SCUR1_41990.4, SCUR1_41990.6, SCUR1_41990.1, SCUR1_41990.2, SCUR1_41990.3, SCUR1_41990.5, SCUR1_41990.7, SCUR1_41990.8	FGIG_08545, FGIG_08543
OG0000725	SCUR1_76380.2, SCUR1_76380.1, SCUR1_76380.3, SCUR1_76380.4, SCUR1_76380.5	FGIG_08674, FGIG_12036
OG0000726	SCUR1_29780.2, SCUR1_29780.3, SCUR1_29780.4, SCUR1_29780.1	FGIG_08836
OG0000726	SCUR1_29790.1, SCUR1_29790.4, SCUR1_29790.2, SCUR1_29790.3	FGIG_08835
OG0000727	SCUR1_38890.10, SCUR1_38890.6, SCUR1_38890.11, SCUR1_38890.12, SCUR1_38890.5, SCUR1_38890.7, SCUR1_38890.8, SCUR1_38890.9, SCUR1_38890.1, SCUR1_38890.13, SCUR1_38890.14, SCUR1_38890.2, SCUR1_38890.3, SCUR1_38890.4	FGIG_09069
OG0000729	SCUR1_8740.10, SCUR1_8740.1, SCUR1_8740.2, SCUR1_8740.3, SCUR1_8740.8, SCUR1_8740.4, SCUR1_8740.5, SCUR1_8740.6, SCUR1_8740.7, SCUR1_8740.9	FGIG_12577, FGIG_12004, FGIG_09493, FGIG_11791
OG0000730	SCUR1_59940.5, SCUR1_59940.4, SCUR1_59940.6, SCUR1_59940.8, SCUR1_59940.7, SCUR1_59940.1, SCUR1_59940.2, SCUR1_59940.3	FGIG_10454
OG0000731	SCUR1_75670.4, SCUR1_75670.5, SCUR1_75670.2, SCUR1_75670.3, SCUR1_75670.6, SCUR1_75670.7, SCUR1_75670.8, SCUR1_75670.1	FGIG_10487
OG0000732	SCUR1_3480.1, SCUR1_3480.2	FGIG_11075
OG0000733	SCUR1_2800.2, SCUR1_2800.3, SCUR1_2800.1	FGIG_12111, FGIG_11583
OG0000736	SCUR1_77500.1	FGIG_00111
OG0000737	SCUR1_9770.4, SCUR1_9770.1, SCUR1_9770.3, SCUR1_9770.6, SCUR1_9780.1, SCUR1_9780.2, SCUR1_9770.2, SCUR1_9770.5	FGIG_00338, FGIG_00337, FGIG_00339
OG0000738	SCUR1_69120.1, SCUR1_69110.1	FGIG_02670, FGIG_00476, FGIG_08925
OG0000740	SCUR1_8290.1	FGIG_01427
OG0000741	SCUR1_83400.1, SCUR1_83400.3, SCUR1_83400.2	FGIG_02730
OG0000742	SCUR1_36100.1, SCUR1_45910.2, SCUR1_71810.1	FGIG_02978
OG0000743	SCUR1_22580.1, SCUR1_22580.4, SCUR1_22580.2, SCUR1_22580.3	FGIG_03357
OG0000744	SCUR1_3570.4, SCUR1_3570.1, SCUR1_3570.11, SCUR1_3570.12, SCUR1_3570.2, SCUR1_3570.3, SCUR1_3570.5, SCUR1_3570.6, SCUR1_3570.10, SCUR1_3570.9, SCUR1_3570.8, SCUR1_3570.7	FGIG_04615
OG0000745	SCUR1_38240.1, SCUR1_38240.3, SCUR1_38240.2	FGIG_04697, FGIG_11035
OG0000746	SCUR1_60580.1	FGIG_05601
OG0000747	SCUR1_43060.1, SCUR1_43060.3, SCUR1_43060.2, SCUR1_43060.4	FGIG_05634
OG0000748	SCUR1_69550.1	FGIG_05694, FGIG_05760, FGIG_05761
OG0000749	SCUR1_68910.1	FGIG_05710
OG0000750	SCUR1_73580.1, SCUR1_73580.3, SCUR1_73580.2, SCUR1_73580.8, SCUR1_73580.7, SCUR1_73580.6, SCUR1_73580.5, SCUR1_73580.4	FGIG_06338
OG0000751	SCUR1_5500.1, SCUR1_2440.1	FGIG_06853, FGIG_12237
OG0000752	SCUR1_97640.1, SCUR1_91540.1	FGIG_06872
OG0000753	SCUR1_82050.3, SCUR1_82050.1, SCUR1_82050.2	FGIG_07104
OG0000754	SCUR1_50350.1	FGIG_07172
OG0000755	SCUR1_74850.1	FGIG_07206
OG0000756	SCUR1_39160.1	FGIG_07332
OG0000757	SCUR1_52570.3, SCUR1_52570.2, SCUR1_52570.1, SCUR1_52570.4	FGIG_07577
OG0000758	SCUR1_8770.1	FGIG_07692
OG0000759	SCUR1_53000.6, SCUR1_53000.7, SCUR1_53000.1, SCUR1_53000.4, SCUR1_53000.8, SCUR1_53000.5, SCUR1_53000.3, SCUR1_53000.2	FGIG_08239, FGIG_08240, FGIG_11630, FGIG_08238
OG0000760	SCUR1_78210.2, SCUR1_78210.10, SCUR1_78210.8, SCUR1_78210.1, SCUR1_78210.3, SCUR1_78210.4, SCUR1_78210.5, SCUR1_78210.6, SCUR1_78210.7, SCUR1_78210.9	FGIG_08405
OG0000761	SCUR1_53740.1, SCUR1_53740.2	FGIG_08641
OG0000762	SCUR1_80200.2, SCUR1_80200.3, SCUR1_80200.1	FGIG_11563, FGIG_11679
OG0000762	SCUR1_86400.1	FGIG_08717
OG0000763	SCUR1_21460.1	FGIG_10588
OG0000764	SCUR1_8890.4, SCUR1_8890.2, SCUR1_8890.1, SCUR1_8890.3	FGIG_10711
OG0000765	SCUR1_52980.2, SCUR1_52980.1	FGIG_12043, FGIG_11357
OG0000765	SCUR1_52990.2, SCUR1_52990.1	FGIG_11560, FGIG_12698
OG0000766	SCUR1_62980.1, SCUR1_62980.2	FGIG_11419
OG0000767	SCUR1_65030.1, SCUR1_65030.2	FGIG_11449
OG0000768	SCUR1_40190.1, SCUR1_40190.3, SCUR1_40190.2, SCUR1_40190.5, SCUR1_40190.4	FGIG_11533, FGIG_12305
OG0000769	SCUR1_2010.5, SCUR1_2010.1, SCUR1_2010.3, SCUR1_2010.2, SCUR1_2010.4	FGIG_12118, FGIG_12119
OG0000770	SCUR1_17840.1	FGIG_12503, FGIG_12181
OG0000773	SCUR1_25680.1	FGIG_04534, FGIG_00207
OG0000774	SCUR1_47240.1, SCUR1_47240.4, SCUR1_47240.7, SCUR1_47240.3, SCUR1_47240.6, SCUR1_47240.2, SCUR1_47240.5	FGIG_00300, FGIG_00299
OG0000775	SCUR1_51630.5, SCUR1_51630.6, SCUR1_51630.3, SCUR1_51630.1, SCUR1_51630.2, SCUR1_51630.4	FGIG_00308
OG0000776	SCUR1_45900.1, SCUR1_45900.2	FGIG_10546
OG0000776	SCUR1_56750.1	FGIG_00374
OG0000777	SCUR1_52200.4, SCUR1_52200.1, SCUR1_52200.2, SCUR1_52200.3, SCUR1_52200.5	FGIG_00633
OG0000778	SCUR1_22880.1	FGIG_03692
OG0000779	SCUR1_3650.1	FGIG_00938
OG0000780	SCUR1_14960.1	FGIG_01425
OG0000781	SCUR1_11210.1	FGIG_01631
OG0000781	SCUR1_470.1	FGIG_06825
OG0000782	SCUR1_31670.1	FGIG_01653, FGIG_01652
OG0000783	SCUR1_50660.1, SCUR1_50660.2, SCUR1_50660.5, SCUR1_50660.3, SCUR1_50660.8, SCUR1_50660.4, SCUR1_50660.11, SCUR1_50660.12, SCUR1_50660.10, SCUR1_50660.6, SCUR1_50660.7, SCUR1_50660.9	FGIG_02146, FGIG_11024, FGIG_11880
OG0000784	SCUR1_31580.2, SCUR1_31580.1, SCUR1_31580.3	FGIG_02281
OG0000785	SCUR1_58860.1	FGIG_02641, FGIG_02640
OG0000787	SCUR1_98840.1, SCUR1_98840.2, SCUR1_98840.3, SCUR1_91660.1, SCUR1_59500.1	FGIG_03330
OG0000788	SCUR1_13620.10, SCUR1_13620.11, SCUR1_13620.12, SCUR1_13620.13, SCUR1_13620.2, SCUR1_13620.3, SCUR1_13620.4, SCUR1_13620.5, SCUR1_13620.6, SCUR1_13620.7, SCUR1_13620.8, SCUR1_13620.9, SCUR1_13620.1	FGIG_03424
OG0000789	SCUR1_25460.1, SCUR1_25450.1	FGIG_03779
OG0000790	SCUR1_39510.8, SCUR1_39510.9, SCUR1_39510.5, SCUR1_39510.7, SCUR1_39510.4, SCUR1_39510.6, SCUR1_39510.3, SCUR1_39510.1, SCUR1_39510.2	FGIG_08832, FGIG_03836
OG0000791	SCUR1_42890.1, SCUR1_42890.2, SCUR1_42890.3	FGIG_09865, FGIG_04257, FGIG_04256
OG0000792	SCUR1_5670.1, SCUR1_5670.2, SCUR1_5670.4, SCUR1_5670.5, SCUR1_5670.3	FGIG_04315
OG0000793	SCUR1_34360.1, SCUR1_34360.4, SCUR1_34360.2, SCUR1_34360.6, SCUR1_34360.3, SCUR1_34360.5, SCUR1_34360.7, SCUR1_34360.8	FGIG_04387, FGIG_04388
OG0000794	SCUR1_10010.1	FGIG_04456
OG0000795	SCUR1_93940.1, SCUR1_93940.3, SCUR1_93940.4, SCUR1_93940.2	FGIG_09877, FGIG_04474
OG0000796	SCUR1_15810.1, SCUR1_15820.1, SCUR1_15790.1, SCUR1_15800.1, SCUR1_15800.2	FGIG_04495, FGIG_08360
OG0000797	SCUR1_21170.2, SCUR1_21170.1, SCUR1_21170.3, SCUR1_21170.4	FGIG_10416, FGIG_04513
OG0000798	SCUR1_1230.2, SCUR1_1230.1, SCUR1_1230.3	FGIG_04574
OG0000799	SCUR1_66450.1, SCUR1_66490.1	FGIG_04575
OG0000800	SCUR1_9930.1	FGIG_04703
OG0000801	SCUR1_15690.2, SCUR1_15690.3, SCUR1_15690.1	FGIG_04893
OG0000802	SCUR1_72510.1, SCUR1_72510.2, SCUR1_72510.3	FGIG_07812
OG0000802	SCUR1_58580.1	FGIG_12596, FGIG_05603
OG0000803	SCUR1_78600.1	FGIG_05677
OG0000804	SCUR1_41460.1, SCUR1_41460.2, SCUR1_41460.5, SCUR1_41460.6, SCUR1_41460.7, SCUR1_41460.3, SCUR1_41460.4	FGIG_11847, FGIG_05852
OG0000805	SCUR1_36560.2, SCUR1_36560.3, SCUR1_36560.4, SCUR1_36560.5, SCUR1_36560.1	FGIG_06069
OG0000806	SCUR1_72950.10, SCUR1_72950.9, SCUR1_72950.1, SCUR1_72950.3, SCUR1_72950.4, SCUR1_72950.5, SCUR1_72950.6, SCUR1_72950.8, SCUR1_72950.2, SCUR1_72950.7	FGIG_06119
OG0000807	SCUR1_9670.3, SCUR1_9670.4, SCUR1_9670.2, SCUR1_9670.1	FGIG_06243
OG0000808	SCUR1_92200.1, SCUR1_92200.2, SCUR1_92200.3, SCUR1_92200.4, SCUR1_92200.5, SCUR1_92200.6	FGIG_06270
OG0000809	SCUR1_89600.1, SCUR1_89600.3, SCUR1_89600.4, SCUR1_89600.5, SCUR1_89600.2	FGIG_06731, FGIG_11853
OG0000810	SCUR1_25040.4, SCUR1_25040.6, SCUR1_25040.1, SCUR1_25040.3, SCUR1_25040.2, SCUR1_25040.5, SCUR1_25040.8, SCUR1_25040.7	FGIG_06961
OG0000811	SCUR1_11010.1, SCUR1_11010.2	FGIG_07144
OG0000812	SCUR1_12160.1	FGIG_07516
OG0000813	SCUR1_85330.2, SCUR1_85330.5, SCUR1_85330.6, SCUR1_85330.4, SCUR1_85330.7, SCUR1_85330.8, SCUR1_85330.3, SCUR1_85330.9, SCUR1_85330.1	FGIG_07818
OG0000814	SCUR1_63340.1, SCUR1_63360.1, SCUR1_63350.1, SCUR1_63370.2, SCUR1_63370.1, SCUR1_63370.3	FGIG_08219
OG0000815	SCUR1_59480.1, SCUR1_59480.2, SCUR1_59480.4, SCUR1_59480.3	FGIG_08221, FGIG_11100, FGIG_08223
OG0000816	SCUR1_82970.1	FGIG_08709
OG0000817	SCUR1_87170.1, SCUR1_87170.2, SCUR1_87170.3, SCUR1_87170.4, SCUR1_87170.5	FGIG_09135
OG0000818	SCUR1_11470.1	FGIG_09435
OG0000819	SCUR1_65190.1, SCUR1_65190.2, SCUR1_65190.3	FGIG_09439
OG0000821	SCUR1_96960.1, SCUR1_49160.1, SCUR1_49160.2, SCUR1_49160.3	FGIG_09921
OG0000822	SCUR1_73700.6, SCUR1_73700.7, SCUR1_73700.1, SCUR1_73700.5, SCUR1_73700.2, SCUR1_73700.3, SCUR1_73700.4	FGIG_10054
OG0000823	SCUR1_53360.1	FGIG_10877
OG0000823	SCUR1_91610.1, SCUR1_91620.1	FGIG_10391
