Orthogroup	schistosoma_curassoni	s.mekongi
OG0000649	SCUR1_97590.1, SCUR1_59780.1	KAK4471824.1
OG0000650	SCUR1_77070.1, SCUR1_77070.4, SCUR1_77070.2, SCUR1_77070.3	KAK4470771.1, KAK4470770.1, KAK4470769.1
OG0000651	SCUR1_41940.5, SCUR1_41940.2, SCUR1_41940.9, SCUR1_41940.1, SCUR1_41940.7, SCUR1_41940.8, SCUR1_41940.10, SCUR1_41940.6, SCUR1_41940.11, SCUR1_41940.3, SCUR1_41940.4	KAK4473422.1
OG0000652	SCUR1_40340.1	KAK4473663.1
OG0000653	SCUR1_40890.1, SCUR1_40910.1	KAK4473617.1
OG0000654	SCUR1_58160.3, SCUR1_58160.4, SCUR1_58160.1, SCUR1_58160.2	KAK4472538.1
OG0000655	SCUR1_80400.1, SCUR1_80400.2, SCUR1_80400.3, SCUR1_80400.4, SCUR1_80400.6, SCUR1_80400.8, SCUR1_80400.9, SCUR1_80400.10, SCUR1_80400.11, SCUR1_80400.5, SCUR1_80400.7	KAK4467993.1
OG0000656	SCUR1_74780.1	KAK4470547.1
OG0000657	SCUR1_88920.1, SCUR1_88920.2, SCUR1_88920.3	KAK4468518.1
OG0000659	SCUR1_41920.2, SCUR1_41920.1, SCUR1_41920.3, SCUR1_41920.4	KAK4473415.1
OG0000662	SCUR1_52240.13, SCUR1_52240.4, SCUR1_52240.5, SCUR1_52240.6, SCUR1_52240.7, SCUR1_52240.8, SCUR1_52240.1, SCUR1_52240.10, SCUR1_52240.9, SCUR1_52240.11, SCUR1_52240.12, SCUR1_52240.3, SCUR1_52240.2	KAK4469693.1
OG0000663	SCUR1_38280.1	KAK4473924.1
OG0000664	SCUR1_12470.4, SCUR1_12470.2, SCUR1_12470.5, SCUR1_12470.1, SCUR1_12470.3	KAK4467553.1
OG0000665	SCUR1_72230.1, SCUR1_72230.2	KAK4470314.1
OG0000666	SCUR1_61720.1, SCUR1_61720.2, SCUR1_61720.3, SCUR1_61720.4, SCUR1_61720.5	KAK4471800.1
OG0000667	SCUR1_6180.1, SCUR1_6180.2, SCUR1_6180.3, SCUR1_6180.4	KAK4475968.1
OG0000668	SCUR1_52420.1	KAK4469499.1
OG0000669	SCUR1_67600.3, SCUR1_67600.4, SCUR1_67600.5, SCUR1_67600.1, SCUR1_67600.2, SCUR1_67600.6	KAK4471524.1
OG0000670	SCUR1_44770.5, SCUR1_44770.6, SCUR1_44770.1, SCUR1_44770.2, SCUR1_44770.3, SCUR1_44770.4	KAK4474037.1
OG0000671	SCUR1_76030.4, SCUR1_76030.5, SCUR1_76030.6, SCUR1_76030.1, SCUR1_76030.2, SCUR1_76030.3, SCUR1_76030.7	KAK4470732.1
OG0000672	SCUR1_44360.4, SCUR1_44360.5, SCUR1_44360.1, SCUR1_44360.2, SCUR1_44360.3	KAK4472427.1
OG0000673	SCUR1_16130.7, SCUR1_16130.1, SCUR1_16130.3, SCUR1_16130.4, SCUR1_16130.2, SCUR1_16130.5, SCUR1_16130.6	KAK4474792.1, KAK4474791.1
OG0000674	SCUR1_77580.1	KAK4470823.1
OG0000675	SCUR1_71380.6, SCUR1_71380.2, SCUR1_71380.3, SCUR1_71380.4, SCUR1_71380.5, SCUR1_71380.7, SCUR1_71380.1	KAK4470214.1, KAK4470213.1
OG0000676	SCUR1_80430.1, SCUR1_80430.2	KAK4467996.1
OG0000677	SCUR1_5230.1	KAK4475848.1
OG0000678	SCUR1_34640.1	KAK4474196.1
OG0000679	SCUR1_71440.1, SCUR1_71440.3, SCUR1_71440.2	KAK4470237.1
OG0000680	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5	KAK4474863.1
OG0000681	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9	KAK4474159.1
OG0000682	SCUR1_43170.4, SCUR1_43170.6, SCUR1_43170.10, SCUR1_43170.2, SCUR1_43170.8, SCUR1_43170.7, SCUR1_43170.9, SCUR1_43170.1, SCUR1_43170.5, SCUR1_43170.3	KAK4473529.1
OG0000683	SCUR1_55100.1, SCUR1_55100.2, SCUR1_55100.3, SCUR1_55100.4	KAK4469834.1
OG0000683	SCUR1_66850.1	KAK4471596.1
OG0000684	SCUR1_98310.1, SCUR1_98310.2, SCUR1_98310.3, SCUR1_98310.4	KAK4468121.1
OG0000685	SCUR1_74560.1, SCUR1_74560.2, SCUR1_74560.3, SCUR1_74560.5, SCUR1_74560.6, SCUR1_74560.4	KAK4470335.1
OG0000686	SCUR1_59910.2, SCUR1_59910.4, SCUR1_59910.1, SCUR1_59910.3	KAK4471839.1
OG0000687	SCUR1_26830.2, SCUR1_26830.1, SCUR1_26830.7, SCUR1_26830.4, SCUR1_26830.5, SCUR1_26830.6, SCUR1_26830.3	KAK4472948.1
OG0000688	SCUR1_630.1, SCUR1_630.2, SCUR1_630.3	KAK4475845.1
OG0000689	SCUR1_2870.1, SCUR1_2860.1	KAK4475573.1
OG0000690	SCUR1_22770.1	KAK4473380.1
OG0000692	SCUR1_17070.3, SCUR1_17070.1, SCUR1_17070.2	KAK4474881.1
OG0000695	SCUR1_94700.1	KAK4467842.1
OG0000695	SCUR1_45600.1, SCUR1_45600.2, SCUR1_45600.3	KAK4473537.1
OG0000696	SCUR1_5470.1, SCUR1_5470.2	KAK4475838.1
OG0000697	SCUR1_40410.1, SCUR1_40410.6, SCUR1_40410.7, SCUR1_40410.4, SCUR1_40410.3, SCUR1_40410.5, SCUR1_40410.2	KAK4473658.1
OG0000698	SCUR1_18010.4, SCUR1_18010.1, SCUR1_18010.2, SCUR1_18010.3	KAK4475322.1
OG0000699	SCUR1_33080.1	KAK4472379.1
OG0000700	SCUR1_23880.1, SCUR1_23890.1	KAK4473015.1
OG0000701	SCUR1_60720.2, SCUR1_60720.1, SCUR1_60720.3	KAK4471911.1
OG0000702	SCUR1_85710.2, SCUR1_85710.7, SCUR1_85710.5, SCUR1_85710.1, SCUR1_85710.3, SCUR1_85710.4, SCUR1_85710.6	KAK4468836.1
OG0000703	SCUR1_190.1, SCUR1_190.2	KAK4475702.1
OG0000704	SCUR1_48380.1	KAK4469568.1
OG0000705	SCUR1_6090.5, SCUR1_6100.1, SCUR1_6090.1, SCUR1_6090.4, SCUR1_6090.2, SCUR1_6100.2, SCUR1_6090.3, SCUR1_6100.3	KAK4475920.1
OG0000706	SCUR1_43500.1	KAK4473560.1
OG0000706	SCUR1_52330.1	KAK4469683.1
OG0000707	SCUR1_92940.3, SCUR1_92940.1, SCUR1_92940.2, SCUR1_92940.4	KAK4467706.1
OG0000708	SCUR1_37410.1	KAK4473844.1
OG0000709	SCUR1_43780.1, SCUR1_43780.2	KAK4473581.1
OG0000710	SCUR1_7890.1, SCUR1_7900.1	KAK4476143.1
OG0000711	SCUR1_73710.7, SCUR1_73710.4, SCUR1_73710.2, SCUR1_73710.3, SCUR1_73710.5, SCUR1_73710.1, SCUR1_73710.6	KAK4470475.1
OG0000712	SCUR1_52710.2, SCUR1_52710.1, SCUR1_52710.3, SCUR1_52710.5, SCUR1_52710.6, SCUR1_52710.4, SCUR1_52710.7	KAK4469473.1
OG0000713	SCUR1_70950.1	KAK4470169.1
OG0000714	SCUR1_46350.1, SCUR1_46350.2, SCUR1_46310.2, SCUR1_46310.1	KAK4469311.1
OG0000715	SCUR1_27370.1, SCUR1_27370.2, SCUR1_27370.3, SCUR1_27370.4, SCUR1_27370.5, SCUR1_27370.6, SCUR1_27370.7	KAK4473080.1
OG0000716	SCUR1_11750.5, SCUR1_11750.4, SCUR1_11750.1, SCUR1_11750.3, SCUR1_11750.2	KAK4474488.1
OG0000717	SCUR1_58920.3, SCUR1_58920.4, SCUR1_58920.7, SCUR1_58920.9, SCUR1_58920.1, SCUR1_58920.2, SCUR1_58920.8, SCUR1_58920.11, SCUR1_58920.12, SCUR1_58920.10, SCUR1_58920.5, SCUR1_58920.6	KAK4472067.1
OG0000718	SCUR1_74010.1, SCUR1_74010.3, SCUR1_74010.4, SCUR1_74010.2	KAK4470744.1
OG0000719	SCUR1_55110.1, SCUR1_55110.3, SCUR1_55110.2, SCUR1_55110.4	KAK4469833.1
OG0000721	SCUR1_45870.4, SCUR1_45870.6, SCUR1_45870.5, SCUR1_45870.1, SCUR1_45870.2, SCUR1_45870.3, SCUR1_45870.7	KAK4469698.1
OG0000722	SCUR1_5370.5, SCUR1_5370.7, SCUR1_5370.4, SCUR1_5370.3, SCUR1_5370.2, SCUR1_5370.6, SCUR1_5370.1	KAK4475859.1
OG0000723	SCUR1_76020.1	KAK4470731.1
OG0000724	SCUR1_41990.4, SCUR1_41990.6, SCUR1_41990.1, SCUR1_41990.2, SCUR1_41990.3, SCUR1_41990.5, SCUR1_41990.7, SCUR1_41990.8	KAK4473416.1
OG0000725	SCUR1_76380.2, SCUR1_76380.1, SCUR1_76380.3, SCUR1_76380.4, SCUR1_76380.5	KAK4470428.1
OG0000726	SCUR1_29780.2, SCUR1_29780.3, SCUR1_29780.4, SCUR1_29780.1	KAK4472444.1
OG0000726	SCUR1_29790.1, SCUR1_29790.4, SCUR1_29790.2, SCUR1_29790.3	KAK4472445.1
OG0000727	SCUR1_38890.10, SCUR1_38890.6, SCUR1_38890.11, SCUR1_38890.12, SCUR1_38890.5, SCUR1_38890.7, SCUR1_38890.8, SCUR1_38890.9, SCUR1_38890.1, SCUR1_38890.13, SCUR1_38890.14, SCUR1_38890.2, SCUR1_38890.3, SCUR1_38890.4	KAK4473799.1
OG0000729	SCUR1_8740.10, SCUR1_8740.1, SCUR1_8740.2, SCUR1_8740.3, SCUR1_8740.8, SCUR1_8740.4, SCUR1_8740.5, SCUR1_8740.6, SCUR1_8740.7, SCUR1_8740.9	KAK4476249.1
OG0000730	SCUR1_59940.5, SCUR1_59940.4, SCUR1_59940.6, SCUR1_59940.8, SCUR1_59940.7, SCUR1_59940.1, SCUR1_59940.2, SCUR1_59940.3	KAK4471836.1
OG0000731	SCUR1_75670.4, SCUR1_75670.5, SCUR1_75670.2, SCUR1_75670.3, SCUR1_75670.6, SCUR1_75670.7, SCUR1_75670.8, SCUR1_75670.1	KAK4470693.1
OG0000733	SCUR1_2800.2, SCUR1_2800.3, SCUR1_2800.1	KAK4475569.1
OG0000736	SCUR1_77500.1	KAK4470813.1
OG0000737	SCUR1_9770.4, SCUR1_9770.1, SCUR1_9770.3, SCUR1_9770.6, SCUR1_9780.1, SCUR1_9780.2, SCUR1_9770.2, SCUR1_9770.5	KAK4474370.1
OG0000738	SCUR1_69110.1	KAK4470138.1
OG0000739	SCUR1_100520.1, SCUR1_96800.2, SCUR1_96800.5, SCUR1_96800.3, SCUR1_96800.7, SCUR1_96800.8, SCUR1_96800.9, SCUR1_96800.4, SCUR1_100510.1, SCUR1_100510.2, SCUR1_100510.3, SCUR1_100510.4, SCUR1_100510.5, SCUR1_100510.6, SCUR1_100510.7, SCUR1_100510.9, SCUR1_100510.8, SCUR1_96800.1, SCUR1_96800.6	KAK4469782.1
OG0000740	SCUR1_8290.1	KAK4475982.1
OG0000741	SCUR1_83400.1, SCUR1_83400.3, SCUR1_83400.2	KAK4468185.1
OG0000743	SCUR1_22580.1, SCUR1_22580.4, SCUR1_22580.2, SCUR1_22580.3	KAK4475498.1
OG0000744	SCUR1_3570.4, SCUR1_3570.1, SCUR1_3570.11, SCUR1_3570.12, SCUR1_3570.2, SCUR1_3570.3, SCUR1_3570.5, SCUR1_3570.6, SCUR1_3570.10, SCUR1_3570.9, SCUR1_3570.8, SCUR1_3570.7	KAK4474236.1, KAK4467355.1, KAK4475639.1
OG0000745	SCUR1_38240.1, SCUR1_38240.3, SCUR1_38240.2	KAK4473918.1
OG0000746	SCUR1_60580.1	KAK4471896.1
OG0000748	SCUR1_69550.1	KAK4470051.1, KAK4467349.1, KAK4470183.1
OG0000749	SCUR1_68910.1	KAK4470073.1
OG0000750	SCUR1_73580.1, SCUR1_73580.3, SCUR1_73580.2, SCUR1_73580.8, SCUR1_73580.7, SCUR1_73580.6, SCUR1_73580.5, SCUR1_73580.4	KAK4470486.1
OG0000751	SCUR1_5500.1	KAK4475833.1, KAK4475835.1
OG0000751	SCUR1_2440.1	KAK4475538.1
OG0000752	SCUR1_97640.1	KAK4467935.1
OG0000752	SCUR1_91540.1	KAK4467930.1
OG0000754	SCUR1_50350.1	KAK4469412.1
OG0000756	SCUR1_39160.1	KAK4473770.1
OG0000757	SCUR1_52570.3, SCUR1_52570.2, SCUR1_52570.1, SCUR1_52570.4	KAK4469488.1
OG0000759	SCUR1_53000.6, SCUR1_53000.7, SCUR1_53000.1, SCUR1_53000.4, SCUR1_53000.8, SCUR1_53000.5, SCUR1_53000.3, SCUR1_53000.2	KAK4469520.1
OG0000760	SCUR1_78210.2, SCUR1_78210.10, SCUR1_78210.8, SCUR1_78210.1, SCUR1_78210.3, SCUR1_78210.4, SCUR1_78210.5, SCUR1_78210.6, SCUR1_78210.7, SCUR1_78210.9	KAK4470881.1
OG0000761	SCUR1_53740.1, SCUR1_53740.2	KAK4469193.1
OG0000762	SCUR1_80200.2, SCUR1_80200.3, SCUR1_80200.1	KAK4468368.1
OG0000762	SCUR1_86400.1	KAK4468720.1
OG0000763	SCUR1_21460.1	KAK4475061.1
OG0000764	SCUR1_8890.4, SCUR1_8890.2, SCUR1_8890.1, SCUR1_8890.3	KAK4476235.1
OG0000765	SCUR1_52980.2, SCUR1_52980.1	KAK4469518.1
OG0000765	SCUR1_52990.2, SCUR1_52990.1	KAK4469519.1
OG0000766	SCUR1_62980.1, SCUR1_62980.2	KAK4471386.1
OG0000767	SCUR1_65030.1, SCUR1_65030.2	KAK4471235.1
OG0000768	SCUR1_40190.1, SCUR1_40190.3, SCUR1_40190.2, SCUR1_40190.5, SCUR1_40190.4	KAK4473678.1
OG0000769	SCUR1_2010.5, SCUR1_2010.1, SCUR1_2010.3, SCUR1_2010.2, SCUR1_2010.4	KAK4475312.1
OG0000770	SCUR1_17840.1	KAK4474961.1
OG0000771	SCUR1_79350.1, SCUR1_100100.1, SCUR1_100110.1, SCUR1_100120.1	KAK4470996.1
OG0000772	SCUR1_16750.1, SCUR1_16750.2, SCUR1_16800.1	KAK4474852.1
OG0000773	SCUR1_25680.1	KAK4473279.1
OG0000774	SCUR1_47240.1, SCUR1_47240.4, SCUR1_47240.7, SCUR1_47240.3, SCUR1_47240.6, SCUR1_47240.2, SCUR1_47240.5	KAK4475493.1
OG0000775	SCUR1_51630.5, SCUR1_51630.6, SCUR1_51630.3, SCUR1_51630.1, SCUR1_51630.2, SCUR1_51630.4	KAK4469163.1
OG0000776	SCUR1_45900.1, SCUR1_45900.2	KAK4469675.1
OG0000776	SCUR1_56750.1	KAK4469755.1
OG0000777	SCUR1_52200.4, SCUR1_52200.1, SCUR1_52200.2, SCUR1_52200.3, SCUR1_52200.5	KAK4469700.1
OG0000778	SCUR1_22880.1	KAK4473368.1
OG0000779	SCUR1_3650.1	KAK4467285.1, KAK4467284.1, KAK4475645.1, KAK4467283.1, KAK4467511.1
OG0000780	SCUR1_14960.1	KAK4475273.1
OG0000781	SCUR1_11210.1	KAK4474552.1
OG0000781	SCUR1_470.1	KAK4476024.1
OG0000782	SCUR1_31670.1	KAK4472624.1
OG0000783	SCUR1_50660.1, SCUR1_50660.2, SCUR1_50660.5, SCUR1_50660.3, SCUR1_50660.8, SCUR1_50660.4, SCUR1_50660.11, SCUR1_50660.12, SCUR1_50660.10, SCUR1_50660.6, SCUR1_50660.7, SCUR1_50660.9	KAK4469441.1
OG0000784	SCUR1_31580.2, SCUR1_31580.1, SCUR1_31580.3	KAK4472638.1
OG0000785	SCUR1_58860.1	KAK4472075.1, KAK4472076.1
OG0000787	SCUR1_98840.1, SCUR1_98840.2, SCUR1_98840.3, SCUR1_91660.1	KAK4467917.1, KAK4467919.1
OG0000787	SCUR1_59500.1	KAK4472011.1
OG0000788	SCUR1_13620.10, SCUR1_13620.11, SCUR1_13620.12, SCUR1_13620.13, SCUR1_13620.2, SCUR1_13620.3, SCUR1_13620.4, SCUR1_13620.5, SCUR1_13620.6, SCUR1_13620.7, SCUR1_13620.8, SCUR1_13620.9, SCUR1_13620.1	KAK4474750.1
OG0000789	SCUR1_25460.1	KAK4473257.1
OG0000789	SCUR1_25450.1	KAK4473256.1
OG0000790	SCUR1_39510.8, SCUR1_39510.9, SCUR1_39510.5, SCUR1_39510.7, SCUR1_39510.4, SCUR1_39510.6, SCUR1_39510.3, SCUR1_39510.1, SCUR1_39510.2	KAK4473741.1
OG0000791	SCUR1_42890.1, SCUR1_42890.2, SCUR1_42890.3	KAK4473509.1
OG0000792	SCUR1_5670.1, SCUR1_5670.2, SCUR1_5670.4, SCUR1_5670.5, SCUR1_5670.3	KAK4469047.1, KAK4475816.1
OG0000793	SCUR1_34360.1, SCUR1_34360.4, SCUR1_34360.2, SCUR1_34360.6, SCUR1_34360.3, SCUR1_34360.5, SCUR1_34360.7, SCUR1_34360.8	KAK4472249.1
OG0000794	SCUR1_10010.1	KAK4474355.1
OG0000795	SCUR1_93940.1, SCUR1_93940.3, SCUR1_93940.4, SCUR1_93940.2	KAK4467676.1
OG0000796	SCUR1_15790.1, SCUR1_15800.1, SCUR1_15800.2	KAK4474757.1
OG0000797	SCUR1_21170.2, SCUR1_21170.1, SCUR1_21170.3, SCUR1_21170.4	KAK4475035.1
OG0000798	SCUR1_1230.2, SCUR1_1230.1, SCUR1_1230.3	KAK4475964.1
OG0000799	SCUR1_66450.1, SCUR1_66490.1	KAK4471638.1
OG0000800	SCUR1_9930.1	KAK4476179.1
OG0000801	SCUR1_15690.2, SCUR1_15690.3, SCUR1_15690.1	KAK4475245.1
OG0000802	SCUR1_72510.1, SCUR1_72510.2, SCUR1_72510.3	KAK4470576.1
OG0000802	SCUR1_58580.1	KAK4472112.1
OG0000803	SCUR1_78600.1	KAK4470919.1
OG0000804	SCUR1_41460.1, SCUR1_41460.2, SCUR1_41460.5, SCUR1_41460.6, SCUR1_41460.7, SCUR1_41460.3, SCUR1_41460.4	KAK4473168.1
OG0000805	SCUR1_36560.2, SCUR1_36560.3, SCUR1_36560.4, SCUR1_36560.5, SCUR1_36560.1	KAK4474013.1
OG0000806	SCUR1_72950.10, SCUR1_72950.9, SCUR1_72950.1, SCUR1_72950.3, SCUR1_72950.4, SCUR1_72950.5, SCUR1_72950.6, SCUR1_72950.8, SCUR1_72950.2, SCUR1_72950.7	KAK4470608.1
OG0000807	SCUR1_9670.3, SCUR1_9670.4, SCUR1_9670.2, SCUR1_9670.1	KAK4473307.1, KAK4474358.1
OG0000808	SCUR1_92180.1	KAK4467771.1
OG0000808	SCUR1_92200.1, SCUR1_92200.2, SCUR1_92200.3, SCUR1_92200.4, SCUR1_92200.5, SCUR1_92200.6	KAK4467779.1
OG0000809	SCUR1_89600.1, SCUR1_89600.3, SCUR1_89600.4, SCUR1_89600.5, SCUR1_89600.2	KAK4468611.1
OG0000810	SCUR1_25040.4, SCUR1_25040.6, SCUR1_25040.1, SCUR1_25040.3, SCUR1_25040.2, SCUR1_25040.5, SCUR1_25040.8, SCUR1_25040.7	KAK4473212.1
OG0000811	SCUR1_11010.1, SCUR1_11010.2	KAK4474417.1
OG0000812	SCUR1_12160.1	KAK4474440.1
OG0000813	SCUR1_85330.2, SCUR1_85330.5, SCUR1_85330.6, SCUR1_85330.4, SCUR1_85330.7, SCUR1_85330.8, SCUR1_85330.3, SCUR1_85330.9, SCUR1_85330.1	KAK4468852.1
OG0000814	SCUR1_63340.1, SCUR1_63360.1, SCUR1_63350.1, SCUR1_63370.2, SCUR1_63370.1, SCUR1_63370.3	KAK4471430.1
OG0000815	SCUR1_59480.1, SCUR1_59480.2, SCUR1_59480.4, SCUR1_59480.3	KAK4472012.1
OG0000816	SCUR1_82970.1	KAK4468020.1
OG0000817	SCUR1_87170.1, SCUR1_87170.2, SCUR1_87170.3, SCUR1_87170.4, SCUR1_87170.5	KAK4468677.1
OG0000818	SCUR1_11470.1	KAK4474538.1
OG0000819	SCUR1_65190.1, SCUR1_65190.2, SCUR1_65190.3	KAK4471251.1
OG0000821	SCUR1_96960.1, SCUR1_49160.1, SCUR1_49160.2, SCUR1_49160.3	KAK4469272.1
OG0000822	SCUR1_73700.6, SCUR1_73700.7, SCUR1_73700.1, SCUR1_73700.5, SCUR1_73700.2, SCUR1_73700.3, SCUR1_73700.4	KAK4470476.1
OG0000823	SCUR1_53360.1	KAK4467478.1
OG0000823	SCUR1_91610.1, SCUR1_91620.1	KAK4467922.1
OG0000824	SCUR1_3040.4, SCUR1_3040.1, SCUR1_3040.2, SCUR1_3040.3, SCUR1_3040.6, SCUR1_3040.5	KAK4475591.1
OG0000825	SCUR1_76510.1, SCUR1_76520.1, SCUR1_76500.1, SCUR1_76490.1	KAK4470419.1, KAK4470420.1, KAK4470421.1
OG0000827	SCUR1_74760.1	KAK4470549.1
OG0000827	SCUR1_74750.1, SCUR1_74750.2, SCUR1_74750.3	KAK4470028.1, KAK4470550.1
OG0000828	SCUR1_89330.1, SCUR1_89340.1, SCUR1_89350.1	KAK4468383.1
OG0000829	SCUR1_18460.1	KAK4475182.1
OG0000830	SCUR1_48890.4, SCUR1_48890.1, SCUR1_48890.2, SCUR1_48890.3	KAK4469293.1
OG0000831	SCUR1_42600.2, SCUR1_42600.5, SCUR1_42600.4, SCUR1_42600.1, SCUR1_42600.6, SCUR1_42600.3	KAK4473480.1
OG0000832	SCUR1_60220.1, SCUR1_60220.4, SCUR1_60220.5, SCUR1_60220.3, SCUR1_60220.2	KAK4471871.1
OG0000833	SCUR1_33360.1	KAK4472353.1
OG0000835	SCUR1_38250.1	KAK4473919.1
OG0000836	SCUR1_37540.2, SCUR1_37540.3, SCUR1_37540.4	KAK4473858.1
OG0000837	SCUR1_32420.1	KAK4472239.1
OG0000839	SCUR1_38700.3, SCUR1_38700.1, SCUR1_38700.2	KAK4473818.1
OG0000840	SCUR1_69640.10, SCUR1_69640.5, SCUR1_69640.9, SCUR1_69640.4, SCUR1_69640.7, SCUR1_69640.6, SCUR1_69640.8, SCUR1_69640.2, SCUR1_69640.1, SCUR1_69640.3	KAK4470970.1, KAK4470978.1
OG0000841	SCUR1_20870.1	KAK4475007.1
OG0000842	SCUR1_66640.2, SCUR1_66640.1	KAK4471617.1
OG0000843	SCUR1_81490.3, SCUR1_81490.4, SCUR1_81490.1, SCUR1_81490.2	KAK4468285.1
OG0000844	SCUR1_5250.1, SCUR1_5250.2	KAK4475850.1
OG0000845	SCUR1_88620.4, SCUR1_88620.5, SCUR1_88620.3, SCUR1_88620.6, SCUR1_88620.1, SCUR1_88620.2	KAK4468551.1, KAK4467252.1
OG0000846	SCUR1_16860.1, SCUR1_16860.2, SCUR1_16860.3, SCUR1_16860.4, SCUR1_16860.5, SCUR1_16860.6	KAK4474858.1
OG0000847	SCUR1_1140.1	KAK4476036.1
OG0000848	SCUR1_34980.6, SCUR1_34980.3, SCUR1_34980.4, SCUR1_34980.5, SCUR1_34980.2, SCUR1_34980.1	KAK4474163.1
OG0000849	SCUR1_39330.2, SCUR1_39330.4, SCUR1_39330.3, SCUR1_39330.5, SCUR1_39330.8, SCUR1_39330.1, SCUR1_39330.6, SCUR1_39330.7	KAK4473756.1
OG0000850	SCUR1_27340.6, SCUR1_27340.1, SCUR1_27340.3, SCUR1_27340.4, SCUR1_27340.2, SCUR1_27340.5	KAK4473025.1
OG0000851	SCUR1_89620.1, SCUR1_89620.2, SCUR1_89620.3, SCUR1_89620.4	KAK4468610.1
OG0000852	SCUR1_10860.7, SCUR1_10860.4, SCUR1_10860.5, SCUR1_10860.6, SCUR1_10860.3, SCUR1_10860.1, SCUR1_10860.2, SCUR1_10860.8	KAK4474383.1
OG0000853	SCUR1_82010.1	KAK4468234.1
OG0000854	SCUR1_37550.1	KAK4473859.1
OG0000855	SCUR1_54640.1, SCUR1_54630.1, SCUR1_54580.4, SCUR1_54580.2, SCUR1_54580.1, SCUR1_54580.5, SCUR1_54580.3	KAK4467325.1
OG0000856	SCUR1_2950.1	KAK4475581.1
OG0000857	SCUR1_4150.4, SCUR1_4150.1, SCUR1_4150.2, SCUR1_4150.3, SCUR1_4150.6, SCUR1_4150.7, SCUR1_4150.5, SCUR1_4150.8	KAK4467572.1, KAK4475703.1
OG0000858	SCUR1_4550.4, SCUR1_4550.6, SCUR1_4550.7, SCUR1_4550.2, SCUR1_4550.3, SCUR1_4550.1, SCUR1_4550.5	KAK4467344.1, KAK4467343.1, KAK4475741.1
OG0000859	SCUR1_49580.6, SCUR1_49580.8, SCUR1_49580.11, SCUR1_49580.10, SCUR1_49580.2, SCUR1_49580.4, SCUR1_49580.3, SCUR1_49580.12, SCUR1_49580.5, SCUR1_49580.1, SCUR1_49580.7, SCUR1_49580.9	KAK4469232.1
OG0000860	SCUR1_59770.1	KAK4471825.1
OG0000860	SCUR1_62340.1, SCUR1_62340.2	KAK4471718.1
OG0000862	SCUR1_29940.1	KAK4472465.1
OG0000863	SCUR1_7260.2, SCUR1_7260.1, SCUR1_7260.3, SCUR1_7260.4, SCUR1_7260.5, SCUR1_7260.6, SCUR1_7260.7	KAK4476011.1
OG0000864	SCUR1_40490.1	KAK4473645.1
OG0000865	SCUR1_33320.1	KAK4472356.1
OG0000866	SCUR1_95280.5, SCUR1_95280.4, SCUR1_95280.3, SCUR1_95280.1, SCUR1_95280.2	KAK4475812.1
OG0000868	SCUR1_100130.1, SCUR1_79370.1, SCUR1_79370.2, SCUR1_79370.3, SCUR1_79370.4, SCUR1_79440.1, SCUR1_79400.1	KAK4467317.1, KAK4467483.1, KAK4471001.1
OG0000869	SCUR1_88090.1, SCUR1_88090.2, SCUR1_88090.3	KAK4468576.1
OG0000870	SCUR1_100160.5, SCUR1_100160.1, SCUR1_100160.2, SCUR1_100160.3, SCUR1_100160.4	KAK4474365.1
OG0000871	SCUR1_22660.1, SCUR1_22660.2	KAK4472823.1
OG0000872	SCUR1_4030.1, SCUR1_4030.2	KAK4475688.1
OG0000873	SCUR1_85260.6, SCUR1_85260.4, SCUR1_85260.5, SCUR1_85260.7, SCUR1_85260.1, SCUR1_85260.2, SCUR1_85260.3	KAK4468855.1
OG0000874	SCUR1_43220.1, SCUR1_43220.2, SCUR1_43220.3, SCUR1_43220.4, SCUR1_43220.5	KAK4473534.1
OG0000875	SCUR1_62270.2, SCUR1_62270.3, SCUR1_62270.1, SCUR1_62270.4	KAK4471728.1
OG0000876	SCUR1_96810.3, SCUR1_96810.4, SCUR1_96810.6, SCUR1_96810.7, SCUR1_96810.5, SCUR1_96810.1, SCUR1_96810.2, SCUR1_95170.1, SCUR1_99960.1, SCUR1_99960.2, SCUR1_96070.1, SCUR1_96070.2	KAK4473295.1
OG0000877	SCUR1_7190.1, SCUR1_7190.2, SCUR1_7190.3, SCUR1_7190.5, SCUR1_7190.4	KAK4476016.1
OG0000878	SCUR1_18450.1	KAK4475183.1
OG0000879	SCUR1_58380.1, SCUR1_58380.2, SCUR1_58400.1	KAK4471099.1
OG0000880	SCUR1_79040.1	KAK4470966.1
OG0000881	SCUR1_4570.1	KAK4475745.1
OG0000881	SCUR1_89450.1	KAK4468637.1
OG0000882	SCUR1_22090.1	KAK4475447.1
OG0000882	SCUR1_40290.1	KAK4473671.1
OG0000883	SCUR1_40280.1	KAK4473672.1
OG0000884	SCUR1_39540.1	KAK4473737.1
OG0000885	SCUR1_91260.3, SCUR1_91260.2, SCUR1_91260.1, SCUR1_170.1, SCUR1_57230.1	KAK4474352.1
