Orthogroup	fasciola_hepatica	opisthorchis_viverrini
OG0001653	FhHiC23_g13332.t1	T265_12692
OG0001655	FhHiC23_g7908.t1	T265_08873
OG0001656	FhHiC23_g16220.t1	T265_01416, T265_13854
OG0001657	FhHiC23_g6597.t1	T265_02579
OG0001659	FhHiC23_g5797.t1, FhHiC23_g5797.t2	T265_05197
OG0001668	FhHiC23_g5822.t1, FhHiC23_g5823.t1	T265_09738
OG0001669	FhHiC23_g5819.t1	T265_14607
OG0001670	FhHiC23_g4832.t1	T265_14718
OG0001670	FhHiC23_g4830.t1	T265_08984, T265_08985
OG0001670	FhHiC23_g4828.t1, FhHiC23_g4829.t1	T265_08981
OG0001671	FhHiC23_g5337.t1	T265_14634
OG0001672	FhHiC23_g5891.t1	T265_00750
OG0001673	FhHiC23_g7888.t1	T265_01379
OG0001674	FhHiC23_g4056.t1	T265_15759
OG0001674	FhHiC23_g15209.t1, FhHiC23_g15393.t1, FhHiC23_g15227.t1, FhHiC23_g15229.t1, FhHiC23_g15230.t1, FhHiC23_g15228.t1, FhHiC23_g15217.t1, FhHiC23_g15217.t2, FhHiC23_g15213.t1, FhHiC23_g15214.t1, FhHiC23_g15394.t1	T265_06963, T265_10008, T265_10009
OG0001676	FhHiC23_g11961.t1	T265_01615
OG0001677	FhHiC23_g16079.t1	T265_05762
OG0001680	FhHiC23_g6301.t2, FhHiC23_g6301.t1	T265_09371
OG0001681	FhHiC23_g15100.t1	T265_12663, T265_16018
OG0001682	FhHiC23_g15653.t1, FhHiC23_g15653.t2	T265_15158
OG0001683	FhHiC23_g10464.t1	T265_09590, T265_14893, T265_03749
OG0001684	FhHiC23_g5612.t1, FhHiC23_g5596.t1	T265_09014
OG0001685	FhHiC23_g15189.t1	T265_15090
OG0001686	FhHiC23_g4068.t1	T265_09608, T265_15908
OG0001687	FhHiC23_g3014.t1	T265_07419
OG0001688	FhHiC23_g15635.t1	T265_07388
OG0001689	FhHiC23_g15583.t1	T265_15368
OG0001690	FhHiC23_g6129.t1	T265_04514
OG0001691	FhHiC23_g12050.t1, FhHiC23_g12049.t1, FhHiC23_g12049.t2, FhHiC23_g12051.t1	T265_03200
OG0001692	FhHiC23_g2882.t1, FhHiC23_g2882.t2	T265_13395
OG0001694	FhHiC23_g4030.t1, FhHiC23_g4030.t2, FhHiC23_g4030.t3	T265_02240
OG0001695	FhHiC23_g4776.t1	T265_10771
OG0001696	FhHiC23_g14290.t2, FhHiC23_g14290.t1	T265_09913
OG0001697	FhHiC23_g9231.t1	T265_05671
OG0001698	FhHiC23_g684.t1	T265_05919
OG0001699	FhHiC23_g7848.t1	T265_08126
OG0001700	FhHiC23_g15052.t1	T265_09892
OG0001701	FhHiC23_g3917.t1	T265_03185
OG0001702	FhHiC23_g14701.t1	T265_01458
OG0001703	FhHiC23_g5981.t1	T265_14685
OG0001704	FhHiC23_g15526.t1	T265_10332
OG0001705	FhHiC23_g9583.t1	T265_06950
OG0001706	FhHiC23_g5541.t1, FhHiC23_g5541.t2	T265_00105
OG0001707	FhHiC23_g8571.t1	T265_01410
OG0001708	FhHiC23_g9788.t1	T265_02720
OG0001709	FhHiC23_g15841.t1, FhHiC23_g6290.t1	T265_13976
OG0001710	FhHiC23_g16103.t1, FhHiC23_g16103.t2	T265_05358
OG0001711	FhHiC23_g9210.t3, FhHiC23_g9210.t2, FhHiC23_g9210.t4, FhHiC23_g9210.t1	T265_05328
OG0001712	FhHiC23_g14602.t1	T265_14005
OG0001713	FhHiC23_g8279.t1	T265_08885
OG0001714	FhHiC23_g8280.t3, FhHiC23_g8280.t1, FhHiC23_g8280.t2	T265_14693
OG0001715	FhHiC23_g10492.t2, FhHiC23_g10492.t1	T265_03710
OG0001716	FhHiC23_g3408.t2, FhHiC23_g3408.t1	T265_12518
OG0001717	FhHiC23_g6203.t1, FhHiC23_g6203.t2	T265_02968
OG0001718	FhHiC23_g15022.t1	T265_09214
OG0001719	FhHiC23_g14692.t1	T265_04478
OG0001720	FhHiC23_g13752.t1, FhHiC23_g13755.t1	T265_12689
OG0001720	FhHiC23_g11919.t1	T265_01853
OG0001721	FhHiC23_g14874.t1	T265_01466
OG0001722	FhHiC23_g10678.t3, FhHiC23_g10678.t1, FhHiC23_g10678.t2	T265_10430, T265_16265
OG0001723	FhHiC23_g13671.t1, FhHiC23_g13671.t2	T265_12870
OG0001724	FhHiC23_g2339.t1, FhHiC23_g13838.t1	T265_04056
OG0001725	FhHiC23_g1556.t2, FhHiC23_g1556.t1	T265_09161
OG0001726	FhHiC23_g6478.t1	T265_12576
OG0001726	FhHiC23_g3490.t1	T265_01638
OG0001727	FhHiC23_g16650.t1, FhHiC23_g16651.t1	T265_15130, T265_10361
OG0001728	FhHiC23_g8064.t1	T265_03905
OG0001729	FhHiC23_g13336.t1	T265_01004
OG0001731	FhHiC23_g5226.t1, FhHiC23_g5226.t2	T265_11635
OG0001732	FhHiC23_g3310.t1, FhHiC23_g3310.t2	T265_02819
OG0001733	FhHiC23_g8520.t1	T265_03326
OG0001734	FhHiC23_g16299.t3, FhHiC23_g16299.t1, FhHiC23_g16299.t2	T265_07463
OG0001735	FhHiC23_g10504.t3, FhHiC23_g10504.t1, FhHiC23_g10504.t2	T265_07057, T265_07056
OG0001736	FhHiC23_g15257.t1, FhHiC23_g15256.t1	T265_14980
OG0001737	FhHiC23_g16278.t1	T265_05187
OG0001738	FhHiC23_g14642.t1	T265_04467
OG0001739	FhHiC23_g5514.t1	T265_09719
OG0001740	FhHiC23_g845.t1, FhHiC23_g845.t2, FhHiC23_g845.t3	T265_02848
OG0001741	FhHiC23_g12472.t1	T265_09400
OG0001742	FhHiC23_g7.t1	T265_01766
OG0001744	FhHiC23_g8278.t1	T265_10654, T265_12595
OG0001745	FhHiC23_g5028.t1	T265_05962
OG0001746	FhHiC23_g3504.t1, FhHiC23_g3504.t2	T265_12992
OG0001747	FhHiC23_g13144.t1, FhHiC23_g13144.t2, FhHiC23_g13144.t3	T265_08419
OG0001748	FhHiC23_g7931.t1, FhHiC23_g7931.t2	T265_02528
OG0001749	FhHiC23_g9726.t1	T265_05162, T265_13920
OG0001750	FhHiC23_g13786.t1	T265_14641, T265_08679
OG0001751	FhHiC23_g9806.t1	T265_03745
OG0001752	FhHiC23_g11339.t2, FhHiC23_g11339.t1	T265_08775
OG0001754	FhHiC23_g6774.t1, FhHiC23_g6775.t1	T265_14140
OG0001755	FhHiC23_g12622.t1	T265_08222, T265_10918
OG0001756	FhHiC23_g2005.t1	T265_02705
OG0001757	FhHiC23_g561.t1, FhHiC23_g561.t2	T265_00117
OG0001758	FhHiC23_g3972.t1	T265_08429, T265_16089, T265_08430
OG0001759	FhHiC23_g8422.t1, FhHiC23_g8417.t1, FhHiC23_g8418.t1	T265_14874
OG0001760	FhHiC23_g7411.t1, FhHiC23_g7411.t2, FhHiC23_g7411.t3	T265_13963
OG0001761	FhHiC23_g3989.t1	T265_11120
OG0001762	FhHiC23_g9226.t1, FhHiC23_g9226.t2	T265_08963, T265_16323, T265_08964
OG0001763	FhHiC23_g5129.t1, FhHiC23_g5129.t2	T265_11384
OG0001764	FhHiC23_g12537.t1, FhHiC23_g12537.t2	T265_04595
OG0001765	FhHiC23_g7547.t1	T265_00502
OG0001766	FhHiC23_g6518.t1, FhHiC23_g6518.t2	T265_14565
OG0001767	FhHiC23_g12975.t1	T265_04548
OG0001768	FhHiC23_g16502.t1	T265_10297
OG0001769	FhHiC23_g13728.t1	T265_03947
OG0001770	FhHiC23_g6137.t1	T265_08230
OG0001771	FhHiC23_g526.t1	T265_13913
OG0001772	FhHiC23_g15921.t1	T265_07572
OG0001773	FhHiC23_g4114.t1, FhHiC23_g4115.t1, FhHiC23_g8093.t1	T265_00534
OG0001774	FhHiC23_g10661.t1, FhHiC23_g10661.t2	T265_06888
OG0001775	FhHiC23_g10918.t1, FhHiC23_g10918.t2	T265_09040
OG0001776	FhHiC23_g9961.t1, FhHiC23_g9962.t1, FhHiC23_g9962.t2	T265_11140
OG0001777	FhHiC23_g13573.t1	T265_03011
OG0001778	FhHiC23_g16036.t1	T265_09376
OG0001780	FhHiC23_g4894.t1, FhHiC23_g4894.t2	T265_06467
OG0001781	FhHiC23_g9502.t1	T265_13075
OG0001782	FhHiC23_g8224.t1	T265_03902
OG0001783	FhHiC23_g4720.t1	T265_03631
OG0001784	FhHiC23_g13869.t1, FhHiC23_g13869.t2	T265_04098, T265_15912
OG0001785	FhHiC23_g10222.t1	T265_07505
OG0001786	FhHiC23_g7166.t1	T265_02513
OG0001787	FhHiC23_g10310.t2, FhHiC23_g10310.t3, FhHiC23_g10310.t4, FhHiC23_g10310.t5, FhHiC23_g10310.t1	T265_13198
OG0001789	FhHiC23_g14999.t1, FhHiC23_g14999.t2, FhHiC23_g14999.t3	T265_06187
OG0001790	FhHiC23_g5199.t1	T265_13300
OG0001791	FhHiC23_g16841.t1	T265_08401, T265_08403
OG0001792	FhHiC23_g3424.t1	T265_00418
OG0001801	FhHiC23_g13597.t1, FhHiC23_g13597.t2, FhHiC23_g13597.t3	T265_04593
OG0001803	FhHiC23_g6396.t1, FhHiC23_g6396.t2, FhHiC23_g6396.t3	T265_09341
OG0001804	FhHiC23_g6171.t1, FhHiC23_g6171.t2	T265_12618
OG0001805	FhHiC23_g14611.t1	T265_13514, T265_13513
OG0001806	FhHiC23_g10334.t3, FhHiC23_g10334.t2, FhHiC23_g10334.t1, FhHiC23_g10334.t4, FhHiC23_g10334.t5	T265_07409
OG0001807	FhHiC23_g11479.t1	T265_11444
OG0001808	FhHiC23_g15101.t1	T265_10905
OG0001809	FhHiC23_g6248.t1	T265_13772
OG0001810	FhHiC23_g9038.t1, FhHiC23_g9038.t2	T265_07900
OG0001812	FhHiC23_g1664.t1	T265_14122
OG0001813	FhHiC23_g12138.t1, FhHiC23_g12138.t2	T265_09076
OG0001814	FhHiC23_g2338.t1, FhHiC23_g13839.t1	T265_10976
OG0001816	FhHiC23_g1325.t1	T265_15353
OG0001817	FhHiC23_g7576.t1, FhHiC23_g7576.t2, FhHiC23_g7576.t3	T265_13431
OG0001818	FhHiC23_g75.t1	T265_12286, T265_06859, T265_15980
OG0001819	FhHiC23_g15322.t1	T265_02288
OG0001820	FhHiC23_g8623.t1, FhHiC23_g8622.t1	T265_04186
OG0001821	FhHiC23_g4567.t1	T265_09614
OG0001821	FhHiC23_g8381.t1	T265_03362
OG0001822	FhHiC23_g9179.t1	T265_11066, T265_04529
OG0001823	FhHiC23_g7721.t1, FhHiC23_g15328.t2, FhHiC23_g15328.t1	T265_11105
OG0001825	FhHiC23_g1408.t1, FhHiC23_g1408.t4, FhHiC23_g1408.t3, FhHiC23_g1408.t2	T265_02352
OG0001826	FhHiC23_g12925.t1	T265_00277
OG0001827	FhHiC23_g3287.t1, FhHiC23_g3301.t1	T265_02155
OG0001827	FhHiC23_g11784.t1, FhHiC23_g9264.t1, FhHiC23_g3302.t1	T265_12935
OG0001828	FhHiC23_g1210.t2, FhHiC23_g1210.t1, FhHiC23_g1210.t3	T265_01213
OG0001829	FhHiC23_g9818.t1	T265_11088
OG0001829	FhHiC23_g9571.t1	T265_11086
OG0001830	FhHiC23_g6996.t1	T265_15921
OG0001831	FhHiC23_g7437.t3, FhHiC23_g7437.t1, FhHiC23_g7437.t2	T265_03336
OG0001834	FhHiC23_g2986.t2, FhHiC23_g2986.t1	T265_00004
OG0001835	FhHiC23_g10935.t1	T265_06643
OG0001835	FhHiC23_g10940.t1, FhHiC23_g10940.t2, FhHiC23_g9474.t1	T265_14089
OG0001836	FhHiC23_g12544.t1, FhHiC23_g12544.t2	T265_14559
OG0001837	FhHiC23_g13587.t1, FhHiC23_g13587.t2	T265_08769
OG0001838	FhHiC23_g4053.t1, FhHiC23_g4053.t2	T265_03743
OG0001839	FhHiC23_g3.t1	T265_12526
OG0001840	FhHiC23_g14806.t1	T265_13580
OG0001841	FhHiC23_g11678.t1	T265_07181
OG0001842	FhHiC23_g9419.t1	T265_15657
OG0001843	FhHiC23_g14646.t2, FhHiC23_g14646.t1	T265_04469, T265_13561
OG0001844	FhHiC23_g13623.t2, FhHiC23_g13623.t1, FhHiC23_g13623.t3	T265_03040
OG0001845	FhHiC23_g9489.t1	T265_14549
OG0001846	FhHiC23_g9118.t1, FhHiC23_g9117.t1	T265_10397
OG0001847	FhHiC23_g12420.t1	T265_11864
OG0001848	FhHiC23_g12461.t2, FhHiC23_g12461.t1	T265_14403, T265_14401, T265_07830
OG0001849	FhHiC23_g8272.t1	T265_00607
OG0001850	FhHiC23_g3305.t1	T265_00010
OG0001851	FhHiC23_g751.t1, FhHiC23_g751.t2	T265_01360
OG0001852	FhHiC23_g5504.t3, FhHiC23_g5504.t1, FhHiC23_g5504.t2	T265_05433
OG0001853	FhHiC23_g13040.t1	T265_02922, T265_11897
OG0001854	FhHiC23_g9216.t3, FhHiC23_g9216.t2, FhHiC23_g9216.t1	T265_09648
OG0001855	FhHiC23_g3389.t2, FhHiC23_g3389.t1, FhHiC23_g3389.t3, FhHiC23_g3389.t4	T265_00165
OG0001856	FhHiC23_g782.t1, FhHiC23_g782.t2	T265_10021
OG0001857	FhHiC23_g2297.t1	T265_04055
OG0001858	FhHiC23_g14615.t1, FhHiC23_g14615.t2, FhHiC23_g14615.t3	T265_02220, T265_04712
OG0001859	FhHiC23_g11464.t1	T265_06498
OG0001860	FhHiC23_g8999.t1, FhHiC23_g8999.t2	T265_03438, T265_03772, T265_13321
OG0001861	FhHiC23_g3041.t1, FhHiC23_g3041.t2	T265_01225
OG0001862	FhHiC23_g12794.t1	T265_10909
OG0001863	FhHiC23_g5633.t1	T265_01043, T265_01044
OG0001864	FhHiC23_g11083.t1, FhHiC23_g508.t1	T265_01749
OG0001866	FhHiC23_g4326.t1, FhHiC23_g4329.t1	T265_09747
OG0001867	FhHiC23_g928.t1	T265_13218, T265_13219
OG0001868	FhHiC23_g13588.t1	T265_04412
OG0001869	FhHiC23_g15603.t1, FhHiC23_g15603.t2	T265_05535
OG0001870	FhHiC23_g144.t1	T265_00132
OG0001871	FhHiC23_g14150.t2, FhHiC23_g14150.t1, FhHiC23_g14150.t3	T265_13828
OG0001872	FhHiC23_g3723.t1, FhHiC23_g3723.t2	T265_03393
OG0001873	FhHiC23_g5097.t1	T265_08992
OG0001874	FhHiC23_g10115.t1, FhHiC23_g10121.t1	T265_03234, T265_13196
OG0001875	FhHiC23_g15834.t1, FhHiC23_g15834.t2	T265_15589, T265_15590, T265_11880, T265_11881
OG0001876	FhHiC23_g15377.t1	T265_03702
OG0001877	FhHiC23_g11175.t1	T265_10265
OG0001877	FhHiC23_g10759.t1, FhHiC23_g10759.t2, FhHiC23_g10759.t3	T265_14142
OG0001879	FhHiC23_g9269.t1, FhHiC23_g9269.t2	T265_05975
OG0001880	FhHiC23_g11364.t1, FhHiC23_g11364.t2	T265_15623, T265_15873
OG0001881	FhHiC23_g8316.t2, FhHiC23_g8316.t1	T265_09881, T265_16342
OG0001882	FhHiC23_g2292.t1, FhHiC23_g2292.t2	T265_02934
OG0001883	FhHiC23_g13249.t1	T265_00246
OG0001884	FhHiC23_g16349.t1	T265_08008, T265_16260
OG0001885	FhHiC23_g11445.t2, FhHiC23_g11445.t1	T265_03198
OG0001886	FhHiC23_g3216.t1, FhHiC23_g3216.t2, FhHiC23_g3216.t4, FhHiC23_g3216.t3	T265_10249
OG0001887	FhHiC23_g7867.t1, FhHiC23_g7867.t2, FhHiC23_g6306.t1	T265_05895, T265_07671
OG0001888	FhHiC23_g8407.t1	T265_14220
OG0001889	FhHiC23_g4041.t1	T265_11606
OG0001890	FhHiC23_g1917.t1, FhHiC23_g1917.t2	T265_08599
OG0001891	FhHiC23_g11651.t1	T265_01391
OG0001892	FhHiC23_g3111.t1	T265_15428
OG0001893	FhHiC23_g5922.t1	T265_09740
OG0001894	FhHiC23_g3703.t1	T265_12840
OG0001895	FhHiC23_g4928.t1, FhHiC23_g4928.t2	T265_11728
OG0001896	FhHiC23_g6158.t1, FhHiC23_g6157.t1	T265_09000
OG0001897	FhHiC23_g281.t2, FhHiC23_g281.t1	T265_13908
OG0001898	FhHiC23_g7975.t1	T265_04800
OG0001899	FhHiC23_g5660.t1	T265_03996
OG0001900	FhHiC23_g471.t1, FhHiC23_g471.t2	T265_05713
OG0001901	FhHiC23_g5582.t1	T265_07537
OG0001902	FhHiC23_g5658.t2, FhHiC23_g5658.t1, FhHiC23_g5658.t4, FhHiC23_g5658.t3	T265_03661, T265_11899
OG0001903	FhHiC23_g4117.t1	T265_06552, T265_06554
OG0001904	FhHiC23_g15402.t1	T265_10321
OG0001905	FhHiC23_g7776.t1, FhHiC23_g7776.t2, FhHiC23_g7776.t3	T265_06569
OG0001906	FhHiC23_g6516.t1	T265_13479
OG0001907	FhHiC23_g12171.t1, FhHiC23_g12171.t3, FhHiC23_g12171.t2	T265_14805
OG0001908	FhHiC23_g6903.t1	T265_04923
OG0001909	FhHiC23_g9250.t1	T265_08757
OG0001910	FhHiC23_g5169.t2, FhHiC23_g5169.t1	T265_11579
OG0001911	FhHiC23_g1053.t1, FhHiC23_g1053.t2	T265_08739, T265_08740
OG0001912	FhHiC23_g948.t1	T265_05946
OG0001913	FhHiC23_g2989.t2, FhHiC23_g2989.t1	T265_02936
OG0001914	FhHiC23_g7090.t1	T265_04183
OG0001915	FhHiC23_g4263.t1	T265_15891, T265_01652, T265_12174
OG0001916	FhHiC23_g15279.t2, FhHiC23_g15279.t1, FhHiC23_g15279.t3	T265_06670
OG0001917	FhHiC23_g13657.t1	T265_14049
OG0001918	FhHiC23_g2086.t1	T265_00471
OG0001919	FhHiC23_g7730.t1	T265_02504
OG0001920	FhHiC23_g10973.t1	T265_08481
OG0001921	FhHiC23_g5705.t1	T265_06125
OG0001922	FhHiC23_g6862.t2, FhHiC23_g6861.t1, FhHiC23_g6862.t1	T265_14503
OG0001923	FhHiC23_g10687.t1	T265_07276
OG0001924	FhHiC23_g1748.t1	T265_02681
OG0001925	FhHiC23_g15144.t1, FhHiC23_g15144.t2	T265_00852
OG0001926	FhHiC23_g4632.t1	T265_02868
OG0001927	FhHiC23_g12737.t1, FhHiC23_g12737.t2	T265_08673
OG0001929	FhHiC23_g2557.t1	T265_00819
OG0001941	FhHiC23_g15993.t1	T265_02631
OG0001943	FhHiC23_g15301.t1, FhHiC23_g15300.t2, FhHiC23_g15300.t1	T265_12963
OG0001944	FhHiC23_g7770.t1, FhHiC23_g7770.t2	T265_01438
OG0001945	FhHiC23_g9779.t3, FhHiC23_g9779.t1, FhHiC23_g9779.t2, FhHiC23_g9779.t4	T265_02757
OG0001946	FhHiC23_g4674.t1	T265_08642
OG0001947	FhHiC23_g13900.t1	T265_15378
OG0001948	FhHiC23_g16498.t1	T265_09604
OG0001950	FhHiC23_g4286.t1	T265_14356
OG0001951	FhHiC23_g12300.t2, FhHiC23_g12300.t1	T265_02488
OG0001952	FhHiC23_g1163.t1	T265_01274
OG0001953	FhHiC23_g5687.t1	T265_07588
OG0001954	FhHiC23_g15182.t1, FhHiC23_g15182.t2	T265_05594, T265_10324, T265_10323
OG0001955	FhHiC23_g12312.t1	T265_04533
OG0001956	FhHiC23_g3434.t1, FhHiC23_g3440.t1, FhHiC23_g3445.t1, FhHiC23_g3437.t1, FhHiC23_g3386.t1, FhHiC23_g3431.t1	T265_00329
OG0001957	FhHiC23_g15060.t1	T265_16364
OG0001958	FhHiC23_g6748.t1	T265_12587
OG0001959	FhHiC23_g6463.t1	T265_12030
OG0001960	FhHiC23_g6308.t1, FhHiC23_g6308.t3, FhHiC23_g6308.t2, FhHiC23_g6308.t4	T265_03563
OG0001961	FhHiC23_g8220.t1	T265_04189
OG0001962	FhHiC23_g15780.t1	T265_02258
OG0001963	FhHiC23_g6087.t1	T265_07542
OG0001964	FhHiC23_g16172.t1	T265_02635
OG0001965	FhHiC23_g4213.t1	T265_15738, T265_09470, T265_16302
OG0001966	FhHiC23_g12065.t2, FhHiC23_g12065.t3, FhHiC23_g12065.t1	T265_11898
OG0001967	FhHiC23_g9377.t1	T265_11018
OG0001968	FhHiC23_g5825.t1	T265_12615
OG0001969	FhHiC23_g5843.t1	T265_15599, T265_11986
OG0001970	FhHiC23_g5749.t2, FhHiC23_g5749.t1, FhHiC23_g5749.t3	T265_06534
OG0001972	FhHiC23_g7358.t2, FhHiC23_g7358.t1	T265_06716
OG0001973	FhHiC23_g3868.t1	T265_10631
OG0001974	FhHiC23_g2124.t1	T265_03306
OG0001975	FhHiC23_g978.t1	T265_08820
OG0001978	FhHiC23_g2582.t2, FhHiC23_g2582.t1	T265_02840
OG0001979	FhHiC23_g140.t2, FhHiC23_g139.t1, FhHiC23_g140.t1	T265_00134
OG0001980	FhHiC23_g7011.t1, FhHiC23_g7011.t2	T265_00639
OG0001981	FhHiC23_g14801.t1	T265_14563
OG0001982	FhHiC23_g5830.t3, FhHiC23_g5830.t1, FhHiC23_g5830.t2	T265_05804
OG0001983	FhHiC23_g3854.t1	T265_16272, T265_10525
OG0001984	FhHiC23_g16298.t1, FhHiC23_g16298.t2, FhHiC23_g16298.t3	T265_13337
OG0001985	FhHiC23_g6071.t2, FhHiC23_g6071.t1	T265_05014
OG0001986	FhHiC23_g1384.t1	T265_13071
OG0001987	FhHiC23_g5790.t1	T265_11477
OG0001988	FhHiC23_g8588.t1	T265_00178
OG0001989	FhHiC23_g12525.t1	T265_00999
OG0001990	FhHiC23_g1929.t1	T265_14644
OG0001991	FhHiC23_g15023.t1	T265_09212
OG0001992	FhHiC23_g1146.t2, FhHiC23_g1144.t1, FhHiC23_g1146.t1, FhHiC23_g1144.t2, FhHiC23_g1153.t1, FhHiC23_g1149.t1, FhHiC23_g1156.t1, FhHiC23_g1148.t1, FhHiC23_g1150.t1, FhHiC23_g1152.t1, FhHiC23_g1151.t1, FhHiC23_g1157.t1	T265_04048
OG0001993	FhHiC23_g2799.t1	T265_14343
OG0001995	FhHiC23_g9037.t1	T265_11523
OG0001996	FhHiC23_g3782.t1	T265_10482
OG0001997	FhHiC23_g13167.t1	T265_01011
OG0001998	FhHiC23_g4172.t1, FhHiC23_g4172.t2	T265_14397
OG0001998	FhHiC23_g16082.t1, FhHiC23_g16082.t2	T265_05189
OG0001999	FhHiC23_g103.t1	T265_01760
OG0002000	FhHiC23_g12351.t3, FhHiC23_g12351.t2, FhHiC23_g12351.t4, FhHiC23_g12351.t1	T265_10963
OG0002001	FhHiC23_g11927.t2, FhHiC23_g11927.t1	T265_04575
OG0002002	FhHiC23_g14482.t1	T265_11222
OG0002003	FhHiC23_g349.t1	T265_05270
OG0002004	FhHiC23_g2057.t1, FhHiC23_g2056.t1, FhHiC23_g13233.t1	T265_04351
OG0002006	FhHiC23_g3038.t1	T265_11260
OG0002007	FhHiC23_g8202.t1, FhHiC23_g8201.t1	T265_01809
OG0002008	FhHiC23_g7314.t1	T265_02030, T265_02029
OG0002009	FhHiC23_g5015.t1, FhHiC23_g5015.t2	T265_07583
OG0002010	FhHiC23_g809.t3, FhHiC23_g809.t1, FhHiC23_g809.t2	T265_02865
OG0002011	FhHiC23_g2466.t1	T265_15553
OG0002012	FhHiC23_g13035.t2, FhHiC23_g13035.t1	T265_01585
OG0002013	FhHiC23_g142.t1	T265_00133
OG0002014	FhHiC23_g2929.t1, FhHiC23_g2928.t1, FhHiC23_g14829.t1, FhHiC23_g7267.t1	T265_02025
OG0002015	FhHiC23_g16291.t1, FhHiC23_g3888.t1	T265_10154
OG0002016	FhHiC23_g6797.t1, FhHiC23_g6797.t2	T265_07786
OG0002018	FhHiC23_g1594.t1, FhHiC23_g1594.t2, FhHiC23_g1595.t2, FhHiC23_g1595.t1	T265_01252
OG0002019	FhHiC23_g1538.t1, FhHiC23_g1538.t2	T265_14733
OG0002020	FhHiC23_g7238.t1	T265_09353, T265_09354
OG0002021	FhHiC23_g1667.t1	T265_02319
OG0002023	FhHiC23_g15674.t1, FhHiC23_g15682.t2, FhHiC23_g15682.t1	T265_01173
OG0002024	FhHiC23_g10216.t1	T265_11589
OG0002025	FhHiC23_g7175.t1	T265_13824
OG0002026	FhHiC23_g12798.t1	T265_14886
OG0002027	FhHiC23_g4265.t1, FhHiC23_g4265.t2, FhHiC23_g4265.t3	T265_12826
OG0002028	FhHiC23_g1192.t1, FhHiC23_g1193.t1	T265_06994
OG0002029	FhHiC23_g4975.t1	T265_03894
OG0002030	FhHiC23_g8282.t1, FhHiC23_g8282.t2	T265_00505
OG0002031	FhHiC23_g13248.t2, FhHiC23_g9100.t1, FhHiC23_g13248.t1	T265_09865, T265_16204
OG0002032	FhHiC23_g9372.t2, FhHiC23_g9372.t1, FhHiC23_g9372.t3	T265_02749
OG0002033	FhHiC23_g6840.t1	T265_10134
OG0002034	FhHiC23_g8189.t2, FhHiC23_g8189.t1	T265_02060
OG0002035	FhHiC23_g11958.t1	T265_04572
OG0002036	FhHiC23_g15907.t1, FhHiC23_g15907.t2, FhHiC23_g15907.t3	T265_02637
OG0002037	FhHiC23_g1870.t1, FhHiC23_g1870.t2	T265_00055
OG0002038	FhHiC23_g14668.t2, FhHiC23_g14668.t1	T265_02077
OG0002039	FhHiC23_g548.t1	T265_08815
OG0002040	FhHiC23_g12291.t1	T265_03319
OG0002041	FhHiC23_g2388.t1	T265_00833
OG0002042	FhHiC23_g11787.t1	T265_10274
OG0002043	FhHiC23_g7264.t1	T265_01128
OG0002045	FhHiC23_g4266.t1	T265_07822
OG0002046	FhHiC23_g2833.t1	T265_02662
OG0002047	FhHiC23_g4023.t3, FhHiC23_g4023.t1, FhHiC23_g4023.t2, FhHiC23_g4023.t4	T265_04671
OG0002048	FhHiC23_g11535.t1	T265_13011
OG0002050	FhHiC23_g1876.t1	T265_11962
OG0002051	FhHiC23_g5368.t3, FhHiC23_g5368.t1, FhHiC23_g5368.t2	T265_02963
OG0002052	FhHiC23_g14292.t1, FhHiC23_g14291.t1	T265_01480
OG0002053	FhHiC23_g2700.t1	T265_00451
OG0002054	FhHiC23_g2529.t2, FhHiC23_g2529.t1, FhHiC23_g2529.t3	T265_13210
OG0002055	FhHiC23_g7715.t1, FhHiC23_g7715.t2	T265_01146
OG0002056	FhHiC23_g16367.t1, FhHiC23_g16367.t2	T265_04164
OG0002057	FhHiC23_g1048.t1	T265_11668
OG0002058	FhHiC23_g13342.t1	T265_07761
OG0002059	FhHiC23_g14563.t1	T265_11048
OG0002060	FhHiC23_g11718.t1	T265_01393
OG0002061	FhHiC23_g11443.t1, FhHiC23_g11443.t2	T265_08182
OG0002062	FhHiC23_g7404.t1, FhHiC23_g7404.t2	T265_06808
OG0002063	FhHiC23_g14629.t1	T265_08631
OG0002064	FhHiC23_g10669.t1	T265_15101
OG0002065	FhHiC23_g15789.t1	T265_04710, T265_10542, T265_05193, T265_02232, T265_04214, T265_07851, T265_14623, T265_10642
OG0002073	FhHiC23_g9392.t1, FhHiC23_g9392.t2	T265_09527
OG0002074	FhHiC23_g15435.t1	T265_03665
OG0002075	FhHiC23_g13599.t1, FhHiC23_g13599.t2	T265_09383
OG0002076	FhHiC23_g14486.t2, FhHiC23_g14486.t1	T265_15233, T265_16097
OG0002077	FhHiC23_g15695.t1	T265_03682
OG0002078	FhHiC23_g5428.t1, FhHiC23_g5428.t2	T265_15041
OG0002079	FhHiC23_g5334.t1, FhHiC23_g5334.t2	T265_06240
OG0002080	FhHiC23_g86.t1, FhHiC23_g86.t2	T265_00124
OG0002081	FhHiC23_g4179.t1	T265_09555
OG0002082	FhHiC23_g476.t1, FhHiC23_g8180.t1	T265_03148, T265_13172
OG0002082	FhHiC23_g8181.t1, FhHiC23_g474.t1	T265_03149
OG0002083	FhHiC23_g14424.t1	T265_08100
