Orthogroup	fasciola_hepatica	trichobilharzia_regenti
OG0000860	FhHiC23_g6802.t1, FhHiC23_g6802.t2	TREG1_80920.1
OG0000860	FhHiC23_g7174.t1	TREG1_90130.1
OG0000860	FhHiC23_g7173.t1	TREG1_83610.1
OG0000861	FhHiC23_g11957.t1	TREG1_13860.1
OG0000862	FhHiC23_g5265.t1, FhHiC23_g5265.t2	TREG1_49680.1
OG0000863	FhHiC23_g12072.t1	TREG1_25490.1
OG0000864	FhHiC23_g5194.t1	TREG1_54890.1
OG0000865	FhHiC23_g6437.t1	TREG1_53080.1, TREG1_53070.1
OG0000866	FhHiC23_g12841.t1	TREG1_4670.1
OG0000867	FhHiC23_g11700.t1	TREG1_26310.1
OG0000869	FhHiC23_g16177.t1	TREG1_121370.1, TREG1_121370.2
OG0000870	FhHiC23_g13098.t1	TREG1_13310.1, TREG1_13310.2, TREG1_13310.3, TREG1_13310.4, TREG1_13310.6, TREG1_13310.7, TREG1_13310.8, TREG1_13310.9, TREG1_13310.5, TREG1_85010.1
OG0000871	FhHiC23_g6154.t1	TREG1_139230.1, TREG1_139230.2
OG0000872	FhHiC23_g12608.t2, FhHiC23_g12608.t1	TREG1_3920.1, TREG1_3920.2, TREG1_3920.3
OG0000873	FhHiC23_g4429.t1, FhHiC23_g4429.t3, FhHiC23_g4429.t2	TREG1_121670.1
OG0000874	FhHiC23_g14447.t1, FhHiC23_g14448.t1, FhHiC23_g14456.t1, FhHiC23_g14458.t1, FhHiC23_g14458.t2	TREG1_42590.4, TREG1_42590.5, TREG1_42590.1, TREG1_42590.2, TREG1_42590.3
OG0000875	FhHiC23_g8094.t2, FhHiC23_g8094.t1, FhHiC23_g8094.t3	TREG1_82910.4, TREG1_83010.1, TREG1_82910.6, TREG1_82910.8, TREG1_82910.5, TREG1_82910.7
OG0000876	FhHiC23_g10132.t1, FhHiC23_g10126.t1	TREG1_60610.1, TREG1_60630.1, TREG1_60670.1
OG0000877	FhHiC23_g12038.t1, FhHiC23_g12038.t2, FhHiC23_g12038.t3	TREG1_26220.1
OG0000878	FhHiC23_g11004.t1, FhHiC23_g11004.t2	TREG1_22910.1
OG0000879	FhHiC23_g6860.t1, FhHiC23_g6860.t2	TREG1_80220.1, TREG1_80220.3, TREG1_80220.2, TREG1_80220.4, TREG1_80220.5
OG0000880	FhHiC23_g2219.t1	TREG1_107590.1
OG0000881	FhHiC23_g12891.t1, FhHiC23_g12891.t2, FhHiC23_g12891.t3	TREG1_2180.1
OG0000881	FhHiC23_g16682.t1, FhHiC23_g16682.t3	TREG1_126190.3, TREG1_126190.1, TREG1_126190.2, TREG1_126210.1
OG0000882	FhHiC23_g15594.t1, FhHiC23_g15594.t2	TREG1_23920.1
OG0000882	FhHiC23_g5993.t1	TREG1_40830.2, TREG1_40830.1, TREG1_40830.3
OG0000883	FhHiC23_g5991.t1	TREG1_40840.1
OG0000884	FhHiC23_g4988.t1, FhHiC23_g4988.t2	TREG1_43890.1
OG0000886	FhHiC23_g7967.t1, FhHiC23_g3860.t1, FhHiC23_g1547.t1	TREG1_94870.1
OG0000887	FhHiC23_g11404.t1	TREG1_14980.1
OG0000888	FhHiC23_g3221.t1	TREG1_108240.1, TREG1_108070.1, TREG1_108210.1, TREG1_108230.1
OG0000889	FhHiC23_g10327.t1, FhHiC23_g10327.t2	TREG1_37950.6, TREG1_37950.2, TREG1_37950.1, TREG1_37950.3, TREG1_37950.4, TREG1_37950.5
OG0000890	FhHiC23_g13982.t1	TREG1_56730.1
OG0000891	FhHiC23_g5460.t1	TREG1_52000.1, TREG1_52010.2, TREG1_52010.1
OG0000892	FhHiC23_g1375.t1	TREG1_66610.1, TREG1_66610.2
OG0000894	FhHiC23_g4413.t1	TREG1_119780.1, TREG1_119780.2, TREG1_119780.3, TREG1_119780.5, TREG1_119780.4, TREG1_119780.6
OG0000895	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2	TREG1_40640.1
OG0000896	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3	TREG1_28700.1, TREG1_28700.2, TREG1_28700.3, TREG1_28700.6, TREG1_28700.8, TREG1_28700.4, TREG1_28700.5, TREG1_28700.7, TREG1_28700.10, TREG1_28700.11, TREG1_28700.9
OG0000897	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2	TREG1_2650.1, TREG1_2660.1
OG0000898	FhHiC23_g2752.t1	TREG1_102060.1, TREG1_102060.2, TREG1_102060.3, TREG1_102060.4, TREG1_102060.6, TREG1_102060.5
OG0000899	FhHiC23_g11385.t1	TREG1_107040.1, TREG1_107050.1, TREG1_141190.1, TREG1_107010.1, TREG1_107240.1, TREG1_107250.1, TREG1_107250.2, TREG1_142190.1, TREG1_142190.2, TREG1_107100.1, TREG1_141200.1, TREG1_141200.2
OG0000900	FhHiC23_g12918.t1, FhHiC23_g13771.t1	TREG1_4380.5, TREG1_4380.7, TREG1_4380.9, TREG1_4380.4, TREG1_4380.6, TREG1_4470.1, TREG1_4380.10, TREG1_4380.11, TREG1_4380.8, TREG1_4480.1, TREG1_62970.1, TREG1_62940.1, TREG1_62950.1, TREG1_62960.1, TREG1_62960.2, TREG1_62960.3
OG0000901	FhHiC23_g7940.t1, FhHiC23_g7940.t2	TREG1_90080.1
OG0000902	FhHiC23_g393.t1	TREG1_77320.1
OG0000903	FhHiC23_g10751.t1	TREG1_30190.3, TREG1_30190.4, TREG1_30190.1, TREG1_30190.5, TREG1_30190.6, TREG1_30190.2, TREG1_30190.7
OG0000904	FhHiC23_g12793.t1, FhHiC23_g12793.t2	TREG1_2830.1, TREG1_2830.2, TREG1_2830.3, TREG1_2830.4
OG0000905	FhHiC23_g1090.t1, FhHiC23_g1090.t2	TREG1_108470.1, TREG1_108470.2
OG0000906	FhHiC23_g7197.t1, FhHiC23_g7197.t2	TREG1_79790.1
OG0000907	FhHiC23_g2389.t5, FhHiC23_g2389.t1, FhHiC23_g2389.t2, FhHiC23_g2389.t3, FhHiC23_g2389.t4	TREG1_99120.1, TREG1_99120.2
OG0000910	FhHiC23_g12643.t1, FhHiC23_g12643.t2	TREG1_10250.2, TREG1_10250.4, TREG1_10250.5, TREG1_10250.6, TREG1_10250.7, TREG1_10250.8, TREG1_10250.9, TREG1_10250.1, TREG1_10250.3
OG0000911	FhHiC23_g6963.t1	TREG1_78840.1
OG0000912	FhHiC23_g11622.t1	TREG1_5340.2, TREG1_5340.4, TREG1_5340.3, TREG1_5340.6, TREG1_5340.5, TREG1_5340.1
OG0000913	FhHiC23_g10414.t5, FhHiC23_g10414.t4, FhHiC23_g10414.t1, FhHiC23_g10414.t2, FhHiC23_g10414.t3, FhHiC23_g8600.t1, FhHiC23_g8600.t2, FhHiC23_g4451.t1, FhHiC23_g4451.t2	TREG1_51280.2, TREG1_51280.3, TREG1_51280.7, TREG1_51280.4, TREG1_51280.5, TREG1_51280.1, TREG1_51280.6
OG0000914	FhHiC23_g5784.t1, FhHiC23_g5784.t2	TREG1_44740.1
OG0000915	FhHiC23_g6538.t1	TREG1_46590.2, TREG1_46590.3, TREG1_46590.4, TREG1_46590.5, TREG1_46590.1
OG0000916	FhHiC23_g5150.t2, FhHiC23_g5150.t1	TREG1_41440.1, TREG1_41440.3, TREG1_41440.2
OG0000917	FhHiC23_g3879.t3, FhHiC23_g3879.t1, FhHiC23_g3879.t2	TREG1_110530.6, TREG1_110560.1, TREG1_110530.7, TREG1_110530.8, TREG1_110530.4, TREG1_110530.5
OG0000918	FhHiC23_g10495.t2, FhHiC23_g10495.t1	TREG1_60430.1, TREG1_60430.3, TREG1_60430.2
OG0000919	FhHiC23_g3732.t1, FhHiC23_g3732.t2	TREG1_115330.2, TREG1_115330.1, TREG1_115330.3, TREG1_115330.4, TREG1_115330.5, TREG1_115330.6
OG0000920	FhHiC23_g10067.t2, FhHiC23_g10067.t1, FhHiC23_g10067.t3	TREG1_132090.1
OG0000921	FhHiC23_g14388.t2, FhHiC23_g14388.t1	TREG1_56460.1
OG0000922	FhHiC23_g11428.t1	TREG1_8780.1, TREG1_8780.2, TREG1_8780.3, TREG1_8770.1, TREG1_8760.1
OG0000923	FhHiC23_g9137.t1	TREG1_131390.1, TREG1_131390.2, TREG1_131390.3
OG0000925	FhHiC23_g11612.t1, FhHiC23_g11612.t2	TREG1_9350.1
OG0000926	FhHiC23_g9543.t1, FhHiC23_g9543.t2	TREG1_33460.1
OG0000927	FhHiC23_g15558.t1	TREG1_14900.1
OG0000928	FhHiC23_g5523.t1, FhHiC23_g5523.t2	TREG1_52020.1
OG0000929	FhHiC23_g7701.t1, FhHiC23_g7701.t2	TREG1_88920.3, TREG1_88920.1, TREG1_88920.2, TREG1_88920.4
OG0000930	FhHiC23_g13968.t1	TREG1_55860.1
OG0000931	FhHiC23_g824.t1, FhHiC23_g821.t1, FhHiC23_g821.t2	TREG1_101780.1
OG0000932	FhHiC23_g12855.t2, FhHiC23_g12855.t1, FhHiC23_g12855.t3	TREG1_400.1
OG0000933	FhHiC23_g5801.t1	TREG1_41360.1, TREG1_41360.2, TREG1_41360.6, TREG1_41360.3, TREG1_41360.4, TREG1_41360.5, TREG1_41360.7
OG0000934	FhHiC23_g11672.t2, FhHiC23_g11672.t1	TREG1_1980.1
OG0000935	FhHiC23_g7749.t1	TREG1_82350.1
OG0000936	FhHiC23_g9655.t1	TREG1_133900.3, TREG1_133900.2, TREG1_133900.1, TREG1_133900.4
OG0000937	FhHiC23_g3159.t1	TREG1_70720.1
OG0000938	FhHiC23_g6779.t1, FhHiC23_g6778.t1	TREG1_83130.1
OG0000939	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3	TREG1_110940.1, TREG1_123580.1
OG0000940	FhHiC23_g12811.t1	TREG1_3550.1, TREG1_3550.6, TREG1_3550.7, TREG1_3550.2, TREG1_3550.3, TREG1_3550.4, TREG1_3550.5, TREG1_3550.8
OG0000941	FhHiC23_g6008.t1	TREG1_36570.1
OG0000942	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1	TREG1_21060.1, TREG1_21070.1
OG0000943	FhHiC23_g5257.t1	TREG1_49700.1, TREG1_49710.1
OG0000944	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1	TREG1_79060.1
OG0000945	FhHiC23_g11090.t1	TREG1_26880.1, TREG1_26880.2
OG0000946	FhHiC23_g13160.t1	TREG1_11120.1
OG0000947	FhHiC23_g6472.t1	TREG1_41550.1
OG0000948	FhHiC23_g3632.t1	TREG1_112130.1, TREG1_112130.2
OG0000949	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1	TREG1_21850.1, TREG1_21860.1, TREG1_21880.1
OG0000950	FhHiC23_g737.t1, FhHiC23_g737.t2	TREG1_73570.1
OG0000951	FhHiC23_g9154.t1	TREG1_133500.1
OG0000952	FhHiC23_g4678.t1	TREG1_46530.1
OG0000953	FhHiC23_g8364.t1	TREG1_87120.1
OG0000955	FhHiC23_g11409.t1	TREG1_25700.1, TREG1_25700.3, TREG1_25700.2
OG0000958	FhHiC23_g15702.t1	TREG1_17890.1, TREG1_17890.2, TREG1_17890.3, TREG1_138750.4, TREG1_138760.1, TREG1_138750.1, TREG1_2380.4, TREG1_138750.2, TREG1_138760.3, TREG1_2370.1, TREG1_2380.1, TREG1_2380.2, TREG1_2380.3, TREG1_138750.3, TREG1_138760.2, TREG1_138760.4, TREG1_2380.5, TREG1_2620.1, TREG1_2620.2, TREG1_2620.3, TREG1_2620.4, TREG1_2620.5
OG0000959	FhHiC23_g2492.t1	TREG1_99660.1
OG0000960	FhHiC23_g2806.t1	TREG1_108970.1
OG0000961	FhHiC23_g4805.t1	TREG1_41730.4, TREG1_41730.1, TREG1_41730.3, TREG1_41730.2, TREG1_41730.5
OG0000962	FhHiC23_g2574.t1	TREG1_98530.1
OG0000963	FhHiC23_g13194.t1	TREG1_8080.7, TREG1_8080.10, TREG1_8080.11, TREG1_8080.4, TREG1_8080.1, TREG1_8080.3, TREG1_8080.5, TREG1_8080.6, TREG1_8080.8, TREG1_8080.9, TREG1_8080.2
OG0000964	FhHiC23_g14820.t2, FhHiC23_g14820.t3, FhHiC23_g14820.t1	TREG1_57050.1
OG0000965	FhHiC23_g7683.t1	TREG1_87590.1, TREG1_87600.1
OG0000966	FhHiC23_g5905.t1	TREG1_44500.1
OG0000966	FhHiC23_g520.t1	TREG1_67580.1, TREG1_67580.2
OG0000967	FhHiC23_g6329.t1, FhHiC23_g6329.t2	TREG1_50770.1, TREG1_50770.3, TREG1_50770.5, TREG1_50770.4, TREG1_50770.6, TREG1_50770.2
OG0000968	FhHiC23_g13188.t1	TREG1_19170.1, TREG1_19170.2
OG0000969	FhHiC23_g1464.t1	TREG1_111970.1
OG0000969	FhHiC23_g4027.t1, FhHiC23_g4027.t2	TREG1_111920.9, TREG1_111920.5, TREG1_111980.1, TREG1_111920.11, TREG1_111920.10
OG0000970	FhHiC23_g2215.t1	TREG1_99840.1, TREG1_99840.2, TREG1_99840.3, TREG1_99840.4
OG0000971	FhHiC23_g11579.t1	TREG1_9950.1
OG0000972	FhHiC23_g10701.t1, FhHiC23_g10701.t2	TREG1_8810.1, TREG1_8800.1, TREG1_9400.1
OG0000973	FhHiC23_g10383.t1	TREG1_38410.1, TREG1_59370.1, TREG1_59360.1, TREG1_59350.1
OG0000974	FhHiC23_g1435.t1	TREG1_73290.3, TREG1_73290.1, TREG1_73290.2, TREG1_73290.5, TREG1_73290.4, TREG1_73290.6, TREG1_73290.7, TREG1_73290.8
OG0000975	FhHiC23_g13353.t1, FhHiC23_g13353.t2	TREG1_12140.1
OG0000976	FhHiC23_g12582.t1, FhHiC23_g12582.t3	TREG1_12390.3, TREG1_12390.1, TREG1_12390.4, TREG1_12390.5, TREG1_12390.2
OG0000977	FhHiC23_g11079.t1	TREG1_29500.1, TREG1_29510.1
OG0000978	FhHiC23_g15261.t1, FhHiC23_g15261.t2	TREG1_25380.2, TREG1_25380.3, TREG1_25380.4, TREG1_25380.1
OG0000979	FhHiC23_g2647.t1	TREG1_102500.1, TREG1_102500.3, TREG1_102500.6, TREG1_102500.7, TREG1_102500.5, TREG1_102500.8, TREG1_102500.4, TREG1_102500.2
OG0000980	FhHiC23_g1379.t1	TREG1_66750.3
OG0000981	FhHiC23_g5114.t1	TREG1_40950.1, TREG1_40940.1
OG0000982	FhHiC23_g8063.t1, FhHiC23_g8063.t3, FhHiC23_g8063.t2	TREG1_82280.1
OG0000983	FhHiC23_g14957.t1	TREG1_17640.1, TREG1_17640.2, TREG1_17640.3, TREG1_17640.4
OG0000984	FhHiC23_g5012.t1, FhHiC23_g5012.t2	TREG1_57380.2, TREG1_57380.1, TREG1_57380.3
OG0000985	FhHiC23_g11530.t1	TREG1_21900.1, TREG1_21900.2
OG0000986	FhHiC23_g2637.t4, FhHiC23_g2637.t1, FhHiC23_g2637.t2, FhHiC23_g2637.t3	TREG1_105730.1, TREG1_105730.2
OG0000987	FhHiC23_g3839.t2, FhHiC23_g3839.t1	TREG1_118140.1, TREG1_118140.2
OG0000988	FhHiC23_g344.t1, FhHiC23_g344.t2	TREG1_72750.1
OG0000989	FhHiC23_g741.t1	TREG1_144350.1, TREG1_64430.1
OG0000990	FhHiC23_g13484.t1	TREG1_4500.1, TREG1_4500.2
OG0000991	FhHiC23_g7930.t1, FhHiC23_g7930.t2, FhHiC23_g7930.t4, FhHiC23_g7930.t3, FhHiC23_g7930.t5	TREG1_80450.3, TREG1_80450.2, TREG1_80450.1
OG0000992	FhHiC23_g13877.t1, FhHiC23_g13879.t1, FhHiC23_g13877.t2	TREG1_40450.3, TREG1_40450.1, TREG1_40450.2
OG0000993	FhHiC23_g2786.t1	TREG1_102330.1, TREG1_102330.3, TREG1_102330.2, TREG1_102330.4, TREG1_102330.5, TREG1_102330.6
OG0000994	FhHiC23_g5011.t1, FhHiC23_g5011.t2	TREG1_51410.1, TREG1_51410.2
OG0000995	FhHiC23_g3242.t1	TREG1_101170.1
OG0000996	FhHiC23_g7052.t1, FhHiC23_g7052.t2	TREG1_87200.1
OG0000997	FhHiC23_g16655.t1	TREG1_119530.1, TREG1_119530.2, TREG1_119530.3, TREG1_119530.4, TREG1_119530.6, TREG1_119530.5
OG0000998	FhHiC23_g433.t1, FhHiC23_g433.t2	TREG1_74190.1
OG0000999	FhHiC23_g6595.t1	TREG1_32970.1, TREG1_32960.1, TREG1_32960.2, TREG1_32960.3, TREG1_32980.1
OG0001000	FhHiC23_g10629.t1, FhHiC23_g10629.t2	TREG1_24930.3, TREG1_24930.1, TREG1_24930.6, TREG1_24930.2, TREG1_24930.4, TREG1_24930.5, TREG1_141950.1, TREG1_141960.2, TREG1_141970.1, TREG1_141980.1, TREG1_141980.2, TREG1_141960.4, TREG1_141990.1, TREG1_141960.3, TREG1_141960.5, TREG1_141960.1
OG0001001	FhHiC23_g10494.t1	TREG1_91870.1, TREG1_92420.1, TREG1_47270.1, TREG1_38210.1, TREG1_19370.1, TREG1_115430.1, TREG1_90550.1, TREG1_138260.1, TREG1_50490.1, TREG1_30860.1, TREG1_30470.1, TREG1_86500.1, TREG1_135640.1, TREG1_94710.1, TREG1_74240.1, TREG1_54430.1, TREG1_104840.1, TREG1_20630.1, TREG1_3820.1, TREG1_82040.1, TREG1_134290.1, TREG1_60220.1, TREG1_138270.1, TREG1_131290.1, TREG1_132790.1, TREG1_16430.1, TREG1_129380.1, TREG1_28330.1, TREG1_2200.1, TREG1_76970.1, TREG1_5400.1, TREG1_70190.1, TREG1_118770.1, TREG1_83050.1, TREG1_62390.1, TREG1_121890.1, TREG1_142030.1, TREG1_143270.1, TREG1_17250.1, TREG1_61580.1, TREG1_65430.1, TREG1_99060.1, TREG1_130950.1, TREG1_37040.1, TREG1_143280.1, TREG1_38530.1, TREG1_136800.1, TREG1_27460.1, TREG1_82940.1, TREG1_9450.1
OG0001009	FhHiC23_g15862.t1	TREG1_123800.3, TREG1_123800.4, TREG1_123800.6, TREG1_123800.1, TREG1_123800.2, TREG1_123800.5
OG0001010	FhHiC23_g7211.t1	TREG1_87000.1, TREG1_87010.1
OG0001011	FhHiC23_g4725.t1	TREG1_41400.3, TREG1_41400.2, TREG1_41400.1, TREG1_41400.4
OG0001012	FhHiC23_g12412.t1	TREG1_2420.1, TREG1_2420.2, TREG1_2420.3
OG0001013	FhHiC23_g11782.t1	TREG1_14710.1, TREG1_52840.1
OG0001014	FhHiC23_g12609.t1, FhHiC23_g12609.t2, FhHiC23_g12609.t3	TREG1_2210.1, TREG1_2210.2, TREG1_2210.3, TREG1_2210.4
OG0001015	FhHiC23_g14738.t1, FhHiC23_g14738.t2	TREG1_58230.1, TREG1_58230.2, TREG1_45010.1, TREG1_58150.1, TREG1_58180.1, TREG1_58210.1, TREG1_58140.1, TREG1_58130.1, TREG1_58200.1, TREG1_58190.1
OG0001016	FhHiC23_g4790.t1	TREG1_40030.1
OG0001017	FhHiC23_g15044.t1	TREG1_25270.1, TREG1_25250.1, TREG1_25250.3, TREG1_25250.4, TREG1_25250.2, TREG1_25260.1
OG0001018	FhHiC23_g5842.t2, FhHiC23_g5842.t1, FhHiC23_g5841.t1	TREG1_47030.1
OG0001019	FhHiC23_g14549.t1	TREG1_56080.1, TREG1_56080.2
OG0001020	FhHiC23_g12011.t1	TREG1_6110.1, TREG1_6110.2, TREG1_6110.3, TREG1_6110.4
OG0001021	FhHiC23_g5322.t2, FhHiC23_g5322.t3, FhHiC23_g5322.t4, FhHiC23_g5322.t1	TREG1_46040.1
OG0001022	FhHiC23_g14964.t1, FhHiC23_g14964.t2	TREG1_29840.1
OG0001023	FhHiC23_g6790.t1	TREG1_84510.4, TREG1_84510.6, TREG1_84510.7, TREG1_84510.3, TREG1_84510.2, TREG1_84510.5, TREG1_84510.8, TREG1_84510.9, TREG1_84510.1
OG0001025	FhHiC23_g4334.t1, FhHiC23_g4334.t2	TREG1_122950.1
OG0001026	FhHiC23_g2021.t1	TREG1_66140.1, TREG1_66140.2, TREG1_66140.3, TREG1_66140.4, TREG1_66140.5, TREG1_66140.6, TREG1_66140.7, TREG1_66140.8, TREG1_66140.9
OG0001027	FhHiC23_g13410.t2, FhHiC23_g13410.t1	TREG1_13300.1, TREG1_13300.2, TREG1_13300.3, TREG1_13300.4
OG0001028	FhHiC23_g1259.t1	TREG1_73350.1
OG0001029	FhHiC23_g3446.t1, FhHiC23_g1127.t1	TREG1_66080.1
OG0001030	FhHiC23_g6107.t1, FhHiC23_g6107.t2	TREG1_50180.5, TREG1_50180.2, TREG1_50180.4, TREG1_50180.1, TREG1_50180.3
OG0001031	FhHiC23_g1039.t1	TREG1_99640.1, TREG1_99640.2, TREG1_99640.3, TREG1_99640.5, TREG1_99640.4
OG0001032	FhHiC23_g7054.t1	TREG1_81040.1, TREG1_81040.2, TREG1_81040.3, TREG1_81040.4, TREG1_81040.5
OG0001033	FhHiC23_g2445.t2, FhHiC23_g2445.t1	TREG1_102120.4, TREG1_102120.1, TREG1_102120.2, TREG1_102120.3, TREG1_102120.5, TREG1_102120.7, TREG1_102120.6
OG0001034	FhHiC23_g2105.t1	TREG1_69000.1, TREG1_69000.2, TREG1_68980.1, TREG1_68980.3, TREG1_68980.2
OG0001035	FhHiC23_g268.t1, FhHiC23_g269.t1, FhHiC23_g262.t1, FhHiC23_g262.t2, FhHiC23_g259.t1, FhHiC23_g260.t1, FhHiC23_g264.t1, FhHiC23_g265.t1, FhHiC23_g1943.t1	TREG1_97970.1, TREG1_97950.1, TREG1_97960.1, TREG1_97940.1, TREG1_68060.1, TREG1_68010.1, TREG1_68010.2, TREG1_68030.2, TREG1_68040.1, TREG1_68070.1, TREG1_68080.1
OG0001036	FhHiC23_g11613.t1	TREG1_10660.1, TREG1_141240.1
OG0001037	FhHiC23_g15057.t1, FhHiC23_g15057.t3, FhHiC23_g15202.t1, FhHiC23_g15202.t2	TREG1_24800.1
OG0001038	FhHiC23_g13415.t2, FhHiC23_g13415.t1, FhHiC23_g13415.t3	TREG1_4720.1
OG0001039	FhHiC23_g9256.t1	TREG1_36430.5, TREG1_36430.1, TREG1_36430.2, TREG1_36430.3, TREG1_36430.4, TREG1_36430.6
OG0001040	FhHiC23_g4241.t1, FhHiC23_g4241.t2	TREG1_113230.1
OG0001041	FhHiC23_g9008.t1, FhHiC23_g9008.t2, FhHiC23_g9008.t3	TREG1_133070.1, TREG1_133070.2
OG0001042	FhHiC23_g13435.t1, FhHiC23_g13436.t1	TREG1_15200.1, TREG1_15200.2
OG0001043	FhHiC23_g993.t1	TREG1_68290.2, TREG1_68290.1, TREG1_68290.3, TREG1_68290.5, TREG1_68290.4
OG0001044	FhHiC23_g7412.t1	TREG1_91350.5, TREG1_91350.1, TREG1_91350.2, TREG1_91350.3, TREG1_91350.4
OG0001045	FhHiC23_g8415.t1	TREG1_82360.1
OG0001047	FhHiC23_g9855.t1, FhHiC23_g9855.t2	TREG1_135400.1, TREG1_135390.1
OG0001048	FhHiC23_g282.t1, FhHiC23_g282.t2	TREG1_102260.1
OG0001049	FhHiC23_g1405.t4, FhHiC23_g1405.t1, FhHiC23_g1405.t2, FhHiC23_g1405.t3	TREG1_70420.3, TREG1_70420.1, TREG1_70420.2
OG0001050	FhHiC23_g6799.t1	TREG1_83100.2, TREG1_83100.1, TREG1_83100.3
OG0001051	FhHiC23_g16833.t1	TREG1_121140.1
OG0001052	FhHiC23_g798.t1	TREG1_70330.2, TREG1_70330.5, TREG1_70330.4, TREG1_70330.3, TREG1_70330.1
OG0001054	FhHiC23_g12139.t1	TREG1_26940.1, TREG1_26980.1
OG0001055	FhHiC23_g6311.t1	TREG1_37090.3, TREG1_37090.6, TREG1_37090.4, TREG1_37090.1, TREG1_37090.2, TREG1_37090.5, TREG1_37090.7
OG0001056	FhHiC23_g8018.t1, FhHiC23_g8018.t2	TREG1_79250.1
OG0001057	FhHiC23_g16676.t1, FhHiC23_g16676.t2	TREG1_120900.1, TREG1_120900.2
OG0001058	FhHiC23_g7616.t1	TREG1_12600.1, TREG1_83760.1, TREG1_48610.1, TREG1_83770.1
OG0001059	FhHiC23_g15619.t1, FhHiC23_g15619.t2	TREG1_9070.1, TREG1_9070.2
OG0001060	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1	TREG1_83300.1
OG0001061	FhHiC23_g10637.t1	TREG1_25500.1
OG0001068	FhHiC23_g1453.t1	TREG1_99190.1
OG0001069	FhHiC23_g15187.t1	TREG1_86270.1
OG0001069	FhHiC23_g1554.t1, FhHiC23_g1734.t1, FhHiC23_g4234.t1, FhHiC23_g9739.t1	TREG1_98210.5, TREG1_98210.3, TREG1_98210.4, TREG1_113690.4, TREG1_88050.1, TREG1_69820.1, TREG1_102090.2, TREG1_102090.1, TREG1_127640.1, TREG1_110880.1, TREG1_110880.2, TREG1_98210.2, TREG1_98210.1, TREG1_144710.1, TREG1_82300.1, TREG1_110530.10, TREG1_110700.1, TREG1_83090.1, TREG1_142690.1, TREG1_143530.1, TREG1_16490.1, TREG1_16490.2, TREG1_61330.1, TREG1_810.1, TREG1_97630.1, TREG1_97630.2, TREG1_97630.3, TREG1_97630.4, TREG1_97630.5, TREG1_97630.6, TREG1_8680.1, TREG1_8680.2, TREG1_129130.1, TREG1_8680.3, TREG1_8680.4, TREG1_9460.1, TREG1_9460.2, TREG1_125060.1, TREG1_29680.1, TREG1_65340.1, TREG1_16990.1
OG0001070	FhHiC23_g10636.t1, FhHiC23_g7712.t1	TREG1_80530.1
OG0001070	FhHiC23_g2817.t2, FhHiC23_g2817.t1	TREG1_105380.4
OG0001071	FhHiC23_g8249.t1, FhHiC23_g8249.t2	TREG1_88700.1, TREG1_88700.2
OG0001072	FhHiC23_g14078.t1	TREG1_56030.1
OG0001073	FhHiC23_g15794.t1	TREG1_29800.1
OG0001074	FhHiC23_g9712.t1	TREG1_60050.1, TREG1_60050.2
OG0001075	FhHiC23_g7537.t1	TREG1_82090.2, TREG1_82090.1, TREG1_82090.12, TREG1_82090.11, TREG1_82090.5, TREG1_82090.6, TREG1_82090.7, TREG1_82090.8, TREG1_82090.9, TREG1_82090.3, TREG1_82090.4, TREG1_82090.10
OG0001076	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2	TREG1_62270.1
OG0001077	FhHiC23_g2069.t1	TREG1_65410.1
OG0001078	FhHiC23_g7897.t2, FhHiC23_g7897.t1	TREG1_84960.1
OG0001079	FhHiC23_g2694.t1, FhHiC23_g2693.t1	TREG1_106450.1
OG0001079	FhHiC23_g1658.t1	TREG1_103020.1
OG0001080	FhHiC23_g1174.t1	TREG1_106740.1
OG0001081	FhHiC23_g5306.t1	TREG1_53460.1, TREG1_53480.1, TREG1_53460.2, TREG1_53460.3, TREG1_53460.4
OG0001082	FhHiC23_g2343.t1	TREG1_72570.3, TREG1_72570.1, TREG1_72570.2
OG0001083	FhHiC23_g9161.t1, FhHiC23_g9161.t2	TREG1_136330.3, TREG1_136330.1, TREG1_136340.1, TREG1_136330.2
OG0001084	FhHiC23_g15642.t1	TREG1_21450.1, TREG1_21450.2
OG0001085	FhHiC23_g9501.t1	TREG1_135810.1, TREG1_139790.1
OG0001086	FhHiC23_g3370.t1	TREG1_96010.1, TREG1_96010.2, TREG1_96010.3, TREG1_96010.4
OG0001087	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1	TREG1_64260.1
OG0001087	FhHiC23_g6106.t1	TREG1_51960.1
OG0001088	FhHiC23_g10196.t1, FhHiC23_g10197.t1	TREG1_58700.1
