Orthogroup	fasciola_hepatica	schistosoma_japonicum
OG0001532	FhHiC23_g12374.t2, FhHiC23_g12374.t1, FhHiC23_g12374.t3	EWB00_007573.1, EWB00_007573.2
OG0001533	FhHiC23_g7289.t1	EWB00_010521
OG0001534	FhHiC23_g2613.t1	EWB00_011036.1, EWB00_011036.2
OG0001535	FhHiC23_g16637.t2, FhHiC23_g16637.t1	EWB00_006942
OG0001536	FhHiC23_g14994.t3	EWB00_006442
OG0001537	FhHiC23_g13557.t1	EWB00_005648
OG0001538	FhHiC23_g4365.t1	EWB00_000322
OG0001539	FhHiC23_g13424.t1	EWB00_005624.2, EWB00_005624.1
OG0001540	FhHiC23_g4861.t2, FhHiC23_g4861.t3	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4
OG0001541	FhHiC23_g12948.t1	EWB00_010178.1, EWB00_010178.2, EWB00_010179
OG0001542	FhHiC23_g1758.t1, FhHiC23_g1758.t2	EWB00_010723.1, EWB00_010723.2
OG0001543	FhHiC23_g3691.t2, FhHiC23_g1569.t1, FhHiC23_g3691.t1	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2
OG0001544	FhHiC23_g11330.t1	EWB00_009740.1, EWB00_009740.2
OG0001545	FhHiC23_g1231.t2	EWB00_002078.1, EWB00_002078.2
OG0001546	FhHiC23_g5297.t1	EWB00_004303
OG0001554	FhHiC23_g4717.t1, FhHiC23_g4716.t1	EWB00_002893
OG0001555	FhHiC23_g595.t1, FhHiC23_g596.t1, FhHiC23_g596.t2, FhHiC23_g598.t1, FhHiC23_g597.t1	EWB00_007184
OG0001556	FhHiC23_g6026.t1, FhHiC23_g6026.t2, FhHiC23_g6026.t3	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2
OG0001557	FhHiC23_g5467.t1	EWB00_001587
OG0001558	FhHiC23_g2651.t1, FhHiC23_g8901.t1	EWB00_004824, EWB00_009609.2, EWB00_009609.1
OG0001560	FhHiC23_g8195.t1	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3
OG0001561	FhHiC23_g649.t1	EWB00_000179, EWB00_000181
OG0001562	FhHiC23_g8890.t1, FhHiC23_g8890.t2	EWB00_001403, EWB00_001401
OG0001563	FhHiC23_g14079.t1, FhHiC23_g14079.t2	EWB00_001576
OG0001564	FhHiC23_g3186.t1	EWB00_008720, EWB00_008721
OG0001565	FhHiC23_g7080.t1	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2
OG0001566	FhHiC23_g7162.t1, FhHiC23_g10743.t1	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3
OG0001567	FhHiC23_g2573.t1	EWB00_008254.1, EWB00_008254.2
OG0001568	FhHiC23_g2925.t1, FhHiC23_g2925.t2	EWB00_009895, EWB00_010378
OG0001569	FhHiC23_g15797.t2, FhHiC23_g15797.t1, FhHiC23_g15797.t3	EWB00_002399, EWB00_002400
OG0001570	FhHiC23_g288.t1, FhHiC23_g288.t2	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2
OG0001571	FhHiC23_g12576.t1	EWB00_010226
OG0001571	FhHiC23_g11623.t1	EWB00_008986
OG0001572	FhHiC23_g6744.t1	EWB00_003961
OG0001573	FhHiC23_g9275.t1, FhHiC23_g9275.t2	EWB00_005049.1, EWB00_005049.2, EWB00_005049.3
OG0001574	FhHiC23_g5418.t2, FhHiC23_g5418.t1, FhHiC23_g5418.t3	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3
OG0001575	FhHiC23_g11921.t1, FhHiC23_g11921.t2, FhHiC23_g11921.t3	EWB00_008443, EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868, EWB00_008442
OG0001576	FhHiC23_g15971.t1, FhHiC23_g15971.t2	EWB00_004468
OG0001577	FhHiC23_g4634.t1	EWB00_000631
OG0001578	FhHiC23_g396.t1, FhHiC23_g396.t2	EWB00_003565
OG0001579	FhHiC23_g15013.t1	EWB00_000084
OG0001580	FhHiC23_g14523.t1	EWB00_003247
OG0001581	FhHiC23_g2765.t1, FhHiC23_g2765.t2, FhHiC23_g2765.t3	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7
OG0001582	FhHiC23_g986.t1	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1
OG0001583	FhHiC23_g13953.t1	EWB00_008305
OG0001584	FhHiC23_g6524.t1	EWB00_003372.1, EWB00_003372.2
OG0001585	FhHiC23_g5407.t1	EWB00_003931
OG0001586	FhHiC23_g11576.t2, FhHiC23_g11576.t1	EWB00_000604
OG0001587	FhHiC23_g11483.t1	EWB00_001056.2, EWB00_001056.4, EWB00_001056.1, EWB00_001056.3
OG0001588	FhHiC23_g7234.t1	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5
OG0001589	FhHiC23_g6369.t1	EWB00_001764, EWB00_001763
OG0001590	FhHiC23_g2214.t1	EWB00_000529.1, EWB00_000529.2
OG0001591	FhHiC23_g9784.t1	EWB00_001817, EWB00_001818
OG0001592	FhHiC23_g15318.t1	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3
OG0001593	FhHiC23_g8485.t1	EWB00_011133.1, EWB00_011133.2
OG0001594	FhHiC23_g6096.t1	EWB00_004309.1, EWB00_004309.2
OG0001595	FhHiC23_g7385.t1	EWB00_010479
OG0001596	FhHiC23_g2736.t1	EWB00_007492
OG0001597	FhHiC23_g3057.t1, FhHiC23_g3057.t2, FhHiC23_g3056.t1	EWB00_004539.1, EWB00_004539.2
OG0001598	FhHiC23_g1999.t1	EWB00_004044.2, EWB00_004044.3, EWB00_004044.4, EWB00_004044.6, EWB00_004044.5, EWB00_004044.1
OG0001599	FhHiC23_g1348.t1, FhHiC23_g1348.t2	EWB00_003665
OG0001600	FhHiC23_g6351.t1, FhHiC23_g6351.t2	EWB00_006003.1, EWB00_006003.2, EWB00_006003.3, EWB00_006003.5, EWB00_006003.4
OG0001601	FhHiC23_g7994.t1, FhHiC23_g7994.t2	EWB00_000474
OG0001602	FhHiC23_g11552.t1	EWB00_002672.1, EWB00_002672.2
OG0001604	FhHiC23_g10295.t1	EWB00_001111
OG0001605	FhHiC23_g15525.t1	EWB00_004822
OG0001606	FhHiC23_g10377.t3, FhHiC23_g10377.t1, FhHiC23_g10377.t2	EWB00_007547.1, EWB00_007547.2, EWB00_007547.3, EWB00_007547.4
OG0001607	FhHiC23_g921.t1	EWB00_003884.1, EWB00_003884.3, EWB00_003884.2, EWB00_003884.4, EWB00_003884.5
OG0001608	FhHiC23_g2350.t1	EWB00_006512
OG0001609	FhHiC23_g2451.t2, FhHiC23_g2451.t1	EWB00_007367.7, EWB00_007367.5, EWB00_007367.2, EWB00_007367.3, EWB00_007367.4, EWB00_007367.1, EWB00_007367.6
OG0001610	FhHiC23_g9262.t1, FhHiC23_g14166.t1	EWB00_004368
OG0001611	FhHiC23_g8025.t1	EWB00_011295
OG0001612	FhHiC23_g12510.t1, FhHiC23_g12510.t2	EWB00_005638.1, EWB00_005638.2
OG0001613	FhHiC23_g410.t1, FhHiC23_g410.t2	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3
OG0001614	FhHiC23_g5493.t1, FhHiC23_g5495.t1	EWB00_003941
OG0001615	FhHiC23_g5496.t1	EWB00_003940
OG0001616	FhHiC23_g13562.t1, FhHiC23_g13562.t2	EWB00_009486
OG0001617	FhHiC23_g95.t1	EWB00_009311.1, EWB00_009311.2
OG0001618	FhHiC23_g6230.t1	EWB00_006198.1, EWB00_006198.2
OG0001619	FhHiC23_g1822.t1, FhHiC23_g1822.t2	EWB00_008116.1, EWB00_008116.2
OG0001620	FhHiC23_g5019.t1	EWB00_001728
OG0001621	FhHiC23_g13465.t1	EWB00_010220
OG0001622	FhHiC23_g3859.t1	EWB00_004499.1, EWB00_004499.2
OG0001623	FhHiC23_g12568.t1	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3
OG0001624	FhHiC23_g5969.t1	EWB00_001583.1, EWB00_001583.2, EWB00_001583.3
OG0001625	FhHiC23_g7834.t1, FhHiC23_g7835.t1, FhHiC23_g7832.t1	EWB00_000388, EWB00_003330
OG0001626	FhHiC23_g4924.t1, FhHiC23_g4924.t2	EWB00_003418.1, EWB00_003418.2
OG0001627	FhHiC23_g3162.t1	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3
OG0001628	FhHiC23_g15068.t1, FhHiC23_g12087.t1	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6
OG0001629	FhHiC23_g11254.t1	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3
OG0001631	FhHiC23_g16292.t1	EWB00_001898.1, EWB00_001898.2
OG0001632	FhHiC23_g6746.t1	EWB00_005797
OG0001633	FhHiC23_g9236.t1	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2
OG0001634	FhHiC23_g15902.t2, FhHiC23_g15902.t1	EWB00_007518
OG0001635	FhHiC23_g13640.t2, FhHiC23_g13640.t1	EWB00_006335
OG0001636	FhHiC23_g2927.t1, FhHiC23_g2927.t2	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4
OG0001637	FhHiC23_g6969.t1	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2
OG0001639	FhHiC23_g11042.t1, FhHiC23_g11044.t1	EWB00_002443, EWB00_002442
OG0001640	FhHiC23_g15554.t1	EWB00_002491.1, EWB00_002491.2
OG0001641	FhHiC23_g15937.t1, FhHiC23_g6164.t1, FhHiC23_g6162.t1	EWB00_001978.1, EWB00_001978.2
OG0001642	FhHiC23_g136.t1	EWB00_009266
OG0001643	FhHiC23_g7424.t1, FhHiC23_g7424.t2	EWB00_003874
OG0001644	FhHiC23_g158.t2, FhHiC23_g158.t1	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7
OG0001645	FhHiC23_g9248.t1, FhHiC23_g9248.t2, FhHiC23_g9248.t3	EWB00_005858
OG0001646	FhHiC23_g1025.t1, FhHiC23_g1025.t2	EWB00_007841.1, EWB00_007841.2
OG0001647	FhHiC23_g14670.t1, FhHiC23_g14670.t2	EWB00_008760.3, EWB00_008760.1, EWB00_008760.2
OG0001648	FhHiC23_g1289.t1, FhHiC23_g1289.t2, FhHiC23_g1289.t3	EWB00_007501
OG0001649	FhHiC23_g12151.t1	EWB00_003693, EWB00_005061
OG0001650	FhHiC23_g2965.t1	EWB00_001193
OG0001651	FhHiC23_g13731.t1	EWB00_004648
OG0001652	FhHiC23_g2275.t1	EWB00_007374.1, EWB00_007374.2
OG0001653	FhHiC23_g13332.t1	EWB00_004667.1, EWB00_004667.2
OG0001654	FhHiC23_g16586.t1	EWB00_003253
OG0001655	FhHiC23_g7908.t1	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4
OG0001656	FhHiC23_g16220.t1	EWB00_000311
OG0001657	FhHiC23_g6597.t1	EWB00_002910
OG0001659	FhHiC23_g5797.t1, FhHiC23_g5797.t2	EWB00_008176.1, EWB00_008176.2, EWB00_008358.1, EWB00_008358.2, EWB00_008358.3, EWB00_009727.2, EWB00_009727.1
OG0001668	FhHiC23_g5822.t1, FhHiC23_g5823.t1	EWB00_000091.1, EWB00_000091.3, EWB00_000091.5, EWB00_000091.4, EWB00_000091.2, EWB00_000091.6, EWB00_000091.7
OG0001669	FhHiC23_g5819.t1	EWB00_011212.1, EWB00_011212.2
OG0001670	FhHiC23_g4830.t1, FhHiC23_g4828.t1, FhHiC23_g4829.t1	EWB00_004351.1, EWB00_004351.2, EWB00_004351.3, EWB00_004351.4
OG0001671	FhHiC23_g5337.t1	EWB00_005987.1, EWB00_005987.2
OG0001672	FhHiC23_g5891.t1	EWB00_007942.1, EWB00_007942.2
OG0001673	FhHiC23_g7888.t1	EWB00_011109.1, EWB00_011109.2
OG0001676	FhHiC23_g11961.t1	EWB00_005536.1, EWB00_005536.2
OG0001677	FhHiC23_g16079.t1	EWB00_009285
OG0001678	FhHiC23_g8325.t1	EWB00_005559.1, EWB00_005559.3, EWB00_005559.4, EWB00_005559.2
OG0001679	FhHiC23_g15323.t2, FhHiC23_g15323.t1	EWB00_010312.1, EWB00_010312.3, EWB00_010312.2, EWB00_010312.4
OG0001680	FhHiC23_g6301.t2, FhHiC23_g6301.t1	EWB00_003316.3, EWB00_003316.2, EWB00_003316.1
OG0001681	FhHiC23_g15100.t1	EWB00_001043
OG0001682	FhHiC23_g15653.t1, FhHiC23_g15653.t2	EWB00_000072.1, EWB00_000072.2
OG0001683	FhHiC23_g10464.t1	EWB00_000248, EWB00_000250, EWB00_000252, EWB00_000251
OG0001684	FhHiC23_g5612.t1, FhHiC23_g5596.t1	EWB00_009146
OG0001685	FhHiC23_g15189.t1	EWB00_006465, EWB00_010778, EWB00_002377
OG0001686	FhHiC23_g4068.t1	EWB00_001494.1, EWB00_001494.2, EWB00_001494.3
OG0001687	FhHiC23_g3014.t1	EWB00_007842.4, EWB00_007842.1, EWB00_007842.3, EWB00_007842.2
OG0001688	FhHiC23_g15635.t1	EWB00_005820.1, EWB00_005820.2
OG0001689	FhHiC23_g15583.t1	EWB00_003512, EWB00_003511
OG0001690	FhHiC23_g6129.t1	EWB00_001748.1, EWB00_001748.4, EWB00_001748.3, EWB00_001748.2
OG0001691	FhHiC23_g12050.t1, FhHiC23_g12049.t1, FhHiC23_g12049.t2, FhHiC23_g12051.t1	EWB00_003815
OG0001692	FhHiC23_g2882.t1, FhHiC23_g2882.t2	EWB00_010961
OG0001693	FhHiC23_g4031.t1	EWB00_008477
OG0001694	FhHiC23_g4030.t1, FhHiC23_g4030.t2, FhHiC23_g4030.t3	EWB00_003684.1, EWB00_003684.4, EWB00_003684.2, EWB00_003684.3, EWB00_003684.5, EWB00_003684.6, EWB00_003684.7
OG0001695	FhHiC23_g4776.t1	EWB00_008158
OG0001696	FhHiC23_g14290.t2, FhHiC23_g14290.t1	EWB00_006376.1, EWB00_006376.2
OG0001697	FhHiC23_g9231.t1	EWB00_003024.1, EWB00_003024.2, EWB00_003024.3
OG0001698	FhHiC23_g684.t1	EWB00_007397
OG0001699	FhHiC23_g7848.t1	EWB00_006586
OG0001700	FhHiC23_g15052.t1	EWB00_002364.1, EWB00_002364.2
OG0001701	FhHiC23_g3917.t1	EWB00_007308.1, EWB00_007308.2
OG0001702	FhHiC23_g14701.t1	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3
OG0001703	FhHiC23_g5981.t1	EWB00_006853.1, EWB00_006853.2
OG0001704	FhHiC23_g15526.t1	EWB00_004801
OG0001705	FhHiC23_g9583.t1	EWB00_001120, EWB00_001119
OG0001706	FhHiC23_g5541.t1, FhHiC23_g5541.t2	EWB00_011216.2, EWB00_011216.5, EWB00_011216.3, EWB00_011216.4, EWB00_011216.1, EWB00_011216.6
OG0001707	FhHiC23_g8571.t1	EWB00_000916.1, EWB00_000916.2
OG0001708	FhHiC23_g9788.t1	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6
OG0001709	FhHiC23_g15841.t1, FhHiC23_g6290.t1	EWB00_006047
OG0001710	FhHiC23_g16103.t1, FhHiC23_g16103.t2	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2
OG0001711	FhHiC23_g9210.t3, FhHiC23_g9210.t2, FhHiC23_g9210.t4, FhHiC23_g9210.t1	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2
OG0001712	FhHiC23_g14602.t1	EWB00_004726
OG0001713	FhHiC23_g8279.t1	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4
OG0001714	FhHiC23_g8280.t3, FhHiC23_g8280.t1, FhHiC23_g8280.t2	EWB00_005184
OG0001715	FhHiC23_g10492.t2, FhHiC23_g10492.t1	EWB00_007067.2, EWB00_007067.4, EWB00_007067.1, EWB00_007067.3
OG0001716	FhHiC23_g3408.t2, FhHiC23_g3408.t1	EWB00_009167.1, EWB00_009167.2
OG0001717	FhHiC23_g6203.t1, FhHiC23_g6203.t2	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2
OG0001718	FhHiC23_g15022.t1	EWB00_002352.1, EWB00_002352.2
OG0001719	FhHiC23_g14692.t1	EWB00_009251
OG0001720	FhHiC23_g13752.t1, FhHiC23_g13755.t1, FhHiC23_g11919.t1	EWB00_008445.1, EWB00_008445.2
OG0001721	FhHiC23_g14874.t1	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4, EWB00_005128.1, EWB00_005128.2
OG0001722	FhHiC23_g10678.t3, FhHiC23_g10678.t1, FhHiC23_g10678.t2	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1
OG0001723	FhHiC23_g13671.t1, FhHiC23_g13671.t2	EWB00_005542
OG0001724	FhHiC23_g2339.t1, FhHiC23_g13838.t1	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3
OG0001725	FhHiC23_g1556.t2, FhHiC23_g1556.t1	EWB00_006118.1, EWB00_006118.2
OG0001726	FhHiC23_g6478.t1	EWB00_004248
OG0001726	FhHiC23_g3490.t1	EWB00_010136, EWB00_010137
OG0001727	FhHiC23_g16650.t1, FhHiC23_g16651.t1	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982
OG0001728	FhHiC23_g8064.t1	EWB00_005587
OG0001729	FhHiC23_g13336.t1	EWB00_004669
OG0001730	FhHiC23_g11641.t1	EWB00_005425
OG0001731	FhHiC23_g5226.t1, FhHiC23_g5226.t2	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3
OG0001732	FhHiC23_g3310.t1, FhHiC23_g3310.t2	EWB00_010708
OG0001733	FhHiC23_g8520.t1	EWB00_006579.1, EWB00_006579.2
OG0001734	FhHiC23_g16299.t3, FhHiC23_g16299.t1, FhHiC23_g16299.t2	EWB00_000355.1, EWB00_000355.2
OG0001735	FhHiC23_g10504.t3, FhHiC23_g10504.t1, FhHiC23_g10504.t2	EWB00_008027
OG0001736	FhHiC23_g15257.t1, FhHiC23_g15256.t1	EWB00_000076
OG0001737	FhHiC23_g16278.t1	EWB00_008580
OG0001738	FhHiC23_g14642.t1	EWB00_004730
OG0001739	FhHiC23_g5514.t1	EWB00_004148
OG0001740	FhHiC23_g845.t1, FhHiC23_g845.t2, FhHiC23_g845.t3	EWB00_000764
OG0001741	FhHiC23_g12472.t1	EWB00_000113.2, EWB00_000113.1
OG0001742	FhHiC23_g7.t1	EWB00_009309
OG0001743	FhHiC23_g1080.t1, FhHiC23_g2538.t1, FhHiC23_g9957.t1, FhHiC23_g12639.t1, FhHiC23_g12046.t1, FhHiC23_g10766.t1, FhHiC23_g15860.t1	EWB00_005069.1, EWB00_005069.2
OG0001744	FhHiC23_g8278.t1	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4
OG0001745	FhHiC23_g5028.t1	EWB00_001325
OG0001746	FhHiC23_g3504.t1, FhHiC23_g3504.t2	EWB00_008300
OG0001747	FhHiC23_g13144.t1, FhHiC23_g13144.t2, FhHiC23_g13144.t3	EWB00_010827
OG0001748	FhHiC23_g7931.t1, FhHiC23_g7931.t2	EWB00_009580
OG0001749	FhHiC23_g9726.t1	EWB00_008038.2, EWB00_008038.1, EWB00_008038.3
OG0001750	FhHiC23_g13786.t1	EWB00_004829.1, EWB00_004829.2, EWB00_004830
OG0001751	FhHiC23_g9806.t1	EWB00_005046.1, EWB00_005046.2
OG0001752	FhHiC23_g11339.t2, FhHiC23_g11339.t1	EWB00_009191.1, EWB00_009191.2
OG0001753	FhHiC23_g11439.t1	EWB00_004195
OG0001754	FhHiC23_g6774.t1, FhHiC23_g6775.t1	EWB00_003866
OG0001755	FhHiC23_g12622.t1	EWB00_009019.3, EWB00_009019.4, EWB00_009019.5, EWB00_009019.1, EWB00_009019.2
OG0001756	FhHiC23_g2005.t1	EWB00_005339.4, EWB00_005339.2, EWB00_005339.7, EWB00_005339.3, EWB00_005339.1, EWB00_005339.5, EWB00_005339.6
OG0001757	FhHiC23_g561.t1, FhHiC23_g561.t2	EWB00_008089.1, EWB00_008089.2
OG0001758	FhHiC23_g3972.t1	EWB00_008645.1, EWB00_008645.2
OG0001759	FhHiC23_g8422.t1, FhHiC23_g8417.t1, FhHiC23_g8418.t1	EWB00_006252
OG0001760	FhHiC23_g7411.t1, FhHiC23_g7411.t2, FhHiC23_g7411.t3	EWB00_009898, EWB00_005773
OG0001761	FhHiC23_g3989.t1	EWB00_011085, EWB00_008774.1, EWB00_008774.2
OG0001762	FhHiC23_g9226.t1, FhHiC23_g9226.t2	EWB00_006675.1, EWB00_006675.2
OG0001763	FhHiC23_g5129.t1, FhHiC23_g5129.t2	EWB00_007453.1, EWB00_007453.2
OG0001764	FhHiC23_g12537.t1, FhHiC23_g12537.t2	EWB00_003107
OG0001765	FhHiC23_g7547.t1	EWB00_006261
OG0001766	FhHiC23_g6518.t1, FhHiC23_g6518.t2	EWB00_003400
OG0001767	FhHiC23_g12975.t1	EWB00_009027
OG0001768	FhHiC23_g16502.t1	EWB00_011364.1, EWB00_011364.2, EWB00_011364.3
OG0001769	FhHiC23_g13728.t1	EWB00_007867
OG0001770	FhHiC23_g6137.t1	EWB00_008145.1, EWB00_008145.2
OG0001771	FhHiC23_g526.t1	EWB00_010612
OG0001772	FhHiC23_g15921.t1	EWB00_001858
OG0001773	FhHiC23_g4114.t1, FhHiC23_g4115.t1, FhHiC23_g8093.t1	EWB00_008867
OG0001774	FhHiC23_g10661.t1, FhHiC23_g10661.t2	EWB00_008539
OG0001775	FhHiC23_g10918.t1, FhHiC23_g10918.t2	EWB00_005423
OG0001776	FhHiC23_g9961.t1, FhHiC23_g9962.t1, FhHiC23_g9962.t2	EWB00_001450
OG0001777	FhHiC23_g13573.t1	EWB00_006296.2, EWB00_006296.3, EWB00_006296.4, EWB00_006296.5, EWB00_010820.2, EWB00_006296.1, EWB00_010820.1
OG0001778	FhHiC23_g16036.t1	EWB00_001931.1, EWB00_001931.2, EWB00_001931.3
OG0001779	FhHiC23_g10367.t1	EWB00_007071.1, EWB00_007071.2
OG0001780	FhHiC23_g4894.t1, FhHiC23_g4894.t2	EWB00_003266
OG0001781	FhHiC23_g9502.t1	EWB00_005839.1, EWB00_005839.2
OG0001782	FhHiC23_g8224.t1	EWB00_009818.6, EWB00_009818.4, EWB00_009818.1, EWB00_009818.2, EWB00_009818.5, EWB00_009818.3
OG0001783	FhHiC23_g4720.t1	EWB00_002890
OG0001784	FhHiC23_g13869.t1, FhHiC23_g13869.t2	EWB00_002793.1, EWB00_002793.2, EWB00_002793.3, EWB00_002793.4, EWB00_002793.5, EWB00_002793.6
OG0001785	FhHiC23_g10222.t1	EWB00_007557
OG0001786	FhHiC23_g7166.t1	EWB00_010439
OG0001787	FhHiC23_g10310.t2, FhHiC23_g10310.t3, FhHiC23_g10310.t4, FhHiC23_g10310.t5, FhHiC23_g10310.t1	EWB00_007555
OG0001788	FhHiC23_g3146.t1	EWB00_002022.5, EWB00_002022.2, EWB00_002022.4, EWB00_002022.3, EWB00_002022.1
OG0001789	FhHiC23_g14999.t1, FhHiC23_g14999.t2, FhHiC23_g14999.t3	EWB00_008564.2, EWB00_008564.4, EWB00_008564.3, EWB00_008564.1, EWB00_008564.5
OG0001790	FhHiC23_g5199.t1	EWB00_003915.3, EWB00_003915.4, EWB00_003915.1, EWB00_003915.2, EWB00_003915.5
OG0001791	FhHiC23_g16841.t1	EWB00_004963.1, EWB00_004963.2, EWB00_004963.3, EWB00_007370
OG0001792	FhHiC23_g3424.t1	EWB00_001226.2, EWB00_001226.1, EWB00_001226.3
OG0001800	FhHiC23_g1449.t1	EWB00_000890.1, EWB00_000890.2
OG0001801	FhHiC23_g13597.t1, FhHiC23_g13597.t2, FhHiC23_g13597.t3	EWB00_009398
OG0001802	FhHiC23_g14409.t1	EWB00_004332.1, EWB00_004332.2
OG0001803	FhHiC23_g6396.t1, FhHiC23_g6396.t2, FhHiC23_g6396.t3	EWB00_002837.1, EWB00_002837.2, EWB00_002837.3, EWB00_002836
OG0001804	FhHiC23_g6171.t1, FhHiC23_g6171.t2	EWB00_002126
OG0001805	FhHiC23_g14611.t1	EWB00_000017.1, EWB00_000017.2, EWB00_000017.3
OG0001806	FhHiC23_g10334.t3, FhHiC23_g10334.t2, FhHiC23_g10334.t1, FhHiC23_g10334.t4, FhHiC23_g10334.t5	EWB00_006638, EWB00_006641
OG0001807	FhHiC23_g11479.t1	EWB00_004204
OG0001808	FhHiC23_g15101.t1	EWB00_000043, EWB00_001027
OG0001809	FhHiC23_g6248.t1	EWB00_002951.2, EWB00_002951.1, EWB00_002951.3
OG0001810	FhHiC23_g9038.t1, FhHiC23_g9038.t2	EWB00_002054.3, EWB00_002054.2, EWB00_002054.1
OG0001811	FhHiC23_g8341.t1, FhHiC23_g8341.t2	EWB00_010046.1, EWB00_010046.2
OG0001811	FhHiC23_g13177.t1, FhHiC23_g13179.t1, FhHiC23_g13540.t1	EWB00_003080.2, EWB00_003080.3, EWB00_003080.1, EWB00_003080.4, EWB00_003080.5
OG0001812	FhHiC23_g1664.t1	EWB00_001383.1, EWB00_001383.2
OG0001813	FhHiC23_g12138.t1, FhHiC23_g12138.t2	EWB00_008448, EWB00_008454
OG0001814	FhHiC23_g2338.t1, FhHiC23_g13839.t1	EWB00_007255.3, EWB00_007255.2, EWB00_007255.4, EWB00_007255.1
OG0001816	FhHiC23_g1325.t1	EWB00_008962
OG0001817	FhHiC23_g7576.t1, FhHiC23_g7576.t2, FhHiC23_g7576.t3	EWB00_006214.2, EWB00_006214.6, EWB00_006214.7, EWB00_006214.1, EWB00_006214.3, EWB00_006214.4, EWB00_006214.5
OG0001818	FhHiC23_g75.t1	EWB00_007620.2, EWB00_007620.3, EWB00_007620.1
OG0001819	FhHiC23_g15322.t1	EWB00_010311.1, EWB00_010311.2
OG0001820	FhHiC23_g8623.t1, FhHiC23_g8622.t1	EWB00_011327.1, EWB00_011327.2
OG0001821	FhHiC23_g4567.t1	EWB00_008776.2, EWB00_008776.1
OG0001821	FhHiC23_g8381.t1	EWB00_003220.1, EWB00_003220.2, EWB00_003220.3
OG0001822	FhHiC23_g9179.t1	EWB00_000791
OG0001823	FhHiC23_g7721.t1, FhHiC23_g15328.t2, FhHiC23_g15328.t1	EWB00_006130
OG0001824	FhHiC23_g15190.t1, FhHiC23_g15190.t2	EWB00_002376
OG0001825	FhHiC23_g1408.t1, FhHiC23_g1408.t4, FhHiC23_g1408.t3, FhHiC23_g1408.t2	EWB00_005323.1, EWB00_005323.4, EWB00_005323.2, EWB00_005323.3
OG0001826	FhHiC23_g12925.t1	EWB00_006283
OG0001827	FhHiC23_g3287.t1, FhHiC23_g3301.t1, FhHiC23_g11784.t1, FhHiC23_g9264.t1, FhHiC23_g3302.t1	EWB00_004569
OG0001828	FhHiC23_g1210.t2, FhHiC23_g1210.t1, FhHiC23_g1210.t3	EWB00_010656
OG0001829	FhHiC23_g9818.t1	EWB00_003359
OG0001831	FhHiC23_g7437.t3, FhHiC23_g7437.t1, FhHiC23_g7437.t2	EWB00_008871
