Orthogroup	fasciola_hepatica	schistosoma_intercalatum
OG0001402	FhHiC23_g6085.t1	SINT1_26090.1, SINT1_26090.2, SINT1_26090.3
OG0001403	FhHiC23_g1769.t1	SINT1_54970.2, SINT1_54970.1, SINT1_54970.3
OG0001404	FhHiC23_g11350.t1, FhHiC23_g11350.t2	SINT1_19750.1
OG0001405	FhHiC23_g6114.t1, FhHiC23_g6115.t1	SINT1_33490.1, SINT1_33500.1, SINT1_46750.1
OG0001406	FhHiC23_g4884.t1	SINT1_29330.1, SINT1_29330.2, SINT1_29330.3, SINT1_29330.4, SINT1_29330.5, SINT1_29330.6
OG0001408	FhHiC23_g9748.t1	SINT1_24380.1, SINT1_24360.1, SINT1_24360.2
OG0001409	FhHiC23_g1925.t1	SINT1_49580.1, SINT1_49580.2, SINT1_49580.3, SINT1_49580.4, SINT1_49580.5
OG0001410	FhHiC23_g5100.t1, FhHiC23_g5099.t1	SINT1_35040.1, SINT1_35040.2, SINT1_35040.3, SINT1_35040.4, SINT1_35040.5, SINT1_35040.6, SINT1_35040.7, SINT1_35040.8, SINT1_35040.9, SINT1_35030.1
OG0001411	FhHiC23_g5572.t1	SINT1_28630.3, SINT1_28630.1, SINT1_28630.2, SINT1_28630.4
OG0001412	FhHiC23_g6153.t2, FhHiC23_g6153.t1, FhHiC23_g6153.t3	SINT1_28720.1, SINT1_28720.2
OG0001413	FhHiC23_g9425.t1	SINT1_92650.1, SINT1_92650.2, SINT1_92650.3
OG0001414	FhHiC23_g13502.t1, FhHiC23_g13501.t1, FhHiC23_g13501.t2	SINT1_4260.1
OG0001415	FhHiC23_g6002.t1	SINT1_31420.1, SINT1_31420.2, SINT1_31420.3
OG0001416	FhHiC23_g11391.t2, FhHiC23_g11391.t3, FhHiC23_g11391.t1, FhHiC23_g11391.t4	SINT1_14650.1
OG0001417	FhHiC23_g11440.t1	SINT1_12430.5, SINT1_12430.3, SINT1_12430.1, SINT1_12430.4, SINT1_12430.2
OG0001418	FhHiC23_g13330.t1	SINT1_210.1, SINT1_210.4, SINT1_210.2, SINT1_210.3
OG0001419	FhHiC23_g8598.t1, FhHiC23_g8598.t2, FhHiC23_g8603.t4, FhHiC23_g8603.t1, FhHiC23_g8603.t3, FhHiC23_g8603.t2	SINT1_65740.2, SINT1_65740.1, SINT1_65740.4, SINT1_65740.3, SINT1_65740.5
OG0001420	FhHiC23_g3762.t1	SINT1_81060.1
OG0001421	FhHiC23_g5327.t1	SINT1_36760.1, SINT1_36760.3, SINT1_36760.5, SINT1_36760.2, SINT1_36760.4
OG0001422	FhHiC23_g3036.t1	SINT1_73950.6, SINT1_73950.1, SINT1_73950.2, SINT1_73950.4, SINT1_73950.5, SINT1_73950.3
OG0001423	FhHiC23_g11266.t1	SINT1_11350.1, SINT1_11330.1
OG0001424	FhHiC23_g12739.t1	SINT1_9450.5, SINT1_9450.4, SINT1_9450.1, SINT1_9450.3, SINT1_9450.2
OG0001425	FhHiC23_g9584.t1	SINT1_25570.1, SINT1_25570.2, SINT1_25570.3, SINT1_25570.4
OG0001426	FhHiC23_g13004.t1, FhHiC23_g13002.t1, FhHiC23_g13002.t2	SINT1_6240.1, SINT1_6240.2
OG0001427	FhHiC23_g10228.t1	SINT1_26100.1
OG0001428	FhHiC23_g13260.t1, FhHiC23_g13260.t2	SINT1_2410.1, SINT1_2410.2, SINT1_2410.3, SINT1_2410.4, SINT1_2410.5, SINT1_2410.6
OG0001429	FhHiC23_g2002.t1	SINT1_52980.3, SINT1_52980.4, SINT1_52980.2, SINT1_52980.1, SINT1_52980.5
OG0001430	FhHiC23_g856.t2, FhHiC23_g857.t1, FhHiC23_g856.t1	SINT1_55080.1, SINT1_55060.1
OG0001431	FhHiC23_g6856.t1	SINT1_64900.1
OG0001432	FhHiC23_g14952.t1	SINT1_21960.1
OG0001433	FhHiC23_g15325.t1, FhHiC23_g15325.t2	SINT1_20870.2, SINT1_20870.1, SINT1_20870.7, SINT1_20870.5, SINT1_20870.6, SINT1_20870.3, SINT1_20870.4
OG0001434	FhHiC23_g9169.t1	SINT1_93480.1
OG0001435	FhHiC23_g2755.t1, FhHiC23_g2758.t1, FhHiC23_g2759.t1, FhHiC23_g2756.t1	SINT1_76160.1
OG0001436	FhHiC23_g2628.t1	SINT1_76550.1, SINT1_76550.2, SINT1_76550.3
OG0001438	FhHiC23_g15142.t1, FhHiC23_g15142.t2	SINT1_19120.2, SINT1_19120.1
OG0001439	FhHiC23_g3104.t2, FhHiC23_g3104.t1	SINT1_74630.2, SINT1_74630.3, SINT1_74630.8, SINT1_74630.4, SINT1_74630.5, SINT1_74630.9, SINT1_74630.1, SINT1_74630.6, SINT1_74630.7
OG0001440	FhHiC23_g4873.t1, FhHiC23_g4873.t2	SINT1_37280.1, SINT1_37280.2, SINT1_37280.3
OG0001441	FhHiC23_g16517.t1, FhHiC23_g16517.t2	SINT1_88500.2, SINT1_88500.1, SINT1_88500.3
OG0001442	FhHiC23_g8021.t1	SINT1_62090.1, SINT1_62090.3, SINT1_62090.2
OG0001443	FhHiC23_g11130.t1	SINT1_19600.5, SINT1_19600.2, SINT1_19600.4, SINT1_19600.1, SINT1_19600.3
OG0001444	FhHiC23_g1367.t1, FhHiC23_g1367.t2	SINT1_71770.1, SINT1_71770.3, SINT1_71770.4, SINT1_71770.2
OG0001453	FhHiC23_g2182.t3, FhHiC23_g2182.t1, FhHiC23_g2182.t2	SINT1_52300.4, SINT1_52300.1, SINT1_52300.2, SINT1_52300.3
OG0001454	FhHiC23_g3968.t1	SINT1_81300.1, SINT1_81300.2
OG0001455	FhHiC23_g9682.t1, FhHiC23_g9682.t2, FhHiC23_g13273.t1	SINT1_94670.1, SINT1_94670.2, SINT1_94670.3
OG0001456	FhHiC23_g6816.t1, FhHiC23_g6813.t3, FhHiC23_g6813.t1, FhHiC23_g6813.t2	SINT1_68010.1, SINT1_68020.1, SINT1_68020.2, SINT1_95580.1
OG0001457	FhHiC23_g12305.t1	SINT1_5240.2, SINT1_5240.1
OG0001458	FhHiC23_g5592.t1	SINT1_30280.1
OG0001459	FhHiC23_g7568.t1, FhHiC23_g7568.t2	SINT1_56980.1, SINT1_56980.2, SINT1_56970.1
OG0001460	FhHiC23_g6434.t1	SINT1_36060.4, SINT1_36060.5, SINT1_36060.2, SINT1_36060.1, SINT1_36060.3
OG0001461	FhHiC23_g5883.t1	SINT1_28360.1, SINT1_28360.2, SINT1_28360.3, SINT1_28360.4, SINT1_28360.5, SINT1_28360.6
OG0001462	FhHiC23_g7233.t1	SINT1_57420.1, SINT1_57420.2
OG0001463	FhHiC23_g8194.t2, FhHiC23_g8194.t3, FhHiC23_g8194.t4, FhHiC23_g8194.t1	SINT1_59260.1
OG0001464	FhHiC23_g1808.t1	SINT1_53230.2, SINT1_53230.1, SINT1_53230.3
OG0001465	FhHiC23_g3278.t2, FhHiC23_g3278.t1	SINT1_74160.1
OG0001466	FhHiC23_g12766.t1	SINT1_5000.1, SINT1_5000.2, SINT1_5000.3, SINT1_5000.4, SINT1_5000.5
OG0001467	FhHiC23_g6750.t1	SINT1_62590.1, SINT1_62590.2
OG0001468	FhHiC23_g12896.t1	SINT1_4600.3, SINT1_4600.4, SINT1_4600.1, SINT1_4600.2
OG0001469	FhHiC23_g4110.t1, FhHiC23_g4110.t2	SINT1_80920.2, SINT1_80920.4, SINT1_80920.1, SINT1_80920.3, SINT1_80920.5
OG0001470	FhHiC23_g8460.t1, FhHiC23_g8460.t2	SINT1_64140.1, SINT1_64140.2
OG0001471	FhHiC23_g7904.t3, FhHiC23_g7904.t1, FhHiC23_g7904.t2	SINT1_60240.1
OG0001472	FhHiC23_g7062.t1	SINT1_64040.3, SINT1_64040.4, SINT1_64040.1, SINT1_64040.2
OG0001473	FhHiC23_g2892.t1	SINT1_73030.1, SINT1_73030.2, SINT1_73030.3, SINT1_73030.4, SINT1_73030.5
OG0001474	FhHiC23_g6405.t1, FhHiC23_g6406.t1	SINT1_40490.1
OG0001475	FhHiC23_g2345.t1, FhHiC23_g2345.t2	SINT1_54420.4, SINT1_54420.1, SINT1_54420.2, SINT1_54420.3
OG0001476	FhHiC23_g10867.t1, FhHiC23_g10867.t2, FhHiC23_g10867.t3	SINT1_8560.1
OG0001477	FhHiC23_g1000.t1, FhHiC23_g1000.t2	SINT1_55620.1, SINT1_55620.2, SINT1_55620.3
OG0001478	FhHiC23_g15383.t1, FhHiC23_g15383.t2	SINT1_22000.2, SINT1_22000.7, SINT1_22000.1, SINT1_22000.6, SINT1_22000.4, SINT1_22000.3, SINT1_22000.5
OG0001479	FhHiC23_g11099.t1	SINT1_9620.1, SINT1_9620.4, SINT1_9620.2, SINT1_9620.3, SINT1_9620.5, SINT1_9620.6
OG0001480	FhHiC23_g12082.t1, FhHiC23_g12107.t1	SINT1_10960.1, SINT1_10960.2, SINT1_10960.3
OG0001481	FhHiC23_g2018.t1	SINT1_47590.1, SINT1_47600.1
OG0001482	FhHiC23_g16101.t2, FhHiC23_g16101.t1	SINT1_90680.1, SINT1_90680.2
OG0001483	FhHiC23_g2273.t1, FhHiC23_g2272.t1, FhHiC23_g2272.t2	SINT1_70850.1
OG0001484	FhHiC23_g10011.t1	SINT1_22830.1, SINT1_22830.2, SINT1_22830.3
OG0001485	FhHiC23_g5003.t1, FhHiC23_g5003.t2, FhHiC23_g5003.t3	SINT1_33930.2, SINT1_33930.1, SINT1_33930.3
OG0001486	FhHiC23_g844.t1	SINT1_52820.1, SINT1_52820.2
OG0001487	FhHiC23_g10195.t1	SINT1_24700.1
OG0001488	FhHiC23_g10417.t2, FhHiC23_g10417.t1, FhHiC23_g9032.t1	SINT1_93830.1
OG0001489	FhHiC23_g8019.t1, FhHiC23_g8992.t1, FhHiC23_g8992.t2	SINT1_25470.1, SINT1_25470.2
OG0001490	FhHiC23_g5059.t1, FhHiC23_g5059.t2	SINT1_31630.1
OG0001491	FhHiC23_g13032.t1, FhHiC23_g13033.t1	SINT1_5600.1
OG0001492	FhHiC23_g1298.t1	SINT1_48420.1, SINT1_95660.1
OG0001493	FhHiC23_g645.t4, FhHiC23_g645.t1, FhHiC23_g645.t3, FhHiC23_g645.t2	SINT1_45970.1, SINT1_45970.2
OG0001494	FhHiC23_g8971.t1	SINT1_26530.2, SINT1_26530.3, SINT1_26530.4, SINT1_26530.5, SINT1_26530.1
OG0001495	FhHiC23_g13610.t1	SINT1_7660.1, SINT1_7660.4, SINT1_7660.2, SINT1_7660.3
OG0001496	FhHiC23_g3123.t1, FhHiC23_g3123.t2	SINT1_74710.4, SINT1_74710.2, SINT1_74710.6, SINT1_74710.1, SINT1_74710.5, SINT1_74710.7, SINT1_74710.3
OG0001497	FhHiC23_g5116.t1	SINT1_34510.1, SINT1_34510.2
OG0001498	FhHiC23_g14305.t1	SINT1_45340.1
OG0001499	FhHiC23_g8053.t1	SINT1_62390.1, SINT1_63920.1
OG0001500	FhHiC23_g8038.t1	SINT1_65870.2, SINT1_65870.1
OG0001501	FhHiC23_g9006.t1, FhHiC23_g9006.t2	SINT1_91250.1, SINT1_91250.2, SINT1_91250.3, SINT1_91250.4, SINT1_91250.5, SINT1_91250.6, SINT1_91250.7, SINT1_91250.8, SINT1_91250.9
OG0001502	FhHiC23_g12577.t1, FhHiC23_g12577.t2	SINT1_96450.1, SINT1_650.1
OG0001503	FhHiC23_g2197.t2, FhHiC23_g2197.t1	SINT1_51620.1, SINT1_51620.2
OG0001504	FhHiC23_g7681.t1, FhHiC23_g7681.t2	SINT1_63070.1
OG0001505	FhHiC23_g9347.t1, FhHiC23_g9348.t2, FhHiC23_g9348.t1	SINT1_91760.2, SINT1_91750.1, SINT1_91760.1
OG0001506	FhHiC23_g13479.t2, FhHiC23_g13479.t1	SINT1_14360.1
OG0001507	FhHiC23_g1249.t2, FhHiC23_g1249.t1	SINT1_52120.1, SINT1_52120.2, SINT1_52120.3
OG0001508	FhHiC23_g5670.t1	SINT1_38890.1, SINT1_38890.2, SINT1_38890.3, SINT1_38890.5, SINT1_38890.4, SINT1_38890.6
OG0001509	FhHiC23_g3208.t1, FhHiC23_g3208.t2, FhHiC23_g3208.t3, FhHiC23_g3212.t1, FhHiC23_g10116.t1, FhHiC23_g10116.t2, FhHiC23_g2481.t1	SINT1_74900.1, SINT1_73640.1
OG0001510	FhHiC23_g14492.t1, FhHiC23_g14493.t1	SINT1_41770.1
OG0001511	FhHiC23_g5181.t1, FhHiC23_g5181.t2	SINT1_31850.1
OG0001512	FhHiC23_g2267.t1, FhHiC23_g2266.t1	SINT1_70760.2, SINT1_70760.3, SINT1_70760.1
OG0001513	FhHiC23_g11986.t2, FhHiC23_g11986.t3, FhHiC23_g11986.t1	SINT1_14570.1, SINT1_14560.1
OG0001514	FhHiC23_g13825.t1	SINT1_1610.2, SINT1_1610.1
OG0001515	FhHiC23_g13039.t1	SINT1_9320.1
OG0001516	FhHiC23_g15356.t1	SINT1_20010.1
OG0001516	FhHiC23_g15141.t1	SINT1_19990.1
OG0001517	FhHiC23_g10302.t1	SINT1_27610.1, SINT1_27610.2, SINT1_27610.3
OG0001518	FhHiC23_g5532.t1, FhHiC23_g5531.t1, FhHiC23_g3118.t1	SINT1_74760.3, SINT1_74760.6, SINT1_74760.5, SINT1_74760.4, SINT1_74760.1, SINT1_74760.2
OG0001519	FhHiC23_g339.t1	SINT1_74590.1
OG0001520	FhHiC23_g11463.t1, FhHiC23_g11463.t2	SINT1_8680.2, SINT1_8680.3, SINT1_8680.1, SINT1_8680.4
OG0001521	FhHiC23_g1827.t1	SINT1_54800.1
OG0001522	FhHiC23_g12303.t1	SINT1_10010.2, SINT1_10010.1, SINT1_10010.3
OG0001523	FhHiC23_g487.t1, FhHiC23_g487.t3	SINT1_48510.5, SINT1_48510.6, SINT1_48510.1, SINT1_48510.2, SINT1_48510.3, SINT1_48510.4
OG0001524	FhHiC23_g3887.t1, FhHiC23_g3887.t2	SINT1_80610.2, SINT1_80610.3, SINT1_80610.4, SINT1_80610.5, SINT1_80610.1
OG0001525	FhHiC23_g4758.t2, FhHiC23_g4758.t1	SINT1_33830.1
OG0001526	FhHiC23_g566.t1	SINT1_52800.1
OG0001527	FhHiC23_g16415.t3, FhHiC23_g16415.t1, FhHiC23_g16415.t2	SINT1_87820.1, SINT1_87820.7, SINT1_87820.3, SINT1_87820.5, SINT1_87820.4, SINT1_87820.2, SINT1_87820.6
OG0001528	FhHiC23_g14253.t1	SINT1_42910.1, SINT1_42910.4, SINT1_42910.5, SINT1_42910.6, SINT1_42910.3, SINT1_42910.2
OG0001529	FhHiC23_g8092.t1	SINT1_58690.1
OG0001530	FhHiC23_g1028.t2, FhHiC23_g1028.t1	SINT1_46570.1, SINT1_46570.2
OG0001531	FhHiC23_g10843.t1, FhHiC23_g10843.t2	SINT1_16730.1, SINT1_16730.2
OG0001532	FhHiC23_g12374.t2, FhHiC23_g12374.t1, FhHiC23_g12374.t3	SINT1_2870.1
OG0001533	FhHiC23_g7289.t1	SINT1_58420.1, SINT1_58420.3, SINT1_58420.2, SINT1_58420.4, SINT1_58420.5
OG0001534	FhHiC23_g2613.t1	SINT1_73330.1
OG0001535	FhHiC23_g16637.t2, FhHiC23_g16637.t1	SINT1_85760.4, SINT1_85760.5, SINT1_85760.1, SINT1_85760.2, SINT1_85760.3, SINT1_85760.6
OG0001536	FhHiC23_g14994.t3	SINT1_20880.2, SINT1_20880.1, SINT1_20880.4, SINT1_20880.3
OG0001537	FhHiC23_g13557.t1	SINT1_1360.2, SINT1_1360.1, SINT1_1370.3, SINT1_1370.2, SINT1_1370.1
OG0001538	FhHiC23_g4365.t1	SINT1_86460.1
OG0001539	FhHiC23_g13424.t1	SINT1_1510.1
OG0001540	FhHiC23_g4861.t2, FhHiC23_g4861.t3	SINT1_39100.1, SINT1_39080.1, SINT1_39080.2
OG0001542	FhHiC23_g1758.t1, FhHiC23_g1758.t2	SINT1_48160.1, SINT1_48160.2, SINT1_48160.3, SINT1_48160.4
OG0001543	FhHiC23_g3691.t2, FhHiC23_g1569.t1, FhHiC23_g3691.t1	SINT1_82580.1, SINT1_82580.2
OG0001544	FhHiC23_g11330.t1	SINT1_12760.1
OG0001545	FhHiC23_g1231.t2	SINT1_46950.1, SINT1_46950.2, SINT1_46950.3, SINT1_46950.4
OG0001546	FhHiC23_g5297.t1	SINT1_36280.1
OG0001554	FhHiC23_g4717.t1, FhHiC23_g4716.t1	SINT1_30790.1
OG0001555	FhHiC23_g595.t1, FhHiC23_g596.t1, FhHiC23_g596.t2, FhHiC23_g598.t1, FhHiC23_g597.t1	SINT1_74740.1, SINT1_74720.1, SINT1_74720.2
OG0001556	FhHiC23_g6026.t1, FhHiC23_g6026.t2, FhHiC23_g6026.t3	SINT1_32290.2, SINT1_32290.3, SINT1_32290.1
OG0001557	FhHiC23_g5467.t1	SINT1_41130.1
OG0001558	FhHiC23_g2651.t1, FhHiC23_g8901.t1	SINT1_79380.1
OG0001560	FhHiC23_g8195.t1	SINT1_62820.1, SINT1_62820.2
OG0001561	FhHiC23_g649.t1	SINT1_46010.1
OG0001562	FhHiC23_g8890.t1, FhHiC23_g8890.t2	SINT1_73710.1
OG0001563	FhHiC23_g14079.t1, FhHiC23_g14079.t2	SINT1_43750.1, SINT1_43750.2
OG0001564	FhHiC23_g3186.t1	SINT1_48860.1, SINT1_48850.1, SINT1_48870.1
OG0001565	FhHiC23_g7080.t1	SINT1_64460.1, SINT1_64460.2, SINT1_64460.3, SINT1_64460.4
OG0001566	FhHiC23_g7162.t1, FhHiC23_g10743.t1	SINT1_62720.1
OG0001567	FhHiC23_g2573.t1	SINT1_76430.3, SINT1_76430.1, SINT1_76430.2, SINT1_76430.4
OG0001568	FhHiC23_g2925.t1, FhHiC23_g2925.t2	SINT1_79030.6, SINT1_79030.8, SINT1_79030.2, SINT1_79030.7, SINT1_79030.1, SINT1_79030.3, SINT1_79030.4, SINT1_79030.5
OG0001569	FhHiC23_g15797.t2, FhHiC23_g15797.t1, FhHiC23_g15797.t3	SINT1_22420.1
OG0001570	FhHiC23_g288.t1, FhHiC23_g288.t2	SINT1_70080.1, SINT1_70080.2
OG0001571	FhHiC23_g12576.t1	SINT1_690.1
OG0001571	FhHiC23_g11623.t1	SINT1_6410.1
OG0001572	FhHiC23_g6744.t1	SINT1_62740.5, SINT1_62740.2, SINT1_62740.8, SINT1_62740.3, SINT1_62740.1, SINT1_62740.6, SINT1_62740.7, SINT1_62740.9, SINT1_62740.4
OG0001573	FhHiC23_g9275.t1, FhHiC23_g9275.t2	SINT1_26610.1, SINT1_26610.2, SINT1_26610.3
OG0001574	FhHiC23_g5418.t2, FhHiC23_g5418.t1, FhHiC23_g5418.t3	SINT1_35300.1
OG0001575	FhHiC23_g11921.t1, FhHiC23_g11921.t2, FhHiC23_g11921.t3	SINT1_11830.1
OG0001576	FhHiC23_g15971.t1, FhHiC23_g15971.t2	SINT1_86940.1
OG0001577	FhHiC23_g4634.t1	SINT1_29110.1, SINT1_29110.2
OG0001578	FhHiC23_g396.t1, FhHiC23_g396.t2	SINT1_56230.4, SINT1_56230.1, SINT1_56230.2, SINT1_56230.3
OG0001579	FhHiC23_g15013.t1	SINT1_17040.1, SINT1_17040.3, SINT1_17040.2
OG0001580	FhHiC23_g14523.t1	SINT1_42030.1, SINT1_42030.2
OG0001581	FhHiC23_g2765.t1, FhHiC23_g2765.t2, FhHiC23_g2765.t3	SINT1_77480.3, SINT1_77480.1, SINT1_77480.4, SINT1_77480.2
OG0001582	FhHiC23_g986.t1	SINT1_55810.1, SINT1_55810.2, SINT1_55810.3
OG0001583	FhHiC23_g13953.t1	SINT1_41900.4, SINT1_41900.1, SINT1_41900.2, SINT1_41900.5, SINT1_41900.3
OG0001584	FhHiC23_g6524.t1	SINT1_34790.1, SINT1_34790.2, SINT1_34790.3, SINT1_34790.4
OG0001585	FhHiC23_g5407.t1	SINT1_40170.1
OG0001586	FhHiC23_g11576.t2, FhHiC23_g11576.t1	SINT1_18000.2, SINT1_18000.6, SINT1_18000.1, SINT1_18000.3, SINT1_18000.5, SINT1_18000.4
OG0001587	FhHiC23_g11483.t1	SINT1_18990.2, SINT1_18990.1, SINT1_18990.3
OG0001588	FhHiC23_g7234.t1	SINT1_62470.2, SINT1_62470.1
OG0001589	FhHiC23_g6369.t1	SINT1_34080.1, SINT1_34080.2, SINT1_34080.5, SINT1_34080.3, SINT1_34080.4
OG0001590	FhHiC23_g2214.t1	SINT1_68830.1, SINT1_68840.1, SINT1_68840.2
OG0001591	FhHiC23_g9784.t1	SINT1_94810.2, SINT1_94810.1, SINT1_94810.3, SINT1_94810.5, SINT1_94810.4
OG0001592	FhHiC23_g15318.t1	SINT1_18810.1, SINT1_18810.2
OG0001593	FhHiC23_g8485.t1	SINT1_61100.1, SINT1_61100.2, SINT1_61100.3, SINT1_61100.4, SINT1_61100.5
OG0001594	FhHiC23_g6096.t1	SINT1_36340.1
OG0001595	FhHiC23_g7385.t1	SINT1_65100.1
OG0001596	FhHiC23_g2736.t1	SINT1_78900.4, SINT1_78900.3, SINT1_78900.2, SINT1_78900.1
OG0001597	FhHiC23_g3057.t1, FhHiC23_g3057.t2, FhHiC23_g3056.t1	SINT1_72370.2, SINT1_72370.3, SINT1_72370.1
OG0001598	FhHiC23_g1999.t1	SINT1_45790.1
OG0001599	FhHiC23_g1348.t1, FhHiC23_g1348.t2	SINT1_69280.1, SINT1_69280.2
OG0001600	FhHiC23_g6351.t1, FhHiC23_g6351.t2	SINT1_30170.1
OG0001601	FhHiC23_g7994.t1, FhHiC23_g7994.t2	SINT1_65710.1, SINT1_65710.2
OG0001602	FhHiC23_g11552.t1	SINT1_13570.1, SINT1_13570.2
OG0001603	FhHiC23_g1468.t1	SINT1_52600.1
OG0001604	FhHiC23_g10295.t1	SINT1_24740.1, SINT1_24740.3, SINT1_24740.2
OG0001605	FhHiC23_g15525.t1	SINT1_15670.1, SINT1_15670.2
OG0001606	FhHiC23_g10377.t3, FhHiC23_g10377.t1, FhHiC23_g10377.t2	SINT1_23040.2, SINT1_23050.1
OG0001607	FhHiC23_g921.t1	SINT1_68870.1, SINT1_68870.2
OG0001608	FhHiC23_g2350.t1	SINT1_51530.1, SINT1_51530.2
OG0001609	FhHiC23_g2451.t2, FhHiC23_g2451.t1	SINT1_70800.1
OG0001610	FhHiC23_g9969.t1, FhHiC23_g9969.t2	SINT1_93760.1
OG0001610	FhHiC23_g9262.t1, FhHiC23_g14166.t1	SINT1_36910.1
OG0001611	FhHiC23_g8025.t1	SINT1_60130.1, SINT1_60130.3, SINT1_60130.6, SINT1_60130.5, SINT1_60130.2, SINT1_60130.4
OG0001612	FhHiC23_g12510.t1, FhHiC23_g12510.t2	SINT1_1440.1, SINT1_1440.2, SINT1_1440.3
OG0001613	FhHiC23_g410.t1, FhHiC23_g410.t2	SINT1_73110.1, SINT1_73110.2
OG0001614	FhHiC23_g5493.t1, FhHiC23_g5495.t1	SINT1_40050.1
OG0001615	FhHiC23_g5496.t1	SINT1_40060.1, SINT1_40060.3, SINT1_40060.2, SINT1_40060.4
OG0001616	FhHiC23_g13562.t1, FhHiC23_g13562.t2	SINT1_10630.1, SINT1_10630.2
OG0001617	FhHiC23_g95.t1	SINT1_54210.1, SINT1_54210.2
OG0001618	FhHiC23_g6230.t1	SINT1_39170.1, SINT1_39170.2, SINT1_39170.3, SINT1_15920.1
OG0001619	FhHiC23_g1822.t1, FhHiC23_g1822.t2	SINT1_54090.7, SINT1_54090.1, SINT1_54090.6, SINT1_54090.4, SINT1_54090.5, SINT1_54090.2, SINT1_54090.3
OG0001620	FhHiC23_g5019.t1	SINT1_33860.1
OG0001621	FhHiC23_g13465.t1	SINT1_750.1
OG0001622	FhHiC23_g3859.t1	SINT1_83370.1, SINT1_94920.1, SINT1_83340.1
OG0001623	FhHiC23_g12568.t1	SINT1_7540.4, SINT1_7540.1, SINT1_7540.3, SINT1_7540.5, SINT1_7540.2
OG0001624	FhHiC23_g5969.t1	SINT1_41070.1
OG0001625	FhHiC23_g7834.t1, FhHiC23_g7835.t1, FhHiC23_g7832.t1	SINT1_62420.1, SINT1_62410.1
OG0001626	FhHiC23_g4924.t1, FhHiC23_g4924.t2	SINT1_32390.4, SINT1_32390.5, SINT1_32390.6, SINT1_32390.1, SINT1_32390.3
OG0001627	FhHiC23_g3162.t1	SINT1_71820.1
OG0001628	FhHiC23_g15068.t1, FhHiC23_g12087.t1	SINT1_16400.1, SINT1_16400.4, SINT1_16400.5, SINT1_16400.2, SINT1_16400.3
OG0001629	FhHiC23_g11254.t1	SINT1_1910.3, SINT1_1910.1, SINT1_1910.2
OG0001630	FhHiC23_g12989.t1	SINT1_9270.1
OG0001631	FhHiC23_g16292.t1	SINT1_88400.1
OG0001632	FhHiC23_g6746.t1	SINT1_66660.1
OG0001633	FhHiC23_g9236.t1	SINT1_93140.1, SINT1_93140.2, SINT1_93140.3
OG0001634	FhHiC23_g15902.t2, FhHiC23_g15902.t1	SINT1_85850.1, SINT1_85850.2
OG0001635	FhHiC23_g13640.t2, FhHiC23_g13640.t1	SINT1_5020.1, SINT1_5020.2
OG0001636	FhHiC23_g2927.t1, FhHiC23_g2927.t2	SINT1_73800.1
OG0001637	FhHiC23_g6969.t1	SINT1_57890.2, SINT1_57890.3, SINT1_57890.1
OG0001638	FhHiC23_g11342.t1, FhHiC23_g11341.t1	SINT1_6750.1, SINT1_6750.3, SINT1_6750.4, SINT1_6750.5, SINT1_6750.2, SINT1_6750.6, SINT1_6750.7, SINT1_6750.8, SINT1_6750.9
OG0001639	FhHiC23_g11042.t1, FhHiC23_g11044.t1	SINT1_16670.1, SINT1_16700.1
OG0001640	FhHiC23_g15554.t1	SINT1_20640.2, SINT1_20640.1, SINT1_20640.3, SINT1_20640.4
OG0001641	FhHiC23_g15937.t1, FhHiC23_g6164.t1, FhHiC23_g6162.t1	SINT1_87360.1
OG0001642	FhHiC23_g136.t1	SINT1_68760.1, SINT1_68770.1, SINT1_45590.1
OG0001643	FhHiC23_g7424.t1, FhHiC23_g7424.t2	SINT1_59420.1, SINT1_59420.2
OG0001644	FhHiC23_g158.t2, FhHiC23_g158.t1	SINT1_49020.1
OG0001645	FhHiC23_g9248.t1, FhHiC23_g9248.t2, FhHiC23_g9248.t3	SINT1_93540.1
OG0001646	FhHiC23_g1025.t1, FhHiC23_g1025.t2	SINT1_55500.1, SINT1_55500.3, SINT1_55500.6, SINT1_55500.4, SINT1_55500.2, SINT1_55500.5
OG0001647	FhHiC23_g14670.t1, FhHiC23_g14670.t2	SINT1_41800.5, SINT1_41800.7, SINT1_41800.3, SINT1_41800.4, SINT1_41800.2, SINT1_41800.1, SINT1_41800.8, SINT1_41800.6
OG0001648	FhHiC23_g1289.t1, FhHiC23_g1289.t2, FhHiC23_g1289.t3	SINT1_78840.1, SINT1_78840.2, SINT1_78840.3
OG0001649	FhHiC23_g12151.t1	SINT1_14030.1
OG0001650	FhHiC23_g2965.t1	SINT1_72160.3, SINT1_72160.1, SINT1_72160.2
OG0001651	FhHiC23_g13731.t1	SINT1_2000.2, SINT1_2000.1, SINT1_2000.3
OG0001652	FhHiC23_g2275.t1	SINT1_70730.3, SINT1_70730.2, SINT1_70730.1, SINT1_70730.5, SINT1_70730.4
OG0001653	FhHiC23_g13332.t1	SINT1_10870.1, SINT1_10870.2
OG0001654	FhHiC23_g16586.t1	SINT1_89180.1, SINT1_89190.1
OG0001655	FhHiC23_g7908.t1	SINT1_67180.3, SINT1_67180.2, SINT1_67180.1, SINT1_67180.4
OG0001656	FhHiC23_g16220.t1	SINT1_86360.1
OG0001657	FhHiC23_g6597.t1	SINT1_33560.1, SINT1_33560.2, SINT1_33560.3
