Orthogroup	opisthorchis_viverrini	fasciola_hepatica
OG0001059	T265_09693	FhHiC23_g15619.t1, FhHiC23_g15619.t2
OG0001060	T265_08792, T265_05830, T265_12211	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1
OG0001061	T265_10435	FhHiC23_g10637.t1
OG0001068	T265_05783	FhHiC23_g1453.t1
OG0001070	T265_01150	FhHiC23_g10636.t1, FhHiC23_g7712.t1
OG0001070	T265_03875	FhHiC23_g2817.t2, FhHiC23_g2817.t1
OG0001071	T265_01413, T265_01414	FhHiC23_g8249.t1, FhHiC23_g8249.t2
OG0001072	T265_11095	FhHiC23_g14078.t1
OG0001073	T265_06687	FhHiC23_g15794.t1
OG0001074	T265_07051	FhHiC23_g9712.t1
OG0001075	T265_00485	FhHiC23_g7537.t1
OG0001076	T265_04766	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2
OG0001077	T265_03589	FhHiC23_g2069.t1
OG0001078	T265_01377	FhHiC23_g7897.t2, FhHiC23_g7897.t1
OG0001079	T265_07856	FhHiC23_g2694.t1, FhHiC23_g2693.t1
OG0001079	T265_01997	FhHiC23_g1658.t1
OG0001080	T265_03280, T265_06062	FhHiC23_g1174.t1
OG0001081	T265_02594	FhHiC23_g5306.t1
OG0001082	T265_14341	FhHiC23_g2343.t1
OG0001083	T265_05304	FhHiC23_g9161.t1, FhHiC23_g9161.t2
OG0001084	T265_03430	FhHiC23_g15642.t1
OG0001085	T265_07882	FhHiC23_g13296.t1, FhHiC23_g13296.t2
OG0001085	T265_05309	FhHiC23_g9501.t1
OG0001086	T265_00332	FhHiC23_g3370.t1
OG0001087	T265_02349	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1
OG0001087	T265_13295	FhHiC23_g6106.t1
OG0001088	T265_14908	FhHiC23_g10196.t1, FhHiC23_g10197.t1
OG0001089	T265_04203	FhHiC23_g7786.t1
OG0001090	T265_05314	FhHiC23_g9487.t1
OG0001091	T265_08694	FhHiC23_g1119.t1
OG0001092	T265_05477	FhHiC23_g2498.t1, FhHiC23_g2498.t2
OG0001094	T265_01493	FhHiC23_g14498.t1, FhHiC23_g14498.t2
OG0001095	T265_12507, T265_12509	FhHiC23_g2076.t1
OG0001096	T265_02087	FhHiC23_g11191.t1
OG0001097	T265_12596, T265_12597	FhHiC23_g8335.t1, FhHiC23_g8335.t2, FhHiC23_g15754.t1
OG0001098	T265_03530	FhHiC23_g5515.t2, FhHiC23_g5515.t1
OG0001099	T265_09134	FhHiC23_g4376.t2, FhHiC23_g4376.t1
OG0001100	T265_12718	FhHiC23_g8517.t1, FhHiC23_g8517.t2
OG0001101	T265_01277	FhHiC23_g1166.t1
OG0001102	T265_07011	FhHiC23_g8118.t1, FhHiC23_g8119.t1
OG0001103	T265_11524, T265_11526	FhHiC23_g9426.t1
OG0001105	T265_00108	FhHiC23_g5722.t1
OG0001106	T265_03131	FhHiC23_g8470.t1, FhHiC23_g8469.t1
OG0001107	T265_01259	FhHiC23_g2353.t1
OG0001108	T265_04027	FhHiC23_g5315.t1, FhHiC23_g5315.t2
OG0001109	T265_15651	FhHiC23_g5353.t1
OG0001110	T265_03630	FhHiC23_g12675.t1, FhHiC23_g12675.t3, FhHiC23_g12675.t2
OG0001111	T265_15867	FhHiC23_g704.t1, FhHiC23_g704.t2
OG0001112	T265_07938	FhHiC23_g9029.t1, FhHiC23_g9029.t2
OG0001113	T265_01569	FhHiC23_g13268.t1, FhHiC23_g13268.t2
OG0001114	T265_10355, T265_12872	FhHiC23_g12455.t1, FhHiC23_g12454.t1
OG0001115	T265_14281	FhHiC23_g9413.t1
OG0001116	T265_04971	FhHiC23_g3848.t1, FhHiC23_g3848.t2
OG0001117	T265_09895, T265_16078	FhHiC23_g15056.t1
OG0001118	T265_15682	FhHiC23_g858.t1
OG0001119	T265_00531	FhHiC23_g7613.t1
OG0001120	T265_14589, T265_14590	FhHiC23_g6514.t1, FhHiC23_g6513.t1
OG0001121	T265_02829	FhHiC23_g1269.t1
OG0001122	T265_01758	FhHiC23_g1505.t1
OG0001123	T265_01870	FhHiC23_g16262.t1
OG0001124	T265_12781	FhHiC23_g4816.t1, FhHiC23_g4816.t2
OG0001125	T265_11059, T265_11060	FhHiC23_g15067.t1, FhHiC23_g15283.t1
OG0001129	T265_03641	FhHiC23_g5851.t1, FhHiC23_g5851.t2
OG0001130	T265_02467	FhHiC23_g11767.t1
OG0001131	T265_08223	FhHiC23_g1578.t1, FhHiC23_g904.t1
OG0001132	T265_02407	FhHiC23_g4204.t1
OG0001133	T265_14376, T265_07758, T265_14375	FhHiC23_g12862.t1
OG0001134	T265_10110	FhHiC23_g7886.t2, FhHiC23_g7886.t1
OG0001135	T265_08862	FhHiC23_g5147.t1, FhHiC23_g5147.t3, FhHiC23_g5147.t2, FhHiC23_g13641.t1
OG0001136	T265_05385	FhHiC23_g9049.t1, FhHiC23_g9049.t3, FhHiC23_g9049.t2, FhHiC23_g9048.t1
OG0001137	T265_00383	FhHiC23_g1813.t1, FhHiC23_g4293.t1
OG0001138	T265_10030	FhHiC23_g15520.t1, FhHiC23_g15520.t2
OG0001139	T265_13523	FhHiC23_g5718.t1
OG0001140	T265_04041	FhHiC23_g241.t1, FhHiC23_g241.t2
OG0001141	T265_05904	FhHiC23_g1076.t1, FhHiC23_g1076.t2, FhHiC23_g1075.t1
OG0001142	T265_08036	FhHiC23_g11870.t1
OG0001143	T265_00671	FhHiC23_g7415.t1
OG0001144	T265_07617	FhHiC23_g5155.t1
OG0001145	T265_00186	FhHiC23_g7658.t3
OG0001146	T265_06313	FhHiC23_g13278.t1
OG0001147	T265_07177	FhHiC23_g12808.t1
OG0001149	T265_05953	FhHiC23_g1224.t1, FhHiC23_g1224.t2
OG0001150	T265_00437	FhHiC23_g1835.t2, FhHiC23_g1835.t1
OG0001151	T265_15472, T265_13441	FhHiC23_g16662.t1, FhHiC23_g16661.t1
OG0001152	T265_14381	FhHiC23_g10976.t1
OG0001153	T265_01176	FhHiC23_g6756.t1
OG0001155	T265_04064	FhHiC23_g990.t1
OG0001156	T265_06433	FhHiC23_g13609.t1
OG0001157	T265_14481	FhHiC23_g7566.t1, FhHiC23_g7566.t2
OG0001158	T265_06397	FhHiC23_g13969.t1, FhHiC23_g13969.t2, FhHiC23_g13969.t3
OG0001159	T265_09195	FhHiC23_g15933.t1
OG0001161	T265_00653, T265_08935, T265_08936, T265_13517	FhHiC23_g8332.t1, FhHiC23_g8332.t2
OG0001162	T265_04454	FhHiC23_g14256.t1
OG0001163	T265_07853	FhHiC23_g2468.t1, FhHiC23_g2468.t2
OG0001164	T265_12833	FhHiC23_g3712.t1
OG0001165	T265_08213	FhHiC23_g7780.t1, FhHiC23_g7779.t1
OG0001166	T265_05263, T265_09404	FhHiC23_g10639.t2, FhHiC23_g10639.t1
OG0001167	T265_08105	FhHiC23_g8877.t2, FhHiC23_g8877.t1
OG0001168	T265_15277	FhHiC23_g10761.t1
OG0001169	T265_08843, T265_16294	FhHiC23_g1122.t1
OG0001170	T265_01846	FhHiC23_g11438.t1, FhHiC23_g11438.t2
OG0001171	T265_10087, T265_11342	FhHiC23_g15069.t1, FhHiC23_g15069.t2
OG0001172	T265_08932, T265_15849	FhHiC23_g4510.t1, FhHiC23_g4510.t2
OG0001173	T265_14048, T265_14047	FhHiC23_g12817.t1, FhHiC23_g12817.t2
OG0001174	T265_12676	FhHiC23_g12471.t1, FhHiC23_g12471.t2
OG0001175	T265_01290	FhHiC23_g2041.t2, FhHiC23_g2041.t1
OG0001176	T265_00168	FhHiC23_g2663.t2, FhHiC23_g2663.t1, FhHiC23_g2663.t3
OG0001177	T265_09629	FhHiC23_g9740.t1
OG0001178	T265_13363	FhHiC23_g13729.t1
OG0001179	T265_05221	FhHiC23_g9508.t1, FhHiC23_g9508.t2
OG0001180	T265_13220	FhHiC23_g13376.t1
OG0001181	T265_11423	FhHiC23_g7599.t1
OG0001183	T265_02454	FhHiC23_g10990.t1
OG0001184	T265_00213	FhHiC23_g12651.t1
OG0001185	T265_04552	FhHiC23_g13085.t1, FhHiC23_g13087.t2, FhHiC23_g13087.t1, FhHiC23_g4259.t1, FhHiC23_g4260.t1
OG0001186	T265_12678	FhHiC23_g13509.t1, FhHiC23_g13509.t2
OG0001187	T265_02980	FhHiC23_g368.t1, FhHiC23_g5631.t1, FhHiC23_g5631.t2
OG0001188	T265_15159	FhHiC23_g13489.t2, FhHiC23_g13489.t1, FhHiC23_g13489.t3
OG0001189	T265_00193	FhHiC23_g10719.t1
OG0001190	T265_11824	FhHiC23_g6596.t1
OG0001191	T265_07275	FhHiC23_g10688.t1
OG0001192	T265_07070	FhHiC23_g14600.t1
OG0001193	T265_15398, T265_11656, T265_03245, T265_13788	FhHiC23_g3600.t1, FhHiC23_g3599.t1
OG0001194	T265_06139, T265_06140	FhHiC23_g13585.t1, FhHiC23_g13585.t3, FhHiC23_g13585.t2
OG0001197	T265_11253	FhHiC23_g15701.t1
OG0001202	T265_05149	FhHiC23_g11630.t1, FhHiC23_g11630.t2
OG0001203	T265_05114	FhHiC23_g12753.t1
OG0001203	T265_07810	FhHiC23_g4036.t1
OG0001204	T265_10589	FhHiC23_g7557.t1, FhHiC23_g7557.t2
OG0001205	T265_10082	FhHiC23_g5338.t1
OG0001207	T265_11953	FhHiC23_g15577.t1, FhHiC23_g15577.t2
OG0001208	T265_11311	FhHiC23_g14632.t2, FhHiC23_g14632.t1
OG0001209	T265_08686	FhHiC23_g976.t1
OG0001210	T265_04627	FhHiC23_g10098.t1
OG0001211	T265_10917	FhHiC23_g10685.t1
OG0001211	T265_10916	FhHiC23_g10684.t1
OG0001212	T265_05206	FhHiC23_g6150.t1
OG0001213	T265_03062	FhHiC23_g11965.t1
OG0001214	T265_01374	FhHiC23_g6213.t1, FhHiC23_g6213.t2
OG0001215	T265_09785	FhHiC23_g8433.t1
OG0001216	T265_01025	FhHiC23_g10346.t1
OG0001217	T265_15227	FhHiC23_g435.t1
OG0001218	T265_03088	FhHiC23_g11418.t1
OG0001219	T265_06431	FhHiC23_g12821.t1, FhHiC23_g12821.t2
OG0001220	T265_12016, T265_12232	FhHiC23_g10412.t1
OG0001221	T265_15143	FhHiC23_g7442.t1
OG0001222	T265_02622	FhHiC23_g16560.t1
OG0001223	T265_00721	FhHiC23_g4936.t1, FhHiC23_g4935.t1, FhHiC23_g4935.t2
OG0001224	T265_14840	FhHiC23_g4210.t1
OG0001225	T265_15456	FhHiC23_g7081.t1
OG0001226	T265_12558	FhHiC23_g206.t1
OG0001227	T265_08672	FhHiC23_g7001.t1
OG0001229	T265_13483	FhHiC23_g5603.t1, FhHiC23_g5603.t2
OG0001230	T265_06173	FhHiC23_g15009.t1
OG0001231	T265_11984	FhHiC23_g5551.t1, FhHiC23_g5551.t2
OG0001232	T265_14855	FhHiC23_g4104.t1
OG0001233	T265_12818	FhHiC23_g13620.t1, FhHiC23_g13619.t1, FhHiC23_g13620.t2
OG0001234	T265_09478	FhHiC23_g14590.t1
OG0001235	T265_03531	FhHiC23_g6098.t1, FhHiC23_g6102.t1, FhHiC23_g6102.t2
OG0001236	T265_13174	FhHiC23_g7637.t2, FhHiC23_g7637.t1
OG0001237	T265_13308	FhHiC23_g10491.t1
OG0001238	T265_01675	FhHiC23_g3520.t1
OG0001239	T265_03082	FhHiC23_g11410.t1, FhHiC23_g11410.t2
OG0001240	T265_08224	FhHiC23_g178.t1, FhHiC23_g178.t2
OG0001241	T265_00540	FhHiC23_g8237.t1
OG0001241	T265_00343	FhHiC23_g3364.t1
OG0001242	T265_00140	FhHiC23_g2164.t1
OG0001242	T265_06857	FhHiC23_g415.t1, FhHiC23_g11.t1, FhHiC23_g417.t1, FhHiC23_g416.t1
OG0001243	T265_14770	FhHiC23_g12197.t1, FhHiC23_g12197.t2, FhHiC23_g12197.t3
OG0001244	T265_13277	FhHiC23_g4409.t1, FhHiC23_g8199.t1
OG0001245	T265_14234	FhHiC23_g11312.t1, FhHiC23_g11312.t4, FhHiC23_g11312.t3, FhHiC23_g11312.t2
OG0001246	T265_02606	FhHiC23_g6259.t1, FhHiC23_g6258.t1
OG0001247	T265_04001	FhHiC23_g5459.t1
OG0001248	T265_13129	FhHiC23_g13056.t1, FhHiC23_g13057.t1
OG0001249	T265_06475	FhHiC23_g5900.t1
OG0001250	T265_08176	FhHiC23_g11255.t1
OG0001251	T265_12979	FhHiC23_g378.t1, FhHiC23_g378.t2, FhHiC23_g378.t3
OG0001252	T265_02686	FhHiC23_g1624.t1, FhHiC23_g1624.t2
OG0001253	T265_13874	FhHiC23_g850.t1, FhHiC23_g850.t2
OG0001254	T265_11321	FhHiC23_g5448.t2, FhHiC23_g5448.t1, FhHiC23_g5448.t3, FhHiC23_g5448.t4
OG0001256	T265_02816	FhHiC23_g3312.t1
OG0001257	T265_11892, T265_16136	FhHiC23_g9477.t1
OG0001258	T265_13130	FhHiC23_g774.t1
OG0001259	T265_09345	FhHiC23_g7609.t2, FhHiC23_g4602.t3, FhHiC23_g4602.t1, FhHiC23_g4602.t2, FhHiC23_g7609.t1
OG0001259	T265_09949, T265_09950	FhHiC23_g4602.t4
OG0001260	T265_14449, T265_07985, T265_15945	FhHiC23_g12509.t1, FhHiC23_g12509.t2, FhHiC23_g12508.t2, FhHiC23_g12508.t1
OG0001261	T265_14931	FhHiC23_g14561.t1
OG0001262	T265_09952	FhHiC23_g4162.t1
OG0001263	T265_04153	FhHiC23_g16663.t1
OG0001264	T265_03602	FhHiC23_g1581.t1
OG0001265	T265_14950	FhHiC23_g7618.t1
OG0001266	T265_01368	FhHiC23_g3157.t1
OG0001267	T265_02946	FhHiC23_g1977.t1
OG0001268	T265_10920	FhHiC23_g13820.t1, FhHiC23_g13821.t1
OG0001269	T265_04251	FhHiC23_g10365.t1, FhHiC23_g10365.t2
OG0001270	T265_15549	FhHiC23_g4396.t1
OG0001271	T265_01405	FhHiC23_g7132.t1
OG0001272	T265_09223	FhHiC23_g543.t1
OG0001273	T265_12104	FhHiC23_g2791.t3, FhHiC23_g2793.t3, FhHiC23_g2793.t1, FhHiC23_g2793.t2, FhHiC23_g2791.t1, FhHiC23_g2791.t2, FhHiC23_g2792.t1
OG0001275	T265_07335, T265_10840, T265_11809	FhHiC23_g1198.t1
OG0001276	T265_00611	FhHiC23_g6762.t1
OG0001277	T265_00220	FhHiC23_g10833.t1
OG0001278	T265_01837	FhHiC23_g4402.t2, FhHiC23_g4402.t1
OG0001288	T265_04400	FhHiC23_g9111.t1, FhHiC23_g9111.t2
OG0001289	T265_07802	FhHiC23_g6217.t1, FhHiC23_g6217.t2
OG0001290	T265_06266	FhHiC23_g13023.t1
OG0001291	T265_02085	FhHiC23_g11644.t1
OG0001292	T265_15256	FhHiC23_g11967.t1, FhHiC23_g11968.t1
OG0001293	T265_08598, T265_02864	FhHiC23_g1441.t1, FhHiC23_g1443.t1
OG0001294	T265_10701, T265_16370	FhHiC23_g5778.t1, FhHiC23_g5778.t2
OG0001295	T265_09730	FhHiC23_g5328.t1, FhHiC23_g6076.t2, FhHiC23_g5329.t1, FhHiC23_g6076.t3, FhHiC23_g6076.t1
OG0001296	T265_08476	FhHiC23_g11126.t1
OG0001297	T265_04571	FhHiC23_g12110.t1
OG0001298	T265_07619	FhHiC23_g5902.t1
OG0001300	T265_08424	FhHiC23_g12926.t2, FhHiC23_g12926.t1
OG0001301	T265_00039	FhHiC23_g1966.t1
OG0001302	T265_12500	FhHiC23_g12384.t1, FhHiC23_g12384.t2
OG0001303	T265_10770	FhHiC23_g4775.t1
OG0001304	T265_03829	FhHiC23_g16647.t1
OG0001305	T265_07987	FhHiC23_g12504.t2, FhHiC23_g12504.t1
OG0001306	T265_00541	FhHiC23_g8150.t1, FhHiC23_g8150.t2
OG0001307	T265_01195	FhHiC23_g4116.t1
OG0001307	T265_01660	FhHiC23_g3573.t2, FhHiC23_g3573.t1
OG0001309	T265_13784	FhHiC23_g2258.t1
OG0001310	T265_05987	FhHiC23_g9093.t1, FhHiC23_g9093.t4, FhHiC23_g9093.t2, FhHiC23_g9093.t3
OG0001311	T265_11912	FhHiC23_g14592.t3, FhHiC23_g14592.t1, FhHiC23_g14592.t2
OG0001312	T265_09660, T265_12061	FhHiC23_g5586.t1
OG0001313	T265_13569, T265_16167	FhHiC23_g14691.t2, FhHiC23_g14691.t1, FhHiC23_g14691.t3
OG0001314	T265_04550	FhHiC23_g13334.t1, FhHiC23_g13334.t2
OG0001315	T265_13138	FhHiC23_g5052.t1, FhHiC23_g5051.t1
OG0001317	T265_09060	FhHiC23_g11466.t1, FhHiC23_g11466.t2
OG0001318	T265_13991	FhHiC23_g12572.t1
OG0001319	T265_06528	FhHiC23_g6549.t1
OG0001320	T265_08464	FhHiC23_g7006.t1
OG0001321	T265_00915	FhHiC23_g15267.t2, FhHiC23_g14927.t1, FhHiC23_g14927.t2, FhHiC23_g15267.t1
OG0001322	T265_03302	FhHiC23_g229.t1
OG0001323	T265_12486	FhHiC23_g12796.t1, FhHiC23_g12796.t2
OG0001324	T265_14768	FhHiC23_g4371.t1
OG0001325	T265_13829	FhHiC23_g9619.t1, FhHiC23_g7790.t1, FhHiC23_g7788.t1
OG0001326	T265_12747	FhHiC23_g868.t1
OG0001327	T265_04765	FhHiC23_g16056.t1, FhHiC23_g16056.t2
OG0001328	T265_08521, T265_16151	FhHiC23_g13235.t1
OG0001329	T265_08470	FhHiC23_g12626.t1
OG0001330	T265_02990	FhHiC23_g4987.t1, FhHiC23_g4987.t2
OG0001331	T265_13007	FhHiC23_g687.t1, FhHiC23_g686.t1
OG0001332	T265_10139	FhHiC23_g6945.t1
OG0001332	T265_00767	FhHiC23_g2428.t1
OG0001333	T265_03325	FhHiC23_g6765.t1
OG0001334	T265_06833	FhHiC23_g12518.t1
OG0001335	T265_08232	FhHiC23_g5464.t1, FhHiC23_g5465.t1
OG0001336	T265_08608, T265_14629	FhHiC23_g245.t2, FhHiC23_g245.t1
OG0001338	T265_14448	FhHiC23_g4737.t1
OG0001339	T265_15348	FhHiC23_g11824.t1, FhHiC23_g11824.t2, FhHiC23_g13224.t1
OG0001340	T265_10344	FhHiC23_g13480.t1
OG0001341	T265_12020	FhHiC23_g3143.t1
OG0001342	T265_14230	FhHiC23_g2119.t2, FhHiC23_g2119.t1, FhHiC23_g2119.t3
OG0001343	T265_13062	FhHiC23_g2823.t1, FhHiC23_g2823.t2
OG0001344	T265_10971	FhHiC23_g2301.t2, FhHiC23_g2301.t1
OG0001345	T265_01513	FhHiC23_g13897.t1
OG0001346	T265_14870	FhHiC23_g10664.t1
OG0001347	T265_13036	FhHiC23_g5010.t1
OG0001348	T265_01495	FhHiC23_g14004.t1, FhHiC23_g14004.t2
OG0001350	T265_14606	FhHiC23_g5111.t2, FhHiC23_g5111.t3, FhHiC23_g5111.t1, FhHiC23_g5111.t4
OG0001351	T265_13461	FhHiC23_g10370.t1, FhHiC23_g10370.t2
OG0001352	T265_05586	FhHiC23_g10388.t1, FhHiC23_g10387.t1
OG0001353	T265_04201	FhHiC23_g8363.t2, FhHiC23_g8363.t1
OG0001354	T265_07793	FhHiC23_g8269.t1
OG0001355	T265_14810, T265_10683	FhHiC23_g8074.t1, FhHiC23_g8074.t2
OG0001356	T265_02268, T265_01960	FhHiC23_g3092.t1, FhHiC23_g3092.t2
OG0001357	T265_02597, T265_15181	FhHiC23_g5720.t1
OG0001361	T265_09022	FhHiC23_g5345.t1, FhHiC23_g5345.t2
OG0001362	T265_07497	FhHiC23_g4766.t1, FhHiC23_g4766.t2
OG0001363	T265_13550	FhHiC23_g9430.t3, FhHiC23_g9430.t1, FhHiC23_g9430.t2
OG0001364	T265_11114	FhHiC23_g3977.t1, FhHiC23_g3977.t2, FhHiC23_g3977.t3
OG0001365	T265_06976, T265_16366	FhHiC23_g2334.t1
OG0001366	T265_09080	FhHiC23_g1816.t1
OG0001367	T265_06622	FhHiC23_g9014.t1, FhHiC23_g9014.t2
OG0001368	T265_00192	FhHiC23_g11032.t2, FhHiC23_g11032.t1
OG0001369	T265_01904, T265_15996	FhHiC23_g16217.t1, FhHiC23_g16217.t2
OG0001370	T265_14639	FhHiC23_g6835.t1, FhHiC23_g6835.t2
OG0001371	T265_04340	FhHiC23_g5083.t1, FhHiC23_g5917.t2, FhHiC23_g5917.t3, FhHiC23_g5917.t1, FhHiC23_g5084.t1
OG0001372	T265_07978, T265_16138	FhHiC23_g6266.t1, FhHiC23_g6266.t2
OG0001373	T265_00255	FhHiC23_g12593.t1
OG0001374	T265_12908	FhHiC23_g7112.t2, FhHiC23_g7112.t1
OG0001376	T265_03803	FhHiC23_g16384.t1
OG0001377	T265_11911	FhHiC23_g7402.t1
OG0001378	T265_12257	FhHiC23_g12022.t1, FhHiC23_g12033.t1, FhHiC23_g12033.t2
OG0001379	T265_00091	FhHiC23_g1357.t1
OG0001380	T265_12561	FhHiC23_g7532.t1, FhHiC23_g7532.t2, FhHiC23_g7532.t3
OG0001381	T265_12544, T265_00449	FhHiC23_g3401.t1
OG0001383	T265_11947	FhHiC23_g12625.t1, FhHiC23_g12625.t2
OG0001384	T265_09759	FhHiC23_g4351.t1
OG0001385	T265_01081	FhHiC23_g9581.t5, FhHiC23_g9581.t4, FhHiC23_g9581.t1, FhHiC23_g9581.t2, FhHiC23_g9581.t3
OG0001386	T265_07152	FhHiC23_g14392.t2, FhHiC23_g14392.t1
OG0001387	T265_14769	FhHiC23_g4367.t1, FhHiC23_g4367.t2, FhHiC23_g4367.t3
OG0001388	T265_14723, T265_14724	FhHiC23_g13329.t3, FhHiC23_g13329.t1, FhHiC23_g13329.t2
OG0001389	T265_12521	FhHiC23_g1788.t1, FhHiC23_g1788.t2
OG0001390	T265_02614	FhHiC23_g5805.t2, FhHiC23_g5805.t1
OG0001391	T265_01912	FhHiC23_g5101.t1
OG0001392	T265_10877	FhHiC23_g10746.t1
OG0001393	T265_06210, T265_06211	FhHiC23_g10795.t1
OG0001394	T265_00453	FhHiC23_g2698.t1, FhHiC23_g2698.t2, FhHiC23_g2699.t1
OG0001395	T265_05397	FhHiC23_g9586.t1
OG0001396	T265_04051	FhHiC23_g187.t1
OG0001397	T265_05166	FhHiC23_g4526.t1, FhHiC23_g4526.t2
OG0001398	T265_14744	FhHiC23_g10851.t1
OG0001400	T265_13928	FhHiC23_g4080.t1, FhHiC23_g4081.t1, FhHiC23_g4081.t2, FhHiC23_g4081.t3
OG0001401	T265_02697	FhHiC23_g828.t2, FhHiC23_g828.t1, FhHiC23_g828.t5
OG0001402	T265_07539, T265_03846	FhHiC23_g6085.t1
OG0001403	T265_11145	FhHiC23_g1769.t1
OG0001404	T265_08776	FhHiC23_g11350.t1, FhHiC23_g11350.t2
OG0001405	T265_06509, T265_12170	FhHiC23_g6114.t1, FhHiC23_g6115.t1
OG0001406	T265_02953	FhHiC23_g4884.t1
OG0001407	T265_15532, T265_15533	FhHiC23_g3858.t1
OG0001408	T265_01105	FhHiC23_g9748.t1
OG0001410	T265_01911	FhHiC23_g5100.t1, FhHiC23_g5099.t1
OG0001411	T265_09016	FhHiC23_g5572.t1
OG0001412	T265_15135, T265_15134	FhHiC23_g6153.t2, FhHiC23_g6153.t1, FhHiC23_g6153.t3
OG0001413	T265_15458	FhHiC23_g9425.t1
OG0001414	T265_06660	FhHiC23_g13502.t1, FhHiC23_g13501.t1, FhHiC23_g13501.t2
OG0001415	T265_12583	FhHiC23_g6002.t1
OG0001416	T265_15557	FhHiC23_g11391.t2, FhHiC23_g11391.t3, FhHiC23_g11391.t1, FhHiC23_g11391.t4
OG0001417	T265_01847	FhHiC23_g11440.t1
OG0001418	T265_05264	FhHiC23_g13330.t1
OG0001419	T265_10451	FhHiC23_g8598.t1, FhHiC23_g8598.t2, FhHiC23_g8603.t4, FhHiC23_g8603.t1, FhHiC23_g8603.t3, FhHiC23_g8603.t2
OG0001420	T265_16318	FhHiC23_g3762.t1
OG0001421	T265_06472	FhHiC23_g5327.t1
OG0001422	T265_11255	FhHiC23_g3036.t1
OG0001423	T265_04431	FhHiC23_g11266.t1
OG0001424	T265_03034	FhHiC23_g12739.t1
OG0001425	T265_07510	FhHiC23_g9584.t1
OG0001426	T265_14581	FhHiC23_g13004.t1, FhHiC23_g13002.t1, FhHiC23_g13002.t2
OG0001427	T265_05041	FhHiC23_g10228.t1
OG0001428	T265_02928	FhHiC23_g13260.t1, FhHiC23_g13260.t2
OG0001429	T265_12422	FhHiC23_g2002.t1
OG0001431	T265_01123	FhHiC23_g6856.t1
OG0001432	T265_10509	FhHiC23_g14952.t1
OG0001433	T265_15424	FhHiC23_g15325.t1, FhHiC23_g15325.t2
OG0001434	T265_04812	FhHiC23_g9169.t1
OG0001435	T265_14120	FhHiC23_g2755.t1, FhHiC23_g2758.t1, FhHiC23_g2759.t1, FhHiC23_g2756.t1
OG0001436	T265_10576	FhHiC23_g2628.t1
OG0001438	T265_03681	FhHiC23_g15142.t1, FhHiC23_g15142.t2
OG0001439	T265_02218	FhHiC23_g3104.t2, FhHiC23_g3104.t1
OG0001440	T265_02878	FhHiC23_g4873.t1, FhHiC23_g4873.t2
OG0001441	T265_07339	FhHiC23_g16517.t1, FhHiC23_g16517.t2
OG0001443	T265_09543	FhHiC23_g11130.t1
OG0001444	T265_13620	FhHiC23_g1367.t1, FhHiC23_g1367.t2
OG0001453	T265_00365	FhHiC23_g2182.t3, FhHiC23_g2182.t1, FhHiC23_g2182.t2
OG0001454	T265_02228	FhHiC23_g3968.t1
OG0001455	T265_11649	FhHiC23_g9682.t1, FhHiC23_g9682.t2
OG0001456	T265_05111	FhHiC23_g6816.t1, FhHiC23_g6813.t3, FhHiC23_g6813.t1, FhHiC23_g6813.t2
OG0001457	T265_04536	FhHiC23_g12305.t1
OG0001458	T265_04521	FhHiC23_g5592.t1
OG0001459	T265_15689	FhHiC23_g7568.t1, FhHiC23_g7568.t2
OG0001460	T265_14339	FhHiC23_g6434.t1
OG0001461	T265_06464	FhHiC23_g5883.t1
OG0001462	T265_07001	FhHiC23_g7233.t1
OG0001463	T265_03664, T265_08711, T265_05105, T265_03154, T265_15269	FhHiC23_g8194.t2, FhHiC23_g8194.t3, FhHiC23_g8194.t4, FhHiC23_g8194.t1
OG0001464	T265_09082	FhHiC23_g1808.t1
OG0001465	T265_07647	FhHiC23_g3278.t2, FhHiC23_g3278.t1
OG0001466	T265_14982	FhHiC23_g12766.t1
OG0001467	T265_00617	FhHiC23_g6750.t1
OG0001468	T265_06819	FhHiC23_g12896.t1
OG0001469	T265_01693	FhHiC23_g4110.t1, FhHiC23_g4110.t2
OG0001470	T265_14595, T265_15746	FhHiC23_g8460.t1, FhHiC23_g8460.t2
OG0001471	T265_15237	FhHiC23_g7904.t3, FhHiC23_g7904.t1, FhHiC23_g7904.t2
OG0001472	T265_08050	FhHiC23_g7062.t1
OG0001473	T265_00769	FhHiC23_g2892.t1
OG0001474	T265_11473	FhHiC23_g6405.t1, FhHiC23_g6406.t1
OG0001475	T265_14342	FhHiC23_g2345.t1, FhHiC23_g2345.t2
OG0001476	T265_05561, T265_13811, T265_05560	FhHiC23_g10867.t1, FhHiC23_g10867.t2, FhHiC23_g10867.t3
OG0001477	T265_06773	FhHiC23_g1000.t1, FhHiC23_g1000.t2
OG0001478	T265_00873	FhHiC23_g15383.t1, FhHiC23_g15383.t2
OG0001479	T265_08475	FhHiC23_g11099.t1
OG0001480	T265_01604	FhHiC23_g12082.t1, FhHiC23_g12107.t1
OG0001481	T265_14626, T265_14628, T265_14627	FhHiC23_g2018.t1
OG0001482	T265_05352	FhHiC23_g16101.t2, FhHiC23_g16101.t1
OG0001483	T265_01269	FhHiC23_g2273.t1
