Orthogroup	opisthorchis_viverrini	schistosoma_rodhaini
OG0000521	T265_12415	SRDH2_73990.1
OG0000522	T265_04037	SRDH2_56850.1
OG0000523	T265_07660	SRDH2_78970.1, SRDH2_78970.14, SRDH2_78970.5, SRDH2_78970.7, SRDH2_78970.2, SRDH2_78970.4, SRDH2_78970.9, SRDH2_78970.15, SRDH2_78970.3, SRDH2_78970.6, SRDH2_78970.8, SRDH2_78970.16, SRDH2_78970.10, SRDH2_78970.11, SRDH2_78970.12, SRDH2_78970.13
OG0000524	T265_07885	SRDH2_14430.1, SRDH2_14430.2, SRDH2_14430.3
OG0000525	T265_05091	SRDH2_51550.1
OG0000526	T265_02282, T265_12113	SRDH2_17390.4, SRDH2_17390.5, SRDH2_17390.1, SRDH2_17390.2, SRDH2_17390.3, SRDH2_17390.7, SRDH2_17390.6
OG0000527	T265_03411	SRDH2_19480.10, SRDH2_19480.11, SRDH2_19480.3, SRDH2_19480.4, SRDH2_19480.5, SRDH2_19480.7, SRDH2_19480.6, SRDH2_19480.8, SRDH2_19480.9, SRDH2_19480.1, SRDH2_19480.2
OG0000528	T265_06055	SRDH2_36450.19, SRDH2_36450.11, SRDH2_36450.3, SRDH2_36450.4, SRDH2_36450.1, SRDH2_36450.10, SRDH2_36450.2, SRDH2_36450.5, SRDH2_36450.6, SRDH2_36450.8, SRDH2_36450.9, SRDH2_36450.12, SRDH2_36450.13, SRDH2_36450.7, SRDH2_36450.17, SRDH2_36450.18, SRDH2_36450.20, SRDH2_36450.16, SRDH2_36450.14, SRDH2_36450.15
OG0000529	T265_09182, T265_03656	SRDH2_16190.1
OG0000529	T265_07511	SRDH2_25910.1
OG0000530	T265_09699	SRDH2_99210.1, SRDH2_99230.1, SRDH2_99220.1
OG0000531	T265_14416, T265_14417	SRDH2_79680.3, SRDH2_79680.1, SRDH2_79680.4, SRDH2_79680.2
OG0000532	T265_00995, T265_06267	SRDH2_140.1, SRDH2_140.2, SRDH2_140.3, SRDH2_140.4, SRDH2_140.5, SRDH2_5000.7, SRDH2_5000.4, SRDH2_5000.5, SRDH2_5000.3, SRDH2_5000.2, SRDH2_5000.6, SRDH2_5000.8, SRDH2_5000.1
OG0000533	T265_13786	SRDH2_19650.11, SRDH2_19650.2, SRDH2_19650.3, SRDH2_19650.4, SRDH2_19650.7, SRDH2_19650.5, SRDH2_19650.6, SRDH2_19650.10, SRDH2_19650.8, SRDH2_19650.9, SRDH2_19650.1
OG0000534	T265_09156	SRDH2_74790.1
OG0000535	T265_13029, T265_02526, T265_16334	SRDH2_60400.1, SRDH2_60440.1
OG0000536	T265_04792	SRDH2_66490.11, SRDH2_66490.13, SRDH2_66490.6, SRDH2_66490.5, SRDH2_66490.7, SRDH2_66490.10, SRDH2_66490.9, SRDH2_66490.1, SRDH2_66490.12, SRDH2_66490.2, SRDH2_66490.3, SRDH2_66490.4, SRDH2_66490.8
OG0000537	T265_03566	SRDH2_54400.3, SRDH2_54400.17, SRDH2_54400.1, SRDH2_54400.7, SRDH2_54400.14, SRDH2_54400.11, SRDH2_54400.6, SRDH2_54400.8, SRDH2_54400.15, SRDH2_54400.16, SRDH2_54400.10, SRDH2_54400.18, SRDH2_54400.5, SRDH2_54400.4, SRDH2_54400.9, SRDH2_54400.2, SRDH2_54400.13, SRDH2_54400.12
OG0000539	T265_02944	SRDH2_47540.1, SRDH2_47540.2, SRDH2_47540.3
OG0000540	T265_06424	SRDH2_5770.4, SRDH2_5770.5, SRDH2_5770.1, SRDH2_5770.3, SRDH2_5770.2, SRDH2_5770.6, SRDH2_5770.8, SRDH2_5770.11, SRDH2_5770.7, SRDH2_5770.10, SRDH2_5770.12, SRDH2_5770.9
OG0000541	T265_02592	SRDH2_29190.6, SRDH2_29190.7, SRDH2_29190.1, SRDH2_29190.3, SRDH2_29190.4, SRDH2_29190.2, SRDH2_29190.5
OG0000542	T265_10499	SRDH2_90210.1
OG0000543	T265_05515	SRDH2_15640.1, SRDH2_15640.2
OG0000544	T265_14759	SRDH2_81940.6, SRDH2_81940.9, SRDH2_81940.1, SRDH2_81940.10, SRDH2_81940.2, SRDH2_81940.4, SRDH2_81940.5, SRDH2_81940.7, SRDH2_81940.8, SRDH2_81940.11, SRDH2_81940.3
OG0000545	T265_01309	SRDH2_47320.1
OG0000545	T265_13998	SRDH2_71540.1
OG0000546	T265_14392	SRDH2_29920.1, SRDH2_29920.3, SRDH2_29920.2, SRDH2_29920.5, SRDH2_29920.4, SRDH2_29920.6, SRDH2_29920.7
OG0000547	T265_07333	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10
OG0000548	T265_14116	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2
OG0000549	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3
OG0000550	T265_09507, T265_14868	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6, SRDH2_19140.1, SRDH2_19140.2
OG0000551	T265_04197, T265_11408, T265_09018, T265_09780, T265_09887	SRDH2_66230.1
OG0000551	T265_05015	SRDH2_39430.1
OG0000552	T265_05767	SRDH2_88960.1
OG0000553	T265_05228, T265_05227	SRDH2_97900.2, SRDH2_97900.1, SRDH2_97900.3, SRDH2_97900.4, SRDH2_97900.5, SRDH2_97900.6
OG0000554	T265_06137	SRDH2_11470.1, SRDH2_11470.2, SRDH2_11470.3
OG0000555	T265_04699, T265_04748, T265_04698	SRDH2_43820.1, SRDH2_43820.2, SRDH2_43820.3
OG0000556	T265_05172	SRDH2_66370.20, SRDH2_66370.1, SRDH2_66370.10, SRDH2_66370.11, SRDH2_66370.12, SRDH2_66370.13, SRDH2_66370.14, SRDH2_66370.15, SRDH2_66370.2, SRDH2_66370.3, SRDH2_66370.4, SRDH2_66370.5, SRDH2_66370.6, SRDH2_66370.7, SRDH2_66370.8, SRDH2_66370.9, SRDH2_66370.18, SRDH2_66370.16, SRDH2_66370.21, SRDH2_66370.22, SRDH2_66370.19, SRDH2_66370.17, SRDH2_66370.23, SRDH2_66370.26, SRDH2_66370.25, SRDH2_66370.27, SRDH2_66370.24
OG0000557	T265_09726	SRDH2_37240.3, SRDH2_37240.1, SRDH2_37240.7, SRDH2_37240.8, SRDH2_37240.2, SRDH2_37240.5, SRDH2_37240.6, SRDH2_37240.9, SRDH2_37240.4
OG0000558	T265_02473, T265_07551	SRDH2_18270.14, SRDH2_18270.9, SRDH2_18270.12, SRDH2_18270.13, SRDH2_18270.5, SRDH2_18270.1, SRDH2_18270.2, SRDH2_18270.3, SRDH2_18270.8, SRDH2_18270.6, SRDH2_18270.10, SRDH2_18270.11, SRDH2_18270.4, SRDH2_18270.7
OG0000559	T265_15777, T265_15105	SRDH2_83450.3, SRDH2_83450.9, SRDH2_83450.1, SRDH2_83450.2, SRDH2_83450.4, SRDH2_83450.5, SRDH2_83450.6, SRDH2_83450.7, SRDH2_83450.8
OG0000561	T265_05307	SRDH2_98330.1
OG0000562	T265_09617, T265_14904, T265_14905	SRDH2_87420.1
OG0000563	T265_00934	SRDH2_20470.1, SRDH2_20470.2, SRDH2_20470.3, SRDH2_20470.4, SRDH2_20470.6, SRDH2_20470.5, SRDH2_20470.7, SRDH2_20470.8
OG0000564	T265_04694	SRDH2_42280.14, SRDH2_42280.8, SRDH2_42280.11, SRDH2_42280.1, SRDH2_42280.2, SRDH2_42280.12, SRDH2_42280.13, SRDH2_42280.4, SRDH2_42280.10, SRDH2_42280.5, SRDH2_42280.6, SRDH2_42280.3, SRDH2_42280.9, SRDH2_42280.7
OG0000565	T265_06308	SRDH2_3520.1
OG0000566	T265_06381	SRDH2_84510.1, SRDH2_84510.2, SRDH2_84510.3, SRDH2_84510.4, SRDH2_84510.5, SRDH2_84510.6
OG0000567	T265_09355	SRDH2_66280.5, SRDH2_66280.2, SRDH2_66280.1, SRDH2_66280.4, SRDH2_66280.3
OG0000568	T265_14125	SRDH2_58250.1
OG0000568	T265_06795	SRDH2_69110.1, SRDH2_69110.2
OG0000568	T265_05196	SRDH2_32530.1
OG0000569	T265_16092, T265_15315, T265_15990	SRDH2_9940.1
OG0000570	T265_14462	SRDH2_14970.1
OG0000571	T265_09677	SRDH2_9210.8, SRDH2_9210.6, SRDH2_9210.11, SRDH2_9210.7, SRDH2_9210.9, SRDH2_9210.12, SRDH2_9210.1, SRDH2_9210.10, SRDH2_9210.2, SRDH2_9210.3, SRDH2_9210.4, SRDH2_9210.5
OG0000572	T265_13892	SRDH2_60950.1
OG0000574	T265_09231	SRDH2_3030.2, SRDH2_3030.1, SRDH2_3010.1
OG0000575	T265_13730	SRDH2_97790.1
OG0000576	T265_04125	SRDH2_44390.12, SRDH2_44390.13, SRDH2_44390.4, SRDH2_44390.2, SRDH2_44390.8, SRDH2_44390.14, SRDH2_44390.5, SRDH2_44390.3, SRDH2_44390.18, SRDH2_44390.16, SRDH2_44390.6, SRDH2_44390.1, SRDH2_44390.11, SRDH2_44390.7, SRDH2_44390.17, SRDH2_44390.10, SRDH2_44390.9, SRDH2_44390.15
OG0000577	T265_03389	SRDH2_53000.1, SRDH2_53000.4, SRDH2_53000.6, SRDH2_53000.10, SRDH2_53000.2, SRDH2_53000.5, SRDH2_53000.8, SRDH2_53000.9, SRDH2_53000.3, SRDH2_53000.7, SRDH2_53000.13, SRDH2_53000.12, SRDH2_53000.11, SRDH2_53000.16, SRDH2_53000.14, SRDH2_53000.15
OG0000580	T265_11930	SRDH2_36230.1, SRDH2_36230.4, SRDH2_36230.2, SRDH2_36230.3
OG0000581	T265_03176, T265_03173	SRDH2_62630.1
OG0000582	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666	SRDH2_85320.1, SRDH2_85340.1
OG0000582	T265_01671	SRDH2_85360.1
OG0000583	T265_02005	SRDH2_62260.6, SRDH2_62260.2, SRDH2_62260.3, SRDH2_62260.8, SRDH2_62260.10, SRDH2_62260.11, SRDH2_62260.13, SRDH2_62260.7, SRDH2_62260.5, SRDH2_62260.1, SRDH2_62260.14, SRDH2_62260.4, SRDH2_62260.9, SRDH2_62260.12
OG0000584	T265_13228	SRDH2_28870.1
OG0000585	T265_00232	SRDH2_5950.2, SRDH2_5950.4, SRDH2_5950.5, SRDH2_5950.6, SRDH2_5950.7, SRDH2_5950.8, SRDH2_5950.9, SRDH2_5950.1, SRDH2_5950.3
OG0000586	T265_11386	SRDH2_31400.1, SRDH2_31400.2, SRDH2_31400.5, SRDH2_31400.3, SRDH2_31400.4, SRDH2_31400.7, SRDH2_31400.6, SRDH2_31400.8
OG0000587	T265_07724	SRDH2_67310.1
OG0000588	T265_11101, T265_10758	SRDH2_21890.1, SRDH2_21910.1
OG0000589	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017	SRDH2_55920.2, SRDH2_55920.3, SRDH2_55920.1
OG0000590	T265_09102	SRDH2_29560.1
OG0000590	T265_06033	SRDH2_40800.1
OG0000591	T265_06310	SRDH2_3530.12, SRDH2_3530.4, SRDH2_3530.1, SRDH2_3530.11, SRDH2_3530.3, SRDH2_3530.6, SRDH2_3530.8, SRDH2_3530.13, SRDH2_3530.14, SRDH2_3530.2, SRDH2_3530.5, SRDH2_3530.7, SRDH2_3530.9, SRDH2_3530.10
OG0000592	T265_14113	SRDH2_31230.1, SRDH2_31230.7, SRDH2_31230.8, SRDH2_31230.2, SRDH2_31230.3, SRDH2_31230.6, SRDH2_31230.4, SRDH2_31230.5
OG0000593	T265_10773	SRDH2_36740.1
OG0000594	T265_05797, T265_06525	SRDH2_50120.4, SRDH2_50120.10, SRDH2_50120.8, SRDH2_50120.3, SRDH2_50120.9, SRDH2_50120.7, SRDH2_50120.6, SRDH2_50120.5, SRDH2_50120.1, SRDH2_50120.11, SRDH2_50120.2
OG0000595	T265_03869	SRDH2_48500.1, SRDH2_48500.2
OG0000598	T265_02456	SRDH2_14800.1
OG0000599	T265_07673	SRDH2_64220.10, SRDH2_64220.4, SRDH2_64220.3, SRDH2_64220.9, SRDH2_64220.6, SRDH2_64220.1, SRDH2_64220.5, SRDH2_64220.2, SRDH2_64220.7, SRDH2_64220.8, SRDH2_64220.11, SRDH2_64220.12
OG0000600	T265_10590	SRDH2_68440.2, SRDH2_68440.1
OG0000601	T265_04621, T265_04618	SRDH2_98250.1
OG0000601	T265_14218	SRDH2_41220.1, SRDH2_41210.2, SRDH2_41210.3, SRDH2_41210.4, SRDH2_41210.1
OG0000602	T265_09208, T265_12351	SRDH2_15670.8, SRDH2_15670.5, SRDH2_15670.2, SRDH2_15670.9, SRDH2_15670.3, SRDH2_15670.10, SRDH2_15670.11, SRDH2_15670.4, SRDH2_15670.1, SRDH2_15670.6, SRDH2_15670.7
OG0000603	T265_14992, T265_14991, T265_11543	SRDH2_51390.12, SRDH2_51390.10, SRDH2_51390.7, SRDH2_51390.13, SRDH2_51390.9, SRDH2_51390.8, SRDH2_51390.1, SRDH2_51390.2, SRDH2_51390.3, SRDH2_51390.11, SRDH2_51390.5, SRDH2_51390.6, SRDH2_51390.4
OG0000605	T265_14198	SRDH2_27960.1, SRDH2_27960.2, SRDH2_27960.3, SRDH2_27920.1
OG0000606	T265_13221	SRDH2_110.1
OG0000606	T265_13221	SRDH2_110.2
OG0000607	T265_10825	SRDH2_31460.5, SRDH2_31460.2, SRDH2_31460.7, SRDH2_31460.9, SRDH2_31460.8, SRDH2_31460.1, SRDH2_31460.3, SRDH2_31460.6, SRDH2_31460.4
OG0000608	T265_02880, T265_02883	SRDH2_51790.10, SRDH2_51790.2, SRDH2_51790.4, SRDH2_51790.5, SRDH2_51790.6, SRDH2_51790.12, SRDH2_51790.11, SRDH2_51790.3, SRDH2_51790.7, SRDH2_51790.8, SRDH2_51790.9, SRDH2_51790.1
OG0000609	T265_09254	SRDH2_27840.5, SRDH2_27840.6, SRDH2_27840.4, SRDH2_27840.2, SRDH2_27840.7, SRDH2_27840.3, SRDH2_27840.8, SRDH2_27840.1
OG0000610	T265_07616, T265_15716	SRDH2_28620.1
OG0000610	T265_05701	SRDH2_23520.1
OG0000611	T265_06968	SRDH2_43480.2, SRDH2_43480.1
OG0000612	T265_09078	SRDH2_9160.5, SRDH2_9160.6, SRDH2_9160.9, SRDH2_9160.7, SRDH2_9160.4, SRDH2_9160.8, SRDH2_9160.3, SRDH2_9160.1, SRDH2_9160.2
OG0000613	T265_02832	SRDH2_37860.1
OG0000614	T265_12100	SRDH2_44550.1, SRDH2_44550.2, SRDH2_44550.3, SRDH2_44550.4
OG0000615	T265_03195	SRDH2_15160.2, SRDH2_15160.9, SRDH2_15160.8, SRDH2_15160.1, SRDH2_15160.5, SRDH2_15160.6, SRDH2_15160.3, SRDH2_15160.4, SRDH2_15160.7
OG0000616	T265_08938	SRDH2_61720.6, SRDH2_61720.2, SRDH2_61720.9, SRDH2_61720.7, SRDH2_61720.8, SRDH2_61720.10, SRDH2_61720.11, SRDH2_61720.12, SRDH2_61720.14, SRDH2_61720.13, SRDH2_61720.4, SRDH2_61720.3, SRDH2_61720.5, SRDH2_61720.1
OG0000617	T265_08274	SRDH2_83990.2, SRDH2_83990.1
OG0000618	T265_13264	SRDH2_34050.1
OG0000620	T265_10505	SRDH2_15860.2, SRDH2_15860.3, SRDH2_15860.1
OG0000620	T265_00373, T265_00374	SRDH2_46120.2, SRDH2_46120.3, SRDH2_46120.1
OG0000621	T265_14537	SRDH2_30470.4, SRDH2_30470.15, SRDH2_30470.12, SRDH2_30470.14, SRDH2_30470.10, SRDH2_30470.11, SRDH2_30470.13, SRDH2_30470.2, SRDH2_30470.3, SRDH2_30470.5, SRDH2_30470.6, SRDH2_30470.7, SRDH2_30470.1, SRDH2_30470.8, SRDH2_30470.9
OG0000622	T265_00170	SRDH2_75250.1
OG0000623	T265_04780, T265_13600	SRDH2_14950.10, SRDH2_14950.5, SRDH2_14950.6, SRDH2_14950.7, SRDH2_14950.8, SRDH2_14950.9, SRDH2_14950.4, SRDH2_14950.3, SRDH2_14950.1, SRDH2_14950.2
OG0000624	T265_15535, T265_11776, T265_13342	SRDH2_29350.1, SRDH2_29350.3, SRDH2_29350.2, SRDH2_29350.4, SRDH2_29350.5
OG0000625	T265_03633	SRDH2_37510.1, SRDH2_37510.2, SRDH2_37510.3, SRDH2_37510.4, SRDH2_37510.5
OG0000626	T265_02683, T265_13068	SRDH2_55740.1, SRDH2_55740.2
OG0000627	T265_09410	SRDH2_13770.4, SRDH2_13770.1, SRDH2_13770.3, SRDH2_13770.2, SRDH2_13770.5
OG0000628	T265_08778, T265_14669, T265_16036	SRDH2_62710.2, SRDH2_62710.3, SRDH2_62710.5, SRDH2_62710.6, SRDH2_62710.16, SRDH2_62710.13, SRDH2_62710.15, SRDH2_62710.9, SRDH2_62710.14, SRDH2_62710.11, SRDH2_62710.10, SRDH2_62710.1, SRDH2_62710.4, SRDH2_62710.7, SRDH2_62710.8, SRDH2_62710.12
OG0000629	T265_05422	SRDH2_39010.6, SRDH2_39010.8, SRDH2_39010.14, SRDH2_39010.9, SRDH2_39010.15, SRDH2_39010.13, SRDH2_39010.7, SRDH2_39010.12, SRDH2_39010.4, SRDH2_39010.1, SRDH2_39010.10, SRDH2_39010.11, SRDH2_39010.2, SRDH2_39010.3, SRDH2_39010.5
OG0000630	T265_11517	SRDH2_60460.1, SRDH2_60460.2
OG0000631	T265_00494	SRDH2_66410.1, SRDH2_62740.1, SRDH2_62740.2, SRDH2_62740.3, SRDH2_62740.4
OG0000632	T265_03948	SRDH2_15270.3, SRDH2_15270.4, SRDH2_15270.10, SRDH2_15270.2, SRDH2_15270.5, SRDH2_15270.1, SRDH2_15270.6, SRDH2_15270.9, SRDH2_15270.7, SRDH2_15270.8
OG0000633	T265_08226	SRDH2_53500.2, SRDH2_53500.1, SRDH2_53500.3, SRDH2_53500.4
OG0000636	T265_09528	SRDH2_97960.2, SRDH2_97960.4, SRDH2_97960.3, SRDH2_97960.1, SRDH2_97960.6, SRDH2_97960.5
OG0000637	T265_08691	SRDH2_50390.1
OG0000638	T265_12571, T265_16335	SRDH2_67670.1
OG0000639	T265_08132	SRDH2_63410.13, SRDH2_63410.14, SRDH2_63410.3, SRDH2_63410.4, SRDH2_63410.11, SRDH2_63410.15, SRDH2_63410.12, SRDH2_63410.7, SRDH2_63410.8, SRDH2_63410.17, SRDH2_63410.6, SRDH2_63410.10, SRDH2_63410.5, SRDH2_63410.9, SRDH2_63410.2, SRDH2_63410.1, SRDH2_63410.16, SRDH2_63410.18
OG0000640	T265_06014	SRDH2_87460.1, SRDH2_87020.1
OG0000641	T265_11906	SRDH2_6740.1
OG0000641	T265_08520	SRDH2_4580.1
OG0000642	T265_00484	SRDH2_63480.1, SRDH2_63480.2, SRDH2_63480.10, SRDH2_63480.5, SRDH2_63480.3, SRDH2_63480.4, SRDH2_63480.6, SRDH2_63480.7, SRDH2_63480.8, SRDH2_63480.9
OG0000643	T265_06781	SRDH2_53990.1
OG0000643	T265_00368	SRDH2_54000.1, SRDH2_54000.2
OG0000644	T265_10096	SRDH2_98990.1
OG0000645	T265_06416, T265_14031	SRDH2_10740.2, SRDH2_10740.1
OG0000646	T265_14032, T265_09682	SRDH2_9200.1, SRDH2_9190.2, SRDH2_9190.3, SRDH2_9190.8, SRDH2_9190.7, SRDH2_9190.4, SRDH2_9190.5, SRDH2_9190.6, SRDH2_9190.1
OG0000647	T265_01179	SRDH2_63670.1, SRDH2_63670.2
OG0000649	T265_14362	SRDH2_61460.1
OG0000650	T265_04859	SRDH2_79600.4, SRDH2_79600.5, SRDH2_79600.1, SRDH2_79600.2, SRDH2_79600.3, SRDH2_79600.8, SRDH2_79600.6, SRDH2_79600.7
OG0000651	T265_08308	SRDH2_42080.4, SRDH2_42080.2, SRDH2_42080.3, SRDH2_42080.5, SRDH2_42080.6, SRDH2_42080.1, SRDH2_42080.7, SRDH2_42080.8, SRDH2_42080.10, SRDH2_42080.9, SRDH2_42080.11
OG0000652	T265_02580, T265_06040	SRDH2_40370.7, SRDH2_40370.6, SRDH2_40370.2, SRDH2_40370.4, SRDH2_40370.3, SRDH2_40370.1, SRDH2_40370.5
OG0000653	T265_08906	SRDH2_41000.1, SRDH2_40990.2, SRDH2_40990.1, SRDH2_40990.3
OG0000654	T265_12621	SRDH2_38210.1
OG0000656	T265_15627	SRDH2_77290.1, SRDH2_77290.6, SRDH2_77290.9, SRDH2_77290.7, SRDH2_77290.2, SRDH2_77290.3, SRDH2_77290.4, SRDH2_77290.8, SRDH2_77290.5
OG0000657	T265_02650	SRDH2_92510.1, SRDH2_92510.2, SRDH2_92510.5, SRDH2_92510.6, SRDH2_92510.3, SRDH2_92510.4
OG0000659	T265_14212	SRDH2_42040.6, SRDH2_42040.7, SRDH2_42040.1, SRDH2_42040.11, SRDH2_42040.12, SRDH2_42040.13, SRDH2_42040.2, SRDH2_42040.3, SRDH2_42040.4, SRDH2_42040.8, SRDH2_42040.9, SRDH2_42040.5, SRDH2_42040.10, SRDH2_42040.14
OG0000663	T265_04735, T265_02871	SRDH2_31940.1
OG0000664	T265_04576	SRDH2_14340.3, SRDH2_14340.1, SRDH2_14340.2, SRDH2_14340.10, SRDH2_14340.9, SRDH2_14340.5, SRDH2_14340.6, SRDH2_14340.4, SRDH2_14340.8, SRDH2_14340.7
OG0000665	T265_10655	SRDH2_72630.1
OG0000666	T265_14484	SRDH2_63400.5, SRDH2_63400.1, SRDH2_63400.3, SRDH2_63400.2, SRDH2_63400.6, SRDH2_63400.4
OG0000667	T265_06220	SRDH2_6290.1
OG0000668	T265_07209	SRDH2_53580.1, SRDH2_53580.8, SRDH2_53580.4, SRDH2_53580.6, SRDH2_53580.7, SRDH2_53580.2, SRDH2_53580.3, SRDH2_53580.5, SRDH2_53580.10, SRDH2_53580.9
OG0000669	T265_04795	SRDH2_70300.1, SRDH2_70300.2, SRDH2_70300.5, SRDH2_70300.3, SRDH2_70300.4
OG0000671	T265_06752	SRDH2_78560.6, SRDH2_78560.1, SRDH2_78560.11, SRDH2_78560.10, SRDH2_78560.4, SRDH2_78560.8, SRDH2_78560.9, SRDH2_78560.3, SRDH2_78560.5, SRDH2_78560.2, SRDH2_78560.7
OG0000672	T265_08111	SRDH2_44470.4, SRDH2_44470.5, SRDH2_44470.9, SRDH2_44470.6, SRDH2_44470.8, SRDH2_44470.7, SRDH2_44470.1, SRDH2_44470.3, SRDH2_44470.2
OG0000673	T265_06693, T265_15660, T265_03059	SRDH2_16600.1
OG0000674	T265_00038	SRDH2_80150.1, SRDH2_80150.2, SRDH2_80150.7, SRDH2_80150.3, SRDH2_80150.4, SRDH2_80150.5, SRDH2_80150.6
OG0000675	T265_10356	SRDH2_73540.1, SRDH2_73540.2, SRDH2_73540.3, SRDH2_73540.5, SRDH2_73540.6, SRDH2_73540.4, SRDH2_73540.7, SRDH2_73540.8
OG0000676	T265_02244	SRDH2_83890.1, SRDH2_83890.2, SRDH2_83890.3, SRDH2_83890.4, SRDH2_83890.5, SRDH2_83890.6, SRDH2_83890.7, SRDH2_83890.8, SRDH2_83890.9
OG0000677	T265_03024	SRDH2_5290.1, SRDH2_5300.3, SRDH2_5300.2, SRDH2_5300.1
OG0000678	T265_14566	SRDH2_38460.7, SRDH2_38460.2, SRDH2_38460.6, SRDH2_38460.5, SRDH2_38460.1, SRDH2_38460.3, SRDH2_38460.4
OG0000679	T265_13839	SRDH2_73470.5, SRDH2_73470.7, SRDH2_73470.8, SRDH2_73470.3, SRDH2_73470.1, SRDH2_73470.2, SRDH2_73470.4, SRDH2_73470.6, SRDH2_73470.10, SRDH2_73470.11, SRDH2_73470.9
OG0000680	T265_15068	SRDH2_17380.1, SRDH2_17380.5, SRDH2_17380.6, SRDH2_17380.7, SRDH2_17380.2, SRDH2_17380.3, SRDH2_17380.8, SRDH2_17380.4
OG0000681	T265_15309	SRDH2_32450.4, SRDH2_32450.7, SRDH2_32450.3, SRDH2_32450.2, SRDH2_32450.5, SRDH2_32450.6, SRDH2_32450.1
OG0000682	T265_05067	SRDH2_43300.2, SRDH2_43300.3, SRDH2_43300.6, SRDH2_43300.5, SRDH2_43300.4, SRDH2_43300.7, SRDH2_43300.8, SRDH2_43300.1
OG0000683	T265_03513	SRDH2_56130.1
OG0000684	T265_02396	SRDH2_87330.1, SRDH2_87330.2
OG0000685	T265_14345	SRDH2_77100.1
OG0000686	T265_06598	SRDH2_61630.4, SRDH2_61630.3, SRDH2_61630.2, SRDH2_61630.1
OG0000687	T265_13762	SRDH2_27200.3, SRDH2_27200.5, SRDH2_27200.4, SRDH2_27200.7, SRDH2_27200.6, SRDH2_27200.1, SRDH2_27200.2
OG0000688	T265_09228	SRDH2_660.1
OG0000690	T265_15342	SRDH2_23480.2, SRDH2_23480.7, SRDH2_23480.1, SRDH2_23480.4, SRDH2_23480.6, SRDH2_23480.8, SRDH2_23480.5, SRDH2_23480.3
OG0000691	T265_13940	SRDH2_58710.1, SRDH2_92400.1, SRDH2_55860.2, SRDH2_55860.3, SRDH2_9070.1, SRDH2_9070.2, SRDH2_98020.1, SRDH2_92400.2, SRDH2_55860.1, SRDH2_12700.1, SRDH2_95680.1, SRDH2_6860.1, SRDH2_27390.1, SRDH2_33640.1
OG0000695	T265_07910	SRDH2_99540.1
OG0000695	T265_07140	SRDH2_45790.2, SRDH2_45790.3, SRDH2_45790.1
OG0000696	T265_00960	SRDH2_5500.1
OG0000697	T265_02565	SRDH2_40450.1
OG0000698	T265_04366	SRDH2_18520.1, SRDH2_18520.2, SRDH2_18520.10, SRDH2_18520.11, SRDH2_18520.12, SRDH2_18520.13, SRDH2_18520.6, SRDH2_18520.7, SRDH2_18520.8, SRDH2_18520.9, SRDH2_18520.14, SRDH2_18520.3, SRDH2_18520.5, SRDH2_18520.15, SRDH2_18520.4
OG0000699	T265_03971	SRDH2_46750.3, SRDH2_46750.1, SRDH2_46750.2
OG0000700	T265_06924, T265_06925	SRDH2_28600.1, SRDH2_24350.1, SRDH2_24360.1, SRDH2_24370.1, SRDH2_24370.2
OG0000701	T265_02016	SRDH2_62420.2, SRDH2_62420.3, SRDH2_62420.4, SRDH2_62420.7, SRDH2_62420.1, SRDH2_62420.5, SRDH2_62420.6, SRDH2_62420.8
OG0000702	T265_08615	SRDH2_89410.19, SRDH2_89410.16, SRDH2_89410.13, SRDH2_89410.10, SRDH2_89410.14, SRDH2_89410.15, SRDH2_89410.18, SRDH2_89410.20, SRDH2_89410.9, SRDH2_89410.21, SRDH2_89410.3, SRDH2_89410.4, SRDH2_89410.6, SRDH2_89410.12, SRDH2_89410.2, SRDH2_89410.11, SRDH2_89410.17, SRDH2_89410.5, SRDH2_89410.7, SRDH2_89410.1, SRDH2_89410.8
OG0000703	T265_14823, T265_09393, T265_14824	SRDH2_190.1, SRDH2_190.3, SRDH2_190.2
OG0000704	T265_10029	SRDH2_49040.1, SRDH2_49040.2, SRDH2_49040.3
OG0000705	T265_10453	SRDH2_6190.1, SRDH2_6190.5, SRDH2_6190.3, SRDH2_6190.4, SRDH2_6190.2
OG0000706	T265_01271, T265_09997	SRDH2_43620.1
OG0000706	T265_00020	SRDH2_53670.1, SRDH2_53670.2, SRDH2_53670.3
