Orthogroup	opisthorchis_viverrini	schmidtea_mediterranea
OG0000840	T265_12899	h1SMcT0013836.3, h1SMcT0013836.1, h1SMcT0013836.2
OG0000841	T265_06170	h1SMcT0003475.1
OG0000842	T265_14136	h1SMcT0011841.4, h1SMcT0011841.1, h1SMcT0011841.2, h1SMcT0011841.5, h1SMcT0011841.3
OG0000843	T265_02386	h1SMcT0003292.3, h1SMcT0003292.6, h1SMcT0003292.5, h1SMcT0003292.4, h1SMcT0003292.2, h1SMcT0003292.1
OG0000844	T265_00279	h1SMcT0006102.1, h1SMcT0006102.2, h1SMcT0006102.3, h1SMcT0006102.4
OG0000845	T265_12579	h1SMcT0009034.1
OG0000846	T265_05703	h1SMcT0005561.1
OG0000847	T265_07827, T265_09008, T265_01575, T265_07199	h1SMcT0015404.1, h1SMcT0017264.1
OG0000848	T265_00764	h1SMcT0011564.1
OG0000849	T265_12610	h1SMcT0004291.2, h1SMcT0004291.3, h1SMcT0004291.1
OG0000850	T265_10398	h1SMcT0000657.1
OG0000851	T265_04154	h1SMcT0020207.3, h1SMcT0020207.1, h1SMcT0020207.2
OG0000853	T265_06027	h1SMcT0007873.1, h1SMcT0007873.2, h1SMcT0018242.1, h1SMcT0018242.2, h1SMcT0018232.1, h1SMcT0018232.2, h1SMcT0018232.3, h1SMcT0018232.4
OG0000854	T265_15559, T265_14260, T265_15560	h1SMcT0020539.2, h1SMcT0020539.3
OG0000856	T265_14822	h1SMcT0003963.1, h1SMcT0003963.2, h1SMcT0003963.3
OG0000857	T265_14322	h1SMcT0009908.1, h1SMcT0012127.1, h1SMcT0012127.3, h1SMcT0012127.2
OG0000858	T265_15000	h1SMcT0006257.1
OG0000860	T265_06072, T265_05630, T265_05631	h1SMcT0011028.1, h1SMcT0011028.2, h1SMcT0011028.3
OG0000861	T265_04574	h1SMcT0018409.1
OG0000862	T265_09368, T265_09366, T265_09369	h1SMcT0016664.1, h1SMcT0016664.2
OG0000863	T265_05435	h1SMcT0002951.1, h1SMcT0015621.1
OG0000864	T265_05363	h1SMcT0000106.2, h1SMcT0000106.1, h1SMcT0000106.3
OG0000866	T265_09230	h1SMcT0006850.1, h1SMcT0006850.2
OG0000869	T265_14256	h1SMcT0010496.5, h1SMcT0010496.2, h1SMcT0010496.3, h1SMcT0010496.1, h1SMcT0010496.4
OG0000870	T265_06698	h1SMcT0007343.1, h1SMcT0007343.2, h1SMcT0001585.1, h1SMcT0001585.2
OG0000872	T265_16288, T265_12059	h1SMcT0002307.1, h1SMcT0002307.2, h1SMcT0002307.3
OG0000873	T265_15131	h1SMcT0007175.1, h1SMcT0007175.2, h1SMcT0022268.1
OG0000874	T265_04488, T265_09986, T265_09985	h1SMcT0000520.1
OG0000876	T265_03229	h1SMcT0011017.1
OG0000877	T265_14662, T265_14663	h1SMcT0011149.1
OG0000881	T265_09970	h1SMcT0015068.1, h1SMcT0015068.2, h1SMcT0000551.1
OG0000882	T265_15327, T265_15326	h1SMcT0019949.1
OG0000882	T265_00439, T265_08858	h1SMcT0013142.1, h1SMcT0015243.1
OG0000883	T265_08857	h1SMcT0017921.2, h1SMcT0017921.4, h1SMcT0017921.1, h1SMcT0017921.3, h1SMcT0017921.5
OG0000884	T265_10076, T265_15490	h1SMcT0006597.1, h1SMcT0022922.1
OG0000887	T265_15509	h1SMcT0011651.2, h1SMcT0011651.1, h1SMcT0011651.3
OG0000888	T265_14777, T265_14776	h1SMcT0018274.1, h1SMcT0006978.1, h1SMcT0006978.2
OG0000889	T265_10291, T265_03241	h1SMcT0000584.2, h1SMcT0000584.1, h1SMcT0000584.4, h1SMcT0000584.3, h1SMcT0000584.5
OG0000890	T265_04042, T265_05866	h1SMcT0001261.1
OG0000891	T265_13383, T265_13385	h1SMcT0019782.2
OG0000894	T265_14564, T265_08709	h1SMcT0012738.2, h1SMcT0012738.1, h1SMcT0012738.3
OG0000895	T265_08916	h1SMcT0017639.1
OG0000896	T265_11745, T265_15524	h1SMcT0016190.3
OG0000897	T265_09054	h1SMcT0013490.1
OG0000898	T265_03575	h1SMcT0009884.1, h1SMcT0009883.1, h1SMcT0009883.2
OG0000900	T265_15960	h1SMcT0012395.1
OG0000902	T265_03522	h1SMcT0010803.1, h1SMcT0010803.2, h1SMcT0010803.3
OG0000903	T265_02094	h1SMcT0005323.1, h1SMcT0005323.2
OG0000904	T265_06409	h1SMcT0018440.1
OG0000907	T265_00831	h1SMcT0018393.1, h1SMcT0004265.1, h1SMcT0004265.2, h1SMcT0004265.3, h1SMcT0000265.2, h1SMcT0000265.1, h1SMcT0000265.3, h1SMcT0004262.2, h1SMcT0004261.1, h1SMcT0004262.1, h1SMcT0004263.1, h1SMcT0022894.1, h1SMcT0004264.6, h1SMcT0004264.9, h1SMcT0004264.8, h1SMcT0004264.7, h1SMcT0004264.1, h1SMcT0004264.3, h1SMcT0004264.4, h1SMcT0004264.2, h1SMcT0004264.5
OG0000910	T265_10833	h1SMcT0015484.1
OG0000911	T265_11627, T265_11628	h1SMcT0021969.1
OG0000914	T265_06456	h1SMcT0009919.4, h1SMcT0009919.1, h1SMcT0009919.2, h1SMcT0009919.3
OG0000916	T265_11901	h1SMcT0008408.1
OG0000917	T265_02425	h1SMcT0003713.1, h1SMcT0013367.1
OG0000919	T265_11299	h1SMcT0007368.1, h1SMcT0007654.1
OG0000920	T265_04838	h1SMcT0006503.1, h1SMcT0006503.4, h1SMcT0006503.5, h1SMcT0006503.3, h1SMcT0006503.2
OG0000923	T265_03493	h1SMcT0013946.1, h1SMcT0013946.2
OG0000923	T265_05658	h1SMcT0020405.3, h1SMcT0020405.1, h1SMcT0020405.2, h1SMcT0015674.1
OG0000924	T265_00331	h1SMcT0013457.1
OG0000925	T265_07999	h1SMcT0006630.1, h1SMcT0006630.2
OG0000926	T265_15584	h1SMcT0002149.7, h1SMcT0002149.1, h1SMcT0002149.2, h1SMcT0002149.4, h1SMcT0002149.5, h1SMcT0002149.3, h1SMcT0002149.6
OG0000927	T265_13966	h1SMcT0012510.1, h1SMcT0012510.2
OG0000929	T265_11846	h1SMcT0018531.1, h1SMcT0018531.2
OG0000930	T265_13266	h1SMcT0002686.1, h1SMcT0015950.1
OG0000931	T265_10692	h1SMcT0010820.1
OG0000932	T265_09389	h1SMcT0003111.1, h1SMcT0003111.2
OG0000933	T265_10768	h1SMcT0022565.1
OG0000934	T265_09239	h1SMcT0006379.1
OG0000936	T265_08979	h1SMcT0006501.1, h1SMcT0006501.2
OG0000937	T265_04033	h1SMcT0002752.1, h1SMcT0002752.2, h1SMcT0002752.3, h1SMcT0002752.4
OG0000939	T265_05437	h1SMcT0020741.2, h1SMcT0020741.1, h1SMcT0020741.3, h1SMcT0020741.4
OG0000940	T265_08942, T265_16338	h1SMcT0002848.1
OG0000941	T265_08808	h1SMcT0017959.4, h1SMcT0017959.2, h1SMcT0017959.3, h1SMcT0017959.1
OG0000942	T265_10456	h1SMcT0001750.1
OG0000943	T265_03814	h1SMcT0019889.1
OG0000944	T265_00614	h1SMcT0016977.1
OG0000947	T265_13430	h1SMcT0002479.1
OG0000948	T265_04663	h1SMcT0004588.3, h1SMcT0004588.2, h1SMcT0004588.1, h1SMcT0004588.4
OG0000949	T265_09047, T265_09046, T265_09045	h1SMcT0017273.1
OG0000950	T265_04298	h1SMcT0002986.1, h1SMcT0002986.2, h1SMcT0002986.3
OG0000952	T265_00749	h1SMcT0012578.1, h1SMcT0012578.2, h1SMcT0012578.3, h1SMcT0019355.3, h1SMcT0019355.2, h1SMcT0019355.1, h1SMcT0019355.4
OG0000953	T265_13448	h1SMcT0017151.1
OG0000954	T265_05290	h1SMcT0018757.1, h1SMcT0009828.1, h1SMcT0009828.2, h1SMcT0009828.3, h1SMcT0009828.4, h1SMcT0009828.5, h1SMcT0009828.6
OG0000955	T265_03085	h1SMcT0006460.1, h1SMcT0006460.2
OG0000960	T265_13744	h1SMcT0002494.1, h1SMcT0002494.2, h1SMcT0002494.3
OG0000961	T265_04905	h1SMcT0013671.1, h1SMcT0013671.2, h1SMcT0020047.1
OG0000962	T265_00111	h1SMcT0001348.1
OG0000963	T265_13178	h1SMcT0013824.1
OG0000964	T265_10312	h1SMcT0000276.1, h1SMcT0020250.1, h1SMcT0020250.2
OG0000965	T265_03351	h1SMcT0021160.1
OG0000966	T265_04985	h1SMcT0014196.1
OG0000966	T265_15072	h1SMcT0006317.1, h1SMcT0006317.2, h1SMcT0019059.1, h1SMcT0019059.2
OG0000968	T265_03039	h1SMcT0020996.1, h1SMcT0020996.2, h1SMcT0020996.3
OG0000969	T265_09844, T265_10897, T265_14509, T265_14974	h1SMcT0019963.1
OG0000969	T265_01639	h1SMcT0016718.2
OG0000970	T265_05786	h1SMcT0012015.1, h1SMcT0012015.2, h1SMcT0012015.3
OG0000971	T265_14454	h1SMcT0011047.1, h1SMcT0012448.5, h1SMcT0012448.1, h1SMcT0012448.6, h1SMcT0012448.3, h1SMcT0012448.4, h1SMcT0012448.2
OG0000972	T265_04367	h1SMcT0003527.1, h1SMcT0003527.2, h1SMcT0012587.1, h1SMcT0012587.2, h1SMcT0012587.3
OG0000974	T265_12463	h1SMcT0015359.1, h1SMcT0015359.2
OG0000975	T265_02924, T265_09700	h1SMcT0015875.3, h1SMcT0015875.4, h1SMcT0015875.2, h1SMcT0015875.1, h1SMcT0015875.5
OG0000976	T265_00947	h1SMcT0018042.1, h1SMcT0018042.2, h1SMcT0018147.1, h1SMcT0018147.2
OG0000977	T265_04434	h1SMcT0020619.2, h1SMcT0020619.3, h1SMcT0020619.1, h1SMcT0020619.4
OG0000978	T265_05507	h1SMcT0016704.1
OG0000979	T265_00786	h1SMcT0004666.2, h1SMcT0004666.1, h1SMcT0004666.3
OG0000980	T265_03583	h1SMcT0000225.1
OG0000981	T265_04343	h1SMcT0017407.1, h1SMcT0017407.2
OG0000982	T265_03904	h1SMcT0016533.1, h1SMcT0016533.2
OG0000985	T265_11572	h1SMcT0011393.1, h1SMcT0011393.2
OG0000986	T265_02193, T265_12946	h1SMcT0022874.1, h1SMcT0022874.2, h1SMcT0022874.3, h1SMcT0022874.4, h1SMcT0012771.2, h1SMcT0012772.2, h1SMcT0012772.3, h1SMcT0012772.1, h1SMcT0012772.4, h1SMcT0018537.3, h1SMcT0018537.5, h1SMcT0018537.1, h1SMcT0018537.2, h1SMcT0018537.4
OG0000987	T265_02383	h1SMcT0001069.1, h1SMcT0006573.1
OG0000989	T265_04299	h1SMcT0021252.1
OG0000990	T265_08682	h1SMcT0004066.3, h1SMcT0004066.1, h1SMcT0004066.2, h1SMcT0004066.4
OG0000992	T265_01516	h1SMcT0005046.4, h1SMcT0005046.2, h1SMcT0005046.3, h1SMcT0005046.6, h1SMcT0005046.1, h1SMcT0005046.5
OG0000993	T265_14754	h1SMcT0012007.1
OG0000994	T265_02553	h1SMcT0012857.2, h1SMcT0012857.1, h1SMcT0012857.3
OG0000995	T265_13745	h1SMcT0016941.1, h1SMcT0016941.2, h1SMcT0022633.1, h1SMcT0022633.2
OG0000996	T265_00610	h1SMcT0003558.1, h1SMcT0003558.2, h1SMcT0004365.1
OG0000997	T265_13758	h1SMcT0016747.1
OG0000998	T265_02907	h1SMcT0005767.1, h1SMcT0013011.1
OG0001000	T265_02450	h1SMcT0009865.1, h1SMcT0009865.2
OG0001003	T265_02803	h1SMcT0021497.1
OG0001009	T265_08731	h1SMcT0020897.4, h1SMcT0020897.1, h1SMcT0020897.3, h1SMcT0020897.2
OG0001010	T265_06725	h1SMcT0022396.1, h1SMcT0022396.2
OG0001013	T265_10272, T265_16022	h1SMcT0017060.1
OG0001014	T265_12060, T265_16314	h1SMcT0007158.1, h1SMcT0007159.1
OG0001015	T265_11538, T265_15411, T265_10528, T265_15958	h1SMcT0000462.1
OG0001016	T265_01892	h1SMcT0006269.1
OG0001017	T265_03456	h1SMcT0008318.1, h1SMcT0008318.2
OG0001018	T265_11985	h1SMcT0018036.2, h1SMcT0018036.1, h1SMcT0018036.3
OG0001019	T265_06404, T265_12347	h1SMcT0003777.1, h1SMcT0003777.2
OG0001020	T265_14664	h1SMcT0016457.1
OG0001022	T265_08582	h1SMcT0002253.2, h1SMcT0020531.1, h1SMcT0020535.1
OG0001023	T265_14386	h1SMcT0000757.1, h1SMcT0000757.3, h1SMcT0000757.2
OG0001024	T265_15215	h1SMcT0021266.1, h1SMcT0021266.2
OG0001026	T265_08689	h1SMcT0011423.1, h1SMcT0011423.2
OG0001027	T265_05249	h1SMcT0014321.3, h1SMcT0014321.4, h1SMcT0014321.1, h1SMcT0014321.2
OG0001028	T265_02150	h1SMcT0016235.3, h1SMcT0016235.4, h1SMcT0016235.1, h1SMcT0016235.5, h1SMcT0016235.2
OG0001029	T265_06784	h1SMcT0013620.1, h1SMcT0013533.3, h1SMcT0013533.2, h1SMcT0013533.1, h1SMcT0013533.4
OG0001032	T265_07791	h1SMcT0016029.1
OG0001033	T265_12072	h1SMcT0012601.1, h1SMcT0012601.2
OG0001035	T265_07899, T265_11146, T265_07897, T265_11147	h1SMcT0000534.2, h1SMcT0000534.3, h1SMcT0000534.4, h1SMcT0000534.1
OG0001038	T265_06836	h1SMcT0010377.1, h1SMcT0010377.2, h1SMcT0010377.3, h1SMcT0010377.4, h1SMcT0010377.5, h1SMcT0010377.6, h1SMcT0010377.7, h1SMcT0010377.8
OG0001039	T265_13311	h1SMcT0000170.1, h1SMcT0021430.1, h1SMcT0021430.2
OG0001040	T265_08277	h1SMcT0003306.1, h1SMcT0003306.2, h1SMcT0003306.3
OG0001041	T265_02769, T265_02770	h1SMcT0020459.3, h1SMcT0020459.5, h1SMcT0020459.4, h1SMcT0020459.6, h1SMcT0020459.2, h1SMcT0020459.7
OG0001042	T265_15275	h1SMcT0016754.1
OG0001042	T265_09868, T265_16047	h1SMcT0013596.5, h1SMcT0013596.4, h1SMcT0013596.3, h1SMcT0013596.6, h1SMcT0013596.7, h1SMcT0013596.2, h1SMcT0013596.1
OG0001043	T265_04066	h1SMcT0017036.1, h1SMcT0017036.2
OG0001045	T265_14190	h1SMcT0020660.1, h1SMcT0020660.2, h1SMcT0020660.3
OG0001048	T265_05921	h1SMcT0019140.2, h1SMcT0014134.3, h1SMcT0018373.2
OG0001049	T265_01366	h1SMcT0001457.3, h1SMcT0001457.1, h1SMcT0001457.2
OG0001050	T265_06070	h1SMcT0005225.1, h1SMcT0005227.1, h1SMcT0005232.1, h1SMcT0005232.2, h1SMcT0005232.5, h1SMcT0005232.4, h1SMcT0005232.3
OG0001051	T265_08900	h1SMcT0022496.1, h1SMcT0022496.2
OG0001052	T265_03515, T265_03514	h1SMcT0016992.1, h1SMcT0016992.2
OG0001054	T265_07774	h1SMcT0001703.1
OG0001056	T265_06907	h1SMcT0019142.1, h1SMcT0019142.2
OG0001058	T265_09765, T265_07871	h1SMcT0001869.1, h1SMcT0020151.1
OG0001059	T265_09693	h1SMcT0019262.1
OG0001060	T265_08792, T265_05830, T265_12211	h1SMcT0001275.9, h1SMcT0001275.6, h1SMcT0001275.7, h1SMcT0001275.3, h1SMcT0001275.4, h1SMcT0001275.5, h1SMcT0001275.1, h1SMcT0001275.2, h1SMcT0001275.8
OG0001061	T265_10435	h1SMcT0003461.1, h1SMcT0015027.1, h1SMcT0015024.1, h1SMcT0015024.2, h1SMcT0015024.3
OG0001068	T265_05783	h1SMcT0014508.2, h1SMcT0014508.3
OG0001070	T265_01150	h1SMcT0023128.1
OG0001070	T265_03875	h1SMcT0006347.1, h1SMcT0006347.3, h1SMcT0006347.2
OG0001071	T265_01413, T265_01414	h1SMcT0012308.1
OG0001073	T265_06687	h1SMcT0001997.3, h1SMcT0001997.1, h1SMcT0001997.2
OG0001075	T265_00485	h1SMcT0018959.1
OG0001076	T265_04766	h1SMcT0002591.1
OG0001077	T265_03589	h1SMcT0018403.2, h1SMcT0018403.1, h1SMcT0018403.3
OG0001078	T265_01377	h1SMcT0015049.1, h1SMcT0015049.2
OG0001079	T265_07856	h1SMcT0011758.1
OG0001079	T265_01997	h1SMcT0003860.1, h1SMcT0018699.1
OG0001080	T265_03280, T265_06062	h1SMcT0001110.3
OG0001081	T265_02594	h1SMcT0000773.1
OG0001082	T265_14341	h1SMcT0012303.1, h1SMcT0012303.2, h1SMcT0012303.3
OG0001083	T265_05304	h1SMcT0005265.3, h1SMcT0005265.1, h1SMcT0005265.2, h1SMcT0001238.1, h1SMcT0001238.2, h1SMcT0001238.3
OG0001084	T265_03430	h1SMcT0013531.1
OG0001085	T265_07882	h1SMcT0023130.1, h1SMcT0023130.2, h1SMcT0003952.1, h1SMcT0012829.1, h1SMcT0010426.4, h1SMcT0010426.1, h1SMcT0010426.2, h1SMcT0010426.3
OG0001085	T265_05309	h1SMcT0021299.1, h1SMcT0021299.2, h1SMcT0021197.1
OG0001087	T265_02348	h1SMcT0006967.1, h1SMcT0006967.2
OG0001087	T265_04933	h1SMcT0007568.1
OG0001087	T265_13295	h1SMcT0012320.4, h1SMcT0001188.1
OG0001088	T265_14908	h1SMcT0004069.1
OG0001089	T265_04203	h1SMcT0008400.1
OG0001091	T265_08694	h1SMcT0009445.1, h1SMcT0009445.4, h1SMcT0009445.2, h1SMcT0009445.3
OG0001092	T265_05477	h1SMcT0014020.1
OG0001094	T265_01493	h1SMcT0013737.1, h1SMcT0013737.2
OG0001097	T265_12596, T265_12597	h1SMcT0011905.6, h1SMcT0011905.8, h1SMcT0011905.1, h1SMcT0011905.4, h1SMcT0011905.3, h1SMcT0011905.9, h1SMcT0011905.5, h1SMcT0011905.2, h1SMcT0011905.7
OG0001100	T265_12718	h1SMcT0007101.1
OG0001101	T265_01277	h1SMcT0005269.1, h1SMcT0005269.5, h1SMcT0005269.2, h1SMcT0005269.3, h1SMcT0005269.4, h1SMcT0005269.6
OG0001102	T265_07011	h1SMcT0006433.1
OG0001103	T265_11524, T265_11526	h1SMcT0014541.1, h1SMcT0014541.3, h1SMcT0014541.2, h1SMcT0014541.4
OG0001106	T265_03131	h1SMcT0021183.1
OG0001107	T265_01259	h1SMcT0006055.1, h1SMcT0006059.1, h1SMcT0006059.2
OG0001108	T265_04027	h1SMcT0007960.1
OG0001109	T265_15651	h1SMcT0022201.1, h1SMcT0022201.2
OG0001111	T265_15867	h1SMcT0000799.3, h1SMcT0000799.2, h1SMcT0000799.1
OG0001112	T265_07938	h1SMcT0016310.1
OG0001113	T265_01569	h1SMcT0005978.4, h1SMcT0005978.1, h1SMcT0005978.2, h1SMcT0005978.3
OG0001114	T265_10355, T265_12872	h1SMcT0022624.6, h1SMcT0022624.4, h1SMcT0022624.2, h1SMcT0022624.3, h1SMcT0022624.1, h1SMcT0022624.5
OG0001115	T265_14281	h1SMcT0002273.1
OG0001116	T265_04971	h1SMcT0015831.1, h1SMcT0007147.1, h1SMcT0007147.2
OG0001117	T265_09895, T265_16078	h1SMcT0015235.1
OG0001119	T265_00531	h1SMcT0012480.11, h1SMcT0012480.16, h1SMcT0012480.18, h1SMcT0012480.1, h1SMcT0012480.10, h1SMcT0012480.22, h1SMcT0012480.4, h1SMcT0012480.17, h1SMcT0012480.19, h1SMcT0012480.20, h1SMcT0012480.15, h1SMcT0012480.23, h1SMcT0012480.6, h1SMcT0012480.25, h1SMcT0012480.12, h1SMcT0012480.7, h1SMcT0012480.9, h1SMcT0012480.13, h1SMcT0012480.21, h1SMcT0012480.14, h1SMcT0012480.5, h1SMcT0012480.8
OG0001120	T265_14589, T265_14590	h1SMcT0018623.1, h1SMcT0018623.2
OG0001121	T265_02829	h1SMcT0017792.1
OG0001122	T265_01758	h1SMcT0007710.1
OG0001123	T265_01870	h1SMcT0013484.1, h1SMcT0013484.2, h1SMcT0013484.3
OG0001124	T265_12781	h1SMcT0003380.2, h1SMcT0003380.1, h1SMcT0003380.3
OG0001129	T265_03641	h1SMcT0005055.1, h1SMcT0016650.1, h1SMcT0016650.2
OG0001130	T265_02467	h1SMcT0009496.4, h1SMcT0009496.1, h1SMcT0009496.3, h1SMcT0009496.2
OG0001131	T265_08223	h1SMcT0022497.3, h1SMcT0022497.1, h1SMcT0022497.2
OG0001132	T265_02407	h1SMcT0018074.1
OG0001133	T265_14376	h1SMcT0022075.1
OG0001133	T265_07758, T265_14375	h1SMcT0018044.1
OG0001134	T265_10110	h1SMcT0014276.1
OG0001137	T265_00383	h1SMcT0021593.2, h1SMcT0021593.3, h1SMcT0021593.1, h1SMcT0011160.3, h1SMcT0011160.5, h1SMcT0011160.1, h1SMcT0011160.4, h1SMcT0011160.2, h1SMcT0011160.6
OG0001138	T265_10030	h1SMcT0014800.1
OG0001139	T265_13523	h1SMcT0004790.1
OG0001140	T265_04041	h1SMcT0016073.1
OG0001142	T265_08036	h1SMcT0002269.1, h1SMcT0012529.1
OG0001143	T265_00671	h1SMcT0004192.1, h1SMcT0002802.1, h1SMcT0002801.1, h1SMcT0002801.2, h1SMcT0004192.3, h1SMcT0004192.4, h1SMcT0004192.2
OG0001146	T265_06313	h1SMcT0020392.1
OG0001147	T265_07177	h1SMcT0008934.1, h1SMcT0008934.2
OG0001149	T265_05953	h1SMcT0016098.1
OG0001150	T265_00437	h1SMcT0020112.4, h1SMcT0020112.6, h1SMcT0020112.5, h1SMcT0020112.10, h1SMcT0020112.8, h1SMcT0020112.9, h1SMcT0020112.7
OG0001151	T265_15472, T265_13441	h1SMcT0012444.3, h1SMcT0012444.5, h1SMcT0020906.5, h1SMcT0020906.3, h1SMcT0020906.4, h1SMcT0020906.1, h1SMcT0020906.6, h1SMcT0020906.2
OG0001152	T265_14381	h1SMcT0019731.1
OG0001153	T265_01176	h1SMcT0007139.1, h1SMcT0007139.2, h1SMcT0007139.3
OG0001155	T265_04064	h1SMcT0020048.1, h1SMcT0020048.2
OG0001156	T265_06433	h1SMcT0009520.1, h1SMcT0009520.2, h1SMcT0009520.3, h1SMcT0003396.1, h1SMcT0016657.1
OG0001157	T265_14481	h1SMcT0020020.1
OG0001159	T265_09195	h1SMcT0022453.1
OG0001161	T265_00653, T265_08935, T265_08936, T265_13517	h1SMcT0012653.1, h1SMcT0012643.1, h1SMcT0012642.1, h1SMcT0012644.1
OG0001162	T265_04454	h1SMcT0001866.2, h1SMcT0001866.1, h1SMcT0001866.3
OG0001163	T265_07853	h1SMcT0015228.1, h1SMcT0015228.2
OG0001164	T265_12833	h1SMcT0017557.2, h1SMcT0017557.1, h1SMcT0017557.3
OG0001165	T265_08213	h1SMcT0022136.3, h1SMcT0022136.2, h1SMcT0022136.1, h1SMcT0022136.4
OG0001166	T265_05263, T265_09404	h1SMcT0008465.1
OG0001167	T265_08105	h1SMcT0014014.2
OG0001168	T265_15277	h1SMcT0022606.1
OG0001170	T265_01846	h1SMcT0000032.2, h1SMcT0000032.4, h1SMcT0000032.1, h1SMcT0000032.3
OG0001171	T265_10087, T265_11342	h1SMcT0020849.1
OG0001172	T265_08932, T265_15849	h1SMcT0013719.2
OG0001173	T265_14048, T265_14047	h1SMcT0002851.1, h1SMcT0002851.2, h1SMcT0002851.3
OG0001175	T265_01290	h1SMcT0016636.1, h1SMcT0016636.2, h1SMcT0016636.3, h1SMcT0016636.4, h1SMcT0006531.1, h1SMcT0006531.2, h1SMcT0006531.3
OG0001176	T265_00168	h1SMcT0006325.1, h1SMcT0006325.2
OG0001179	T265_05221	h1SMcT0016975.2, h1SMcT0016975.3
OG0001181	T265_11423	h1SMcT0022490.6, h1SMcT0022490.7, h1SMcT0022490.8, h1SMcT0022490.9, h1SMcT0022490.2, h1SMcT0022490.3, h1SMcT0022490.4, h1SMcT0022490.5, h1SMcT0022490.1, h1SMcT0022490.10
OG0001183	T265_02454	h1SMcT0001927.2, h1SMcT0001927.1, h1SMcT0001927.3
OG0001184	T265_00213	h1SMcT0001751.1
OG0001185	T265_04552	h1SMcT0000234.1, h1SMcT0000234.3, h1SMcT0000234.4, h1SMcT0000234.5, h1SMcT0000234.2
OG0001186	T265_12678	h1SMcT0021546.1
OG0001187	T265_02980	h1SMcT0008954.1, h1SMcT0008954.3, h1SMcT0008954.4, h1SMcT0008954.5, h1SMcT0008954.6, h1SMcT0008954.2
OG0001188	T265_15159	h1SMcT0002763.3
OG0001189	T265_00193	h1SMcT0017276.1, h1SMcT0017276.2, h1SMcT0017276.3, h1SMcT0015695.1, h1SMcT0015695.2
OG0001190	T265_11824	h1SMcT0008362.1
OG0001191	T265_07275	h1SMcT0007587.1
OG0001192	T265_07070	h1SMcT0010192.2, h1SMcT0010192.1, h1SMcT0010192.3, h1SMcT0021493.1, h1SMcT0016070.1, h1SMcT0016070.2, h1SMcT0017511.1, h1SMcT0017511.5, h1SMcT0017511.4, h1SMcT0017511.2, h1SMcT0017511.3, h1SMcT0000240.3, h1SMcT0000240.1, h1SMcT0000240.2
OG0001193	T265_15398, T265_11656, T265_03245, T265_13788	h1SMcT0005451.1, h1SMcT0005451.5, h1SMcT0005451.7, h1SMcT0005451.2, h1SMcT0005451.3, h1SMcT0005451.4, h1SMcT0005451.6
OG0001194	T265_06139, T265_06140	h1SMcT0020290.1
OG0001197	T265_11253	h1SMcT0018362.1, h1SMcT0018362.2
OG0001202	T265_05149	h1SMcT0005733.1, h1SMcT0005733.2, h1SMcT0011540.1, h1SMcT0011540.2
OG0001203	T265_05114	h1SMcT0015298.1, h1SMcT0018919.1, h1SMcT0018919.2, h1SMcT0006879.2, h1SMcT0006879.3, h1SMcT0006879.1, h1SMcT0022735.1
OG0001203	T265_07810	h1SMcT0015048.1
OG0001204	T265_10589	h1SMcT0011649.1, h1SMcT0010180.1, h1SMcT0018191.1
OG0001205	T265_10082	h1SMcT0002207.1, h1SMcT0002207.2
OG0001207	T265_11953	h1SMcT0006662.2, h1SMcT0006662.1, h1SMcT0006662.3
OG0001208	T265_03460	h1SMcT0001332.1
OG0001208	T265_11311	h1SMcT0012174.1, h1SMcT0012174.2, h1SMcT0020489.1, h1SMcT0020489.2, h1SMcT0001019.1, h1SMcT0001019.2, h1SMcT0016249.1, h1SMcT0016249.2, h1SMcT0004260.1, h1SMcT0010670.1
OG0001209	T265_08686	h1SMcT0020144.1
OG0001210	T265_04627	h1SMcT0001014.1, h1SMcT0020458.1, h1SMcT0020458.2, h1SMcT0020458.3, h1SMcT0015329.3, h1SMcT0015329.2, h1SMcT0015329.6, h1SMcT0015329.5, h1SMcT0015329.1, h1SMcT0015329.4, h1SMcT0012147.1, h1SMcT0012147.2, h1SMcT0012147.5, h1SMcT0012147.3, h1SMcT0012147.4, h1SMcT0014145.1
OG0001211	T265_10917, T265_10916	h1SMcT0012779.1
OG0001212	T265_05206	h1SMcT0010374.1, h1SMcT0010374.2
OG0001213	T265_03062	h1SMcT0004105.1, h1SMcT0001230.1, h1SMcT0012365.1, h1SMcT0012365.2
OG0001214	T265_01374	h1SMcT0006194.1, h1SMcT0006194.2
OG0001215	T265_09785	h1SMcT0010587.1
OG0001217	T265_15227	h1SMcT0003654.1
OG0001221	T265_15143	h1SMcT0015770.2, h1SMcT0015770.1, h1SMcT0015770.3
OG0001222	T265_02622	h1SMcT0003042.1, h1SMcT0003042.2
OG0001223	T265_00721	h1SMcT0011283.1, h1SMcT0009796.1, h1SMcT0011221.1, h1SMcT0011221.2, h1SMcT0015486.1, h1SMcT0015487.1, h1SMcT0015487.2, h1SMcT0015487.3
OG0001224	T265_14840	h1SMcT0003708.4, h1SMcT0003708.2, h1SMcT0003708.7, h1SMcT0003708.6, h1SMcT0003708.3, h1SMcT0003708.1, h1SMcT0003708.5
OG0001225	T265_15456	h1SMcT0022363.1
OG0001226	T265_12558	h1SMcT0021333.1
OG0001227	T265_08672	h1SMcT0001231.1
OG0001229	T265_13483	h1SMcT0001975.1, h1SMcT0001975.2
OG0001230	T265_06173	h1SMcT0006502.1, h1SMcT0006502.2
