Orthogroup	opisthorchis_viverrini	s.mekongi
OG0001218	T265_03088	KAK4474639.1
OG0001219	T265_06431	KAK4476080.1
OG0001220	T265_12016, T265_12232	KAK4467635.1
OG0001221	T265_15143	KAK4471716.1
OG0001222	T265_02622	KAK4468493.1
OG0001223	T265_00721	KAK4472509.1
OG0001224	T265_14840	KAK4468309.1
OG0001225	T265_15456	KAK4472086.1
OG0001226	T265_12558	KAK4469416.1
OG0001227	T265_08672	KAK4471789.1
OG0001229	T265_13483	KAK4472410.1
OG0001230	T265_06173	KAK4474860.1
OG0001231	T265_11984	KAK4473724.1
OG0001232	T265_02414, T265_08762, T265_14855	KAK4468184.1
OG0001233	T265_12818	KAK4475904.1
OG0001234	T265_09478	KAK4472481.1, KAK4472579.1, KAK4472471.1
OG0001235	T265_03531	KAK4472813.1, KAK4472812.1
OG0001236	T265_13174	KAK4471432.1
OG0001237	T265_13308	KAK4472962.1
OG0001238	T265_01675	KAK4468030.1
OG0001239	T265_03082	KAK4474642.1
OG0001240	T265_08224	KAK4469937.1
OG0001241	T265_00540	KAK4472005.1
OG0001241	T265_00343	KAK4470468.1
OG0001242	T265_00140, T265_06857	KAK4469975.1
OG0001243	T265_14770	KAK4476064.1
OG0001244	T265_13277	KAK4468578.1
OG0001245	T265_14234	KAK4474456.1, KAK4474453.1, KAK4474454.1
OG0001246	T265_02606	KAK4472369.1
OG0001247	T265_04001	KAK4473847.1
OG0001248	T265_13129	KAK4467435.1, KAK4475814.1
OG0001249	T265_06475	KAK4474050.1
OG0001250	T265_08176	KAK4475174.1, KAK4475185.1
OG0001251	T265_12979	KAK4470393.1
OG0001252	T265_02686	KAK4469959.1
OG0001253	T265_13874	KAK4469853.1
OG0001254	T265_11321	KAK4472504.1, KAK4472506.1
OG0001255	T265_13521	KAK4472793.1
OG0001256	T265_02816	KAK4469560.1
OG0001258	T265_13130	KAK4470450.1
OG0001259	T265_09345, T265_09949, T265_09950	KAK4472020.1
OG0001260	T265_14449, T265_07985, T265_15945	KAK4474629.1
OG0001261	T265_14931	KAK4473580.1
OG0001262	T265_09952	KAK4468252.1
OG0001263	T265_04153	KAK4468562.1, KAK4468561.1
OG0001265	T265_14950	KAK4471920.1
OG0001266	T265_01368	KAK4470747.1
OG0001267	T265_02946	KAK4469544.1
OG0001268	T265_10920	KAK4476115.1
OG0001269	T265_04251	KAK4473303.1
OG0001270	T265_15549	KAK4468598.1
OG0001271	T265_01405	KAK4471210.1
OG0001272	T265_09223	KAK4470053.1
OG0001273	T265_12104	KAK4470612.1
OG0001275	T265_07335, T265_10840, T265_11809	KAK4469887.1
OG0001276	T265_00611	KAK4471898.1
OG0001277	T265_00220	KAK4475596.1
OG0001278	T265_01837	KAK4468621.1
OG0001281	T265_03870, T265_13351	KAK4470688.1, KAK4470830.1, KAK4470831.1
OG0001288	T265_04400	KAK4467620.1
OG0001289	T265_07802	KAK4472424.1
OG0001290	T265_06266	KAK4475785.1
OG0001291	T265_02085	KAK4476039.1
OG0001292	T265_15256	KAK4476023.1
OG0001293	T265_08598, T265_02864	KAK4469805.1
OG0001294	T265_10701, T265_16370	KAK4472567.1
OG0001295	T265_09730	KAK4472604.1
OG0001296	T265_08476	KAK4475956.1, KAK4475955.1
OG0001297	T265_04571	KAK4474512.1
OG0001298	T265_07619	KAK4474031.1
OG0001300	T265_08424	KAK4475917.1
OG0001301	T265_00039	KAK4469880.1
OG0001302	T265_12500	KAK4475526.1
OG0001303	T265_10770	KAK4472605.1, KAK4472606.1
OG0001304	T265_03829	KAK4468665.1
OG0001305	T265_07987	KAK4474662.1
OG0001306	T265_00541	KAK4471984.1
OG0001307	T265_01195	KAK4468348.1
OG0001307	T265_01660	KAK4468345.1
OG0001309	T265_13784	KAK4470646.1
OG0001310	T265_05987	KAK4473092.1
OG0001311	T265_11912	KAK4472492.1
OG0001312	T265_09660, T265_12061	KAK4472637.1
OG0001313	T265_13569, T265_16167	KAK4472134.1, KAK4473418.1
OG0001314	T265_04550	KAK4476271.1
OG0001315	T265_13138	KAK4472633.1
OG0001316	T265_04509	KAK4474142.1
OG0001317	T265_09060	KAK4475271.1
OG0001318	T265_13991	KAK4475775.1
OG0001319	T265_06528	KAK4473722.1
OG0001320	T265_08464	KAK4471435.1
OG0001321	T265_00915	KAK4475382.1
OG0001322	T265_03302	KAK4469624.1
OG0001323	T265_12486	KAK4474405.1
OG0001324	T265_14768	KAK4468826.1
OG0001325	T265_13829	KAK4467845.1
OG0001326	T265_12747	KAK4469191.1
OG0001327	T265_04765	KAK4468417.1
OG0001328	T265_08521, T265_16151	KAK4467516.1, KAK4475737.1, KAK4467405.1
OG0001330	T265_02990	KAK4472695.1
OG0001331	T265_13007	KAK4469579.1
OG0001332	T265_10139	KAK4472042.1
OG0001332	T265_00767	KAK4470197.1
OG0001333	T265_03325	KAK4471477.1
OG0001334	T265_06833	KAK4474703.1
OG0001335	T265_08232	KAK4472711.1
OG0001336	T265_08608, T265_14629	KAK4469248.1
OG0001338	T265_14448	KAK4473835.1
OG0001339	T265_15348	KAK4474554.1
OG0001340	T265_10344	KAK4476161.1, KAK4476160.1
OG0001341	T265_12020	KAK4470433.1
OG0001342	T265_14230	KAK4469498.1
OG0001343	T265_13062	KAK4470199.1, KAK4470200.1
OG0001344	T265_10971	KAK4470426.1
OG0001345	T265_01513	KAK4473469.1
OG0001346	T265_14870	KAK4474563.1
OG0001347	T265_13036	KAK4472285.1
OG0001348	T265_01495	KAK4474058.1
OG0001350	T265_14606	KAK4472671.1
OG0001351	T265_13461	KAK4473300.1
OG0001352	T265_05586	KAK4473285.1
OG0001353	T265_04201	KAK4471694.1
OG0001354	T265_07793	KAK4471128.1
OG0001355	T265_14810, T265_10683	KAK4472013.1
OG0001356	T265_02268, T265_01960	KAK4470235.1
OG0001357	T265_02597, T265_15181	KAK4473732.1
OG0001361	T265_09022	KAK4472834.1
OG0001362	T265_07497	KAK4472727.1
OG0001363	T265_13550	KAK4467637.1
OG0001364	T265_11114	KAK4468089.1
OG0001365	T265_06976, T265_16366	KAK4470803.1
OG0001367	T265_06622	KAK4467781.1
OG0001368	T265_00192	KAK4475327.1
OG0001369	T265_01904, T265_15996	KAK4468924.1
OG0001370	T265_14639	KAK4471090.1
OG0001371	T265_04340	KAK4474011.1
OG0001372	T265_07978, T265_16138	KAK4473839.1
OG0001373	T265_00255	KAK4475524.1
OG0001374	T265_12908	KAK4471908.1
OG0001376	T265_03803	KAK4468841.1
OG0001377	T265_11911	KAK4471750.1
OG0001378	T265_12257	KAK4475624.1
OG0001379	T265_00091	KAK4470300.1
OG0001380	T265_12561	KAK4472050.1
OG0001381	T265_12544, T265_00449	KAK4470574.1
OG0001383	T265_11947	KAK4467561.1, KAK4467562.1, KAK4475694.1
OG0001384	T265_09759	KAK4467390.1
OG0001385	T265_01081	KAK4473334.1
OG0001387	T265_14769	KAK4468825.1
OG0001388	T265_14723, T265_14724	KAK4474533.1
OG0001389	T265_12521	KAK4469569.1
OG0001390	T265_02614	KAK4473695.1, KAK4467327.1
OG0001391	T265_01912	KAK4474184.1
OG0001392	T265_10877	KAK4467529.1, KAK4467530.1, KAK4474649.1
OG0001393	T265_06210, T265_06211	KAK4474810.1
OG0001394	T265_00453	KAK4470691.1
OG0001395	T265_05397	KAK4473275.1
OG0001397	T265_05166	KAK4471735.1
OG0001398	T265_14744	KAK4474558.1
OG0001399	T265_07384	KAK4468491.1
OG0001400	T265_13928	KAK4468320.1
OG0001401	T265_02697	KAK4469444.1
OG0001402	T265_07539, T265_03846	KAK4472860.1
OG0001403	T265_11145	KAK4469835.1
OG0001404	T265_08776	KAK4475068.1
OG0001405	T265_06509, T265_12170	KAK4472330.1
OG0001406	T265_02953	KAK4472773.1
OG0001407	T265_15532, T265_15533	KAK4467966.1
OG0001408	T265_01105	KAK4473060.1
OG0001410	T265_01911	KAK4474146.1, KAK4474145.1
OG0001411	T265_09016	KAK4472836.1
OG0001412	T265_15135, T265_15134	KAK4472825.1, KAK4472824.1
OG0001413	T265_15458	KAK4467707.1
OG0001414	T265_06660	KAK4475715.1
OG0001415	T265_12583	KAK4472656.1
OG0001416	T265_15557	KAK4474571.1
OG0001417	T265_01847	KAK4474476.1
OG0001418	T265_05264	KAK4475658.1
OG0001420	T265_16318	KAK4468277.1
OG0001421	T265_06472	KAK4473975.1
OG0001422	T265_11255	KAK4470355.1
OG0001423	T265_04431	KAK4474401.1
OG0001424	T265_03034	KAK4475978.1
OG0001425	T265_07510	KAK4473253.1
OG0001426	T265_14581	KAK4476100.1
OG0001427	T265_05041	KAK4472853.1
OG0001428	T265_02928	KAK4475537.1
OG0001429	T265_12422	KAK4469523.1
OG0001431	T265_01123	KAK4471244.1
OG0001432	T265_10509	KAK4475480.1
OG0001433	T265_15424	KAK4475337.1
OG0001434	T265_04812	KAK4467660.1
OG0001435	T265_14120	KAK4470399.1
OG0001436	T265_10576	KAK4470775.1
OG0001437	T265_12582	KAK4469296.1, KAK4469385.1
OG0001438	T265_03681	KAK4475129.1
OG0001439	T265_02218	KAK4470521.1
OG0001440	T265_02878	KAK4473854.1
OG0001441	T265_07339	KAK4468453.1, KAK4468533.1, KAK4468536.1
OG0001443	T265_09543	KAK4475081.1
OG0001444	T265_13620	KAK4470278.1
OG0001445	T265_09117	KAK4470607.1
OG0001454	T265_02228	KAK4468255.1
OG0001455	T265_11649	KAK4467822.1
OG0001456	T265_05111	KAK4471721.1, KAK4471036.1, KAK4471732.1
OG0001457	T265_04536	KAK4475852.1
OG0001458	T265_04521	KAK4472480.1
OG0001459	T265_15689	KAK4471159.1
OG0001460	T265_14339	KAK4474046.1
OG0001461	T265_06464	KAK4472865.1
OG0001462	T265_07001	KAK4467568.1
OG0001463	T265_03664, T265_08711, T265_05105	KAK4472017.1
OG0001464	T265_09082	KAK4469332.1
OG0001465	T265_07647	KAK4470015.1, KAK4470333.1
OG0001466	T265_14982	KAK4475780.1, KAK4475777.1, KAK4467227.1
OG0001467	T265_00617	KAK4471670.1
OG0001468	T265_06819	KAK4475755.1
OG0001469	T265_01693	KAK4468293.1
OG0001470	T265_14595, T265_15746	KAK4471118.1
OG0001471	T265_15237	KAK4471762.1, KAK4471761.1
OG0001472	T265_08050	KAK4471954.1
OG0001473	T265_00769	KAK4470641.1
OG0001474	T265_11473	KAK4473644.1
OG0001475	T265_14342	KAK4469874.1
OG0001476	T265_05560	KAK4476002.1
OG0001477	T265_06773	KAK4469033.1
OG0001478	T265_00873	KAK4475476.1
OG0001479	T265_08475	KAK4476159.1
OG0001480	T265_01604	KAK4475942.1
OG0001481	T265_14626, T265_14628, T265_14627	KAK4469635.1, KAK4469636.1
OG0001482	T265_05352	KAK4468865.1
OG0001483	T265_01269, T265_01266	KAK4470165.1
OG0001484	T265_10296	KAK4473387.1
OG0001485	T265_10549	KAK4472286.1
OG0001486	T265_02851	KAK4469506.1
OG0001487	T265_09627, T265_15615	KAK4473164.1
OG0001488	T265_01494	KAK4474060.1
OG0001488	T265_04399, T265_08966	KAK4467784.1
OG0001489	T265_05991	KAK4473243.1
OG0001490	T265_13139	KAK4472636.1
OG0001491	T265_07832	KAK4467448.1, KAK4475818.1
OG0001492	T265_04063, T265_04062	KAK4469550.1
OG0001493	T265_03979	KAK4469536.1
OG0001494	T265_14892, T265_09586	KAK4472983.1
OG0001495	T265_06435	KAK4475962.1
OG0001496	T265_01743	KAK4470511.1
OG0001497	T265_02802	KAK4474198.1
OG0001498	T265_03502	KAK4473400.1
OG0001499	T265_01557	KAK4471805.1
OG0001501	T265_04822	KAK4467925.1
OG0001502	T265_16258	KAK4475834.1
OG0001503	T265_05097, T265_12399	KAK4469162.1
OG0001504	T265_03352	KAK4471426.1
OG0001505	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141	KAK4467674.1
OG0001506	T265_13987	KAK4474547.1
OG0001507	T265_01301	KAK4469704.1
OG0001508	T265_14041	KAK4473780.1
OG0001509	T265_09841, T265_15907	KAK4470670.1
OG0001510	T265_10677	KAK4473423.1
OG0001511	T265_10772	KAK4472609.1
OG0001512	T265_05456	KAK4470155.1, KAK4470156.1
OG0001513	T265_14406	KAK4474579.1
OG0001514	T265_02478	KAK4474937.1
OG0001515	T265_03047, T265_13123	KAK4476213.1
OG0001516	T265_07259	KAK4475046.1
OG0001517	T265_05985	KAK4473097.1
OG0001518	T265_01746	KAK4470507.1
OG0001519	T265_08195	KAK4470526.1
OG0001520	T265_06489	KAK4475990.1
OG0001521	T265_01208, T265_16307	KAK4469850.1
OG0001522	T265_14252	KAK4474373.1
OG0001523	T265_11980	KAK4469319.1
OG0001524	T265_02241	KAK4468358.1, KAK4468304.1
OG0001525	T265_08346	KAK4472296.1
OG0001526	T265_00835	KAK4469504.1
OG0001527	T265_12883	KAK4468587.1
OG0001528	T265_08066	KAK4473520.1
OG0001529	T265_12570	KAK4472072.1
OG0001530	T265_09171	KAK4469900.1
OG0001531	T265_04383	KAK4474840.1, KAK4474842.1
OG0001533	T265_09632	KAK4472100.1
OG0001534	T265_02002	KAK4470485.1
OG0001535	T265_00031	KAK4468789.1
OG0001537	T265_07231, T265_07233	KAK4474598.1
OG0001538	T265_04172	KAK4468775.1
OG0001539	T265_03334	KAK4474777.1
OG0001540	T265_04996	KAK4473765.1
OG0001541	T265_13925	KAK4468168.1
OG0001542	T265_07214	KAK4469573.1
OG0001543	T265_07128	KAK4468017.1
OG0001544	T265_12018	KAK4474656.1
OG0001546	T265_03376	KAK4474025.1
OG0001547	T265_04460	KAK4472298.1
OG0001554	T265_03627	KAK4472720.1
OG0001555	T265_12003	KAK4470510.1
OG0001556	T265_05427	KAK4474204.1
OG0001557	T265_02616	KAK4472960.1
OG0001558	T265_05296	KAK4467369.1
OG0001560	T265_03153	KAK4471393.1
OG0001561	T265_00466	KAK4469503.1, KAK4469493.1
OG0001562	T265_07195, T265_14225, T265_14226, T265_14228	KAK4470382.1, KAK4470383.1, KAK4470380.1
OG0001563	T265_08071	KAK4472898.1
OG0001564	T265_09439, T265_09367, T265_15503	KAK4468971.1
OG0001565	T265_13020, T265_13021	KAK4471199.1
OG0001566	T265_01168	KAK4471382.1
OG0001567	T265_11351	KAK4470759.1
OG0001568	T265_08844	KAK4467482.1
OG0001569	T265_08597, T265_06165	KAK4475458.1
OG0001570	T265_14294, T265_15779	KAK4470472.1
OG0001571	T265_06223, T265_06225	KAK4475974.1
OG0001572	T265_08929	KAK4471383.1
OG0001573	T265_14303	KAK4472974.1
OG0001574	T265_11245	KAK4474125.1
OG0001575	T265_01850	KAK4474487.1, KAK4467524.1
OG0001576	T265_05959	KAK4468675.1
OG0001577	T265_10560	KAK4472784.1
OG0001578	T265_03834	KAK4469733.1
OG0001579	T265_00891, T265_12293	KAK4474867.1
OG0001580	T265_11044, T265_11046	KAK4473439.1
OG0001581	T265_13097	KAK4470867.1
OG0001582	T265_00284	KAK4469986.1
OG0001583	T265_07844	KAK4467501.1
OG0001584	T265_13141, T265_00101, T265_14080	KAK4474170.1
OG0001585	T265_13043	KAK4473664.1
OG0001586	T265_08001	KAK4474962.1
OG0001587	T265_00980	KAK4475140.1
OG0001588	T265_09362	KAK4471682.1
OG0001590	T265_05785	KAK4470391.1
OG0001591	T265_02753	KAK4467880.1
OG0001592	T265_07090, T265_10582	KAK4475159.1
OG0001593	T265_05613	KAK4471969.1
OG0001594	T265_10080	KAK4474020.1
OG0001595	T265_11438	KAK4471263.1
OG0001596	T265_05252, T265_13230	KAK4471007.1, KAK4471006.1
OG0001597	T265_02935	KAK4470575.1
OG0001598	T265_00351	KAK4469123.1
OG0001599	T265_10881	KAK4470370.1
OG0001600	T265_08507	KAK4472472.1
OG0001601	T265_12251, T265_13640	KAK4471351.1
OG0001602	T265_06910	KAK4474735.1
OG0001604	T265_10406	KAK4473169.1
OG0001606	T265_10728	KAK4473367.1
OG0001607	T265_15554	KAK4470705.1
OG0001608	T265_08088	KAK4469157.1
OG0001610	T265_14531	KAK4473963.1
OG0001611	T265_01454	KAK4471878.1
OG0001612	T265_06824	KAK4474674.1
OG0001613	T265_02844	KAK4470649.1
OG0001614	T265_06438, T265_00023, T265_08537	KAK4473674.1
OG0001615	T265_08538	KAK4473673.1
OG0001617	T265_01771, T265_12207	KAK4469909.1
OG0001619	T265_00098	KAK4469895.1
OG0001620	T265_07578, T265_07576	KAK4472293.1
OG0001621	T265_11273	KAK4475743.1
OG0001622	T265_12340, T265_16297	KAK4468112.1
OG0001623	T265_00228, T265_08047	KAK4475954.1
OG0001624	T265_09187	KAK4472927.1
OG0001626	T265_11931	KAK4472240.1
OG0001627	T265_02191	KAK4470285.1
OG0001628	T265_05566	KAK4474805.1
OG0001629	T265_01797	KAK4475152.1
OG0001630	T265_02099	KAK4476208.1
OG0001631	T265_03790	KAK4468541.1
OG0001632	T265_14353	KAK4471598.1
OG0001633	T265_10187	KAK4467624.1
OG0001634	T265_00567	KAK4468718.1
OG0001635	T265_06410, T265_15946	KAK4475804.1, KAK4475805.1
OG0001636	T265_05447	KAK4470372.1
OG0001637	T265_08784	KAK4471172.1
OG0001640	T265_06192	KAK4474986.1
OG0001641	T265_13439	KAK4468595.1
OG0001642	T265_11396	KAK4469018.1
OG0001643	T265_09518	KAK4472002.1
OG0001644	T265_04914	KAK4469279.1
OG0001645	T265_10635	KAK4467665.1
OG0001646	T265_09167	KAK4469988.1
OG0001647	T265_04701	KAK4473419.1
OG0001648	T265_01727	KAK4471000.1
OG0001649	T265_04939	KAK4474518.1
OG0001650	T265_07849	KAK4470319.1
OG0001652	T265_14643	KAK4470154.1
OG0001653	T265_12692	KAK4475931.1
OG0001655	T265_08873	KAK4471560.1
OG0001656	T265_01416	KAK4468765.1
OG0001657	T265_02579	KAK4472325.1
OG0001659	T265_05197	KAK4467371.1, KAK4467374.1, KAK4474153.1
OG0001668	T265_09738	KAK4472995.1
OG0001669	T265_14607	KAK4472585.1
OG0001670	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981	KAK4473978.1
OG0001671	T265_14634	KAK4472488.1
OG0001672	T265_00750	KAK4472742.1
OG0001673	T265_01379	KAK4471952.1
OG0001675	T265_12874	KAK4471637.1
OG0001676	T265_01615	KAK4474386.1
OG0001677	T265_05762	KAK4468654.1
OG0001680	T265_09371	KAK4472908.1
OG0001681	T265_12663, T265_16018	KAK4475126.1
OG0001682	T265_15158	KAK4474882.1
OG0001683	T265_09590, T265_14893, T265_03749	KAK4473241.1
OG0001684	T265_09014	KAK4472759.1
OG0001685	T265_15090	KAK4474323.1, KAK4475314.1
OG0001686	T265_09608, T265_15908	KAK4468284.1
OG0001687	T265_07419	KAK4469989.1
OG0001688	T265_07388	KAK4475439.1
OG0001689	T265_15368	KAK4475407.1, KAK4475411.1
OG0001690	T265_04514	KAK4472283.1
OG0001691	T265_03200	KAK4474679.1
OG0001692	T265_13395	KAK4470682.1
OG0001694	T265_02240	KAK4468266.1
OG0001695	T265_10771	KAK4472607.1
OG0001696	T265_09913	KAK4473531.1
OG0001697	T265_05671	KAK4467703.1
OG0001698	T265_05919	KAK4470822.1
OG0001699	T265_08126	KAK4471814.1
OG0001700	T265_09892	KAK4475303.1
OG0001701	T265_03185	KAK4467316.1
OG0001702	T265_01458	KAK4474190.1
OG0001703	T265_14685	KAK4474095.1
OG0001704	T265_10332	KAK4475225.1
OG0001705	T265_06950	KAK4473177.1, KAK4472217.1
OG0001706	T265_00105	KAK4472590.1
OG0001707	T265_01410	KAK4471214.1
OG0001708	T265_02720	KAK4467777.1
OG0001709	T265_13976	KAK4472429.1
OG0001710	T265_05358	KAK4468896.1
OG0001711	T265_05328	KAK4467741.1
OG0001712	T265_14005	KAK4473397.1
OG0001713	T265_08885	KAK4471106.1
OG0001714	T265_14693	KAK4471104.1
OG0001715	T265_03710	KAK4473301.1
OG0001716	T265_12518	KAK4470062.1
OG0001717	T265_02968	KAK4472811.1
OG0001718	T265_09214	KAK4475292.1
OG0001719	T265_04478	KAK4473579.1
OG0001720	T265_12689, T265_01853	KAK4474489.1
OG0001721	T265_01466	KAK4469753.1, KAK4469756.1
OG0001722	T265_10430, T265_16265	KAK4474408.1
OG0001723	T265_12870	KAK4474388.1
OG0001724	T265_04056	KAK4470267.1
OG0001725	T265_09161	KAK4470124.1
OG0001726	T265_12576	KAK4474075.1
OG0001726	T265_01638	KAK4468354.1
OG0001727	T265_10361	KAK4468593.1
OG0001728	T265_03905	KAK4471793.1
OG0001729	T265_01004	KAK4475934.1
OG0001731	T265_11635	KAK4472709.1
OG0001732	T265_02819	KAK4469561.1
OG0001733	T265_03326	KAK4471822.1
OG0001734	T265_07463	KAK4468884.1
OG0001735	T265_07057, T265_07056	KAK4472994.1
OG0001736	T265_14980	KAK4474877.1
OG0001737	T265_05187	KAK4468482.1
OG0001738	T265_04467	KAK4473402.1
OG0001739	T265_09719	KAK4473001.1, KAK4473011.1
OG0001740	T265_02848	KAK4469854.1
OG0001741	T265_09400	KAK4475742.1, KAK4467456.1
OG0001742	T265_01766	KAK4469913.1
OG0001744	T265_10654, T265_12595	KAK4471501.1
OG0001745	T265_05962	KAK4472806.1
OG0001746	T265_12992	KAK4468263.1
OG0001747	T265_08419	KAK4475909.1
OG0001748	T265_02528	KAK4472108.1
OG0001749	T265_05162, T265_13920	KAK4472984.1
OG0001750	T265_14641, T265_08679	KAK4475699.1
OG0001751	T265_03745	KAK4472971.1
OG0001752	T265_08775	KAK4476299.1
OG0001754	T265_14140	KAK4472010.1
OG0001755	T265_08222, T265_10918	KAK4475689.1
OG0001756	T265_02705	KAK4469397.1
OG0001758	T265_08429, T265_16089, T265_08430	KAK4468062.1
OG0001759	T265_14874	KAK4471546.1
OG0001760	T265_13963	KAK4471578.1
OG0001761	T265_11120	KAK4467949.1, KAK4468183.1
OG0001762	T265_08963, T265_16323, T265_08964	KAK4467819.1
OG0001763	T265_11384	KAK4472682.1
OG0001764	T265_04595	KAK4474785.1
OG0001765	T265_00502	KAK4471538.1
OG0001766	T265_14565	KAK4474197.1
OG0001767	T265_04548	KAK4475684.1, KAK4467389.1, KAK4475683.1
OG0001768	T265_10297	KAK4468897.1
OG0001769	T265_03947	KAK4475540.1
OG0001770	T265_08230	KAK4472315.1
OG0001771	T265_13913	KAK4469467.1
OG0001772	T265_07572	KAK4468517.1
OG0001773	T265_00534	KAK4471437.1
OG0001774	T265_06888	KAK4476044.1
OG0001775	T265_09040	KAK4475222.1
OG0001776	T265_11140	KAK4467656.1
OG0001777	T265_03011	KAK4474215.1, KAK4474211.1, KAK4474212.1
OG0001778	T265_09376	KAK4468568.1
OG0001780	T265_06467	KAK4472870.1
OG0001781	T265_13075	KAK4467680.1
OG0001782	T265_03902	KAK4471070.1
OG0001783	T265_03631	KAK4472722.1
OG0001784	T265_04098, T265_15912	KAK4473465.1
OG0001785	T265_07505	KAK4473376.1
OG0001786	T265_02513	KAK4471290.1
OG0001787	T265_13198	KAK4473373.1
OG0001789	T265_06187	KAK4475490.1
OG0001790	T265_13300	KAK4473652.1
OG0001791	T265_08401, T265_08403	KAK4468701.1, KAK4470158.1
OG0001792	T265_00418	KAK4470845.1
OG0001793	T265_07358	KAK4468939.1
OG0001794	T265_10719	KAK4471539.1
OG0001801	T265_04593	KAK4474541.1
OG0001803	T265_09341	KAK4473637.1, KAK4473636.1
OG0001804	T265_12618	KAK4472388.1
OG0001805	T265_13514, T265_13513	KAK4472728.1
OG0001806	T265_07409	KAK4467839.1
OG0001807	T265_11444	KAK4474591.1
OG0001808	T265_10905	KAK4475115.1
OG0001809	T265_13772	KAK4472364.1
OG0001810	T265_07900	KAK4467749.1
OG0001812	T265_14122	KAK4470365.1
OG0001813	T265_09076	KAK4474479.1
OG0001814	T265_10976	KAK4470457.1
OG0001815	T265_06116	KAK4469120.1, KAK4469121.1
OG0001816	T265_15353	KAK4469095.1
OG0001817	T265_13431	KAK4473773.1
OG0001818	T265_12286, T265_06859, T265_15980	KAK4469237.1
OG0001819	T265_02288	KAK4475051.1
OG0001820	T265_04186	KAK4471907.1
OG0001821	T265_09614	KAK4467978.1
OG0001821	T265_03362	KAK4471167.1
OG0001822	T265_11066, T265_04529	KAK4467887.1
OG0001823	T265_11105	KAK4475370.1
OG0001825	T265_02352	KAK4469644.1
OG0001826	T265_00277	KAK4475849.1
OG0001827	T265_02155, T265_12935	KAK4470784.1
OG0001828	T265_01213	KAK4469508.1
OG0001829	T265_11088	KAK4473132.1
OG0001830	T265_15921	KAK4471134.1
OG0001831	T265_03336	KAK4471442.1
OG0001834	T265_00004	KAK4470481.1
OG0001835	T265_06643, T265_14089	KAK4474848.1
OG0001836	T265_14559	KAK4475561.1
OG0001837	T265_08769	KAK4468362.1
OG0001838	T265_03743	KAK4472969.1
OG0001839	T265_12526	KAK4469356.1
OG0001840	T265_13580	KAK4473925.1
OG0001841	T265_07181	KAK4474803.1
OG0001842	T265_15657	KAK4467763.1
OG0001843	T265_04469, T265_13561	KAK4473403.1
OG0001844	T265_03040	KAK4474950.1
OG0001845	T265_14549	KAK4467647.1
OG0001846	T265_10397	KAK4472936.1
OG0001847	T265_11864	KAK4475768.1
OG0001848	T265_14403, T265_14401, T265_07830	KAK4467434.1, KAK4475817.1
OG0001849	T265_00607	KAK4472068.1
OG0001850	T265_00010	KAK4470579.1
OG0001851	T265_01360	KAK4469509.1
OG0001852	T265_05433	KAK4472766.1
OG0001853	T265_02922, T265_11897	KAK4475630.1
OG0001854	T265_09648	KAK4467874.1
OG0001855	T265_00165	KAK4470152.1
OG0001856	T265_10021	KAK4470532.1
OG0001857	T265_04055	KAK4470721.1
OG0001858	T265_02220, T265_04712	KAK4472246.1
OG0001859	T265_06498	KAK4475995.1
OG0001861	T265_01225	KAK4470351.1
OG0001862	T265_10909	KAK4475729.1
OG0001863	T265_01043, T265_01044	KAK4472919.1, KAK4472918.1, KAK4472203.1
OG0001864	T265_01749	KAK4470331.1
OG0001866	T265_09747	KAK4468647.1
OG0001867	T265_13218, T265_13219	KAK4469233.1
OG0001868	T265_04412	KAK4475545.1
OG0001869	T265_05535	KAK4474991.1
OG0001870	T265_00132	KAK4469657.1
OG0001871	T265_13828	KAK4473524.1, KAK4473525.1
OG0001872	T265_03393	KAK4468296.1
OG0001873	T265_08992	KAK4472319.1
OG0001874	T265_03234, T265_13196	KAK4472231.1, KAK4473351.1, KAK4473350.1, KAK4473349.1
OG0001875	T265_15589, T265_15590, T265_11880, T265_11881	KAK4468707.1
OG0001876	T265_03702	KAK4475467.1
OG0001877	T265_10265, T265_14142	KAK4474918.1
OG0001879	T265_05975	KAK4472985.1
OG0001880	T265_15623, T265_15873	KAK4475074.1
OG0001881	T265_09881, T265_16342	KAK4472071.1
OG0001882	T265_02934	KAK4470668.1
OG0001883	T265_00246	KAK4475612.1
OG0001884	T265_08008, T265_16260	KAK4468708.1
OG0001885	T265_03198	KAK4474684.1
OG0001886	T265_10249	KAK4470275.1
OG0001887	T265_05895, T265_07671	KAK4471695.1
OG0001888	T265_14220	KAK4471374.1
OG0001889	T265_11606	KAK4468130.1
OG0001890	T265_08599	KAK4469633.1
OG0001891	T265_01391	KAK4475263.1
OG0001892	T265_15428	KAK4470873.1
OG0001893	T265_09740	KAK4472302.1
OG0001894	T265_12840	KAK4467988.1
OG0001895	T265_11728	KAK4473815.1
OG0001896	T265_09000	KAK4472703.1
OG0001897	T265_13908	KAK4470818.1
OG0001898	T265_04800	KAK4471151.1
OG0001899	T265_03996	KAK4473774.1
OG0001900	T265_05713	KAK4467407.1, KAK4470453.1
OG0001901	T265_07537	KAK4472483.1
OG0001903	T265_06552, T265_06554	KAK4468115.1
OG0001904	T265_10321	KAK4475265.1
OG0001905	T265_06569	KAK4472113.1
OG0001906	T265_13479	KAK4472762.1
