Orthogroup	opisthorchis_viverrini	trichobilharzia_regenti
OG0001400	T265_13928	TREG1_111210.5, TREG1_111210.6, TREG1_111260.1
OG0001401	T265_02697	TREG1_76490.1
OG0001402	T265_07539, T265_03846	TREG1_48830.1
OG0001403	T265_11145	TREG1_77310.1
OG0001404	T265_08776	TREG1_15040.13, TREG1_15040.14, TREG1_15040.7, TREG1_15040.5, TREG1_15040.10, TREG1_15040.8, TREG1_15040.11, TREG1_15040.9, TREG1_15040.1, TREG1_15040.4, TREG1_15040.3, TREG1_15040.2, TREG1_15040.12, TREG1_15040.6
OG0001405	T265_06509, T265_12170	TREG1_53990.1
OG0001406	T265_02953	TREG1_46140.1
OG0001407	T265_15532, T265_15533	TREG1_114500.1
OG0001408	T265_01105	TREG1_58890.2, TREG1_58890.1, TREG1_58890.3, TREG1_59060.1
OG0001410	T265_01911	TREG1_55550.1
OG0001411	T265_09016	TREG1_48320.1
OG0001412	T265_15135, T265_15134	TREG1_49600.1, TREG1_139200.2, TREG1_139200.1
OG0001413	T265_15458	TREG1_134220.3, TREG1_134220.1, TREG1_134220.2
OG0001414	T265_06660	TREG1_9800.3, TREG1_9800.1, TREG1_9800.2, TREG1_9800.4
OG0001415	T265_12583	TREG1_51100.1
OG0001416	T265_15557	TREG1_10700.1
OG0001417	T265_01847	TREG1_18240.1
OG0001418	T265_05264	TREG1_14230.1, TREG1_14230.2, TREG1_14230.3
OG0001419	T265_10451	TREG1_82230.1, TREG1_82230.2, TREG1_82230.3, TREG1_82230.4, TREG1_82230.5
OG0001420	T265_16318	TREG1_117780.1, TREG1_117780.2, TREG1_144400.2, TREG1_144400.1, TREG1_144400.3, TREG1_144400.4
OG0001421	T265_06472	TREG1_50970.1, TREG1_50970.2, TREG1_50970.3
OG0001422	T265_11255	TREG1_103780.1
OG0001423	T265_04431	TREG1_20490.1
OG0001424	T265_03034	TREG1_11830.1, TREG1_11840.1, TREG1_11840.2, TREG1_11840.3
OG0001425	T265_07510	TREG1_35380.1
OG0001426	T265_14581	TREG1_16830.1, TREG1_16830.2, TREG1_16830.3, TREG1_16830.4, TREG1_16830.5
OG0001427	T265_05041	TREG1_48910.1
OG0001428	T265_02928	TREG1_15580.1, TREG1_15580.2, TREG1_15580.3
OG0001429	T265_12422	TREG1_66300.4, TREG1_66300.5, TREG1_66300.6, TREG1_66300.2, TREG1_66300.1, TREG1_66300.3
OG0001431	T265_01123	TREG1_87860.1
OG0001432	T265_10509	TREG1_27420.2, TREG1_27420.3, TREG1_27420.1, TREG1_27420.4
OG0001433	T265_15424	TREG1_28420.1
OG0001434	T265_04812	TREG1_136030.1, TREG1_136030.2, TREG1_136030.3, TREG1_136030.4
OG0001435	T265_14120	TREG1_98910.1, TREG1_98910.2
OG0001436	T265_10576	TREG1_106050.1, TREG1_106050.2, TREG1_106050.3
OG0001437	T265_12582	TREG1_64180.1, TREG1_65070.1, TREG1_65070.2, TREG1_68660.1, TREG1_61780.1
OG0001438	T265_03681	TREG1_22560.1, TREG1_52310.1, TREG1_52310.3, TREG1_52310.2
OG0001439	T265_02218	TREG1_102010.1
OG0001440	T265_02878	TREG1_47480.1, TREG1_47480.2, TREG1_47480.3, TREG1_47480.4
OG0001441	T265_07339	TREG1_125500.1
OG0001444	T265_13620	TREG1_105870.1
OG0001445	T265_09117	TREG1_106620.1
OG0001453	T265_00365	TREG1_72840.1
OG0001454	T265_02228	TREG1_114650.1, TREG1_114660.1
OG0001455	T265_11649	TREG1_133260.1
OG0001456	T265_05111	TREG1_92490.1, TREG1_92490.3, TREG1_92490.4, TREG1_92490.2, TREG1_92520.1
OG0001457	T265_04536	TREG1_5020.1, TREG1_5020.2, TREG1_5020.3, TREG1_5020.4, TREG1_5020.5, TREG1_5020.6, TREG1_5020.7, TREG1_5030.1
OG0001458	T265_04521	TREG1_49190.2, TREG1_49190.6, TREG1_49190.5, TREG1_49190.3, TREG1_49190.4, TREG1_49190.7
OG0001459	T265_15689	TREG1_79410.1
OG0001460	T265_14339	TREG1_44360.2, TREG1_44360.1, TREG1_44360.3
OG0001461	T265_06464	TREG1_48730.3, TREG1_48730.1, TREG1_48730.5, TREG1_48730.2, TREG1_48730.4
OG0001462	T265_07001	TREG1_77890.1, TREG1_138300.1
OG0001463	T265_03664, T265_08711, T265_05105, T265_03154, T265_15269	TREG1_80840.1, TREG1_80850.1
OG0001464	T265_09082	TREG1_75630.1
OG0001465	T265_07647	TREG1_100070.1
OG0001466	T265_14982	TREG1_3100.1
OG0001467	T265_00617	TREG1_88520.1, TREG1_88520.2, TREG1_88520.3, TREG1_88520.4
OG0001468	T265_06819	TREG1_3230.2, TREG1_3230.1, TREG1_3230.3
OG0001469	T265_01693	TREG1_110990.1
OG0001470	T265_14595, T265_15746	TREG1_81890.1
OG0001471	T265_15237	TREG1_81410.1, TREG1_81410.2, TREG1_81410.3, TREG1_81410.4
OG0001472	T265_08050	TREG1_81080.4, TREG1_81080.5, TREG1_81080.3, TREG1_81080.2, TREG1_81080.1
OG0001473	T265_00769	TREG1_97160.1
OG0001474	T265_11473	TREG1_55100.1
OG0001475	T265_14342	TREG1_61730.1
OG0001476	T265_05561, T265_13811, T265_05560	TREG1_7190.3, TREG1_7190.4, TREG1_7190.1, TREG1_7190.2
OG0001477	T265_06773	TREG1_74390.1
OG0001478	T265_00873	TREG1_27480.1, TREG1_36420.1
OG0001479	T265_08475	TREG1_11960.1
OG0001481	T265_14626, T265_14628, T265_14627	TREG1_66970.1, TREG1_66970.2, TREG1_66950.1, TREG1_66970.3
OG0001482	T265_05352	TREG1_128020.1
OG0001483	T265_01269, T265_01266	TREG1_103380.5, TREG1_103380.1, TREG1_103380.2, TREG1_103380.3, TREG1_103380.4
OG0001484	T265_10296	TREG1_61060.1
OG0001485	T265_10549	TREG1_45570.2, TREG1_31760.1, TREG1_45570.1, TREG1_45570.3
OG0001486	T265_02851	TREG1_63430.1, TREG1_136650.1, TREG1_136650.2
OG0001487	T265_09627, T265_15615	TREG1_58690.1
OG0001488	T265_01494	TREG1_44200.1
OG0001488	T265_04399, T265_08966	TREG1_135980.1
OG0001489	T265_05991	TREG1_35590.4, TREG1_35600.1, TREG1_35590.2, TREG1_35590.1, TREG1_35590.3
OG0001490	T265_13139	TREG1_55160.1, TREG1_55160.4, TREG1_55160.2, TREG1_55160.7, TREG1_55160.8, TREG1_55160.3, TREG1_55160.5, TREG1_55160.6
OG0001491	T265_07832	TREG1_13090.1, TREG1_141010.4, TREG1_141010.6, TREG1_141010.1, TREG1_141010.2, TREG1_141010.3, TREG1_141010.5, TREG1_141010.8, TREG1_141010.7
OG0001492	T265_04063, T265_04062	TREG1_66190.1
OG0001493	T265_03979	TREG1_62850.1
OG0001494	T265_14892, T265_09586	TREG1_38650.1, TREG1_38650.3, TREG1_38650.2, TREG1_38650.4
OG0001495	T265_06435	TREG1_19580.1, TREG1_19580.2
OG0001496	T265_01743	TREG1_107900.1
OG0001497	T265_02802	TREG1_52120.1, TREG1_52120.3, TREG1_52120.2
OG0001498	T265_03502	TREG1_36200.3, TREG1_36200.4, TREG1_36200.2, TREG1_36200.1, TREG1_36200.5
OG0001499	T265_01557	TREG1_89350.1, TREG1_89350.2
OG0001501	T265_04822	TREG1_131830.1, TREG1_131830.2
OG0001502	T265_16258	TREG1_14300.1
OG0001503	T265_05097, T265_12399	TREG1_69740.1, TREG1_69740.2, TREG1_69740.3
OG0001504	T265_03352	TREG1_87580.1
OG0001505	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141	TREG1_130260.1
OG0001506	T265_13987	TREG1_137820.1, TREG1_137820.2, TREG1_28550.1, TREG1_28510.1, TREG1_142430.1, TREG1_145170.1, TREG1_145170.2, TREG1_145170.3, TREG1_145180.1, TREG1_145180.2, TREG1_145180.3, TREG1_145180.4, TREG1_145180.5, TREG1_145180.6, TREG1_145180.7, TREG1_137840.2, TREG1_137840.3, TREG1_137840.1
OG0001507	T265_01301	TREG1_70160.1, TREG1_70150.1, TREG1_70140.1, TREG1_70130.1
OG0001508	T265_14041	TREG1_41530.1
OG0001509	T265_09841, T265_15907	TREG1_101460.1, TREG1_98990.1
OG0001510	T265_10677	TREG1_37060.1, TREG1_37060.3, TREG1_37060.4, TREG1_37060.2
OG0001511	T265_10772	TREG1_58520.1
OG0001512	T265_05456	TREG1_139900.1, TREG1_139900.2
OG0001513	T265_14406	TREG1_29690.4, TREG1_29690.2, TREG1_29690.1, TREG1_29690.3
OG0001514	T265_02478	TREG1_116980.7, TREG1_116980.1, TREG1_116980.3, TREG1_116980.4, TREG1_116980.5, TREG1_116980.2, TREG1_116980.6
OG0001515	T265_03047, T265_13123	TREG1_11940.1, TREG1_11940.2
OG0001516	T265_07259	TREG1_22540.1, TREG1_22540.2
OG0001517	T265_05985	TREG1_59040.4, TREG1_59040.1, TREG1_59040.2, TREG1_59040.3
OG0001518	T265_01746	TREG1_99230.1
OG0001519	T265_08195	TREG1_98500.4, TREG1_98500.3, TREG1_98500.1, TREG1_98500.2
OG0001520	T265_06489	TREG1_7990.1, TREG1_7980.1
OG0001521	T265_01208, T265_16307	TREG1_77110.1, TREG1_77110.2
OG0001522	T265_14252	TREG1_6370.1, TREG1_6370.3, TREG1_6370.5, TREG1_6370.2, TREG1_6370.4
OG0001523	T265_11980	TREG1_69300.1
OG0001524	T265_02241	TREG1_113100.1
OG0001525	T265_08346	TREG1_58120.1, TREG1_58120.2, TREG1_58120.3
OG0001526	T265_00835	TREG1_63850.1
OG0001527	T265_12883	TREG1_125950.1, TREG1_125950.2
OG0001528	T265_08066	TREG1_42490.1, TREG1_42490.2, TREG1_42490.3, TREG1_42490.4
OG0001529	T265_12570	TREG1_81520.1
OG0001530	T265_09171	TREG1_61290.1
OG0001531	T265_04383	TREG1_17510.1
OG0001533	T265_09632	TREG1_78270.1
OG0001534	T265_02002	TREG1_102860.1
OG0001535	T265_00031	TREG1_120350.1
OG0001537	T265_07231, T265_07233	TREG1_12650.1, TREG1_12650.2
OG0001538	T265_04172	TREG1_123790.1
OG0001539	T265_03334	TREG1_115900.4, TREG1_115900.1, TREG1_115900.3, TREG1_115900.5, TREG1_115900.2, TREG1_115900.6
OG0001540	T265_04996	TREG1_57950.1
OG0001541	T265_13925	TREG1_115060.1
OG0001542	T265_07214	TREG1_69870.1
OG0001543	T265_07128	TREG1_112350.1, TREG1_112350.2
OG0001544	T265_12018	TREG1_7900.1
OG0001546	T265_03376	TREG1_51870.1
OG0001547	T265_04460	TREG1_31880.1, TREG1_31870.1
OG0001554	T265_03627	TREG1_50370.1, TREG1_50370.2
OG0001555	T265_12003	TREG1_99260.1
OG0001556	T265_05427	TREG1_52030.2, TREG1_52030.1, TREG1_52030.3
OG0001557	T265_02616	TREG1_57800.1, TREG1_57800.2
OG0001558	T265_05296	TREG1_95810.1, TREG1_109210.1, TREG1_61190.1, TREG1_61180.2, TREG1_61180.1
OG0001559	T265_02560	TREG1_68620.1
OG0001560	T265_03153	TREG1_144740.1, TREG1_144730.1, TREG1_144730.2, TREG1_80670.1
OG0001561	T265_00466	TREG1_62780.1, TREG1_62770.1, TREG1_62580.1, TREG1_62690.1, TREG1_62790.1, TREG1_62740.1, TREG1_62760.1
OG0001562	T265_07195, T265_14225, T265_14226, T265_14228	TREG1_107300.1, TREG1_43770.1
OG0001563	T265_08071	TREG1_42870.1
OG0001564	T265_09439, T265_09367, T265_15503	TREG1_71950.1
OG0001565	T265_13020, T265_13021	TREG1_88960.1
OG0001566	T265_01168	TREG1_84650.3, TREG1_84650.1, TREG1_84650.2, TREG1_84650.4
OG0001567	T265_11351	TREG1_104930.1, TREG1_104930.2, TREG1_104930.3, TREG1_104930.4
OG0001568	T265_08844	TREG1_101040.1
OG0001569	T265_08597, T265_06165	TREG1_26680.1
OG0001570	T265_14294, T265_15779	TREG1_95370.1, TREG1_95380.1, TREG1_95380.2
OG0001571	T265_06223, T265_06225	TREG1_5350.1
OG0001572	T265_08929	TREG1_84520.1
OG0001573	T265_14303	TREG1_38470.1
OG0001574	T265_11245	TREG1_36690.1
OG0001575	T265_01850	TREG1_13880.1, TREG1_13880.2
OG0001576	T265_05959	TREG1_119920.1, TREG1_119920.2, TREG1_119920.3
OG0001577	T265_10560	TREG1_47220.1
OG0001578	T265_03834	TREG1_75840.1
OG0001579	T265_00891, T265_12293	TREG1_8460.1, TREG1_8460.2, TREG1_8460.3, TREG1_8460.4
OG0001580	T265_11044, T265_11046	TREG1_56240.1, TREG1_56280.1, TREG1_56280.2
OG0001581	T265_13097	TREG1_104470.1, TREG1_104470.4, TREG1_104470.2, TREG1_104470.3, TREG1_104470.5
OG0001582	T265_00284	TREG1_74700.1, TREG1_74700.2, TREG1_74700.3
OG0001583	T265_07844	TREG1_38090.1, TREG1_38090.2, TREG1_38090.3
OG0001584	T265_13141, T265_00101, T265_14080	TREG1_57240.1, TREG1_57240.2
OG0001585	T265_13043	TREG1_40750.1
OG0001586	T265_08001	TREG1_15810.10, TREG1_15830.1, TREG1_15810.11
OG0001587	T265_00980	TREG1_21380.1, TREG1_21380.2
OG0001588	T265_09362	TREG1_86360.1, TREG1_86360.2, TREG1_86360.3
OG0001590	T265_05785	TREG1_99830.2, TREG1_99830.3, TREG1_99830.1, TREG1_99830.4
OG0001591	T265_02753	TREG1_136490.1
OG0001592	T265_07090, T265_10582	TREG1_16220.1, TREG1_16220.2, TREG1_16220.3, TREG1_16220.4, TREG1_16220.5, TREG1_16220.6
OG0001593	T265_05613	TREG1_84840.1, TREG1_84840.2
OG0001594	T265_10080	TREG1_47000.1, TREG1_47000.3, TREG1_47000.4, TREG1_47000.2
OG0001595	T265_11438	TREG1_88090.1
OG0001596	T265_05252, T265_13230	TREG1_96040.1
OG0001597	T265_02935	TREG1_105060.4, TREG1_105060.2, TREG1_105060.3, TREG1_105060.1, TREG1_105060.5
OG0001598	T265_00351	TREG1_63310.1, TREG1_63310.2, TREG1_63310.3
OG0001599	T265_10881	TREG1_99300.7, TREG1_99300.1, TREG1_99300.2, TREG1_99300.4, TREG1_99300.5, TREG1_99300.3, TREG1_99300.6
OG0001600	T265_08507	TREG1_49310.1, TREG1_49310.2, TREG1_49310.3, TREG1_49310.4
OG0001601	T265_12251, T265_13640	TREG1_82450.6, TREG1_82450.4, TREG1_82450.5, TREG1_82450.1, TREG1_82450.2, TREG1_82450.3
OG0001602	T265_06910	TREG1_14810.1, TREG1_14810.2, TREG1_14810.3
OG0001604	T265_10406	TREG1_58640.1
OG0001605	T265_09891	TREG1_24760.1, TREG1_24760.2
OG0001606	T265_10728	TREG1_32150.1, TREG1_32140.1
OG0001607	T265_15554	TREG1_96670.2, TREG1_96670.1, TREG1_96670.3
OG0001608	T265_08088	TREG1_68800.1
OG0001609	T265_02340	TREG1_103430.1, TREG1_103430.2, TREG1_103430.3, TREG1_103430.4
OG0001610	T265_05234	TREG1_135970.1, TREG1_135970.2
OG0001610	T265_14531	TREG1_143490.1, TREG1_52820.1
OG0001611	T265_01454	TREG1_85300.1
OG0001612	T265_06824	TREG1_12550.5, TREG1_12550.1, TREG1_12550.2, TREG1_12550.3, TREG1_12550.4, TREG1_12550.6
OG0001613	T265_02844	TREG1_104660.1
OG0001614	T265_06438, T265_00023, T265_08537	TREG1_40970.1, TREG1_40980.1
OG0001615	T265_08538	TREG1_40960.1, TREG1_40960.2
OG0001617	T265_01771, T265_12207	TREG1_71330.1
OG0001618	T265_02608	TREG1_58330.1
OG0001619	T265_00098	TREG1_72810.1
OG0001620	T265_07578, T265_07576	TREG1_55350.1, TREG1_55350.2
OG0001621	T265_11273	TREG1_14330.15, TREG1_14330.17, TREG1_14330.18, TREG1_14330.2, TREG1_14330.3, TREG1_14330.12, TREG1_14330.11, TREG1_14330.19, TREG1_14330.20, TREG1_14330.4, TREG1_14330.6, TREG1_14330.7, TREG1_14330.1, TREG1_14330.10, TREG1_14330.13, TREG1_14330.14, TREG1_14330.8, TREG1_14330.16, TREG1_14330.5, TREG1_14330.9
OG0001622	T265_12340, T265_16297	TREG1_118380.1, TREG1_114510.1, TREG1_114510.2
OG0001623	T265_00228, T265_08047	TREG1_8210.7, TREG1_8210.5, TREG1_8210.6, TREG1_8210.4, TREG1_8210.1, TREG1_8210.2, TREG1_8210.3
OG0001624	T265_09187	TREG1_57770.1, TREG1_57770.3, TREG1_57770.4, TREG1_57770.5, TREG1_57770.2
OG0001626	T265_11931	TREG1_51760.1
OG0001627	T265_02191	TREG1_105810.1, TREG1_105810.2, TREG1_105810.3, TREG1_105810.4
OG0001628	T265_05566	TREG1_27180.2, TREG1_27180.1, TREG1_27180.3
OG0001629	T265_01797	TREG1_10090.1, TREG1_10090.3, TREG1_10090.4, TREG1_10090.5, TREG1_10090.6, TREG1_10090.2
OG0001630	T265_02099	TREG1_11860.1, TREG1_11860.2
OG0001631	T265_03790	TREG1_125450.1, TREG1_125480.1
OG0001632	T265_14353	TREG1_91640.1
OG0001633	T265_10187	TREG1_134400.1, TREG1_134400.2, TREG1_134400.6, TREG1_134400.7, TREG1_134400.3, TREG1_134400.4, TREG1_134400.5
OG0001634	T265_00567	TREG1_125200.1
OG0001635	T265_06410, T265_15946	TREG1_3090.1
OG0001636	T265_05447	TREG1_107480.1, TREG1_107480.3, TREG1_107480.2
OG0001637	T265_08784	TREG1_78870.2, TREG1_78870.1, TREG1_78870.3, TREG1_78870.4
OG0001638	T265_05557	TREG1_8380.1
OG0001640	T265_06192	TREG1_24890.1, TREG1_24890.2
OG0001641	T265_13439	TREG1_119450.1, TREG1_119450.2, TREG1_119450.3
OG0001642	T265_11396	TREG1_61600.6, TREG1_61600.1, TREG1_61600.3, TREG1_61600.4, TREG1_61600.2, TREG1_61600.5
OG0001643	T265_09518	TREG1_87320.3, TREG1_87320.1, TREG1_87320.2
OG0001644	T265_04914	TREG1_67570.1, TREG1_67570.2, TREG1_67570.3, TREG1_67570.4, TREG1_67570.5
OG0001645	T265_10635	TREG1_132350.1
OG0001646	T265_09167	TREG1_74150.2, TREG1_74150.1, TREG1_74150.3, TREG1_74150.4
OG0001647	T265_04701	TREG1_40440.1, TREG1_40440.2
OG0001648	T265_01727	TREG1_97840.1
OG0001649	T265_04939	TREG1_27190.3, TREG1_27190.1, TREG1_27190.2
OG0001650	T265_07849	TREG1_101880.1, TREG1_101880.2, TREG1_101880.3
OG0001652	T265_14643	TREG1_103560.1, TREG1_103560.2, TREG1_103560.3, TREG1_103560.4
OG0001653	T265_12692	TREG1_9730.4, TREG1_9730.2, TREG1_9730.1, TREG1_9730.3
OG0001655	T265_08873	TREG1_91970.1
OG0001656	T265_01416, T265_13854	TREG1_121230.1
OG0001657	T265_02579	TREG1_44570.1, TREG1_44570.2, TREG1_44570.3
OG0001659	T265_05197	TREG1_40250.1, TREG1_40250.2
OG0001661	T265_08837, T265_12365	TREG1_64560.1
OG0001668	T265_09738	TREG1_48590.1, TREG1_48590.2, TREG1_48590.3
OG0001669	T265_14607	TREG1_54970.1
OG0001670	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981	TREG1_51010.1
OG0001671	T265_14634	TREG1_49110.2, TREG1_49110.3, TREG1_49110.1
OG0001672	T265_00750	TREG1_46520.1, TREG1_46520.2, TREG1_46520.3, TREG1_46520.4, TREG1_46520.5
OG0001673	T265_01379	TREG1_85050.6, TREG1_85050.7, TREG1_85050.1, TREG1_85050.2, TREG1_85050.3, TREG1_85050.4, TREG1_85050.5
OG0001675	T265_12874	TREG1_82930.1
OG0001676	T265_01615	TREG1_6120.1
OG0001677	T265_05762	TREG1_125940.1
OG0001680	T265_09371	TREG1_48390.1
OG0001681	T265_12663, T265_16018	TREG1_22710.1
OG0001682	T265_15158	TREG1_19820.1, TREG1_19820.2, TREG1_19820.3
OG0001683	T265_09590, T265_14893, T265_03749	TREG1_35540.3, TREG1_35540.1, TREG1_35540.2, TREG1_35540.4, TREG1_139930.1, TREG1_35510.1, TREG1_35530.1
OG0001684	T265_09014	TREG1_46130.1, TREG1_46120.1, TREG1_144370.1, TREG1_33000.1
OG0001685	T265_15090	TREG1_19910.1, TREG1_19910.2, TREG1_19910.3, TREG1_19910.4, TREG1_19860.1, TREG1_19870.1, TREG1_19900.1
OG0001686	T265_09608, T265_15908	TREG1_110840.1, TREG1_110840.2, TREG1_110840.3
OG0001687	T265_07419	TREG1_74170.1
OG0001688	T265_07388	TREG1_24150.2, TREG1_24150.3, TREG1_24150.7, TREG1_24150.8, TREG1_24150.5, TREG1_24150.6, TREG1_24150.4, TREG1_24150.9, TREG1_24150.1
OG0001689	T265_15368	TREG1_28940.1, TREG1_28950.1
OG0001690	T265_04514	TREG1_53430.1
OG0001691	T265_03200	TREG1_28000.1, TREG1_28000.2, TREG1_28000.3, TREG1_28000.4
OG0001692	T265_13395	TREG1_106600.1
OG0001694	T265_02240	TREG1_118720.1, TREG1_118720.2, TREG1_118720.3
OG0001695	T265_10771	TREG1_58550.1, TREG1_58550.2
OG0001696	T265_09913	TREG1_42620.1
OG0001697	T265_05671	TREG1_136230.4, TREG1_136230.1, TREG1_136230.3, TREG1_136230.2, TREG1_136230.5
OG0001698	T265_05919	TREG1_98090.1
OG0001699	T265_08126	TREG1_85860.1, TREG1_85860.2
OG0001701	T265_03185	TREG1_110690.1
OG0001702	T265_01458	TREG1_31100.1
OG0001703	T265_14685	TREG1_52610.1
OG0001704	T265_10332	TREG1_24770.1
OG0001705	T265_06950	TREG1_58630.1, TREG1_58630.2, TREG1_58630.3, TREG1_58630.4, TREG1_58630.5
OG0001706	T265_00105	TREG1_41810.1
OG0001707	T265_01410	TREG1_88710.1, TREG1_88710.2, TREG1_88710.3
OG0001708	T265_02720	TREG1_131360.1, TREG1_131360.2, TREG1_131360.3, TREG1_131360.4
OG0001709	T265_13976	TREG1_46740.1
OG0001710	T265_05358	TREG1_122180.1
OG0001711	T265_05328	TREG1_130210.1, TREG1_130220.1
OG0001712	T265_14005	TREG1_40400.2, TREG1_40400.5, TREG1_40400.9, TREG1_40400.4, TREG1_40400.8, TREG1_40400.3, TREG1_40400.7, TREG1_40400.1, TREG1_40400.6
OG0001713	T265_08885	TREG1_80100.1
OG0001714	T265_14693	TREG1_80110.1, TREG1_80120.1, TREG1_80130.1, TREG1_80120.2
OG0001715	T265_03710	TREG1_9480.1, TREG1_60020.1, TREG1_59980.9, TREG1_59980.6, TREG1_59980.5, TREG1_59980.7, TREG1_59980.8
OG0001716	T265_12518	TREG1_96380.1, TREG1_96380.3, TREG1_96380.6, TREG1_96380.2, TREG1_96380.5, TREG1_96380.4
OG0001717	T265_02968	TREG1_50130.1, TREG1_50130.2
OG0001718	T265_09214	TREG1_21050.4, TREG1_21050.5, TREG1_21050.1, TREG1_21050.3, TREG1_21050.2
OG0001719	T265_04478	TREG1_39560.1, TREG1_39560.2
OG0001720	T265_12689, T265_01853	TREG1_13900.1, TREG1_13900.2, TREG1_13900.3, TREG1_13900.6, TREG1_13900.4, TREG1_13900.5
OG0001721	T265_01466	TREG1_76040.1, TREG1_76020.1
OG0001722	T265_10430, T265_16265	TREG1_30370.1
OG0001723	T265_12870	TREG1_8030.1
OG0001724	T265_04056	TREG1_104060.4, TREG1_104060.3, TREG1_104060.1, TREG1_104060.2
OG0001725	T265_09161	TREG1_95500.1
OG0001726	T265_12576	TREG1_43950.1
OG0001726	T265_01638	TREG1_111960.1
OG0001727	T265_10361	TREG1_119500.1, TREG1_119490.1
OG0001728	T265_03905	TREG1_82270.1, TREG1_82260.1
OG0001729	T265_01004	TREG1_9710.1
OG0001731	T265_11635	TREG1_45300.1
OG0001732	T265_02819	TREG1_68370.1
OG0001733	T265_03326	TREG1_84780.4, TREG1_84780.1, TREG1_84780.2, TREG1_84780.3
OG0001734	T265_07463	TREG1_122340.1, TREG1_122340.2
OG0001735	T265_07057, T265_07056	TREG1_3960.1, TREG1_38830.5, TREG1_38830.1, TREG1_38830.4, TREG1_38830.2, TREG1_38830.3, TREG1_3950.1
OG0001736	T265_14980	TREG1_19770.4, TREG1_19770.2, TREG1_19770.3, TREG1_19770.1
OG0001737	T265_05187	TREG1_128500.1
OG0001738	T265_04467	TREG1_40380.2, TREG1_40380.1, TREG1_40380.3
OG0001739	T265_09719	TREG1_33210.2, TREG1_33210.1
OG0001740	T265_02848	TREG1_77030.1, TREG1_77030.2, TREG1_77030.3
OG0001741	T265_09400	TREG1_4640.1, TREG1_4640.2
OG0001742	T265_01766	TREG1_71340.1
OG0001744	T265_10654, T265_12595	TREG1_90490.1, TREG1_90490.2
OG0001745	T265_05962	TREG1_45380.1, TREG1_45370.1, TREG1_45400.2, TREG1_45400.1
OG0001746	T265_12992	TREG1_29980.1, TREG1_29980.2, TREG1_30170.1, TREG1_30170.2, TREG1_30170.5, TREG1_30170.4, TREG1_30170.3, TREG1_117280.1, TREG1_117280.2, TREG1_117280.3, TREG1_117280.4, TREG1_117280.6, TREG1_117280.5
OG0001747	T265_08419	TREG1_18550.2, TREG1_18550.1, TREG1_18550.3
OG0001748	T265_02528	TREG1_78430.3, TREG1_78430.4, TREG1_78430.8, TREG1_78430.1, TREG1_78430.5, TREG1_78430.6, TREG1_78430.7, TREG1_78430.2, TREG1_78430.9
OG0001749	T265_05162, T265_13920	TREG1_38680.1
OG0001750	T265_14641, T265_08679	TREG1_5200.1, TREG1_5200.3, TREG1_5200.2
OG0001751	T265_03745	TREG1_38420.1
OG0001752	T265_08775	TREG1_3530.1
OG0001754	T265_14140	TREG1_80760.1, TREG1_80750.1
OG0001755	T265_08222, T265_10918	TREG1_3750.1, TREG1_3750.2, TREG1_3760.1, TREG1_3760.2
OG0001756	T265_02705	TREG1_67880.1, TREG1_67880.2, TREG1_67880.3, TREG1_67880.4
OG0001757	T265_00117	TREG1_68780.1
OG0001758	T265_08429, T265_16089, T265_08430	TREG1_116870.1
OG0001759	T265_14874	TREG1_94380.4, TREG1_94380.1, TREG1_94380.2, TREG1_94380.3, TREG1_93480.2, TREG1_93480.1, TREG1_93480.3
OG0001760	T265_13963	TREG1_91310.1
OG0001761	T265_11120	TREG1_110140.1
OG0001762	T265_08963, T265_16323, T265_08964	TREG1_134140.1, TREG1_134130.1
OG0001763	T265_11384	TREG1_49810.1, TREG1_49810.2
OG0001764	T265_04595	TREG1_30440.5, TREG1_30440.2, TREG1_30440.3, TREG1_30440.1, TREG1_30440.4, TREG1_30440.6
OG0001765	T265_00502	TREG1_93330.1, TREG1_93330.2, TREG1_93330.3
OG0001766	T265_14565	TREG1_52140.4, TREG1_52140.3, TREG1_52140.5, TREG1_52140.1, TREG1_52140.2
OG0001767	T265_04548	TREG1_3900.1
OG0001768	T265_10297	TREG1_122190.6, TREG1_122190.3, TREG1_122190.1, TREG1_122190.2, TREG1_122190.5, TREG1_122190.4
OG0001769	T265_03947	TREG1_12880.1
OG0001770	T265_08230	TREG1_54370.2, TREG1_54370.4, TREG1_54370.5, TREG1_54370.1, TREG1_54370.3, TREG1_54370.6
OG0001771	T265_13913	TREG1_70260.1
OG0001772	T265_07572	TREG1_125690.1
OG0001773	T265_00534	TREG1_89900.1, TREG1_89900.2
OG0001774	T265_06888	TREG1_6180.1, TREG1_6180.3, TREG1_6180.4, TREG1_6180.5, TREG1_6180.6, TREG1_6180.2
OG0001775	T265_09040	TREG1_129470.1, TREG1_19360.1
OG0001776	T265_11140	TREG1_136200.1, TREG1_136200.2, TREG1_136200.3, TREG1_136200.4, TREG1_136200.5, TREG1_136200.6, TREG1_136200.7, TREG1_136200.8, TREG1_136200.9
OG0001777	T265_03011	TREG1_18980.1, TREG1_18980.2
OG0001778	T265_09376	TREG1_125770.1, TREG1_125770.3, TREG1_125770.4, TREG1_125770.2, TREG1_125770.5
OG0001780	T265_06467	TREG1_48790.1, TREG1_48780.1
