Orthogroup	opisthorchis_viverrini	schistosoma_mansoni
OG0001239	T265_03082	Smp_341050.1
OG0001240	T265_08224	Smp_146310.1
OG0001241	T265_00540	Smp_194710.1
OG0001241	T265_00343	Smp_069240.1
OG0001242	T265_00140, T265_06857	Smp_095360.1
OG0001243	T265_14770	Smp_344620.1
OG0001244	T265_13277	Smp_154250.1
OG0001245	T265_14234	Smp_305870.1
OG0001246	T265_02606	Smp_093950.1
OG0001247	T265_04001	Smp_041100.1
OG0001248	T265_13129	Smp_335650.1, Smp_067520.2, Smp_067520.1
OG0001249	T265_06475	Smp_342710.1
OG0001250	T265_08176	Smp_142970.1, Smp_142980.1
OG0001251	T265_12979	Smp_247620.1
OG0001252	T265_02686	Smp_045260.1
OG0001253	T265_13874	Smp_140770.1
OG0001254	T265_11321	Smp_301570.1, Smp_197230.1
OG0001255	T265_13521	Smp_133170.1
OG0001256	T265_02816	Smp_161250.1
OG0001257	T265_11892, T265_16136	Smp_321890.1
OG0001258	T265_13130	Smp_096760.1
OG0001259	T265_09345, T265_09949, T265_09950	Smp_080620.1
OG0001260	T265_14449, T265_07985, T265_15945	Smp_021590.1
OG0001261	T265_14931	Smp_078710.1
OG0001262	T265_09952	Smp_085540.2, Smp_085540.1
OG0001263	T265_04153	Smp_169890.1, Smp_169880.1
OG0001264	T265_03602	Smp_146410.1
OG0001265	T265_14950	Smp_132300.1
OG0001266	T265_01368	Smp_346940.1
OG0001267	T265_02946	Smp_012340.1
OG0001268	T265_10920	Smp_121190.1
OG0001269	T265_04251	Smp_016200.1
OG0001270	T265_15549	Smp_345920.1
OG0001271	T265_01405	Smp_342930.1
OG0001272	T265_09223	Smp_089100.1
OG0001273	T265_12104	Smp_127010.3, Smp_127010.1
OG0001275	T265_07335, T265_10840, T265_11809	Smp_147630.1
OG0001276	T265_00611	Smp_144390.1
OG0001277	T265_00220	Smp_332880.1
OG0001278	T265_01837	Smp_141970.1
OG0001281	T265_03870, T265_13351	Smp_313760.1, Smp_313760.2, Smp_313740.1, Smp_332670.1
OG0001288	T265_04400	Smp_140100.1
OG0001289	T265_07802	Smp_140840.1
OG0001290	T265_06266	Smp_120360.1
OG0001291	T265_02085	Smp_209040.1
OG0001292	T265_15256	Smp_346070.1
OG0001293	T265_08598, T265_02864	Smp_037540.1
OG0001294	T265_10701, T265_16370	Smp_140490.1
OG0001295	T265_09730	Smp_125810.1
OG0001296	T265_08476	Smp_330650.1
OG0001297	T265_04571	Smp_163290.1, Smp_163290.2
OG0001298	T265_07619	Smp_000040.1
OG0001300	T265_08424	Smp_245090.1
OG0001301	T265_00039	Smp_241750.1
OG0001302	T265_12500	Smp_153170.1
OG0001303	T265_10770	Smp_125800.1
OG0001304	T265_03829	Smp_087930.1
OG0001305	T265_07987	Smp_021550.1
OG0001306	T265_00541	Smp_075060.1, Smp_075060.2, Smp_162660.1
OG0001307	T265_01195	Smp_152710.1
OG0001307	T265_01660	Smp_314320.1
OG0001309	T265_13784	Smp_126850.1
OG0001310	T265_05987	Smp_163500.1
OG0001311	T265_11912	Smp_079860.1
OG0001312	T265_09660, T265_12061	Smp_094360.1
OG0001313	T265_13569, T265_16167	Smp_344870.1
OG0001314	T265_04550	Smp_179720.1
OG0001315	T265_13138	Smp_201760.1, Smp_073070.1
OG0001316	T265_04509	Smp_127240.2, Smp_127240.1
OG0001317	T265_09060	Smp_045920.1, Smp_045920.2
OG0001318	T265_13991	Smp_130680.1
OG0001319	T265_06528	Smp_344060.1
OG0001320	T265_08464	Smp_052350.1
OG0001321	T265_00915	Smp_345440.1
OG0001322	T265_03302	Smp_128130.1
OG0001323	T265_12486	Smp_130790.2, Smp_130790.1, Smp_130790.3
OG0001324	T265_14768	Smp_341920.1
OG0001325	T265_13829	Smp_198330.1
OG0001326	T265_12747	Smp_123340.1
OG0001327	T265_04765	Smp_046430.1
OG0001328	T265_08521, T265_16151	Smp_007710.1
OG0001330	T265_02990	Smp_012570.1
OG0001331	T265_13007	Smp_143480.1
OG0001332	T265_10139	Smp_004310.1
OG0001332	T265_00767	Smp_062890.2, Smp_062890.1
OG0001333	T265_03325	Smp_333640.1
OG0001334	T265_06833	Smp_133820.1
OG0001335	T265_08232	Smp_012740.1
OG0001336	T265_08608, T265_14629	Smp_159330.1, Smp_310230.1
OG0001338	T265_14448	Smp_144490.1
OG0001339	T265_15348	Smp_155370.1
OG0001340	T265_10344	Smp_116360.1, Smp_210650.1
OG0001341	T265_12020	Smp_070190.1
OG0001342	T265_14230	Smp_245860.1
OG0001343	T265_13062	Smp_062900.1, Smp_062900.3
OG0001344	T265_10971	Smp_207030.1
OG0001345	T265_01513	Smp_040190.1
OG0001346	T265_14870	Smp_345885.1, Smp_345880.1
OG0001347	T265_13036	Smp_301170.2, Smp_301170.1
OG0001348	T265_01495	Smp_019380.1
OG0001350	T265_14606	Smp_246620.1
OG0001351	T265_13461	Smp_342560.1
OG0001352	T265_05586	Smp_089650.2, Smp_089650.1
OG0001353	T265_04201	Smp_246550.1
OG0001354	T265_07793	Smp_018950.1
OG0001355	T265_14810, T265_10683	Smp_307950.1
OG0001356	T265_02268, T265_01960	Smp_089220.1
OG0001357	T265_02597, T265_15181	Smp_090980.1
OG0001361	T265_09022	Smp_035030.1
OG0001362	T265_07497	Smp_012900.1
OG0001363	T265_13550	Smp_144860.1
OG0001364	T265_11114	Smp_210130.1
OG0001365	T265_06976, T265_16366	Smp_042020.1
OG0001366	T265_09080	Smp_311200.1, Smp_311200.2
OG0001367	T265_06622	Smp_125280.1
OG0001368	T265_00192	Smp_130480.1
OG0001369	T265_01904, T265_15996	Smp_050890.1
OG0001370	T265_14639	Smp_204740.1
OG0001371	T265_04340	Smp_127440.1
OG0001372	T265_07978, T265_16138	Smp_144520.1
OG0001373	T265_00255	Smp_328230.1
OG0001374	T265_12908	Smp_132260.1
OG0001376	T265_03803	Smp_089400.1
OG0001377	T265_11911	Smp_129500.1
OG0001378	T265_12257	Smp_028440.1
OG0001379	T265_00091	Smp_169430.1
OG0001380	T265_12561	Smp_083480.1, Smp_083480.2
OG0001381	T265_12544, T265_00449	Smp_050830.1, Smp_050830.2
OG0001383	T265_11947	Smp_139060.1
OG0001384	T265_09759	Smp_247890.1
OG0001385	T265_01081	Smp_244700.2, Smp_244700.5, Smp_244700.1, Smp_244700.3, Smp_244700.4
OG0001386	T265_07152	Smp_345600.1
OG0001387	T265_14769	Smp_123165.1
OG0001388	T265_14723, T265_14724	Smp_147390.1
OG0001389	T265_12521	Smp_245480.1
OG0001390	T265_02614	Smp_147890.1, Smp_147890.2
OG0001391	T265_01912	Smp_180810.1
OG0001392	T265_10877	Smp_025550.1, Smp_025550.3, Smp_025550.2
OG0001393	T265_06210, T265_06211	Smp_142700.1, Smp_037960.1
OG0001394	T265_00453	Smp_345220.1, Smp_350000.1
OG0001395	T265_05397	Smp_073790.1
OG0001396	T265_04051	Smp_335960.1, Smp_146010.1
OG0001397	T265_05166	Smp_070710.1
OG0001398	T265_14744	Smp_155400.1
OG0001399	T265_07384	Smp_046780.1, Smp_009310.1
OG0001400	T265_13928	Smp_128070.1
OG0001401	T265_02697	Smp_245710.1
OG0001402	T265_07539, T265_03846	Smp_079400.1
OG0001403	T265_11145	Smp_137660.1
OG0001404	T265_08776	Smp_333330.1
OG0001405	T265_06509, T265_12170	Smp_066820.1
OG0001406	T265_02953	Smp_019900.1
OG0001408	T265_01105	Smp_152290.2, Smp_152290.1, Smp_152280.1
OG0001410	T265_01911	Smp_319370.1, Smp_032230.1
OG0001411	T265_09016	Smp_141150.1
OG0001412	T265_15135, T265_15134	Smp_246000.1
OG0001413	T265_15458	Smp_152940.1, Smp_152940.2
OG0001414	T265_06660	Smp_347700.2, Smp_347700.1
OG0001415	T265_12583	Smp_073290.1
OG0001416	T265_15557	Smp_136580.1
OG0001417	T265_01847	Smp_157770.1
OG0001418	T265_05264	Smp_171720.1, Smp_171720.2
OG0001420	T265_16318	Smp_082560.1
OG0001421	T265_06472	Smp_319130.1
OG0001422	T265_11255	Smp_042670.1
OG0001423	T265_04431	Smp_343580.1
OG0001424	T265_03034	Smp_347330.1
OG0001425	T265_07510	Smp_003250.2, Smp_003250.1
OG0001426	T265_14581	Smp_006190.1
OG0001427	T265_05041	Smp_337460.1
OG0001428	T265_02928	Smp_304030.1, Smp_304040.1
OG0001429	T265_12422	Smp_181120.1
OG0001431	T265_01123	Smp_123490.1
OG0001432	T265_10509	Smp_166080.1
OG0001433	T265_15424	Smp_051230.1, Smp_051230.2
OG0001434	T265_04812	Smp_166680.1
OG0001435	T265_14120	Smp_062420.1
OG0001436	T265_10576	Smp_042300.1
OG0001437	T265_12582	Smp_129700.1, Smp_328430.1
OG0001438	T265_03681	Smp_088250.1
OG0001439	T265_02218	Smp_053550.1, Smp_053550.2
OG0001440	T265_02878	Smp_301990.1, Smp_301990.2
OG0001441	T265_07339	Smp_025010.1
OG0001443	T265_09543	Smp_076150.1
OG0001444	T265_13620	Smp_211030.1
OG0001445	T265_09117	Smp_342290.1
OG0001453	T265_00365	Smp_245870.1
OG0001454	T265_02228	Smp_058140.2, Smp_058140.1, Smp_058140.3
OG0001455	T265_11649	Smp_097560.1
OG0001456	T265_05111	Smp_342870.1
OG0001457	T265_04536	Smp_166580.1
OG0001458	T265_04521	Smp_081200.1
OG0001459	T265_15689	Smp_327210.1, Smp_313440.1, Smp_327200.1, Smp_317020.1
OG0001460	T265_14339	Smp_132700.2, Smp_132700.1
OG0001461	T265_06464	Smp_035390.1
OG0001462	T265_07001	Smp_345300.1
OG0001463	T265_03664, T265_08711, T265_05105	Smp_345620.1
OG0001464	T265_09082	Smp_212080.1
OG0001465	T265_07647	Smp_145420.1
OG0001466	T265_14982	Smp_022110.1
OG0001467	T265_00617	Smp_326160.1, Smp_167880.2, Smp_167880.1
OG0001468	T265_06819	Smp_241470.1
OG0001469	T265_01693	Smp_150560.1
OG0001470	T265_14595, T265_15746	Smp_132550.1
OG0001471	T265_15237	Smp_029070.1
OG0001472	T265_08050	Smp_144370.1
OG0001473	T265_00769	Smp_008830.1
OG0001474	T265_11473	Smp_247270.1
OG0001475	T265_14342	Smp_311650.1
OG0001476	T265_05560	Smp_174230.1
OG0001477	T265_06773	Smp_105200.1
OG0001478	T265_00873	Smp_345630.1, Smp_345630.2
OG0001479	T265_08475	Smp_305050.1, Smp_305060.1
OG0001480	T265_01604	Smp_172810.1
OG0001481	T265_14626, T265_14628, T265_14627	Smp_310510.1, Smp_310510.2, Smp_310520.1
OG0001482	T265_05352	Smp_164010.1
OG0001483	T265_01269, T265_01266	Smp_341560.1
OG0001484	T265_10296	Smp_099160.1
OG0001485	T265_10549	Smp_172420.1
OG0001486	T265_02851	Smp_148460.1
OG0001487	T265_09627, T265_15615	Smp_129550.1, Smp_129580.1
OG0001488	T265_01494	Smp_132750.1
OG0001488	T265_04399, T265_08966	Smp_005790.1
OG0001489	T265_05991	Smp_003340.1
OG0001490	T265_13139	Smp_246460.1
OG0001491	T265_07832	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1
OG0001492	T265_04063, T265_04062	Smp_161220.1
OG0001493	T265_03979	Smp_210300.1
OG0001494	T265_14892, T265_09586	Smp_181040.1
OG0001495	T265_06435	Smp_019680.1
OG0001496	T265_01743	Smp_334250.1
OG0001497	T265_02802	Smp_098760.1
OG0001498	T265_03502	Smp_320530.1
OG0001499	T265_01557	Smp_199800.1
OG0001501	T265_04822	Smp_130260.1
OG0001502	T265_16258	Smp_244820.1, Smp_244820.2
OG0001503	T265_05097, T265_12399	Smp_154880.1
OG0001504	T265_03352	Smp_092810.1
OG0001505	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141	Smp_127770.1
OG0001506	T265_13987	Smp_132090.1
OG0001507	T265_01301	Smp_130020.1
OG0001508	T265_14041	Smp_054800.1
OG0001509	T265_09841, T265_15907	Smp_153930.1, Smp_247860.1
OG0001511	T265_10772	Smp_006590.1
OG0001512	T265_05456	Smp_092320.1
OG0001513	T265_14406	Smp_241410.1
OG0001514	T265_02478	Smp_340970.1
OG0001515	T265_03047, T265_13123	Smp_347370.1, Smp_021370.1
OG0001516	T265_07259	Smp_143780.1
OG0001517	T265_05985	Smp_097790.1, Smp_097790.2
OG0001518	T265_01746	Smp_153870.1, Smp_153870.2
OG0001519	T265_08195	Smp_150850.1
OG0001520	T265_06489	Smp_012030.1
OG0001521	T265_01208, T265_16307	Smp_245950.1
OG0001522	T265_14252	Smp_345770.1
OG0001523	T265_11980	Smp_171270.1
OG0001524	T265_02241	Smp_247650.1
OG0001525	T265_08346	Smp_136160.1
OG0001526	T265_00835	Smp_344110.1
OG0001527	T265_12883	Smp_156160.1
OG0001528	T265_08066	Smp_152060.1
OG0001529	T265_12570	Smp_104520.1
OG0001530	T265_09171	Smp_133590.1, Smp_133590.2, Smp_133590.3
OG0001531	T265_04383	Smp_323830.2, Smp_323830.1
OG0001533	T265_09632	Smp_047720.1
OG0001534	T265_02002	Smp_156630.1
OG0001535	T265_00031	Smp_123320.1
OG0001537	T265_07231, T265_07233	Smp_133900.1, Smp_133890.1
OG0001538	T265_04172	Smp_078240.1
OG0001539	T265_03334	Smp_156990.1
OG0001540	T265_04996	Smp_088460.1
OG0001541	T265_13925	Smp_039160.1
OG0001542	T265_07214	Smp_179010.1
OG0001543	T265_07128	Smp_321255.1
OG0001544	T265_12018	Smp_135990.1
OG0001546	T265_03376	Smp_346820.1, Smp_335570.1
OG0001547	T265_04460	Smp_345370.1
OG0001554	T265_03627	Smp_129020.1
OG0001555	T265_12003	Smp_138810.1, Smp_153890.1
OG0001556	T265_05427	Smp_140440.1
OG0001557	T265_02616	Smp_161380.1
OG0001558	T265_05296	Smp_053900.1
OG0001560	T265_03153	Smp_013080.1
OG0001561	T265_00466	Smp_310170.1
OG0001562	T265_07195, T265_14225, T265_14226, T265_14228	Smp_342970.1
OG0001563	T265_08071	Smp_005390.1
OG0001564	T265_09439, T265_09367, T265_15503	Smp_310760.1, Smp_310750.1
OG0001565	T265_13020, T265_13021	Smp_026930.1
OG0001566	T265_01168	Smp_210660.1
OG0001567	T265_11351	Smp_169670.1
OG0001568	T265_08844	Smp_090140.1
OG0001569	T265_08597, T265_06165	Smp_136510.1, Smp_136510.2
OG0001570	T265_14294, T265_15779	Smp_312440.1, Smp_312460.1
OG0001571	T265_06223, T265_06225	Smp_096480.1
OG0001572	T265_08929	Smp_127490.1
OG0001573	T265_14303	Smp_333140.1
OG0001574	T265_11245	Smp_005160.1, Smp_005160.2
OG0001575	T265_01850	Smp_158310.1, Smp_158310.3, Smp_158310.2
OG0001576	T265_05959	Smp_138880.1
OG0001577	T265_10560	Smp_133120.1
OG0001578	T265_03834	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3
OG0001579	T265_00891, T265_12293	Smp_267110.1
OG0001580	T265_11044, T265_11046	Smp_166370.1
OG0001581	T265_13097	Smp_151490.1, Smp_151490.2
OG0001582	T265_00284	Smp_021920.1
OG0001583	T265_07844	Smp_170570.1
OG0001584	T265_13141, T265_00101, T265_14080	Smp_139470.1
OG0001585	T265_13043	Smp_049580.1
OG0001586	T265_08001	Smp_015390.1
OG0001587	T265_00980	Smp_161080.1, Smp_161080.2
OG0001588	T265_09362	Smp_085080.1
OG0001590	T265_05785	Smp_142210.1
OG0001591	T265_02753	Smp_332360.1
OG0001592	T265_07090, T265_10582	Smp_210520.1, Smp_210520.2
OG0001593	T265_05613	Smp_162600.1
OG0001594	T265_10080	Smp_127600.1
OG0001595	T265_11438	Smp_300810.1
OG0001596	T265_05252, T265_13230	Smp_038080.1
OG0001597	T265_02935	Smp_027430.1
OG0001598	T265_00351	Smp_001410.1
OG0001599	T265_10881	Smp_087010.1
OG0001600	T265_08507	Smp_093220.1
OG0001601	T265_12251, T265_13640	Smp_246360.1
OG0001602	T265_06910	Smp_153640.1
OG0001604	T265_10406	Smp_332680.1
OG0001605	T265_09891	Smp_241450.1
OG0001606	T265_10728	Smp_241980.1
OG0001607	T265_15554	Smp_150680.1
OG0001608	T265_08088	Smp_082670.1
OG0001609	T265_02340	Smp_213490.1
OG0001610	T265_05234	Smp_342160.1
OG0001610	T265_14531	Smp_008260.1
OG0001611	T265_01454	Smp_137950.1, Smp_137950.2
OG0001612	T265_06824	Smp_021540.1
OG0001613	T265_02844	Smp_008710.1
OG0001614	T265_06438, T265_00023, T265_08537	Smp_148650.1
OG0001615	T265_08538	Smp_049500.1
OG0001617	T265_01771, T265_12207	Smp_047540.2, Smp_047540.1
OG0001618	T265_02608	Smp_170350.1
OG0001619	T265_00098	Smp_147560.1
OG0001620	T265_07578, T265_07576	Smp_136180.1
OG0001621	T265_11273	Smp_015690.1
OG0001622	T265_12340, T265_16297	Smp_143970.1
OG0001623	T265_00228, T265_08047	Smp_127280.1
OG0001624	T265_09187	Smp_161370.1
OG0001626	T265_11931	Smp_033710.1
OG0001627	T265_02191	Smp_149950.1
OG0001628	T265_05566	Smp_038030.1
OG0001629	T265_01797	Smp_188430.1
OG0001631	T265_03790	Smp_024900.1
OG0001632	T265_14353	Smp_122370.1
OG0001633	T265_10187	Smp_210370.1
OG0001634	T265_00567	Smp_172220.1
OG0001635	T265_06410, T265_15946	Smp_138610.1
OG0001636	T265_05447	Smp_145180.1
OG0001637	T265_08784	Smp_105680.1
OG0001638	T265_05557	Smp_096210.1
OG0001640	T265_06192	Smp_155030.1
OG0001641	T265_13439	Smp_087520.2, Smp_087520.1
OG0001642	T265_11396	Smp_346030.1, Smp_346030.2
OG0001643	T265_09518	Smp_121800.1, Smp_121800.2
OG0001644	T265_04914	Smp_157320.1
OG0001645	T265_10635	Smp_196880.1, Smp_196880.2
OG0001646	T265_09167	Smp_096520.1
OG0001647	T265_04701	Smp_157540.1
OG0001648	T265_01727	Smp_150300.2, Smp_150300.1, Smp_150300.3
OG0001649	T265_04939	Smp_163310.1
OG0001650	T265_07849	Smp_104870.1
OG0001652	T265_14643	Smp_103530.1
OG0001653	T265_12692	Smp_170060.1
OG0001655	T265_08873	Smp_167630.1, Smp_167630.2
OG0001656	T265_01416	Smp_158140.1
OG0001657	T265_02579	Smp_093540.1
OG0001659	T265_05197	Smp_078540.1, Smp_309610.1, Smp_319390.1
OG0001661	T265_08837, T265_12365	Smp_333880.1
OG0001668	T265_09738	Smp_035260.1
OG0001669	T265_14607	Smp_034090.1
OG0001670	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981	Smp_045200.1
OG0001671	T265_14634	Smp_165980.1
OG0001672	T265_00750	Smp_085150.1
OG0001673	T265_01379	Smp_007550.1
OG0001675	T265_12874	Smp_030330.1
OG0001676	T265_01615	Smp_103100.1
OG0001677	T265_05762	Smp_169930.2, Smp_169930.1
OG0001680	T265_09371	Smp_035190.1
OG0001681	T265_12663, T265_16018	Smp_170170.1
OG0001682	T265_15158	Smp_347960.1
OG0001683	T265_09590, T265_14893, T265_03749	Smp_337440.1
OG0001684	T265_09014	Smp_346160.1, Smp_328240.1
OG0001685	T265_15090	Smp_244390.1, Smp_135250.1
OG0001686	T265_09608, T265_15908	Smp_173240.1
OG0001687	T265_07419	Smp_311790.1, Smp_311780.1
OG0001688	T265_07388	Smp_026540.1
OG0001689	T265_15368	Smp_345190.1, Smp_131580.1
OG0001690	T265_04514	Smp_246690.1
OG0001691	T265_03200	Smp_157100.1
OG0001692	T265_13395	Smp_126460.1
OG0001694	T265_02240	Smp_153350.1
OG0001695	T265_10771	Smp_006630.1
OG0001696	T265_09913	Smp_149640.1
OG0001697	T265_05671	Smp_057430.1
OG0001698	T265_05919	Smp_041750.1
OG0001699	T265_08126	Smp_346310.1
OG0001700	T265_09892	Smp_306140.3, Smp_306140.1, Smp_306140.2
OG0001701	T265_03185	Smp_013210.1, Smp_129310.1
OG0001702	T265_01458	Smp_131800.1
OG0001703	T265_14685	Smp_027970.1
OG0001704	T265_10332	Smp_135280.1
OG0001705	T265_06950	Smp_124340.1
OG0001706	T265_00105	Smp_140590.1
OG0001707	T265_01410	Smp_309430.1
OG0001708	T265_02720	Smp_332300.1
OG0001709	T265_13976	Smp_101820.1
OG0001710	T265_05358	Smp_336280.1
OG0001711	T265_05328	Smp_127810.2, Smp_127810.1
OG0001712	T265_14005	Smp_181160.1
OG0001713	T265_08885	Smp_098920.1
OG0001714	T265_14693	Smp_316660.1, Smp_316660.2
OG0001715	T265_03710	Smp_130980.1
OG0001716	T265_12518	Smp_142090.1
OG0001717	T265_02968	Smp_020370.1
OG0001718	T265_09214	Smp_350020.1, Smp_341720.1
OG0001719	T265_04478	Smp_125050.1
OG0001720	T265_12689, T265_01853	Smp_066760.1
OG0001721	T265_01466	Smp_032800.1, Smp_032820.1
OG0001722	T265_10430, T265_16265	Smp_143070.1, Smp_143070.2
OG0001723	T265_12870	Smp_165470.1
OG0001724	T265_04056	Smp_334100.1
OG0001725	T265_09161	Smp_026030.1
OG0001726	T265_12576	Smp_097490.1
OG0001726	T265_01638	Smp_212780.1
OG0001727	T265_10361	Smp_315490.1, Smp_315480.1
OG0001728	T265_03905	Smp_313810.1, Smp_341280.1
OG0001729	T265_01004	Smp_244630.2, Smp_244630.1
OG0001731	T265_11635	Smp_012720.1
OG0001732	T265_02819	Smp_310620.1
OG0001733	T265_03326	Smp_150470.1
OG0001734	T265_07463	Smp_164130.1
OG0001735	T265_07057, T265_07056	Smp_176010.1
OG0001736	T265_14980	Smp_267140.2, Smp_267140.1
OG0001737	T265_05187	Smp_009400.1
OG0001738	T265_04467	Smp_159160.1
OG0001739	T265_09719	Smp_072370.1
OG0001740	T265_02848	Smp_140760.1
OG0001741	T265_09400	Smp_348840.1, Smp_348840.2, Smp_007630.1, Smp_007630.2
OG0001742	T265_01766	Smp_211100.1
OG0001744	T265_10654, T265_12595	Smp_099930.1
OG0001745	T265_05962	Smp_133270.1
OG0001746	T265_12992	Smp_058050.1, Smp_058050.2
OG0001747	T265_08419	Smp_245100.1
OG0001748	T265_02528	Smp_029370.1
OG0001749	T265_05162, T265_13920	Smp_181050.1
OG0001750	T265_14641, T265_08679	Smp_139090.1
OG0001751	T265_03745	Smp_103160.1
OG0001752	T265_08775	Smp_101970.1
OG0001754	T265_14140	Smp_194730.1
OG0001755	T265_08222, T265_10918	Smp_085240.1
OG0001756	T265_02705	Smp_129630.1
OG0001757	T265_00117	Smp_171140.1, Smp_171140.2
OG0001758	T265_08429, T265_16089, T265_08430	Smp_143920.3, Smp_143920.1, Smp_143920.2
OG0001759	T265_14874	Smp_083990.1
OG0001760	T265_13963	Smp_000300.1
OG0001761	T265_11120	Smp_329130.1, Smp_171490.1
OG0001762	T265_08963, T265_16323, T265_08964	Smp_346390.1
OG0001763	T265_11384	Smp_120920.1
OG0001764	T265_04595	Smp_151310.1
OG0001765	T265_00502	Smp_019040.1
OG0001766	T265_14565	Smp_176410.2, Smp_176410.1
OG0001767	T265_04548	Smp_031050.1
OG0001768	T265_10297	Smp_331170.2, Smp_331170.1
OG0001769	T265_03947	Smp_125930.1
OG0001770	T265_08230	Smp_136110.1
OG0001771	T265_13913	Smp_049000.1
OG0001772	T265_07572	Smp_172530.1
OG0001773	T265_00534	Smp_084380.1
OG0001774	T265_06888	Smp_139980.1
OG0001775	T265_09040	Smp_130410.1
OG0001776	T265_11140	Smp_166660.1, Smp_166660.2
OG0001777	T265_03011	Smp_104720.1
OG0001778	T265_09376	Smp_154270.1, Smp_154270.2
OG0001780	T265_06467	Smp_035310.1
OG0001781	T265_13075	Smp_213810.1
OG0001782	T265_03902	Smp_030000.1
OG0001783	T265_03631	Smp_012860.1
OG0001784	T265_04098, T265_15912	Smp_122030.1
OG0001785	T265_07505	Smp_346470.1
OG0001786	T265_02513	Smp_156270.1
OG0001787	T265_13198	Smp_099310.1, Smp_099310.2
OG0001789	T265_06187	Smp_176080.1
OG0001790	T265_13300	Smp_059810.1
OG0001791	T265_08401, T265_08403	Smp_163970.1, Smp_172590.1
OG0001792	T265_00418	Smp_080100.1
OG0001793	T265_07358	Smp_149420.1
OG0001794	T265_10719	Smp_019030.1
OG0001801	T265_04593	Smp_340310.1
OG0001803	T265_09341	Smp_060660.1, Smp_154730.1
OG0001804	T265_12618	Smp_056930.1
OG0001805	T265_13514, T265_13513	Smp_143260.1, Smp_143260.2
OG0001806	T265_07409	Smp_315780.1, Smp_315780.2
OG0001807	T265_11444	Smp_018160.1
OG0001808	T265_10905	Smp_306810.1
OG0001809	T265_13772	Smp_126020.1
OG0001810	T265_07900	Smp_340650.1, Smp_340650.2
OG0001812	T265_14122	Smp_244230.1
OG0001813	T265_09076	Smp_333090.1
OG0001814	T265_10976	Smp_024660.1
OG0001815	T265_06116	Smp_124660.1
OG0001816	T265_15353	Smp_131030.1
OG0001817	T265_13431	Smp_054600.1
OG0001818	T265_12286, T265_06859, T265_15980	Smp_046810.1
OG0001819	T265_02288	Smp_039670.1, Smp_039670.2
OG0001820	T265_04186	Smp_018360.1
OG0001821	T265_09614	Smp_165490.1
OG0001821	T265_03362	Smp_030710.1
OG0001822	T265_11066, T265_04529	Smp_127940.1
OG0001823	T265_11105	Smp_163790.1
OG0001825	T265_02352	Smp_247360.1
OG0001826	T265_00277	Smp_166550.1
OG0001827	T265_12935	Smp_213070.1, Smp_213060.1
OG0001828	T265_01213	Smp_049140.1, Smp_049140.2, Smp_049140.3
OG0001829	T265_11088	Smp_120700.1
OG0001829	T265_11086	Smp_086590.1
OG0001830	T265_15921	Smp_159910.1
OG0001831	T265_03336	Smp_197480.1
OG0001834	T265_00004	Smp_156670.1
OG0001835	T265_06643, T265_14089	Smp_099030.1, Smp_099030.2
OG0001836	T265_14559	Smp_304090.1, Smp_304090.2, Smp_322130.1
OG0001837	T265_08769	Smp_136280.1, Smp_136280.3, Smp_136280.2
OG0001838	T265_03743	Smp_085830.1, Smp_085830.2
OG0001839	T265_12526	Smp_099630.1
OG0001840	T265_13580	Smp_142640.1, Smp_142640.3, Smp_142640.2
OG0001841	T265_07181	Smp_142770.1
OG0001842	T265_15657	Smp_144750.1
OG0001843	T265_04469, T265_13561	Smp_159150.1
OG0001844	T265_03040	Smp_180180.1, Smp_316540.1
OG0001845	T265_14549	Smp_134530.1
OG0001846	T265_10397	Smp_306640.1
OG0001847	T265_11864	Smp_134370.1
OG0001848	T265_14403, T265_14401, T265_07830	Smp_158730.1
OG0001849	T265_00607	Smp_214060.1
OG0001850	T265_00010	Smp_137040.1
OG0001851	T265_01360	Smp_049150.1
OG0001852	T265_05433	Smp_094870.1
OG0001853	T265_02922, T265_11897	Smp_171620.2, Smp_171620.1, Smp_028190.1
OG0001854	T265_09648	Smp_335950.1, Smp_332370.1, Smp_331960.1
OG0001855	T265_00165	Smp_179930.1
OG0001856	T265_10021	Smp_150890.1
OG0001857	T265_04055	Smp_174630.1
OG0001858	T265_02220, T265_04712	Smp_342620.1, Smp_342620.2
OG0001859	T265_06498	Smp_011980.1
OG0001860	T265_03438, T265_03772, T265_13321	Smp_165420.1
OG0001861	T265_01225	Smp_145310.1
OG0001862	T265_10909	Smp_304320.1
OG0001863	T265_01043, T265_01044	Smp_325900.1, Smp_324100.1, Smp_316850.1
OG0001864	T265_01749	Smp_042990.1
OG0001866	T265_09747	Smp_247980.2, Smp_247980.1
OG0001867	T265_13218, T265_13219	Smp_147330.1
OG0001868	T265_04412	Smp_348670.1, Smp_006920.1
OG0001869	T265_05535	Smp_155050.1
OG0001870	T265_00132	Smp_164540.1
OG0001871	T265_13828	Smp_152130.1
OG0001872	T265_03393	Smp_150590.1, Smp_340880.1, Smp_340880.2
OG0001873	T265_08992	Smp_115290.1
OG0001874	T265_03234, T265_13196	Smp_158430.1
