Orthogroup	opisthorchis_viverrini	schistosoma_japonicum
OG0001700	T265_09892	EWB00_002364.1, EWB00_002364.2
OG0001701	T265_03185	EWB00_007308.1, EWB00_007308.2
OG0001702	T265_01458	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3
OG0001703	T265_14685	EWB00_006853.1, EWB00_006853.2
OG0001704	T265_10332	EWB00_004801
OG0001705	T265_06950	EWB00_001120, EWB00_001119
OG0001706	T265_00105	EWB00_011216.2, EWB00_011216.5, EWB00_011216.3, EWB00_011216.4, EWB00_011216.1, EWB00_011216.6
OG0001707	T265_01410	EWB00_000916.1, EWB00_000916.2
OG0001708	T265_02720	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6
OG0001709	T265_13976	EWB00_006047
OG0001710	T265_05358	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2
OG0001711	T265_05328	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2
OG0001712	T265_14005	EWB00_004726
OG0001713	T265_08885	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4
OG0001714	T265_14693	EWB00_005184
OG0001715	T265_03710	EWB00_007067.2, EWB00_007067.4, EWB00_007067.1, EWB00_007067.3
OG0001716	T265_12518	EWB00_009167.1, EWB00_009167.2
OG0001717	T265_02968	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2
OG0001718	T265_09214	EWB00_002352.1, EWB00_002352.2
OG0001719	T265_04478	EWB00_009251
OG0001720	T265_12689, T265_01853	EWB00_008445.1, EWB00_008445.2
OG0001721	T265_01466	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4, EWB00_005128.1, EWB00_005128.2
OG0001722	T265_10430, T265_16265	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1
OG0001723	T265_12870	EWB00_005542
OG0001724	T265_04056	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3
OG0001725	T265_09161	EWB00_006118.1, EWB00_006118.2
OG0001726	T265_12576	EWB00_004248
OG0001726	T265_01638	EWB00_010136, EWB00_010137
OG0001727	T265_10361	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982
OG0001728	T265_03905	EWB00_005587
OG0001729	T265_01004	EWB00_004669
OG0001731	T265_11635	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3
OG0001732	T265_02819	EWB00_010708
OG0001733	T265_03326	EWB00_006579.1, EWB00_006579.2
OG0001734	T265_07463	EWB00_000355.1, EWB00_000355.2
OG0001735	T265_07057, T265_07056	EWB00_008027
OG0001736	T265_14980	EWB00_000076
OG0001737	T265_05187	EWB00_008580
OG0001738	T265_04467	EWB00_004730
OG0001739	T265_09719	EWB00_004148
OG0001740	T265_02848	EWB00_000764
OG0001741	T265_09400	EWB00_000113.2, EWB00_000113.1
OG0001742	T265_01766	EWB00_009309
OG0001744	T265_10654, T265_12595	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4
OG0001745	T265_05962	EWB00_001325
OG0001746	T265_12992	EWB00_008300
OG0001747	T265_08419	EWB00_010827
OG0001748	T265_02528	EWB00_009580
OG0001749	T265_05162, T265_13920	EWB00_008038.2, EWB00_008038.1, EWB00_008038.3
OG0001750	T265_14641, T265_08679	EWB00_004829.1, EWB00_004829.2, EWB00_004830
OG0001751	T265_03745	EWB00_005046.1, EWB00_005046.2
OG0001752	T265_08775	EWB00_009191.1, EWB00_009191.2
OG0001754	T265_14140	EWB00_003866
OG0001755	T265_08222, T265_10918	EWB00_009019.3, EWB00_009019.4, EWB00_009019.5, EWB00_009019.1, EWB00_009019.2
OG0001756	T265_02705	EWB00_005339.4, EWB00_005339.2, EWB00_005339.7, EWB00_005339.3, EWB00_005339.1, EWB00_005339.5, EWB00_005339.6
OG0001757	T265_00117	EWB00_008089.1, EWB00_008089.2
OG0001758	T265_08429, T265_16089, T265_08430	EWB00_008645.1, EWB00_008645.2
OG0001759	T265_14874	EWB00_006252
OG0001760	T265_13963	EWB00_009898, EWB00_005773
OG0001761	T265_11120	EWB00_011085, EWB00_008774.1, EWB00_008774.2
OG0001762	T265_08963, T265_16323, T265_08964	EWB00_006675.1, EWB00_006675.2
OG0001763	T265_11384	EWB00_007453.1, EWB00_007453.2
OG0001764	T265_04595	EWB00_003107
OG0001765	T265_00502	EWB00_006261
OG0001766	T265_14565	EWB00_003400
OG0001767	T265_04548	EWB00_009027
OG0001768	T265_10297	EWB00_011364.1, EWB00_011364.2, EWB00_011364.3
OG0001769	T265_03947	EWB00_007867
OG0001770	T265_08230	EWB00_008145.1, EWB00_008145.2
OG0001771	T265_13913	EWB00_010612
OG0001772	T265_07572	EWB00_001858
OG0001773	T265_00534	EWB00_008867
OG0001774	T265_06888	EWB00_008539
OG0001775	T265_09040	EWB00_005423
OG0001776	T265_11140	EWB00_001450
OG0001777	T265_03011	EWB00_006296.2, EWB00_006296.3, EWB00_006296.4, EWB00_006296.5, EWB00_010820.2, EWB00_006296.1, EWB00_010820.1
OG0001778	T265_09376	EWB00_001931.1, EWB00_001931.2, EWB00_001931.3
OG0001780	T265_06467	EWB00_003266
OG0001781	T265_13075	EWB00_005839.1, EWB00_005839.2
OG0001782	T265_03902	EWB00_009818.6, EWB00_009818.4, EWB00_009818.1, EWB00_009818.2, EWB00_009818.5, EWB00_009818.3
OG0001783	T265_03631	EWB00_002890
OG0001784	T265_04098, T265_15912	EWB00_002793.1, EWB00_002793.2, EWB00_002793.3, EWB00_002793.4, EWB00_002793.5, EWB00_002793.6
OG0001785	T265_07505	EWB00_007557
OG0001786	T265_02513	EWB00_010439
OG0001787	T265_13198	EWB00_007555
OG0001789	T265_06187	EWB00_008564.2, EWB00_008564.4, EWB00_008564.3, EWB00_008564.1, EWB00_008564.5
OG0001790	T265_13300	EWB00_003915.3, EWB00_003915.4, EWB00_003915.1, EWB00_003915.2, EWB00_003915.5
OG0001791	T265_08401, T265_08403	EWB00_004963.1, EWB00_004963.2, EWB00_004963.3, EWB00_007370
OG0001792	T265_00418	EWB00_001226.2, EWB00_001226.1, EWB00_001226.3
OG0001793	T265_07358	EWB00_011395.1, EWB00_011395.2
OG0001794	T265_10719	EWB00_006260.4, EWB00_006260.2, EWB00_006260.3, EWB00_006260.1, EWB00_006260.5
OG0001801	T265_04593	EWB00_009398
OG0001803	T265_09341	EWB00_002837.1, EWB00_002837.2, EWB00_002837.3, EWB00_002836
OG0001804	T265_12618	EWB00_002126
OG0001805	T265_13514, T265_13513	EWB00_000017.1, EWB00_000017.2, EWB00_000017.3
OG0001806	T265_07409	EWB00_006638, EWB00_006641
OG0001807	T265_11444	EWB00_004204
OG0001808	T265_10905	EWB00_000043, EWB00_001027
OG0001809	T265_13772	EWB00_002951.2, EWB00_002951.1, EWB00_002951.3
OG0001810	T265_07900	EWB00_002054.3, EWB00_002054.2, EWB00_002054.1
OG0001812	T265_14122	EWB00_001383.1, EWB00_001383.2
OG0001813	T265_09076	EWB00_008448, EWB00_008454
OG0001814	T265_10976	EWB00_007255.3, EWB00_007255.2, EWB00_007255.4, EWB00_007255.1
OG0001815	T265_06116	EWB00_006877
OG0001816	T265_15353	EWB00_008962
OG0001817	T265_13431	EWB00_006214.2, EWB00_006214.6, EWB00_006214.7, EWB00_006214.1, EWB00_006214.3, EWB00_006214.4, EWB00_006214.5
OG0001818	T265_12286, T265_06859, T265_15980	EWB00_007620.2, EWB00_007620.3, EWB00_007620.1
OG0001819	T265_02288	EWB00_010311.1, EWB00_010311.2
OG0001820	T265_04186	EWB00_011327.1, EWB00_011327.2
OG0001821	T265_09614	EWB00_008776.2, EWB00_008776.1
OG0001821	T265_03362	EWB00_003220.1, EWB00_003220.2, EWB00_003220.3
OG0001822	T265_11066, T265_04529	EWB00_000791
OG0001823	T265_11105	EWB00_006130
OG0001825	T265_02352	EWB00_005323.1, EWB00_005323.4, EWB00_005323.2, EWB00_005323.3
OG0001826	T265_00277	EWB00_006283
OG0001827	T265_02155, T265_12935	EWB00_004569
OG0001828	T265_01213	EWB00_010656
OG0001829	T265_11088	EWB00_003359
OG0001831	T265_03336	EWB00_008871
OG0001834	T265_00004	EWB00_011028
OG0001835	T265_06643, T265_14089	EWB00_007631
OG0001836	T265_14559	EWB00_007589.1, EWB00_007589.2, EWB00_007589.3
OG0001837	T265_08769	EWB00_008945.1, EWB00_008945.2
OG0001838	T265_03743	EWB00_005045.3, EWB00_005045.1, EWB00_005045.2, EWB00_005045.4, EWB00_005045.5
OG0001839	T265_12526	EWB00_005382.3, EWB00_005382.4, EWB00_005382.5, EWB00_005382.1, EWB00_005382.2
OG0001840	T265_13580	EWB00_003145.2, EWB00_003145.1, EWB00_003145.3, EWB00_003145.4
OG0001841	T265_07181	EWB00_003124, EWB00_009787
OG0001842	T265_15657	EWB00_000568.1, EWB00_000568.2, EWB00_000568.3
OG0001843	T265_04469, T265_13561	EWB00_004731.1, EWB00_004731.2
OG0001844	T265_03040	EWB00_006557
OG0001845	T265_14549	EWB00_001437
OG0001846	T265_10397	EWB00_005010.1, EWB00_005010.2
OG0001847	T265_11864	EWB00_009082
OG0001848	T265_14403, T265_14401, T265_07830	EWB00_006326
OG0001849	T265_00607	EWB00_009871.2, EWB00_009871.1, EWB00_009871.3, EWB00_009871.4
OG0001850	T265_00010	EWB00_004542
OG0001851	T265_01360	EWB00_010657.1, EWB00_010657.2
OG0001852	T265_05433	EWB00_009114
OG0001853	T265_02922, T265_11897	EWB00_001639.2, EWB00_001639.1, EWB00_001639.3, EWB00_001639.4, EWB00_001639.5, EWB00_001639.6
OG0001854	T265_09648	EWB00_003747
OG0001855	T265_00165	EWB00_001590.1, EWB00_001590.2, EWB00_001590.3
OG0001856	T265_10021	EWB00_007149.2, EWB00_007149.1
OG0001857	T265_04055	EWB00_011005.1, EWB00_011005.2
OG0001858	T265_02220, T265_04712	EWB00_008289.1, EWB00_008289.2
OG0001859	T265_06498	EWB00_008660
OG0001860	T265_03438, T265_03772, T265_13321	EWB00_010601, EWB00_000663.1, EWB00_000663.2
OG0001861	T265_01225	EWB00_001369.1, EWB00_001369.2
OG0001862	T265_10909	EWB00_004860
OG0001863	T265_01043, T265_01044	EWB00_009680, EWB00_000659
OG0001864	T265_01749	EWB00_001182.7, EWB00_001182.6, EWB00_001182.5, EWB00_001182.1, EWB00_001182.3, EWB00_001182.2, EWB00_001182.4
OG0001866	T265_09747	EWB00_001683.1, EWB00_001683.2, EWB00_001683.3
OG0001867	T265_13218, T265_13219	EWB00_007616.1, EWB00_007616.2
OG0001868	T265_04412	EWB00_007873.2, EWB00_007873.1
OG0001869	T265_05535	EWB00_002497, EWB00_002496
OG0001870	T265_00132	EWB00_005310.1, EWB00_005310.2
OG0001871	T265_13828	EWB00_006383
OG0001872	T265_03393	EWB00_001508.4, EWB00_001508.3, EWB00_001508.1, EWB00_001508.2
OG0001873	T265_08992	EWB00_008148.1, EWB00_008148.2, EWB00_008148.3
OG0001874	T265_03234, T265_13196	EWB00_001525, EWB00_001528.1, EWB00_001528.2
OG0001875	T265_15589, T265_15590, T265_11880, T265_11881	EWB00_008995.1, EWB00_008995.2, EWB00_008995.3
OG0001876	T265_03702	EWB00_002412.2, EWB00_002412.3, EWB00_002412.1, EWB00_002412.4
OG0001879	T265_05975	EWB00_008037.1, EWB00_008037.6, EWB00_008037.2, EWB00_008037.3, EWB00_008037.4, EWB00_008037.5
OG0001880	T265_15623, T265_15873	EWB00_010357.1, EWB00_010357.2
OG0001881	T265_09881, T265_16342	EWB00_011255
OG0001882	T265_02934	EWB00_010945
OG0001883	T265_00246	EWB00_007343
OG0001884	T265_08008, T265_16260	EWB00_003270
OG0001885	T265_03198	EWB00_009963, EWB00_009964, EWB00_004694
OG0001886	T265_10249	EWB00_004977.1, EWB00_004977.2
OG0001887	T265_05895, T265_07671	EWB00_005903.1, EWB00_005903.2
OG0001888	T265_14220	EWB00_003971
OG0001889	T265_11606	EWB00_009141.1, EWB00_009141.2
OG0001890	T265_08599	EWB00_010808.1, EWB00_010808.2, EWB00_010808.3
OG0001891	T265_01391	EWB00_002104
OG0001892	T265_15428	EWB00_001252.1, EWB00_001252.2, EWB00_001252.3, EWB00_001252.4
OG0001893	T265_09740	EWB00_001721.3, EWB00_001721.2, EWB00_001721.1
OG0001894	T265_12840	EWB00_003770
OG0001895	T265_11728	EWB00_009690, EWB00_009691
OG0001896	T265_09000	EWB00_004132
OG0001897	T265_13908	EWB00_007394.1, EWB00_007394.3, EWB00_007394.2
OG0001898	T265_04800	EWB00_005570
OG0001899	T265_03996	EWB00_006215
OG0001900	T265_05713	EWB00_007260.2, EWB00_007260.1
OG0001901	T265_07537	EWB00_005993
OG0001903	T265_06552, T265_06554	EWB00_004495.1, EWB00_004495.2, EWB00_004495.3
OG0001904	T265_10321	EWB00_002306
OG0001905	T265_06569	EWB00_010033, EWB00_010032
OG0001906	T265_13479	EWB00_009148.1, EWB00_009148.2, EWB00_009148.4, EWB00_009148.3
OG0001907	T265_14805	EWB00_008532.1, EWB00_008532.2, EWB00_008532.3
OG0001908	T265_04923	EWB00_000904.1, EWB00_000904.2
OG0001909	T265_08757	EWB00_005840.4, EWB00_005840.1, EWB00_005840.5, EWB00_005840.2, EWB00_005840.3
OG0001910	T265_11579	EWB00_004369.1, EWB00_004369.3, EWB00_004369.2
OG0001911	T265_08739, T265_08740	EWB00_005397.1, EWB00_005397.2, EWB00_005397.3, EWB00_005397.4
OG0001912	T265_05946	EWB00_007504
OG0001913	T265_02936	EWB00_004541.1, EWB00_004541.2, EWB00_004541.3, EWB00_004541.4, EWB00_004541.5
OG0001914	T265_04183	EWB00_011318.1, EWB00_011318.3, EWB00_011318.2
OG0001915	T265_15891, T265_01652, T265_12174	EWB00_007038
OG0001916	T265_06670	EWB00_010789
OG0001917	T265_14049	EWB00_008840.1, EWB00_008840.4, EWB00_008840.2, EWB00_008840.3
OG0001918	T265_00471	EWB00_000187.2, EWB00_000187.1, EWB00_000187.3
OG0001919	T265_02504	EWB00_006232.3, EWB00_006232.1, EWB00_006232.2
OG0001920	T265_08481	EWB00_010851.1, EWB00_010851.3, EWB00_010851.2
OG0001921	T265_06125	EWB00_004589, EWB00_006142
OG0001922	T265_14503	EWB00_005191.1, EWB00_005191.2
OG0001923	T265_07276	EWB00_007771
OG0001924	T265_02681	EWB00_000744.1, EWB00_000744.2, EWB00_000744.3
OG0001925	T265_00852	EWB00_002393.1, EWB00_002393.2, EWB00_002393.3
OG0001926	T265_02868	EWB00_002121.1, EWB00_002121.5, EWB00_002121.2, EWB00_002121.3, EWB00_002121.4
OG0001927	T265_08673	EWB00_003588
OG0001929	T265_16131, T265_00819	EWB00_008348
OG0001932	T265_11747	EWB00_003655.1, EWB00_003655.3
OG0001941	T265_02631	EWB00_003043
OG0001943	T265_12963	EWB00_001044.1, EWB00_001044.2, EWB00_001044.4, EWB00_001044.3
OG0001944	T265_01438	EWB00_009759
OG0001945	T265_02757, T265_11309	EWB00_009970.1, EWB00_009970.2, EWB00_009970.3
OG0001946	T265_08642	EWB00_005989
OG0001947	T265_15378	EWB00_003234.3, EWB00_003234.2, EWB00_003234.1
OG0001948	T265_09604	EWB00_004875.1, EWB00_004875.2
OG0001949	T265_10788	EWB00_002055
OG0001950	T265_14356	EWB00_010181.1, EWB00_010181.2
OG0001951	T265_02488	EWB00_010118.1, EWB00_010118.2, EWB00_010118.3
OG0001952	T265_01274	EWB00_003633
OG0001953	T265_07588	EWB00_003411
OG0001954	T265_05594, T265_10324, T265_10323	EWB00_002373.1, EWB00_002373.2
OG0001955	T265_04533	EWB00_006289.1, EWB00_006289.2
OG0001956	T265_00329	EWB00_011048
OG0001957	T265_16364	EWB00_002353.5, EWB00_002353.4, EWB00_002353.6, EWB00_002353.1, EWB00_002353.2, EWB00_002353.3
OG0001958	T265_12587	EWB00_000402.1, EWB00_000402.2
OG0001959	T265_12030	EWB00_002873.1, EWB00_002873.3, EWB00_002873.4, EWB00_002873.5, EWB00_002873.2, EWB00_007946
OG0001960	T265_03563	EWB00_007931.5, EWB00_007931.6, EWB00_007931.1, EWB00_007931.4, EWB00_007931.2, EWB00_007931.3
OG0001961	T265_04189	EWB00_008934
OG0001962	T265_02258	EWB00_006447.1, EWB00_006447.2
OG0001963	T265_07542	EWB00_005116
OG0001964	T265_02635	EWB00_004882
OG0001965	T265_15738, T265_09470, T265_16302	EWB00_010177
OG0001966	T265_11898	EWB00_007793
OG0001967	T265_11018	EWB00_006691.1, EWB00_006691.2
OG0001968	T265_12615	EWB00_002588.1, EWB00_002588.2
OG0001969	T265_15599, T265_11986	EWB00_006040
OG0001970	T265_06534	EWB00_001304.1, EWB00_001304.2
OG0001972	T265_06716	EWB00_003996
OG0001973	T265_10631	EWB00_006760.1, EWB00_006760.2
OG0001974	T265_03306	EWB00_006902
OG0001975	T265_08820	EWB00_006471.3, EWB00_006471.1, EWB00_006471.2
OG0001978	T265_02840	EWB00_008191.1, EWB00_008191.2
OG0001979	T265_00134	EWB00_005320.1, EWB00_005320.2
OG0001980	T265_00639	EWB00_000544.1, EWB00_000544.2
OG0001981	T265_14563	EWB00_003238, EWB00_003235.1, EWB00_003235.2
OG0001982	T265_05804	EWB00_003374.1, EWB00_003374.2
OG0001983	T265_16272, T265_10525	EWB00_010176
OG0001984	T265_13337	EWB00_004454.3, EWB00_004454.2, EWB00_004454.1, EWB00_004454.4
OG0001985	T265_05014	EWB00_006219
OG0001986	T265_13071	EWB00_010664.1, EWB00_010664.2, EWB00_010664.3
OG0001987	T265_11477	EWB00_009533
OG0001988	T265_00178	EWB00_000510
OG0001989	T265_00999	EWB00_009481
OG0001990	T265_14644	EWB00_007602
OG0001991	T265_09212	EWB00_002349
OG0001992	T265_04048	EWB00_010772.1, EWB00_010772.3, EWB00_010772.2
OG0001993	T265_14343	EWB00_001364.1, EWB00_001364.2
OG0001995	T265_11523	EWB00_008424.1, EWB00_008424.3, EWB00_008424.4, EWB00_008424.2, EWB00_008424.5
OG0001997	T265_01011	EWB00_003079
OG0001998	T265_05189	EWB00_006708
OG0001999	T265_01760	EWB00_003613
OG0002000	T265_10963	EWB00_003097
OG0002001	T265_04575	EWB00_004162, EWB00_004161
OG0002002	T265_11222	EWB00_004263.3, EWB00_004263.1, EWB00_004263.2
OG0002003	T265_05270	EWB00_007594.1, EWB00_007594.2
OG0002004	T265_04351	EWB00_000115
OG0002006	T265_11260	EWB00_001376.1, EWB00_001376.2
OG0002007	T265_01809	EWB00_010057, EWB00_010056
OG0002008	T265_02030, T265_02029	EWB00_004014.1, EWB00_004014.2, EWB00_004014.3
OG0002009	T265_07583	EWB00_001730
OG0002010	T265_02865	EWB00_009339
OG0002011	T265_15553	EWB00_007159
OG0002012	T265_01585	EWB00_009465.2, EWB00_009465.1, EWB00_009465.3
OG0002013	T265_00133	EWB00_005319.1, EWB00_005319.2
OG0002014	T265_02025	EWB00_008895.1, EWB00_008895.3, EWB00_008895.2
OG0002015	T265_10154	EWB00_006940
OG0002016	T265_07786	EWB00_005905
OG0002018	T265_01252	EWB00_008679
OG0002019	T265_14733	EWB00_006612
OG0002020	T265_09353, T265_09354	EWB00_010448, EWB00_010449
OG0002021	T265_02319	EWB00_002771
OG0002023	T265_01173	EWB00_006224.4, EWB00_006224.1, EWB00_006224.2, EWB00_006224.3
OG0002024	T265_11589	EWB00_001133.1, EWB00_001133.2, EWB00_001133.3
OG0002025	T265_13824	EWB00_005907.1, EWB00_005907.2
OG0002027	T265_12826	EWB00_010185
OG0002028	T265_06994	EWB00_010621
OG0002029	T265_03894	EWB00_005960
OG0002030	T265_00505	EWB00_009169.3, EWB00_009169.4, EWB00_009169.1, EWB00_009169.2
OG0002031	T265_09865, T265_16204	EWB00_003838.1, EWB00_003838.2
OG0002032	T265_02749	EWB00_005869.2, EWB00_005869.1, EWB00_005869.3, EWB00_005869.4
OG0002033	T265_10134	EWB00_011262.1, EWB00_011262.2
OG0002034	T265_02060	EWB00_006270.1, EWB00_006270.2, EWB00_006270.3
OG0002035	T265_04572	EWB00_003695.4, EWB00_003695.3, EWB00_003695.6, EWB00_003695.7, EWB00_003695.5, EWB00_003695.1, EWB00_003695.2
OG0002036	T265_02637	EWB00_007516.3, EWB00_007516.1, EWB00_007516.2
OG0002037	T265_00055	EWB00_002151.2, EWB00_002151.1, EWB00_002151.3
OG0002038	T265_12805, T265_02077, T265_15831	EWB00_001564.2, EWB00_001564.3, EWB00_001564.1, EWB00_001564.4
OG0002039	T265_08815	EWB00_003603
OG0002040	T265_03319	EWB00_007877
OG0002041	T265_00833	EWB00_007250.1, EWB00_007250.2
OG0002042	T265_10274	EWB00_004158
OG0002043	T265_01128	EWB00_007122.4, EWB00_007122.9, EWB00_007122.6, EWB00_007122.1, EWB00_007122.2, EWB00_007122.3, EWB00_007122.5, EWB00_007122.8, EWB00_007122.7
OG0002045	T265_07822	EWB00_009520.3, EWB00_009520.6, EWB00_009520.5, EWB00_009520.1, EWB00_009520.2, EWB00_009520.4
OG0002046	T265_02662	EWB00_001389
OG0002047	T265_04671	EWB00_001334.1, EWB00_001334.2
OG0002048	T265_13011	EWB00_003123.1, EWB00_003123.2
OG0002050	T265_11962	EWB00_006497.1, EWB00_006497.2, EWB00_006497.3
OG0002051	T265_02963	EWB00_002114.1, EWB00_002114.2
OG0002052	T265_01480	EWB00_001807.3, EWB00_001807.1, EWB00_001807.2, EWB00_001807.4
OG0002053	T265_00451	EWB00_002011
OG0002054	T265_13210	EWB00_000955.1, EWB00_000955.3, EWB00_000955.2
OG0002055	T265_01146	EWB00_003464, EWB00_003465
OG0002056	T265_04164	EWB00_001929
OG0002057	T265_11668	EWB00_005362
OG0002059	T265_11048	EWB00_000979.1, EWB00_000979.2
OG0002060	T265_01393	EWB00_002103.1, EWB00_002103.2, EWB00_002103.3
OG0002061	T265_08182	EWB00_000100.1, EWB00_000100.2
OG0002062	T265_06808	EWB00_005788
OG0002063	T265_08631	EWB00_000990
OG0002064	T265_15101	EWB00_009624.3, EWB00_009624.1, EWB00_009624.2
OG0002065	T265_04710, T265_10542	EWB00_011427
OG0002066	T265_08198, T265_08199	EWB00_010559, EWB00_007142, EWB00_010817
OG0002073	T265_09527	EWB00_001425.1, EWB00_001425.2
OG0002074	T265_03665	EWB00_001041
OG0002075	T265_09383	EWB00_009494.2, EWB00_009494.3, EWB00_009494.1
OG0002076	T265_15233, T265_16097	EWB00_008759.2, EWB00_008759.1
OG0002077	T265_03682	EWB00_002303
OG0002078	T265_15041	EWB00_007716.1, EWB00_007716.2, EWB00_007716.3
OG0002079	T265_06240	EWB00_007700.1, EWB00_007700.2
OG0002080	T265_00124	EWB00_005317.1, EWB00_005317.2
OG0002081	T265_09555	EWB00_008299.1, EWB00_008299.2, EWB00_008299.3
OG0002082	T265_03148, T265_13172, T265_03149	EWB00_003853, EWB00_003854
OG0002083	T265_08100	EWB00_001011.1, EWB00_001011.2, EWB00_001011.3, EWB00_001011.5, EWB00_001011.4
OG0002084	T265_12471	EWB00_000603, EWB00_000602
OG0002085	T265_01378	EWB00_011092.1, EWB00_011092.2, EWB00_011092.3
OG0002086	T265_05643	EWB00_007657.2, EWB00_007657.1, EWB00_007657.3, EWB00_007657.4
OG0002087	T265_14114	EWB00_008150.1, EWB00_008150.2
OG0002088	T265_14944	EWB00_001075
OG0002089	T265_00465	EWB00_000175.1, EWB00_000175.2
OG0002090	T265_05436	EWB00_002150
OG0002091	T265_00837, T265_16066	EWB00_006791.2, EWB00_006791.3, EWB00_006791.4, EWB00_006791.1
OG0002092	T265_15900	EWB00_006208
OG0002093	T265_08579	EWB00_000274.1, EWB00_000274.2
OG0002094	T265_04373, T265_13499	EWB00_006338
OG0002095	T265_13010	EWB00_003125
OG0002096	T265_03819	EWB00_001324.1, EWB00_001324.2, EWB00_001324.3
OG0002098	T265_05615	EWB00_009882.1, EWB00_009882.2
OG0002099	T265_04149, T265_04150	EWB00_009529
OG0002100	T265_11580	EWB00_000095.5, EWB00_000095.1, EWB00_000095.2, EWB00_000095.3, EWB00_000095.4
OG0002101	T265_05374	EWB00_011387
OG0002102	T265_13199	EWB00_007000
OG0002103	T265_08800	EWB00_006367
OG0002104	T265_08023	EWB00_004136.1, EWB00_004136.2
OG0002105	T265_14195	EWB00_003321.2, EWB00_003321.3, EWB00_003321.4, EWB00_003321.5, EWB00_003321.1
OG0002106	T265_12884	EWB00_000312.4, EWB00_000312.1, EWB00_000312.2, EWB00_000312.3
OG0002107	T265_06088	EWB00_006567, EWB00_006568
OG0002108	T265_04775	EWB00_003251
OG0002108	T265_09456	EWB00_006766.1, EWB00_006766.2
OG0002109	T265_03486	EWB00_004744
OG0002110	T265_12853	EWB00_006092
OG0002111	T265_12810	EWB00_002808
OG0002112	T265_15351, T265_01166	EWB00_009581
OG0002113	T265_13848	EWB00_008310.1, EWB00_008310.2
OG0002114	T265_08567	EWB00_001140.1, EWB00_001140.2
OG0002115	T265_13872	EWB00_011171.1, EWB00_011171.2
OG0002116	T265_15055	EWB00_005916.1, EWB00_005916.2
OG0002117	T265_14145, T265_14146	EWB00_000110
OG0002118	T265_03977	EWB00_003641
OG0002119	T265_12990	EWB00_007309.2, EWB00_007309.1
OG0002120	T265_10602	EWB00_009243.1, EWB00_009243.2
OG0002121	T265_15200	EWB00_009242.1, EWB00_009242.2, EWB00_009242.4, EWB00_009242.3
OG0002122	T265_16017, T265_13609, T265_06473, T265_07036	EWB00_004617
OG0002123	T265_00741	EWB00_009150.9, EWB00_009150.1, EWB00_009150.5, EWB00_009150.4, EWB00_009150.3, EWB00_009150.10, EWB00_009150.7, EWB00_009150.2, EWB00_009150.6, EWB00_009150.8
OG0002124	T265_13794	EWB00_006423
OG0002125	T265_05313	EWB00_006649
OG0002126	T265_05547, T265_13807	EWB00_007318, EWB00_007319
OG0002127	T265_08051	EWB00_011167.1, EWB00_011167.2, EWB00_011167.3
OG0002128	T265_04386	EWB00_004870
OG0002129	T265_04289, T265_04290	EWB00_003558.2, EWB00_003558.1
OG0002130	T265_05977	EWB00_001104.2, EWB00_001104.1
OG0002131	T265_08653	EWB00_002835.4, EWB00_002835.1, EWB00_002835.2, EWB00_002835.3
OG0002132	T265_10351	EWB00_002216.1, EWB00_002216.2, EWB00_002216.3
OG0002133	T265_05901	EWB00_006881
OG0002134	T265_13573	EWB00_005619.1, EWB00_005619.2
OG0002135	T265_11834	EWB00_003469
OG0002136	T265_02078, T265_02076	EWB00_008767
OG0002137	T265_04278	EWB00_001244
OG0002138	T265_11382, T265_11381	EWB00_007454.1, EWB00_007454.2
OG0002139	T265_07012	EWB00_009794.1, EWB00_009794.2, EWB00_009794.3, EWB00_009794.4
OG0002140	T265_03075	EWB00_009570.2, EWB00_009570.1, EWB00_009570.3
OG0002141	T265_12391, T265_14911, T265_16353	EWB00_010525
OG0002142	T265_09176	EWB00_011368.9, EWB00_011368.6, EWB00_011368.1, EWB00_011368.7, EWB00_011368.3, EWB00_011368.4, EWB00_011368.5, EWB00_011368.2, EWB00_011368.8
OG0002143	T265_01276	EWB00_003636, EWB00_003635.2, EWB00_003635.1, EWB00_003635.4, EWB00_003635.3
OG0002144	T265_15470	EWB00_008031
OG0002145	T265_04022	EWB00_006068.5, EWB00_006068.1, EWB00_006068.2, EWB00_006068.3, EWB00_006068.4
OG0002147	T265_10180	EWB00_003604.2, EWB00_003604.1, EWB00_003604.3
OG0002148	T265_12487	EWB00_008459
OG0002149	T265_11302	EWB00_005372.3, EWB00_005372.1, EWB00_005372.2
OG0002150	T265_01113	EWB00_006269.1, EWB00_006269.3, EWB00_006269.2
