Orthogroup	opisthorchis_viverrini	schistosoma_spindale
OG0000929	T265_11846	SSPN1_59660.1, SSPN1_59660.2
OG0000930	T265_13266	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6
OG0000931	T265_10692	SSPN1_68650.1
OG0000932	T265_09389	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3
OG0000933	T265_10768	SSPN1_31240.1
OG0000934	T265_09239	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5
OG0000935	T265_09761	SSPN1_65080.10, SSPN1_65080.3, SSPN1_65080.6, SSPN1_65080.5, SSPN1_65080.1, SSPN1_65080.7, SSPN1_65080.8, SSPN1_65080.9, SSPN1_65080.2, SSPN1_65080.4
OG0000936	T265_08979	SSPN1_90470.1
OG0000937	T265_04033	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3
OG0000938	T265_08657, T265_08656	SSPN1_64480.1
OG0000939	T265_05437	SSPN1_83550.1, SSPN1_83550.2
OG0000940	T265_08942, T265_16338	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2
OG0000941	T265_08808	SSPN1_38760.1
OG0000942	T265_10456	SSPN1_14710.1, SSPN1_14710.2
OG0000943	T265_03814	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2
OG0000944	T265_00614	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3
OG0000945	T265_01854	SSPN1_19190.1
OG0000946	T265_06499	SSPN1_8620.1, SSPN1_8620.2
OG0000947	T265_13430	SSPN1_32140.1
OG0000948	T265_04663	SSPN1_78680.1
OG0000949	T265_09047, T265_09046, T265_09045	SSPN1_14550.1
OG0000950	T265_04298	SSPN1_51570.2, SSPN1_51570.5, SSPN1_51570.3, SSPN1_51570.6, SSPN1_51570.4, SSPN1_51570.1
OG0000952	T265_00749	SSPN1_28430.4, SSPN1_28430.1, SSPN1_28430.3, SSPN1_28430.2
OG0000953	T265_13448	SSPN1_61510.1
OG0000954	T265_05290	SSPN1_77590.2, SSPN1_77590.3, SSPN1_77590.1, SSPN1_77590.4
OG0000955	T265_03085	SSPN1_17140.1, SSPN1_17140.2, SSPN1_17140.4, SSPN1_17140.5, SSPN1_17140.6, SSPN1_17140.3
OG0000958	T265_07251	SSPN1_18190.1
OG0000960	T265_13744	SSPN1_21940.1, SSPN1_21940.2
OG0000962	T265_00111	SSPN1_71730.5, SSPN1_71730.1, SSPN1_71730.2, SSPN1_71730.3, SSPN1_71730.4
OG0000963	T265_13178	SSPN1_2410.1, SSPN1_2410.2
OG0000964	T265_10312	SSPN1_39420.1, SSPN1_39420.3, SSPN1_39420.4, SSPN1_39420.2, SSPN1_39420.5, SSPN1_39420.7, SSPN1_39420.6
OG0000965	T265_03351	SSPN1_60720.1
OG0000966	T265_04985	SSPN1_34730.1
OG0000966	T265_15072	SSPN1_47450.1
OG0000967	T265_16351	SSPN1_35490.4, SSPN1_35490.3, SSPN1_35490.1, SSPN1_35490.2
OG0000968	T265_03039	SSPN1_2770.1, SSPN1_2770.2, SSPN1_2770.4, SSPN1_2770.3, SSPN1_2770.5, SSPN1_2770.6
OG0000969	T265_09844, T265_10897, T265_14509, T265_14974	SSPN1_78560.1
OG0000969	T265_01639	SSPN1_78570.1, SSPN1_78570.2
OG0000970	T265_05786	SSPN1_66910.1
OG0000971	T265_14454	SSPN1_1860.1
OG0000972	T265_04367	SSPN1_6000.1, SSPN1_6000.4, SSPN1_6000.3, SSPN1_6000.2
OG0000973	T265_07516	SSPN1_23180.1
OG0000974	T265_12463	SSPN1_53610.3, SSPN1_53610.5, SSPN1_53610.2, SSPN1_53610.1, SSPN1_53610.4
OG0000975	T265_02924, T265_09700	SSPN1_5820.1, SSPN1_5820.2
OG0000976	T265_00947	SSPN1_20200.1, SSPN1_20200.2, SSPN1_20200.3, SSPN1_20200.4, SSPN1_20200.5, SSPN1_20200.6
OG0000977	T265_04434	SSPN1_16610.1
OG0000978	T265_05507	SSPN1_10090.1, SSPN1_10090.2, SSPN1_10090.3, SSPN1_10090.4, SSPN1_10090.5, SSPN1_10090.6
OG0000979	T265_00786	SSPN1_70820.1, SSPN1_70820.2
OG0000980	T265_03583	SSPN1_50330.1
OG0000981	T265_04343	SSPN1_30910.1
OG0000982	T265_03904	SSPN1_60220.1, SSPN1_60220.3, SSPN1_60220.2, SSPN1_60220.4
OG0000983	T265_09860	SSPN1_15060.1, SSPN1_15060.2, SSPN1_15060.3, SSPN1_15060.4
OG0000984	T265_10372, T265_07582	SSPN1_36070.1, SSPN1_36070.2, SSPN1_36070.3
OG0000985	T265_11572	SSPN1_14570.1
OG0000986	T265_02193, T265_12946	SSPN1_69930.1, SSPN1_69930.2
OG0000987	T265_02383	SSPN1_80240.1
OG0000989	T265_04299	SSPN1_49670.1
OG0000990	T265_08682	SSPN1_4620.1
OG0000991	T265_13030	SSPN1_56860.1, SSPN1_56860.2, SSPN1_56860.3, SSPN1_56860.6, SSPN1_56860.4, SSPN1_56860.5
OG0000992	T265_01516	SSPN1_42840.1, SSPN1_42840.2
OG0000993	T265_14754	SSPN1_75200.3, SSPN1_75200.1, SSPN1_75200.2
OG0000994	T265_02553	SSPN1_37020.4, SSPN1_37020.2, SSPN1_37020.1, SSPN1_37020.3
OG0000995	T265_13745	SSPN1_77440.3, SSPN1_77440.1, SSPN1_77440.2, SSPN1_77460.1
OG0000996	T265_00610	SSPN1_60100.1, SSPN1_60100.2
OG0000997	T265_13758	SSPN1_85610.1, SSPN1_85610.2
OG0000998	T265_02907	SSPN1_53780.1
OG0000999	T265_02983	SSPN1_33130.4, SSPN1_33130.5, SSPN1_33130.2, SSPN1_33130.1, SSPN1_33130.3
OG0001000	T265_02450	SSPN1_7070.2, SSPN1_7070.5, SSPN1_7070.1, SSPN1_7070.3, SSPN1_7070.4
OG0001003	T265_02803	SSPN1_38640.2, SSPN1_38640.4, SSPN1_38640.6, SSPN1_38640.5, SSPN1_38640.3, SSPN1_38640.7, SSPN1_38640.1
OG0001004	T265_15034	SSPN1_14940.1
OG0001009	T265_08731	SSPN1_84820.1, SSPN1_84820.3, SSPN1_84820.4, SSPN1_84820.2, SSPN1_84820.5
OG0001010	T265_06725	SSPN1_63980.1
OG0001011	T265_13048	SSPN1_31280.1, SSPN1_31280.4, SSPN1_31280.3, SSPN1_31280.2
OG0001012	T265_06918	SSPN1_5040.1, SSPN1_5040.3, SSPN1_5040.2
OG0001013	T265_10272, T265_16022	SSPN1_18320.1
OG0001014	T265_12060, T265_16314	SSPN1_3950.1
OG0001015	T265_11538, T265_15411, T265_10528, T265_15958	SSPN1_32620.1, SSPN1_32620.2
OG0001016	T265_01892	SSPN1_33310.1
OG0001017	T265_03456	SSPN1_15080.4, SSPN1_15080.5, SSPN1_15080.8, SSPN1_15080.2, SSPN1_15080.3, SSPN1_15080.6, SSPN1_15080.1, SSPN1_15080.7, SSPN1_15080.9
OG0001018	T265_11985	SSPN1_28650.1, SSPN1_28650.2, SSPN1_28650.3, SSPN1_28650.4
OG0001019	T265_06404, T265_12347	SSPN1_40910.3, SSPN1_40910.1, SSPN1_40910.2
OG0001020	T265_14664	SSPN1_19640.1, SSPN1_19640.9, SSPN1_19640.10, SSPN1_19640.4, SSPN1_19640.2, SSPN1_19640.5, SSPN1_19640.7, SSPN1_19640.3, SSPN1_19640.6, SSPN1_19640.8
OG0001021	T265_05434	SSPN1_28410.1, SSPN1_28410.5, SSPN1_28410.2, SSPN1_28410.4, SSPN1_28420.1, SSPN1_28410.3, SSPN1_28410.6
OG0001022	T265_08582	SSPN1_9910.1, SSPN1_9910.5, SSPN1_9910.2, SSPN1_9910.4, SSPN1_9910.3, SSPN1_9910.8, SSPN1_9910.6, SSPN1_9910.7
OG0001023	T265_14386	SSPN1_61090.1, SSPN1_61090.2, SSPN1_61090.3, SSPN1_61090.6, SSPN1_61090.4, SSPN1_61090.5
OG0001024	T265_15215	SSPN1_75330.1, SSPN1_75330.2, SSPN1_75330.3, SSPN1_75330.4
OG0001026	T265_08689	SSPN1_48000.1
OG0001027	T265_05249	SSPN1_370.1, SSPN1_370.2, SSPN1_370.3, SSPN1_370.4, SSPN1_370.5
OG0001028	T265_02150	SSPN1_53680.2, SSPN1_53680.3, SSPN1_53680.1, SSPN1_53680.5, SSPN1_53680.4
OG0001029	T265_06784	SSPN1_48170.2, SSPN1_48170.1
OG0001030	T265_03534	SSPN1_27770.1
OG0001031	T265_02198	SSPN1_67850.2, SSPN1_67850.1, SSPN1_67850.4, SSPN1_67850.3
OG0001032	T265_07791	SSPN1_60080.1, SSPN1_60080.3, SSPN1_60080.2
OG0001033	T265_12072	SSPN1_69240.1, SSPN1_69240.2, SSPN1_69240.3
OG0001034	T265_00015	SSPN1_52260.1, SSPN1_52260.2
OG0001035	T265_07899, T265_11146, T265_07897, T265_11147	SSPN1_52820.1
OG0001036	T265_15152	SSPN1_13350.1
OG0001038	T265_06836	SSPN1_1510.1
OG0001039	T265_13311	SSPN1_26250.1, SSPN1_26250.3, SSPN1_26250.4, SSPN1_26250.2
OG0001040	T265_08277	SSPN1_78800.3, SSPN1_78800.1, SSPN1_78800.2
OG0001041	T265_02769, T265_02770	SSPN1_90690.5, SSPN1_90690.6, SSPN1_90690.4, SSPN1_90690.1, SSPN1_90690.2, SSPN1_90690.3
OG0001042	T265_09868, T265_16047	SSPN1_16500.1
OG0001043	T265_04066	SSPN1_46830.3, SSPN1_46830.1, SSPN1_46830.2
OG0001045	T265_14190	SSPN1_57890.2, SSPN1_57890.1, SSPN1_57890.7, SSPN1_57890.8, SSPN1_57890.12, SSPN1_57890.3, SSPN1_57890.13, SSPN1_57890.5, SSPN1_57890.10, SSPN1_57890.11, SSPN1_57890.14, SSPN1_57890.9, SSPN1_57890.4, SSPN1_57890.6
OG0001046	T265_00122	SSPN1_49390.1
OG0001047	T265_14657, T265_15967	SSPN1_92160.1, SSPN1_92160.3, SSPN1_92160.4, SSPN1_92160.2
OG0001048	T265_05921	SSPN1_75260.1
OG0001049	T265_01366	SSPN1_53380.2, SSPN1_53380.3, SSPN1_53380.1, SSPN1_53380.4
OG0001050	T265_06070	SSPN1_61860.1, SSPN1_61860.3, SSPN1_61860.2, SSPN1_61860.4
OG0001051	T265_08900	SSPN1_84670.1, SSPN1_84670.2
OG0001052	T265_03515, T265_03514	SSPN1_53350.3, SSPN1_53350.2, SSPN1_53350.1
OG0001053	T265_10644	SSPN1_60650.1
OG0001054	T265_07774	SSPN1_18880.1, SSPN1_18880.2, SSPN1_18880.3
OG0001056	T265_06907	SSPN1_55950.1
OG0001057	T265_08393	SSPN1_84530.1, SSPN1_84530.7, SSPN1_84530.5, SSPN1_84530.6, SSPN1_84530.2, SSPN1_84530.3, SSPN1_84530.4
OG0001058	T265_09765, T265_07871	SSPN1_63300.1, SSPN1_63310.1, SSPN1_63310.2, SSPN1_63310.3
OG0001059	T265_09693	SSPN1_13750.2, SSPN1_13750.3, SSPN1_13750.4, SSPN1_13750.1
OG0001060	T265_08792, T265_05830, T265_12211	SSPN1_65520.1, SSPN1_65520.2, SSPN1_65520.3
OG0001061	T265_10435	SSPN1_19490.1, SSPN1_19490.2
OG0001062	T265_10952	SSPN1_47260.10, SSPN1_47260.8, SSPN1_47260.7, SSPN1_47260.9, SSPN1_47260.3, SSPN1_47260.6, SSPN1_47260.2, SSPN1_47260.5, SSPN1_47260.1, SSPN1_47260.4
OG0001068	T265_05783	SSPN1_73020.1
OG0001070	T265_01150	SSPN1_61020.1, SSPN1_61020.2, SSPN1_61020.3
OG0001070	T265_03875	SSPN1_73450.1
OG0001071	T265_01413, T265_01414	SSPN1_59460.1, SSPN1_59460.2
OG0001072	T265_11095	SSPN1_40950.1, SSPN1_40950.2
OG0001073	T265_06687	SSPN1_13920.1
OG0001074	T265_07051	SSPN1_26440.2, SSPN1_26440.3, SSPN1_26440.4, SSPN1_26440.1
OG0001075	T265_00485	SSPN1_62290.1
OG0001076	T265_04766	SSPN1_44890.1, SSPN1_44890.3, SSPN1_44890.2, SSPN1_44890.4
OG0001077	T265_03589	SSPN1_48470.1
OG0001078	T265_01377	SSPN1_62940.1
OG0001079	T265_01997	SSPN1_72520.1, SSPN1_72510.1
OG0001080	T265_03280, T265_06062	SSPN1_70950.4, SSPN1_70950.1, SSPN1_70950.3, SSPN1_70950.2, SSPN1_70950.5
OG0001081	T265_02594	SSPN1_36990.1
OG0001082	T265_14341	SSPN1_47080.1, SSPN1_47080.2, SSPN1_47080.3
OG0001083	T265_05304	SSPN1_90830.2, SSPN1_90830.3, SSPN1_90830.1, SSPN1_90830.4
OG0001084	T265_03430	SSPN1_10240.6, SSPN1_10240.7, SSPN1_10240.1, SSPN1_10240.4, SSPN1_10240.8, SSPN1_10240.9, SSPN1_10240.5, SSPN1_10240.2, SSPN1_10240.3
OG0001085	T265_05309	SSPN1_91810.1, SSPN1_91810.2
OG0001086	T265_00332	SSPN1_68970.1
OG0001087	T265_02349, T265_02348, T265_04933	SSPN1_49580.1
OG0001087	T265_13295	SSPN1_34600.1
OG0001088	T265_14908	SSPN1_23640.1, SSPN1_23640.2, SSPN1_23640.3
OG0001089	T265_04203	SSPN1_59480.1
OG0001090	T265_05314	SSPN1_92530.1
OG0001091	T265_08694	SSPN1_46970.1
OG0001092	T265_05477	SSPN1_67080.1, SSPN1_67080.2, SSPN1_67080.3, SSPN1_67080.4, SSPN1_67080.5
OG0001094	T265_01493	SSPN1_34310.1, SSPN1_34310.2, SSPN1_34310.3
OG0001095	T265_12507, T265_12509	SSPN1_49300.1
OG0001096	T265_02087	SSPN1_12310.1, SSPN1_12310.2
OG0001097	T265_12596, T265_12597	SSPN1_66810.2, SSPN1_66810.3, SSPN1_66810.1, SSPN1_66810.4
OG0001098	T265_03530	SSPN1_38930.1, SSPN1_38930.5, SSPN1_38930.6, SSPN1_38930.3, SSPN1_38930.2, SSPN1_38930.4
OG0001099	T265_09134	SSPN1_88880.1, SSPN1_88880.2
OG0001100	T265_12718	SSPN1_60390.6, SSPN1_60390.2, SSPN1_60390.1, SSPN1_60390.3, SSPN1_60390.4, SSPN1_60390.5
OG0001101	T265_01277	SSPN1_44370.1
OG0001102	T265_07011	SSPN1_61720.1
OG0001103	T265_11524, T265_11526	SSPN1_90710.1
OG0001105	T265_00108	SSPN1_38860.1
OG0001106	T265_03131	SSPN1_66010.2, SSPN1_66010.1, SSPN1_66010.3
OG0001107	T265_01259	SSPN1_49710.1
OG0001108	T265_04027	SSPN1_27500.5, SSPN1_27500.1, SSPN1_27500.2, SSPN1_27500.3, SSPN1_27500.7, SSPN1_27500.4, SSPN1_27500.6
OG0001109	T265_15651	SSPN1_36930.1
OG0001110	T265_03630	SSPN1_3840.1
OG0001111	T265_15867	SSPN1_47400.2, SSPN1_47400.3, SSPN1_47400.5, SSPN1_47400.6, SSPN1_47400.4, SSPN1_47400.1
OG0001112	T265_07938	SSPN1_91980.1, SSPN1_91970.2, SSPN1_91960.1, SSPN1_91970.1
OG0001113	T265_01569	SSPN1_7720.1
OG0001114	T265_10355	SSPN1_6590.3, SSPN1_6590.4, SSPN1_6590.1, SSPN1_6590.2
OG0001115	T265_14281	SSPN1_90800.1, SSPN1_90800.2
OG0001116	T265_04971	SSPN1_78840.1, SSPN1_78840.2
OG0001117	T265_09895, T265_16078	SSPN1_15410.1
OG0001118	T265_15682	SSPN1_68630.1, SSPN1_68630.2, SSPN1_68630.3, SSPN1_68620.1
OG0001119	T265_00531	SSPN1_59500.1
OG0001120	T265_14589, T265_14590	SSPN1_30500.1
OG0001121	T265_02829	SSPN1_54770.4, SSPN1_54770.2, SSPN1_54770.1, SSPN1_54770.3
OG0001122	T265_01758	SSPN1_76450.1, SSPN1_76450.2, SSPN1_76450.3
OG0001123	T265_01870	SSPN1_87200.1, SSPN1_87200.2, SSPN1_87200.3
OG0001124	T265_12781	SSPN1_33080.1
OG0001125	T265_11059, T265_11060, T265_05778	SSPN1_18290.1, SSPN1_18260.2, SSPN1_18260.1, SSPN1_18260.3
OG0001129	T265_03641	SSPN1_33420.1, SSPN1_33410.1, SSPN1_33410.4, SSPN1_33410.6, SSPN1_33410.7, SSPN1_33410.8, SSPN1_33410.2, SSPN1_33410.3, SSPN1_33410.5
OG0001130	T265_02467	SSPN1_16590.1
OG0001131	T265_08223	SSPN1_71120.1, SSPN1_71110.1
OG0001132	T265_02407	SSPN1_80070.1, SSPN1_80070.2
OG0001133	T265_03046	SSPN1_92540.1
OG0001133	T265_14376, T265_07758, T265_14375	SSPN1_14700.2, SSPN1_14700.3, SSPN1_14700.4, SSPN1_14700.1
OG0001134	T265_10110	SSPN1_59300.1
OG0001135	T265_08862	SSPN1_36490.2, SSPN1_36490.5, SSPN1_36490.6, SSPN1_36490.1, SSPN1_36490.3, SSPN1_36490.4
OG0001136	T265_05385	SSPN1_22820.3, SSPN1_22820.4, SSPN1_22820.2, SSPN1_22820.1, SSPN1_22820.6, SSPN1_22820.5, SSPN1_22820.7, SSPN1_22820.8
OG0001137	T265_00383	SSPN1_51740.1, SSPN1_51740.2, SSPN1_51740.3
OG0001138	T265_10030	SSPN1_10400.2, SSPN1_10400.4, SSPN1_10400.1, SSPN1_10400.3
OG0001139	T265_13523	SSPN1_33660.1
OG0001140	T265_04041	SSPN1_44800.1, SSPN1_44800.2
OG0001141	T265_05904	SSPN1_76870.1, SSPN1_76860.1, SSPN1_76860.2
OG0001142	T265_08036	SSPN1_17610.1, SSPN1_17610.2
OG0001143	T265_00671	SSPN1_61310.1, SSPN1_18650.1
OG0001144	T265_07617	SSPN1_34800.1, SSPN1_34800.2
OG0001145	T265_00186	SSPN1_59160.1, SSPN1_59160.2, SSPN1_59160.3
OG0001146	T265_06313	SSPN1_4290.1
OG0001147	T265_07177	SSPN1_7620.1
OG0001149	T265_05953	SSPN1_75270.1
OG0001150	T265_00437	SSPN1_50300.1, SSPN1_50300.2, SSPN1_50300.3
OG0001151	T265_15472, T265_13441	SSPN1_86290.1, SSPN1_86290.2
OG0001152	T265_14381	SSPN1_17410.1, SSPN1_17410.8, SSPN1_17410.4, SSPN1_17410.7, SSPN1_17410.3, SSPN1_17410.5, SSPN1_17410.6, SSPN1_17410.2
OG0001153	T265_01176	SSPN1_66610.1
OG0001154	T265_04740	SSPN1_42550.1, SSPN1_42540.1
OG0001155	T265_04064	SSPN1_46900.1
OG0001156	T265_06433	SSPN1_7560.1, SSPN1_7560.2, SSPN1_7560.3
OG0001157	T265_14481	SSPN1_61280.1
OG0001158	T265_06397	SSPN1_41080.1, SSPN1_41080.2, SSPN1_41080.3, SSPN1_41080.4, SSPN1_41080.5
OG0001159	T265_09195	SSPN1_88730.1, SSPN1_88730.2
OG0001161	T265_00653, T265_08935, T265_08936, T265_13517	SSPN1_66000.1, SSPN1_59050.1
OG0001162	T265_04454	SSPN1_35200.1
OG0001164	T265_12833	SSPN1_77790.1
OG0001165	T265_08213	SSPN1_55600.1
OG0001166	T265_05263, T265_09404	SSPN1_19510.1, SSPN1_19510.2, SSPN1_19510.3, SSPN1_19510.4, SSPN1_19510.5
OG0001167	T265_08105	SSPN1_35210.1
OG0001168	T265_15277	SSPN1_17210.7, SSPN1_17210.1, SSPN1_17210.6, SSPN1_17210.5, SSPN1_17210.3, SSPN1_17210.2, SSPN1_17210.4
OG0001169	T265_08843, T265_16294	SSPN1_48500.2, SSPN1_48500.1, SSPN1_48500.5, SSPN1_48500.4, SSPN1_48500.3
OG0001170	T265_01846	SSPN1_19180.1, SSPN1_19180.3, SSPN1_19180.4, SSPN1_19180.5, SSPN1_19180.7, SSPN1_19180.2, SSPN1_19180.6
OG0001171	T265_10087, T265_11342	SSPN1_15120.1, SSPN1_15120.2, SSPN1_15120.3
OG0001172	T265_08932, T265_15849	SSPN1_63750.1, SSPN1_63750.2
OG0001173	T265_14048, T265_14047	SSPN1_100.1, SSPN1_1690.1, SSPN1_1690.3, SSPN1_1690.2
OG0001174	T265_12676	SSPN1_20640.1
OG0001175	T265_01290	SSPN1_50380.1, SSPN1_50380.2, SSPN1_50380.3
OG0001176	T265_00168	SSPN1_70550.1
OG0001177	T265_09629	SSPN1_23860.1, SSPN1_23860.2
OG0001178	T265_13363	SSPN1_2570.1, SSPN1_2560.1
OG0001179	T265_05221	SSPN1_89690.1
OG0001180	T265_13220	SSPN1_21490.1
OG0001181	T265_11423	SSPN1_55580.2, SSPN1_55580.5, SSPN1_55580.6, SSPN1_55580.3, SSPN1_55580.1, SSPN1_55580.4
OG0001183	T265_02454	SSPN1_19470.5, SSPN1_19470.4, SSPN1_19470.10, SSPN1_19470.7, SSPN1_19470.8, SSPN1_19470.1, SSPN1_19470.2, SSPN1_19470.6, SSPN1_19470.9, SSPN1_19470.3
OG0001184	T265_00213	SSPN1_3420.1
OG0001185	T265_04552	SSPN1_19840.1, SSPN1_19840.3, SSPN1_19840.4, SSPN1_19840.2, SSPN1_19840.5
OG0001186	T265_12678	SSPN1_4780.1
OG0001187	T265_02980	SSPN1_30210.1, SSPN1_30210.3, SSPN1_30210.2, SSPN1_30210.5, SSPN1_30210.4
OG0001188	T265_15159	SSPN1_7860.1, SSPN1_7850.2, SSPN1_7850.4, SSPN1_7850.1, SSPN1_7850.3
OG0001189	T265_00193	SSPN1_16220.2, SSPN1_16220.4, SSPN1_16220.3, SSPN1_16220.1, SSPN1_16220.5
OG0001190	T265_11824	SSPN1_34770.1
OG0001191	T265_07275	SSPN1_6970.1, SSPN1_6970.2, SSPN1_6970.3
OG0001192	T265_07070	SSPN1_41430.1
OG0001193	T265_15398, T265_11656, T265_03245, T265_13788	SSPN1_79590.1
OG0001194	T265_06139, T265_06140	SSPN1_6400.1
OG0001197	T265_11253	SSPN1_21390.6, SSPN1_21390.3, SSPN1_21390.4, SSPN1_21390.5, SSPN1_21390.1, SSPN1_21390.2
OG0001202	T265_05149	SSPN1_18010.1, SSPN1_18010.2, SSPN1_18010.3
OG0001203	T265_05114	SSPN1_1320.1
OG0001203	T265_07810	SSPN1_77670.1
OG0001204	T265_10589	SSPN1_58190.1
OG0001205	T265_10082	SSPN1_34580.1, SSPN1_34580.2, SSPN1_34580.3
OG0001207	T265_11953	SSPN1_15640.4, SSPN1_15640.1, SSPN1_15640.2, SSPN1_15640.3
OG0001208	T265_11311	SSPN1_32890.1, SSPN1_32890.2, SSPN1_32890.3
OG0001209	T265_08686	SSPN1_47150.3, SSPN1_47150.2, SSPN1_47150.4, SSPN1_47150.5, SSPN1_47150.1, SSPN1_47150.6
OG0001210	T265_04627	SSPN1_89550.1
OG0001211	T265_10917	SSPN1_13250.1
OG0001212	T265_05206	SSPN1_23550.1, SSPN1_23550.2
OG0001213	T265_03062	SSPN1_6770.1, SSPN1_6770.2
OG0001214	T265_01374	SSPN1_27350.1
OG0001215	T265_09785	SSPN1_65540.1, SSPN1_65540.4, SSPN1_65540.2, SSPN1_65540.3
OG0001216	T265_01025	SSPN1_25630.1, SSPN1_25630.2
OG0001217	T265_15227	SSPN1_70170.1
OG0001218	T265_03088	SSPN1_17100.5, SSPN1_17100.1, SSPN1_17100.2, SSPN1_17100.3, SSPN1_17100.4
OG0001219	T265_06431	SSPN1_270.1
OG0001220	T265_12016, T265_12232	SSPN1_91320.1, SSPN1_91320.2, SSPN1_91320.3, SSPN1_91320.5, SSPN1_91320.4
OG0001221	T265_15143	SSPN1_61690.5, SSPN1_61690.1, SSPN1_61690.6, SSPN1_61690.2, SSPN1_61690.4, SSPN1_61690.3, SSPN1_61690.7
OG0001222	T265_02622	SSPN1_88500.1
OG0001223	T265_00721	SSPN1_38180.2, SSPN1_38180.1, SSPN1_38180.3, SSPN1_38180.4
OG0001225	T265_15456	SSPN1_56890.1, SSPN1_56890.2, SSPN1_56890.3
OG0001226	T265_12558	SSPN1_44590.1
OG0001227	T265_08672	SSPN1_62260.1
OG0001229	T265_13483	SSPN1_29430.1
OG0001230	T265_06173	SSPN1_13860.1
OG0001231	T265_11984	SSPN1_31470.1
OG0001232	T265_02414, T265_08762, T265_14855	SSPN1_77750.1, SSPN1_77760.1
OG0001233	T265_12818	SSPN1_5830.1
OG0001234	T265_09478	SSPN1_42750.1, SSPN1_42750.2
OG0001235	T265_03531	SSPN1_27760.1, SSPN1_27750.2, SSPN1_27750.1, SSPN1_27750.3
OG0001236	T265_13174	SSPN1_60660.1, SSPN1_60660.2
OG0001237	T265_13308	SSPN1_25590.1, SSPN1_25560.1
OG0001238	T265_01675	SSPN1_80670.1, SSPN1_80670.2
OG0001239	T265_03082	SSPN1_17130.1, SSPN1_17130.2, SSPN1_17130.3
OG0001240	T265_08224	SSPN1_52240.1, SSPN1_52240.2
OG0001241	T265_00540	SSPN1_64570.1
OG0001241	T265_00343	SSPN1_71690.1
OG0001242	T265_00140, T265_06857	SSPN1_54380.1
OG0001243	T265_14770	SSPN1_6720.1
OG0001244	T265_13277	SSPN1_86430.1
OG0001245	T265_14234	SSPN1_16740.1, SSPN1_16750.4, SSPN1_16750.2, SSPN1_16750.3, SSPN1_16750.1, SSPN1_16750.5, SSPN1_16750.6, SSPN1_16760.1
OG0001246	T265_02606	SSPN1_37830.1, SSPN1_37830.3, SSPN1_37830.2
OG0001247	T265_04001	SSPN1_33710.1
OG0001248	T265_13129	SSPN1_5550.1, SSPN1_5550.2
OG0001249	T265_06475	SSPN1_34860.2, SSPN1_34860.3, SSPN1_34860.1, SSPN1_34860.4
OG0001250	T265_08176	SSPN1_1970.1, SSPN1_1970.2, SSPN1_1980.1
OG0001251	T265_12979	SSPN1_74510.1
OG0001252	T265_02686	SSPN1_50170.2, SSPN1_50170.1
OG0001253	T265_13874	SSPN1_53060.1
OG0001254	T265_11321	SSPN1_38120.1
OG0001255	T265_13521	SSPN1_27850.5, SSPN1_27850.6, SSPN1_27850.1, SSPN1_27850.2, SSPN1_27850.3, SSPN1_27850.4
OG0001256	T265_02816	SSPN1_46810.3, SSPN1_46810.1, SSPN1_46810.2
OG0001257	T265_11892, T265_16136	SSPN1_25860.1, SSPN1_25860.3, SSPN1_25860.2
OG0001258	T265_13130	SSPN1_73910.1
OG0001259	T265_09345, T265_09949, T265_09950	SSPN1_64700.1, SSPN1_64700.2
OG0001260	T265_14449, T265_07985, T265_15945	SSPN1_1410.1, SSPN1_1410.3, SSPN1_1410.2, SSPN1_1410.4
OG0001261	T265_14931	SSPN1_44010.3, SSPN1_44010.4, SSPN1_44010.1, SSPN1_44010.5, SSPN1_44010.2
OG0001262	T265_09952	SSPN1_79630.1, SSPN1_79630.4, SSPN1_79630.3, SSPN1_79630.2
OG0001263	T265_04153	SSPN1_86310.1, SSPN1_86300.1
OG0001264	T265_03602	SSPN1_52090.5, SSPN1_52090.6, SSPN1_52090.8, SSPN1_52090.3, SSPN1_52090.4, SSPN1_52090.2, SSPN1_52090.1, SSPN1_52090.7
OG0001265	T265_14950	SSPN1_63280.4, SSPN1_63280.3, SSPN1_63280.1, SSPN1_63280.2
OG0001266	T265_01368	SSPN1_67780.1
OG0001267	T265_02946	SSPN1_51480.4, SSPN1_51480.5, SSPN1_51480.6, SSPN1_51480.1, SSPN1_51480.2, SSPN1_51480.3, SSPN1_51480.8, SSPN1_51480.10, SSPN1_51480.11, SSPN1_51480.9, SSPN1_51480.7
OG0001268	T265_10920	SSPN1_7880.1
OG0001269	T265_04251	SSPN1_22860.2, SSPN1_22860.1
OG0001270	T265_15549	SSPN1_87160.2, SSPN1_87160.3, SSPN1_87160.5, SSPN1_87160.1, SSPN1_87160.4, SSPN1_87160.6, SSPN1_87160.7
