Orthogroup	opisthorchis_viverrini	fasciola_gigantica
OG0001728	T265_03905	FGIG_05390
OG0001729	T265_01004	FGIG_05422
OG0001731	T265_11635	FGIG_05472
OG0001732	T265_02819	FGIG_05692
OG0001733	T265_03326	FGIG_05918
OG0001734	T265_07463	FGIG_05951, FGIG_07347
OG0001735	T265_07057, T265_07056	FGIG_06068
OG0001736	T265_14980	FGIG_06248, FGIG_09628
OG0001737	T265_05187	FGIG_06314
OG0001738	T265_04467	FGIG_06451, FGIG_06452
OG0001739	T265_09719	FGIG_06589
OG0001740	T265_02848	FGIG_06601
OG0001741	T265_09400	FGIG_06645
OG0001742	T265_01766	FGIG_06724
OG0001744	T265_10654, T265_12595	FGIG_06776
OG0001745	T265_05962	FGIG_10942, FGIG_06817
OG0001746	T265_12992	FGIG_07007, FGIG_11346
OG0001747	T265_08419	FGIG_10446, FGIG_07087
OG0001748	T265_02528	FGIG_07196
OG0001749	T265_05162, T265_13920	FGIG_07207
OG0001750	T265_14641, T265_08679	FGIG_07290, FGIG_11354
OG0001751	T265_03745	FGIG_07350
OG0001752	T265_08775	FGIG_07833, FGIG_07832, FGIG_07400
OG0001754	T265_14140	FGIG_07797, FGIG_07796
OG0001755	T265_08222, T265_10918	FGIG_07829
OG0001756	T265_02705	FGIG_08210
OG0001757	T265_00117	FGIG_08253
OG0001758	T265_08429, T265_16089, T265_08430	FGIG_12341, FGIG_08329
OG0001759	T265_14874	FGIG_12373, FGIG_08557, FGIG_11928
OG0001760	T265_13963	FGIG_08695, FGIG_08696, FGIG_08694
OG0001761	T265_11120	FGIG_09476, FGIG_12460, FGIG_09474, FGIG_09475, FGIG_08736
OG0001762	T265_08963, T265_16323, T265_08964	FGIG_08880, FGIG_11962
OG0001763	T265_11384	FGIG_08936
OG0001764	T265_04595	FGIG_09029, FGIG_09028
OG0001765	T265_00502	FGIG_09205
OG0001766	T265_14565	FGIG_09234
OG0001767	T265_04548	FGIG_12380, FGIG_09314
OG0001768	T265_10297	FGIG_09327
OG0001769	T265_03947	FGIG_09331
OG0001770	T265_08230	FGIG_09332
OG0001771	T265_13913	FGIG_09366
OG0001772	T265_07572	FGIG_09813
OG0001773	T265_00534	FGIG_09836
OG0001774	T265_06888	FGIG_09938
OG0001775	T265_09040	FGIG_10075
OG0001776	T265_11140	FGIG_10105
OG0001777	T265_03011	FGIG_10186
OG0001778	T265_09376	FGIG_10398
OG0001780	T265_06467	FGIG_10677
OG0001781	T265_13075	FGIG_10803, FGIG_11244
OG0001782	T265_03902	FGIG_10806
OG0001783	T265_03631	FGIG_10960
OG0001784	T265_04098, T265_15912	FGIG_11263
OG0001785	T265_07505	FGIG_11277
OG0001786	T265_02513	FGIG_11466
OG0001787	T265_13198	FGIG_11743
OG0001789	T265_06187	FGIG_12472
OG0001790	T265_13300	FGIG_12557
OG0001801	T265_04593	FGIG_00130
OG0001803	T265_09341	FGIG_00286
OG0001804	T265_12618	FGIG_00398
OG0001805	T265_13514, T265_13513	FGIG_00507, FGIG_00508
OG0001806	T265_07409	FGIG_00525
OG0001807	T265_11444	FGIG_00587
OG0001808	T265_10905	FGIG_00700
OG0001809	T265_13772	FGIG_00729
OG0001810	T265_07900	FGIG_00762
OG0001812	T265_14122	FGIG_00836
OG0001813	T265_09076	FGIG_00936
OG0001814	T265_10976	FGIG_00962
OG0001815	T265_06116	FGIG_01073, FGIG_01074
OG0001816	T265_15353	FGIG_01170
OG0001817	T265_13431	FGIG_01315
OG0001818	T265_12286, T265_06859, T265_15980	FGIG_01476
OG0001819	T265_02288	FGIG_01638
OG0001820	T265_04186	FGIG_01817, FGIG_01816
OG0001821	T265_09614	FGIG_01822
OG0001821	T265_03362	FGIG_03077
OG0001822	T265_11066, T265_04529	FGIG_01856, FGIG_12355
OG0001823	T265_11105	FGIG_02236, FGIG_05411
OG0001825	T265_02352	FGIG_02531
OG0001826	T265_00277	FGIG_02634
OG0001827	T265_02155	FGIG_02803, FGIG_12147, FGIG_11771
OG0001827	T265_12935	FGIG_12499
OG0001828	T265_01213	FGIG_02847
OG0001829	T265_11088	FGIG_02872
OG0001829	T265_11086	FGIG_03015
OG0001830	T265_15921	FGIG_02879, FGIG_12693
OG0001831	T265_03336	FGIG_02881
OG0001834	T265_00004	FGIG_02991
OG0001835	T265_06643	FGIG_11589
OG0001835	T265_14089	FGIG_03039
OG0001836	T265_14559	FGIG_03199
OG0001837	T265_08769	FGIG_03271
OG0001838	T265_03743	FGIG_03289
OG0001839	T265_12526	FGIG_03331
OG0001840	T265_13580	FGIG_03379
OG0001841	T265_07181	FGIG_03429
OG0001842	T265_15657	FGIG_03482, FGIG_12479
OG0001843	T265_04469, T265_13561	FGIG_03549
OG0001844	T265_03040	FGIG_03580
OG0001845	T265_14549	FGIG_03666
OG0001846	T265_10397	FGIG_11334, FGIG_03780, FGIG_03781
OG0001847	T265_11864	FGIG_03848
OG0001848	T265_14403, T265_14401, T265_07830	FGIG_04380
OG0001849	T265_00607	FGIG_04452
OG0001850	T265_00010	FGIG_04633
OG0001851	T265_01360	FGIG_04765
OG0001852	T265_05433	FGIG_04961
OG0001853	T265_02922, T265_11897	FGIG_05001
OG0001854	T265_09648	FGIG_05079, FGIG_05080
OG0001855	T265_00165	FGIG_05092
OG0001856	T265_10021	FGIG_05147
OG0001857	T265_04055	FGIG_05152
OG0001858	T265_02220, T265_04712	FGIG_05246
OG0001859	T265_06498	FGIG_05352
OG0001860	T265_03438, T265_03772, T265_13321	FGIG_12696, FGIG_05529, FGIG_08194
OG0001861	T265_01225	FGIG_05537
OG0001862	T265_10909	FGIG_05612
OG0001863	T265_01043, T265_01044	FGIG_05675
OG0001864	T265_01749	FGIG_05957, FGIG_05774, FGIG_05958
OG0001866	T265_09747	FGIG_05934, FGIG_07819, FGIG_07820
OG0001867	T265_13218, T265_13219	FGIG_06039
OG0001868	T265_04412	FGIG_06184
OG0001869	T265_05535	FGIG_12654, FGIG_06195, FGIG_06196
OG0001870	T265_00132	FGIG_06239
OG0001871	T265_13828	FGIG_06490
OG0001872	T265_03393	FGIG_06502, FGIG_08638
OG0001873	T265_08992	FGIG_06583
OG0001874	T265_03234, T265_13196	FGIG_06688, FGIG_07094
OG0001875	T265_15589, T265_15590, T265_11880, T265_11881	FGIG_06832
OG0001876	T265_03702	FGIG_06870
OG0001877	T265_14142	FGIG_06876
OG0001879	T265_05975	FGIG_07185
OG0001880	T265_15623, T265_15873	FGIG_07399
OG0001881	T265_09881, T265_16342	FGIG_08617, FGIG_07427
OG0001882	T265_02934	FGIG_10254, FGIG_07480
OG0001883	T265_00246	FGIG_07514
OG0001884	T265_08008, T265_16260	FGIG_07616
OG0001885	T265_03198	FGIG_07748
OG0001886	T265_10249	FGIG_07805
OG0001887	T265_05895, T265_07671	FGIG_07966
OG0001888	T265_14220	FGIG_08128, FGIG_09905, FGIG_12317
OG0001889	T265_11606	FGIG_08133
OG0001890	T265_08599	FGIG_08277
OG0001891	T265_01391	FGIG_08290
OG0001892	T265_15428	FGIG_08312
OG0001893	T265_09740	FGIG_08493
OG0001894	T265_12840	FGIG_08662
OG0001895	T265_11728	FGIG_08712
OG0001896	T265_09000	FGIG_08759
OG0001897	T265_13908	FGIG_08889
OG0001898	T265_04800	FGIG_09045
OG0001899	T265_03996	FGIG_09165, FGIG_12532
OG0001900	T265_05713	FGIG_09208
OG0001901	T265_07537	FGIG_09292, FGIG_09291
OG0001902	T265_03661, T265_11899	FGIG_09325, FGIG_09326
OG0001903	T265_06552, T265_06554	FGIG_11383, FGIG_09404
OG0001904	T265_10321	FGIG_09502
OG0001905	T265_06569	FGIG_09751
OG0001906	T265_13479	FGIG_09783
OG0001907	T265_14805	FGIG_09790
OG0001908	T265_04923	FGIG_10713, FGIG_10014
OG0001909	T265_08757	FGIG_10056
OG0001910	T265_11579	FGIG_10144
OG0001911	T265_08739, T265_08740	FGIG_10217
OG0001912	T265_05946	FGIG_10259
OG0001913	T265_02936	FGIG_10326
OG0001914	T265_04183	FGIG_10404, FGIG_10403
OG0001915	T265_15891, T265_01652, T265_12174	FGIG_10465, FGIG_11686
OG0001916	T265_06670	FGIG_10612, FGIG_10605
OG0001917	T265_14049	FGIG_12536, FGIG_11628
OG0001918	T265_00471	FGIG_12348, FGIG_11631
OG0001919	T265_02504	FGIG_11652
OG0001920	T265_08481	FGIG_11748
OG0001921	T265_06125	FGIG_11845
OG0001922	T265_14503	FGIG_11872
OG0001923	T265_07276	FGIG_11902
OG0001924	T265_02681	FGIG_11939
OG0001925	T265_00852	FGIG_12270, FGIG_11988
OG0001926	T265_02868	FGIG_12026
OG0001927	T265_08673	FGIG_12178
OG0001941	T265_02631	FGIG_00126
OG0001943	T265_12963	FGIG_00220
OG0001944	T265_01438	FGIG_00245
OG0001945	T265_02757	FGIG_00280, FGIG_00284, FGIG_00283, FGIG_00281
OG0001945	T265_11309	FGIG_00285
OG0001946	T265_08642	FGIG_00457
OG0001947	T265_15378	FGIG_00619
OG0001948	T265_09604	FGIG_00736
OG0001949	T265_10788	FGIG_00760
OG0001950	T265_14356	FGIG_00800
OG0001951	T265_02488	FGIG_00894
OG0001952	T265_01274	FGIG_01038
OG0001953	T265_07588	FGIG_01050
OG0001954	T265_05594, T265_10324, T265_10323	FGIG_01129
OG0001955	T265_04533	FGIG_01306
OG0001956	T265_00329	FGIG_08032, FGIG_01323
OG0001957	T265_16364	FGIG_01445
OG0001958	T265_12587	FGIG_01525
OG0001959	T265_12030	FGIG_01707
OG0001960	T265_03563	FGIG_01709
OG0001961	T265_04189	FGIG_12229, FGIG_01718, FGIG_01717, FGIG_12228
OG0001962	T265_02258	FGIG_01870
OG0001963	T265_07542	FGIG_01934
OG0001964	T265_02635	FGIG_01965
OG0001965	T265_15738, T265_09470, T265_16302	FGIG_01978
OG0001966	T265_11898	FGIG_01994
OG0001967	T265_11018	FGIG_02023
OG0001968	T265_12615	FGIG_02090
OG0001969	T265_15599, T265_11986	FGIG_02108
OG0001970	T265_06534	FGIG_02292
OG0001972	T265_06716	FGIG_02971
OG0001973	T265_10631	FGIG_02972
OG0001974	T265_03306	FGIG_03001, FGIG_03000, FGIG_03002
OG0001975	T265_08820	FGIG_03194
OG0001978	T265_02840	FGIG_03425
OG0001979	T265_00134	FGIG_03430
OG0001980	T265_00639	FGIG_03446
OG0001981	T265_14563	FGIG_03545
OG0001982	T265_05804	FGIG_03564
OG0001983	T265_16272, T265_10525	FGIG_03619
OG0001984	T265_13337	FGIG_03674
OG0001985	T265_05014	FGIG_03737, FGIG_03736
OG0001986	T265_13071	FGIG_03793
OG0001987	T265_11477	FGIG_03835
OG0001988	T265_00178	FGIG_04295
OG0001989	T265_00999	FGIG_04368
OG0001990	T265_14644	FGIG_04430
OG0001991	T265_09212	FGIG_04551
OG0001992	T265_04048	FGIG_04557, FGIG_04558, FGIG_11227, FGIG_08602, FGIG_04556, FGIG_04555, FGIG_08601
OG0001993	T265_14343	FGIG_04621, FGIG_11304, FGIG_11303
OG0001995	T265_11523	FGIG_04654
OG0001996	T265_10482	FGIG_04771
OG0001997	T265_01011	FGIG_04930
OG0001998	T265_14397	FGIG_05116
OG0001998	T265_05189	FGIG_04945
OG0001999	T265_01760	FGIG_13995, FGIG_05007
OG0002000	T265_10963	FGIG_05071, FGIG_05073
OG0002001	T265_04575	FGIG_05351, FGIG_10322
OG0002002	T265_11222	FGIG_05474
OG0002003	T265_05270	FGIG_05597
OG0002004	T265_04351	FGIG_05610, FGIG_08593
OG0002006	T265_11260	FGIG_05620, FGIG_12403
OG0002007	T265_01809	FGIG_05753
OG0002008	T265_02030, T265_02029	FGIG_05878, FGIG_05879
OG0002009	T265_07583	FGIG_05904
OG0002010	T265_02865	FGIG_06031
OG0002011	T265_15553	FGIG_06078
OG0002012	T265_01585	FGIG_06082
OG0002013	T265_00133	FGIG_06141
OG0002014	T265_02025	FGIG_11116, FGIG_09556, FGIG_06161
OG0002015	T265_10154	FGIG_12200, FGIG_06387
OG0002016	T265_07786	FGIG_06393
OG0002018	T265_01252	FGIG_06578, FGIG_06579
OG0002019	T265_14733	FGIG_07624
OG0002020	T265_09353, T265_09354	FGIG_07652
OG0002021	T265_02319	FGIG_07835
OG0002023	T265_01173	FGIG_07949
OG0002024	T265_11589	FGIG_08028
OG0002025	T265_13824	FGIG_08079, FGIG_08077, FGIG_08078
OG0002026	T265_14886	FGIG_08218
OG0002027	T265_12826	FGIG_08231
OG0002028	T265_06994	FGIG_08327, FGIG_10920
OG0002029	T265_03894	FGIG_08478
OG0002030	T265_00505	FGIG_08503
OG0002031	T265_09865, T265_16204	FGIG_08525, FGIG_08524
OG0002032	T265_02749	FGIG_08730
OG0002033	T265_10134	FGIG_08755, FGIG_08754
OG0002034	T265_02060	FGIG_08831
OG0002035	T265_04572	FGIG_08871
OG0002036	T265_02637	FGIG_08929
OG0002037	T265_00055	FGIG_09110
OG0002038	T265_02077	FGIG_09222
OG0002038	T265_15831	FGIG_09223
OG0002039	T265_08815	FGIG_09256
OG0002040	T265_03319	FGIG_09293
OG0002041	T265_00833	FGIG_09352
OG0002042	T265_10274	FGIG_09643
OG0002043	T265_01128	FGIG_09653
OG0002045	T265_07822	FGIG_09717
OG0002046	T265_02662	FGIG_09852
OG0002047	T265_04671	FGIG_10163
OG0002048	T265_13011	FGIG_10239
OG0002050	T265_11962	FGIG_10507
OG0002051	T265_02963	FGIG_10793
OG0002052	T265_01480	FGIG_10797
OG0002053	T265_00451	FGIG_10820
OG0002054	T265_13210	FGIG_10935
OG0002055	T265_01146	FGIG_10947
OG0002056	T265_04164	FGIG_11048
OG0002057	T265_11668	FGIG_11544
OG0002058	T265_07761	FGIG_11772
OG0002059	T265_11048	FGIG_11780
OG0002060	T265_01393	FGIG_11842
OG0002061	T265_08182	FGIG_12110
OG0002062	T265_06808	FGIG_12184
OG0002063	T265_08631	FGIG_12410
OG0002073	T265_09527	FGIG_00082
OG0002074	T265_03665	FGIG_00101
OG0002075	T265_09383	FGIG_00132
OG0002076	T265_15233, T265_16097	FGIG_07077, FGIG_07078, FGIG_00206
OG0002077	T265_03682	FGIG_00216, FGIG_09924
OG0002078	T265_15041	FGIG_00312
OG0002079	T265_06240	FGIG_00383
OG0002080	T265_00124	FGIG_00484
OG0002081	T265_09555	FGIG_00552, FGIG_08298
OG0002082	T265_03148, T265_13172	FGIG_00579
OG0002082	T265_03149	FGIG_00578
OG0002083	T265_08100	FGIG_00658, FGIG_09985
OG0002084	T265_12470	FGIG_00752
OG0002084	T265_12471	FGIG_00755, FGIG_00754
OG0002085	T265_01378	FGIG_00781
OG0002086	T265_05643	FGIG_09005, FGIG_00788
OG0002087	T265_14114	FGIG_00882
OG0002088	T265_14944	FGIG_00913
OG0002089	T265_00465	FGIG_00932
OG0002090	T265_05436	FGIG_00986
OG0002091	T265_00837, T265_16066	FGIG_01070
OG0002092	T265_15900	FGIG_01268
OG0002093	T265_08579	FGIG_01356
OG0002094	T265_04373, T265_13499	FGIG_01469
OG0002095	T265_13010	FGIG_01632
OG0002096	T265_03819	FGIG_01676
OG0002098	T265_05615	FGIG_01746
OG0002099	T265_04149, T265_04150	FGIG_01747
OG0002100	T265_11580	FGIG_01904
OG0002101	T265_05374	FGIG_02032, FGIG_10566
OG0002102	T265_13199	FGIG_02054
OG0002103	T265_08800	FGIG_02069
OG0002104	T265_08023	FGIG_02074
OG0002105	T265_14195	FGIG_02131
OG0002106	T265_12884	FGIG_02208
OG0002107	T265_06088	FGIG_02265
OG0002108	T265_04775	FGIG_02477
OG0002109	T265_03486	FGIG_02633
OG0002110	T265_12853	FGIG_02667
OG0002111	T265_12810	FGIG_02740, FGIG_02741
OG0002112	T265_15351, T265_01166	FGIG_03025
OG0002113	T265_13848	FGIG_03296
OG0002114	T265_08567	FGIG_03896
OG0002115	T265_13872	FGIG_03962
OG0002116	T265_15055	FGIG_04721, FGIG_04077
OG0002117	T265_14145, T265_14146	FGIG_04173
OG0002118	T265_03977	FGIG_04184
OG0002119	T265_12990	FGIG_04220
OG0002120	T265_10602	FGIG_04231
OG0002121	T265_15200	FGIG_04233, FGIG_04232
OG0002122	T265_16017, T265_13609, T265_06473, T265_07036	FGIG_04355
OG0002123	T265_00741	FGIG_04472
OG0002124	T265_13794	FGIG_04560
OG0002125	T265_05313	FGIG_04585
OG0002126	T265_05547, T265_13807	FGIG_04673, FGIG_04675, FGIG_04674
OG0002127	T265_08051	FGIG_04867
OG0002128	T265_04386	FGIG_07940, FGIG_07941, FGIG_04883
OG0002129	T265_04290	FGIG_04937
OG0002130	T265_05977	FGIG_12658, FGIG_05062
OG0002131	T265_08653	FGIG_05119
OG0002132	T265_10351	FGIG_05232
OG0002133	T265_05901	FGIG_05314
OG0002134	T265_13573	FGIG_05624
OG0002135	T265_11834	FGIG_05765
OG0002136	T265_02078	FGIG_05990
OG0002137	T265_04278	FGIG_06265
OG0002138	T265_11382, T265_11381	FGIG_06285
OG0002139	T265_07012	FGIG_06377
OG0002140	T265_03075	FGIG_06385, FGIG_12408
OG0002141	T265_12391, T265_14911, T265_16353	FGIG_06397
OG0002142	T265_09176	FGIG_06549
OG0002143	T265_01276	FGIG_06744, FGIG_06745
OG0002144	T265_15470	FGIG_06833, FGIG_12222
OG0002145	T265_04022	FGIG_06894
OG0002147	T265_10180	FGIG_07060
OG0002148	T265_12487	FGIG_07150
OG0002149	T265_11302	FGIG_07229, FGIG_10638
OG0002150	T265_01113	FGIG_07241, FGIG_09386
OG0002151	T265_14429, T265_15959	FGIG_07245
OG0002152	T265_13875	FGIG_07252, FGIG_11124
OG0002153	T265_02445	FGIG_07293
OG0002154	T265_13262	FGIG_07297, FGIG_07298
OG0002155	T265_01069	FGIG_07344
OG0002156	T265_03544	FGIG_07411, FGIG_07410
OG0002157	T265_00621, T265_00620	FGIG_07422
OG0002158	T265_00081	FGIG_07479
OG0002159	T265_13086, T265_13085	FGIG_07668, FGIG_13986
OG0002160	T265_04782	FGIG_07809
OG0002162	T265_05709	FGIG_07893
OG0002162	T265_05840	FGIG_09044
OG0002163	T265_08502	FGIG_07909
OG0002164	T265_05843	FGIG_08058
OG0002165	T265_03273, T265_16079, T265_03274	FGIG_08102
OG0002166	T265_01946	FGIG_08113
OG0002167	T265_02698	FGIG_08390
OG0002168	T265_02435	FGIG_08554
OG0002169	T265_03699	FGIG_08738
OG0002170	T265_01262	FGIG_08748
OG0002171	T265_08677	FGIG_08756
OG0002172	T265_09344	FGIG_08850
OG0002173	T265_09337	FGIG_09152
OG0002174	T265_06747	FGIG_09162
OG0002175	T265_00392	FGIG_09338
OG0002176	T265_06743	FGIG_09375
OG0002177	T265_13224, T265_13225	FGIG_09393
OG0002178	T265_13369, T265_15860	FGIG_09399
OG0002179	T265_01562	FGIG_09419
OG0002180	T265_03959	FGIG_09454
OG0002181	T265_15583	FGIG_09560, FGIG_11930, FGIG_11929
OG0002182	T265_12958	FGIG_09570
OG0002183	T265_07962	FGIG_09574
OG0002184	T265_11281	FGIG_09626
OG0002185	T265_00949	FGIG_09640
OG0002186	T265_14166	FGIG_09677
OG0002187	T265_15386	FGIG_09896
OG0002187	T265_11248, T265_08829, T265_09036	FGIG_09895
OG0002188	T265_09763	FGIG_09940
OG0002189	T265_08728	FGIG_09969
OG0002190	T265_03237	FGIG_10017
OG0002192	T265_09919	FGIG_11140, FGIG_10086, FGIG_11138, FGIG_11139
OG0002193	T265_15308	FGIG_10336
OG0002194	T265_05011	FGIG_10539
OG0002195	T265_13134	FGIG_10604
OG0002196	T265_03909	FGIG_10636
OG0002197	T265_06567	FGIG_10687
OG0002198	T265_14194	FGIG_10743
OG0002199	T265_09839	FGIG_10871
OG0002200	T265_15279	FGIG_11136
OG0002201	T265_09904	FGIG_11203
OG0002202	T265_10317	FGIG_11573
OG0002203	T265_00149	FGIG_11895, FGIG_11896
OG0002204	T265_05023	FGIG_12650, FGIG_12066
OG0002206	T265_12890	FGIG_12508
OG0002212	T265_15048	FGIG_00064, FGIG_00063
OG0002214	T265_04068	FGIG_00154
OG0002215	T265_01396	FGIG_00249
OG0002216	T265_07046	FGIG_00305, FGIG_03788, FGIG_03787, FGIG_05155, FGIG_05154
OG0002217	T265_06306	FGIG_00514
OG0002218	T265_05183	FGIG_09413, FGIG_10567
OG0002218	T265_07284	FGIG_00689
OG0002219	T265_10914	FGIG_00868
OG0002220	T265_08525	FGIG_00875
OG0002221	T265_09567	FGIG_04571
OG0002222	T265_07622	FGIG_01061
OG0002223	T265_02296	FGIG_01190, FGIG_01189
OG0002223	T265_02259, T265_03688, T265_00847, T265_00845, T265_00846	FGIG_08130
OG0002224	T265_01855	FGIG_01217, FGIG_07046
OG0002225	T265_08736	FGIG_01235, FGIG_01236
OG0002226	T265_14172	FGIG_01251
OG0002227	T265_04117, T265_15786	FGIG_01282
OG0002228	T265_04080	FGIG_01298
OG0002229	T265_07873	FGIG_01349
OG0002230	T265_06596	FGIG_01359
OG0002231	T265_00618	FGIG_01526
OG0002232	T265_13884, T265_14131	FGIG_01528
OG0002233	T265_15141	FGIG_01619
OG0002234	T265_00386	FGIG_01755
OG0002235	T265_06682	FGIG_01815
OG0002236	T265_04798	FGIG_01839, FGIG_01838
OG0002236	T265_04794	FGIG_01841, FGIG_05959, FGIG_05960
OG0002237	T265_09477	FGIG_01843, FGIG_01844
OG0002238	T265_00685	FGIG_01931, FGIG_01929, FGIG_09706
OG0002239	T265_11016, T265_16245	FGIG_02021, FGIG_02022, FGIG_11904
OG0002241	T265_01430	FGIG_02071, FGIG_09407
OG0002242	T265_09722, T265_14338, T265_14682, T265_08846, T265_08847	FGIG_03786
OG0002242	T265_00032	FGIG_12095, FGIG_02183
OG0002243	T265_00755, T265_16223	FGIG_02190
OG0002244	T265_13718	FGIG_02421
OG0002245	T265_00529	FGIG_02712
OG0002246	T265_13249	FGIG_02737
OG0002247	T265_05389	FGIG_02926
OG0002248	T265_01349	FGIG_02985
OG0002249	T265_02684	FGIG_03295
OG0002250	T265_03642	FGIG_03355, FGIG_07266, FGIG_07264, FGIG_07265
OG0002251	T265_13203	FGIG_03597
OG0002252	T265_07719	FGIG_03608
OG0002253	T265_03058	FGIG_03758
OG0002254	T265_04918	FGIG_03762
OG0002255	T265_13495	FGIG_03783
OG0002256	T265_00072	FGIG_03842
OG0002257	T265_07202	FGIG_09671, FGIG_09669, FGIG_09670, FGIG_03870
OG0002258	T265_09086	FGIG_03876
OG0002258	T265_09079	FGIG_09563
OG0002259	T265_12708	FGIG_04001
OG0002260	T265_13734	FGIG_04041
OG0002261	T265_02353	FGIG_04091
OG0002263	T265_00662, T265_12600	FGIG_04322
OG0002264	T265_13409	FGIG_04362
OG0002265	T265_13935	FGIG_04389
OG0002266	T265_11642	FGIG_04454
OG0002267	T265_10276	FGIG_04524
OG0002268	T265_07694	FGIG_11754, FGIG_04695
OG0002269	T265_12133, T265_15794, T265_13923	FGIG_04772, FGIG_11249
OG0002270	T265_05191	FGIG_05032
OG0002271	T265_10628	FGIG_05054, FGIG_10761
OG0002272	T265_05407, T265_05409	FGIG_05097
OG0002273	T265_05777, T265_15024	FGIG_11698, FGIG_05145
OG0002274	T265_01312	FGIG_05175
OG0002275	T265_10682	FGIG_05339
OG0002276	T265_02217	FGIG_05367
OG0002277	T265_04300	FGIG_05444, FGIG_06812
OG0002278	T265_11208	FGIG_09994, FGIG_11786, FGIG_05591
OG0002279	T265_04983	FGIG_05662
OG0002280	T265_15222	FGIG_05667, FGIG_09099
OG0002281	T265_04079	FGIG_05678
OG0002282	T265_03187	FGIG_05703
OG0002283	T265_12455	FGIG_11894, FGIG_05806
OG0002284	T265_01223	FGIG_05967
OG0002285	T265_13808	FGIG_05994
OG0002286	T265_02503	FGIG_06042
OG0002287	T265_00542	FGIG_06120
OG0002288	T265_03285	FGIG_06146
OG0002289	T265_02605	FGIG_06166
OG0002290	T265_14569	FGIG_09267, FGIG_06359
OG0002291	T265_06153	FGIG_06403
OG0002292	T265_02156	FGIG_06655
OG0002293	T265_00593	FGIG_06706
OG0002294	T265_14007	FGIG_12343, FGIG_06716
OG0002295	T265_12527	FGIG_06836
OG0002296	T265_04413, T265_04415	FGIG_07857, FGIG_06883
OG0002297	T265_11479	FGIG_06891, FGIG_06890
OG0002298	T265_09933, T265_09932, T265_15001	FGIG_06951
OG0002299	T265_03230	FGIG_07092
OG0002300	T265_05781	FGIG_09925, FGIG_07095
OG0002301	T265_04317	FGIG_07117
OG0002302	T265_01158	FGIG_11232, FGIG_08060, FGIG_08061
OG0002302	T265_06295	FGIG_07118, FGIG_10708
OG0002303	T265_07017	FGIG_07470
OG0002304	T265_11843	FGIG_08042
OG0002306	T265_13964	FGIG_08115
OG0002307	T265_08826	FGIG_08189
OG0002308	T265_03838	FGIG_08211
OG0002309	T265_05078	FGIG_08287
OG0002310	T265_00874	FGIG_08475
OG0002311	T265_16283, T265_02474, T265_16279	FGIG_08577
OG0002312	T265_10407	FGIG_08678
OG0002313	T265_03368	FGIG_08766
OG0002314	T265_13148	FGIG_08910
OG0002315	T265_05552	FGIG_08928
OG0002316	T265_12852	FGIG_09015, FGIG_09014
OG0002318	T265_10729	FGIG_09233
OG0002319	T265_14042	FGIG_09288, FGIG_11697
OG0002320	T265_12528	FGIG_09337
OG0002321	T265_11407	FGIG_11653, FGIG_09436
OG0002322	T265_10218	FGIG_09441, FGIG_09442
OG0002323	T265_12604	FGIG_09510, FGIG_09829
OG0002324	T265_14423	FGIG_09558
OG0002325	T265_01610	FGIG_10351
OG0002325	T265_10273	FGIG_09644
OG0002326	T265_14647	FGIG_09702
OG0002327	T265_01272	FGIG_12278, FGIG_09776, FGIG_09775
OG0002328	T265_01590	FGIG_09778
OG0002329	T265_11177	FGIG_09876
OG0002331	T265_10476, T265_15160	FGIG_09927, FGIG_11900
OG0002332	T265_15273	FGIG_09958
OG0002333	T265_06756	FGIG_10059
OG0002334	T265_09684	FGIG_10145
OG0002335	T265_02278	FGIG_10281
OG0002336	T265_02152	FGIG_12150, FGIG_10289
OG0002337	T265_14716, T265_16237	FGIG_10362
OG0002338	T265_11508	FGIG_10458
OG0002340	T265_06228, T265_06230	FGIG_10716
OG0002341	T265_03885	FGIG_10749
OG0002342	T265_00239	FGIG_10783
OG0002343	T265_03463	FGIG_10808
OG0002344	T265_12913	FGIG_11003
OG0002345	T265_04329, T265_10710	FGIG_11019
OG0002346	T265_01087	FGIG_11123, FGIG_11122
OG0002347	T265_11024	FGIG_11158, FGIG_11159, FGIG_12385, FGIG_12386
OG0002348	T265_08714	FGIG_11206
OG0002349	T265_13440	FGIG_11271, FGIG_11398
OG0002350	T265_14858	FGIG_11286
OG0002351	T265_07519	FGIG_11338
OG0002352	T265_15955, T265_07372	FGIG_11473
OG0002354	T265_06916	FGIG_12409, FGIG_11676
OG0002355	T265_01787	FGIG_11960, FGIG_11712
OG0002370	T265_00457	FGIG_00318, FGIG_00319
OG0002371	T265_15300	FGIG_00332
OG0002372	T265_09285, T265_13946	FGIG_00522
OG0002374	T265_14253	FGIG_00687
OG0002375	T265_05233, T265_16343	FGIG_05220, FGIG_00900
OG0002376	T265_07446	FGIG_00953, FGIG_09565
OG0002377	T265_13979	FGIG_01063, FGIG_01062
OG0002378	T265_06234, T265_11236, T265_11235, T265_11237, T265_11238, T265_16021	FGIG_01137
OG0002379	T265_07907, T265_14426	FGIG_01173
OG0002379	T265_05894	FGIG_05262
OG0002380	T265_11928	FGIG_01224
OG0002381	T265_02654, T265_16266	FGIG_01256
OG0002382	T265_07767	FGIG_01304
OG0002383	T265_11452, T265_11454	FGIG_01455
OG0002384	T265_11362	FGIG_09873, FGIG_01494, FGIG_13997
OG0002385	T265_02561	FGIG_01675
