Orthogroup	opisthorchis_viverrini	schistosoma_mattheei
OG0001399	T265_07384	SMTH1_101960.1
OG0001400	T265_13928	SMTH1_90710.1
OG0001401	T265_02697	SMTH1_56590.1
OG0001402	T265_07539, T265_03846	SMTH1_28790.1, SMTH1_28790.3, SMTH1_28790.2
OG0001403	T265_11145	SMTH1_61290.1, SMTH1_61290.2
OG0001404	T265_08776	SMTH1_21590.1
OG0001405	T265_06509, T265_12170	SMTH1_37230.1
OG0001406	T265_02953	SMTH1_32480.1, SMTH1_32480.2, SMTH1_32480.3, SMTH1_32480.4
OG0001408	T265_01105	SMTH1_26950.1, SMTH1_26930.1
OG0001410	T265_01911	SMTH1_38860.1, SMTH1_38850.1
OG0001411	T265_09016	SMTH1_31630.1, SMTH1_31630.3, SMTH1_31630.2, SMTH1_31630.4, SMTH1_31630.5
OG0001412	T265_15135, T265_15134	SMTH1_31730.1
OG0001413	T265_15458	SMTH1_104670.1
OG0001414	T265_06660	SMTH1_4980.1, SMTH1_4970.1
OG0001415	T265_12583	SMTH1_34810.5, SMTH1_34810.1, SMTH1_34810.3, SMTH1_34810.2, SMTH1_34810.4
OG0001416	T265_15557	SMTH1_16240.2, SMTH1_16240.4, SMTH1_16240.6, SMTH1_16240.1, SMTH1_16240.3, SMTH1_16240.5
OG0001417	T265_01847	SMTH1_13820.1, SMTH1_13830.1
OG0001418	T265_05264	SMTH1_130.1, SMTH1_130.2, SMTH1_130.3, SMTH1_130.4
OG0001419	T265_10451	SMTH1_73650.1, SMTH1_73650.2, SMTH1_73650.3
OG0001420	T265_16318	SMTH1_91540.1, SMTH1_91540.2, SMTH1_91540.3, SMTH1_91540.5, SMTH1_91540.4
OG0001421	T265_06472	SMTH1_40690.1
OG0001422	T265_11255	SMTH1_83420.1, SMTH1_83420.2, SMTH1_83420.3
OG0001423	T265_04431	SMTH1_12510.1
OG0001424	T265_03034	SMTH1_10570.1
OG0001425	T265_07510	SMTH1_28220.2, SMTH1_28220.1
OG0001427	T265_05041	SMTH1_28800.1, SMTH1_28810.1
OG0001428	T265_02928	SMTH1_3020.1, SMTH1_3020.2, SMTH1_3020.3, SMTH1_3020.4, SMTH1_3020.5, SMTH1_3020.6, SMTH1_3020.7
OG0001429	T265_12422	SMTH1_59120.1, SMTH1_59120.2
OG0001431	T265_01123	SMTH1_72690.1
OG0001432	T265_10509	SMTH1_24130.1
OG0001433	T265_15424	SMTH1_22930.3, SMTH1_22930.2, SMTH1_22930.4, SMTH1_22930.1
OG0001434	T265_04812	SMTH1_105570.1
OG0001435	T265_14120	SMTH1_85980.2, SMTH1_85980.1
OG0001436	T265_10576	SMTH1_86440.1
OG0001437	T265_12582	SMTH1_56010.1, SMTH1_56010.2, SMTH1_56010.3, SMTH1_60770.1
OG0001438	T265_03681	SMTH1_20940.2, SMTH1_20940.3, SMTH1_20940.1
OG0001439	T265_02218	SMTH1_84210.1
OG0001440	T265_02878	SMTH1_41450.1, SMTH1_41450.2, SMTH1_41450.3
OG0001441	T265_07339	SMTH1_99930.1, SMTH1_99940.1
OG0001443	T265_09543	SMTH1_21470.1
OG0001444	T265_13620	SMTH1_80910.1, SMTH1_80910.2, SMTH1_80910.3, SMTH1_80910.4, SMTH1_80910.5, SMTH1_80910.6
OG0001445	T265_09117	SMTH1_82020.1, SMTH1_82010.1
OG0001453	T265_00365	SMTH1_58330.1
OG0001454	T265_02228	SMTH1_91740.1
OG0001455	T265_11649	SMTH1_106700.1, SMTH1_106700.2, SMTH1_106700.3, SMTH1_106700.4, SMTH1_106700.5, SMTH1_106700.6
OG0001456	T265_05111	SMTH1_76260.1, SMTH1_76280.1
OG0001457	T265_04536	SMTH1_6040.1, SMTH1_6040.2
OG0001458	T265_04521	SMTH1_33430.1, SMTH1_33430.2, SMTH1_33430.3
OG0001459	T265_15689	SMTH1_63500.1, SMTH1_63490.1
OG0001460	T265_14339	SMTH1_39950.1
OG0001461	T265_06464	SMTH1_31330.1, SMTH1_31330.10, SMTH1_31330.11, SMTH1_31330.12, SMTH1_31330.2, SMTH1_31330.3, SMTH1_31330.4, SMTH1_31330.5, SMTH1_31330.6, SMTH1_31330.7, SMTH1_31330.8, SMTH1_31330.9
OG0001462	T265_07001	SMTH1_64000.1, SMTH1_64000.2
OG0001463	T265_05105	SMTH1_66150.1, SMTH1_66170.1, SMTH1_66160.1
OG0001464	T265_09082	SMTH1_59420.1
OG0001465	T265_07647	SMTH1_83660.1, SMTH1_83670.1
OG0001466	T265_14982	SMTH1_5760.1, SMTH1_5760.2, SMTH1_5760.3, SMTH1_5760.4
OG0001467	T265_00617	SMTH1_69980.1
OG0001468	T265_06819	SMTH1_5310.1, SMTH1_5300.1
OG0001469	T265_01693	SMTH1_91370.1
OG0001470	T265_14595, T265_15746	SMTH1_71840.1
OG0001471	T265_15237	SMTH1_67280.1
OG0001472	T265_08050	SMTH1_71740.1
OG0001473	T265_00769	SMTH1_82380.1
OG0001474	T265_11473	SMTH1_45110.5, SMTH1_45110.4, SMTH1_45110.1, SMTH1_45110.2, SMTH1_45110.3, SMTH1_45110.6
OG0001475	T265_14342	SMTH1_60700.1
OG0001476	T265_05560	SMTH1_9610.1, SMTH1_9620.1
OG0001477	T265_06773	SMTH1_62040.1
OG0001478	T265_00873	SMTH1_24180.1
OG0001479	T265_08475	SMTH1_10750.1, SMTH1_10770.1, SMTH1_10760.1, SMTH1_10740.1
OG0001480	T265_01604	SMTH1_12160.1, SMTH1_12160.2, SMTH1_12160.3
OG0001481	T265_14626, T265_14628, T265_14627	SMTH1_53080.1, SMTH1_53090.1
OG0001482	T265_05352	SMTH1_102460.1, SMTH1_102470.1
OG0001483	T265_01269, T265_01266	SMTH1_79710.1
OG0001484	T265_10296	SMTH1_25180.1, SMTH1_25180.3, SMTH1_25180.2, SMTH1_25180.4
OG0001485	T265_10549	SMTH1_37650.1, SMTH1_37650.2
OG0001486	T265_02851	SMTH1_58910.1
OG0001487	T265_09627, T265_15615	SMTH1_27320.2, SMTH1_27320.1, SMTH1_27320.3, SMTH1_27320.4, SMTH1_107440.1
OG0001488	T265_01494	SMTH1_39820.1
OG0001488	T265_04399, T265_08966	SMTH1_105930.1
OG0001489	T265_05991	SMTH1_28140.1
OG0001490	T265_13139	SMTH1_35050.1
OG0001491	T265_07832	SMTH1_6410.1, SMTH1_6410.4, SMTH1_6410.2, SMTH1_6410.3
OG0001492	T265_04063, T265_04062	SMTH1_54180.1, SMTH1_54170.1, SMTH1_54180.2, SMTH1_54190.1
OG0001493	T265_03979	SMTH1_51270.1, SMTH1_51280.1, SMTH1_51290.1
OG0001494	T265_14892, T265_09586	SMTH1_29260.1
OG0001495	T265_06435	SMTH1_8680.1
OG0001496	T265_01743	SMTH1_84290.1
OG0001497	T265_02802	SMTH1_38240.1
OG0001498	T265_03502	SMTH1_50490.1
OG0001499	T265_01557	SMTH1_71580.1, SMTH1_71580.3, SMTH1_71580.2, SMTH1_71580.4
OG0001501	T265_04822	SMTH1_103080.8, SMTH1_103080.1, SMTH1_103080.3, SMTH1_103080.4, SMTH1_103080.5, SMTH1_103080.6, SMTH1_103080.7, SMTH1_103080.2
OG0001502	T265_14792, T265_14789, T265_16258	SMTH1_800.1, SMTH1_830.1, SMTH1_750.1, SMTH1_740.1
OG0001503	T265_05097, T265_12399	SMTH1_57650.1, SMTH1_57650.2, SMTH1_57650.3
OG0001504	T265_03352	SMTH1_70540.1
OG0001505	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141	SMTH1_103630.3, SMTH1_103630.2, SMTH1_103630.1
OG0001506	T265_13987	SMTH1_15890.1
OG0001507	T265_01301	SMTH1_58160.1
OG0001508	T265_14041	SMTH1_43070.1
OG0001509	T265_09841, T265_15907	SMTH1_84590.1
OG0001511	T265_10772	SMTH1_35290.1, SMTH1_35290.2
OG0001512	T265_05456	SMTH1_79610.1
OG0001513	T265_14406	SMTH1_16150.1, SMTH1_16140.1, SMTH1_16140.2
OG0001514	T265_02478	SMTH1_2080.1
OG0001515	T265_03047, T265_13123	SMTH1_2750.1, SMTH1_10420.1, SMTH1_63770.1, SMTH1_63790.1, SMTH1_63790.2
OG0001516	T265_07259	SMTH1_21840.1
OG0001517	T265_05985	SMTH1_30460.1, SMTH1_30460.2, SMTH1_30460.3, SMTH1_30460.4, SMTH1_30460.5, SMTH1_30460.6, SMTH1_30460.7
OG0001518	T265_01746	SMTH1_84370.1
OG0001519	T265_08195	SMTH1_84170.1
OG0001520	T265_06489	SMTH1_9740.1
OG0001521	T265_01208, T265_16307	SMTH1_61110.1, SMTH1_61110.2
OG0001522	T265_14252	SMTH1_11160.2, SMTH1_11160.1, SMTH1_11160.3, SMTH1_11160.4, SMTH1_11160.5, SMTH1_11160.6
OG0001523	T265_11980	SMTH1_54310.1
OG0001524	T265_02241	SMTH1_89870.1
OG0001525	T265_08346	SMTH1_37550.1, SMTH1_37550.2, SMTH1_37550.3
OG0001526	T265_00835	SMTH1_58890.1, SMTH1_58890.2, SMTH1_58890.3, SMTH1_58890.4
OG0001527	T265_12883	SMTH1_99110.1, SMTH1_99110.2, SMTH1_99110.3
OG0001528	T265_08066	SMTH1_46430.1, SMTH1_47790.1
OG0001529	T265_12570	SMTH1_107820.1, SMTH1_107820.2, SMTH1_65440.1, SMTH1_65440.2
OG0001530	T265_09171	SMTH1_52000.1, SMTH1_52000.2
OG0001531	T265_04383	SMTH1_18470.1
OG0001533	T265_09632	SMTH1_65260.1
OG0001534	T265_02002	SMTH1_82720.1
OG0001535	T265_00031	SMTH1_96770.1
OG0001537	T265_07231, T265_07233	SMTH1_1770.1, SMTH1_1750.1, SMTH1_1730.1
OG0001538	T265_04172	SMTH1_97640.1
OG0001539	T265_03334	SMTH1_1930.1, SMTH1_1930.2, SMTH1_1930.3
OG0001540	T265_04996	SMTH1_43370.10, SMTH1_43370.7, SMTH1_43370.2, SMTH1_43370.3, SMTH1_43370.1, SMTH1_43370.4, SMTH1_43370.11, SMTH1_43370.5, SMTH1_43370.12, SMTH1_43370.8, SMTH1_43370.9, SMTH1_43370.6, SMTH1_43340.1
OG0001541	T265_13925	SMTH1_93210.1, SMTH1_93210.2
OG0001542	T265_07214	SMTH1_53880.4, SMTH1_53880.1, SMTH1_53880.2, SMTH1_53880.3
OG0001543	T265_07128	SMTH1_93100.1, SMTH1_93100.2, SMTH1_93100.3, SMTH1_93100.4, SMTH1_93100.5
OG0001544	T265_12018	SMTH1_14150.1, SMTH1_14150.2, SMTH1_14150.3, SMTH1_14150.4
OG0001546	T265_03376	SMTH1_40200.1
OG0001547	T265_04460	SMTH1_50000.1, SMTH1_50000.2, SMTH1_50000.3, SMTH1_50000.4
OG0001554	T265_03627	SMTH1_34110.1
OG0001555	T265_12003	SMTH1_84330.1, SMTH1_84300.1, SMTH1_84310.1
OG0001556	T265_05427	SMTH1_35820.1
OG0001557	T265_02616	SMTH1_45810.4, SMTH1_45810.1, SMTH1_45810.2, SMTH1_45810.3
OG0001558	T265_05296	SMTH1_89620.1
OG0001560	T265_03153	SMTH1_70250.1, SMTH1_70250.4, SMTH1_70250.5, SMTH1_70250.2, SMTH1_70250.3
OG0001561	T265_00466	SMTH1_51320.1
OG0001562	T265_07195, T265_14225, T265_14226, T265_14228	SMTH1_83140.1, SMTH1_83150.1, SMTH1_83150.2, SMTH1_83150.3
OG0001563	T265_08071	SMTH1_48730.1, SMTH1_48730.2, SMTH1_48730.3, SMTH1_48730.5, SMTH1_48730.6, SMTH1_48730.4
OG0001564	T265_09439, T265_09367, T265_15503	SMTH1_54720.1, SMTH1_54730.1
OG0001565	T265_13020, T265_13021	SMTH1_72140.1, SMTH1_72140.2, SMTH1_72140.4, SMTH1_72140.3
OG0001566	T265_01168	SMTH1_70100.1, SMTH1_70110.1
OG0001567	T265_11351	SMTH1_86300.1, SMTH1_86300.2
OG0001568	T265_08844	SMTH1_89290.3, SMTH1_89290.2, SMTH1_89290.1, SMTH1_89290.4
OG0001569	T265_08597, T265_06165	SMTH1_24670.1, SMTH1_24670.2, SMTH1_24670.3, SMTH1_24670.4
OG0001570	T265_14294, T265_15779	SMTH1_78710.1
OG0001571	T265_06223, T265_06225	SMTH1_7380.1
OG0001572	T265_08929	SMTH1_70140.1
OG0001573	T265_14303	SMTH1_29360.1
OG0001574	T265_11245	SMTH1_39130.1
OG0001575	T265_01850	SMTH1_13060.1, SMTH1_13070.1
OG0001576	T265_05959	SMTH1_98140.1
OG0001577	T265_10560	SMTH1_32210.1, SMTH1_32210.2
OG0001578	T265_03834	SMTH1_62640.1
OG0001579	T265_00891, T265_12293	SMTH1_18730.1
OG0001580	T265_11044, T265_11046	SMTH1_46850.1, SMTH1_46860.1
OG0001581	T265_13097	SMTH1_87470.1
OG0001582	T265_00284	SMTH1_62240.1
OG0001583	T265_07844	SMTH1_46730.1, SMTH1_46740.1
OG0001584	T265_13141, T265_00101, T265_14080	SMTH1_38550.3, SMTH1_38550.1, SMTH1_38550.2
OG0001585	T265_13043	SMTH1_44790.1
OG0001586	T265_08001	SMTH1_19790.1
OG0001587	T265_00980	SMTH1_20810.1
OG0001588	T265_09362	SMTH1_69850.1, SMTH1_69850.2, SMTH1_69850.3, SMTH1_69850.4
OG0001590	T265_05785	SMTH1_77120.1
OG0001591	T265_02753	SMTH1_107060.1, SMTH1_107050.1
OG0001592	T265_07090, T265_10582	SMTH1_20630.1, SMTH1_20630.3, SMTH1_20630.2
OG0001593	T265_05613	SMTH1_68250.1, SMTH1_68240.1
OG0001594	T265_10080	SMTH1_40260.1, SMTH1_40260.2, SMTH1_40260.3
OG0001595	T265_11438	SMTH1_72900.2, SMTH1_72900.1, SMTH1_72900.3, SMTH1_72900.6, SMTH1_72900.4, SMTH1_72900.5
OG0001596	T265_05252, T265_13230	SMTH1_89100.1, SMTH1_89110.1
OG0001597	T265_02935	SMTH1_81560.2, SMTH1_81560.3, SMTH1_81560.1
OG0001598	T265_00351	SMTH1_50970.1
OG0001599	T265_10881	SMTH1_77640.1
OG0001600	T265_08507	SMTH1_33330.1
OG0001601	T265_12251, T265_13640	SMTH1_73620.1
OG0001602	T265_06910	SMTH1_14980.1, SMTH1_14980.2, SMTH1_14990.1
OG0001604	T265_10406	SMTH1_27360.1
OG0001605	T265_09891	SMTH1_17350.1
OG0001606	T265_10728	SMTH1_25510.1, SMTH1_25490.1, SMTH1_25500.1
OG0001607	T265_15554	SMTH1_77190.4, SMTH1_77190.1, SMTH1_77190.2, SMTH1_77190.3, SMTH1_77190.5
OG0001608	T265_08088	SMTH1_57560.1
OG0001609	T265_02340	SMTH1_79650.1, SMTH1_79650.2, SMTH1_79650.3
OG0001610	T265_05234	SMTH1_105870.1
OG0001610	T265_14531	SMTH1_40830.1
OG0001611	T265_01454	SMTH1_67180.1
OG0001612	T265_06824	SMTH1_1850.1
OG0001613	T265_02844	SMTH1_82450.1
OG0001614	T265_06438, T265_00023, T265_08537	SMTH1_44640.1, SMTH1_44630.1
OG0001615	T265_08538	SMTH1_44660.1
OG0001617	T265_01771, T265_12207	SMTH1_60460.1
OG0001618	T265_02608	SMTH1_43480.1
OG0001619	T265_00098	SMTH1_60340.1
OG0001620	T265_07578, T265_07576	SMTH1_37580.1
OG0001621	T265_11273	SMTH1_960.1
OG0001622	T265_12340, T265_16297	SMTH1_94020.1, SMTH1_93990.1, SMTH1_93990.2
OG0001623	T265_00228, T265_08047	SMTH1_8550.2, SMTH1_8550.1, SMTH1_8550.3
OG0001624	T265_09187	SMTH1_45770.1, SMTH1_45780.1
OG0001626	T265_11931	SMTH1_35930.2, SMTH1_35930.3
OG0001627	T265_02191	SMTH1_80960.2, SMTH1_80960.1, SMTH1_80960.3
OG0001628	T265_05566	SMTH1_18030.1, SMTH1_18030.2, SMTH1_18030.3, SMTH1_18030.4, SMTH1_18030.5, SMTH1_18030.6
OG0001629	T265_01797	SMTH1_2460.1, SMTH1_2460.2
OG0001630	T265_02099	SMTH1_10380.1
OG0001631	T265_03790	SMTH1_99830.1, SMTH1_99840.1
OG0001632	T265_14353	SMTH1_74650.1, SMTH1_74650.2, SMTH1_74650.3
OG0001633	T265_10187	SMTH1_105180.1
OG0001634	T265_00567	SMTH1_96890.1, SMTH1_96890.2
OG0001635	T265_06410, T265_15946	SMTH1_5780.4, SMTH1_5780.1, SMTH1_5780.2, SMTH1_5780.3
OG0001636	T265_05447	SMTH1_83240.1, SMTH1_83240.5, SMTH1_83240.6, SMTH1_83240.2, SMTH1_83240.7, SMTH1_83240.3, SMTH1_83240.4
OG0001637	T265_08784	SMTH1_64600.1
OG0001638	T265_05557	SMTH1_7730.1
OG0001640	T265_06192	SMTH1_22670.2, SMTH1_22670.1, SMTH1_22670.6, SMTH1_22670.7, SMTH1_22670.3, SMTH1_22670.4, SMTH1_22670.5
OG0001641	T265_13439	SMTH1_98580.1, SMTH1_98590.1
OG0001642	T265_11396	SMTH1_77000.1, SMTH1_107680.1, SMTH1_107300.1
OG0001643	T265_09518	SMTH1_66330.1
OG0001644	T265_04914	SMTH1_54840.1, SMTH1_54840.2, SMTH1_54840.3
OG0001645	T265_10635	SMTH1_105640.1, SMTH1_105620.1, SMTH1_105630.1
OG0001646	T265_09167	SMTH1_61920.3, SMTH1_61920.2, SMTH1_61920.1
OG0001647	T265_04701	SMTH1_46620.1
OG0001648	T265_01727	SMTH1_89030.1
OG0001649	T265_04939	SMTH1_15510.2, SMTH1_15510.6, SMTH1_15510.4, SMTH1_15510.1, SMTH1_15510.3, SMTH1_15510.5, SMTH1_15510.8, SMTH1_15510.7, SMTH1_15520.1
OG0001650	T265_07849	SMTH1_81320.1, SMTH1_81320.2, SMTH1_81320.4, SMTH1_81320.3
OG0001652	T265_14643	SMTH1_79570.1
OG0001653	T265_12692	SMTH1_12040.1, SMTH1_12040.2, SMTH1_12040.3
OG0001655	T265_08873	SMTH1_75200.2, SMTH1_75200.1, SMTH1_75200.3, SMTH1_75200.4
OG0001656	T265_01416	SMTH1_97550.3, SMTH1_97550.1, SMTH1_97550.2, SMTH1_97550.4
OG0001657	T265_02579	SMTH1_37260.1, SMTH1_37250.1
OG0001659	T265_05197	SMTH1_38750.1, SMTH1_38750.2, SMTH1_38750.3, SMTH1_38770.1
OG0001661	T265_08837, T265_12365	SMTH1_57450.1, SMTH1_57450.2
OG0001668	T265_09738	SMTH1_31440.1
OG0001669	T265_14607	SMTH1_35560.1
OG0001670	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981	SMTH1_40650.1
OG0001671	T265_14634	SMTH1_33520.5, SMTH1_33520.3, SMTH1_33520.4, SMTH1_33520.1, SMTH1_33520.2
OG0001672	T265_00750	SMTH1_32670.1, SMTH1_32670.2
OG0001673	T265_01379	SMTH1_68070.1
OG0001675	T265_12874	SMTH1_74250.2, SMTH1_74250.4, SMTH1_74250.1, SMTH1_74250.3
OG0001676	T265_01615	SMTH1_12240.1
OG0001677	T265_05762	SMTH1_98400.1
OG0001680	T265_09371	SMTH1_31500.1, SMTH1_31510.1
OG0001681	T265_12663, T265_16018	SMTH1_21000.1, SMTH1_20990.1
OG0001682	T265_15158	SMTH1_18900.1
OG0001683	T265_09590, T265_14893, T265_03749	SMTH1_28100.1
OG0001684	T265_09014	SMTH1_32600.1, SMTH1_32600.2, SMTH1_32600.3, SMTH1_32600.5, SMTH1_32550.1, SMTH1_32600.4
OG0001685	T265_15090	SMTH1_17090.1, SMTH1_17090.2, SMTH1_17090.3, SMTH1_17090.4, SMTH1_17090.5, SMTH1_17070.1
OG0001686	T265_09608, T265_15908	SMTH1_91470.1, SMTH1_91470.2, SMTH1_91470.3
OG0001687	T265_07419	SMTH1_61900.1, SMTH1_61910.2, SMTH1_61910.1
OG0001688	T265_07388	SMTH1_24590.1
OG0001689	T265_15368	SMTH1_24060.1, SMTH1_23750.1, SMTH1_23750.2
OG0001690	T265_04514	SMTH1_37700.1, SMTH1_37700.4, SMTH1_37700.5, SMTH1_37700.6, SMTH1_37700.7, SMTH1_37700.8, SMTH1_37700.9, SMTH1_37700.2, SMTH1_37700.3
OG0001691	T265_03200	SMTH1_14650.1, SMTH1_14640.1, SMTH1_14640.2, SMTH1_14640.3, SMTH1_14640.4
OG0001692	T265_13395	SMTH1_84710.1
OG0001694	T265_02240	SMTH1_91630.1
OG0001695	T265_10771	SMTH1_35320.1
OG0001696	T265_09913	SMTH1_47940.1
OG0001697	T265_05671	SMTH1_104730.3, SMTH1_104730.4, SMTH1_104730.5, SMTH1_104730.6, SMTH1_104730.1, SMTH1_104730.2
OG0001698	T265_05919	SMTH1_86960.1
OG0001699	T265_08126	SMTH1_68590.3, SMTH1_68590.4, SMTH1_68590.2, SMTH1_68590.1
OG0001700	T265_09892	SMTH1_16940.1, SMTH1_16940.2
OG0001701	T265_03185	SMTH1_93410.1, SMTH1_93400.1
OG0001702	T265_01458	SMTH1_49890.2, SMTH1_49890.1
OG0001703	T265_14685	SMTH1_39490.1, SMTH1_39490.4, SMTH1_39490.2, SMTH1_39490.5, SMTH1_39490.3, SMTH1_39490.6
OG0001704	T265_10332	SMTH1_17160.1, SMTH1_17180.1, SMTH1_17190.1
OG0001705	T265_06950	SMTH1_27450.2, SMTH1_27450.1, SMTH1_27460.1, SMTH1_27440.2, SMTH1_27440.1, SMTH1_27440.3
OG0001706	T265_00105	SMTH1_35520.1
OG0001707	T265_01410	SMTH1_72390.1
OG0001708	T265_02720	SMTH1_104890.1
OG0001709	T265_13976	SMTH1_32900.1, SMTH1_32890.1
OG0001710	T265_05358	SMTH1_95360.1, SMTH1_95350.1, SMTH1_95350.2, SMTH1_95350.3, SMTH1_95350.4, SMTH1_95350.5, SMTH1_95370.1
OG0001711	T265_05328	SMTH1_103730.1, SMTH1_103730.2, SMTH1_103740.1
OG0001712	T265_14005	SMTH1_46380.1
OG0001713	T265_08885	SMTH1_64840.1
OG0001714	T265_14693	SMTH1_64850.1
OG0001715	T265_03710	SMTH1_26230.2, SMTH1_26230.1
OG0001716	T265_12518	SMTH1_77200.1
OG0001717	T265_02968	SMTH1_31980.5, SMTH1_31980.4, SMTH1_31980.3, SMTH1_31980.1, SMTH1_31980.2
OG0001718	T265_09214	SMTH1_16820.1
OG0001719	T265_04478	SMTH1_48630.1, SMTH1_48620.1
OG0001720	T265_12689, T265_01853	SMTH1_13120.1
OG0001721	T265_01466	SMTH1_62880.1, SMTH1_62900.1
OG0001723	T265_12870	SMTH1_12300.1, SMTH1_12290.1
OG0001724	T265_04056	SMTH1_80800.1
OG0001725	T265_09161	SMTH1_78840.1, SMTH1_78840.2, SMTH1_78840.3, SMTH1_78840.4, SMTH1_78840.5, SMTH1_78850.1
OG0001726	T265_12576	SMTH1_39670.1
OG0001726	T265_01638	SMTH1_90290.1
OG0001727	T265_10361	SMTH1_98550.1, SMTH1_98550.2, SMTH1_98540.1
OG0001728	T265_03905	SMTH1_78780.1, SMTH1_71570.1
OG0001729	T265_01004	SMTH1_12060.1, SMTH1_12060.2, SMTH1_12060.3
OG0001731	T265_11635	SMTH1_34250.1, SMTH1_34250.2
OG0001732	T265_02819	SMTH1_54050.1, SMTH1_54050.2, SMTH1_54050.3, SMTH1_54050.4, SMTH1_54050.5, SMTH1_54050.6
OG0001733	T265_03326	SMTH1_66510.1
OG0001734	T265_07463	SMTH1_102570.1
OG0001735	T265_07057, T265_07056	SMTH1_29100.1, SMTH1_29110.1, SMTH1_29090.1
OG0001736	T265_14980	SMTH1_18830.1, SMTH1_18820.1
OG0001737	T265_05187	SMTH1_101880.2, SMTH1_101880.3, SMTH1_101880.1, SMTH1_101880.4
OG0001738	T265_04467	SMTH1_46410.1
OG0001739	T265_09719	SMTH1_45860.1
OG0001740	T265_02848	SMTH1_61050.1, SMTH1_61050.2, SMTH1_61050.3, SMTH1_61050.5, SMTH1_61050.4
OG0001741	T265_09400	SMTH1_5230.2, SMTH1_5230.1
OG0001742	T265_01766	SMTH1_60480.1
OG0001744	T265_10654, T265_12595	SMTH1_76050.1, SMTH1_76050.2
OG0001745	T265_05962	SMTH1_31900.1
OG0001746	T265_12992	SMTH1_91660.1
OG0001747	T265_08419	SMTH1_6890.5, SMTH1_6890.4, SMTH1_6890.3, SMTH1_6890.1, SMTH1_6890.2
OG0001748	T265_02528	SMTH1_65180.2, SMTH1_65180.1
OG0001749	T265_05162, T265_13920	SMTH1_29250.1, SMTH1_29240.1
OG0001750	T265_14641, T265_08679	SMTH1_4790.1, SMTH1_4790.2, SMTH1_4790.3
OG0001751	T265_03745	SMTH1_29390.1
OG0001752	T265_08775	SMTH1_11570.1, SMTH1_11570.3, SMTH1_11570.4, SMTH1_11570.2
OG0001754	T265_14140	SMTH1_66250.1
OG0001755	T265_08222, T265_10918	SMTH1_4680.1, SMTH1_4680.2
OG0001756	T265_02705	SMTH1_56120.1
OG0001757	T265_00117	SMTH1_54500.1, SMTH1_54500.2, SMTH1_54500.3
OG0001758	T265_08429, T265_16089, T265_08430	SMTH1_94660.1
OG0001759	T265_14874	SMTH1_75380.1, SMTH1_75380.2
OG0001760	T265_13963	SMTH1_74940.1, SMTH1_74930.1, SMTH1_74950.1
OG0001761	T265_11120	SMTH1_79580.1, SMTH1_79580.2, SMTH1_79580.3
OG0001762	T265_08963, T265_16323, T265_08964	SMTH1_106650.1, SMTH1_106660.1
OG0001763	T265_11384	SMTH1_34530.1
OG0001764	T265_04595	SMTH1_17830.2, SMTH1_17830.1
OG0001765	T265_00502	SMTH1_75500.1, SMTH1_75490.1
OG0001766	T265_14565	SMTH1_38260.2, SMTH1_38260.1
OG0001767	T265_04548	SMTH1_4560.1, SMTH1_4570.1
OG0001768	T265_10297	SMTH1_95340.1, SMTH1_95340.2, SMTH1_95320.1
OG0001769	T265_03947	SMTH1_3060.1, SMTH1_3060.2, SMTH1_3060.3
OG0001770	T265_08230	SMTH1_37350.1, SMTH1_37350.2
OG0001771	T265_13913	SMTH1_58820.1
OG0001772	T265_07572	SMTH1_100130.5, SMTH1_72850.1, SMTH1_100130.2, SMTH1_100130.4, SMTH1_100130.1, SMTH1_100130.3
OG0001773	T265_00534	SMTH1_70700.1
OG0001774	T265_06888	SMTH1_7920.1
OG0001775	T265_09040	SMTH1_20000.2, SMTH1_20000.3, SMTH1_20000.1
OG0001776	T265_11140	SMTH1_105520.5, SMTH1_105520.6, SMTH1_105520.1, SMTH1_105520.2, SMTH1_105520.3, SMTH1_105520.4
OG0001777	T265_03011	SMTH1_6120.1, SMTH1_6120.2, SMTH1_6120.3
OG0001778	T265_09376	SMTH1_99550.1, SMTH1_99550.2
OG0001780	T265_06467	SMTH1_31380.1
OG0001781	T265_13075	SMTH1_105780.2, SMTH1_105770.1, SMTH1_105780.1
OG0001782	T265_03902	SMTH1_73960.1
OG0001783	T265_03631	SMTH1_34080.1
OG0001784	T265_04098, T265_15912	SMTH1_47130.1
OG0001785	T265_07505	SMTH1_25300.3, SMTH1_25300.1, SMTH1_25300.2
OG0001786	T265_02513	SMTH1_71140.1, SMTH1_71140.9, SMTH1_71140.2, SMTH1_71140.4, SMTH1_71140.6, SMTH1_71140.7, SMTH1_71140.8, SMTH1_71140.3, SMTH1_71140.5
OG0001787	T265_13198	SMTH1_25330.1
OG0001789	T265_06187	SMTH1_24780.1
OG0001790	T265_13300	SMTH1_44940.1, SMTH1_44940.2
OG0001791	T265_08401, T265_08403	SMTH1_102290.1
OG0001792	T265_00418	SMTH1_87220.1
OG0001793	T265_07358	SMTH1_98850.1, SMTH1_98850.3, SMTH1_98850.2
OG0001794	T265_10719	SMTH1_75480.1
OG0001801	T265_04593	SMTH1_16000.1
OG0001803	T265_09341	SMTH1_45190.1, SMTH1_45210.1, SMTH1_45190.2
OG0001804	T265_12618	SMTH1_36580.1, SMTH1_36570.1
