Orthogroup	schistosoma_intercalatum	schistosoma_bovis
OG0000552	SINT1_84830.1	SBOV2_85430.1
OG0000553	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1	SBOV2_93560.3, SBOV2_93560.4
OG0000554	SINT1_11240.1	SBOV2_10870.2, SBOV2_10870.6, SBOV2_10870.7, SBOV2_10870.4, SBOV2_10870.1, SBOV2_10870.3, SBOV2_10870.5
OG0000555	SINT1_43550.1, SINT1_43550.2	SBOV2_42790.3, SBOV2_42790.2, SBOV2_42790.1, SBOV2_42790.4
OG0000556	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2	SBOV2_65450.1, SBOV2_65450.4, SBOV2_65450.6, SBOV2_65450.7, SBOV2_65450.5, SBOV2_65450.3, SBOV2_65450.2
OG0000557	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6, SINT1_37740.4, SINT1_37740.3	SBOV2_29940.1, SBOV2_29940.2, SBOV2_29940.3, SBOV2_29940.5, SBOV2_29940.4, SBOV2_29940.6
OG0000558	SINT1_17920.1	SBOV2_17300.7, SBOV2_17300.8, SBOV2_17300.3, SBOV2_17300.2, SBOV2_17300.1, SBOV2_17300.4, SBOV2_17300.5, SBOV2_17300.6, SBOV2_17300.9
OG0000559	SINT1_79590.1, SINT1_79590.3, SINT1_79590.2	SBOV2_80010.1, SBOV2_80010.3, SBOV2_80010.2
OG0000560	SINT1_94680.1, SINT1_94680.2, SINT1_94680.4, SINT1_94680.3	SBOV2_95600.1, SBOV2_95600.2, SBOV2_95600.3, SBOV2_95600.4
OG0000561	SINT1_93360.1	SBOV2_93990.1
OG0000561	SINT1_93370.1	SBOV2_94000.1
OG0000561	SINT1_93370.2	SBOV2_94000.1
OG0000562	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2	SBOV2_83870.1, SBOV2_83890.1
OG0000564	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3	SBOV2_25900.2, SBOV2_25900.1
OG0000565	SINT1_3380.1	SBOV2_3480.1
OG0000565	SINT1_3380.3	SBOV2_3480.6, SBOV2_3480.5
OG0000565	SINT1_3380.2	SBOV2_3480.3
OG0000566	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3	SBOV2_81430.1, SBOV2_81430.3, SBOV2_81430.4, SBOV2_81430.6, SBOV2_81430.2, SBOV2_81430.5
OG0000567	SINT1_65260.1	SBOV2_65340.10, SBOV2_65340.7, SBOV2_65340.6, SBOV2_65340.5, SBOV2_65340.8, SBOV2_65340.9, SBOV2_65340.2, SBOV2_65340.1, SBOV2_65340.3, SBOV2_65340.4
OG0000568	SINT1_56550.1	SBOV2_56100.1
OG0000568	SINT1_66460.1	SBOV2_66610.1, SBOV2_66610.2, SBOV2_66610.3
OG0000568	SINT1_34990.1	SBOV2_32750.1
OG0000569	SINT1_9740.1	SBOV2_9460.1
OG0000570	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1	SBOV2_12760.1, SBOV2_12760.2, SBOV2_12760.3
OG0000571	SINT1_9030.1	SBOV2_8760.1
OG0000572	SINT1_59080.1	SBOV2_58890.1
OG0000574	SINT1_2810.1	SBOV2_2960.3, SBOV2_2960.2, SBOV2_2960.1
OG0000574	SINT1_2850.1	SBOV2_2990.1
OG0000575	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2	SBOV2_93450.3, SBOV2_93450.5, SBOV2_93450.7, SBOV2_93450.11, SBOV2_93450.9, SBOV2_93450.1, SBOV2_93450.12, SBOV2_93450.6, SBOV2_93450.2, SBOV2_93450.10, SBOV2_93450.4, SBOV2_93450.8
OG0000576	SINT1_44160.10, SINT1_44160.11, SINT1_44160.9	SBOV2_43370.4
OG0000576	SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1	SBOV2_43370.6, SBOV2_43370.3, SBOV2_43370.5, SBOV2_43370.1, SBOV2_43370.2
OG0000577	SINT1_53010.4, SINT1_53010.7, SINT1_53010.3, SINT1_53010.2, SINT1_53010.1, SINT1_53010.5, SINT1_53010.6	SBOV2_52550.4, SBOV2_52550.5, SBOV2_52550.6, SBOV2_52550.1, SBOV2_52550.2, SBOV2_52550.3, SBOV2_52550.7
OG0000579	SINT1_74440.1	SBOV2_74600.1
OG0000579	SINT1_74460.1	SBOV2_74640.1
OG0000579	SINT1_74450.1	SBOV2_74620.1, SBOV2_74630.1
OG0000579	SINT1_74480.1	SBOV2_74670.1
OG0000580	SINT1_39230.1	SBOV2_28560.1
OG0000580	SINT1_32400.1, SINT1_32400.2	SBOV2_35280.1, SBOV2_35280.2
OG0000581	SINT1_60760.7, SINT1_60760.8, SINT1_60760.1, SINT1_60760.4, SINT1_60760.5, SINT1_60760.3, SINT1_60760.2, SINT1_60760.6	SBOV2_60630.1, SBOV2_60630.2, SBOV2_60630.3, SBOV2_60630.4
OG0000582	SINT1_81700.1	SBOV2_82220.1
OG0000582	SINT1_81710.1	SBOV2_82230.1
OG0000582	SINT1_81720.1	SBOV2_82240.1
OG0000583	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2	SBOV2_60250.5, SBOV2_60250.2, SBOV2_60250.1, SBOV2_60250.3, SBOV2_60250.4
OG0000584	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9	SBOV2_39130.1
OG0000585	SINT1_5900.1	SBOV2_5880.8, SBOV2_5880.10, SBOV2_5880.11, SBOV2_5880.4, SBOV2_5880.5, SBOV2_5880.6, SBOV2_5880.7, SBOV2_5880.9, SBOV2_5880.3, SBOV2_5880.1, SBOV2_5880.2
OG0000586	SINT1_31110.1	SBOV2_36560.1, SBOV2_36560.5, SBOV2_36560.4, SBOV2_36560.3, SBOV2_36560.2
OG0000587	SINT1_64510.1	SBOV2_64500.1, SBOV2_64500.2, SBOV2_64510.1, SBOV2_64530.1
OG0000587	SINT1_9440.1	SBOV2_9150.1
OG0000588	SINT1_22680.1	SBOV2_21940.1
OG0000589	SINT1_54780.1	SBOV2_50670.1
OG0000590	SINT1_29290.1	SBOV2_38410.1
OG0000590	SINT1_40570.1	SBOV2_27250.1
OG0000591	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4	SBOV2_3490.1
OG0000592	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5	SBOV2_36710.1
OG0000593	SINT1_31860.1	SBOV2_35850.5, SBOV2_35850.10, SBOV2_35850.8, SBOV2_35850.6, SBOV2_35850.2, SBOV2_35850.9, SBOV2_35850.1, SBOV2_35850.3, SBOV2_35850.4, SBOV2_35850.7
OG0000594	SINT1_49270.1	SBOV2_48710.1
OG0000595	SINT1_47700.1	SBOV2_47060.2, SBOV2_47060.3, SBOV2_47060.1, SBOV2_47060.6, SBOV2_47060.5, SBOV2_47060.4
OG0000597	SINT1_96390.1	SBOV2_56960.1
OG0000597	SINT1_56900.1, SINT1_56900.2	SBOV2_56570.1
OG0000597	SINT1_95780.1, SINT1_57090.2, SINT1_57090.1, SINT1_56890.1	SBOV2_56790.1, SBOV2_56790.4, SBOV2_56790.2, SBOV2_56790.3
OG0000598	SINT1_12960.1	SBOV2_12610.1, SBOV2_12610.3, SBOV2_12610.4, SBOV2_12610.5, SBOV2_12610.2, SBOV2_12610.7, SBOV2_12610.6
OG0000599	SINT1_62340.1, SINT1_62340.2	SBOV2_62190.2, SBOV2_62190.4, SBOV2_62190.3, SBOV2_62190.1, SBOV2_62190.5, SBOV2_62190.6
OG0000600	SINT1_67100.1	SBOV2_67220.1
OG0000600	SINT1_67110.1	SBOV2_67230.1
OG0000601	SINT1_93270.1, SINT1_93270.2, SINT1_93280.1	SBOV2_93890.1
OG0000601	SINT1_40980.1, SINT1_40980.2	SBOV2_26880.1
OG0000602	SINT1_15170.1, SINT1_15170.2	SBOV2_14760.1
OG0000603	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3	SBOV2_49740.2, SBOV2_49740.1, SBOV2_49740.3
OG0000604	SINT1_39390.5, SINT1_39390.3, SINT1_39390.1, SINT1_39390.2, SINT1_39390.4	SBOV2_28370.6, SBOV2_28370.3, SBOV2_28370.4, SBOV2_28370.5, SBOV2_28370.1, SBOV2_28370.2
OG0000605	SINT1_27640.1	SBOV2_40030.1
OG0000605	SINT1_27600.1	SBOV2_40070.1
OG0000607	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2	SBOV2_36500.8, SBOV2_36500.7, SBOV2_36500.4, SBOV2_36500.2, SBOV2_36500.6, SBOV2_36500.1, SBOV2_36500.3, SBOV2_36500.5
OG0000608	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5	SBOV2_54700.1
OG0000609	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2, SINT1_27510.1	SBOV2_40160.6, SBOV2_40160.3, SBOV2_40160.1, SBOV2_40160.4, SBOV2_40160.7, SBOV2_40160.5, SBOV2_40160.2
OG0000610	SINT1_22860.1	SBOV2_22240.1
OG0000611	SINT1_43150.1	SBOV2_42380.1
OG0000611	SINT1_43190.1	SBOV2_42430.1, SBOV2_42410.1
OG0000611	SINT1_43180.1	SBOV2_42400.1
OG0000611	SINT1_43160.1	SBOV2_42420.1
OG0000612	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7	SBOV2_8720.1, SBOV2_8720.4, SBOV2_8720.5, SBOV2_8720.6, SBOV2_8720.3, SBOV2_8720.2
OG0000613	SINT1_37050.2, SINT1_37050.1, SINT1_37050.3, SINT1_37050.4, SINT1_37050.5, SINT1_37050.6, SINT1_37050.7, SINT1_37050.8, SINT1_37050.9	SBOV2_30590.1, SBOV2_30590.2, SBOV2_30590.4, SBOV2_30590.3, SBOV2_30590.5, SBOV2_30590.6
OG0000614	SINT1_44350.1	SBOV2_43550.2, SBOV2_43550.3
OG0000614	SINT1_44350.2	SBOV2_43550.1, SBOV2_43550.6, SBOV2_43550.7, SBOV2_43550.4, SBOV2_43550.5
OG0000615	SINT1_13330.4, SINT1_13330.5, SINT1_13330.3	SBOV2_12910.2
OG0000615	SINT1_13330.1, SINT1_13330.2	SBOV2_12910.1
OG0000616	SINT1_59830.4, SINT1_59830.5, SINT1_59830.6, SINT1_59830.2, SINT1_59830.1, SINT1_59830.3, SINT1_59830.7	SBOV2_59690.1
OG0000617	SINT1_80500.1, SINT1_80500.2, SINT1_80500.3	SBOV2_80960.1
OG0000618	SINT1_36450.1	SBOV2_31210.1
OG0000619	SINT1_610.1, SINT1_610.2	SBOV2_650.2, SBOV2_650.4, SBOV2_650.1, SBOV2_650.5, SBOV2_650.6, SBOV2_650.3
OG0000620	SINT1_15400.1	SBOV2_14950.1
OG0000620	SINT1_45690.1	SBOV2_44930.1
OG0000621	SINT1_30120.5	SBOV2_37570.5
OG0000621	SINT1_30120.1, SINT1_30120.3, SINT1_30120.2, SINT1_30120.4	SBOV2_37570.1, SBOV2_37570.6, SBOV2_37570.2, SBOV2_37570.3, SBOV2_37570.4
OG0000622	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8	SBOV2_72610.9, SBOV2_72610.20, SBOV2_72610.10, SBOV2_72610.11, SBOV2_72610.14, SBOV2_72610.15, SBOV2_72610.16, SBOV2_72610.17, SBOV2_72610.18, SBOV2_72610.21, SBOV2_72610.22, SBOV2_72610.13, SBOV2_72610.12, SBOV2_72610.6, SBOV2_72610.19, SBOV2_72610.8, SBOV2_72610.5, SBOV2_72610.7, SBOV2_72610.4
OG0000623	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4	SBOV2_12750.5, SBOV2_12750.1, SBOV2_12750.2, SBOV2_12750.4, SBOV2_12750.3
OG0000624	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8	SBOV2_38630.1
OG0000625	SINT1_37430.1	SBOV2_30240.3, SBOV2_30240.1, SBOV2_30240.6, SBOV2_30240.5, SBOV2_30240.2, SBOV2_30240.4
OG0000626	SINT1_54610.1, SINT1_54610.4	SBOV2_50890.6
OG0000626	SINT1_54610.2, SINT1_54610.3	SBOV2_50890.5
OG0000627	SINT1_11970.1, SINT1_11970.4, SINT1_11970.2	SBOV2_11680.7, SBOV2_11680.8, SBOV2_11680.6
OG0000627	SINT1_11970.3	SBOV2_11680.5
OG0000628	SINT1_60880.1, SINT1_60880.2	SBOV2_60730.2, SBOV2_60730.4, SBOV2_60730.3, SBOV2_60730.1
OG0000629	SINT1_38880.1	SBOV2_28920.5, SBOV2_28920.7, SBOV2_28920.6, SBOV2_28920.4, SBOV2_28920.3, SBOV2_28920.2, SBOV2_28920.1
OG0000630	SINT1_58530.1	SBOV2_58350.1, SBOV2_58350.2, SBOV2_58350.3
OG0000631	SINT1_65390.1	SBOV2_65490.1
OG0000631	SINT1_60910.1	SBOV2_60770.5, SBOV2_60770.1, SBOV2_60770.2, SBOV2_60770.4, SBOV2_60770.3, SBOV2_60770.6
OG0000632	SINT1_13450.1	SBOV2_13020.5, SBOV2_13020.3, SBOV2_13020.4, SBOV2_13020.6, SBOV2_13020.1, SBOV2_13020.2
OG0000633	SINT1_52510.1, SINT1_52510.2	SBOV2_53030.1, SBOV2_53030.4, SBOV2_53030.2, SBOV2_53030.3, SBOV2_53030.5
OG0000636	SINT1_93030.3	SBOV2_93640.1, SBOV2_93640.3, SBOV2_93640.5, SBOV2_93640.6
OG0000636	SINT1_93030.1, SINT1_93030.2	SBOV2_93640.2, SBOV2_93640.4, SBOV2_93640.7
OG0000637	SINT1_49540.1, SINT1_49540.2	SBOV2_48970.1
OG0000638	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4	SBOV2_63660.1, SBOV2_63660.2, SBOV2_63660.3
OG0000639	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2	SBOV2_61390.1
OG0000640	SINT1_83270.1	SBOV2_83930.1
OG0000640	SINT1_83360.1	SBOV2_83970.1
OG0000641	SINT1_6660.1	SBOV2_6610.1, SBOV2_6610.2, SBOV2_6610.3
OG0000641	SINT1_4480.1	SBOV2_4550.1, SBOV2_4550.2
OG0000642	SINT1_61590.3, SINT1_61590.7, SINT1_61590.8	SBOV2_61460.3
OG0000642	SINT1_61590.4, SINT1_61590.5, SINT1_61590.2, SINT1_61590.6	SBOV2_61460.1, SBOV2_61460.2
OG0000643	SINT1_51960.1	SBOV2_53500.1
OG0000643	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3	SBOV2_53510.2, SBOV2_53510.3, SBOV2_53510.1
OG0000644	SINT1_93970.5, SINT1_93970.1, SINT1_93970.2, SINT1_93970.4, SINT1_93970.3	SBOV2_94590.5, SBOV2_94590.2, SBOV2_94590.1, SBOV2_94590.3, SBOV2_94590.4
OG0000645	SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2	SBOV2_10170.1
OG0000646	SINT1_9020.1	SBOV2_8750.8, SBOV2_8750.3
OG0000647	SINT1_61770.1, SINT1_61770.2	SBOV2_61630.5, SBOV2_61630.7, SBOV2_61630.6
OG0000648	SINT1_90570.2, SINT1_90570.4, SINT1_90570.1, SINT1_90570.3, SINT1_90580.1	SBOV2_91140.2, SBOV2_91140.1
OG0000649	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3	SBOV2_59410.1, SBOV2_59410.2
OG0000650	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3	SBOV2_76710.1, SBOV2_76710.4, SBOV2_76710.2, SBOV2_76710.3, SBOV2_76710.5
OG0000651	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5	SBOV2_26100.2, SBOV2_26100.1, SBOV2_26100.3, SBOV2_26100.4
OG0000652	SINT1_40190.1	SBOV2_27620.3, SBOV2_27620.1, SBOV2_27620.2, SBOV2_27620.4, SBOV2_27620.5, SBOV2_27620.6
OG0000653	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2	SBOV2_27060.1, SBOV2_27070.1, SBOV2_27070.2, SBOV2_27070.3
OG0000654	SINT1_57870.6, SINT1_57870.7, SINT1_57870.5, SINT1_57870.3, SINT1_57870.4	SBOV2_57610.3
OG0000654	SINT1_57870.9, SINT1_57870.8, SINT1_57870.2, SINT1_57870.1	SBOV2_57610.1, SBOV2_57610.2, SBOV2_57610.4
OG0000655	SINT1_80450.1, SINT1_80450.2, SINT1_80450.3, SINT1_80450.4, SINT1_80450.5, SINT1_80450.6, SINT1_80450.7	SBOV2_80890.1
OG0000656	SINT1_74340.4	SBOV2_74520.2
OG0000657	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2	SBOV2_87960.2, SBOV2_87960.3, SBOV2_87960.4, SBOV2_87960.5, SBOV2_87960.1, SBOV2_87960.6
OG0000658	SINT1_94510.1	SBOV2_12480.1
OG0000658	SINT1_1140.1	SBOV2_58140.1, SBOV2_47210.1, SBOV2_50720.1
OG0000658	SINT1_32820.1, SINT1_31250.1	SBOV2_19710.1
OG0000659	SINT1_41750.1, SINT1_41750.5, SINT1_41750.2, SINT1_41750.3, SINT1_41750.4	SBOV2_26120.1, SBOV2_26120.3, SBOV2_26120.4, SBOV2_26120.2
OG0000662	SINT1_52210.9, SINT1_52210.5, SINT1_52210.7, SINT1_52210.6, SINT1_52210.1, SINT1_52210.2, SINT1_52210.4, SINT1_52210.3, SINT1_52210.8	SBOV2_53300.3, SBOV2_53300.5, SBOV2_53300.1, SBOV2_53300.2, SBOV2_53300.4, SBOV2_53300.6
OG0000663	SINT1_38150.2	SBOV2_29600.10, SBOV2_29600.9
OG0000663	SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7	SBOV2_29600.7, SBOV2_29600.6, SBOV2_29600.4, SBOV2_29600.5, SBOV2_29600.8, SBOV2_29600.2, SBOV2_29600.1, SBOV2_29600.3
OG0000664	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4	SBOV2_12170.2, SBOV2_12170.1, SBOV2_12170.3, SBOV2_12170.4
OG0000665	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9	SBOV2_72240.1, SBOV2_72240.2, SBOV2_72240.3
OG0000666	SINT1_61520.4	SBOV2_61380.2
OG0000667	SINT1_6200.1	SBOV2_6160.1, SBOV2_6160.2, SBOV2_6160.3, SBOV2_6160.4
OG0000668	SINT1_52430.4, SINT1_52430.2, SINT1_52430.3, SINT1_52430.1	SBOV2_53120.1
OG0000669	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7	SBOV2_67660.1, SBOV2_67660.2
OG0000670	SINT1_44650.1	SBOV2_43860.1
OG0000670	SINT1_44650.2	SBOV2_43860.1
OG0000671	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5	SBOV2_75700.1, SBOV2_75700.2, SBOV2_75700.3
OG0000673	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2	SBOV2_15710.1
OG0000674	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3	SBOV2_77260.1, SBOV2_77260.3, SBOV2_77260.6, SBOV2_77260.2, SBOV2_77260.4, SBOV2_77260.5
OG0000675	SINT1_71260.1, SINT1_71260.3	SBOV2_71420.2, SBOV2_71420.1, SBOV2_71420.10, SBOV2_71420.4, SBOV2_71420.6, SBOV2_71420.8, SBOV2_71420.9
OG0000675	SINT1_71260.2	SBOV2_71420.3
OG0000675	SINT1_71260.4	SBOV2_71420.5
OG0000676	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5	SBOV2_80840.1, SBOV2_80840.2, SBOV2_80840.3, SBOV2_80840.4, SBOV2_80840.5, SBOV2_80840.6
OG0000677	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2	SBOV2_5200.1
OG0000680	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4	SBOV2_16400.1, SBOV2_16400.2, SBOV2_16400.3, SBOV2_16400.4
OG0000681	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6	SBOV2_32810.1
OG0000682	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1	SBOV2_42210.1, SBOV2_42210.4, SBOV2_42210.5, SBOV2_42210.3, SBOV2_42210.2
OG0000683	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3	SBOV2_50470.1
OG0000683	SINT1_66710.1	SBOV2_66790.1
OG0000684	SINT1_83180.1	SBOV2_83820.1
OG0000685	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3	SBOV2_74330.1
OG0000686	SINT1_59760.1, SINT1_59760.3	SBOV2_59620.1
OG0000687	SINT1_26910.1, SINT1_26910.2, SINT1_26910.6, SINT1_26910.3, SINT1_26910.5, SINT1_26910.4	SBOV2_40760.6, SBOV2_40760.3, SBOV2_40760.1, SBOV2_40760.5, SBOV2_40760.2, SBOV2_40760.4
OG0000688	SINT1_640.1	SBOV2_680.6, SBOV2_680.5, SBOV2_680.2, SBOV2_680.3, SBOV2_680.4
OG0000689	SINT1_2840.1	SBOV2_2980.1
OG0000690	SINT1_95640.1	SBOV2_22280.1
OG0000692	SINT1_17170.2, SINT1_17170.1, SINT1_17170.3	SBOV2_16580.4, SBOV2_16580.3, SBOV2_16580.1, SBOV2_16580.2
OG0000695	SINT1_94530.1	SBOV2_95430.1
OG0000695	SINT1_45510.1, SINT1_45510.2	SBOV2_44750.1
OG0000696	SINT1_5420.1	SBOV2_5400.1, SBOV2_5400.2, SBOV2_5400.3, SBOV2_5400.5, SBOV2_5400.4
OG0000697	SINT1_40250.1, SINT1_40250.2	SBOV2_27560.1, SBOV2_27560.2
OG0000698	SINT1_18150.4	SBOV2_17510.1
OG0000698	SINT1_18150.1, SINT1_18150.2, SINT1_18150.3	SBOV2_17510.2, SBOV2_17510.3
OG0000699	SINT1_33030.1	SBOV2_34630.1
OG0000699	SINT1_45930.1, SINT1_45920.1	SBOV2_45230.1, SBOV2_45230.2
OG0000700	SINT1_24020.1	SBOV2_23480.1
OG0000700	SINT1_24030.1	SBOV2_23490.1
OG0000700	SINT1_24040.1	SBOV2_23500.1
OG0000701	SINT1_60550.3	SBOV2_60420.3, SBOV2_60420.4, SBOV2_60420.5, SBOV2_60420.6, SBOV2_60420.1
OG0000701	SINT1_60550.1, SINT1_60550.2, SINT1_60550.5, SINT1_60550.4, SINT1_60550.6	SBOV2_60420.2
OG0000702	SINT1_85500.3, SINT1_85500.1, SINT1_85500.2	SBOV2_86100.1
OG0000703	SINT1_160.1, SINT1_160.3, SINT1_160.2	SBOV2_140.1
OG0000704	SINT1_48220.1, SINT1_48220.2, SINT1_48220.3, SINT1_48220.4, SINT1_48220.5, SINT1_48220.6, SINT1_48220.7, SINT1_48220.8, SINT1_48220.9	SBOV2_47670.2, SBOV2_47670.1, SBOV2_47670.3, SBOV2_47670.4, SBOV2_47670.5
OG0000705	SINT1_6120.1	SBOV2_6060.7, SBOV2_6060.8, SBOV2_6060.9, SBOV2_6060.6, SBOV2_6060.3, SBOV2_6060.4, SBOV2_6060.1, SBOV2_6060.2, SBOV2_6060.5
OG0000706	SINT1_43330.1	SBOV2_42570.1
OG0000706	SINT1_52320.1	SBOV2_53210.1
OG0000707	SINT1_92660.1, SINT1_92660.3, SINT1_92660.2	SBOV2_93230.11, SBOV2_93230.3, SBOV2_93230.4, SBOV2_93230.1, SBOV2_93230.10, SBOV2_93230.2, SBOV2_93230.5, SBOV2_93230.6, SBOV2_93230.9, SBOV2_93230.12, SBOV2_93230.8, SBOV2_93230.7
OG0000708	SINT1_37190.1	SBOV2_30430.3
OG0000708	SINT1_37190.3	SBOV2_30430.3
OG0000708	SINT1_37190.4	SBOV2_30430.1
OG0000708	SINT1_37190.2	SBOV2_30430.2
OG0000709	SINT1_43650.1, SINT1_43650.2, SINT1_43650.4, SINT1_43650.5, SINT1_43650.9, SINT1_43650.3, SINT1_43650.6, SINT1_43650.7, SINT1_43650.8	SBOV2_42880.1
OG0000710	SINT1_8060.1	SBOV2_7410.1
OG0000710	SINT1_7950.9, SINT1_7950.7, SINT1_7950.8, SINT1_7950.6	SBOV2_7400.1
OG0000711	SINT1_73420.1	SBOV2_73570.10, SBOV2_73570.11, SBOV2_73570.2, SBOV2_73570.1, SBOV2_73570.7, SBOV2_73570.3, SBOV2_73570.4, SBOV2_73570.9, SBOV2_73570.8, SBOV2_73570.5, SBOV2_73570.6
OG0000712	SINT1_52680.1	SBOV2_52860.1
OG0000713	SINT1_70880.1	SBOV2_71030.1, SBOV2_71030.2, SBOV2_71030.4, SBOV2_71030.3
OG0000714	SINT1_46250.1	SBOV2_45550.1, SBOV2_45550.2, SBOV2_45550.3
OG0000715	SINT1_27420.1, SINT1_27420.2, SINT1_27420.4, SINT1_27420.3	SBOV2_40230.1, SBOV2_40230.2, SBOV2_40230.3, SBOV2_40230.5, SBOV2_40230.4
OG0000716	SINT1_11840.2	SBOV2_11540.1
OG0000717	SINT1_58730.1	SBOV2_58590.1, SBOV2_58590.2, SBOV2_58590.4, SBOV2_58590.3, SBOV2_58590.5
OG0000718	SINT1_73680.1, SINT1_73680.2	SBOV2_73840.5, SBOV2_73840.1, SBOV2_73840.2, SBOV2_73840.4, SBOV2_73840.3
OG0000719	SINT1_55000.1, SINT1_55000.2, SINT1_55000.3	SBOV2_50460.1, SBOV2_50460.2, SBOV2_50460.3, SBOV2_50460.4, SBOV2_50460.5, SBOV2_50460.6
OG0000720	SINT1_75720.1	SBOV2_75950.2, SBOV2_75950.3, SBOV2_75950.5, SBOV2_75950.6, SBOV2_75950.7, SBOV2_75950.1
OG0000720	SINT1_75710.1	SBOV2_75950.4
OG0000721	SINT1_45830.1, SINT1_45830.2	SBOV2_45090.1, SBOV2_45090.2, SBOV2_45090.4, SBOV2_45090.3, SBOV2_45090.5, SBOV2_45090.6
OG0000722	SINT1_5310.2, SINT1_5310.1, SINT1_5310.3	SBOV2_5300.3, SBOV2_5300.2, SBOV2_5300.1, SBOV2_5300.4
OG0000723	SINT1_75450.3, SINT1_75450.2, SINT1_75450.4	SBOV2_75690.1
