Orthogroup	schistosoma_intercalatum	opisthorchis_viverrini
OG0000507	SINT1_31390.3, SINT1_31390.6, SINT1_31390.8, SINT1_31390.1, SINT1_31390.4, SINT1_31390.2, SINT1_31390.7, SINT1_31390.5, SINT1_31390.9	T265_02979, T265_07797, T265_07796
OG0000508	SINT1_15230.2, SINT1_15230.3, SINT1_15230.4, SINT1_15230.5, SINT1_15230.1, SINT1_15230.6	T265_10226, T265_16175
OG0000509	SINT1_49400.1, SINT1_49400.2, SINT1_50950.2, SINT1_50950.1	T265_06851, T265_06853, T265_06854, T265_14152
OG0000510	SINT1_77670.1, SINT1_77670.2, SINT1_77700.1	T265_03984, T265_03985, T265_13373
OG0000511	SINT1_71620.1, SINT1_71630.1, SINT1_71640.1	T265_07656, T265_07655, T265_07657
OG0000512	SINT1_51460.9, SINT1_51460.7, SINT1_51460.8, SINT1_51460.1, SINT1_51460.2, SINT1_51460.3, SINT1_51460.4, SINT1_51460.5, SINT1_51460.6	T265_12454
OG0000513	SINT1_66700.1	T265_01157, T265_06044
OG0000514	SINT1_45730.1	T265_01214, T265_01215
OG0000515	SINT1_14810.5, SINT1_14810.4, SINT1_14810.7, SINT1_14810.1, SINT1_14810.2, SINT1_14810.8, SINT1_14810.3, SINT1_14810.6	T265_00984, T265_00985
OG0000516	SINT1_62880.1	T265_03354
OG0000517	SINT1_26000.2, SINT1_26000.3, SINT1_26000.5, SINT1_26000.1, SINT1_26000.4	T265_01106
OG0000521	SINT1_70870.2, SINT1_70870.1, SINT1_70870.3, SINT1_70870.4, SINT1_70870.5	T265_12415
OG0000522	SINT1_94910.1, SINT1_94910.2	T265_04037
OG0000523	SINT1_75840.1, SINT1_75840.3, SINT1_75840.4, SINT1_75840.5, SINT1_75840.6, SINT1_75840.2, SINT1_75840.7, SINT1_75840.10, SINT1_75840.9, SINT1_75840.8	T265_07660
OG0000524	SINT1_12560.1, SINT1_12560.2, SINT1_12560.4, SINT1_12560.3, SINT1_12560.5	T265_07885
OG0000525	SINT1_50460.1, SINT1_50460.5, SINT1_50460.3, SINT1_50460.4, SINT1_50460.2, SINT1_50460.6	T265_05091
OG0000526	SINT1_17000.3, SINT1_17000.1, SINT1_17000.2, SINT1_17000.5, SINT1_17000.6, SINT1_17000.4	T265_02282, T265_12113
OG0000527	SINT1_19220.1, SINT1_19220.3, SINT1_19220.2	T265_03411
OG0000528	SINT1_32160.4, SINT1_32160.1, SINT1_32160.3, SINT1_32160.6, SINT1_32160.2, SINT1_32160.5	T265_06055
OG0000529	SINT1_15790.1	T265_09182, T265_03656
OG0000529	SINT1_25580.1, SINT1_25580.2	T265_07511
OG0000530	SINT1_94180.1, SINT1_94190.1	T265_09699
OG0000531	SINT1_76590.4, SINT1_76590.7, SINT1_76590.3, SINT1_76590.2, SINT1_76590.6, SINT1_76590.1, SINT1_76590.5, SINT1_76590.8	T265_14416, T265_14417
OG0000532	SINT1_4940.2, SINT1_4940.3, SINT1_4940.1	T265_00995, T265_06267
OG0000533	SINT1_19390.3, SINT1_19390.2, SINT1_19390.1, SINT1_19390.4	T265_13786
OG0000534	SINT1_70120.3, SINT1_70120.2, SINT1_70120.1, SINT1_70120.4	T265_09156
OG0000535	SINT1_58460.1, SINT1_58490.1	T265_13029, T265_02526, T265_16334
OG0000536	SINT1_65460.1	T265_04792
OG0000537	SINT1_53390.3, SINT1_53390.5, SINT1_53390.4, SINT1_53390.1, SINT1_53390.2, SINT1_53390.6	T265_03566
OG0000539	SINT1_46700.1, SINT1_46700.2, SINT1_46700.3	T265_02944
OG0000540	SINT1_5710.1, SINT1_5710.2, SINT1_5710.3, SINT1_5710.4	T265_06424
OG0000541	SINT1_28900.2, SINT1_28900.1, SINT1_28900.4, SINT1_28900.3	T265_02592
OG0000542	SINT1_85720.4, SINT1_85720.5, SINT1_85720.1, SINT1_85720.3, SINT1_85720.2	T265_10499
OG0000543	SINT1_15140.7, SINT1_15140.1, SINT1_15140.2, SINT1_15140.3, SINT1_15140.4, SINT1_15140.6, SINT1_15140.5	T265_05515
OG0000544	SINT1_78690.1	T265_14759
OG0000545	SINT1_46490.1	T265_01309
OG0000545	SINT1_68990.1, SINT1_68990.2, SINT1_68990.3, SINT1_68990.5, SINT1_68990.4	T265_13998
OG0000546	SINT1_29640.1, SINT1_29640.5, SINT1_29640.2, SINT1_29640.3, SINT1_29640.7, SINT1_29640.6, SINT1_29640.4	T265_14392
OG0000547	SINT1_87170.1, SINT1_87170.2, SINT1_87170.3	T265_07333
OG0000548	SINT1_29740.4, SINT1_29740.5, SINT1_29740.3, SINT1_29740.6, SINT1_29740.7, SINT1_29740.1, SINT1_29740.2	T265_14116
OG0000549	SINT1_11110.1, SINT1_11110.2, SINT1_11110.3, SINT1_11110.5, SINT1_11110.4	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757
OG0000550	SINT1_18840.1, SINT1_18830.1	T265_09507, T265_14868
OG0000552	SINT1_84830.1	T265_05767
OG0000553	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1	T265_05228, T265_05227
OG0000554	SINT1_11240.1	T265_06137
OG0000555	SINT1_43550.1, SINT1_43550.2	T265_04699, T265_04748, T265_04698
OG0000556	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2	T265_05172
OG0000557	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6, SINT1_37740.4, SINT1_37740.3	T265_09726
OG0000558	SINT1_17920.1	T265_02473, T265_07551
OG0000559	SINT1_79590.1, SINT1_79590.3, SINT1_79590.2	T265_15777, T265_15105
OG0000561	SINT1_93360.1	T265_05307
OG0000562	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2, SINT1_83320.3	T265_09617, T265_14904, T265_14905
OG0000563	SINT1_20170.5, SINT1_20170.4, SINT1_20170.2, SINT1_20170.1, SINT1_20170.3	T265_00934
OG0000564	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3	T265_04694
OG0000565	SINT1_3380.1, SINT1_3380.3, SINT1_3380.2	T265_06308
OG0000566	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3	T265_06381
OG0000567	SINT1_65260.1	T265_09355
OG0000568	SINT1_56550.1	T265_14125
OG0000568	SINT1_66460.1	T265_06795
OG0000568	SINT1_34990.1	T265_05196
OG0000569	SINT1_9740.1	T265_16092, T265_15315, T265_15990
OG0000570	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1	T265_14462
OG0000571	SINT1_9030.1	T265_09677
OG0000572	SINT1_59080.1	T265_13892
OG0000574	SINT1_2810.1, SINT1_2850.1	T265_09231
OG0000575	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2	T265_13730
OG0000576	SINT1_44160.10, SINT1_44160.11, SINT1_44160.9, SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1, SINT1_44160.8, SINT1_44160.4, SINT1_44160.6	T265_04125
OG0000577	SINT1_53010.4, SINT1_53010.7, SINT1_53010.3, SINT1_53010.2, SINT1_53010.1, SINT1_53010.5, SINT1_53010.6	T265_03389
OG0000580	SINT1_32400.1, SINT1_32400.2	T265_11930
OG0000581	SINT1_60760.7, SINT1_60760.8, SINT1_60760.1, SINT1_60760.4, SINT1_60760.5, SINT1_60760.3, SINT1_60760.2, SINT1_60760.6	T265_03176, T265_03173
OG0000582	SINT1_81700.1, SINT1_81710.1	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666
OG0000582	SINT1_81720.1	T265_01671
OG0000583	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2	T265_02005
OG0000584	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9	T265_13228
OG0000585	SINT1_5900.1	T265_00232
OG0000586	SINT1_31110.1	T265_11386
OG0000587	SINT1_64510.1	T265_07724
OG0000587	SINT1_9440.1	T265_12893, T265_14323
OG0000588	SINT1_96310.1, SINT1_96330.1, SINT1_96280.1, SINT1_96320.1, SINT1_96350.1, SINT1_96340.1, SINT1_22680.1, SINT1_96360.1	T265_11101, T265_10758
OG0000589	SINT1_54780.1	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017
OG0000590	SINT1_29290.1	T265_09102
OG0000590	SINT1_40570.1	T265_06033
OG0000591	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4	T265_06310
OG0000592	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5	T265_14113
OG0000593	SINT1_31860.1	T265_10773
OG0000594	SINT1_49270.1	T265_05797, T265_06525
OG0000595	SINT1_47700.1	T265_03869
OG0000598	SINT1_12960.1	T265_02456
OG0000599	SINT1_62340.1, SINT1_62340.2	T265_07673
OG0000600	SINT1_67100.1, SINT1_67110.1	T265_10590
OG0000601	SINT1_93270.1, SINT1_93270.2, SINT1_93280.1	T265_04621, T265_04618
OG0000601	SINT1_40980.1, SINT1_40980.2	T265_14218
OG0000602	SINT1_15170.1, SINT1_15170.2	T265_09208, T265_12351
OG0000603	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3	T265_14992, T265_14991, T265_11543
OG0000605	SINT1_27640.1, SINT1_27640.2, SINT1_27640.3, SINT1_27640.4, SINT1_27600.1	T265_14198
OG0000606	SINT1_5290.1	T265_13221
OG0000607	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2	T265_10825
OG0000608	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5	T265_02880, T265_02883
OG0000609	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2, SINT1_27510.1	T265_09254
OG0000610	SINT1_28330.1	T265_07616, T265_15716
OG0000610	SINT1_22860.1	T265_05701
OG0000611	SINT1_43150.1, SINT1_43190.1, SINT1_43170.1, SINT1_43180.1, SINT1_43160.1	T265_06968
OG0000612	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7	T265_09078
OG0000613	SINT1_37050.2, SINT1_37050.1, SINT1_37050.3, SINT1_37050.4, SINT1_37050.5, SINT1_37050.6, SINT1_37050.7, SINT1_37050.8, SINT1_37050.9	T265_02832
OG0000614	SINT1_44350.1, SINT1_44350.2	T265_12100
OG0000615	SINT1_13330.4, SINT1_13330.5, SINT1_13330.3, SINT1_13330.1, SINT1_13330.2	T265_03195
OG0000616	SINT1_59830.4, SINT1_59830.5, SINT1_59830.6, SINT1_59830.2, SINT1_59830.1, SINT1_59830.3, SINT1_59830.7	T265_08938
OG0000617	SINT1_80500.1, SINT1_80500.2, SINT1_80500.3	T265_08274
OG0000618	SINT1_36450.1	T265_13264
OG0000620	SINT1_15400.1	T265_10505
OG0000620	SINT1_45690.1, SINT1_45690.2	T265_00373, T265_00374
OG0000621	SINT1_30120.5, SINT1_30120.1, SINT1_30120.3, SINT1_30120.2, SINT1_30120.4	T265_14537
OG0000622	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8	T265_00170
OG0000623	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4	T265_04780, T265_13600
OG0000624	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8	T265_15535, T265_11776, T265_13342
OG0000625	SINT1_37430.1	T265_03633
OG0000626	SINT1_54610.1, SINT1_54610.4, SINT1_54610.2, SINT1_54610.3	T265_02683, T265_13068
OG0000627	SINT1_11970.1, SINT1_11970.4, SINT1_11970.2, SINT1_11970.3	T265_09410
OG0000628	SINT1_60880.1, SINT1_60880.2	T265_08778, T265_14669, T265_16036
OG0000629	SINT1_38880.1	T265_05422
OG0000630	SINT1_58530.1	T265_11517
OG0000631	SINT1_65390.1, SINT1_60910.1	T265_00494
OG0000632	SINT1_13450.1	T265_03948
OG0000633	SINT1_52510.1, SINT1_52510.2	T265_08226
OG0000636	SINT1_93030.3, SINT1_93030.1, SINT1_93030.2	T265_09528
OG0000637	SINT1_49540.1, SINT1_49540.2	T265_08691
OG0000638	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4	T265_12571, T265_16335
OG0000639	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2	T265_08132
OG0000640	SINT1_83270.2, SINT1_83270.3, SINT1_83270.4, SINT1_83270.5, SINT1_83270.1, SINT1_83360.1	T265_06014
OG0000641	SINT1_6660.1	T265_11906
OG0000641	SINT1_4480.1	T265_08520
OG0000642	SINT1_61590.1, SINT1_61590.3, SINT1_61590.7, SINT1_61590.8, SINT1_61590.4, SINT1_61590.5, SINT1_61590.2, SINT1_61590.6	T265_00484
OG0000643	SINT1_51960.1	T265_06781
OG0000643	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3	T265_00368
OG0000644	SINT1_93970.5, SINT1_93970.1, SINT1_93970.2, SINT1_93970.4, SINT1_93970.3	T265_10096
OG0000645	SINT1_10550.1, SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2	T265_06416, T265_14031
OG0000646	SINT1_9020.1	T265_14032, T265_09682
OG0000647	SINT1_61770.1, SINT1_61770.2, SINT1_61770.3, SINT1_61770.4	T265_01179
OG0000649	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3	T265_14362
OG0000650	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3	T265_04859
OG0000651	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5	T265_08308
OG0000652	SINT1_40190.3, SINT1_40190.4, SINT1_40190.5, SINT1_40190.1, SINT1_40190.2	T265_02580, T265_06040
OG0000653	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2	T265_08906
OG0000654	SINT1_57870.6, SINT1_57870.7, SINT1_57870.5, SINT1_57870.3, SINT1_57870.4	T265_12621
OG0000656	SINT1_74340.3, SINT1_74340.1, SINT1_74340.2, SINT1_74340.4	T265_15627
OG0000657	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2	T265_02650
OG0000659	SINT1_41750.1, SINT1_41750.5, SINT1_41750.2, SINT1_41750.3, SINT1_41750.4	T265_14212
OG0000663	SINT1_38150.2, SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7	T265_04735, T265_02871
OG0000664	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4	T265_04576
OG0000665	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9, SINT1_72110.7	T265_10655
OG0000666	SINT1_61520.4, SINT1_61520.1, SINT1_61520.2, SINT1_61520.3, SINT1_61520.5, SINT1_61520.6	T265_14484
OG0000667	SINT1_6200.1	T265_06220
OG0000668	SINT1_52430.4, SINT1_52430.2, SINT1_52430.3, SINT1_52430.1	T265_07209
OG0000669	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7	T265_04795
OG0000671	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5	T265_06752
OG0000672	SINT1_44270.1	T265_08111
OG0000673	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2	T265_06693, T265_15660, T265_03059
OG0000674	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3	T265_00038
OG0000675	SINT1_71260.1, SINT1_71260.3, SINT1_71260.2, SINT1_71260.4	T265_10356
OG0000676	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5	T265_02244
OG0000677	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2	T265_03024
OG0000678	SINT1_34540.1, SINT1_34540.2, SINT1_34540.3, SINT1_34540.4	T265_14566
OG0000679	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5	T265_13839
OG0000680	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4	T265_15068
OG0000681	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6	T265_15309
OG0000682	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1	T265_05067
OG0000683	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3	T265_03513
OG0000684	SINT1_83180.1	T265_02396
OG0000685	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3	T265_14345
OG0000686	SINT1_59760.2, SINT1_59760.4, SINT1_59760.1, SINT1_59760.3	T265_06598
OG0000687	SINT1_26910.1, SINT1_26910.2, SINT1_26910.6, SINT1_26910.3, SINT1_26910.5, SINT1_26910.4	T265_13762
OG0000688	SINT1_640.1	T265_09228
OG0000690	SINT1_95640.1, SINT1_22900.1	T265_15342
OG0000695	SINT1_94530.1	T265_07910
OG0000695	SINT1_45510.1, SINT1_45510.2	T265_07140
OG0000696	SINT1_5420.1	T265_00960
OG0000697	SINT1_40250.1, SINT1_40250.2	T265_02565
OG0000698	SINT1_18150.4, SINT1_18150.1, SINT1_18150.2, SINT1_18150.3	T265_04366
OG0000699	SINT1_33030.1	T265_08805
OG0000699	SINT1_45930.1, SINT1_45920.1	T265_03971
OG0000700	SINT1_24020.1, SINT1_24030.1, SINT1_24040.1	T265_06924, T265_06925
OG0000701	SINT1_60550.3, SINT1_60550.1, SINT1_60550.2, SINT1_60550.5, SINT1_60550.4, SINT1_60550.6	T265_02016
OG0000702	SINT1_85500.3, SINT1_85500.1, SINT1_85500.2	T265_08615
OG0000703	SINT1_160.1, SINT1_160.3, SINT1_160.2	T265_14823, T265_09393, T265_14824
OG0000704	SINT1_48220.1, SINT1_48220.2, SINT1_48220.3, SINT1_48220.4, SINT1_48220.5, SINT1_48220.6, SINT1_48220.7, SINT1_48220.8, SINT1_48220.9	T265_10029
OG0000705	SINT1_6120.1	T265_10453
OG0000706	SINT1_43330.1	T265_01271, T265_09997
OG0000706	SINT1_52320.1	T265_00020
OG0000707	SINT1_92660.1, SINT1_92660.3, SINT1_92660.2	T265_15248, T265_15672
OG0000708	SINT1_37190.1, SINT1_37190.3, SINT1_37190.5, SINT1_37190.4, SINT1_37190.2	T265_05018
OG0000709	SINT1_43650.1, SINT1_43650.2, SINT1_43650.4, SINT1_43650.5, SINT1_43650.9, SINT1_43650.3, SINT1_43650.6, SINT1_43650.7, SINT1_43650.8	T265_13137
OG0000710	SINT1_8060.1, SINT1_7950.9, SINT1_7950.7, SINT1_7950.8, SINT1_7950.6	T265_14772
OG0000711	SINT1_73420.1	T265_13046
OG0000712	SINT1_52680.1	T265_00357
OG0000713	SINT1_70880.1	T265_15192
OG0000714	SINT1_46250.1	T265_12461
OG0000715	SINT1_27420.1, SINT1_27420.2, SINT1_27420.4, SINT1_27420.3	T265_06936, T265_16285
OG0000716	SINT1_11840.1, SINT1_11840.3, SINT1_11840.2	T265_01851
OG0000717	SINT1_58730.1	T265_15060
OG0000718	SINT1_73680.1, SINT1_73680.2	T265_15816
OG0000721	SINT1_45830.1, SINT1_45830.2	T265_00362
OG0000722	SINT1_5310.2, SINT1_5310.1, SINT1_5310.3	T265_03018, T265_03020
OG0000723	SINT1_75450.1, SINT1_75450.3, SINT1_75450.2, SINT1_75450.4	T265_10513, T265_14119
OG0000724	SINT1_41830.6, SINT1_41830.3, SINT1_41830.1, SINT1_41830.2, SINT1_41830.4, SINT1_41830.5	T265_15804, T265_04091, T265_04747
OG0000725	SINT1_75800.5, SINT1_75800.1, SINT1_75800.2, SINT1_75800.3, SINT1_75800.4	T265_05721
OG0000727	SINT1_38780.1	T265_07029
OG0000728	SINT1_48360.4, SINT1_48360.2, SINT1_48360.1, SINT1_48360.3	T265_02822
OG0000729	SINT1_8940.4, SINT1_8940.5, SINT1_8940.6, SINT1_8940.2, SINT1_8940.1, SINT1_8940.3	T265_03115
OG0000730	SINT1_59790.2, SINT1_59790.3, SINT1_59790.1	T265_10980
OG0000731	SINT1_75110.1	T265_11322
OG0000732	SINT1_3430.5, SINT1_3430.1, SINT1_3430.6, SINT1_3430.7, SINT1_3430.2, SINT1_3430.4, SINT1_3430.3	T265_11823
OG0000733	SINT1_2770.3, SINT1_2770.1, SINT1_2770.4, SINT1_2770.2	T265_05137, T265_13691, T265_13693
OG0000737	SINT1_9960.3, SINT1_9960.4, SINT1_9960.7, SINT1_9960.2, SINT1_9960.6, SINT1_9960.1, SINT1_9960.5	T265_05237
OG0000738	SINT1_69080.1, SINT1_69080.5, SINT1_69080.2, SINT1_69080.4, SINT1_69080.6, SINT1_69080.3, SINT1_69080.7, SINT1_69070.1	T265_05635, T265_05639
OG0000740	SINT1_8470.1, SINT1_8470.2, SINT1_8470.3, SINT1_8470.6, SINT1_8470.4, SINT1_8470.5, SINT1_8470.7, SINT1_8470.8	T265_04555
OG0000741	SINT1_82900.5, SINT1_82900.3, SINT1_82900.1, SINT1_82900.2, SINT1_82900.4	T265_10490
OG0000743	SINT1_22750.1, SINT1_22750.2	T265_02255
OG0000744	SINT1_3520.1	T265_13534
OG0000745	SINT1_38100.1, SINT1_38100.2	T265_15592, T265_01499
OG0000746	SINT1_60430.2, SINT1_60430.1, SINT1_60430.3	T265_08923
OG0000747	SINT1_42860.1	T265_14015
OG0000748	SINT1_69510.4, SINT1_69510.2, SINT1_69510.3, SINT1_69510.6, SINT1_69510.1, SINT1_69510.5	T265_08449, T265_15607, T265_15918, T265_12210
OG0000749	SINT1_68890.1	T265_15534
OG0000750	SINT1_73320.3, SINT1_73320.4, SINT1_73320.1, SINT1_73320.2, SINT1_73320.5, SINT1_73320.6	T265_01999
OG0000751	SINT1_5440.1, SINT1_2500.1	T265_14248
OG0000752	SINT1_91160.1, SINT1_91210.1	T265_14207
OG0000753	SINT1_81530.3, SINT1_81530.1, SINT1_81530.2	T265_11361
OG0000754	SINT1_50250.9, SINT1_50250.10, SINT1_50250.12, SINT1_50250.13, SINT1_50250.2, SINT1_50250.11, SINT1_50250.14, SINT1_50250.1, SINT1_50250.5, SINT1_50250.7, SINT1_50250.6, SINT1_50250.8, SINT1_50250.3, SINT1_50250.4	T265_01325
OG0000755	SINT1_74410.3, SINT1_74410.1, SINT1_74410.2, SINT1_74410.4	T265_14500, T265_14501
OG0000756	SINT1_39030.1	T265_04901
OG0000757	SINT1_52550.2, SINT1_52550.3, SINT1_52550.1	T265_14154
OG0000758	SINT1_8970.8, SINT1_8970.9, SINT1_8970.4, SINT1_8970.1, SINT1_8970.2, SINT1_8970.5, SINT1_8970.6, SINT1_8970.7, SINT1_8970.3	T265_03111
OG0000759	SINT1_52950.3, SINT1_52950.1, SINT1_52950.4, SINT1_52950.2, SINT1_52950.6, SINT1_52950.5, SINT1_52950.7	T265_14472, T265_14473, T265_15924
OG0000760	SINT1_77620.1, SINT1_77620.10, SINT1_77620.11, SINT1_77620.12, SINT1_77620.2, SINT1_77620.3, SINT1_77620.4, SINT1_77620.5, SINT1_77620.6, SINT1_77620.7, SINT1_77620.8, SINT1_77620.9	T265_14346
OG0000761	SINT1_53610.2, SINT1_53610.4, SINT1_53610.1, SINT1_53610.5, SINT1_53610.9, SINT1_53610.7, SINT1_53610.6, SINT1_53610.8, SINT1_53610.3	T265_01230
OG0000762	SINT1_80630.1	T265_07913
OG0000762	SINT1_85900.1, SINT1_85900.2, SINT1_85900.3	T265_01864
OG0000763	SINT1_19820.5, SINT1_19820.1, SINT1_19820.2, SINT1_19820.3, SINT1_19820.4	T265_06905
OG0000764	SINT1_9100.5, SINT1_9100.3, SINT1_9100.2, SINT1_9100.1, SINT1_9100.4	T265_00997
OG0000765	SINT1_52930.1	T265_00442
OG0000765	SINT1_52940.1	T265_00440
OG0000766	SINT1_62770.1	T265_12796
OG0000767	SINT1_64820.1, SINT1_64820.2	T265_12911
OG0000768	SINT1_40010.2, SINT1_40010.3, SINT1_40010.1, SINT1_40010.4, SINT1_40010.5	T265_06451
OG0000769	SINT1_2060.3, SINT1_2060.1, SINT1_2060.2	T265_01586
OG0000770	SINT1_17990.1, SINT1_17990.2, SINT1_17990.3	T265_12873
OG0000773	SINT1_25800.3, SINT1_25800.2, SINT1_25800.1	T265_00411
OG0000774	SINT1_47130.1, SINT1_47130.2	T265_08743
OG0000775	SINT1_51610.1, SINT1_51610.2, SINT1_51610.3, SINT1_51610.4	T265_13684
OG0000776	SINT1_45850.1	T265_07866
OG0000776	SINT1_56460.1	T265_12745
OG0000777	SINT1_52160.3, SINT1_52160.1, SINT1_52160.6, SINT1_52160.5, SINT1_52160.2, SINT1_52160.4, SINT1_52160.8, SINT1_52160.7	T265_02206
OG0000778	SINT1_23030.1, SINT1_23030.3, SINT1_23030.2	T265_01511, T265_10392, T265_10394
OG0000779	SINT1_3610.1	T265_07269
OG0000780	SINT1_14980.1	T265_06690
OG0000781	SINT1_11380.1	T265_11274
OG0000781	SINT1_460.2, SINT1_460.1, SINT1_460.3, SINT1_460.4	T265_10911
OG0000782	SINT1_31730.1	T265_10870, T265_12889
OG0000783	SINT1_50520.1, SINT1_50520.2, SINT1_50520.3	T265_10176
OG0000784	SINT1_31650.4, SINT1_31650.3, SINT1_31650.2, SINT1_31650.1, SINT1_31650.5, SINT1_31650.6	T265_12066
OG0000785	SINT1_58640.1	T265_09886
OG0000786	SINT1_40750.5, SINT1_40750.2, SINT1_40750.1, SINT1_40750.4, SINT1_40750.3	T265_03503
OG0000787	SINT1_91330.1, SINT1_91330.2, SINT1_59320.1	T265_06799
OG0000788	SINT1_13680.1	T265_03219
OG0000789	SINT1_25610.1, SINT1_25600.1, SINT1_25600.2	T265_01031
OG0000790	SINT1_39340.1, SINT1_39340.2, SINT1_39340.3, SINT1_39340.4	T265_00688
OG0000791	SINT1_42730.1	T265_14202, T265_14203
OG0000792	SINT1_5640.2, SINT1_5640.1, SINT1_5640.3, SINT1_5640.4	T265_14379
OG0000793	SINT1_34260.3, SINT1_34260.1, SINT1_34260.2, SINT1_34260.4	T265_07034
OG0000794	SINT1_10230.1	T265_00948
OG0000795	SINT1_93650.7, SINT1_93650.6, SINT1_93650.3, SINT1_93650.1, SINT1_93650.2, SINT1_93650.4, SINT1_93650.5	T265_16059
OG0000796	SINT1_15870.1, SINT1_15870.2, SINT1_15860.1	T265_14897
OG0000797	SINT1_20130.6, SINT1_20130.2, SINT1_20130.5, SINT1_20130.3, SINT1_20130.4, SINT1_20130.1	T265_15019
