Orthogroup	schistosoma_intercalatum	schistosoma_japonicum
OG0000496	SINT1_37840.7, SINT1_37840.4, SINT1_37840.2, SINT1_37840.3, SINT1_37840.6, SINT1_37840.1, SINT1_37840.5, SINT1_37840.8, SINT1_37840.9	EWB00_007698.3, EWB00_007698.4, EWB00_007698.2, EWB00_007698.1
OG0000497	SINT1_5450.2, SINT1_5450.1	EWB00_006312.1, EWB00_006312.2, EWB00_006312.3
OG0000498	SINT1_25280.1, SINT1_25280.2, SINT1_25280.3	EWB00_004227
OG0000498	SINT1_27260.1	EWB00_007012
OG0000499	SINT1_69910.1	EWB00_000965.1, EWB00_000965.3, EWB00_000965.2, EWB00_000965.4
OG0000500	SINT1_19330.3, SINT1_19330.1, SINT1_19330.2	EWB00_000046
OG0000501	SINT1_25960.1	EWB00_004102.7, EWB00_004102.5, EWB00_004102.4, EWB00_004102.6, EWB00_004102.1, EWB00_004102.2, EWB00_004102.3
OG0000502	SINT1_35630.3, SINT1_35630.2, SINT1_35630.1	EWB00_006854
OG0000503	SINT1_3720.1, SINT1_3720.2, SINT1_3720.4, SINT1_3720.5, SINT1_3720.3, SINT1_3720.6, SINT1_3720.7, SINT1_3720.9, SINT1_3720.8	EWB00_009062.1, EWB00_009062.3, EWB00_009062.2, EWB00_009062.4
OG0000504	SINT1_46840.2, SINT1_46840.3, SINT1_46840.5, SINT1_46840.7, SINT1_46840.6, SINT1_46840.4, SINT1_46840.1	EWB00_009953.2, EWB00_009953.1
OG0000505	SINT1_41160.8, SINT1_41160.1, SINT1_41160.2, SINT1_41160.3, SINT1_41160.4, SINT1_41160.5, SINT1_41160.6, SINT1_41160.7, SINT1_41160.9	EWB00_004150.1, EWB00_004150.2
OG0000506	SINT1_9430.6, SINT1_9430.10, SINT1_9430.11, SINT1_9430.4, SINT1_9430.5, SINT1_9430.8, SINT1_9430.2, SINT1_9430.3, SINT1_9430.9, SINT1_9430.7, SINT1_9430.1	EWB00_005767, EWB00_005768, EWB00_005769
OG0000507	SINT1_31390.3, SINT1_31390.6, SINT1_31390.8, SINT1_31390.1, SINT1_31390.4, SINT1_31390.2, SINT1_31390.7, SINT1_31390.5, SINT1_31390.9	EWB00_004627.1, EWB00_004627.2
OG0000508	SINT1_15230.2, SINT1_15230.3, SINT1_15230.4, SINT1_15230.5, SINT1_15230.1, SINT1_15230.6	EWB00_002355.1, EWB00_002355.2
OG0000509	SINT1_49400.1, SINT1_49400.2	EWB00_007622.5, EWB00_007622.1, EWB00_007622.3, EWB00_007622.4, EWB00_007622.2
OG0000509	SINT1_50950.2, SINT1_50950.1	EWB00_006782.1, EWB00_006782.2
OG0000510	SINT1_77670.1, SINT1_77670.2	EWB00_001266.2, EWB00_001266.1, EWB00_001266.3
OG0000510	SINT1_77700.1	EWB00_002661, EWB00_002662
OG0000511	SINT1_71620.1, SINT1_71630.1, SINT1_71640.1	EWB00_000649
OG0000513	SINT1_66700.1	EWB00_005795
OG0000514	SINT1_45730.1	EWB00_004043.2, EWB00_004043.1, EWB00_004043.3, EWB00_004043.4
OG0000515	SINT1_14810.5, SINT1_14810.4, SINT1_14810.7, SINT1_14810.1, SINT1_14810.2, SINT1_14810.8, SINT1_14810.3, SINT1_14810.6	EWB00_004181.1, EWB00_004181.2
OG0000516	SINT1_62880.1	EWB00_007127
OG0000517	SINT1_26000.2, SINT1_26000.3, SINT1_26000.5, SINT1_26000.1, SINT1_26000.4	EWB00_001698.1, EWB00_001698.2, EWB00_001698.3
OG0000521	SINT1_70870.2, SINT1_70870.1, SINT1_70870.3, SINT1_70870.4, SINT1_70870.5	EWB00_007360.3, EWB00_007360.1, EWB00_007360.2
OG0000522	SINT1_94910.1, SINT1_94910.2	EWB00_005154.1, EWB00_005154.2
OG0000523	SINT1_75840.1, SINT1_75840.3, SINT1_75840.4, SINT1_75840.5, SINT1_75840.6, SINT1_75840.2, SINT1_75840.7, SINT1_75840.10, SINT1_75840.9, SINT1_75840.8	EWB00_002027
OG0000524	SINT1_12560.1, SINT1_12560.2, SINT1_12560.4, SINT1_12560.3, SINT1_12560.5	EWB00_007681.1, EWB00_007681.2
OG0000525	SINT1_50460.1, SINT1_50460.5, SINT1_50460.3, SINT1_50460.4, SINT1_50460.2, SINT1_50460.6	EWB00_005219
OG0000526	SINT1_17000.3, SINT1_17000.1, SINT1_17000.2, SINT1_17000.5, SINT1_17000.6, SINT1_17000.4	EWB00_007651
OG0000527	SINT1_19220.1, SINT1_19220.3, SINT1_19220.2	EWB00_001037.3, EWB00_001037.2, EWB00_001037.1
OG0000528	SINT1_32160.4, SINT1_32160.1, SINT1_32160.3, SINT1_32160.6, SINT1_32160.2, SINT1_32160.5	EWB00_007848.1, EWB00_007848.2
OG0000529	SINT1_15790.1	EWB00_004121.1, EWB00_004121.2
OG0000530	SINT1_91480.1	EWB00_000579
OG0000530	SINT1_94180.1, SINT1_94190.1	EWB00_009987, EWB00_009985.3, EWB00_009985.1, EWB00_009985.2
OG0000531	SINT1_76590.4, SINT1_76590.7, SINT1_76590.3, SINT1_76590.2, SINT1_76590.6, SINT1_76590.1, SINT1_76590.5, SINT1_76590.8	EWB00_004559.1, EWB00_004559.2, EWB00_004559.3
OG0000532	SINT1_4940.2, SINT1_4940.3, SINT1_4940.1	EWB00_006344
OG0000533	SINT1_19390.3, SINT1_19390.2, SINT1_19390.1, SINT1_19390.4	EWB00_008818.1, EWB00_008818.2, EWB00_008818.3
OG0000534	SINT1_70120.3, SINT1_70120.2, SINT1_70120.1, SINT1_70120.4	EWB00_009516, EWB00_003670.1, EWB00_003670.2
OG0000535	SINT1_58460.1, SINT1_58490.1	EWB00_005272, EWB00_005271
OG0000536	SINT1_65460.1	EWB00_010396.1, EWB00_010396.2
OG0000537	SINT1_53390.3, SINT1_53390.5, SINT1_53390.4, SINT1_53390.1, SINT1_53390.2, SINT1_53390.6	EWB00_005391
OG0000538	SINT1_90900.1	EWB00_000099
OG0000539	SINT1_46700.1, SINT1_46700.2, SINT1_46700.3	EWB00_002550.1, EWB00_002550.2
OG0000540	SINT1_5710.1, SINT1_5710.2, SINT1_5710.3, SINT1_5710.4	EWB00_002037, EWB00_002039
OG0000541	SINT1_28900.2, SINT1_28900.1, SINT1_28900.4, SINT1_28900.3	EWB00_003281
OG0000542	SINT1_85720.4, SINT1_85720.5, SINT1_85720.1, SINT1_85720.3, SINT1_85720.2	EWB00_006936.2, EWB00_006936.4, EWB00_006936.1, EWB00_006936.3
OG0000543	SINT1_15140.7, SINT1_15140.1, SINT1_15140.2, SINT1_15140.3, SINT1_15140.4, SINT1_15140.6, SINT1_15140.5	EWB00_002348, EWB00_002347
OG0000544	SINT1_78690.1	EWB00_010583
OG0000545	SINT1_46490.1	EWB00_004095.1, EWB00_004095.3, EWB00_004095.4, EWB00_004095.2
OG0000545	SINT1_68990.1, SINT1_68990.2, SINT1_68990.3, SINT1_68990.5, SINT1_68990.4	EWB00_008683.2, EWB00_008683.3, EWB00_008683.4
OG0000546	SINT1_29640.5, SINT1_29640.2, SINT1_29640.3	EWB00_006057
OG0000547	SINT1_87170.1, SINT1_87170.2, SINT1_87170.3	EWB00_009286
OG0000548	SINT1_29740.4, SINT1_29740.5, SINT1_29740.3, SINT1_29740.6, SINT1_29740.7, SINT1_29740.1, SINT1_29740.2	EWB00_006045.1, EWB00_006045.2, EWB00_006045.3
OG0000549	SINT1_11110.1, SINT1_11110.2, SINT1_11110.3, SINT1_11110.5, SINT1_11110.4	EWB00_005545
OG0000550	SINT1_18840.1, SINT1_18830.1	EWB00_005481
OG0000552	SINT1_5470.3, SINT1_5470.2, SINT1_5470.1	EWB00_006314.2, EWB00_006314.3, EWB00_006314.1
OG0000553	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1	EWB00_000563
OG0000554	SINT1_11240.1	EWB00_011076
OG0000555	SINT1_43550.1, SINT1_43550.2	EWB00_006082, EWB00_009497, EWB00_009582, EWB00_009583.1, EWB00_009583.2, EWB00_009583.3
OG0000556	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2	EWB00_008873.2, EWB00_008873.1, EWB00_008873.3
OG0000557	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6, SINT1_37740.4, SINT1_37740.3	EWB00_007706.1, EWB00_007706.2
OG0000558	SINT1_17920.1	EWB00_006560
OG0000559	SINT1_79590.1, SINT1_79590.3, SINT1_79590.2	EWB00_006759.1, EWB00_006759.2
OG0000560	SINT1_94680.1, SINT1_94680.2, SINT1_94680.4, SINT1_94680.3	EWB00_006673
OG0000561	SINT1_93360.1	EWB00_001438.2, EWB00_001438.1, EWB00_001438.4, EWB00_001438.5, EWB00_001438.3
OG0000561	SINT1_93370.1, SINT1_93370.2	EWB00_001439.2, EWB00_001439.1, EWB00_001439.3, EWB00_001439.4
OG0000562	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2, SINT1_83320.3	EWB00_004493.2, EWB00_004493.1, EWB00_004493.4, EWB00_004493.3
OG0000563	SINT1_20170.5, SINT1_20170.4, SINT1_20170.2, SINT1_20170.1, SINT1_20170.3	EWB00_010331.1, EWB00_010331.2
OG0000564	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3	EWB00_005735.1, EWB00_005735.2, EWB00_005735.3, EWB00_005735.4, EWB00_005735.5
OG0000565	SINT1_3380.1, SINT1_3380.3, SINT1_3380.2	EWB00_001645.3, EWB00_001645.1, EWB00_001645.2
OG0000566	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3	EWB00_001505.1, EWB00_001505.4, EWB00_001505.2, EWB00_001505.3
OG0000567	SINT1_65260.1	EWB00_010450.2
OG0000568	SINT1_56550.1	EWB00_005140.1, EWB00_005140.2, EWB00_005140.3, EWB00_005140.4
OG0000568	SINT1_66460.1	EWB00_009855.1, EWB00_009855.2
OG0000569	SINT1_9740.1	EWB00_008513.2, EWB00_008513.4, EWB00_008513.1, EWB00_008513.3, EWB00_008513.5
OG0000570	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1	EWB00_010004
OG0000571	SINT1_9030.1	EWB00_003064.1, EWB00_003064.2
OG0000572	SINT1_59080.1	EWB00_000508
OG0000574	SINT1_2810.1	EWB00_007575
OG0000574	SINT1_2850.1	EWB00_007578
OG0000575	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2	EWB00_009684.3, EWB00_009684.4, EWB00_009684.2, EWB00_009684.5, EWB00_009684.6, EWB00_009684.7, EWB00_009684.1
OG0000576	SINT1_44160.10, SINT1_44160.11, SINT1_44160.9, SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1, SINT1_44160.8, SINT1_44160.4, SINT1_44160.6	EWB00_004903
OG0000577	SINT1_53010.4, SINT1_53010.7, SINT1_53010.3, SINT1_53010.2, SINT1_53010.1, SINT1_53010.5, SINT1_53010.6	EWB00_010674.1, EWB00_010674.2
OG0000579	SINT1_74440.1, SINT1_74460.1, SINT1_74450.1, SINT1_74480.1	EWB00_010560, EWB00_010557, EWB00_004099, EWB00_010135
OG0000580	SINT1_32400.1, SINT1_32400.2	EWB00_003419
OG0000581	SINT1_60760.7, SINT1_60760.8, SINT1_60760.1, SINT1_60760.4, SINT1_60760.5, SINT1_60760.3, SINT1_60760.2, SINT1_60760.6	EWB00_011088.3, EWB00_011088.2, EWB00_011088.1
OG0000582	SINT1_81700.1	EWB00_007044, EWB00_009714
OG0000582	SINT1_81710.1	EWB00_007043
OG0000582	SINT1_81720.1	EWB00_007042
OG0000583	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2	EWB00_011310.1, EWB00_011310.2
OG0000584	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9	EWB00_003311
OG0000585	SINT1_5900.1	EWB00_010839, EWB00_010840
OG0000586	SINT1_31110.1	EWB00_007451.1, EWB00_007451.2
OG0000587	SINT1_64510.1	EWB00_000903
OG0000587	SINT1_9440.1	EWB00_005771
OG0000588	SINT1_96310.1, SINT1_96330.1, SINT1_96280.1, SINT1_96320.1, SINT1_96350.1, SINT1_96340.1, SINT1_22680.1, SINT1_96360.1	EWB00_005759.1, EWB00_005759.2
OG0000589	SINT1_54780.1	EWB00_000767.3, EWB00_000767.4, EWB00_000767.1, EWB00_000767.2
OG0000590	SINT1_29290.1	EWB00_007928
OG0000590	SINT1_40570.1	EWB00_002833
OG0000591	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4	EWB00_001644.1, EWB00_001644.2
OG0000592	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5	EWB00_004130
OG0000593	SINT1_31860.1	EWB00_009305, EWB00_010907
OG0000594	SINT1_49270.1	EWB00_002991
OG0000595	SINT1_47700.1	EWB00_010775
OG0000598	SINT1_12960.1	EWB00_004687
OG0000599	SINT1_62340.1, SINT1_62340.2	EWB00_005904.1, EWB00_005904.2
OG0000600	SINT1_67100.1, SINT1_67110.1	EWB00_006231.1, EWB00_006231.2
OG0000601	SINT1_93270.1, SINT1_93270.2, SINT1_93280.1	EWB00_001427.1, EWB00_001427.2
OG0000601	SINT1_40980.1, SINT1_40980.2	EWB00_007989, EWB00_007990
OG0000602	SINT1_15170.1, SINT1_15170.2	EWB00_002351, EWB00_002350
OG0000603	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3	EWB00_004420.1, EWB00_004420.2
OG0000604	SINT1_39390.5, SINT1_39390.3, SINT1_39390.1, SINT1_39390.2, SINT1_39390.4	EWB00_006171.7, EWB00_006171.1, EWB00_006171.4, EWB00_006171.2, EWB00_006171.3, EWB00_006171.5, EWB00_006171.6
OG0000605	SINT1_27640.2, SINT1_27640.3, SINT1_27640.4	EWB00_007008.2, EWB00_007008.1
OG0000605	SINT1_27600.1	EWB00_010874.1, EWB00_010874.2
OG0000606	SINT1_17240.1	EWB00_000068
OG0000606	SINT1_17240.1	EWB00_008081
OG0000606	SINT1_5290.1	EWB00_006291
OG0000607	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2	EWB00_007459.1, EWB00_007459.5, EWB00_007459.2, EWB00_007459.3, EWB00_007459.4
OG0000608	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5	EWB00_003677
OG0000609	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2, SINT1_27510.1	EWB00_010886.1, EWB00_010886.2
OG0000610	SINT1_22860.1	EWB00_007565.1, EWB00_007565.2, EWB00_007565.3
OG0000611	SINT1_43150.1, SINT1_43190.1, SINT1_43170.1, SINT1_43180.1, SINT1_43160.1	EWB00_006356
OG0000612	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7	EWB00_003067
OG0000613	SINT1_37050.7, SINT1_37050.8, SINT1_37050.9	EWB00_005606.2
OG0000614	SINT1_44350.1, SINT1_44350.2	EWB00_009700.1, EWB00_009700.2, EWB00_009700.4, EWB00_009700.3
OG0000615	SINT1_13330.4, SINT1_13330.5, SINT1_13330.3, SINT1_13330.1, SINT1_13330.2	EWB00_002696.1, EWB00_002696.2
OG0000616	SINT1_59830.4, SINT1_59830.5, SINT1_59830.6, SINT1_59830.2, SINT1_59830.1, SINT1_59830.3, SINT1_59830.7	EWB00_007965
OG0000617	SINT1_80500.1, SINT1_80500.2, SINT1_80500.3	EWB00_000154.3, EWB00_000154.9, EWB00_000154.4, EWB00_000154.1, EWB00_000154.2, EWB00_000154.6, EWB00_000154.7, EWB00_000154.8, EWB00_000154.5, EWB00_000154.12, EWB00_000154.10, EWB00_000154.11
OG0000618	SINT1_36450.1	EWB00_004319.1, EWB00_004319.2, EWB00_004319.3
OG0000619	SINT1_610.1, SINT1_610.2	EWB00_010236.6, EWB00_010236.7, EWB00_010236.8, EWB00_010236.1, EWB00_010236.2, EWB00_010236.3, EWB00_010236.4, EWB00_010236.5, EWB00_010236.9, EWB00_010236.10, EWB00_010236.12, EWB00_010236.13, EWB00_010236.14, EWB00_010236.11
OG0000620	SINT1_15400.1	EWB00_002375.1, EWB00_002375.3, EWB00_002375.2
OG0000620	SINT1_45690.1, SINT1_45690.2	EWB00_004068.1, EWB00_004068.2
OG0000621	SINT1_30120.5, SINT1_30120.1, SINT1_30120.3, SINT1_30120.2, SINT1_30120.4	EWB00_006007
OG0000622	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8	EWB00_004548
OG0000623	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4	EWB00_009348, EWB00_010005.2, EWB00_010005.1
OG0000624	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8	EWB00_000634
OG0000625	SINT1_37430.1	EWB00_001308.1, EWB00_001308.2, EWB00_001308.3, EWB00_001308.4
OG0000627	SINT1_11970.1, SINT1_11970.4, SINT1_11970.2, SINT1_11970.3	EWB00_000167, EWB00_002190
OG0000628	SINT1_60880.1, SINT1_60880.2	EWB00_011095.1, EWB00_011095.2
OG0000629	SINT1_38880.1	EWB00_009522, EWB00_006221
OG0000630	SINT1_58530.1	EWB00_005268.2, EWB00_005268.1, EWB00_005268.3, EWB00_005268.4, EWB00_005268.5
OG0000631	SINT1_65390.1	EWB00_008869.1, EWB00_008869.2
OG0000631	SINT1_60910.1	EWB00_011103, EWB00_011102
OG0000632	SINT1_13450.1	EWB00_002685
OG0000633	SINT1_52510.1, SINT1_52510.2	EWB00_010638
OG0000634	SINT1_11210.1, SINT1_85830.1, SINT1_9490.1, SINT1_7140.1, SINT1_18690.1, SINT1_54010.1, SINT1_88970.1, SINT1_40260.1	EWB00_003689
OG0000636	SINT1_93030.3, SINT1_93030.1, SINT1_93030.2	EWB00_000571.1, EWB00_000571.2
OG0000637	SINT1_49540.1, SINT1_49540.2	EWB00_007605.1, EWB00_007605.2
OG0000638	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4	EWB00_008903, EWB00_008904
OG0000639	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2	EWB00_001158
OG0000640	SINT1_83270.2, SINT1_83270.3, SINT1_83270.4, SINT1_83270.5, SINT1_83270.1, SINT1_83360.1	EWB00_004497
OG0000641	SINT1_6660.1	EWB00_005331, EWB00_011086.3, EWB00_010148, EWB00_011086.1, EWB00_011086.2, EWB00_011086.4
OG0000643	SINT1_51960.1	EWB00_003546.3, EWB00_003546.1, EWB00_003546.2
OG0000643	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3	EWB00_003547.2, EWB00_003547.3, EWB00_003547.1
OG0000645	SINT1_10550.1, SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2	EWB00_009473.1, EWB00_009473.2
OG0000646	SINT1_9020.1	EWB00_003065.2, EWB00_003065.3, EWB00_003065.1
OG0000647	SINT1_61770.1, SINT1_61770.2, SINT1_61770.3, SINT1_61770.4	EWB00_000545.3, EWB00_000545.6, EWB00_000545.1, EWB00_000545.2, EWB00_000545.5, EWB00_000545.4
OG0000648	SINT1_90570.2, SINT1_90570.4, SINT1_90570.1, SINT1_90570.3, SINT1_90580.1	EWB00_004964
OG0000649	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3	EWB00_006577
OG0000650	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3	EWB00_004553.2, EWB00_004553.1
OG0000651	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5	EWB00_008758
OG0000652	SINT1_40190.3, SINT1_40190.4, SINT1_40190.5, SINT1_40190.1, SINT1_40190.2	EWB00_003930.1, EWB00_003930.2, EWB00_003930.3
OG0000653	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2	EWB00_007802
OG0000654	SINT1_57870.6, SINT1_57870.7, SINT1_57870.5, SINT1_57870.3, SINT1_57870.4, SINT1_57870.9, SINT1_57870.8, SINT1_57870.2, SINT1_57870.1	EWB00_005929.2, EWB00_005929.3, EWB00_005929.1, EWB00_005929.5, EWB00_005929.4
OG0000655	SINT1_80450.1, SINT1_80450.2, SINT1_80450.3, SINT1_80450.4, SINT1_80450.5, SINT1_80450.6, SINT1_80450.7	EWB00_000149
OG0000656	SINT1_74340.3, SINT1_74340.1, SINT1_74340.2, SINT1_74340.4	EWB00_010547.1, EWB00_010547.2, EWB00_010547.3
OG0000657	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2	EWB00_001860.1, EWB00_001860.2
OG0000659	SINT1_41750.1, SINT1_41750.5, SINT1_41750.2, SINT1_41750.3, SINT1_41750.4	EWB00_009331
OG0000662	SINT1_52210.9, SINT1_52210.5, SINT1_52210.7, SINT1_52210.6, SINT1_52210.1, SINT1_52210.2, SINT1_52210.4, SINT1_52210.3, SINT1_52210.8	EWB00_006810.7, EWB00_006810.4, EWB00_006810.9, EWB00_006810.1, EWB00_006810.2, EWB00_006810.3, EWB00_006810.5, EWB00_006810.6, EWB00_006810.8
OG0000663	SINT1_38150.2, SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7	EWB00_003146
OG0000664	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4	EWB00_004155
OG0000665	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9, SINT1_72110.7	EWB00_006628.2, EWB00_006628.3, EWB00_006628.1
OG0000666	SINT1_61520.4, SINT1_61520.1, SINT1_61520.2, SINT1_61520.3, SINT1_61520.5, SINT1_61520.6	EWB00_001159.3, EWB00_001159.1, EWB00_001159.2, EWB00_001159.4
OG0000667	SINT1_6200.1	EWB00_008456.2, EWB00_008456.1
OG0000668	SINT1_52430.4, SINT1_52430.2, SINT1_52430.3, SINT1_52430.1	EWB00_010649
OG0000669	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7	EWB00_006275
OG0000670	SINT1_44650.4, SINT1_44650.5, SINT1_44650.1, SINT1_44650.2, SINT1_44650.3	EWB00_001008.8, EWB00_001008.5, EWB00_001008.1, EWB00_001008.2, EWB00_001008.4, EWB00_001008.6, EWB00_001008.7, EWB00_001008.3
OG0000671	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5	EWB00_011016
OG0000672	SINT1_44270.1	EWB00_008803
OG0000673	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2	EWB00_003113.3, EWB00_003113.1, EWB00_003113.2
OG0000674	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3	EWB00_007398
OG0000675	SINT1_71260.1, SINT1_71260.3, SINT1_71260.2, SINT1_71260.4	EWB00_002750
OG0000676	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5	EWB00_000145.1, EWB00_000145.2
OG0000677	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2	EWB00_006281
OG0000678	SINT1_34540.1, SINT1_34540.2, SINT1_34540.3, SINT1_34540.4	EWB00_003399
OG0000679	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5	EWB00_002723
OG0000680	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4	EWB00_007650.3, EWB00_007650.1, EWB00_007650.2
OG0000681	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6	EWB00_008171
OG0000682	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1	EWB00_006378.1, EWB00_006378.2
OG0000683	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3	EWB00_002223.1, EWB00_002223.3, EWB00_002223.2
OG0000683	SINT1_66710.1	EWB00_005794.1, EWB00_005794.2
OG0000684	SINT1_83180.1	EWB00_009748, EWB00_004484.1, EWB00_004484.2, EWB00_004484.3, EWB00_004484.4, EWB00_004484.5, EWB00_004484.6, EWB00_004484.7, EWB00_004484.8
OG0000685	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3	EWB00_001176.4, EWB00_001176.3, EWB00_001176.1, EWB00_001176.2
OG0000686	SINT1_59760.2, SINT1_59760.4, SINT1_59760.1, SINT1_59760.3	EWB00_007957.1, EWB00_007957.2, EWB00_007957.3
OG0000687	SINT1_26910.1, SINT1_26910.2, SINT1_26910.6, SINT1_26910.3, SINT1_26910.5, SINT1_26910.4	EWB00_005020.3, EWB00_005020.1, EWB00_005020.2
OG0000688	SINT1_640.1	EWB00_010232.1, EWB00_010232.3, EWB00_010232.2
OG0000689	SINT1_2840.1	EWB00_007577.1, EWB00_007577.2
OG0000690	SINT1_95640.1, SINT1_22900.1	EWB00_007561.1, EWB00_007561.2
OG0000692	SINT1_17170.2, SINT1_17170.1, SINT1_17170.3	EWB00_000073.1, EWB00_000073.5, EWB00_000073.6, EWB00_000073.7, EWB00_000073.9, EWB00_000073.4, EWB00_000073.3, EWB00_000073.8, EWB00_000073.2
OG0000695	SINT1_94530.1	EWB00_006635
OG0000695	SINT1_45510.1, SINT1_45510.2	EWB00_004741.1, EWB00_004741.2
OG0000696	SINT1_5420.1	EWB00_006308.1, EWB00_006308.2, EWB00_006308.3, EWB00_006308.4
OG0000697	SINT1_40250.1, SINT1_40250.2	EWB00_003926
OG0000698	SINT1_18150.4, SINT1_18150.1, SINT1_18150.2, SINT1_18150.3	EWB00_006456
OG0000699	SINT1_33030.1	EWB00_002135.2, EWB00_002135.1, EWB00_002135.3
OG0000699	SINT1_45930.1, SINT1_45920.1	EWB00_000170
OG0000700	SINT1_24020.1	EWB00_002860
OG0000700	SINT1_24030.1, SINT1_24040.1	EWB00_002862
OG0000701	SINT1_60550.3, SINT1_60550.1, SINT1_60550.2, SINT1_60550.5, SINT1_60550.4, SINT1_60550.6	EWB00_011329.2, EWB00_011329.1, EWB00_011329.4, EWB00_011329.3
OG0000702	SINT1_85500.3, SINT1_85500.1, SINT1_85500.2	EWB00_008044.2, EWB00_008044.1, EWB00_008044.3
OG0000703	SINT1_160.1, SINT1_160.3, SINT1_160.2	EWB00_010218
