Orthogroup	schistosoma_margrebowiei	schistosoma_turkestanicum
OG0000608	SMRG1_51440.3, SMRG1_51440.5, SMRG1_51440.1, SMRG1_51440.2, SMRG1_51440.4	STRK1_52140.1, STRK1_52120.1, STRK1_52120.2
OG0000609	SMRG1_27530.1, SMRG1_27530.2	STRK1_98450.1, STRK1_25320.1
OG0000610	SMRG1_28340.3, SMRG1_28340.2	STRK1_26680.1
OG0000610	SMRG1_22730.1	STRK1_21440.4, STRK1_21540.1
OG0000611	SMRG1_43460.1	STRK1_40760.1
OG0000611	SMRG1_43490.1	STRK1_40750.1, STRK1_40720.1, STRK1_40720.2, STRK1_40730.1
OG0000612	SMRG1_8510.1, SMRG1_8510.2	STRK1_12080.1
OG0000613	SMRG1_37200.1, SMRG1_37200.2, SMRG1_37200.4, SMRG1_37200.3	STRK1_28000.1, STRK1_28000.2
OG0000614	SMRG1_44530.1	STRK1_42910.1
OG0000615	SMRG1_12700.1, SMRG1_12700.2, SMRG1_12700.3, SMRG1_12700.4, SMRG1_12700.5, SMRG1_12700.6, SMRG1_12700.7	STRK1_8510.1, STRK1_8510.2
OG0000616	SMRG1_60640.1	STRK1_108810.1, STRK1_58200.1, STRK1_104970.1, STRK1_58190.1, STRK1_103510.1, STRK1_103510.2
OG0000617	SMRG1_82560.1, SMRG1_82560.2	STRK1_79620.1
OG0000618	SMRG1_36540.8, SMRG1_36540.5, SMRG1_36540.4, SMRG1_36540.6, SMRG1_36540.3, SMRG1_36540.7, SMRG1_36540.1, SMRG1_36540.2	STRK1_31250.3, STRK1_31250.2, STRK1_31250.1, STRK1_31250.6, STRK1_31250.5, STRK1_31250.4
OG0000619	SMRG1_1260.3, SMRG1_1260.1, SMRG1_1260.5, SMRG1_1260.2, SMRG1_1260.4	STRK1_80930.1, STRK1_80930.3, STRK1_80930.2
OG0000620	SMRG1_14780.1	STRK1_4430.1
OG0000620	SMRG1_46050.1, SMRG1_46050.3, SMRG1_46050.2, SMRG1_46050.4	STRK1_43590.1, STRK1_98020.1, STRK1_99350.1
OG0000621	SMRG1_30120.4, SMRG1_30120.7, SMRG1_30120.5, SMRG1_30120.1, SMRG1_30120.2, SMRG1_30120.3, SMRG1_30120.6	STRK1_29970.1, STRK1_29970.2
OG0000622	SMRG1_74030.1	STRK1_71460.1
OG0000623	SMRG1_12530.1, SMRG1_12530.2	STRK1_8330.1
OG0000624	SMRG1_29090.1, SMRG1_29090.2, SMRG1_29090.3, SMRG1_29090.4, SMRG1_29090.5	STRK1_36900.1
OG0000625	SMRG1_37550.1, SMRG1_37550.2	STRK1_33590.1
OG0000626	SMRG1_55250.7, SMRG1_55250.3, SMRG1_55250.5, SMRG1_55250.6, SMRG1_55250.4, SMRG1_55250.1, SMRG1_55250.2	STRK1_48800.1
OG0000627	SMRG1_11390.2, SMRG1_11390.3	STRK1_5540.1, STRK1_5540.2, STRK1_5540.3
OG0000628	SMRG1_59600.1, SMRG1_59600.5, SMRG1_59600.2, SMRG1_59600.7, SMRG1_59600.6, SMRG1_59600.3, SMRG1_59600.4	STRK1_60390.1, STRK1_60390.2
OG0000629	SMRG1_38870.3, SMRG1_38870.4, SMRG1_38880.1	STRK1_28610.1
OG0000630	SMRG1_59280.1	STRK1_57470.1
OG0000631	SMRG1_66500.1, SMRG1_66500.2	STRK1_58990.1
OG0000631	SMRG1_59570.1	STRK1_60430.1
OG0000632	SMRG1_12850.2, SMRG1_12850.1, SMRG1_12850.3, SMRG1_12850.5, SMRG1_12850.4, SMRG1_12850.7, SMRG1_12850.6	STRK1_11850.1
OG0000633	SMRG1_53120.1, SMRG1_53120.2, SMRG1_53120.3, SMRG1_53120.4, SMRG1_53120.5, SMRG1_53120.6	STRK1_46900.1
OG0000636	SMRG1_95960.5, SMRG1_95960.3, SMRG1_95960.4, SMRG1_95960.8, SMRG1_95960.7, SMRG1_95960.6, SMRG1_95960.1, SMRG1_95960.2	STRK1_90940.1
OG0000637	SMRG1_50310.3, SMRG1_50310.1, SMRG1_50310.2, SMRG1_50310.4	STRK1_49610.1, STRK1_49610.2
OG0000638	SMRG1_64770.1, SMRG1_64770.2	STRK1_58720.1
OG0000639	SMRG1_62400.3, SMRG1_62400.6, SMRG1_62400.7, SMRG1_62400.5, SMRG1_62400.1, SMRG1_62400.4, SMRG1_62400.2	STRK1_65490.1
OG0000640	SMRG1_85500.1, SMRG1_85500.2, SMRG1_85600.1, SMRG1_85490.1, SMRG1_81940.1, SMRG1_82000.2, SMRG1_82000.1, SMRG1_82000.3	STRK1_81880.1
OG0000641	SMRG1_6420.1	STRK1_5970.1
OG0000641	SMRG1_4340.1	STRK1_15740.1
OG0000642	SMRG1_62460.2, SMRG1_62460.1	STRK1_65430.6, STRK1_65430.1, STRK1_65430.2, STRK1_65430.4, STRK1_65430.3, STRK1_65430.7, STRK1_65430.5
OG0000643	SMRG1_52630.1	STRK1_46480.1, STRK1_46480.3, STRK1_46480.4, STRK1_46480.7, STRK1_46480.2, STRK1_46480.5, STRK1_46480.6
OG0000643	SMRG1_52620.1	STRK1_46470.1, STRK1_46470.2
OG0000644	SMRG1_96890.3, SMRG1_96890.4, SMRG1_96890.1, SMRG1_96890.2	STRK1_92740.1
OG0000645	SMRG1_10030.1	STRK1_9750.1
OG0000646	SMRG1_8540.1	STRK1_12060.1
OG0000647	SMRG1_62660.4, SMRG1_62660.6, SMRG1_62660.1, SMRG1_62660.2, SMRG1_62660.3, SMRG1_62660.5, SMRG1_62660.7	STRK1_61240.1
OG0000648	SMRG1_93230.1, SMRG1_93220.1	STRK1_89640.1, STRK1_108500.1, STRK1_110830.1
OG0000649	SMRG1_60960.1, SMRG1_60960.2, SMRG1_60960.3, SMRG1_60960.4, SMRG1_60960.5, SMRG1_60960.6	STRK1_97850.1, STRK1_57810.1
OG0000650	SMRG1_78190.2, SMRG1_78190.1, SMRG1_78190.3, SMRG1_78190.4	STRK1_74790.1, STRK1_74800.1
OG0000651	SMRG1_42020.4, SMRG1_42020.1, SMRG1_42020.2, SMRG1_42020.3	STRK1_41900.1, STRK1_41880.1
OG0000652	SMRG1_40320.1, SMRG1_40310.1	STRK1_35180.1
OG0000653	SMRG1_40980.1, SMRG1_40970.1, SMRG1_40970.2, SMRG1_40980.2	STRK1_38880.1, STRK1_38890.1, STRK1_38890.2
OG0000654	SMRG1_58600.4, SMRG1_58600.5, SMRG1_58600.2, SMRG1_58600.1, SMRG1_58600.3	STRK1_27750.2, STRK1_27750.4, STRK1_27750.3, STRK1_27750.1
OG0000655	SMRG1_82520.1, SMRG1_82520.2, SMRG1_82520.3, SMRG1_82520.4, SMRG1_82520.5	STRK1_79640.1
OG0000656	SMRG1_76030.1	STRK1_72250.1
OG0000657	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6	STRK1_86300.1
OG0000658	SMRG1_55100.1	STRK1_7180.1
OG0000659	SMRG1_42000.6, SMRG1_42000.5, SMRG1_42000.1, SMRG1_42000.2, SMRG1_42000.3, SMRG1_42000.4, SMRG1_42000.7	STRK1_41670.1
OG0000663	SMRG1_38150.2, SMRG1_38150.1, SMRG1_38150.3	STRK1_32940.1
OG0000664	SMRG1_11930.1, SMRG1_11930.2	STRK1_13220.3, STRK1_13220.1, STRK1_13220.2
OG0000665	SMRG1_73660.1, SMRG1_73660.2	STRK1_71810.1
OG0000666	SMRG1_62390.1, SMRG1_62390.2, SMRG1_62390.3, SMRG1_62390.4	STRK1_65480.1, STRK1_65480.2
OG0000667	SMRG1_5930.6, SMRG1_5930.8, SMRG1_5930.10, SMRG1_5930.2, SMRG1_5930.3, SMRG1_5930.9, SMRG1_5930.1, SMRG1_5930.5, SMRG1_5930.4, SMRG1_5930.7	STRK1_5720.10, STRK1_5720.11, STRK1_5720.8, STRK1_5720.7, STRK1_5720.6, STRK1_5720.1, STRK1_5720.4, STRK1_5720.5, STRK1_5720.2, STRK1_5720.3, STRK1_5720.9
OG0000668	SMRG1_53030.2, SMRG1_53030.5, SMRG1_53030.1, SMRG1_53030.3, SMRG1_53030.4	STRK1_46820.1
OG0000669	SMRG1_69860.1, SMRG1_69860.2, SMRG1_69860.3, SMRG1_69860.4, SMRG1_69860.5	STRK1_101300.1, STRK1_65750.1, STRK1_65750.2
OG0000670	SMRG1_44830.1	STRK1_42860.1
OG0000671	SMRG1_77210.3, SMRG1_77210.1, SMRG1_77210.2	STRK1_71160.1
OG0000672	SMRG1_44450.1	STRK1_41990.3, STRK1_41990.1, STRK1_41990.2
OG0000673	SMRG1_15670.9, SMRG1_15670.5, SMRG1_15670.6, SMRG1_15670.8, SMRG1_15670.7, SMRG1_15670.1, SMRG1_15670.2, SMRG1_15670.3, SMRG1_15670.4	STRK1_14940.1
OG0000674	SMRG1_78710.1, SMRG1_78710.2, SMRG1_78710.3	STRK1_72430.1
OG0000675	SMRG1_72810.5, SMRG1_72810.2, SMRG1_72810.1, SMRG1_72810.4, SMRG1_72810.3	STRK1_69980.1
OG0000676	SMRG1_82470.1, SMRG1_82470.2, SMRG1_82470.3, SMRG1_82470.4, SMRG1_82470.5, SMRG1_82470.6, SMRG1_82470.7, SMRG1_82470.8, SMRG1_82470.9	STRK1_79710.1
OG0000677	SMRG1_5010.1, SMRG1_5010.8, SMRG1_5010.11, SMRG1_5010.9, SMRG1_5010.16, SMRG1_5010.17, SMRG1_5010.14, SMRG1_5010.15, SMRG1_5010.4, SMRG1_5010.13, SMRG1_5010.6, SMRG1_5010.5, SMRG1_5010.12, SMRG1_5010.10, SMRG1_5010.7, SMRG1_5010.3, SMRG1_5010.2	STRK1_6960.1, STRK1_6960.2
OG0000678	SMRG1_34530.1, SMRG1_34530.2, SMRG1_34530.3	STRK1_35440.1
OG0000679	SMRG1_72880.1	STRK1_69990.1, STRK1_69990.2, STRK1_69990.3, STRK1_69990.6, STRK1_69990.7, STRK1_69990.4, STRK1_69990.5
OG0000680	SMRG1_18070.3, SMRG1_18070.1, SMRG1_18070.4, SMRG1_18070.5, SMRG1_18070.2	STRK1_14240.1
OG0000681	SMRG1_34960.5, SMRG1_34960.8, SMRG1_34960.9, SMRG1_34960.1, SMRG1_34960.4, SMRG1_34960.2, SMRG1_34960.3, SMRG1_34960.6, SMRG1_34960.7	STRK1_35810.1, STRK1_35820.1
OG0000682	SMRG1_43300.1, SMRG1_43300.2	STRK1_40930.1
OG0000683	SMRG1_55630.1, SMRG1_55630.2	STRK1_97380.1
OG0000684	SMRG1_85390.1, SMRG1_85390.2, SMRG1_85390.3	STRK1_81790.1
OG0000685	SMRG1_75830.4, SMRG1_75830.3, SMRG1_75830.5, SMRG1_75830.7, SMRG1_75830.10, SMRG1_75830.6, SMRG1_75830.9, SMRG1_75830.1, SMRG1_75830.2, SMRG1_75830.8	STRK1_72060.1
OG0000686	SMRG1_60750.1, SMRG1_60750.2	STRK1_58120.1
OG0000687	SMRG1_26980.3, SMRG1_26980.7, SMRG1_26980.6, SMRG1_26980.10, SMRG1_26980.8, SMRG1_26980.9, SMRG1_26980.4, SMRG1_26980.5, SMRG1_26980.2, SMRG1_26980.1	STRK1_25970.1
OG0000688	SMRG1_1230.10, SMRG1_1230.11, SMRG1_1230.7, SMRG1_1230.8, SMRG1_1230.9, SMRG1_1230.1, SMRG1_1230.2, SMRG1_1230.3, SMRG1_1230.4, SMRG1_1230.5, SMRG1_1230.6	STRK1_111400.1, STRK1_80900.1, STRK1_80900.3, STRK1_80900.2
OG0000689	SMRG1_2780.1	STRK1_17190.1, STRK1_17190.2
OG0000690	SMRG1_22770.1	STRK1_107560.1, STRK1_21480.1
OG0000692	SMRG1_17910.1, SMRG1_17910.2	STRK1_14080.3, STRK1_14080.5, STRK1_14080.1, STRK1_14080.2, STRK1_14080.4, STRK1_14080.6
OG0000695	SMRG1_97420.1	STRK1_92340.1
OG0000695	SMRG1_45860.1, SMRG1_45860.2, SMRG1_45860.3, SMRG1_45860.4, SMRG1_45860.5	STRK1_43260.1, STRK1_104100.1
OG0000696	SMRG1_5180.1, SMRG1_5180.2, SMRG1_5190.1	STRK1_15230.4, STRK1_15230.2, STRK1_15230.1, STRK1_15230.3, STRK1_15230.5
OG0000697	SMRG1_40400.1	STRK1_35220.1, STRK1_100100.1, STRK1_101490.1
OG0000698	SMRG1_16990.1, SMRG1_16990.2, SMRG1_16990.3, SMRG1_16990.4, SMRG1_16990.5	STRK1_4330.1, STRK1_4330.2
OG0000699	SMRG1_33080.1	STRK1_34270.1, STRK1_34260.1
OG0000699	SMRG1_46370.2, SMRG1_46370.1, SMRG1_46370.3	STRK1_43850.1
OG0000700	SMRG1_23950.1	STRK1_24520.1
OG0000700	SMRG1_23960.1	STRK1_24510.1
OG0000700	SMRG1_23970.1	STRK1_24500.1
OG0000701	SMRG1_59930.1, SMRG1_59930.2	STRK1_60100.1, STRK1_60100.2
OG0000702	SMRG1_87970.1	STRK1_83560.1
OG0000703	SMRG1_1670.1, SMRG1_1670.2	STRK1_108920.1, STRK1_101270.1, STRK1_91410.1
OG0000704	SMRG1_48910.1, SMRG1_48920.1	STRK1_51000.1, STRK1_51000.2
OG0000705	SMRG1_5860.1, SMRG1_5860.4, SMRG1_5860.2, SMRG1_5860.3	STRK1_3680.1, STRK1_3680.2, STRK1_3680.3
OG0000706	SMRG1_43640.1	STRK1_40610.1
OG0000706	SMRG1_52930.3, SMRG1_52930.2, SMRG1_52930.1	STRK1_46730.1, STRK1_46730.2
OG0000707	SMRG1_95590.1, SMRG1_95590.2, SMRG1_95590.3	STRK1_90300.1
OG0000708	SMRG1_37340.1, SMRG1_37340.3, SMRG1_37340.2, SMRG1_37340.4, SMRG1_37340.5	STRK1_27880.1, STRK1_27880.2
OG0000709	SMRG1_43900.4, SMRG1_43900.2, SMRG1_43900.1, SMRG1_43900.3	STRK1_40300.3, STRK1_40300.1, STRK1_40300.2
OG0000710	SMRG1_7630.1	STRK1_12920.1
OG0000711	SMRG1_75040.4, SMRG1_75040.1, SMRG1_75040.3, SMRG1_75040.2	STRK1_73610.1
OG0000712	SMRG1_53310.4, SMRG1_53310.6, SMRG1_53310.1, SMRG1_53310.2, SMRG1_53310.3, SMRG1_53310.7, SMRG1_53310.8, SMRG1_53310.5	STRK1_47060.1
OG0000713	SMRG1_71530.1	STRK1_106160.1, STRK1_106160.4, STRK1_106160.5, STRK1_106160.3, STRK1_106160.2
OG0000714	SMRG1_46830.1	STRK1_44320.1
OG0000715	SMRG1_27470.1, SMRG1_27470.2, SMRG1_27470.3	STRK1_25380.1
OG0000716	SMRG1_11250.1, SMRG1_11250.2, SMRG1_11250.3	STRK1_10990.1
OG0000717	SMRG1_61830.1	STRK1_57330.1
OG0000718	SMRG1_75320.5, SMRG1_75320.1, SMRG1_75320.2, SMRG1_75320.4, SMRG1_75320.3	STRK1_74460.1
OG0000719	SMRG1_55640.1, SMRG1_55640.2, SMRG1_55640.3, SMRG1_55640.4	STRK1_110850.1, STRK1_54590.1, STRK1_95370.1, STRK1_95380.1
OG0000720	SMRG1_77440.1, SMRG1_77440.2, SMRG1_77440.3, SMRG1_77440.4	STRK1_70930.4, STRK1_70930.1, STRK1_70930.3, STRK1_70930.2
OG0000721	SMRG1_46240.3, SMRG1_46240.1, SMRG1_46240.2, SMRG1_46240.4, SMRG1_46240.5	STRK1_43410.1
OG0000722	SMRG1_5070.2, SMRG1_5070.1, SMRG1_5070.3, SMRG1_5070.4	STRK1_15320.1
OG0000723	SMRG1_77200.3, SMRG1_77200.1, SMRG1_77200.2, SMRG1_77200.4	STRK1_71170.1
OG0000724	SMRG1_42070.5, SMRG1_42070.6, SMRG1_42070.2, SMRG1_42070.1, SMRG1_42070.3, SMRG1_42070.4	STRK1_41800.1
OG0000725	SMRG1_77510.4, SMRG1_77510.2, SMRG1_77510.1, SMRG1_77510.3	STRK1_103760.1, STRK1_70860.1
OG0000726	SMRG1_29910.1, SMRG1_29910.2, SMRG1_29910.5, SMRG1_29910.3, SMRG1_29910.4	STRK1_30170.1
OG0000726	SMRG1_29920.1, SMRG1_29920.2	STRK1_30160.1
OG0000727	SMRG1_38770.1, SMRG1_38770.2, SMRG1_38770.3	STRK1_28700.1, STRK1_47990.1
OG0000728	SMRG1_49060.2, SMRG1_49060.5, SMRG1_49060.6, SMRG1_49060.4, SMRG1_49060.1, SMRG1_49060.3	STRK1_50850.1
OG0000729	SMRG1_8470.1, SMRG1_8470.4, SMRG1_8470.2, SMRG1_8470.3	STRK1_12130.1
OG0000730	SMRG1_60700.8, SMRG1_60700.4, SMRG1_60700.7, SMRG1_60700.1, SMRG1_60700.2, SMRG1_60700.3, SMRG1_60700.5, SMRG1_60700.6	STRK1_58150.1, STRK1_58150.2, STRK1_58150.3, STRK1_58150.4
OG0000731	SMRG1_76820.5, SMRG1_76820.6, SMRG1_76820.7, SMRG1_76820.1, SMRG1_76820.3, SMRG1_76820.2, SMRG1_76820.4	STRK1_22860.1, STRK1_73080.1
OG0000732	SMRG1_3400.1	STRK1_16640.1
OG0000733	SMRG1_2700.1	STRK1_17230.1
OG0000736	SMRG1_78630.1, SMRG1_78630.2, SMRG1_78630.3, SMRG1_78630.4	STRK1_72540.3, STRK1_72540.2, STRK1_72540.1
OG0000737	SMRG1_9480.1, SMRG1_9480.2, SMRG1_9480.3	STRK1_9250.1
OG0000738	SMRG1_70510.2, SMRG1_70510.1, SMRG1_70510.3, SMRG1_70510.4	STRK1_67650.1
OG0000738	SMRG1_70500.1	STRK1_67660.1
OG0000739	SMRG1_57450.3, SMRG1_57450.1, SMRG1_57450.2	STRK1_53030.1, STRK1_105530.1, STRK1_106440.1
OG0000740	SMRG1_8010.6, SMRG1_8010.10, SMRG1_8010.11, SMRG1_8010.12, SMRG1_8010.13, SMRG1_8010.5, SMRG1_8010.7, SMRG1_8010.8, SMRG1_8010.9, SMRG1_8010.1, SMRG1_8010.2, SMRG1_8010.3, SMRG1_8010.14, SMRG1_8010.15, SMRG1_8010.4	STRK1_12560.1
OG0000741	SMRG1_84980.1, SMRG1_84980.3, SMRG1_84980.6, SMRG1_84980.8, SMRG1_84980.2, SMRG1_84980.4, SMRG1_84980.5, SMRG1_84980.7	STRK1_81500.1
OG0000743	SMRG1_21390.7, SMRG1_21390.1, SMRG1_21390.2, SMRG1_21390.3, SMRG1_21390.4, SMRG1_21390.5, SMRG1_21390.6	STRK1_21110.1
OG0000744	SMRG1_3480.1	STRK1_16570.1
OG0000745	SMRG1_38110.6, SMRG1_38110.5, SMRG1_38110.7, SMRG1_38110.8, SMRG1_38110.2, SMRG1_38110.1, SMRG1_38110.3, SMRG1_38110.4	STRK1_32980.1, STRK1_32980.2
OG0000746	SMRG1_60040.1	STRK1_59980.1
OG0000747	SMRG1_43190.7, SMRG1_43190.5, SMRG1_43190.3, SMRG1_43190.6, SMRG1_43190.2, SMRG1_43190.4, SMRG1_43190.1, SMRG1_43190.8	STRK1_95490.1
OG0000748	SMRG1_70930.1	STRK1_68020.1, STRK1_68030.1
OG0000749	SMRG1_70310.1	STRK1_68230.1
OG0000750	SMRG1_74940.1, SMRG1_74940.2, SMRG1_74940.3	STRK1_75670.1
OG0000751	SMRG1_5220.1	STRK1_15190.1, STRK1_15200.1
OG0000751	SMRG1_2390.1, SMRG1_2240.1	STRK1_17510.1, STRK1_17530.1
OG0000752	SMRG1_94020.1, SMRG1_94020.2, SMRG1_94020.3	STRK1_93720.1
OG0000752	SMRG1_94070.1	STRK1_93670.1
OG0000753	SMRG1_83590.12, SMRG1_83590.1, SMRG1_83590.2, SMRG1_83590.5, SMRG1_83590.6, SMRG1_83590.10, SMRG1_83590.11, SMRG1_83590.13, SMRG1_83590.3, SMRG1_83590.4, SMRG1_83590.7, SMRG1_83590.8, SMRG1_83590.9	STRK1_80660.1
OG0000754	SMRG1_50990.1, SMRG1_50990.2, SMRG1_50990.3, SMRG1_50990.4	STRK1_48550.1, STRK1_48550.2
OG0000755	SMRG1_76100.1	STRK1_72320.1, STRK1_72320.2
OG0000756	SMRG1_39050.1, SMRG1_39050.2	STRK1_37120.1
OG0000757	SMRG1_53160.5, SMRG1_53160.4, SMRG1_53160.1, SMRG1_53160.2, SMRG1_53160.3	STRK1_46930.1
OG0000759	SMRG1_53590.1	STRK1_47330.1, STRK1_47330.2, STRK1_47330.3
OG0000760	SMRG1_79230.1, SMRG1_79230.2	STRK1_76420.1, STRK1_76420.2
OG0000761	SMRG1_54260.4, SMRG1_54260.1, SMRG1_54260.2, SMRG1_54260.3, SMRG1_54260.5, SMRG1_54260.6	STRK1_51620.1
OG0000762	SMRG1_82700.1	STRK1_79480.1, STRK1_79480.2
OG0000762	SMRG1_88450.1	STRK1_85020.1
OG0000763	SMRG1_19150.1, SMRG1_19150.2, SMRG1_19150.3, SMRG1_19150.4, SMRG1_19150.6, SMRG1_19150.5	STRK1_17860.1, STRK1_17860.2, STRK1_17870.1
OG0000764	SMRG1_8630.2, SMRG1_8630.1, SMRG1_8630.3	STRK1_11990.2, STRK1_11990.1, STRK1_11990.3
OG0000765	SMRG1_53560.1	STRK1_47300.1, STRK1_47300.2
OG0000765	SMRG1_53570.1	STRK1_47310.1
OG0000766	SMRG1_63680.1, SMRG1_63680.2, SMRG1_63680.3, SMRG1_63680.4	STRK1_64360.1
OG0000767	SMRG1_65880.3, SMRG1_65880.2, SMRG1_65880.1	STRK1_62430.1, STRK1_97630.1
OG0000768	SMRG1_40130.5, SMRG1_40130.6, SMRG1_40130.7, SMRG1_40130.8	STRK1_38340.1
OG0000769	SMRG1_1950.1, SMRG1_1940.1	STRK1_19790.1, STRK1_110020.2, STRK1_54250.2, STRK1_110020.1, STRK1_54250.6, STRK1_54250.1, STRK1_54250.7, STRK1_54250.5, STRK1_54250.4, STRK1_54250.3
OG0000770	SMRG1_17150.1, SMRG1_17150.2, SMRG1_17150.3	STRK1_4150.1
OG0000771	SMRG1_80360.1	STRK1_76540.1, STRK1_76550.1, STRK1_76530.1
OG0000771	SMRG1_80390.1, SMRG1_80380.1, SMRG1_80400.2, SMRG1_80400.7, SMRG1_80400.8, SMRG1_80400.1, SMRG1_80400.3, SMRG1_80400.4, SMRG1_80400.5, SMRG1_80400.6	STRK1_76510.1
OG0000772	SMRG1_18160.1, SMRG1_18160.2, SMRG1_18180.1	STRK1_91480.1, STRK1_91460.1, STRK1_91490.1, STRK1_103820.1, STRK1_96580.1
OG0000773	SMRG1_25810.1, SMRG1_25810.3, SMRG1_25810.7, SMRG1_25810.5, SMRG1_25810.4, SMRG1_25810.6, SMRG1_25810.2	STRK1_22450.1, STRK1_22450.3, STRK1_22450.4, STRK1_22450.2
OG0000774	SMRG1_47820.1, SMRG1_47820.2, SMRG1_47820.3, SMRG1_47820.4, SMRG1_47820.5, SMRG1_47820.6, SMRG1_47820.7, SMRG1_47820.8	STRK1_45160.1, STRK1_45160.3, STRK1_45160.2, STRK1_45160.4
OG0000775	SMRG1_52280.4, SMRG1_52280.2, SMRG1_52280.3, SMRG1_52280.1	STRK1_51890.1, STRK1_51890.2
OG0000776	SMRG1_46260.1	STRK1_43430.1
OG0000776	SMRG1_57210.1, SMRG1_57210.2, SMRG1_57210.3	STRK1_53190.1
OG0000777	SMRG1_52810.3, SMRG1_52810.1, SMRG1_52810.5, SMRG1_52810.2, SMRG1_52810.4	STRK1_46620.1
OG0000778	SMRG1_22910.1, SMRG1_22910.2	STRK1_102510.1
OG0000779	SMRG1_3550.2, SMRG1_3550.4, SMRG1_3550.5, SMRG1_3550.3, SMRG1_3550.1	STRK1_16550.1
OG0000780	SMRG1_14430.1	STRK1_4770.1
OG0000781	SMRG1_10790.1	STRK1_10550.1
OG0000781	SMRG1_1430.1, SMRG1_1430.2	STRK1_80860.1
OG0000782	SMRG1_31710.1, SMRG1_31710.2, SMRG1_31710.3	STRK1_32050.1, STRK1_32050.2
OG0000783	SMRG1_51290.1, SMRG1_51290.2	STRK1_97490.2, STRK1_97490.1, STRK1_100560.1, STRK1_97610.1
OG0000784	SMRG1_31620.1, SMRG1_31620.2	STRK1_32120.1
OG0000785	SMRG1_61940.3, SMRG1_61940.1, SMRG1_61940.2, SMRG1_61940.6, SMRG1_61940.5, SMRG1_61940.4	STRK1_57390.1
OG0000786	SMRG1_40960.2, SMRG1_40960.1, SMRG1_40960.3	STRK1_38870.1
OG0000787	SMRG1_94210.1, SMRG1_94210.2	STRK1_93530.1
OG0000787	SMRG1_61180.1	STRK1_57600.1
OG0000788	SMRG1_13080.2, SMRG1_13080.4, SMRG1_13080.1, SMRG1_13080.3	STRK1_11650.1, STRK1_11650.2
OG0000789	SMRG1_25620.1, SMRG1_25620.3, SMRG1_25620.5, SMRG1_25620.2, SMRG1_25620.4, SMRG1_25620.6	STRK1_22630.1, STRK1_22630.2
OG0000790	SMRG1_39390.1	STRK1_37750.1
OG0000791	SMRG1_43050.3, SMRG1_43050.4, SMRG1_43050.1, SMRG1_43050.2	STRK1_41080.1, STRK1_41080.2
OG0000792	SMRG1_5400.1, SMRG1_5400.2	STRK1_3290.1, STRK1_3290.2
OG0000793	SMRG1_34250.1	STRK1_37070.2, STRK1_37070.1, STRK1_37070.3
OG0000794	SMRG1_9690.1, SMRG1_9750.1	STRK1_95980.1, STRK1_20360.1, STRK1_20360.2
OG0000795	SMRG1_96610.3, SMRG1_96610.4, SMRG1_96610.1, SMRG1_96610.5, SMRG1_96610.6, SMRG1_96610.2	STRK1_93200.3, STRK1_93200.1, STRK1_93200.2
OG0000796	SMRG1_15320.1	STRK1_39650.1, STRK1_3040.1, STRK1_3050.1
OG0000796	SMRG1_15310.1	STRK1_3020.1
OG0000797	SMRG1_19420.3, SMRG1_19420.4, SMRG1_19420.1, SMRG1_19420.2	STRK1_100960.1, STRK1_18180.1
OG0000798	SMRG1_240.3, SMRG1_240.1, SMRG1_240.4, SMRG1_240.2, SMRG1_240.5	STRK1_760.3, STRK1_760.7, STRK1_760.4, STRK1_760.8, STRK1_760.5, STRK1_760.9, STRK1_760.10, STRK1_760.6, STRK1_760.2, STRK1_760.1
OG0000799	SMRG1_67370.8, SMRG1_67370.2, SMRG1_67370.1, SMRG1_67370.10, SMRG1_67370.11, SMRG1_67370.3, SMRG1_67370.4, SMRG1_67370.5, SMRG1_67370.6, SMRG1_67370.7, SMRG1_67370.9	STRK1_64610.1, STRK1_64610.3, STRK1_64610.2
OG0000800	SMRG1_9600.7, SMRG1_9600.9, SMRG1_9600.10, SMRG1_9600.5, SMRG1_9600.8, SMRG1_9600.15, SMRG1_9600.6, SMRG1_9600.13, SMRG1_9600.1, SMRG1_9600.11, SMRG1_9600.14, SMRG1_9600.12, SMRG1_9600.3, SMRG1_9600.4, SMRG1_9600.2	STRK1_9410.1
OG0000801	SMRG1_15160.1, SMRG1_15160.2, SMRG1_15160.3	STRK1_2940.3, STRK1_2940.4, STRK1_2940.1, STRK1_2940.2
OG0000802	SMRG1_73950.1	STRK1_71570.1, STRK1_71570.2
OG0000802	SMRG1_59040.1	STRK1_56240.1
OG0000803	SMRG1_79570.1	STRK1_104730.1, STRK1_106760.1
OG0000804	SMRG1_41590.4, SMRG1_41590.1, SMRG1_41590.3, SMRG1_41590.2, SMRG1_41590.5	STRK1_39420.1
OG0000805	SMRG1_36490.5, SMRG1_36490.1, SMRG1_36490.3, SMRG1_36490.2, SMRG1_36490.6, SMRG1_36490.4	STRK1_31190.1
OG0000806	SMRG1_74320.3, SMRG1_74320.1, SMRG1_74320.2, SMRG1_74320.4	STRK1_72740.1
OG0000807	SMRG1_9380.1	STRK1_9170.1, STRK1_9170.2, STRK1_9170.3
OG0000808	SMRG1_94830.1	STRK1_91870.1
OG0000808	SMRG1_94840.1, SMRG1_94840.2	STRK1_91880.1
