Orthogroup	schistosoma_margrebowiei	schmidtea_mediterranea
OG0000584	SMRG1_28570.1, SMRG1_28570.2	h1SMcT0015177.1
OG0000585	SMRG1_5660.1, SMRG1_5660.2	h1SMcT0015294.3
OG0000586	SMRG1_31140.5, SMRG1_31140.1, SMRG1_31140.2, SMRG1_31140.4, SMRG1_31140.3	h1SMcT0002546.1
OG0000587	SMRG1_65570.1, SMRG1_8980.1	h1SMcT0012527.1
OG0000588	SMRG1_21450.7, SMRG1_21450.3, SMRG1_21450.2, SMRG1_21450.4, SMRG1_21450.5, SMRG1_21450.1, SMRG1_21450.6	h1SMcT0022641.1
OG0000589	SMRG1_55430.4, SMRG1_55430.3, SMRG1_55430.5, SMRG1_55430.6, SMRG1_55430.1, SMRG1_55430.2	h1SMcT0000513.6, h1SMcT0000513.10, h1SMcT0000513.5, h1SMcT0000513.11, h1SMcT0000513.7, h1SMcT0000513.4, h1SMcT0000513.2, h1SMcT0000513.1, h1SMcT0000513.15, h1SMcT0000513.9, h1SMcT0000513.12, h1SMcT0000513.13, h1SMcT0000513.16, h1SMcT0000513.3, h1SMcT0000513.14, h1SMcT0000513.8
OG0000590	SMRG1_29300.1	h1SMcT0012706.1, h1SMcT0012706.2
OG0000590	SMRG1_40790.1, SMRG1_40790.2	h1SMcT0011530.1, h1SMcT0011530.2, h1SMcT0011530.3, h1SMcT0011530.5, h1SMcT0011530.4
OG0000592	SMRG1_30960.10, SMRG1_30960.8, SMRG1_30960.1, SMRG1_30960.4, SMRG1_30960.2, SMRG1_30960.3, SMRG1_30960.5, SMRG1_30960.6, SMRG1_30960.11, SMRG1_30960.7, SMRG1_30960.9	h1SMcT0002361.1
OG0000593	SMRG1_31840.1	h1SMcT0011288.1
OG0000594	SMRG1_50050.3, SMRG1_50050.4, SMRG1_50050.1, SMRG1_50050.2	h1SMcT0014403.1
OG0000599	SMRG1_63230.2, SMRG1_63230.5, SMRG1_63230.4, SMRG1_63230.3, SMRG1_63230.1	h1SMcT0014383.1
OG0000600	SMRG1_68250.6, SMRG1_68250.1, SMRG1_68250.2, SMRG1_68250.3, SMRG1_68250.4, SMRG1_68250.5	h1SMcT0001236.1, h1SMcT0001236.2
OG0000601	SMRG1_96200.1, SMRG1_96200.2, SMRG1_96210.1	h1SMcT0017191.2
OG0000601	SMRG1_41170.1	h1SMcT0017191.1, h1SMcT0015663.1
OG0000603	SMRG1_51060.3, SMRG1_51060.1, SMRG1_51060.2	h1SMcT0006589.1, h1SMcT0001620.1, h1SMcT0001575.2, h1SMcT0001575.1
OG0000605	SMRG1_27680.1, SMRG1_27680.2, SMRG1_27640.1	h1SMcT0000877.1, h1SMcT0000877.2
OG0000607	SMRG1_31190.7, SMRG1_31190.6, SMRG1_31190.2, SMRG1_31190.4, SMRG1_31190.9, SMRG1_31190.3, SMRG1_31190.1, SMRG1_31190.8, SMRG1_31190.10, SMRG1_31190.12, SMRG1_31190.11, SMRG1_31190.5	h1SMcT0020176.1
OG0000609	SMRG1_27530.1, SMRG1_27530.2	h1SMcT0005893.1
OG0000610	SMRG1_28340.1, SMRG1_28340.4, SMRG1_28340.3, SMRG1_28340.2	h1SMcT0000886.2, h1SMcT0000886.3
OG0000610	SMRG1_22730.1	h1SMcT0011951.1, h1SMcT0005871.1, h1SMcT0005871.2, h1SMcT0013226.4, h1SMcT0013226.5, h1SMcT0013226.1, h1SMcT0013226.3, h1SMcT0013226.6, h1SMcT0013226.2, h1SMcT0013226.9, h1SMcT0013226.7
OG0000611	SMRG1_43460.1, SMRG1_43490.1, SMRG1_43470.1, SMRG1_43480.1	h1SMcT0001233.1, h1SMcT0001234.1
OG0000612	SMRG1_8510.1, SMRG1_8510.2	h1SMcT0020937.1
OG0000613	SMRG1_37200.1, SMRG1_37200.2, SMRG1_37200.4, SMRG1_37200.3	h1SMcT0002240.1, h1SMcT0014405.4, h1SMcT0014405.1, h1SMcT0014405.6, h1SMcT0014405.5, h1SMcT0014405.2, h1SMcT0014405.3
OG0000614	SMRG1_44530.2, SMRG1_44530.1	h1SMcT0004878.5, h1SMcT0004878.1, h1SMcT0004878.6
OG0000615	SMRG1_12700.1, SMRG1_12700.2, SMRG1_12700.3, SMRG1_12700.4, SMRG1_12700.5, SMRG1_12700.6, SMRG1_12700.7	h1SMcT0007757.1, h1SMcT0011556.1, h1SMcT0022918.1
OG0000616	SMRG1_60640.1	h1SMcT0015808.1, h1SMcT0011502.1, h1SMcT0011502.4
OG0000617	SMRG1_82560.1, SMRG1_82560.2	h1SMcT0000662.1, h1SMcT0016621.1, h1SMcT0016621.2, h1SMcT0016926.2, h1SMcT0016926.1, h1SMcT0016926.3
OG0000618	SMRG1_36540.8, SMRG1_36540.5, SMRG1_36540.4, SMRG1_36540.6, SMRG1_36540.3, SMRG1_36540.7, SMRG1_36540.1, SMRG1_36540.2	h1SMcT0002134.3, h1SMcT0002134.1, h1SMcT0002134.2, h1SMcT0002134.4
OG0000620	SMRG1_14780.1	h1SMcT0012721.1, h1SMcT0012721.2
OG0000620	SMRG1_46050.1, SMRG1_46050.3, SMRG1_46050.2, SMRG1_46050.4	h1SMcT0013766.1, h1SMcT0013766.2, h1SMcT0008491.1, h1SMcT0008491.2
OG0000621	SMRG1_30120.4, SMRG1_30120.7, SMRG1_30120.5, SMRG1_30120.1, SMRG1_30120.2, SMRG1_30120.3, SMRG1_30120.6	h1SMcT0007997.1
OG0000623	SMRG1_12530.1, SMRG1_12530.2	h1SMcT0014261.1
OG0000624	SMRG1_29090.1, SMRG1_29090.2, SMRG1_29090.3, SMRG1_29090.4, SMRG1_29090.5	h1SMcT0020124.1
OG0000625	SMRG1_37550.1, SMRG1_37550.2	h1SMcT0013791.1
OG0000626	SMRG1_55250.7, SMRG1_55250.3, SMRG1_55250.5, SMRG1_55250.6, SMRG1_55250.4, SMRG1_55250.1, SMRG1_55250.2	h1SMcT0016716.3, h1SMcT0016716.1, h1SMcT0016716.2
OG0000627	SMRG1_11390.2, SMRG1_11390.3, SMRG1_11390.1	h1SMcT0005288.1, h1SMcT0005288.2, h1SMcT0005288.3, h1SMcT0005288.4
OG0000628	SMRG1_59600.1, SMRG1_59600.5, SMRG1_59600.2, SMRG1_59600.7, SMRG1_59600.6, SMRG1_59600.3, SMRG1_59600.4	h1SMcT0006558.1
OG0000629	SMRG1_38870.3, SMRG1_38870.4, SMRG1_38880.1	h1SMcT0002469.1, h1SMcT0002469.2, h1SMcT0002157.1, h1SMcT0002157.2
OG0000630	SMRG1_59280.1	h1SMcT0010265.4, h1SMcT0010265.5, h1SMcT0010265.1, h1SMcT0010265.3, h1SMcT0010265.2
OG0000631	SMRG1_66500.1, SMRG1_66500.2, SMRG1_59570.1	h1SMcT0010110.1, h1SMcT0010112.1, h1SMcT0010114.1
OG0000632	SMRG1_12850.2, SMRG1_12850.1, SMRG1_12850.3, SMRG1_12850.5, SMRG1_12850.4, SMRG1_12850.7, SMRG1_12850.6	h1SMcT0004637.1, h1SMcT0004637.2
OG0000633	SMRG1_53120.1, SMRG1_53120.2, SMRG1_53120.3, SMRG1_53120.4, SMRG1_53120.5, SMRG1_53120.6	h1SMcT0003142.1
OG0000636	SMRG1_95960.5, SMRG1_95960.3, SMRG1_95960.4, SMRG1_95960.8, SMRG1_95960.7, SMRG1_95960.6, SMRG1_95960.1, SMRG1_95960.2	h1SMcT0010435.1
OG0000637	SMRG1_50310.3, SMRG1_50310.1, SMRG1_50310.2, SMRG1_50310.4	h1SMcT0003479.1, h1SMcT0009323.1, h1SMcT0009324.1, h1SMcT0009324.2, h1SMcT0009332.1, h1SMcT0009332.4, h1SMcT0009332.2, h1SMcT0009332.3, h1SMcT0009397.1, h1SMcT0009393.1, h1SMcT0009393.2
OG0000638	SMRG1_64770.1, SMRG1_64770.2	h1SMcT0014155.1, h1SMcT0014155.2
OG0000639	SMRG1_62400.3, SMRG1_62400.6, SMRG1_62400.7, SMRG1_62400.5, SMRG1_62400.1, SMRG1_62400.4, SMRG1_62400.2	h1SMcT0008292.1
OG0000641	SMRG1_6420.1	h1SMcT0000075.1, h1SMcT0000075.2, h1SMcT0000075.3
OG0000641	SMRG1_4340.1	h1SMcT0021560.1, h1SMcT0021560.2
OG0000643	SMRG1_52630.1, SMRG1_52620.1	h1SMcT0004865.1
OG0000644	SMRG1_96890.3, SMRG1_96890.4, SMRG1_96890.1, SMRG1_96890.2	h1SMcT0009313.1, h1SMcT0009313.2, h1SMcT0009313.3
OG0000645	SMRG1_10030.1	h1SMcT0014622.1, h1SMcT0014622.2, h1SMcT0014622.3, h1SMcT0001951.1, h1SMcT0001951.4, h1SMcT0001951.2, h1SMcT0001951.5, h1SMcT0001951.3, h1SMcT0002162.9, h1SMcT0002162.3, h1SMcT0002162.5, h1SMcT0002162.8, h1SMcT0002162.1, h1SMcT0002162.10, h1SMcT0002162.2, h1SMcT0002162.7, h1SMcT0002162.4, h1SMcT0002162.6, h1SMcT0005662.1, h1SMcT0006078.1, h1SMcT0006078.2
OG0000646	SMRG1_8540.1	h1SMcT0014565.2, h1SMcT0014565.8, h1SMcT0014565.3, h1SMcT0014565.6, h1SMcT0014565.4, h1SMcT0014565.7, h1SMcT0014565.1, h1SMcT0014565.5, h1SMcT0021225.1, h1SMcT0000025.3, h1SMcT0000025.1, h1SMcT0000025.2
OG0000647	SMRG1_62660.4, SMRG1_62660.6, SMRG1_62660.1, SMRG1_62660.2, SMRG1_62660.3, SMRG1_62660.5, SMRG1_62660.7	h1SMcT0002662.1, h1SMcT0015974.1
OG0000649	SMRG1_60960.1, SMRG1_60960.2, SMRG1_60960.3, SMRG1_60960.4, SMRG1_60960.5, SMRG1_60960.6	h1SMcT0014304.4, h1SMcT0014304.1, h1SMcT0014304.3, h1SMcT0014304.2, h1SMcT0010534.1, h1SMcT0010534.3, h1SMcT0010534.2, h1SMcT0018309.10, h1SMcT0018309.12, h1SMcT0018309.4, h1SMcT0018309.5, h1SMcT0018309.7, h1SMcT0018309.8, h1SMcT0018309.9, h1SMcT0018309.13, h1SMcT0018309.2, h1SMcT0018309.6, h1SMcT0018309.1, h1SMcT0018309.11, h1SMcT0018309.3
OG0000652	SMRG1_40320.1, SMRG1_40310.1	h1SMcT0014597.3, h1SMcT0014597.1, h1SMcT0014597.2
OG0000653	SMRG1_40980.1, SMRG1_40970.1, SMRG1_40970.2, SMRG1_40980.2	h1SMcT0001116.3, h1SMcT0001116.1, h1SMcT0001116.4, h1SMcT0001112.2, h1SMcT0001113.1
OG0000654	SMRG1_58600.4, SMRG1_58600.5, SMRG1_58600.2, SMRG1_58600.1, SMRG1_58600.3	h1SMcT0006285.1
OG0000655	SMRG1_82520.1, SMRG1_82520.2, SMRG1_82520.3, SMRG1_82520.4, SMRG1_82520.5	h1SMcT0009631.1
OG0000656	SMRG1_76030.1	h1SMcT0022550.7, h1SMcT0022550.3, h1SMcT0022550.2, h1SMcT0022550.5, h1SMcT0022550.6, h1SMcT0022550.4, h1SMcT0022550.8
OG0000657	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6	h1SMcT0013044.1, h1SMcT0013044.2, h1SMcT0013044.4, h1SMcT0013044.10, h1SMcT0013044.3, h1SMcT0013044.7, h1SMcT0013044.8, h1SMcT0013044.9, h1SMcT0013044.5, h1SMcT0013044.6
OG0000659	SMRG1_42000.6, SMRG1_42000.5, SMRG1_42000.1, SMRG1_42000.2, SMRG1_42000.3, SMRG1_42000.4, SMRG1_42000.7	h1SMcT0007920.1
OG0000663	SMRG1_38150.2, SMRG1_38150.1, SMRG1_38150.3	h1SMcT0017016.2, h1SMcT0017016.3, h1SMcT0017016.4
OG0000664	SMRG1_11930.1, SMRG1_11930.2	h1SMcT0002678.1, h1SMcT0015958.1
OG0000665	SMRG1_73660.1, SMRG1_73660.2	h1SMcT0008601.2
OG0000666	SMRG1_62390.1, SMRG1_62390.2, SMRG1_62390.3, SMRG1_62390.4	h1SMcT0008106.1, h1SMcT0008106.3, h1SMcT0008106.4, h1SMcT0008106.2
OG0000667	SMRG1_5930.6, SMRG1_5930.8, SMRG1_5930.10, SMRG1_5930.2, SMRG1_5930.3, SMRG1_5930.9, SMRG1_5930.1, SMRG1_5930.5, SMRG1_5930.4, SMRG1_5930.7	h1SMcT0000405.1, h1SMcT0000405.2, h1SMcT0000405.3, h1SMcT0000405.4, h1SMcT0000405.5, h1SMcT0000405.6, h1SMcT0000405.7, h1SMcT0000405.8
OG0000668	SMRG1_53030.2, SMRG1_53030.5, SMRG1_53030.1, SMRG1_53030.3, SMRG1_53030.4	h1SMcT0000772.1
OG0000669	SMRG1_69860.1, SMRG1_69860.2, SMRG1_69860.3, SMRG1_69860.4, SMRG1_69860.5	h1SMcT0002674.1, h1SMcT0015961.1
OG0000670	SMRG1_44830.1	h1SMcT0013219.2, h1SMcT0013219.3, h1SMcT0008488.1, h1SMcT0012609.4, h1SMcT0012609.5, h1SMcT0012609.1, h1SMcT0012609.6, h1SMcT0012609.7, h1SMcT0023028.1, h1SMcT0012609.3, h1SMcT0012609.2
OG0000671	SMRG1_77210.3, SMRG1_77210.1, SMRG1_77210.2	h1SMcT0004049.1
OG0000672	SMRG1_44450.1	h1SMcT0007758.5, h1SMcT0007758.7, h1SMcT0007758.2, h1SMcT0007758.6
OG0000674	SMRG1_78710.1, SMRG1_78710.2, SMRG1_78710.3	h1SMcT0006548.5, h1SMcT0006548.2, h1SMcT0006548.4, h1SMcT0006548.6, h1SMcT0006548.1, h1SMcT0006548.3, h1SMcT0006548.7
OG0000675	SMRG1_72810.5, SMRG1_72810.2, SMRG1_72810.1, SMRG1_72810.4, SMRG1_72810.3	h1SMcT0003156.2
OG0000676	SMRG1_82470.1, SMRG1_82470.2, SMRG1_82470.3, SMRG1_82470.4, SMRG1_82470.5, SMRG1_82470.6, SMRG1_82470.7, SMRG1_82470.8, SMRG1_82470.9	h1SMcT0011607.1
OG0000677	SMRG1_5010.1, SMRG1_5010.8, SMRG1_5010.11, SMRG1_5010.9, SMRG1_5010.16, SMRG1_5010.17, SMRG1_5010.14, SMRG1_5010.15, SMRG1_5010.4, SMRG1_5010.13, SMRG1_5010.6, SMRG1_5010.5, SMRG1_5010.12, SMRG1_5010.10, SMRG1_5010.7, SMRG1_5010.3, SMRG1_5010.2	h1SMcT0005076.1, h1SMcT0010995.1
OG0000678	SMRG1_34530.1, SMRG1_34530.2, SMRG1_34530.3	h1SMcT0000627.1
OG0000679	SMRG1_72880.1	h1SMcT0005954.1, h1SMcT0005954.2, h1SMcT0005954.3, h1SMcT0005954.4
OG0000680	SMRG1_18070.3, SMRG1_18070.1, SMRG1_18070.4, SMRG1_18070.5, SMRG1_18070.2	h1SMcT0020605.2, h1SMcT0020605.3, h1SMcT0020605.4, h1SMcT0020605.1, h1SMcT0020605.5
OG0000682	SMRG1_43300.1, SMRG1_43300.2	h1SMcT0021817.1, h1SMcT0021817.2, h1SMcT0021817.3
OG0000683	SMRG1_55630.1, SMRG1_55630.2	h1SMcT0001041.1
OG0000683	SMRG1_67830.1, SMRG1_67830.2	h1SMcT0016211.1, h1SMcT0016211.2, h1SMcT0016211.3
OG0000684	SMRG1_85390.1, SMRG1_85390.2, SMRG1_85390.3	h1SMcT0018167.5, h1SMcT0018167.1, h1SMcT0018167.20, h1SMcT0018167.7, h1SMcT0018167.12, h1SMcT0018167.3, h1SMcT0018167.4, h1SMcT0018167.18, h1SMcT0018167.14, h1SMcT0018167.19, h1SMcT0018167.8, h1SMcT0018167.10, h1SMcT0018167.15, h1SMcT0018167.9, h1SMcT0018167.11, h1SMcT0018167.16, h1SMcT0018167.17, h1SMcT0018167.13
OG0000686	SMRG1_60750.1, SMRG1_60750.2	h1SMcT0001825.1, h1SMcT0001825.2
OG0000687	SMRG1_26980.3, SMRG1_26980.7, SMRG1_26980.6, SMRG1_26980.10, SMRG1_26980.8, SMRG1_26980.9, SMRG1_26980.4, SMRG1_26980.5, SMRG1_26980.2, SMRG1_26980.1	h1SMcT0019613.1
OG0000689	SMRG1_2780.1	h1SMcT0003853.1, h1SMcT0003854.1
OG0000690	SMRG1_22770.1	h1SMcT0006534.1, h1SMcT0006534.6, h1SMcT0006534.3, h1SMcT0006534.8, h1SMcT0006534.9, h1SMcT0006534.10, h1SMcT0006534.2, h1SMcT0006534.11, h1SMcT0006534.4, h1SMcT0006534.5, h1SMcT0006534.7, h1SMcT0006847.1
OG0000695	SMRG1_97420.1	h1SMcT0007395.1
OG0000695	SMRG1_45860.1, SMRG1_45860.2, SMRG1_45860.3, SMRG1_45860.4, SMRG1_45860.5	h1SMcT0017536.1, h1SMcT0017537.1
OG0000696	SMRG1_5180.1, SMRG1_5180.2, SMRG1_5190.1	h1SMcT0007847.1, h1SMcT0007847.2
OG0000697	SMRG1_40400.1	h1SMcT0018621.4, h1SMcT0018621.2, h1SMcT0018621.1, h1SMcT0018621.3
OG0000699	SMRG1_33080.1	h1SMcT0022612.1, h1SMcT0022612.3, h1SMcT0022612.2, h1SMcT0022612.4, h1SMcT0022612.5, h1SMcT0012097.1, h1SMcT0012097.2, h1SMcT0012097.3
OG0000699	SMRG1_46370.2, SMRG1_46370.1, SMRG1_46370.3	h1SMcT0010928.1
OG0000700	SMRG1_28330.1, SMRG1_23950.1, SMRG1_23960.1, SMRG1_23970.1	h1SMcT0011041.1
OG0000703	SMRG1_1670.1, SMRG1_1670.2	h1SMcT0004344.1, h1SMcT0003611.3, h1SMcT0003611.1, h1SMcT0003611.2, h1SMcT0000754.1, h1SMcT0000754.2, h1SMcT0000754.3
OG0000704	SMRG1_48910.1, SMRG1_48920.1	h1SMcT0014608.4, h1SMcT0014608.3, h1SMcT0014608.1, h1SMcT0014608.2
OG0000705	SMRG1_5860.1, SMRG1_5860.4, SMRG1_5860.2, SMRG1_5860.3	h1SMcT0002097.1
OG0000706	SMRG1_43640.1	h1SMcT0018667.1
OG0000706	SMRG1_52930.3, SMRG1_52930.2, SMRG1_52930.1	h1SMcT0007172.1, h1SMcT0007172.4, h1SMcT0007172.2, h1SMcT0007172.3, h1SMcT0015679.1, h1SMcT0016765.1, h1SMcT0020007.1, h1SMcT0020007.2
OG0000707	SMRG1_95590.1, SMRG1_95590.2, SMRG1_95590.3	h1SMcT0015742.1, h1SMcT0015742.3, h1SMcT0015742.2, h1SMcT0015742.4
OG0000708	SMRG1_37340.1, SMRG1_37340.3, SMRG1_37340.2, SMRG1_37340.4, SMRG1_37340.5	h1SMcT0008283.2, h1SMcT0008283.4, h1SMcT0008283.3, h1SMcT0008283.1, h1SMcT0008283.5
OG0000709	SMRG1_43900.4, SMRG1_43900.2, SMRG1_43900.1, SMRG1_43900.3	h1SMcT0004212.1
OG0000710	SMRG1_7620.1, SMRG1_7630.1	h1SMcT0004295.1, h1SMcT0010571.1
OG0000711	SMRG1_75040.4, SMRG1_75040.1, SMRG1_75040.3, SMRG1_75040.2	h1SMcT0020247.1
OG0000712	SMRG1_53310.4, SMRG1_53310.6, SMRG1_53310.1, SMRG1_53310.2, SMRG1_53310.3, SMRG1_53310.7, SMRG1_53310.8, SMRG1_53310.5	h1SMcT0022628.1, h1SMcT0022628.2, h1SMcT0022628.3
OG0000714	SMRG1_46830.1	h1SMcT0013833.1
OG0000715	SMRG1_27470.1, SMRG1_27470.2, SMRG1_27470.3	h1SMcT0013928.1, h1SMcT0013928.3
OG0000716	SMRG1_11250.1, SMRG1_11250.2, SMRG1_11250.3	h1SMcT0017449.3, h1SMcT0017449.1, h1SMcT0017449.2
OG0000717	SMRG1_61830.1	h1SMcT0005890.1
OG0000718	SMRG1_75320.5, SMRG1_75320.1, SMRG1_75320.2, SMRG1_75320.4, SMRG1_75320.3	h1SMcT0019140.3, h1SMcT0014134.1, h1SMcT0014134.2, h1SMcT0018100.2, h1SMcT0018373.3, h1SMcT0002221.2, h1SMcT0002221.4, h1SMcT0002221.6, h1SMcT0002221.5, h1SMcT0001082.7, h1SMcT0001082.9, h1SMcT0001082.1, h1SMcT0001082.5, h1SMcT0001082.6
OG0000719	SMRG1_55640.1, SMRG1_55640.2, SMRG1_55640.3, SMRG1_55640.4	h1SMcT0003953.1
OG0000720	SMRG1_77440.1, SMRG1_77440.2, SMRG1_77440.3, SMRG1_77440.4	h1SMcT0001353.1
OG0000722	SMRG1_5070.2, SMRG1_5070.1, SMRG1_5070.3, SMRG1_5070.4	h1SMcT0010769.1, h1SMcT0010769.2, h1SMcT0010770.1, h1SMcT0010770.2
OG0000723	SMRG1_77200.3, SMRG1_77200.1, SMRG1_77200.2, SMRG1_77200.4	h1SMcT0006520.1, h1SMcT0006522.1
OG0000724	SMRG1_42070.5, SMRG1_42070.6, SMRG1_42070.2, SMRG1_42070.1, SMRG1_42070.3, SMRG1_42070.4	h1SMcT0017100.1, h1SMcT0017100.2, h1SMcT0017100.3
OG0000726	SMRG1_29910.1, SMRG1_29910.2, SMRG1_29910.5, SMRG1_29910.3, SMRG1_29910.4, SMRG1_29920.1, SMRG1_29920.2	h1SMcT0007616.1, h1SMcT0007616.2
OG0000728	SMRG1_49060.2, SMRG1_49060.5, SMRG1_49060.6, SMRG1_49060.4, SMRG1_49060.1, SMRG1_49060.3	h1SMcT0017035.1
OG0000729	SMRG1_8470.1, SMRG1_8470.4, SMRG1_8470.2, SMRG1_8470.3	h1SMcT0016744.1, h1SMcT0016744.2
OG0000730	SMRG1_60700.8, SMRG1_60700.4, SMRG1_60700.7, SMRG1_60700.1, SMRG1_60700.2, SMRG1_60700.3, SMRG1_60700.5, SMRG1_60700.6	h1SMcT0010082.1, h1SMcT0010082.2, h1SMcT0010082.3
OG0000731	SMRG1_76820.5, SMRG1_76820.6, SMRG1_76820.7, SMRG1_76820.1, SMRG1_76820.3, SMRG1_76820.2, SMRG1_76820.4	h1SMcT0010461.1, h1SMcT0010461.3, h1SMcT0010461.2, h1SMcT0010461.4
OG0000732	SMRG1_3400.1	h1SMcT0008186.1
OG0000733	SMRG1_2700.1	h1SMcT0021193.1
OG0000736	SMRG1_78630.1, SMRG1_78630.2, SMRG1_78630.3, SMRG1_78630.4	h1SMcT0016952.1, h1SMcT0016952.2
OG0000738	SMRG1_70510.2, SMRG1_70510.1, SMRG1_70510.3, SMRG1_70510.4, SMRG1_70500.1	h1SMcT0008294.1
OG0000739	SMRG1_57450.3, SMRG1_57450.1, SMRG1_57450.2	h1SMcT0014531.1
OG0000740	SMRG1_8010.6, SMRG1_8010.10, SMRG1_8010.11, SMRG1_8010.12, SMRG1_8010.13, SMRG1_8010.5, SMRG1_8010.7, SMRG1_8010.8, SMRG1_8010.9, SMRG1_8010.1, SMRG1_8010.2, SMRG1_8010.3, SMRG1_8010.14, SMRG1_8010.15, SMRG1_8010.4	h1SMcT0010959.1
OG0000741	SMRG1_84980.1, SMRG1_84980.3, SMRG1_84980.6, SMRG1_84980.8, SMRG1_84980.2, SMRG1_84980.4, SMRG1_84980.5, SMRG1_84980.7	h1SMcT0004042.1, h1SMcT0004042.2
OG0000743	SMRG1_21390.7, SMRG1_21390.1, SMRG1_21390.2, SMRG1_21390.3, SMRG1_21390.4, SMRG1_21390.5, SMRG1_21390.6	h1SMcT0003842.2
OG0000744	SMRG1_3480.1	h1SMcT0004810.1, h1SMcT0004810.5, h1SMcT0004810.3, h1SMcT0004810.4, h1SMcT0004810.2
OG0000745	SMRG1_38110.6, SMRG1_38110.5, SMRG1_38110.7, SMRG1_38110.8, SMRG1_38110.2, SMRG1_38110.1, SMRG1_38110.3, SMRG1_38110.4	h1SMcT0000463.1
OG0000746	SMRG1_60040.1	h1SMcT0008650.12, h1SMcT0008650.22, h1SMcT0008650.24, h1SMcT0008650.8, h1SMcT0008650.4, h1SMcT0008650.20, h1SMcT0008650.16, h1SMcT0008650.11, h1SMcT0008650.3, h1SMcT0008650.9, h1SMcT0008650.7, h1SMcT0008650.13, h1SMcT0008650.17, h1SMcT0008650.15, h1SMcT0008650.21, h1SMcT0008650.6, h1SMcT0008650.19, h1SMcT0008650.14, h1SMcT0008650.1, h1SMcT0008650.2, h1SMcT0008650.18, h1SMcT0008650.10, h1SMcT0008650.5, h1SMcT0008650.23
OG0000747	SMRG1_43190.7, SMRG1_43190.5, SMRG1_43190.3, SMRG1_43190.6, SMRG1_43190.2, SMRG1_43190.4, SMRG1_43190.1, SMRG1_43190.8	h1SMcT0015570.1, h1SMcT0013888.1, h1SMcT0013888.2
OG0000748	SMRG1_70930.1	h1SMcT0021267.1, h1SMcT0021267.2, h1SMcT0021882.3, h1SMcT0021882.1, h1SMcT0021882.2, h1SMcT0021882.4
OG0000749	SMRG1_70310.1	h1SMcT0014961.3, h1SMcT0014961.1, h1SMcT0014961.2
OG0000750	SMRG1_74940.1, SMRG1_74940.2, SMRG1_74940.3	h1SMcT0017309.2, h1SMcT0017309.3, h1SMcT0017309.1
OG0000751	SMRG1_5220.1, SMRG1_2390.1, SMRG1_2240.1	h1SMcT0016766.1, h1SMcT0019426.1, h1SMcT0002043.1, h1SMcT0002054.1
OG0000752	SMRG1_94020.1, SMRG1_94020.2, SMRG1_94020.3, SMRG1_94070.1	h1SMcT0008944.1, h1SMcT0013028.1, h1SMcT0013029.1, h1SMcT0016615.1, h1SMcT0015880.1
OG0000753	SMRG1_83590.12, SMRG1_83590.1, SMRG1_83590.2, SMRG1_83590.5, SMRG1_83590.6, SMRG1_83590.10, SMRG1_83590.11, SMRG1_83590.13, SMRG1_83590.3, SMRG1_83590.4, SMRG1_83590.7, SMRG1_83590.8, SMRG1_83590.9	h1SMcT0001067.3
OG0000754	SMRG1_50990.1, SMRG1_50990.2, SMRG1_50990.3, SMRG1_50990.4	h1SMcT0013180.2, h1SMcT0013180.1, h1SMcT0013180.3
OG0000755	SMRG1_76100.1	h1SMcT0000011.1, h1SMcT0015157.1
OG0000756	SMRG1_39050.1, SMRG1_39050.2	h1SMcT0015447.1
OG0000757	SMRG1_53160.5, SMRG1_53160.4, SMRG1_53160.1, SMRG1_53160.2, SMRG1_53160.3	h1SMcT0005050.8, h1SMcT0005050.5, h1SMcT0005050.3, h1SMcT0005050.4, h1SMcT0005050.7
OG0000760	SMRG1_79230.1, SMRG1_79230.2	h1SMcT0006973.1
OG0000761	SMRG1_54260.4, SMRG1_54260.1, SMRG1_54260.2, SMRG1_54260.3, SMRG1_54260.5, SMRG1_54260.6	h1SMcT0013573.1
OG0000762	SMRG1_82700.1	h1SMcT0004438.1, h1SMcT0004438.2, h1SMcT0001956.1
OG0000762	SMRG1_88450.1	h1SMcT0020895.1, h1SMcT0004793.1, h1SMcT0004793.2
OG0000763	SMRG1_19150.1, SMRG1_19150.2, SMRG1_19150.3, SMRG1_19150.4, SMRG1_19150.6, SMRG1_19150.5	h1SMcT0003782.1
OG0000764	SMRG1_8630.2, SMRG1_8630.1, SMRG1_8630.3	h1SMcT0013512.1, h1SMcT0013512.2
OG0000765	SMRG1_53560.1, SMRG1_53570.1	h1SMcT0001915.2, h1SMcT0001915.3
OG0000766	SMRG1_63680.1, SMRG1_63680.2, SMRG1_63680.3, SMRG1_63680.4	h1SMcT0011470.1
OG0000767	SMRG1_65880.3, SMRG1_65880.2, SMRG1_65880.1	h1SMcT0001545.1, h1SMcT0016721.3, h1SMcT0016721.1, h1SMcT0016721.2
OG0000768	SMRG1_40130.3, SMRG1_40130.1, SMRG1_40130.4, SMRG1_40130.9, SMRG1_40130.5, SMRG1_40130.6, SMRG1_40130.7, SMRG1_40130.8, SMRG1_40130.2	h1SMcT0021396.1, h1SMcT0021396.2
OG0000770	SMRG1_17150.1, SMRG1_17150.2, SMRG1_17150.3	h1SMcT0001664.1, h1SMcT0001664.2
