Orthogroup	schistosoma_margrebowiei	schistosoma_japonicum
OG0000656	SMRG1_76030.1	EWB00_010547.1, EWB00_010547.2, EWB00_010547.3
OG0000657	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6	EWB00_001860.1, EWB00_001860.2
OG0000659	SMRG1_42000.6, SMRG1_42000.5, SMRG1_42000.1, SMRG1_42000.2, SMRG1_42000.3, SMRG1_42000.4, SMRG1_42000.7	EWB00_009331
OG0000662	SMRG1_52850.1	EWB00_006810.7, EWB00_006810.4, EWB00_006810.9, EWB00_006810.1, EWB00_006810.2, EWB00_006810.3, EWB00_006810.5, EWB00_006810.6, EWB00_006810.8
OG0000663	SMRG1_38150.2, SMRG1_38150.1, SMRG1_38150.3	EWB00_003146
OG0000664	SMRG1_11930.1, SMRG1_11930.2	EWB00_004155
OG0000665	SMRG1_73660.1, SMRG1_73660.2	EWB00_006628.2, EWB00_006628.3, EWB00_006628.1
OG0000666	SMRG1_62390.1, SMRG1_62390.2, SMRG1_62390.3, SMRG1_62390.4	EWB00_001159.3, EWB00_001159.1, EWB00_001159.2, EWB00_001159.4
OG0000667	SMRG1_5930.6, SMRG1_5930.8, SMRG1_5930.10, SMRG1_5930.2, SMRG1_5930.3, SMRG1_5930.9, SMRG1_5930.1, SMRG1_5930.5, SMRG1_5930.4, SMRG1_5930.7	EWB00_008456.2, EWB00_008456.1
OG0000668	SMRG1_53030.2, SMRG1_53030.5, SMRG1_53030.1, SMRG1_53030.3, SMRG1_53030.4	EWB00_010649
OG0000669	SMRG1_69860.1, SMRG1_69860.2, SMRG1_69860.3, SMRG1_69860.4, SMRG1_69860.5	EWB00_006275
OG0000670	SMRG1_44830.1	EWB00_001008.8, EWB00_001008.5, EWB00_001008.1, EWB00_001008.2, EWB00_001008.4, EWB00_001008.6, EWB00_001008.7, EWB00_001008.3
OG0000671	SMRG1_77210.3, SMRG1_77210.1, SMRG1_77210.2	EWB00_011016
OG0000672	SMRG1_44450.1	EWB00_008803
OG0000673	SMRG1_15670.9, SMRG1_15670.5, SMRG1_15670.6, SMRG1_15670.8, SMRG1_15670.7, SMRG1_15670.1, SMRG1_15670.2, SMRG1_15670.3, SMRG1_15670.4	EWB00_003113.3, EWB00_003113.1, EWB00_003113.2
OG0000674	SMRG1_78710.1, SMRG1_78710.2, SMRG1_78710.3	EWB00_007398
OG0000675	SMRG1_72810.5, SMRG1_72810.2, SMRG1_72810.1, SMRG1_72810.4, SMRG1_72810.3	EWB00_002750
OG0000676	SMRG1_82470.1, SMRG1_82470.2, SMRG1_82470.3, SMRG1_82470.4, SMRG1_82470.5, SMRG1_82470.6, SMRG1_82470.7, SMRG1_82470.8, SMRG1_82470.9	EWB00_000145.1, EWB00_000145.2
OG0000677	SMRG1_5010.1, SMRG1_5010.8, SMRG1_5010.11, SMRG1_5010.9, SMRG1_5010.16, SMRG1_5010.17, SMRG1_5010.14, SMRG1_5010.15, SMRG1_5010.4, SMRG1_5010.13, SMRG1_5010.6, SMRG1_5010.5, SMRG1_5010.12, SMRG1_5010.10, SMRG1_5010.7, SMRG1_5010.3, SMRG1_5010.2	EWB00_006281
OG0000678	SMRG1_34530.1, SMRG1_34530.2, SMRG1_34530.3	EWB00_003399
OG0000679	SMRG1_72880.1	EWB00_002723
OG0000680	SMRG1_18070.3, SMRG1_18070.1, SMRG1_18070.4, SMRG1_18070.5, SMRG1_18070.2	EWB00_007650.3, EWB00_007650.1, EWB00_007650.2
OG0000681	SMRG1_34960.5, SMRG1_34960.8, SMRG1_34960.9, SMRG1_34960.1, SMRG1_34960.4, SMRG1_34960.2, SMRG1_34960.3, SMRG1_34960.6, SMRG1_34960.7	EWB00_008171
OG0000682	SMRG1_43300.1, SMRG1_43300.2	EWB00_006378.1, EWB00_006378.2
OG0000683	SMRG1_55630.1, SMRG1_55630.2	EWB00_002223.1, EWB00_002223.3, EWB00_002223.2
OG0000683	SMRG1_67830.1, SMRG1_67830.2	EWB00_005794.1, EWB00_005794.2
OG0000684	SMRG1_85390.1, SMRG1_85390.2, SMRG1_85390.3	EWB00_009748, EWB00_004484.1, EWB00_004484.2, EWB00_004484.3, EWB00_004484.4, EWB00_004484.5, EWB00_004484.6, EWB00_004484.7, EWB00_004484.8
OG0000685	SMRG1_75830.4, SMRG1_75830.3, SMRG1_75830.5, SMRG1_75830.7, SMRG1_75830.10, SMRG1_75830.6, SMRG1_75830.9, SMRG1_75830.1, SMRG1_75830.2, SMRG1_75830.8	EWB00_001176.4, EWB00_001176.3, EWB00_001176.1, EWB00_001176.2
OG0000686	SMRG1_60750.1, SMRG1_60750.2	EWB00_007957.1, EWB00_007957.2, EWB00_007957.3
OG0000687	SMRG1_26980.3, SMRG1_26980.7, SMRG1_26980.6, SMRG1_26980.10, SMRG1_26980.8, SMRG1_26980.9, SMRG1_26980.4, SMRG1_26980.5, SMRG1_26980.2, SMRG1_26980.1	EWB00_005020.3, EWB00_005020.1, EWB00_005020.2
OG0000688	SMRG1_1230.10, SMRG1_1230.11, SMRG1_1230.7, SMRG1_1230.8, SMRG1_1230.9, SMRG1_1230.1, SMRG1_1230.2, SMRG1_1230.3, SMRG1_1230.4, SMRG1_1230.5, SMRG1_1230.6	EWB00_010232.1, EWB00_010232.3, EWB00_010232.2
OG0000689	SMRG1_2780.1	EWB00_007577.1, EWB00_007577.2
OG0000690	SMRG1_22770.1	EWB00_007561.1, EWB00_007561.2
OG0000692	SMRG1_17910.1, SMRG1_17910.2	EWB00_000073.1, EWB00_000073.5, EWB00_000073.6, EWB00_000073.7, EWB00_000073.9, EWB00_000073.4, EWB00_000073.3, EWB00_000073.8, EWB00_000073.2
OG0000695	SMRG1_97420.1	EWB00_006635
OG0000695	SMRG1_45860.1, SMRG1_45860.2, SMRG1_45860.3, SMRG1_45860.4, SMRG1_45860.5	EWB00_004741.1, EWB00_004741.2
OG0000696	SMRG1_5180.1, SMRG1_5180.2, SMRG1_5190.1	EWB00_006308.1, EWB00_006308.2, EWB00_006308.3, EWB00_006308.4
OG0000697	SMRG1_40400.1	EWB00_003926
OG0000698	SMRG1_16990.1, SMRG1_16990.2, SMRG1_16990.3, SMRG1_16990.4, SMRG1_16990.5	EWB00_006456
OG0000699	SMRG1_33080.1	EWB00_002135.2, EWB00_002135.1, EWB00_002135.3
OG0000699	SMRG1_46370.2, SMRG1_46370.1, SMRG1_46370.3	EWB00_000170
OG0000700	SMRG1_28330.1	EWB00_006970
OG0000700	SMRG1_23950.1	EWB00_002860
OG0000700	SMRG1_23960.1, SMRG1_23970.1	EWB00_002862
OG0000701	SMRG1_59930.1, SMRG1_59930.2	EWB00_011329.2, EWB00_011329.1, EWB00_011329.4, EWB00_011329.3
OG0000702	SMRG1_87970.1	EWB00_008044.2, EWB00_008044.1, EWB00_008044.3
OG0000703	SMRG1_1670.1, SMRG1_1670.2	EWB00_010218
OG0000704	SMRG1_48910.1, SMRG1_48920.1	EWB00_010719.1, EWB00_010719.3, EWB00_010719.2, EWB00_010719.4, EWB00_010719.6, EWB00_010719.5
OG0000705	SMRG1_5860.1, SMRG1_5860.4, SMRG1_5860.2, SMRG1_5860.3	EWB00_008978
OG0000706	SMRG1_43640.1	EWB00_001799.2, EWB00_001799.1, EWB00_001799.3
OG0000706	SMRG1_52930.3, SMRG1_52930.2, SMRG1_52930.1	EWB00_006800.1, EWB00_006800.3, EWB00_006800.2
OG0000707	SMRG1_95590.1, SMRG1_95590.2, SMRG1_95590.3	EWB00_003028.1, EWB00_003028.4, EWB00_003028.3, EWB00_003028.2
OG0000708	SMRG1_37340.1, SMRG1_37340.3, SMRG1_37340.2, SMRG1_37340.4, SMRG1_37340.5	EWB00_001278
OG0000709	SMRG1_43900.4, SMRG1_43900.2, SMRG1_43900.1, SMRG1_43900.3	EWB00_009252.1, EWB00_009252.3, EWB00_009252.2
OG0000710	SMRG1_7620.1, SMRG1_7630.1	EWB00_008709.4, EWB00_008709.5, EWB00_008709.2, EWB00_008709.1, EWB00_008709.3
OG0000711	SMRG1_75040.4, SMRG1_75040.1, SMRG1_75040.3, SMRG1_75040.2	EWB00_008229.1, EWB00_008229.2
OG0000712	SMRG1_53310.4, SMRG1_53310.6, SMRG1_53310.1, SMRG1_53310.2, SMRG1_53310.3, SMRG1_53310.7, SMRG1_53310.8, SMRG1_53310.5	EWB00_010618
OG0000713	SMRG1_71530.1	EWB00_007358
OG0000714	SMRG1_46830.1	EWB00_004030.2, EWB00_004030.1, EWB00_004030.3
OG0000715	SMRG1_27470.1, SMRG1_27470.2, SMRG1_27470.3	EWB00_001149.4, EWB00_001149.1, EWB00_001149.2, EWB00_001149.3
OG0000716	SMRG1_11250.1, SMRG1_11250.2, SMRG1_11250.3	EWB00_008444
OG0000717	SMRG1_61830.1	EWB00_011258.1, EWB00_011258.2
OG0000718	SMRG1_75320.5, SMRG1_75320.1, SMRG1_75320.2, SMRG1_75320.4, SMRG1_75320.3	EWB00_008239.3, EWB00_008239.1, EWB00_008239.2
OG0000719	SMRG1_55640.1, SMRG1_55640.2, SMRG1_55640.3, SMRG1_55640.4	EWB00_002222
OG0000720	SMRG1_77440.1, SMRG1_77440.2, SMRG1_77440.3, SMRG1_77440.4	EWB00_003891
OG0000721	SMRG1_46240.3, SMRG1_46240.1, SMRG1_46240.2, SMRG1_46240.4, SMRG1_46240.5	EWB00_003628.1, EWB00_003628.2
OG0000722	SMRG1_5070.2, SMRG1_5070.1, SMRG1_5070.3, SMRG1_5070.4	EWB00_006294
OG0000723	SMRG1_77200.3, SMRG1_77200.1, SMRG1_77200.2, SMRG1_77200.4	EWB00_011015.2, EWB00_011015.3, EWB00_011015.5, EWB00_011015.1, EWB00_011015.4, EWB00_011015.6
OG0000724	SMRG1_42070.5, SMRG1_42070.6, SMRG1_42070.2, SMRG1_42070.1, SMRG1_42070.3, SMRG1_42070.4	EWB00_008763
OG0000725	SMRG1_77510.4, SMRG1_77510.2, SMRG1_77510.1, SMRG1_77510.3	EWB00_009002.1, EWB00_009002.2
OG0000726	SMRG1_29910.1, SMRG1_29910.2, SMRG1_29910.5, SMRG1_29910.3, SMRG1_29910.4	EWB00_006031.2, EWB00_006031.1, EWB00_006031.3
OG0000726	SMRG1_29920.1, SMRG1_29920.2	EWB00_006030
OG0000727	SMRG1_38770.1, SMRG1_38770.2, SMRG1_38770.3	EWB00_009537.1, EWB00_009537.2
OG0000728	SMRG1_49060.2, SMRG1_49060.5, SMRG1_49060.6, SMRG1_49060.4, SMRG1_49060.1, SMRG1_49060.3	EWB00_010704
OG0000729	SMRG1_8470.1, SMRG1_8470.4, SMRG1_8470.2, SMRG1_8470.3	EWB00_003072
OG0000730	SMRG1_60700.8, SMRG1_60700.4, SMRG1_60700.7, SMRG1_60700.1, SMRG1_60700.2, SMRG1_60700.3, SMRG1_60700.5, SMRG1_60700.6	EWB00_007961.2, EWB00_007961.1, EWB00_007961.3
OG0000731	SMRG1_76820.5, SMRG1_76820.6, SMRG1_76820.7, SMRG1_76820.1, SMRG1_76820.3, SMRG1_76820.2, SMRG1_76820.4	EWB00_010974.1, EWB00_010974.2
OG0000733	SMRG1_2700.1	EWB00_007581.1, EWB00_007581.2
OG0000736	SMRG1_78630.1, SMRG1_78630.2, SMRG1_78630.3, SMRG1_78630.4	EWB00_007389
OG0000737	SMRG1_9480.1, SMRG1_9480.2, SMRG1_9480.3	EWB00_000803.1, EWB00_000803.2
OG0000738	SMRG1_70500.1	EWB00_001605
OG0000739	SMRG1_57450.3, SMRG1_57450.1, SMRG1_57450.2	EWB00_005150.4, EWB00_005150.1, EWB00_005150.2, EWB00_005150.3
OG0000740	SMRG1_8010.6, SMRG1_8010.10, SMRG1_8010.11, SMRG1_8010.12, SMRG1_8010.13, SMRG1_8010.5, SMRG1_8010.7, SMRG1_8010.8, SMRG1_8010.9, SMRG1_8010.1, SMRG1_8010.2, SMRG1_8010.3, SMRG1_8010.14, SMRG1_8010.15, SMRG1_8010.4	EWB00_010848
OG0000741	SMRG1_84980.1, SMRG1_84980.3, SMRG1_84980.6, SMRG1_84980.8, SMRG1_84980.2, SMRG1_84980.4, SMRG1_84980.5, SMRG1_84980.7	EWB00_007304.1, EWB00_007304.2
OG0000743	SMRG1_21390.7, SMRG1_21390.1, SMRG1_21390.2, SMRG1_21390.3, SMRG1_21390.4, SMRG1_21390.5, SMRG1_21390.6	EWB00_005764.1, EWB00_005764.2
OG0000744	SMRG1_3480.1	EWB00_000869.3, EWB00_000869.2, EWB00_000869.1
OG0000745	SMRG1_38110.6, SMRG1_38110.5, SMRG1_38110.7, SMRG1_38110.8, SMRG1_38110.2, SMRG1_38110.1, SMRG1_38110.3, SMRG1_38110.4	EWB00_003153
OG0000746	SMRG1_60040.1	EWB00_011315.7, EWB00_011315.8, EWB00_011315.4, EWB00_011315.6, EWB00_011315.9, EWB00_011315.1, EWB00_011315.2, EWB00_011315.3
OG0000748	SMRG1_70930.1	EWB00_003887.1, EWB00_003887.3, EWB00_003887.4, EWB00_003887.5, EWB00_003887.6, EWB00_003887.2
OG0000749	SMRG1_70310.1	EWB00_009166
OG0000750	SMRG1_74940.1, SMRG1_74940.2, SMRG1_74940.3	EWB00_011039
OG0000751	SMRG1_5220.1	EWB00_006311
OG0000751	SMRG1_2390.1, SMRG1_2240.1	EWB00_004239
OG0000752	SMRG1_94020.1, SMRG1_94020.2, SMRG1_94020.3	EWB00_007429.1, EWB00_007429.2
OG0000752	SMRG1_94070.1	EWB00_007419
OG0000753	SMRG1_83590.12, SMRG1_83590.1, SMRG1_83590.2, SMRG1_83590.5, SMRG1_83590.6, SMRG1_83590.10, SMRG1_83590.11, SMRG1_83590.13, SMRG1_83590.3, SMRG1_83590.4, SMRG1_83590.7, SMRG1_83590.8, SMRG1_83590.9	EWB00_007023.1, EWB00_007023.2
OG0000754	SMRG1_50990.1, SMRG1_50990.2, SMRG1_50990.3, SMRG1_50990.4	EWB00_004424.1, EWB00_004424.2, EWB00_004424.3, EWB00_004424.5, EWB00_004424.4
OG0000755	SMRG1_76100.1	EWB00_010556
OG0000756	SMRG1_39050.1, SMRG1_39050.2	EWB00_006212.1, EWB00_006212.2, EWB00_006212.3
OG0000757	SMRG1_53160.5, SMRG1_53160.4, SMRG1_53160.1, SMRG1_53160.2, SMRG1_53160.3	EWB00_010635
OG0000759	SMRG1_53590.1	EWB00_010667
OG0000760	SMRG1_79230.1, SMRG1_79230.2	EWB00_001260
OG0000761	SMRG1_54260.4, SMRG1_54260.1, SMRG1_54260.2, SMRG1_54260.3, SMRG1_54260.5, SMRG1_54260.6	EWB00_006472.3, EWB00_006472.1, EWB00_006472.2, EWB00_006472.4
OG0000762	SMRG1_82700.1	EWB00_004406.1, EWB00_004406.2
OG0000762	SMRG1_88450.1	EWB00_007520.1, EWB00_007520.2, EWB00_007520.3
OG0000763	SMRG1_19150.1, SMRG1_19150.2, SMRG1_19150.3, SMRG1_19150.4, SMRG1_19150.6, SMRG1_19150.5	EWB00_010343.3, EWB00_010343.1, EWB00_010343.2
OG0000764	SMRG1_8630.2, SMRG1_8630.1, SMRG1_8630.3	EWB00_003057
OG0000765	SMRG1_53560.1	EWB00_010665.1, EWB00_010665.3, EWB00_010665.2
OG0000765	SMRG1_53570.1	EWB00_010666
OG0000766	SMRG1_63680.1, SMRG1_63680.2, SMRG1_63680.3, SMRG1_63680.4	EWB00_007134, EWB00_007139.1, EWB00_007139.2
OG0000767	SMRG1_65880.3, SMRG1_65880.2, SMRG1_65880.1	EWB00_010512.1, EWB00_010512.2
OG0000768	SMRG1_40130.3, SMRG1_40130.1, SMRG1_40130.4, SMRG1_40130.9, SMRG1_40130.5, SMRG1_40130.6, SMRG1_40130.7, SMRG1_40130.8, SMRG1_40130.2	EWB00_003947.5, EWB00_003947.2, EWB00_003947.4, EWB00_003947.6, EWB00_003947.3, EWB00_003947.1, EWB00_003947.7
OG0000769	SMRG1_1950.1, SMRG1_1940.1	EWB00_004642
OG0000770	SMRG1_17150.1, SMRG1_17150.2, SMRG1_17150.3	EWB00_000605.3, EWB00_000605.1, EWB00_000605.2
OG0000771	SMRG1_80360.1, SMRG1_80390.1, SMRG1_80380.1, SMRG1_80400.2, SMRG1_80400.7, SMRG1_80400.8, SMRG1_80400.1, SMRG1_80400.3, SMRG1_80400.4, SMRG1_80400.5, SMRG1_80400.6	EWB00_010596.1, EWB00_010596.2
OG0000772	SMRG1_18160.1, SMRG1_18160.2, SMRG1_18180.1	EWB00_007638
OG0000773	SMRG1_25810.1, SMRG1_25810.3, SMRG1_25810.7, SMRG1_25810.5, SMRG1_25810.4, SMRG1_25810.6, SMRG1_25810.2	EWB00_000303.1, EWB00_000303.2
OG0000774	SMRG1_47820.1, SMRG1_47820.2, SMRG1_47820.3, SMRG1_47820.4, SMRG1_47820.5, SMRG1_47820.6, SMRG1_47820.7, SMRG1_47820.8	EWB00_008560.1, EWB00_008560.2
OG0000775	SMRG1_52280.4, SMRG1_52280.2, SMRG1_52280.3, SMRG1_52280.1	EWB00_006506
OG0000776	SMRG1_46260.1	EWB00_003632.1, EWB00_003632.2, EWB00_003632.3
OG0000776	SMRG1_57210.1, SMRG1_57210.2, SMRG1_57210.3	EWB00_005129.1, EWB00_005129.2, EWB00_005129.3, EWB00_005129.4, EWB00_005131
OG0000777	SMRG1_52810.3, SMRG1_52810.1, SMRG1_52810.5, SMRG1_52810.2, SMRG1_52810.4	EWB00_006815, EWB00_006816
OG0000778	SMRG1_22910.1, SMRG1_22910.2	EWB00_007548.1, EWB00_007548.2, EWB00_007549
OG0000779	SMRG1_3550.2, SMRG1_3550.4, SMRG1_3550.5, SMRG1_3550.3, SMRG1_3550.1	EWB00_009077
OG0000780	SMRG1_14430.1	EWB00_002317
OG0000781	SMRG1_10790.1	EWB00_009388
OG0000781	SMRG1_1430.1, SMRG1_1430.2	EWB00_003590
OG0000782	SMRG1_31710.1, SMRG1_31710.2, SMRG1_31710.3	EWB00_010893
OG0000783	SMRG1_51290.1, SMRG1_51290.2	EWB00_008411.1, EWB00_008411.4, EWB00_008411.2, EWB00_008411.3
OG0000784	SMRG1_31620.1, SMRG1_31620.2	EWB00_002586.1, EWB00_002586.2
OG0000785	SMRG1_61940.3, SMRG1_61940.1, SMRG1_61940.2, SMRG1_61940.6, SMRG1_61940.5, SMRG1_61940.4	EWB00_011250, EWB00_011248
OG0000786	SMRG1_40960.2, SMRG1_40960.1, SMRG1_40960.3	EWB00_007803.1, EWB00_007803.2
OG0000787	SMRG1_94210.1, SMRG1_94210.2	EWB00_002246, EWB00_005725, EWB00_002247.1, EWB00_002247.2, EWB00_002247.3
OG0000787	SMRG1_61180.1	EWB00_003865
OG0000789	SMRG1_25630.1	EWB00_000270
OG0000789	SMRG1_25620.1, SMRG1_25620.3, SMRG1_25620.5, SMRG1_25620.2, SMRG1_25620.4, SMRG1_25620.6	EWB00_000269
OG0000790	SMRG1_39390.1	EWB00_006178.2, EWB00_006178.1, EWB00_006178.3
OG0000791	SMRG1_43050.3, SMRG1_43050.4, SMRG1_43050.1, SMRG1_43050.2	EWB00_006403
OG0000792	SMRG1_5400.1, SMRG1_5400.2	EWB00_006328.2, EWB00_006328.1, EWB00_006328.4, EWB00_006328.3
OG0000793	SMRG1_34250.1	EWB00_003428.1, EWB00_003428.2, EWB00_003428.3
OG0000794	SMRG1_9690.1, SMRG1_9750.1	EWB00_000465
OG0000795	SMRG1_96610.3, SMRG1_96610.4, SMRG1_96610.1, SMRG1_96610.5, SMRG1_96610.6, SMRG1_96610.2	EWB00_005844
OG0000796	SMRG1_15320.1	EWB00_010273
OG0000796	SMRG1_15310.1	EWB00_010274
OG0000797	SMRG1_19420.3, SMRG1_19420.4, SMRG1_19420.1, SMRG1_19420.2	EWB00_010326.1, EWB00_010326.2
OG0000798	SMRG1_240.3, SMRG1_240.1, SMRG1_240.4, SMRG1_240.2, SMRG1_240.5	EWB00_010249.3, EWB00_010249.2, EWB00_010249.1
OG0000799	SMRG1_67370.8, SMRG1_67370.2, SMRG1_67370.1, SMRG1_67370.10, SMRG1_67370.11, SMRG1_67370.3, SMRG1_67370.4, SMRG1_67370.5, SMRG1_67370.6, SMRG1_67370.7, SMRG1_67370.9	EWB00_009828
OG0000800	SMRG1_9600.7, SMRG1_9600.9, SMRG1_9600.10, SMRG1_9600.5, SMRG1_9600.8, SMRG1_9600.15, SMRG1_9600.6, SMRG1_9600.13, SMRG1_9600.1, SMRG1_9600.11, SMRG1_9600.14, SMRG1_9600.12, SMRG1_9600.3, SMRG1_9600.4, SMRG1_9600.2	EWB00_009622.1, EWB00_009622.2
OG0000801	SMRG1_15160.1, SMRG1_15160.2, SMRG1_15160.3	EWB00_004124.2, EWB00_004124.1, EWB00_004124.3
OG0000802	SMRG1_73950.1	EWB00_004540.1, EWB00_004540.3, EWB00_004540.4, EWB00_004540.2, EWB00_004540.5, EWB00_004540.6
OG0000802	SMRG1_59040.1	EWB00_010034.3, EWB00_010034.1, EWB00_010034.2
OG0000803	SMRG1_79570.1	EWB00_008177
OG0000804	SMRG1_41590.4, SMRG1_41590.1, SMRG1_41590.3, SMRG1_41590.2, SMRG1_41590.5	EWB00_007663.1, EWB00_007663.2
OG0000805	SMRG1_36490.5, SMRG1_36490.1, SMRG1_36490.3, SMRG1_36490.2, SMRG1_36490.6, SMRG1_36490.4	EWB00_004312
OG0000806	SMRG1_74320.3, SMRG1_74320.1, SMRG1_74320.2, SMRG1_74320.4	EWB00_003447.1, EWB00_003447.2, EWB00_003447.3
OG0000807	SMRG1_9380.1	EWB00_009187.1, EWB00_009187.2, EWB00_009187.3, EWB00_009187.4, EWB00_009187.5, EWB00_009187.6, EWB00_009187.7
OG0000808	SMRG1_94830.1	EWB00_005876
OG0000808	SMRG1_94840.1, SMRG1_94840.2	EWB00_005875.2
OG0000809	SMRG1_92040.4, SMRG1_92040.1, SMRG1_92040.2, SMRG1_92040.3	EWB00_000329.1, EWB00_000329.2
OG0000810	SMRG1_25200.1, SMRG1_25200.3, SMRG1_25200.2	EWB00_004213.1, EWB00_004213.3, EWB00_004213.2
OG0000811	SMRG1_10640.1, SMRG1_10640.3, SMRG1_10640.6, SMRG1_10640.7, SMRG1_10640.9, SMRG1_10640.2, SMRG1_10640.4, SMRG1_10640.5, SMRG1_10640.8	EWB00_011073
OG0000812	SMRG1_11560.1, SMRG1_11560.2	EWB00_008335.1, EWB00_008335.2
OG0000813	SMRG1_87540.2, SMRG1_87540.1	EWB00_005286
OG0000814	SMRG1_64080.1, SMRG1_64040.1, SMRG1_64060.1, SMRG1_64090.4, SMRG1_64090.3, SMRG1_64090.1, SMRG1_64090.2	EWB00_009225.1, EWB00_009225.2
OG0000815	SMRG1_61200.1, SMRG1_61200.2	EWB00_003863.1, EWB00_003863.2
OG0000816	SMRG1_84570.1	EWB00_009447, EWB00_008278
OG0000817	SMRG1_89480.1, SMRG1_89480.2, SMRG1_89480.3, SMRG1_89480.4, SMRG1_89480.5	EWB00_004470
OG0000818	SMRG1_11040.1, SMRG1_11040.2, SMRG1_11040.3	EWB00_009403.1, EWB00_009403.2, EWB00_009403.3
OG0000819	SMRG1_66030.1, SMRG1_66030.2, SMRG1_66030.4, SMRG1_66030.3	EWB00_010495.1, EWB00_010495.2, EWB00_010495.3
OG0000820	SMRG1_85400.1	EWB00_004486
OG0000821	SMRG1_49820.1, SMRG1_49820.2, SMRG1_49820.3, SMRG1_49820.4	EWB00_008746.2, EWB00_008746.1, EWB00_008746.3
OG0000822	SMRG1_75030.2, SMRG1_75030.4, SMRG1_75030.5, SMRG1_75030.6, SMRG1_75030.1, SMRG1_75030.10, SMRG1_75030.3, SMRG1_75030.9, SMRG1_75030.7, SMRG1_75030.8	EWB00_008230
OG0000823	SMRG1_53950.1	EWB00_005403.1, EWB00_005403.2
OG0000824	SMRG1_3000.1, SMRG1_3000.2, SMRG1_3000.3	EWB00_007317.1, EWB00_007317.2, EWB00_007317.4, EWB00_007317.3
OG0000825	SMRG1_77620.1, SMRG1_77640.1, SMRG1_77610.1, SMRG1_77600.1	EWB00_002017, EWB00_002019
OG0000826	SMRG1_55840.3, SMRG1_55840.5, SMRG1_55840.1, SMRG1_55840.2, SMRG1_55840.4	EWB00_002201.1, EWB00_002201.2
OG0000827	SMRG1_76010.1	EWB00_010545
OG0000827	SMRG1_76000.1, SMRG1_76000.2, SMRG1_76000.3, SMRG1_76000.4	EWB00_004515, EWB00_004516
OG0000828	SMRG1_91810.1, SMRG1_91830.1	EWB00_000819
OG0000829	SMRG1_16580.1, SMRG1_16580.2	EWB00_005456.1, EWB00_005456.2, EWB00_005456.3, EWB00_005456.4
OG0000830	SMRG1_49600.4, SMRG1_49600.2, SMRG1_49600.1, SMRG1_49600.5, SMRG1_49600.3	EWB00_004754.3, EWB00_004754.1, EWB00_004754.4, EWB00_004754.2
OG0000831	SMRG1_42770.3, SMRG1_42770.1, SMRG1_42770.2	EWB00_002810.1, EWB00_002810.2
OG0000832	SMRG1_60410.1	EWB00_011283.3, EWB00_011283.2, EWB00_011283.4, EWB00_011283.1
OG0000833	SMRG1_33320.1	EWB00_002934.2, EWB00_002934.1, EWB00_002934.3
OG0000834	SMRG1_49380.1, SMRG1_49380.3, SMRG1_49380.2, SMRG1_49380.4, SMRG1_49380.5, SMRG1_49380.6	EWB00_008087
OG0000835	SMRG1_38120.5, SMRG1_38120.1, SMRG1_38120.3, SMRG1_38120.6, SMRG1_38120.7, SMRG1_38120.2, SMRG1_38120.4	EWB00_003152
OG0000836	SMRG1_37480.3, SMRG1_37480.4, SMRG1_37480.1, SMRG1_37480.2	EWB00_001297.1, EWB00_001297.2
OG0000837	SMRG1_32400.1, SMRG1_32400.2, SMRG1_32400.4, SMRG1_32400.3	EWB00_003416, EWB00_003417.1, EWB00_003417.2
OG0000839	SMRG1_38560.1, SMRG1_38560.2	EWB00_005620.1, EWB00_005620.2
OG0000840	SMRG1_71020.3, SMRG1_71020.5, SMRG1_71020.4, SMRG1_71020.1, SMRG1_71020.2	EWB00_007917
OG0000841	SMRG1_19770.3, SMRG1_19770.4, SMRG1_19770.1, SMRG1_19770.2	EWB00_002518
OG0000842	SMRG1_67610.2, SMRG1_67610.4, SMRG1_67610.3, SMRG1_67610.1	EWB00_009854.2, EWB00_009854.4, EWB00_009854.1, EWB00_009854.3
OG0000843	SMRG1_83080.2, SMRG1_83080.1, SMRG1_83080.4, SMRG1_83080.3	EWB00_001496.1, EWB00_001496.2
OG0000845	SMRG1_90960.3, SMRG1_90960.2, SMRG1_90960.1	EWB00_001912.1, EWB00_001912.2
OG0000846	SMRG1_18110.1	EWB00_007643
OG0000847	SMRG1_160.2, SMRG1_160.1, SMRG1_160.3	EWB00_007998.1, EWB00_007998.2
OG0000848	SMRG1_34900.1, SMRG1_34900.2, SMRG1_34900.3	EWB00_008166.1, EWB00_008166.2
OG0000849	SMRG1_39230.1, SMRG1_39230.2, SMRG1_39230.3	EWB00_006196.1, EWB00_006196.2, EWB00_006196.3
OG0000850	SMRG1_27440.1, SMRG1_27440.2, SMRG1_27440.3	EWB00_002852.3, EWB00_002852.2, EWB00_002852.1
OG0000851	SMRG1_92050.1, SMRG1_92050.3, SMRG1_92050.2	EWB00_000328.1, EWB00_000328.2, EWB00_000328.3
OG0000852	SMRG1_10490.1	EWB00_005534.1, EWB00_005534.2
OG0000853	SMRG1_83550.1	EWB00_007019.2, EWB00_007019.1, EWB00_007019.3
OG0000854	SMRG1_37490.10, SMRG1_37490.2, SMRG1_37490.4, SMRG1_37490.9, SMRG1_37490.1, SMRG1_37490.3, SMRG1_37490.6, SMRG1_37490.7, SMRG1_37490.5, SMRG1_37490.8	EWB00_001300
