Orthogroup	schistosoma_margrebowiei	schistosoma_rodhaini
OG0001003	SMRG1_32260.4, SMRG1_32260.3, SMRG1_32260.2, SMRG1_32260.1	SRDH2_36370.1, SRDH2_36370.2, SRDH2_102150.2, SRDH2_102150.4, SRDH2_102150.5, SRDH2_102150.1, SRDH2_102150.3
OG0001004	SMRG1_15280.1, SMRG1_15300.1	SRDH2_16240.1
OG0001005	SMRG1_4450.1, SMRG1_4450.2, SMRG1_4450.3, SMRG1_4450.4, SMRG1_4450.5, SMRG1_4450.6	SRDH2_4680.1, SRDH2_4680.2, SRDH2_4680.3, SRDH2_4680.4, SRDH2_4680.5, SRDH2_4680.6
OG0001006	SMRG1_82280.1	SRDH2_96500.1, SRDH2_96510.1, SRDH2_83670.1, SRDH2_83680.1, SRDH2_83660.1
OG0001006	SMRG1_82300.1	SRDH2_83720.1, SRDH2_83730.1
OG0001007	SMRG1_61370.1, SMRG1_61350.1, SMRG1_61380.1, SMRG1_61380.2	SRDH2_61050.1, SRDH2_61060.1
OG0001008	SMRG1_61390.5, SMRG1_61390.1, SMRG1_61390.3, SMRG1_61390.2, SMRG1_61390.4	SRDH2_61030.1, SRDH2_61030.2
OG0001009	SMRG1_89040.1	SRDH2_90810.1
OG0001010	SMRG1_60490.1, SMRG1_60490.2, SMRG1_60490.3	SRDH2_61850.1, SRDH2_61850.2
OG0001011	SMRG1_39750.1	SRDH2_39890.1
OG0001012	SMRG1_4940.1, SMRG1_4940.2, SMRG1_4940.3, SMRG1_4940.4	SRDH2_5230.3, SRDH2_5230.4, SRDH2_5230.6, SRDH2_5230.7, SRDH2_5230.5, SRDH2_5230.8, SRDH2_5230.1, SRDH2_5230.2
OG0001013	SMRG1_13300.1, SMRG1_13300.3, SMRG1_13300.2	SRDH2_12990.1
OG0001014	SMRG1_3910.1, SMRG1_3910.6, SMRG1_3910.8, SMRG1_3910.9, SMRG1_3910.10, SMRG1_3910.2, SMRG1_3910.3, SMRG1_3910.4, SMRG1_3910.7, SMRG1_3910.5	SRDH2_4110.1, SRDH2_4110.2
OG0001015	SMRG1_38380.1	SRDH2_38530.1, SRDH2_38530.2
OG0001016	SMRG1_37780.1, SMRG1_37780.2, SMRG1_37780.3, SMRG1_37780.4	SRDH2_37310.1, SRDH2_37310.5, SRDH2_37310.7, SRDH2_37310.8, SRDH2_37310.4, SRDH2_37310.6, SRDH2_37310.3, SRDH2_37310.10, SRDH2_37310.2, SRDH2_37310.11, SRDH2_37310.9
OG0001017	SMRG1_15090.3, SMRG1_15090.1, SMRG1_15090.2, SMRG1_15090.4	SRDH2_16090.1, SRDH2_16090.2, SRDH2_16090.3, SRDH2_16090.4, SRDH2_16090.5
OG0001018	SMRG1_29810.2, SMRG1_29810.3, SMRG1_29810.1	SRDH2_30100.1, SRDH2_30100.2, SRDH2_30100.3, SRDH2_30100.4
OG0001019	SMRG1_42480.4, SMRG1_42480.2, SMRG1_42480.3, SMRG1_42480.1, SMRG1_42480.5	SRDH2_42510.1, SRDH2_42510.2, SRDH2_42510.3, SRDH2_42510.4, SRDH2_42510.5, SRDH2_42510.6, SRDH2_42510.7, SRDH2_42510.9, SRDH2_42510.8
OG0001020	SMRG1_10500.1	SRDH2_11240.10, SRDH2_11240.9, SRDH2_11240.8, SRDH2_11240.3, SRDH2_11240.6, SRDH2_11240.2, SRDH2_11240.1, SRDH2_11240.7, SRDH2_11240.5, SRDH2_11240.4
OG0001021	SMRG1_29560.1, SMRG1_29560.2	SRDH2_29850.1
OG0001022	SMRG1_20810.2, SMRG1_20810.1, SMRG1_20810.3, SMRG1_20810.4	SRDH2_21470.1, SRDH2_21470.5, SRDH2_21470.2, SRDH2_21470.3, SRDH2_21470.4
OG0001023	SMRG1_63660.1, SMRG1_63660.2, SMRG1_63660.3	SRDH2_64620.1, SRDH2_64620.3, SRDH2_64620.2
OG0001024	SMRG1_78750.1, SMRG1_78750.2, SMRG1_78750.3, SMRG1_78750.4, SMRG1_78750.5, SMRG1_78750.6	SRDH2_80190.1, SRDH2_80200.1, SRDH2_80210.1, SRDH2_80210.2
OG0001025	SMRG1_89460.1, SMRG1_89460.2	SRDH2_91250.2, SRDH2_91250.3, SRDH2_91250.1
OG0001026	SMRG1_50300.1, SMRG1_50300.2	SRDH2_50380.1
OG0001027	SMRG1_960.1, SMRG1_960.2, SMRG1_960.3, SMRG1_960.4, SMRG1_960.5, SMRG1_960.6	SRDH2_950.1
OG0001028	SMRG1_55950.2, SMRG1_55950.1, SMRG1_55950.4, SMRG1_55950.3	SRDH2_56670.1
OG0001029	SMRG1_50490.1	SRDH2_50580.3, SRDH2_50580.4, SRDH2_50580.1, SRDH2_50580.5, SRDH2_50580.6, SRDH2_50580.2
OG0001031	SMRG1_72640.1, SMRG1_72640.10, SMRG1_72640.13, SMRG1_72640.14, SMRG1_72640.15, SMRG1_72640.17, SMRG1_72640.18, SMRG1_72640.2, SMRG1_72640.5, SMRG1_72640.6, SMRG1_72640.7, SMRG1_72640.8, SMRG1_72640.11, SMRG1_72640.12, SMRG1_72640.3, SMRG1_72640.4, SMRG1_72640.9, SMRG1_72640.16	SRDH2_72440.1
OG0001032	SMRG1_65090.2, SMRG1_65090.1	SRDH2_68150.1, SRDH2_68150.2, SRDH2_68150.3, SRDH2_68150.4, SRDH2_68150.5, SRDH2_68150.6, SRDH2_68150.7
OG0001034	SMRG1_54620.1, SMRG1_54610.3, SMRG1_54610.4, SMRG1_54610.1, SMRG1_54610.2	SRDH2_54960.1, SRDH2_54960.2, SRDH2_54970.1
OG0001035	SMRG1_55150.1, SMRG1_55160.1	SRDH2_55590.1, SRDH2_55570.1, SRDH2_55610.1
OG0001036	SMRG1_17540.1	SRDH2_17920.10, SRDH2_17920.13, SRDH2_17920.14, SRDH2_17920.11, SRDH2_17920.4, SRDH2_17920.6, SRDH2_17920.3, SRDH2_17920.5, SRDH2_17920.9, SRDH2_17920.1, SRDH2_17920.7, SRDH2_17920.8, SRDH2_17920.12, SRDH2_17920.2
OG0001037	SMRG1_20780.1, SMRG1_20780.3, SMRG1_20780.5, SMRG1_20780.4, SMRG1_20780.2	SRDH2_21490.1, SRDH2_21490.2, SRDH2_21490.3
OG0001038	SMRG1_480.1, SMRG1_480.2, SMRG1_480.3, SMRG1_480.4, SMRG1_480.5, SMRG1_480.6	SRDH2_1620.1
OG0001039	SMRG1_27460.2, SMRG1_27460.5, SMRG1_27460.1, SMRG1_27460.4, SMRG1_27460.6, SMRG1_27460.3	SRDH2_27750.1, SRDH2_27750.2, SRDH2_27750.6, SRDH2_27750.3, SRDH2_27750.4, SRDH2_27750.5
OG0001040	SMRG1_82570.4, SMRG1_82570.5, SMRG1_82570.2, SMRG1_82570.1, SMRG1_82570.3	SRDH2_84000.1
OG0001041	SMRG1_95550.2	SRDH2_97580.5
OG0001042	SMRG1_11420.1	SRDH2_13800.1
OG0001043	SMRG1_49050.1, SMRG1_49050.2	SRDH2_49150.1, SRDH2_49150.3, SRDH2_49150.6, SRDH2_49150.5, SRDH2_49150.2, SRDH2_49150.4
OG0001044	SMRG1_68020.1, SMRG1_68020.2, SMRG1_68020.3	SRDH2_68690.1, SRDH2_68690.2
OG0001045	SMRG1_67500.2, SMRG1_67500.1, SMRG1_67500.3	SRDH2_69210.1
OG0001046	SMRG1_51690.1, SMRG1_51690.2	SRDH2_52050.1, SRDH2_52050.3, SRDH2_52050.2
OG0001047	SMRG1_97020.9, SMRG1_97020.5, SMRG1_97020.10, SMRG1_97020.6, SMRG1_97020.1, SMRG1_97020.8, SMRG1_97020.7, SMRG1_97020.3, SMRG1_97020.2, SMRG1_97020.4	SRDH2_99120.1
OG0001048	SMRG1_78690.1, SMRG1_78690.4	SRDH2_80130.10, SRDH2_80130.8, SRDH2_80130.9, SRDH2_80130.4, SRDH2_80130.3, SRDH2_80130.1, SRDH2_80130.7
OG0001049	SMRG1_55770.4, SMRG1_55770.2, SMRG1_55770.1, SMRG1_55770.3	SRDH2_56260.1
OG0001050	SMRG1_62890.1, SMRG1_62890.3, SMRG1_62890.2	SRDH2_63870.4, SRDH2_63870.3, SRDH2_63870.2, SRDH2_63870.6, SRDH2_63870.5, SRDH2_63870.1
OG0001051	SMRG1_88880.1	SRDH2_90640.1
OG0001052	SMRG1_55740.2	SRDH2_56230.2
OG0001053	SMRG1_64120.2, SMRG1_64120.1	SRDH2_65130.2, SRDH2_65130.4, SRDH2_65130.5, SRDH2_65130.6, SRDH2_65130.1, SRDH2_65130.3, SRDH2_65130.8, SRDH2_65130.9, SRDH2_65130.7
OG0001054	SMRG1_11180.1, SMRG1_11180.2, SMRG1_11180.5, SMRG1_11180.6, SMRG1_11180.3, SMRG1_11180.4	SRDH2_12170.1, SRDH2_12170.2, SRDH2_11910.1, SRDH2_11910.2
OG0001055	SMRG1_38800.1, SMRG1_38800.2	SRDH2_38900.1
OG0001056	SMRG1_58430.5, SMRG1_58430.4, SMRG1_58430.6, SMRG1_58430.7, SMRG1_58430.3, SMRG1_58430.2, SMRG1_58430.1	SRDH2_59300.2, SRDH2_59300.1, SRDH2_59300.3
OG0001057	SMRG1_88740.1, SMRG1_88740.3, SMRG1_88740.2	SRDH2_89850.6, SRDH2_89850.8, SRDH2_89850.4, SRDH2_89850.3, SRDH2_89850.5, SRDH2_89850.2, SRDH2_89850.7, SRDH2_89850.1
OG0001058	SMRG1_59850.1, SMRG1_59850.2, SMRG1_59850.3, SMRG1_59850.4, SMRG1_59850.5, SMRG1_59850.6, SMRG1_59850.7, SMRG1_59850.8, SMRG1_59850.9	SRDH2_62480.1, SRDH2_62480.2
OG0001059	SMRG1_17980.1, SMRG1_17980.2, SMRG1_17980.3, SMRG1_17980.4, SMRG1_17980.5, SMRG1_17980.6, SMRG1_17980.7	SRDH2_17460.1, SRDH2_17460.2, SRDH2_17460.3, SRDH2_17460.4, SRDH2_17460.5, SRDH2_17460.8, SRDH2_17460.9, SRDH2_17460.7, SRDH2_17460.6
OG0001060	SMRG1_64410.1, SMRG1_64410.2, SMRG1_64410.3	SRDH2_65430.1
OG0001061	SMRG1_10650.1, SMRG1_10650.2	SRDH2_11390.1, SRDH2_11390.4, SRDH2_11400.1, SRDH2_11390.5, SRDH2_11390.2, SRDH2_11390.3
OG0001062	SMRG1_49570.1, SMRG1_49570.4, SMRG1_49570.5, SMRG1_49570.2, SMRG1_49570.3, SMRG1_49540.1	SRDH2_49610.1
OG0001063	SMRG1_85380.1	SRDH2_87340.3, SRDH2_87340.2, SRDH2_87340.1
OG0001064	SMRG1_48390.1, SMRG1_48390.2, SMRG1_48390.3, SMRG1_48390.4	SRDH2_48530.1
OG0001065	SMRG1_29170.1	SRDH2_29440.1
OG0001065	SMRG1_29180.1	SRDH2_29450.1
OG0001065	SMRG1_29190.1	SRDH2_29460.1
OG0001066	SMRG1_9660.4	SRDH2_10420.2, SRDH2_10420.4, SRDH2_10420.3, SRDH2_10420.1
OG0001067	SMRG1_96670.1, SMRG1_96680.1	SRDH2_98740.1, SRDH2_98750.1
OG0001067	SMRG1_96440.1	SRDH2_98500.1, SRDH2_98540.1
OG0001068	SMRG1_76460.1	SRDH2_77720.15, SRDH2_77720.2, SRDH2_77720.14, SRDH2_77720.8, SRDH2_77720.1, SRDH2_77720.9, SRDH2_77720.10, SRDH2_77720.11, SRDH2_77720.12, SRDH2_77720.7, SRDH2_77720.6, SRDH2_77720.17, SRDH2_77720.3, SRDH2_77720.4, SRDH2_77720.18, SRDH2_77720.5, SRDH2_77720.16, SRDH2_77720.13
OG0001070	SMRG1_63710.1, SMRG1_63710.2	SRDH2_64720.1
OG0001070	SMRG1_76860.1	SRDH2_78170.2, SRDH2_78170.1, SRDH2_78170.3
OG0001071	SMRG1_65750.2, SMRG1_65750.3, SMRG1_65750.1, SMRG1_65750.4	SRDH2_67530.1
OG0001072	SMRG1_42520.1	SRDH2_42560.1
OG0001073	SMRG1_18140.2, SMRG1_18140.3, SMRG1_18140.4, SMRG1_18140.5, SMRG1_18140.7, SMRG1_18140.1, SMRG1_18140.6	SRDH2_17300.1
OG0001074	SMRG1_27660.1, SMRG1_27660.2, SMRG1_27660.6, SMRG1_27660.5, SMRG1_27660.7, SMRG1_27660.3, SMRG1_27660.4	SRDH2_27940.4, SRDH2_27940.3, SRDH2_27940.2, SRDH2_27940.1
OG0001075	SMRG1_62450.4, SMRG1_62450.2, SMRG1_62450.3, SMRG1_62450.1	SRDH2_63470.5, SRDH2_63470.6, SRDH2_63470.4, SRDH2_63470.3, SRDH2_63470.1, SRDH2_63470.2
OG0001076	SMRG1_47000.1, SMRG1_47000.4, SMRG1_47000.2, SMRG1_47000.5, SMRG1_47000.3	SRDH2_47190.5, SRDH2_47190.2, SRDH2_47190.3, SRDH2_47190.6, SRDH2_47190.4, SRDH2_47190.1
OG0001077	SMRG1_50800.1	SRDH2_50890.19, SRDH2_50890.1, SRDH2_50890.13, SRDH2_50890.15, SRDH2_50890.18, SRDH2_50890.7, SRDH2_50890.8, SRDH2_50890.20, SRDH2_50890.4, SRDH2_50890.12, SRDH2_50890.17, SRDH2_50890.5, SRDH2_50890.6, SRDH2_50890.16, SRDH2_50890.10, SRDH2_50890.11, SRDH2_50890.14, SRDH2_50890.2, SRDH2_50890.3, SRDH2_50890.9
OG0001078	SMRG1_59450.1	SRDH2_62860.12, SRDH2_62860.4, SRDH2_62860.2, SRDH2_62860.13, SRDH2_62860.14, SRDH2_62860.15, SRDH2_62860.8, SRDH2_62860.9, SRDH2_62860.10, SRDH2_62860.16, SRDH2_62860.17, SRDH2_62860.7, SRDH2_62860.11, SRDH2_62860.6, SRDH2_62860.3, SRDH2_62860.1, SRDH2_62860.5
OG0001079	SMRG1_75960.1	SRDH2_77220.1
OG0001080	SMRG1_74430.1, SMRG1_74430.2, SMRG1_74430.4, SMRG1_74430.3	SRDH2_75640.3, SRDH2_75640.1, SRDH2_75640.2
OG0001081	SMRG1_33980.1, SMRG1_33980.2	SRDH2_35870.1, SRDH2_35870.2, SRDH2_35870.7, SRDH2_35870.8, SRDH2_35870.3, SRDH2_35870.4, SRDH2_35870.5, SRDH2_35870.6
OG0001082	SMRG1_49320.1, SMRG1_49320.2, SMRG1_49320.3, SMRG1_49320.4, SMRG1_49320.5	SRDH2_49410.6, SRDH2_49410.5, SRDH2_49410.3, SRDH2_49410.2, SRDH2_49410.4, SRDH2_49410.1
OG0001083	SMRG1_95690.3, SMRG1_95690.2, SMRG1_95690.1	SRDH2_97720.2, SRDH2_97720.1
OG0001084	SMRG1_21230.3	SRDH2_21140.3
OG0001085	SMRG1_96660.1, SMRG1_96660.2	SRDH2_98730.2, SRDH2_98730.1
OG0001086	SMRG1_71470.1	SRDH2_73900.3, SRDH2_73900.4, SRDH2_73900.5, SRDH2_73900.1, SRDH2_73900.2, SRDH2_73900.9, SRDH2_73900.6, SRDH2_73900.7, SRDH2_73900.8
OG0001087	SMRG1_51910.1	SRDH2_52280.3
OG0001087	SMRG1_51910.2	SRDH2_52280.1
OG0001088	SMRG1_24740.4, SMRG1_24740.3, SMRG1_24740.1, SMRG1_24740.2	SRDH2_25010.2, SRDH2_25010.3, SRDH2_25010.4, SRDH2_25010.5, SRDH2_25010.1, SRDH2_25010.6
OG0001089	SMRG1_65720.4, SMRG1_65720.5, SMRG1_65720.1, SMRG1_65720.6, SMRG1_65720.7, SMRG1_65720.3	SRDH2_67510.8, SRDH2_67510.7, SRDH2_67510.4, SRDH2_67510.1, SRDH2_67510.5, SRDH2_67510.2, SRDH2_67510.3
OG0001089	SMRG1_65720.2	SRDH2_67510.6
OG0001090	SMRG1_97330.1, SMRG1_97330.2, SMRG1_97330.3, SMRG1_97330.4, SMRG1_97330.5	SRDH2_99440.1, SRDH2_99440.2, SRDH2_99440.3, SRDH2_99440.4
OG0001091	SMRG1_49220.1, SMRG1_49220.3, SMRG1_49220.4, SMRG1_49220.5, SMRG1_49220.6, SMRG1_49220.7, SMRG1_49220.2, SMRG1_49220.8	SRDH2_49320.1
OG0001092	SMRG1_70400.1, SMRG1_70400.2, SMRG1_70400.8, SMRG1_70400.3, SMRG1_70400.4, SMRG1_70400.5, SMRG1_70400.6, SMRG1_70400.7	SRDH2_71560.1, SRDH2_71560.2
OG0001093	SMRG1_82160.1, SMRG1_82160.2, SMRG1_82160.3	SRDH2_83520.1, SRDH2_83520.3, SRDH2_83520.2
OG0001094	SMRG1_36760.3, SMRG1_36760.2, SMRG1_36760.1	SRDH2_34260.1, SRDH2_34260.3, SRDH2_34260.2, SRDH2_34260.5, SRDH2_34260.4
OG0001095	SMRG1_51620.3, SMRG1_51620.7, SMRG1_51620.1, SMRG1_51620.5, SMRG1_51620.8, SMRG1_51620.6, SMRG1_51620.2, SMRG1_51620.4	SRDH2_51990.1
OG0001096	SMRG1_18950.1, SMRG1_18950.2, SMRG1_18950.3	SRDH2_19880.1
OG0001097	SMRG1_68600.1	SRDH2_70670.2, SRDH2_70670.1, SRDH2_70670.4, SRDH2_70670.3
OG0001099	SMRG1_93720.1	SRDH2_95430.1
OG0001099	SMRG1_93710.1, SMRG1_93710.2, SMRG1_93710.3	SRDH2_95420.1
OG0001100	SMRG1_69980.1, SMRG1_69980.3, SMRG1_69980.2	SRDH2_66780.1, SRDH2_66780.2
OG0001101	SMRG1_46310.1	SRDH2_46680.1, SRDH2_46680.6, SRDH2_46560.1, SRDH2_46670.1, SRDH2_46680.2, SRDH2_46680.3, SRDH2_46680.5, SRDH2_46680.4
OG0001102	SMRG1_63030.1, SMRG1_63030.2, SMRG1_63030.3	SRDH2_64010.3, SRDH2_64010.4, SRDH2_64010.1, SRDH2_64010.2
OG0001103	SMRG1_95570.1, SMRG1_95570.2, SMRG1_95570.4, SMRG1_95570.3	SRDH2_97600.1, SRDH2_97600.2
OG0001104	SMRG1_63010.4, SMRG1_63010.1, SMRG1_63010.2, SMRG1_63010.3	SRDH2_63990.6, SRDH2_63990.7, SRDH2_63990.1, SRDH2_63990.4, SRDH2_63990.2, SRDH2_63990.5, SRDH2_63990.3
OG0001105	SMRG1_32040.1, SMRG1_32040.3, SMRG1_32060.1, SMRG1_32040.2	SRDH2_36560.3, SRDH2_36560.4, SRDH2_36560.5, SRDH2_36560.1, SRDH2_36560.2
OG0001106	SMRG1_69470.1, SMRG1_69470.2, SMRG1_69470.3	SRDH2_70610.4, SRDH2_70610.2, SRDH2_70610.1, SRDH2_70610.3
OG0001107	SMRG1_52040.1, SMRG1_52040.2, SMRG1_52040.3	SRDH2_52400.7, SRDH2_52400.1, SRDH2_52400.10, SRDH2_52400.2, SRDH2_52400.3, SRDH2_52400.4, SRDH2_52400.5, SRDH2_52400.6, SRDH2_52400.8, SRDH2_52400.9
OG0001108	SMRG1_28690.1, SMRG1_28690.3, SMRG1_28690.2	SRDH2_28990.1, SRDH2_28990.3, SRDH2_28990.5, SRDH2_28990.4, SRDH2_28990.2
OG0001109	SMRG1_34050.1, SMRG1_34050.2	SRDH2_35930.3, SRDH2_35930.1, SRDH2_35930.4, SRDH2_35930.2
OG0001110	SMRG1_3770.2, SMRG1_3770.3, SMRG1_3770.5, SMRG1_3770.1, SMRG1_3770.4	SRDH2_3990.1, SRDH2_3990.2, SRDH2_3990.3, SRDH2_3990.5, SRDH2_3990.4
OG0001111	SMRG1_49680.1, SMRG1_49680.2	SRDH2_49740.4, SRDH2_49740.5, SRDH2_49740.2, SRDH2_49740.3, SRDH2_49740.1
OG0001112	SMRG1_96830.1	SRDH2_98910.1
OG0001112	SMRG1_96810.1, SMRG1_96820.1	SRDH2_98900.1, SRDH2_98890.1
OG0001113	SMRG1_7410.6, SMRG1_7410.7, SMRG1_7410.2, SMRG1_7410.4, SMRG1_7410.1, SMRG1_7410.3, SMRG1_7410.5	SRDH2_7970.1, SRDH2_7970.3, SRDH2_7970.2
OG0001114	SMRG1_6380.1	SRDH2_6700.3
OG0001115	SMRG1_95650.1, SMRG1_95650.2, SMRG1_95650.3, SMRG1_95650.6, SMRG1_95650.4, SMRG1_95650.5	SRDH2_97690.2, SRDH2_97690.1, SRDH2_97690.3
OG0001116	SMRG1_82600.6, SMRG1_82600.1, SMRG1_82600.2, SMRG1_82600.3, SMRG1_82600.5, SMRG1_82600.4	SRDH2_84040.1, SRDH2_84040.3, SRDH2_84040.4, SRDH2_84040.2
OG0001117	SMRG1_14690.3, SMRG1_14690.1, SMRG1_14690.4, SMRG1_14690.2	SRDH2_15770.1
OG0001118	SMRG1_71840.2, SMRG1_71850.1, SMRG1_71840.1	SRDH2_74310.1, SRDH2_74310.2
OG0001119	SMRG1_65700.1, SMRG1_65700.2	SRDH2_67490.1
OG0001120	SMRG1_31660.1, SMRG1_31650.1	SRDH2_36930.1, SRDH2_36930.2, SRDH2_36930.4, SRDH2_36930.3
OG0001121	SMRG1_57260.1, SMRG1_57260.4, SMRG1_57260.6, SMRG1_57260.2, SMRG1_57260.3, SMRG1_57260.5	SRDH2_58200.1
OG0001122	SMRG1_79840.1, SMRG1_79840.2, SMRG1_79840.5, SMRG1_79840.3, SMRG1_79840.4, SMRG1_79840.6	SRDH2_81380.6, SRDH2_81380.2, SRDH2_81380.1, SRDH2_81380.5, SRDH2_81380.3, SRDH2_81380.4
OG0001123	SMRG1_91630.1, SMRG1_91630.2, SMRG1_91630.3	SRDH2_92270.1, SRDH2_92270.2
OG0001124	SMRG1_37990.2, SMRG1_37990.5, SMRG1_37990.1, SMRG1_37990.3, SMRG1_37990.4	SRDH2_31780.3, SRDH2_31780.1, SRDH2_31780.2
OG0001125	SMRG1_13250.1, SMRG1_13250.2, SMRG1_13250.3, SMRG1_13280.1, SMRG1_13280.2	SRDH2_12830.1
OG0001126	SMRG1_9720.1	SRDH2_10490.1
OG0001127	SMRG1_40260.3, SMRG1_40260.2, SMRG1_40260.1	SRDH2_40320.1, SRDH2_40320.3, SRDH2_40320.4, SRDH2_40320.6, SRDH2_40320.5, SRDH2_40320.2
OG0001128	SMRG1_76700.4, SMRG1_76700.5, SMRG1_76700.7, SMRG1_76700.6, SMRG1_76700.2, SMRG1_76700.1, SMRG1_76700.3, SMRG1_76700.8, SMRG1_76700.9	SRDH2_77980.1
OG0001129	SMRG1_37670.1, SMRG1_37680.1	SRDH2_37400.1
OG0001130	SMRG1_11510.1, SMRG1_11510.2, SMRG1_11510.3	SRDH2_13890.1, SRDH2_13890.3, SRDH2_13890.5, SRDH2_13890.2, SRDH2_13890.4
OG0001131	SMRG1_74580.1	SRDH2_75800.1, SRDH2_75800.2, SRDH2_75800.3
OG0001132	SMRG1_83890.4, SMRG1_83890.2, SMRG1_83890.3, SMRG1_83890.6, SMRG1_83890.1, SMRG1_83890.5	SRDH2_85460.1
OG0001133	SMRG1_97340.1	SRDH2_99580.1, SRDH2_99580.2
OG0001133	SMRG1_15560.1	SRDH2_16490.1
OG0001134	SMRG1_65930.1	SRDH2_65840.2, SRDH2_65840.4, SRDH2_65840.1, SRDH2_65840.5, SRDH2_65840.6, SRDH2_65840.3
OG0001135	SMRG1_34490.2, SMRG1_34490.3, SMRG1_34490.1, SMRG1_34490.4	SRDH2_38410.1
OG0001136	SMRG1_23680.1, SMRG1_23680.4, SMRG1_23680.3, SMRG1_23680.2	SRDH2_24070.1
OG0001137	SMRG1_54080.1	SRDH2_54460.1
OG0001138	SMRG1_19950.1	SRDH2_20970.1, SRDH2_20970.2, SRDH2_20970.3
OG0001139	SMRG1_37420.1	SRDH2_37640.2, SRDH2_37640.8, SRDH2_37640.4, SRDH2_37640.5, SRDH2_37640.1, SRDH2_37640.3, SRDH2_37640.7, SRDH2_37640.6
OG0001140	SMRG1_46930.1	SRDH2_47120.1, SRDH2_47120.10, SRDH2_47120.8, SRDH2_47120.6, SRDH2_47120.11, SRDH2_47120.12, SRDH2_47120.5, SRDH2_47120.7, SRDH2_47120.9, SRDH2_47120.2, SRDH2_47120.3, SRDH2_47120.4
OG0001141	SMRG1_80260.1, SMRG1_80240.1, SMRG1_80250.1, SMRG1_80230.1	SRDH2_81930.2, SRDH2_81930.1, SRDH2_81930.3
OG0001142	SMRG1_12550.1, SMRG1_12560.1	SRDH2_14980.1
OG0001143	SMRG1_63400.2, SMRG1_63400.3, SMRG1_63400.4, SMRG1_63400.5, SMRG1_63400.7, SMRG1_63400.1, SMRG1_63400.6	SRDH2_64360.1
OG0001144	SMRG1_36210.1	SRDH2_33710.1, SRDH2_33710.2, SRDH2_33710.3
OG0001145	SMRG1_66080.1, SMRG1_66080.2	SRDH2_66010.1, SRDH2_66010.2, SRDH2_66010.4, SRDH2_66010.3
OG0001146	SMRG1_4230.1, SMRG1_4230.2	SRDH2_4470.1, SRDH2_4460.1
OG0001147	SMRG1_7280.1	SRDH2_7830.3, SRDH2_7830.1, SRDH2_7830.2, SRDH2_7830.5, SRDH2_7830.6, SRDH2_7830.4
OG0001148	SMRG1_72590.1	SRDH2_72480.2, SRDH2_72480.7, SRDH2_72480.4, SRDH2_72480.5, SRDH2_72480.10, SRDH2_72480.8, SRDH2_72480.9, SRDH2_72480.1, SRDH2_72480.3, SRDH2_72480.6
OG0001149	SMRG1_78700.2, SMRG1_78700.3, SMRG1_78700.1, SMRG1_78700.5, SMRG1_78700.4	SRDH2_80140.3, SRDH2_80140.4, SRDH2_80140.1, SRDH2_80140.5, SRDH2_80140.2
OG0001150	SMRG1_52610.5, SMRG1_52610.1, SMRG1_52610.2, SMRG1_52610.3, SMRG1_52610.4	SRDH2_54010.1
OG0001151	SMRG1_90890.1	SRDH2_92930.1, SRDH2_92930.2
OG0001152	SMRG1_12340.1, SMRG1_12340.3, SMRG1_12340.4, SMRG1_12340.6, SMRG1_12340.7, SMRG1_12340.2, SMRG1_12340.5	SRDH2_14780.1
OG0001153	SMRG1_68790.1, SMRG1_68790.5, SMRG1_68790.4, SMRG1_68790.2, SMRG1_68790.3	SRDH2_70860.5, SRDH2_70860.3, SRDH2_70860.6, SRDH2_70860.4, SRDH2_70860.2, SRDH2_70860.1
OG0001154	SMRG1_44220.1, SMRG1_44220.2, SMRG1_44220.3, SMRG1_44220.4	SRDH2_44210.4, SRDH2_44210.5, SRDH2_44210.3, SRDH2_44210.1, SRDH2_44210.2
OG0001155	SMRG1_49110.3, SMRG1_49110.5, SMRG1_49110.1, SMRG1_49110.2, SMRG1_49110.4	SRDH2_49230.3, SRDH2_49230.2, SRDH2_49230.6, SRDH2_49230.4, SRDH2_49230.5, SRDH2_49230.7, SRDH2_49230.1
OG0001156	SMRG1_86710.1, SMRG1_86710.2, SMRG1_86720.1	SRDH2_101390.1, SRDH2_101390.2, SRDH2_101390.3
OG0001156	SMRG1_7240.1, SMRG1_7240.2	SRDH2_7780.1
OG0001157	SMRG1_63450.1	SRDH2_64390.16, SRDH2_64390.7, SRDH2_64390.13, SRDH2_64390.2, SRDH2_64390.12, SRDH2_64390.19, SRDH2_64390.20, SRDH2_64390.21, SRDH2_64390.14, SRDH2_64390.22, SRDH2_64390.17, SRDH2_64390.18, SRDH2_64390.9, SRDH2_64390.4, SRDH2_64390.11, SRDH2_64390.15, SRDH2_64390.5, SRDH2_64390.1, SRDH2_64390.3, SRDH2_64390.6, SRDH2_64390.8, SRDH2_64390.10
OG0001158	SMRG1_42680.1, SMRG1_42680.2, SMRG1_42680.3	SRDH2_42690.3, SRDH2_42690.2, SRDH2_42690.1, SRDH2_42690.4
OG0001159	SMRG1_93300.5, SMRG1_93300.10, SMRG1_93300.2, SMRG1_93300.3, SMRG1_93300.4, SMRG1_93300.8, SMRG1_93300.1, SMRG1_93300.11, SMRG1_93300.7, SMRG1_93300.9, SMRG1_93300.6	SRDH2_95150.1
OG0001160	SMRG1_20550.2, SMRG1_20550.3, SMRG1_20550.4, SMRG1_20550.5, SMRG1_20550.1	SRDH2_21690.1
