Orthogroup	schistosoma_margrebowiei	schistosoma_haematobium
OG0000521	SMRG1_71550.1	SHAE2_76030.9, SHAE2_76030.2, SHAE2_76030.8, SHAE2_76030.1, SHAE2_76030.7, SHAE2_76030.4, SHAE2_76030.3, SHAE2_76030.5, SHAE2_76030.6
OG0000522	SMRG1_57510.1, SMRG1_22480.1, SMRG1_22340.1, SMRG1_22530.1, SMRG1_22360.1, SMRG1_57480.1, SMRG1_57500.1, SMRG1_57520.1	SHAE2_60710.1, SHAE2_60950.1, SHAE2_60800.1, SHAE2_60550.1, SHAE2_60740.1, SHAE2_60780.1, SHAE2_60810.1, SHAE2_60960.1
OG0000523	SMRG1_77550.1	SHAE2_81460.1, SHAE2_81460.2, SHAE2_81460.3, SHAE2_81460.4, SHAE2_81460.5, SHAE2_81460.6, SHAE2_81460.7, SHAE2_81460.8
OG0000524	SMRG1_12020.1, SMRG1_12020.2, SMRG1_12020.3	SHAE2_14270.8, SHAE2_14270.6, SHAE2_14270.5, SHAE2_14270.7, SHAE2_14270.2, SHAE2_14270.3, SHAE2_14270.4, SHAE2_14270.1
OG0000525	SMRG1_51230.2	SHAE2_53810.5, SHAE2_53810.6
OG0000525	SMRG1_51230.4, SMRG1_51230.1, SMRG1_51230.3, SMRG1_51230.5	SHAE2_53810.3, SHAE2_53810.2, SHAE2_53810.1, SHAE2_53810.4
OG0000526	SMRG1_18060.5, SMRG1_18060.2, SMRG1_18060.1, SMRG1_18060.3, SMRG1_18060.4	SHAE2_19070.6, SHAE2_19070.1, SHAE2_19070.2, SHAE2_19070.3, SHAE2_19070.5, SHAE2_19070.4
OG0000527	SMRG1_18520.1, SMRG1_18520.2	SHAE2_102030.1, SHAE2_21260.5, SHAE2_21260.8, SHAE2_21260.1, SHAE2_21260.2, SHAE2_21260.3, SHAE2_21260.7, SHAE2_21260.9, SHAE2_21260.4, SHAE2_21260.6
OG0000528	SMRG1_32190.2, SMRG1_32190.5, SMRG1_32190.1, SMRG1_32190.6, SMRG1_32190.3, SMRG1_32190.4	SHAE2_34440.1
OG0000529	SMRG1_15180.1	SHAE2_17700.1
OG0000529	SMRG1_25600.1	SHAE2_27780.1
OG0000530	SMRG1_94400.1	SHAE2_98650.3, SHAE2_98650.4, SHAE2_98650.1, SHAE2_98650.2
OG0000530	SMRG1_97110.1	SHAE2_101290.1, SHAE2_101290.2
OG0000530	SMRG1_97120.1	SHAE2_101300.1
OG0000531	SMRG1_78270.2, SMRG1_78270.1, SMRG1_78270.3	SHAE2_82200.4, SHAE2_82200.2, SHAE2_82200.5, SHAE2_82200.3, SHAE2_82200.1
OG0000533	SMRG1_18710.1, SMRG1_18710.2, SMRG1_18710.3, SMRG1_18710.4	SHAE2_21390.1
OG0000534	SMRG1_72340.2, SMRG1_72340.3, SMRG1_72340.1, SMRG1_72340.8, SMRG1_72340.4, SMRG1_72340.6, SMRG1_72340.5, SMRG1_72340.7, SMRG1_72340.9	SHAE2_75330.2, SHAE2_75330.5, SHAE2_75330.4, SHAE2_75330.6, SHAE2_75330.1, SHAE2_75330.3
OG0000535	SMRG1_59230.1	SHAE2_62750.2, SHAE2_62750.1, SHAE2_62750.3
OG0000535	SMRG1_59260.1	SHAE2_62750.10
OG0000536	SMRG1_66570.1	SHAE2_70230.1, SHAE2_70230.2, SHAE2_70230.11, SHAE2_70230.3, SHAE2_70230.5, SHAE2_70230.10, SHAE2_70230.12, SHAE2_70230.4, SHAE2_70230.6, SHAE2_70230.8, SHAE2_70230.9, SHAE2_70230.7
OG0000537	SMRG1_54030.1	SHAE2_56720.1, SHAE2_56720.2, SHAE2_56720.3
OG0000538	SMRG1_86730.1, SMRG1_86740.1	SHAE2_91080.1
OG0000538	SMRG1_70110.1, SMRG1_70100.1	SHAE2_97610.1
OG0000539	SMRG1_47460.4, SMRG1_47460.1, SMRG1_47460.3, SMRG1_47460.2	SHAE2_50030.4, SHAE2_50030.3, SHAE2_50030.1, SHAE2_50030.2, SHAE2_50030.7, SHAE2_50030.6, SHAE2_50030.5, SHAE2_50030.8, SHAE2_50030.9
OG0000541	SMRG1_28930.3, SMRG1_28930.4, SMRG1_28930.8, SMRG1_28930.9, SMRG1_28930.2, SMRG1_28930.7, SMRG1_28930.1, SMRG1_28930.6, SMRG1_28930.5	SHAE2_31090.1
OG0000542	SMRG1_88230.1	SHAE2_92450.1, SHAE2_92450.8, SHAE2_92450.7, SHAE2_92450.6, SHAE2_92450.4, SHAE2_92450.3, SHAE2_92450.2, SHAE2_92450.5
OG0000543	SMRG1_14570.1, SMRG1_14570.2	SHAE2_17100.7, SHAE2_17100.6, SHAE2_17100.3, SHAE2_17100.1, SHAE2_17100.2, SHAE2_17100.4, SHAE2_17100.5, SHAE2_17100.8
OG0000544	SMRG1_80270.1, SMRG1_80270.2	SHAE2_84290.3, SHAE2_84290.6, SHAE2_84290.1, SHAE2_84290.2, SHAE2_84290.4, SHAE2_84290.5
OG0000545	SMRG1_47180.1	SHAE2_49820.1
OG0000545	SMRG1_70420.1, SMRG1_70420.2, SMRG1_70420.3, SMRG1_70420.5, SMRG1_70420.4	SHAE2_74160.3, SHAE2_74160.4, SHAE2_74160.1, SHAE2_74160.2
OG0000546	SMRG1_29650.1, SMRG1_29650.2	SHAE2_31850.8
OG0000547	SMRG1_89720.3, SMRG1_89720.2, SMRG1_89720.4, SMRG1_89720.7, SMRG1_89720.10, SMRG1_89720.1, SMRG1_89720.11, SMRG1_89720.12, SMRG1_89720.5, SMRG1_89720.6, SMRG1_89720.9, SMRG1_89720.13, SMRG1_89720.8	SHAE2_94020.3, SHAE2_94020.2, SHAE2_94020.1
OG0000548	SMRG1_29760.1, SMRG1_29760.3, SMRG1_29760.2, SMRG1_29760.4	SHAE2_31750.4, SHAE2_31750.1, SHAE2_31750.3, SHAE2_31750.2
OG0000549	SMRG1_10600.3, SMRG1_10600.4, SMRG1_10600.6, SMRG1_10600.5, SMRG1_10600.1, SMRG1_10600.2	SHAE2_12790.1, SHAE2_12790.2, SHAE2_12790.3, SHAE2_12790.4, SHAE2_12790.5
OG0000550	SMRG1_16320.3, SMRG1_16320.2, SMRG1_16320.1	SHAE2_20880.3, SHAE2_20880.1, SHAE2_20880.2
OG0000550	SMRG1_16330.1	SHAE2_20870.1
OG0000552	SMRG1_5260.2	SHAE2_6030.2
OG0000552	SMRG1_5260.1	SHAE2_6030.1
OG0000552	SMRG1_87250.3, SMRG1_87250.2	SHAE2_91550.2
OG0000552	SMRG1_87250.1	SHAE2_91550.1
OG0000553	SMRG1_95900.1	SHAE2_100050.1
OG0000554	SMRG1_10700.2, SMRG1_10700.1, SMRG1_10700.3, SMRG1_10700.4	SHAE2_12940.5, SHAE2_12940.6, SHAE2_12940.4, SHAE2_12940.1, SHAE2_12940.3, SHAE2_12940.2
OG0000555	SMRG1_43830.1, SMRG1_43830.2, SMRG1_43830.3	SHAE2_46400.2, SHAE2_46400.1, SHAE2_46400.3, SHAE2_46400.4
OG0000556	SMRG1_66460.3, SMRG1_66460.2, SMRG1_66460.1	SHAE2_70100.1
OG0000557	SMRG1_37840.1, SMRG1_37840.4, SMRG1_37840.5, SMRG1_37840.3, SMRG1_37840.6, SMRG1_37840.2	SHAE2_40680.10, SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7
OG0000558	SMRG1_17220.1	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8
OG0000559	SMRG1_81510.1, SMRG1_81510.3, SMRG1_81510.7, SMRG1_81510.4, SMRG1_81510.8, SMRG1_81510.2, SMRG1_81510.5, SMRG1_81510.6	SHAE2_85190.1, SHAE2_85190.2, SHAE2_85190.3, SHAE2_85190.4
OG0000560	SMRG1_97560.10, SMRG1_97560.6, SMRG1_97560.2, SMRG1_97560.3, SMRG1_97560.4, SMRG1_97560.5, SMRG1_97560.7, SMRG1_97560.8, SMRG1_97560.9, SMRG1_97560.1, SMRG1_97560.11	SHAE2_102210.1, SHAE2_102210.3, SHAE2_102210.2, SHAE2_102210.4
OG0000561	SMRG1_96300.1	SHAE2_100430.1
OG0000561	SMRG1_96310.1	SHAE2_100440.1
OG0000562	SMRG1_85450.3, SMRG1_85450.1, SMRG1_85450.2	SHAE2_89950.1
OG0000563	SMRG1_19460.1, SMRG1_19460.2, SMRG1_19460.3	SHAE2_23270.1, SHAE2_23270.7, SHAE2_23270.2, SHAE2_23270.3, SHAE2_23270.4, SHAE2_23270.5, SHAE2_23270.6
OG0000564	SMRG1_42220.1, SMRG1_42220.2	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4
OG0000567	SMRG1_66360.4	SHAE2_70010.11, SHAE2_70010.6
OG0000568	SMRG1_57310.1	SHAE2_60300.1
OG0000568	SMRG1_67620.1	SHAE2_71330.1
OG0000568	SMRG1_35030.1	SHAE2_37730.1
OG0000569	SMRG1_9260.10, SMRG1_9260.1, SMRG1_9260.15, SMRG1_9260.6, SMRG1_9260.11, SMRG1_9260.13, SMRG1_9260.3, SMRG1_9260.4, SMRG1_9260.7, SMRG1_9260.8, SMRG1_9260.9, SMRG1_9260.12, SMRG1_9260.14, SMRG1_9260.2, SMRG1_9260.5	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8
OG0000570	SMRG1_12540.1, SMRG1_12540.2	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14
OG0000571	SMRG1_8550.5, SMRG1_8550.6, SMRG1_8550.1, SMRG1_8550.2, SMRG1_8550.3, SMRG1_8550.4	SHAE2_10760.1
OG0000572	SMRG1_61480.1	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12
OG0000574	SMRG1_2740.1	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10
OG0000574	SMRG1_2790.1	SHAE2_3440.1, SHAE2_3440.2
OG0000575	SMRG1_95800.1, SMRG1_95800.2, SMRG1_95800.3	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6
OG0000576	SMRG1_44420.1	SHAE2_46950.1
OG0000577	SMRG1_53660.1, SMRG1_53660.4, SMRG1_53660.2, SMRG1_53660.3	SHAE2_56320.7, SHAE2_56320.1, SHAE2_56320.3, SHAE2_56320.4, SHAE2_56320.5, SHAE2_56320.2, SHAE2_56320.6
OG0000579	SMRG1_76120.1	SHAE2_80000.1
OG0000579	SMRG1_76150.1	SHAE2_80040.1
OG0000579	SMRG1_76130.1, SMRG1_76140.1	SHAE2_80010.1, SHAE2_80020.1
OG0000579	SMRG1_76170.1	SHAE2_80090.1
OG0000580	SMRG1_39280.4, SMRG1_39280.5, SMRG1_39280.3, SMRG1_39280.1, SMRG1_39280.2	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3
OG0000580	SMRG1_32420.1, SMRG1_32420.2, SMRG1_32420.3	SHAE2_34660.1, SHAE2_34660.2
OG0000581	SMRG1_59690.2, SMRG1_59690.1, SMRG1_59690.3, SMRG1_59690.4, SMRG1_59690.5, SMRG1_59700.1	SHAE2_65170.1, SHAE2_65170.2
OG0000582	SMRG1_83770.1	SHAE2_87460.1
OG0000582	SMRG1_83800.1	SHAE2_87470.1
OG0000582	SMRG1_83810.1	SHAE2_87480.1
OG0000583	SMRG1_60090.6, SMRG1_60090.2, SMRG1_60090.1, SMRG1_60090.5, SMRG1_60090.3, SMRG1_60090.4	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2
OG0000584	SMRG1_28570.1, SMRG1_28570.2	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8
OG0000585	SMRG1_5660.1, SMRG1_5660.2	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5
OG0000586	SMRG1_31140.5, SMRG1_31140.1, SMRG1_31140.2, SMRG1_31140.4, SMRG1_31140.3	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6
OG0000587	SMRG1_65570.1	SHAE2_69230.1
OG0000587	SMRG1_8980.1	SHAE2_11250.1
OG0000588	SMRG1_21450.7, SMRG1_21450.3, SMRG1_21450.2, SMRG1_21450.4, SMRG1_21450.5, SMRG1_21450.1, SMRG1_21450.6	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5
OG0000589	SMRG1_55430.1	SHAE2_58100.1
OG0000590	SMRG1_29300.1	SHAE2_31460.1
OG0000590	SMRG1_40790.1	SHAE2_43500.1
OG0000591	SMRG1_3340.9, SMRG1_3340.1, SMRG1_3340.5, SMRG1_3340.6, SMRG1_3340.7, SMRG1_3340.3, SMRG1_3340.8, SMRG1_3340.2, SMRG1_3340.4	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6
OG0000592	SMRG1_30960.10, SMRG1_30960.8, SMRG1_30960.1, SMRG1_30960.4, SMRG1_30960.2, SMRG1_30960.3, SMRG1_30960.5, SMRG1_30960.6, SMRG1_30960.11, SMRG1_30960.7, SMRG1_30960.9	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8
OG0000593	SMRG1_31840.1	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19
OG0000594	SMRG1_50050.3, SMRG1_50050.4, SMRG1_50050.1, SMRG1_50050.2	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11
OG0000595	SMRG1_48360.6, SMRG1_48360.7, SMRG1_48360.8, SMRG1_48360.1, SMRG1_48360.4, SMRG1_48360.5, SMRG1_48360.2, SMRG1_48360.3	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4
OG0000597	SMRG1_58040.1	SHAE2_61340.1
OG0000597	SMRG1_57820.1, SMRG1_57830.1, SMRG1_57830.2	SHAE2_61140.1
OG0000599	SMRG1_63230.2, SMRG1_63230.5, SMRG1_63230.4, SMRG1_63230.3, SMRG1_63230.1	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6
OG0000600	SMRG1_68250.6, SMRG1_68250.1, SMRG1_68250.2, SMRG1_68250.3, SMRG1_68250.4, SMRG1_68250.5	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2
OG0000601	SMRG1_96210.1	SHAE2_100350.1
OG0000601	SMRG1_41170.1	SHAE2_43860.1
OG0000602	SMRG1_14600.1, SMRG1_14600.2, SMRG1_14600.3, SMRG1_14600.4, SMRG1_14600.5, SMRG1_14600.6, SMRG1_14600.7, SMRG1_14600.8	SHAE2_17130.1
OG0000603	SMRG1_51060.3, SMRG1_51060.1, SMRG1_51060.2	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4
OG0000604	SMRG1_39460.1, SMRG1_39460.2, SMRG1_39460.4, SMRG1_39460.5, SMRG1_39460.9, SMRG1_39460.3, SMRG1_39460.6, SMRG1_39460.7, SMRG1_39460.8	SHAE2_42330.1, SHAE2_42330.2
OG0000605	SMRG1_27680.1	SHAE2_29810.1
OG0000605	SMRG1_27640.1	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3
OG0000607	SMRG1_31190.7, SMRG1_31190.6, SMRG1_31190.2, SMRG1_31190.4, SMRG1_31190.9, SMRG1_31190.3, SMRG1_31190.1, SMRG1_31190.8, SMRG1_31190.10, SMRG1_31190.12, SMRG1_31190.11, SMRG1_31190.5	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7
OG0000608	SMRG1_51440.3, SMRG1_51440.5, SMRG1_51440.1, SMRG1_51440.2, SMRG1_51440.4	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2
OG0000609	SMRG1_27530.1, SMRG1_27530.2	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8
OG0000610	SMRG1_28340.3, SMRG1_28340.2	SHAE2_30510.3
OG0000610	SMRG1_22730.1	SHAE2_24960.1
OG0000611	SMRG1_43460.1	SHAE2_46030.1
OG0000611	SMRG1_43490.1	SHAE2_46070.1, SHAE2_46050.1
OG0000611	SMRG1_43470.1, SMRG1_43480.1	SHAE2_46040.1, SHAE2_46060.1
OG0000612	SMRG1_8510.1, SMRG1_8510.2	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2
OG0000613	SMRG1_37200.1, SMRG1_37200.2, SMRG1_37200.4, SMRG1_37200.3	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3
OG0000614	SMRG1_44530.1	SHAE2_47130.1
OG0000615	SMRG1_12700.1, SMRG1_12700.2, SMRG1_12700.3, SMRG1_12700.4, SMRG1_12700.5, SMRG1_12700.6, SMRG1_12700.7	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3
OG0000616	SMRG1_60640.1	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4
OG0000617	SMRG1_82560.1, SMRG1_82560.2	SHAE2_86170.1
OG0000618	SMRG1_36540.8, SMRG1_36540.5, SMRG1_36540.4, SMRG1_36540.6, SMRG1_36540.3, SMRG1_36540.7, SMRG1_36540.1, SMRG1_36540.2	SHAE2_39350.1
OG0000620	SMRG1_14780.1	SHAE2_17340.1
OG0000620	SMRG1_46050.1, SMRG1_46050.3, SMRG1_46050.2, SMRG1_46050.4	SHAE2_49400.1
OG0000621	SMRG1_30120.4, SMRG1_30120.7, SMRG1_30120.5, SMRG1_30120.1	SHAE2_32320.1, SHAE2_32320.3
OG0000622	SMRG1_74030.1	SHAE2_77860.1
OG0000623	SMRG1_12530.1, SMRG1_12530.2	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4
OG0000624	SMRG1_29090.1, SMRG1_29090.2, SMRG1_29090.3, SMRG1_29090.4, SMRG1_29090.5	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8
OG0000625	SMRG1_37550.1, SMRG1_37550.2	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9
OG0000626	SMRG1_55250.7, SMRG1_55250.3, SMRG1_55250.5, SMRG1_55250.6, SMRG1_55250.4, SMRG1_55250.1	SHAE2_57930.2, SHAE2_57930.4
OG0000626	SMRG1_55250.2	SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6
OG0000627	SMRG1_11390.1	SHAE2_13710.6
OG0000628	SMRG1_59600.1, SMRG1_59600.5, SMRG1_59600.2, SMRG1_59600.7, SMRG1_59600.6, SMRG1_59600.3, SMRG1_59600.4	SHAE2_65260.1, SHAE2_65260.2
OG0000629	SMRG1_38870.3, SMRG1_38870.4, SMRG1_38880.1	SHAE2_41780.1
OG0000630	SMRG1_59280.1	SHAE2_62790.1
OG0000631	SMRG1_66500.1, SMRG1_66500.2	SHAE2_70150.1
OG0000631	SMRG1_59570.1	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4
OG0000632	SMRG1_12850.2, SMRG1_12850.1, SMRG1_12850.3, SMRG1_12850.5, SMRG1_12850.4, SMRG1_12850.7, SMRG1_12850.6	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4
OG0000633	SMRG1_53120.1, SMRG1_53120.2, SMRG1_53120.3, SMRG1_53120.4, SMRG1_53120.5, SMRG1_53120.6	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8
OG0000636	SMRG1_95960.5, SMRG1_95960.3, SMRG1_95960.4, SMRG1_95960.8, SMRG1_95960.7, SMRG1_95960.6, SMRG1_95960.1, SMRG1_95960.2	SHAE2_100110.1
OG0000637	SMRG1_50310.3, SMRG1_50310.1, SMRG1_50310.2, SMRG1_50310.4	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17
OG0000638	SMRG1_64770.1, SMRG1_64770.2	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3
OG0000639	SMRG1_62400.5, SMRG1_62400.1, SMRG1_62400.4, SMRG1_62400.2	SHAE2_65930.1
OG0000640	SMRG1_82000.2, SMRG1_82000.1, SMRG1_82000.3	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1
OG0000641	SMRG1_6420.1	SHAE2_7200.1
OG0000641	SMRG1_4340.1	SHAE2_5070.1
OG0000642	SMRG1_62460.2	SHAE2_66000.2
OG0000642	SMRG1_62460.1	SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4
OG0000643	SMRG1_52630.1	SHAE2_55330.1
OG0000643	SMRG1_52620.1	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3
OG0000644	SMRG1_96890.3, SMRG1_96890.4, SMRG1_96890.1, SMRG1_96890.2	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2
OG0000645	SMRG1_10030.1	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1
OG0000646	SMRG1_8540.1	SHAE2_10750.1
OG0000647	SMRG1_62660.4, SMRG1_62660.6, SMRG1_62660.1, SMRG1_62660.2, SMRG1_62660.3, SMRG1_62660.5, SMRG1_62660.7	SHAE2_66200.1
OG0000648	SMRG1_93230.1, SMRG1_93220.1	SHAE2_97430.1, SHAE2_97410.1
OG0000649	SMRG1_60960.1, SMRG1_60960.2, SMRG1_60960.3, SMRG1_60960.4, SMRG1_60960.5, SMRG1_60960.6	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3
OG0000650	SMRG1_78190.2, SMRG1_78190.1, SMRG1_78190.3, SMRG1_78190.4	SHAE2_82120.1
OG0000651	SMRG1_42020.4, SMRG1_42020.1, SMRG1_42020.2, SMRG1_42020.3	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5
OG0000652	SMRG1_40320.1	SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9
OG0000653	SMRG1_40980.1, SMRG1_40970.1, SMRG1_40970.2, SMRG1_40980.2	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2
OG0000654	SMRG1_58600.2, SMRG1_58600.1, SMRG1_58600.3	SHAE2_62100.1
OG0000655	SMRG1_82520.1, SMRG1_82520.2, SMRG1_82520.3, SMRG1_82520.4, SMRG1_82520.5	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8
OG0000656	SMRG1_76030.1	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6
OG0000657	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5
OG0000658	SMRG1_55100.1	SHAE2_98490.1, SHAE2_15610.1
OG0000659	SMRG1_42000.6	SHAE2_44630.4
