Orthogroup	schistosoma_margrebowiei	trichobilharzia_regenti
OG0000586	SMRG1_31140.5, SMRG1_31140.1, SMRG1_31140.2, SMRG1_31140.4, SMRG1_31140.3	TREG1_49800.1
OG0000587	SMRG1_65570.1	TREG1_136850.1
OG0000587	SMRG1_8980.1	TREG1_56930.1
OG0000588	SMRG1_21450.7, SMRG1_21450.3, SMRG1_21450.2, SMRG1_21450.4, SMRG1_21450.5, SMRG1_21450.1, SMRG1_21450.6	TREG1_29180.1, TREG1_29190.1, TREG1_29170.1, TREG1_29310.1
OG0000589	SMRG1_55430.4, SMRG1_55430.3, SMRG1_55430.5, SMRG1_55430.6, SMRG1_55430.1, SMRG1_55430.2	TREG1_77090.1, TREG1_77090.2
OG0000590	SMRG1_29300.1	TREG1_46410.1
OG0000590	SMRG1_40790.1	TREG1_45820.1
OG0000591	SMRG1_3340.9, SMRG1_3340.1, SMRG1_3340.5, SMRG1_3340.6, SMRG1_3340.7, SMRG1_3340.3, SMRG1_3340.8, SMRG1_3340.2, SMRG1_3340.4	TREG1_19270.1
OG0000592	SMRG1_30960.10, SMRG1_30960.8, SMRG1_30960.1, SMRG1_30960.4, SMRG1_30960.2, SMRG1_30960.3, SMRG1_30960.5, SMRG1_30960.6, SMRG1_30960.11, SMRG1_30960.7, SMRG1_30960.9	TREG1_45210.1
OG0000593	SMRG1_31840.1	TREG1_58530.1, TREG1_58530.2, TREG1_58530.3, TREG1_58530.4
OG0000594	SMRG1_50050.3, SMRG1_50050.4, SMRG1_50050.1, SMRG1_50050.2	TREG1_24250.1, TREG1_72460.1
OG0000595	SMRG1_48360.6, SMRG1_48360.7, SMRG1_48360.8, SMRG1_48360.1, SMRG1_48360.4, SMRG1_48360.5, SMRG1_48360.2, SMRG1_48360.3	TREG1_63690.1, TREG1_63690.2, TREG1_63690.3
OG0000597	SMRG1_58040.1, SMRG1_57820.1, SMRG1_57830.1, SMRG1_57830.2	TREG1_33750.3, TREG1_33750.1, TREG1_33780.1, TREG1_33750.2, TREG1_33750.4, TREG1_84260.1, TREG1_84200.1, TREG1_141400.1, TREG1_145040.1, TREG1_84210.1, TREG1_141390.1, TREG1_84250.1, TREG1_84250.2
OG0000598	SMRG1_12390.17, SMRG1_12390.1, SMRG1_12390.6, SMRG1_12390.4, SMRG1_12390.11, SMRG1_12390.13, SMRG1_12390.14, SMRG1_12390.16, SMRG1_12390.5, SMRG1_12390.7, SMRG1_12390.10, SMRG1_12390.12, SMRG1_12390.15, SMRG1_12390.9, SMRG1_12390.2, SMRG1_12390.3, SMRG1_12390.8	TREG1_137630.1, TREG1_76110.1, TREG1_76110.2, TREG1_76150.1, TREG1_76140.1
OG0000599	SMRG1_63230.2, SMRG1_63230.5, SMRG1_63230.4, SMRG1_63230.3, SMRG1_63230.1	TREG1_90170.2, TREG1_90170.1, TREG1_90170.3
OG0000600	SMRG1_68250.6, SMRG1_68250.1, SMRG1_68250.2, SMRG1_68250.3, SMRG1_68250.4, SMRG1_68250.5	TREG1_92180.1, TREG1_92180.2, TREG1_92180.3, TREG1_92180.4, TREG1_92180.5, TREG1_92180.6, TREG1_92180.7, TREG1_92180.8, TREG1_92180.9
OG0000601	SMRG1_96200.1, SMRG1_96200.2, SMRG1_96210.1	TREG1_131690.1
OG0000601	SMRG1_41170.1	TREG1_56660.1
OG0000602	SMRG1_14600.1, SMRG1_14600.2, SMRG1_14600.3, SMRG1_14600.4, SMRG1_14600.5, SMRG1_14600.6, SMRG1_14600.7, SMRG1_14600.8	TREG1_21030.1, TREG1_21030.2, TREG1_21030.3, TREG1_21030.4
OG0000603	SMRG1_51060.3, SMRG1_51060.1, SMRG1_51060.2	TREG1_74520.1
OG0000605	SMRG1_27680.1, SMRG1_27680.2	TREG1_60080.1, TREG1_60080.6, TREG1_60080.2, TREG1_60080.3, TREG1_60080.4, TREG1_60080.5
OG0000605	SMRG1_27640.1	TREG1_59030.1
OG0000607	SMRG1_31190.7, SMRG1_31190.6, SMRG1_31190.2, SMRG1_31190.4, SMRG1_31190.9, SMRG1_31190.3, SMRG1_31190.1, SMRG1_31190.8, SMRG1_31190.10, SMRG1_31190.12, SMRG1_31190.11, SMRG1_31190.5	TREG1_49850.1, TREG1_49850.2
OG0000608	SMRG1_51440.3, SMRG1_51440.5, SMRG1_51440.1, SMRG1_51440.2, SMRG1_51440.4	TREG1_68600.6, TREG1_68600.5, TREG1_68600.3, TREG1_68600.1, TREG1_68600.2, TREG1_68600.4
OG0000609	SMRG1_27530.1, SMRG1_27530.2	TREG1_60290.1, TREG1_60280.1, TREG1_60280.2
OG0000610	SMRG1_28340.3, SMRG1_28340.2	TREG1_48560.1
OG0000610	SMRG1_22730.1	TREG1_61090.1, TREG1_61090.2
OG0000611	SMRG1_43460.1, SMRG1_43490.1, SMRG1_43470.1, SMRG1_43480.1	TREG1_39480.1, TREG1_39460.1
OG0000612	SMRG1_8510.1, SMRG1_8510.2	TREG1_11300.1
OG0000613	SMRG1_37200.1, SMRG1_37200.2, SMRG1_37200.4, SMRG1_37200.3	TREG1_50280.1
OG0000614	SMRG1_44530.2, SMRG1_44530.1	TREG1_39240.5, TREG1_39240.1, TREG1_39240.2, TREG1_39240.3, TREG1_39240.4
OG0000615	SMRG1_12700.1, SMRG1_12700.2, SMRG1_12700.3, SMRG1_12700.4, SMRG1_12700.5, SMRG1_12700.6, SMRG1_12700.7	TREG1_28100.1, TREG1_28100.2
OG0000616	SMRG1_60640.1	TREG1_79530.1
OG0000617	SMRG1_82560.1, SMRG1_82560.2	TREG1_113250.10, TREG1_113250.11, TREG1_113250.6, TREG1_113250.12, TREG1_113250.7, TREG1_113250.4, TREG1_113250.2, TREG1_113250.8, TREG1_113250.9, TREG1_113250.1, TREG1_113250.3, TREG1_113250.5
OG0000618	SMRG1_36540.8, SMRG1_36540.5, SMRG1_36540.4, SMRG1_36540.6, SMRG1_36540.3, SMRG1_36540.7, SMRG1_36540.1, SMRG1_36540.2	TREG1_54300.1, TREG1_54290.1, TREG1_54290.2
OG0000619	SMRG1_1260.3, SMRG1_1260.1, SMRG1_1260.5, SMRG1_1260.2, SMRG1_1260.4	TREG1_7450.1
OG0000620	SMRG1_14780.1	TREG1_137380.1
OG0000620	SMRG1_46050.1, SMRG1_46050.3, SMRG1_46050.2, SMRG1_46050.4	TREG1_61470.1
OG0000621	SMRG1_30120.4, SMRG1_30120.7, SMRG1_30120.5, SMRG1_30120.1, SMRG1_30120.2, SMRG1_30120.3, SMRG1_30120.6	TREG1_47640.1
OG0000622	SMRG1_74030.1	TREG1_107710.3, TREG1_107710.1, TREG1_107710.2, TREG1_107710.4
OG0000623	SMRG1_12530.1, SMRG1_12530.2	TREG1_10780.1
OG0000624	SMRG1_29090.1, SMRG1_29090.2, SMRG1_29090.3, SMRG1_29090.4, SMRG1_29090.5	TREG1_52600.1, TREG1_52600.2
OG0000625	SMRG1_37550.1, SMRG1_37550.2	TREG1_39770.1, TREG1_39760.1
OG0000626	SMRG1_55250.7, SMRG1_55250.3, SMRG1_55250.5, SMRG1_55250.6, SMRG1_55250.4, SMRG1_55250.1, SMRG1_55250.2	TREG1_76310.1, TREG1_76310.2, TREG1_76310.3
OG0000627	SMRG1_11390.2, SMRG1_11390.3, SMRG1_11390.1	TREG1_15320.1
OG0000628	SMRG1_59600.1, SMRG1_59600.5, SMRG1_59600.2, SMRG1_59600.7, SMRG1_59600.6, SMRG1_59600.3, SMRG1_59600.4	TREG1_91720.1, TREG1_91710.1
OG0000629	SMRG1_38870.3, SMRG1_38870.4, SMRG1_38880.1	TREG1_41520.1, TREG1_41520.2, TREG1_41520.3
OG0000630	SMRG1_59280.1	TREG1_80480.6, TREG1_80480.1, TREG1_80480.2, TREG1_80480.3, TREG1_80480.4, TREG1_80480.5, TREG1_141830.5, TREG1_141840.2, TREG1_141840.3, TREG1_141830.6, TREG1_141830.7, TREG1_28320.1, TREG1_28320.2, TREG1_28320.4, TREG1_28320.5, TREG1_28320.3, TREG1_28320.7, TREG1_28320.8, TREG1_28320.9, TREG1_141830.2, TREG1_141840.1, TREG1_28320.6, TREG1_141840.6, TREG1_141830.4, TREG1_141840.5, TREG1_141840.7, TREG1_141830.1, TREG1_141830.3, TREG1_141840.4, TREG1_141840.8
OG0000631	SMRG1_66500.1, SMRG1_66500.2	TREG1_90310.1, TREG1_90320.1, TREG1_39130.1, TREG1_39130.2
OG0000631	SMRG1_59570.1	TREG1_91760.1
OG0000632	SMRG1_12850.2, SMRG1_12850.1, SMRG1_12850.3, SMRG1_12850.5, SMRG1_12850.4, SMRG1_12850.7, SMRG1_12850.6	TREG1_30130.1
OG0000633	SMRG1_53120.1, SMRG1_53120.2, SMRG1_53120.3, SMRG1_53120.4, SMRG1_53120.5, SMRG1_53120.6	TREG1_73110.4, TREG1_73120.1, TREG1_73110.1, TREG1_73110.2, TREG1_73110.3
OG0000636	SMRG1_95960.5, SMRG1_95960.3, SMRG1_95960.4, SMRG1_95960.8, SMRG1_95960.7, SMRG1_95960.6, SMRG1_95960.1, SMRG1_95960.2	TREG1_131330.1
OG0000637	SMRG1_50310.3, SMRG1_50310.1, SMRG1_50310.2, SMRG1_50310.4	TREG1_66150.1
OG0000638	SMRG1_64770.1, SMRG1_64770.2	TREG1_90220.4, TREG1_90220.3, TREG1_90220.5, TREG1_90220.7, TREG1_90220.1, TREG1_90220.2, TREG1_90220.6
OG0000639	SMRG1_62400.3, SMRG1_62400.6, SMRG1_62400.7, SMRG1_62400.5, SMRG1_62400.1, SMRG1_62400.4, SMRG1_62400.2	TREG1_84310.6, TREG1_84310.1, TREG1_84310.5, TREG1_84310.4, TREG1_84310.2, TREG1_84310.3
OG0000640	SMRG1_85500.1, SMRG1_85500.2, SMRG1_85600.1, SMRG1_85490.1, SMRG1_81940.1, SMRG1_82000.2, SMRG1_82000.1, SMRG1_82000.3	TREG1_114550.3, TREG1_114550.4, TREG1_114550.2, TREG1_114550.1
OG0000641	SMRG1_6420.1	TREG1_4100.1
OG0000641	SMRG1_4340.1	TREG1_4590.1, TREG1_4590.2
OG0000642	SMRG1_62460.2, SMRG1_62460.1	TREG1_82100.1
OG0000643	SMRG1_52630.1	TREG1_66730.1
OG0000643	SMRG1_52620.1	TREG1_66710.1, TREG1_66720.1, TREG1_66720.2, TREG1_66720.3
OG0000644	SMRG1_96890.3, SMRG1_96890.4, SMRG1_96890.1, SMRG1_96890.2	TREG1_135490.1, TREG1_135500.2, TREG1_135500.1, TREG1_135500.3, TREG1_135500.4
OG0000645	SMRG1_10030.1	TREG1_7290.1, TREG1_7300.1
OG0000646	SMRG1_8540.1	TREG1_12070.1
OG0000647	SMRG1_62660.4, SMRG1_62660.6, SMRG1_62660.1, SMRG1_62660.2, SMRG1_62660.3, SMRG1_62660.5, SMRG1_62660.7	TREG1_91240.1
OG0000648	SMRG1_93230.1, SMRG1_93220.1	TREG1_128180.1
OG0000649	SMRG1_60960.1, SMRG1_60960.2, SMRG1_60960.3, SMRG1_60960.4, SMRG1_60960.5, SMRG1_60960.6	TREG1_84730.1
OG0000650	SMRG1_78190.2, SMRG1_78190.1, SMRG1_78190.3, SMRG1_78190.4	TREG1_106110.1, TREG1_106110.2
OG0000651	SMRG1_42020.4, SMRG1_42020.1, SMRG1_42020.2, SMRG1_42020.3	TREG1_37070.2, TREG1_37070.1, TREG1_37070.3, TREG1_37070.4
OG0000652	SMRG1_40320.1, SMRG1_40310.1	TREG1_40740.1
OG0000653	SMRG1_40980.1, SMRG1_40970.1, SMRG1_40970.2, SMRG1_40980.2	TREG1_57150.1, TREG1_57150.2
OG0000654	SMRG1_58600.4, SMRG1_58600.5, SMRG1_58600.2, SMRG1_58600.1, SMRG1_58600.3	TREG1_51530.1
OG0000655	SMRG1_82520.1, SMRG1_82520.2, SMRG1_82520.3, SMRG1_82520.4, SMRG1_82520.5	TREG1_113670.1, TREG1_113690.1, TREG1_113690.2, TREG1_113690.3
OG0000656	SMRG1_76030.1	TREG1_98900.1
OG0000657	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6	TREG1_125680.1
OG0000659	SMRG1_42000.6, SMRG1_42000.5, SMRG1_42000.1, SMRG1_42000.2, SMRG1_42000.3, SMRG1_42000.4, SMRG1_42000.7	TREG1_40290.1, TREG1_40290.2, TREG1_40290.3
OG0000662	SMRG1_52850.1	TREG1_69970.1
OG0000663	SMRG1_38150.2, SMRG1_38150.1, SMRG1_38150.3	TREG1_45970.1
OG0000664	SMRG1_11930.1, SMRG1_11930.2	TREG1_8950.1, TREG1_8950.2, TREG1_8950.3
OG0000665	SMRG1_73660.1, SMRG1_73660.2	TREG1_96280.1, TREG1_96290.1
OG0000666	SMRG1_62390.1, SMRG1_62390.2, SMRG1_62390.3, SMRG1_62390.4	TREG1_84300.1, TREG1_84300.2, TREG1_84300.3
OG0000667	SMRG1_5930.6, SMRG1_5930.8, SMRG1_5930.10, SMRG1_5930.2, SMRG1_5930.3, SMRG1_5930.9, SMRG1_5930.1, SMRG1_5930.5, SMRG1_5930.4, SMRG1_5930.7	TREG1_5970.1, TREG1_5970.2
OG0000668	SMRG1_53030.2, SMRG1_53030.5, SMRG1_53030.1, SMRG1_53030.3, SMRG1_53030.4	TREG1_73220.1
OG0000669	SMRG1_69860.1, SMRG1_69860.2, SMRG1_69860.3, SMRG1_69860.4, SMRG1_69860.5	TREG1_93060.1, TREG1_93060.2, TREG1_93060.3
OG0000670	SMRG1_44830.1	TREG1_30700.1, TREG1_30700.2
OG0000671	SMRG1_77210.3, SMRG1_77210.1, SMRG1_77210.2	TREG1_101960.6, TREG1_101960.3, TREG1_101960.10, TREG1_101960.7, TREG1_101960.9, TREG1_101960.2, TREG1_101960.5, TREG1_101960.1, TREG1_101960.4, TREG1_101960.8
OG0000672	SMRG1_44450.1	TREG1_43270.1, TREG1_43270.4, TREG1_43270.3, TREG1_43270.2, TREG1_43270.5, TREG1_43270.7, TREG1_43270.6
OG0000673	SMRG1_15670.9, SMRG1_15670.5, SMRG1_15670.6, SMRG1_15670.8, SMRG1_15670.7, SMRG1_15670.1, SMRG1_15670.2, SMRG1_15670.3, SMRG1_15670.4	TREG1_25990.1
OG0000674	SMRG1_78710.1, SMRG1_78710.2, SMRG1_78710.3	TREG1_98100.1, TREG1_98100.3, TREG1_98100.5, TREG1_98100.2, TREG1_98100.4, TREG1_98100.6
OG0000675	SMRG1_72810.5, SMRG1_72810.2, SMRG1_72810.1, SMRG1_72810.4, SMRG1_72810.3	TREG1_10590.1, TREG1_102190.1, TREG1_10580.1
OG0000676	SMRG1_82470.1, SMRG1_82470.2, SMRG1_82470.3, SMRG1_82470.4, SMRG1_82470.5, SMRG1_82470.6, SMRG1_82470.7, SMRG1_82470.8, SMRG1_82470.9	TREG1_112140.1, TREG1_112140.2, TREG1_112140.3, TREG1_112140.4, TREG1_112140.5, TREG1_112140.6
OG0000677	SMRG1_5010.1, SMRG1_5010.8, SMRG1_5010.11, SMRG1_5010.9, SMRG1_5010.16, SMRG1_5010.17, SMRG1_5010.14, SMRG1_5010.15, SMRG1_5010.4, SMRG1_5010.13, SMRG1_5010.6, SMRG1_5010.5, SMRG1_5010.12, SMRG1_5010.10, SMRG1_5010.7, SMRG1_5010.3, SMRG1_5010.2	TREG1_4970.2, TREG1_4970.1, TREG1_4970.5, TREG1_4970.3, TREG1_4970.4, TREG1_4970.6
OG0000678	SMRG1_34530.1, SMRG1_34530.2, SMRG1_34530.3	TREG1_52150.2, TREG1_52150.3, TREG1_52150.4, TREG1_52150.1, TREG1_52150.5
OG0000679	SMRG1_72880.1	TREG1_100810.1
OG0000680	SMRG1_18070.3, SMRG1_18070.1, SMRG1_18070.4, SMRG1_18070.5, SMRG1_18070.2	TREG1_9130.1
OG0000681	SMRG1_34960.5, SMRG1_34960.8, SMRG1_34960.9, SMRG1_34960.1, SMRG1_34960.4, SMRG1_34960.2, SMRG1_34960.3, SMRG1_34960.6, SMRG1_34960.7	TREG1_57420.1
OG0000682	SMRG1_43300.1, SMRG1_43300.2	TREG1_42600.1
OG0000683	SMRG1_55630.1, SMRG1_55630.2	TREG1_77370.1, TREG1_137520.1, TREG1_77370.2
OG0000683	SMRG1_67830.1, SMRG1_67830.2	TREG1_91590.1
OG0000684	SMRG1_85390.1, SMRG1_85390.2, SMRG1_85390.3	TREG1_110030.2, TREG1_110030.1, TREG1_110030.3, TREG1_110030.4
OG0000685	SMRG1_75830.4, SMRG1_75830.3, SMRG1_75830.5, SMRG1_75830.7, SMRG1_75830.10, SMRG1_75830.6, SMRG1_75830.9, SMRG1_75830.1, SMRG1_75830.2, SMRG1_75830.8	TREG1_100060.5, TREG1_100060.1, TREG1_100060.6, TREG1_100060.7, TREG1_100060.8, TREG1_100060.2, TREG1_100060.3, TREG1_100060.4
OG0000686	SMRG1_60750.1, SMRG1_60750.2	TREG1_79590.1, TREG1_79590.2, TREG1_79590.7, TREG1_79590.3, TREG1_79590.4, TREG1_79590.5, TREG1_79590.6, TREG1_79590.8, TREG1_79590.9
OG0000687	SMRG1_26980.3, SMRG1_26980.7, SMRG1_26980.6, SMRG1_26980.10, SMRG1_26980.8, SMRG1_26980.9, SMRG1_26980.4, SMRG1_26980.5, SMRG1_26980.2, SMRG1_26980.1	TREG1_141160.1, TREG1_60450.1, TREG1_60450.2
OG0000688	SMRG1_1230.10, SMRG1_1230.11, SMRG1_1230.7, SMRG1_1230.8, SMRG1_1230.9, SMRG1_1230.1, SMRG1_1230.2, SMRG1_1230.3, SMRG1_1230.4, SMRG1_1230.5, SMRG1_1230.6	TREG1_14320.1, TREG1_14320.2
OG0000689	SMRG1_2780.1	TREG1_144110.1, TREG1_19100.1
OG0000690	SMRG1_22770.1	TREG1_61050.1
OG0000692	SMRG1_17910.1, SMRG1_17910.2	TREG1_19830.5, TREG1_19830.1, TREG1_19830.6, TREG1_19830.8, TREG1_19830.2, TREG1_19830.7, TREG1_19830.3, TREG1_19830.4, TREG1_19830.9
OG0000695	SMRG1_97420.1	TREG1_135010.1
OG0000695	SMRG1_45860.1, SMRG1_45860.2, SMRG1_45860.3, SMRG1_45860.4, SMRG1_45860.5	TREG1_31440.1
OG0000696	SMRG1_5180.1, SMRG1_5180.2, SMRG1_5190.1	TREG1_19050.1, TREG1_19050.2, TREG1_19050.3, TREG1_19050.4
OG0000697	SMRG1_40400.1	TREG1_34750.1
OG0000698	SMRG1_16990.1, SMRG1_16990.2, SMRG1_16990.3, SMRG1_16990.4, SMRG1_16990.5	TREG1_15140.7, TREG1_15140.6, TREG1_15140.4, TREG1_15140.3, TREG1_15140.5, TREG1_15140.1, TREG1_15140.2
OG0000699	SMRG1_33080.1	TREG1_53170.2, TREG1_53170.3, TREG1_53170.4
OG0000699	SMRG1_46370.2, SMRG1_46370.1, SMRG1_46370.3	TREG1_62360.1
OG0000700	SMRG1_28330.1	TREG1_37450.1
OG0000700	SMRG1_23950.1	TREG1_37550.1
OG0000700	SMRG1_23960.1, SMRG1_23970.1	TREG1_37530.1
OG0000701	SMRG1_59930.1, SMRG1_59930.2	TREG1_83860.1
OG0000702	SMRG1_87970.1	TREG1_123490.1
OG0000703	SMRG1_1670.1, SMRG1_1670.2	TREG1_14050.1
OG0000704	SMRG1_48910.1, SMRG1_48920.1	TREG1_139800.1, TREG1_139800.2, TREG1_139800.3, TREG1_121550.1, TREG1_121560.1, TREG1_52080.1
OG0000705	SMRG1_5860.1, SMRG1_5860.4, SMRG1_5860.2, SMRG1_5860.3	TREG1_2090.1
OG0000706	SMRG1_43640.1	TREG1_57640.1
OG0000706	SMRG1_52930.3, SMRG1_52930.2, SMRG1_52930.1	TREG1_72900.1
OG0000707	SMRG1_95590.1, SMRG1_95590.2, SMRG1_95590.3	TREG1_134230.1
OG0000708	SMRG1_37340.1, SMRG1_37340.3, SMRG1_37340.2, SMRG1_37340.4, SMRG1_37340.5	TREG1_47360.1, TREG1_47360.2, TREG1_47360.5, TREG1_47360.8, TREG1_47360.3, TREG1_47360.6, TREG1_47360.7, TREG1_47360.4
OG0000709	SMRG1_43900.4, SMRG1_43900.2, SMRG1_43900.1, SMRG1_43900.3	TREG1_42750.2, TREG1_42750.3, TREG1_42750.4, TREG1_42750.5, TREG1_42750.7, TREG1_42820.1, TREG1_42750.8, TREG1_42750.9, TREG1_42750.13, TREG1_42750.6, TREG1_42750.12, TREG1_42750.1, TREG1_42750.10, TREG1_42750.11, TREG1_42820.4, TREG1_42820.7, TREG1_42820.5, TREG1_42820.3, TREG1_42820.6, TREG1_42820.2
OG0000710	SMRG1_7620.1, SMRG1_7630.1	TREG1_14120.2, TREG1_14120.4, TREG1_14120.3, TREG1_14120.5, TREG1_14120.1
OG0000711	SMRG1_75040.4, SMRG1_75040.1, SMRG1_75040.3, SMRG1_75040.2	TREG1_98590.1
OG0000712	SMRG1_53310.4, SMRG1_53310.6, SMRG1_53310.1, SMRG1_53310.2, SMRG1_53310.3, SMRG1_53310.7, SMRG1_53310.8, SMRG1_53310.5	TREG1_70290.1
OG0000713	SMRG1_71530.1	TREG1_103330.1, TREG1_103330.4, TREG1_103330.8, TREG1_103330.7, TREG1_103330.3, TREG1_103330.2, TREG1_103330.5, TREG1_103330.6, TREG1_103330.9
OG0000714	SMRG1_46830.1	TREG1_63640.1
OG0000715	SMRG1_27470.1, SMRG1_27470.2, SMRG1_27470.3	TREG1_36380.1, TREG1_36380.2
OG0000716	SMRG1_11250.1, SMRG1_11250.2, SMRG1_11250.3	TREG1_13890.6, TREG1_13890.2, TREG1_13890.3, TREG1_13890.4, TREG1_13890.5, TREG1_13890.1, TREG1_13890.8, TREG1_13890.7
OG0000717	SMRG1_61830.1	TREG1_81580.1
OG0000718	SMRG1_75320.5, SMRG1_75320.1, SMRG1_75320.2, SMRG1_75320.4, SMRG1_75320.3	TREG1_107380.1
OG0000719	SMRG1_55640.1, SMRG1_55640.2, SMRG1_55640.3, SMRG1_55640.4	TREG1_77360.4, TREG1_77360.3, TREG1_77360.1, TREG1_77360.2
OG0000720	SMRG1_77440.1, SMRG1_77440.2, SMRG1_77440.3, SMRG1_77440.4	TREG1_103950.1
OG0000721	SMRG1_46240.3, SMRG1_46240.1, SMRG1_46240.2, SMRG1_46240.4, SMRG1_46240.5	TREG1_63250.3, TREG1_63250.1, TREG1_63250.2, TREG1_63250.4
OG0000722	SMRG1_5070.2, SMRG1_5070.1, SMRG1_5070.3, SMRG1_5070.4	TREG1_19000.1
OG0000723	SMRG1_77200.3, SMRG1_77200.1, SMRG1_77200.2, SMRG1_77200.4	TREG1_101970.1, TREG1_101970.2
OG0000724	SMRG1_42070.5, SMRG1_42070.6, SMRG1_42070.2, SMRG1_42070.1, SMRG1_42070.3, SMRG1_42070.4	TREG1_37000.2, TREG1_37000.1, TREG1_37000.3
OG0000725	SMRG1_77510.4, SMRG1_77510.2, SMRG1_77510.1, SMRG1_77510.3	TREG1_100210.1
OG0000726	SMRG1_29910.1, SMRG1_29910.2, SMRG1_29910.5, SMRG1_29910.3, SMRG1_29910.4	TREG1_47910.1
OG0000726	SMRG1_29920.1, SMRG1_29920.2	TREG1_47920.1
OG0000727	SMRG1_38770.1, SMRG1_38770.2, SMRG1_38770.3	TREG1_37140.1, TREG1_37140.2
OG0000728	SMRG1_49060.2, SMRG1_49060.5, SMRG1_49060.6, SMRG1_49060.4, SMRG1_49060.1, SMRG1_49060.3	TREG1_68340.5, TREG1_68340.1, TREG1_68340.3, TREG1_68340.4, TREG1_68340.2
OG0000729	SMRG1_8470.1, SMRG1_8470.4, SMRG1_8470.2, SMRG1_8470.3	TREG1_11210.1
OG0000730	SMRG1_60700.8, SMRG1_60700.4, SMRG1_60700.7, SMRG1_60700.1, SMRG1_60700.2, SMRG1_60700.3, SMRG1_60700.5, SMRG1_60700.6	TREG1_79640.1, TREG1_79640.2, TREG1_79640.3, TREG1_79640.4
OG0000731	SMRG1_76820.5, SMRG1_76820.6, SMRG1_76820.7, SMRG1_76820.1, SMRG1_76820.3, SMRG1_76820.2, SMRG1_76820.4	TREG1_105330.1
OG0000732	SMRG1_3400.1	TREG1_19240.3, TREG1_19240.1, TREG1_19240.2
OG0000733	SMRG1_2700.1	TREG1_19150.6, TREG1_19150.4, TREG1_19150.5, TREG1_19150.3, TREG1_19150.1, TREG1_19150.2
OG0000736	SMRG1_78630.1, SMRG1_78630.2, SMRG1_78630.3, SMRG1_78630.4	TREG1_102340.1, TREG1_35810.1
OG0000737	SMRG1_9480.1, SMRG1_9480.2, SMRG1_9480.3	TREG1_12800.1
OG0000738	SMRG1_70510.2, SMRG1_70510.1, SMRG1_70510.3, SMRG1_70510.4	TREG1_96570.1, TREG1_96580.1
OG0000738	SMRG1_70500.1	TREG1_96560.1
OG0000739	SMRG1_57450.3, SMRG1_57450.1, SMRG1_57450.2	TREG1_76840.1, TREG1_76850.1
OG0000740	SMRG1_8010.6, SMRG1_8010.10, SMRG1_8010.11, SMRG1_8010.12, SMRG1_8010.13, SMRG1_8010.5, SMRG1_8010.7, SMRG1_8010.8, SMRG1_8010.9, SMRG1_8010.1, SMRG1_8010.2, SMRG1_8010.3, SMRG1_8010.14, SMRG1_8010.15, SMRG1_8010.4	TREG1_6910.1, TREG1_6880.1, TREG1_6880.10, TREG1_6880.3, TREG1_6880.4, TREG1_6880.5, TREG1_6880.6, TREG1_6880.8, TREG1_6880.9, TREG1_6880.2, TREG1_6880.7
OG0000741	SMRG1_84980.1, SMRG1_84980.3, SMRG1_84980.6, SMRG1_84980.8, SMRG1_84980.2, SMRG1_84980.4, SMRG1_84980.5, SMRG1_84980.7	TREG1_110370.4, TREG1_110470.1
OG0000742	SMRG1_72850.1, SMRG1_27920.1	TREG1_74450.1, TREG1_74450.2, TREG1_74450.3, TREG1_74450.4, TREG1_130150.1, TREG1_55170.1, TREG1_48960.1, TREG1_48960.2
OG0000743	SMRG1_21390.7, SMRG1_21390.1, SMRG1_21390.2, SMRG1_21390.3, SMRG1_21390.4, SMRG1_21390.5, SMRG1_21390.6	TREG1_29150.1
OG0000744	SMRG1_3480.1	TREG1_4420.1
OG0000745	SMRG1_38110.6, SMRG1_38110.5, SMRG1_38110.7, SMRG1_38110.8, SMRG1_38110.2, SMRG1_38110.1, SMRG1_38110.3, SMRG1_38110.4	TREG1_55280.1, TREG1_55270.1
OG0000746	SMRG1_60040.1	TREG1_84080.1
OG0000748	SMRG1_70930.1	TREG1_96600.1, TREG1_96630.1, TREG1_96630.2, TREG1_96630.3, TREG1_96630.4
OG0000749	SMRG1_70310.1	TREG1_96410.10, TREG1_96410.7, TREG1_96410.8, TREG1_96410.9, TREG1_96410.1, TREG1_96410.3, TREG1_96410.6, TREG1_96410.4, TREG1_96410.2, TREG1_96410.5
OG0000750	SMRG1_74940.1, SMRG1_74940.2, SMRG1_74940.3	TREG1_98330.1
OG0000751	SMRG1_5220.1, SMRG1_2390.1, SMRG1_2240.1	TREG1_12870.1, TREG1_12870.4, TREG1_12870.2, TREG1_12870.3
OG0000752	SMRG1_94020.1, SMRG1_94020.2, SMRG1_94020.3	TREG1_132330.1, TREG1_132330.2
OG0000752	SMRG1_94070.1	TREG1_132250.1
OG0000753	SMRG1_83590.12, SMRG1_83590.1, SMRG1_83590.2, SMRG1_83590.5, SMRG1_83590.6, SMRG1_83590.10, SMRG1_83590.11, SMRG1_83590.13, SMRG1_83590.3, SMRG1_83590.4, SMRG1_83590.7, SMRG1_83590.8, SMRG1_83590.9	TREG1_113690.7, TREG1_113690.8, TREG1_113690.9, TREG1_113690.5, TREG1_113770.1, TREG1_113690.6
