Orthogroup	schistosoma_margrebowiei	fasciola_gigantica
OG0000880	SMRG1_80040.1, SMRG1_80040.2, SMRG1_80040.3, SMRG1_80040.6, SMRG1_80040.4, SMRG1_80040.5, SMRG1_80040.7	FGIG_03926
OG0000881	SMRG1_4400.1	FGIG_04172
OG0000881	SMRG1_91920.1	FGIG_04278
OG0000882	SMRG1_22070.1, SMRG1_22070.2	FGIG_05170
OG0000882	SMRG1_40230.3, SMRG1_40230.2, SMRG1_40230.1	FGIG_04211
OG0000883	SMRG1_40220.1, SMRG1_40220.2, SMRG1_40220.3, SMRG1_40220.4, SMRG1_40220.5	FGIG_04212
OG0000884	SMRG1_39450.1, SMRG1_39450.3, SMRG1_39450.4, SMRG1_39450.2	FGIG_04519
OG0000885	SMRG1_1690.1	FGIG_06559, FGIG_04824
OG0000886	SMRG1_71120.2, SMRG1_71120.1	FGIG_06109
OG0000887	SMRG1_19130.1	FGIG_07211
OG0000888	SMRG1_79180.1, SMRG1_79190.1, SMRG1_79190.2	FGIG_07235
OG0000889	SMRG1_27870.1, SMRG1_27870.2	FGIG_07370
OG0000890	SMRG1_41120.4, SMRG1_41120.1, SMRG1_41120.2, SMRG1_41120.3, SMRG1_41120.5, SMRG1_41120.6, SMRG1_41120.7, SMRG1_41120.8	FGIG_07609
OG0000891	SMRG1_37360.4, SMRG1_37360.5, SMRG1_37360.1, SMRG1_37360.3, SMRG1_37360.8, SMRG1_37360.9, SMRG1_37360.2, SMRG1_37360.7, SMRG1_37360.6	FGIG_08269
OG0000892	SMRG1_52560.1, SMRG1_52560.5, SMRG1_52560.2, SMRG1_52560.6, SMRG1_52560.3, SMRG1_52560.4	FGIG_08300
OG0000894	SMRG1_88820.1, SMRG1_88820.2	FGIG_09025
OG0000895	SMRG1_44270.4, SMRG1_44270.1, SMRG1_44270.2, SMRG1_44270.3	FGIG_09033, FGIG_10887, FGIG_11622
OG0000896	SMRG1_20850.1, SMRG1_20870.1, SMRG1_20870.2	FGIG_09198, FGIG_11521
OG0000897	SMRG1_9670.1, SMRG1_9670.2, SMRG1_9680.1	FGIG_09238, FGIG_09239
OG0000898	SMRG1_72680.2, SMRG1_72680.8, SMRG1_72680.1, SMRG1_72680.10, SMRG1_72680.11, SMRG1_72680.5, SMRG1_72680.6, SMRG1_72680.7, SMRG1_72680.9, SMRG1_72680.12, SMRG1_72680.3, SMRG1_72680.4, SMRG1_72680.13	FGIG_09340
OG0000899	SMRG1_13890.1	FGIG_09861
OG0000900	SMRG1_3500.1, SMRG1_3500.2	FGIG_09928, FGIG_10894, FGIG_11511
OG0000901	SMRG1_63150.1, SMRG1_63150.2, SMRG1_63150.3, SMRG1_63150.4, SMRG1_63150.5, SMRG1_63150.6, SMRG1_63150.7	FGIG_09929
OG0000902	SMRG1_55690.1, SMRG1_55690.2, SMRG1_55690.3, SMRG1_55690.4, SMRG1_55690.5, SMRG1_55690.6	FGIG_10069
OG0000903	SMRG1_14860.1, SMRG1_14860.2	FGIG_10099, FGIG_12212
OG0000904	SMRG1_4900.1, SMRG1_4900.2, SMRG1_4900.3, SMRG1_4900.6, SMRG1_4900.4, SMRG1_4900.5	FGIG_10256
OG0000905	SMRG1_79340.3, SMRG1_79340.4, SMRG1_79340.1, SMRG1_79340.2	FGIG_12473, FGIG_10853
OG0000906	SMRG1_64470.1, SMRG1_64470.2, SMRG1_64470.3, SMRG1_64470.4, SMRG1_64470.5	FGIG_11785
OG0000907	SMRG1_75160.2, SMRG1_75160.1	FGIG_12114
OG0000910	SMRG1_7780.1	FGIG_00237
OG0000911	SMRG1_58680.1, SMRG1_58680.7, SMRG1_58680.2, SMRG1_58680.3, SMRG1_58680.6, SMRG1_58680.4, SMRG1_58680.5	FGIG_01294, FGIG_01295
OG0000912	SMRG1_6180.1, SMRG1_6180.2	FGIG_01540
OG0000913	SMRG1_31530.1, SMRG1_31530.3, SMRG1_31530.2, SMRG1_31530.4, SMRG1_31530.5	FGIG_01566, FGIG_05409, FGIG_02080, FGIG_02081
OG0000914	SMRG1_38590.3, SMRG1_38590.1, SMRG1_38590.2, SMRG1_38590.4, SMRG1_38590.5	FGIG_01782
OG0000915	SMRG1_29630.2, SMRG1_29630.4, SMRG1_29630.3, SMRG1_29630.1	FGIG_02191
OG0000916	SMRG1_39710.1	FGIG_02554
OG0000917	SMRG1_84890.4, SMRG1_84890.1, SMRG1_84890.2, SMRG1_84890.3	FGIG_02688, FGIG_12358, FGIG_11883
OG0000918	SMRG1_26900.4, SMRG1_26900.1, SMRG1_26900.2, SMRG1_26900.3	FGIG_02932
OG0000919	SMRG1_85210.1, SMRG1_85210.2, SMRG1_85210.3	FGIG_03174
OG0000920	SMRG1_96260.1	FGIG_03229
OG0000921	SMRG1_43750.1, SMRG1_43750.5, SMRG1_43750.4, SMRG1_43750.3, SMRG1_43750.2, SMRG1_43750.6, SMRG1_43750.7	FGIG_03378
OG0000922	SMRG1_6590.1, SMRG1_6600.1	FGIG_08404
OG0000922	SMRG1_6580.1	FGIG_03416, FGIG_03417, FGIG_03413, FGIG_03412, FGIG_08184, FGIG_03414, FGIG_03415
OG0000923	SMRG1_94480.1	FGIG_03937
OG0000925	SMRG1_15970.3, SMRG1_15970.4, SMRG1_15970.1, SMRG1_15970.2	FGIG_03997
OG0000926	SMRG1_27170.1	FGIG_04108, FGIG_04107
OG0000927	SMRG1_19200.1, SMRG1_19200.2, SMRG1_19200.4, SMRG1_19200.6, SMRG1_19200.7, SMRG1_19200.3, SMRG1_19200.5	FGIG_04164
OG0000928	SMRG1_32330.2, SMRG1_32330.3, SMRG1_32330.1, SMRG1_32330.4, SMRG1_32330.7, SMRG1_32330.8, SMRG1_32330.10, SMRG1_32330.9, SMRG1_32340.1, SMRG1_32330.5, SMRG1_32330.6	FGIG_05151
OG0000929	SMRG1_65540.3, SMRG1_65540.1, SMRG1_65540.2	FGIG_05247
OG0000930	SMRG1_42690.1, SMRG1_42690.3, SMRG1_42690.2, SMRG1_42690.4	FGIG_05414
OG0000931	SMRG1_71800.1, SMRG1_71800.3, SMRG1_71800.5, SMRG1_71800.2, SMRG1_71800.4	FGIG_05808, FGIG_05809, FGIG_05812
OG0000932	SMRG1_790.1	FGIG_05937
OG0000933	SMRG1_39790.1	FGIG_06615
OG0000934	SMRG1_9800.1	FGIG_06893, FGIG_06892
OG0000935	SMRG1_64870.1	FGIG_06948
OG0000936	SMRG1_95330.2, SMRG1_95330.4, SMRG1_95330.3, SMRG1_95330.5, SMRG1_95330.1	FGIG_07247, FGIG_12684
OG0000937	SMRG1_54810.3, SMRG1_54810.1, SMRG1_54810.2	FGIG_08721, FGIG_07320
OG0000938	SMRG1_61040.4, SMRG1_61040.1, SMRG1_61040.2, SMRG1_61040.3	FGIG_07574
OG0000939	SMRG1_88020.4, SMRG1_88020.3, SMRG1_88020.1, SMRG1_88020.2, SMRG1_88020.5	FGIG_08083
OG0000940	SMRG1_5540.1, SMRG1_5540.2, SMRG1_5540.3	FGIG_08529
OG0000941	SMRG1_32150.2, SMRG1_32150.4, SMRG1_32150.1, SMRG1_32150.3	FGIG_08549
OG0000942	SMRG1_15540.4, SMRG1_15540.5, SMRG1_15540.2, SMRG1_15540.1, SMRG1_15540.3	FGIG_08647
OG0000943	SMRG1_28840.1, SMRG1_28840.4, SMRG1_28840.5, SMRG1_28840.2, SMRG1_28840.3, SMRG1_28840.6	FGIG_12262, FGIG_08967
OG0000944	SMRG1_58460.1	FGIG_08996
OG0000945	SMRG1_10920.1, SMRG1_10920.2	FGIG_11567, FGIG_10084
OG0000946	SMRG1_8380.1, SMRG1_8380.2	FGIG_10162
OG0000947	SMRG1_38910.4, SMRG1_38910.1, SMRG1_38910.2, SMRG1_38910.5, SMRG1_38910.6, SMRG1_38910.7, SMRG1_38910.3	FGIG_10405
OG0000948	SMRG1_82460.1, SMRG1_82460.2	FGIG_10715
OG0000949	SMRG1_15720.1, SMRG1_15710.1, SMRG1_15710.2	FGIG_11029, FGIG_12400
OG0000950	SMRG1_53900.3, SMRG1_53900.4, SMRG1_53900.6, SMRG1_53900.8, SMRG1_53900.7, SMRG1_53900.2, SMRG1_53900.5, SMRG1_53900.9, SMRG1_53900.1	FGIG_11337
OG0000951	SMRG1_94420.1, SMRG1_94420.2	FGIG_11751
OG0000952	SMRG1_29580.1, SMRG1_29580.2	FGIG_11963
OG0000953	SMRG1_63260.2, SMRG1_63260.1, SMRG1_63260.3, SMRG1_63260.5, SMRG1_63260.6, SMRG1_63260.7, SMRG1_63260.4	FGIG_12056
OG0000954	SMRG1_81040.1, SMRG1_81040.2, SMRG1_81040.4, SMRG1_81040.5, SMRG1_81040.6, SMRG1_81040.7, SMRG1_81040.8, SMRG1_81040.3, SMRG1_81040.9	FGIG_12353
OG0000958	SMRG1_13190.1, SMRG1_13190.2, SMRG1_13190.3, SMRG1_13190.4	FGIG_00120
OG0000959	SMRG1_70550.1	FGIG_00122
OG0000960	SMRG1_21340.1, SMRG1_21340.2	FGIG_00387, FGIG_06998
OG0000961	SMRG1_38940.1, SMRG1_38940.2, SMRG1_38940.4, SMRG1_38940.5, SMRG1_38940.6, SMRG1_38940.3	FGIG_01111
OG0000962	SMRG1_75140.4, SMRG1_75140.6, SMRG1_75140.1, SMRG1_75140.2, SMRG1_75140.5, SMRG1_75140.3, SMRG1_75140.7	FGIG_01352, FGIG_10661
OG0000963	SMRG1_2330.1	FGIG_07862, FGIG_01440, FGIG_01439
OG0000964	SMRG1_40880.4, SMRG1_40880.1, SMRG1_40880.2, SMRG1_40880.3	FGIG_09268, FGIG_01648
OG0000965	SMRG1_63980.7, SMRG1_63980.8, SMRG1_63980.5, SMRG1_63980.6, SMRG1_63980.3, SMRG1_63980.4, SMRG1_63980.1, SMRG1_63980.2	FGIG_02037
OG0000966	SMRG1_36280.1	FGIG_07892
OG0000966	SMRG1_49730.1	FGIG_02145
OG0000967	SMRG1_35510.1	FGIG_02147
OG0000968	SMRG1_2670.1	FGIG_02274
OG0000969	SMRG1_82320.1	FGIG_04795
OG0000969	SMRG1_82330.1	FGIG_02776, FGIG_11524
OG0000970	SMRG1_70220.2, SMRG1_70220.1, SMRG1_70220.3, SMRG1_70220.4, SMRG1_70160.1, SMRG1_70170.1, SMRG1_70240.1, SMRG1_70190.1, SMRG1_70250.1, SMRG1_70260.1, SMRG1_70180.1	FGIG_03075
OG0000971	SMRG1_1710.1, SMRG1_1710.2, SMRG1_1710.3	FGIG_03179, FGIG_13983
OG0000972	SMRG1_5850.3, SMRG1_5850.6, SMRG1_5850.1, SMRG1_5850.2, SMRG1_5850.5, SMRG1_5850.7, SMRG1_5850.8, SMRG1_5850.9, SMRG1_5850.4	FGIG_11948, FGIG_03784
OG0000973	SMRG1_24120.1, SMRG1_24140.2, SMRG1_24130.1, SMRG1_24140.1	FGIG_03899
OG0000974	SMRG1_56020.3, SMRG1_56020.4, SMRG1_56020.2, SMRG1_56020.1	FGIG_04084
OG0000975	SMRG1_5700.1, SMRG1_5690.1	FGIG_09679, FGIG_09681, FGIG_04437, FGIG_09882
OG0000976	SMRG1_9900.3, SMRG1_9900.1, SMRG1_9900.7, SMRG1_9900.2, SMRG1_9900.4, SMRG1_9900.5, SMRG1_9900.6	FGIG_04455
OG0000977	SMRG1_11530.1, SMRG1_11530.2, SMRG1_11530.3	FGIG_04668
OG0000978	SMRG1_21010.1, SMRG1_21010.2, SMRG1_21010.3, SMRG1_21010.6, SMRG1_21010.4, SMRG1_21010.5, SMRG1_21010.7	FGIG_04760
OG0000979	SMRG1_74300.3, SMRG1_74300.1, SMRG1_74300.2, SMRG1_74300.4	FGIG_06407, FGIG_04838, FGIG_06406
OG0000980	SMRG1_52640.1, SMRG1_52640.2	FGIG_04979
OG0000981	SMRG1_40200.3, SMRG1_40200.1, SMRG1_40200.2, SMRG1_40200.4	FGIG_05295, FGIG_09246
OG0000982	SMRG1_64930.2, SMRG1_64930.1, SMRG1_64930.3, SMRG1_64930.5, SMRG1_64930.4	FGIG_05391
OG0000983	SMRG1_15110.1, SMRG1_15110.2, SMRG1_15110.3, SMRG1_15110.4, SMRG1_15110.5	FGIG_05642
OG0000984	SMRG1_34920.3, SMRG1_34920.2, SMRG1_34920.1, SMRG1_34920.4, SMRG1_34920.5	FGIG_08758, FGIG_05698
OG0000985	SMRG1_15690.2, SMRG1_15690.3, SMRG1_15690.1	FGIG_05895
OG0000986	SMRG1_73440.1, SMRG1_73440.2	FGIG_07315, FGIG_06076
OG0000987	SMRG1_84080.4, SMRG1_84080.5, SMRG1_84080.1, SMRG1_84080.10, SMRG1_84080.11, SMRG1_84080.12, SMRG1_84080.15, SMRG1_84080.3, SMRG1_84080.7, SMRG1_84080.8, SMRG1_84080.9, SMRG1_84080.13, SMRG1_84080.14, SMRG1_84080.6, SMRG1_84080.2	FGIG_06114
OG0000988	SMRG1_57670.1, SMRG1_57670.4, SMRG1_57670.2, SMRG1_57670.3	FGIG_06297
OG0000989	SMRG1_52000.1, SMRG1_52000.2, SMRG1_52000.3, SMRG1_52000.4	FGIG_11034, FGIG_06813
OG0000990	SMRG1_4540.2, SMRG1_4540.3, SMRG1_4540.1, SMRG1_4540.4	FGIG_07158, FGIG_12628
OG0000991	SMRG1_59270.1	FGIG_07197
OG0000992	SMRG1_44500.1	FGIG_07340
OG0000993	SMRG1_78640.1, SMRG1_78640.2, SMRG1_78640.3	FGIG_08844
OG0000994	SMRG1_33950.3, SMRG1_33950.1, SMRG1_33950.2, SMRG1_33950.4	FGIG_10501, FGIG_09627
OG0000995	SMRG1_80910.2, SMRG1_80910.5, SMRG1_80910.4, SMRG1_80910.3, SMRG1_80910.1	FGIG_10198
OG0000996	SMRG1_65070.1	FGIG_10353
OG0000997	SMRG1_89850.1, SMRG1_89850.2, SMRG1_89850.3	FGIG_10470
OG0000998	SMRG1_56280.10, SMRG1_56280.3, SMRG1_56280.9, SMRG1_56280.11, SMRG1_56280.7, SMRG1_56280.4, SMRG1_56280.8, SMRG1_56280.1, SMRG1_56280.2, SMRG1_56280.5, SMRG1_56280.6, SMRG1_56280.12, SMRG1_56280.13, SMRG1_56280.14, SMRG1_56280.15	FGIG_10771
OG0001000	SMRG1_6800.1, SMRG1_6800.2, SMRG1_6800.4, SMRG1_6800.3	FGIG_12086, FGIG_12087
OG0001009	SMRG1_89040.1	FGIG_10563
OG0001010	SMRG1_60490.1, SMRG1_60490.2, SMRG1_60490.3	FGIG_00263
OG0001011	SMRG1_39750.1	FGIG_00583
OG0001012	SMRG1_4940.1, SMRG1_4940.2, SMRG1_4940.3, SMRG1_4940.4	FGIG_00716, FGIG_12423
OG0001013	SMRG1_13300.6, SMRG1_13300.5, SMRG1_13300.4, SMRG1_13300.1, SMRG1_13300.3, SMRG1_13300.2	FGIG_00937
OG0001014	SMRG1_3910.1, SMRG1_3910.6, SMRG1_3910.8, SMRG1_3910.9, SMRG1_3910.10, SMRG1_3910.2, SMRG1_3910.3, SMRG1_3910.4, SMRG1_3910.7, SMRG1_3910.5	FGIG_01167
OG0001015	SMRG1_38380.1	FGIG_01288
OG0001016	SMRG1_37780.1, SMRG1_37780.2, SMRG1_37780.3, SMRG1_37780.4	FGIG_01491
OG0001017	SMRG1_15090.3, SMRG1_15090.1, SMRG1_15090.2, SMRG1_15090.4	FGIG_01516, FGIG_01517
OG0001018	SMRG1_29810.2, SMRG1_29810.3, SMRG1_29810.1	FGIG_02109
OG0001019	SMRG1_42480.4, SMRG1_42480.2, SMRG1_42480.3, SMRG1_42480.1, SMRG1_42480.5	FGIG_02200
OG0001020	SMRG1_10500.1	FGIG_02310
OG0001021	SMRG1_29560.1, SMRG1_29560.2	FGIG_02501
OG0001022	SMRG1_20810.2, SMRG1_20810.1, SMRG1_20810.3, SMRG1_20810.4	FGIG_02913, FGIG_08770, FGIG_08768
OG0001023	SMRG1_63660.1, SMRG1_63660.2, SMRG1_63660.3	FGIG_03103
OG0001024	SMRG1_78750.1, SMRG1_78750.2, SMRG1_78750.3, SMRG1_78750.4, SMRG1_78750.5, SMRG1_78750.6	FGIG_03356
OG0001025	SMRG1_89460.1, SMRG1_89460.2	FGIG_12668, FGIG_03893, FGIG_10500
OG0001026	SMRG1_50300.1, SMRG1_50300.2	FGIG_03951
OG0001027	SMRG1_960.1, SMRG1_960.2, SMRG1_960.3, SMRG1_960.4, SMRG1_960.5, SMRG1_960.6	FGIG_04042
OG0001028	SMRG1_55950.2, SMRG1_55950.1, SMRG1_55950.4, SMRG1_55950.3	FGIG_04078
OG0001029	SMRG1_50490.1	FGIG_04129, FGIG_04130
OG0001030	SMRG1_28960.1, SMRG1_28960.3, SMRG1_28960.2	FGIG_04177
OG0001031	SMRG1_72640.1, SMRG1_72640.10, SMRG1_72640.13, SMRG1_72640.14, SMRG1_72640.15, SMRG1_72640.17, SMRG1_72640.18, SMRG1_72640.2, SMRG1_72640.5, SMRG1_72640.6, SMRG1_72640.7, SMRG1_72640.8, SMRG1_72640.11, SMRG1_72640.12, SMRG1_72640.3, SMRG1_72640.4, SMRG1_72640.9, SMRG1_72640.16	FGIG_04662
OG0001032	SMRG1_65090.2, SMRG1_65090.1	FGIG_04868
OG0001033	SMRG1_72720.2, SMRG1_72720.3, SMRG1_72720.5, SMRG1_72720.1, SMRG1_72720.4	FGIG_04915, FGIG_04916
OG0001034	SMRG1_54620.1, SMRG1_54610.3, SMRG1_54610.4, SMRG1_54610.1, SMRG1_54610.2	FGIG_05173
OG0001035	SMRG1_55150.1, SMRG1_55160.1	FGIG_05181, FGIG_11101
OG0001036	SMRG1_17540.1	FGIG_05654
OG0001037	SMRG1_20780.1, SMRG1_20780.3, SMRG1_20780.5, SMRG1_20780.4, SMRG1_20780.2	FGIG_07174, FGIG_05783
OG0001038	SMRG1_480.1, SMRG1_480.2, SMRG1_480.3, SMRG1_480.4, SMRG1_480.5, SMRG1_480.6	FGIG_05873
OG0001039	SMRG1_27460.2, SMRG1_27460.5, SMRG1_27460.1, SMRG1_27460.4, SMRG1_27460.6, SMRG1_27460.3	FGIG_06217, FGIG_05903
OG0001040	SMRG1_82570.4, SMRG1_82570.5, SMRG1_82570.2, SMRG1_82570.1, SMRG1_82570.3	FGIG_06139
OG0001041	SMRG1_95550.1, SMRG1_95550.3, SMRG1_95550.4, SMRG1_95550.2	FGIG_06435
OG0001042	SMRG1_11420.1	FGIG_08094, FGIG_08095
OG0001043	SMRG1_49050.1, SMRG1_49050.2	FGIG_06983, FGIG_06984
OG0001044	SMRG1_68020.1, SMRG1_68020.2, SMRG1_68020.3	FGIG_07014
OG0001045	SMRG1_67500.2, SMRG1_67500.1, SMRG1_67500.3	FGIG_07163
OG0001046	SMRG1_51690.1, SMRG1_51690.2	FGIG_08519, FGIG_11328
OG0001047	SMRG1_97020.9, SMRG1_97020.5, SMRG1_97020.10, SMRG1_97020.6, SMRG1_97020.1, SMRG1_97020.8, SMRG1_97020.7, SMRG1_97020.3, SMRG1_97020.2, SMRG1_97020.4	FGIG_08858
OG0001048	SMRG1_78690.1, SMRG1_78690.4	FGIG_08890
OG0001049	SMRG1_55770.4, SMRG1_55770.2, SMRG1_55770.1, SMRG1_55770.3	FGIG_08971
OG0001050	SMRG1_62890.1, SMRG1_62890.3, SMRG1_62890.2	FGIG_09019
OG0001051	SMRG1_88880.1	FGIG_09084
OG0001052	SMRG1_55740.2, SMRG1_55740.3, SMRG1_55740.1	FGIG_09153
OG0001053	SMRG1_64120.2, SMRG1_64120.1	FGIG_09535
OG0001054	SMRG1_11180.1, SMRG1_11180.2, SMRG1_11180.5, SMRG1_11180.6, SMRG1_11180.3, SMRG1_11180.4	FGIG_10019
OG0001055	SMRG1_38800.1, SMRG1_38800.2	FGIG_10263
OG0001056	SMRG1_58430.5, SMRG1_58430.4, SMRG1_58430.6, SMRG1_58430.7, SMRG1_58430.3, SMRG1_58430.2, SMRG1_58430.1	FGIG_10435
OG0001057	SMRG1_88740.1, SMRG1_88740.3, SMRG1_88740.2	FGIG_10952
OG0001058	SMRG1_59850.1, SMRG1_59850.2, SMRG1_59850.3, SMRG1_59850.4, SMRG1_59850.5, SMRG1_59850.6, SMRG1_59850.7, SMRG1_59850.8, SMRG1_59850.9, SMRG1_59860.2, SMRG1_59860.1	FGIG_11110, FGIG_11111
OG0001059	SMRG1_17980.1, SMRG1_17980.2, SMRG1_17980.3, SMRG1_17980.4, SMRG1_17980.5, SMRG1_17980.6, SMRG1_17980.7	FGIG_11177
OG0001060	SMRG1_64410.1, SMRG1_64410.2, SMRG1_64410.3	FGIG_11797, FGIG_11343, FGIG_11342
OG0001068	SMRG1_76460.1	FGIG_00040
OG0001070	SMRG1_63710.1, SMRG1_63710.2	FGIG_03027
OG0001070	SMRG1_76860.1	FGIG_00667
OG0001071	SMRG1_65750.2, SMRG1_65750.3, SMRG1_65750.1, SMRG1_65750.4	FGIG_07533, FGIG_00739
OG0001072	SMRG1_42520.1	FGIG_01150
OG0001073	SMRG1_18140.2, SMRG1_18140.3, SMRG1_18140.4, SMRG1_18140.5, SMRG1_18140.7, SMRG1_18140.1, SMRG1_18140.6	FGIG_01202, FGIG_01203
OG0001074	SMRG1_27660.1, SMRG1_27660.2, SMRG1_27660.6, SMRG1_27660.5, SMRG1_27660.7, SMRG1_27660.3, SMRG1_27660.4	FGIG_01210
OG0001075	SMRG1_62450.4, SMRG1_62450.2, SMRG1_62450.3, SMRG1_62450.1	FGIG_01512
OG0001076	SMRG1_47000.1, SMRG1_47000.4, SMRG1_47000.2, SMRG1_47000.5, SMRG1_47000.3	FGIG_01548
OG0001077	SMRG1_50800.1	FGIG_01785, FGIG_06860
OG0001078	SMRG1_59450.1	FGIG_01797, FGIG_12525
OG0001079	SMRG1_75960.1	FGIG_04699
OG0001080	SMRG1_74430.1, SMRG1_74430.2, SMRG1_74430.4, SMRG1_74430.3	FGIG_02556
OG0001081	SMRG1_33980.1, SMRG1_33980.2	FGIG_03048
OG0001082	SMRG1_49320.1, SMRG1_49320.2, SMRG1_49320.3, SMRG1_49320.4, SMRG1_49320.5	FGIG_03102
OG0001083	SMRG1_95690.3, SMRG1_95690.2, SMRG1_95690.1	FGIG_03601
OG0001084	SMRG1_21230.1, SMRG1_21230.2, SMRG1_21230.3	FGIG_03671
OG0001086	SMRG1_71470.1	FGIG_03975, FGIG_03974
OG0001087	SMRG1_51910.1, SMRG1_51910.2	FGIG_06664
OG0001088	SMRG1_24740.4, SMRG1_24740.3, SMRG1_24740.1, SMRG1_24740.2	FGIG_04337
OG0001089	SMRG1_65720.4, SMRG1_65720.5, SMRG1_65720.1, SMRG1_65720.6, SMRG1_65720.7, SMRG1_65720.3	FGIG_04339
OG0001090	SMRG1_97330.1, SMRG1_97330.2, SMRG1_97330.3, SMRG1_97330.4, SMRG1_97330.5	FGIG_04584
OG0001091	SMRG1_49220.1, SMRG1_49220.3, SMRG1_49220.4, SMRG1_49220.5, SMRG1_49220.6, SMRG1_49220.7, SMRG1_49220.2, SMRG1_49220.8	FGIG_04846
OG0001092	SMRG1_70400.1, SMRG1_70400.2, SMRG1_70400.8, SMRG1_70400.3, SMRG1_70400.4, SMRG1_70400.5, SMRG1_70400.6, SMRG1_70400.7	FGIG_05033
OG0001093	SMRG1_82160.1, SMRG1_82160.2, SMRG1_82160.3	FGIG_05118, FGIG_08573
OG0001094	SMRG1_36760.3, SMRG1_36760.2, SMRG1_36760.1	FGIG_10015, FGIG_05520
OG0001095	SMRG1_51620.3, SMRG1_51620.7, SMRG1_51620.1, SMRG1_51620.5, SMRG1_51620.8, SMRG1_51620.6, SMRG1_51620.2, SMRG1_51620.4	FGIG_05851
OG0001096	SMRG1_18950.1, SMRG1_18950.2, SMRG1_18950.3	FGIG_06037
OG0001097	SMRG1_68600.1	FGIG_11329, FGIG_06852, FGIG_06111
OG0001098	SMRG1_31970.1	FGIG_06590
OG0001099	SMRG1_93720.1	FGIG_09675
OG0001099	SMRG1_93710.1, SMRG1_93710.2, SMRG1_93710.3	FGIG_06592, FGIG_11369
OG0001100	SMRG1_69980.1, SMRG1_69980.3, SMRG1_69980.2	FGIG_10246, FGIG_06668
OG0001101	SMRG1_46310.1	FGIG_06746, FGIG_09913
OG0001102	SMRG1_63030.1, SMRG1_63030.2, SMRG1_63030.3	FGIG_06752
OG0001103	SMRG1_95570.1, SMRG1_95570.2, SMRG1_95570.4, SMRG1_95570.3	FGIG_06925
OG0001104	SMRG1_63010.4, SMRG1_63010.1, SMRG1_63010.2, SMRG1_63010.3	FGIG_07204, FGIG_07205
OG0001105	SMRG1_32040.1, SMRG1_32040.3, SMRG1_32060.1, SMRG1_32040.2	FGIG_07324
OG0001106	SMRG1_69470.1, SMRG1_69470.2, SMRG1_69470.3	FGIG_07485
OG0001107	SMRG1_52040.1, SMRG1_52040.2, SMRG1_52040.3	FGIG_07647
OG0001108	SMRG1_28690.1, SMRG1_28690.3, SMRG1_28690.2	FGIG_08427
OG0001109	SMRG1_34050.1, SMRG1_34050.2	FGIG_08484, FGIG_08485
OG0001110	SMRG1_3770.2, SMRG1_3770.3, SMRG1_3770.5, SMRG1_3770.1, SMRG1_3770.4	FGIG_09011
OG0001111	SMRG1_49680.1, SMRG1_49680.2	FGIG_09579, FGIG_09578
OG0001112	SMRG1_96830.1, SMRG1_96810.1, SMRG1_96820.1	FGIG_09596
OG0001113	SMRG1_7410.6, SMRG1_7410.7, SMRG1_7410.2, SMRG1_7410.4, SMRG1_7410.1, SMRG1_7410.3, SMRG1_7410.5	FGIG_09744
OG0001114	SMRG1_6380.1	FGIG_09856
OG0001115	SMRG1_95650.1, SMRG1_95650.2, SMRG1_95650.3, SMRG1_95650.6, SMRG1_95650.4, SMRG1_95650.5	FGIG_10139
OG0001116	SMRG1_82600.6, SMRG1_82600.1, SMRG1_82600.2, SMRG1_82600.3, SMRG1_82600.5, SMRG1_82600.4	FGIG_11923, FGIG_10461
OG0001117	SMRG1_14690.3, SMRG1_14690.1, SMRG1_14690.4, SMRG1_14690.2	FGIG_10571
OG0001118	SMRG1_71840.2, SMRG1_71850.1, SMRG1_71840.1, SMRG1_71840.3, SMRG1_71830.1	FGIG_11081
OG0001119	SMRG1_65700.1, SMRG1_65700.2	FGIG_11555
OG0001120	SMRG1_31660.1, SMRG1_31650.1	FGIG_11558
OG0001121	SMRG1_57260.1, SMRG1_57260.4, SMRG1_57260.6, SMRG1_57260.2, SMRG1_57260.3, SMRG1_57260.5	FGIG_11654
OG0001122	SMRG1_79840.1, SMRG1_79840.2, SMRG1_79840.5, SMRG1_79840.3, SMRG1_79840.4, SMRG1_79840.6	FGIG_12006
OG0001123	SMRG1_91630.1, SMRG1_91630.2, SMRG1_91630.3	FGIG_12321
OG0001124	SMRG1_37990.2, SMRG1_37990.5, SMRG1_37990.1, SMRG1_37990.3, SMRG1_37990.4	FGIG_12395
OG0001125	SMRG1_13250.1, SMRG1_13250.2, SMRG1_13250.3, SMRG1_13280.1, SMRG1_13280.2	FGIG_12588
OG0001129	SMRG1_37670.1, SMRG1_37680.1	FGIG_00014, FGIG_00015
OG0001130	SMRG1_11510.1, SMRG1_11510.2, SMRG1_11510.3	FGIG_00274
OG0001131	SMRG1_74590.1, SMRG1_74590.2, SMRG1_74580.1	FGIG_01558, FGIG_00298, FGIG_09149
OG0001132	SMRG1_83890.4, SMRG1_83890.2, SMRG1_83890.3, SMRG1_83890.6, SMRG1_83890.1, SMRG1_83890.5	FGIG_00496, FGIG_00497
OG0001133	SMRG1_15560.1	FGIG_02833, FGIG_00526
OG0001134	SMRG1_65930.1	FGIG_12437, FGIG_00591
OG0001135	SMRG1_34490.2, SMRG1_34490.3, SMRG1_34490.1, SMRG1_34490.4	FGIG_02017, FGIG_00617, FGIG_07747, FGIG_02078
