Orthogroup	schistosoma_margrebowiei	s.mekongi
OG0000706	SMRG1_43640.1	KAK4473560.1
OG0000706	SMRG1_52930.3, SMRG1_52930.2, SMRG1_52930.1	KAK4469683.1
OG0000707	SMRG1_95590.1, SMRG1_95590.2, SMRG1_95590.3	KAK4467706.1
OG0000708	SMRG1_37340.1, SMRG1_37340.3, SMRG1_37340.2, SMRG1_37340.4, SMRG1_37340.5	KAK4473844.1
OG0000709	SMRG1_43900.4, SMRG1_43900.2, SMRG1_43900.1, SMRG1_43900.3	KAK4473581.1
OG0000710	SMRG1_7620.1, SMRG1_7630.1	KAK4476143.1
OG0000711	SMRG1_75040.4, SMRG1_75040.1, SMRG1_75040.3, SMRG1_75040.2	KAK4470475.1
OG0000712	SMRG1_53310.4, SMRG1_53310.6, SMRG1_53310.1, SMRG1_53310.2, SMRG1_53310.3, SMRG1_53310.7, SMRG1_53310.8, SMRG1_53310.5	KAK4469473.1
OG0000713	SMRG1_71530.1	KAK4470169.1
OG0000714	SMRG1_46830.1	KAK4469311.1
OG0000715	SMRG1_27470.1, SMRG1_27470.2, SMRG1_27470.3	KAK4473080.1
OG0000716	SMRG1_11250.1, SMRG1_11250.2, SMRG1_11250.3	KAK4474488.1
OG0000717	SMRG1_61830.1	KAK4472067.1
OG0000718	SMRG1_75320.5, SMRG1_75320.1, SMRG1_75320.2, SMRG1_75320.4, SMRG1_75320.3	KAK4470744.1
OG0000719	SMRG1_55640.1, SMRG1_55640.2, SMRG1_55640.3, SMRG1_55640.4	KAK4469833.1
OG0000721	SMRG1_46240.3, SMRG1_46240.1, SMRG1_46240.2, SMRG1_46240.4, SMRG1_46240.5	KAK4469698.1
OG0000722	SMRG1_5070.2, SMRG1_5070.1, SMRG1_5070.3, SMRG1_5070.4	KAK4475859.1
OG0000723	SMRG1_77200.3, SMRG1_77200.1, SMRG1_77200.2, SMRG1_77200.4	KAK4470731.1
OG0000724	SMRG1_42070.5, SMRG1_42070.6, SMRG1_42070.2, SMRG1_42070.1, SMRG1_42070.3, SMRG1_42070.4	KAK4473416.1
OG0000725	SMRG1_77510.4, SMRG1_77510.2, SMRG1_77510.1, SMRG1_77510.3	KAK4470428.1
OG0000726	SMRG1_29910.1, SMRG1_29910.2, SMRG1_29910.5, SMRG1_29910.3, SMRG1_29910.4	KAK4472444.1
OG0000726	SMRG1_29920.1, SMRG1_29920.2	KAK4472445.1
OG0000727	SMRG1_38770.1, SMRG1_38770.2, SMRG1_38770.3	KAK4473799.1
OG0000728	SMRG1_49060.2, SMRG1_49060.5, SMRG1_49060.6, SMRG1_49060.4, SMRG1_49060.1, SMRG1_49060.3	KAK4469556.1
OG0000729	SMRG1_8470.1, SMRG1_8470.4, SMRG1_8470.2, SMRG1_8470.3	KAK4476249.1
OG0000730	SMRG1_60700.8, SMRG1_60700.4, SMRG1_60700.7, SMRG1_60700.1, SMRG1_60700.2, SMRG1_60700.3, SMRG1_60700.5, SMRG1_60700.6	KAK4471836.1
OG0000731	SMRG1_76820.5, SMRG1_76820.6, SMRG1_76820.7, SMRG1_76820.1, SMRG1_76820.3, SMRG1_76820.2, SMRG1_76820.4	KAK4470693.1
OG0000732	SMRG1_3400.1	KAK4475629.1
OG0000733	SMRG1_2700.1	KAK4475569.1
OG0000736	SMRG1_78630.1, SMRG1_78630.2, SMRG1_78630.3, SMRG1_78630.4	KAK4470813.1
OG0000737	SMRG1_9480.1, SMRG1_9480.2, SMRG1_9480.3	KAK4474370.1
OG0000738	SMRG1_70500.1	KAK4470138.1
OG0000739	SMRG1_57450.3, SMRG1_57450.1, SMRG1_57450.2	KAK4469782.1
OG0000740	SMRG1_8010.6, SMRG1_8010.10, SMRG1_8010.11, SMRG1_8010.12, SMRG1_8010.13, SMRG1_8010.5, SMRG1_8010.7, SMRG1_8010.8, SMRG1_8010.9, SMRG1_8010.1, SMRG1_8010.2, SMRG1_8010.3, SMRG1_8010.14, SMRG1_8010.15, SMRG1_8010.4	KAK4475982.1
OG0000741	SMRG1_84980.1, SMRG1_84980.3, SMRG1_84980.6, SMRG1_84980.8, SMRG1_84980.2, SMRG1_84980.4, SMRG1_84980.5, SMRG1_84980.7	KAK4468185.1
OG0000743	SMRG1_21390.7, SMRG1_21390.1, SMRG1_21390.2, SMRG1_21390.3, SMRG1_21390.4, SMRG1_21390.5, SMRG1_21390.6	KAK4475498.1
OG0000744	SMRG1_3480.1	KAK4474236.1, KAK4467355.1, KAK4475639.1
OG0000745	SMRG1_38110.6, SMRG1_38110.5, SMRG1_38110.7, SMRG1_38110.8, SMRG1_38110.2, SMRG1_38110.1, SMRG1_38110.3, SMRG1_38110.4	KAK4473918.1
OG0000746	SMRG1_60040.1	KAK4471896.1
OG0000748	SMRG1_70930.1	KAK4470051.1, KAK4467349.1, KAK4470183.1
OG0000749	SMRG1_70310.1	KAK4470073.1
OG0000750	SMRG1_74940.1, SMRG1_74940.2, SMRG1_74940.3	KAK4470486.1
OG0000751	SMRG1_5220.1	KAK4475833.1, KAK4475835.1
OG0000751	SMRG1_2390.1, SMRG1_2240.1	KAK4475538.1
OG0000752	SMRG1_94020.1, SMRG1_94020.2, SMRG1_94020.3	KAK4467935.1
OG0000752	SMRG1_94070.1	KAK4467930.1
OG0000754	SMRG1_50990.1, SMRG1_50990.2, SMRG1_50990.3, SMRG1_50990.4	KAK4469412.1
OG0000756	SMRG1_39050.1, SMRG1_39050.2	KAK4473770.1
OG0000757	SMRG1_53160.5, SMRG1_53160.4, SMRG1_53160.1, SMRG1_53160.2, SMRG1_53160.3	KAK4469488.1
OG0000759	SMRG1_53590.1	KAK4469520.1
OG0000760	SMRG1_79230.1, SMRG1_79230.2	KAK4470881.1
OG0000761	SMRG1_54260.4, SMRG1_54260.1, SMRG1_54260.2, SMRG1_54260.3, SMRG1_54260.5, SMRG1_54260.6	KAK4469193.1
OG0000762	SMRG1_82700.1	KAK4468368.1
OG0000762	SMRG1_88450.1	KAK4468720.1
OG0000763	SMRG1_19150.1, SMRG1_19150.2, SMRG1_19150.3, SMRG1_19150.4, SMRG1_19150.6, SMRG1_19150.5	KAK4475061.1
OG0000764	SMRG1_8630.2, SMRG1_8630.1, SMRG1_8630.3	KAK4476235.1
OG0000765	SMRG1_53560.1	KAK4469518.1
OG0000765	SMRG1_53570.1	KAK4469519.1
OG0000766	SMRG1_63680.1, SMRG1_63680.2, SMRG1_63680.3, SMRG1_63680.4	KAK4471386.1
OG0000767	SMRG1_65880.3, SMRG1_65880.2, SMRG1_65880.1	KAK4471235.1
OG0000768	SMRG1_40130.3, SMRG1_40130.1, SMRG1_40130.4, SMRG1_40130.9, SMRG1_40130.5, SMRG1_40130.6, SMRG1_40130.7, SMRG1_40130.8, SMRG1_40130.2	KAK4473678.1
OG0000769	SMRG1_1950.1, SMRG1_1940.1	KAK4475312.1
OG0000770	SMRG1_17150.1, SMRG1_17150.2, SMRG1_17150.3	KAK4474961.1
OG0000771	SMRG1_80360.1, SMRG1_80390.1, SMRG1_80380.1, SMRG1_80400.2, SMRG1_80400.7, SMRG1_80400.8, SMRG1_80400.1, SMRG1_80400.3, SMRG1_80400.4, SMRG1_80400.5, SMRG1_80400.6	KAK4470996.1
OG0000772	SMRG1_18160.1, SMRG1_18160.2, SMRG1_18180.1	KAK4474852.1
OG0000773	SMRG1_25810.1, SMRG1_25810.3, SMRG1_25810.7, SMRG1_25810.5, SMRG1_25810.4, SMRG1_25810.6, SMRG1_25810.2	KAK4473279.1
OG0000774	SMRG1_47820.1, SMRG1_47820.2, SMRG1_47820.3, SMRG1_47820.4, SMRG1_47820.5, SMRG1_47820.6, SMRG1_47820.7, SMRG1_47820.8	KAK4475493.1
OG0000775	SMRG1_52280.4, SMRG1_52280.2, SMRG1_52280.3, SMRG1_52280.1	KAK4469163.1
OG0000776	SMRG1_46260.1	KAK4469675.1
OG0000776	SMRG1_57210.1, SMRG1_57210.2, SMRG1_57210.3	KAK4469755.1
OG0000777	SMRG1_52810.3, SMRG1_52810.1, SMRG1_52810.5, SMRG1_52810.2, SMRG1_52810.4	KAK4469700.1
OG0000778	SMRG1_22910.1, SMRG1_22910.2	KAK4473368.1
OG0000779	SMRG1_3550.2, SMRG1_3550.4, SMRG1_3550.5, SMRG1_3550.3, SMRG1_3550.1	KAK4467285.1, KAK4467284.1, KAK4475645.1, KAK4467283.1, KAK4467511.1
OG0000780	SMRG1_14430.1	KAK4475273.1
OG0000781	SMRG1_10790.1	KAK4474552.1
OG0000781	SMRG1_1430.1, SMRG1_1430.2	KAK4476024.1
OG0000782	SMRG1_31710.1, SMRG1_31710.2, SMRG1_31710.3	KAK4472624.1
OG0000783	SMRG1_51290.1, SMRG1_51290.2	KAK4469441.1
OG0000784	SMRG1_31620.1, SMRG1_31620.2	KAK4472638.1
OG0000785	SMRG1_61940.3, SMRG1_61940.1, SMRG1_61940.2, SMRG1_61940.6, SMRG1_61940.5, SMRG1_61940.4	KAK4472075.1, KAK4472076.1
OG0000786	SMRG1_40960.2, SMRG1_40960.1, SMRG1_40960.3	KAK4473618.1
OG0000787	SMRG1_94210.1, SMRG1_94210.2	KAK4467917.1, KAK4467919.1
OG0000787	SMRG1_61180.1	KAK4472011.1
OG0000788	SMRG1_13080.2, SMRG1_13080.4, SMRG1_13080.1, SMRG1_13080.3	KAK4474750.1
OG0000789	SMRG1_25630.1	KAK4473257.1
OG0000789	SMRG1_25620.1, SMRG1_25620.3, SMRG1_25620.5, SMRG1_25620.2, SMRG1_25620.4, SMRG1_25620.6	KAK4473256.1
OG0000790	SMRG1_39390.1	KAK4473741.1
OG0000791	SMRG1_43050.3, SMRG1_43050.4, SMRG1_43050.1, SMRG1_43050.2	KAK4473509.1
OG0000792	SMRG1_5400.1, SMRG1_5400.2	KAK4469047.1, KAK4475816.1
OG0000793	SMRG1_34250.1	KAK4472249.1
OG0000794	SMRG1_9690.1, SMRG1_9750.1	KAK4474355.1
OG0000795	SMRG1_96610.3, SMRG1_96610.4, SMRG1_96610.1, SMRG1_96610.5, SMRG1_96610.6, SMRG1_96610.2	KAK4467676.1
OG0000796	SMRG1_15310.1	KAK4474757.1
OG0000797	SMRG1_19420.3, SMRG1_19420.4, SMRG1_19420.1, SMRG1_19420.2	KAK4475035.1
OG0000798	SMRG1_240.3, SMRG1_240.1, SMRG1_240.4, SMRG1_240.2, SMRG1_240.5	KAK4475964.1
OG0000799	SMRG1_67370.8, SMRG1_67370.2, SMRG1_67370.1, SMRG1_67370.10, SMRG1_67370.11, SMRG1_67370.3, SMRG1_67370.4, SMRG1_67370.5, SMRG1_67370.6, SMRG1_67370.7, SMRG1_67370.9	KAK4471638.1
OG0000800	SMRG1_9600.7, SMRG1_9600.9, SMRG1_9600.10, SMRG1_9600.5, SMRG1_9600.8, SMRG1_9600.15, SMRG1_9600.6, SMRG1_9600.13, SMRG1_9600.1, SMRG1_9600.11, SMRG1_9600.14, SMRG1_9600.12, SMRG1_9600.3, SMRG1_9600.4, SMRG1_9600.2	KAK4476179.1
OG0000801	SMRG1_15160.1, SMRG1_15160.2, SMRG1_15160.3	KAK4475245.1
OG0000802	SMRG1_73950.1	KAK4470576.1
OG0000802	SMRG1_59040.1	KAK4472112.1
OG0000803	SMRG1_79570.1	KAK4470919.1
OG0000804	SMRG1_41590.4, SMRG1_41590.1, SMRG1_41590.3, SMRG1_41590.2, SMRG1_41590.5	KAK4473168.1
OG0000805	SMRG1_36490.5, SMRG1_36490.1, SMRG1_36490.3, SMRG1_36490.2, SMRG1_36490.6, SMRG1_36490.4	KAK4474013.1
OG0000806	SMRG1_74320.3, SMRG1_74320.1, SMRG1_74320.2, SMRG1_74320.4	KAK4470608.1
OG0000807	SMRG1_9380.1	KAK4473307.1, KAK4474358.1
OG0000808	SMRG1_94830.1	KAK4467771.1
OG0000808	SMRG1_94840.1, SMRG1_94840.2	KAK4467779.1
OG0000809	SMRG1_92040.4, SMRG1_92040.1, SMRG1_92040.2, SMRG1_92040.3	KAK4468611.1
OG0000810	SMRG1_25200.1, SMRG1_25200.3, SMRG1_25200.2	KAK4473212.1
OG0000811	SMRG1_10640.1, SMRG1_10640.3, SMRG1_10640.6, SMRG1_10640.7, SMRG1_10640.9, SMRG1_10640.2, SMRG1_10640.4, SMRG1_10640.5, SMRG1_10640.8	KAK4474417.1
OG0000812	SMRG1_11560.1, SMRG1_11560.2	KAK4474440.1
OG0000813	SMRG1_87540.2, SMRG1_87540.1	KAK4468852.1
OG0000814	SMRG1_64080.1, SMRG1_64040.1, SMRG1_64060.1, SMRG1_64090.4, SMRG1_64090.3, SMRG1_64090.1, SMRG1_64090.2	KAK4471430.1
OG0000815	SMRG1_61200.1, SMRG1_61200.2	KAK4472012.1
OG0000816	SMRG1_84570.1	KAK4468020.1
OG0000817	SMRG1_89480.1, SMRG1_89480.2, SMRG1_89480.3, SMRG1_89480.4, SMRG1_89480.5	KAK4468677.1
OG0000818	SMRG1_11040.1, SMRG1_11040.2, SMRG1_11040.3	KAK4474538.1
OG0000819	SMRG1_66030.1, SMRG1_66030.2, SMRG1_66030.4, SMRG1_66030.3	KAK4471251.1
OG0000820	SMRG1_85400.1	KAK4467442.1
OG0000821	SMRG1_49820.1, SMRG1_49820.2, SMRG1_49820.3, SMRG1_49820.4	KAK4469272.1
OG0000822	SMRG1_75030.2, SMRG1_75030.4, SMRG1_75030.5, SMRG1_75030.6, SMRG1_75030.1, SMRG1_75030.10, SMRG1_75030.3, SMRG1_75030.9, SMRG1_75030.7, SMRG1_75030.8	KAK4470476.1
OG0000823	SMRG1_53950.1	KAK4467478.1
OG0000823	SMRG1_94160.1, SMRG1_94170.1	KAK4467922.1
OG0000824	SMRG1_3000.1, SMRG1_3000.2, SMRG1_3000.3	KAK4475591.1
OG0000825	SMRG1_77620.1, SMRG1_77640.1, SMRG1_77610.1, SMRG1_77600.1	KAK4470419.1, KAK4470420.1, KAK4470421.1
OG0000827	SMRG1_76010.1	KAK4470549.1
OG0000827	SMRG1_76000.1, SMRG1_76000.2, SMRG1_76000.3, SMRG1_76000.4	KAK4470028.1, KAK4470550.1
OG0000828	SMRG1_91810.1, SMRG1_91830.1	KAK4468383.1
OG0000829	SMRG1_16580.1, SMRG1_16580.2	KAK4475182.1
OG0000830	SMRG1_49600.4, SMRG1_49600.2, SMRG1_49600.1, SMRG1_49600.5, SMRG1_49600.3	KAK4469293.1
OG0000831	SMRG1_42770.3, SMRG1_42770.1, SMRG1_42770.2	KAK4473480.1
OG0000832	SMRG1_60410.1	KAK4471871.1
OG0000833	SMRG1_33320.1	KAK4472353.1
OG0000835	SMRG1_38120.5, SMRG1_38120.1, SMRG1_38120.3, SMRG1_38120.6, SMRG1_38120.7, SMRG1_38120.2, SMRG1_38120.4	KAK4473919.1
OG0000836	SMRG1_37480.3, SMRG1_37480.4, SMRG1_37480.1, SMRG1_37480.2	KAK4473858.1
OG0000837	SMRG1_32400.1, SMRG1_32400.2, SMRG1_32400.4, SMRG1_32400.3	KAK4472239.1
OG0000839	SMRG1_38560.1, SMRG1_38560.2	KAK4473818.1
OG0000840	SMRG1_71020.3, SMRG1_71020.5, SMRG1_71020.4, SMRG1_71020.1, SMRG1_71020.2	KAK4470970.1, KAK4470978.1
OG0000841	SMRG1_19770.3, SMRG1_19770.4, SMRG1_19770.1, SMRG1_19770.2	KAK4475007.1
OG0000842	SMRG1_67610.2, SMRG1_67610.4, SMRG1_67610.3, SMRG1_67610.1	KAK4471617.1
OG0000843	SMRG1_83080.2, SMRG1_83080.1, SMRG1_83080.4, SMRG1_83080.3	KAK4468285.1
OG0000845	SMRG1_90960.3, SMRG1_90960.2, SMRG1_90960.1	KAK4468551.1, KAK4467252.1
OG0000846	SMRG1_18110.1	KAK4474858.1
OG0000847	SMRG1_160.2, SMRG1_160.1, SMRG1_160.3	KAK4476036.1
OG0000848	SMRG1_34900.1, SMRG1_34900.2, SMRG1_34900.3	KAK4474163.1
OG0000849	SMRG1_39230.1, SMRG1_39230.2, SMRG1_39230.3	KAK4473756.1
OG0000850	SMRG1_27440.1, SMRG1_27440.2, SMRG1_27440.3	KAK4473025.1
OG0000851	SMRG1_92050.1, SMRG1_92050.3, SMRG1_92050.2	KAK4468610.1
OG0000852	SMRG1_10490.1	KAK4474383.1
OG0000853	SMRG1_83550.1	KAK4468234.1
OG0000854	SMRG1_37490.10, SMRG1_37490.2, SMRG1_37490.4, SMRG1_37490.9, SMRG1_37490.1, SMRG1_37490.3, SMRG1_37490.6, SMRG1_37490.7, SMRG1_37490.5, SMRG1_37490.8	KAK4473859.1
OG0000855	SMRG1_55110.1, SMRG1_55110.2	KAK4467325.1
OG0000856	SMRG1_2880.4, SMRG1_2880.3, SMRG1_2880.5, SMRG1_2880.1, SMRG1_2880.2	KAK4475581.1
OG0000857	SMRG1_4030.2, SMRG1_4030.4, SMRG1_4030.1, SMRG1_4030.3	KAK4467572.1, KAK4475703.1
OG0000858	SMRG1_4370.1	KAK4467344.1, KAK4467343.1, KAK4475741.1
OG0000859	SMRG1_50240.1, SMRG1_50240.3, SMRG1_50240.6, SMRG1_50240.2, SMRG1_50240.5, SMRG1_50240.4	KAK4469232.1
OG0000860	SMRG1_60980.1	KAK4471825.1
OG0000860	SMRG1_63040.1	KAK4471718.1
OG0000862	SMRG1_30080.1, SMRG1_30080.4, SMRG1_30080.3, SMRG1_30080.2	KAK4472465.1
OG0000863	SMRG1_7020.1	KAK4476011.1
OG0000864	SMRG1_40500.1, SMRG1_40500.5, SMRG1_40500.2, SMRG1_40500.3, SMRG1_40500.4	KAK4473645.1
OG0000865	SMRG1_33280.10, SMRG1_33280.2, SMRG1_33280.6, SMRG1_33280.4, SMRG1_33280.5, SMRG1_33280.1, SMRG1_33280.3, SMRG1_33280.7, SMRG1_33280.8, SMRG1_33280.9, SMRG1_33280.11	KAK4472356.1
OG0000866	SMRG1_1180.1, SMRG1_1180.2, SMRG1_1180.3	KAK4475812.1
OG0000868	SMRG1_80410.1, SMRG1_80420.1, SMRG1_80450.1, SMRG1_80470.1	KAK4467317.1, KAK4467483.1, KAK4471001.1
OG0000869	SMRG1_90420.1	KAK4468576.1
OG0000870	SMRG1_970.1	KAK4474365.1
OG0000871	SMRG1_28730.1, SMRG1_28730.2, SMRG1_28730.3	KAK4472823.1
OG0000872	SMRG1_3930.1, SMRG1_3930.2, SMRG1_3930.3, SMRG1_3930.4, SMRG1_3930.6, SMRG1_3930.5	KAK4475688.1
OG0000873	SMRG1_87440.1, SMRG1_87440.5, SMRG1_87440.3, SMRG1_87440.4, SMRG1_87440.2, SMRG1_87440.6, SMRG1_87440.7, SMRG1_87440.8	KAK4468855.1
OG0000874	SMRG1_43350.1	KAK4473534.1
OG0000875	SMRG1_62970.1, SMRG1_62970.2	KAK4471728.1
OG0000876	SMRG1_23790.2, SMRG1_23790.1, SMRG1_23790.3, SMRG1_23780.1	KAK4473295.1
OG0000877	SMRG1_6960.2, SMRG1_6960.3, SMRG1_6960.1	KAK4476016.1
OG0000878	SMRG1_16590.5, SMRG1_16590.1, SMRG1_16590.2, SMRG1_16590.8, SMRG1_16590.9, SMRG1_16590.3, SMRG1_16590.4, SMRG1_16590.7, SMRG1_16590.6, SMRG1_16590.10	KAK4475183.1
OG0000879	SMRG1_58840.3, SMRG1_58840.2, SMRG1_58840.1	KAK4471099.1
OG0000880	SMRG1_80040.1, SMRG1_80040.2, SMRG1_80040.3, SMRG1_80040.6, SMRG1_80040.4, SMRG1_80040.5, SMRG1_80040.7	KAK4470966.1
OG0000881	SMRG1_4400.1	KAK4475745.1
OG0000881	SMRG1_91920.1	KAK4468637.1
OG0000882	SMRG1_22070.1, SMRG1_22070.2	KAK4475447.1
OG0000882	SMRG1_40230.3, SMRG1_40230.2, SMRG1_40230.1	KAK4473671.1
OG0000883	SMRG1_40220.1, SMRG1_40220.2, SMRG1_40220.3, SMRG1_40220.4, SMRG1_40220.5	KAK4473672.1
OG0000884	SMRG1_39450.1, SMRG1_39450.3, SMRG1_39450.4, SMRG1_39450.2	KAK4473737.1
OG0000885	SMRG1_1690.1	KAK4474352.1
OG0000886	SMRG1_71120.2, SMRG1_71120.1	KAK4470894.1
OG0000887	SMRG1_19130.1	KAK4475063.1
OG0000888	SMRG1_79180.1	KAK4470877.1
OG0000888	SMRG1_79190.1, SMRG1_79190.2	KAK4470878.1
OG0000890	SMRG1_41120.4, SMRG1_41120.1, SMRG1_41120.2, SMRG1_41120.3, SMRG1_41120.5, SMRG1_41120.6, SMRG1_41120.7, SMRG1_41120.8	KAK4473603.1
OG0000891	SMRG1_37360.4, SMRG1_37360.5, SMRG1_37360.1, SMRG1_37360.3, SMRG1_37360.8, SMRG1_37360.9, SMRG1_37360.2, SMRG1_37360.7, SMRG1_37360.6	KAK4473846.1
OG0000892	SMRG1_52560.1, SMRG1_52560.5, SMRG1_52560.2, SMRG1_52560.6, SMRG1_52560.3, SMRG1_52560.4	KAK4469720.1
OG0000894	SMRG1_88820.1, SMRG1_88820.2	KAK4468755.1
OG0000895	SMRG1_44270.4, SMRG1_44270.1, SMRG1_44270.2, SMRG1_44270.3	KAK4472632.1
OG0000896	SMRG1_20850.1, SMRG1_20870.1, SMRG1_20870.2	KAK4475362.1
OG0000897	SMRG1_9670.1, SMRG1_9670.2, SMRG1_9680.1	KAK4476316.1
OG0000898	SMRG1_72680.2, SMRG1_72680.8, SMRG1_72680.1, SMRG1_72680.10, SMRG1_72680.11, SMRG1_72680.5, SMRG1_72680.6, SMRG1_72680.7, SMRG1_72680.9, SMRG1_72680.12, SMRG1_72680.3, SMRG1_72680.4, SMRG1_72680.13	KAK4470204.1
OG0000899	SMRG1_13890.1	KAK4474583.1
OG0000900	SMRG1_3500.1, SMRG1_3500.2	KAK4475641.1
OG0000901	SMRG1_63150.1, SMRG1_63150.2, SMRG1_63150.3, SMRG1_63150.4, SMRG1_63150.5, SMRG1_63150.6, SMRG1_63150.7	KAK4471706.1
OG0000902	SMRG1_55690.1, SMRG1_55690.2, SMRG1_55690.3, SMRG1_55690.4, SMRG1_55690.5, SMRG1_55690.6	KAK4469829.1
OG0000903	SMRG1_14860.1, SMRG1_14860.2	KAK4475319.1
OG0000904	SMRG1_4900.1, SMRG1_4900.2, SMRG1_4900.3, SMRG1_4900.6, SMRG1_4900.4, SMRG1_4900.5	KAK4475874.1
OG0000905	SMRG1_79340.3, SMRG1_79340.4, SMRG1_79340.1, SMRG1_79340.2	KAK4470893.1
OG0000906	SMRG1_64470.1, SMRG1_64470.2, SMRG1_64470.3, SMRG1_64470.4, SMRG1_64470.5	KAK4471295.1
OG0000907	SMRG1_75160.2, SMRG1_75160.1	KAK4470463.1
OG0000908	SMRG1_26750.1	KAK4472964.1
OG0000908	SMRG1_26740.1	KAK4472965.1
OG0000908	SMRG1_26760.1, SMRG1_26770.1	KAK4472963.1
OG0000910	SMRG1_7780.1	KAK4476130.1
OG0000911	SMRG1_58680.1, SMRG1_58680.7, SMRG1_58680.2, SMRG1_58680.3, SMRG1_58680.6, SMRG1_58680.4, SMRG1_58680.5	KAK4471170.1
OG0000912	SMRG1_6180.1, SMRG1_6180.2	KAK4475973.1
OG0000913	SMRG1_31530.1, SMRG1_31530.3, SMRG1_31530.2, SMRG1_31530.4, SMRG1_31530.5	KAK4472644.1
OG0000914	SMRG1_38590.3, SMRG1_38590.1, SMRG1_38590.2, SMRG1_38590.4, SMRG1_38590.5	KAK4473816.1
OG0000915	SMRG1_29630.2, SMRG1_29630.4, SMRG1_29630.3, SMRG1_29630.1	KAK4472417.1
OG0000916	SMRG1_39710.1	KAK4473712.1
OG0000917	SMRG1_84890.4, SMRG1_84890.1, SMRG1_84890.2, SMRG1_84890.3	KAK4468177.1
OG0000918	SMRG1_26900.4, SMRG1_26900.1, SMRG1_26900.2, SMRG1_26900.3	KAK4472957.1
OG0000919	SMRG1_85210.1, SMRG1_85210.2, SMRG1_85210.3	KAK4468191.1
OG0000920	SMRG1_96260.1	KAK4467644.1
OG0000921	SMRG1_43750.1, SMRG1_43750.5, SMRG1_43750.4, SMRG1_43750.3, SMRG1_43750.2, SMRG1_43750.6, SMRG1_43750.7	KAK4473570.1
OG0000923	SMRG1_94480.1	KAK4467730.1
OG0000925	SMRG1_15970.3, SMRG1_15970.4, SMRG1_15970.1, SMRG1_15970.2	KAK4474818.1
OG0000926	SMRG1_27170.1	KAK4472929.1
OG0000927	SMRG1_19200.1, SMRG1_19200.2, SMRG1_19200.4, SMRG1_19200.6, SMRG1_19200.7, SMRG1_19200.3, SMRG1_19200.5	KAK4475055.1
OG0000928	SMRG1_32330.2, SMRG1_32330.3, SMRG1_32330.1, SMRG1_32330.4, SMRG1_32330.7, SMRG1_32330.8, SMRG1_32330.10, SMRG1_32330.9, SMRG1_32340.1, SMRG1_32330.5, SMRG1_32330.6	KAK4474205.1
OG0000929	SMRG1_65540.3, SMRG1_65540.1, SMRG1_65540.2	KAK4471201.1
OG0000930	SMRG1_42690.1, SMRG1_42690.3, SMRG1_42690.2, SMRG1_42690.4	KAK4473473.1
OG0000931	SMRG1_71800.1, SMRG1_71800.3, SMRG1_71800.5, SMRG1_71800.2, SMRG1_71800.4	KAK4470219.1
OG0000932	SMRG1_790.1	KAK4476123.1
OG0000933	SMRG1_39790.1	KAK4473701.1
OG0000934	SMRG1_9800.1	KAK4476302.1
OG0000935	SMRG1_64870.1	KAK4471482.1
OG0000936	SMRG1_95330.2, SMRG1_95330.4, SMRG1_95330.3, SMRG1_95330.5, SMRG1_95330.1	KAK4467944.1
OG0000937	SMRG1_54810.3, SMRG1_54810.1, SMRG1_54810.2	KAK4469907.1
OG0000938	SMRG1_61040.4, SMRG1_61040.1, SMRG1_61040.2, SMRG1_61040.3	KAK4471997.1
OG0000939	SMRG1_88020.4, SMRG1_88020.3, SMRG1_88020.1, SMRG1_88020.2, SMRG1_88020.5	KAK4468842.1
OG0000940	SMRG1_5540.1, SMRG1_5540.2, SMRG1_5540.3	KAK4475887.1
OG0000941	SMRG1_32150.2, SMRG1_32150.4, SMRG1_32150.1, SMRG1_32150.3	KAK4472578.1
OG0000942	SMRG1_15540.4, SMRG1_15540.5, SMRG1_15540.2, SMRG1_15540.1, SMRG1_15540.3	KAK4474779.1
OG0000943	SMRG1_28840.1, SMRG1_28840.4, SMRG1_28840.5, SMRG1_28840.2, SMRG1_28840.3, SMRG1_28840.6	KAK4472800.1
OG0000944	SMRG1_58460.1	KAK4471183.1
OG0000945	SMRG1_10920.1, SMRG1_10920.2	KAK4474600.1
OG0000946	SMRG1_8380.1, SMRG1_8380.2	KAK4476224.1
OG0000947	SMRG1_38910.4, SMRG1_38910.1, SMRG1_38910.2, SMRG1_38910.5, SMRG1_38910.6, SMRG1_38910.7, SMRG1_38910.3	KAK4473782.1
OG0000948	SMRG1_82460.1, SMRG1_82460.2	KAK4468000.1
OG0000949	SMRG1_15720.1, SMRG1_15710.1, SMRG1_15710.2	KAK4474797.1, KAK4474796.1
OG0000950	SMRG1_53900.3, SMRG1_53900.4, SMRG1_53900.6, SMRG1_53900.8, SMRG1_53900.7, SMRG1_53900.2, SMRG1_53900.5, SMRG1_53900.9, SMRG1_53900.1	KAK4469335.1
OG0000951	SMRG1_94420.1, SMRG1_94420.2	KAK4467725.1, KAK4467726.1
OG0000952	SMRG1_29580.1, SMRG1_29580.2	KAK4472413.1
OG0000953	SMRG1_63260.2, SMRG1_63260.1, SMRG1_63260.3, SMRG1_63260.5, SMRG1_63260.6, SMRG1_63260.7, SMRG1_63260.4	KAK4471693.1
OG0000954	SMRG1_81040.1, SMRG1_81040.2, SMRG1_81040.4, SMRG1_81040.5, SMRG1_81040.6, SMRG1_81040.7, SMRG1_81040.8	KAK4470079.1
