Orthogroup	schistosoma_rodhaini	schistosoma_japonicum
OG0000350	SRDH2_38810.1	EWB00_009542.3, EWB00_009542.1, EWB00_009542.2
OG0000351	SRDH2_9510.1, SRDH2_9530.3, SRDH2_9530.4, SRDH2_9530.7, SRDH2_9530.5, SRDH2_9530.1, SRDH2_9530.12, SRDH2_9530.13, SRDH2_9530.14, SRDH2_9530.15, SRDH2_9530.2, SRDH2_9530.6, SRDH2_9530.9, SRDH2_9530.10, SRDH2_9530.8, SRDH2_9530.11	EWB00_004665
OG0000352	SRDH2_32660.16, SRDH2_32660.12, SRDH2_32660.15, SRDH2_32660.1, SRDH2_32660.3, SRDH2_32660.2, SRDH2_32660.11, SRDH2_32660.8, SRDH2_32660.5, SRDH2_32660.7, SRDH2_32660.9, SRDH2_32660.6, SRDH2_32660.10, SRDH2_32660.4, SRDH2_32660.13, SRDH2_32660.14	EWB00_008371.1, EWB00_008371.2
OG0000353	SRDH2_74870.8, SRDH2_74870.6, SRDH2_74870.7, SRDH2_74870.1, SRDH2_74870.2, SRDH2_74870.3, SRDH2_74870.4, SRDH2_74870.9, SRDH2_74870.5	EWB00_000949
OG0000354	SRDH2_3050.5, SRDH2_3050.8, SRDH2_3050.6, SRDH2_3050.11, SRDH2_3050.10, SRDH2_3050.12, SRDH2_3050.7, SRDH2_3050.4, SRDH2_3050.2, SRDH2_3050.9, SRDH2_3050.1, SRDH2_3050.3	EWB00_007574.1, EWB00_007574.2
OG0000355	SRDH2_8000.3, SRDH2_8000.2, SRDH2_8000.1, SRDH2_8000.4	EWB00_004441.1, EWB00_004441.2
OG0000356	SRDH2_6810.12, SRDH2_6810.13, SRDH2_6810.8, SRDH2_6810.7, SRDH2_6810.5, SRDH2_6810.11, SRDH2_6810.2, SRDH2_6810.1, SRDH2_6810.4, SRDH2_6810.3, SRDH2_6810.6, SRDH2_6810.9, SRDH2_6810.10	EWB00_005497.1, EWB00_005494, EWB00_005497.2, EWB00_005497.3, EWB00_005497.4
OG0000357	SRDH2_43030.1, SRDH2_43010.1	EWB00_006405.2, EWB00_006405.1
OG0000358	SRDH2_67080.1, SRDH2_67080.2, SRDH2_67080.3, SRDH2_67090.1	EWB00_003642
OG0000359	SRDH2_16380.1	EWB00_010287.3, EWB00_010287.1, EWB00_010287.2
OG0000360	SRDH2_20180.2, SRDH2_20180.8, SRDH2_20180.9, SRDH2_20180.10, SRDH2_20180.4, SRDH2_20180.11, SRDH2_20180.12, SRDH2_20180.3, SRDH2_20180.1, SRDH2_20180.7, SRDH2_20180.5, SRDH2_20180.6	EWB00_010308.1, EWB00_010308.2
OG0000361	SRDH2_49770.1, SRDH2_49770.4, SRDH2_49770.5, SRDH2_49770.3, SRDH2_49770.6, SRDH2_49770.7, SRDH2_49770.8, SRDH2_49770.2	EWB00_008734, EWB00_008735
OG0000362	SRDH2_63880.4, SRDH2_63880.9, SRDH2_63880.8, SRDH2_63880.2, SRDH2_63880.3, SRDH2_63880.1, SRDH2_63880.5, SRDH2_63880.6, SRDH2_63880.7	EWB00_007742
OG0000363	SRDH2_43340.2, SRDH2_43340.5, SRDH2_43340.1, SRDH2_43340.4, SRDH2_43340.3	EWB00_006373
OG0000364	SRDH2_26500.1	EWB00_000344
OG0000365	SRDH2_60090.1, SRDH2_60100.5, SRDH2_60100.6, SRDH2_60100.3, SRDH2_60100.4, SRDH2_60100.1, SRDH2_60100.2	EWB00_002237, EWB00_002238.1, EWB00_002238.2
OG0000366	SRDH2_50190.1	EWB00_002980
OG0000367	SRDH2_36670.1	EWB00_002905
OG0000368	SRDH2_19490.4, SRDH2_19490.7, SRDH2_19490.3, SRDH2_19490.8, SRDH2_19490.9, SRDH2_19490.1, SRDH2_19490.2, SRDH2_19490.5, SRDH2_19490.6	EWB00_001036
OG0000369	SRDH2_3750.1	EWB00_009078.1, EWB00_009078.2, EWB00_009078.3
OG0000370	SRDH2_39900.10, SRDH2_39900.6, SRDH2_39900.8, SRDH2_39900.5, SRDH2_39900.9, SRDH2_39900.1, SRDH2_39900.3, SRDH2_39900.11, SRDH2_39900.2, SRDH2_39900.14, SRDH2_39900.12, SRDH2_39900.13, SRDH2_39900.4, SRDH2_39900.7	EWB00_004595.5, EWB00_004595.1, EWB00_004595.2, EWB00_004595.3, EWB00_004595.4
OG0000371	SRDH2_38690.3, SRDH2_38690.2, SRDH2_38690.4, SRDH2_38690.5, SRDH2_38690.1	EWB00_010143
OG0000372	SRDH2_10140.3, SRDH2_101570.2, SRDH2_10140.4, SRDH2_10140.1, SRDH2_10140.5, SRDH2_10140.2, SRDH2_10140.6, SRDH2_10140.8, SRDH2_10140.7, SRDH2_101570.1	EWB00_000802
OG0000373	SRDH2_14790.1	EWB00_004686.1, EWB00_004686.2
OG0000374	SRDH2_41830.1, SRDH2_41830.2, SRDH2_41830.3, SRDH2_41830.4, SRDH2_41830.5, SRDH2_41830.6, SRDH2_41830.7	EWB00_004719
OG0000376	SRDH2_62230.7, SRDH2_62230.1, SRDH2_62230.4, SRDH2_62230.10, SRDH2_62230.5, SRDH2_62230.2, SRDH2_62230.3, SRDH2_62230.6, SRDH2_62230.14, SRDH2_62230.8, SRDH2_62230.9, SRDH2_62230.12, SRDH2_62230.13, SRDH2_62230.11	EWB00_000822
OG0000377	SRDH2_54200.2, SRDH2_54200.3, SRDH2_54200.4, SRDH2_54200.8, SRDH2_54200.9, SRDH2_54200.1, SRDH2_54200.10, SRDH2_54200.5, SRDH2_54200.6, SRDH2_54200.7	EWB00_007751
OG0000378	SRDH2_24880.12, SRDH2_24880.3, SRDH2_24880.1, SRDH2_24880.4, SRDH2_24880.6, SRDH2_24880.5, SRDH2_24880.8, SRDH2_24880.9, SRDH2_24880.10, SRDH2_24880.11, SRDH2_24880.7, SRDH2_24880.2	EWB00_001092.1, EWB00_001092.3, EWB00_001092.2
OG0000379	SRDH2_35650.1, SRDH2_12300.1, SRDH2_85580.1	EWB00_006139
OG0000380	SRDH2_23090.1, SRDH2_23100.1	EWB00_010793, EWB00_010794
OG0000381	SRDH2_52940.1	EWB00_010680.1, EWB00_010680.2, EWB00_010680.3, EWB00_010680.4
OG0000381	SRDH2_52930.1	EWB00_010681
OG0000383	SRDH2_31970.3, SRDH2_31970.2, SRDH2_31970.1, SRDH2_31970.6, SRDH2_31970.7, SRDH2_31970.5, SRDH2_31970.4	EWB00_003144.1, EWB00_003144.2
OG0000384	SRDH2_36600.15, SRDH2_36600.16, SRDH2_36600.1, SRDH2_36600.2, SRDH2_36600.13, SRDH2_36600.10, SRDH2_36600.14, SRDH2_36600.3, SRDH2_36600.4, SRDH2_36600.5, SRDH2_36600.7, SRDH2_36600.9, SRDH2_36600.11, SRDH2_36600.12, SRDH2_36600.8, SRDH2_36590.1	EWB00_011218
OG0000385	SRDH2_63830.1	EWB00_009179
OG0000385	SRDH2_63840.1	EWB00_009180
OG0000386	SRDH2_21480.1, SRDH2_21480.2, SRDH2_21480.3, SRDH2_21480.4, SRDH2_21480.5, SRDH2_21480.6, SRDH2_21480.10, SRDH2_21480.8, SRDH2_21480.9, SRDH2_21480.11, SRDH2_21480.7	EWB00_006133.1, EWB00_006133.2
OG0000387	SRDH2_2960.1, SRDH2_102530.1, SRDH2_102520.1	EWB00_007580.1, EWB00_007580.2
OG0000388	SRDH2_92590.4, SRDH2_92590.3, SRDH2_92590.1, SRDH2_92590.2	EWB00_001878.1, EWB00_001878.2, EWB00_001878.3
OG0000389	SRDH2_75390.1, SRDH2_75390.2	EWB00_009230
OG0000390	SRDH2_85500.4, SRDH2_85500.2, SRDH2_85500.3, SRDH2_85500.5, SRDH2_85500.1, SRDH2_85500.6, SRDH2_85500.7, SRDH2_85500.10, SRDH2_85500.11, SRDH2_85500.14, SRDH2_85500.9, SRDH2_85500.13, SRDH2_85500.12, SRDH2_85500.8	EWB00_007282.3, EWB00_007282.1, EWB00_007282.2
OG0000391	SRDH2_13070.1	EWB00_010131, EWB00_005064, EWB00_009419
OG0000392	SRDH2_63310.10, SRDH2_63310.3, SRDH2_63320.1, SRDH2_63310.5, SRDH2_63310.9, SRDH2_63310.13, SRDH2_63310.8	EWB00_006590.1, EWB00_006590.3, EWB00_006590.4
OG0000392	SRDH2_63310.11, SRDH2_63310.12, SRDH2_63310.4, SRDH2_63310.6, SRDH2_63310.7, SRDH2_63310.14	EWB00_006590.2
OG0000393	SRDH2_46070.7, SRDH2_46070.6, SRDH2_46070.1, SRDH2_46070.13, SRDH2_46070.14, SRDH2_46070.5, SRDH2_46070.10, SRDH2_46070.11, SRDH2_46070.12, SRDH2_46070.2, SRDH2_46070.4, SRDH2_46070.3, SRDH2_46070.9, SRDH2_46070.8	EWB00_004074.5, EWB00_004074.1, EWB00_004074.2, EWB00_004074.3, EWB00_004074.4
OG0000394	SRDH2_62680.9, SRDH2_62680.11, SRDH2_62680.3, SRDH2_62680.4, SRDH2_62680.5, SRDH2_62680.6, SRDH2_62680.1, SRDH2_62680.2, SRDH2_62680.7, SRDH2_62680.8, SRDH2_62680.10	EWB00_011094.1, EWB00_011094.2, EWB00_011094.3
OG0000395	SRDH2_81430.5, SRDH2_81430.6, SRDH2_81430.3, SRDH2_81430.8, SRDH2_81430.1, SRDH2_81430.10, SRDH2_81430.4, SRDH2_81430.9, SRDH2_81430.2, SRDH2_81430.7, SRDH2_81430.15, SRDH2_81430.12, SRDH2_81430.14, SRDH2_81430.11, SRDH2_81430.13	EWB00_002277.1, EWB00_002277.2, EWB00_002277.3
OG0000396	SRDH2_4520.15, SRDH2_4520.3, SRDH2_4520.5, SRDH2_4520.1, SRDH2_4520.10, SRDH2_4520.11, SRDH2_4520.12, SRDH2_4520.2, SRDH2_4520.6, SRDH2_4520.9, SRDH2_4520.4, SRDH2_4520.7, SRDH2_4520.8, SRDH2_4520.13, SRDH2_4520.14, SRDH2_4520.16, SRDH2_4520.18	EWB00_004864.1, EWB00_004864.3, EWB00_004864.2
OG0000397	SRDH2_81240.1, SRDH2_81240.2, SRDH2_81240.3, SRDH2_81240.4, SRDH2_81240.5, SRDH2_81240.6, SRDH2_81240.7, SRDH2_81240.8, SRDH2_81240.9, SRDH2_81240.10, SRDH2_81240.12, SRDH2_81240.13, SRDH2_81240.11	EWB00_008188
OG0000398	SRDH2_20280.1, SRDH2_20280.3, SRDH2_20280.2	EWB00_010315.1, EWB00_010315.2
OG0000398	SRDH2_21870.1, SRDH2_21940.1	EWB00_005760, EWB00_005757
OG0000399	SRDH2_28510.2, SRDH2_28510.1	EWB00_006965.1
OG0000399	SRDH2_28510.4	EWB00_006965.3, EWB00_006965.4
OG0000399	SRDH2_28500.1	EWB00_006964
OG0000400	SRDH2_45830.1, SRDH2_45830.3, SRDH2_45830.2, SRDH2_45830.4	EWB00_004734
OG0000400	SRDH2_44960.1, SRDH2_44930.1	EWB00_001015.1, EWB00_001015.2
OG0000401	SRDH2_98010.6, SRDH2_98010.8, SRDH2_98010.3, SRDH2_98010.1, SRDH2_98010.11, SRDH2_98010.2, SRDH2_98010.4, SRDH2_98010.7, SRDH2_98010.5, SRDH2_98010.10, SRDH2_98010.9	EWB00_000575
OG0000402	SRDH2_11670.2, SRDH2_11670.3, SRDH2_11670.1	EWB00_004189, EWB00_004190
OG0000403	SRDH2_3290.1	EWB00_010108, EWB00_007326
OG0000404	SRDH2_83980.1	EWB00_010184
OG0000405	SRDH2_37220.6, SRDH2_37220.2, SRDH2_37220.9, SRDH2_37220.5, SRDH2_37220.1, SRDH2_37220.10, SRDH2_37220.11, SRDH2_37220.3, SRDH2_37220.4, SRDH2_37220.7, SRDH2_37220.8	EWB00_007704
OG0000406	SRDH2_38740.21, SRDH2_38740.22, SRDH2_38740.10, SRDH2_38740.13, SRDH2_38740.14, SRDH2_38740.15, SRDH2_38740.16, SRDH2_38740.17, SRDH2_38740.18, SRDH2_38740.3, SRDH2_38740.6, SRDH2_38740.7, SRDH2_38740.8, SRDH2_38740.20, SRDH2_38740.19, SRDH2_38740.1, SRDH2_38740.2, SRDH2_38740.12, SRDH2_38740.11, SRDH2_38740.4, SRDH2_38740.5, SRDH2_38740.9	EWB00_009549
OG0000407	SRDH2_63900.8, SRDH2_63900.13, SRDH2_63900.4, SRDH2_63900.5, SRDH2_63900.6, SRDH2_63900.9, SRDH2_63900.1, SRDH2_63900.10, SRDH2_63900.2, SRDH2_63900.3, SRDH2_63900.7, SRDH2_63900.12, SRDH2_63900.11	EWB00_007739.3, EWB00_007739.1, EWB00_007739.2
OG0000408	SRDH2_26940.3, SRDH2_26940.4, SRDH2_26940.1, SRDH2_26940.2, SRDH2_26940.5	EWB00_005048.1, EWB00_005048.2, EWB00_005048.5, EWB00_005048.3, EWB00_005048.4
OG0000409	SRDH2_90950.3, SRDH2_90950.1, SRDH2_90950.2	EWB00_008991
OG0000410	SRDH2_70920.5, SRDH2_70920.1, SRDH2_70920.2, SRDH2_70920.4, SRDH2_70920.3	EWB00_010063, EWB00_007265
OG0000411	SRDH2_27570.10, SRDH2_27570.11, SRDH2_27570.3, SRDH2_27570.6, SRDH2_27570.8, SRDH2_27570.9, SRDH2_27570.1, SRDH2_27570.2, SRDH2_27570.4, SRDH2_27570.5, SRDH2_27570.7	EWB00_000669
OG0000412	SRDH2_73550.6, SRDH2_73550.7, SRDH2_73550.15, SRDH2_73550.12, SRDH2_73550.17, SRDH2_73550.13, SRDH2_73550.9, SRDH2_73550.11, SRDH2_73550.16, SRDH2_73550.2, SRDH2_73550.8, SRDH2_73550.4, SRDH2_73550.1, SRDH2_73550.14, SRDH2_73550.10, SRDH2_73550.5, SRDH2_73550.3	EWB00_002751.1, EWB00_002751.2
OG0000413	SRDH2_62530.10, SRDH2_62530.2, SRDH2_62530.3, SRDH2_62530.5, SRDH2_62530.6, SRDH2_62530.9, SRDH2_62530.8, SRDH2_62530.11, SRDH2_62530.1, SRDH2_62530.4, SRDH2_62530.7	EWB00_011342, EWB00_011343
OG0000414	SRDH2_11030.1, SRDH2_11030.2, SRDH2_11030.3, SRDH2_11010.1	EWB00_004672.1, EWB00_004672.2, EWB00_004672.3
OG0000415	SRDH2_31120.1	EWB00_002898.1, EWB00_002898.4, EWB00_002898.2, EWB00_002898.3, EWB00_002898.5, EWB00_002898.6
OG0000416	SRDH2_89660.1	EWB00_007510.4
OG0000416	SRDH2_94160.1	EWB00_006715.1, EWB00_006715.2
OG0000416	SRDH2_89650.1	EWB00_007511.1, EWB00_007511.2, EWB00_007511.3
OG0000417	SRDH2_53850.1, SRDH2_53850.2, SRDH2_53850.3, SRDH2_53850.4	EWB00_006824
OG0000418	SRDH2_97670.1, SRDH2_97670.2, SRDH2_97670.3, SRDH2_97670.4	EWB00_008940.1, EWB00_008940.2, EWB00_008940.3
OG0000419	SRDH2_6160.9, SRDH2_6160.10, SRDH2_6160.6, SRDH2_6160.14, SRDH2_6160.3, SRDH2_6160.2, SRDH2_6160.11, SRDH2_6160.8, SRDH2_6160.1, SRDH2_6160.4, SRDH2_6160.5, SRDH2_6160.12, SRDH2_6160.13, SRDH2_6160.7	EWB00_010845
OG0000420	SRDH2_46170.14, SRDH2_46170.15, SRDH2_46170.5, SRDH2_46170.1, SRDH2_46170.10, SRDH2_46170.13, SRDH2_46170.7, SRDH2_46170.9, SRDH2_46170.2, SRDH2_46170.4, SRDH2_46170.6, SRDH2_46170.8, SRDH2_46170.11, SRDH2_46170.12, SRDH2_46170.16, SRDH2_46170.3	EWB00_004042
OG0000421	SRDH2_68870.1, SRDH2_68870.2, SRDH2_68870.3, SRDH2_68870.4, SRDH2_68870.5	EWB00_005791.5, EWB00_005791.2, EWB00_005791.1, EWB00_005791.6, EWB00_005791.3, EWB00_005791.4, EWB00_005791.7
OG0000422	SRDH2_50820.1, SRDH2_50820.2, SRDH2_50820.3	EWB00_005355.3, EWB00_005355.4, EWB00_005355.6, EWB00_005355.1, EWB00_005355.7, EWB00_005355.2, EWB00_005355.5
OG0000423	SRDH2_31820.4, SRDH2_31820.5, SRDH2_31820.1, SRDH2_31820.3, SRDH2_31820.7, SRDH2_31820.2, SRDH2_31820.9, SRDH2_31820.6, SRDH2_31820.8	EWB00_004922, EWB00_003163, EWB00_003165, EWB00_003168, EWB00_003166
OG0000425	SRDH2_29840.3, SRDH2_29840.1, SRDH2_29840.2, SRDH2_29840.4	EWB00_007944.2, EWB00_007944.3, EWB00_007944.1
OG0000426	SRDH2_55360.1, SRDH2_55390.1, SRDH2_55370.1, SRDH2_55380.1	EWB00_002147
OG0000427	SRDH2_52830.1, SRDH2_52830.2, SRDH2_52830.3, SRDH2_52830.4, SRDH2_52830.5	EWB00_010690.1, EWB00_010690.2
OG0000428	SRDH2_42440.1, SRDH2_42430.1	EWB00_003239.1, EWB00_003239.2
OG0000429	SRDH2_96250.1	EWB00_002245, EWB00_002244
OG0000429	SRDH2_45470.1	EWB00_008214
OG0000430	SRDH2_36260.1, SRDH2_36260.2, SRDH2_36260.3	EWB00_003415
OG0000431	SRDH2_49750.12, SRDH2_49750.1, SRDH2_49750.8, SRDH2_49750.4, SRDH2_49750.11, SRDH2_49750.10, SRDH2_49750.9, SRDH2_49750.2, SRDH2_49750.6, SRDH2_49750.7, SRDH2_49750.13, SRDH2_49750.5, SRDH2_49750.3, SRDH2_49750.14	EWB00_008732.1, EWB00_008732.2
OG0000432	SRDH2_97310.3, SRDH2_97310.1, SRDH2_97310.2, SRDH2_97310.4, SRDH2_97310.7, SRDH2_97310.5, SRDH2_97310.6	EWB00_004758
OG0000433	SRDH2_40420.1	EWB00_003929.2, EWB00_003929.1, EWB00_003929.3
OG0000434	SRDH2_96790.1, SRDH2_96790.6, SRDH2_96790.4, SRDH2_96790.3, SRDH2_96790.2, SRDH2_96790.5	EWB00_005877
OG0000435	SRDH2_55690.1	EWB00_009645, EWB00_004584, EWB00_003007, EWB00_009646, EWB00_009651, EWB00_010296
OG0000436	SRDH2_26020.11, SRDH2_26020.10, SRDH2_26020.8, SRDH2_26020.5, SRDH2_26020.2, SRDH2_26020.6, SRDH2_26020.7, SRDH2_26020.9, SRDH2_26020.4, SRDH2_26020.3, SRDH2_26020.1	EWB00_000282.1, EWB00_000282.2
OG0000437	SRDH2_3210.1, SRDH2_3210.11, SRDH2_3210.3, SRDH2_3210.8, SRDH2_3210.9, SRDH2_3210.2, SRDH2_3210.7, SRDH2_3210.10, SRDH2_3210.6, SRDH2_3210.4, SRDH2_3210.5	EWB00_007320.2, EWB00_007320.1, EWB00_007320.3
OG0000438	SRDH2_65210.4, SRDH2_65210.7, SRDH2_65210.6, SRDH2_65210.8, SRDH2_65210.9, SRDH2_65210.1, SRDH2_65210.5, SRDH2_65210.2, SRDH2_65210.3	EWB00_010404
OG0000439	SRDH2_86960.5, SRDH2_86960.3, SRDH2_86960.7, SRDH2_86960.10, SRDH2_86960.11, SRDH2_86960.13, SRDH2_86960.2, SRDH2_86960.8, SRDH2_86960.9, SRDH2_86960.4, SRDH2_86960.1, SRDH2_86960.12, SRDH2_86960.6, SRDH2_86960.14	EWB00_007287.1, EWB00_007287.2
OG0000440	SRDH2_93830.1, SRDH2_93850.1, SRDH2_93850.2, SRDH2_93850.3, SRDH2_93840.1, SRDH2_93820.1	EWB00_011409
OG0000441	SRDH2_13430.3, SRDH2_13430.2, SRDH2_13430.1	EWB00_009358.1, EWB00_009358.2
OG0000442	SRDH2_33820.6, SRDH2_33820.8, SRDH2_33820.9, SRDH2_33820.4, SRDH2_33820.5, SRDH2_33820.3, SRDH2_33820.1, SRDH2_33820.7, SRDH2_33820.2	EWB00_004296.1, EWB00_004296.2, EWB00_004296.3
OG0000443	SRDH2_5800.2, SRDH2_5800.3, SRDH2_5800.4, SRDH2_5800.1	EWB00_002041
OG0000444	SRDH2_74510.3, SRDH2_74510.2, SRDH2_74510.4, SRDH2_74510.7, SRDH2_74510.5, SRDH2_74510.6, SRDH2_74510.1, SRDH2_74510.8	EWB00_006083, EWB00_008676
OG0000445	SRDH2_66130.1, SRDH2_66130.2, SRDH2_66130.3, SRDH2_66130.4, SRDH2_66130.10, SRDH2_66130.5, SRDH2_66130.6, SRDH2_66130.8, SRDH2_66130.11, SRDH2_66130.7, SRDH2_66130.9	EWB00_010477.3, EWB00_010477.1, EWB00_010477.2
OG0000446	SRDH2_9420.1, SRDH2_9420.4, SRDH2_9420.14, SRDH2_9420.19, SRDH2_9420.20, SRDH2_9420.21, SRDH2_9420.3, SRDH2_9420.17, SRDH2_9420.18, SRDH2_9420.10, SRDH2_9420.12, SRDH2_9420.8, SRDH2_9420.16, SRDH2_9420.13, SRDH2_9420.11, SRDH2_9420.15, SRDH2_9420.7, SRDH2_9420.9, SRDH2_9420.2, SRDH2_9420.5, SRDH2_9420.6	EWB00_009918
OG0000447	SRDH2_56940.7, SRDH2_56940.4, SRDH2_56940.1, SRDH2_56940.11, SRDH2_56940.2, SRDH2_56940.5, SRDH2_56940.13, SRDH2_56940.3, SRDH2_56940.8, SRDH2_56940.6, SRDH2_56940.12, SRDH2_56940.10, SRDH2_56940.9	EWB00_005165
OG0000449	SRDH2_58900.3, SRDH2_58900.6, SRDH2_58900.4, SRDH2_58900.5, SRDH2_58900.1, SRDH2_58900.2	EWB00_008853
OG0000450	SRDH2_25210.7, SRDH2_25210.1, SRDH2_25210.5, SRDH2_25210.3, SRDH2_25210.2, SRDH2_25210.4, SRDH2_25210.8, SRDH2_25210.6	EWB00_001128.4, EWB00_001128.3, EWB00_001128.1, EWB00_001128.2
OG0000451	SRDH2_89250.13, SRDH2_89250.14, SRDH2_89250.18, SRDH2_89250.21, SRDH2_89250.19, SRDH2_89250.12, SRDH2_89250.15, SRDH2_89250.20, SRDH2_89250.1, SRDH2_89250.2, SRDH2_89250.3, SRDH2_89250.4, SRDH2_89250.5, SRDH2_89250.6, SRDH2_89250.7, SRDH2_89250.8, SRDH2_89250.9, SRDH2_89250.10, SRDH2_89250.11, SRDH2_89250.16, SRDH2_89250.17	EWB00_005055
OG0000452	SRDH2_39570.11, SRDH2_39570.13, SRDH2_39570.4, SRDH2_39570.7, SRDH2_39570.10, SRDH2_39570.5, SRDH2_39570.8, SRDH2_39570.9, SRDH2_39570.3, SRDH2_39570.1, SRDH2_39570.2, SRDH2_39570.12, SRDH2_39570.14, SRDH2_39570.6	EWB00_006169
OG0000454	SRDH2_86470.1	EWB00_009448.1, EWB00_009448.2, EWB00_009449
OG0000454	SRDH2_73670.1	EWB00_002766
OG0000455	SRDH2_64700.1, SRDH2_14370.5, SRDH2_14370.4, SRDH2_14370.1, SRDH2_14370.3, SRDH2_14370.2, SRDH2_14370.7, SRDH2_14370.6	EWB00_007676.2, EWB00_007676.1, EWB00_007676.3
OG0000456	SRDH2_74720.1	EWB00_006086
OG0000457	SRDH2_29000.1, SRDH2_29000.2, SRDH2_29000.4, SRDH2_29000.5, SRDH2_29000.6, SRDH2_29000.7, SRDH2_29000.3, SRDH2_29000.8	EWB00_003299.1, EWB00_003299.2
OG0000458	SRDH2_38280.1	EWB00_005936
OG0000459	SRDH2_9770.1	EWB00_000897.5, EWB00_000897.1, EWB00_000897.2, EWB00_000897.3, EWB00_000897.4, EWB00_000897.6
OG0000460	SRDH2_14530.1, SRDH2_14540.1	EWB00_007690
OG0000461	SRDH2_75850.4, SRDH2_75850.1, SRDH2_75850.2, SRDH2_75850.3, SRDH2_75850.5	EWB00_011060.3, EWB00_011060.4, EWB00_011060.1, EWB00_011060.2
OG0000462	SRDH2_58600.1, SRDH2_58610.1, SRDH2_58620.1	EWB00_001020, EWB00_001022
OG0000462	SRDH2_95920.1	EWB00_005102
OG0000463	SRDH2_53880.1, SRDH2_53880.2, SRDH2_53880.3, SRDH2_53890.1, SRDH2_53870.3, SRDH2_53870.4, SRDH2_53870.5, SRDH2_53870.1, SRDH2_53870.2	EWB00_003535.1, EWB00_003535.2
OG0000464	SRDH2_13360.2, SRDH2_13360.5, SRDH2_13360.6, SRDH2_13360.4, SRDH2_13360.3, SRDH2_13360.1, SRDH2_13360.7	EWB00_003710
OG0000465	SRDH2_77670.7, SRDH2_77670.2, SRDH2_77670.5, SRDH2_77670.1, SRDH2_77670.6, SRDH2_77670.8, SRDH2_77670.3, SRDH2_77670.4	EWB00_007185
OG0000466	SRDH2_52790.8, SRDH2_52790.4, SRDH2_52790.7, SRDH2_52790.12, SRDH2_52790.14, SRDH2_52790.5, SRDH2_52790.6, SRDH2_52790.10, SRDH2_52790.1, SRDH2_52790.13, SRDH2_52790.9, SRDH2_52790.2, SRDH2_52790.3, SRDH2_52790.11	EWB00_005412
OG0000467	SRDH2_37890.1	EWB00_005609
OG0000468	SRDH2_74970.8, SRDH2_74970.7, SRDH2_74970.5, SRDH2_74970.2, SRDH2_74970.4, SRDH2_74970.6, SRDH2_74970.1, SRDH2_74970.3	EWB00_000960.2, EWB00_000960.1, EWB00_000960.3
OG0000469	SRDH2_4070.10, SRDH2_4070.13, SRDH2_4070.15, SRDH2_4070.2, SRDH2_4070.3, SRDH2_4070.4, SRDH2_4070.8, SRDH2_4070.19, SRDH2_4070.20, SRDH2_4070.6, SRDH2_4070.7, SRDH2_4070.9, SRDH2_4070.1, SRDH2_4070.12, SRDH2_4070.14, SRDH2_4070.5, SRDH2_4070.16, SRDH2_4070.17, SRDH2_4070.11, SRDH2_4070.18	EWB00_009028
OG0000470	SRDH2_52300.10, SRDH2_52300.4, SRDH2_52300.3, SRDH2_52300.1, SRDH2_52300.2, SRDH2_52300.5, SRDH2_52300.7, SRDH2_52300.8, SRDH2_52300.9, SRDH2_52300.6, SRDH2_52300.11	EWB00_005326
OG0000471	SRDH2_91310.9, SRDH2_91310.8, SRDH2_91310.1, SRDH2_91310.7, SRDH2_91310.2, SRDH2_91310.6, SRDH2_91310.3, SRDH2_91310.4, SRDH2_91310.5	EWB00_004466
OG0000472	SRDH2_37940.1	EWB00_005614
OG0000473	SRDH2_5050.3, SRDH2_5050.2, SRDH2_5050.4, SRDH2_5050.1	EWB00_006340
OG0000474	SRDH2_21030.1	EWB00_002484
OG0000474	SRDH2_46460.1, SRDH2_46460.2	EWB00_003623.1, EWB00_003623.2
OG0000475	SRDH2_65440.5, SRDH2_65440.13, SRDH2_65440.8, SRDH2_65440.9, SRDH2_65440.1, SRDH2_65440.10, SRDH2_65440.12, SRDH2_65440.11, SRDH2_65440.7, SRDH2_65440.6, SRDH2_65440.2, SRDH2_65440.3, SRDH2_65440.4	EWB00_010428
OG0000476	SRDH2_22870.1	EWB00_003522
OG0000477	SRDH2_46150.12, SRDH2_46150.9, SRDH2_46150.11, SRDH2_46150.15, SRDH2_46150.14, SRDH2_46150.16, SRDH2_46150.10, SRDH2_46150.5, SRDH2_46150.7, SRDH2_46150.2, SRDH2_46150.4, SRDH2_46150.1, SRDH2_46150.3, SRDH2_46150.6, SRDH2_46150.8, SRDH2_46150.13	EWB00_004065, EWB00_004064
OG0000478	SRDH2_6490.13, SRDH2_6490.2, SRDH2_6490.9, SRDH2_6490.10, SRDH2_6490.14, SRDH2_6490.8, SRDH2_6490.7, SRDH2_6490.1, SRDH2_6490.6, SRDH2_6490.11, SRDH2_6490.12, SRDH2_6490.15, SRDH2_6490.3, SRDH2_6490.4, SRDH2_6490.5	EWB00_008984.1, EWB00_008984.2, EWB00_008984.3, EWB00_008984.4
OG0000479	SRDH2_36940.4, SRDH2_36940.5, SRDH2_36940.1, SRDH2_36940.2, SRDH2_36940.3, SRDH2_36940.6	EWB00_002579.3, EWB00_002579.1, EWB00_002579.2
OG0000480	SRDH2_67600.1	EWB00_008894.1, EWB00_008894.2
OG0000481	SRDH2_67500.1, SRDH2_67500.2, SRDH2_67500.3, SRDH2_67500.4, SRDH2_67500.5, SRDH2_67500.6	EWB00_000921.1, EWB00_000921.2
