Orthogroup	schistosoma_rodhaini	schistosoma_haematobium
OG0000609	SRDH2_27840.5, SRDH2_27840.6, SRDH2_27840.4, SRDH2_27840.2, SRDH2_27840.7, SRDH2_27840.3, SRDH2_27840.8, SRDH2_27840.1	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8
OG0000610	SRDH2_28620.1	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3
OG0000610	SRDH2_23520.1	SHAE2_24960.1
OG0000611	SRDH2_43480.2, SRDH2_43480.1	SHAE2_46030.1
OG0000612	SRDH2_9160.5, SRDH2_9160.6, SRDH2_9160.9, SRDH2_9160.7, SRDH2_9160.4, SRDH2_9160.8, SRDH2_9160.3, SRDH2_9160.1, SRDH2_9160.2	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2
OG0000613	SRDH2_37860.1	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3
OG0000614	SRDH2_44550.1, SRDH2_44550.2, SRDH2_44550.3, SRDH2_44550.4	SHAE2_47130.1
OG0000615	SRDH2_15160.2, SRDH2_15160.9, SRDH2_15160.8, SRDH2_15160.1, SRDH2_15160.5, SRDH2_15160.6, SRDH2_15160.3, SRDH2_15160.4, SRDH2_15160.7	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3
OG0000616	SRDH2_61720.6, SRDH2_61720.2, SRDH2_61720.9, SRDH2_61720.7, SRDH2_61720.8, SRDH2_61720.10, SRDH2_61720.11, SRDH2_61720.12, SRDH2_61720.14, SRDH2_61720.13, SRDH2_61720.4, SRDH2_61720.3, SRDH2_61720.5, SRDH2_61720.1	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4
OG0000617	SRDH2_83990.2, SRDH2_83990.1	SHAE2_86170.1
OG0000618	SRDH2_34050.1	SHAE2_39350.1
OG0000620	SRDH2_15860.2, SRDH2_15860.3, SRDH2_15860.1	SHAE2_17340.1
OG0000620	SRDH2_46120.2, SRDH2_46120.3, SRDH2_46120.1	SHAE2_49400.1
OG0000621	SRDH2_30470.4, SRDH2_30470.15, SRDH2_30470.12, SRDH2_30470.14, SRDH2_30470.10, SRDH2_30470.11, SRDH2_30470.13, SRDH2_30470.2, SRDH2_30470.3, SRDH2_30470.5, SRDH2_30470.6, SRDH2_30470.7, SRDH2_30470.1, SRDH2_30470.8, SRDH2_30470.9	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2
OG0000622	SRDH2_75250.1	SHAE2_77860.1
OG0000623	SRDH2_14950.10, SRDH2_14950.5, SRDH2_14950.6, SRDH2_14950.7, SRDH2_14950.8, SRDH2_14950.9, SRDH2_14950.4, SRDH2_14950.3, SRDH2_14950.1, SRDH2_14950.2	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4
OG0000624	SRDH2_29350.1, SRDH2_29350.3, SRDH2_29350.2, SRDH2_29350.4, SRDH2_29350.5	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8
OG0000625	SRDH2_37510.1, SRDH2_37510.2, SRDH2_37510.3, SRDH2_37510.4, SRDH2_37510.5	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9
OG0000626	SRDH2_55740.1, SRDH2_55740.2	SHAE2_57930.2, SHAE2_57930.4, SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6
OG0000627	SRDH2_13770.2, SRDH2_13770.5	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7
OG0000628	SRDH2_62710.2, SRDH2_62710.3, SRDH2_62710.5, SRDH2_62710.6, SRDH2_62710.16, SRDH2_62710.13, SRDH2_62710.15, SRDH2_62710.9, SRDH2_62710.14, SRDH2_62710.11, SRDH2_62710.10, SRDH2_62710.1, SRDH2_62710.4, SRDH2_62710.7, SRDH2_62710.8, SRDH2_62710.12	SHAE2_65260.1, SHAE2_65260.2
OG0000629	SRDH2_39010.6, SRDH2_39010.8, SRDH2_39010.14, SRDH2_39010.9, SRDH2_39010.15, SRDH2_39010.13, SRDH2_39010.7, SRDH2_39010.12, SRDH2_39010.4, SRDH2_39010.1, SRDH2_39010.10, SRDH2_39010.11, SRDH2_39010.2, SRDH2_39010.3, SRDH2_39010.5	SHAE2_41780.1
OG0000630	SRDH2_60460.1, SRDH2_60460.2	SHAE2_62790.1
OG0000631	SRDH2_66410.1	SHAE2_70150.1
OG0000631	SRDH2_62740.1, SRDH2_62740.2, SRDH2_62740.3, SRDH2_62740.4	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4
OG0000632	SRDH2_15270.3, SRDH2_15270.4, SRDH2_15270.10, SRDH2_15270.2, SRDH2_15270.5, SRDH2_15270.1, SRDH2_15270.6, SRDH2_15270.9, SRDH2_15270.7, SRDH2_15270.8	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4
OG0000633	SRDH2_53500.2, SRDH2_53500.1, SRDH2_53500.3, SRDH2_53500.4	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8
OG0000636	SRDH2_97960.2, SRDH2_97960.4, SRDH2_97960.3, SRDH2_97960.1, SRDH2_97960.6, SRDH2_97960.5	SHAE2_100110.1
OG0000637	SRDH2_50390.1	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17
OG0000638	SRDH2_67670.1	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3
OG0000639	SRDH2_63410.13, SRDH2_63410.14, SRDH2_63410.3, SRDH2_63410.4, SRDH2_63410.11, SRDH2_63410.15, SRDH2_63410.12, SRDH2_63410.7, SRDH2_63410.8, SRDH2_63410.17, SRDH2_63410.6, SRDH2_63410.10, SRDH2_63410.5, SRDH2_63410.9, SRDH2_63410.2, SRDH2_63410.1, SRDH2_63410.16, SRDH2_63410.18	SHAE2_65930.1
OG0000640	SRDH2_87460.1, SRDH2_87020.1	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1
OG0000641	SRDH2_6740.1	SHAE2_7200.1
OG0000641	SRDH2_4580.1	SHAE2_5070.1
OG0000642	SRDH2_63480.1, SRDH2_63480.2, SRDH2_63480.10, SRDH2_63480.5, SRDH2_63480.3, SRDH2_63480.4, SRDH2_63480.6, SRDH2_63480.7, SRDH2_63480.8, SRDH2_63480.9	SHAE2_66000.2, SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4
OG0000643	SRDH2_53990.1	SHAE2_55330.1
OG0000643	SRDH2_54000.1, SRDH2_54000.2	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3
OG0000644	SRDH2_98990.1	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2
OG0000645	SRDH2_10740.2, SRDH2_10740.1	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1
OG0000646	SRDH2_9200.1, SRDH2_9190.2, SRDH2_9190.3, SRDH2_9190.8, SRDH2_9190.7, SRDH2_9190.4, SRDH2_9190.5, SRDH2_9190.6, SRDH2_9190.1	SHAE2_10750.1
OG0000647	SRDH2_63670.1, SRDH2_63670.2	SHAE2_66200.1
OG0000648	SRDH2_95100.1, SRDH2_95100.4, SRDH2_95100.5, SRDH2_95100.3, SRDH2_95100.2	SHAE2_97430.1, SHAE2_97410.1
OG0000649	SRDH2_61460.1	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3
OG0000650	SRDH2_79600.4, SRDH2_79600.5, SRDH2_79600.1, SRDH2_79600.2, SRDH2_79600.3, SRDH2_79600.8, SRDH2_79600.6, SRDH2_79600.7	SHAE2_82120.1
OG0000651	SRDH2_42080.4, SRDH2_42080.2, SRDH2_42080.3, SRDH2_42080.5, SRDH2_42080.6, SRDH2_42080.1, SRDH2_42080.7, SRDH2_42080.8, SRDH2_42080.10, SRDH2_42080.9, SRDH2_42080.11	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5
OG0000652	SRDH2_40370.7, SRDH2_40370.6, SRDH2_40370.2, SRDH2_40370.4, SRDH2_40370.3, SRDH2_40370.1, SRDH2_40370.5	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9
OG0000653	SRDH2_41000.1, SRDH2_40990.2, SRDH2_40990.1, SRDH2_40990.3	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2
OG0000654	SRDH2_38210.1	SHAE2_62100.1
OG0000655	SRDH2_83950.1	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8
OG0000656	SRDH2_77290.1, SRDH2_77290.6, SRDH2_77290.9, SRDH2_77290.7, SRDH2_77290.2, SRDH2_77290.3, SRDH2_77290.4, SRDH2_77290.8, SRDH2_77290.5	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6
OG0000657	SRDH2_92510.1, SRDH2_92510.2, SRDH2_92510.5, SRDH2_92510.6, SRDH2_92510.3, SRDH2_92510.4	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5
OG0000658	SRDH2_88500.1, SRDH2_1370.1, SRDH2_11200.1, SRDH2_28610.1, SRDH2_21430.1	SHAE2_98490.1, SHAE2_15610.1
OG0000659	SRDH2_42040.6, SRDH2_42040.7, SRDH2_42040.1, SRDH2_42040.11, SRDH2_42040.12, SRDH2_42040.13, SRDH2_42040.2, SRDH2_42040.3, SRDH2_42040.4, SRDH2_42040.8, SRDH2_42040.9, SRDH2_42040.5, SRDH2_42040.10, SRDH2_42040.14	SHAE2_44630.4, SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6
OG0000662	SRDH2_53760.1	SHAE2_55530.7, SHAE2_55530.1, SHAE2_55530.3, SHAE2_55530.2, SHAE2_55530.4, SHAE2_55530.5, SHAE2_55530.6
OG0000663	SRDH2_31940.1	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5
OG0000664	SRDH2_14340.3, SRDH2_14340.1, SRDH2_14340.2	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7
OG0000665	SRDH2_72630.1	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2
OG0000666	SRDH2_63400.5, SRDH2_63400.1, SRDH2_63400.3, SRDH2_63400.2, SRDH2_63400.6, SRDH2_63400.4	SHAE2_65920.2, SHAE2_65920.1, SHAE2_65920.3, SHAE2_65920.4
OG0000667	SRDH2_6290.1	SHAE2_6720.1
OG0000668	SRDH2_53580.1, SRDH2_53580.8, SRDH2_53580.4, SRDH2_53580.6, SRDH2_53580.7, SRDH2_53580.2, SRDH2_53580.3, SRDH2_53580.5, SRDH2_53580.10, SRDH2_53580.9	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3
OG0000669	SRDH2_70300.1, SRDH2_70300.2, SRDH2_70300.5, SRDH2_70300.3, SRDH2_70300.4	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8
OG0000670	SRDH2_44880.1	SHAE2_47450.1, SHAE2_47450.2
OG0000671	SRDH2_78560.6, SRDH2_78560.1, SRDH2_78560.11, SRDH2_78560.10, SRDH2_78560.4, SRDH2_78560.8, SRDH2_78560.9, SRDH2_78560.3, SRDH2_78560.5, SRDH2_78560.2, SRDH2_78560.7	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5
OG0000672	SRDH2_44470.4, SRDH2_44470.5, SRDH2_44470.9, SRDH2_44470.6, SRDH2_44470.8, SRDH2_44470.7, SRDH2_44470.1, SRDH2_44470.3, SRDH2_44470.2	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1
OG0000673	SRDH2_16600.1	SHAE2_18160.1
OG0000674	SRDH2_80150.1, SRDH2_80150.2, SRDH2_80150.7, SRDH2_80150.3, SRDH2_80150.4, SRDH2_80150.5, SRDH2_80150.6	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7
OG0000676	SRDH2_83890.1, SRDH2_83890.2, SRDH2_83890.3, SRDH2_83890.4, SRDH2_83890.5, SRDH2_83890.6, SRDH2_83890.7, SRDH2_83890.8, SRDH2_83890.9	SHAE2_86060.1
OG0000677	SRDH2_5290.1, SRDH2_5300.3, SRDH2_5300.2, SRDH2_5300.1	SHAE2_5740.1
OG0000678	SRDH2_38460.7, SRDH2_38460.2, SRDH2_38460.6, SRDH2_38460.5, SRDH2_38460.1, SRDH2_38460.3, SRDH2_38460.4	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6
OG0000679	SRDH2_73470.5, SRDH2_73470.7, SRDH2_73470.8, SRDH2_73470.3, SRDH2_73470.1, SRDH2_73470.2, SRDH2_73470.4, SRDH2_73470.6, SRDH2_73470.10, SRDH2_73470.11, SRDH2_73470.9	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7
OG0000680	SRDH2_17380.1, SRDH2_17380.5, SRDH2_17380.6, SRDH2_17380.7, SRDH2_17380.2, SRDH2_17380.3, SRDH2_17380.8, SRDH2_17380.4	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6
OG0000681	SRDH2_32450.4, SRDH2_32450.7, SRDH2_32450.3, SRDH2_32450.2, SRDH2_32450.5, SRDH2_32450.6, SRDH2_32450.1	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3
OG0000682	SRDH2_43300.2, SRDH2_43300.3, SRDH2_43300.6, SRDH2_43300.5, SRDH2_43300.4, SRDH2_43300.7, SRDH2_43300.8, SRDH2_43300.1	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3
OG0000683	SRDH2_56130.1	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3
OG0000683	SRDH2_68900.1, SRDH2_68900.2, SRDH2_68900.3, SRDH2_68900.4	SHAE2_71530.2, SHAE2_71530.1
OG0000684	SRDH2_87330.1, SRDH2_87330.2	SHAE2_89870.1
OG0000685	SRDH2_77100.1	SHAE2_79720.1, SHAE2_79720.2
OG0000686	SRDH2_61630.4, SRDH2_61630.3, SRDH2_61630.2, SRDH2_61630.1	SHAE2_64060.7, SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6, SHAE2_64060.2, SHAE2_64060.8
OG0000687	SRDH2_27200.3, SRDH2_27200.5, SRDH2_27200.4, SRDH2_27200.7, SRDH2_27200.6, SRDH2_27200.1, SRDH2_27200.2	SHAE2_29090.1
OG0000688	SRDH2_660.1	SHAE2_910.3, SHAE2_910.6, SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7
OG0000689	SRDH2_3020.5, SRDH2_3020.6, SRDH2_3020.13, SRDH2_3020.14, SRDH2_3020.7, SRDH2_3020.9, SRDH2_3020.1, SRDH2_3020.10, SRDH2_3020.12, SRDH2_3020.2, SRDH2_3020.3, SRDH2_3020.4, SRDH2_3020.8, SRDH2_3020.11, SRDH2_3020.15	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3
OG0000690	SRDH2_23480.2, SRDH2_23480.7, SRDH2_23480.1, SRDH2_23480.4, SRDH2_23480.6, SRDH2_23480.8, SRDH2_23480.5, SRDH2_23480.3	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5
OG0000691	SRDH2_58710.1, SRDH2_92400.1, SRDH2_55860.2, SRDH2_55860.3, SRDH2_9070.1, SRDH2_9070.2, SRDH2_98020.1, SRDH2_92400.2, SRDH2_55860.1, SRDH2_12700.1, SRDH2_95680.1, SRDH2_6860.1, SRDH2_27390.1, SRDH2_33640.1	SHAE2_86430.1, SHAE2_78850.1, SHAE2_43640.1, SHAE2_22270.2, SHAE2_22270.1, SHAE2_37520.2, SHAE2_37520.1, SHAE2_10000.1, SHAE2_10000.3, SHAE2_10000.2, SHAE2_98260.1, SHAE2_98260.2
OG0000692	SRDH2_17530.1, SRDH2_17530.2, SRDH2_17530.3, SRDH2_17530.6, SRDH2_17530.4, SRDH2_17530.5	SHAE2_19230.3, SHAE2_19230.1, SHAE2_19230.2
OG0000695	SRDH2_99540.1	SHAE2_101610.1
OG0000695	SRDH2_45790.2, SRDH2_45790.3, SRDH2_45790.1	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4
OG0000696	SRDH2_5500.1	SHAE2_5960.2, SHAE2_5960.6, SHAE2_5960.3, SHAE2_5960.4, SHAE2_5960.5, SHAE2_5960.7, SHAE2_5960.1
OG0000697	SRDH2_40450.1	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1
OG0000698	SRDH2_18520.1, SRDH2_18520.2, SRDH2_18520.10, SRDH2_18520.11, SRDH2_18520.12, SRDH2_18520.13, SRDH2_18520.6, SRDH2_18520.7, SRDH2_18520.8, SRDH2_18520.9, SRDH2_18520.14, SRDH2_18520.3, SRDH2_18520.5, SRDH2_18520.15, SRDH2_18520.4	SHAE2_20210.1
OG0000699	SRDH2_46750.3, SRDH2_46750.1, SRDH2_46750.2	SHAE2_49050.1, SHAE2_49060.1
OG0000700	SRDH2_28600.1	SHAE2_30500.1
OG0000700	SRDH2_24350.1	SHAE2_26390.1
OG0000700	SRDH2_24360.1	SHAE2_26400.1
OG0000700	SRDH2_24370.1, SRDH2_24370.2	SHAE2_26410.1
OG0000701	SRDH2_62420.2, SRDH2_62420.3, SRDH2_62420.4, SRDH2_62420.7, SRDH2_62420.1, SRDH2_62420.5, SRDH2_62420.6, SRDH2_62420.8	SHAE2_64920.2, SHAE2_64920.4, SHAE2_64920.5, SHAE2_64920.3, SHAE2_64920.6, SHAE2_64920.1
OG0000702	SRDH2_89410.19, SRDH2_89410.16, SRDH2_89410.13, SRDH2_89410.10, SRDH2_89410.14, SRDH2_89410.15, SRDH2_89410.18, SRDH2_89410.20, SRDH2_89410.9, SRDH2_89410.21, SRDH2_89410.3, SRDH2_89410.4, SRDH2_89410.6, SRDH2_89410.12, SRDH2_89410.2, SRDH2_89410.11, SRDH2_89410.17, SRDH2_89410.5, SRDH2_89410.7, SRDH2_89410.1, SRDH2_89410.8	SHAE2_92210.5, SHAE2_92210.7, SHAE2_92210.1, SHAE2_92210.2, SHAE2_92210.4, SHAE2_92210.3, SHAE2_92210.8, SHAE2_92210.6
OG0000703	SRDH2_190.1, SRDH2_190.3, SRDH2_190.2	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3
OG0000704	SRDH2_49040.1, SRDH2_49040.2, SRDH2_49040.3	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8
OG0000705	SRDH2_6190.1, SRDH2_6190.5, SRDH2_6190.3, SRDH2_6190.4, SRDH2_6190.2	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6
OG0000706	SRDH2_43620.1	SHAE2_46200.1
OG0000706	SRDH2_53670.1, SRDH2_53670.2, SRDH2_53670.3	SHAE2_55630.1, SHAE2_55630.2
OG0000707	SRDH2_97620.1, SRDH2_97620.2, SRDH2_97620.3	SHAE2_99610.1
OG0000708	SRDH2_37730.1	SHAE2_40130.1
OG0000709	SRDH2_43880.1, SRDH2_43880.2	SHAE2_46460.1
OG0000710	SRDH2_8200.11, SRDH2_8200.5, SRDH2_8200.6, SRDH2_8200.9, SRDH2_8200.8, SRDH2_8200.10, SRDH2_8200.12, SRDH2_8200.4, SRDH2_8200.7, SRDH2_8200.3, SRDH2_8200.1, SRDH2_8200.2	SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5
OG0000711	SRDH2_76260.2, SRDH2_76260.1, SRDH2_76260.4, SRDH2_76260.5, SRDH2_76260.3	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8
OG0000712	SRDH2_53320.1	SHAE2_55980.6, SHAE2_55980.2, SHAE2_55980.4, SHAE2_55980.3, SHAE2_55980.8, SHAE2_55980.1, SHAE2_55980.7, SHAE2_55980.5
OG0000713	SRDH2_73970.1	SHAE2_76050.1, SHAE2_76050.2, SHAE2_76050.4, SHAE2_76050.8, SHAE2_76050.3, SHAE2_76050.5, SHAE2_76050.7, SHAE2_76050.6, SHAE2_76050.9
OG0000714	SRDH2_47070.2, SRDH2_47070.6, SRDH2_47070.9, SRDH2_47070.7, SRDH2_47070.3, SRDH2_47070.5, SRDH2_47070.1, SRDH2_47070.11, SRDH2_47070.4, SRDH2_47070.10, SRDH2_47070.8	SHAE2_48630.1, SHAE2_49500.7, SHAE2_48630.2, SHAE2_49500.8, SHAE2_49500.9, SHAE2_49500.3, SHAE2_49500.5, SHAE2_49500.6, SHAE2_49500.2, SHAE2_49500.1, SHAE2_49500.4
OG0000715	SRDH2_27760.6, SRDH2_27760.5, SRDH2_27760.1, SRDH2_27760.2, SRDH2_27760.3, SRDH2_27760.4	SHAE2_29620.2, SHAE2_29620.1, SHAE2_29620.3, SHAE2_29620.6, SHAE2_29620.7, SHAE2_29620.8, SHAE2_29620.9, SHAE2_29620.4, SHAE2_29620.10, SHAE2_29620.5
OG0000716	SRDH2_11870.2, SRDH2_11870.1, SRDH2_11870.4, SRDH2_11870.5, SRDH2_11870.3	SHAE2_13580.3, SHAE2_13580.2, SHAE2_13580.1, SHAE2_13580.5, SHAE2_13580.4
OG0000717	SRDH2_60610.1, SRDH2_60610.2, SRDH2_60610.3, SRDH2_60610.4, SRDH2_60610.5, SRDH2_60610.6, SRDH2_60610.7	SHAE2_62980.1
OG0000718	SRDH2_76530.1	SHAE2_79230.4, SHAE2_79230.2, SHAE2_79230.3, SHAE2_79230.1, SHAE2_79230.5, SHAE2_79230.6, SHAE2_79230.7, SHAE2_79230.8
OG0000719	SRDH2_56140.4, SRDH2_56140.1, SRDH2_56140.2, SRDH2_56140.5, SRDH2_56140.7, SRDH2_56140.9, SRDH2_56140.6, SRDH2_56140.8, SRDH2_56140.3, SRDH2_56140.10	SHAE2_58310.4, SHAE2_58310.6, SHAE2_58310.1, SHAE2_58310.3, SHAE2_58310.5, SHAE2_58310.2
OG0000720	SRDH2_78850.1	SHAE2_81340.1
OG0000721	SRDH2_46480.2, SRDH2_46480.4, SRDH2_46480.12, SRDH2_46480.7, SRDH2_46480.9, SRDH2_46480.13, SRDH2_46480.5, SRDH2_46480.8, SRDH2_46480.3, SRDH2_46480.1, SRDH2_46480.11, SRDH2_46480.6, SRDH2_46480.10	SHAE2_49250.1
OG0000722	SRDH2_5400.1, SRDH2_5400.9, SRDH2_5400.10, SRDH2_5400.6, SRDH2_5400.2, SRDH2_5400.3, SRDH2_5400.4, SRDH2_5400.5, SRDH2_5400.7, SRDH2_5400.8	SHAE2_5860.2, SHAE2_5860.3, SHAE2_5860.1, SHAE2_5860.4
OG0000723	SRDH2_78550.1, SRDH2_78550.3, SRDH2_78550.4, SRDH2_78550.10, SRDH2_78550.8, SRDH2_78550.7, SRDH2_78550.5, SRDH2_78550.2, SRDH2_78550.9, SRDH2_78550.6	SHAE2_81080.7, SHAE2_81080.2, SHAE2_81080.4, SHAE2_81080.5, SHAE2_81080.1, SHAE2_81080.8, SHAE2_81080.6, SHAE2_81080.3, SHAE2_81080.9
OG0000724	SRDH2_42140.1, SRDH2_42140.2, SRDH2_42140.3	SHAE2_44700.1, SHAE2_44700.3, SHAE2_44700.4, SHAE2_44700.2, SHAE2_44700.5, SHAE2_44700.6
OG0000725	SRDH2_78920.1	SHAE2_81420.9, SHAE2_81420.10, SHAE2_81420.3, SHAE2_81420.2, SHAE2_81420.8, SHAE2_81420.1, SHAE2_81420.5, SHAE2_81420.6, SHAE2_81420.7, SHAE2_81420.4, SHAE2_81420.11
OG0000726	SRDH2_30220.1, SRDH2_30220.2	SHAE2_32100.1
OG0000726	SRDH2_30230.1	SHAE2_32110.1
