Orthogroup	schistosoma_intercalatum	schmidtea_mediterranea
OG0000708	SINT1_37190.1, SINT1_37190.3, SINT1_37190.5, SINT1_37190.4, SINT1_37190.2	h1SMcT0008283.2, h1SMcT0008283.4, h1SMcT0008283.3, h1SMcT0008283.1, h1SMcT0008283.5
OG0000709	SINT1_43650.1, SINT1_43650.2, SINT1_43650.4, SINT1_43650.5, SINT1_43650.9, SINT1_43650.3, SINT1_43650.6, SINT1_43650.7, SINT1_43650.8	h1SMcT0004212.1
OG0000710	SINT1_8060.1, SINT1_7950.9, SINT1_7950.7, SINT1_7950.8, SINT1_7950.6	h1SMcT0004295.1, h1SMcT0010571.1
OG0000711	SINT1_73420.1	h1SMcT0020247.1
OG0000712	SINT1_52680.1	h1SMcT0022628.1, h1SMcT0022628.2, h1SMcT0022628.3
OG0000714	SINT1_46250.1	h1SMcT0013833.1
OG0000715	SINT1_27420.1, SINT1_27420.2, SINT1_27420.4, SINT1_27420.3	h1SMcT0013928.1, h1SMcT0013928.3
OG0000716	SINT1_11840.1, SINT1_11840.3, SINT1_11840.2	h1SMcT0017449.3, h1SMcT0017449.1, h1SMcT0017449.2
OG0000717	SINT1_58730.1	h1SMcT0005890.1
OG0000718	SINT1_73680.1, SINT1_73680.2	h1SMcT0019140.3, h1SMcT0014134.1, h1SMcT0014134.2, h1SMcT0018100.2, h1SMcT0018373.3, h1SMcT0002221.2, h1SMcT0002221.4, h1SMcT0002221.6, h1SMcT0002221.5, h1SMcT0001082.7, h1SMcT0001082.9, h1SMcT0001082.1, h1SMcT0001082.5, h1SMcT0001082.6
OG0000719	SINT1_55000.1, SINT1_55000.2, SINT1_55000.3	h1SMcT0003953.1
OG0000720	SINT1_75720.1, SINT1_75710.1	h1SMcT0001353.1
OG0000722	SINT1_5310.2, SINT1_5310.1, SINT1_5310.3	h1SMcT0010769.1, h1SMcT0010769.2, h1SMcT0010770.1, h1SMcT0010770.2
OG0000723	SINT1_75450.1, SINT1_75450.3, SINT1_75450.2, SINT1_75450.4	h1SMcT0006520.1, h1SMcT0006522.1
OG0000724	SINT1_41830.6, SINT1_41830.3, SINT1_41830.1, SINT1_41830.2, SINT1_41830.4, SINT1_41830.5	h1SMcT0017100.1, h1SMcT0017100.2, h1SMcT0017100.3
OG0000726	SINT1_29880.1, SINT1_29890.1	h1SMcT0007616.1, h1SMcT0007616.2
OG0000728	SINT1_48360.4, SINT1_48360.2, SINT1_48360.1, SINT1_48360.3	h1SMcT0017035.1
OG0000729	SINT1_8940.4, SINT1_8940.5, SINT1_8940.6, SINT1_8940.2, SINT1_8940.1, SINT1_8940.3	h1SMcT0016744.1, h1SMcT0016744.2
OG0000730	SINT1_59790.2, SINT1_59790.3, SINT1_59790.1	h1SMcT0010082.1, h1SMcT0010082.2, h1SMcT0010082.3
OG0000731	SINT1_75110.1	h1SMcT0010461.1, h1SMcT0010461.3, h1SMcT0010461.2, h1SMcT0010461.4
OG0000732	SINT1_3430.5, SINT1_3430.1, SINT1_3430.6, SINT1_3430.7, SINT1_3430.2, SINT1_3430.4, SINT1_3430.3	h1SMcT0008186.1
OG0000733	SINT1_2770.3, SINT1_2770.1, SINT1_2770.4, SINT1_2770.2	h1SMcT0021193.1
OG0000736	SINT1_76920.1, SINT1_76920.2	h1SMcT0016952.1, h1SMcT0016952.2
OG0000738	SINT1_69080.1, SINT1_69080.5, SINT1_69080.2, SINT1_69080.4, SINT1_69080.6, SINT1_69080.3, SINT1_69080.7, SINT1_69070.1	h1SMcT0008294.1
OG0000739	SINT1_56690.1, SINT1_56690.2, SINT1_56690.3	h1SMcT0014531.1
OG0000740	SINT1_8470.1, SINT1_8470.2, SINT1_8470.3, SINT1_8470.6, SINT1_8470.4, SINT1_8470.5, SINT1_8470.7, SINT1_8470.8	h1SMcT0010959.1
OG0000741	SINT1_82900.5, SINT1_82900.3, SINT1_82900.1, SINT1_82900.2, SINT1_82900.4	h1SMcT0004042.1, h1SMcT0004042.2
OG0000743	SINT1_22750.1, SINT1_22750.2	h1SMcT0003842.2
OG0000744	SINT1_3520.1	h1SMcT0004810.1, h1SMcT0004810.5, h1SMcT0004810.3, h1SMcT0004810.4, h1SMcT0004810.2
OG0000745	SINT1_38100.1, SINT1_38100.2	h1SMcT0000463.1
OG0000746	SINT1_60430.2, SINT1_60430.1, SINT1_60430.3	h1SMcT0008650.12, h1SMcT0008650.22, h1SMcT0008650.24, h1SMcT0008650.8, h1SMcT0008650.4, h1SMcT0008650.20, h1SMcT0008650.16, h1SMcT0008650.11, h1SMcT0008650.3, h1SMcT0008650.9, h1SMcT0008650.7, h1SMcT0008650.13, h1SMcT0008650.17, h1SMcT0008650.15, h1SMcT0008650.21, h1SMcT0008650.6, h1SMcT0008650.19, h1SMcT0008650.14, h1SMcT0008650.1, h1SMcT0008650.2, h1SMcT0008650.18, h1SMcT0008650.10, h1SMcT0008650.5, h1SMcT0008650.23
OG0000747	SINT1_42860.1	h1SMcT0015570.1, h1SMcT0013888.1, h1SMcT0013888.2
OG0000748	SINT1_69510.4, SINT1_69510.2, SINT1_69510.3, SINT1_69510.6, SINT1_69510.1, SINT1_69510.5	h1SMcT0021267.1, h1SMcT0021267.2, h1SMcT0021882.3, h1SMcT0021882.1, h1SMcT0021882.2, h1SMcT0021882.4
OG0000749	SINT1_68890.1	h1SMcT0014961.3, h1SMcT0014961.1, h1SMcT0014961.2
OG0000750	SINT1_73320.3, SINT1_73320.4, SINT1_73320.1, SINT1_73320.2, SINT1_73320.5, SINT1_73320.6	h1SMcT0017309.2, h1SMcT0017309.3, h1SMcT0017309.1
OG0000751	SINT1_5440.1, SINT1_2500.1	h1SMcT0016766.1, h1SMcT0019426.1, h1SMcT0002043.1, h1SMcT0002054.1
OG0000752	SINT1_91160.1, SINT1_91210.1	h1SMcT0008944.1, h1SMcT0013028.1, h1SMcT0013029.1, h1SMcT0016615.1, h1SMcT0015880.1
OG0000753	SINT1_81530.3, SINT1_81530.1, SINT1_81530.2	h1SMcT0001067.3
OG0000754	SINT1_50250.9, SINT1_50250.10, SINT1_50250.12, SINT1_50250.13, SINT1_50250.2, SINT1_50250.11, SINT1_50250.14, SINT1_50250.1, SINT1_50250.5, SINT1_50250.7, SINT1_50250.6, SINT1_50250.8, SINT1_50250.3, SINT1_50250.4	h1SMcT0013180.2, h1SMcT0013180.1, h1SMcT0013180.3
OG0000755	SINT1_74410.3, SINT1_74410.1, SINT1_74410.2, SINT1_74410.4	h1SMcT0000011.1, h1SMcT0015157.1
OG0000756	SINT1_39030.1	h1SMcT0015447.1
OG0000757	SINT1_52550.2, SINT1_52550.3, SINT1_52550.1	h1SMcT0005050.8, h1SMcT0005050.5, h1SMcT0005050.3, h1SMcT0005050.4, h1SMcT0005050.7
OG0000760	SINT1_77620.1, SINT1_77620.10, SINT1_77620.11, SINT1_77620.12, SINT1_77620.2, SINT1_77620.3, SINT1_77620.4, SINT1_77620.5, SINT1_77620.6, SINT1_77620.7, SINT1_77620.8, SINT1_77620.9	h1SMcT0006973.1
OG0000761	SINT1_53610.2, SINT1_53610.4, SINT1_53610.1, SINT1_53610.5, SINT1_53610.9, SINT1_53610.7, SINT1_53610.6, SINT1_53610.8, SINT1_53610.3	h1SMcT0013573.1
OG0000762	SINT1_80630.1	h1SMcT0004438.1, h1SMcT0004438.2, h1SMcT0001956.1
OG0000762	SINT1_85900.1, SINT1_85900.2, SINT1_85900.3	h1SMcT0020895.1, h1SMcT0004793.1, h1SMcT0004793.2
OG0000763	SINT1_19820.5, SINT1_19820.1, SINT1_19820.2, SINT1_19820.3, SINT1_19820.4	h1SMcT0003782.1
OG0000764	SINT1_9100.5, SINT1_9100.3, SINT1_9100.2, SINT1_9100.1, SINT1_9100.4	h1SMcT0013512.1, h1SMcT0013512.2
OG0000765	SINT1_52930.1, SINT1_52940.1	h1SMcT0001915.2, h1SMcT0001915.3
OG0000766	SINT1_62770.1	h1SMcT0011470.1
OG0000767	SINT1_64820.1, SINT1_64820.2	h1SMcT0001545.1, h1SMcT0016721.3, h1SMcT0016721.1, h1SMcT0016721.2
OG0000768	SINT1_40010.2, SINT1_40010.3, SINT1_40010.1, SINT1_40010.4, SINT1_40010.5	h1SMcT0021396.1, h1SMcT0021396.2
OG0000770	SINT1_17990.1, SINT1_17990.2, SINT1_17990.3	h1SMcT0001664.1, h1SMcT0001664.2
OG0000771	SINT1_78770.1	h1SMcT0011512.1
OG0000772	SINT1_16850.1, SINT1_16860.2, SINT1_16860.1, SINT1_16860.3, SINT1_16860.4, SINT1_16860.5	h1SMcT0004399.3, h1SMcT0004399.1, h1SMcT0004399.2
OG0000773	SINT1_25800.3, SINT1_25800.2, SINT1_25800.1	h1SMcT0017259.3, h1SMcT0017259.2, h1SMcT0017259.1
OG0000774	SINT1_47130.1, SINT1_47130.2	h1SMcT0003510.1
OG0000776	SINT1_45850.1, SINT1_56460.1	h1SMcT0022578.1
OG0000777	SINT1_52160.3, SINT1_52160.1, SINT1_52160.6, SINT1_52160.5, SINT1_52160.2, SINT1_52160.4, SINT1_52160.8, SINT1_52160.7	h1SMcT0018313.1, h1SMcT0006394.1, h1SMcT0006394.2
OG0000778	SINT1_23030.1, SINT1_23030.3, SINT1_23030.2	h1SMcT0010991.3, h1SMcT0010991.1, h1SMcT0010991.4, h1SMcT0010991.2
OG0000779	SINT1_3610.1	h1SMcT0013585.1, h1SMcT0013585.4, h1SMcT0013585.3, h1SMcT0013585.2, h1SMcT0013585.5, h1SMcT0006377.4, h1SMcT0006377.3, h1SMcT0006377.1, h1SMcT0006377.2, h1SMcT0010855.1, h1SMcT0010855.2
OG0000780	SINT1_14980.1	h1SMcT0021164.1, h1SMcT0021164.2, h1SMcT0021164.5, h1SMcT0021164.3, h1SMcT0021164.4
OG0000781	SINT1_11380.1	h1SMcT0022513.1, h1SMcT0022513.2, h1SMcT0022513.3
OG0000781	SINT1_460.2, SINT1_460.1, SINT1_460.3, SINT1_460.4	h1SMcT0007825.1, h1SMcT0007825.2, h1SMcT0007825.3, h1SMcT0007825.4, h1SMcT0007825.5, h1SMcT0002376.1, h1SMcT0021957.1, h1SMcT0005745.1, h1SMcT0005745.2
OG0000782	SINT1_31730.1	h1SMcT0016917.1, h1SMcT0016917.3, h1SMcT0016917.4, h1SMcT0016917.7, h1SMcT0016917.5, h1SMcT0016917.2
OG0000783	SINT1_50520.1, SINT1_50520.2, SINT1_50520.3	h1SMcT0001660.1, h1SMcT0001660.2
OG0000784	SINT1_31650.4, SINT1_31650.3, SINT1_31650.2, SINT1_31650.1, SINT1_31650.5, SINT1_31650.6	h1SMcT0005749.1, h1SMcT0005749.2
OG0000786	SINT1_40750.5, SINT1_40750.2, SINT1_40750.1, SINT1_40750.4, SINT1_40750.3	h1SMcT0005490.2, h1SMcT0005490.3, h1SMcT0005490.1, h1SMcT0005490.4
OG0000787	SINT1_91330.1, SINT1_91330.2, SINT1_59320.1	h1SMcT0014586.1, h1SMcT0010263.1, h1SMcT0010263.2
OG0000788	SINT1_13680.1	h1SMcT0001702.1
OG0000790	SINT1_39340.1, SINT1_39340.2, SINT1_39340.3, SINT1_39340.4	h1SMcT0008456.1, h1SMcT0008456.2
OG0000792	SINT1_5640.2, SINT1_5640.1, SINT1_5640.3, SINT1_5640.4	h1SMcT0018319.1, h1SMcT0016624.1, h1SMcT0016624.2, h1SMcT0006125.1, h1SMcT0014628.1
OG0000793	SINT1_34260.3, SINT1_34260.1, SINT1_34260.2, SINT1_34260.4	h1SMcT0020639.1, h1SMcT0020639.3, h1SMcT0020639.5, h1SMcT0020639.4
OG0000794	SINT1_10230.1	h1SMcT0007112.1
OG0000795	SINT1_93650.7, SINT1_93650.6, SINT1_93650.3, SINT1_93650.1, SINT1_93650.2, SINT1_93650.4, SINT1_93650.5	h1SMcT0016007.1, h1SMcT0016007.2
OG0000797	SINT1_20130.6, SINT1_20130.2, SINT1_20130.5, SINT1_20130.3, SINT1_20130.4, SINT1_20130.1	h1SMcT0015604.1, h1SMcT0015604.2
OG0000798	SINT1_1260.1, SINT1_1260.2, SINT1_1260.3	h1SMcT0021362.1, h1SMcT0021362.4, h1SMcT0021362.3, h1SMcT0021362.2
OG0000800	SINT1_10160.1	h1SMcT0012033.2, h1SMcT0013420.1
OG0000801	SINT1_15740.2, SINT1_15740.1, SINT1_15740.3	h1SMcT0003229.1, h1SMcT0014918.1
OG0000802	SINT1_72380.1	h1SMcT0021221.1, h1SMcT0021221.2
OG0000802	SINT1_58280.1	h1SMcT0009969.1, h1SMcT0009969.2, h1SMcT0019836.1, h1SMcT0019836.4, h1SMcT0019836.6, h1SMcT0019836.5, h1SMcT0019836.3, h1SMcT0019836.2
OG0000803	SINT1_78010.2, SINT1_78010.1	h1SMcT0006070.1, h1SMcT0016640.1, h1SMcT0016640.3, h1SMcT0016640.2, h1SMcT0016640.4
OG0000804	SINT1_41330.1, SINT1_41330.2, SINT1_41330.4, SINT1_41330.5, SINT1_41330.3, SINT1_41330.6	h1SMcT0006574.1
OG0000805	SINT1_36400.1	h1SMcT0000629.2, h1SMcT0000629.1, h1SMcT0000629.3, h1SMcT0004055.1, h1SMcT0004055.2
OG0000806	SINT1_72740.1, SINT1_72740.2	h1SMcT0013921.2
OG0000807	SINT1_9860.1, SINT1_9860.2	h1SMcT0018301.1, h1SMcT0018301.2
OG0000808	SINT1_91880.1, SINT1_91890.1, SINT1_91890.4, SINT1_91890.2, SINT1_91890.3	h1SMcT0012563.1, h1SMcT0012563.2, h1SMcT0012563.3, h1SMcT0012563.4
OG0000809	SINT1_89370.1, SINT1_89370.2, SINT1_89370.4, SINT1_89370.5, SINT1_89370.3	h1SMcT0009960.1, h1SMcT0009960.2, h1SMcT0009960.3
OG0000810	SINT1_25130.1	h1SMcT0003091.1
OG0000811	SINT1_11150.1, SINT1_11150.2, SINT1_11150.3, SINT1_11150.4, SINT1_11150.5	h1SMcT0010199.1
OG0000812	SINT1_12150.1, SINT1_12150.2, SINT1_12150.3	h1SMcT0004071.1
OG0000813	SINT1_85090.1	h1SMcT0006829.3
OG0000814	SINT1_63100.1	h1SMcT0021195.1
OG0000815	SINT1_59300.3, SINT1_59300.1, SINT1_59300.2, SINT1_59300.5, SINT1_59300.4	h1SMcT0019063.1, h1SMcT0019063.2, h1SMcT0019063.3
OG0000816	SINT1_82520.1, SINT1_82520.2, SINT1_82520.3, SINT1_82520.4	h1SMcT0020527.1, h1SMcT0020527.2
OG0000818	SINT1_11620.1, SINT1_11620.3, SINT1_11620.2	h1SMcT0018089.1, h1SMcT0018089.4, h1SMcT0018089.2, h1SMcT0018089.3
OG0000819	SINT1_64960.2, SINT1_64960.4, SINT1_64960.1, SINT1_64960.3	h1SMcT0007829.1, h1SMcT0007829.2, h1SMcT0007826.3, h1SMcT0007826.1, h1SMcT0007826.2
OG0000820	SINT1_83190.1	h1SMcT0005369.1, h1SMcT0004527.1, h1SMcT0004527.2, h1SMcT0004527.3, h1SMcT0004527.4, h1SMcT0004527.5, h1SMcT0004527.6, h1SMcT0004527.7, h1SMcT0004527.8, h1SMcT0004527.9, h1SMcT0004523.1, h1SMcT0004525.1, h1SMcT0019236.1
OG0000820	SINT1_27990.1	h1SMcT0005498.1
OG0000821	SINT1_49050.1	h1SMcT0017236.1
OG0000823	SINT1_53300.1	h1SMcT0009958.1, h1SMcT0009958.2, h1SMcT0009958.3
OG0000823	SINT1_91290.1, SINT1_91300.1	h1SMcT0005546.1, h1SMcT0005547.1
OG0000824	SINT1_3060.1, SINT1_3060.4, SINT1_3060.3, SINT1_3060.2, SINT1_3060.6, SINT1_3060.5	h1SMcT0021534.1, h1SMcT0019872.1, h1SMcT0019872.2, h1SMcT0001657.1, h1SMcT0001657.2
OG0000825	SINT1_75930.1, SINT1_75930.2, SINT1_75930.4, SINT1_75930.3, SINT1_75900.1, SINT1_75890.1	h1SMcT0010927.1
OG0000826	SINT1_55170.3, SINT1_55170.1, SINT1_55170.4, SINT1_55170.2	h1SMcT0019928.1
OG0000827	SINT1_74320.1	h1SMcT0015163.1
OG0000827	SINT1_74310.1, SINT1_74310.2	h1SMcT0022556.1, h1SMcT0022556.2
OG0000828	SINT1_89110.1	h1SMcT0001350.1, h1SMcT0001350.3, h1SMcT0001350.2, h1SMcT0021319.1, h1SMcT0021317.1, h1SMcT0021317.2, h1SMcT0021317.3, h1SMcT0011631.1, h1SMcT0011608.1, h1SMcT0011624.1, h1SMcT0011620.1, h1SMcT0011630.1, h1SMcT0011612.1, h1SMcT0011623.1, h1SMcT0011613.1, h1SMcT0011618.1, h1SMcT0011619.1, h1SMcT0011621.1, h1SMcT0011625.1, h1SMcT0011626.1
OG0000830	SINT1_48820.2, SINT1_48820.3, SINT1_48820.1	h1SMcT0009891.1, h1SMcT0018192.1, h1SMcT0018192.2
OG0000831	SINT1_42440.3, SINT1_42440.1, SINT1_42440.4, SINT1_42440.5, SINT1_42440.2	h1SMcT0015193.1, h1SMcT0015193.2
OG0000832	SINT1_60050.2, SINT1_60050.1	h1SMcT0018143.1, h1SMcT0018145.3, h1SMcT0018145.1, h1SMcT0018145.2
OG0000833	SINT1_33300.1, SINT1_33300.3, SINT1_33300.2, SINT1_33300.4	h1SMcT0001820.1, h1SMcT0001820.2
OG0000834	SINT1_48650.1	h1SMcT0022269.1
OG0000835	SINT1_38110.1, SINT1_38110.2	h1SMcT0010046.1, h1SMcT0010046.2
OG0000836	SINT1_37330.4, SINT1_37330.5, SINT1_37330.2, SINT1_37330.3, SINT1_37330.1	h1SMcT0014195.1, h1SMcT0015379.2, h1SMcT0017356.1, h1SMcT0017356.2
OG0000837	SINT1_32380.2, SINT1_32380.3, SINT1_32380.1, SINT1_32380.5, SINT1_32380.4	h1SMcT0016959.1
OG0000838	SINT1_39150.1	h1SMcT0020983.1, h1SMcT0010597.3, h1SMcT0012064.2, h1SMcT0012064.1, h1SMcT0012064.17
OG0000839	SINT1_38540.3, SINT1_38540.1, SINT1_38540.2	h1SMcT0013664.2, h1SMcT0013664.1, h1SMcT0013664.7, h1SMcT0013664.4, h1SMcT0013664.3, h1SMcT0013664.5, h1SMcT0013664.6
OG0000840	SINT1_69580.1, SINT1_69580.2	h1SMcT0013836.3, h1SMcT0013836.1, h1SMcT0013836.2
OG0000841	SINT1_20460.2, SINT1_20460.7, SINT1_20460.4, SINT1_20460.3, SINT1_20460.6, SINT1_20460.5, SINT1_20460.1	h1SMcT0003475.1
OG0000842	SINT1_66450.1, SINT1_66450.2	h1SMcT0011841.4, h1SMcT0011841.1, h1SMcT0011841.2, h1SMcT0011841.5, h1SMcT0011841.3
OG0000843	SINT1_80990.1, SINT1_80990.2	h1SMcT0003292.3, h1SMcT0003292.6, h1SMcT0003292.5, h1SMcT0003292.4, h1SMcT0003292.2, h1SMcT0003292.1
OG0000844	SINT1_5220.10, SINT1_5220.3, SINT1_5220.4, SINT1_5220.7, SINT1_5220.1, SINT1_5220.11, SINT1_5220.5, SINT1_5220.6, SINT1_5220.8, SINT1_5220.9, SINT1_5220.2	h1SMcT0006102.1, h1SMcT0006102.2, h1SMcT0006102.3, h1SMcT0006102.4
OG0000845	SINT1_88300.2, SINT1_88300.1, SINT1_88300.3	h1SMcT0009034.1
OG0000846	SINT1_16940.1, SINT1_16940.2, SINT1_16940.3, SINT1_16940.4, SINT1_16940.5, SINT1_16940.6	h1SMcT0005561.1
OG0000847	SINT1_1170.1, SINT1_1170.2	h1SMcT0015404.1, h1SMcT0017264.1
OG0000848	SINT1_34870.4, SINT1_34870.2, SINT1_34870.5, SINT1_34870.3, SINT1_34870.6, SINT1_34870.1	h1SMcT0011564.1
OG0000849	SINT1_39190.1, SINT1_39190.2, SINT1_39190.3, SINT1_39190.4	h1SMcT0004291.2, h1SMcT0004291.3, h1SMcT0004291.1
OG0000850	SINT1_27390.4, SINT1_27390.6, SINT1_27390.1, SINT1_27390.7, SINT1_27390.2, SINT1_27390.3, SINT1_27390.5	h1SMcT0000657.1
OG0000851	SINT1_89380.1, SINT1_89380.2	h1SMcT0020207.3, h1SMcT0020207.1, h1SMcT0020207.2
OG0000853	SINT1_81500.1	h1SMcT0007873.1, h1SMcT0007873.2, h1SMcT0018242.1, h1SMcT0018242.2, h1SMcT0018232.1, h1SMcT0018232.2, h1SMcT0018232.3, h1SMcT0018232.4
OG0000854	SINT1_37340.1, SINT1_37340.3, SINT1_37340.2, SINT1_37340.4	h1SMcT0020539.2, h1SMcT0020539.3
OG0000856	SINT1_2940.5, SINT1_2940.2, SINT1_2940.3, SINT1_2940.4, SINT1_2940.1	h1SMcT0003963.1, h1SMcT0003963.2, h1SMcT0003963.3
OG0000857	SINT1_4110.1	h1SMcT0009908.1, h1SMcT0012127.1, h1SMcT0012127.3, h1SMcT0012127.2
OG0000858	SINT1_4510.2, SINT1_4510.1, SINT1_4510.4, SINT1_4510.3	h1SMcT0006257.1
OG0000859	SINT1_49470.4, SINT1_49470.2, SINT1_49470.3, SINT1_49470.1	h1SMcT0010529.1, h1SMcT0012292.1
OG0000860	SINT1_59580.1, SINT1_62150.1	h1SMcT0011028.1, h1SMcT0011028.2, h1SMcT0011028.3
OG0000861	SINT1_11800.1	h1SMcT0018409.1
OG0000862	SINT1_30070.2, SINT1_30070.3, SINT1_30070.4, SINT1_30070.5, SINT1_30070.6, SINT1_30070.1	h1SMcT0016664.1, h1SMcT0016664.2
OG0000863	SINT1_7370.1, SINT1_7360.1	h1SMcT0002951.1, h1SMcT0015621.1
OG0000864	SINT1_40340.1	h1SMcT0000106.2, h1SMcT0000106.1, h1SMcT0000106.3
OG0000866	SINT1_660.1, SINT1_95050.1	h1SMcT0006850.1, h1SMcT0006850.2
OG0000869	SINT1_87830.2, SINT1_87830.1, SINT1_87830.3	h1SMcT0010496.5, h1SMcT0010496.2, h1SMcT0010496.3, h1SMcT0010496.1, h1SMcT0010496.4
OG0000870	SINT1_910.4, SINT1_910.6, SINT1_910.1, SINT1_910.2, SINT1_910.3, SINT1_910.5	h1SMcT0007343.1, h1SMcT0007343.2, h1SMcT0001585.1, h1SMcT0001585.2
OG0000872	SINT1_3990.1	h1SMcT0002307.1, h1SMcT0002307.2, h1SMcT0002307.3
OG0000873	SINT1_85010.3, SINT1_85010.1, SINT1_85010.2, SINT1_85010.4, SINT1_85010.5	h1SMcT0007175.1, h1SMcT0007175.2, h1SMcT0022268.1
OG0000874	SINT1_43030.1	h1SMcT0000520.1
OG0000875	SINT1_62080.1, SINT1_62080.2, SINT1_62080.3, SINT1_62080.4	h1SMcT0023098.1
OG0000876	SINT1_96270.1, SINT1_23870.1	h1SMcT0011017.1
OG0000877	SINT1_7290.1	h1SMcT0011149.1
OG0000880	SINT1_78480.8, SINT1_78480.1, SINT1_78480.3, SINT1_78480.5, SINT1_78480.2, SINT1_78480.6, SINT1_78480.7, SINT1_78480.4	h1SMcT0011930.1, h1SMcT0011930.2, h1SMcT0011930.3
OG0000881	SINT1_4530.1	h1SMcT0016867.3, h1SMcT0016867.1, h1SMcT0016867.2, h1SMcT0010177.1, h1SMcT0010177.4, h1SMcT0010177.5, h1SMcT0010177.2
OG0000881	SINT1_89210.1	h1SMcT0015068.1, h1SMcT0015068.2, h1SMcT0000551.1
OG0000882	SINT1_22270.1	h1SMcT0019949.1
OG0000882	SINT1_40110.2, SINT1_40110.1	h1SMcT0013142.1, h1SMcT0015243.1
OG0000883	SINT1_40100.6, SINT1_40100.1, SINT1_40100.2, SINT1_40100.3, SINT1_40100.4, SINT1_40100.5, SINT1_40100.7	h1SMcT0017921.2, h1SMcT0017921.4, h1SMcT0017921.1, h1SMcT0017921.3, h1SMcT0017921.5
OG0000884	SINT1_39380.1, SINT1_39380.2, SINT1_39380.3	h1SMcT0006597.1, h1SMcT0022922.1
OG0000887	SINT1_19800.4, SINT1_19800.1, SINT1_19800.2, SINT1_19800.3	h1SMcT0011651.2, h1SMcT0011651.1, h1SMcT0011651.3
OG0000888	SINT1_77570.1, SINT1_77570.2, SINT1_77570.3, SINT1_77580.1	h1SMcT0018274.1, h1SMcT0006978.1, h1SMcT0006978.2
OG0000889	SINT1_27830.1, SINT1_27830.2, SINT1_27830.4, SINT1_27830.3	h1SMcT0000584.2, h1SMcT0000584.1, h1SMcT0000584.4, h1SMcT0000584.3, h1SMcT0000584.5
OG0000890	SINT1_40920.1	h1SMcT0001261.1
OG0000891	SINT1_37210.1, SINT1_37210.4, SINT1_37210.2, SINT1_37210.3	h1SMcT0019782.2
OG0000894	SINT1_96000.1, SINT1_86220.1, SINT1_86220.2	h1SMcT0012738.2, h1SMcT0012738.1, h1SMcT0012738.3
OG0000895	SINT1_44060.1, SINT1_44060.2	h1SMcT0017639.1
OG0000896	SINT1_21120.1	h1SMcT0016190.3
OG0000897	SINT1_10220.1, SINT1_10220.2	h1SMcT0013490.1
OG0000898	SINT1_71160.1, SINT1_71160.2, SINT1_71160.3, SINT1_71160.4, SINT1_71160.5	h1SMcT0009884.1, h1SMcT0009883.1, h1SMcT0009883.2
OG0000900	SINT1_3550.1, SINT1_3540.1	h1SMcT0012395.1
OG0000902	SINT1_55040.1, SINT1_55040.2, SINT1_55040.3	h1SMcT0010803.1, h1SMcT0010803.2, h1SMcT0010803.3
OG0000903	SINT1_15480.1	h1SMcT0005323.1, h1SMcT0005323.2
OG0000904	SINT1_5100.1, SINT1_5100.2, SINT1_5100.3, SINT1_5100.8, SINT1_5100.4, SINT1_5100.5, SINT1_5100.6, SINT1_5100.7	h1SMcT0018440.1
OG0000907	SINT1_73540.1	h1SMcT0018393.1, h1SMcT0004265.1, h1SMcT0004265.2, h1SMcT0004265.3, h1SMcT0000265.2, h1SMcT0000265.1, h1SMcT0000265.3, h1SMcT0004262.2, h1SMcT0004261.1, h1SMcT0004262.1, h1SMcT0004263.1, h1SMcT0022894.1, h1SMcT0004264.6, h1SMcT0004264.9, h1SMcT0004264.8, h1SMcT0004264.7, h1SMcT0004264.1, h1SMcT0004264.3, h1SMcT0004264.4, h1SMcT0004264.2, h1SMcT0004264.5
OG0000910	SINT1_8230.1, SINT1_8230.2, SINT1_8230.3	h1SMcT0015484.1
OG0000911	SINT1_57920.4, SINT1_57920.1, SINT1_57920.3, SINT1_57920.2	h1SMcT0021969.1
OG0000914	SINT1_38590.3, SINT1_38590.2, SINT1_38590.1, SINT1_38590.4	h1SMcT0009919.4, h1SMcT0009919.1, h1SMcT0009919.2, h1SMcT0009919.3
OG0000916	SINT1_39660.4, SINT1_39660.7, SINT1_39660.8, SINT1_39660.10, SINT1_39660.2, SINT1_39660.1, SINT1_39660.12, SINT1_39660.11, SINT1_39660.3, SINT1_39660.5, SINT1_39660.9, SINT1_39660.6	h1SMcT0008408.1
OG0000917	SINT1_82800.1, SINT1_82800.2, SINT1_82800.3	h1SMcT0003713.1, h1SMcT0013367.1
OG0000919	SINT1_82980.1	h1SMcT0007368.1, h1SMcT0007654.1
OG0000920	SINT1_93320.1, SINT1_93320.3, SINT1_93320.2	h1SMcT0011459.1, h1SMcT0011459.2
OG0000923	SINT1_41520.1	h1SMcT0013946.1, h1SMcT0013946.2
OG0000923	SINT1_91550.1	h1SMcT0020405.3, h1SMcT0020405.1, h1SMcT0020405.2, h1SMcT0015674.1
OG0000925	SINT1_16510.3, SINT1_16510.4, SINT1_16510.5, SINT1_16510.1, SINT1_16510.2	h1SMcT0006630.1, h1SMcT0006630.2
OG0000926	SINT1_27110.1, SINT1_27110.2	h1SMcT0002149.7, h1SMcT0002149.1, h1SMcT0002149.2, h1SMcT0002149.4, h1SMcT0002149.5, h1SMcT0002149.3, h1SMcT0002149.6
OG0000927	SINT1_19870.1	h1SMcT0012510.1, h1SMcT0012510.2
OG0000929	SINT1_64480.1	h1SMcT0018531.1, h1SMcT0018531.2
