Orthogroup	schistosoma_intercalatum	schistosoma_turkestanicum
OG0000670	SINT1_44650.4, SINT1_44650.5	STRK1_42860.2
OG0000670	SINT1_44650.1, SINT1_44650.2, SINT1_44650.3	STRK1_42860.1
OG0000671	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5	STRK1_71160.1
OG0000672	SINT1_44270.1	STRK1_41990.3, STRK1_41990.1, STRK1_41990.2
OG0000673	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2	STRK1_14940.1
OG0000674	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3	STRK1_72430.1
OG0000675	SINT1_71260.1, SINT1_71260.3, SINT1_71260.2, SINT1_71260.4	STRK1_69980.1
OG0000676	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5	STRK1_79710.1
OG0000677	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2	STRK1_6960.1, STRK1_6960.2
OG0000678	SINT1_34540.1, SINT1_34540.2, SINT1_34540.3, SINT1_34540.4	STRK1_35440.1
OG0000679	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5	STRK1_69990.1, STRK1_69990.2, STRK1_69990.3, STRK1_69990.6, STRK1_69990.7, STRK1_69990.4, STRK1_69990.5
OG0000680	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4	STRK1_14240.1
OG0000681	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6	STRK1_35810.1, STRK1_35820.1
OG0000682	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1	STRK1_40930.1
OG0000683	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3	STRK1_97380.1
OG0000684	SINT1_83180.1	STRK1_81790.1
OG0000685	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3	STRK1_72060.1
OG0000686	SINT1_59760.2, SINT1_59760.4, SINT1_59760.1, SINT1_59760.3	STRK1_58120.1
OG0000687	SINT1_26910.1, SINT1_26910.2, SINT1_26910.6, SINT1_26910.3, SINT1_26910.5, SINT1_26910.4	STRK1_25970.1
OG0000688	SINT1_640.1	STRK1_111400.1, STRK1_80900.1, STRK1_80900.3, STRK1_80900.2
OG0000689	SINT1_2840.1	STRK1_17190.1, STRK1_17190.2
OG0000690	SINT1_95640.1, SINT1_22900.1	STRK1_107560.1, STRK1_21480.1
OG0000692	SINT1_17170.2, SINT1_17170.1, SINT1_17170.3	STRK1_14080.3, STRK1_14080.5, STRK1_14080.1, STRK1_14080.2, STRK1_14080.4, STRK1_14080.6
OG0000695	SINT1_94530.1	STRK1_92340.1
OG0000695	SINT1_45510.1, SINT1_45510.2	STRK1_43260.1, STRK1_104100.1
OG0000696	SINT1_5420.1	STRK1_15230.4, STRK1_15230.2, STRK1_15230.1, STRK1_15230.3, STRK1_15230.5
OG0000697	SINT1_40250.1, SINT1_40250.2	STRK1_35220.1, STRK1_100100.1, STRK1_101490.1
OG0000698	SINT1_18150.4, SINT1_18150.1, SINT1_18150.2, SINT1_18150.3	STRK1_4330.1, STRK1_4330.2
OG0000699	SINT1_33030.1	STRK1_34270.1, STRK1_34260.1
OG0000699	SINT1_45930.1, SINT1_45920.1	STRK1_43850.1
OG0000700	SINT1_24020.1	STRK1_24520.1
OG0000700	SINT1_24030.1	STRK1_24510.1
OG0000700	SINT1_24040.1	STRK1_24500.1
OG0000701	SINT1_60550.3, SINT1_60550.1, SINT1_60550.2, SINT1_60550.5, SINT1_60550.4, SINT1_60550.6	STRK1_60100.1, STRK1_60100.2
OG0000702	SINT1_85500.3, SINT1_85500.1, SINT1_85500.2	STRK1_83560.1
OG0000703	SINT1_160.1, SINT1_160.3, SINT1_160.2	STRK1_108920.1, STRK1_101270.1, STRK1_91410.1
OG0000704	SINT1_48220.1, SINT1_48220.2, SINT1_48220.3, SINT1_48220.4, SINT1_48220.5, SINT1_48220.6, SINT1_48220.7, SINT1_48220.8, SINT1_48220.9	STRK1_51000.1, STRK1_51000.2
OG0000705	SINT1_6120.1	STRK1_3680.1, STRK1_3680.2, STRK1_3680.3
OG0000706	SINT1_43330.1	STRK1_40610.1
OG0000706	SINT1_52320.1	STRK1_46730.1, STRK1_46730.2
OG0000707	SINT1_92660.1, SINT1_92660.3, SINT1_92660.2	STRK1_90300.1
OG0000708	SINT1_37190.1, SINT1_37190.3, SINT1_37190.5, SINT1_37190.4, SINT1_37190.2	STRK1_27880.1, STRK1_27880.2
OG0000709	SINT1_43650.1, SINT1_43650.2, SINT1_43650.4, SINT1_43650.5, SINT1_43650.9, SINT1_43650.3, SINT1_43650.6, SINT1_43650.7, SINT1_43650.8	STRK1_40300.3, STRK1_40300.1, STRK1_40300.2
OG0000710	SINT1_7950.9, SINT1_7950.7, SINT1_7950.8, SINT1_7950.6	STRK1_12920.1
OG0000711	SINT1_73420.1	STRK1_73610.1
OG0000712	SINT1_52680.1	STRK1_47060.1
OG0000713	SINT1_70880.1	STRK1_106160.1, STRK1_106160.4, STRK1_106160.5, STRK1_106160.3, STRK1_106160.2
OG0000714	SINT1_46250.1	STRK1_44320.1
OG0000715	SINT1_27420.1, SINT1_27420.2, SINT1_27420.4, SINT1_27420.3	STRK1_25380.1
OG0000716	SINT1_11840.1, SINT1_11840.3, SINT1_11840.2	STRK1_10990.1
OG0000717	SINT1_58730.1	STRK1_57330.1
OG0000718	SINT1_73680.1, SINT1_73680.2	STRK1_74460.1
OG0000719	SINT1_55000.1, SINT1_55000.2, SINT1_55000.3	STRK1_110850.1, STRK1_54590.1, STRK1_95370.1, STRK1_95380.1
OG0000720	SINT1_75720.1, SINT1_75710.1	STRK1_70930.4, STRK1_70930.1, STRK1_70930.3, STRK1_70930.2
OG0000721	SINT1_45830.1, SINT1_45830.2	STRK1_43410.1
OG0000722	SINT1_5310.2, SINT1_5310.1, SINT1_5310.3	STRK1_15320.1
OG0000723	SINT1_75450.1, SINT1_75450.3, SINT1_75450.2, SINT1_75450.4	STRK1_71170.1
OG0000724	SINT1_41830.6, SINT1_41830.3, SINT1_41830.1, SINT1_41830.2, SINT1_41830.4, SINT1_41830.5	STRK1_41800.1
OG0000725	SINT1_75800.5, SINT1_75800.1, SINT1_75800.2, SINT1_75800.3, SINT1_75800.4	STRK1_103760.1, STRK1_70860.1
OG0000726	SINT1_29880.1	STRK1_30170.1
OG0000726	SINT1_29890.1	STRK1_30160.1
OG0000727	SINT1_38780.1	STRK1_28700.1, STRK1_47990.1
OG0000728	SINT1_48360.4, SINT1_48360.2, SINT1_48360.1, SINT1_48360.3	STRK1_50850.1
OG0000729	SINT1_8940.4, SINT1_8940.5, SINT1_8940.6, SINT1_8940.2, SINT1_8940.1, SINT1_8940.3	STRK1_12130.1
OG0000730	SINT1_59790.2, SINT1_59790.3, SINT1_59790.1	STRK1_58150.1, STRK1_58150.2, STRK1_58150.3, STRK1_58150.4
OG0000731	SINT1_75110.1	STRK1_22860.1, STRK1_73080.1
OG0000732	SINT1_3430.5, SINT1_3430.1, SINT1_3430.6	STRK1_16640.1
OG0000733	SINT1_2770.3, SINT1_2770.1, SINT1_2770.4, SINT1_2770.2	STRK1_17230.1
OG0000736	SINT1_76920.1, SINT1_76920.2	STRK1_72540.3, STRK1_72540.2, STRK1_72540.1
OG0000737	SINT1_9960.3, SINT1_9960.4, SINT1_9960.7, SINT1_9960.2, SINT1_9960.6, SINT1_9960.1, SINT1_9960.5	STRK1_9250.1
OG0000738	SINT1_69080.1, SINT1_69080.5, SINT1_69080.2, SINT1_69080.4, SINT1_69080.6, SINT1_69080.3, SINT1_69080.7	STRK1_67650.1
OG0000738	SINT1_69070.1	STRK1_67660.1
OG0000739	SINT1_56690.1, SINT1_56690.2, SINT1_56690.3	STRK1_53030.1, STRK1_105530.1, STRK1_106440.1
OG0000740	SINT1_8470.1, SINT1_8470.2, SINT1_8470.3, SINT1_8470.6, SINT1_8470.4, SINT1_8470.5, SINT1_8470.7, SINT1_8470.8	STRK1_12560.1
OG0000741	SINT1_82900.5, SINT1_82900.3, SINT1_82900.1, SINT1_82900.2, SINT1_82900.4	STRK1_81500.1
OG0000743	SINT1_22750.1, SINT1_22750.2	STRK1_21110.1
OG0000744	SINT1_3520.1	STRK1_16570.1
OG0000745	SINT1_38100.1, SINT1_38100.2	STRK1_32980.1, STRK1_32980.2
OG0000746	SINT1_60430.1, SINT1_60430.3	STRK1_59980.1
OG0000747	SINT1_42860.1	STRK1_95490.1
OG0000748	SINT1_69510.4, SINT1_69510.2, SINT1_69510.3, SINT1_69510.6, SINT1_69510.1, SINT1_69510.5	STRK1_68020.1, STRK1_68030.1
OG0000749	SINT1_68890.1	STRK1_68230.1
OG0000750	SINT1_73320.3, SINT1_73320.4, SINT1_73320.1, SINT1_73320.2, SINT1_73320.5, SINT1_73320.6	STRK1_75670.1
OG0000751	SINT1_5440.1	STRK1_15190.1, STRK1_15200.1
OG0000751	SINT1_2500.1	STRK1_17510.1, STRK1_17530.1
OG0000752	SINT1_91160.1	STRK1_93720.1
OG0000752	SINT1_91210.1	STRK1_93670.1
OG0000753	SINT1_81530.3, SINT1_81530.1, SINT1_81530.2	STRK1_80660.1
OG0000754	SINT1_50250.9, SINT1_50250.10, SINT1_50250.12, SINT1_50250.13, SINT1_50250.2, SINT1_50250.11, SINT1_50250.14, SINT1_50250.1, SINT1_50250.5, SINT1_50250.7, SINT1_50250.6, SINT1_50250.8, SINT1_50250.3, SINT1_50250.4	STRK1_48550.1, STRK1_48550.2
OG0000755	SINT1_74410.3, SINT1_74410.1, SINT1_74410.2, SINT1_74410.4	STRK1_72320.1, STRK1_72320.2
OG0000756	SINT1_39030.1	STRK1_37120.1
OG0000757	SINT1_52550.2, SINT1_52550.3, SINT1_52550.1	STRK1_46930.1
OG0000758	SINT1_8970.3	STRK1_12100.1
OG0000759	SINT1_52950.3, SINT1_52950.1, SINT1_52950.4, SINT1_52950.2, SINT1_52950.6, SINT1_52950.5, SINT1_52950.7	STRK1_47330.1, STRK1_47330.2, STRK1_47330.3
OG0000760	SINT1_77620.1, SINT1_77620.10, SINT1_77620.11, SINT1_77620.12, SINT1_77620.2, SINT1_77620.3, SINT1_77620.4, SINT1_77620.5, SINT1_77620.6, SINT1_77620.7, SINT1_77620.8, SINT1_77620.9	STRK1_76420.1, STRK1_76420.2
OG0000761	SINT1_53610.2, SINT1_53610.4, SINT1_53610.1, SINT1_53610.5, SINT1_53610.9, SINT1_53610.7, SINT1_53610.6, SINT1_53610.8, SINT1_53610.3	STRK1_51620.1
OG0000762	SINT1_80630.1	STRK1_79480.1, STRK1_79480.2
OG0000762	SINT1_85900.1, SINT1_85900.2, SINT1_85900.3	STRK1_85020.1
OG0000763	SINT1_19820.5, SINT1_19820.1, SINT1_19820.2, SINT1_19820.3, SINT1_19820.4	STRK1_17860.1, STRK1_17860.2, STRK1_17870.1
OG0000764	SINT1_9100.5, SINT1_9100.3, SINT1_9100.2, SINT1_9100.1, SINT1_9100.4	STRK1_11990.2, STRK1_11990.1, STRK1_11990.3
OG0000765	SINT1_52930.1	STRK1_47300.1, STRK1_47300.2
OG0000765	SINT1_52940.1	STRK1_47310.1
OG0000766	SINT1_62770.1	STRK1_64360.1
OG0000767	SINT1_64820.1, SINT1_64820.2	STRK1_62430.1, STRK1_97630.1
OG0000769	SINT1_2060.3, SINT1_2060.1, SINT1_2060.2	STRK1_19790.1, STRK1_110020.2, STRK1_54250.2, STRK1_110020.1, STRK1_54250.6, STRK1_54250.1, STRK1_54250.7, STRK1_54250.5, STRK1_54250.4, STRK1_54250.3
OG0000770	SINT1_17990.1, SINT1_17990.2, SINT1_17990.3	STRK1_4150.1
OG0000771	SINT1_78770.1	STRK1_76540.1, STRK1_76550.1, STRK1_76530.1
OG0000772	SINT1_16850.1, SINT1_16860.2, SINT1_16860.1, SINT1_16860.3, SINT1_16860.4, SINT1_16860.5	STRK1_91480.1, STRK1_91460.1, STRK1_91490.1, STRK1_103820.1, STRK1_96580.1
OG0000773	SINT1_25800.3, SINT1_25800.2, SINT1_25800.1	STRK1_22450.1, STRK1_22450.3, STRK1_22450.4, STRK1_22450.2
OG0000774	SINT1_47130.1, SINT1_47130.2	STRK1_45160.1, STRK1_45160.3, STRK1_45160.2, STRK1_45160.4
OG0000775	SINT1_51610.1, SINT1_51610.2, SINT1_51610.3, SINT1_51610.4	STRK1_51890.1, STRK1_51890.2
OG0000776	SINT1_45850.1	STRK1_43430.1
OG0000776	SINT1_56460.1	STRK1_53190.1
OG0000777	SINT1_52160.3, SINT1_52160.1, SINT1_52160.6, SINT1_52160.5, SINT1_52160.2, SINT1_52160.4, SINT1_52160.8, SINT1_52160.7	STRK1_46620.1
OG0000778	SINT1_23030.1, SINT1_23030.3, SINT1_23030.2	STRK1_102510.1
OG0000779	SINT1_3610.1	STRK1_16550.1
OG0000780	SINT1_14980.1	STRK1_4770.1
OG0000781	SINT1_11380.1	STRK1_10550.1
OG0000781	SINT1_460.2, SINT1_460.1, SINT1_460.3, SINT1_460.4	STRK1_80860.1
OG0000782	SINT1_31730.1	STRK1_32050.1, STRK1_32050.2
OG0000783	SINT1_50520.1, SINT1_50520.2, SINT1_50520.3	STRK1_97490.2, STRK1_97490.1, STRK1_100560.1, STRK1_97610.1
OG0000784	SINT1_31650.4, SINT1_31650.3, SINT1_31650.2, SINT1_31650.1, SINT1_31650.5, SINT1_31650.6	STRK1_32120.1
OG0000785	SINT1_58640.1	STRK1_57390.1
OG0000786	SINT1_40750.5, SINT1_40750.2, SINT1_40750.1, SINT1_40750.4, SINT1_40750.3	STRK1_38870.1
OG0000787	SINT1_91330.1, SINT1_91330.2	STRK1_93530.1
OG0000787	SINT1_59320.1	STRK1_57600.1
OG0000788	SINT1_13680.1	STRK1_11650.1, STRK1_11650.2
OG0000789	SINT1_25600.1, SINT1_25600.2	STRK1_22630.1, STRK1_22630.2
OG0000790	SINT1_39340.1, SINT1_39340.2, SINT1_39340.3, SINT1_39340.4	STRK1_37750.1
OG0000791	SINT1_42730.1	STRK1_41080.1, STRK1_41080.2
OG0000792	SINT1_5640.2, SINT1_5640.1, SINT1_5640.3, SINT1_5640.4	STRK1_3290.1, STRK1_3290.2
OG0000793	SINT1_34260.3, SINT1_34260.1, SINT1_34260.2, SINT1_34260.4	STRK1_37070.2, STRK1_37070.1, STRK1_37070.3
OG0000794	SINT1_10230.1	STRK1_95980.1, STRK1_20360.1, STRK1_20360.2
OG0000795	SINT1_93650.7, SINT1_93650.6, SINT1_93650.3, SINT1_93650.1, SINT1_93650.2, SINT1_93650.4, SINT1_93650.5	STRK1_93200.3, STRK1_93200.1, STRK1_93200.2
OG0000796	SINT1_15870.1, SINT1_15870.2	STRK1_39650.1, STRK1_3040.1, STRK1_3050.1
OG0000796	SINT1_15860.1	STRK1_3020.1
OG0000797	SINT1_20130.6, SINT1_20130.2, SINT1_20130.5, SINT1_20130.3, SINT1_20130.4, SINT1_20130.1	STRK1_100960.1, STRK1_18180.1
OG0000798	SINT1_1260.1, SINT1_1260.2, SINT1_1260.3	STRK1_760.3, STRK1_760.7, STRK1_760.4, STRK1_760.8, STRK1_760.5, STRK1_760.9, STRK1_760.10, STRK1_760.6, STRK1_760.2, STRK1_760.1
OG0000799	SINT1_66270.1, SINT1_66270.2, SINT1_66270.3, SINT1_66270.4	STRK1_64610.1, STRK1_64610.3, STRK1_64610.2
OG0000800	SINT1_10160.1	STRK1_9410.1
OG0000801	SINT1_15740.2, SINT1_15740.1, SINT1_15740.3	STRK1_2940.3, STRK1_2940.4, STRK1_2940.1, STRK1_2940.2
OG0000802	SINT1_72380.1	STRK1_71570.1, STRK1_71570.2
OG0000802	SINT1_58280.1	STRK1_56240.1
OG0000803	SINT1_78010.2, SINT1_78010.1	STRK1_104730.1, STRK1_106760.1
OG0000804	SINT1_41330.1, SINT1_41330.2, SINT1_41330.4, SINT1_41330.5, SINT1_41330.3, SINT1_41330.6	STRK1_39420.1
OG0000805	SINT1_36400.1	STRK1_31190.1
OG0000806	SINT1_72740.1, SINT1_72740.2	STRK1_72740.1
OG0000807	SINT1_9860.1, SINT1_9860.2	STRK1_9170.1, STRK1_9170.2, STRK1_9170.3
OG0000808	SINT1_91880.1	STRK1_91870.1
OG0000808	SINT1_91890.1, SINT1_91890.4, SINT1_91890.2, SINT1_91890.3	STRK1_91880.1
OG0000809	SINT1_89370.1, SINT1_89370.2, SINT1_89370.4, SINT1_89370.5, SINT1_89370.3	STRK1_85160.1
OG0000810	SINT1_25130.1	STRK1_104610.1, STRK1_104610.3, STRK1_104610.2
OG0000811	SINT1_11150.1, SINT1_11150.2, SINT1_11150.3, SINT1_11150.4, SINT1_11150.5	STRK1_10330.1
OG0000812	SINT1_12150.1, SINT1_12150.2, SINT1_12150.3	STRK1_7770.1, STRK1_7770.2, STRK1_7770.3
OG0000813	SINT1_85090.1	STRK1_83220.1, STRK1_83220.2
OG0000814	SINT1_63100.1	STRK1_103430.1
OG0000815	SINT1_59300.3, SINT1_59300.1, SINT1_59300.2, SINT1_59300.5, SINT1_59300.4	STRK1_104180.1, STRK1_57590.1, STRK1_99890.1
OG0000816	SINT1_82520.1, SINT1_82520.2, SINT1_82520.3, SINT1_82520.4	STRK1_81000.1
OG0000817	SINT1_86900.1, SINT1_86900.2, SINT1_86900.3, SINT1_86900.4, SINT1_86900.5, SINT1_86900.6	STRK1_98380.1, STRK1_54860.1
OG0000818	SINT1_11620.1, SINT1_11620.3, SINT1_11620.2	STRK1_10780.1, STRK1_10780.2, STRK1_10780.4, STRK1_10780.5, STRK1_10780.6, STRK1_10780.8, STRK1_10780.3, STRK1_10780.7
OG0000819	SINT1_64960.2, SINT1_64960.4, SINT1_64960.1, SINT1_64960.3	STRK1_62630.1
OG0000820	SINT1_83190.1	STRK1_81800.1, STRK1_81800.2
OG0000821	SINT1_49050.1	STRK1_50080.1
OG0000822	SINT1_73410.1	STRK1_73600.1, STRK1_73600.4, STRK1_73600.3, STRK1_73600.2
OG0000823	SINT1_53300.1	STRK1_47700.1
OG0000823	SINT1_91290.1, SINT1_91300.1	STRK1_93570.1
OG0000824	SINT1_3060.6, SINT1_3060.5	STRK1_17020.3, STRK1_17020.1, STRK1_17020.2
OG0000825	SINT1_75930.1, SINT1_75930.2, SINT1_75930.4, SINT1_75930.3, SINT1_75900.1, SINT1_75890.1	STRK1_74020.1, STRK1_74030.1
OG0000826	SINT1_55170.3, SINT1_55170.1, SINT1_55170.4, SINT1_55170.2	STRK1_54850.1, STRK1_54850.2, STRK1_109910.1, STRK1_109920.1
OG0000827	SINT1_74320.1	STRK1_72230.1
OG0000827	SINT1_74310.1, SINT1_74310.2	STRK1_72220.1
OG0000828	SINT1_89110.1	STRK1_88370.1, STRK1_88390.1, STRK1_88380.1, STRK1_88400.1, STRK1_88420.1
OG0000829	SINT1_18610.1	STRK1_2380.12, STRK1_2380.7, STRK1_2380.1, STRK1_2380.10, STRK1_2380.11, STRK1_2380.2, STRK1_2380.3, STRK1_2380.8, STRK1_2380.9, STRK1_2380.4, STRK1_2380.5, STRK1_2380.6
OG0000830	SINT1_48820.2, SINT1_48820.3, SINT1_48820.1	STRK1_50330.1, STRK1_50330.2
OG0000831	SINT1_42440.3, SINT1_42440.1, SINT1_42440.4, SINT1_42440.5, SINT1_42440.2	STRK1_37510.1
OG0000832	SINT1_60050.2, SINT1_60050.1	STRK1_61620.1
OG0000833	SINT1_33300.1, SINT1_33300.3, SINT1_33300.2, SINT1_33300.4	STRK1_34520.1, STRK1_108200.1, STRK1_108830.1, STRK1_34530.1
OG0000834	SINT1_48650.1	STRK1_50450.1
OG0000835	SINT1_38110.1, SINT1_38110.2	STRK1_32970.1
OG0000836	SINT1_37330.4, SINT1_37330.5, SINT1_37330.2, SINT1_37330.3, SINT1_37330.1	STRK1_33660.1
OG0000837	SINT1_32380.2, SINT1_32380.3, SINT1_32380.1, SINT1_32380.5, SINT1_32380.4	STRK1_31460.1
OG0000838	SINT1_39150.1	STRK1_41360.1
OG0000839	SINT1_38540.3, SINT1_38540.1, SINT1_38540.2	STRK1_28880.1
OG0000840	SINT1_69580.1, SINT1_69580.2	STRK1_68290.1, STRK1_68290.4, STRK1_68290.5, STRK1_68290.2, STRK1_68290.3, STRK1_68290.6
OG0000841	SINT1_20460.2, SINT1_20460.7, SINT1_20460.4, SINT1_20460.3, SINT1_20460.6, SINT1_20460.5, SINT1_20460.1	STRK1_18580.1
OG0000842	SINT1_66450.1, SINT1_66450.2	STRK1_64860.1, STRK1_64860.2
OG0000843	SINT1_80990.1, SINT1_80990.2	STRK1_80160.1
OG0000844	SINT1_5220.10, SINT1_5220.3, SINT1_5220.4, SINT1_5220.7, SINT1_5220.1, SINT1_5220.11, SINT1_5220.5, SINT1_5220.6, SINT1_5220.8, SINT1_5220.9, SINT1_5220.2	STRK1_15410.1
OG0000845	SINT1_88300.2, SINT1_88300.1, SINT1_88300.3	STRK1_86760.1, STRK1_86780.2, STRK1_86780.3
OG0000846	SINT1_16940.1, SINT1_16940.2, SINT1_16940.3, SINT1_16940.4, SINT1_16940.5, SINT1_16940.6	STRK1_14300.1
OG0000847	SINT1_1170.1, SINT1_1170.2	STRK1_630.1
OG0000848	SINT1_34870.4, SINT1_34870.2, SINT1_34870.5, SINT1_34870.3, SINT1_34870.6, SINT1_34870.1	STRK1_35750.1
OG0000849	SINT1_39190.1, SINT1_39190.2, SINT1_39190.3, SINT1_39190.4	STRK1_41300.1
OG0000850	SINT1_27390.4, SINT1_27390.6, SINT1_27390.1, SINT1_27390.7, SINT1_27390.2, SINT1_27390.3, SINT1_27390.5	STRK1_25410.1
OG0000851	SINT1_89380.1, SINT1_89380.2	STRK1_85150.1
OG0000852	SINT1_11010.1, SINT1_11000.1	STRK1_10150.1, STRK1_10150.2
OG0000853	SINT1_81500.1	STRK1_80620.1
OG0000854	SINT1_37340.1, SINT1_37340.3, SINT1_37340.2, SINT1_37340.4	STRK1_33650.1, STRK1_33650.3, STRK1_33650.2
OG0000855	SINT1_54440.1, SINT1_54440.2, SINT1_54440.3	STRK1_48230.1
OG0000856	SINT1_2940.5, SINT1_2940.2, SINT1_2940.3, SINT1_2940.4, SINT1_2940.1	STRK1_17120.1
OG0000857	SINT1_4110.1	STRK1_16050.3, STRK1_16050.1, STRK1_16050.2
OG0000858	SINT1_4510.2, SINT1_4510.1, SINT1_4510.4, SINT1_4510.3	STRK1_15710.1
OG0000859	SINT1_49470.4, SINT1_49470.2, SINT1_49470.3, SINT1_49470.1	STRK1_49670.1
OG0000860	SINT1_59580.1	STRK1_57860.1
OG0000860	SINT1_62150.1	STRK1_59520.1, STRK1_59520.2, STRK1_59520.3, STRK1_59520.4
OG0000861	SINT1_11800.1	STRK1_10970.1
OG0000862	SINT1_30070.2, SINT1_30070.3, SINT1_30070.4, SINT1_30070.5, SINT1_30070.6, SINT1_30070.1	STRK1_30020.1, STRK1_30020.2
OG0000863	SINT1_7370.1	STRK1_7140.1, STRK1_7140.2, STRK1_7140.3
OG0000864	SINT1_40340.1	STRK1_103370.1
OG0000865	SINT1_33260.1	STRK1_34470.3, STRK1_34470.2, STRK1_34470.1
OG0000866	SINT1_660.1, SINT1_95050.1	STRK1_140.1, STRK1_150.1
OG0000867	SINT1_7240.1, SINT1_7240.2, SINT1_7240.3, SINT1_7240.4	STRK1_7010.1, STRK1_7010.2, STRK1_7010.3
OG0000868	SINT1_78790.1	STRK1_76500.1
OG0000868	SINT1_78850.1, SINT1_78820.1	STRK1_96400.1, STRK1_95670.1, STRK1_95850.1, STRK1_95840.1, STRK1_105940.1, STRK1_77900.3, STRK1_77900.1, STRK1_77900.2, STRK1_77920.1, STRK1_77910.1
OG0000869	SINT1_87830.2, SINT1_87830.1, SINT1_87830.3	STRK1_85730.1
OG0000870	SINT1_910.4, SINT1_910.6, SINT1_910.1, SINT1_910.2, SINT1_910.3, SINT1_910.5	STRK1_450.1, STRK1_450.2
OG0000871	SINT1_28730.1, SINT1_28730.7, SINT1_28730.2, SINT1_28730.5, SINT1_28730.8, SINT1_28730.3, SINT1_28730.6, SINT1_28730.4	STRK1_27310.1
OG0000872	SINT1_3990.1	STRK1_16180.1
OG0000873	SINT1_85010.3, SINT1_85010.1, SINT1_85010.2, SINT1_85010.4, SINT1_85010.5	STRK1_83310.1
OG0000875	SINT1_62080.1, SINT1_62080.2, SINT1_62080.3, SINT1_62080.4	STRK1_59640.1, STRK1_59640.2, STRK1_59640.3, STRK1_59640.4
OG0000876	SINT1_96270.1, SINT1_23870.1	STRK1_22320.1
OG0000877	SINT1_7290.1	STRK1_7070.1, STRK1_7070.2, STRK1_7070.3, STRK1_7070.4, STRK1_7070.5
OG0000878	SINT1_18600.2, SINT1_18600.1	STRK1_2390.1, STRK1_2390.2
OG0000879	SINT1_58090.1, SINT1_58090.2	STRK1_55490.1, STRK1_55490.2, STRK1_55490.3, STRK1_55490.4, STRK1_55500.1
OG0000880	SINT1_78480.8, SINT1_78480.1, SINT1_78480.3, SINT1_78480.5, SINT1_78480.2, SINT1_78480.6, SINT1_78480.7, SINT1_78480.4	STRK1_76970.1, STRK1_76970.2
OG0000881	SINT1_4530.1	STRK1_15690.1
OG0000881	SINT1_89210.1	STRK1_88240.1
OG0000882	SINT1_22270.1	STRK1_20390.1, STRK1_20400.1, STRK1_20410.1
OG0000882	SINT1_40110.2, SINT1_40110.1	STRK1_38440.1
OG0000883	SINT1_40100.6, SINT1_40100.1, SINT1_40100.2, SINT1_40100.3, SINT1_40100.4, SINT1_40100.5, SINT1_40100.7	STRK1_38430.1
OG0000884	SINT1_39380.1, SINT1_39380.2, SINT1_39380.3	STRK1_109770.1, STRK1_37800.1
OG0000885	SINT1_90990.1	STRK1_91440.1
OG0000886	SINT1_69710.1, SINT1_69710.3, SINT1_69710.5, SINT1_69710.2, SINT1_69710.4	STRK1_68450.1
OG0000887	SINT1_19800.4, SINT1_19800.1, SINT1_19800.2, SINT1_19800.3	STRK1_17830.1, STRK1_17840.1
OG0000888	SINT1_77570.1, SINT1_77570.2, SINT1_77570.3	STRK1_76360.1
OG0000888	SINT1_77580.1	STRK1_76370.1, STRK1_76380.1
OG0000889	SINT1_27830.1, SINT1_27830.2, SINT1_27830.4, SINT1_27830.3	STRK1_23850.1
OG0000890	SINT1_40920.1	STRK1_39050.1
OG0000891	SINT1_37210.1, SINT1_37210.4, SINT1_37210.2, SINT1_37210.3	STRK1_33790.1, STRK1_33790.2, STRK1_33790.5, STRK1_33790.3, STRK1_33790.4
OG0000892	SINT1_51890.6, SINT1_51890.8, SINT1_51890.3, SINT1_51890.1, SINT1_51890.5, SINT1_51890.7, SINT1_51890.4, SINT1_51890.2	STRK1_46410.1
OG0000894	SINT1_96000.1, SINT1_86220.1, SINT1_86220.2	STRK1_98410.1, STRK1_84590.1
OG0000895	SINT1_44060.1, SINT1_44060.2	STRK1_72490.1, STRK1_39900.1, STRK1_108570.1
OG0000896	SINT1_21120.1	STRK1_19450.1, STRK1_19460.1
OG0000897	SINT1_10220.1, SINT1_10220.2	STRK1_95970.1, STRK1_9480.1, STRK1_100290.1, STRK1_9480.2
OG0000898	SINT1_71160.1, SINT1_71160.2, SINT1_71160.3, SINT1_71160.4, SINT1_71160.5	STRK1_104150.1, STRK1_69880.1
OG0000899	SINT1_14490.2, SINT1_14490.4, SINT1_14490.3, SINT1_14490.5, SINT1_14490.1	STRK1_5240.1
