Orthogroup	schistosoma_intercalatum	schistosoma_haematobium
OG0000535	SINT1_58460.1	SHAE2_62750.2, SHAE2_62750.1, SHAE2_62750.3
OG0000535	SINT1_58490.1	SHAE2_62750.10
OG0000536	SINT1_65460.1	SHAE2_70230.1, SHAE2_70230.2, SHAE2_70230.11, SHAE2_70230.3, SHAE2_70230.5, SHAE2_70230.10, SHAE2_70230.12, SHAE2_70230.4, SHAE2_70230.6, SHAE2_70230.8, SHAE2_70230.9, SHAE2_70230.7
OG0000537	SINT1_53390.3, SINT1_53390.5, SINT1_53390.4, SINT1_53390.1, SINT1_53390.2, SINT1_53390.6	SHAE2_56720.1, SHAE2_56720.2, SHAE2_56720.3
OG0000538	SINT1_90900.1	SHAE2_97610.1
OG0000539	SINT1_46700.1, SINT1_46700.2, SINT1_46700.3	SHAE2_50030.4, SHAE2_50030.3, SHAE2_50030.1, SHAE2_50030.2, SHAE2_50030.7, SHAE2_50030.6, SHAE2_50030.5, SHAE2_50030.8, SHAE2_50030.9
OG0000540	SINT1_5710.1, SINT1_5710.2, SINT1_5710.3, SINT1_5710.4	SHAE2_6210.3, SHAE2_6210.2, SHAE2_6210.1, SHAE2_6210.4
OG0000541	SINT1_28900.2, SINT1_28900.1, SINT1_28900.4, SINT1_28900.3	SHAE2_31090.1
OG0000542	SINT1_85720.4, SINT1_85720.5	SHAE2_92450.5
OG0000543	SINT1_15140.1, SINT1_15140.2, SINT1_15140.3, SINT1_15140.4, SINT1_15140.6, SINT1_15140.5	SHAE2_17100.6, SHAE2_17100.3, SHAE2_17100.1, SHAE2_17100.2, SHAE2_17100.4, SHAE2_17100.5, SHAE2_17100.8
OG0000544	SINT1_78690.1	SHAE2_84290.3, SHAE2_84290.6, SHAE2_84290.1, SHAE2_84290.2, SHAE2_84290.4, SHAE2_84290.5
OG0000545	SINT1_46490.1	SHAE2_49820.1
OG0000545	SINT1_68990.1, SINT1_68990.2, SINT1_68990.3, SINT1_68990.5, SINT1_68990.4	SHAE2_74160.3, SHAE2_74160.4, SHAE2_74160.1, SHAE2_74160.2
OG0000546	SINT1_29640.1	SHAE2_31850.2
OG0000546	SINT1_29640.5	SHAE2_31850.5
OG0000546	SINT1_29640.2	SHAE2_31850.1
OG0000546	SINT1_29640.7	SHAE2_31850.3
OG0000546	SINT1_29640.6	SHAE2_31850.7
OG0000546	SINT1_29640.4	SHAE2_31850.10
OG0000547	SINT1_87170.1, SINT1_87170.2, SINT1_87170.3	SHAE2_94020.3, SHAE2_94020.2, SHAE2_94020.1
OG0000548	SINT1_29740.4, SINT1_29740.5, SINT1_29740.3, SINT1_29740.6, SINT1_29740.7, SINT1_29740.1, SINT1_29740.2	SHAE2_31750.4
OG0000549	SINT1_11110.2, SINT1_11110.3	SHAE2_12790.2
OG0000549	SINT1_11110.5	SHAE2_12790.3
OG0000549	SINT1_11110.4	SHAE2_12790.4, SHAE2_12790.5
OG0000550	SINT1_18840.1	SHAE2_20880.3, SHAE2_20880.1, SHAE2_20880.2
OG0000550	SINT1_18830.1	SHAE2_20870.1
OG0000552	SINT1_5470.1	SHAE2_6030.1
OG0000552	SINT1_84830.1	SHAE2_91550.1
OG0000553	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1	SHAE2_100050.1
OG0000554	SINT1_11240.1	SHAE2_12940.5, SHAE2_12940.6, SHAE2_12940.4, SHAE2_12940.1, SHAE2_12940.3, SHAE2_12940.2
OG0000555	SINT1_43550.1, SINT1_43550.2	SHAE2_46400.2, SHAE2_46400.1, SHAE2_46400.3, SHAE2_46400.4
OG0000556	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2	SHAE2_70100.1
OG0000557	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6	SHAE2_40680.10
OG0000557	SINT1_37740.4, SINT1_37740.3	SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7
OG0000558	SINT1_17920.1	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8
OG0000560	SINT1_94680.1, SINT1_94680.2, SINT1_94680.4, SINT1_94680.3	SHAE2_102210.1, SHAE2_102210.3, SHAE2_102210.2, SHAE2_102210.4
OG0000561	SINT1_93360.1	SHAE2_100430.1
OG0000561	SINT1_93370.1	SHAE2_100440.1
OG0000561	SINT1_93370.2	SHAE2_100440.1
OG0000562	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2	SHAE2_89950.1
OG0000563	SINT1_20170.5	SHAE2_23270.1, SHAE2_23270.7
OG0000564	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4
OG0000565	SINT1_3380.1	SHAE2_3970.1
OG0000565	SINT1_3380.2	SHAE2_3970.2
OG0000566	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3	SHAE2_86660.1, SHAE2_86660.2
OG0000567	SINT1_65260.1	SHAE2_70010.5, SHAE2_70010.4, SHAE2_70010.12, SHAE2_70010.13, SHAE2_70010.11, SHAE2_70010.6, SHAE2_70010.3, SHAE2_70010.8, SHAE2_70010.10, SHAE2_70010.9, SHAE2_70010.1, SHAE2_70010.2, SHAE2_70010.14, SHAE2_70010.15, SHAE2_70010.7
OG0000568	SINT1_56550.1	SHAE2_60300.1
OG0000568	SINT1_66460.1	SHAE2_71330.1
OG0000568	SINT1_34990.1	SHAE2_37730.1
OG0000569	SINT1_9740.1	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8
OG0000570	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14
OG0000571	SINT1_9030.1	SHAE2_10760.1
OG0000572	SINT1_59080.1	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12
OG0000574	SINT1_2810.1	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10
OG0000574	SINT1_2850.1	SHAE2_3440.1, SHAE2_3440.2
OG0000575	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6
OG0000576	SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1	SHAE2_46950.1
OG0000577	SINT1_53010.4, SINT1_53010.7, SINT1_53010.3, SINT1_53010.2, SINT1_53010.1, SINT1_53010.5, SINT1_53010.6	SHAE2_56320.7, SHAE2_56320.1, SHAE2_56320.3, SHAE2_56320.4, SHAE2_56320.5, SHAE2_56320.2, SHAE2_56320.6
OG0000579	SINT1_74440.1	SHAE2_80000.1
OG0000579	SINT1_74460.1	SHAE2_80040.1
OG0000579	SINT1_74450.1	SHAE2_80010.1, SHAE2_80020.1
OG0000579	SINT1_74480.1	SHAE2_80090.1
OG0000580	SINT1_39230.1	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3
OG0000580	SINT1_32400.1, SINT1_32400.2	SHAE2_34660.1, SHAE2_34660.2
OG0000581	SINT1_60760.7, SINT1_60760.8, SINT1_60760.1, SINT1_60760.4, SINT1_60760.5, SINT1_60760.3, SINT1_60760.2, SINT1_60760.6	SHAE2_65170.1, SHAE2_65170.2
OG0000582	SINT1_81700.1	SHAE2_87460.1
OG0000582	SINT1_81710.1	SHAE2_87470.1
OG0000582	SINT1_81720.1	SHAE2_87480.1
OG0000583	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2
OG0000584	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8
OG0000585	SINT1_5900.1	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5
OG0000586	SINT1_31110.1	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6
OG0000587	SINT1_64510.1	SHAE2_69230.1
OG0000587	SINT1_9440.1	SHAE2_11250.1
OG0000588	SINT1_96310.1, SINT1_96330.1, SINT1_96280.1, SINT1_96320.1, SINT1_96350.1	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5
OG0000588	SINT1_96340.1	SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2
OG0000589	SINT1_54780.1	SHAE2_58100.2, SHAE2_58100.3
OG0000590	SINT1_29290.1	SHAE2_31460.1
OG0000590	SINT1_40570.1	SHAE2_43500.1
OG0000591	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6
OG0000592	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5	SHAE2_33170.7
OG0000593	SINT1_31860.1	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19
OG0000594	SINT1_49270.1	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11
OG0000595	SINT1_47700.1	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4
OG0000597	SINT1_96390.1	SHAE2_61340.1
OG0000597	SINT1_56900.1, SINT1_56900.2, SINT1_95780.1, SINT1_57090.2, SINT1_57090.1, SINT1_56890.1	SHAE2_61140.1
OG0000599	SINT1_62340.1, SINT1_62340.2	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6
OG0000600	SINT1_67100.1, SINT1_67110.1	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2
OG0000601	SINT1_93270.1	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2
OG0000601	SINT1_93270.2	SHAE2_100340.4
OG0000601	SINT1_93280.1	SHAE2_100350.1
OG0000601	SINT1_40980.1, SINT1_40980.2	SHAE2_43860.1
OG0000602	SINT1_15170.1, SINT1_15170.2	SHAE2_17130.1
OG0000603	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4
OG0000604	SINT1_39390.5, SINT1_39390.3, SINT1_39390.1, SINT1_39390.2, SINT1_39390.4	SHAE2_42330.1, SHAE2_42330.2
OG0000605	SINT1_27640.1	SHAE2_29810.1
OG0000605	SINT1_27600.1	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3
OG0000606	SINT1_17240.1	SHAE2_19310.1
OG0000606	SINT1_5290.1	SHAE2_5840.1
OG0000607	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7
OG0000608	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2
OG0000609	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8
OG0000610	SINT1_28330.1	SHAE2_30510.2, SHAE2_30510.3
OG0000610	SINT1_22860.1	SHAE2_24960.1
OG0000611	SINT1_43150.1	SHAE2_46030.1
OG0000611	SINT1_43190.1	SHAE2_46070.1
OG0000611	SINT1_43170.1	SHAE2_46050.1
OG0000611	SINT1_43180.1, SINT1_43160.1	SHAE2_46040.1, SHAE2_46060.1
OG0000612	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2
OG0000613	SINT1_37050.2, SINT1_37050.1, SINT1_37050.3, SINT1_37050.4, SINT1_37050.5, SINT1_37050.6, SINT1_37050.7, SINT1_37050.8, SINT1_37050.9	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3
OG0000614	SINT1_44350.2	SHAE2_47130.1
OG0000615	SINT1_13330.1, SINT1_13330.2	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3
OG0000616	SINT1_59830.4, SINT1_59830.5, SINT1_59830.6, SINT1_59830.2, SINT1_59830.1, SINT1_59830.3, SINT1_59830.7	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4
OG0000617	SINT1_80500.1	SHAE2_86170.1
OG0000618	SINT1_36450.1	SHAE2_39350.1
OG0000620	SINT1_15400.1	SHAE2_17340.1
OG0000620	SINT1_45690.1, SINT1_45690.2	SHAE2_49400.1
OG0000621	SINT1_30120.5	SHAE2_32320.1, SHAE2_32320.3
OG0000622	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8	SHAE2_77860.1
OG0000623	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4
OG0000624	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8
OG0000625	SINT1_37430.1	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9
OG0000626	SINT1_54610.1, SINT1_54610.4	SHAE2_57930.2, SHAE2_57930.4
OG0000627	SINT1_11970.3	SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7
OG0000628	SINT1_60880.1, SINT1_60880.2	SHAE2_65260.1, SHAE2_65260.2
OG0000629	SINT1_38880.1	SHAE2_41780.1
OG0000630	SINT1_58530.1	SHAE2_62790.1
OG0000631	SINT1_65390.1	SHAE2_70150.1
OG0000631	SINT1_60910.1	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4
OG0000632	SINT1_13450.1	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4
OG0000633	SINT1_52510.1, SINT1_52510.2	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8
OG0000636	SINT1_93030.3, SINT1_93030.1, SINT1_93030.2	SHAE2_100110.1
OG0000637	SINT1_49540.1, SINT1_49540.2	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17
OG0000638	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3
OG0000639	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2	SHAE2_65930.1
OG0000640	SINT1_83360.1	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1
OG0000641	SINT1_6660.1	SHAE2_7200.1
OG0000641	SINT1_4480.1	SHAE2_5070.1
OG0000642	SINT1_61590.3, SINT1_61590.7, SINT1_61590.8	SHAE2_66000.2
OG0000642	SINT1_61590.4, SINT1_61590.5, SINT1_61590.2, SINT1_61590.6	SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4
OG0000643	SINT1_51960.1	SHAE2_55330.1
OG0000643	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3
OG0000644	SINT1_93970.5, SINT1_93970.1, SINT1_93970.2, SINT1_93970.4, SINT1_93970.3	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2
OG0000645	SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2	SHAE2_12230.1
OG0000646	SINT1_9020.1	SHAE2_10750.1
OG0000648	SINT1_90570.2, SINT1_90570.4, SINT1_90570.1, SINT1_90570.3, SINT1_90580.1	SHAE2_97430.1
OG0000649	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3
OG0000650	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3	SHAE2_82120.1
OG0000651	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5
OG0000652	SINT1_40190.1	SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9
OG0000653	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2
OG0000654	SINT1_57870.9, SINT1_57870.8	SHAE2_62100.1
OG0000655	SINT1_80450.1, SINT1_80450.2, SINT1_80450.3, SINT1_80450.4, SINT1_80450.5, SINT1_80450.6, SINT1_80450.7	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8
OG0000656	SINT1_74340.3, SINT1_74340.1, SINT1_74340.2	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9
OG0000656	SINT1_74340.4	SHAE2_79910.2, SHAE2_79910.8
OG0000657	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5
OG0000658	SINT1_1140.1	SHAE2_15610.1
OG0000659	SINT1_41750.1, SINT1_41750.5, SINT1_41750.2, SINT1_41750.3, SINT1_41750.4	SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6
OG0000662	SINT1_52210.9	SHAE2_55530.7, SHAE2_55530.1
OG0000662	SINT1_52210.5, SINT1_52210.7	SHAE2_55530.3
OG0000662	SINT1_52210.6, SINT1_52210.1, SINT1_52210.2, SINT1_52210.4, SINT1_52210.3, SINT1_52210.8	SHAE2_55530.4, SHAE2_55530.5, SHAE2_55530.6
OG0000663	SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5
OG0000664	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2
OG0000665	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2
OG0000666	SINT1_61520.4	SHAE2_65920.2
OG0000666	SINT1_61520.1, SINT1_61520.2, SINT1_61520.3, SINT1_61520.5, SINT1_61520.6	SHAE2_65920.1
OG0000668	SINT1_52430.1	SHAE2_55720.4, SHAE2_55720.3
OG0000669	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8
OG0000670	SINT1_44650.3	SHAE2_47450.1, SHAE2_47450.2
OG0000671	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5
OG0000672	SINT1_44270.1	SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1
OG0000673	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2	SHAE2_18160.1
OG0000674	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7
OG0000675	SINT1_71260.1, SINT1_71260.3	SHAE2_76490.1
OG0000676	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5	SHAE2_86060.1
OG0000677	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2	SHAE2_5740.1
OG0000678	SINT1_34540.3, SINT1_34540.4	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8
OG0000679	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7
OG0000680	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6
OG0000681	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3
OG0000682	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3
OG0000683	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3
OG0000683	SINT1_66710.1	SHAE2_71530.2, SHAE2_71530.1
OG0000684	SINT1_83180.1	SHAE2_89870.1
OG0000685	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3	SHAE2_79720.1, SHAE2_79720.2
OG0000686	SINT1_59760.2	SHAE2_64060.1
OG0000686	SINT1_59760.2	SHAE2_64060.3
OG0000686	SINT1_59760.2	SHAE2_64060.4
OG0000686	SINT1_59760.2	SHAE2_64060.5
OG0000686	SINT1_59760.4	SHAE2_64060.6
