Orthogroup	schistosoma_intercalatum	schistosoma_mansoni
OG0001410	SINT1_35040.1, SINT1_35040.2, SINT1_35040.3, SINT1_35040.4, SINT1_35040.5, SINT1_35040.6, SINT1_35040.7, SINT1_35040.8, SINT1_35040.9	Smp_319370.1
OG0001410	SINT1_35030.1	Smp_032230.1
OG0001411	SINT1_28630.3, SINT1_28630.1, SINT1_28630.2, SINT1_28630.4	Smp_141150.1
OG0001412	SINT1_28720.1, SINT1_28720.2	Smp_246000.1
OG0001413	SINT1_92650.1, SINT1_92650.2, SINT1_92650.3	Smp_152940.1, Smp_152940.2
OG0001414	SINT1_4260.1	Smp_347700.2, Smp_347700.1
OG0001415	SINT1_31420.1, SINT1_31420.2, SINT1_31420.3	Smp_073290.1
OG0001417	SINT1_12430.5, SINT1_12430.3, SINT1_12430.1, SINT1_12430.4, SINT1_12430.2	Smp_157770.1
OG0001418	SINT1_210.1, SINT1_210.4, SINT1_210.2, SINT1_210.3	Smp_171720.1, Smp_171720.2
OG0001420	SINT1_81060.1	Smp_082560.1
OG0001421	SINT1_36760.1, SINT1_36760.3, SINT1_36760.5, SINT1_36760.2, SINT1_36760.4	Smp_319130.1
OG0001422	SINT1_73950.6, SINT1_73950.1, SINT1_73950.2, SINT1_73950.4, SINT1_73950.5, SINT1_73950.3	Smp_042670.1
OG0001423	SINT1_11350.1, SINT1_11330.1	Smp_343580.1
OG0001424	SINT1_9450.5, SINT1_9450.4, SINT1_9450.1, SINT1_9450.3, SINT1_9450.2	Smp_347330.1
OG0001425	SINT1_25570.1, SINT1_25570.2, SINT1_25570.3, SINT1_25570.4	Smp_003250.2, Smp_003250.1
OG0001426	SINT1_6240.1, SINT1_6240.2	Smp_006190.1
OG0001427	SINT1_26100.1	Smp_337460.1
OG0001428	SINT1_2410.1, SINT1_2410.2, SINT1_2410.3, SINT1_2410.4, SINT1_2410.5, SINT1_2410.6	Smp_304030.1, Smp_304040.1
OG0001429	SINT1_52980.3, SINT1_52980.4, SINT1_52980.2, SINT1_52980.1, SINT1_52980.5	Smp_181120.1
OG0001430	SINT1_55060.1	Smp_121580.1
OG0001431	SINT1_64900.1	Smp_123490.1
OG0001432	SINT1_21960.1	Smp_166080.1
OG0001433	SINT1_20870.2, SINT1_20870.1, SINT1_20870.7, SINT1_20870.5, SINT1_20870.6, SINT1_20870.3, SINT1_20870.4	Smp_051230.1, Smp_051230.2
OG0001434	SINT1_93480.1	Smp_166680.1
OG0001435	SINT1_76160.1	Smp_062420.1
OG0001436	SINT1_76550.1, SINT1_76550.2, SINT1_76550.3	Smp_042300.1
OG0001437	SINT1_50000.2, SINT1_50000.4, SINT1_50000.1, SINT1_50000.3	Smp_129700.1
OG0001437	SINT1_54470.1	Smp_328430.1
OG0001438	SINT1_19120.2, SINT1_19120.1	Smp_088250.1
OG0001439	SINT1_74630.2, SINT1_74630.3, SINT1_74630.8, SINT1_74630.4, SINT1_74630.5, SINT1_74630.9, SINT1_74630.1, SINT1_74630.6, SINT1_74630.7	Smp_053550.1, Smp_053550.2
OG0001440	SINT1_37280.1, SINT1_37280.2, SINT1_37280.3	Smp_301990.1, Smp_301990.2
OG0001441	SINT1_88500.1	Smp_025010.1
OG0001441	SINT1_88500.3	Smp_025010.1
OG0001442	SINT1_62090.1, SINT1_62090.3, SINT1_62090.2	Smp_333550.1
OG0001443	SINT1_19600.5, SINT1_19600.2, SINT1_19600.4, SINT1_19600.1, SINT1_19600.3	Smp_076150.1
OG0001444	SINT1_71770.1, SINT1_71770.3, SINT1_71770.4, SINT1_71770.2	Smp_211030.1
OG0001445	SINT1_72720.1, SINT1_72720.5, SINT1_72720.6, SINT1_72720.2, SINT1_72720.3, SINT1_72720.4	Smp_342290.1
OG0001446	SINT1_44740.1	Smp_154180.1, Smp_334190.1
OG0001447	SINT1_78660.1	Smp_090110.1
OG0001447	SINT1_78650.1	Smp_090100.1
OG0001448	SINT1_78730.1	Smp_334415.1, Smp_334410.1
OG0001449	SINT1_33120.1	Smp_173620.1
OG0001450	SINT1_17290.1	Smp_074570.1, Smp_074570.2
OG0001453	SINT1_52300.4, SINT1_52300.1, SINT1_52300.2, SINT1_52300.3	Smp_245870.1
OG0001454	SINT1_81300.1, SINT1_81300.2	Smp_058140.2, Smp_058140.1, Smp_058140.3
OG0001455	SINT1_94670.1, SINT1_94670.2, SINT1_94670.3	Smp_097560.1
OG0001456	SINT1_68010.1, SINT1_68020.1, SINT1_68020.2, SINT1_95580.1	Smp_342870.1
OG0001457	SINT1_5240.2, SINT1_5240.1	Smp_166580.1
OG0001458	SINT1_30280.1	Smp_081200.1
OG0001459	SINT1_56980.1, SINT1_56980.2, SINT1_56970.1	Smp_327210.1, Smp_313440.1, Smp_327200.1, Smp_317020.1
OG0001460	SINT1_36060.4, SINT1_36060.5, SINT1_36060.2, SINT1_36060.1, SINT1_36060.3	Smp_132700.2, Smp_132700.1
OG0001461	SINT1_28360.1, SINT1_28360.2, SINT1_28360.3, SINT1_28360.4, SINT1_28360.5, SINT1_28360.6	Smp_035390.1
OG0001462	SINT1_57420.1, SINT1_57420.2	Smp_345300.1
OG0001463	SINT1_59260.1	Smp_345620.1
OG0001464	SINT1_53230.2, SINT1_53230.1, SINT1_53230.3	Smp_212080.1
OG0001465	SINT1_74160.1	Smp_145420.1
OG0001466	SINT1_5000.1, SINT1_5000.2, SINT1_5000.3, SINT1_5000.4, SINT1_5000.5	Smp_022110.1
OG0001467	SINT1_62590.1, SINT1_62590.2	Smp_326160.1, Smp_167880.2, Smp_167880.1
OG0001468	SINT1_4600.3, SINT1_4600.4, SINT1_4600.1, SINT1_4600.2	Smp_241470.1
OG0001469	SINT1_80920.2, SINT1_80920.4, SINT1_80920.1, SINT1_80920.3, SINT1_80920.5	Smp_150560.1
OG0001470	SINT1_64140.1, SINT1_64140.2	Smp_132550.1
OG0001471	SINT1_60240.1	Smp_029070.1
OG0001472	SINT1_64040.3, SINT1_64040.4, SINT1_64040.1, SINT1_64040.2	Smp_144370.1
OG0001473	SINT1_73030.1, SINT1_73030.2, SINT1_73030.3, SINT1_73030.4, SINT1_73030.5	Smp_008830.1
OG0001474	SINT1_40490.1	Smp_247270.1
OG0001475	SINT1_54420.4, SINT1_54420.1, SINT1_54420.2, SINT1_54420.3	Smp_311650.1
OG0001476	SINT1_8560.1	Smp_174230.1
OG0001477	SINT1_55620.1, SINT1_55620.2, SINT1_55620.3	Smp_105200.1
OG0001478	SINT1_22000.2, SINT1_22000.7, SINT1_22000.1, SINT1_22000.6, SINT1_22000.4, SINT1_22000.3, SINT1_22000.5	Smp_345630.1, Smp_345630.2
OG0001479	SINT1_9620.1, SINT1_9620.4, SINT1_9620.2, SINT1_9620.3, SINT1_9620.5, SINT1_9620.6	Smp_305050.1, Smp_305060.1
OG0001480	SINT1_10960.1, SINT1_10960.2, SINT1_10960.3	Smp_172810.1
OG0001481	SINT1_47590.1, SINT1_47600.1	Smp_310510.1, Smp_310510.2, Smp_310520.1
OG0001482	SINT1_90680.1, SINT1_90680.2	Smp_164010.1
OG0001484	SINT1_22830.1, SINT1_22830.2, SINT1_22830.3	Smp_099160.1
OG0001485	SINT1_33930.2, SINT1_33930.1, SINT1_33930.3	Smp_172420.1
OG0001486	SINT1_52820.1, SINT1_52820.2	Smp_148460.1
OG0001487	SINT1_24700.1	Smp_129550.1, Smp_129580.1
OG0001488	SINT1_35930.1, SINT1_35930.3, SINT1_35930.2	Smp_132750.1
OG0001488	SINT1_93830.1	Smp_005790.1
OG0001489	SINT1_25470.1, SINT1_25470.2	Smp_003340.1
OG0001490	SINT1_31630.1	Smp_246460.1
OG0001491	SINT1_5600.1	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1
OG0001492	SINT1_48420.1, SINT1_95660.1	Smp_161220.1
OG0001493	SINT1_45970.1, SINT1_45970.2	Smp_210300.1
OG0001494	SINT1_26530.2, SINT1_26530.3, SINT1_26530.4, SINT1_26530.5, SINT1_26530.1	Smp_181040.1
OG0001495	SINT1_7660.1, SINT1_7660.4, SINT1_7660.2, SINT1_7660.3	Smp_019680.1
OG0001496	SINT1_74710.4, SINT1_74710.2, SINT1_74710.6, SINT1_74710.1, SINT1_74710.5, SINT1_74710.7, SINT1_74710.3	Smp_334250.1
OG0001498	SINT1_45340.1	Smp_320530.1
OG0001499	SINT1_62390.1, SINT1_63920.1	Smp_199800.1
OG0001500	SINT1_65870.2, SINT1_65870.1	Smp_138330.1
OG0001501	SINT1_91250.1, SINT1_91250.2, SINT1_91250.3, SINT1_91250.4, SINT1_91250.5, SINT1_91250.6, SINT1_91250.7, SINT1_91250.8, SINT1_91250.9	Smp_130260.1
OG0001502	SINT1_96450.1, SINT1_650.1	Smp_244820.1, Smp_244820.2
OG0001503	SINT1_51620.1, SINT1_51620.2	Smp_154880.1
OG0001504	SINT1_63070.1	Smp_092810.1
OG0001505	SINT1_91760.2, SINT1_91750.1, SINT1_91760.1	Smp_127770.1
OG0001506	SINT1_14360.1	Smp_132090.1
OG0001507	SINT1_52120.1, SINT1_52120.2, SINT1_52120.3	Smp_130020.1
OG0001508	SINT1_38890.1, SINT1_38890.2, SINT1_38890.3, SINT1_38890.5, SINT1_38890.4, SINT1_38890.6	Smp_054800.1
OG0001509	SINT1_74900.1	Smp_153930.1
OG0001509	SINT1_73640.1	Smp_247860.1
OG0001510	SINT1_41770.1	Smp_065580.1
OG0001511	SINT1_31850.1	Smp_006590.1
OG0001512	SINT1_70760.2, SINT1_70760.3, SINT1_70760.1	Smp_092320.1
OG0001513	SINT1_14570.1, SINT1_14560.1	Smp_241410.1
OG0001514	SINT1_1610.2, SINT1_1610.1	Smp_340970.1
OG0001515	SINT1_9320.1	Smp_021370.1
OG0001516	SINT1_20010.1	Smp_244160.1
OG0001516	SINT1_19990.1	Smp_143780.1
OG0001517	SINT1_27610.1, SINT1_27610.2, SINT1_27610.3	Smp_097790.1, Smp_097790.2
OG0001518	SINT1_74760.3, SINT1_74760.6, SINT1_74760.5, SINT1_74760.4, SINT1_74760.1, SINT1_74760.2	Smp_153870.1, Smp_153870.2
OG0001519	SINT1_74590.1	Smp_150850.1
OG0001520	SINT1_8680.2, SINT1_8680.3, SINT1_8680.1, SINT1_8680.4	Smp_012030.1
OG0001521	SINT1_54800.1	Smp_245950.1
OG0001522	SINT1_10010.2, SINT1_10010.1, SINT1_10010.3	Smp_345770.1
OG0001523	SINT1_48510.5, SINT1_48510.6, SINT1_48510.1, SINT1_48510.2, SINT1_48510.3, SINT1_48510.4	Smp_171270.1
OG0001524	SINT1_80610.2, SINT1_80610.3, SINT1_80610.4, SINT1_80610.5, SINT1_80610.1	Smp_247650.1
OG0001525	SINT1_33830.1	Smp_136160.1
OG0001526	SINT1_52800.1	Smp_344110.1
OG0001527	SINT1_87820.1, SINT1_87820.7, SINT1_87820.3, SINT1_87820.5, SINT1_87820.4, SINT1_87820.2, SINT1_87820.6	Smp_156160.1
OG0001528	SINT1_42910.1, SINT1_42910.4, SINT1_42910.5, SINT1_42910.6, SINT1_42910.3, SINT1_42910.2	Smp_152060.1
OG0001529	SINT1_58690.1	Smp_104520.1
OG0001530	SINT1_46570.1, SINT1_46570.2	Smp_133590.1, Smp_133590.2, Smp_133590.3
OG0001531	SINT1_16730.1, SINT1_16730.2	Smp_323830.2, Smp_323830.1
OG0001532	SINT1_2870.1	Smp_164820.1, Smp_322070.1
OG0001533	SINT1_58420.1, SINT1_58420.3, SINT1_58420.2, SINT1_58420.4, SINT1_58420.5	Smp_047720.1
OG0001534	SINT1_73330.1	Smp_156630.1
OG0001535	SINT1_85760.4, SINT1_85760.5, SINT1_85760.1, SINT1_85760.2, SINT1_85760.3, SINT1_85760.6	Smp_123320.1
OG0001536	SINT1_20880.2, SINT1_20880.1, SINT1_20880.4, SINT1_20880.3	Smp_149530.1
OG0001537	SINT1_1360.2, SINT1_1360.1, SINT1_1370.3, SINT1_1370.2, SINT1_1370.1	Smp_133900.1, Smp_133890.1
OG0001538	SINT1_86460.1	Smp_078240.1
OG0001539	SINT1_1510.1	Smp_156990.1
OG0001540	SINT1_39100.1, SINT1_39080.1, SINT1_39080.2	Smp_088460.1
OG0001541	SINT1_82720.1, SINT1_82720.3, SINT1_82720.2, SINT1_82720.4	Smp_039160.1
OG0001542	SINT1_48160.1, SINT1_48160.2, SINT1_48160.3, SINT1_48160.4	Smp_179010.1
OG0001543	SINT1_82580.1, SINT1_82580.2	Smp_321255.1
OG0001544	SINT1_12760.1	Smp_135990.1
OG0001545	SINT1_46950.1	Smp_016510.1
OG0001546	SINT1_36280.1	Smp_346820.1, Smp_335570.1
OG0001547	SINT1_44960.1, SINT1_44960.2, SINT1_44970.1	Smp_345370.1
OG0001548	SINT1_87940.1, SINT1_87940.2	Smp_317540.1
OG0001549	SINT1_45470.5, SINT1_45470.1, SINT1_45470.4, SINT1_45470.2, SINT1_45470.3, SINT1_45470.6	Smp_154610.1
OG0001550	SINT1_87490.1	Smp_078560.1
OG0001554	SINT1_30790.1	Smp_129020.1
OG0001555	SINT1_74740.1	Smp_138810.1
OG0001555	SINT1_74720.1, SINT1_74720.2	Smp_153890.1
OG0001556	SINT1_32290.2, SINT1_32290.3, SINT1_32290.1	Smp_140440.1
OG0001557	SINT1_41130.1	Smp_161380.1
OG0001558	SINT1_79380.1	Smp_053900.1
OG0001559	SINT1_50740.1, SINT1_50720.1	Smp_245740.1
OG0001560	SINT1_62820.1, SINT1_62820.2	Smp_013080.1
OG0001561	SINT1_46010.1	Smp_310170.1
OG0001562	SINT1_73710.1	Smp_342970.1
OG0001563	SINT1_43750.1, SINT1_43750.2	Smp_005390.1
OG0001564	SINT1_48860.1, SINT1_48850.1, SINT1_48870.1	Smp_310760.1, Smp_310750.1
OG0001565	SINT1_64460.1, SINT1_64460.2, SINT1_64460.3, SINT1_64460.4	Smp_026930.1
OG0001566	SINT1_62720.1	Smp_210660.1
OG0001567	SINT1_76430.3, SINT1_76430.1, SINT1_76430.2, SINT1_76430.4	Smp_169670.1
OG0001568	SINT1_79030.6, SINT1_79030.8, SINT1_79030.2, SINT1_79030.7, SINT1_79030.1, SINT1_79030.3, SINT1_79030.4, SINT1_79030.5	Smp_090140.1
OG0001569	SINT1_22420.1	Smp_136510.1, Smp_136510.2
OG0001570	SINT1_70080.1, SINT1_70080.2	Smp_312440.1, Smp_312460.1
OG0001571	SINT1_690.1	Smp_015630.1
OG0001571	SINT1_6410.1	Smp_096480.1
OG0001572	SINT1_62740.5, SINT1_62740.2, SINT1_62740.8, SINT1_62740.3, SINT1_62740.1, SINT1_62740.6, SINT1_62740.7, SINT1_62740.9, SINT1_62740.4	Smp_127490.1
OG0001573	SINT1_26610.1, SINT1_26610.2, SINT1_26610.3	Smp_333140.1
OG0001574	SINT1_35300.1	Smp_005160.1, Smp_005160.2
OG0001575	SINT1_11830.1	Smp_158310.1, Smp_158310.3, Smp_158310.2
OG0001576	SINT1_86940.1	Smp_138880.1
OG0001577	SINT1_29110.1, SINT1_29110.2	Smp_133120.1
OG0001578	SINT1_56230.4, SINT1_56230.1, SINT1_56230.2, SINT1_56230.3	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3
OG0001579	SINT1_17040.1, SINT1_17040.3, SINT1_17040.2	Smp_267110.1
OG0001580	SINT1_42030.1, SINT1_42030.2	Smp_166370.1
OG0001581	SINT1_77480.3, SINT1_77480.1, SINT1_77480.4, SINT1_77480.2	Smp_151490.1, Smp_151490.2
OG0001582	SINT1_55810.1, SINT1_55810.2, SINT1_55810.3	Smp_021920.1
OG0001583	SINT1_41900.4, SINT1_41900.1, SINT1_41900.2, SINT1_41900.5, SINT1_41900.3	Smp_170570.1
OG0001584	SINT1_34790.1, SINT1_34790.2, SINT1_34790.3, SINT1_34790.4	Smp_139470.1
OG0001585	SINT1_40170.1	Smp_049580.1
OG0001586	SINT1_18000.2, SINT1_18000.6, SINT1_18000.1, SINT1_18000.3, SINT1_18000.5, SINT1_18000.4	Smp_015390.1
OG0001587	SINT1_18990.2, SINT1_18990.1, SINT1_18990.3	Smp_161080.1, Smp_161080.2
OG0001588	SINT1_62470.2, SINT1_62470.1	Smp_085080.1
OG0001589	SINT1_34080.1, SINT1_34080.2, SINT1_34080.5, SINT1_34080.3, SINT1_34080.4	Smp_150420.1
OG0001590	SINT1_68830.1, SINT1_68840.1, SINT1_68840.2	Smp_142210.1
OG0001591	SINT1_94810.2, SINT1_94810.1, SINT1_94810.3, SINT1_94810.5, SINT1_94810.4	Smp_332360.1
OG0001592	SINT1_18810.1, SINT1_18810.2	Smp_210520.1, Smp_210520.2
OG0001593	SINT1_61100.1, SINT1_61100.2, SINT1_61100.3, SINT1_61100.4, SINT1_61100.5	Smp_162600.1
OG0001594	SINT1_36340.1	Smp_127600.1
OG0001595	SINT1_65100.1	Smp_300810.1
OG0001596	SINT1_78900.4	Smp_038080.1
OG0001597	SINT1_72370.2, SINT1_72370.3, SINT1_72370.1	Smp_027430.1
OG0001598	SINT1_45790.1	Smp_001410.1
OG0001599	SINT1_69280.1, SINT1_69280.2	Smp_087010.1
OG0001600	SINT1_30170.1	Smp_093220.1
OG0001601	SINT1_65710.1, SINT1_65710.2	Smp_246360.1
OG0001602	SINT1_13570.1, SINT1_13570.2	Smp_153640.1
OG0001603	SINT1_52600.1	Smp_048830.1
OG0001604	SINT1_24740.1, SINT1_24740.3, SINT1_24740.2	Smp_332680.1
OG0001605	SINT1_15670.1, SINT1_15670.2	Smp_241450.1
OG0001606	SINT1_23040.2, SINT1_23050.1	Smp_241980.1
OG0001607	SINT1_68870.1, SINT1_68870.2	Smp_150680.1
OG0001608	SINT1_51530.1, SINT1_51530.2	Smp_082670.1
OG0001609	SINT1_70800.1	Smp_213490.1
OG0001610	SINT1_93760.1	Smp_342160.1
OG0001610	SINT1_36910.1	Smp_008260.1
OG0001611	SINT1_60130.1, SINT1_60130.3, SINT1_60130.6, SINT1_60130.5, SINT1_60130.2, SINT1_60130.4	Smp_137950.1, Smp_137950.2
OG0001612	SINT1_1440.1, SINT1_1440.2, SINT1_1440.3	Smp_021540.1
OG0001613	SINT1_73110.1, SINT1_73110.2	Smp_008710.1
OG0001614	SINT1_40050.1	Smp_148650.1
OG0001615	SINT1_40060.1, SINT1_40060.3, SINT1_40060.2, SINT1_40060.4	Smp_049500.1
OG0001616	SINT1_10630.1, SINT1_10630.2	Smp_212900.1
OG0001617	SINT1_54210.1, SINT1_54210.2	Smp_047540.2, Smp_047540.1
OG0001618	SINT1_39170.1, SINT1_39170.2, SINT1_39170.3, SINT1_15920.1	Smp_170350.1
OG0001619	SINT1_54090.7, SINT1_54090.1, SINT1_54090.6, SINT1_54090.4, SINT1_54090.5, SINT1_54090.2, SINT1_54090.3	Smp_147560.1
OG0001620	SINT1_33860.1	Smp_136180.1
OG0001621	SINT1_750.1	Smp_015690.1
OG0001622	SINT1_83370.1, SINT1_94920.1, SINT1_83340.1	Smp_143970.1
OG0001623	SINT1_7540.4, SINT1_7540.1, SINT1_7540.3, SINT1_7540.5, SINT1_7540.2	Smp_127280.1
OG0001624	SINT1_41070.1	Smp_161370.1
OG0001625	SINT1_62410.1	Smp_308480.1, Smp_308480.2, Smp_308470.1, Smp_308470.2
OG0001626	SINT1_32390.4, SINT1_32390.5, SINT1_32390.6, SINT1_32390.1, SINT1_32390.3	Smp_033710.1
OG0001627	SINT1_71820.1	Smp_149950.1
OG0001628	SINT1_16400.1, SINT1_16400.4, SINT1_16400.5, SINT1_16400.2, SINT1_16400.3	Smp_038030.1
OG0001629	SINT1_1910.3, SINT1_1910.1, SINT1_1910.2	Smp_188430.1
OG0001631	SINT1_88400.1	Smp_024900.1
OG0001632	SINT1_66660.1	Smp_122370.1
OG0001633	SINT1_93140.1, SINT1_93140.2, SINT1_93140.3	Smp_210370.1
OG0001634	SINT1_85850.1, SINT1_85850.2	Smp_172220.1
OG0001635	SINT1_5020.1, SINT1_5020.2	Smp_138610.1
OG0001636	SINT1_73800.1	Smp_145180.1
OG0001637	SINT1_57890.2, SINT1_57890.3, SINT1_57890.1	Smp_105680.1
OG0001638	SINT1_6750.1, SINT1_6750.3, SINT1_6750.4, SINT1_6750.5, SINT1_6750.2, SINT1_6750.6, SINT1_6750.7, SINT1_6750.8, SINT1_6750.9	Smp_096210.1
OG0001639	SINT1_16670.1	Smp_323820.1, Smp_323800.1
OG0001639	SINT1_16700.1	Smp_060210.1
OG0001640	SINT1_20640.2, SINT1_20640.1, SINT1_20640.3, SINT1_20640.4	Smp_155030.1
OG0001641	SINT1_87360.1	Smp_087520.2, Smp_087520.1
OG0001642	SINT1_68760.1, SINT1_68770.1, SINT1_45590.1	Smp_346030.1, Smp_346030.2
OG0001643	SINT1_59420.1, SINT1_59420.2	Smp_121800.1, Smp_121800.2
OG0001644	SINT1_49020.1	Smp_157320.1
OG0001645	SINT1_93540.1	Smp_196880.1, Smp_196880.2
OG0001646	SINT1_55500.1, SINT1_55500.3, SINT1_55500.6, SINT1_55500.4, SINT1_55500.2, SINT1_55500.5	Smp_096520.1
OG0001647	SINT1_41800.5, SINT1_41800.7, SINT1_41800.3, SINT1_41800.4, SINT1_41800.2, SINT1_41800.1, SINT1_41800.8, SINT1_41800.6	Smp_157540.1
OG0001648	SINT1_78840.1, SINT1_78840.2, SINT1_78840.3	Smp_150300.2, Smp_150300.1, Smp_150300.3
OG0001649	SINT1_14030.1	Smp_163310.1
OG0001650	SINT1_72160.3, SINT1_72160.1, SINT1_72160.2	Smp_104870.1
OG0001651	SINT1_2000.2, SINT1_2000.1, SINT1_2000.3	Smp_343560.1
OG0001652	SINT1_70730.3, SINT1_70730.2, SINT1_70730.1, SINT1_70730.5, SINT1_70730.4	Smp_103530.1
OG0001653	SINT1_10870.1, SINT1_10870.2	Smp_170060.1
OG0001654	SINT1_89180.1	Smp_036720.1
OG0001654	SINT1_89190.1	Smp_141940.1
OG0001655	SINT1_67180.3, SINT1_67180.2, SINT1_67180.1, SINT1_67180.4	Smp_167630.1, Smp_167630.2
OG0001656	SINT1_86360.1	Smp_158140.1
OG0001657	SINT1_33560.1, SINT1_33560.2, SINT1_33560.3	Smp_093540.1
OG0001659	SINT1_34980.1	Smp_078540.1, Smp_309610.1, Smp_319390.1
OG0001661	SINT1_51400.2, SINT1_51400.3, SINT1_51400.1, SINT1_51400.4	Smp_333880.1
OG0001662	SINT1_5460.1	Smp_159510.1, Smp_159510.2
OG0001668	SINT1_28470.2, SINT1_28470.3, SINT1_28470.1, SINT1_28470.4	Smp_035260.1
OG0001669	SINT1_32050.1, SINT1_32050.2, SINT1_32050.4, SINT1_32050.3, SINT1_32050.5	Smp_034090.1
OG0001670	SINT1_36720.1, SINT1_36720.2, SINT1_36720.3	Smp_045200.1
OG0001671	SINT1_30360.2, SINT1_30360.1	Smp_165980.1
OG0001672	SINT1_29540.3, SINT1_29540.1, SINT1_29540.2, SINT1_29540.4, SINT1_29540.5, SINT1_29540.6	Smp_085150.1
OG0001673	SINT1_60960.1, SINT1_60960.2, SINT1_60960.3	Smp_007550.1
OG0001675	SINT1_66280.1, SINT1_66280.2	Smp_030330.1
OG0001676	SINT1_11030.1	Smp_103100.1
OG0001677	SINT1_87180.3, SINT1_87180.5, SINT1_87180.2, SINT1_87180.4, SINT1_87180.1	Smp_169930.2, Smp_169930.1
OG0001678	SINT1_57560.3, SINT1_57560.1, SINT1_57560.2	Smp_210200.1
OG0001679	SINT1_19940.1	Smp_143760.1
OG0001680	SINT1_28520.1	Smp_035190.1
OG0001681	SINT1_19150.1	Smp_170170.1
OG0001682	SINT1_17180.1, SINT1_17180.2, SINT1_17180.3	Smp_347960.1
OG0001683	SINT1_25440.1	Smp_337440.1
OG0001684	SINT1_29470.1, SINT1_29470.2, SINT1_29470.3, SINT1_29470.4, SINT1_29470.5	Smp_346160.1, Smp_328240.1
OG0001685	SINT1_15440.1	Smp_244390.1
OG0001685	SINT1_15420.1	Smp_135250.1
OG0001686	SINT1_81000.1, SINT1_81000.2, SINT1_81000.3	Smp_173240.1
OG0001687	SINT1_55510.1	Smp_311790.1, Smp_311780.1
OG0001688	SINT1_22360.1	Smp_026540.1
OG0001689	SINT1_21370.1, SINT1_21870.1	Smp_345190.1
OG0001689	SINT1_21590.1	Smp_131580.1
OG0001690	SINT1_33960.1	Smp_246690.1
OG0001691	SINT1_13250.1	Smp_157100.1
OG0001692	SINT1_75010.1, SINT1_75010.2	Smp_126460.1
OG0001693	SINT1_81140.1, SINT1_81140.2, SINT1_81140.3, SINT1_81140.4	Smp_153300.1
OG0001694	SINT1_81170.1, SINT1_81170.2	Smp_153350.1
OG0001695	SINT1_31880.1	Smp_006630.1
OG0001696	SINT1_43000.1	Smp_149640.1
OG0001697	SINT1_92700.1	Smp_057430.1
OG0001698	SINT1_77030.1, SINT1_77030.2, SINT1_77030.3, SINT1_77030.4, SINT1_77030.5	Smp_041750.1
OG0001699	SINT1_61380.1	Smp_346310.1
OG0001700	SINT1_15310.1	Smp_306140.3, Smp_306140.1, Smp_306140.2
OG0001701	SINT1_82870.1	Smp_013210.1
OG0001701	SINT1_82860.1	Smp_129310.1
OG0001702	SINT1_44840.1, SINT1_44840.3, SINT1_44840.2	Smp_131800.1
OG0001703	SINT1_35620.1, SINT1_35620.2	Smp_027970.1
OG0001704	SINT1_15500.1, SINT1_15500.2	Smp_135280.1
OG0001705	SINT1_24830.1, SINT1_24830.2, SINT1_24810.1	Smp_124340.1
OG0001706	SINT1_32010.1	Smp_140590.1
OG0001707	SINT1_64620.1, SINT1_64620.2	Smp_309430.1
OG0001708	SINT1_92860.1, SINT1_92860.2	Smp_332300.1
OG0001709	SINT1_29720.3, SINT1_29720.1, SINT1_29720.6, SINT1_29720.8, SINT1_29720.7, SINT1_29720.2, SINT1_29720.4, SINT1_29720.5	Smp_101820.1
OG0001710	SINT1_84620.1	Smp_336280.1
OG0001711	SINT1_91850.1, SINT1_91850.2	Smp_127810.2, Smp_127810.1
OG0001712	SINT1_41610.1, SINT1_41610.2	Smp_181160.1
OG0001713	SINT1_58020.1	Smp_098920.1
OG0001714	SINT1_58030.1, SINT1_58030.2	Smp_316660.1, Smp_316660.2
OG0001715	SINT1_23730.1, SINT1_23730.2	Smp_130980.1
OG0001716	SINT1_68880.1	Smp_142090.1
OG0001717	SINT1_28910.3, SINT1_28910.1, SINT1_28910.2	Smp_020370.1
OG0001718	SINT1_15180.2, SINT1_15180.1	Smp_350020.1, Smp_341720.1
OG0001719	SINT1_43590.1	Smp_125050.1
OG0001720	SINT1_11850.1, SINT1_11850.2	Smp_066760.1
OG0001721	SINT1_56450.1	Smp_032800.1
OG0001721	SINT1_56470.1	Smp_032820.1
OG0001722	SINT1_11260.1	Smp_143070.1, Smp_143070.2
OG0001723	SINT1_11080.4, SINT1_11080.7, SINT1_11080.6, SINT1_11080.3, SINT1_11080.1, SINT1_11080.2, SINT1_11080.5	Smp_165470.1
OG0001724	SINT1_71670.1	Smp_334100.1
OG0001725	SINT1_70160.1, SINT1_70160.2	Smp_026030.1
OG0001726	SINT1_35790.1	Smp_097490.1
OG0001726	SINT1_80240.1	Smp_212780.1
OG0001727	SINT1_87340.1, SINT1_87330.1	Smp_315490.1, Smp_315480.1
OG0001728	SINT1_63890.1, SINT1_63890.2	Smp_313810.1, Smp_341280.1
OG0001729	SINT1_10890.2, SINT1_10890.3, SINT1_10890.1	Smp_244630.2, Smp_244630.1
OG0001730	SINT1_18220.2, SINT1_18220.1	Smp_333240.1
OG0001731	SINT1_30890.2, SINT1_30890.4, SINT1_30890.1, SINT1_30890.3	Smp_012720.1
OG0001732	SINT1_48320.4, SINT1_48320.1, SINT1_48320.3, SINT1_48320.2	Smp_310620.1
