Orthogroup	schistosoma_guineensis	schistosoma_mansoni
OG0001143	SGUI1_63210.1	Smp_168340.1
OG0001144	SGUI1_36030.2, SGUI1_36030.4, SGUI1_36030.5, SGUI1_36030.6, SGUI1_36030.7, SGUI1_36030.3, SGUI1_36030.1	Smp_132660.1
OG0001145	SGUI1_65890.7, SGUI1_65890.2, SGUI1_65890.3, SGUI1_65890.1, SGUI1_65890.4, SGUI1_65890.5, SGUI1_65890.6	Smp_062240.1, Smp_123600.1
OG0001146	SGUI1_4250.1	Smp_322350.1, Smp_322350.2
OG0001147	SGUI1_7190.1	Smp_019760.1
OG0001148	SGUI1_70950.2, SGUI1_70950.1, SGUI1_70950.8, SGUI1_70950.4, SGUI1_70950.6, SGUI1_70950.7, SGUI1_70950.5, SGUI1_70950.3	Smp_086460.1
OG0001149	SGUI1_78650.1	Smp_041770.1
OG0001150	SGUI1_52170.1, SGUI1_52170.2	Smp_045400.1
OG0001151	SGUI1_90180.3, SGUI1_90180.4, SGUI1_90180.2, SGUI1_90180.1	Smp_169870.1
OG0001152	SGUI1_11930.1	Smp_135910.1
OG0001153	SGUI1_69480.2, SGUI1_69480.1	Smp_000990.1
OG0001154	SGUI1_43950.1	Smp_142270.2, Smp_142270.1
OG0001155	SGUI1_48460.4, SGUI1_48460.6, SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8	Smp_071880.1
OG0001156	SGUI1_97080.1, SGUI1_97080.2, SGUI1_97080.3, SGUI1_97100.1, SGUI1_97090.1	Smp_348790.1, Smp_348790.2
OG0001156	SGUI1_7130.1	Smp_019690.1, Smp_019690.2
OG0001157	SGUI1_63240.1	Smp_010140.1
OG0001158	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4	Smp_144080.1
OG0001159	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4	Smp_077560.1
OG0001160	SGUI1_19460.1, SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3	Smp_131460.1
OG0001161	SGUI1_66030.1	Smp_123670.1, Smp_123670.2
OG0001162	SGUI1_35590.1	Smp_180160.1
OG0001163	SGUI1_77630.1	Smp_062530.1
OG0001164	SGUI1_82300.1	Smp_341090.2, Smp_341090.1
OG0001165	SGUI1_58060.1	Smp_161580.1
OG0001166	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5	Smp_178740.1
OG0001167	SGUI1_35580.1	Smp_180150.1
OG0001168	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4	Smp_136040.1
OG0001169	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4	Smp_129650.1
OG0001170	SGUI1_10500.1, SGUI1_10490.1	Smp_244570.1
OG0001171	SGUI1_15200.1	Smp_024370.1
OG0001172	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1	Smp_137890.2, Smp_137890.3, Smp_137890.1
OG0001173	SGUI1_1750.2, SGUI1_1750.1	Smp_145810.1
OG0001174	SGUI1_9050.1	Smp_189960.1, Smp_189960.2
OG0001175	SGUI1_52250.1, SGUI1_52250.2, SGUI1_52250.4, SGUI1_52250.3	Smp_045480.1
OG0001176	SGUI1_73720.1	Smp_027550.1, Smp_027550.2
OG0001177	SGUI1_24540.1, SGUI1_24540.2, SGUI1_24540.3	Smp_341700.1
OG0001178	SGUI1_2620.1	Smp_304060.1
OG0001178	SGUI1_2610.1	Smp_125940.1
OG0001179	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4	Smp_127680.1, Smp_127680.2
OG0001180	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4	Smp_311140.1, Smp_180190.1
OG0001181	SGUI1_58100.1	Smp_347830.1
OG0001182	SGUI1_35850.1	Smp_019340.1
OG0001183	SGUI1_10200.1, SGUI1_10200.2, SGUI1_10200.6, SGUI1_10200.3, SGUI1_10200.5, SGUI1_10200.4	Smp_164410.1
OG0001184	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3	Smp_171710.1
OG0001185	SGUI1_9880.1	Smp_173900.1
OG0001186	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4	Smp_134250.1, Smp_134250.2
OG0001187	SGUI1_31090.1	Smp_246500.1
OG0001188	SGUI1_7400.1	Smp_121140.1
OG0001189	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4, SGUI1_14100.7, SGUI1_14100.2, SGUI1_14100.6	Smp_132170.1
OG0001190	SGUI1_36060.1, SGUI1_36060.2	Smp_132640.1
OG0001191	SGUI1_6630.1	Smp_037190.1
OG0001192	SGUI1_42760.2, SGUI1_42760.3	Smp_040570.1, Smp_320200.1
OG0001193	SGUI1_83160.1	Smp_058130.1
OG0001194	SGUI1_6140.1	Smp_242400.1
OG0001197	SGUI1_21650.1, SGUI1_21650.2	Smp_316630.1
OG0001198	SGUI1_82880.3, SGUI1_82880.4, SGUI1_82880.1, SGUI1_82880.2	Smp_173230.1
OG0001199	SGUI1_80240.1	Smp_314000.1
OG0001199	SGUI1_80510.1, SGUI1_80520.1	Smp_314010.1, Smp_314010.2
OG0001202	SGUI1_12770.1, SGUI1_12740.1	Smp_058450.1
OG0001203	SGUI1_1340.1	Smp_175900.1
OG0001203	SGUI1_82410.1	Smp_314630.1
OG0001204	SGUI1_66970.2, SGUI1_66970.3, SGUI1_66970.4, SGUI1_66970.1	Smp_030110.1
OG0001205	SGUI1_36270.1	Smp_010250.1
OG0001207	SGUI1_14710.1, SGUI1_14710.3, SGUI1_14710.2, SGUI1_14710.4, SGUI1_14710.5	Smp_045790.1
OG0001208	SGUI1_37960.1	Smp_142620.1
OG0001209	SGUI1_48780.1	Smp_301160.1
OG0001210	SGUI1_93460.1	Smp_180400.1
OG0001211	SGUI1_17140.1	Smp_244210.1
OG0001212	SGUI1_24200.1, SGUI1_24200.2, SGUI1_24200.3	Smp_068990.1
OG0001213	SGUI1_6460.2, SGUI1_6460.4, SGUI1_6460.1, SGUI1_6460.3	Smp_139930.1
OG0001214	SGUI1_28140.1, SGUI1_28140.2, SGUI1_28140.3	Smp_035150.1
OG0001215	SGUI1_64230.1	Smp_243670.1
OG0001216	SGUI1_26480.1	Smp_333210.1, Smp_333210.2
OG0001217	SGUI1_73320.2, SGUI1_73320.1, SGUI1_73320.3, SGUI1_73320.7, SGUI1_73320.6, SGUI1_73320.4, SGUI1_73320.5	Smp_052280.1
OG0001218	SGUI1_11610.1, SGUI1_11610.2	Smp_157670.1, Smp_157670.2, Smp_157670.3
OG0001219	SGUI1_1180.1, SGUI1_1180.3, SGUI1_1180.2, SGUI1_1180.4	Smp_152370.1
OG0001220	SGUI1_95190.1	Smp_041630.1
OG0001221	SGUI1_62910.4	Smp_181460.1
OG0001223	SGUI1_32500.3, SGUI1_32500.1, SGUI1_32500.2	Smp_152830.1, Smp_152830.2, Smp_152830.3
OG0001224	SGUI1_82670.4, SGUI1_82670.6, SGUI1_82670.1, SGUI1_82670.2, SGUI1_82670.5, SGUI1_82670.3	Smp_094630.1
OG0001225	SGUI1_59200.1	Smp_138200.1
OG0001226	SGUI1_46050.2, SGUI1_46050.4, SGUI1_46050.5, SGUI1_46050.3, SGUI1_46050.1	Smp_131630.1
OG0001227	SGUI1_62340.1	Smp_145990.1
OG0001228	SGUI1_44950.1, SGUI1_44950.2	Smp_075800.1
OG0001229	SGUI1_30290.1	Smp_071470.1
OG0001230	SGUI1_16490.6, SGUI1_16490.3, SGUI1_16490.1, SGUI1_16490.2, SGUI1_16490.4, SGUI1_16490.5	Smp_198530.1
OG0001231	SGUI1_39440.2, SGUI1_39440.5, SGUI1_39440.1, SGUI1_39440.3, SGUI1_39440.4	Smp_048430.1
OG0001232	SGUI1_82340.1	Smp_068000.1
OG0001232	SGUI1_82330.1	Smp_315750.2, Smp_315750.3
OG0001233	SGUI1_5550.1, SGUI1_5550.2	Smp_340710.1
OG0001234	SGUI1_44170.1	Smp_165190.1
OG0001235	SGUI1_28530.1	Smp_133210.1
OG0001235	SGUI1_28520.1	Smp_020340.1
OG0001236	SGUI1_63890.1	Smp_150220.1, Smp_150220.2
OG0001237	SGUI1_26440.1	Smp_096790.1
OG0001237	SGUI1_26400.1	Smp_323640.1
OG0001238	SGUI1_84240.1	Smp_156880.1
OG0001239	SGUI1_11630.1	Smp_341050.1
OG0001240	SGUI1_54270.3, SGUI1_54270.1, SGUI1_54270.2, SGUI1_54270.4	Smp_146310.1
OG0001241	SGUI1_60090.1	Smp_194710.1
OG0001241	SGUI1_74870.1	Smp_069240.1
OG0001242	SGUI1_56590.1, SGUI1_56590.2, SGUI1_56590.3	Smp_095360.1
OG0001243	SGUI1_6450.7, SGUI1_6450.3, SGUI1_6450.2, SGUI1_6450.5, SGUI1_6450.1, SGUI1_6450.4, SGUI1_6450.6, SGUI1_6450.8	Smp_344620.1
OG0001244	SGUI1_90030.1	Smp_154250.1
OG0001245	SGUI1_11250.1	Smp_305870.1
OG0001246	SGUI1_32890.1	Smp_093950.1
OG0001247	SGUI1_37140.6, SGUI1_37140.10, SGUI1_37140.8, SGUI1_37140.1, SGUI1_37140.2, SGUI1_37140.9, SGUI1_37140.5, SGUI1_37140.4, SGUI1_37140.7, SGUI1_37140.3	Smp_041100.1
OG0001248	SGUI1_3360.1, SGUI1_96950.1	Smp_335650.1
OG0001248	SGUI1_5290.1	Smp_067520.2, Smp_067520.1
OG0001249	SGUI1_35960.2, SGUI1_35960.1, SGUI1_35960.3	Smp_342710.1
OG0001250	SGUI1_2050.1, SGUI1_2050.2, SGUI1_2050.3	Smp_142970.1
OG0001250	SGUI1_2060.1	Smp_142980.1
OG0001251	SGUI1_77820.1, SGUI1_77820.2	Smp_247620.1
OG0001252	SGUI1_52050.1	Smp_045260.1
OG0001253	SGUI1_55090.1, SGUI1_55090.2, SGUI1_55090.3	Smp_140770.1
OG0001254	SGUI1_32560.3, SGUI1_32560.1, SGUI1_32560.4, SGUI1_32560.2, SGUI1_32570.1, SGUI1_32570.2	Smp_301570.1
OG0001255	SGUI1_28620.1	Smp_133170.1
OG0001256	SGUI1_48360.1	Smp_161250.1
OG0001257	SGUI1_26690.2, SGUI1_26690.1, SGUI1_26690.3	Smp_321890.1
OG0001258	SGUI1_77170.1	Smp_096760.1
OG0001259	SGUI1_59960.1	Smp_080620.1
OG0001260	SGUI1_1440.1, SGUI1_1440.2, SGUI1_1440.3, SGUI1_1440.4	Smp_021590.1
OG0001261	SGUI1_45470.1	Smp_078710.1
OG0001262	SGUI1_83210.1	Smp_085540.2, Smp_085540.1
OG0001263	SGUI1_90160.1, SGUI1_90160.2	Smp_169890.1
OG0001263	SGUI1_90170.1	Smp_169880.1
OG0001264	SGUI1_54090.1	Smp_146410.1
OG0001265	SGUI1_61350.1, SGUI1_61350.2, SGUI1_61350.3, SGUI1_61350.4, SGUI1_61350.5, SGUI1_61350.6, SGUI1_61350.7, SGUI1_61350.9, SGUI1_61350.10, SGUI1_61350.8	Smp_132300.1
OG0001266	SGUI1_70840.1	Smp_346940.1
OG0001267	SGUI1_53370.1	Smp_012340.1
OG0001268	SGUI1_89970.1	Smp_316080.1
OG0001268	SGUI1_7410.1, SGUI1_7410.2, SGUI1_7410.3	Smp_121190.1
OG0001269	SGUI1_23370.1	Smp_016200.1
OG0001270	SGUI1_89280.1, SGUI1_89280.2, SGUI1_89280.3, SGUI1_89280.4, SGUI1_89280.5, SGUI1_89280.6	Smp_345920.1
OG0001271	SGUI1_65440.1, SGUI1_65440.2, SGUI1_65440.3, SGUI1_65440.4, SGUI1_65440.5, SGUI1_65440.6, SGUI1_65440.7	Smp_342930.1
OG0001272	SGUI1_80730.7, SGUI1_80730.1, SGUI1_80730.2, SGUI1_80730.4, SGUI1_80730.5, SGUI1_80730.3, SGUI1_80730.6, SGUI1_80730.8	Smp_089100.1
OG0001273	SGUI1_74050.4, SGUI1_74050.2, SGUI1_74050.1, SGUI1_74050.3	Smp_127010.3, Smp_127010.1
OG0001274	SGUI1_68800.2, SGUI1_68800.4, SGUI1_68800.3, SGUI1_68800.1	Smp_346490.1
OG0001275	SGUI1_54620.3, SGUI1_54620.8, SGUI1_54620.1, SGUI1_54620.6, SGUI1_54620.7, SGUI1_54620.4, SGUI1_54620.5, SGUI1_54620.2	Smp_147630.1
OG0001276	SGUI1_64890.1, SGUI1_64890.2, SGUI1_65930.1	Smp_144390.1
OG0001277	SGUI1_3170.1	Smp_332880.1
OG0001278	SGUI1_91180.1, SGUI1_91180.2, SGUI1_91180.4, SGUI1_91180.5, SGUI1_91180.3	Smp_141970.1
OG0001279	SGUI1_34790.4, SGUI1_34790.1, SGUI1_34790.2, SGUI1_34790.3	Smp_213170.1
OG0001280	SGUI1_51920.1, SGUI1_51920.3, SGUI1_51920.4, SGUI1_51920.5, SGUI1_51920.2	Smp_154930.1
OG0001281	SGUI1_78760.1	Smp_313760.1, Smp_313760.2, Smp_313740.1, Smp_332670.1
OG0001282	SGUI1_95040.1, SGUI1_95040.2, SGUI1_95040.3	Smp_041480.1
OG0001283	SGUI1_35400.1, SGUI1_35400.3, SGUI1_35400.2, SGUI1_35400.4, SGUI1_35400.5	Smp_317370.1
OG0001284	SGUI1_17390.1	Smp_153110.1, Smp_146430.1, Smp_146430.2
OG0001285	SGUI1_97070.1, SGUI1_700.1, SGUI1_1120.1, SGUI1_690.1, SGUI1_710.1, SGUI1_720.1	Smp_244810.1
OG0001286	SGUI1_91310.7, SGUI1_91310.6, SGUI1_91310.8, SGUI1_91310.4, SGUI1_91310.3, SGUI1_91310.1, SGUI1_91310.5, SGUI1_91310.2, SGUI1_91310.10, SGUI1_91310.9, SGUI1_89420.1	Smp_078590.1
OG0001288	SGUI1_94400.3, SGUI1_94400.1, SGUI1_94400.2	Smp_140100.1
OG0001289	SGUI1_29360.2, SGUI1_29360.1	Smp_140840.1
OG0001290	SGUI1_4750.1	Smp_120360.1
OG0001291	SGUI1_6620.1	Smp_209040.1
OG0001292	SGUI1_6720.1, SGUI1_6730.1	Smp_346070.1
OG0001293	SGUI1_55730.2, SGUI1_55730.3, SGUI1_55730.1, SGUI1_55730.4	Smp_037540.1
OG0001294	SGUI1_31980.1, SGUI1_31980.2	Smp_140490.1
OG0001295	SGUI1_31610.1, SGUI1_31610.2, SGUI1_31610.3	Smp_125810.1
OG0001296	SGUI1_7000.1	Smp_330650.1
OG0001297	SGUI1_13490.6, SGUI1_13490.4, SGUI1_13490.5, SGUI1_13490.2, SGUI1_13490.1, SGUI1_13490.3, SGUI1_13580.1, SGUI1_13560.1	Smp_163290.1, Smp_163290.2
OG0001299	SGUI1_32510.2, SGUI1_32510.5, SGUI1_32510.6, SGUI1_32510.4, SGUI1_32510.1, SGUI1_32510.3	Smp_210470.1
OG0001300	SGUI1_5690.1, SGUI1_5680.1	Smp_245090.1
OG0001301	SGUI1_54700.2, SGUI1_54700.3, SGUI1_54700.4, SGUI1_54700.1	Smp_241750.1
OG0001302	SGUI1_2490.1	Smp_153170.1
OG0001303	SGUI1_31590.1, SGUI1_31590.2, SGUI1_31590.3, SGUI1_31590.4	Smp_125800.1
OG0001304	SGUI1_88950.4, SGUI1_88950.7, SGUI1_88950.5, SGUI1_88950.3, SGUI1_88950.1, SGUI1_88950.2, SGUI1_88950.6	Smp_087930.1
OG0001305	SGUI1_1470.1, SGUI1_1470.3, SGUI1_1470.2, SGUI1_1470.4, SGUI1_1470.5, SGUI1_1470.6, SGUI1_1470.7	Smp_021550.1
OG0001306	SGUI1_61940.1, SGUI1_61940.2, SGUI1_61940.3, SGUI1_61940.4, SGUI1_61940.5	Smp_075060.1, Smp_075060.2, Smp_162660.1
OG0001307	SGUI1_81830.1	Smp_152710.1
OG0001307	SGUI1_81850.1	Smp_314320.1
OG0001308	SGUI1_95150.1	Smp_144820.1
OG0001309	SGUI1_74360.1, SGUI1_74360.3, SGUI1_74360.2	Smp_126850.1
OG0001310	SGUI1_27200.1	Smp_163500.1
OG0001311	SGUI1_44160.1	Smp_079860.1
OG0001312	SGUI1_31350.1	Smp_094360.1
OG0001313	SGUI1_41800.3, SGUI1_41800.1, SGUI1_41800.2	Smp_344870.1
OG0001314	SGUI1_9710.1	Smp_179720.1
OG0001315	SGUI1_31300.1	Smp_201760.1
OG0001316	SGUI1_34910.1	Smp_127240.2, Smp_127240.1
OG0001317	SGUI1_14620.1, SGUI1_14620.2	Smp_045920.1, Smp_045920.2
OG0001319	SGUI1_39500.5, SGUI1_39500.2, SGUI1_39500.3, SGUI1_39500.4, SGUI1_39500.1, SGUI1_39500.6	Smp_344060.1
OG0001320	SGUI1_63920.1	Smp_052350.1
OG0001321	SGUI1_19520.1, SGUI1_19520.2	Smp_345440.1
OG0001322	SGUI1_47720.4, SGUI1_47720.1, SGUI1_47720.3, SGUI1_47720.5, SGUI1_47720.2, SGUI1_47720.6	Smp_128130.1
OG0001323	SGUI1_900.1, SGUI1_900.3, SGUI1_900.2	Smp_130790.2, Smp_130790.1, Smp_130790.3
OG0001324	SGUI1_87240.1, SGUI1_87240.2	Smp_341920.1
OG0001325	SGUI1_96480.1, SGUI1_96480.2	Smp_198330.1
OG0001326	SGUI1_53960.1	Smp_123340.1
OG0001327	SGUI1_91450.1	Smp_046430.1
OG0001328	SGUI1_4350.1	Smp_007710.1
OG0001330	SGUI1_30750.5, SGUI1_30750.1, SGUI1_30750.2, SGUI1_30750.3, SGUI1_30750.4, SGUI1_30750.6	Smp_012570.1
OG0001331	SGUI1_48170.4, SGUI1_48170.3, SGUI1_48170.1, SGUI1_48170.2, SGUI1_48170.5	Smp_143480.1
OG0001332	SGUI1_59640.1	Smp_004310.1
OG0001332	SGUI1_72300.1, SGUI1_72300.2	Smp_062890.2, Smp_062890.1
OG0001333	SGUI1_64660.1	Smp_333640.1
OG0001334	SGUI1_1510.1	Smp_133820.1
OG0001335	SGUI1_30610.1	Smp_012740.1
OG0001336	SGUI1_46290.1, SGUI1_46290.2	Smp_159330.1, Smp_310230.1
OG0001337	SGUI1_54070.1	Smp_341950.1
OG0001338	SGUI1_37000.1	Smp_144490.1
OG0001339	SGUI1_10390.1	Smp_155370.1
OG0001340	SGUI1_8800.1, SGUI1_8780.1	Smp_116360.1, Smp_210650.1
OG0001341	SGUI1_77360.1, SGUI1_77360.4, SGUI1_77360.2, SGUI1_77360.3	Smp_070190.1
OG0001342	SGUI1_52620.1, SGUI1_52620.2	Smp_245860.1
OG0001343	SGUI1_72320.1	Smp_062900.1, Smp_062900.3
OG0001344	SGUI1_77420.1, SGUI1_77420.3, SGUI1_77420.2	Smp_207030.1
OG0001345	SGUI1_42370.2, SGUI1_42370.1, SGUI1_42370.4, SGUI1_42370.5, SGUI1_42370.3	Smp_040190.1
OG0001346	SGUI1_14360.1	Smp_345880.1
OG0001347	SGUI1_33680.1, SGUI1_33680.2	Smp_301170.2, Smp_301170.1
OG0001348	SGUI1_35820.1	Smp_019380.1
OG0001349	SGUI1_14940.1	Smp_244400.1, Smp_244400.2
OG0001350	SGUI1_30970.1	Smp_246620.1
OG0001351	SGUI1_23400.1, SGUI1_23400.2, SGUI1_23400.3	Smp_342560.1
OG0001352	SGUI1_23550.1, SGUI1_23550.4, SGUI1_23550.2, SGUI1_23550.3, SGUI1_23550.5, SGUI1_23550.6	Smp_089650.2, Smp_089650.1
OG0001353	SGUI1_63100.1	Smp_246550.1
OG0001354	SGUI1_65050.1, SGUI1_65050.2	Smp_018950.1
OG0001355	SGUI1_60020.2, SGUI1_60020.1, SGUI1_60020.3	Smp_307950.1
OG0001356	SGUI1_72500.2, SGUI1_72500.4, SGUI1_72500.1, SGUI1_72500.3	Smp_089220.1
OG0001357	SGUI1_39380.5, SGUI1_39380.6, SGUI1_39380.4, SGUI1_39380.1, SGUI1_39380.2, SGUI1_39380.3, SGUI1_39380.7	Smp_090980.1
OG0001358	SGUI1_89010.2, SGUI1_89010.1, SGUI1_89010.4, SGUI1_89010.3, SGUI1_89010.5	Smp_169970.1
OG0001359	SGUI1_73130.1	Smp_312870.3, Smp_312870.2, Smp_312870.1
OG0001361	SGUI1_28240.2, SGUI1_28240.4, SGUI1_28240.1, SGUI1_28240.3	Smp_035030.1
OG0001362	SGUI1_30440.1, SGUI1_30440.2	Smp_012900.1
OG0001363	SGUI1_95220.1	Smp_144860.1
OG0001364	SGUI1_85430.1	Smp_210130.1
OG0001365	SGUI1_78470.1	Smp_042020.1
OG0001366	SGUI1_53500.1	Smp_311200.1, Smp_311200.2
OG0001367	SGUI1_95740.1, SGUI1_95740.2, SGUI1_95740.3	Smp_125280.1
OG0001368	SGUI1_17580.2, SGUI1_17580.1	Smp_130480.1
OG0001369	SGUI1_89670.1	Smp_050890.1
OG0001370	SGUI1_58850.2, SGUI1_58850.1, SGUI1_58850.3, SGUI1_58850.4, SGUI1_58850.5, SGUI1_58850.6	Smp_204740.1
OG0001371	SGUI1_36320.1	Smp_127440.1
OG0001372	SGUI1_37040.1, SGUI1_37040.2	Smp_144520.1
OG0001373	SGUI1_2460.3, SGUI1_2460.1, SGUI1_2460.2, SGUI1_3350.1	Smp_328230.1
OG0001374	SGUI1_61260.1, SGUI1_61260.2, SGUI1_61260.3, SGUI1_61260.4	Smp_132260.1
OG0001375	SGUI1_77710.1, SGUI1_77710.3, SGUI1_77710.2, SGUI1_77710.4, SGUI1_77710.5	Smp_155840.1
OG0001376	SGUI1_87370.1, SGUI1_67120.1	Smp_089400.1
OG0001377	SGUI1_62600.3, SGUI1_62600.6, SGUI1_62600.4, SGUI1_62600.2, SGUI1_62600.5, SGUI1_62600.1	Smp_129500.1
OG0001378	SGUI1_3260.1, SGUI1_3260.2, SGUI1_3260.3, SGUI1_3260.4, SGUI1_3260.5, SGUI1_3260.6	Smp_028440.1
OG0001379	SGUI1_70430.1, SGUI1_70430.2, SGUI1_70430.4, SGUI1_70430.5, SGUI1_70430.3	Smp_169430.1
OG0001380	SGUI1_59720.1, SGUI1_59720.2	Smp_083480.1, Smp_083480.2
OG0001381	SGUI1_73580.3, SGUI1_73580.2, SGUI1_73580.5, SGUI1_73580.4, SGUI1_73580.1	Smp_050830.1, Smp_050830.2
OG0001382	SGUI1_26450.5, SGUI1_26450.6, SGUI1_26450.3, SGUI1_26450.1, SGUI1_26450.2, SGUI1_26450.4	Smp_346350.1
OG0001383	SGUI1_4070.1	Smp_139060.1
OG0001384	SGUI1_88190.2, SGUI1_88190.8, SGUI1_88190.10, SGUI1_88190.1, SGUI1_88190.5, SGUI1_88190.6, SGUI1_88190.3, SGUI1_88190.4, SGUI1_88190.7, SGUI1_88190.9	Smp_247890.1
OG0001385	SGUI1_22870.1	Smp_244700.2, Smp_244700.5, Smp_244700.1, Smp_244700.3, Smp_244700.4
OG0001386	SGUI1_44140.1	Smp_345600.1
OG0001387	SGUI1_87230.5, SGUI1_87230.3, SGUI1_87230.4, SGUI1_87230.1, SGUI1_87230.2	Smp_123165.1
OG0001389	SGUI1_45870.3, SGUI1_45870.4, SGUI1_45870.5, SGUI1_45870.6, SGUI1_45870.2, SGUI1_45870.1	Smp_245480.1
OG0001390	SGUI1_39720.1, SGUI1_39720.2	Smp_147890.1, Smp_147890.2
OG0001391	SGUI1_34400.1	Smp_180810.1
OG0001392	SGUI1_11710.1	Smp_025550.1, Smp_025550.3, Smp_025550.2
OG0001393	SGUI1_15860.1	Smp_142700.1
OG0001393	SGUI1_15850.1	Smp_037960.1
OG0001394	SGUI1_76690.1	Smp_345220.1, Smp_350000.1
OG0001395	SGUI1_88940.1	Smp_087940.1
OG0001396	SGUI1_47780.1, SGUI1_47780.2, SGUI1_47780.3	Smp_335960.1
OG0001396	SGUI1_47780.4, SGUI1_47780.5, SGUI1_47780.6, SGUI1_47780.7, SGUI1_47780.8	Smp_146010.1
OG0001397	SGUI1_62740.1, SGUI1_62740.2, SGUI1_62740.3, SGUI1_62740.4, SGUI1_62740.5	Smp_070710.1
OG0001398	SGUI1_10420.2, SGUI1_10420.3, SGUI1_10420.5, SGUI1_10420.4, SGUI1_10420.1	Smp_155400.1
OG0001399	SGUI1_92250.1, SGUI1_92260.1	Smp_046780.1, Smp_009310.1
OG0001400	SGUI1_82130.2, SGUI1_82130.1, SGUI1_82130.3, SGUI1_82130.4	Smp_128070.1
OG0001401	SGUI1_50780.1	Smp_245710.1
OG0001402	SGUI1_25730.1, SGUI1_25730.2, SGUI1_25730.3, SGUI1_25730.4	Smp_079400.1
OG0001403	SGUI1_55330.4, SGUI1_55330.10, SGUI1_55330.2, SGUI1_55330.5, SGUI1_55330.3, SGUI1_55330.8, SGUI1_55330.9, SGUI1_55330.6, SGUI1_55330.1, SGUI1_55330.7	Smp_137660.1
OG0001404	SGUI1_19170.1	Smp_333330.1
OG0001405	SGUI1_33220.3, SGUI1_33220.6, SGUI1_33220.2, SGUI1_33220.8, SGUI1_33220.7, SGUI1_33220.1, SGUI1_33220.9, SGUI1_33220.4, SGUI1_33220.5	Smp_066820.1
OG0001406	SGUI1_28970.1, SGUI1_28970.5, SGUI1_28970.8, SGUI1_28970.3, SGUI1_28970.7, SGUI1_28970.2, SGUI1_28970.4, SGUI1_28970.6, SGUI1_28970.9	Smp_019900.1
OG0001407	SGUI1_85140.1, SGUI1_85190.1	Smp_330770.1
OG0001408	SGUI1_24000.1	Smp_152290.2, Smp_152290.1
OG0001408	SGUI1_23980.1	Smp_152280.1
OG0001409	SGUI1_49720.1	Smp_315850.1
OG0001410	SGUI1_34820.1	Smp_319370.1
OG0001410	SGUI1_34800.1	Smp_032230.1
OG0001411	SGUI1_28220.9, SGUI1_28220.8, SGUI1_28220.7, SGUI1_28220.6, SGUI1_28220.1, SGUI1_28220.10, SGUI1_28220.2, SGUI1_28220.5, SGUI1_28220.3, SGUI1_28220.4	Smp_141150.1
OG0001412	SGUI1_28310.1, SGUI1_28310.3, SGUI1_28310.4, SGUI1_28310.2	Smp_246000.1
OG0001413	SGUI1_94620.1, SGUI1_94620.2	Smp_152940.1, Smp_152940.2
OG0001414	SGUI1_4220.1	Smp_347700.2, Smp_347700.1
OG0001415	SGUI1_31110.5, SGUI1_31110.2, SGUI1_31110.3, SGUI1_31110.1, SGUI1_31110.4	Smp_073290.1
OG0001417	SGUI1_11440.2, SGUI1_11440.1, SGUI1_11440.4, SGUI1_11440.3	Smp_157770.1
OG0001418	SGUI1_230.1	Smp_171720.1, Smp_171720.2
OG0001420	SGUI1_82940.1	Smp_082560.1
OG0001421	SGUI1_36690.1	Smp_319130.1
OG0001422	SGUI1_75400.1, SGUI1_75400.2, SGUI1_75400.3	Smp_042670.1
OG0001423	SGUI1_10320.1	Smp_343580.1
OG0001424	SGUI1_8660.1	Smp_347330.1
OG0001425	SGUI1_25210.1, SGUI1_25210.2	Smp_003250.2, Smp_003250.1
OG0001426	SGUI1_5940.1	Smp_006190.1
OG0001427	SGUI1_25740.1	Smp_337460.1
OG0001428	SGUI1_2590.1, SGUI1_2590.2, SGUI1_2590.3	Smp_304030.1, Smp_304040.1
OG0001429	SGUI1_53190.1	Smp_181120.1
OG0001430	SGUI1_55430.1, SGUI1_55430.2, SGUI1_55430.3, SGUI1_55430.4	Smp_121580.1
