Orthogroup	schistosoma_guineensis	fasciola_hepatica
OG0000699	SGUI1_32800.1	FhHiC23_g6018.t1, FhHiC23_g6018.t2
OG0000699	SGUI1_45850.1, SGUI1_45850.2	FhHiC23_g636.t1
OG0000700	SGUI1_27960.1, SGUI1_23640.1, SGUI1_23650.1, SGUI1_23660.1	FhHiC23_g9723.t1
OG0000701	SGUI1_61270.2, SGUI1_61270.1	FhHiC23_g7111.t1
OG0000702	SGUI1_87340.1	FhHiC23_g15931.t1
OG0000703	SGUI1_210.2, SGUI1_210.3, SGUI1_210.4, SGUI1_210.1, SGUI1_210.5	FhHiC23_g12812.t1, FhHiC23_g12729.t1, FhHiC23_g12728.t1, FhHiC23_g12729.t2, FhHiC23_g12728.t2
OG0000704	SGUI1_48270.1	FhHiC23_g452.t1, FhHiC23_g452.t2
OG0000705	SGUI1_5780.1	FhHiC23_g12045.t1
OG0000706	SGUI1_43350.1	FhHiC23_g14504.t1
OG0000706	SGUI1_52490.1	FhHiC23_g439.t1, FhHiC23_g439.t2
OG0000707	SGUI1_94630.1, SGUI1_94630.2, SGUI1_94630.3, SGUI1_94630.9, SGUI1_94630.6, SGUI1_94630.8, SGUI1_94630.7, SGUI1_94630.4, SGUI1_94630.5	FhHiC23_g9424.t1, FhHiC23_g9424.t3, FhHiC23_g9424.t2
OG0000708	SGUI1_37110.1, SGUI1_37110.2, SGUI1_37110.3, SGUI1_37110.4	FhHiC23_g14350.t1, FhHiC23_g6039.t2, FhHiC23_g6039.t1, FhHiC23_g6348.t1
OG0000709	SGUI1_43640.2, SGUI1_43640.3, SGUI1_43640.1	FhHiC23_g14298.t1
OG0000710	SGUI1_7500.1, SGUI1_7490.1	FhHiC23_g13206.t1
OG0000711	SGUI1_74790.1	FhHiC23_g1082.t1, FhHiC23_g1082.t2
OG0000712	SGUI1_52870.11, SGUI1_52870.5, SGUI1_52870.3, SGUI1_52870.1, SGUI1_52870.10, SGUI1_52870.2, SGUI1_52870.4, SGUI1_52870.6, SGUI1_52870.7, SGUI1_52870.8, SGUI1_52870.9	FhHiC23_g530.t1
OG0000713	SGUI1_72010.10, SGUI1_72010.1, SGUI1_72010.4, SGUI1_72010.8, SGUI1_72010.11, SGUI1_72010.12, SGUI1_72010.2, SGUI1_72010.3, SGUI1_72010.5, SGUI1_72010.6, SGUI1_72010.7, SGUI1_72010.9	FhHiC23_g2607.t1
OG0000714	SGUI1_46210.4, SGUI1_46210.5, SGUI1_46210.1, SGUI1_46210.2, SGUI1_46210.3	FhHiC23_g1605.t1
OG0000715	SGUI1_27090.1	FhHiC23_g9473.t1
OG0000716	SGUI1_10800.3, SGUI1_10790.1, SGUI1_10790.2, SGUI1_10800.1, SGUI1_10800.2	FhHiC23_g11918.t3, FhHiC23_g11918.t2, FhHiC23_g11918.t1
OG0000717	SGUI1_59390.11, SGUI1_59390.1, SGUI1_59390.2, SGUI1_59390.3, SGUI1_59390.4, SGUI1_59390.5, SGUI1_59390.6, SGUI1_59390.7, SGUI1_59390.13, SGUI1_59390.8, SGUI1_59390.15, SGUI1_59390.10, SGUI1_59390.12, SGUI1_59390.14, SGUI1_59390.9	FhHiC23_g6981.t1
OG0000718	SGUI1_75080.4, SGUI1_75080.1, SGUI1_75080.3, SGUI1_75080.5, SGUI1_75080.2	FhHiC23_g2508.t1, FhHiC23_g2508.t2
OG0000719	SGUI1_55360.5, SGUI1_55360.1, SGUI1_55360.7, SGUI1_55360.6, SGUI1_55360.8, SGUI1_55360.2, SGUI1_55360.3, SGUI1_55360.4	FhHiC23_g1110.t1
OG0000720	SGUI1_77330.4, SGUI1_77330.5, SGUI1_77330.3, SGUI1_77330.6, SGUI1_77330.1, SGUI1_77330.2, SGUI1_77330.7	FhHiC23_g2680.t4, FhHiC23_g2680.t1, FhHiC23_g2680.t2, FhHiC23_g2680.t3
OG0000721	SGUI1_45740.5, SGUI1_45740.4, SGUI1_45740.1, SGUI1_45740.6, SGUI1_45740.2, SGUI1_45740.3	FhHiC23_g1961.t1, FhHiC23_g1961.t2
OG0000722	SGUI1_5000.1	FhHiC23_g12427.t1
OG0000723	SGUI1_77040.1	FhHiC23_g2433.t1, FhHiC23_g2433.t2
OG0000724	SGUI1_41820.1	FhHiC23_g14598.t1, FhHiC23_g14495.t1, FhHiC23_g14495.t2, FhHiC23_g14495.t3
OG0000725	SGUI1_77410.1, SGUI1_77410.4, SGUI1_77410.5, SGUI1_77410.2, SGUI1_77410.3	FhHiC23_g480.t1
OG0000726	SGUI1_29560.2, SGUI1_29560.1	FhHiC23_g5209.t1, FhHiC23_g5209.t2
OG0000726	SGUI1_29570.1	FhHiC23_g5208.t1
OG0000727	SGUI1_38590.5, SGUI1_38590.1, SGUI1_38590.2, SGUI1_38590.3, SGUI1_38590.4	FhHiC23_g6317.t1
OG0000728	SGUI1_48400.3, SGUI1_48400.4, SGUI1_48400.1, SGUI1_48400.2, SGUI1_48400.5	FhHiC23_g1136.t1
OG0000729	SGUI1_8160.1	FhHiC23_g13647.t1
OG0000730	SGUI1_60530.1	FhHiC23_g7648.t1
OG0000731	SGUI1_76710.1	FhHiC23_g3053.t1
OG0000732	SGUI1_13890.1, SGUI1_13890.2, SGUI1_3500.1	FhHiC23_g12735.t1, FhHiC23_g12734.t1
OG0000733	SGUI1_2800.1	FhHiC23_g13302.t3, FhHiC23_g13302.t1, FhHiC23_g13302.t2
OG0000736	SGUI1_78550.12, SGUI1_78550.6, SGUI1_78550.7, SGUI1_78550.8, SGUI1_78550.13, SGUI1_78550.9, SGUI1_78550.11, SGUI1_78550.15, SGUI1_78550.10, SGUI1_78550.14, SGUI1_78550.1, SGUI1_78550.2, SGUI1_78550.4, SGUI1_78550.3, SGUI1_78550.5	FhHiC23_g1586.t3, FhHiC23_g1586.t1, FhHiC23_g1586.t2
OG0000737	SGUI1_9150.1	FhHiC23_g13453.t1
OG0000738	SGUI1_70200.1, SGUI1_70200.2, SGUI1_70190.1	FhHiC23_g14288.t1, FhHiC23_g1644.t1, FhHiC23_g5219.t1, FhHiC23_g1186.t1
OG0000739	SGUI1_57200.1	FhHiC23_g14696.t1
OG0000740	SGUI1_7800.1	FhHiC23_g11964.t1, FhHiC23_g11964.t2
OG0000741	SGUI1_84750.6, SGUI1_84750.1, SGUI1_84750.2, SGUI1_84750.3, SGUI1_84750.4, SGUI1_84750.7, SGUI1_84750.5	FhHiC23_g3775.t1
OG0000743	SGUI1_22240.1, SGUI1_22240.2, SGUI1_22240.3, SGUI1_22240.4, SGUI1_22240.5, SGUI1_22240.6, SGUI1_22240.8, SGUI1_22240.7	FhHiC23_g15710.t2, FhHiC23_g15710.t1
OG0000744	SGUI1_3600.1	FhHiC23_g12434.t1
OG0000745	SGUI1_37920.1, SGUI1_37920.2	FhHiC23_g14275.t1
OG0000746	SGUI1_61140.1	FhHiC23_g8137.t1, FhHiC23_g8137.t4, FhHiC23_g8137.t2, FhHiC23_g8137.t3
OG0000747	SGUI1_42880.1	FhHiC23_g14169.t4, FhHiC23_g14169.t1, FhHiC23_g14169.t3, FhHiC23_g14169.t2
OG0000748	SGUI1_70610.1	FhHiC23_g7150.t1, FhHiC23_g2447.t1, FhHiC23_g2448.t1, FhHiC23_g2448.t2
OG0000749	SGUI1_69990.3, SGUI1_69990.6, SGUI1_69990.7, SGUI1_69990.1, SGUI1_69990.4, SGUI1_69990.5, SGUI1_69990.2	FhHiC23_g3086.t1, FhHiC23_g3086.t2
OG0000750	SGUI1_74650.1, SGUI1_74650.2, SGUI1_74650.3	FhHiC23_g2456.t3, FhHiC23_g2456.t1, FhHiC23_g2456.t2
OG0000751	SGUI1_5510.1, SGUI1_2600.1	FhHiC23_g13300.t1, FhHiC23_g13301.t1, FhHiC23_g13299.t1, FhHiC23_g12908.t1
OG0000752	SGUI1_93110.1, SGUI1_93110.2, SGUI1_93160.1	FhHiC23_g9313.t1
OG0000753	SGUI1_83400.3, SGUI1_83400.1, SGUI1_83400.2, SGUI1_83400.4	FhHiC23_g4112.t1
OG0000754	SGUI1_50480.7, SGUI1_50480.8, SGUI1_50480.4, SGUI1_50480.2, SGUI1_50480.3, SGUI1_50480.1, SGUI1_50480.5, SGUI1_50480.6	FhHiC23_g1571.t1
OG0000755	SGUI1_75930.3, SGUI1_75930.1, SGUI1_75930.2, SGUI1_75930.4, SGUI1_75930.5	FhHiC23_g337.t1
OG0000756	SGUI1_38860.3, SGUI1_38860.1, SGUI1_38860.6, SGUI1_38860.4, SGUI1_38860.2, SGUI1_38860.5	FhHiC23_g5163.t1
OG0000757	SGUI1_52730.1	FhHiC23_g117.t3, FhHiC23_g117.t2, FhHiC23_g117.t1
OG0000758	SGUI1_8190.2, SGUI1_8190.1	FhHiC23_g13113.t1
OG0000759	SGUI1_53160.1	FhHiC23_g1390.t2, FhHiC23_g1390.t1
OG0000760	SGUI1_79230.1, SGUI1_79230.2, SGUI1_79230.3, SGUI1_79230.4, SGUI1_79230.5, SGUI1_79230.6, SGUI1_79230.7, SGUI1_79230.8, SGUI1_79230.10, SGUI1_79230.9	FhHiC23_g3217.t1
OG0000761	SGUI1_53940.3, SGUI1_53940.2, SGUI1_53940.1, SGUI1_53940.5, SGUI1_53940.6, SGUI1_53940.4	FhHiC23_g854.t1
OG0000762	SGUI1_81360.1	FhHiC23_g3557.t1, FhHiC23_g10231.t1
OG0000762	SGUI1_87790.1	FhHiC23_g16531.t1
OG0000763	SGUI1_21090.1	FhHiC23_g10720.t1
OG0000764	SGUI1_8310.1	FhHiC23_g13195.t1, FhHiC23_g13195.t2
OG0000765	SGUI1_53140.1	FhHiC23_g2194.t1, FhHiC23_g2193.t1
OG0000765	SGUI1_53150.3, SGUI1_53150.1, SGUI1_53150.2	FhHiC23_g2195.t1, FhHiC23_g2195.t2
OG0000766	SGUI1_63490.1, SGUI1_63490.2, SGUI1_63490.3, SGUI1_63490.4	FhHiC23_g8152.t3, FhHiC23_g8152.t1, FhHiC23_g8152.t2
OG0000767	SGUI1_65670.4, SGUI1_65670.3, SGUI1_65670.1, SGUI1_65670.2	FhHiC23_g7370.t1, FhHiC23_g7370.t2
OG0000768	SGUI1_39940.1, SGUI1_39940.2, SGUI1_39940.4, SGUI1_39940.5, SGUI1_39940.3, SGUI1_39940.6	FhHiC23_g4772.t2, FhHiC23_g4772.t1
OG0000769	SGUI1_2180.1	FhHiC23_g12443.t1, FhHiC23_g12443.t2, FhHiC23_g12443.t3
OG0000770	SGUI1_17480.1, SGUI1_17480.2, SGUI1_17480.3, SGUI1_17480.4	FhHiC23_g11559.t2, FhHiC23_g11559.t1, FhHiC23_g11557.t1
OG0000774	SGUI1_47110.1	FhHiC23_g1579.t1, FhHiC23_g1579.t2
OG0000775	SGUI1_51820.5, SGUI1_51820.1, SGUI1_51820.2, SGUI1_51820.3, SGUI1_51820.4, SGUI1_51820.6	FhHiC23_g1837.t2, FhHiC23_g1837.t3, FhHiC23_g1837.t1
OG0000776	SGUI1_45760.1, SGUI1_45760.2, SGUI1_45760.3	FhHiC23_g1220.t1
OG0000776	SGUI1_56940.1, SGUI1_56940.3, SGUI1_56940.2	FhHiC23_g2992.t1, FhHiC23_g2992.t2, FhHiC23_g2992.t3
OG0000777	SGUI1_52370.1	FhHiC23_g3201.t1, FhHiC23_g3201.t2
OG0000778	SGUI1_22550.1	FhHiC23_g8974.t3, FhHiC23_g8974.t2, FhHiC23_g8974.t1
OG0000779	SGUI1_3670.1, SGUI1_3680.1	FhHiC23_g12940.t1
OG0000780	SGUI1_14640.10, SGUI1_14640.6, SGUI1_14640.14, SGUI1_14640.8, SGUI1_14640.9, SGUI1_14640.1, SGUI1_14640.4, SGUI1_14640.11, SGUI1_14640.5, SGUI1_14640.3, SGUI1_14640.12, SGUI1_14640.13, SGUI1_14640.2, SGUI1_14640.7	FhHiC23_g11962.t1, FhHiC23_g11962.t2
OG0000781	SGUI1_10360.1	FhHiC23_g12015.t1
OG0000781	SGUI1_490.1	FhHiC23_g12484.t1
OG0000782	SGUI1_31440.7, SGUI1_31440.10, SGUI1_31440.5, SGUI1_31440.9, SGUI1_31440.12, SGUI1_31440.13, SGUI1_31440.11, SGUI1_31440.4, SGUI1_31440.1, SGUI1_31440.2, SGUI1_31440.3, SGUI1_31440.6, SGUI1_31440.8	FhHiC23_g5041.t1
OG0000783	SGUI1_50750.1, SGUI1_50750.3, SGUI1_50750.2, SGUI1_50750.4	FhHiC23_g517.t1, FhHiC23_g517.t2
OG0000784	SGUI1_31360.1	FhHiC23_g5076.t1, FhHiC23_g5076.t2, FhHiC23_g5076.t3
OG0000785	SGUI1_59270.4, SGUI1_59270.1, SGUI1_59270.2, SGUI1_59270.3, SGUI1_59330.1, SGUI1_59330.2	FhHiC23_g7530.t2, FhHiC23_g7530.t1
OG0000786	SGUI1_40700.1	FhHiC23_g14478.t2, FhHiC23_g14478.t1
OG0000787	SGUI1_93280.1, SGUI1_93280.2, SGUI1_60050.1	FhHiC23_g2.t1
OG0000788	SGUI1_12850.1, SGUI1_12850.5, SGUI1_12850.3, SGUI1_12850.2, SGUI1_12850.4	FhHiC23_g11230.t1
OG0000789	SGUI1_25250.1, SGUI1_25240.1, SGUI1_25240.2, SGUI1_25240.3	FhHiC23_g9116.t1
OG0000790	SGUI1_39280.1, SGUI1_39280.2	FhHiC23_g5792.t2, FhHiC23_g5792.t1
OG0000791	SGUI1_42770.1, SGUI1_42770.2	FhHiC23_g14599.t8, FhHiC23_g14599.t1
OG0000792	SGUI1_5280.1	FhHiC23_g13134.t1, FhHiC23_g13134.t3, FhHiC23_g13134.t2
OG0000793	SGUI1_34010.1	FhHiC23_g5735.t1, FhHiC23_g5735.t2
OG0000794	SGUI1_9350.1, SGUI1_9350.2, SGUI1_9350.3	FhHiC23_g12584.t1, FhHiC23_g12583.t1
OG0000795	SGUI1_95610.1, SGUI1_95610.4, SGUI1_95610.5, SGUI1_95610.2, SGUI1_95610.3	FhHiC23_g9895.t1
OG0000796	SGUI1_15420.1, SGUI1_15440.1, SGUI1_15410.1, SGUI1_15410.2	FhHiC23_g15331.t1, FhHiC23_g16584.t1, FhHiC23_g16615.t1, FhHiC23_g16612.t1, FhHiC23_g16613.t1
OG0000797	SGUI1_20790.2, SGUI1_20790.1	FhHiC23_g15502.t1
OG0000798	SGUI1_1280.5, SGUI1_1280.1, SGUI1_1280.2, SGUI1_1280.4, SGUI1_1280.3	FhHiC23_g13257.t1, FhHiC23_g13257.t2
OG0000799	SGUI1_67190.1	FhHiC23_g8434.t2, FhHiC23_g8434.t3
OG0000800	SGUI1_9240.1, SGUI1_9250.1	FhHiC23_g11946.t1
OG0000801	SGUI1_15330.3, SGUI1_15330.1, SGUI1_15330.5, SGUI1_15330.4, SGUI1_15330.2	FhHiC23_g15119.t1, FhHiC23_g15119.t2, FhHiC23_g15119.t3, FhHiC23_g15119.t4
OG0000802	SGUI1_73610.1	FhHiC23_g3399.t1
OG0000802	SGUI1_58950.1	FhHiC23_g6818.t1, FhHiC23_g16239.t1
OG0000803	SGUI1_79620.1, SGUI1_79620.2, SGUI1_79620.3, SGUI1_79620.4, SGUI1_79620.5	FhHiC23_g13841.t1, FhHiC23_g2337.t1, FhHiC23_g15471.t1
OG0000804	SGUI1_41320.4, SGUI1_41320.3, SGUI1_41320.1, SGUI1_41320.2	FhHiC23_g6485.t1, FhHiC23_g6485.t2
OG0000805	SGUI1_36300.1, SGUI1_36300.3, SGUI1_36300.4, SGUI1_36300.2, SGUI1_36300.5	FhHiC23_g5909.t1
OG0000806	SGUI1_74020.1	FhHiC23_g583.t2, FhHiC23_g583.t1
OG0000807	SGUI1_9010.1	FhHiC23_g13604.t1
OG0000808	SGUI1_93880.1	FhHiC23_g9334.t1
OG0000808	SGUI1_93890.1, SGUI1_93890.2, SGUI1_93890.3, SGUI1_93890.4	FhHiC23_g9332.t1, FhHiC23_g9332.t2, FhHiC23_g14938.t1
OG0000809	SGUI1_91270.2, SGUI1_91270.1, SGUI1_91270.3, SGUI1_91270.5, SGUI1_91270.4, SGUI1_91270.7, SGUI1_91270.8, SGUI1_91270.9, SGUI1_91270.6	FhHiC23_g16417.t1
OG0000810	SGUI1_24760.7, SGUI1_24760.2, SGUI1_24760.3, SGUI1_24760.6, SGUI1_24760.4, SGUI1_24760.8, SGUI1_24760.1, SGUI1_24760.5	FhHiC23_g10475.t2, FhHiC23_g10475.t1
OG0000811	SGUI1_10180.1, SGUI1_10180.2, SGUI1_10180.3	FhHiC23_g10638.t1
OG0000812	SGUI1_11140.1	FhHiC23_g11181.t1
OG0000813	SGUI1_86950.1, SGUI1_86950.4, SGUI1_86950.3, SGUI1_86950.2	FhHiC23_g4330.t1
OG0000814	SGUI1_63860.1	FhHiC23_g7686.t1
OG0000815	SGUI1_60030.1	FhHiC23_g6768.t3, FhHiC23_g6772.t2, FhHiC23_g6772.t1, FhHiC23_g6772.t3, FhHiC23_g6768.t2, FhHiC23_g6768.t1
OG0000816	SGUI1_84370.2, SGUI1_84370.3, SGUI1_84370.4, SGUI1_84370.1	FhHiC23_g4576.t1, FhHiC23_g4576.t2
OG0000817	SGUI1_88820.1	FhHiC23_g16858.t1
OG0000819	SGUI1_65830.1, SGUI1_65830.2, SGUI1_65830.3, SGUI1_65830.4, SGUI1_65830.5	FhHiC23_g6869.t1
OG0000820	SGUI1_27620.1	FhHiC23_g7290.t1, FhHiC23_g9731.t1
OG0000821	SGUI1_49190.3, SGUI1_49190.4, SGUI1_49190.1, SGUI1_49190.2	FhHiC23_g1618.t1, FhHiC23_g1618.t2
OG0000822	SGUI1_74780.1	FhHiC23_g771.t1
OG0000823	SGUI1_53540.1	FhHiC23_g44.t1
OG0000824	SGUI1_3080.1	FhHiC23_g13071.t1, FhHiC23_g13070.t1
OG0000825	SGUI1_77550.1, SGUI1_77530.1	FhHiC23_g3138.t1, FhHiC23_g3138.t2
OG0000826	SGUI1_55540.4, SGUI1_55540.2, SGUI1_55540.1, SGUI1_55540.3	FhHiC23_g1233.t1
OG0000827	SGUI1_75830.1, SGUI1_75830.2, SGUI1_75830.3	FhHiC23_g2450.t1
OG0000830	SGUI1_48960.2, SGUI1_48960.4, SGUI1_48960.1, SGUI1_48960.3	FhHiC23_g1583.t2, FhHiC23_g1583.t3, FhHiC23_g1583.t1
OG0000831	SGUI1_42480.2, SGUI1_42480.3, SGUI1_42480.1, SGUI1_42480.4, SGUI1_42480.5, SGUI1_42480.6, SGUI1_42480.7	FhHiC23_g14581.t1, FhHiC23_g14581.t2, FhHiC23_g12373.t1
OG0000832	SGUI1_60780.4, SGUI1_60780.2, SGUI1_60780.3, SGUI1_60780.1	FhHiC23_g8488.t1, FhHiC23_g6895.t1
OG0000833	SGUI1_33060.1	FhHiC23_g6028.t1, FhHiC23_g6028.t2
OG0000834	SGUI1_48800.2, SGUI1_48800.1, SGUI1_48800.3, SGUI1_48800.4	FhHiC23_g977.t1
OG0000835	SGUI1_37930.1	FhHiC23_g14565.t1, FhHiC23_g12942.t1
OG0000836	SGUI1_37280.4, SGUI1_37280.3, SGUI1_37280.1, SGUI1_37280.2	FhHiC23_g5942.t1
OG0000837	SGUI1_32110.6, SGUI1_32110.5, SGUI1_32110.7, SGUI1_32110.2, SGUI1_32110.1, SGUI1_32110.4, SGUI1_32110.3	FhHiC23_g5533.t1, FhHiC23_g5533.t2, FhHiC23_g5533.t3
OG0000838	SGUI1_38950.1, SGUI1_38960.1, SGUI1_38960.2	FhHiC23_g6227.t1
OG0000839	SGUI1_38380.1, SGUI1_38380.2, SGUI1_38380.3, SGUI1_38380.4	FhHiC23_g5173.t1
OG0000840	SGUI1_70690.1, SGUI1_70690.3, SGUI1_70690.2, SGUI1_70690.4	FhHiC23_g2678.t1
OG0000841	SGUI1_20390.1	FhHiC23_g15177.t1, FhHiC23_g15177.t2
OG0000842	SGUI1_67440.1	FhHiC23_g7024.t2, FhHiC23_g7024.t1
OG0000843	SGUI1_82860.2, SGUI1_82860.3, SGUI1_82860.1, SGUI1_82860.5, SGUI1_82860.6, SGUI1_82860.7, SGUI1_82860.4	FhHiC23_g4065.t1
OG0000844	SGUI1_4930.1, SGUI1_4930.2, SGUI1_4930.3	FhHiC23_g12924.t1
OG0000845	SGUI1_90240.5, SGUI1_90240.3, SGUI1_90240.1, SGUI1_90240.2, SGUI1_90240.4	FhHiC23_g4362.t1, FhHiC23_g4362.t3, FhHiC23_g4362.t2, FhHiC23_g4362.t4
OG0000846	SGUI1_16470.1, SGUI1_16470.3, SGUI1_16470.2, SGUI1_16470.4, SGUI1_16470.5, SGUI1_16470.6	FhHiC23_g9742.t3, FhHiC23_g9742.t2, FhHiC23_g9742.t1, FhHiC23_g9742.t4
OG0000847	SGUI1_1230.1, SGUI1_1230.3, SGUI1_1230.2, SGUI1_1230.4, SGUI1_1230.5	FhHiC23_g12640.t1
OG0000848	SGUI1_34630.1	FhHiC23_g6091.t1, FhHiC23_g6091.t2
OG0000849	SGUI1_39010.1	FhHiC23_g5869.t1, FhHiC23_g5869.t2
OG0000850	SGUI1_27060.5, SGUI1_27060.4, SGUI1_27060.1, SGUI1_27060.2, SGUI1_27060.3	FhHiC23_g10184.t1
OG0000851	SGUI1_91280.1, SGUI1_91280.2, SGUI1_91280.4, SGUI1_91280.5, SGUI1_91280.6, SGUI1_91280.3	FhHiC23_g16853.t2, FhHiC23_g16853.t1
OG0000852	SGUI1_10030.1, SGUI1_10020.1	FhHiC23_g11992.t1
OG0000853	SGUI1_83360.1, SGUI1_83360.2	FhHiC23_g3483.t2, FhHiC23_g3483.t1
OG0000854	SGUI1_37290.1	FhHiC23_g6111.t1
OG0000855	SGUI1_54790.1, SGUI1_54790.2	FhHiC23_g2348.t4, FhHiC23_g2348.t5
OG0000856	SGUI1_2930.1	FhHiC23_g12667.t1
OG0000857	SGUI1_4130.1	FhHiC23_g13593.t1, FhHiC23_g13593.t2
OG0000858	SGUI1_4380.4, SGUI1_4380.1, SGUI1_4380.2, SGUI1_4380.3	FhHiC23_g12474.t1
OG0000859	SGUI1_49600.1	FhHiC23_g931.t1, FhHiC23_g929.t1, FhHiC23_g929.t2
OG0000860	SGUI1_60310.1	FhHiC23_g6802.t1, FhHiC23_g6802.t2
OG0000860	SGUI1_62890.1	FhHiC23_g7173.t1
OG0000861	SGUI1_10760.2, SGUI1_10760.3, SGUI1_10760.1, SGUI1_10760.4, SGUI1_10760.5, SGUI1_10760.6, SGUI1_10760.7	FhHiC23_g11957.t1
OG0000862	SGUI1_29730.1	FhHiC23_g5265.t1, FhHiC23_g5265.t2
OG0000864	SGUI1_40290.7, SGUI1_40290.3, SGUI1_40290.4, SGUI1_40290.5, SGUI1_40290.6, SGUI1_40290.2, SGUI1_40290.1	FhHiC23_g5194.t1
OG0000865	SGUI1_33020.2, SGUI1_33020.6, SGUI1_33020.1, SGUI1_33020.3, SGUI1_33020.5, SGUI1_33020.4, SGUI1_33020.7	FhHiC23_g6437.t1
OG0000866	SGUI1_730.12, SGUI1_730.15, SGUI1_730.16, SGUI1_730.13, SGUI1_730.14, SGUI1_730.3, SGUI1_730.1, SGUI1_730.11, SGUI1_730.2, SGUI1_730.4, SGUI1_730.5, SGUI1_730.6, SGUI1_730.7, SGUI1_730.8, SGUI1_730.9, SGUI1_730.10	FhHiC23_g12841.t1
OG0000867	SGUI1_6810.1, SGUI1_6810.3, SGUI1_6810.4, SGUI1_6810.7, SGUI1_6810.2, SGUI1_6810.5, SGUI1_6810.6	FhHiC23_g11700.t1
OG0000869	SGUI1_89740.1, SGUI1_89740.3, SGUI1_89740.8, SGUI1_89740.4, SGUI1_89740.5, SGUI1_89740.7, SGUI1_89740.2, SGUI1_89740.9, SGUI1_89740.6	FhHiC23_g16177.t1
OG0000870	SGUI1_950.1	FhHiC23_g13098.t1
OG0000871	SGUI1_28320.1, SGUI1_28320.2	FhHiC23_g6154.t1
OG0000872	SGUI1_4010.1, SGUI1_4010.3, SGUI1_4010.4, SGUI1_4010.2, SGUI1_4010.5, SGUI1_4010.6, SGUI1_4010.7, SGUI1_4010.8, SGUI1_4010.9	FhHiC23_g12608.t2, FhHiC23_g12608.t1
OG0000873	SGUI1_86820.1	FhHiC23_g4429.t1, FhHiC23_g4429.t3, FhHiC23_g4429.t2
OG0000874	SGUI1_43070.1	FhHiC23_g14447.t1, FhHiC23_g14448.t1, FhHiC23_g14456.t1, FhHiC23_g14458.t1, FhHiC23_g14458.t2
OG0000875	SGUI1_62810.1, SGUI1_62810.2, SGUI1_62810.3	FhHiC23_g8094.t2, FhHiC23_g8094.t1, FhHiC23_g8094.t3
OG0000876	SGUI1_23220.1, SGUI1_23150.1, SGUI1_23470.1	FhHiC23_g10132.t1, FhHiC23_g10126.t1
OG0000877	SGUI1_6860.4, SGUI1_6860.3, SGUI1_6860.1, SGUI1_6860.2, SGUI1_6860.5	FhHiC23_g12038.t1, FhHiC23_g12038.t2, FhHiC23_g12038.t3
OG0000878	SGUI1_18080.5, SGUI1_18080.6, SGUI1_18080.2, SGUI1_18080.3, SGUI1_18080.4, SGUI1_18080.1	FhHiC23_g11004.t1, FhHiC23_g11004.t2
OG0000879	SGUI1_58780.1, SGUI1_58780.2	FhHiC23_g6860.t1, FhHiC23_g6860.t2
OG0000880	SGUI1_80090.1	FhHiC23_g2219.t1
OG0000881	SGUI1_91140.1, SGUI1_91140.2	FhHiC23_g16682.t1, FhHiC23_g16682.t3
OG0000882	SGUI1_21730.1	FhHiC23_g15594.t1, FhHiC23_g15594.t2
OG0000882	SGUI1_40080.1	FhHiC23_g5993.t1
OG0000883	SGUI1_40070.5, SGUI1_40070.8, SGUI1_40070.1, SGUI1_40070.6, SGUI1_40070.9, SGUI1_40070.3, SGUI1_40070.7, SGUI1_40070.4, SGUI1_40070.2	FhHiC23_g5991.t1
OG0000884	SGUI1_39330.6, SGUI1_39330.9, SGUI1_39330.8, SGUI1_39330.7, SGUI1_39330.3, SGUI1_39330.5, SGUI1_39330.1, SGUI1_39330.2, SGUI1_39330.4	FhHiC23_g4988.t1, FhHiC23_g4988.t2
OG0000886	SGUI1_70800.2, SGUI1_70800.1	FhHiC23_g1547.t1
OG0000887	SGUI1_19220.3, SGUI1_19220.2, SGUI1_19220.5, SGUI1_19220.1, SGUI1_19220.6, SGUI1_19220.4	FhHiC23_g11404.t1
OG0000888	SGUI1_79170.1, SGUI1_79170.2, SGUI1_79190.1	FhHiC23_g3221.t1
OG0000889	SGUI1_27460.1, SGUI1_27460.2	FhHiC23_g10327.t1, FhHiC23_g10327.t2
OG0000890	SGUI1_40880.1	FhHiC23_g13982.t1
OG0000891	SGUI1_37130.1, SGUI1_37130.10, SGUI1_37130.11, SGUI1_37130.13, SGUI1_37130.2, SGUI1_37130.3, SGUI1_37130.4, SGUI1_37130.7, SGUI1_37130.8, SGUI1_37130.9, SGUI1_37130.12, SGUI1_37130.14, SGUI1_37130.5, SGUI1_37130.15, SGUI1_37130.6	FhHiC23_g5460.t1
OG0000892	SGUI1_52120.1	FhHiC23_g1375.t1
OG0000894	SGUI1_88150.1	FhHiC23_g4413.t1
OG0000895	SGUI1_44010.1, SGUI1_44010.2	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2
OG0000896	SGUI1_19740.1	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3
OG0000897	SGUI1_9340.1	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2
OG0000898	SGUI1_72360.1	FhHiC23_g2752.t1
OG0000899	SGUI1_14110.1	FhHiC23_g11385.t1
OG0000900	SGUI1_3610.1, SGUI1_3620.1	FhHiC23_g12918.t1, FhHiC23_g13771.t1
