Orthogroup	schistosoma_guineensis	opisthorchis_viverrini
OG0000441	SGUI1_8450.1	T265_00253
OG0000441	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3	T265_07836
OG0000442	SGUI1_36130.1	T265_09824
OG0000444	SGUI1_71520.1	T265_11552
OG0000445	SGUI1_66020.1	T265_12793
OG0000446	SGUI1_8350.1, SGUI1_8390.1	T265_02125
OG0000447	SGUI1_57360.1	T265_03299
OG0000448	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2, SGUI1_31220.3	T265_05426
OG0000449	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8	T265_03361
OG0000450	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4	T265_11348, T265_01101
OG0000451	SGUI1_88120.1	T265_05748
OG0000452	SGUI1_39360.1	T265_09821
OG0000453	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7	T265_06719
OG0000454	SGUI1_70660.1	T265_12900
OG0000454	SGUI1_84380.1, SGUI1_84390.1, SGUI1_72310.1	T265_02660
OG0000455	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3	T265_13543
OG0000456	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4	T265_00028
OG0000457	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8	T265_06520
OG0000458	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7	T265_14731
OG0000459	SGUI1_8770.1	T265_12673
OG0000460	SGUI1_11700.1, SGUI1_11700.2, SGUI1_11700.3, SGUI1_11700.4, SGUI1_11700.5, SGUI1_11700.6, SGUI1_11700.7, SGUI1_11700.8	T265_02175
OG0000460	SGUI1_11660.1	T265_02173
OG0000465	SGUI1_76280.1	T265_12004, T265_15852
OG0000466	SGUI1_53440.1	T265_00717, T265_09088
OG0000467	SGUI1_36920.8, SGUI1_36920.9, SGUI1_36920.7, SGUI1_36920.2, SGUI1_36920.6, SGUI1_36920.1, SGUI1_36920.10, SGUI1_36920.4, SGUI1_36920.3, SGUI1_36920.5	T265_06392, T265_14024, T265_15837
OG0000468	SGUI1_71050.7, SGUI1_71050.4, SGUI1_71050.3, SGUI1_71050.5, SGUI1_71050.2, SGUI1_71050.1, SGUI1_71050.6	T265_13212
OG0000470	SGUI1_51460.1	T265_02354
OG0000471	SGUI1_88870.1	T265_04176
OG0000472	SGUI1_36870.1, SGUI1_36870.7, SGUI1_36870.6, SGUI1_36870.3, SGUI1_36870.5, SGUI1_36870.8, SGUI1_36870.4, SGUI1_36870.2, SGUI1_36870.10, SGUI1_36870.11, SGUI1_36870.9	T265_08287, T265_14526, T265_08288
OG0000473	SGUI1_4730.3, SGUI1_4730.1, SGUI1_4730.5, SGUI1_4730.8, SGUI1_4730.9, SGUI1_4730.2, SGUI1_4730.7, SGUI1_4730.6, SGUI1_4730.4	T265_09380
OG0000474	SGUI1_20130.1	T265_02290
OG0000474	SGUI1_45720.1	T265_12460
OG0000475	SGUI1_64270.5, SGUI1_64270.6, SGUI1_64270.8, SGUI1_64270.1, SGUI1_64270.2, SGUI1_64270.4, SGUI1_64270.7, SGUI1_64270.3	T265_14673
OG0000476	SGUI1_19300.1	T265_07244
OG0000477	SGUI1_45620.1	T265_01343
OG0000478	SGUI1_6100.1	T265_09689
OG0000479	SGUI1_31370.1	T265_11380
OG0000480	SGUI1_64560.1	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397
OG0000481	SGUI1_65530.1, SGUI1_65530.5, SGUI1_65530.2, SGUI1_65530.3, SGUI1_65530.4	T265_00530
OG0000482	SGUI1_9140.1	T265_12690
OG0000483	SGUI1_130.1, SGUI1_130.2, SGUI1_130.3, SGUI1_57600.1	T265_06074
OG0000484	SGUI1_96640.1, SGUI1_96630.1	T265_09654
OG0000485	SGUI1_12820.1, SGUI1_12820.2, SGUI1_12820.3	T265_13168
OG0000490	SGUI1_68590.1, SGUI1_68600.1	T265_01437, T265_16063
OG0000491	SGUI1_30010.4, SGUI1_30010.5, SGUI1_30010.1, SGUI1_30010.2, SGUI1_30010.3, SGUI1_30010.6	T265_14314
OG0000493	SGUI1_47430.1, SGUI1_47430.2	T265_10148, T265_15065
OG0000493	SGUI1_28700.1, SGUI1_28700.2, SGUI1_28700.3, SGUI1_28690.1	T265_15185, T265_10559
OG0000494	SGUI1_36470.1, SGUI1_92880.1	T265_10046
OG0000495	SGUI1_3120.1, SGUI1_3120.2	T265_15686
OG0000496	SGUI1_37710.1	T265_07584
OG0000497	SGUI1_5520.2, SGUI1_5530.1, SGUI1_5520.1, SGUI1_5530.2, SGUI1_5520.3	T265_07772
OG0000498	SGUI1_26930.1	T265_12716, T265_12902
OG0000499	SGUI1_70970.2, SGUI1_70970.1, SGUI1_70970.15, SGUI1_70970.8, SGUI1_70970.16, SGUI1_70970.12, SGUI1_70970.9, SGUI1_70970.11, SGUI1_70970.13, SGUI1_70970.10, SGUI1_70970.14, SGUI1_70970.5, SGUI1_70970.6, SGUI1_70970.3, SGUI1_70970.4, SGUI1_70970.7	T265_12977
OG0000500	SGUI1_18780.2, SGUI1_18780.6, SGUI1_18780.1, SGUI1_18780.5, SGUI1_18780.4, SGUI1_18780.3	T265_12964
OG0000501	SGUI1_25610.1, SGUI1_25610.3, SGUI1_25610.2	T265_13462
OG0000502	SGUI1_35470.4, SGUI1_35470.3, SGUI1_35470.1, SGUI1_35470.7, SGUI1_35470.2, SGUI1_35470.6, SGUI1_35470.5	T265_07436, T265_06036
OG0000503	SGUI1_3810.1	T265_11949
OG0000504	SGUI1_46850.3, SGUI1_46850.5, SGUI1_46850.4, SGUI1_46850.1, SGUI1_46850.2	T265_03966
OG0000505	SGUI1_41120.1, SGUI1_41120.8, SGUI1_41120.9, SGUI1_41120.2, SGUI1_41120.10, SGUI1_41120.11, SGUI1_41120.3, SGUI1_41120.4, SGUI1_41120.5, SGUI1_41120.6, SGUI1_41120.7	T265_12584
OG0000506	SGUI1_8630.2, SGUI1_8630.1, SGUI1_8630.13, SGUI1_8630.10, SGUI1_8630.12, SGUI1_8630.4, SGUI1_8630.5, SGUI1_8630.6, SGUI1_8630.7, SGUI1_8630.8, SGUI1_8630.9, SGUI1_8630.11, SGUI1_8630.3	T265_07729, T265_16032
OG0000507	SGUI1_31080.1	T265_02979, T265_07797, T265_07796
OG0000508	SGUI1_14860.2, SGUI1_14860.3, SGUI1_14860.4, SGUI1_14860.1	T265_10226, T265_16175
OG0000509	SGUI1_49530.1, SGUI1_51120.1	T265_06851, T265_06853, T265_06854, T265_14152
OG0000510	SGUI1_79290.3, SGUI1_79290.1, SGUI1_79290.2, SGUI1_79290.4, SGUI1_79310.1	T265_03984, T265_03985, T265_13373
OG0000511	SGUI1_72860.6, SGUI1_72860.3, SGUI1_72860.4, SGUI1_72860.1, SGUI1_72860.2, SGUI1_72860.5	T265_07656, T265_07655, T265_07657
OG0000512	SGUI1_51700.8, SGUI1_51700.9, SGUI1_51700.2, SGUI1_51700.7, SGUI1_51700.10, SGUI1_51700.6, SGUI1_51700.1, SGUI1_51700.4, SGUI1_51700.3, SGUI1_51700.5	T265_12454
OG0000513	SGUI1_67640.1	T265_01157, T265_06044
OG0000514	SGUI1_45630.2, SGUI1_45630.5, SGUI1_45630.3, SGUI1_45630.1, SGUI1_45630.4, SGUI1_45630.7, SGUI1_45630.6	T265_01214, T265_01215
OG0000515	SGUI1_14460.1, SGUI1_14460.4, SGUI1_14460.6, SGUI1_14460.2, SGUI1_14460.3, SGUI1_14460.5	T265_00984, T265_00985
OG0000516	SGUI1_63610.2, SGUI1_63610.4, SGUI1_63610.5, SGUI1_63610.7, SGUI1_63610.9, SGUI1_63610.10, SGUI1_63610.8, SGUI1_63610.3, SGUI1_63610.6, SGUI1_63610.1	T265_03354
OG0000517	SGUI1_25650.1	T265_01106
OG0000521	SGUI1_71990.8, SGUI1_71990.3, SGUI1_71990.7, SGUI1_71990.4, SGUI1_71990.6, SGUI1_71990.2, SGUI1_71990.1, SGUI1_71990.5	T265_12415
OG0000522	SGUI1_57210.1, SGUI1_57230.1, SGUI1_57460.1, SGUI1_95930.1, SGUI1_95910.1	T265_04037
OG0000523	SGUI1_77450.4, SGUI1_77450.1, SGUI1_77450.2, SGUI1_77450.3, SGUI1_77450.5, SGUI1_77450.7, SGUI1_77450.6	T265_07660
OG0000524	SGUI1_11580.1, SGUI1_11580.2, SGUI1_11580.3, SGUI1_11580.4	T265_07885
OG0000525	SGUI1_50690.9, SGUI1_50690.1, SGUI1_50690.6, SGUI1_50690.3, SGUI1_50690.2, SGUI1_50690.7, SGUI1_50690.8, SGUI1_50690.11, SGUI1_50690.10, SGUI1_50690.4, SGUI1_50690.5	T265_05091
OG0000526	SGUI1_16520.1, SGUI1_16520.2	T265_02282, T265_12113
OG0000527	SGUI1_18690.1	T265_03411
OG0000528	SGUI1_31930.1, SGUI1_31930.2, SGUI1_31930.3, SGUI1_31930.4	T265_06055
OG0000529	SGUI1_15360.1	T265_09182, T265_03656
OG0000529	SGUI1_25220.1	T265_07511
OG0000530	SGUI1_96160.1, SGUI1_96180.1	T265_09699
OG0000531	SGUI1_78190.1	T265_14416, T265_14417
OG0000532	SGUI1_4720.3, SGUI1_4720.5, SGUI1_4720.4, SGUI1_4720.2, SGUI1_4720.1, SGUI1_4720.6	T265_00995, T265_06267
OG0000533	SGUI1_18830.1	T265_13786
OG0000534	SGUI1_71240.1, SGUI1_71240.2, SGUI1_71240.3, SGUI1_71240.4, SGUI1_71240.5	T265_09156
OG0000535	SGUI1_59100.1, SGUI1_59150.1	T265_13029, T265_02526, T265_16334
OG0000536	SGUI1_66400.7, SGUI1_66400.2, SGUI1_66400.8, SGUI1_66400.3, SGUI1_66400.1, SGUI1_66400.4, SGUI1_66400.6, SGUI1_66400.5	T265_04792
OG0000537	SGUI1_53630.1	T265_03566
OG0000539	SGUI1_46700.1, SGUI1_46700.4, SGUI1_46700.3, SGUI1_46700.6, SGUI1_46700.2, SGUI1_46700.5	T265_02944
OG0000540	SGUI1_5370.1, SGUI1_5370.2, SGUI1_5350.1	T265_06424
OG0000541	SGUI1_28500.6, SGUI1_28500.4, SGUI1_28500.2, SGUI1_28500.1, SGUI1_28500.3, SGUI1_28500.5	T265_02592
OG0000542	SGUI1_87580.3, SGUI1_87580.5, SGUI1_87580.1, SGUI1_87580.2, SGUI1_87580.4, SGUI1_87580.6	T265_10499
OG0000543	SGUI1_14790.1, SGUI1_14790.7, SGUI1_14790.8, SGUI1_14790.9, SGUI1_14790.6, SGUI1_14790.2, SGUI1_14790.3, SGUI1_14790.4, SGUI1_14790.5	T265_05515
OG0000544	SGUI1_80310.1, SGUI1_80310.8, SGUI1_80310.4, SGUI1_80310.9, SGUI1_80310.12, SGUI1_80310.10, SGUI1_80310.11, SGUI1_80310.2, SGUI1_80310.3, SGUI1_80310.5, SGUI1_80310.6, SGUI1_80310.7	T265_14759
OG0000545	SGUI1_46500.1	T265_01309
OG0000545	SGUI1_70090.4, SGUI1_70090.1, SGUI1_70090.2, SGUI1_70090.6, SGUI1_70090.5, SGUI1_70090.3	T265_13998
OG0000546	SGUI1_29320.3, SGUI1_29320.4, SGUI1_29320.2, SGUI1_29320.1	T265_14392
OG0000547	SGUI1_89060.3, SGUI1_89060.1, SGUI1_89060.2, SGUI1_89060.4, SGUI1_89060.5	T265_07333
OG0000548	SGUI1_29420.1	T265_14116
OG0000549	SGUI1_10140.1, SGUI1_10140.2	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757
OG0000550	SGUI1_18330.1, SGUI1_18340.1, SGUI1_18320.1	T265_09507, T265_14868
OG0000551	SGUI1_48750.1, SGUI1_66100.1	T265_04197, T265_11408, T265_09018, T265_09780, T265_09887
OG0000551	SGUI1_39110.1	T265_05015
OG0000552	SGUI1_86630.1	T265_05767
OG0000553	SGUI1_94940.3, SGUI1_94940.1, SGUI1_94940.2, SGUI1_94940.4	T265_05228, T265_05227
OG0000554	SGUI1_10240.1, SGUI1_10240.2	T265_06137
OG0000555	SGUI1_43560.1	T265_04699, T265_04748, T265_04698
OG0000556	SGUI1_66270.1	T265_05172
OG0000557	SGUI1_37630.1	T265_09726
OG0000558	SGUI1_17410.1	T265_02473, T265_07551
OG0000559	SGUI1_82370.1, SGUI1_82370.2, SGUI1_82370.4, SGUI1_82370.5, SGUI1_82370.3	T265_15777, T265_15105
OG0000561	SGUI1_95320.3, SGUI1_95320.4, SGUI1_95320.2, SGUI1_95320.1	T265_05307
OG0000562	SGUI1_85070.1, SGUI1_85070.2	T265_09617, T265_14904, T265_14905
OG0000563	SGUI1_20710.3, SGUI1_20710.4, SGUI1_20710.2, SGUI1_20710.1, SGUI1_20710.6, SGUI1_20710.7, SGUI1_20710.5	T265_00934
OG0000564	SGUI1_41980.1	T265_04694
OG0000565	SGUI1_3450.1, SGUI1_3450.2, SGUI1_3450.3	T265_06308
OG0000566	SGUI1_82760.1, SGUI1_82760.5, SGUI1_82760.6, SGUI1_82760.2, SGUI1_82760.3, SGUI1_82760.4	T265_06381
OG0000567	SGUI1_66190.1	T265_09355
OG0000568	SGUI1_57030.1	T265_14125
OG0000568	SGUI1_67450.1	T265_06795
OG0000568	SGUI1_34750.1	T265_05196
OG0000569	SGUI1_8870.1	T265_16092, T265_15315, T265_15990
OG0000570	SGUI1_12100.1	T265_14462
OG0000571	SGUI1_8230.1	T265_09677
OG0000572	SGUI1_59750.2, SGUI1_59750.7, SGUI1_59750.4, SGUI1_59750.3, SGUI1_59750.1, SGUI1_59750.5, SGUI1_59750.6, SGUI1_59750.8	T265_13892
OG0000574	SGUI1_2840.1, SGUI1_2880.1	T265_09231
OG0000575	SGUI1_94820.1	T265_13730
OG0000576	SGUI1_44120.1	T265_04125
OG0000577	SGUI1_53220.3, SGUI1_53220.6, SGUI1_53220.4, SGUI1_53220.5, SGUI1_53220.7, SGUI1_53220.1, SGUI1_53220.2	T265_03389
OG0000580	SGUI1_32130.2, SGUI1_32130.1	T265_11930
OG0000581	SGUI1_61490.4, SGUI1_61490.1, SGUI1_61490.2, SGUI1_61490.3, SGUI1_61490.5	T265_03176, T265_03173
OG0000582	SGUI1_83560.1	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666
OG0000582	SGUI1_83570.1	T265_01671
OG0000583	SGUI1_61100.1	T265_02005
OG0000584	SGUI1_28160.1	T265_13228
OG0000585	SGUI1_5600.4, SGUI1_5600.1, SGUI1_5600.5, SGUI1_5600.2, SGUI1_5600.3, SGUI1_5600.6	T265_00232
OG0000586	SGUI1_30850.1	T265_11386
OG0000587	SGUI1_65370.1, SGUI1_65370.2	T265_07724
OG0000587	SGUI1_8650.1	T265_12893, T265_14323
OG0000588	SGUI1_22180.1	T265_11101, T265_10758
OG0000589	SGUI1_55120.1, SGUI1_55120.2, SGUI1_55120.3	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017
OG0000590	SGUI1_28900.1	T265_09102
OG0000590	SGUI1_40530.1	T265_06033
OG0000591	SGUI1_3460.1	T265_06310
OG0000592	SGUI1_30690.5, SGUI1_30690.9, SGUI1_30690.8, SGUI1_30690.10, SGUI1_30690.1, SGUI1_30690.2, SGUI1_30690.3, SGUI1_30690.4, SGUI1_30690.6, SGUI1_30690.7	T265_14113
OG0000593	SGUI1_31580.7, SGUI1_31580.2, SGUI1_31580.3, SGUI1_31580.5, SGUI1_31580.1, SGUI1_31580.4, SGUI1_31580.6	T265_10773
OG0000594	SGUI1_49390.1	T265_05797, T265_06525
OG0000595	SGUI1_47700.2, SGUI1_47700.1, SGUI1_47700.3, SGUI1_47700.6, SGUI1_47700.4, SGUI1_47700.5	T265_03869
OG0000598	SGUI1_11950.1, SGUI1_11950.8, SGUI1_11950.3, SGUI1_11950.2, SGUI1_11950.4, SGUI1_11950.5, SGUI1_11950.6, SGUI1_11950.7, SGUI1_11950.9	T265_02456
OG0000599	SGUI1_63080.1, SGUI1_63070.1	T265_07673
OG0000600	SGUI1_68040.1, SGUI1_68060.4, SGUI1_68060.1, SGUI1_68060.2, SGUI1_68060.5, SGUI1_68060.3	T265_10590
OG0000601	SGUI1_95230.1, SGUI1_95240.1	T265_04621, T265_04618
OG0000601	SGUI1_40930.1	T265_14218
OG0000602	SGUI1_14820.1	T265_09208, T265_12351
OG0000603	SGUI1_50550.1, SGUI1_50550.2, SGUI1_50550.3	T265_14992, T265_14991, T265_11543
OG0000605	SGUI1_27270.1, SGUI1_27230.1	T265_14198
OG0000606	SGUI1_48740.1	T265_01084, T265_11413, T265_01255, T265_13914, T265_10475
OG0000607	SGUI1_30920.1	T265_10825
OG0000608	SGUI1_50910.4, SGUI1_50910.5, SGUI1_50910.6, SGUI1_50910.1, SGUI1_50910.3, SGUI1_50910.2	T265_02880, T265_02883
OG0000609	SGUI1_27150.2, SGUI1_27150.1, SGUI1_27150.5, SGUI1_27150.3, SGUI1_27150.4	T265_09254
OG0000610	SGUI1_22380.1, SGUI1_22380.2	T265_05701
OG0000611	SGUI1_43180.1, SGUI1_43200.1, SGUI1_43190.1	T265_06968
OG0000612	SGUI1_8200.1, SGUI1_8200.3, SGUI1_8200.2, SGUI1_8200.4	T265_09078
OG0000613	SGUI1_36960.2, SGUI1_36960.1, SGUI1_36960.3, SGUI1_36960.4	T265_02832
OG0000614	SGUI1_44300.1	T265_12100
OG0000615	SGUI1_12300.4, SGUI1_12300.2, SGUI1_12300.1, SGUI1_12300.3	T265_03195
OG0000616	SGUI1_60570.1, SGUI1_60570.3, SGUI1_60570.6, SGUI1_60570.2, SGUI1_60570.4, SGUI1_60570.5	T265_08938
OG0000617	SGUI1_81490.7, SGUI1_81490.4, SGUI1_81490.5, SGUI1_81490.1, SGUI1_81490.2, SGUI1_81490.6, SGUI1_81490.3	T265_08274
OG0000618	SGUI1_36350.5, SGUI1_36350.6, SGUI1_36350.1, SGUI1_36350.3, SGUI1_36350.2, SGUI1_36350.4	T265_13264
OG0000620	SGUI1_15020.1, SGUI1_15020.3, SGUI1_15020.2	T265_10505
OG0000620	SGUI1_45590.1	T265_00373, T265_00374
OG0000621	SGUI1_29800.1, SGUI1_29800.2, SGUI1_29800.4, SGUI1_29800.3	T265_14537
OG0000622	SGUI1_73710.1	T265_00170
OG0000623	SGUI1_12090.1, SGUI1_12080.1	T265_04780, T265_13600
OG0000624	SGUI1_28660.1, SGUI1_28660.5, SGUI1_28660.2, SGUI1_28660.3, SGUI1_28660.4	T265_15535, T265_11776, T265_13342
OG0000625	SGUI1_37340.1, SGUI1_37340.10, SGUI1_37340.11, SGUI1_37340.2, SGUI1_37340.3, SGUI1_37340.4, SGUI1_37340.5, SGUI1_37340.9, SGUI1_37340.8, SGUI1_37340.7, SGUI1_37340.6	T265_03633
OG0000626	SGUI1_54950.1, SGUI1_54950.5, SGUI1_54950.3, SGUI1_54950.2, SGUI1_54950.6, SGUI1_54950.4	T265_02683, T265_13068
OG0000627	SGUI1_10950.1, SGUI1_10950.3, SGUI1_10950.5, SGUI1_10950.4, SGUI1_10950.2	T265_09410
OG0000628	SGUI1_61570.3, SGUI1_61570.2, SGUI1_61570.1, SGUI1_61570.4	T265_08778, T265_14669, T265_16036
OG0000629	SGUI1_38690.3, SGUI1_38690.7, SGUI1_38690.1, SGUI1_38690.4, SGUI1_38690.5, SGUI1_38690.2, SGUI1_38690.6	T265_05422
OG0000630	SGUI1_59180.1	T265_11517
OG0000631	SGUI1_66320.1, SGUI1_66320.2, SGUI1_61590.1	T265_00494
OG0000632	SGUI1_12450.1	T265_03948
OG0000633	SGUI1_52690.1	T265_08226
OG0000634	SGUI1_37080.1	T265_08726, T265_05043, T265_16055
OG0000636	SGUI1_94990.1, SGUI1_94990.3, SGUI1_94990.2, SGUI1_94990.4	T265_09528
OG0000637	SGUI1_49680.1	T265_08691
OG0000638	SGUI1_64630.10, SGUI1_64630.2, SGUI1_64630.7, SGUI1_64630.8, SGUI1_64630.4, SGUI1_64630.5, SGUI1_64630.1, SGUI1_64630.6, SGUI1_64630.9, SGUI1_64630.3	T265_12571, T265_16335
OG0000639	SGUI1_62250.2, SGUI1_62250.1, SGUI1_62250.3	T265_08132
OG0000640	SGUI1_85100.1, SGUI1_85100.2	T265_06014
OG0000641	SGUI1_6350.1	T265_11906
OG0000642	SGUI1_62330.1	T265_00484
OG0000643	SGUI1_52190.1	T265_06781
OG0000643	SGUI1_52180.1, SGUI1_52180.2	T265_00368
OG0000644	SGUI1_95940.1, SGUI1_95940.8, SGUI1_95940.4, SGUI1_95940.3, SGUI1_95940.2, SGUI1_95940.6, SGUI1_95940.5, SGUI1_95940.7	T265_10096
OG0000645	SGUI1_9620.1, SGUI1_9610.1	T265_06416, T265_14031
OG0000646	SGUI1_8210.1, SGUI1_8210.2	T265_14032, T265_09682
OG0000647	SGUI1_62510.1, SGUI1_62510.2	T265_01179
OG0000649	SGUI1_60300.1, SGUI1_60300.2, SGUI1_60300.3	T265_14362
OG0000650	SGUI1_78100.6, SGUI1_78100.1, SGUI1_78100.2, SGUI1_78100.3, SGUI1_78100.4, SGUI1_78100.5, SGUI1_78100.7, SGUI1_78100.8	T265_04859
OG0000651	SGUI1_41760.1	T265_08308
OG0000652	SGUI1_40130.2, SGUI1_40130.3, SGUI1_40130.4, SGUI1_40130.6, SGUI1_40130.1, SGUI1_40130.5	T265_02580, T265_06040
OG0000653	SGUI1_97140.1, SGUI1_40720.1, SGUI1_40720.2	T265_08906
OG0000656	SGUI1_75860.2, SGUI1_75860.4, SGUI1_75860.5, SGUI1_75860.1, SGUI1_75860.3	T265_15627
OG0000657	SGUI1_90580.1, SGUI1_90580.2, SGUI1_90580.3	T265_02650
OG0000659	SGUI1_41730.1	T265_14212
OG0000663	SGUI1_37990.1	T265_04735, T265_02871
OG0000664	SGUI1_11480.1, SGUI1_11480.7, SGUI1_11480.3, SGUI1_11480.2, SGUI1_11480.4, SGUI1_11480.6, SGUI1_11480.5	T265_04576
OG0000665	SGUI1_73300.8, SGUI1_73300.3, SGUI1_73300.6, SGUI1_73300.1, SGUI1_73300.2, SGUI1_73300.4, SGUI1_73300.5, SGUI1_73300.10, SGUI1_73300.9, SGUI1_73300.7	T265_10655
OG0000666	SGUI1_62240.1	T265_14484
OG0000667	SGUI1_5910.1	T265_06220
OG0000668	SGUI1_52610.8, SGUI1_52610.2, SGUI1_52610.1, SGUI1_52610.3, SGUI1_52610.4, SGUI1_52610.6, SGUI1_52610.7, SGUI1_52610.5	T265_07209
OG0000669	SGUI1_68510.1, SGUI1_68510.2, SGUI1_68510.3	T265_04795
OG0000671	SGUI1_67020.1, SGUI1_77050.1	T265_06752
OG0000672	SGUI1_44220.1	T265_08111
OG0000673	SGUI1_15730.8, SGUI1_15730.1, SGUI1_15730.3, SGUI1_15730.4, SGUI1_15730.2, SGUI1_15730.5, SGUI1_15730.7, SGUI1_15730.6	T265_06693, T265_15660, T265_03059
OG0000674	SGUI1_78660.2, SGUI1_78660.3, SGUI1_78660.4, SGUI1_78660.1, SGUI1_78660.5	T265_00038
OG0000675	SGUI1_72460.6, SGUI1_72460.8, SGUI1_72460.1, SGUI1_72460.2, SGUI1_72460.3, SGUI1_72460.4, SGUI1_72460.5, SGUI1_72460.7	T265_10356
OG0000676	SGUI1_81580.1, SGUI1_81580.2, SGUI1_81580.3, SGUI1_81580.4	T265_02244
OG0000677	SGUI1_4910.1, SGUI1_4910.3, SGUI1_4910.2, SGUI1_4910.4	T265_03024
OG0000678	SGUI1_34290.3, SGUI1_34290.7, SGUI1_34290.5, SGUI1_34290.2, SGUI1_34290.4, SGUI1_34290.1, SGUI1_34290.6	T265_14566
OG0000679	SGUI1_72520.1, SGUI1_72520.2, SGUI1_72520.3, SGUI1_72520.4, SGUI1_72520.5	T265_13839
OG0000680	SGUI1_16510.1, SGUI1_16510.2, SGUI1_16510.3, SGUI1_16510.4, SGUI1_16510.5, SGUI1_16510.6	T265_15068
OG0000681	SGUI1_34680.1	T265_15309
OG0000682	SGUI1_43020.1, SGUI1_43020.4, SGUI1_43020.2, SGUI1_43020.3	T265_05067
OG0000683	SGUI1_55340.1, SGUI1_55340.2	T265_03513
OG0000684	SGUI1_85020.1, SGUI1_85020.2	T265_02396
OG0000685	SGUI1_75630.1, SGUI1_75630.2, SGUI1_75630.3	T265_14345
OG0000686	SGUI1_60500.2, SGUI1_60500.4, SGUI1_60500.3, SGUI1_60500.1	T265_06598
OG0000687	SGUI1_26580.1	T265_13762
OG0000688	SGUI1_670.1, SGUI1_670.4, SGUI1_670.2, SGUI1_670.5, SGUI1_670.6, SGUI1_670.3	T265_09228
OG0000690	SGUI1_22420.5, SGUI1_22420.6, SGUI1_22420.10, SGUI1_22420.9, SGUI1_22420.11, SGUI1_22420.1, SGUI1_22420.14, SGUI1_22420.2, SGUI1_22420.3, SGUI1_22420.4, SGUI1_22420.7, SGUI1_22420.8, SGUI1_22420.12, SGUI1_22420.13	T265_15342
OG0000691	SGUI1_19290.1, SGUI1_1910.1, SGUI1_1910.2	T265_13940
OG0000695	SGUI1_96450.1	T265_07910
OG0000695	SGUI1_45450.1, SGUI1_45450.2, SGUI1_45450.3, SGUI1_45450.4, SGUI1_45450.5	T265_07140
OG0000696	SGUI1_5080.5, SGUI1_5080.2, SGUI1_5080.1, SGUI1_5080.6, SGUI1_5080.3, SGUI1_5080.4, SGUI1_5080.9, SGUI1_5080.7, SGUI1_5080.8	T265_00960
OG0000697	SGUI1_40190.5, SGUI1_40190.8, SGUI1_40190.7, SGUI1_40190.1, SGUI1_40190.10, SGUI1_40190.2, SGUI1_40190.9, SGUI1_40190.4, SGUI1_40190.3, SGUI1_40190.6	T265_02565
OG0000698	SGUI1_17640.5, SGUI1_17640.6, SGUI1_17640.1, SGUI1_17640.2, SGUI1_17640.3, SGUI1_17640.4	T265_04366
OG0000699	SGUI1_32800.1	T265_08805
OG0000699	SGUI1_45850.1, SGUI1_45850.2	T265_03971
OG0000700	SGUI1_27960.1, SGUI1_23640.1, SGUI1_23650.1, SGUI1_23660.1	T265_06924, T265_06925
OG0000701	SGUI1_61270.2, SGUI1_61270.1	T265_02016
OG0000702	SGUI1_87340.1	T265_08615
OG0000703	SGUI1_210.2, SGUI1_210.3, SGUI1_210.4, SGUI1_210.1, SGUI1_210.5	T265_14823, T265_09393, T265_14824
OG0000704	SGUI1_48270.1	T265_10029
OG0000705	SGUI1_5780.1	T265_10453
OG0000706	SGUI1_43350.1	T265_01271, T265_09997
OG0000706	SGUI1_52490.1	T265_00020
