Orthogroup	schistosoma_guineensis	schmidtea_mediterranea
OG0000850	SGUI1_27060.5, SGUI1_27060.4, SGUI1_27060.1, SGUI1_27060.2, SGUI1_27060.3	h1SMcT0000657.1
OG0000851	SGUI1_91280.1, SGUI1_91280.2, SGUI1_91280.4, SGUI1_91280.5, SGUI1_91280.6, SGUI1_91280.3	h1SMcT0020207.3, h1SMcT0020207.1, h1SMcT0020207.2
OG0000853	SGUI1_83360.1, SGUI1_83360.2	h1SMcT0007873.1, h1SMcT0007873.2, h1SMcT0018242.1, h1SMcT0018242.2, h1SMcT0018232.1, h1SMcT0018232.2, h1SMcT0018232.3, h1SMcT0018232.4
OG0000854	SGUI1_37290.1	h1SMcT0020539.2, h1SMcT0020539.3
OG0000856	SGUI1_2930.1	h1SMcT0003963.1, h1SMcT0003963.2, h1SMcT0003963.3
OG0000857	SGUI1_4130.1	h1SMcT0009908.1, h1SMcT0012127.1, h1SMcT0012127.3, h1SMcT0012127.2
OG0000858	SGUI1_4380.4, SGUI1_4380.1, SGUI1_4380.2, SGUI1_4380.3	h1SMcT0006257.1
OG0000859	SGUI1_49600.1	h1SMcT0010529.1, h1SMcT0012292.1
OG0000860	SGUI1_60310.1, SGUI1_62890.1	h1SMcT0011028.1, h1SMcT0011028.2, h1SMcT0011028.3
OG0000861	SGUI1_10760.2, SGUI1_10760.3, SGUI1_10760.1, SGUI1_10760.4, SGUI1_10760.5, SGUI1_10760.6, SGUI1_10760.7	h1SMcT0018409.1
OG0000862	SGUI1_29730.1	h1SMcT0016664.1, h1SMcT0016664.2
OG0000863	SGUI1_6900.1, SGUI1_6900.4, SGUI1_6900.2, SGUI1_6900.3, SGUI1_6900.5	h1SMcT0002951.1, h1SMcT0015621.1
OG0000864	SGUI1_40290.7, SGUI1_40290.3, SGUI1_40290.4, SGUI1_40290.5, SGUI1_40290.6, SGUI1_40290.2, SGUI1_40290.1	h1SMcT0000106.2, h1SMcT0000106.1, h1SMcT0000106.3
OG0000866	SGUI1_730.12, SGUI1_730.15, SGUI1_730.16, SGUI1_730.13, SGUI1_730.14, SGUI1_730.3, SGUI1_730.1, SGUI1_730.11, SGUI1_730.2, SGUI1_730.4, SGUI1_730.5, SGUI1_730.6, SGUI1_730.7, SGUI1_730.8, SGUI1_730.9, SGUI1_730.10	h1SMcT0006850.1, h1SMcT0006850.2
OG0000869	SGUI1_89740.1, SGUI1_89740.3, SGUI1_89740.8, SGUI1_89740.4, SGUI1_89740.5, SGUI1_89740.7, SGUI1_89740.2, SGUI1_89740.9, SGUI1_89740.6	h1SMcT0010496.5, h1SMcT0010496.2, h1SMcT0010496.3, h1SMcT0010496.1, h1SMcT0010496.4
OG0000870	SGUI1_950.1	h1SMcT0007343.1, h1SMcT0007343.2, h1SMcT0001585.1, h1SMcT0001585.2
OG0000872	SGUI1_4010.1, SGUI1_4010.3, SGUI1_4010.4, SGUI1_4010.2, SGUI1_4010.5, SGUI1_4010.6, SGUI1_4010.7, SGUI1_4010.8, SGUI1_4010.9	h1SMcT0002307.1, h1SMcT0002307.2, h1SMcT0002307.3
OG0000873	SGUI1_86820.1	h1SMcT0007175.1, h1SMcT0007175.2, h1SMcT0022268.1
OG0000874	SGUI1_43070.1	h1SMcT0000520.1
OG0000875	SGUI1_62810.1, SGUI1_62810.2, SGUI1_62810.3	h1SMcT0023098.1
OG0000876	SGUI1_23220.1, SGUI1_23150.1, SGUI1_23470.1	h1SMcT0011017.1
OG0000877	SGUI1_6860.4, SGUI1_6860.3, SGUI1_6860.1, SGUI1_6860.2, SGUI1_6860.5	h1SMcT0011149.1
OG0000880	SGUI1_80090.1	h1SMcT0011930.1, h1SMcT0011930.2, h1SMcT0011930.3
OG0000881	SGUI1_91140.1, SGUI1_91140.2	h1SMcT0015068.1, h1SMcT0015068.2, h1SMcT0000551.1
OG0000882	SGUI1_21730.1	h1SMcT0019949.1
OG0000882	SGUI1_40080.1	h1SMcT0013142.1, h1SMcT0015243.1
OG0000883	SGUI1_40070.5, SGUI1_40070.8, SGUI1_40070.1, SGUI1_40070.6, SGUI1_40070.9, SGUI1_40070.3, SGUI1_40070.7, SGUI1_40070.4, SGUI1_40070.2	h1SMcT0017921.2, h1SMcT0017921.4, h1SMcT0017921.1, h1SMcT0017921.3, h1SMcT0017921.5
OG0000884	SGUI1_39330.6, SGUI1_39330.9, SGUI1_39330.8, SGUI1_39330.7, SGUI1_39330.3, SGUI1_39330.5, SGUI1_39330.1, SGUI1_39330.2, SGUI1_39330.4	h1SMcT0006597.1, h1SMcT0022922.1
OG0000887	SGUI1_19220.3, SGUI1_19220.2, SGUI1_19220.5, SGUI1_19220.1, SGUI1_19220.6, SGUI1_19220.4	h1SMcT0011651.2, h1SMcT0011651.1, h1SMcT0011651.3
OG0000888	SGUI1_79170.1, SGUI1_79170.2, SGUI1_79190.1	h1SMcT0018274.1, h1SMcT0006978.1, h1SMcT0006978.2
OG0000889	SGUI1_27460.1, SGUI1_27460.2	h1SMcT0000584.2, h1SMcT0000584.1, h1SMcT0000584.4, h1SMcT0000584.3, h1SMcT0000584.5
OG0000890	SGUI1_40880.1	h1SMcT0001261.1
OG0000891	SGUI1_37130.1, SGUI1_37130.10, SGUI1_37130.11, SGUI1_37130.13, SGUI1_37130.2, SGUI1_37130.3, SGUI1_37130.4, SGUI1_37130.7, SGUI1_37130.8, SGUI1_37130.9, SGUI1_37130.12, SGUI1_37130.14, SGUI1_37130.5, SGUI1_37130.15, SGUI1_37130.6	h1SMcT0019782.2
OG0000894	SGUI1_88150.1	h1SMcT0012738.2, h1SMcT0012738.1, h1SMcT0012738.3
OG0000895	SGUI1_44010.1, SGUI1_44010.2	h1SMcT0017639.1
OG0000896	SGUI1_19740.1	h1SMcT0016190.3
OG0000897	SGUI1_9340.1	h1SMcT0013490.1
OG0000898	SGUI1_72360.1	h1SMcT0009884.1, h1SMcT0009883.1, h1SMcT0009883.2
OG0000900	SGUI1_3610.1, SGUI1_3620.1	h1SMcT0012395.1
OG0000902	SGUI1_55410.6, SGUI1_55410.7, SGUI1_55410.1, SGUI1_55410.2, SGUI1_55410.3, SGUI1_55410.4, SGUI1_55410.5	h1SMcT0010803.1, h1SMcT0010803.2, h1SMcT0010803.3
OG0000903	SGUI1_15100.1	h1SMcT0005323.1, h1SMcT0005323.2
OG0000907	SGUI1_74940.1	h1SMcT0018393.1, h1SMcT0004265.1, h1SMcT0004265.2, h1SMcT0004265.3, h1SMcT0000265.2, h1SMcT0000265.1, h1SMcT0000265.3, h1SMcT0004262.2, h1SMcT0004261.1, h1SMcT0004262.1, h1SMcT0004263.1, h1SMcT0022894.1, h1SMcT0004264.6, h1SMcT0004264.9, h1SMcT0004264.8, h1SMcT0004264.7, h1SMcT0004264.1, h1SMcT0004264.3, h1SMcT0004264.4, h1SMcT0004264.2, h1SMcT0004264.5
OG0000910	SGUI1_7600.2, SGUI1_7600.3, SGUI1_7600.7, SGUI1_7600.1, SGUI1_7600.4, SGUI1_7600.5, SGUI1_7600.6	h1SMcT0015484.1
OG0000911	SGUI1_58590.1, SGUI1_58590.2, SGUI1_58590.3, SGUI1_58590.4	h1SMcT0021969.1
OG0000914	SGUI1_38410.5, SGUI1_38410.1, SGUI1_38410.4, SGUI1_38410.2, SGUI1_38410.3	h1SMcT0009919.4, h1SMcT0009919.1, h1SMcT0009919.2, h1SMcT0009919.3
OG0000916	SGUI1_39590.4, SGUI1_39590.6, SGUI1_39590.10, SGUI1_39590.11, SGUI1_39590.12, SGUI1_39590.3, SGUI1_39590.8, SGUI1_39590.1, SGUI1_39590.9, SGUI1_39590.7, SGUI1_39590.2, SGUI1_39590.5	h1SMcT0008408.1
OG0000917	SGUI1_84660.3, SGUI1_84660.1, SGUI1_84660.2	h1SMcT0003713.1, h1SMcT0013367.1
OG0000919	SGUI1_84810.1	h1SMcT0007368.1, h1SMcT0007654.1
OG0000920	SGUI1_95280.6, SGUI1_95280.4, SGUI1_95280.1, SGUI1_95280.5	h1SMcT0011459.1, h1SMcT0011459.2
OG0000923	SGUI1_41510.1	h1SMcT0013946.1, h1SMcT0013946.2
OG0000923	SGUI1_93540.3, SGUI1_93540.1, SGUI1_93540.2	h1SMcT0020405.3, h1SMcT0020405.1, h1SMcT0020405.2, h1SMcT0015674.1
OG0000925	SGUI1_16000.2, SGUI1_16000.1, SGUI1_16000.3, SGUI1_16000.4	h1SMcT0006630.1, h1SMcT0006630.2
OG0000926	SGUI1_26850.1, SGUI1_26850.4, SGUI1_26850.2, SGUI1_26850.3, SGUI1_26770.4, SGUI1_26770.1, SGUI1_26770.3, SGUI1_26770.2	h1SMcT0002149.7, h1SMcT0002149.1, h1SMcT0002149.2, h1SMcT0002149.4, h1SMcT0002149.5, h1SMcT0002149.3, h1SMcT0002149.6
OG0000927	SGUI1_21030.1	h1SMcT0012510.1, h1SMcT0012510.2
OG0000929	SGUI1_65340.1, SGUI1_65340.2, SGUI1_65340.3, SGUI1_65340.4, SGUI1_65340.6, SGUI1_65340.7, SGUI1_65340.5	h1SMcT0018531.1, h1SMcT0018531.2
OG0000930	SGUI1_42400.1, SGUI1_42400.6, SGUI1_42400.7, SGUI1_42400.2, SGUI1_42400.3, SGUI1_42400.4, SGUI1_42400.5	h1SMcT0002686.1, h1SMcT0015950.1
OG0000931	SGUI1_71740.1, SGUI1_71740.2, SGUI1_71740.3	h1SMcT0010820.1
OG0000932	SGUI1_1140.1, SGUI1_1140.2, SGUI1_1140.3, SGUI1_1140.4, SGUI1_1140.5, SGUI1_1140.6, SGUI1_1140.7	h1SMcT0003111.1, h1SMcT0003111.2
OG0000933	SGUI1_39690.5, SGUI1_39690.3, SGUI1_39690.4, SGUI1_39690.1, SGUI1_39690.2	h1SMcT0022565.1
OG0000934	SGUI1_9420.1	h1SMcT0006379.1
OG0000936	SGUI1_94360.1	h1SMcT0006501.1, h1SMcT0006501.2
OG0000937	SGUI1_54490.1, SGUI1_54490.2, SGUI1_54490.6, SGUI1_54490.3, SGUI1_54490.4, SGUI1_54490.5	h1SMcT0002752.1, h1SMcT0002752.2, h1SMcT0002752.3, h1SMcT0002752.4
OG0000939	SGUI1_87380.1, SGUI1_87380.3, SGUI1_87380.4, SGUI1_87380.2	h1SMcT0020741.2, h1SMcT0020741.1, h1SMcT0020741.3, h1SMcT0020741.4
OG0000940	SGUI1_5430.1, SGUI1_5430.2, SGUI1_5430.3, SGUI1_5430.5, SGUI1_5430.4	h1SMcT0002848.1
OG0000941	SGUI1_31880.4, SGUI1_31880.3, SGUI1_31880.1, SGUI1_31880.2	h1SMcT0017959.4, h1SMcT0017959.2, h1SMcT0017959.3, h1SMcT0017959.1
OG0000942	SGUI1_15610.2, SGUI1_15610.1, SGUI1_15610.3, SGUI1_15610.4	h1SMcT0001750.1
OG0000943	SGUI1_28400.2, SGUI1_28400.4, SGUI1_28400.1, SGUI1_28400.3	h1SMcT0019889.1
OG0000944	SGUI1_58360.4, SGUI1_58360.5, SGUI1_58360.1, SGUI1_58360.2, SGUI1_58360.3	h1SMcT0016977.1
OG0000947	SGUI1_38720.1, SGUI1_38720.10, SGUI1_38720.11, SGUI1_38720.2, SGUI1_38720.3, SGUI1_38720.4, SGUI1_38720.5, SGUI1_38720.6, SGUI1_38720.7, SGUI1_38720.8, SGUI1_38720.9	h1SMcT0002479.1
OG0000948	SGUI1_81600.1, SGUI1_81600.2	h1SMcT0004588.3, h1SMcT0004588.2, h1SMcT0004588.1, h1SMcT0004588.4
OG0000949	SGUI1_15780.1, SGUI1_15790.1, SGUI1_15770.1	h1SMcT0017273.1
OG0000950	SGUI1_53510.1	h1SMcT0002986.1, h1SMcT0002986.2, h1SMcT0002986.3
OG0000951	SGUI1_93470.2, SGUI1_93470.3, SGUI1_93470.1, SGUI1_93470.4	h1SMcT0002521.8, h1SMcT0002521.2, h1SMcT0002521.5, h1SMcT0002521.6, h1SMcT0002521.7, h1SMcT0002521.1, h1SMcT0002521.3, h1SMcT0002521.4
OG0000952	SGUI1_29260.1	h1SMcT0012578.1, h1SMcT0012578.2, h1SMcT0012578.3, h1SMcT0019355.3, h1SMcT0019355.2, h1SMcT0019355.1, h1SMcT0019355.4
OG0000953	SGUI1_63110.2, SGUI1_63110.3, SGUI1_63110.1	h1SMcT0017151.1
OG0000954	SGUI1_81070.1, SGUI1_81070.2	h1SMcT0018757.1, h1SMcT0009828.1, h1SMcT0009828.2, h1SMcT0009828.3, h1SMcT0009828.4, h1SMcT0009828.5, h1SMcT0009828.6
OG0000955	SGUI1_11640.1, SGUI1_11640.2	h1SMcT0006460.1, h1SMcT0006460.2
OG0000959	SGUI1_70240.1, SGUI1_70240.2, SGUI1_70240.3, SGUI1_70240.4, SGUI1_70240.5, SGUI1_70240.6, SGUI1_70240.7	h1SMcT0010734.1, h1SMcT0010734.2, h1SMcT0010734.3
OG0000960	SGUI1_22290.1, SGUI1_22290.4, SGUI1_22290.3, SGUI1_22290.5, SGUI1_22290.2	h1SMcT0002494.1, h1SMcT0002494.2, h1SMcT0002494.3
OG0000961	SGUI1_38760.1, SGUI1_38760.2	h1SMcT0013671.1, h1SMcT0013671.2, h1SMcT0020047.1
OG0000962	SGUI1_74920.1	h1SMcT0001348.1
OG0000963	SGUI1_2520.1	h1SMcT0013824.1
OG0000964	SGUI1_40630.1	h1SMcT0000276.1, h1SMcT0020250.1, h1SMcT0020250.2
OG0000965	SGUI1_63830.9, SGUI1_63830.7, SGUI1_63830.8, SGUI1_63830.4, SGUI1_63830.5, SGUI1_63830.6, SGUI1_63830.3, SGUI1_63830.1, SGUI1_63830.2	h1SMcT0021160.1
OG0000966	SGUI1_36100.1, SGUI1_36100.2, SGUI1_36100.3, SGUI1_36100.4	h1SMcT0014196.1
OG0000966	SGUI1_49100.1	h1SMcT0006317.1, h1SMcT0006317.2, h1SMcT0019059.1, h1SMcT0019059.2
OG0000968	SGUI1_2760.1, SGUI1_2780.1	h1SMcT0020996.1, h1SMcT0020996.2, h1SMcT0020996.3
OG0000969	SGUI1_81750.1	h1SMcT0019963.1
OG0000969	SGUI1_81740.2, SGUI1_81740.4, SGUI1_81740.1, SGUI1_81740.3	h1SMcT0016718.2
OG0000970	SGUI1_69920.1	h1SMcT0012015.1, h1SMcT0012015.2, h1SMcT0012015.3
OG0000971	SGUI1_1930.1	h1SMcT0011047.1, h1SMcT0012448.5, h1SMcT0012448.1, h1SMcT0012448.6, h1SMcT0012448.3, h1SMcT0012448.4, h1SMcT0012448.2
OG0000974	SGUI1_55770.4, SGUI1_55770.1, SGUI1_55770.2, SGUI1_55770.3	h1SMcT0015359.1, h1SMcT0015359.2
OG0000975	SGUI1_5560.1, SGUI1_5570.1	h1SMcT0015875.3, h1SMcT0015875.4, h1SMcT0015875.2, h1SMcT0015875.1, h1SMcT0015875.5
OG0000976	SGUI1_9520.1, SGUI1_9520.2	h1SMcT0018042.1, h1SMcT0018042.2, h1SMcT0018147.1, h1SMcT0018147.2
OG0000977	SGUI1_11110.1	h1SMcT0020619.2, h1SMcT0020619.3, h1SMcT0020619.1, h1SMcT0020619.4
OG0000978	SGUI1_19870.1	h1SMcT0016704.1
OG0000979	SGUI1_73980.4, SGUI1_73980.3, SGUI1_73980.2, SGUI1_73980.1	h1SMcT0004666.2, h1SMcT0004666.1, h1SMcT0004666.3
OG0000980	SGUI1_52200.4, SGUI1_52200.6, SGUI1_52200.2, SGUI1_52200.5, SGUI1_52200.3, SGUI1_52200.1	h1SMcT0000225.1
OG0000981	SGUI1_40050.2, SGUI1_40050.6, SGUI1_40050.4, SGUI1_40050.5, SGUI1_40050.3, SGUI1_40050.1	h1SMcT0017407.1, h1SMcT0017407.2
OG0000982	SGUI1_64770.5, SGUI1_64770.2, SGUI1_64770.3, SGUI1_64770.6, SGUI1_64770.7, SGUI1_64770.1, SGUI1_64770.4	h1SMcT0016533.1, h1SMcT0016533.2
OG0000985	SGUI1_15750.4, SGUI1_15750.5, SGUI1_15750.6, SGUI1_15750.1, SGUI1_15750.2, SGUI1_15750.3	h1SMcT0011393.1, h1SMcT0011393.2
OG0000986	SGUI1_73070.2, SGUI1_73070.3, SGUI1_73070.4, SGUI1_73070.5, SGUI1_73070.1	h1SMcT0022874.1, h1SMcT0022874.2, h1SMcT0022874.3, h1SMcT0022874.4, h1SMcT0012771.2, h1SMcT0012772.2, h1SMcT0012772.3, h1SMcT0012772.1, h1SMcT0012772.4, h1SMcT0018537.3, h1SMcT0018537.5, h1SMcT0018537.1, h1SMcT0018537.2, h1SMcT0018537.4
OG0000987	SGUI1_83820.1, SGUI1_83820.2, SGUI1_83820.3, SGUI1_83820.4, SGUI1_83820.5, SGUI1_83820.7, SGUI1_83820.8, SGUI1_83820.6	h1SMcT0001069.1, h1SMcT0006573.1
OG0000988	SGUI1_57380.1, SGUI1_57380.3, SGUI1_57380.2, SGUI1_57380.4	h1SMcT0010881.1, h1SMcT0007202.1
OG0000989	SGUI1_51540.1	h1SMcT0021252.1
OG0000990	SGUI1_4520.1	h1SMcT0004066.3, h1SMcT0004066.1, h1SMcT0004066.2, h1SMcT0004066.4
OG0000992	SGUI1_44280.1	h1SMcT0005046.4, h1SMcT0005046.2, h1SMcT0005046.3, h1SMcT0005046.6, h1SMcT0005046.1, h1SMcT0005046.5
OG0000993	SGUI1_78560.2, SGUI1_78560.1, SGUI1_78560.3	h1SMcT0012007.1
OG0000994	SGUI1_33690.1, SGUI1_33690.2	h1SMcT0012857.2, h1SMcT0012857.1, h1SMcT0012857.3
OG0000995	SGUI1_80930.1, SGUI1_80930.2, SGUI1_80930.3, SGUI1_80930.4	h1SMcT0016941.1, h1SMcT0016941.2, h1SMcT0022633.1, h1SMcT0022633.2
OG0000996	SGUI1_64900.8, SGUI1_64900.5, SGUI1_64900.6, SGUI1_64900.7, SGUI1_64900.4, SGUI1_64900.3, SGUI1_64900.1, SGUI1_64900.2	h1SMcT0003558.1, h1SMcT0003558.2, h1SMcT0004365.1
OG0000997	SGUI1_89190.6, SGUI1_89190.3, SGUI1_89190.1, SGUI1_89190.2, SGUI1_89190.4, SGUI1_89190.5, SGUI1_89190.7, SGUI1_89190.8, SGUI1_89190.9	h1SMcT0016747.1
OG0000998	SGUI1_55980.1	h1SMcT0005767.1, h1SMcT0013011.1
OG0001003	SGUI1_32470.1, SGUI1_32470.2	h1SMcT0021497.1
OG0001006	SGUI1_81790.1	h1SMcT0008007.1
OG0001009	SGUI1_88380.7, SGUI1_88380.5, SGUI1_88380.6, SGUI1_88380.2, SGUI1_88380.3, SGUI1_88380.1, SGUI1_88380.4	h1SMcT0020897.4, h1SMcT0020897.1, h1SMcT0020897.3, h1SMcT0020897.2
OG0001010	SGUI1_60710.1, SGUI1_60710.2, SGUI1_60710.4, SGUI1_60710.5, SGUI1_60710.6, SGUI1_60710.3, SGUI1_60710.7	h1SMcT0022396.1, h1SMcT0022396.2
OG0001013	SGUI1_13210.1	h1SMcT0017060.1
OG0001014	SGUI1_3990.1, SGUI1_3990.2, SGUI1_3990.3, SGUI1_3990.5, SGUI1_3990.4	h1SMcT0007158.1, h1SMcT0007159.1
OG0001015	SGUI1_38200.1, SGUI1_38220.1, SGUI1_38250.1, SGUI1_38240.1	h1SMcT0000462.1
OG0001016	SGUI1_37560.1	h1SMcT0006269.1
OG0001017	SGUI1_15250.1	h1SMcT0008318.1, h1SMcT0008318.2
OG0001018	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1, SGUI1_29470.4, SGUI1_29470.5	h1SMcT0018036.2, h1SMcT0018036.1, h1SMcT0018036.3
OG0001019	SGUI1_42210.1	h1SMcT0003777.1, h1SMcT0003777.2
OG0001020	SGUI1_10040.1	h1SMcT0016457.1
OG0001022	SGUI1_19720.1	h1SMcT0002253.2, h1SMcT0020531.1, h1SMcT0020535.1
OG0001023	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3	h1SMcT0000757.1, h1SMcT0000757.3, h1SMcT0000757.2
OG0001024	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9	h1SMcT0021266.1, h1SMcT0021266.2
OG0001025	SGUI1_88800.1	h1SMcT0009863.1
OG0001026	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3	h1SMcT0011423.1, h1SMcT0011423.2
OG0001027	SGUI1_960.1	h1SMcT0014321.3, h1SMcT0014321.4, h1SMcT0014321.1, h1SMcT0014321.2
OG0001028	SGUI1_55870.2, SGUI1_55870.1, SGUI1_55870.3, SGUI1_55870.4	h1SMcT0016235.3, h1SMcT0016235.4, h1SMcT0016235.1, h1SMcT0016235.5, h1SMcT0016235.2
OG0001029	SGUI1_49860.1, SGUI1_49860.2, SGUI1_49860.3, SGUI1_49860.4, SGUI1_49860.5	h1SMcT0013620.1, h1SMcT0013533.3, h1SMcT0013533.2, h1SMcT0013533.1, h1SMcT0013533.4
OG0001032	SGUI1_64920.1, SGUI1_64920.2, SGUI1_64920.4, SGUI1_64920.3, SGUI1_64920.5, SGUI1_64920.6	h1SMcT0016029.1
OG0001033	SGUI1_72390.1, SGUI1_72390.10, SGUI1_72390.11, SGUI1_72390.2, SGUI1_72390.5, SGUI1_72390.7, SGUI1_72390.8, SGUI1_72390.9, SGUI1_72390.3, SGUI1_72390.4, SGUI1_72390.6	h1SMcT0012601.1, h1SMcT0012601.2
OG0001035	SGUI1_54840.1	h1SMcT0000534.2, h1SMcT0000534.3, h1SMcT0000534.4, h1SMcT0000534.1
OG0001037	SGUI1_19680.5, SGUI1_19680.2, SGUI1_19680.4, SGUI1_19680.6, SGUI1_19680.1, SGUI1_19680.3	h1SMcT0018339.1, h1SMcT0018339.2
OG0001038	SGUI1_1530.1	h1SMcT0010377.1, h1SMcT0010377.2, h1SMcT0010377.3, h1SMcT0010377.4, h1SMcT0010377.5, h1SMcT0010377.6, h1SMcT0010377.7, h1SMcT0010377.8
OG0001039	SGUI1_27080.1, SGUI1_27080.2, SGUI1_27080.3, SGUI1_27080.4, SGUI1_27080.5	h1SMcT0000170.1, h1SMcT0021430.1, h1SMcT0021430.2
OG0001040	SGUI1_81480.1	h1SMcT0003306.1, h1SMcT0003306.2, h1SMcT0003306.3
OG0001041	SGUI1_94590.3, SGUI1_94590.2, SGUI1_94590.1	h1SMcT0020459.3, h1SMcT0020459.5, h1SMcT0020459.4, h1SMcT0020459.6, h1SMcT0020459.2, h1SMcT0020459.7
OG0001042	SGUI1_10980.1	h1SMcT0013596.5, h1SMcT0013596.4, h1SMcT0013596.3, h1SMcT0013596.6, h1SMcT0013596.7, h1SMcT0013596.2, h1SMcT0013596.1
OG0001043	SGUI1_48390.2, SGUI1_48390.1, SGUI1_48390.3, SGUI1_48390.4	h1SMcT0017036.1, h1SMcT0017036.2
OG0001045	SGUI1_67360.4, SGUI1_67360.3, SGUI1_67360.1, SGUI1_67360.2	h1SMcT0020660.1, h1SMcT0020660.2, h1SMcT0020660.3
OG0001048	SGUI1_78640.1	h1SMcT0019140.2, h1SMcT0014134.3, h1SMcT0018373.2
OG0001049	SGUI1_55490.1, SGUI1_55490.2	h1SMcT0001457.3, h1SMcT0001457.1, h1SMcT0001457.2
OG0001050	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5	h1SMcT0005225.1, h1SMcT0005227.1, h1SMcT0005232.1, h1SMcT0005232.2, h1SMcT0005232.5, h1SMcT0005232.4, h1SMcT0005232.3
OG0001051	SGUI1_88230.3, SGUI1_88230.1, SGUI1_88230.10, SGUI1_88230.11, SGUI1_88230.12, SGUI1_88230.2, SGUI1_88230.4, SGUI1_88230.5, SGUI1_88230.6, SGUI1_88230.7, SGUI1_88230.8, SGUI1_88230.9	h1SMcT0022496.1, h1SMcT0022496.2
OG0001052	SGUI1_55460.2, SGUI1_55460.1	h1SMcT0016992.1, h1SMcT0016992.2
OG0001054	SGUI1_10730.1	h1SMcT0001703.1
OG0001055	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7	h1SMcT0011980.1, h1SMcT0004850.2, h1SMcT0004850.1, h1SMcT0004850.3, h1SMcT0004850.6, h1SMcT0004850.10, h1SMcT0004850.9, h1SMcT0004850.4, h1SMcT0004850.7
OG0001056	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8, SGUI1_58320.3, SGUI1_58320.2	h1SMcT0019142.1, h1SMcT0019142.2
OG0001058	SGUI1_61330.1	h1SMcT0001869.1, h1SMcT0020151.1
OG0001059	SGUI1_16600.1	h1SMcT0019262.1
OG0001060	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5	h1SMcT0001275.9, h1SMcT0001275.6, h1SMcT0001275.7, h1SMcT0001275.3, h1SMcT0001275.4, h1SMcT0001275.5, h1SMcT0001275.1, h1SMcT0001275.2, h1SMcT0001275.8
OG0001061	SGUI1_10190.1	h1SMcT0003461.1, h1SMcT0015027.1, h1SMcT0015024.1, h1SMcT0015024.2, h1SMcT0015024.3
OG0001063	SGUI1_85010.1, SGUI1_85000.2, SGUI1_85000.1, SGUI1_85000.3	h1SMcT0014042.2, h1SMcT0014042.3
OG0001064	SGUI1_47740.1, SGUI1_47740.2, SGUI1_47740.3	h1SMcT0004424.1
OG0001065	SGUI1_28770.1, SGUI1_28780.1, SGUI1_28790.1	h1SMcT0011544.1, h1SMcT0011544.2
OG0001068	SGUI1_76300.1	h1SMcT0014508.2, h1SMcT0014508.3
OG0001070	SGUI1_63540.1	h1SMcT0023128.1
OG0001070	SGUI1_76740.1	h1SMcT0006347.1, h1SMcT0006347.3, h1SMcT0006347.2
OG0001071	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2	h1SMcT0012308.1
OG0001073	SGUI1_16430.1	h1SMcT0001997.3, h1SMcT0001997.1, h1SMcT0001997.2
OG0001075	SGUI1_62320.1	h1SMcT0018959.1
OG0001076	SGUI1_46350.1, SGUI1_46350.2, SGUI1_46350.3, SGUI1_46350.4	h1SMcT0002591.1
OG0001077	SGUI1_50230.1	h1SMcT0018403.2, h1SMcT0018403.1, h1SMcT0018403.3
OG0001078	SGUI1_61700.1	h1SMcT0015049.1, h1SMcT0015049.2
OG0001079	SGUI1_75780.1	h1SMcT0003860.1, h1SMcT0018699.1
OG0001080	SGUI1_74120.2, SGUI1_74120.1, SGUI1_74120.3, SGUI1_74120.4	h1SMcT0001110.3
OG0001081	SGUI1_33730.1, SGUI1_33730.2	h1SMcT0000773.1
OG0001082	SGUI1_48700.1, SGUI1_48700.3, SGUI1_48700.2, SGUI1_48700.4	h1SMcT0012303.1, h1SMcT0012303.2, h1SMcT0012303.3
OG0001083	SGUI1_94740.4, SGUI1_94740.3, SGUI1_94740.1, SGUI1_94740.2	h1SMcT0005265.3, h1SMcT0005265.1, h1SMcT0005265.2, h1SMcT0001238.1, h1SMcT0001238.2, h1SMcT0001238.3
OG0001084	SGUI1_20020.1	h1SMcT0013531.1
OG0001085	SGUI1_95660.1, SGUI1_95660.2	h1SMcT0021299.1, h1SMcT0021299.2, h1SMcT0021197.1
OG0001087	SGUI1_51440.1	h1SMcT0012320.1, h1SMcT0012320.3, h1SMcT0012320.5, h1SMcT0012320.6, h1SMcT0006967.1, h1SMcT0006967.2, h1SMcT0007568.1
OG0001087	SGUI1_36250.1	h1SMcT0012320.4, h1SMcT0001188.1
