Orthogroup	schistosoma_guineensis	schistosoma_spindale
OG0000368	SGUI1_18700.5, SGUI1_18700.3, SGUI1_18700.1, SGUI1_18700.2, SGUI1_18700.4	SSPN1_11890.2, SSPN1_11890.3, SSPN1_11890.1
OG0000369	SGUI1_3660.1	SSPN1_3590.1, SSPN1_3600.1, SSPN1_3600.2
OG0000370	SGUI1_39660.1	SSPN1_31260.1
OG0000371	SGUI1_38420.6, SGUI1_38420.5, SGUI1_38420.3, SGUI1_38420.2, SGUI1_38420.1, SGUI1_38420.4	SSPN1_32440.1, SSPN1_32440.2, SSPN1_32440.5, SSPN1_32440.6, SSPN1_32440.7, SSPN1_32440.4, SSPN1_32440.3
OG0000372	SGUI1_9100.1	SSPN1_20620.3, SSPN1_20620.1, SSPN1_20620.2
OG0000372	SGUI1_9060.1	SSPN1_20630.1, SSPN1_20630.2, SSPN1_20630.3, SSPN1_20630.6, SSPN1_20630.4, SSPN1_20630.5
OG0000373	SGUI1_11940.2	SSPN1_17420.14
OG0000374	SGUI1_41530.6, SGUI1_41530.5, SGUI1_41530.8, SGUI1_41530.2, SGUI1_41530.3, SGUI1_41530.4, SGUI1_41530.1, SGUI1_41530.7	SSPN1_40260.2, SSPN1_40260.1, SSPN1_40260.4, SSPN1_40260.3, SSPN1_40260.5
OG0000375	SGUI1_4300.1, SGUI1_4300.6, SGUI1_4300.10, SGUI1_4300.2, SGUI1_4300.7, SGUI1_4300.5, SGUI1_4300.8, SGUI1_4300.4, SGUI1_4300.9, SGUI1_4300.3	SSPN1_4380.1
OG0000376	SGUI1_61070.5, SGUI1_61070.6, SGUI1_61070.1, SGUI1_61070.3, SGUI1_61070.4, SGUI1_61070.2	SSPN1_63550.1, SSPN1_63550.7, SSPN1_63550.3, SSPN1_63550.5, SSPN1_63550.6, SSPN1_63550.4, SSPN1_63550.2
OG0000377	SGUI1_51970.2, SGUI1_51970.3, SGUI1_51970.4, SGUI1_51970.5, SGUI1_51970.1, SGUI1_51970.6, SGUI1_51970.7	SSPN1_50100.1, SSPN1_50100.2, SSPN1_50100.3, SSPN1_50100.4, SSPN1_50100.5, SSPN1_50100.6
OG0000378	SGUI1_24190.3, SGUI1_24190.2, SGUI1_24190.1	SSPN1_23530.3, SSPN1_23530.1, SSPN1_23530.2
OG0000379	SGUI1_9400.1, SGUI1_12340.1, SGUI1_48900.1, SGUI1_84600.1, SGUI1_78740.1, SGUI1_13790.1, SGUI1_84080.1, SGUI1_77460.1, SGUI1_59490.1, SGUI1_59370.1, SGUI1_71330.1, SGUI1_3370.1, SGUI1_10820.1, SGUI1_32580.1, SGUI1_13770.1, SGUI1_82690.1, SGUI1_13780.1, SGUI1_62260.1, SGUI1_52320.1, SGUI1_85330.1	SSPN1_14070.1, SSPN1_1610.1, SSPN1_37310.1
OG0000380	SGUI1_21260.1, SGUI1_21250.1	SSPN1_9650.1
OG0000380	SGUI1_21230.1	SSPN1_9670.1
OG0000380	SGUI1_21240.1, SGUI1_21220.1	SSPN1_9660.1, SSPN1_9680.1
OG0000381	SGUI1_53280.1, SGUI1_53280.4, SGUI1_53280.5, SGUI1_53280.6	SSPN1_51390.2, SSPN1_51390.1, SSPN1_51390.3, SSPN1_51390.4
OG0000381	SGUI1_53290.1	SSPN1_51400.1
OG0000383	SGUI1_38000.1	SSPN1_32840.1, SSPN1_32840.5, SSPN1_32840.2, SSPN1_32840.6, SSPN1_32840.3, SSPN1_32840.4
OG0000384	SGUI1_31770.1, SGUI1_31730.1	SSPN1_38920.1, SSPN1_38920.2, SSPN1_38920.3, SSPN1_38920.4, SSPN1_38900.1, SSPN1_38900.3, SSPN1_38900.2, SSPN1_38900.4, SSPN1_38900.5, SSPN1_38900.6, SSPN1_38900.7
OG0000385	SGUI1_62680.1	SSPN1_21970.1, SSPN1_61890.1
OG0000385	SGUI1_62690.1, SGUI1_62700.1	SSPN1_61440.1, SSPN1_93260.1, SSPN1_21960.1, SSPN1_61450.1
OG0000386	SGUI1_19700.1, SGUI1_19700.3, SGUI1_19700.4, SGUI1_19700.5, SGUI1_19700.6, SGUI1_19700.7, SGUI1_19700.2	SSPN1_9900.1
OG0000387	SGUI1_2790.1	SSPN1_2790.2, SSPN1_2790.4, SSPN1_2790.1, SSPN1_2790.3
OG0000388	SGUI1_90490.5	SSPN1_85970.4
OG0000388	SGUI1_90490.1, SGUI1_90490.4, SGUI1_90490.2, SGUI1_90490.3, SGUI1_90490.6	SSPN1_85970.1, SSPN1_85970.3, SSPN1_85970.2
OG0000389	SGUI1_73870.2, SGUI1_73870.3, SGUI1_73870.9, SGUI1_73870.5, SGUI1_73870.1, SGUI1_73870.11, SGUI1_73870.10, SGUI1_73870.4, SGUI1_73870.7, SGUI1_73870.6, SGUI1_73870.8	SSPN1_70690.3, SSPN1_70690.1, SSPN1_70690.2
OG0000390	SGUI1_83700.4, SGUI1_83700.5, SGUI1_83700.1, SGUI1_83700.2, SGUI1_83700.3, SGUI1_83700.6	SSPN1_80110.2, SSPN1_80110.3, SSPN1_80110.4, SSPN1_80110.1, SSPN1_80110.5, SSPN1_80110.6
OG0000391	SGUI1_13360.1, SGUI1_13370.1	SSPN1_18400.1
OG0000392	SGUI1_62140.1	SSPN1_62470.1, SSPN1_62470.2
OG0000393	SGUI1_45540.1, SGUI1_45540.6, SGUI1_45540.2, SGUI1_45540.3, SGUI1_45540.4, SGUI1_45540.5	SSPN1_44220.1
OG0000394	SGUI1_61540.6, SGUI1_61540.1, SGUI1_61540.2, SGUI1_61540.3, SGUI1_61540.4, SGUI1_61540.5, SGUI1_61540.7	SSPN1_63100.1, SSPN1_63100.2, SSPN1_63100.3, SSPN1_63100.4
OG0000395	SGUI1_79990.1	SSPN1_76560.5, SSPN1_76560.2, SSPN1_76560.4, SSPN1_76560.1, SSPN1_76560.3
OG0000396	SGUI1_4260.1	SSPN1_4340.2, SSPN1_4340.3, SSPN1_4340.1, SSPN1_4340.4
OG0000397	SGUI1_79730.1, SGUI1_79730.2, SGUI1_79730.3, SGUI1_79730.4	SSPN1_76330.1, SSPN1_76330.2, SSPN1_76330.3, SSPN1_76330.4, SSPN1_76330.5, SSPN1_76330.6
OG0000398	SGUI1_20930.1	SSPN1_12650.1
OG0000398	SGUI1_22190.1, SGUI1_22190.2	SSPN1_21790.1
OG0000398	SGUI1_22160.1	SSPN1_21740.1
OG0000399	SGUI1_27830.1, SGUI1_27830.3	SSPN1_27010.1
OG0000399	SGUI1_27830.2	SSPN1_27010.2
OG0000399	SGUI1_27820.1	SSPN1_27000.1
OG0000400	SGUI1_45490.1	SSPN1_93170.1, SSPN1_93170.2
OG0000400	SGUI1_44650.1	SSPN1_43190.1
OG0000401	SGUI1_95030.5, SGUI1_95030.2, SGUI1_95030.4, SGUI1_95030.3, SGUI1_95030.1, SGUI1_95030.6	SSPN1_91150.1, SSPN1_91150.2, SSPN1_91150.3
OG0000402	SGUI1_10450.2, SGUI1_10450.6, SGUI1_10450.1, SGUI1_10450.3, SGUI1_10450.7, SGUI1_10450.4, SGUI1_10450.5	SSPN1_19230.2, SSPN1_19230.6, SSPN1_19230.1, SSPN1_19230.4, SSPN1_19230.3, SSPN1_19230.5
OG0000403	SGUI1_3190.1, SGUI1_3200.1, SGUI1_3200.2, SGUI1_3200.4, SGUI1_3200.5, SGUI1_3200.6, SGUI1_3200.7, SGUI1_3200.8, SGUI1_3200.3	SSPN1_3130.1
OG0000404	SGUI1_81510.3, SGUI1_81510.5, SGUI1_81510.4, SGUI1_81510.2, SGUI1_81510.1, SGUI1_81500.1, SGUI1_81500.2	SSPN1_78760.1
OG0000405	SGUI1_37640.1, SGUI1_37640.6, SGUI1_37640.7, SGUI1_37640.3, SGUI1_37640.5, SGUI1_37640.2, SGUI1_37640.4	SSPN1_33240.1
OG0000406	SGUI1_38490.1, SGUI1_38490.2	SSPN1_32370.1
OG0000407	SGUI1_62760.2, SGUI1_62760.4, SGUI1_62760.6, SGUI1_62760.1, SGUI1_62760.8, SGUI1_62760.7, SGUI1_62760.5, SGUI1_62760.3	SSPN1_61840.1
OG0000408	SGUI1_26320.8, SGUI1_26320.1, SGUI1_26320.2, SGUI1_26320.5, SGUI1_26320.6, SGUI1_26320.7, SGUI1_26320.3, SGUI1_26320.4	SSPN1_25470.7, SSPN1_25470.6, SSPN1_25470.2, SSPN1_25470.8, SSPN1_25470.10, SSPN1_25470.12, SSPN1_25470.13, SSPN1_25470.4, SSPN1_25470.14, SSPN1_25470.15, SSPN1_25470.11, SSPN1_25470.9, SSPN1_25470.1, SSPN1_25470.3, SSPN1_25470.5
OG0000409	SGUI1_88530.12, SGUI1_88530.6, SGUI1_88530.4, SGUI1_88530.9, SGUI1_88530.1, SGUI1_88530.10, SGUI1_88530.5, SGUI1_88530.8, SGUI1_88530.2, SGUI1_88530.7, SGUI1_88530.11, SGUI1_88530.3	SSPN1_84960.1
OG0000410	SGUI1_69420.1	SSPN1_66560.3, SSPN1_66560.4, SSPN1_66560.1, SSPN1_66560.2, SSPN1_66560.7, SSPN1_66560.6, SSPN1_66560.5
OG0000411	SGUI1_26920.7, SGUI1_26920.4, SGUI1_26920.1, SGUI1_26920.2, SGUI1_26920.3, SGUI1_26920.6, SGUI1_26920.5	SSPN1_26100.1, SSPN1_26100.2, SSPN1_26100.5, SSPN1_26100.7, SSPN1_26100.3, SSPN1_26100.4, SSPN1_26100.6
OG0000412	SGUI1_72450.3, SGUI1_72450.1, SGUI1_72450.2, SGUI1_72450.4	SSPN1_69290.3, SSPN1_69290.6, SSPN1_69290.5, SSPN1_69290.7, SSPN1_69290.2, SSPN1_69290.1, SSPN1_69290.4
OG0000413	SGUI1_61390.1	SSPN1_63250.1, SSPN1_63250.2, SSPN1_63250.3, SSPN1_63250.4, SSPN1_63250.6, SSPN1_63250.5
OG0000414	SGUI1_9960.1	SSPN1_19750.1, SSPN1_19750.2, SSPN1_19750.4, SSPN1_19750.8, SSPN1_19750.7, SSPN1_19750.3, SSPN1_19750.5, SSPN1_19750.6
OG0000415	SGUI1_30570.1	SSPN1_29670.2, SSPN1_29670.3, SSPN1_29670.4, SSPN1_29670.5, SSPN1_29670.1, SSPN1_29670.6
OG0000416	SGUI1_87880.1	SSPN1_84360.1, SSPN1_84360.2
OG0000416	SGUI1_91730.1	SSPN1_87920.1
OG0000416	SGUI1_87870.1	SSPN1_84350.1
OG0000417	SGUI1_52310.2, SGUI1_52310.5, SGUI1_52310.4, SGUI1_52310.1, SGUI1_52310.3	SSPN1_50440.4, SSPN1_50440.2, SSPN1_50440.3, SSPN1_50440.6, SSPN1_50440.1, SSPN1_50440.5, SSPN1_50440.7, SSPN1_50440.8
OG0000418	SGUI1_94690.4, SGUI1_94690.1, SGUI1_94690.3, SGUI1_94690.2	SSPN1_90790.7, SSPN1_90790.6, SSPN1_90790.1, SSPN1_90790.5, SSPN1_90790.4, SSPN1_90790.3, SSPN1_90790.2
OG0000420	SGUI1_45640.10, SGUI1_45640.7	SSPN1_44120.1
OG0000421	SGUI1_67680.1	SSPN1_57620.2, SSPN1_57620.3
OG0000422	SGUI1_50010.13, SGUI1_50160.1	SSPN1_48400.1, SSPN1_48400.3, SSPN1_48400.6, SSPN1_48400.4, SSPN1_48400.7, SSPN1_48400.2, SSPN1_48400.8, SSPN1_48400.5
OG0000423	SGUI1_37820.1, SGUI1_37820.2	SSPN1_33050.1, SSPN1_33050.2, SSPN1_33050.3, SSPN1_33050.5, SSPN1_33050.6, SSPN1_33050.7, SSPN1_33050.4, SSPN1_33050.8
OG0000425	SGUI1_29240.1, SGUI1_29240.2	SSPN1_28400.1, SSPN1_28400.2
OG0000426	SGUI1_54650.1, SGUI1_54660.1	SSPN1_52630.1
OG0000426	SGUI1_54630.1	SSPN1_52620.1
OG0000427	SGUI1_53380.5, SGUI1_53380.1, SGUI1_53380.2, SGUI1_53380.3, SGUI1_53380.4, SGUI1_53390.2, SGUI1_53390.1	SSPN1_51490.4, SSPN1_51490.2, SSPN1_51490.1, SSPN1_51490.3
OG0000428	SGUI1_42120.6, SGUI1_42120.7, SGUI1_42120.4, SGUI1_42120.5, SGUI1_42120.8, SGUI1_42120.3, SGUI1_42120.1, SGUI1_42120.2	SSPN1_40830.3, SSPN1_40830.4, SSPN1_40830.5, SSPN1_40830.1, SSPN1_40830.2, SSPN1_40830.6, SSPN1_40830.7
OG0000429	SGUI1_93270.1	SSPN1_89380.1
OG0000429	SGUI1_45100.1	SSPN1_43640.1, SSPN1_43640.2
OG0000430	SGUI1_32100.9, SGUI1_32100.8, SGUI1_32100.3, SGUI1_32100.5, SGUI1_32100.6, SGUI1_32100.1, SGUI1_32100.4, SGUI1_32100.2, SGUI1_32100.7	SSPN1_38530.1
OG0000431	SGUI1_49060.3, SGUI1_49060.5, SGUI1_49060.1, SGUI1_49060.2, SGUI1_49060.4	SSPN1_47410.3, SSPN1_47410.7, SSPN1_47410.1, SSPN1_47410.5, SSPN1_47410.6, SSPN1_47410.4, SSPN1_47410.8, SSPN1_47410.9, SSPN1_47410.2
OG0000432	SGUI1_94350.1	SSPN1_90460.4, SSPN1_90460.7, SSPN1_90460.1, SSPN1_90460.2, SSPN1_90460.5, SSPN1_90460.3, SSPN1_90460.6
OG0000433	SGUI1_40170.1	SSPN1_30740.4, SSPN1_30740.5, SSPN1_30740.1, SSPN1_30740.2, SSPN1_30740.3
OG0000434	SGUI1_93870.1	SSPN1_89960.3, SSPN1_89960.5, SSPN1_89960.1, SSPN1_89960.4, SSPN1_89960.2, SSPN1_89960.6
OG0000435	SGUI1_54900.1	SSPN1_52870.3, SSPN1_52870.4, SSPN1_52870.2, SSPN1_52870.1, SSPN1_52870.5
OG0000436	SGUI1_25340.5, SGUI1_25340.1, SGUI1_25340.3, SGUI1_25340.2, SGUI1_25340.4	SSPN1_24580.4, SSPN1_24580.6, SSPN1_24580.9, SSPN1_24580.3, SSPN1_24580.5, SSPN1_24580.1, SSPN1_24580.7, SSPN1_24580.2, SSPN1_24580.8
OG0000437	SGUI1_3110.1, SGUI1_3110.2	SSPN1_3030.1, SSPN1_3030.2, SSPN1_3030.3
OG0000438	SGUI1_64000.1	SSPN1_60570.11, SSPN1_60570.5, SSPN1_60570.1, SSPN1_60570.10, SSPN1_60570.2, SSPN1_60570.4, SSPN1_60570.8, SSPN1_60570.6, SSPN1_60570.9, SSPN1_60570.3, SSPN1_60570.7
OG0000439	SGUI1_84880.4, SGUI1_84880.7, SGUI1_84880.8, SGUI1_84880.3, SGUI1_84880.1, SGUI1_84880.6, SGUI1_84880.2, SGUI1_84880.5	SSPN1_81330.7, SSPN1_81330.8, SSPN1_81330.3, SSPN1_81330.1, SSPN1_81330.2, SSPN1_81330.4, SSPN1_81330.5, SSPN1_81330.6
OG0000440	SGUI1_91370.1	SSPN1_87640.1
OG0000440	SGUI1_91360.1	SSPN1_87620.1, SSPN1_87620.2
OG0000441	SGUI1_8450.1	SSPN1_8870.1
OG0000441	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3	SSPN1_16110.1
OG0000443	SGUI1_5390.5	SSPN1_5620.1, SSPN1_5620.2
OG0000444	SGUI1_71520.1	SSPN1_68430.1, SSPN1_68430.10, SSPN1_68430.11, SSPN1_68430.12, SSPN1_68430.13, SSPN1_68430.2, SSPN1_68430.5, SSPN1_68430.8, SSPN1_68430.9, SSPN1_68430.4, SSPN1_68430.14, SSPN1_68430.7, SSPN1_68430.6, SSPN1_68430.3
OG0000445	SGUI1_66020.1	SSPN1_59060.1
OG0000446	SGUI1_8350.1	SSPN1_8890.1
OG0000446	SGUI1_8390.1	SSPN1_8990.1, SSPN1_8990.2
OG0000447	SGUI1_57360.1	SSPN1_54930.1, SSPN1_54930.2
OG0000448	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2	SSPN1_30330.3
OG0000449	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8	SSPN1_55670.2, SSPN1_55670.6, SSPN1_55670.5, SSPN1_55670.7, SSPN1_55670.3, SSPN1_55670.4, SSPN1_55670.1
OG0000450	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4	SSPN1_23840.1
OG0000451	SGUI1_88120.1	SSPN1_84570.1
OG0000452	SGUI1_39360.1	SSPN1_31560.1
OG0000453	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7	SSPN1_61940.1, SSPN1_61940.2, SSPN1_61940.5, SSPN1_61940.7, SSPN1_61940.4, SSPN1_61940.6, SSPN1_61940.3
OG0000454	SGUI1_70660.1	SSPN1_67610.1
OG0000454	SGUI1_84380.1, SGUI1_84390.1	SSPN1_80830.1, SSPN1_80840.1
OG0000454	SGUI1_72310.1	SSPN1_69160.1
OG0000455	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3	SSPN1_17010.1
OG0000456	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4	SSPN1_68240.1, SSPN1_68240.2
OG0000457	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8	SSPN1_27510.3, SSPN1_27510.1, SSPN1_27510.2, SSPN1_27510.4
OG0000458	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7	SSPN1_36610.1, SSPN1_36610.3, SSPN1_36610.4, SSPN1_36610.5, SSPN1_36610.2
OG0000459	SGUI1_8770.1	SSPN1_21560.1, SSPN1_21560.2
OG0000460	SGUI1_11700.1, SGUI1_11700.2, SGUI1_11700.3, SGUI1_11700.4, SGUI1_11700.5, SGUI1_11700.6, SGUI1_11700.7, SGUI1_11700.8	SSPN1_17180.1
OG0000461	SGUI1_74340.2, SGUI1_74340.1, SGUI1_74340.3	SSPN1_71180.2, SSPN1_71180.1
OG0000462	SGUI1_92940.1	SSPN1_89310.3, SSPN1_89310.4, SSPN1_89310.1, SSPN1_89310.2
OG0000463	SGUI1_52280.1, SGUI1_52280.2, SGUI1_52280.3, SGUI1_52280.4	SSPN1_50410.1, SSPN1_50410.2
OG0000463	SGUI1_52290.1	SSPN1_50420.1
OG0000464	SGUI1_13630.1	SSPN1_18680.1
OG0000465	SGUI1_76280.1	SSPN1_72970.1, SSPN1_72970.2
OG0000466	SGUI1_53440.1	SSPN1_51540.1, SSPN1_51540.2, SSPN1_51540.3
OG0000467	SGUI1_36920.8, SGUI1_36920.9, SGUI1_36920.7, SGUI1_36920.2, SGUI1_36920.6, SGUI1_36920.1, SGUI1_36920.10, SGUI1_36920.4, SGUI1_36920.3, SGUI1_36920.5	SSPN1_33920.1, SSPN1_33920.2
OG0000468	SGUI1_71050.7, SGUI1_71050.4, SGUI1_71050.3, SGUI1_71050.5, SGUI1_71050.2, SGUI1_71050.1, SGUI1_71050.6	SSPN1_67970.1, SSPN1_67970.4, SSPN1_67970.5, SSPN1_67970.2, SSPN1_67970.3
OG0000470	SGUI1_51460.1	SSPN1_49600.11, SSPN1_49600.1, SSPN1_49600.9, SSPN1_49600.2, SSPN1_49600.5, SSPN1_49600.6, SSPN1_49600.3, SSPN1_49600.7, SSPN1_49600.8, SSPN1_49600.4, SSPN1_49600.10
OG0000471	SGUI1_88870.1	SSPN1_85310.3, SSPN1_85310.4, SSPN1_85310.1, SSPN1_85310.2
OG0000472	SGUI1_36870.1, SGUI1_36870.7, SGUI1_36870.6, SGUI1_36870.3, SGUI1_36870.5, SGUI1_36870.8, SGUI1_36870.4, SGUI1_36870.2, SGUI1_36870.10, SGUI1_36870.11, SGUI1_36870.9	SSPN1_33970.2, SSPN1_33970.1, SSPN1_33970.3
OG0000473	SGUI1_4730.3, SGUI1_4730.1, SGUI1_4730.5, SGUI1_4730.8, SGUI1_4730.9, SGUI1_4730.2, SGUI1_4730.7, SGUI1_4730.6, SGUI1_4730.4	SSPN1_4880.1, SSPN1_4880.2
OG0000474	SGUI1_20130.1	SSPN1_10340.1
OG0000474	SGUI1_45720.1	SSPN1_44260.1
OG0000475	SGUI1_64270.5, SGUI1_64270.6, SGUI1_64270.8, SGUI1_64270.1, SGUI1_64270.2, SGUI1_64270.4, SGUI1_64270.7, SGUI1_64270.3	SSPN1_65510.1
OG0000476	SGUI1_19300.1	SSPN1_9490.1
OG0000477	SGUI1_45620.1	SSPN1_44140.1
OG0000478	SGUI1_6100.1	SSPN1_6330.1, SSPN1_6330.4, SSPN1_6330.5, SSPN1_6330.3, SSPN1_6330.2
OG0000479	SGUI1_31370.1	SSPN1_30490.1, SSPN1_30490.2
OG0000480	SGUI1_64560.1	SSPN1_65230.1
OG0000481	SGUI1_65530.1, SGUI1_65530.5, SGUI1_65530.2, SGUI1_65530.3, SGUI1_65530.4	SSPN1_59490.1
OG0000482	SGUI1_9140.1	SSPN1_20580.3, SSPN1_20580.5, SSPN1_20580.6, SSPN1_20580.2, SSPN1_20580.4
OG0000483	SGUI1_130.1, SGUI1_130.2, SGUI1_130.3, SGUI1_57600.1	SSPN1_55210.1
OG0000484	SGUI1_96640.1, SGUI1_96630.1	SSPN1_92830.1
OG0000485	SGUI1_12820.1, SGUI1_12820.2, SGUI1_12820.3	SSPN1_18050.2, SSPN1_18050.3, SSPN1_18050.4, SSPN1_18050.6, SSPN1_18050.1, SSPN1_18050.5
OG0000487	SGUI1_5850.2	SSPN1_6040.1
OG0000487	SGUI1_17750.1	SSPN1_10950.2, SSPN1_93380.1, SSPN1_11950.1
OG0000488	SGUI1_86140.1	SSPN1_82600.3, SSPN1_82620.1, SSPN1_82600.2, SSPN1_82600.1
OG0000488	SGUI1_86130.1	SSPN1_82590.1
OG0000489	SGUI1_57370.1	SSPN1_54920.1
OG0000490	SGUI1_68590.1	SSPN1_65800.1, SSPN1_65820.1
OG0000490	SGUI1_68600.1	SSPN1_65800.2
OG0000491	SGUI1_30010.4, SGUI1_30010.5, SGUI1_30010.1, SGUI1_30010.2, SGUI1_30010.3, SGUI1_30010.6	SSPN1_29160.1
OG0000492	SGUI1_62940.1	SSPN1_61650.1
OG0000493	SGUI1_47430.1, SGUI1_47430.2	SSPN1_45900.1, SSPN1_45900.2, SSPN1_45900.3
OG0000493	SGUI1_28700.1, SGUI1_28700.2, SGUI1_28700.3, SGUI1_28690.1	SSPN1_27920.1
OG0000494	SGUI1_36470.1, SGUI1_92880.1	SSPN1_60460.1, SSPN1_60460.2, SSPN1_89850.1
OG0000495	SGUI1_3120.1, SGUI1_3120.2	SSPN1_3040.1, SSPN1_3040.3, SSPN1_3040.4, SSPN1_3040.2, SSPN1_3040.5
OG0000496	SGUI1_37710.1	SSPN1_33180.6, SSPN1_33180.3, SSPN1_33180.10, SSPN1_33180.5, SSPN1_33180.1, SSPN1_33180.11, SSPN1_33180.8, SSPN1_33180.9, SSPN1_33180.4, SSPN1_33180.2, SSPN1_33180.7
OG0000497	SGUI1_5520.2, SGUI1_5530.1, SGUI1_5520.1, SGUI1_5530.2, SGUI1_5520.3	SSPN1_5390.1, SSPN1_5390.2
OG0000498	SGUI1_24920.1	SSPN1_24200.1
OG0000498	SGUI1_26930.1	SSPN1_26110.1
OG0000499	SGUI1_70970.2, SGUI1_70970.1, SGUI1_70970.15, SGUI1_70970.8, SGUI1_70970.16, SGUI1_70970.12, SGUI1_70970.9, SGUI1_70970.11, SGUI1_70970.13, SGUI1_70970.10, SGUI1_70970.14, SGUI1_70970.5, SGUI1_70970.6, SGUI1_70970.3, SGUI1_70970.4, SGUI1_70970.7	SSPN1_67910.1
OG0000500	SGUI1_18780.2, SGUI1_18780.6, SGUI1_18780.1, SGUI1_18780.5, SGUI1_18780.4, SGUI1_18780.3	SSPN1_11990.1
OG0000501	SGUI1_25610.1, SGUI1_25610.3, SGUI1_25610.2	SSPN1_24900.1, SSPN1_24900.2, SSPN1_24900.3
OG0000502	SGUI1_35470.4, SGUI1_35470.3, SGUI1_35470.1, SGUI1_35470.7, SGUI1_35470.2, SGUI1_35470.6, SGUI1_35470.5	SSPN1_35300.1
OG0000504	SGUI1_46850.3, SGUI1_46850.5, SGUI1_46850.4, SGUI1_46850.1, SGUI1_46850.2	SSPN1_45360.2, SSPN1_45360.1, SSPN1_45360.3
OG0000505	SGUI1_41120.1, SGUI1_41120.8, SGUI1_41120.9, SGUI1_41120.2, SGUI1_41120.10, SGUI1_41120.11, SGUI1_41120.3, SGUI1_41120.4, SGUI1_41120.5, SGUI1_41120.6, SGUI1_41120.7	SSPN1_39850.1
OG0000506	SGUI1_8630.2, SGUI1_8630.1, SGUI1_8630.13, SGUI1_8630.10, SGUI1_8630.12, SGUI1_8630.4, SGUI1_8630.5, SGUI1_8630.6, SGUI1_8630.7, SGUI1_8630.8, SGUI1_8630.9, SGUI1_8630.11, SGUI1_8630.3	SSPN1_21440.1
OG0000507	SGUI1_31080.1	SSPN1_30220.2, SSPN1_30200.1, SSPN1_30220.1, SSPN1_30220.4, SSPN1_30220.3
OG0000508	SGUI1_14860.2, SGUI1_14860.3, SGUI1_14860.4, SGUI1_14860.1	SSPN1_15470.1, SSPN1_15470.8, SSPN1_15470.9, SSPN1_15470.3, SSPN1_15470.4, SSPN1_15470.6, SSPN1_15470.2, SSPN1_15470.5, SSPN1_15470.7
OG0000509	SGUI1_49530.1	SSPN1_47870.2, SSPN1_47870.1, SSPN1_47870.3
OG0000509	SGUI1_51120.1	SSPN1_49340.3, SSPN1_49340.1, SSPN1_49340.2, SSPN1_49340.4
OG0000510	SGUI1_79290.3, SGUI1_79290.1, SGUI1_79290.2, SGUI1_79290.4	SSPN1_75860.1, SSPN1_75860.2
OG0000510	SGUI1_79310.1	SSPN1_75880.2, SSPN1_75880.1, SSPN1_75880.3
OG0000511	SGUI1_72860.6, SGUI1_72860.3, SGUI1_72860.4, SGUI1_72860.1, SGUI1_72860.2, SGUI1_72860.5	SSPN1_69670.1, SSPN1_69690.3, SSPN1_69690.1, SSPN1_69690.2
OG0000512	SGUI1_51700.8, SGUI1_51700.9, SGUI1_51700.2, SGUI1_51700.7, SGUI1_51700.10, SGUI1_51700.6, SGUI1_51700.1, SGUI1_51700.4, SGUI1_51700.3, SGUI1_51700.5	SSPN1_49840.2, SSPN1_49840.3, SSPN1_49840.7, SSPN1_49840.1, SSPN1_49840.4, SSPN1_49840.6, SSPN1_49840.8, SSPN1_49840.9, SSPN1_49840.5
OG0000513	SGUI1_67640.1	SSPN1_57660.1
OG0000514	SGUI1_45630.1, SGUI1_45630.4, SGUI1_45630.7, SGUI1_45630.6	SSPN1_44130.1
OG0000515	SGUI1_14460.1, SGUI1_14460.4, SGUI1_14460.6, SGUI1_14460.2, SGUI1_14460.3, SGUI1_14460.5	SSPN1_15870.7, SSPN1_15870.2, SSPN1_15870.3, SSPN1_15870.1, SSPN1_15870.5, SSPN1_15870.4, SSPN1_15870.6
