Orthogroup	schistosoma_guineensis	schistosoma_bovis
OG0000853	SGUI1_83360.1	SBOV2_82000.1
OG0000854	SGUI1_37290.1	SBOV2_30290.2, SBOV2_30290.1, SBOV2_30290.3
OG0000855	SGUI1_54790.1, SGUI1_54790.2	SBOV2_51050.1, SBOV2_51050.4, SBOV2_51050.5, SBOV2_51050.6, SBOV2_51050.2, SBOV2_51050.3
OG0000856	SGUI1_2930.1	SBOV2_3050.1
OG0000858	SGUI1_4380.2	SBOV2_4580.2
OG0000859	SGUI1_49600.1	SBOV2_48900.1
OG0000860	SGUI1_60310.1	SBOV2_59440.1
OG0000860	SGUI1_62890.1	SBOV2_62000.2, SBOV2_62000.3, SBOV2_62000.1, SBOV2_62000.4, SBOV2_62000.5
OG0000861	SGUI1_10760.2, SGUI1_10760.3, SGUI1_10760.1, SGUI1_10760.4, SGUI1_10760.5, SGUI1_10760.6, SGUI1_10760.7	SBOV2_11510.9, SBOV2_11510.8, SBOV2_11510.2, SBOV2_11510.1, SBOV2_11510.4, SBOV2_11510.7, SBOV2_11510.3, SBOV2_11510.5, SBOV2_11510.6
OG0000862	SGUI1_29730.1	SBOV2_37630.1, SBOV2_37630.7, SBOV2_37630.2, SBOV2_37630.5
OG0000863	SGUI1_6900.4, SGUI1_6900.2, SGUI1_6900.3, SGUI1_6900.5	SBOV2_8070.4, SBOV2_8070.1, SBOV2_8070.3, SBOV2_8070.5, SBOV2_8070.2
OG0000864	SGUI1_40290.7, SGUI1_40290.3, SGUI1_40290.4, SGUI1_40290.5, SGUI1_40290.6, SGUI1_40290.2, SGUI1_40290.1	SBOV2_27470.4, SBOV2_27470.2, SBOV2_27470.1, SBOV2_27470.3, SBOV2_27470.5
OG0000865	SGUI1_33020.2, SGUI1_33020.6, SGUI1_33020.1, SGUI1_33020.3, SGUI1_33020.5, SGUI1_33020.4, SGUI1_33020.7	SBOV2_34410.1, SBOV2_34410.2, SBOV2_34410.3
OG0000866	SGUI1_730.12, SGUI1_730.15, SGUI1_730.16, SGUI1_730.13, SGUI1_730.14, SGUI1_730.3, SGUI1_730.1, SGUI1_730.11, SGUI1_730.2, SGUI1_730.4, SGUI1_730.5, SGUI1_730.6, SGUI1_730.7, SGUI1_730.8, SGUI1_730.9, SGUI1_730.10	SBOV2_770.1, SBOV2_770.2
OG0000867	SGUI1_6810.1, SGUI1_6810.3, SGUI1_6810.4, SGUI1_6810.7, SGUI1_6810.2, SGUI1_6810.5, SGUI1_6810.6	SBOV2_8220.1, SBOV2_8220.5, SBOV2_8220.6, SBOV2_8220.8, SBOV2_8220.9, SBOV2_8220.2, SBOV2_8220.3, SBOV2_8220.4, SBOV2_8220.7
OG0000868	SGUI1_80470.1	SBOV2_79050.2, SBOV2_79050.1, SBOV2_79050.3
OG0000868	SGUI1_80500.1, SGUI1_80550.1	SBOV2_79080.1
OG0000869	SGUI1_89740.1, SGUI1_89740.3, SGUI1_89740.8, SGUI1_89740.4, SGUI1_89740.5, SGUI1_89740.7, SGUI1_89740.2, SGUI1_89740.9	SBOV2_88830.1, SBOV2_88830.2
OG0000869	SGUI1_89740.6	SBOV2_88830.3, SBOV2_88830.5, SBOV2_88830.4
OG0000870	SGUI1_950.1	SBOV2_1000.1
OG0000870	SGUI1_950.1	SBOV2_1000.2
OG0000870	SGUI1_950.1	SBOV2_1000.3
OG0000870	SGUI1_950.1	SBOV2_1000.4
OG0000870	SGUI1_950.1	SBOV2_1000.5
OG0000871	SGUI1_28320.1, SGUI1_28320.2	SBOV2_38960.1, SBOV2_38960.2, SBOV2_38960.3, SBOV2_38960.4
OG0000872	SGUI1_4010.1, SGUI1_4010.3, SGUI1_4010.4, SGUI1_4010.2, SGUI1_4010.5, SGUI1_4010.6, SGUI1_4010.7, SGUI1_4010.8, SGUI1_4010.9	SBOV2_4090.8, SBOV2_4090.2, SBOV2_4090.1, SBOV2_4090.3, SBOV2_4090.4, SBOV2_4090.5, SBOV2_4090.6, SBOV2_4090.7
OG0000873	SGUI1_86820.1	SBOV2_85590.3, SBOV2_85590.1, SBOV2_85590.2, SBOV2_85590.4, SBOV2_85590.5
OG0000874	SGUI1_43070.1	SBOV2_42260.1
OG0000875	SGUI1_62810.1	SBOV2_61920.2
OG0000875	SGUI1_62810.2	SBOV2_61920.1
OG0000875	SGUI1_62810.3	SBOV2_61920.5, SBOV2_61920.6, SBOV2_61920.4
OG0000876	SGUI1_23220.1	SBOV2_23280.1
OG0000876	SGUI1_23470.1	SBOV2_23300.6, SBOV2_23300.5, SBOV2_23300.2, SBOV2_23300.3, SBOV2_23310.1, SBOV2_23300.1, SBOV2_23300.4
OG0000877	SGUI1_6860.4	SBOV2_8160.3
OG0000877	SGUI1_6860.5	SBOV2_8160.1, SBOV2_8160.2
OG0000878	SGUI1_18080.6, SGUI1_18080.2, SGUI1_18080.3, SGUI1_18080.4, SGUI1_18080.1	SBOV2_17890.2, SBOV2_17890.1, SBOV2_17890.4, SBOV2_17890.3
OG0000879	SGUI1_58780.1, SGUI1_58780.2	SBOV2_57900.2, SBOV2_57900.3, SBOV2_57900.1
OG0000880	SGUI1_80090.1	SBOV2_78700.3, SBOV2_78700.11, SBOV2_78700.7, SBOV2_78700.9, SBOV2_78700.10, SBOV2_78700.2, SBOV2_78700.8, SBOV2_78700.1, SBOV2_78700.6, SBOV2_78700.4, SBOV2_78700.5
OG0000881	SGUI1_91140.1, SGUI1_91140.2	SBOV2_89820.1
OG0000882	SGUI1_21730.1	SBOV2_21540.1
OG0000882	SGUI1_40080.1	SBOV2_27680.1
OG0000883	SGUI1_40070.5, SGUI1_40070.8, SGUI1_40070.1, SGUI1_40070.6, SGUI1_40070.9, SGUI1_40070.3, SGUI1_40070.7, SGUI1_40070.4, SGUI1_40070.2	SBOV2_27690.1
OG0000884	SGUI1_39330.6, SGUI1_39330.9, SGUI1_39330.8, SGUI1_39330.7, SGUI1_39330.3, SGUI1_39330.5, SGUI1_39330.1, SGUI1_39330.2, SGUI1_39330.4	SBOV2_28380.10, SBOV2_28380.8, SBOV2_28380.9, SBOV2_28380.1, SBOV2_28380.3, SBOV2_28380.2, SBOV2_28380.5, SBOV2_28380.6, SBOV2_28380.7, SBOV2_28380.4
OG0000885	SGUI1_92890.1, SGUI1_92920.1, SGUI1_92930.1, SGUI1_92930.2, SGUI1_92930.3, SGUI1_92930.4	SBOV2_92040.1, SBOV2_92040.2
OG0000885	SGUI1_190.1, SGUI1_190.2, SGUI1_190.4, SGUI1_190.5, SGUI1_190.3	SBOV2_120.1, SBOV2_56610.1
OG0000887	SGUI1_19220.3, SGUI1_19220.2, SGUI1_19220.5, SGUI1_19220.1, SGUI1_19220.6, SGUI1_19220.4	SBOV2_19090.1, SBOV2_19090.3, SBOV2_19090.6, SBOV2_19090.2, SBOV2_19090.5, SBOV2_19090.7, SBOV2_19090.8, SBOV2_19090.4
OG0000888	SGUI1_79170.1, SGUI1_79170.2	SBOV2_77790.1
OG0000888	SGUI1_79190.1	SBOV2_77800.1
OG0000889	SGUI1_27460.1, SGUI1_27460.2	SBOV2_39840.4, SBOV2_39840.9, SBOV2_39840.8, SBOV2_39840.5, SBOV2_39840.7, SBOV2_39840.3, SBOV2_39840.10, SBOV2_39840.11, SBOV2_39840.1, SBOV2_39840.2, SBOV2_39840.6
OG0000890	SGUI1_40880.1	SBOV2_26930.1
OG0000891	SGUI1_37130.1	SBOV2_30410.1
OG0000891	SGUI1_37130.10	SBOV2_30410.1
OG0000891	SGUI1_37130.11	SBOV2_30410.1
OG0000891	SGUI1_37130.13	SBOV2_30410.1
OG0000891	SGUI1_37130.2	SBOV2_30410.1
OG0000891	SGUI1_37130.3	SBOV2_30410.1
OG0000891	SGUI1_37130.4	SBOV2_30410.1
OG0000891	SGUI1_37130.7	SBOV2_30410.1
OG0000891	SGUI1_37130.8	SBOV2_30410.1
OG0000891	SGUI1_37130.9	SBOV2_30410.1
OG0000892	SGUI1_52120.1	SBOV2_53570.5, SBOV2_53570.3, SBOV2_53570.2, SBOV2_53570.1, SBOV2_53570.4
OG0000894	SGUI1_88150.1	SBOV2_86900.1
OG0000895	SGUI1_44010.1, SGUI1_44010.2	SBOV2_43160.2, SBOV2_43160.1, SBOV2_43160.3, SBOV2_43160.4
OG0000896	SGUI1_19740.1	SBOV2_20440.1, SBOV2_20440.2
OG0000897	SGUI1_9340.1	SBOV2_9850.1
OG0000898	SGUI1_72360.1	SBOV2_71330.1
OG0000899	SGUI1_14110.1	SBOV2_14110.2, SBOV2_14110.1, SBOV2_14110.6, SBOV2_14110.3, SBOV2_14110.7, SBOV2_14110.4, SBOV2_14110.5
OG0000900	SGUI1_3610.1	SBOV2_3650.1
OG0000900	SGUI1_3620.1	SBOV2_3660.1
OG0000901	SGUI1_62990.2, SGUI1_62990.6	SBOV2_62100.2, SBOV2_62100.3
OG0000901	SGUI1_62990.1, SGUI1_62990.4, SGUI1_62990.5, SGUI1_62990.3	SBOV2_62100.1
OG0000902	SGUI1_55410.6, SGUI1_55410.7, SGUI1_55410.1, SGUI1_55410.2, SGUI1_55410.3, SGUI1_55410.4, SGUI1_55410.5	SBOV2_50420.1, SBOV2_50420.2, SBOV2_50420.3, SBOV2_50420.4, SBOV2_50420.5
OG0000903	SGUI1_15100.1	SBOV2_15040.4, SBOV2_15040.5, SBOV2_15040.8, SBOV2_15040.1, SBOV2_15040.2, SBOV2_15040.3, SBOV2_15040.6, SBOV2_15040.7, SBOV2_15040.9
OG0000905	SGUI1_79340.4, SGUI1_79340.5, SGUI1_79340.7, SGUI1_79340.8, SGUI1_79340.9, SGUI1_79340.1, SGUI1_79340.2, SGUI1_79340.6	SBOV2_77950.1
OG0000906	SGUI1_64320.1, SGUI1_64320.2, SGUI1_64320.3, SGUI1_64320.4, SGUI1_64320.5	SBOV2_63400.5, SBOV2_63400.1, SBOV2_63400.6, SBOV2_63400.2, SBOV2_63400.3, SBOV2_63400.4
OG0000907	SGUI1_74940.1	SBOV2_73690.1
OG0000908	SGUI1_26430.1	SBOV2_40930.1
OG0000908	SGUI1_26420.1	SBOV2_40940.1
OG0000910	SGUI1_7600.2, SGUI1_7600.3, SGUI1_7600.7, SGUI1_7600.1, SGUI1_7600.4, SGUI1_7600.5, SGUI1_7600.6	SBOV2_7260.1, SBOV2_7260.2, SBOV2_7260.3, SBOV2_7260.4, SBOV2_7260.7, SBOV2_7260.5, SBOV2_7260.6, SBOV2_7260.8
OG0000911	SGUI1_58590.1, SGUI1_58590.2, SGUI1_58590.3, SGUI1_58590.4	SBOV2_57680.1
OG0000913	SGUI1_31240.1	SBOV2_36170.1, SBOV2_36170.2
OG0000914	SGUI1_38410.5, SGUI1_38410.1, SGUI1_38410.4, SGUI1_38410.2, SGUI1_38410.3	SBOV2_29180.5
OG0000915	SGUI1_29300.4, SGUI1_29300.2, SGUI1_29300.5	SBOV2_38070.3
OG0000915	SGUI1_29300.1	SBOV2_38070.1
OG0000915	SGUI1_29300.3	SBOV2_38070.2
OG0000916	SGUI1_39590.4, SGUI1_39590.6, SGUI1_39590.10, SGUI1_39590.11, SGUI1_39590.12, SGUI1_39590.3, SGUI1_39590.8, SGUI1_39590.1, SGUI1_39590.9, SGUI1_39590.7, SGUI1_39590.2, SGUI1_39590.5	SBOV2_28150.1
OG0000917	SGUI1_84660.3, SGUI1_84660.1, SGUI1_84660.2	SBOV2_83410.1, SBOV2_83410.2, SBOV2_83410.3, SBOV2_83410.4
OG0000918	SGUI1_26510.1	SBOV2_40830.1, SBOV2_40830.3, SBOV2_40830.5, SBOV2_40830.6, SBOV2_40830.7, SBOV2_40830.2, SBOV2_40830.4, SBOV2_40830.8
OG0000919	SGUI1_84810.1	SBOV2_83650.1
OG0000920	SGUI1_95280.6, SGUI1_95280.4, SGUI1_95280.1, SGUI1_95280.5	SBOV2_93930.1
OG0000921	SGUI1_43460.1, SGUI1_43460.3, SGUI1_43460.6, SGUI1_43460.2, SGUI1_43460.4, SGUI1_43460.5, SGUI1_43460.7, SGUI1_43460.8	SBOV2_42700.1, SBOV2_42700.2, SBOV2_42700.5, SBOV2_42700.4, SBOV2_42700.3
OG0000922	SGUI1_6530.1	SBOV2_6790.1
OG0000922	SGUI1_6520.1	SBOV2_6780.1, SBOV2_6780.3, SBOV2_6780.2
OG0000923	SGUI1_41510.1	SBOV2_26340.1
OG0000923	SGUI1_93540.3	SBOV2_92160.3, SBOV2_92160.4
OG0000925	SGUI1_16000.2, SGUI1_16000.1, SGUI1_16000.3, SGUI1_16000.4	SBOV2_15960.1
OG0000926	SGUI1_26850.1, SGUI1_26850.4, SGUI1_26850.2, SGUI1_26850.3	SBOV2_40520.1, SBOV2_40520.2, SBOV2_40520.3, SBOV2_40520.4
OG0000926	SGUI1_26770.4, SGUI1_26770.1, SGUI1_26770.3, SGUI1_26770.2	SBOV2_40530.1, SBOV2_40530.3, SBOV2_40530.2, SBOV2_40530.4
OG0000927	SGUI1_21030.1	SBOV2_19180.1
OG0000928	SGUI1_32050.1	SBOV2_35360.1
OG0000928	SGUI1_32040.1	SBOV2_35370.1
OG0000929	SGUI1_65340.1, SGUI1_65340.2, SGUI1_65340.3, SGUI1_65340.4, SGUI1_65340.6, SGUI1_65340.7, SGUI1_65340.5	SBOV2_64470.1, SBOV2_64470.3, SBOV2_64470.2
OG0000930	SGUI1_42400.1, SGUI1_42400.6, SGUI1_42400.7	SBOV2_41570.6, SBOV2_41570.5
OG0000930	SGUI1_42400.2, SGUI1_42400.3, SGUI1_42400.4, SGUI1_42400.5	SBOV2_41570.1, SBOV2_41570.2, SBOV2_41570.3, SBOV2_41570.4
OG0000931	SGUI1_71740.1	SBOV2_70760.2
OG0000931	SGUI1_71740.2, SGUI1_71740.3	SBOV2_70760.1
OG0000932	SGUI1_1140.1, SGUI1_1140.2, SGUI1_1140.3, SGUI1_1140.4, SGUI1_1140.5, SGUI1_1140.6, SGUI1_1140.7	SBOV2_1170.1, SBOV2_1170.2, SBOV2_1170.4, SBOV2_1170.3
OG0000933	SGUI1_39690.5, SGUI1_39690.3, SGUI1_39690.4, SGUI1_39690.1, SGUI1_39690.2	SBOV2_28040.1
OG0000934	SGUI1_9420.1	SBOV2_9940.3, SBOV2_9940.1, SBOV2_9940.4, SBOV2_9940.2
OG0000935	SGUI1_64700.5, SGUI1_64700.6, SGUI1_64700.2, SGUI1_64700.10, SGUI1_64700.11, SGUI1_64700.12, SGUI1_64700.3, SGUI1_64700.4, SGUI1_64700.7, SGUI1_64700.9, SGUI1_64700.14, SGUI1_64700.8	SBOV2_63760.1
OG0000935	SGUI1_64700.1, SGUI1_64700.13, SGUI1_64700.15	SBOV2_63770.1
OG0000936	SGUI1_94360.1	SBOV2_92970.1, SBOV2_92970.3, SBOV2_92970.2
OG0000937	SGUI1_54490.1, SGUI1_54490.2, SGUI1_54490.6, SGUI1_54490.3, SGUI1_54490.4, SGUI1_54490.5	SBOV2_51350.3, SBOV2_51350.1, SBOV2_51350.2, SBOV2_51350.4, SBOV2_51350.5
OG0000938	SGUI1_60190.1, SGUI1_60190.2, SGUI1_60190.6, SGUI1_60190.3, SGUI1_60190.4, SGUI1_60190.7, SGUI1_60190.5	SBOV2_59300.1, SBOV2_59300.2
OG0000939	SGUI1_87380.1, SGUI1_87380.3, SGUI1_87380.4, SGUI1_87380.2	SBOV2_86150.3, SBOV2_86150.1, SBOV2_86150.2
OG0000940	SGUI1_5430.1, SGUI1_5430.2, SGUI1_5430.3, SGUI1_5430.5, SGUI1_5430.4	SBOV2_5760.1, SBOV2_5760.2, SBOV2_5760.3, SBOV2_5760.4
OG0000941	SGUI1_31880.4, SGUI1_31880.3, SGUI1_31880.1, SGUI1_31880.2	SBOV2_35550.1
OG0000942	SGUI1_15610.4	SBOV2_15580.4, SBOV2_15580.3, SBOV2_15580.7
OG0000943	SGUI1_28400.2, SGUI1_28400.4, SGUI1_28400.1, SGUI1_28400.3	SBOV2_38880.1, SBOV2_38880.2
OG0000944	SGUI1_58360.2, SGUI1_58360.3	SBOV2_57480.1, SBOV2_57480.3, SBOV2_57480.4, SBOV2_57480.2
OG0000945	SGUI1_10480.1	SBOV2_11120.1, SBOV2_11120.2, SBOV2_11120.3, SBOV2_11120.4, SBOV2_11120.7, SBOV2_11120.8, SBOV2_11120.5, SBOV2_11120.6
OG0000946	SGUI1_8070.1	SBOV2_8580.7, SBOV2_8580.5, SBOV2_8580.6, SBOV2_8580.3, SBOV2_8580.4, SBOV2_8580.8, SBOV2_8580.1, SBOV2_8580.2, SBOV2_8580.9
OG0000947	SGUI1_38720.1, SGUI1_38720.10, SGUI1_38720.11, SGUI1_38720.2, SGUI1_38720.3, SGUI1_38720.4, SGUI1_38720.5, SGUI1_38720.6, SGUI1_38720.7, SGUI1_38720.8, SGUI1_38720.9	SBOV2_28890.1, SBOV2_28890.2, SBOV2_28890.3, SBOV2_28890.4, SBOV2_28890.5, SBOV2_28890.6, SBOV2_28890.7
OG0000948	SGUI1_81600.1, SGUI1_81600.2	SBOV2_80830.1, SBOV2_80830.2, SBOV2_80830.3, SBOV2_80830.4
OG0000949	SGUI1_15780.1, SGUI1_15790.1	SBOV2_15760.1, SBOV2_15770.1
OG0000949	SGUI1_15770.1	SBOV2_15750.1
OG0000950	SGUI1_53510.1	SBOV2_52270.1
OG0000951	SGUI1_93470.2, SGUI1_93470.3	SBOV2_92110.1
OG0000951	SGUI1_93470.1	SBOV2_92110.2
OG0000952	SGUI1_29260.1	SBOV2_38110.1, SBOV2_38110.2, SBOV2_38110.3, SBOV2_38110.4, SBOV2_38110.5, SBOV2_38110.6, SBOV2_38110.7, SBOV2_38110.9
OG0000953	SGUI1_63110.2	SBOV2_62230.2
OG0000953	SGUI1_63110.3	SBOV2_62230.2
OG0000953	SGUI1_63110.2	SBOV2_62230.3
OG0000953	SGUI1_63110.3	SBOV2_62230.3
OG0000954	SGUI1_81070.1	SBOV2_79630.1, SBOV2_79630.2
OG0000955	SGUI1_11640.1	SBOV2_12310.3, SBOV2_12310.4, SBOV2_12310.5, SBOV2_12310.1
OG0000955	SGUI1_11640.2	SBOV2_12310.2, SBOV2_12310.6, SBOV2_12310.7
OG0000958	SGUI1_12990.1	SBOV2_13390.1, SBOV2_13390.2
OG0000959	SGUI1_70240.3	SBOV2_69340.2
OG0000959	SGUI1_70240.4, SGUI1_70240.5, SGUI1_70240.6	SBOV2_69340.3, SBOV2_69340.4, SBOV2_69340.5, SBOV2_69340.6
OG0000959	SGUI1_70240.7	SBOV2_69340.8
OG0000960	SGUI1_22290.1, SGUI1_22290.4, SGUI1_22290.3, SGUI1_22290.5, SGUI1_22290.2	SBOV2_22080.1
OG0000961	SGUI1_38760.2	SBOV2_28860.2, SBOV2_28860.4, SBOV2_28860.5, SBOV2_28860.3
OG0000962	SGUI1_74920.1	SBOV2_73670.1
OG0000963	SGUI1_2520.1	SBOV2_2500.1, SBOV2_2500.3, SBOV2_2500.4, SBOV2_2500.6, SBOV2_2500.2, SBOV2_2500.5, SBOV2_2500.7
OG0000964	SGUI1_40630.1	SBOV2_27150.3, SBOV2_27150.1, SBOV2_27150.2, SBOV2_27150.4
OG0000965	SGUI1_63830.9, SGUI1_63830.7, SGUI1_63830.8, SGUI1_63830.4, SGUI1_63830.5, SGUI1_63830.6, SGUI1_63830.3, SGUI1_63830.1, SGUI1_63830.2	SBOV2_62970.1, SBOV2_62970.2
OG0000966	SGUI1_36100.1, SGUI1_36100.2, SGUI1_36100.3, SGUI1_36100.4	SBOV2_31460.1, SBOV2_31460.2, SBOV2_31460.3
OG0000966	SGUI1_49100.1	SBOV2_48420.2, SBOV2_48420.3, SBOV2_48420.1
OG0000967	SGUI1_35250.1	SBOV2_32250.1, SBOV2_32250.2
OG0000968	SGUI1_2760.1	SBOV2_2890.3, SBOV2_2890.4, SBOV2_2890.5
OG0000969	SGUI1_81740.2, SGUI1_81740.4, SGUI1_81740.1, SGUI1_81740.3	SBOV2_80720.1
OG0000970	SGUI1_69920.1	SBOV2_68960.1
OG0000971	SGUI1_1930.1	SBOV2_1930.1
OG0000973	SGUI1_23750.1	SBOV2_23590.1
OG0000974	SGUI1_55770.1, SGUI1_55770.2, SGUI1_55770.3	SBOV2_50060.4, SBOV2_50060.3, SBOV2_50060.1, SBOV2_50060.2
OG0000975	SGUI1_5560.1	SBOV2_5910.5, SBOV2_5910.1, SBOV2_5910.2, SBOV2_5910.3, SBOV2_5910.4
OG0000976	SGUI1_9520.1, SGUI1_9520.2	SBOV2_10060.3
OG0000977	SGUI1_11110.1	SBOV2_11850.2, SBOV2_11850.1
OG0000978	SGUI1_19870.1	SBOV2_20320.1
OG0000979	SGUI1_73980.4, SGUI1_73980.3, SGUI1_73980.2, SGUI1_73980.1	SBOV2_72860.2, SBOV2_72860.1, SBOV2_72860.3
OG0000980	SGUI1_52200.4, SGUI1_52200.6, SGUI1_52200.2, SGUI1_52200.5, SGUI1_52200.3, SGUI1_52200.1	SBOV2_53490.1, SBOV2_53490.2, SBOV2_53490.3
OG0000981	SGUI1_40050.4, SGUI1_40050.5, SGUI1_40050.3, SGUI1_40050.1	SBOV2_27710.1
OG0000982	SGUI1_64770.1, SGUI1_64770.4	SBOV2_63840.4
OG0000983	SGUI1_15280.1	SBOV2_15220.1
OG0000984	SGUI1_34650.2	SBOV2_32840.4, SBOV2_32840.6, SBOV2_32840.5
OG0000984	SGUI1_34650.6, SGUI1_34650.3, SGUI1_34650.1, SGUI1_34650.4, SGUI1_34650.5	SBOV2_32840.3, SBOV2_32840.1, SBOV2_32840.2
OG0000985	SGUI1_15750.4, SGUI1_15750.5, SGUI1_15750.6, SGUI1_15750.1, SGUI1_15750.2, SGUI1_15750.3	SBOV2_15730.2, SBOV2_15730.3, SBOV2_15730.9, SBOV2_15730.1, SBOV2_15730.10, SBOV2_15730.4, SBOV2_15730.5, SBOV2_15730.6, SBOV2_15730.7, SBOV2_15730.8
OG0000986	SGUI1_73070.2, SGUI1_73070.3, SGUI1_73070.4, SGUI1_73070.5	SBOV2_72030.5, SBOV2_72030.2, SBOV2_72030.3, SBOV2_72030.1, SBOV2_72030.4
OG0000987	SGUI1_83820.1, SGUI1_83820.2, SGUI1_83820.3, SGUI1_83820.4, SGUI1_83820.5, SGUI1_83820.7, SGUI1_83820.8, SGUI1_83820.6	SBOV2_82510.1, SBOV2_82510.2, SBOV2_82510.3, SBOV2_82510.4
OG0000988	SGUI1_57380.1	SBOV2_56170.4
OG0000988	SGUI1_57380.3	SBOV2_56170.3, SBOV2_56170.7, SBOV2_56170.8
OG0000988	SGUI1_57380.2, SGUI1_57380.4	SBOV2_56160.1
OG0000989	SGUI1_51540.1	SBOV2_54140.3
OG0000990	SGUI1_4520.1	SBOV2_4760.1
OG0000991	SGUI1_59170.1	SBOV2_58340.15, SBOV2_58340.11, SBOV2_58340.10, SBOV2_58340.3, SBOV2_58340.8, SBOV2_58340.16, SBOV2_58340.9, SBOV2_58340.2, SBOV2_58340.17, SBOV2_58340.1, SBOV2_58340.6, SBOV2_58340.12, SBOV2_58340.13, SBOV2_58340.4, SBOV2_58340.14, SBOV2_58340.5, SBOV2_58340.7
OG0000992	SGUI1_44280.1	SBOV2_43520.1
OG0000993	SGUI1_78560.2, SGUI1_78560.1, SGUI1_78560.3	SBOV2_77160.2, SBOV2_77160.3, SBOV2_77160.1
OG0000994	SGUI1_33690.1, SGUI1_33690.2	SBOV2_33740.2, SBOV2_33740.3, SBOV2_33740.4, SBOV2_33740.1, SBOV2_33740.9, SBOV2_33740.8, SBOV2_33740.5, SBOV2_33740.6, SBOV2_33740.7
OG0000995	SGUI1_80930.1, SGUI1_80930.2, SGUI1_80930.3	SBOV2_79480.1, SBOV2_79480.2, SBOV2_79480.4
OG0000996	SGUI1_64900.8, SGUI1_64900.5, SGUI1_64900.6, SGUI1_64900.7, SGUI1_64900.4, SGUI1_64900.3, SGUI1_64900.1, SGUI1_64900.2	SBOV2_63980.1, SBOV2_63980.2, SBOV2_63980.3, SBOV2_63980.4, SBOV2_63980.5
OG0000997	SGUI1_89190.6, SGUI1_89190.3	SBOV2_89340.10, SBOV2_89340.7, SBOV2_89340.8, SBOV2_89340.9
OG0000998	SGUI1_55980.1	SBOV2_55040.1
OG0001003	SGUI1_32470.1, SGUI1_32470.2	SBOV2_35430.1
OG0001004	SGUI1_15400.1, SGUI1_15400.10, SGUI1_15400.11, SGUI1_15400.12, SGUI1_15400.13, SGUI1_15400.14, SGUI1_15400.3, SGUI1_15400.4, SGUI1_15400.6, SGUI1_15400.7, SGUI1_15400.2, SGUI1_15400.5, SGUI1_15400.8, SGUI1_15400.9	SBOV2_15340.1, SBOV2_15340.11, SBOV2_15340.12, SBOV2_15340.13, SBOV2_15340.2, SBOV2_15340.3, SBOV2_15340.4, SBOV2_15340.5, SBOV2_15340.6, SBOV2_15340.7, SBOV2_15340.8, SBOV2_15340.9, SBOV2_15340.10
OG0001005	SGUI1_4460.1, SGUI1_4460.2, SGUI1_4460.3	SBOV2_4660.1, SBOV2_4660.2, SBOV2_4660.3, SBOV2_4660.4, SBOV2_4660.5, SBOV2_4660.6
OG0001008	SGUI1_59860.3, SGUI1_59860.2	SBOV2_58970.1
OG0001009	SGUI1_88380.7	SBOV2_87130.3, SBOV2_87130.4
OG0001009	SGUI1_88380.5, SGUI1_88380.6, SGUI1_88380.2, SGUI1_88380.3, SGUI1_88380.1, SGUI1_88380.4	SBOV2_87130.1, SBOV2_87130.2
OG0001010	SGUI1_60710.1, SGUI1_60710.2, SGUI1_60710.4, SGUI1_60710.5, SGUI1_60710.6, SGUI1_60710.3, SGUI1_60710.7	SBOV2_59860.4, SBOV2_59860.5, SBOV2_59860.6, SBOV2_59860.2, SBOV2_59860.3, SBOV2_59860.1, SBOV2_59860.7
OG0001012	SGUI1_4850.1	SBOV2_5140.2, SBOV2_5140.3, SBOV2_5140.4, SBOV2_5140.5, SBOV2_5140.7, SBOV2_5140.1, SBOV2_5140.6
OG0001013	SGUI1_13210.1	SBOV2_13510.2, SBOV2_13510.3, SBOV2_13510.4, SBOV2_13510.1
OG0001014	SGUI1_3990.1, SGUI1_3990.2, SGUI1_3990.3, SGUI1_3990.5, SGUI1_3990.4	SBOV2_4070.1
OG0001015	SGUI1_38250.1	SBOV2_29360.2, SBOV2_29360.3, SBOV2_29360.4, SBOV2_29360.1
OG0001016	SGUI1_37560.1	SBOV2_30010.1, SBOV2_30010.2
OG0001017	SGUI1_15250.1	SBOV2_15200.1, SBOV2_15200.2, SBOV2_15200.3
OG0001018	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1	SBOV2_37900.1
OG0001018	SGUI1_29470.4, SGUI1_29470.5	SBOV2_37900.2
OG0001019	SGUI1_42210.1	SBOV2_25690.1
OG0001020	SGUI1_10040.1	SBOV2_10640.1, SBOV2_10640.2, SBOV2_10640.3
OG0001021	SGUI1_29250.1	SBOV2_38130.2, SBOV2_38130.4, SBOV2_38130.5, SBOV2_38130.3, SBOV2_38130.1
OG0001023	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3	SBOV2_62660.1
OG0001024	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9	SBOV2_77300.1, SBOV2_77300.3, SBOV2_77300.5, SBOV2_77300.6, SBOV2_77300.2, SBOV2_77300.4, SBOV2_77300.7, SBOV2_77300.8
OG0001025	SGUI1_88800.1	SBOV2_87560.1, SBOV2_87560.2, SBOV2_87560.3
OG0001026	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3	SBOV2_48960.1
