Orthogroup	schistosoma_spindale	schmidtea_mediterranea
OG0000728	SSPN1_46840.3, SSPN1_46840.8, SSPN1_46840.4, SSPN1_46840.5, SSPN1_46840.6, SSPN1_46840.1, SSPN1_46840.2, SSPN1_46840.7	h1SMcT0017035.1
OG0000729	SSPN1_8730.1	h1SMcT0016744.1, h1SMcT0016744.2
OG0000730	SSPN1_64170.4, SSPN1_64170.5, SSPN1_64170.2, SSPN1_64170.7, SSPN1_64170.3, SSPN1_64170.6, SSPN1_64170.1, SSPN1_64170.8	h1SMcT0010082.1, h1SMcT0010082.2, h1SMcT0010082.3
OG0000731	SSPN1_73410.1, SSPN1_73410.2	h1SMcT0010461.1, h1SMcT0010461.3, h1SMcT0010461.2, h1SMcT0010461.4
OG0000732	SSPN1_3400.1	h1SMcT0008186.1
OG0000733	SSPN1_2800.3, SSPN1_2800.1, SSPN1_2800.2	h1SMcT0021193.1
OG0000736	SSPN1_75190.1, SSPN1_75190.2, SSPN1_75190.3	h1SMcT0016952.1, h1SMcT0016952.2
OG0000738	SSPN1_67170.2, SSPN1_67170.3, SSPN1_67170.1, SSPN1_67160.1	h1SMcT0008294.1
OG0000739	SSPN1_54850.1, SSPN1_54850.3, SSPN1_54850.2, SSPN1_54850.4	h1SMcT0014531.1
OG0000740	SSPN1_8270.1	h1SMcT0010959.1
OG0000741	SSPN1_81200.1, SSPN1_81200.2	h1SMcT0004042.1, h1SMcT0004042.2
OG0000743	SSPN1_21860.1	h1SMcT0003842.2
OG0000744	SSPN1_3510.2, SSPN1_3510.7, SSPN1_3510.1, SSPN1_3510.3, SSPN1_3510.4, SSPN1_3510.5, SSPN1_3510.6	h1SMcT0004810.1, h1SMcT0004810.5, h1SMcT0004810.3, h1SMcT0004810.4, h1SMcT0004810.2
OG0000745	SSPN1_32920.1, SSPN1_32920.2	h1SMcT0000463.1
OG0000746	SSPN1_63490.1	h1SMcT0008650.12, h1SMcT0008650.22, h1SMcT0008650.24, h1SMcT0008650.8, h1SMcT0008650.4, h1SMcT0008650.20, h1SMcT0008650.16, h1SMcT0008650.11, h1SMcT0008650.3, h1SMcT0008650.9, h1SMcT0008650.7, h1SMcT0008650.13, h1SMcT0008650.17, h1SMcT0008650.15, h1SMcT0008650.21, h1SMcT0008650.6, h1SMcT0008650.19, h1SMcT0008650.14, h1SMcT0008650.1, h1SMcT0008650.2, h1SMcT0008650.18, h1SMcT0008650.10, h1SMcT0008650.5, h1SMcT0008650.23
OG0000747	SSPN1_41480.6, SSPN1_41480.3, SSPN1_41480.4, SSPN1_41480.5, SSPN1_41480.2, SSPN1_41480.7, SSPN1_41480.1	h1SMcT0015570.1, h1SMcT0013888.1, h1SMcT0013888.2
OG0000748	SSPN1_67550.1, SSPN1_67550.2, SSPN1_66900.1	h1SMcT0021267.1, h1SMcT0021267.2, h1SMcT0021882.3, h1SMcT0021882.1, h1SMcT0021882.2, h1SMcT0021882.4
OG0000749	SSPN1_66970.1	h1SMcT0014961.3, h1SMcT0014961.1, h1SMcT0014961.2
OG0000750	SSPN1_71530.1, SSPN1_71530.3, SSPN1_71530.5, SSPN1_71530.4, SSPN1_71530.6, SSPN1_71530.2	h1SMcT0017309.2, h1SMcT0017309.3, h1SMcT0017309.1
OG0000751	SSPN1_5380.1, SSPN1_2540.1, SSPN1_2540.2, SSPN1_2540.4, SSPN1_2540.3, SSPN1_2470.1, SSPN1_2540.5	h1SMcT0016766.1, h1SMcT0019426.1, h1SMcT0002043.1, h1SMcT0002054.1
OG0000752	SSPN1_89130.1, SSPN1_89080.1	h1SMcT0008944.1, h1SMcT0013028.1, h1SMcT0013029.1, h1SMcT0016615.1, h1SMcT0015880.1
OG0000753	SSPN1_79820.7, SSPN1_79820.8, SSPN1_79820.1, SSPN1_79820.10, SSPN1_79820.2, SSPN1_79810.1, SSPN1_79820.6, SSPN1_79820.9, SSPN1_79820.3, SSPN1_79820.4, SSPN1_79820.5	h1SMcT0001067.3
OG0000754	SSPN1_48690.1, SSPN1_48690.2, SSPN1_48690.3	h1SMcT0013180.2, h1SMcT0013180.1, h1SMcT0013180.3
OG0000755	SSPN1_72660.2, SSPN1_72660.1, SSPN1_72660.3	h1SMcT0000011.1, h1SMcT0015157.1
OG0000756	SSPN1_31970.3, SSPN1_31970.4, SSPN1_31970.1, SSPN1_31970.2, SSPN1_31970.5	h1SMcT0015447.1
OG0000757	SSPN1_50830.1, SSPN1_50830.3, SSPN1_50830.2, SSPN1_50830.4, SSPN1_50830.5	h1SMcT0005050.8, h1SMcT0005050.5, h1SMcT0005050.3, h1SMcT0005050.4, h1SMcT0005050.7
OG0000760	SSPN1_75800.1	h1SMcT0006973.1
OG0000761	SSPN1_51930.1, SSPN1_51930.2	h1SMcT0013573.1
OG0000762	SSPN1_78930.1	h1SMcT0004438.1, h1SMcT0004438.2, h1SMcT0001956.1
OG0000762	SSPN1_84260.1, SSPN1_84260.2, SSPN1_84260.3	h1SMcT0020895.1, h1SMcT0004793.1, h1SMcT0004793.2
OG0000763	SSPN1_12480.1, SSPN1_12480.2, SSPN1_12480.3	h1SMcT0003782.1
OG0000764	SSPN1_8950.4, SSPN1_8950.2, SSPN1_8950.5, SSPN1_8950.1, SSPN1_8950.3, SSPN1_8950.6	h1SMcT0013512.1, h1SMcT0013512.2
OG0000765	SSPN1_51250.1, SSPN1_51260.1, SSPN1_51260.2	h1SMcT0001915.2, h1SMcT0001915.3
OG0000766	SSPN1_61050.5, SSPN1_61050.1, SSPN1_61050.7, SSPN1_61050.8, SSPN1_61050.6, SSPN1_61050.3, SSPN1_61050.4, SSPN1_61050.2	h1SMcT0011470.1
OG0000767	SSPN1_59340.3, SSPN1_59340.5, SSPN1_59340.1, SSPN1_59340.2, SSPN1_59340.4	h1SMcT0001545.1, h1SMcT0016721.3, h1SMcT0016721.1, h1SMcT0016721.2
OG0000768	SSPN1_31000.1	h1SMcT0021396.1, h1SMcT0021396.2
OG0000770	SSPN1_10660.1, SSPN1_10660.2	h1SMcT0001664.1, h1SMcT0001664.2
OG0000771	SSPN1_76980.1, SSPN1_77000.1, SSPN1_77010.1, SSPN1_77020.1	h1SMcT0011512.1
OG0000772	SSPN1_13930.1, SSPN1_93240.1, SSPN1_13940.1, SSPN1_13950.1, SSPN1_13960.1, SSPN1_13970.1, SSPN1_11970.1	h1SMcT0004399.3, h1SMcT0004399.1, h1SMcT0004399.2
OG0000773	SSPN1_24700.1, SSPN1_24690.1	h1SMcT0017259.3, h1SMcT0017259.2, h1SMcT0017259.1
OG0000774	SSPN1_45610.1, SSPN1_45610.3, SSPN1_45610.2	h1SMcT0003510.1
OG0000776	SSPN1_44300.1, SSPN1_54730.1	h1SMcT0022578.1
OG0000777	SSPN1_50490.1	h1SMcT0018313.1, h1SMcT0006394.1, h1SMcT0006394.2
OG0000778	SSPN1_22210.6, SSPN1_22210.5, SSPN1_22210.2, SSPN1_22210.3, SSPN1_22210.4, SSPN1_22210.1, SSPN1_22230.1	h1SMcT0010991.3, h1SMcT0010991.1, h1SMcT0010991.4, h1SMcT0010991.2
OG0000779	SSPN1_3610.5, SSPN1_3610.2, SSPN1_3610.3, SSPN1_3610.4, SSPN1_3610.1	h1SMcT0013585.1, h1SMcT0013585.4, h1SMcT0013585.3, h1SMcT0013585.2, h1SMcT0013585.5, h1SMcT0006377.4, h1SMcT0006377.3, h1SMcT0006377.1, h1SMcT0006377.2, h1SMcT0010855.1, h1SMcT0010855.2
OG0000780	SSPN1_15710.1, SSPN1_15710.2	h1SMcT0021164.1, h1SMcT0021164.2, h1SMcT0021164.5, h1SMcT0021164.3, h1SMcT0021164.4
OG0000781	SSPN1_19310.1	h1SMcT0022513.1, h1SMcT0022513.2, h1SMcT0022513.3
OG0000781	SSPN1_810.1	h1SMcT0007825.1, h1SMcT0007825.2, h1SMcT0007825.3, h1SMcT0007825.4, h1SMcT0007825.5, h1SMcT0002376.1, h1SMcT0021957.1, h1SMcT0005745.1, h1SMcT0005745.2
OG0000782	SSPN1_39190.1	h1SMcT0016917.1, h1SMcT0016917.3, h1SMcT0016917.4, h1SMcT0016917.7, h1SMcT0016917.5, h1SMcT0016917.2
OG0000783	SSPN1_48950.1	h1SMcT0001660.1, h1SMcT0001660.2
OG0000784	SSPN1_30480.1	h1SMcT0005749.1, h1SMcT0005749.2
OG0000786	SSPN1_39480.3, SSPN1_39480.4, SSPN1_39480.1, SSPN1_39480.5, SSPN1_39480.6, SSPN1_39480.2	h1SMcT0005490.2, h1SMcT0005490.3, h1SMcT0005490.1, h1SMcT0005490.4
OG0000787	SSPN1_89390.2, SSPN1_89390.3, SSPN1_89390.1, SSPN1_64620.1, SSPN1_64620.2	h1SMcT0014586.1, h1SMcT0010263.1, h1SMcT0010263.2
OG0000788	SSPN1_18080.7, SSPN1_18080.3, SSPN1_18080.4, SSPN1_18080.5, SSPN1_18080.2, SSPN1_18080.1, SSPN1_18080.6	h1SMcT0001702.1
OG0000790	SSPN1_31630.1, SSPN1_31630.2, SSPN1_31630.3	h1SMcT0008456.1, h1SMcT0008456.2
OG0000792	SSPN1_5540.4, SSPN1_5540.2, SSPN1_5540.6, SSPN1_5540.1, SSPN1_5540.5, SSPN1_5540.3	h1SMcT0018319.1, h1SMcT0016624.1, h1SMcT0016624.2, h1SMcT0006125.1, h1SMcT0014628.1
OG0000793	SSPN1_36730.6, SSPN1_36730.2, SSPN1_36730.4, SSPN1_36730.5, SSPN1_36730.1, SSPN1_36730.3, SSPN1_36730.7	h1SMcT0020639.1, h1SMcT0020639.3, h1SMcT0020639.5, h1SMcT0020639.4
OG0000794	SSPN1_20370.1, SSPN1_20370.2	h1SMcT0007112.1
OG0000795	SSPN1_91750.1	h1SMcT0016007.1, h1SMcT0016007.2
OG0000797	SSPN1_12770.1, SSPN1_12770.6, SSPN1_12770.2, SSPN1_12770.7, SSPN1_12770.3, SSPN1_12770.4, SSPN1_12770.5, SSPN1_12770.8	h1SMcT0015604.1, h1SMcT0015604.2
OG0000798	SSPN1_1250.1, SSPN1_1250.2	h1SMcT0021362.1, h1SMcT0021362.4, h1SMcT0021362.3, h1SMcT0021362.2
OG0000800	SSPN1_20440.1	h1SMcT0012033.2, h1SMcT0013420.1
OG0000801	SSPN1_15010.1, SSPN1_15010.3, SSPN1_15010.2, SSPN1_15010.4, SSPN1_15010.5	h1SMcT0003229.1, h1SMcT0014918.1
OG0000802	SSPN1_70450.1	h1SMcT0021221.1, h1SMcT0021221.2
OG0000802	SSPN1_56670.1	h1SMcT0009969.1, h1SMcT0009969.2, h1SMcT0019836.1, h1SMcT0019836.4, h1SMcT0019836.6, h1SMcT0019836.5, h1SMcT0019836.3, h1SMcT0019836.2
OG0000803	SSPN1_76200.1, SSPN1_76200.2, SSPN1_76200.3	h1SMcT0006070.1, h1SMcT0016640.1, h1SMcT0016640.3, h1SMcT0016640.2, h1SMcT0016640.4
OG0000804	SSPN1_40040.1, SSPN1_40040.2	h1SMcT0006574.1
OG0000805	SSPN1_34560.3, SSPN1_34560.1, SSPN1_34560.2, SSPN1_34560.4	h1SMcT0000629.2, h1SMcT0000629.1, h1SMcT0000629.3, h1SMcT0004055.1, h1SMcT0004055.2
OG0000806	SSPN1_70840.4, SSPN1_70840.1, SSPN1_70840.2, SSPN1_70840.3	h1SMcT0013921.2
OG0000807	SSPN1_20670.1, SSPN1_20670.2, SSPN1_20670.3	h1SMcT0018301.1, h1SMcT0018301.2
OG0000808	SSPN1_89970.1, SSPN1_89980.1, SSPN1_89980.2	h1SMcT0012563.1, h1SMcT0012563.2, h1SMcT0012563.3, h1SMcT0012563.4
OG0000809	SSPN1_87550.1	h1SMcT0009960.1, h1SMcT0009960.2, h1SMcT0009960.3
OG0000810	SSPN1_24060.1	h1SMcT0003091.1
OG0000811	SSPN1_19520.5, SSPN1_19520.1, SSPN1_19520.2, SSPN1_19520.3, SSPN1_19520.4	h1SMcT0010199.1
OG0000812	SSPN1_16630.1	h1SMcT0004071.1
OG0000813	SSPN1_83370.5, SSPN1_83370.2, SSPN1_83370.4, SSPN1_83370.6, SSPN1_83370.1, SSPN1_83370.10, SSPN1_83370.9, SSPN1_83370.7, SSPN1_83370.8, SSPN1_83370.3	h1SMcT0006829.3
OG0000814	SSPN1_60680.3, SSPN1_60680.4, SSPN1_60680.1, SSPN1_60680.2	h1SMcT0021195.1
OG0000815	SSPN1_64640.2, SSPN1_64640.1	h1SMcT0019063.1, h1SMcT0019063.2, h1SMcT0019063.3
OG0000816	SSPN1_80820.2, SSPN1_80820.3, SSPN1_80820.5, SSPN1_80820.1, SSPN1_80820.6, SSPN1_80820.4	h1SMcT0020527.1, h1SMcT0020527.2
OG0000818	SSPN1_19060.4, SSPN1_19060.5, SSPN1_19060.6, SSPN1_19060.3, SSPN1_19060.1, SSPN1_19060.2	h1SMcT0018089.1, h1SMcT0018089.4, h1SMcT0018089.2, h1SMcT0018089.3
OG0000819	SSPN1_59200.1, SSPN1_59200.2	h1SMcT0007829.1, h1SMcT0007829.2, h1SMcT0007826.3, h1SMcT0007826.1, h1SMcT0007826.2
OG0000820	SSPN1_26790.1, SSPN1_26800.1	h1SMcT0005498.1
OG0000823	SSPN1_51600.2, SSPN1_51600.1	h1SMcT0009958.1, h1SMcT0009958.2, h1SMcT0009958.3
OG0000823	SSPN1_89360.1	h1SMcT0005546.1, h1SMcT0005547.1
OG0000824	SSPN1_3010.5, SSPN1_3010.8, SSPN1_3010.1, SSPN1_3010.2, SSPN1_3010.6, SSPN1_3010.3, SSPN1_3010.4, SSPN1_3010.7	h1SMcT0021534.1, h1SMcT0019872.1, h1SMcT0019872.2, h1SMcT0001657.1, h1SMcT0001657.2
OG0000825	SSPN1_74240.1, SSPN1_74250.1	h1SMcT0010927.1
OG0000826	SSPN1_53440.1	h1SMcT0019928.1
OG0000827	SSPN1_72570.1	h1SMcT0015163.1
OG0000827	SSPN1_72560.1, SSPN1_72560.2	h1SMcT0022556.1, h1SMcT0022556.2
OG0000828	SSPN1_87330.1	h1SMcT0001350.1, h1SMcT0001350.3, h1SMcT0001350.2, h1SMcT0021319.1, h1SMcT0021317.1, h1SMcT0021317.2, h1SMcT0021317.3, h1SMcT0011631.1, h1SMcT0011608.1, h1SMcT0011624.1, h1SMcT0011620.1, h1SMcT0011630.1, h1SMcT0011612.1, h1SMcT0011623.1, h1SMcT0011613.1, h1SMcT0011618.1, h1SMcT0011619.1, h1SMcT0011621.1, h1SMcT0011625.1, h1SMcT0011626.1
OG0000830	SSPN1_47300.3, SSPN1_47300.1, SSPN1_47300.2	h1SMcT0009891.1, h1SMcT0018192.1, h1SMcT0018192.2
OG0000831	SSPN1_41160.2, SSPN1_41160.1, SSPN1_41160.3	h1SMcT0015193.1, h1SMcT0015193.2
OG0000832	SSPN1_63890.1	h1SMcT0018143.1, h1SMcT0018145.3, h1SMcT0018145.1, h1SMcT0018145.2
OG0000833	SSPN1_37650.1, SSPN1_37650.2, SSPN1_37650.3, SSPN1_37650.7, SSPN1_37650.4, SSPN1_37650.5, SSPN1_37650.6, SSPN1_37650.8	h1SMcT0001820.1, h1SMcT0001820.2
OG0000834	SSPN1_47160.2, SSPN1_47160.3, SSPN1_47160.1, SSPN1_47160.5, SSPN1_47160.4	h1SMcT0022269.1
OG0000835	SSPN1_32910.1	h1SMcT0010046.1, h1SMcT0010046.2
OG0000836	SSPN1_33600.5, SSPN1_33600.2, SSPN1_33600.1, SSPN1_33600.4, SSPN1_33600.3, SSPN1_33600.6	h1SMcT0014195.1, h1SMcT0015379.2, h1SMcT0017356.1, h1SMcT0017356.2
OG0000837	SSPN1_38520.1, SSPN1_56650.1	h1SMcT0016959.1
OG0000838	SSPN1_31870.1	h1SMcT0020983.1, h1SMcT0010597.3, h1SMcT0012064.2, h1SMcT0012064.1, h1SMcT0012064.17
OG0000839	SSPN1_32510.1, SSPN1_32510.2	h1SMcT0013664.2, h1SMcT0013664.1, h1SMcT0013664.7, h1SMcT0013664.4, h1SMcT0013664.3, h1SMcT0013664.5, h1SMcT0013664.6
OG0000840	SSPN1_67650.1	h1SMcT0013836.3, h1SMcT0013836.1, h1SMcT0013836.2
OG0000841	SSPN1_13010.2, SSPN1_13010.3, SSPN1_13010.1	h1SMcT0003475.1
OG0000842	SSPN1_57570.1, SSPN1_57840.3, SSPN1_57840.4, SSPN1_57840.1, SSPN1_57840.5, SSPN1_57840.2	h1SMcT0011841.4, h1SMcT0011841.1, h1SMcT0011841.2, h1SMcT0011841.5, h1SMcT0011841.3
OG0000843	SSPN1_79270.2, SSPN1_79270.3, SSPN1_79270.1, SSPN1_79270.4	h1SMcT0003292.3, h1SMcT0003292.6, h1SMcT0003292.5, h1SMcT0003292.4, h1SMcT0003292.2, h1SMcT0003292.1
OG0000844	SSPN1_5130.1	h1SMcT0006102.1, h1SMcT0006102.2, h1SMcT0006102.3, h1SMcT0006102.4
OG0000845	SSPN1_86230.2, SSPN1_86230.3, SSPN1_86230.1	h1SMcT0009034.1
OG0000846	SSPN1_13880.5, SSPN1_13880.6, SSPN1_13880.1, SSPN1_13880.2, SSPN1_13880.3, SSPN1_13880.4, SSPN1_13880.7	h1SMcT0005561.1
OG0000847	SSPN1_220.1	h1SMcT0015404.1, h1SMcT0017264.1
OG0000848	SSPN1_36090.1	h1SMcT0011564.1
OG0000849	SSPN1_31820.1	h1SMcT0004291.2, h1SMcT0004291.3, h1SMcT0004291.1
OG0000850	SSPN1_26230.1	h1SMcT0000657.1
OG0000851	SSPN1_87560.1	h1SMcT0020207.3, h1SMcT0020207.1, h1SMcT0020207.2
OG0000853	SSPN1_79780.2, SSPN1_79780.1	h1SMcT0007873.1, h1SMcT0007873.2, h1SMcT0018242.1, h1SMcT0018242.2, h1SMcT0018232.1, h1SMcT0018232.2, h1SMcT0018232.3, h1SMcT0018232.4
OG0000854	SSPN1_33580.3, SSPN1_33580.2, SSPN1_33590.1, SSPN1_33590.2, SSPN1_33590.5, SSPN1_33590.6, SSPN1_33590.3, SSPN1_33590.4, SSPN1_33580.4, SSPN1_33580.1	h1SMcT0020539.2, h1SMcT0020539.3
OG0000856	SSPN1_2910.4, SSPN1_2910.1, SSPN1_2910.5, SSPN1_2910.6, SSPN1_2910.2, SSPN1_2910.3	h1SMcT0003963.1, h1SMcT0003963.2, h1SMcT0003963.3
OG0000857	SSPN1_4090.2, SSPN1_4090.4, SSPN1_4090.5, SSPN1_4090.3, SSPN1_4090.1, SSPN1_4090.6	h1SMcT0009908.1, h1SMcT0012127.1, h1SMcT0012127.3, h1SMcT0012127.2
OG0000858	SSPN1_4440.1, SSPN1_4440.3, SSPN1_4440.2	h1SMcT0006257.1
OG0000859	SSPN1_47940.9, SSPN1_47940.1, SSPN1_47940.3, SSPN1_47940.6, SSPN1_47940.10, SSPN1_47940.4, SSPN1_47940.2, SSPN1_47940.5, SSPN1_47940.7, SSPN1_47940.8	h1SMcT0010529.1, h1SMcT0012292.1
OG0000860	SSPN1_64390.1, SSPN1_61710.1	h1SMcT0011028.1, h1SMcT0011028.2, h1SMcT0011028.3
OG0000861	SSPN1_18860.1, SSPN1_18860.5, SSPN1_18860.2, SSPN1_18860.4, SSPN1_18860.3	h1SMcT0018409.1
OG0000862	SSPN1_28930.1, SSPN1_28930.2	h1SMcT0016664.1, h1SMcT0016664.2
OG0000863	SSPN1_53870.1, SSPN1_7320.1, SSPN1_7320.2, SSPN1_7310.1	h1SMcT0002951.1, h1SMcT0015621.1
OG0000864	SSPN1_30630.1, SSPN1_30630.4, SSPN1_30630.2, SSPN1_30630.3	h1SMcT0000106.2, h1SMcT0000106.1, h1SMcT0000106.3
OG0000866	SSPN1_1010.1	h1SMcT0006850.1, h1SMcT0006850.2
OG0000869	SSPN1_86690.1, SSPN1_86690.2	h1SMcT0010496.5, h1SMcT0010496.2, h1SMcT0010496.3, h1SMcT0010496.1, h1SMcT0010496.4
OG0000870	SSPN1_500.1	h1SMcT0007343.1, h1SMcT0007343.2, h1SMcT0001585.1, h1SMcT0001585.2
OG0000872	SSPN1_3970.1	h1SMcT0002307.1, h1SMcT0002307.2, h1SMcT0002307.3
OG0000873	SSPN1_83240.1	h1SMcT0007175.1, h1SMcT0007175.2, h1SMcT0022268.1
OG0000874	SSPN1_41690.1	h1SMcT0000520.1
OG0000875	SSPN1_61790.2, SSPN1_61790.1, SSPN1_61790.3	h1SMcT0023098.1
OG0000876	SSPN1_93390.1, SSPN1_22700.1, SSPN1_93230.1, SSPN1_22690.1, SSPN1_22710.1	h1SMcT0011017.1
OG0000877	SSPN1_7240.1, SSPN1_7240.2, SSPN1_7240.3	h1SMcT0011149.1
OG0000880	SSPN1_76660.1	h1SMcT0011930.1, h1SMcT0011930.2, h1SMcT0011930.3
OG0000881	SSPN1_4460.1	h1SMcT0016867.3, h1SMcT0016867.1, h1SMcT0016867.2, h1SMcT0010177.1, h1SMcT0010177.4, h1SMcT0010177.5, h1SMcT0010177.2
OG0000881	SSPN1_87410.1	h1SMcT0015068.1, h1SMcT0015068.2, h1SMcT0000551.1
OG0000882	SSPN1_21280.1	h1SMcT0019949.1
OG0000882	SSPN1_30850.1, SSPN1_30850.2	h1SMcT0013142.1, h1SMcT0015243.1
OG0000883	SSPN1_30860.1	h1SMcT0017921.2, h1SMcT0017921.4, h1SMcT0017921.1, h1SMcT0017921.3, h1SMcT0017921.5
OG0000884	SSPN1_31600.1	h1SMcT0006597.1, h1SMcT0022922.1
OG0000887	SSPN1_12460.3, SSPN1_12460.4, SSPN1_12460.5, SSPN1_12460.6, SSPN1_12460.7, SSPN1_12460.1, SSPN1_12460.2	h1SMcT0011651.2, h1SMcT0011651.1, h1SMcT0011651.3
OG0000888	SSPN1_75770.1, SSPN1_75770.2, SSPN1_75770.5, SSPN1_75770.3, SSPN1_75770.4	h1SMcT0018274.1, h1SMcT0006978.1, h1SMcT0006978.2
OG0000889	SSPN1_26660.1, SSPN1_26660.2	h1SMcT0000584.2, h1SMcT0000584.1, h1SMcT0000584.4, h1SMcT0000584.3, h1SMcT0000584.5
OG0000890	SSPN1_39640.10, SSPN1_39640.1, SSPN1_39640.4, SSPN1_39640.5, SSPN1_39640.6, SSPN1_39640.7, SSPN1_39640.8, SSPN1_39640.2, SSPN1_39640.3, SSPN1_39640.9	h1SMcT0001261.1
OG0000891	SSPN1_33720.1	h1SMcT0019782.2
OG0000894	SSPN1_84600.1	h1SMcT0012738.2, h1SMcT0012738.1, h1SMcT0012738.3
OG0000895	SSPN1_42610.3, SSPN1_42610.1, SSPN1_42610.5, SSPN1_42610.6, SSPN1_42610.4, SSPN1_42610.2	h1SMcT0017639.1
OG0000896	SSPN1_9940.1, SSPN1_9950.2, SSPN1_9950.1, SSPN1_9950.3	h1SMcT0016190.3
OG0000897	SSPN1_20380.1, SSPN1_20380.2	h1SMcT0013490.1
OG0000898	SSPN1_69210.2, SSPN1_69210.3, SSPN1_69210.1, SSPN1_69210.4, SSPN1_69210.5	h1SMcT0009884.1, h1SMcT0009883.1, h1SMcT0009883.2
OG0000900	SSPN1_3530.1, SSPN1_3550.1, SSPN1_3550.2	h1SMcT0012395.1
OG0000902	SSPN1_53300.1	h1SMcT0010803.1, h1SMcT0010803.2, h1SMcT0010803.3
OG0000903	SSPN1_15220.1	h1SMcT0005323.1, h1SMcT0005323.2
OG0000904	SSPN1_4990.1, SSPN1_4990.2, SSPN1_4990.3	h1SMcT0018440.1
OG0000907	SSPN1_71750.1	h1SMcT0018393.1, h1SMcT0004265.1, h1SMcT0004265.2, h1SMcT0004265.3, h1SMcT0000265.2, h1SMcT0000265.1, h1SMcT0000265.3, h1SMcT0004262.2, h1SMcT0004261.1, h1SMcT0004262.1, h1SMcT0004263.1, h1SMcT0022894.1, h1SMcT0004264.6, h1SMcT0004264.9, h1SMcT0004264.8, h1SMcT0004264.7, h1SMcT0004264.1, h1SMcT0004264.3, h1SMcT0004264.4, h1SMcT0004264.2, h1SMcT0004264.5
OG0000910	SSPN1_8090.1, SSPN1_8090.2	h1SMcT0015484.1
OG0000911	SSPN1_56200.1	h1SMcT0021969.1
OG0000914	SSPN1_32460.1	h1SMcT0009919.4, h1SMcT0009919.1, h1SMcT0009919.2, h1SMcT0009919.3
OG0000916	SSPN1_31340.1	h1SMcT0008408.1
OG0000917	SSPN1_81110.1	h1SMcT0003713.1, h1SMcT0013367.1
OG0000919	SSPN1_81260.1, SSPN1_81260.2, SSPN1_81260.3	h1SMcT0007368.1, h1SMcT0007654.1
OG0000920	SSPN1_91420.1	h1SMcT0006503.1, h1SMcT0006503.4, h1SMcT0006503.5, h1SMcT0006503.3, h1SMcT0006503.2, h1SMcT0011459.1, h1SMcT0011459.2
OG0000923	SSPN1_40240.3, SSPN1_40240.1, SSPN1_40240.2	h1SMcT0013946.1, h1SMcT0013946.2
OG0000923	SSPN1_89620.2, SSPN1_89620.1	h1SMcT0020405.3, h1SMcT0020405.1, h1SMcT0020405.2, h1SMcT0015674.1
OG0000925	SSPN1_14330.2, SSPN1_14330.7, SSPN1_14330.6, SSPN1_14330.5, SSPN1_14330.9, SSPN1_14330.1, SSPN1_14330.11, SSPN1_14330.13, SSPN1_14330.3, SSPN1_14330.10, SSPN1_14330.12, SSPN1_14330.4, SSPN1_14330.8	h1SMcT0006630.1, h1SMcT0006630.2
OG0000926	SSPN1_25930.3, SSPN1_25930.1, SSPN1_25930.2, SSPN1_25930.4, SSPN1_25940.1	h1SMcT0002149.7, h1SMcT0002149.1, h1SMcT0002149.2, h1SMcT0002149.4, h1SMcT0002149.5, h1SMcT0002149.3, h1SMcT0002149.6
OG0000927	SSPN1_12530.1	h1SMcT0012510.1, h1SMcT0012510.2
OG0000929	SSPN1_59660.1, SSPN1_59660.2	h1SMcT0018531.1, h1SMcT0018531.2
OG0000930	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6	h1SMcT0002686.1, h1SMcT0015950.1
OG0000931	SSPN1_68650.1	h1SMcT0010820.1
OG0000932	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3	h1SMcT0003111.1, h1SMcT0003111.2
OG0000933	SSPN1_31240.1	h1SMcT0022565.1
OG0000934	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5	h1SMcT0006379.1
OG0000936	SSPN1_90470.1	h1SMcT0006501.1, h1SMcT0006501.2
OG0000937	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3	h1SMcT0002752.1, h1SMcT0002752.2, h1SMcT0002752.3, h1SMcT0002752.4
OG0000939	SSPN1_83550.1, SSPN1_83550.2	h1SMcT0020741.2, h1SMcT0020741.1, h1SMcT0020741.3, h1SMcT0020741.4
OG0000940	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2	h1SMcT0002848.1
OG0000941	SSPN1_38760.1	h1SMcT0017959.4, h1SMcT0017959.2, h1SMcT0017959.3, h1SMcT0017959.1
OG0000942	SSPN1_14710.1, SSPN1_14710.2	h1SMcT0001750.1
OG0000943	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2	h1SMcT0019889.1
OG0000944	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3	h1SMcT0016977.1
OG0000947	SSPN1_32140.1	h1SMcT0002479.1
OG0000948	SSPN1_78680.1	h1SMcT0004588.3, h1SMcT0004588.2, h1SMcT0004588.1, h1SMcT0004588.4
OG0000949	SSPN1_14550.1	h1SMcT0017273.1
