Orthogroup	schistosoma_spindale	s.mekongi
OG0000779	SSPN1_3610.5, SSPN1_3610.2, SSPN1_3610.3, SSPN1_3610.4, SSPN1_3610.1	KAK4467285.1, KAK4467284.1, KAK4475645.1, KAK4467283.1, KAK4467511.1
OG0000780	SSPN1_15710.1, SSPN1_15710.2	KAK4475273.1
OG0000781	SSPN1_19310.1	KAK4474552.1
OG0000781	SSPN1_810.1	KAK4476024.1
OG0000782	SSPN1_39190.1	KAK4472624.1
OG0000783	SSPN1_48950.1	KAK4469441.1
OG0000784	SSPN1_30480.1	KAK4472638.1
OG0000785	SSPN1_56950.2, SSPN1_56950.1, SSPN1_56950.3, SSPN1_56950.4, SSPN1_56950.5	KAK4472075.1, KAK4472076.1
OG0000786	SSPN1_39480.3, SSPN1_39480.4, SSPN1_39480.1, SSPN1_39480.5, SSPN1_39480.6, SSPN1_39480.2	KAK4473618.1
OG0000787	SSPN1_89390.2, SSPN1_89390.3, SSPN1_89390.1	KAK4467917.1, KAK4467919.1
OG0000787	SSPN1_64620.1, SSPN1_64620.2	KAK4472011.1
OG0000788	SSPN1_18080.7, SSPN1_18080.3, SSPN1_18080.4, SSPN1_18080.5, SSPN1_18080.2, SSPN1_18080.1, SSPN1_18080.6	KAK4474750.1
OG0000789	SSPN1_24490.1	KAK4473257.1
OG0000789	SSPN1_24480.1, SSPN1_24480.2	KAK4473256.1
OG0000790	SSPN1_31630.1, SSPN1_31630.2, SSPN1_31630.3	KAK4473741.1
OG0000791	SSPN1_41440.1	KAK4473509.1
OG0000792	SSPN1_5540.4, SSPN1_5540.2, SSPN1_5540.6, SSPN1_5540.1, SSPN1_5540.5, SSPN1_5540.3	KAK4469047.1, KAK4475816.1
OG0000793	SSPN1_36730.6, SSPN1_36730.2, SSPN1_36730.4, SSPN1_36730.5, SSPN1_36730.1, SSPN1_36730.3, SSPN1_36730.7	KAK4472249.1
OG0000794	SSPN1_20370.1, SSPN1_20370.2	KAK4474355.1
OG0000795	SSPN1_91750.1	KAK4467676.1
OG0000796	SSPN1_14930.1	KAK4474757.1
OG0000797	SSPN1_12770.1, SSPN1_12770.6, SSPN1_12770.2, SSPN1_12770.7, SSPN1_12770.3, SSPN1_12770.4, SSPN1_12770.5, SSPN1_12770.8	KAK4475035.1
OG0000798	SSPN1_1250.1, SSPN1_1250.2	KAK4475964.1
OG0000799	SSPN1_58000.1, SSPN1_58000.2, SSPN1_58000.3, SSPN1_58000.4, SSPN1_58000.5, SSPN1_58000.6, SSPN1_58000.7, SSPN1_58000.8	KAK4471638.1
OG0000800	SSPN1_20440.1	KAK4476179.1
OG0000801	SSPN1_15010.1, SSPN1_15010.3, SSPN1_15010.2, SSPN1_15010.4, SSPN1_15010.5	KAK4475245.1
OG0000802	SSPN1_70450.1	KAK4470576.1
OG0000802	SSPN1_56670.1	KAK4472112.1
OG0000803	SSPN1_76200.1, SSPN1_76200.2, SSPN1_76200.3	KAK4470919.1
OG0000804	SSPN1_40040.1, SSPN1_40040.2	KAK4473168.1
OG0000805	SSPN1_34560.3, SSPN1_34560.1, SSPN1_34560.2, SSPN1_34560.4	KAK4474013.1
OG0000806	SSPN1_70840.4, SSPN1_70840.1, SSPN1_70840.2, SSPN1_70840.3	KAK4470608.1
OG0000807	SSPN1_20670.1, SSPN1_20670.2, SSPN1_20670.3	KAK4473307.1, KAK4474358.1
OG0000808	SSPN1_89970.1	KAK4467771.1
OG0000808	SSPN1_89980.1, SSPN1_89980.2	KAK4467779.1
OG0000809	SSPN1_87550.1	KAK4468611.1
OG0000810	SSPN1_24060.1	KAK4473212.1
OG0000811	SSPN1_19520.5, SSPN1_19520.1, SSPN1_19520.2, SSPN1_19520.3, SSPN1_19520.4	KAK4474417.1
OG0000812	SSPN1_16630.1	KAK4474440.1
OG0000813	SSPN1_83370.5, SSPN1_83370.2, SSPN1_83370.4, SSPN1_83370.6, SSPN1_83370.1, SSPN1_83370.10, SSPN1_83370.9, SSPN1_83370.7, SSPN1_83370.8, SSPN1_83370.3	KAK4468852.1
OG0000814	SSPN1_60680.3, SSPN1_60680.4, SSPN1_60680.1, SSPN1_60680.2	KAK4471430.1
OG0000815	SSPN1_64640.2, SSPN1_64640.1	KAK4472012.1
OG0000816	SSPN1_80820.2, SSPN1_80820.3, SSPN1_80820.5, SSPN1_80820.1, SSPN1_80820.6, SSPN1_80820.4	KAK4468020.1
OG0000817	SSPN1_85270.1, SSPN1_85270.4, SSPN1_85270.5, SSPN1_85270.6, SSPN1_85270.7, SSPN1_85270.2, SSPN1_85270.3, SSPN1_85270.8	KAK4468677.1
OG0000818	SSPN1_19060.4, SSPN1_19060.5, SSPN1_19060.6, SSPN1_19060.3, SSPN1_19060.1, SSPN1_19060.2	KAK4474538.1
OG0000819	SSPN1_59200.1, SSPN1_59200.2	KAK4471251.1
OG0000822	SSPN1_71620.1	KAK4470476.1
OG0000823	SSPN1_51600.2, SSPN1_51600.1	KAK4467478.1
OG0000823	SSPN1_89360.1	KAK4467922.1
OG0000824	SSPN1_3010.5, SSPN1_3010.8, SSPN1_3010.1, SSPN1_3010.2, SSPN1_3010.6, SSPN1_3010.3, SSPN1_3010.4, SSPN1_3010.7	KAK4475591.1
OG0000825	SSPN1_74240.1, SSPN1_74250.1	KAK4470419.1, KAK4470420.1, KAK4470421.1
OG0000827	SSPN1_72570.1	KAK4470549.1
OG0000827	SSPN1_72560.1, SSPN1_72560.2	KAK4470028.1, KAK4470550.1
OG0000828	SSPN1_87330.1	KAK4468383.1
OG0000829	SSPN1_11280.6, SSPN1_11280.4, SSPN1_11280.5, SSPN1_11280.2, SSPN1_11280.1, SSPN1_11280.3	KAK4475182.1
OG0000830	SSPN1_47300.3, SSPN1_47300.1, SSPN1_47300.2	KAK4469293.1
OG0000831	SSPN1_41160.2, SSPN1_41160.1, SSPN1_41160.3	KAK4473480.1
OG0000832	SSPN1_63890.1	KAK4471871.1
OG0000833	SSPN1_37650.1, SSPN1_37650.2, SSPN1_37650.3, SSPN1_37650.7, SSPN1_37650.4, SSPN1_37650.5, SSPN1_37650.6, SSPN1_37650.8	KAK4472353.1
OG0000835	SSPN1_32910.1	KAK4473919.1
OG0000836	SSPN1_33600.5, SSPN1_33600.2, SSPN1_33600.1, SSPN1_33600.4, SSPN1_33600.3, SSPN1_33600.6	KAK4473858.1
OG0000837	SSPN1_38520.1	KAK4472239.1
OG0000838	SSPN1_31870.1	KAK4473759.1
OG0000839	SSPN1_32510.1, SSPN1_32510.2	KAK4473818.1
OG0000840	SSPN1_67650.1	KAK4470970.1, KAK4470978.1
OG0000841	SSPN1_13010.2, SSPN1_13010.3, SSPN1_13010.1	KAK4475007.1
OG0000842	SSPN1_57570.1, SSPN1_57840.3, SSPN1_57840.4, SSPN1_57840.1, SSPN1_57840.5, SSPN1_57840.2	KAK4471617.1
OG0000843	SSPN1_79270.2, SSPN1_79270.3, SSPN1_79270.1, SSPN1_79270.4	KAK4468285.1
OG0000844	SSPN1_5130.1	KAK4475850.1
OG0000845	SSPN1_86230.2, SSPN1_86230.3, SSPN1_86230.1	KAK4468551.1, KAK4467252.1
OG0000846	SSPN1_13880.5, SSPN1_13880.6, SSPN1_13880.1, SSPN1_13880.2, SSPN1_13880.3, SSPN1_13880.4, SSPN1_13880.7	KAK4474858.1
OG0000847	SSPN1_220.1	KAK4476036.1
OG0000848	SSPN1_36090.1	KAK4474163.1
OG0000849	SSPN1_31820.1	KAK4473756.1
OG0000850	SSPN1_26230.1	KAK4473025.1
OG0000851	SSPN1_87560.1	KAK4468610.1
OG0000852	SSPN1_19650.2, SSPN1_19650.3, SSPN1_19650.1, SSPN1_19650.4, SSPN1_19650.6, SSPN1_19650.7, SSPN1_19650.5	KAK4474383.1
OG0000853	SSPN1_79780.2, SSPN1_79780.1	KAK4468234.1
OG0000854	SSPN1_33580.3, SSPN1_33580.2, SSPN1_33590.1, SSPN1_33590.2, SSPN1_33590.5, SSPN1_33590.6, SSPN1_33590.3, SSPN1_33590.4, SSPN1_33580.4, SSPN1_33580.1	KAK4473859.1
OG0000855	SSPN1_52750.4, SSPN1_52750.2, SSPN1_52750.3, SSPN1_52750.1	KAK4467325.1
OG0000856	SSPN1_2910.4, SSPN1_2910.1, SSPN1_2910.5, SSPN1_2910.6, SSPN1_2910.2, SSPN1_2910.3	KAK4475581.1
OG0000857	SSPN1_4090.2, SSPN1_4090.4, SSPN1_4090.5, SSPN1_4090.3, SSPN1_4090.1, SSPN1_4090.6	KAK4467572.1, KAK4475703.1
OG0000858	SSPN1_4440.1, SSPN1_4440.3, SSPN1_4440.2	KAK4467344.1, KAK4467343.1, KAK4475741.1
OG0000859	SSPN1_47940.9, SSPN1_47940.1, SSPN1_47940.3, SSPN1_47940.6, SSPN1_47940.10, SSPN1_47940.4, SSPN1_47940.2, SSPN1_47940.5, SSPN1_47940.7, SSPN1_47940.8	KAK4469232.1
OG0000860	SSPN1_64390.1	KAK4471825.1
OG0000860	SSPN1_61710.1	KAK4471718.1
OG0000862	SSPN1_28930.1, SSPN1_28930.2	KAK4472465.1
OG0000863	SSPN1_53870.1, SSPN1_7320.1, SSPN1_7320.2	KAK4476011.1
OG0000864	SSPN1_30630.1, SSPN1_30630.4, SSPN1_30630.2, SSPN1_30630.3	KAK4473645.1
OG0000865	SSPN1_37710.2, SSPN1_37710.3, SSPN1_37710.1, SSPN1_37710.4, SSPN1_37710.5, SSPN1_37710.6	KAK4472356.1
OG0000866	SSPN1_1010.1	KAK4475812.1
OG0000868	SSPN1_77060.1, SSPN1_77080.1	KAK4467317.1, KAK4467483.1, KAK4471001.1
OG0000869	SSPN1_86690.1, SSPN1_86690.2	KAK4468576.1
OG0000870	SSPN1_500.1	KAK4474365.1
OG0000871	SSPN1_27540.2, SSPN1_27540.3, SSPN1_27540.5, SSPN1_27540.4, SSPN1_27540.1, SSPN1_27540.7, SSPN1_27540.6, SSPN1_27540.8	KAK4472823.1
OG0000872	SSPN1_3970.1	KAK4475688.1
OG0000873	SSPN1_83240.1	KAK4468855.1
OG0000874	SSPN1_41690.1	KAK4473534.1
OG0000875	SSPN1_61790.2, SSPN1_61790.1, SSPN1_61790.3	KAK4471728.1
OG0000876	SSPN1_93390.1, SSPN1_22700.1, SSPN1_93230.1, SSPN1_22690.1, SSPN1_22710.1	KAK4473295.1
OG0000877	SSPN1_7240.1, SSPN1_7240.2, SSPN1_7240.3	KAK4476016.1
OG0000878	SSPN1_11270.1, SSPN1_11270.2, SSPN1_11270.3, SSPN1_11270.4	KAK4475183.1
OG0000879	SSPN1_56420.1	KAK4471099.1
OG0000880	SSPN1_76660.1	KAK4470966.1
OG0000881	SSPN1_4460.1	KAK4475745.1
OG0000881	SSPN1_87410.1	KAK4468637.1
OG0000882	SSPN1_21280.1	KAK4475447.1
OG0000882	SSPN1_30850.1, SSPN1_30850.2	KAK4473671.1
OG0000883	SSPN1_30860.1	KAK4473672.1
OG0000884	SSPN1_31600.1	KAK4473737.1
OG0000885	SSPN1_1220.1	KAK4474352.1
OG0000886	SSPN1_67740.5, SSPN1_67740.3, SSPN1_67740.4, SSPN1_67740.2, SSPN1_67740.1	KAK4470894.1
OG0000887	SSPN1_12460.3, SSPN1_12460.4, SSPN1_12460.5, SSPN1_12460.6, SSPN1_12460.7, SSPN1_12460.1, SSPN1_12460.2	KAK4475063.1
OG0000888	SSPN1_75770.1, SSPN1_75770.2, SSPN1_75770.5, SSPN1_75770.3, SSPN1_75770.4	KAK4470877.1
OG0000890	SSPN1_39640.10, SSPN1_39640.1, SSPN1_39640.4, SSPN1_39640.5, SSPN1_39640.6, SSPN1_39640.7, SSPN1_39640.8, SSPN1_39640.2, SSPN1_39640.3, SSPN1_39640.9	KAK4473603.1
OG0000891	SSPN1_33720.1	KAK4473846.1
OG0000892	SSPN1_50250.4, SSPN1_50250.1, SSPN1_50250.2, SSPN1_50250.3	KAK4469720.1
OG0000894	SSPN1_84600.1	KAK4468755.1
OG0000895	SSPN1_42610.3, SSPN1_42610.1, SSPN1_42610.5, SSPN1_42610.6, SSPN1_42610.4, SSPN1_42610.2	KAK4472632.1
OG0000896	SSPN1_9940.1, SSPN1_9950.2, SSPN1_9950.1, SSPN1_9950.3	KAK4475362.1
OG0000897	SSPN1_20380.1, SSPN1_20380.2	KAK4476316.1
OG0000898	SSPN1_69210.2, SSPN1_69210.3, SSPN1_69210.1, SSPN1_69210.4, SSPN1_69210.5	KAK4470204.1
OG0000899	SSPN1_16200.1, SSPN1_16200.2	KAK4474583.1
OG0000900	SSPN1_3530.1, SSPN1_3550.1, SSPN1_3550.2	KAK4475641.1
OG0000901	SSPN1_61610.1	KAK4471706.1
OG0000902	SSPN1_53300.1	KAK4469829.1
OG0000903	SSPN1_15220.1	KAK4475319.1
OG0000904	SSPN1_4990.1, SSPN1_4990.2, SSPN1_4990.3	KAK4475874.1
OG0000905	SSPN1_75930.1, SSPN1_75930.2, SSPN1_75930.3	KAK4470893.1
OG0000906	SSPN1_65460.1	KAK4471295.1
OG0000907	SSPN1_71750.1	KAK4470463.1
OG0000908	SSPN1_25580.1	KAK4472964.1
OG0000910	SSPN1_8090.1, SSPN1_8090.2	KAK4476130.1
OG0000911	SSPN1_56200.1	KAK4471170.1
OG0000912	SSPN1_6370.1	KAK4475973.1
OG0000913	SSPN1_30350.1, SSPN1_30350.2	KAK4472644.1
OG0000914	SSPN1_32460.1	KAK4473816.1
OG0000915	SSPN1_28470.1	KAK4472417.1
OG0000916	SSPN1_31340.1	KAK4473712.1
OG0000917	SSPN1_81110.1	KAK4468177.1
OG0000918	SSPN1_25660.1, SSPN1_25660.2, SSPN1_25660.3, SSPN1_25660.4	KAK4472957.1
OG0000919	SSPN1_81260.1, SSPN1_81260.2, SSPN1_81260.3	KAK4468191.1
OG0000920	SSPN1_91420.1	KAK4467644.1
OG0000921	SSPN1_42050.1	KAK4473570.1
OG0000923	SSPN1_40240.3, SSPN1_40240.1, SSPN1_40240.2	KAK4473354.1
OG0000923	SSPN1_89620.2, SSPN1_89620.1	KAK4467730.1
OG0000925	SSPN1_14330.2, SSPN1_14330.7, SSPN1_14330.6, SSPN1_14330.5, SSPN1_14330.9, SSPN1_14330.1, SSPN1_14330.11, SSPN1_14330.13, SSPN1_14330.3, SSPN1_14330.10, SSPN1_14330.12, SSPN1_14330.4, SSPN1_14330.8	KAK4474818.1
OG0000926	SSPN1_25930.3, SSPN1_25930.1, SSPN1_25930.2, SSPN1_25930.4, SSPN1_25940.1	KAK4472929.1
OG0000927	SSPN1_12530.1	KAK4475055.1
OG0000928	SSPN1_38570.1, SSPN1_38570.2	KAK4474205.1
OG0000929	SSPN1_59660.1, SSPN1_59660.2	KAK4471201.1
OG0000930	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6	KAK4473473.1
OG0000931	SSPN1_68650.1	KAK4470219.1
OG0000932	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3	KAK4476123.1
OG0000933	SSPN1_31240.1	KAK4473701.1
OG0000934	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5	KAK4476302.1
OG0000935	SSPN1_65080.10, SSPN1_65080.3, SSPN1_65080.6, SSPN1_65080.5, SSPN1_65080.1, SSPN1_65080.7, SSPN1_65080.8, SSPN1_65080.9, SSPN1_65080.2, SSPN1_65080.4	KAK4471482.1
OG0000936	SSPN1_90470.1	KAK4467944.1
OG0000937	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3	KAK4469907.1
OG0000938	SSPN1_64480.1	KAK4471997.1
OG0000939	SSPN1_83550.1, SSPN1_83550.2	KAK4468842.1
OG0000940	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2	KAK4475887.1
OG0000941	SSPN1_38760.1	KAK4472578.1
OG0000942	SSPN1_14710.1, SSPN1_14710.2	KAK4474779.1
OG0000943	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2	KAK4472800.1
OG0000944	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3	KAK4471183.1
OG0000945	SSPN1_19190.1	KAK4474600.1
OG0000946	SSPN1_8620.1, SSPN1_8620.2	KAK4476224.1
OG0000947	SSPN1_32140.1	KAK4473782.1
OG0000948	SSPN1_78680.1	KAK4468000.1
OG0000949	SSPN1_14550.1	KAK4474797.1, KAK4474796.1
OG0000950	SSPN1_51570.2, SSPN1_51570.5, SSPN1_51570.3, SSPN1_51570.6, SSPN1_51570.4, SSPN1_51570.1	KAK4469335.1
OG0000951	SSPN1_89560.1	KAK4467725.1, KAK4467726.1
OG0000952	SSPN1_28430.4, SSPN1_28430.1, SSPN1_28430.3, SSPN1_28430.2	KAK4472413.1
OG0000953	SSPN1_61510.1	KAK4471693.1
OG0000954	SSPN1_77590.2, SSPN1_77590.3	KAK4470079.1
OG0000955	SSPN1_17140.1, SSPN1_17140.2, SSPN1_17140.4, SSPN1_17140.5, SSPN1_17140.6, SSPN1_17140.3	KAK4474643.1
OG0000958	SSPN1_18190.1	KAK4475258.1
OG0000959	SSPN1_67220.1	KAK4470133.1
OG0000960	SSPN1_21940.1, SSPN1_21940.2	KAK4475503.1
OG0000961	SSPN1_32130.1	KAK4473786.1
OG0000962	SSPN1_71730.5, SSPN1_71730.1, SSPN1_71730.2, SSPN1_71730.3, SSPN1_71730.4	KAK4470465.1
OG0000963	SSPN1_2410.1, SSPN1_2410.2	KAK4475528.1
OG0000964	SSPN1_39420.1, SSPN1_39420.3, SSPN1_39420.4, SSPN1_39420.2, SSPN1_39420.5, SSPN1_39420.7, SSPN1_39420.6	KAK4473624.1
OG0000965	SSPN1_60720.1	KAK4471425.1
OG0000966	SSPN1_34730.1	KAK4474035.1
OG0000966	SSPN1_47450.1	KAK4469278.1
OG0000967	SSPN1_35490.4, SSPN1_35490.3, SSPN1_35490.1, SSPN1_35490.2	KAK4474115.1
OG0000968	SSPN1_2770.1, SSPN1_2770.2, SSPN1_2770.4, SSPN1_2770.3, SSPN1_2770.5, SSPN1_2770.6	KAK4475563.1, KAK4475566.1
OG0000969	SSPN1_78560.1	KAK4468356.1, KAK4468355.1
OG0000969	SSPN1_78570.1, SSPN1_78570.2	KAK4468357.1
OG0000970	SSPN1_66910.1	KAK4470288.1
OG0000971	SSPN1_1860.1	KAK4475069.1
OG0000972	SSPN1_6000.1, SSPN1_6000.4, SSPN1_6000.3, SSPN1_6000.2	KAK4475919.1
OG0000973	SSPN1_23180.1	KAK4473078.1
OG0000974	SSPN1_53610.3, SSPN1_53610.5, SSPN1_53610.2, SSPN1_53610.1, SSPN1_53610.4	KAK4469802.1
OG0000975	SSPN1_5820.1, SSPN1_5820.2	KAK4475902.1
OG0000976	SSPN1_20200.1, SSPN1_20200.2, SSPN1_20200.3, SSPN1_20200.4, SSPN1_20200.5, SSPN1_20200.6	KAK4476301.1
OG0000977	SSPN1_16610.1	KAK4474438.1
OG0000978	SSPN1_10090.1, SSPN1_10090.2, SSPN1_10090.3, SSPN1_10090.4, SSPN1_10090.5, SSPN1_10090.6	KAK4475351.1
OG0000979	SSPN1_70820.1, SSPN1_70820.2	KAK4467504.1
OG0000980	SSPN1_50330.1	KAK4469712.1
OG0000981	SSPN1_30910.1	KAK4467302.1
OG0000982	SSPN1_60220.1, SSPN1_60220.3, SSPN1_60220.2, SSPN1_60220.4	KAK4471784.1
OG0000983	SSPN1_15060.1, SSPN1_15060.2, SSPN1_15060.3, SSPN1_15060.4	KAK4475242.1
OG0000984	SSPN1_36070.1, SSPN1_36070.2, SSPN1_36070.3	KAK4474162.1
OG0000985	SSPN1_14570.1	KAK4474794.1
OG0000986	SSPN1_69930.1, SSPN1_69930.2	KAK4470291.1
OG0000987	SSPN1_80240.1	KAK4468141.1
OG0000988	SSPN1_54910.1, SSPN1_54910.2	KAK4469766.1, KAK4469767.1
OG0000989	SSPN1_49670.1	KAK4469139.1
OG0000990	SSPN1_4620.1	KAK4475767.1, KAK4467314.1
OG0000991	SSPN1_56860.1, SSPN1_56860.2, SSPN1_56860.3, SSPN1_56860.6, SSPN1_56860.4, SSPN1_56860.5	KAK4472089.1
OG0000992	SSPN1_42840.1, SSPN1_42840.2	KAK4472362.1
OG0000993	SSPN1_75200.3, SSPN1_75200.1, SSPN1_75200.2	KAK4470814.1
OG0000994	SSPN1_37020.4, SSPN1_37020.2, SSPN1_37020.1, SSPN1_37020.3	KAK4472179.1, KAK4472284.1
OG0000995	SSPN1_77440.3, SSPN1_77440.1, SSPN1_77440.2, SSPN1_77460.1	KAK4470067.1
OG0000996	SSPN1_60100.1, SSPN1_60100.2	KAK4471910.1
OG0000997	SSPN1_85610.1, SSPN1_85610.2	KAK4468590.1
OG0000998	SSPN1_53780.1	KAK4469022.1
OG0000999	SSPN1_33130.4, SSPN1_33130.5, SSPN1_33130.2, SSPN1_33130.1, SSPN1_33130.3	KAK4473903.1
OG0001000	SSPN1_7070.2, SSPN1_7070.5, SSPN1_7070.1, SSPN1_7070.3, SSPN1_7070.4	KAK4476027.1
OG0001003	SSPN1_38640.2, SSPN1_38640.4, SSPN1_38640.6, SSPN1_38640.5, SSPN1_38640.3, SSPN1_38640.7, SSPN1_38640.1	KAK4474199.1
OG0001005	SSPN1_4520.1, SSPN1_4520.2, SSPN1_4520.3	KAK4467346.1, KAK4475757.1
OG0001007	SSPN1_93070.1, SSPN1_93070.2, SSPN1_64790.4, SSPN1_64790.5, SSPN1_64790.1, SSPN1_64770.1, SSPN1_64770.2, SSPN1_64790.2, SSPN1_64790.3	KAK4472027.1
OG0001008	SSPN1_64800.4, SSPN1_64800.1, SSPN1_64800.3, SSPN1_64800.2, SSPN1_64800.7, SSPN1_64800.9, SSPN1_64800.8, SSPN1_64800.5, SSPN1_64800.6	KAK4472028.1
OG0001009	SSPN1_84820.1, SSPN1_84820.3, SSPN1_84820.4, SSPN1_84820.2, SSPN1_84820.5	KAK4468774.1
OG0001010	SSPN1_63980.1	KAK4471864.1
OG0001011	SSPN1_31280.2	KAK4473707.1
OG0001012	SSPN1_5040.1, SSPN1_5040.3, SSPN1_5040.2	KAK4475869.1
OG0001013	SSPN1_18320.1	KAK4467552.1, KAK4467336.1, KAK4476126.1
OG0001014	SSPN1_3950.1	KAK4475686.1
OG0001015	SSPN1_32620.1, SSPN1_32620.2	KAK4473951.1
OG0001016	SSPN1_33310.1	KAK4473870.1
OG0001017	SSPN1_15080.4, SSPN1_15080.5, SSPN1_15080.8, SSPN1_15080.2, SSPN1_15080.3, SSPN1_15080.6, SSPN1_15080.1, SSPN1_15080.7, SSPN1_15080.9	KAK4475241.1
OG0001018	SSPN1_28650.1, SSPN1_28650.2, SSPN1_28650.3, SSPN1_28650.4	KAK4472436.1
OG0001019	SSPN1_40910.3, SSPN1_40910.1, SSPN1_40910.2	KAK4473453.1
OG0001020	SSPN1_19640.1, SSPN1_19640.9, SSPN1_19640.10, SSPN1_19640.4, SSPN1_19640.2, SSPN1_19640.5, SSPN1_19640.7, SSPN1_19640.3, SSPN1_19640.6, SSPN1_19640.8	KAK4474384.1
OG0001021	SSPN1_28410.1, SSPN1_28410.5, SSPN1_28410.2, SSPN1_28410.4, SSPN1_28420.1, SSPN1_28410.3, SSPN1_28410.6	KAK4472739.1
OG0001022	SSPN1_9910.1, SSPN1_9910.5, SSPN1_9910.2, SSPN1_9910.4, SSPN1_9910.3, SSPN1_9910.8, SSPN1_9910.6, SSPN1_9910.7	KAK4475364.1
OG0001023	SSPN1_61090.1, SSPN1_61090.2, SSPN1_61090.3, SSPN1_61090.6, SSPN1_61090.4, SSPN1_61090.5	KAK4471384.1
OG0001024	SSPN1_75330.1, SSPN1_75330.2, SSPN1_75330.3, SSPN1_75330.4	KAK4470827.1
OG0001025	SSPN1_85250.1, SSPN1_85250.2, SSPN1_85250.3, SSPN1_85250.4	KAK4468679.1
OG0001026	SSPN1_48000.1	KAK4469225.1
OG0001027	SSPN1_370.1, SSPN1_370.2, SSPN1_370.3, SSPN1_370.4, SSPN1_370.5	KAK4474354.1
OG0001028	SSPN1_53680.2, SSPN1_53680.3, SSPN1_53680.1, SSPN1_53680.5, SSPN1_53680.4	KAK4469796.1
OG0001029	SSPN1_48170.2, SSPN1_48170.1	KAK4469208.1
OG0001030	SSPN1_27770.1	KAK4472814.1
OG0001031	SSPN1_67850.2, SSPN1_67850.1, SSPN1_67850.4, SSPN1_67850.3	KAK4470821.1
OG0001032	SSPN1_60080.1, SSPN1_60080.3, SSPN1_60080.2	KAK4471932.1
OG0001033	SSPN1_69240.1, SSPN1_69240.2, SSPN1_69240.3	KAK4470208.1
OG0001034	SSPN1_52260.1, SSPN1_52260.2	KAK4469007.1, KAK4469010.1
OG0001036	SSPN1_13350.1	KAK4474919.1
OG0001037	SSPN1_9880.1, SSPN1_9880.2	KAK4475368.1
OG0001038	SSPN1_1510.1	KAK4474755.1
OG0001039	SSPN1_26250.1, SSPN1_26250.3, SSPN1_26250.4, SSPN1_26250.2	KAK4473079.1
OG0001040	SSPN1_78800.3, SSPN1_78800.1, SSPN1_78800.2	KAK4468300.1
OG0001041	SSPN1_90690.5, SSPN1_90690.6, SSPN1_90690.4, SSPN1_90690.1, SSPN1_90690.2, SSPN1_90690.3	KAK4467710.1
OG0001042	SSPN1_16500.1	KAK4474426.1
OG0001043	SSPN1_46830.3, SSPN1_46830.1, SSPN1_46830.2	KAK4469557.1
OG0001044	SSPN1_57480.2, SSPN1_57480.4, SSPN1_57480.1, SSPN1_57480.3	KAK4471581.1
OG0001045	SSPN1_57890.2, SSPN1_57890.1, SSPN1_57890.7, SSPN1_57890.8, SSPN1_57890.12, SSPN1_57890.3, SSPN1_57890.13, SSPN1_57890.5, SSPN1_57890.10, SSPN1_57890.11, SSPN1_57890.14, SSPN1_57890.9, SSPN1_57890.4, SSPN1_57890.6	KAK4471626.1
OG0001046	SSPN1_49390.1	KAK4469663.1
OG0001047	SSPN1_92160.1, SSPN1_92160.3, SSPN1_92160.4, SSPN1_92160.2	KAK4467816.1
OG0001048	SSPN1_75260.1	KAK4470819.1
OG0001049	SSPN1_53380.2, SSPN1_53380.3, SSPN1_53380.1, SSPN1_53380.4	KAK4469820.1
OG0001050	SSPN1_61860.1, SSPN1_61860.3, SSPN1_61860.2, SSPN1_61860.4	KAK4471737.1
OG0001051	SSPN1_84670.1, SSPN1_84670.2	KAK4468758.1
OG0001052	SSPN1_53350.1	KAK4469823.1
OG0001053	SSPN1_60650.1	KAK4471433.1
OG0001054	SSPN1_18880.1, SSPN1_18880.2, SSPN1_18880.3	KAK4474485.1, KAK4474484.1
OG0001055	SSPN1_32240.1	KAK4473796.1
OG0001056	SSPN1_55950.1	KAK4471152.1
OG0001057	SSPN1_84530.1, SSPN1_84530.7, SSPN1_84530.5, SSPN1_84530.6, SSPN1_84530.2, SSPN1_84530.3, SSPN1_84530.4	KAK4468746.1
OG0001058	SSPN1_63300.1, SSPN1_63310.1, SSPN1_63310.2, SSPN1_63310.3	KAK4471917.1, KAK4471918.1
OG0001059	SSPN1_13750.2, SSPN1_13750.3, SSPN1_13750.4, SSPN1_13750.1	KAK4474872.1
OG0001060	SSPN1_65520.1, SSPN1_65520.2, SSPN1_65520.3	KAK4471301.1
OG0001061	SSPN1_19490.1, SSPN1_19490.2	KAK4474418.1, KAK4467307.1, KAK4474419.1
OG0001062	SSPN1_47260.10, SSPN1_47260.8, SSPN1_47260.7, SSPN1_47260.9, SSPN1_47260.3, SSPN1_47260.6, SSPN1_47260.2, SSPN1_47260.5, SSPN1_47260.1, SSPN1_47260.4	KAK4469297.1
