Orthogroup	schistosoma_spindale	fasciola_hepatica
OG0000858	SSPN1_4440.1, SSPN1_4440.3, SSPN1_4440.2	FhHiC23_g12474.t1
OG0000859	SSPN1_47940.9, SSPN1_47940.1, SSPN1_47940.3, SSPN1_47940.6, SSPN1_47940.10, SSPN1_47940.4, SSPN1_47940.2, SSPN1_47940.5, SSPN1_47940.7, SSPN1_47940.8	FhHiC23_g931.t1, FhHiC23_g929.t1, FhHiC23_g929.t2
OG0000860	SSPN1_64390.1	FhHiC23_g6802.t1, FhHiC23_g6802.t2
OG0000860	SSPN1_61710.1	FhHiC23_g7173.t1
OG0000861	SSPN1_18860.1, SSPN1_18860.5, SSPN1_18860.2, SSPN1_18860.4, SSPN1_18860.3	FhHiC23_g11957.t1
OG0000862	SSPN1_28930.1, SSPN1_28930.2	FhHiC23_g5265.t1, FhHiC23_g5265.t2
OG0000863	SSPN1_7310.1	FhHiC23_g12072.t1
OG0000864	SSPN1_30630.1, SSPN1_30630.4, SSPN1_30630.2, SSPN1_30630.3	FhHiC23_g5194.t1
OG0000865	SSPN1_37710.2, SSPN1_37710.3, SSPN1_37710.1, SSPN1_37710.4, SSPN1_37710.5, SSPN1_37710.6	FhHiC23_g6437.t1
OG0000866	SSPN1_1010.1	FhHiC23_g12841.t1
OG0000867	SSPN1_7200.1	FhHiC23_g11700.t1
OG0000869	SSPN1_86690.1, SSPN1_86690.2	FhHiC23_g16177.t1
OG0000870	SSPN1_500.1	FhHiC23_g13098.t1
OG0000871	SSPN1_27540.2, SSPN1_27540.3, SSPN1_27540.5, SSPN1_27540.4, SSPN1_27540.1, SSPN1_27540.7, SSPN1_27540.6, SSPN1_27540.8	FhHiC23_g6154.t1
OG0000872	SSPN1_3970.1	FhHiC23_g12608.t2, FhHiC23_g12608.t1
OG0000873	SSPN1_83240.1	FhHiC23_g4429.t1, FhHiC23_g4429.t3, FhHiC23_g4429.t2
OG0000874	SSPN1_41690.1	FhHiC23_g14447.t1, FhHiC23_g14448.t1, FhHiC23_g14456.t1, FhHiC23_g14458.t1, FhHiC23_g14458.t2
OG0000875	SSPN1_61790.2, SSPN1_61790.1, SSPN1_61790.3	FhHiC23_g8094.t2, FhHiC23_g8094.t1, FhHiC23_g8094.t3
OG0000876	SSPN1_93390.1, SSPN1_22700.1, SSPN1_93230.1, SSPN1_22690.1, SSPN1_22710.1	FhHiC23_g10132.t1, FhHiC23_g10126.t1
OG0000877	SSPN1_7240.1, SSPN1_7240.2, SSPN1_7240.3	FhHiC23_g12038.t1, FhHiC23_g12038.t2, FhHiC23_g12038.t3
OG0000878	SSPN1_11270.1, SSPN1_11270.2, SSPN1_11270.3, SSPN1_11270.4	FhHiC23_g11004.t1, FhHiC23_g11004.t2
OG0000879	SSPN1_56420.1	FhHiC23_g6860.t1, FhHiC23_g6860.t2
OG0000880	SSPN1_76660.1	FhHiC23_g2219.t1
OG0000881	SSPN1_4460.1	FhHiC23_g12891.t1, FhHiC23_g12891.t2, FhHiC23_g12891.t3
OG0000881	SSPN1_87410.1	FhHiC23_g16682.t1, FhHiC23_g16682.t3
OG0000882	SSPN1_21280.1	FhHiC23_g15594.t1, FhHiC23_g15594.t2
OG0000882	SSPN1_30850.1, SSPN1_30850.2	FhHiC23_g5993.t1
OG0000883	SSPN1_30860.1	FhHiC23_g5991.t1
OG0000884	SSPN1_31600.1	FhHiC23_g4988.t1, FhHiC23_g4988.t2
OG0000886	SSPN1_67740.5, SSPN1_67740.3, SSPN1_67740.4, SSPN1_67740.2, SSPN1_67740.1	FhHiC23_g1547.t1
OG0000887	SSPN1_12460.3, SSPN1_12460.4, SSPN1_12460.5, SSPN1_12460.6, SSPN1_12460.7, SSPN1_12460.1, SSPN1_12460.2	FhHiC23_g11404.t1
OG0000888	SSPN1_75770.1, SSPN1_75770.2, SSPN1_75770.5, SSPN1_75770.3, SSPN1_75770.4	FhHiC23_g3221.t1
OG0000889	SSPN1_26660.1, SSPN1_26660.2	FhHiC23_g10327.t1, FhHiC23_g10327.t2
OG0000890	SSPN1_39640.10, SSPN1_39640.1, SSPN1_39640.4, SSPN1_39640.5, SSPN1_39640.6, SSPN1_39640.7, SSPN1_39640.8, SSPN1_39640.2, SSPN1_39640.3, SSPN1_39640.9	FhHiC23_g13982.t1
OG0000891	SSPN1_33720.1	FhHiC23_g5460.t1
OG0000892	SSPN1_50250.4, SSPN1_50250.1, SSPN1_50250.2, SSPN1_50250.3	FhHiC23_g1375.t1
OG0000894	SSPN1_84600.1	FhHiC23_g4413.t1
OG0000895	SSPN1_42610.3, SSPN1_42610.1, SSPN1_42610.5, SSPN1_42610.6, SSPN1_42610.4, SSPN1_42610.2	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2
OG0000896	SSPN1_9940.1, SSPN1_9950.2, SSPN1_9950.1, SSPN1_9950.3	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3
OG0000897	SSPN1_20380.1, SSPN1_20380.2	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2
OG0000898	SSPN1_69210.2, SSPN1_69210.3, SSPN1_69210.1, SSPN1_69210.4, SSPN1_69210.5	FhHiC23_g2752.t1
OG0000899	SSPN1_16200.1, SSPN1_16200.2	FhHiC23_g11385.t1
OG0000900	SSPN1_3530.1, SSPN1_3550.1, SSPN1_3550.2	FhHiC23_g12918.t1, FhHiC23_g13771.t1
OG0000901	SSPN1_61610.1	FhHiC23_g7940.t1, FhHiC23_g7940.t2
OG0000902	SSPN1_53300.1	FhHiC23_g393.t1
OG0000903	SSPN1_15220.1	FhHiC23_g10751.t1
OG0000904	SSPN1_4990.1, SSPN1_4990.2, SSPN1_4990.3	FhHiC23_g12793.t1, FhHiC23_g12793.t2
OG0000905	SSPN1_75930.1, SSPN1_75930.2, SSPN1_75930.3	FhHiC23_g1090.t1, FhHiC23_g1090.t2
OG0000906	SSPN1_65460.1	FhHiC23_g7197.t1, FhHiC23_g7197.t2
OG0000907	SSPN1_71750.1	FhHiC23_g2389.t5, FhHiC23_g2389.t1, FhHiC23_g2389.t2, FhHiC23_g2389.t3, FhHiC23_g2389.t4
OG0000910	SSPN1_8090.1, SSPN1_8090.2	FhHiC23_g12643.t1, FhHiC23_g12643.t2
OG0000911	SSPN1_56200.1	FhHiC23_g6963.t1
OG0000912	SSPN1_6370.1	FhHiC23_g11622.t1
OG0000913	SSPN1_30350.1, SSPN1_30350.2	FhHiC23_g10414.t5, FhHiC23_g10414.t4, FhHiC23_g10414.t1, FhHiC23_g10414.t2, FhHiC23_g10414.t3, FhHiC23_g8600.t1, FhHiC23_g8600.t2, FhHiC23_g4451.t1, FhHiC23_g4451.t2
OG0000914	SSPN1_32460.1	FhHiC23_g5784.t1, FhHiC23_g5784.t2
OG0000915	SSPN1_28470.1	FhHiC23_g6538.t1
OG0000916	SSPN1_31340.1	FhHiC23_g5150.t2, FhHiC23_g5150.t1
OG0000917	SSPN1_81110.1	FhHiC23_g3879.t3, FhHiC23_g3879.t1, FhHiC23_g3879.t2
OG0000918	SSPN1_25660.1, SSPN1_25660.2, SSPN1_25660.3, SSPN1_25660.4	FhHiC23_g10495.t2, FhHiC23_g10495.t1
OG0000919	SSPN1_81260.1, SSPN1_81260.2, SSPN1_81260.3	FhHiC23_g3732.t1, FhHiC23_g3732.t2
OG0000920	SSPN1_91420.1	FhHiC23_g10067.t2, FhHiC23_g10067.t1, FhHiC23_g10067.t3
OG0000921	SSPN1_42050.1	FhHiC23_g14388.t2, FhHiC23_g14388.t1
OG0000922	SSPN1_6870.1, SSPN1_6880.1	FhHiC23_g11428.t1
OG0000922	SSPN1_6860.1	FhHiC23_g11429.t1, FhHiC23_g11429.t2, FhHiC23_g11429.t3, FhHiC23_g11434.t1, FhHiC23_g11435.t1, FhHiC23_g11431.t1
OG0000923	SSPN1_89620.2, SSPN1_89620.1	FhHiC23_g9137.t1
OG0000925	SSPN1_14330.2, SSPN1_14330.7, SSPN1_14330.6, SSPN1_14330.5, SSPN1_14330.9, SSPN1_14330.1, SSPN1_14330.11, SSPN1_14330.13, SSPN1_14330.3, SSPN1_14330.10, SSPN1_14330.12, SSPN1_14330.4, SSPN1_14330.8	FhHiC23_g11612.t1, FhHiC23_g11612.t2
OG0000926	SSPN1_25930.3, SSPN1_25930.1, SSPN1_25930.2, SSPN1_25930.4, SSPN1_25940.1	FhHiC23_g9543.t1, FhHiC23_g9543.t2
OG0000927	SSPN1_12530.1	FhHiC23_g15558.t1
OG0000928	SSPN1_38570.1, SSPN1_38570.2	FhHiC23_g5523.t1, FhHiC23_g5523.t2
OG0000929	SSPN1_59660.1, SSPN1_59660.2	FhHiC23_g7701.t1, FhHiC23_g7701.t2
OG0000930	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6	FhHiC23_g13968.t1
OG0000931	SSPN1_68650.1	FhHiC23_g824.t1, FhHiC23_g821.t1, FhHiC23_g821.t2
OG0000932	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3	FhHiC23_g12855.t2, FhHiC23_g12855.t1, FhHiC23_g12855.t3
OG0000933	SSPN1_31240.1	FhHiC23_g5801.t1
OG0000934	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5	FhHiC23_g11672.t2, FhHiC23_g11672.t1
OG0000935	SSPN1_65080.10, SSPN1_65080.3, SSPN1_65080.6, SSPN1_65080.5, SSPN1_65080.1, SSPN1_65080.7, SSPN1_65080.8, SSPN1_65080.9, SSPN1_65080.2, SSPN1_65080.4	FhHiC23_g7749.t1
OG0000936	SSPN1_90470.1	FhHiC23_g9655.t1
OG0000937	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3	FhHiC23_g3159.t1
OG0000938	SSPN1_64480.1	FhHiC23_g6779.t1, FhHiC23_g6778.t1
OG0000939	SSPN1_83550.1, SSPN1_83550.2	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3
OG0000940	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2	FhHiC23_g12811.t1
OG0000941	SSPN1_38760.1	FhHiC23_g6008.t1
OG0000942	SSPN1_14710.1, SSPN1_14710.2	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1
OG0000943	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2	FhHiC23_g5257.t1
OG0000944	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1
OG0000945	SSPN1_19190.1	FhHiC23_g11090.t1
OG0000946	SSPN1_8620.1, SSPN1_8620.2	FhHiC23_g13160.t1
OG0000947	SSPN1_32140.1	FhHiC23_g6472.t1
OG0000948	SSPN1_78680.1	FhHiC23_g3632.t1
OG0000949	SSPN1_14550.1	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1
OG0000950	SSPN1_51570.2, SSPN1_51570.5, SSPN1_51570.3, SSPN1_51570.6, SSPN1_51570.4, SSPN1_51570.1	FhHiC23_g737.t1, FhHiC23_g737.t2
OG0000951	SSPN1_89560.1	FhHiC23_g9154.t1
OG0000952	SSPN1_28430.4, SSPN1_28430.1, SSPN1_28430.3, SSPN1_28430.2	FhHiC23_g4678.t1
OG0000953	SSPN1_61510.1	FhHiC23_g8364.t1
OG0000955	SSPN1_17140.1, SSPN1_17140.2, SSPN1_17140.4, SSPN1_17140.5, SSPN1_17140.6, SSPN1_17140.3	FhHiC23_g11409.t1
OG0000958	SSPN1_18190.1	FhHiC23_g15702.t1
OG0000959	SSPN1_67220.1	FhHiC23_g2492.t1
OG0000960	SSPN1_21940.1, SSPN1_21940.2	FhHiC23_g2806.t1
OG0000961	SSPN1_32130.1	FhHiC23_g4805.t1
OG0000962	SSPN1_71730.5, SSPN1_71730.1, SSPN1_71730.2, SSPN1_71730.3, SSPN1_71730.4	FhHiC23_g2574.t1
OG0000963	SSPN1_2410.1, SSPN1_2410.2	FhHiC23_g13194.t1
OG0000964	SSPN1_39420.1, SSPN1_39420.3, SSPN1_39420.4, SSPN1_39420.2, SSPN1_39420.5, SSPN1_39420.7, SSPN1_39420.6	FhHiC23_g14820.t2, FhHiC23_g14820.t3, FhHiC23_g14820.t1
OG0000965	SSPN1_60720.1	FhHiC23_g7683.t1
OG0000966	SSPN1_34730.1	FhHiC23_g5905.t1
OG0000966	SSPN1_47450.1	FhHiC23_g520.t1
OG0000967	SSPN1_35490.4, SSPN1_35490.3, SSPN1_35490.1, SSPN1_35490.2	FhHiC23_g6329.t1, FhHiC23_g6329.t2
OG0000968	SSPN1_2770.1, SSPN1_2770.2, SSPN1_2770.4, SSPN1_2770.3, SSPN1_2770.5, SSPN1_2770.6	FhHiC23_g13188.t1
OG0000969	SSPN1_78560.1	FhHiC23_g1464.t1
OG0000969	SSPN1_78570.1, SSPN1_78570.2	FhHiC23_g4027.t1, FhHiC23_g4027.t2
OG0000970	SSPN1_66910.1	FhHiC23_g2215.t1
OG0000971	SSPN1_1860.1	FhHiC23_g11579.t1
OG0000972	SSPN1_6000.1, SSPN1_6000.4, SSPN1_6000.3, SSPN1_6000.2	FhHiC23_g10701.t1, FhHiC23_g10701.t2
OG0000973	SSPN1_23180.1	FhHiC23_g10383.t1
OG0000974	SSPN1_53610.3, SSPN1_53610.5, SSPN1_53610.2, SSPN1_53610.1, SSPN1_53610.4	FhHiC23_g1435.t1
OG0000975	SSPN1_5820.1, SSPN1_5820.2	FhHiC23_g13353.t1, FhHiC23_g13353.t2
OG0000976	SSPN1_20200.1, SSPN1_20200.2, SSPN1_20200.3, SSPN1_20200.4, SSPN1_20200.5, SSPN1_20200.6	FhHiC23_g12582.t1, FhHiC23_g12582.t3
OG0000977	SSPN1_16610.1	FhHiC23_g11079.t1
OG0000978	SSPN1_10090.1, SSPN1_10090.2, SSPN1_10090.3, SSPN1_10090.4, SSPN1_10090.5, SSPN1_10090.6	FhHiC23_g15261.t1, FhHiC23_g15261.t2
OG0000979	SSPN1_70820.1, SSPN1_70820.2	FhHiC23_g2647.t1
OG0000980	SSPN1_50330.1	FhHiC23_g1379.t1
OG0000981	SSPN1_30910.1	FhHiC23_g5114.t1
OG0000982	SSPN1_60220.1, SSPN1_60220.3, SSPN1_60220.2, SSPN1_60220.4	FhHiC23_g8063.t1, FhHiC23_g8063.t3, FhHiC23_g8063.t2
OG0000983	SSPN1_15060.1, SSPN1_15060.2, SSPN1_15060.3, SSPN1_15060.4	FhHiC23_g14957.t1
OG0000984	SSPN1_36070.1, SSPN1_36070.2, SSPN1_36070.3	FhHiC23_g5012.t1, FhHiC23_g5012.t2
OG0000985	SSPN1_14570.1	FhHiC23_g11530.t1
OG0000986	SSPN1_69930.1, SSPN1_69930.2	FhHiC23_g2637.t4, FhHiC23_g2637.t1, FhHiC23_g2637.t2, FhHiC23_g2637.t3
OG0000987	SSPN1_80240.1	FhHiC23_g3839.t2, FhHiC23_g3839.t1
OG0000988	SSPN1_54910.1, SSPN1_54910.2	FhHiC23_g345.t2, FhHiC23_g345.t1, FhHiC23_g344.t1, FhHiC23_g344.t2
OG0000989	SSPN1_49670.1	FhHiC23_g741.t1
OG0000990	SSPN1_4620.1	FhHiC23_g13484.t1
OG0000991	SSPN1_56860.1, SSPN1_56860.2, SSPN1_56860.3, SSPN1_56860.6, SSPN1_56860.4, SSPN1_56860.5	FhHiC23_g7930.t1, FhHiC23_g7930.t2, FhHiC23_g7930.t4, FhHiC23_g7930.t3, FhHiC23_g7930.t5
OG0000992	SSPN1_42840.1, SSPN1_42840.2	FhHiC23_g13877.t1, FhHiC23_g13879.t1, FhHiC23_g13877.t2
OG0000993	SSPN1_75200.3, SSPN1_75200.1, SSPN1_75200.2	FhHiC23_g2786.t1
OG0000994	SSPN1_37020.4, SSPN1_37020.2, SSPN1_37020.1, SSPN1_37020.3	FhHiC23_g5011.t1, FhHiC23_g5011.t2
OG0000995	SSPN1_77440.3, SSPN1_77440.1, SSPN1_77440.2, SSPN1_77460.1	FhHiC23_g3242.t1
OG0000996	SSPN1_60100.1, SSPN1_60100.2	FhHiC23_g7052.t1, FhHiC23_g7052.t2
OG0000997	SSPN1_85610.1, SSPN1_85610.2	FhHiC23_g16655.t1
OG0000998	SSPN1_53780.1	FhHiC23_g433.t1, FhHiC23_g433.t2
OG0000999	SSPN1_33130.4, SSPN1_33130.5, SSPN1_33130.2, SSPN1_33130.1, SSPN1_33130.3	FhHiC23_g6595.t1
OG0001000	SSPN1_7070.2, SSPN1_7070.5, SSPN1_7070.1, SSPN1_7070.3, SSPN1_7070.4	FhHiC23_g10629.t1, FhHiC23_g10629.t2
OG0001009	SSPN1_84820.1, SSPN1_84820.3, SSPN1_84820.4, SSPN1_84820.2, SSPN1_84820.5	FhHiC23_g15862.t1
OG0001010	SSPN1_63980.1	FhHiC23_g7211.t1
OG0001011	SSPN1_31280.1, SSPN1_31280.4, SSPN1_31280.3, SSPN1_31280.2	FhHiC23_g4725.t1
OG0001012	SSPN1_5040.1, SSPN1_5040.3, SSPN1_5040.2	FhHiC23_g12412.t1
OG0001013	SSPN1_18320.1	FhHiC23_g11782.t1
OG0001014	SSPN1_3950.1	FhHiC23_g12609.t1, FhHiC23_g12609.t2, FhHiC23_g12609.t3
OG0001015	SSPN1_32620.1, SSPN1_32620.2	FhHiC23_g14738.t1, FhHiC23_g14738.t2
OG0001016	SSPN1_33310.1	FhHiC23_g4790.t1
OG0001017	SSPN1_15080.4, SSPN1_15080.5, SSPN1_15080.8, SSPN1_15080.2, SSPN1_15080.3, SSPN1_15080.6, SSPN1_15080.1, SSPN1_15080.7, SSPN1_15080.9	FhHiC23_g15044.t1
OG0001018	SSPN1_28650.1, SSPN1_28650.2, SSPN1_28650.3, SSPN1_28650.4	FhHiC23_g5842.t2, FhHiC23_g5842.t1, FhHiC23_g5841.t1
OG0001019	SSPN1_40910.3, SSPN1_40910.1, SSPN1_40910.2	FhHiC23_g14549.t1
OG0001020	SSPN1_19640.1, SSPN1_19640.9, SSPN1_19640.10, SSPN1_19640.4, SSPN1_19640.2, SSPN1_19640.5, SSPN1_19640.7, SSPN1_19640.3, SSPN1_19640.6, SSPN1_19640.8	FhHiC23_g12011.t1
OG0001021	SSPN1_28410.1, SSPN1_28410.5, SSPN1_28410.2, SSPN1_28410.4, SSPN1_28420.1, SSPN1_28410.3, SSPN1_28410.6	FhHiC23_g5322.t2, FhHiC23_g5322.t3, FhHiC23_g5322.t4, FhHiC23_g5322.t1
OG0001022	SSPN1_9910.1, SSPN1_9910.5, SSPN1_9910.2, SSPN1_9910.4, SSPN1_9910.3, SSPN1_9910.8, SSPN1_9910.6, SSPN1_9910.7	FhHiC23_g14964.t1, FhHiC23_g14964.t2
OG0001023	SSPN1_61090.1, SSPN1_61090.2, SSPN1_61090.3, SSPN1_61090.6, SSPN1_61090.4, SSPN1_61090.5	FhHiC23_g6790.t1
OG0001024	SSPN1_75330.1, SSPN1_75330.2, SSPN1_75330.3, SSPN1_75330.4	FhHiC23_g2930.t1
OG0001025	SSPN1_85250.1, SSPN1_85250.2, SSPN1_85250.3, SSPN1_85250.4	FhHiC23_g4334.t1, FhHiC23_g4334.t2
OG0001026	SSPN1_48000.1	FhHiC23_g2021.t1
OG0001027	SSPN1_370.1, SSPN1_370.2, SSPN1_370.3, SSPN1_370.4, SSPN1_370.5	FhHiC23_g13410.t2, FhHiC23_g13410.t1
OG0001028	SSPN1_53680.2, SSPN1_53680.3, SSPN1_53680.1, SSPN1_53680.5, SSPN1_53680.4	FhHiC23_g1259.t1
OG0001029	SSPN1_48170.2, SSPN1_48170.1	FhHiC23_g3446.t1, FhHiC23_g1127.t1
OG0001030	SSPN1_27770.1	FhHiC23_g6107.t1, FhHiC23_g6107.t2
OG0001031	SSPN1_67850.2, SSPN1_67850.1, SSPN1_67850.4, SSPN1_67850.3	FhHiC23_g1039.t1
OG0001032	SSPN1_60080.1, SSPN1_60080.3, SSPN1_60080.2	FhHiC23_g7054.t1
OG0001033	SSPN1_69240.1, SSPN1_69240.2, SSPN1_69240.3	FhHiC23_g2445.t2, FhHiC23_g2445.t1
OG0001034	SSPN1_52260.1, SSPN1_52260.2	FhHiC23_g2105.t1
OG0001035	SSPN1_52820.1	FhHiC23_g268.t1, FhHiC23_g269.t1, FhHiC23_g262.t1, FhHiC23_g262.t2, FhHiC23_g259.t1, FhHiC23_g260.t1, FhHiC23_g264.t1, FhHiC23_g265.t1, FhHiC23_g1943.t1
OG0001036	SSPN1_13350.1	FhHiC23_g11613.t1
OG0001037	SSPN1_9880.1, SSPN1_9880.2	FhHiC23_g15057.t1, FhHiC23_g15057.t3, FhHiC23_g15202.t1, FhHiC23_g15202.t2
OG0001038	SSPN1_1510.1	FhHiC23_g13415.t2, FhHiC23_g13415.t1, FhHiC23_g13415.t3
OG0001039	SSPN1_26250.1, SSPN1_26250.3, SSPN1_26250.4, SSPN1_26250.2	FhHiC23_g9256.t1
OG0001040	SSPN1_78800.3, SSPN1_78800.1, SSPN1_78800.2	FhHiC23_g4241.t1, FhHiC23_g4241.t2
OG0001041	SSPN1_90690.5, SSPN1_90690.6, SSPN1_90690.4, SSPN1_90690.1, SSPN1_90690.2, SSPN1_90690.3	FhHiC23_g9008.t1, FhHiC23_g9008.t2, FhHiC23_g9008.t3
OG0001042	SSPN1_16500.1	FhHiC23_g13435.t1, FhHiC23_g13436.t1
OG0001043	SSPN1_46830.3, SSPN1_46830.1, SSPN1_46830.2	FhHiC23_g993.t1
OG0001044	SSPN1_57480.2, SSPN1_57480.4, SSPN1_57480.1, SSPN1_57480.3	FhHiC23_g7412.t1
OG0001045	SSPN1_57890.2, SSPN1_57890.1, SSPN1_57890.7, SSPN1_57890.8, SSPN1_57890.12, SSPN1_57890.3, SSPN1_57890.13, SSPN1_57890.5, SSPN1_57890.10, SSPN1_57890.11, SSPN1_57890.14, SSPN1_57890.9, SSPN1_57890.4, SSPN1_57890.6	FhHiC23_g8415.t1
OG0001046	SSPN1_49390.1	FhHiC23_g81.t1
OG0001047	SSPN1_92160.1, SSPN1_92160.3, SSPN1_92160.4, SSPN1_92160.2	FhHiC23_g9855.t1, FhHiC23_g9855.t2
OG0001048	SSPN1_75260.1	FhHiC23_g282.t1, FhHiC23_g282.t2
OG0001049	SSPN1_53380.2, SSPN1_53380.3, SSPN1_53380.1, SSPN1_53380.4	FhHiC23_g1405.t4, FhHiC23_g1405.t1, FhHiC23_g1405.t2, FhHiC23_g1405.t3
OG0001050	SSPN1_61860.1, SSPN1_61860.3, SSPN1_61860.2, SSPN1_61860.4	FhHiC23_g6799.t1
OG0001051	SSPN1_84670.1, SSPN1_84670.2	FhHiC23_g16833.t1
OG0001052	SSPN1_53350.3, SSPN1_53350.2, SSPN1_53350.1	FhHiC23_g798.t1
OG0001053	SSPN1_60650.1	FhHiC23_g8610.t1
OG0001054	SSPN1_18880.1, SSPN1_18880.2, SSPN1_18880.3	FhHiC23_g12139.t1
OG0001055	SSPN1_32240.1	FhHiC23_g6311.t1
OG0001056	SSPN1_55950.1	FhHiC23_g8018.t1, FhHiC23_g8018.t2
OG0001057	SSPN1_84530.1, SSPN1_84530.7, SSPN1_84530.5, SSPN1_84530.6, SSPN1_84530.2, SSPN1_84530.3, SSPN1_84530.4	FhHiC23_g16676.t1, FhHiC23_g16676.t2
OG0001058	SSPN1_63300.1, SSPN1_63310.1, SSPN1_63310.2, SSPN1_63310.3	FhHiC23_g7616.t1
OG0001059	SSPN1_13750.2, SSPN1_13750.3, SSPN1_13750.4, SSPN1_13750.1	FhHiC23_g15619.t1, FhHiC23_g15619.t2
OG0001060	SSPN1_65520.1, SSPN1_65520.2, SSPN1_65520.3	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1
OG0001061	SSPN1_19490.1, SSPN1_19490.2	FhHiC23_g10637.t1
OG0001068	SSPN1_73020.1	FhHiC23_g1453.t1
OG0001070	SSPN1_61020.1, SSPN1_61020.2, SSPN1_61020.3	FhHiC23_g10636.t1, FhHiC23_g7712.t1
OG0001070	SSPN1_73450.1	FhHiC23_g2817.t2, FhHiC23_g2817.t1
OG0001071	SSPN1_59460.1, SSPN1_59460.2	FhHiC23_g8249.t1, FhHiC23_g8249.t2
OG0001072	SSPN1_40950.1, SSPN1_40950.2	FhHiC23_g14078.t1
OG0001073	SSPN1_13920.1	FhHiC23_g15794.t1
OG0001074	SSPN1_26440.2, SSPN1_26440.3, SSPN1_26440.4, SSPN1_26440.1	FhHiC23_g9712.t1
OG0001075	SSPN1_62290.1	FhHiC23_g7537.t1
OG0001076	SSPN1_44890.1, SSPN1_44890.3, SSPN1_44890.2, SSPN1_44890.4	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2
OG0001077	SSPN1_48470.1	FhHiC23_g2069.t1
OG0001078	SSPN1_62940.1	FhHiC23_g7897.t2, FhHiC23_g7897.t1
OG0001079	SSPN1_72520.1, SSPN1_72510.1	FhHiC23_g1658.t1
OG0001080	SSPN1_70950.4, SSPN1_70950.1, SSPN1_70950.3, SSPN1_70950.2, SSPN1_70950.5	FhHiC23_g1174.t1
OG0001081	SSPN1_36990.1	FhHiC23_g5306.t1
OG0001082	SSPN1_47080.1, SSPN1_47080.2, SSPN1_47080.3	FhHiC23_g2343.t1
OG0001083	SSPN1_90830.2, SSPN1_90830.3, SSPN1_90830.1, SSPN1_90830.4	FhHiC23_g9161.t1, FhHiC23_g9161.t2
OG0001084	SSPN1_10240.6, SSPN1_10240.7, SSPN1_10240.1, SSPN1_10240.4, SSPN1_10240.8, SSPN1_10240.9, SSPN1_10240.5, SSPN1_10240.2, SSPN1_10240.3	FhHiC23_g15642.t1
OG0001085	SSPN1_91810.1, SSPN1_91810.2	FhHiC23_g9501.t1
OG0001086	SSPN1_68970.1	FhHiC23_g3370.t1
OG0001087	SSPN1_49580.1	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1
OG0001087	SSPN1_34600.1	FhHiC23_g6106.t1
OG0001088	SSPN1_23640.1, SSPN1_23640.2, SSPN1_23640.3	FhHiC23_g10196.t1, FhHiC23_g10197.t1
OG0001089	SSPN1_59480.1	FhHiC23_g7786.t1
OG0001090	SSPN1_92530.1	FhHiC23_g9487.t1
OG0001091	SSPN1_46970.1	FhHiC23_g1119.t1
OG0001092	SSPN1_67080.1, SSPN1_67080.2, SSPN1_67080.3, SSPN1_67080.4, SSPN1_67080.5	FhHiC23_g2498.t1, FhHiC23_g2498.t2
OG0001093	SSPN1_78400.1	FhHiC23_g4232.t1
OG0001094	SSPN1_34310.1, SSPN1_34310.2, SSPN1_34310.3	FhHiC23_g14498.t1, FhHiC23_g14498.t2
OG0001095	SSPN1_49300.1	FhHiC23_g2076.t1
OG0001096	SSPN1_12310.1, SSPN1_12310.2	FhHiC23_g11191.t1
OG0001097	SSPN1_66810.2, SSPN1_66810.3, SSPN1_66810.1, SSPN1_66810.4	FhHiC23_g8335.t1, FhHiC23_g8335.t2, FhHiC23_g15754.t1
OG0001098	SSPN1_38930.1, SSPN1_38930.5, SSPN1_38930.6, SSPN1_38930.3, SSPN1_38930.2, SSPN1_38930.4	FhHiC23_g5515.t2, FhHiC23_g5515.t1
OG0001099	SSPN1_88890.1	FhHiC23_g4375.t1, FhHiC23_g4375.t2, FhHiC23_g4375.t3
